ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u1	Mr Laaouej is not present and therefore his question No. 26387.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u37	Minister, like my colleague, I would like to take stock with you of the implementation of this legislation that we passed last year to improve the various thematic leave, such as adoption leave or reception leave. At the end of the legislature, it would appear that the lack of a regulatory framework is a problem. Thus, with regard to the extension of adoption leave for employees or self-employed persons, claims for compensation can only be taken into account in accordance with the previous regulations, i.e. no more than four to six weeks, depending on the age of the child - twice in the case of adoption of a child with a disability. With regard to foster parental leave, no compensation is possible. Minister, what is the status of this issue? When and how will the situation be resolved? What initiatives are you planning to take?
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u38	Mrs Jiroflée, Mr Delizée, this is a parliamentary initiative, in particular the legislative proposal No. 2240 the extension of adoption leave and the introduction of foster care leave. In view of the regulatory gaps, Amendments Nos. 1 to 6 shall be added to the drafts drawn up by the political groups. Some of the missing provisions in the proposed law required additional regulatory intervention. The majority of the Chamber approved an additional chapter of amendments on 22 November 2018. The ratio legis of the reform is that the arrival of a child in a family is a very time-intensive period, with the attention of both parents being able to go fully to the child, without losing income. If an employer or selfemployed person currently receives a child in the family for long-term foster care, that person is entitled to six weeks' leave, with a benefit paid by the sickness fund. Those six weeks for both systems will be taken every two years by one week from 2019. The distinction between the granting of weeks for a child under or over three years of age is therefore deleted. The only condition is that the adopted child is under 18 years of age and therefore underage. For both partners we come from twelve weeks in 2017 and go to thirteen weeks from 2019 and fourteen weeks from 2021. In 2027 an adoption and foster leave would therefore consist of 17 weeks. The total part above the 12-week period for both adoptive parents can still be divided among themselves. In this way, the period of leave is aligned with what now exists for pregnant and pregnant women. The compensation consists of 82% of the loss of earnings for employees. Of these, employers pay for the first three days. Self-employed persons receive a flat-rate payment per week for adoption leave. It was the explicit wish of the legislator that the amount of 82 % replacement rate should not be reduced for employees after the fourth week of leave is exceeded. A self-employed person will continue to receive a flat-rate payment that week. However, it should be stressed that, unlike the first month of maternity rest, the maximum amount of the adoption or foster parent is capped up to the ZIV ceiling from the first day of reimbursement. The conditions for obtaining that allowance are, in turn, identical to maternity insurance. When this new form of leave reaches its cruising speed, in 2027, we will have to ask ourselves whether the compensation system and the replacement rate still meet the needs of adoptive parents and foster parents. At the end of this exercise, we will have to make clear choices. Is the separate leave arrangements still in place? Will it be possible to simplify possibilities such as thematic leave, birth leave, career interruption, time credit...? Are the differences in terms of compulsory insurance between the self-employed and the employees still in our time? You know my wish to draw up statutes from which identical rights would derive or, at least, converging rights. Of course, this will not happen overnight. INAMI has been responsible for developing the modalities and instructions for mutualities, which in turn will be responsible for payment. The Communities have been consulted to take account of the finesse of each level of power, so that the regulation incorporates local reality. The provisions are ready and will be published in the Belgian Monitor in the coming weeks so that the situation is fully regulated from 2019 onwards. And it will therefore come into effect retroactively.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u39	Madam Minister, I understand that you say that we will have to wait 2027, but that seems to me to be a long period of time, and I think we should think about this earlier. I do not dispute that there may be a need for changes. I can only note that you do not intend to do anything at the moment, but I do understand, of course, that it is not possible at all at the moment. That is why I have stressed that my question dates back to September. I believe that there is a mandate for a future government to look at all these thematic engagements and at least treat them as fairly as possible.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u40	Mr President, I thank the Minister for the explanations she has given us. Like my colleague, I was more in demand for information on the current situation, which is repeated at the end of her reply. I note that, in the coming weeks, the royal decrees would be published in the Monitor with retroactive effect. So I guess it'll be before the 26th of May. This should address a number of practical questions and modalities that are currently unanswered, in any case in relation to the will of the legislator in the vote. You're talking about an evaluation in 2027. We'll see what's going to happen in the next legislature. We'll see who will be there in 2027 to launch the evaluation. It is certain that this dossier will require an evaluation of the modalities and objectives...
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u41	We can do an evaluation but this system will be in cruising speed in 2027. In order to be able to compare the different forms of thematic leave, account will have to be taken of the situation which will exist in 2020-2027.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u42	I take note of the Minister's response and reply to my concerns.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u43	Mr President, Madam Minister, this famous law on economic recovery and the strengthening of social cohesion has been discussed for a long time and much. She was sausageed, cut into small pieces and everything we want! It took time and the need for first readings, second readings.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u44	It's not my fault!
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u45	It's not a reproach, minister, it's a fact. I'm just making a brief history that you may also be going to do in a few moments. This law contained different elements, including this new special status which was re-discussed in the context of the Volunteer Act and on which, from the beginning, we do not share the same view, to be honest. For us, this status is negative and a source of unfair competition. When I say "we", there are obviously the political options taken by parliamentarians but also the economic world, the representatives of SMEs, the social partners and the High Council of Volunteers who have spoken on the subject. I am not going to repeat this debate. I'm quoting him for memory. These are the famous 6 000 euros a year or 500 euros a month without taxation, without social contributions, without protection and others. At the end of the legislature, it would be interesting to see if you have any data on the implementation of this new provision. I confess that I no longer remember its date of entry into force. This part was voted on July 18, 2018, if I am not mistaken. I no longer remember whether the effective date was September 1 or another date. Minister, how many people have used this new system put in place by your government? There are three sectors: the voluntary sector, the economy of platforms and occasional citizen-to-citizen services. Could you specify the figures for each of these three categories for the few months of 2018 and 2019 that have passed and for which you would possibly have statistics? Can you give us the breakdown by Region? It would also be interesting to know what the status of beneficiaries was. Who are the people who participate in this associative, collaborative or citizen-to-citizen work? Finally, what is the average monthly income of persons working under this status in the three categories I have indicated?
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u46	Mr Delizée, I only have data on activities to be reported to the ONSS and, therefore, in particular, on voluntary work and occasional services from citizen to citizen. From the inception of the new regime until March 3, 2019, there were a total of 10,174 casual DIY workers, of whom 9,846 were in voluntary work and 355 were in the context of occasional citizen-to-citizen services. The statistics currently available relate only to the data from the declaration itself. I am not in a position to provide you with the breakdown by Region. In order to do so, the data contained in the declaration will need to be enriched with data from, inter alia, the National Register. This programming is only expected by the time the law is evaluated after one year. Most persons engaged in complementary work, namely 7,532 persons, have the status of employee or civil servant and meet the requirement of 80 per cent employment at time T-3; 1,971 persons are pensioners and 671 are self-employed. For voluntary work, a total amount of EUR 17.6 million has been declared, which is an average of EUR 1 784 per person who carries out a supplementary activity. For occasional citizen-to-citizen services, the amount is EUR 202 000 and the average is EUR 569. I'll give you the document with the numbers. It's a first evaluation. The trend is that this is not an important activity among the self-employed but in the voluntary sector.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u47	Minister, I understand that we have only a few months back. Thank you for the clarifications that draw trends. On the other hand, you said that the statistics were stopped as of March 3, 2019. However, I do not remember the date of entry into force. From when is it? Is it September 1st, October 1st?
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u48	I have to check it out.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u49	I admit I didn't ask in my questions, but then I thought about it. We voted in July. Was it the first month that followed?
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u50	I know I did a press conference. I think it was October 1st.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u51	October 1st. It's been three months in 2018 and two months in 2019. This gives early trends. My question is purely informative at this stage. It would take at least one full year to see the result.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u52	We started at the beginning of the football season.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u53	But we play football all the time! It's complicated.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u54	The new season starts in September or October.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u55	The Belgian championship already starts in August!
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u56	But I'm not talking about the championship; I'm talking about the youth competition.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u57	I don't know. Anyway. I'll read the numbers again. As I have just said, this is an informative question. This will allow us to see where we have fewer statistics. Thank you for the data. If you can't give me the answer now, can you give it to me by text or any other means? I would like to receive information from the start date.
