ParlaMint-BE_2019-12-17-55-commissie-ic076x.u1	Good morning, everyone. Sorry I'm late. First of all, Mrs Van Hoof has the floor.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u36	Madam Minister, in the Committee for Welfare of the Flemish Parliament of 5 November 2019 Flemish MEP Immanuel De Reuse of the Flemish Interest pointed the Minister to the positive opinion of the Royal Academy of Medicine of Belgium, which stated that flu vaccinations by pharmacists add value to society. One of the arguments cited is that the current system is far from ideal and often leads to double costs for the patient. After all, they have to go to the doctor for a prescription, then pick up the vaccine from the pharmacist and finally come back to the doctor for the proverbial but also literal shot. Another argument is that in this way the risk groups that are not currently being reached can be better achieved. Madam Secretary, how do you feel about the administration of vaccines by pharmacists? Does your attitude change according to the type of vaccine? In other words, do you believe that certain vaccines cannot and cannot be administered by a pharmacist? Have you been in contact with the professional associations concerned in this connection? Are you planning initiatives to create a legal framework in this area and to give pharmacists the legal opportunity to vaccinate if they have received the necessary training?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u37	Thank you for your questions. I have indeed read the recent joint opinion issued by the two Royal Academies of Medicine on the expansion of the authorization to administer vaccines and the vaccination against influenza by pharmacists. I would like to draw your attention to the fact that this opinion was delivered at the request of the previous Flemish Minister responsible for welfare and health, Mr Jo Vandeurzen. I believe that this request was made in the context of the vaccination policy to be carried out and for which the federated entities are competent, because I have learned that professional unions, such as the Belgian Pharmaceutical Association (BPA) and the Flemish pharmacists' network, are seeking to play a role in the vaccination of the population. I note that the Act on the Exercise of the Health Care Professions, coordinated on 10 May 2015, provides in its article 3 that vaccination is part of the exercise of the medical art reserved for doctors. They must meet all the legal requirements for medical practice. In the same law, pharmaceutical art does not include the administration of vaccines, nor does it refer to the delegation of powers by doctors to the benefit of pharmacists. To date, in addition to physicians, nursing practitioners can also administer a vaccine on prescription from a physician, since the amendment in 2016 of the Royal Decree of June 18, 1990, which regulates the technical acts of delivery of the nursing art. Nurses are allowed to administer the vaccine without the presence of a doctor. They are supposed to organize themselves so that they can reach a doctor in case of complication and in any case be able to provide first aid. I can inform you that with regard to this nursing act and its remuneration, I do not intend to change it. We changed the scheme in 2016 and that is fine. The FPS Public Health is currently investigating whether it is possible to optimise the vaccination coverage of the population by extending the administration of vaccines to providers other than doctors and nurses. This research is carried out independently of professional interests, including nurses. I intend to seek advice from the Supreme Court of Doctors-Specialists and GPs on this matter. I also note that the Pharmacists' Council, established by law of 22 April 2019, has still not been established. Once that has been done, it seems clear to me that he is also expressing his opinion on the subject that the medical profession is prepared to deal with. I believe that there is still a number of opinions to be drawn up on this subject and, above all, that doctors and pharmacists should also be consulted, because I see all kinds of points of view now. This will have to be cleared up. We already have a lot of information, but not everything. You ask me if I will issue legislation in this area. I don't know how much longer I'm here, but drafting new legislation is not one of the tasks of a government in current affairs. Get some advice, that's okay.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u38	Madam Minister, thank you. I understand that the competence for health prevention and therefore for vaccination falls within the purview of the federated entities, but this is still a federal jurisdiction, since it is a question of an INAMI nomenclature. The message I wanted to address to you on the margins of this question was that it was legitimate and necessary to create a White Blouse Fund, but that it is just as important, besides, not to devalue the nursing profession by expanding certain aspects of the profession – much less hasty and much less by not working with them. The message that comes back to me very often is that there is a lack of staff in the pharmacy. The question is how we can attract more pharmacists without being able to provide them with guarantees in relation to new tasks that would be asked of them. We must pay attention to this point. I hear your willingness to have a consultation with the Higher Health Council, doctors and pharmacists. This is an approach that I fully encourage. Thank you.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u39	Thank you for your interesting answers, Madam Secretary. My colleague has just listed a number of countries in the introduction to her question, but she has forgotten Brazil. Of course, the comparison does not go one-on-one, but in any case the vaccinations are administered by pharmacists. People are laughed at when they go to a doctor for vaccination, which undoubtedly has to do with other cultural historical backgrounds. Smaller things, such as measuring blood pressure or small sutures, are also done by a pharmacist. This has undoubtedly also to do with the coverage of pharmacists and doctors there. It is likely that everyone agrees that there are advantages to the expansion of the group that can vaccinate. For example, the coverage is increased and two visits to the doctor are no longer required. I am therefore pleased to hear that you are investigating what is possible. I understand that you are waiting for some advice, but I will not fail to follow it up. If I have understood you correctly, you will not shoot everything and you will be open to the suggestion of enlargement in the future.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u40	Question No 55001348C by Mr. Ben Achour is transformed into a written question.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u41	Madam Minister, the report of the Federal Health Knowledge Centre, published on 29 October 2019, shows that healthcare for asylum seekers in Belgium is unevenly organised. Access to health care depends on the status and whereabouts of the asylum seeker. There are about 20 to 25,000 people each year. People staying in a shelter managed by Fedasil receive free primary care. Others are staying in local reception initiatives managed by local OCMWs themselves responsible for financing, for example, children's glasses and painkillers. For unaccompanied minors there is another system where the guardian has an obligation to register the minor in a health insurance scheme. The coexistence of these parallel systems is a complex maze, both for asylum seekers and for caregivers. On the basis of the research, the KCE proposes harmonising the systems and providing a single general envelope. The KCE estimates that this harmonisation is financially feasible because it concerns a relatively limited group. What is your response to the analysis of the KCE report? Do you intend to discuss the report and recommendations with stakeholders and relevant ministers? What measures have you taken in the past legislature to organise health care for asylum seekers less complex and more harmonised? How do you estimate the impact of this? What steps will you take to organise access to healthcare for asylum seekers in a harmonised way? What means will you make available for this?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u42	Mrs Merckx, I have taken note of the contents of the KCE report to which you refer. It sets out various possible scenarios, such as all reports of the KCE, to ensure more equitable access to healthcare for applicants for international protection, as they now call asylum seekers. A unified system is indeed in the interests of both asylum seekers and care providers. The care providers must have a transparent system and, above all, they must know which care will be reimbursed and how and to whom they will have to bill. For Fedasil there is also a need for more administrative and financial simplification, so that they could deal primarily with their core tasks. My services analyse the different slopes proposed by the KCE. Something's gonna be formed out of that. If legal and regulatory adjustments are needed to implement this simplified system in the future, we are, of course, currently limited in our competence by the current cases. This will then result in a proposal that can be made to the next government.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u43	Madam Secretary, thank you for your reply. I remain somewhat hungry, but I do understand that it is difficult in current cases to find definitive solutions. From my own practice, I want to testify that it is not easy to find out what people are entitled to when they come to consult. There must be a whole administrative process in order to be paid if necessary. As a result, I often see these people on a voluntary basis during my consultations. There is also a lack of harmonisation. Some OCMWs pay back certain items that other OCMWs do not repay. So there is also inequality in this area. Harmonisation would be a clearer and simpler policy and would be better for the health of those people.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u44	Madam Secretary, mental health care is a hot topic, because mental well-being is under pressure from many of our fellow human beings. There is certainly still an unmet need for mental health care, we think. There are gaps in care. In your answer to the previous question, I have already heard you say that you read the reports of the Knowledge Centre with attention, so I assume you have also read the report of the Belgian Federal Health Knowledge Centre on the organisation of mental health care for adults.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u45	Absolutely, I do that at night between 2:00 and 3:00.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u46	In that case, I'm a little ahead of you, because I'm reading between 1:00 and 2:00. You have no doubt read that the main conclusion is that there is little data available to carry out an in-depth investigation. It is unclear whether or not the available care meets the needs, whether there is overlap or where there are shortcomings. However, we should know that, because our guts indicate that there are shortcomings and unmet needs. The report contains some recommendations. The KCE highlights the need to optimise data collection and data registration at the three levels of mental health care. These three levels do not concern the political levels, but rather the use, needs and supply. The KCE calls for a legislative initiative to this end. There is a need for a single online information point where everyone can access the various forms of mental health care services. For sp.a, accessible and affordable care has always been a focus. Help in mental health must be accessible and as close to the people as possible. Madam Minister, will you cooperate with the Health Care Knowledge Centre by creating a federal legislative framework for data collection and registration of mental health needs? Or, better yet, is that exercise already going on? The Knowledge Centre also explicitly asks for the first line in mental health care to be affordable, accessible and close to the people. That question keeps turning. Have you made an evaluation of the reimbursement of primary care, the psychologist? Is there any possibility of an extension of primary care in mental health care?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u47	Minister, my colleague has just mentioned the subject, and I am not going to read my question again. In the KCE report, there are shortcomings in the ability to know whether the provision of care meets the needs, on the data, on the accessibility of care – there is the cost side and sufficient information, easily accessible to people with mental health problems. Madam Minister, you have certainly read this report. These are such important issues that, even in day-to-day business, we can move forward without disrupting things. There is a need to improve the existing system and improve the flow of information between federal and federated entities. Could there be reasonable progress on effective mental health encoding systems to provide a snapshot of needs and supply? Could progress be made on clarifying and improving the coordination of access to care? Could we move forward on a single online portal as well as on different existing structures? Beyond the jurisdiction of the federal government, it seems to me important that these KCE recommendations can be discussed at an interdepartmental Health conference. It is known that Belgium has the highest suicide rate in Europe, especially among young people. This finding is chilling and must mobilize us. This KCE report on such issues brings added value and must be able to be taken in full hands by the competent authorities.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u48	Madam Minister, in 2016 the Belgian government, together with the Communities and Regions, took a step in mental health care. The aim was to focus even more on community-oriented care, in which the person is treated in his own environment. In this context, the KCE was asked to map the organisation of mental health care for adults. That report was recently published. The KCE analysed the scientific literature, databases, websites and annual reports. In addition, it organised focus groups and a very extensive survey of representatives of all players in mental health care. Firstly, there appears to be no reliable data on the needs of our country, which makes it impossible to determine whether there is adequate and appropriate care at present. It is impossible to determine how performant the current organization of mental health care is due to a lack of data. When will the section on the mental health care of Sciensano be published? Secondly, the participants in the research of the KCE indicated that, in their opinion, there is little trust between the field and the governments. They also indicated that the current powers for the organisation of mental health care are too fragmented and that more centralisation would be needed for a performing organisation. What measures could you take in this regard? Thirdly, the mobile teams were considered by the participants as crucial for the care continuity. There were several concerns, including about the large regions, with unclear boundaries; about the scarcity of staff and financial resources, which could not guarantee the presence of a full-time psychiatrist; about the lack of a real hierarchy, because multiple caregivers in mobile teams work for different employers; and about the lack of clarity when they can be deployed. What measures are you going to take, in addition to the additional eight mobile teams you have set up, to meet the shortage of staff and resources?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u49	Mrs Fonck, Mrs Merckx, this report was indeed requested from the Knowledge Centre because the organization of mental health care was always treated fairly stepmotherly. As regards the recommendation on data collection and registration of mental health care, on 21 March 2016, the Interministerial Conference on Public Health approved the protocol agreement on the collection of the global minimum data, with a view to a common registration of all active mental health care facilities. This approval means that all levels of government undertake to include in their respective regulations the mandatory launch of a common survey of all mental health care facilities. Although the minimum data set was defined, it was never agreed how they would be recorded. One of the starting points was that for a common record, data should be removed as far as possible from existing databases already used in the health sector. Patients should also be able to be followed along their journey of care. However, this implies the use of a unique identification key. It was also agreed that the Flemish government would investigate to what extent RAI-Mental Health and RAI-Community Mental Health were useful to complete the minimum dataset in full or in part. The finding was that this instrument is useful for long-term chronic care, but unsuitable for short stays and outpatient care. An alternative was to look at the invoicing data at the FOD, the RIZIV, the InterMutualist Agency and data from the electronic patient file, but nothing concrete came out of it. The search for a full alternative should be put back on the political agenda of the Inter-Ministerial Conference. A comprehensive scientific study is planned to thoroughly analyse the reimbursement of first-line psychological care by clinical psychologists or orthopedagogues and the possibilities of evolution and adaptation. The steps for the award of the contract will be completed in the coming weeks. As regards the point of access to care and information for users and their entourage, this is certainly an interesting practice. It should be noted that some mental health reform networks have already developed such a system. The part of mental health care that has been investigated by the health survey will be delivered to us in the short term, mid-January. That is what we are waiting for. We are convinced that this will produce important figures, not least because children and young people were involved for the first time, a group on which epidemiological data have so far been limited. Mr Bertels, we have already discussed possible enlargements. I believe that it is essential to use even more on the first line. The same networks should also provide psychological care in the first line to 60+. No other networks need to be created for this. Those people need to be able to stay inside these networks, even after they're 60 years old. Strengthening the outreach teams was a good thing. It was about almost 400 full-time equivalents. They seem to be working well. There's a lot of need on site. People are also confronted with care that is needed at night, at weekends, on public holidays and so on. If one wants to have a permanence where at least one person is always present, then one must have six full-time equivalents in service. That's true for surveillance, and that's true in the centers, that's true for outreach teams too. I believe that the outreach teams need to be strengthened, or there needs to be more. After all, there are those who need to serve a large region. So we certainly need to invest further in mental health care. There must also be better cooperation with the Communities with a view to sensitisation and prevention. We must continue to work on this. Major steps have already been taken, but we are far from there. Emergency's rising all the time. Mr Bertels, I will be pleased to tell you that there are four more reports from the Knowledge Centre on their way to us.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u50	As far as the latter is concerned, we will soon know what we have done, Madam Minister. All madness on a stick, the Federal Knowledge Centre for Health Care is an important research institution in our country. That has an absolute added value. As far as we are concerned, the reports of the Knowledge Centre also have added value. We must therefore take up these reports. And I understand you want to do the same, Madam Secretary. After all, the data collection and registration, as agreed in the 2016 protocol agreement to which you referred, did not work properly in practice. I'll express myself very diplomatically. In some areas this has not even happened. We must take that up and ensure that there is proper data collection and registration. Madam Minister, the need for a unique online information point is also great. There are several information points, but they are somewhat diversified. A unique online information point for users is also an absolute necessity. As you know, we support the strengthening of mental health care, that is absolutely necessary. Maximum deployment is required on the first line. It needs to be extended to the sixty-five-plussers. The permanence must also be strengthened. That is absolutely necessary. After all, there are still areas in our country, and that is unacceptable, where there is no care available on weekends and nights because there is simply no offer. Some health care services and security services, for example, the police, are there with their hands in their hair when they need mental health care at that critical time. Madam Secretary, I hope we can get there quickly. You will find in our supporters to strengthen mental health care.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u51	Mr President, I will not tell the minister that nothing has been done. Progress has been made, but there are still major gaps in relation to the challenges and findings that need to be addressed. These are important mental health issues and problems. Whether it's about coverage, proximity, financial accessibility, but not just the maze in which patients and families find themselves too often not knowing very well who to turn to, all these aspects must clearly be able to be put on the table to provide very concrete answers between federal and federated entities. I want to say that it is together that the most effective responses to needs must be found, regardless of the levels of power. That must be our priority. Mental health in this maze appears to be a striking element. I hope that, through the interministerial conference, you will still be able to make certain points with the federated entities in the coming weeks, even if we are still in business. Beyond that, with regard to the future government, mental health will have to be a central concern of health policy.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u52	Madam Secretary, thank you for your reply. If we can be proud of our Belgian health system in general, then there is still a great deal to be done in the field of mental health care if we compare ourselves with other countries. In Germany, for example, a psychologist can be visited for two years with a full reimbursement by health insurance. On the other hand, we have seen in recent years, as part of the savings logic in hospitals, that fewer and fewer beds are available for psychiatry. The first-line assistance provided on site is effective, but it certainly is not sufficient to meet demand. Where many patients could previously be treated in hospitals, this is no longer possible. They're actually in a no-man's-land without care. You also mentioned the problems with the data collection. That is, of course, sad and it is of course wheat on my mill. Because I am opposed to this split-up in our country. It is time to re-federalise certain issues. You probably also heard yesterday about the savings made by the Flemish Government. Mr Beke finally came back to the savings on the suicide line, but there is still a cut in the budget of the Flemish Expertise Centre Suicide Prevention. That is an outrageous measure, and I would have liked to hear your reaction to it.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u53	I do not want to respond to decisions taken by my Flemish colleague; I would say that each one is miserable. Minister Beke will have to find a solution to that and we'll see how he does it.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u54	On the other hand, if you know the number of suicides in Belgium, saving in that sector is really bad for our patients.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u55	You said it already, shredding health care is not good. Less prevention means more people will be affected by diseases and diseases. Apart from the costs that will be much higher, the misery they face could also be partially avoided. You don't have to convince me, I was the first to say that fragmentation is not good for health care. Anyway, there's gonna be other voices too. It seems that we are going to be able to remedy this with even more fragmentation.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u56	Minister, since 2018, Questran, used in particular in the treatment of hypercholesterolaemia, is regularly out of stock. This unavailability is not without consequences for the health of patients who really need it. Recently, I have again received the testimony of a family, deprived of the medicine for one of its children who has an orphan disease. Lack of treatment causes severe pain in the child and the parents feel destitute. Minister, what is the current situation in terms of the availability of the Questran? Is a structural solution envisaged or possible? If so, within what time frame? In the meantime, how to meet the immediate needs of these patients at no extra cost? What can you advise affected patients who are far from isolated cases? What therapeutic alternatives are available to cover patients' needs?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u57	Mrs Tillieux, thank you for your question. The AFMPS was informed by Cheplapharm Arzneimittel that the Questran would be unavailable from August 14 to December 25, 2019. The possibility of a derogation for the importation of a foreign consignment by the firm was checked with the company concerned, but this is not possible because there is a problem of availability of the active substance: cholestyramine. The Questran will be unavailable in almost all European countries. For some indications, however, there are a series of alternatives such as statins and cholecystitis. In this context, patients are advised to consult their doctor. Only the latter can offer another treatment. If treatment adjustment is not possible, the pharmacist may, on the basis of a doctor's prescription and statement, import a medicine based on Cholextyramine. As you know, a bill has been introduced to allow the additional costs of these types of imports to be borne by companies responsible for the unavailability, so that neither the patient nor the health insurance must pay for the addition. In addition, new regulations will make it possible to import drugs for individual patients in a simplified and efficient manner, through the dispatcher wholesaler. Currently, it is the official pharmacist who takes care of it.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u58	Madam Minister, thank you. It is a shame to have to find this unavailability in the long term, because of the unavailability of the basic active substance and which is reflected in other countries. Most European countries question what is the patient's vision. When a drug is on the market, it is still very complicated to hear that the active substance is no longer available and that you will have to stay for six months without treatment. This kind of situation is unacceptable. I hear there are alternatives. I will therefore inform the people concerned of your proposal.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u59	Mr President, Minister, a while ago we read that you are working with eight other European countries to monitor the development of new and expensive medicines and to enforce better prices. I understand that through a central database all possible information on medicines and medicines can be shared under development. In this way, the various governments hope that better prices can be enforced in the negotiations with the pharmaceutical sector. Madam Minister, I simply have a question for a state of affairs and for the practical development of cooperation. Firstly, how should we imagine cooperation? Will it be done through some kind of monitoring system? Can you explain more about how this will be done in practice? Secondly, when is the effective start of cooperation or is it already underway? Thirdly, I have a very factual question. I may be mistaken, but I think I have seen that it concerns Belgium, the Netherlands, Luxembourg, Ireland, Portugal, Lithuania, Denmark, Switzerland and Norway. I do not see Austria appearing in that list, with which you have an agreement or cooperation with the Benelux countries. Why is that? Is it correct what I saw?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u60	Mr President, Mrs Jiroflée, I very much welcome the creation of the International Horizon Scanning Initiative of IHSI, which is a good thing. It originated from the BeNeLuxA initiative. It is a new step towards international cooperation in the field of medication, together we will explore the drug horizon in search of potentially important developments and trends. These may be expensive medicines that put a great strain on the pharmaceutical budget, or very innovative medicines, which have a strong impact on the provision of health care. Mr Bertels, the design and methodology of the joint system of horizon scanning IHSI is also based on the KCE study Horizon scanning for pharmaceutical products: proposal for the BeNeLuxA collaboration. We have proposed this to nineteen countries at the hotel Bloom. Mrs Irina Cleemput of the Knowledge Centre has proposed the plan there. The IHSI will lead to the creation of a database bringing together all publicly available information on medicinal products in the pipeline. After filtering the products in the database based on predefined variables, so-called high-impact reports will be prepared and an analysis will be provided for treatments with potentially significant impact. These high-impact reports can be used by national policy makers to better anticipate innovative treatments, for example to prioritise drug spending, to take into account the emergence of new alternatives when evaluating existing resources, to identify the place of new treatments in the existing directives, to set up specialised centres and to train health professionals, to identify areas for which there are insufficient treatments, such as unmedical needs and others. The output of IHSI will also allow to identify products that may be the subject of a specific BeNeLuxA project for joint reimbursement negotiations. By beating our hands together, we are stronger when it comes to price negotiations and can certainly be negotiated a better price for social security. Also in the field of evaluation, the health technology assessment of these new medicines, existing expertise can be shared and savings can be made in duplicate. When we talk about genetic medicine, the number of experts is not so high. We share the efforts there, because with more people we always know more. It is an independent body, established as an international non-profit association and financed only by its members, i.e. the countries that are members. Founding an international non-profit association has had a lot of legal problems. I invite you to do the same. The first official meeting of IHSI took place on 29 October with Denmark, Ireland, Luxembourg, the Netherlands, Norway, Portugal, Sweden and Switzerland alongside Belgium. Now that the establishment is official, the tender of the database will be further developed. The call for tender is expected to take place at the beginning of 2020 and the decision will be taken on which organisation will develop the database for IHSI. We hope to have this at our disposal six months after the contract for the database has been awarded, and that a first high-impact report will follow soon. Austria is indeed not part of IHSI, although it remains part of the BeNeLuxA cooperation. However, it is a spin-off of BeNeLuxA. In fact, there is no compulsory participation for the countries that belong to BeNeLuxA: they were allowed to decide that themselves. The current official absence of Austria has everything to do with the erratic political situation there, although we do not have to say much about it. Austria remains committed to joining IHSI. There's been extensive conversations and there's still going on. The Austrians have also provided technical support to IHSI. The country is therefore cooperating, but is not yet an official partner as a result of the political situation there. From many corners of the world, the partnership is followed with great interest. There are also talks going on with other interested countries. The partnership already has nine members. Austria is actually a partner, but not officially. That brings the number to ten. If a few more countries join, we will be able to work on a truly large scale. Then the burden of carrying becomes less, too. We must also find funding for this. In any case, it was not easy to put the link together legally. There is also a whole governance associated with the process. I've been working on the foundation. Now there are meetings and I've appointed a cabinet officer to follow that file closely. It's a nice job.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u61	It is indeed a fine work, which is an excellent starting point. The sp.a has the impression that Sciensano always does a good job and found it an attractive project. What you say strengthens me in that conviction. Let us hope that the project can indeed be launched as quickly as you indicate and that it also provides the basis for better and closer cooperation with several countries in direct negotiations. Thank you, at least, for your answer, Madam Secretary.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u62	Mrs Depoorter has been prevented from attending another committee.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u63	Mr President, I have just met Mrs Depoorter. She will translate her question into a written question, but I would like to ask my question.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u64	Mr President, according to the Rules of Procedure, can this be done?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u65	Actually, I think the question will lapse. I told Mrs Gijbels that too.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u66	If a Member is here, he or she has the right to ask the question, but I never knew that the questioner could turn it into a written question. That's going through a different circuit with us. Mrs. Fonck, you've been here a long time, too. We've never been through this. It's either one or the other.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u67	I told Mrs Gijbels the same way. If the question has been asked, she's gonna end up here. In this case, Mrs Depoorter's question lapses.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u68	Thank you. So my memory doesn't leave me yet.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u69	Mr President, at least I told Mrs Depoorter that I would ask my question, so I think she can agree with that. Madam Secretary, I'm talking about a cure for cardiac arrhythmia that's been around for 40 years, mexiletine. This also appears to work well in rare muscle disease non-dystrophic mytonia. In the Netherlands, the medicine has been reimbursed for this application since 2014. However, last year the medicine for this application was registered by manufacturer Lupin as an orphan medicine under the new name NaMuscla. Lupin can now set a new price and our northern neighbors fear that this will be a multiple of the old price. In the meantime, we know the system. The old medicine cost the patient about 4,000 euros a year. In the United Kingdom the new medicine has already been marketed and the cost for the patient there is 80 000 euros per year. Madam Secretary, I have the following questions. Firstly, what treatment is there in Belgium on the market for non-dystrophic myotonia? Are these patients also treated with mexilectin? Secondly, are there any plans to put this new medicine on the market with us? Is there a request for recognition for NaMuscla in Belgium? Thirdly, has this been discussed at European level? With what results?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u70	Mr President, Mrs Jiroflée, NaMuscla was authorised by the European Medicines Agency on 18 December 2018 with the status of orphan medicinal product. This means that NaMuscla has been authorised as an orphan medicine in every Member State of the European Union, including Belgium. It is the only medicine with the active ingredient mexiletin authorised in Belgium. However, the medicine is not commercialised in Belgium. This means that the company has not yet applied to the FPS Economy for a price determination. You know the circuit. If there is no price determination, no application can be submitted to the CTG for reimbursement. So it's only the firm that can take that initiative. Mexiletin is now also used in Belgium for the treatment of non-dystrophic mytonia. The medicine is imported by the pharmacist from abroad, on prescription and with a doctor's certificate, and thus prepared for the patient. That may continue to happen for the time being, but probably we are not interesting enough to make that application. They could have done it for a year, but they didn't.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u71	That is why I asked if it had already happened at European level. Has it been commercialised in other European countries? Or only in the Netherlands?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u72	We only know that we have never received an application and that no requests have been made. Apparently that has happened in the Netherlands. We do not know about other countries, but they have had time for a year.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u73	Madam Secretary, thank you for the answer. We'll follow up on this.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u74	Madam Secretary, is it true that you have to leave at 4:30 p.m.?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u75	Mr President, that is correct. I have an appointment for the Warmest Week in Antwerp, which was brought forward. So I'll have to leave sooner than agreed, for which I apologize. Unfortunately, there's only one Warmest Week. I'd say it's a "warm year." I couldn't choose the day either. Excuse me. It's the first time this has happened in all these years.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u76	No problem. You're excused.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u77	Mr President, since a number of questions have been asked a long time ago and we will not see each other again until 14 January, I wondered if certain preparations could be communicated in writing so that there would not be another 50 additional questions in January? If I now turn my questions into written questions, but I have to wait another month before I get an answer, and then there are two more vacation weeks... I just wondered if there are any possible preparations that we can share. I'm just trying to be constructive.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u78	It's always possible.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u79	Yeah?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u80	(...)
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u81	Mrs Creemers asks whether the answer is ready and can be delivered fairly quickly, or whether it will take another month. I assume that this depends on the question in question.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u82	We must also have the answer translated, because now it is only in the language of the questioner, while the answer to a written question must be given in the two national languages. I'm sorry, but the records are all closed between Christmas and New Year. So it will happen, but I can't dress up like Santa Claus and sit behind those people and tell them what to do.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u83	That's not the point. Then I'll just leave them as a written question. I just wish that...
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u84	Okay, but you have an answer to your question. I suggest that we continue to work for the 15 minutes that we have left, and then you must decide whether you like it or not. If the minister agrees, we are going directly to question 67, because there is a certain urgency that Mrs Fonck will explain.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u85	Yes, because there is a certain urgency in relation to the young people concerned. Are you following me, Minister?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u86	(...)
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u87	Yes, but that question is on today's agenda.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u88	(...)
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u89	Yes, but it's a very important question.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u90	Mr President, I do not have the answer.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u91	These are young medical assistants specialists (MACS) who are expected to leave, for some, as early as January. They have a scheduled internship, and a ministerial decree that you took in 2016 excludes this possibility for certain specializations: the type of level 3, nephrology, hematoclinic, nuclear medicine, neonatal medicine etc. What are we doing with these young people? Will they be told that things are still not settled legally, and that they cannot leave when they have that in their internship? It's very important, Minister. If you tell me that this matter is settled, even if the ministerial decree says something else, but it can be changed, including retroactively for those who have already left the last two years, I will satisfy myself. You will send this to me in writing. It is such an urgent problem that I do not want to wait until the end of January to clarify things.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u92	We'll send you the answer. Indeed, the adviser who deals with this matter is not in the firm today.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u93	If it's only in Dutch, it suits me very well. I don't need the translation.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u94	It's not difficult, but you have to contact him.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u95	You also had a question on the same subject, Mrs. Gijbels?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u96	Mr President, I have here a summary of the text of my question, but I would like to make it clear that the subject is urgent.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u97	Do we have to understand that you are turning it into a written question or do we have to wait until January 14 to deal with it?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u98	We'll send the answer.
