ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u1	Debates of the European Parliament Mr Thiéry's 26069 will be dealt with in the Committee on Health.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u33	That was a free comment. On the other hand, I take note of your answer, which refers to the establishment of a zero strategic reserve, which can be revalued. But you have not answered me as to the question of the capabilities that could be added to this zero strategic reserve. Where to go for this energy, if we were to increase the strategic reserve for 2019-2020? It seems to me that you have already called on a lot of actors for this winter. Are there hidden reserves that could be operated? You told me that you were going to anticipate this likely shortage and that you were maintaining the task force. Where will you go to look for production capacity?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u34	Mr President, I have indeed answered in a stoning manner. I'm going to go into more detail. There are two problems. First, there is the evolution of the situation on the ENGIE side. Then, with the evaluations of DG, CREG and Elia – a growing work on which we want to have a precise view in September – there is the state of the market. Of course, what is in the market will remain there because it will cost the consumer less. We're going to do this evaluation. Based on the calculations made by these three institutions and the advice they will give me, we will see what non-market capacity can be used in a strategic reserve that would be above zero. Once we've gone to the end of what exists, as long as everything works, we can do it. We've proven it this winter. Everything that could work under ENGIE has been implemented. These capacities were mobilized in the market as the reserve was zero.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u35	Thank you, but I will return to the subject.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u36	Madam Secretary, thank you for your reply. I'm a little confused. On 15 January 2019 the strategic reserve was officially set at 0, but on 11 January there was a letter from ENGIE. Did you receive it on January 15th or not?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u37	Yeah, I had it.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u38	You had that letter on January 15th, but no account has yet been taken of the new data?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u39	Yes, we did. I asked for a reassessment on the basis of this letter and took it into account.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u40	Thank you.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u41	Mr. Chair, I thank the minister for her answer, but we will have to keep an eye on that.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u42	Madam Secretary, thank you for your reply. One more point. It is important that the communication that appears from each partner is correct and agreed within the task force, because often what one of the partners says has a great impact on the energy market. We often see these prices go up or down, depending on what the partners say. It is therefore important that good cooperation remains within the task force.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u43	Mr. Chair, Minister, the draft legislation establishing a capacity compensation mechanism was approved at the Council of Ministers on January 11. Have you received the opinion of the Council of State and when are you going to present this draft to Parliament? Just like nuclear supplies, there is an urgent need and we are ready to work with you.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u44	Mrs Lalieux, the Council of Ministers in Routine Affairs has approved the sending of the draft bill to the Council of State, whose opinion is expected on 12 February. I am still considering presenting this draft as soon as it comes from the Council of State and having it adopted before the end of the legislature. We will, of course, propose it to Parliament in the form of a bill.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u45	We'll be here to work, minister.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u46	Minister, CREG has pointed out that the unavailability of nuclear reactors has an impact on prices and that it is ultimately the consumers who will pay for the broken pots. I would like to know whether the government will respect its word and obtain compensation for consumers or whether it is simply a promise in the air made by the Prime Minister. What is the status of these negotiations with Electrabel?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u47	Mrs Lalieux, there is no negotiation possible in such matters as these, since we are looking for ways to act on the liability of the debtor. I told you that, technically, there are several solutions that are being considered by a law firm. In practical terms, namely the height of the damage, the CREG told us that we had to wait until we had a complete view of the entire winter, that is, two exercises, knowing that we have already received a notice from the CREG which is already visible on its site. This is a January 24th study on 2018 prices and their evolution. It will obviously be necessary to do the same exercise in 2019. It is this comparison that will give us the result.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u48	Minister, this is going to take a long time. I fear that consumers will be paying for two years, three years, six years anyway.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u49	Mrs Lalieux, that's all the damage and nothing but the damage. You know the law. It is accessible to everyone. That's the theory of responsibility. So we are not going to over-remove one to give the other in an exaggerated way. Just the damage!
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u50	You know my position on the reduction of VAT. We've been repackaged! So the case is closed here in Parliament.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u51	Mr President, this is another question of timing. On 7 December last, the Council of Ministers approved a preliminary draft law aimed at launching the procedure for the construction of new offshore wind farms from 2020 onwards. Minister, have you received the advice of the Council of State? How long are you going to table it in Parliament?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u52	Madam Member, the draft bill concerns not the construction of new parks as such, but more specifically the organization of a competitive or tending procedure for granting concessions to future offshore wind farms to be built in the new 221-square-kilometre area in the North Sea and to achieve an installed capacity of 4 GW in 2030. In view of the formulation of the trending, the main aim is to create better competition, thus a better price for the consumer, who must also benefit from the evolution of this now mature technology. This preliminary draft law, which is a draft framework law, is the result of the implementation of the energy strategy decided on 20 April 2018. The opinion of the Council of State in its preliminary version was issued on 30 January 2019 and its final translated version was received yesterday at the end of the day (i.e. 5 February). It is now under review in my office, as well as in my colleague, the minister responsible for the North Sea, and by the administration. The preliminary draft was discussed no later than this morning in a consultation committee. It passed like a letter to the post office. And after taking into account the opinion of the Council of State, it will be examined in intercabinets meeting, then second reading in order to obtain the authorization to introduce it into Parliament and submit it to your debates.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u53	Madam Minister, thank you. I imagine that this is the same as the three other projects that have been mentioned and that you want to work for it as quickly as possible, so that it will be implemented by the end of the legislature.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u54	The answer is yes!
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u55	Madam Secretary, the coalition agreement states the agreement to introduce the energy standard. That intention was incorporated into the federal energy strategy of 30 March 2018. Before the fall of the government, you were working hard on a preliminary draft to introduce the energy standard. My questions are actually very simple. Where are you on the preparation of the bill? Is the lyrics almost ready? Can we expect that text in Parliament? We are looking forward to it, because we really want to do something about this.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u56	Mrs Dierick, I have no answer in Dutch, only in French. We can provide a Dutch answer, but now I can only give the answer in French. First of all, it should be recalled that the government agreement, when referring to the energy standard, begins by indicating the need for collaboration with federated entities. The first sentence of the agreement that speaks of the standard says: "The government will establish an energy standard in cooperation as much as possible with the federated entities." It should be noted that a standard that would be only federal has no meaning. The decrease in one component of the electricity bill could be offset by an increase in another component and would therefore render the transaction unnecessary. At the risk of repeating what I have already said on many occasions, in terms of how to act on prices, when a problem is detected (which is the virtue of a standard), the federal government has identified four items: the cost of electricity, the cost of transportation, offshore overload and the federal contribution. In relation to each of these components, we examined what can be done. For the price of electricity, we are powerless because it is fixed by the market. It is therefore, a priori, very difficult to act, but not impossible, since by developing our project of a mechanism for the remuneration of capacity, we intend not only to face the exit of nuclear power but also to bring about sufficient capacity. This offer, more suitable with demand, will play on the price of convenience. As far as offshore overload is concerned, a reform of the degression mechanism to adapt it to the guidelines of the European Commission is, as you know, under way. The aim here too is to preserve the purchasing power and competitiveness of electro-intensive enterprises. With respect to the federal contribution, we did not want to act to reduce it because, in fact, it funds funds to support sheltered residential clients. This is commonly referred to as the social tariff. We therefore preferred the cost of transportation in order to introduce a standard by means of an amendment to the Act. Last July, a text was discussed in a working group in order to propose a preliminary draft law with the aim of establishing, on the one hand, a monitoring of electricity prices and, on the other, a comparison of those practised in neighbouring countries. It is therefore from the point of view of protecting purchasing power and defending competitiveness that we have addressed the issue. Secondly, the text provided - in the event of price or competitiveness problems - for the regulator, namely CREG, to be entrusted with the means, with a guideline, to intervene on transport costs. As you know, a study common to all regulators should allow for this monitoring and tariff comparison. Their aim was, at our request, to set a schedule and determine the role of each. These actions are under way within FORBEG, the informal body hosting the consultation of regulators. The text I am talking about has not been approved, because it increases the burden on some companies that are large consumers. Since December 21, the government has been in day-to-day business. As a result, it no longer has the necessary majority to complete the development of an energy standard. The only initiative we have taken was to commission price monitoring and tariff benchmarking studies for neighbouring countries. That's the state of the matter!
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u57	Madam Secretary, thank you for your comprehensive answer. Many steps have already been taken and I also realise that the government cannot intervene in all the components of the energy price. You explained that very well. It is a pity, of course, that the fall of the government has prevented us from continuing to work. Parliament can work on this. So we can work together. I believe that there is a great willingness in Parliament to take initiatives. The energy standard is an important aspect for both companies and families. We still have a number of weeks before we can get to work. As a Member of this House, I am certainly prepared to work on this.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u58	Anyone affected by a leaking fuel oil tank and who has to pay for the cost of cleaning up the land will have to bear the costs. The Council of Ministers has approved a cooperation agreement with the Regions for the implementation and financing of the soil restoration of gas stations and gas oil tanks for heating purposes. The heavy costs could thus be recovered from that fund. What's the status? How much of the remaining funds from BOFAS will be transferred to the new PREMAZ Fuel Oil Fund? Will these resources be sufficient to meet demand? What steps do the various authorities, the Regions, still have to take to reach an agreement? When will private individuals be able to use this fund? Can legal persons also benefit from that aid?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u59	Mr Wilrycx, as far as your first question is concerned, a third call to service stations is being launched via BOFAS. As a result, the maximum available resources are used to clean up the gas stations. The maximum scenario for that call shall be evaluated at EUR 62 526 800. The reserve resources of BOFAS, less that amount, can be transferred to the new bottom-up fund for gas oil tanks to be set up. The balance is currently estimated at EUR 96 945 000. That available balance at BOFAS, with the exception of the amounts required for liquidation, may be transferred to the new PREMAZ fund after BOFAS has made the last payments linked to the third call. The resources available will not be sufficient to fully finance the PREMAZ Fund. Consequently, a further contribution will have to be paid by the consumer and/or producer after a certain period of time. As for your second question, the text has just been submitted to the respective parliaments of the three regions and I expect its adoption in March or April. As regards your third question, once the cooperation agreement has been published and entered into force, there will be a three-year notification period. As far as your last question is concerned, it is indeed the owner and thus the person responsible for the gas oil tank, who makes the request for intervention.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u60	Madam Secretary, thank you for your reply. It is a good thing that there is finally a solution to the problems of leaking gas oil tanks that have been going on for years. For some people, the costs are very high. The text will be dealt with in the three regions. I hope that this legislative period will be completed so that the citizens concerned can submit their applications.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u61	Madam Minister, I have been trying for some time to get a closer look at the lifetime adjustments and related investments for Goal and Tihange. On 18 January 2019, ENGIE informed you by letter that three nuclear reactors may not be active during the next winter. ENGIE claims that a maintenance of Objectives 1 and 2 and Tihange 1 is planned to extend the life of the nuclear power plants. Through his spokesperson, Hellen Smeets, the electricity producer said: "So far, the three nuclear reactors in question, the oldest reactors in the country, will remain stationary until the second half of this year, but we would like to point out to the Minister that the works may take longer." ENGIE Electrabel also states that the company wishes to point out with the letter that the longer stay of the nuclear power plants are elements to be taken into account. For the time being, you wouldn't have taken any measures. I have the following questions, Madam Secretary. Can you give me an overview of the unavailability of Objectives 1 and 2 and Tihange 1 due to lifetime investments and unplanned shutdowns since the 10-year extension period of the plants started? When will the nuclear power plants stop before the LTO investments? Why were the investments not carried out earlier? Why are the LTO works not carried out in the summer when the risk of supply problems is much less? In the meantime, can you give me an overview of all the LTO investments carried out so far, including the cost? Can you give me an overview of all the LTO investments that have yet to be carried out and their planning? What measures will you take or will you take to rule out the possibility of power shortages in the coming winter?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u62	Mr President, Mr Calvo, in your first two questions, you want to get an overview of the unavailability of Doel 1 and 2 and Tihange 1. The ENGIE platform for market transparency REMIT contains all information on planned stops up to and including 2022. According to information provided by Electrabel, the latest LTO projects will be carried out in the revision that will begin in 2019. According to Electrabel, these investments cannot be carried out earlier for the following reasons. Firstly, the operator has always optimally planned the LTO projects, taking into account the legal framework conditions and requirements imposed by the Authority. Secondly, the modalities for LTO projects were also laid down in an RB. Thirdly, the LTO programmes are being implemented under the supervision of the FANC. Fourthly, in the context of security of supply this winter, we had also, in agreement with the Federal Nuclear Control Agency, limited the scope of the previous Tihange 1 revision to the most important safety work. Consequently, it is the work of lesser importance that is postponed until the next revision. For more technical details, please refer to my colleague, responsible for nuclear safety. Fourthly, there are seven nuclear power plants in Belgium, all of which must be provided with minimum annual or monthly maintenance. The modalities for this are laid down by law. That doesn't make it obvious to fit all these maintenance stops in a year, especially if a long standstill is needed in the context of LTO investments, as is still the case in 2019. The standstills of the plants in Tihange 2, Objective 3 and Tihange 1 all fall somewhere in the summer months. It is therefore not the case that no maintenance work is planned during the summer months. Work schedules also depend on the delivery of parts and the availability of experienced subcontractor services for some work. In accordance with the Royal Decrees of the LTO of the plants, the projects in the three plants concerned should in principle be implemented by the end of 2019. Therefore, the maintenance stops will last even longer next year. To your questions five and six concerning the investments already carried out or to be carried out, the investments under the LTO Tihange 1 amount to about 600 million euros and 700 million euros for Objectives 1 and 2. In Objectives 1 and 2, 85% of these investments were already made and 70% in Tihange 1. Finally, with regard to your seventh question on the measures put in place to avoid a shortage next winter, as I said earlier in replying to another speaker, a security of supply task force met on 31 January 2019. We agreed that the structure and composition of this task force would be maintained by next winter and next winter to monitor this situation.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u63	Madam Secretary, thank you for the answer.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u64	Madam Secretary, this is an annual recurring question as far as I am concerned. It deals with the export of nuclear material, for which the Advisory Committee on the Non-Proliferation of Nuclear Weapons, in the popular name of CANVEK, should give an opinion. Firstly, can you give an overview for 2018 of the authorisations granted for the export of nuclear goods and technology, indicating the time, country and nature of the goods? Secondly, can you also give an overview of the refused files for that period, including the same information? Thirdly, can you outline the evolution of the number of authorisations granted and the number of files refused for the past five years? Fourthly, has the law of 9 February 1981 been infringed in the last five years? What is the outcome of the judicial investigation into the export of depleted uranium gamma-graphy devices to Iran, a file from 2010? What lessons have been drawn from this for the functioning of the CANVEK? Fifthly, has there been any draft cooperation agreement on nuclear exports? Have you had discussions with the Regions on the problem? When do you expect to formalise the cooperation agreement? Sixthly, what other initiatives to improve the CANVEK are in the pipeline?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u65	Mr President, even now I only have the answer in French. To answer the first question, in the course of 2018, 29 authorizations for exports of nuclear and dual-use nuclear goods were signed. In particular, they dealt with the following requests: 1. ten exports of rotary press elements (two to China, three to Russia, one to the United States, one to Argentina, one to Canada, one to Kazakhstan and one to South Korea); 2. an export of hot isostatic presses to India; 3. an export of sodium diuranate to the United States; 4. Two exports of reference material (one to China and one to South Korea); 5. fourteen licensed aluminium exports (six to India, four to Israel, and four to China); 6. Technology transfer to China. In the course of 2018, three refusals to authorise applications for exports of nuclear and dual-use nuclear goods were signed. They dealt with the following requests: - a hot isostatic press export to India; - two exports of hot isostatic presses to China. The evolution of the number of authorisations granted and the number of refusals in the previous five years is as follows: - in 2014, eight authorisations were granted and none were refused; - in 2015, 16 authorisations were granted and none were refused; - in 2016, 15 authorisations were granted and three were refused; - in 2017, fourteen authorisations were granted and two were refused; - in 2018, 29 authorisations were granted and three were refused. With regard to the irregular export mentioned in my answer to your questions Nos 15690 and 23140, it has been communicated that customs have concluded a transaction. An analysis of the situation with respect to the export of high-quality aluminum led to the inclusion of these exports in the federal authorization procedure, which also explains the increase in the number of permits in 2018. With regard to the fraudulent export of radiography equipment to Iran, the investigation is still under way. I refer to my answer to your question No 15690 on the CANPAN approach, in order to avoid this situation in the future. During 2018, an interdepartmental foreign policy conference discussion was held. No problems have been encountered with respect to cooperation between the different regions and the federal authority. The analysis of the regulatory framework by specialized external lawyers was completed in 2018. The translation of the law into a concrete bill and its implementing decrees has not yet been initiated. Given the technicality of this process, this initiative will be prepared for the next legislature.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u66	I would like to thank the Minister for her reply and would like a written version of her reply, so that we can have all the information available.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u67	Madam Minister, it is a matter for our group to question the government about its initiatives on battery technology and battery production in its own country. This is very important for a system of renewable energy. Production will take place worldwide and the question arises where it will take place, here or elsewhere. The European Commission is well aware of this challenge/opportunity and therefore launched the EU Battery Alliance in October 2017, a Commission plan to further expand battery production in Europe. In my exchanges of views with the Prime Minister on the investment plan, I regularly drew attention to this. As far as we are concerned, attracting battery production is an absolute spearhead of a sensible investment strategy. It's just waiting for government initiatives to make that concrete. However, there are Belgian players who can submit the necessary nobility letters in this area. So there are building blocks, but for the time being the necessary political initiatives are lacking to get to work on this. Madam Minister, what has been the Belgian contribution to the preparation of this plan for the EU Battery Alliance so far? What are the government's priorities in this area? What efforts have been made in recent months to enable large-scale battery production in the home country? Do you not think it is necessary to deepen and implement the ambitions in this area?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u68	Mr Calvo, the European Alliance for Batteries was established in October 2017 by Vice-President Sefcovic of the European Commission, together with some EU Member States, in addition to Belgium, Germany, France, Finland and so on, the European Investment Bank and industry representatives. For Belgium, these include Solvay and Umicore. The approach is that the development of a battery industry for the European Union should be a strategic priority, both in industrial and climate terms. Only the European scale can allow us to compete with international players such as China. I have expressed my support for the European Commission on this initiative. The Ministers for Economic Affairs of France, Germany, Italy and Poland, in turn, sent a joint letter to the Commission with concrete action points on which they wish to work. Minister of Economy Peeters and I have written to these countries to inform them that Belgium is supporting the initiative. In early February 2018, the Belgian Permanent Representation to the European Union organised a high-level stakeholder consultation on the Roadmap for a European Alliance for Batteries. In June 2018, a round table was organised by the Federal Public Service Economy. The aim of this round table was to gain an insight into how Belgian companies could be more involved in the initiative. Companies were specifically asked to raise problems and actions on various related themes such as raw materials, recycling, production, infrastructure, financing, etc. At the initiative of the Vice-President of the European Commission, Maros Sefcovic, the countries of the EU Battery Alliance, including Belgium, and representatives of their industry met in Brussels on 15 October 2018 to discuss the wave forward in the development of a European battery industry. In December 2018, another round table was organised by the FPS Economy with the relevant Belgian regional and federal administrations of Economy, Innovation, Environment and Energy. The aim of this round table was to understand the actions and measures currently being taken by the various administrations and how to cooperate. A written consultation on this matter is ongoing. The Belgian coordination of this transversal dossier was ensured by the services of the Minister for Economic Affairs, Mr Peeters. In reply to your second and third questions, a strategic action plan for batteries was launched by the European Commission on 17 May 2018. That plan includes the following six strategic areas of action. Firstly, guaranteeing sustainable raw materials. Secondly, support for European projects covering various segments of the battery value chain, including the production of cells. Thirdly, strengthening industrial leadership by providing more EU support for research and innovation across the entire value chain. Fourthly, ensuring highly skilled workers in all parts of the battery value chain. Fifth, supporting a sustainable battery value chain, i.e. requirements for safe and sustainable battery production as an important engine for EU competitiveness. Sixthly, ensuring coherence with the broader supportive and regulatory framework. As already mentioned, there is currently a written consultation with all relevant administrations, both federally and regionally, in order to gain insight into the various powers, ongoing actions and planned measures in Belgium in the six strategic areas of action. At the moment, I cannot give any more information about this. As Federal Minister for Energy, I can report that the European Strategic Action Plan on Batteries concerned does not contain a specific strategic field of action on federal energy aspects, but my services do follow up on the subject, especially in view of the interesting policy opportunities that performant batteries and related battery applications may entail in the context of the desired transition of the Belgian energy sector. I am thinking in particular of the importance of batteries for the further breakthrough of electric vehicles and the expansion of large-scale energy storage, such as home batteries and battery parks, as part of the flexibilisation of our energy system. To this end, two ENOVER working groups are also active, namely ENOVER-Transport and ENOVER-Water Energy Storage, following these themes and consulting regional energy administrations. In addition, the General Energy Directorate is also responsible for the Energy Transition Fund, which aims to encourage and support research and development in the field of energy. Within the framework of the Energy Transition Fund, the General Directorate for Energy organises an annual call for proposals aimed primarily at supporting innovative research projects within the federal energy powers, such as renewable energy in the Belgian exclusive economic zone in the North Sea, biofuel, nuclear energy, security of supply and grid balance. The budget of the Energy Transition Fund for 2019 amounts to 30 million euros. This budget can be allocated as a subsidy to projects, including those related to batteries, in the context of security of supply and the balance of networks. Projects involving battery applications such as METIS and BREGILAB have already been selected in the previous project calls. Finally, I can also say that discussions are currently taking place with France and Germany, among others, in order to further concreteise and strengthen our cross-border cooperation on batteries in the short term.
