ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u1	Question No 26820 by Mr Blanchart is transformed into a written question.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u50	Minister, thank you. I hope the site will be on-line at the end of February. It's important. Free time is not on the agenda. The base account should be completely free of charge, as should some transactions. I heard you didn't want to move forward, but it seems to me that an increase in basic banking charges of 6% between 2017 and 2018 is very high compared to the price of life. There is no reason, because there are fewer and fewer services, fewer and fewer ticket distributors and agencies. So there are fewer services and they cost more. This is not a good way to act on the part of the banks. I will never agree with you and I understand that this government will not be affected by a 15-year agreement. As far as payment charges and incidents are concerned, 7.20 euros is huge. If we add the cost of collection and the cost of bailiffs, we attack the most impoverished population. It is also necessary to think about banking dynamics in relation to certain types of population, their attitudes and difficulties. On payment incidents, you should start negotiations or think about them – we do – as part of a government agreement. It's fundamental. As for coupled sales, it is known that it is prohibited to bind products and that everything must be sold individually. I would like the SPF Economy or FSMA (depending on mortgage credit skills) to do some mystery shopping and check that you can actually have the same benefits if you don't stay in the bank. I don't believe it for a second because it has always been so. This is not your responsibility. With all the tools available to the SPF, it would be time to make a clear study that would verify compliance with the law passed here.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u51	Minister, the first payment reminder is billed expensive by energy suppliers, often in a dominant position vis-à-vis consumers. Few consumers consult the tariffs and conditions offered by different suppliers. The most informed consumers do this, but not the most disadvantaged. It would therefore be important for this first reminder to be free, as in other sectors. Minister, do you intend to take action on this?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u52	Minister, over the past few months, a number of press releases have taken place concerning the free of charge of the first reminder of payment and the limitation of collection costs. This information was not always clear or always accurate, which is why it seems important to take stock. I quote: "As of July 1, 2018, the first reminder sent after an unpaid invoice will always be free. In addition, recovery costs may no longer exceed 15 % of the amount of the invoice." In fact, it appears that the first reminder was free of charge only for telecom invoices. Extending it to other debts is a question to ask, but, if I understand correctly, nothing is acquired. As for the limitation of collection costs, that is a good measure, but I have not seen any bill pass to Parliament. I recall that at the beginning of the legislature, the majority had rejected a PS bill to reform the 2002 law on amicable recovery of consumer debts. The purpose of the proposal was to regulate the recall deadlines, to cap the recall costs to a maximum of 150% of the basic debt and to subject the bailiffs to the control of the Economy FPS. In response to a parliamentary question in 2018, you wrote: "I am preparing a series of proposals to remedy these problems, among other things by capping collection costs amicably and empowering the Economic Inspectorate to also monitor bailiffs." This bill that you are preparing is the same as what was rejected in committee by your political group and the others! I do not understand very well about logic and collaboration. Finally, it is the whole content of our bill that is taken up in the way of political communication. However, have any proposals or projects been submitted or drafted? In any case, we didn't see them. Will this be done before the dissolution of the House? Could you clarify the various measures taken and those that you would still like to carry out?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u53	Ladies and gentlemen, first of all, I believe that cross-sectoral rules should be laid down. Such uniformity benefits consumers as well as businesses that are often active in several areas. Secondly, consultations have already taken place between different stakeholders. Thirdly, they are measures within the framework of consumer protection, which is a federal responsibility. Fourthly, as I have already said, consultations with several stakeholders have already taken place, including with representatives of businesses and the middle classes. The principle remains that a debt must be honoured. The various measures relating to the payment of the invoice which I consider useful can contribute to the reduction in the number of late payments, which certainly benefits companies. Finally, my bill is ready. I ask Parliament to take an initiative in this area. I make my bill available to you to discuss it here and to approve it, because it is well prepared. I hope that, despite the fact that the government is in day-to-day business, Parliament will have time to discuss and approve it because it is very useful. I am convinced that it is possible to approve and finalize it here before 15 April.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u54	Mr. Deputy Prime Minister, thank you. I remember your bill in particular, because it is essential to finalize it before the end of the legislature. In any case, my group is ready to examine it in order to move forward with you.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u55	Minister, thank you. If you have drafted a bill, you can share it with Parliament. I'm sure we'd be happy to turn it into a bill, especially if it contains ideas that you rejected before. As we arrived at the end of the legislature, I would like to tell you that we have introduced bills. As a matter of principle, however, the government has always refused to work on the basis of opposition texts. Now that the government is in day-to-day business, he agrees, if only to amend them. All this for a minister to copy! I do not consider this to be good parliamentary work or a sign of good cooperation. We have only experienced this situation with this government. Indeed, your predecessor, Mr Vande Lanotte, had been working with Parliament all the time. This has not been your case; and I regret it, because it is lost time. If you want to make up for this delay, you must be aware of the content of your bill and be able to work on it. In other words, it must not be taken or left. This does not correspond to the nature of parliamentary work. Three successive bills were rejected by the former majority. It is a pleasure for us to work on your bill, and it is enough for you to pass it on to Parliament. I hope that your group – worthyly represented by the chairman of this committee – will agree to have it signed. Indeed, I will come back to that in my last question, the collaboration on the right to be forgotten leaves something to be desired. In short, I am prepared to work on your bill if it is open and can be amended.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u56	There will be a lot of work here in the coming weeks!
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u57	I hope so!
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u58	This is no problem!
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u59	For no one, colleague!
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u60	Mr President, Deputy Prime Minister, the new single-wheel, hoverboard, gyropod and other electric scooters are increasingly successful among citizens. In this respect, a study published by the Belgian Institute for Road Safety (IBSR) has made it possible to better identify these forms of mobility: the average age of users is between 36 and 49 years, for a weekly distance between 50 and 90 km. In addition, half of the users of these new devices are not always aware of the insurance obligations, i.e. the need for civil liability insurance (CC) if the maximum speed concerned is 18 km/hour. In this context, I have had the opportunity to question your colleague, the Minister for Mobility, on the question of the supervision of the use of new mobility devices. He shared with me the fact that the European vehicle regulations exclude these new mobility devices from its scope and consider them to be machines that fall under your jurisdiction. As a result, the Minister of Mobility informed me that a working group had been set up in collaboration with the SPF Economy to study the issue. This group was supposed to meet after the summer. Minister, what is the state of play in thinking about the management of new mobility devices? What is the current status of the work of the working group in this regard? What recommendations, if any, have been made to you at this stage?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u61	Madam President, ladies and gentlemen, Mr Calomne, first of all, I would like to draw your attention, if necessary, to the fact that the European rules on mobility and RC insurance for motor vehicles are completely independent of each other. In other words, any criteria and distinctions for the application of the regulations relating to registration, the Road Traffic Code, etc. are not relevant with respect to the CR auto insurance obligation. As a result, the working group I initiated focused only on the assurance aspect. This has resulted in a bill that exempts some of these vehicles from the RC auto insurance obligation and gives drivers the status of low-user of vehicles exempt from the insurance obligation. Last week, I received the opinion of the Council of State and, as with other matters and projects, I will forward the text of the draft to Parliament. For the fifth time this afternoon, I count on Parliament and on you, Mr Calomne, to approve it again before 15 April.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u62	Minister, thank you for your answer. We will pay attention to the project that will be tabled. I hope it will be soon, since you have just received the opinion of the Council of State. We may, if necessary, vote on it before the dissolution of the Chambers. We will, of course, remain attentive to this text in the coming weeks.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u63	Debates of the European Parliament Mr Degroote's 28157 lapses, as he is not present and has not notified.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u64	Chairperson: Karine Lalieux.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u65	Deputy Prime Minister, the announcement of a fire that took place in premises hosting games, known as escape rooms, in Poland, unfortunately killing several teenage girls, has sparked recent news. As you know, this kind of fun activity is to place players in isolated and closed rooms, within which they have to solve a number of puzzles to escape and win the game. Notwithstanding the ongoing investigation into the drama mentioned and the obvious safety standards prevailing, in particular in the field of fire prevention and control, the proliferation of escape room game signs raises the question of a possible strengthening of the existing safety arrangements. In the event of a fire or any other form of danger such as flooding or gas leaks, these closed spaces can quickly become dangerous for consumers. So could you tell me whether your services have been entrusted with carrying out specific controls on this type of establishment in our country, in close consultation with the other levels of government and the public bodies concerned? Is there currently an open thought to consider ways of securing the premises of these signs, which are particularly successful with the younger generation?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u66	Colleagues, Mr Calomne, the escape rooms must meet the general security obligation imposed by the Code of Economic Law in its book IX, on the safety of products and services. However, there are no specific rules on fire safety. To date, my administration has not received complaints about this type of facility, nor has it conducted any checks. If we were to have evidence of a concern, we could obviously launch controls. In the case of buildings occupied by persons, the requirements of the Welfare Act must be complied with, as well as the general regulations for protection at work, which impose certain obligations on the employer with regard to fire prevention, evacuation, etc. In addition, the federal basic fire safety standards of the Royal Decree of 7 July 1994 are also applicable to all categories of new buildings, regardless of their destination. This is the responsibility of the Minister of the Interior. As you know very well, it is up to the mayor to ask the firefighters to carry out inspections.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u67	Minister, thank you. I understand that there have been no complaints or problems in our country with regard to these places. It is true, however, that what happened in a country of the European Union has challenged me and the population. This new type of game raises questions. As you said, the mayors also have a responsibility in this matter. All public authorities must pay attention to these issues. Especially since, as I pointed out, these games have some success with the younger generation, which may sometimes be less vigilant about security issues. We must pay particular attention to this. I am very pleased that there is no problem in our country, but unfortunately this could still happen.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u68	Madam President, Minister, the real estate sector is often the subject of strong criticism of the film's practices in the calculation of surfaces. Since there are no clear standards, volumetrics sometimes have certain surface elements, or do not incorporate them, thus giving estimates a highly random character in sales or rental processes. When asked about this, you have stated in the press that you have instructed your services to conduct an in-depth investigation into this problem and, therefore, to propose possible solutions. Minister, knowing that part of the problem falls within the jurisdiction of the Regions, what instructions have been given to your services? What are the objectives of the survey? When are its results expected? Regardless of these results, have some measures already been identified as priorities at this stage? If so, which ones?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u69	Madam President, dear colleague, I have entrusted my administration with the task of analysing in more detail the problem of the indication of the film in real estate in order to draw up an overview of it. It will check whether the current legislation on unfair commercial practices is sufficient to intervene in such cases. I await the results of the legal framework analysis for April 2019. This analysis will determine the steps to be taken to ensure that the successful buyer receives the correct information in a transparent manner.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u70	Minister, thank you for your answer.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u71	Madam President, Deputy Prime Minister, you recently announced your wish to promote a right to be forgotten in the insurance sector. In practical terms, it would be a matter of developing a legal framework that would prevent insurers from refusing to enter into contracts, at least under normal conditions, with persons who have been the victims of a serious illness in the past and who have since been cured. This announcement echoes urgent requests from the voluntary sector, which regularly refers to the case of France, where legislation exists on this issue, in order to eliminate any risk of penalisation of persons due to a previous illness. Last November, you also told Parliament that you had drawn on French legislation in this area in order to draw up the legal framework in question, which is why I would like to take stock with you. Minister, what are the outlines of the announced project? What is the current state of affairs? What is the expected deadline for submitting this file? What is the status of consultation on this issue with the representation of insurers?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u72	Minister, I am completing Mr Calomne's question, because the file has moved forward. Indeed, in the Committee on the Economy on 22 January, I introduced the bill to reform the Partyka-Lalieux law, which had been tabled before the government fell. This bill, introduced in September 2018, aims to facilitate access to outstanding balance insurance and is modelled on the French law to which Mr Calomne refers. At that time – which is why I would be talking about cooperation and cooperation, minister, virtues that are not usually part of this commission, for this subject in any case – the CD&V asked to postpone discussion of this bill introduced since September to announce the tabling of its own bill, which is, I suppose, your bill since it was said that it was the bill that was being developed by the firm following several technical opinions. I ask you what this bill contains because it will still not be taken into consideration this Thursday. It's starting to date. Will it be taken into consideration, otherwise I doubt that the bill was drafted? What actors have been involved, and what do I join Mr Calomne in? Above all, the secretariat has asked your office, Minister, to provide us with all the opinions you have requested from the stakeholders concerned. I wonder why they have not yet reached the secretariat since, according to your statements in the press, everything was ready. I hope it wasn't just communication and the bill is actually ready.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u73	Ma'am, I can tell you everything is ready. I know you've worked on the same subject in the past. We also studied the projects you introduced. I hope that this is not a small game between parties and that we will find as soon as possible a majority to approve this text. I have done my best to draft a sustainable bill, which in the meantime became a proposal, and which contains all the elements, including technical ones, to solve these problems. I hope we can discuss this as soon as possible. I'll deliver all the items to you. Opinions are not formal opinions. There were meetings with organizations. I have asked for reactions and very concrete elements. I'll give you all the information. The project I initiated follows a proposal made by the patient and consumer associations and by the Commission for Insurance in respect of balance insurance which is still due. This proposal, like many others, is based on French legislation known as the AERAS Convention (to ensure and borrow with an aggravated health risk). At present, many citizens find it difficult to take out any remaining balance insurance due to the existence of medical history. However, these are no longer relevant because of the long period since the healing of these people. I therefore wish to remedy this situation. With regard to a project that really interests me - I am not the only one - I took care to consult closely with the various stakeholders such as Unia, Assuralia, Kom op tegen Kanker and the European Organisation for Cancer Research and Treatment. I had the opportunity to meet these parties and, after an open and constructive discussion with them, the texts were reworked. The proposal is broadly supported by the stakeholders mentioned. The bill applies to two types of outstanding balance insurance. A first type concerns the balance insurances that are still due from a candidate policyholder to guarantee the repayment of a mortgage credit that relates to the home. A second type concerns the balance-of-payment insurances that are still due from a candidate policyholder to guarantee the repayment of a professional credit. Persons with cancer must always report their medical history to their insurance if they apply for outstanding balance insurance. However, at the end of a 10-year period, the insurer may no longer take this into account in its risk assessment. The responsibility to assess whether a pathology is still relevant and can be taken into account, in accordance with the legal framework, rests with the insurer and not with the policyholder. The King may adjust the time frame according to age categories and/or types of cancer conditions. The project also introduces the possibility for the King to set up a reference grid. This reference grid lists a series of chronic cancer pathologies which the insured candidate must report to his insurer but which may, under certain ancillary conditions, be insured after a specified period without or subject to a fixed surcharge. In view of the fact that the right to be forgotten will be recognised according to the type of pathology and the type of contract, it can only apply to new contracts. The insurance-specific actuarial technique in particular does not allow its application to existing contracts. However, the consumer can always terminate his contract and conclude a new one. However, I will do everything in my power to implement this initiative. As I said, Madam President, I hope that I will be able to communicate to you as soon as possible, not formal opinions, because that is not the case, but reactions. At my meetings with the organizations I mentioned, they were not very enthusiastic. I am convinced that the draft is also technically well drafted, but it is up to the committee to discuss it and improve it if necessary. For my part, and I am not the only one to think so, I hope that we will be able to conclude this discussion and approve this bill because many people are counting on me. In a day-to-day government, it's not impossible, but it's now up to you to finalize it.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u74	Minister, thank you for your answer. I take note of the fact that a text incorporating a number of stakeholder comments will soon be forwarded to Parliament. The said parties therefore accede to the draft. As far as we are concerned, we will be attentive to the development of this dossier. Indeed, as you have indicated, this concerns many of the citizens who are waiting. This question relates to the daily lives of many of our fellow citizens. It would therefore be interesting if this text could be discussed and, if necessary, voted in this Parliament in the weeks remaining.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u75	Minister, thank you for your answer. There was a way to work fast. It was enough to submit amendments to a bill that had already been considered and put on the agenda. That would have been an elegant and fast way to work on this issue last week, Minister. And your group could have tabled a series of amendments. When we know that there was a bill on the table that reflects the contours to which you referred and is not entirely absurd, it would have been the easiest, fastest way to work. But I understood that the CD&V wanted to make it look like it was the first party to file a text on the subject, which I find very unsophisticated. Indeed, your party does not want to work on the proposal on the table. However, you could have cut down your bill and tabled amendments. But he doesn't want to. In doing so, we lose useful weeks for all those people who are waiting not for publicity effects but for a law. That being said, we will work effectively and effectively on the proposal that will be tabled and we will table amendments, if necessary. If I understand you correctly, you do not have a formal written opinion, but you intend to send the committee a report on the exchanges you have had. What exactly is this? It seems that we should not ask for a formal opinion since you have already consulted. What exactly can you send to the commission? Consideration must be given to the fact that there is a request from other groups, including the N-VA.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u76	Madam, let me tell you that, for me, the colour of the cat is not very important.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u77	At least not for your group!
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u78	I understand that it is necessary to take into account the time required for the translation of texts, etc. I therefore agree to send the text today or tomorrow. This will allow you to learn about the topics for discussion. I am convinced that it is more effective to work on the project because many of the technical elements that have been "good" written are inserted in it. For me, the essential thing is – as you said – to work as quickly as possible and to approve the project. Knowing which party will sign – CD&V or PS – is not the subject of the discussion; at least I hope so. Then I indicated that we had held several meetings at my office. The opinions I have received are not of a formal nature. At that time, all organizations had expressed their agreement on the various aspects of the project. I understand that now the N-VA has asked for formal opinions. If it is to delay the project, it is not correct. I hope that we can reach a consensus. You have already submitted some proposals. In my opinion, the most important thing is that we approve the text.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u79	Me too. I would like you to pass on to the committee the names of the people you met.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u80	I can answer you now.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u81	The secretariat of the commission has sent a letter to your firm for this purpose.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u82	We'll send you a summary of the meeting.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u83	That would be wise. Otherwise, blockages will be produced by some, who will then begin to ask for official advice. I heard him in committee. My goal is to speed up the file. I would remind you that the bill has not yet been taken into consideration.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u84	All right.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u85	Questions No 28354 and No 28496 by Mrs Smaers, No 28441 by Mr Smaers. Van Hecke and Mr Janssen's No 28451 are transformed into a written question. My own question about the single price of the book, No 28420, has become irrelevant, since the Cooperation Agreement has in the meantime been voted on.
