ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u1	Debates of the European Parliament Mrs Schlitz has converted 27687 into a written question.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u35	Minister, thank you for your answers.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u36	Minister, I am actually pleased that you yourself say in your reply that the responsibility of the clubs, the Pro League and the football association is important, and that they should not hide themselves. They themselves must first of all, through their own regulatory basis, prohibit and impose fines on civil law. In addition, there are such serious facts that we can only ensure that the police and the judiciary pay sufficient attention to them. You mentioned a number of PV's and related statements. That's good. I believe that a number of things are being tried to justify themselves by abusing a name like "jodens" and giving it an anti-Semitic context. A humorous name with a humorous touch is completely different from that kind of gory talk. I feel the facts are more serious than they used to be. That is why I would like to give the message to keep an eye on this so that it cannot escalate further.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u37	Président: Brecht Vermeulen.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u38	Debates of the European Parliament Mrs Matz's 28152 is referred to the Committee on Justice. Question No 28154 by Mr Demon will be converted into a written question.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u39	Mr President, Minister, on the night of Saint-Sylvestre, violence took place in the territory of the municipality of Molenbeek-Saint-Jean, near the Black Ponds metro station. In fact, we had the opportunity to hear from you about this at the autumn plenary session. On this occasion, bands of breakers set fire to garbage cans on the street before attacking vehicles parked on the road as well as an adjacent pharmacy. The federal police, who intervened very quickly at the scene, also had to deal with unacceptable behaviour by young people who continued their misdemeanours by vandalizing intervention cars, including self-pumps, and by causing a fire in a fortunately unoccupied building. Called in reinforcement to prevent any spread of flames, the fire departments were also stone-throwed and had to turn back. The images of these acts, broadcast in the media, obviously shocked the citizens of our country. These facts are unspeakable and the perpetrators of such violence must be identified and prosecuted as soon as possible. No-right zones cannot exist in the very heart of our capital, which is also the capital of Europe. So, Minister, I would like to ask you the following questions. According to the information at your disposal at this stage, what is the final assessment of the situation in Molenbeek-Saint-Jean? What is the precise origin of these disorders? What is the state of damage to citizens' property and to representatives of public services, especially police and firefighters? What steps have been taken to ensure the earliest possible identification of the perpetrators? Have any arrests been made in flagrante delicto? If so, how many people have been referred to the Public Prosecutor's Office? What is the state of synergy between your services and those of justice in this matter?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u40	Minister, with the Brussels violence of November 2017, with the transition from old to new, we had to re-assess how caregivers and security services were victims of threats and violence. Firefighters, police officers and nurses were threatened and brutally attacked. In Molenbeek there was even extreme violence. Among other things, a pharmacy, a house and five cars were set on fire and rioters, some of whom were known to have been destroyed. That cannot be tolerated. Security forces are demanding a clear signal. There is also a difference in interpretation between the Minister and the police. According to the corps concerned, which do not wish to respond to the Minister's comments, they were prepared on New Year's Eve, there were also federal police teams on the premises and the system worked. Mr. Secretary, you mentioned the recruitment of 2 500 agents. We think this is positive, but in the past there were only funds to recruit about half of this, at least in a report by former Minister Jambon on the recruitment of agents. Minister, how will the violence against our security services be dealt with? What signal will you give? There is a clear difference between your assessment of how the riots are handled and that of the police. Could you clarify your opinion on this matter? What do you think should change in the organisation of the police landscape and police structure? I think that's going in the direction of merger. Will you allow Minister Jambon's report on recruitment to be implemented and in what way? Where do the necessary financial resources come from to pay 2 500 additional agents, which apparently weren't there before?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u41	Mr Minister, I do not want to repeat the facts, the facts have already been listed by my fellow Members. A few weeks ago, on Friday evening, you received the fact-finding report and concluded that, on New Year's Eve in Molenbeek, the Brussels West police had committed several errors of assessment and did not intervene adequately after the riots, resulting in looting and destruction. The preparation and planning of the night from 31 December to 1 January would have been totally inadequate and would not initially have been called for reinforcement, although it was available. After the riots broke out, you also said that there would not have been a proper response. Then they asked for backup and it came immediately to the scene, but it turned out to be insufficient. As Mr Degroote said, the Chief Constable of Zone West did not want to respond to the criticism. You concluded that a single Brussels police zone would now be inevitable and said that the preparatory work would be started so that a next federal government could start working on it. What is the outcome of the further investigation? What conclusions and recommendations can be drawn for the future? Can you explain the second report requested by the General Inspection? What leads you to the conclusion that a single police zone in Brussels is now inevitable? Will there be any preparatory work on this?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u42	Mr Vanden Burre is not here.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u43	Minister, it has already been mentioned by previous speakers: the riots at New Year's Eve in Molenbeek caused a great deal of damage, just like the year before. The sad thing is that no one was prosecuted in the riots of the year before. You, like a few others, expressed some commentary in response to those riots. For example, on the basis of a number of reports, you stated that the police area was not sufficiently prepared for the riots. You reiterated the plea for a single police area in Brussels, which would now be inevitable and for which you would take the preparatory measures. We have also heard very remarkable comments from the mayor of Sint-Jans-Molenbeek. In TerZake she called burning garbage cans and Christmas trees a way of celebrating. She literally said: "If we do not organize a party, the youth organises their own party. Then it escalates and becomes something else." That's what happened. It is in stark contrast to the intentions of your predecessor, who stated in 2015 that Molenbeek would be cleaned up, referring to the Channel Plan that he created in response to the terrorist attacks leading to Molenbeek. Minister, can you tell us more about the failure of the Brussels police in relation to the riots? What conclusions should be drawn from this? Secondly, what kind of preparatory measures are you taking for the establishment of a single Brussels police area? Under what powers do you do that? After all, the government is in ongoing business. Do you think that can be achieved effectively? Thirdly, how do you assess the Molenbeek mayor's ruling? Do you think the government should indeed organise parties to get the foam off the street as a remedy for their repulsive behavior? Is that, in your opinion, the signal that society should give to that crapul? I do not think so, but I would have liked to have heard your views. Finally, do you think Molenbeek was effectively cleaned up? If not, what else do you think should happen in order to keep a real chastity there, so that citizens can live their lives there again in complete safety?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u44	Mr.President, Minister, on the night of December 31, 2018 to January 1 of this year, dramatic and unacceptable events once again tarnished the festivities. I fully agree with my colleagues that the perpetrators of such acts must be identified, prosecuted and tried. But the recurrence of these events also shows that structural elements are at work behind them. As we know, the shortage of staff in the local police force is one. Proximity missions, which aim to prevent such events, are made more difficult by this chronic shortage of staff and by the large turnover of staff in Brussels police. As of November 2017, 58 full-time equivalents were missing in the police area concerned. Moreover, the weakness of the resources allocated to the area by the federal allocation is also to be noted: the latest figures available, for 2016, establish a federal allocation of €66.18 per inhabitant, making it the least financed area in this way in the Brussels-Capital Region. The lack of resources must be compensated by the municipalities, in a very important way. These means are therefore not allocated to other policies, be they economic, urban or preventive, all types of actions that could have a favourable impact on the security to which all citizens of our country are entitled. Minister, what is the status of the investigation into the perpetrators? Were any people arrested? What is the current status of the personnel in the area concerned? Is the November 2017 deficit on track to be addressed? In the past year, how many agents have joined the area and how many have left it? From the point of view of federal means, what are the proposals you put on the table to put an end to the underfunding of local police areas? In terms of prevention, what measures do you intend to put in place, together with local authorities, to prevent such incidents from happening again? Thank you.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u45	Mr President, as I was already able to say at the plenary session on 10 January, an investigation was initiated with the General Inspectorate of the Federal Police and the local police. This one's still in progress. I will carefully analyse the resulting recommendations in order to improve the organization of police services in the management of such incidents. In particular, from the perspective of managing large-scale events, I am thinking of the generalisation of prior consultation between rescue services through an analysis of operational risks. At the same time, the local police area in Brussels-West is continuing its investigation, which is based mainly on neighbourhood investigations, as well as on the vision and analysis of the images of the cameras of the police zone, STIB, vandalized shops, social networks, Belfius bank and sprinkler. Once all these images have been viewed, which can take another week, that photos have been made of recognizable faces, and that precise facts can be attributed to these faces, investigators will conduct hearings and arrests of suspects. Once these persons have been identified, they will be heard in the context of a single case, which was opened under index 10 "association of criminals", with the consent of the Public Prosecutor's Office. Mr Calomne, to answer your question, on the night of New Year's Eve, two authors were arrested and made available to the public prosecutor. If victims have been heard, it is not possible to quantify the damage. However, I can tell you that seven police vehicles were damaged (glasses and bodywork) as well as seven private vehicles and one unoccupied house, which was burned down. The origin of these disorders could not yet be determined. However, according to the fire department, many pyrotechnic devices were present. Let me turn to your question, Mrs Ben Hamou, about the size of the police area concerned. This one's in deficit. At the level of the operational organizational framework, the area has a deficit of 118 police officers and almost half of this deficit is filled by the provision of 53 federal police inspectors under the Canal Plan. With respect to your observation on the financing of police areas, there is no tangible evidence that police areas are underfunded. To answer Mr Degroote's question, I can tell you the planned recruitment of a total of 2 250 FTEs for 2019. Concerning external recruitments: inspectors/INP 1 400; security agents/BAGP 336; chief inspectors with special specialisations/HINP BS, intended for DGJ 45; Commissioners/CP 80 externals, of which 20 by the Security/DAB Directorate. Regarding social promotion, internal circuit: Commissioners/CP 60; Superintendents/HINP 329, being 300 plus 29 DABs. However, I would like to stress that the above figures remain estimates and therefore depend on the number of candidates to be recruited effectively. In addition, as we are currently in a period of ongoing business, there is still some uncertainty about the staff appropriations available for 2019. Depending on whether or not to allocate these appropriations, the recruitments foreseen in 2019 may or may not take place. I hope, of course, that this will be possible. I would like to stress that violence against relief and police services is unacceptable. This is unacceptable! Like so many others, I have expressed the wish to merge all the police areas in the Brussels-Capital region. I have expressed the wish to merge all the police areas of the Brussels Region. In my opinion, this is inevitable. This will enable us to avoid double structures, promote mobility and prioritize the deployment of community policing. We will see what can be done in the future to that end. I also note that a change of mentality is taking place. For example, the mayor of Brussels pleads for a police command unit for major events in the capital. The president of the CDH, who resigned, also called for a merger of Brussels municipalities and police areas. In other words, I believe that there is a great development in this area. When I have the details of the inspection, I will not fail to communicate them to the committee. I will shortly be providing you with the results of the General Inspectorate's report.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u46	Minister, thank you for your answers. I appreciate the fact that you reiterated that it is unacceptable to attack the relief and police services, which are precisely there to help the population. As far as the merger of police areas is concerned, the debate is interesting and all possible avenues must be considered. However, I think it is important to recall that the merger of police areas is not an objective in itself for us. What matters to us is efficiency on the ground. You say that the mayor of Brussels spoke in the press of a single unit of command: this is one of the avenues that can be considered. This may solve a number of problems. We sometimes have the impression that by repeating that fusion is THE solution, we will not think about other things. This is not the only thing we need to focus on, we need to look at ways to increase efficiency in the field.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u47	Thank you, Minister, for your answers. I note that the appropriations for the additional agents are still to be granted. We hope, of course, that this progress can be made. We can support the merger of the police zones, which you put forward as a solution. We must not say on the French-speaking side that we are seeking cooperation agreements. This is not bad in itself, but if they do not work in practice, as has been shown here, then action will have to be taken. The more noses are in the same direction, the more we prefer it. But someday a decision will have to be made on this.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u48	Thank you, Minister, for your answer. I believe that the debate on structures will continue in the coming months. I'm gonna leave it at that.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u49	Minister, I have not received an answer to all my questions, but that is often the case in this house. I continue to be very sorry, I understand that in a government in current affairs you are limited in your actions, and I have heard a great deal of the desire over the past five years to make Brussels a single police area, while the people have long expressed that wish and it is of course up to the government to implement it. There is support for this in Flanders, there is no reason why there should not be. I will end with a positive note: you say that you will start the preparatory work to arrive at a single police area, but a lot of preparatory work has already been done. There are already two legislative proposals pending in this House, so I hope that this can be done before the end of the legislative period, because I agree with you that this is urgent.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u50	Minister, thank you for your answers. I hear an investigation is under way. I will, of course, await the recommendations of the report and come back to you, if necessary. However, I would like to tell you that the Molenbeek police did what they could with the means they had. The real problem today is the lack of personnel throughout the areas, but also within the federal police force, which is unable to assume its first role of assisting local police areas. It is at this level that we must work quickly. You've got a few months left. We ask you to remedy this problem and act now. You say that it is not possible to encrypt the underfunding of police areas. I hope, however, that a clear answer will be obtained next week at the hearing of Mr Koekelberg's team in connection with the merger of police zones. Indeed, your answer leaves me hungry. On the subject of the merger of police zones, I hear your point of view, which I believe is purely ideological. In addition, I think that you were a little too fast when you spoke about it. Indeed, at this stage, we do not have enough tangible evidence to conclude that there is a need for a merger of police areas. I therefore regret this rather premature exit, especially since the report is due to be presented next week. As Minister of the Interior, you could at least have waited for the conclusions of this report before speaking in the press. Finally, you have not answered my important question about the measures you intend to put in place with the local authorities so that such incidents do not happen again.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u51	President: Conseil Degroote.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u52	Minister, this is the first time I have asked you in your capacity as Minister of the Interior. Last May, I asked your predecessor about the congestion of the emergency call centres, including the 112 centres. At the beginning of December, the Internal FPS was taking action to improve the situation. Investigations and brainstorming were carried out with rescue services, public organizations and operators of power plants. These should lead to information campaigns for the general public in the future. The ultimate objective is to encourage citizens to sort out situations that actually require a call to 112 and others. Many non-emergency appeals are being made. Minister, I am pleased to see developments in this area. This situation made the risk of an accident more and more important. My questions are as follows: Do you intend to continue this work initiated by your predecessor? Are the results of these surveys, to your knowledge, already available? In concrete terms, what types of actions will be carried out and with what timetable? To your knowledge, how has the situation changed in recent months? Is there a dangerous increase in the number of calls received? Thank you for your answers.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u53	Mr President, Minister, I have two questions which have been added to Mr Flahaux's question. My first question concerns emergency number 112 in general. My second is rather about devices that are not IVR-compatible. First, on 10 December 2018, the Federal State Department of Home Affairs held a first stakeholder participation moment for its emergency power stations 112. The Home Office brought together information from citizens, operators from emergency power stations, emergency services and other government organisations, both in the autumn and during a so-called physical stakeholder participation moment. In doing so, the participants have looked for a supported definition, for rules of thumb or for another end product, from which people can clearly explain for which they can call 112 and for which they would better use an alternative. According to info on the website www.civiele security.be, more than a quarter of the calls to 112 would not be real emergency calls, which will provide additional waiting times for people who really need help from the fire department or ambulance. Other figures in the media even speak of a higher figure. In Het Nieuwsblad of 7 March 2017, I read a statement by Jimmy Smedts of the Belgian Institute for Postal Services and Telecommunications, which states: "The 112 Auxiliary Centre, the former emergency number 100 for fire and ambulance, received 2 757 722 calls in 2016. Of these, 37 % or 1 020 357 calls were false. The police received 2 619 177 calls in 2016. There was only 12 % or 314 301 calls, false.'. At the end of September 2018 the FPS Interior said that callers to emergency numbers 112, 101 or the old emergency number 100 from 1 October 2018 in the provinces of West Flanders and Namur should first make a choice between the following options: For ambulance or fire brigade, press 1 and for police, press 2. On the basis of the results of the test project, it would be decided in the coming months whether the system should be extended to the whole country. Mr Minister, has the number of false calls to numbers 100 and 112 been reduced since the 112 app and the various efforts that have been made in this respect? How many calls were made in 2017 and 2018 to 112, the former number 100 for firefighters and ambulances, and how many were there, consciously or unconsciously, unjustly? Can an explanation be given for the evolution since 2016? Was the experiment that the Home Office started on October 1st in my province of West Flanders and evaluated in Namur already? If so, what were the main conclusions of that evaluation? What concrete impact does the FPS Home Affairs draw from the conclusions of its stakeholder participation in December 2018? What budgetary impact and staff impact will it have? I now come to my second question. Proximus customers, including myself, recently received an e-mail explaining that the services behind numbers 100, 101 and 112 change their call centre, which means that some emergency numbers are no longer accessible via their current telephones. To test that, Proximus asked the customers to call the free number 0800/22 123. If people do not receive a confirmation message, this means that they may no longer be able to call the emergency numbers. In the accompanying mail, Proximus advises those customers to purchase an Interactive Voice Response-compatible device. Last year, two pilot projects were launched with IVR devices, as I explained earlier. With such a device, calling 911 would work in the same way as using the 112 app. Mr Minister, when were the pilot projects completed in West Flanders and Namur? Can the evaluation be explained? Do you have any figures on the number of people who tried to call 911 with a non-IVR-compatible device? What kind of report did these people get? How does that relate to the total number of persons who were 112 during that period? Why was it decided to provide the numbers 100 and 101 with an IVR in addition to the 112? From when will it become impossible to reach the services 100, 101 and 112 via a non-IVR-compatible device? How many such devices are still in use in Belgium and what proportion do they account for in the total of all fixed telephones? What channels inform people with a non-IVR-compatible device that they can no longer use emergency numbers? What budget has been allocated to this information campaign? Have agreements been made with all telecom operators on how they will inform their customers? If so, when did these talks take place and what specific arrangements were made? If not, which fixed telecom operators are not involved in those agreements on informing their customers?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u54	Mr President, Mr Vermeulen, as regards the first part of your oral question, I would suggest that you write to me, given the quantitative nature of the answer, and I will give you the answers as soon as possible. I can tell you that the Interactive Voice Response pilot project was tested with a double objective in mind: on the one hand, to reduce the number of improper calls to 112, 100 and 101, knowing that there is no golden measure that will eliminate all improper calls to 112 and 101, and on the other hand, to direct the caller immediately to the competent power station and thus prevent a caller from entering the wrong power station, which would require his call to be forwarded. A pilot project limited to emergency number 112 would miss its target. For example, it would not be possible to determine whether the 101 power station should also process fewer transmissions because the citizen made the right choice. The Interactive Voice Response pilot project was completed. At present, all data are collected to evaluate this project in all its facets. On the basis of this evaluation, it will be decided whether or not to generalise the project to all Belgian provinces and a timing will be determined. I must ask you to be patient with regard to the results of the pilot project. As soon as I know, I will explain this to you. With regard to the non-IVR-compatible telephones - those are the oldest analog devices with a rotary disk, which do not support the pulse dialing technology - Proximus is not in a position to identify the number of customers that would still be using these devices. So I cannot give you any figures on this either. During the pilot project, my services did not receive any complaints from citizens who could not reach emergency power stations. However, I would like to point out that the use of a choice menu is a technology that has been established for a long time and that more and more private companies, but also the public sector, use it. If a decision is taken to apply the IVR, it is the responsibility of the telecom operators to first of all offer their customers an opportunity to test whether their device supports pulse dialing or not; secondly, if that were not the case, to point out to them that if they do not change the device, adequate services will no longer be possible in the future, including reaching emergency power stations and, thirdly, to inform their customers of how they can purchase or hire a device that meets the requirements of the pulse dialling. It is therefore up to the telecom operators to offer their customers an opportunity to test whether their device supports pulse dialing and, if not, to point out to them that if they do not change the device, there will be no adequate service in the future, including reaching emergency power stations. Telecommunication operators must also inform them of how they can buy or hire a device. It will then be up to the users of these old devices to take action so that they can continue to reach the alarm system. Mr Flahaux, like my predecessor, I have the ambition to reduce the number of abusive calls. In addition to technical solutions, we will also look for ways to effectively transmit accurate information to the citizen. In concrete terms, we will soon begin the development of an electronic window where citizens can submit their requests for non-emergency interventions. My administration is currently analyzing the IVR 112 (Interactive Voice Response) pilot project. We can then examine whether we will generalize it. We are also looking at how to raise awareness among citizens and optimize our communication techniques. The first results should be known by mid-2019. The proportion of abusive calls has stagnated in recent months, which does not create any additional risks. The intention remains, of course, to reduce these calls through the above-mentioned actions.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u55	My line will be short. I thank the minister for his response.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u56	Minister, the problem of false and unjustified calls must indeed be addressed. In emergency situations, there should be no miscommunication, so that other urgent cases cannot be resolved efficiently. It is, of course, a pity that no figures can be given and I should have to put an additional written question to that effect. I don't ask for figures per county or arrondissement. I also think that the figures are available, but I will put a written question on this. I also take note of the fact that the evaluation has not yet been carried out and that I therefore still have to wait for the results. As for the fixed telephones that are not EVR-compatible, I myself received an e-mail that woke me up. You replied that Proximus cannot indicate how many customers have such a device, but then it has to carry out an investigation itself and not transfer the matter to its customers with a simple e-mail, with whom the e-mail ends up in the spam and who actually do not respond or hardly respond. Proximus is responsible for doing so in a proper way, with a thorough sensitisation. Customers should not respond to an easy solution, but Proximus and the other operators should come up with a good solution. Last week, as a result of my question, Proximus had already distributed a communication with a mea culpa, but a solution did not really come. I insist that it is looking too much for an easy solution.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u57	Minister, since the launch of the "yellow jackets" movement, many blockages have taken place in recent weeks. That they concern fuel depots, industrial zonings, filtering dams, several acts of sabotage, destruction and vandalism - not to mention the countless acts of violence against law enforcement forces - were committed. On the basis of article 19 of our Constitution, I have no intention of challenging any right to express any opinion whatsoever. I quote: "The freedom of worship, the freedom of public practice, and the freedom to express one's views in all matters are guaranteed, except for the punishment of offences committed in connection with the use of these freedoms." However, if I repeat the second part of the sentence of the same article, offences committed during demonstrations are not covered by these rights. They will therefore be prosecuted. Minister, what are the means used to identify and prosecute the perpetrators of the crimes committed during these blockages and demonstrations? In your opinion, are they sufficient? Is the legal framework within which law enforcement agencies operate sufficiently broad, precise and comprehensive?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u58	Mr President, Mr Flahaux, the simplest way to identify the authors is to intercept them at the moment of the facts or immediately thereafter. In practice, it is not often so simple. The police must take into account several factors such as the limits of tolerance set by the competent administrative authority or the appropriateness of police intervention in relation to possible escalation. For delayed intervention, the police can generally use images and evidence collected during or after the events. The federal police also have an offer of specialized support in personnel and means to gather evidence. This support is provided by the Public Safety Directorate, which also provides a national reserve 24 hours a day and seven days a week. These resources are sufficient in themselves. However, the supply of specialized resources is of course limited. Their availability depends heavily on the timing of demand and other simultaneous events. Article 22 of the Law on the Police Function describes the mission of the police services in relation to major gatherings, providing that the police services are within reach of these major gatherings and taking appropriate measures for their peaceful conduct. Ministerial Circulars CP4 of 11 May 2011 and OOP41 of 31 March 2014 on the negotiated management of public space for integrated policing provide the framework for the negotiated management of events and gatherings. As part of this mission, the police services enjoy the powers conferred by the Police Function Act, in particular with regard to identity checks, searches of persons, use of cameras and administrative arrests, while the Preventive Detention Act provides the legal framework for judicial arrests. Finally, the procedures for the use of coercion by the police services are clearly regulated by the Police Function Act and are subject to continuous training and training in police schools. As you can see, the legal and regulatory framework is fairly comprehensive and appears sufficient and adequate.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u59	Minister, thank you for your answer. I just have a small reserve, like Mrs. Ben Hamou earlier, on the recruitment issue. As in Paris, there should not be demonstrations of yellow vests every week because this would occupy much of your capacity. Thank you very much.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u60	Debates of the European Parliament 28164, 28165, 28166 and 28167 of myself are converted into written questions. Mrs Gabriels, we come to your questions.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u61	Mr. Secretary, security officers are fully screened by the Federal Department of the Interior, Private Security Directorate, at least every five years. In practice, this is done more frequently, with the implementation of the Law of 2 October 2017 regulating private and special security. They're checking to see if they're known for facts that pose a security risk. If so, the Minister decides that they are no longer allowed to carry out surveillance activities. The minimum duration of the verification shall be three weeks. The process is financed by the fees paid annually by surveillance companies to Home Affairs. In addition, the 1998 law on classifications, security clearances, safety attestations and safety advice also provides for screening. That law, which was amended in spring 2018 and entered into force on 1 June 2018, extended the possibility of imposing security verification to numerous sectors of activity. As a result, security agents carrying out security-sensitive tasks in those sectors risk being subject to additional security verification. The minimum duration of the verification is one month and the cost is 50 euros per application. The double screening is expensive for applicants and it also reduces the flexible employability of surveillance agents. The waiting period increases from three to seven weeks. In addition, this leads to duplication of effort for the authorities concerned. Minister, are you aware of the double screening? How is it accounted for? How many double screenings were already carried out in 2018? Should we not try to achieve a single uniform security verification?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u62	Indeed, the Act regulating private and special security provides for a specific screening system for persons wishing to be active in the private and special security sector. The screening was already included in the private security legislation for the implementation of the Law of 11 December 1998 on the classification of security clearances, safety attestations and safety advice. In 1998 it was decided to maintain the separate system in the Private Security Act. Indeed, the comparison of both regulations shows that the purpose of both screenings is not identical and therefore the assessment criteria may vary. For example, the purpose of the screening in the Private Security Act is to verify that the person concerned complies with the profile laid down by law. That profile includes that the person concerned must be able to control himself when confronted with aggressive behaviour. This characteristic is essential if we are to exercise the function of a surveillance agent, as it can be confronted on a regular basis with violent persons who are or are not under the influence of alcohol and/or prohibited substances. On the other hand, that criterion was not included in the law on the classification of security clearances, safety attestations and safety advice. People who need positive safety advice are not necessarily in contact with the public. Conversely, certain risks should be evaluated in the context of the safety verification carried out under the law on the classification of security clearances, safety attestations and safety advice, risks not registered in the Private Safety Act. In addition, the screenings carried out under the Private Security Act take into account not only data from security services, police and judicial services, but also the professional data available to the Private Security Directorate of the Home Office. Finally, I should also point out that an identification card as a surveillance agent provides general access to the private and special security sector, regardless of the customer where the agent is required to perform his or her performance, as opposed to the security verification requested when the person in question is required to work at a particular location during a specific event or for a particular customer. Therefore, both types of screening have their reason for existence. However, we will examine where further alignment of the screening methods and the results of the various screenings are possible.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u63	Indeed, Minister, it is particularly important to look at further alignment. For many companies, it feels like a duplication of effort. However, I understand that the assessment criteria and the finalities are still different. To be continued.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u64	Minister, it seems that Belgians who live abroad and whose eID is likely to expire receive a letter to have their identity card replaced. To this end, a form must be completed indicating whether they wish to collect their new identity card in Belgium, or whether they wish to send it to their foreign address. The form literally states that, when Belgians are resident abroad and want to use their new eID to identify themselves on the Internet, they must personally go to their municipality in Belgium with their eID and corresponding PUK code or to one of the consular professional posts that I listed in the written summary of my question. Belgians abroad who do not reside in one of the mentioned countries cannot, in other words, consult data on mypension or myminfin unless they travel back to our country specifically for that purpose. Can no alternative be devised so that we can work more flexibly and accurately?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u65	Mrs Gabriels, you ask a very relevant question, even though the eIDs abroad are the responsibility of my foreign minister, Minister Reynders. In the 2005 Council of Europe conclusions, Member States decided to cooperate and define a number of minimum standards on the safety of issuing procedures. One of these is that the applicants for an identity card must appear in person during the issuing procedure so that the identity can be established. This is not currently the case for Belgians abroad, which means that the safety of the issue is lower than the minimum standard in Europe. That must of course be improved. For a travel pass, a Belgian must also physically pass abroad once to have his fingerprints captured. These certificates are needed to register with our e-government applications such as mypension, myminfin, tax-on-web and mine files. Moreover, if we are to have a digital signature, everything must be activated in accordance with international standards. To check all this, there is the annual audit of WebTrust and the biennial audit of eIDAS or Electronic Identification Authentication and Trust Services. The WebTrustlabel ensures that the browsers recognize our certificates as reliable. The eIDAS audit allows European regulation to recognise our digital signature as qualified, which means that it is equivalent to a handwritten signature. Both certifications impose strict requirements on both technical requirements and procedures, including the application process and the activation of those certificates. The postal method, as currently used for Belgians abroad by the FPS Foreign Affairs Department, does not meet these requirements, so that no certificates may be placed on the card. For Belgians abroad, a specific population group, the Federal Public Service Foreign Affairs, together with the Directorate-General for Digital Transformation, can find solutions to the precise problem, so that Belgians abroad can make easier use of our e-government applications without compromising the security certification of eID. My services have already discussed it with those parties and we are prepared to work together to find a good, safe and, above all, practical solution.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u66	Minister, many local areas were startled at the end of 2018, because the grants in 2018 were apparently not enough to compensate the local areas for people who went on NAVAP, which was the non-activity prior to retirement. The system is well-known and provides the local police areas with more costs, although subsidies were promised. In 2016, EUR 29 million was released. This amount amounted to EUR 35.6 million in 2017. In 2018, 38 million euros were released. However, as I indicated, the NAVAP grants proved to be quite inadequate in the third quarter of 2018. This was also the case for the fourth quarter. In view of the current period of current cases, the questions are as follows. What is the right budget for 2019? Can we assume that the grants will be sufficient in 2019 or will additional funds have to be allocated? How many additional staff will be subsidised in this way? In other words, will you be able to avoid the problem in 2019 or will the zones face the same problem?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u67	Mrs Gabriels, I confirm the amount of the announced grants for 2016, 2017 and 2018. The amount foreseen for 2019 is the same as in 2018. It is currently impossible to indicate how many additional staff will be subsidised. For the local police, the maximum amount will be 585 staff. That figure shall be determined on the basis of two grant conditions: have reached the age of 60 and have a preferential retirement age of 54, 56 or 58 before 10 July 2014 and have not reached that age before 10 July 2015. The figure mentioned above is the maximum possible number, but it will be reduced in any case. The other conditions of granting, 20 years of government seniority, a maximum duration of 4 years of NAVAP and the possibility of retiring at the end of that period, can only be checked after the police zones have submitted the file. Finally, 377 staff who were subsidised in 2018 will no longer be subsidised in 2019 as they no longer meet the conditions. It's a bit of a figure work, but that should clarify the file.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u68	It is, of course, a desirable system and it is a pity for the zones to be confronted with it at the end of the year. I would therefore like to call for a proper follow-up to the dossier, in spite of current cases, and to ensure in 2019 that the grants made are also subsidised by the federal government.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u69	Definitely.
