ParlaMint-BE_2019-10-15-55-commissie-ic030x.u1	Debates of the European Parliament Mrs Soors' 55000785C will be converted into a written question.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u31	Mr President, ladies and gentlemen, I have looked at the footage of the previous committee meeting with my fellow Minister responsible for food safety and Mr Diricks of the Food Agency. You insisted that I come here, but I suspect there is a misunderstanding about the division of powers. Some will disagree with that. I note from the content of the questions that my powers are widely overestimated. Mrs Jiroflée, you said at the last sitting that everything has to do with health, but that is not the case. As an ancien, you should know that. It is not because there is a potential impact on public health that I am also competent. For example, we have had a discussion on air quality. It does indeed have a direct impact on public health, but it does not fall within my competence to develop measures in this context. I would not know who would implement the measures needed to improve air quality. There was also talk here about the number of hours of sport, the food at school and even road safety. So I'm linked here to all kinds of powers. When it comes to food safety, there is certainly a link with public health. Until further notice, however, that is the competence of my colleague, Minister Ducarme. My colleague, Minister Ducrame, and Herman Diricks of AFSCA explained to you that our food security system was perfectly put in place during the listeria crisis. The AFSCA was informed quickly, thanks in particular to European collaboration. The alert system, Rapid Alert System for Food and Feed (RASFF), worked well. The products were removed from the sale preventively, were recalled and consumers were notified. The RASFF came after Minister Ducarme had asked the Dutch agency a question. Then they also launched a RASFF on 4 October. Consumer and health protection is the main reason for the Food Chain Safety Agency. As Minister Ducrame has explained, there is no zero risk when it comes to food. However, there is absolutely no reason to believe that there is a risk to public health. Last week, you received figures showing that in our country, the number of Listeria contaminations in recent years has remained stable. It is the services of the Scientific Institute Sciensano that have not noticed any recent changes that may cause us concern. Visiting Sciensano would be a useful work visit. Sciensano follows about everything; also the antibiotic resistance that is measured. It would be really interesting for the committee to make a work visit, to see how progressive there is and how our scientific institutes use the best techniques. And all this from the onehealth principle, because we have already merged the CODA and the former agency. Mrs Gijbels, to your previous questions, with regard to the relationship between the Dutch company Offerman and the Belgian parent company Ter Beke, Minister Ducarme has already replied. It is also about cooperation between the agencies of both countries on food safety. That's exactly why Sciensano was created. I come to your specific questions. There has indeed been no danger to public health. What happened? The Dutch have been able to see through DNA research that there was a link between three victims in the Netherlands with an infection there. Then our agency Sciensano noticed that two cases of listeria contamination last year contain the same strain. There the link was first established with the agency, because the same strain was indeed found in their database in two cases. Those people survived. Was there too little communication or too much communication? Each agency is responsible for its communication. In this case, our agency played a shorter game on the ball. Meanwhile, a lot of other information has already been disseminated, but there is little that can be done about it. As you know, that's the custom now. Madame de Laveleye, you asked me if there were any casualties, which I will answer you no. Indeed, there are no deaths in our country. 74 cases of disease were detected last year, but we assume that there were no serious casualties among those involved. Mr Diricks spoke about the number of analyses and I have the same numbers. I was also asked to explain the steps that have been taken to organize the removal of potentially contaminated products and to inform consumers. Minister Ducrame has already answered these questions. There are procedures within our Agency and we try to exercise caution as much as possible. Last time, when eggs are infected with fipronil, countless eggs and chickens have been recalled. Then they were all destroyed. In the Netherlands there were even many more. We are always working as safely as possible, which, of course, also has economic consequences for the sector concerned. Mrs Creemers, it is true that I was informed on 4 October. It also seems to me normal for us to pass the information on to each other. There was no danger to public health at that time. It was interesting to know that the DNA that was detected by the Dutch and associated with a number of cases was also recovered from us, at Sciensano. There has been no disturbance in the number of reported cases of listeriosis and the BFSA and Sciensano therefore had no reason to speak of a structural problem for public health. After we had taken note of the facts that had occurred in the Netherlands, the BFSA took the necessary measures. I did not communicate about this because there was no danger to public health. If a health minister honks that there was an incident but that there is no danger to public health, people get scared and dare not eat anything anymore. They will then dispose of or return the products concerned. An intervention by the Minister of Health, while there is no danger to public health, worries people rather than reassures them. There has been no contact between me and my Dutch colleague. Of course, there was contact with Minister Ducarme's cabinet. We also received all the information that had to be exchanged. In 2018, there was no new detection method in the Netherlands. We had it before them. So we don't know if there's another link to the infection that was detected there, to the strain that was detected at the time. It may also be in our database, but since they haven't been able to detect it, we can't figure it out anymore. Mrs Sneppe, you had questions about the transfer of information and how it was organised in the food industry. When I arrived here in 1999, there were long discussions about the dioxin crisis. There's still a few people here who've been through that, including the study department. It took months to discuss how the safety of our food should be monitored in the future. That went from growing the food to consumption. We then established a highly performing system, from which the BFSA was created, all monitoring at Sciensano as well as RASFF at European level. There is no evidence that there would have been a danger to our public health. The paradox is that the source of this listeria contamination has been traced precisely because the control of food safety in Belgium and also in the Netherlands is of a very high level and the most advanced technology is used such as DNA typing. There are certainly countries that have not yet reached this stage. We're one of the better ones in there. Mrs. Tillieux is not here. She asked questions about the source. Mrs Jiroflée, yesterday you submitted a question on the number of listeria infections in recent years. You should know that listeria can be on all vegetables, just like in meat or cheese. You know that there are general nutritional measures. The Agency warns that a refrigerator is not enough; listeria can grow in a refrigerator. The fact that pregnant women are not allowed to consume raw cow's milk cheese is well known. This is said by every general practitioner to pregnant and possibly pregnant women, because they can have less resistance at that time. In general, therefore, this is really taken into account. There is also information on the websites of the food agency and of Sciensano. It says that the contamination is always caused by food. Always. Someone asked if contamination is also possible by air. Well, that's not known. According to Sciensano, all cases in their database occur via food. You know that Sciensano unites two institutions. We merged the former Scientific Institute for Public Health (WIV) and the Centre for Research in Veterinary and Agronomy (CODA). In view of the one-health principle, we have made it a single agency. If it is harmful to an animal, it is also harmful to humans. The Minister responsible for agriculture and food safety and I myself share custody of Sciensano. It is therefore perfectly possible for Sciensano to be asked to draw up a protocol on issues such as those mentioned in your question. There's no need for me to give any permission for that. As far as the Dutch cluster of listeriosis is concerned, it appeared in the two cases to be the same isolated strain, of which I will spare you the name. Sciensano found out. Revocations and further measures are not at issue at the moment. The cases with severe consequences detected in the Netherlands have occurred in two years. So they're not from last week or this week. The vigilance and controls shall continue to apply. If measures are still needed to ensure safety, such as recall, then Minister Ducarme, responsible for the food agency, will take those measures. I'll give you that this situation doesn't change anything. You can also find listeria in vegetables from your own garden. There is the discussion between bio or not, that has also been a discussion in the fipronil case. There may always be listeria in vegetables, fish or meat. For most people this also has little or no consequences, perhaps one can get a gastroenteritis, but there will be no fatal consequences. However, in people with other underlying conditions, it may have serious consequences, but fortunately this happens rarely. Mr Prévot, I have already spoken to you about DNA which was identical in two cases in our home and in three people in the Netherlands. We are neighbours to the Netherlands. There are no problems in contacting colleagues or the Dutch Agency. However, when such an event occurs in any European country, communication must take place via RASFF. A protocol has been established. That's how we proceed. What has been put in place to combat this disease? We did the same thing; we applied the same rules. We will continue to take the same measures. No other measure is known or necessary. It is good that we now have a more accurate technique, although that DNA typing also takes a few weeks. That period may be even shorter. There may still be progress in this area. That's a good communal council. This is also important in times of budgetisation. The DNA typing must indeed be made more known, but otherwise there is little progress to be made in this area. Mrs Merckx, you have also asked a question about the strain of the two cases in Belgium. It's the same tribe. So I have already answered that question. The cause is only food according to Sciensano. So far we have no knowledge of airborne contamination, which is reassuring. Indeed, the fact that there is a different reporting system depending on the region is bizarre. But it is a matter of regional competence. In Wallonia, any contamination must be reported and in Flanders only as soon as there are more than two cases. For me as a doctor and as someone with a scientific education, the system chosen in Wallonia is better. As soon as there's anything, we need to report it. After all, it can be the tip of the iceberg and the beginning of something big. For example, the whole fipronilheisa has started with one egg and I do not need to repeat what appeal it has received. I therefore personally call for these systems to be brought into line. However, I have nothing to honk in Flanders. I will certainly pass that on to my Flemish colleague.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u32	Madam Secretary, thank you for your explanation. I have two questions to which I have not yet received an answer. That is, first of all, the question about the threshold. Do you think it makes sense to use the threshold? After all, infections have occurred, thank you for the fact that the threshold has never been exceeded. Secondly, I would also like to have your opinion on the bacteriophages technique applied in other countries. In the United States, among other things, food products are sprayed with bacteriophages, viruses that, for example, attack the listeria bacteria, so that contamination can no longer occur. Would you possibly take that with you or give it to your successor as a tip?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u33	Madam President, Madam Minister, this "removal of the ball" that we see between Minister Ducrame and yourself leaves me a little puzzled. Mr. Ducrame himself answered many questions by saying that he could not answer and that we had to turn to you. Today, you say that these are not your skills. It's a little disturbing. Although I am a new Member of Parliament, I think it will be necessary to re-explain how two ministers from the same group can refer the matter back. This may also refer to our long-standing request to bring AFSCA back to the Health Committee to avoid encountering such difficulties. We are told again that there were no problems and that everything was handled properly. However, it continues to be thought that, if there had been a real concern with this strain, the delay of a few days between the first alerts and the communication to the general public was lost time. This time, fortunately, there seems to be no disaster in Belgium. But we cannot afford to have as many hours of fighting between the first information from Holland and management at Belgian level. Here are my two reactions at this point.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u34	Madam Secretary, I have two small additions. You say that Sciensano can draw up a protocol on what has happened, so that things can be done better in future. I'm very curious about that. Perhaps Parliament or Minister Ducarme should get to work on this. I also hear you say that RASFF worked, but in my view it was too late, as the Dutch did not raise the alarm themselves. The company in question has itself forwarded information, on which the BFSA has contacted the Netherlands. So I remain somewhat concerned about whether this can be improved at European level and whether you have intentions or plans for improvement.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u35	Madam President, I thank the Minister for the answer to my questions and I have no further comments.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u36	Madam Chair, first of all, I thank the minister for taking stock of the situation. I still stay a little on my hunger in relation to the communication of agencies. Madam Minister, I hear you say that each agency is in charge of its communication and that, in your opinion, ours has reacted more quickly than that of the Netherlands, but the question that remains and which is mine is that of the communication between these two agencies and the transmission of information. I think that when we experience a crisis like this and, in addition, we have the chance not to have human tragedies, in any case within our country, we have to learn lessons. Therefore, I still have the impression that there has been a lack of information and communication between the two agencies, even though the government welcomes our communication. I have the impression that the connection between the two has at least been defective. I also note that you have not had contact with your counterpart in the Netherlands but only with your colleague Minister Ducrame. I take note of that. In my questions, there was also the question of what we would do tomorrow. I understand that you are advocating that the measures should remain unchanged and that the Belgian technique, which is important and indispensable, should be welcomed, even if it could be improved by own vote, in particular in terms of the reduction of time. Finally, and this will be my last thought, you find that we should be layered on the Walloon model which asks to report each contamination and not to wait for the second as is the case in Flanders. I can only encourage you to contact your Flemish counterpart in order to achieve this uniformity on the Walloon model.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u37	Mrs Merckx had other obligations. Then I'll go back to my answer.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u38	Madam Secretary, I must join Mrs de Laveleye. Minister Ducarme has indeed said that you are competent for the collection of data on listeriosis and the impact on health, for the monitoring of infectious diseases in Belgium and for the advice of the High Health Council. I do not think I have yet received an answer to two questions. I asked about the cases of listeriosis that Sciensano found in Belgium in 2018. It was about the same strain as this one that the RIVM established. Is it certain that it was also Sacrifice's meat products at the time, or could the contamination be traced to another source? There was also a question from Minister Ducarme to Sciensano to provide this type of data and studies systematically to the BFSA and to develop a protocol in this area. Can you tell me more about that?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u39	Mrs Gijbels asked whether the thresholds we are currently applying are still useful. So far, yes, but that can be revised if all the information is known. The cases were detected. The threshold worked there. These cases were in Sciensano's database. If they had remained below the threshold and had not been detected, those thresholds would have to be reviewed, but they were detected. To the question about the bacteriaiophages, the following. This is not only used in the US but also here for salmonella, campylobacters and Escherichia coli. We will ask Sciensano why this does not apply to listeria. However, it is not because this works for a coli that it also works for listeria, because those bacteria are very different from each other. It is still being studied how to avoid food contamination with these bacteria. But part of that research is experimental. The question was why it hasn't happened so far for listeria. There's probably a reason for that, but I need to check. Madame de Laveleye, you are puzzled because two ministers are competent. I go back a bit back in time, but I remember that during the dioxin crisis, the remark was made that for the safety of the food chain, it would be preferable for a minister – the Minister of Public Health – to be competent for this matter. This was a recommendation that dates back to 1999 and it happened a few legislative hours later. From 2007 to 2014, for seven years, Ms.Onkelinx was in charge of Public Health. During these years, Mrs. Laruelle was in charge of agriculture. It was at that time that it was decided to place the Agency under the jurisdiction of the Minister of Agriculture. The BFSA was then brought under the Minister of Agriculture to play the ball for a shorter time and Mrs Onkelinx was the second... We have already discussed in committee what should happen in the next legislature: should we go back to one responsible minister or should we preserve the fragmentation that exists between two ministers? The way of working may not change much, but I think it is best to go to one minister. In this respect, however, I will leave what will happen in the middle. The dioxin committee's reports clearly stated that the fragmentation at that time was the origin of the fact that the crisis was discovered so late. That came up very late. The creation of the BFSA has been a huge improvement in this area: now everything is going much faster. There was a call for communication. Have the Dutch communicated fast enough? In any case, communication has happened to us as soon as they know it. At that time they also requested all the information from the Dutch. In the meantime, Minister Ducarme and I have asked Sciensano for all the information at the same time. Sciensano answers all the questions raised by the Minister responsible for food safety. The Netherlands has indeed done a RASFF after our question. I don't know if they could have done it before. I am not supposed to call my Dutch colleague for anything and anything else, if there is no danger. I have a lot of contact with Dutch colleagues. During the fipronil crisis this happened: at that time there was constant contact with the Netherlands. Not now, because there was no danger. Mrs Jiroflée, Minister Ducarme receives all the information requested from Sciensano and I usually receive it simultaneously. In relation to the two cases found in the database, the problem is that this source cannot be found, because we already did a DNA analysis at that time, but the Dutch did not yet. In other words, they don't have a database with the same DNA typing. Since they did not do so at that time, it could not be associated with a company. And then we're gonna have to separate those cases. Here is the link with the company Offerman, but for those two cases we cannot say that it was. We simply cannot know that, because the Netherlands was not so far away at the time. It is good that the Dutch are doing the same in the meantime. You know that part of their food market is in common with ours, knowing that there are companies that supply both countries with food. It's getting complicated, I know. The Agency has carried out all the necessary tests. At some point the Dutch also made the link. That wasn't right. First it was found that the DNA strain was in it three times and then the link was made with the deceased people and the miscarriage. That is why I do not think that the RASFF procedure was initiated immediately, but only at a time when the link with the serious consequences in the Netherlands had been made. They must have learned something from that. We are also trying to make improvements after every case. That's what's gonna happen now.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u40	Madam Secretary, I am pleased to hear that you wish to pass on the idea of the fagen. I can also tell you that there are effective phages that work specifically on listeria. I am also pleased to hear that we already have scientific top technology for the detection of bacteria, but at the same time I have the impression that top technology is missing when it comes to communication. We must continue to work on this. We will continue to keep that aspect in mind.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u41	I want to thank you, Madam Secretary.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u42	Meanwhile, I've heard from Sciensano why they don't work with fagen sprays for listeria. Listeria is usually found on the cutting surfaces of the knives when processing the meat. The necessary hygiene measures are available for this purpose. One can irrigate, but if the cutting surfaces are not clean, then there is still another contamination in the chain. It is fixed because most infections are found after the meat or vegetables have been processed and cut.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u43	Madam Minister, I hear that you are making a good move to see how powers should be shared in the future. In my opinion, it would be much more useful if Health had unity of competence and if the food chain were to be removed from the Department of Agriculture.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u44	Anyone else asking for the floor? [[No.]] Thank you for being here.
