ParlaMint-FR_2021-10-25-O1029.u1	The next item is the debate on the second part of the finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-25-O1029.u74	In order to better understand the budgetary orientations of the Justice Mission, it is necessary to analyse their trajectories throughout the quinquennium in order to assess the means used. Since we're talking about a budget, let's talk about the numbers. Since the beginning of the quinquennium, the justice budget has increased by 33 per cent, which is historic. These include 700 additional magistrates, 850 clerks hired and a construction plan for 15,000 prison places. Several pillars have served as guides to the Government's and the majority's actions in the area of justice. The first is the simplification of access to the law for all our citizens. To this end, a digital criminal procedure was deployed almost a year ago after a successful experiment. To date, twenty-six jurisdictions have received, stored, signed and transmitted the actions of the correctional courts electronically: this is four times more than last January. In addition, 113 jurisdictions receive dematerialized proceedings without identified perpetrators, compared to only 6 in January of this year. Access to the law is also access to legal aid. The testing of a teleservice has already divided the processing times of applications by three. Access to the law is also a justice of proximity, of the field, of contact – a subject that is dear to us and to me, Minister. In concrete terms, justice can be done outside the walls of the courts thanks to a 50% increase in sites dedicated to fairground hearings. Thus, thanks to 500 such locations, nearly 10,000 decisions are rendered monthly outside the courts. The second pillar is strengthening the effectiveness of justice. To this end, allow me to self-promote the law advocated by the Group of the European People's Party and whose rapporteur I was, namely the law improving the efficiency of community justice and the speed of the criminal response. We have facilitated the delivery of work of general interest and unpaid work in the context of alternatives to prosecution, in particular through the creation of a platform allowing all actors in the justice system to monitor precisely the execution of work of general interest. I would like to take this opportunity to commend the excellent work of the Agency for Labour of General Interest and Vocational Inclusion (ATIGIP) and to stress that the TIG360 platform will be an indispensable tool for mapping the offer of positions in TIG in real time, providing a space of resources and information for the guardians concerned and coordinating the relevant actors. This pillar will be the subject of new proposals on the occasion of the States General of Justice, in which it is proposed that certain disputes in civil matters be dealt with, reserving the office of the judge to the most complex subjects and reorganizing the work with the clerks and lawyers, in order to develop other methods of dispute settlement. As a whole, the aim will be to find ways to simplify and modernise our judicial system, which requires reducing delays, lifting constraints and tempering normative inflation. The third pillar is building confidence in justice. This objective was the subject of a law which was the subject of an agreement in the Joint Joint Committee less than a week ago. Of course, this project has not yet been completed and will also provide an opportunity for exchanges on the occasion of the general states of justice. The last pillar is the spirit of reform. Indeed, we have taken on our responsibilities by adopting long-standing reforms such as the juvenile criminal justice law, the sexual violence law defended by my colleague Alexandra Louis, or the "trust in the judicial institution" bill, which introduces permission to film hearings. In the same spirit, other dossiers will be under consideration at the time of these general statements: I am thinking in particular of training and bridges with other legal professions, with the possibility for magistrates to practice in other administrations during their careers. On this point, I am also attentive to the attractiveness of the profession of prison officer, a profession carried out by individuals who are particularly invested and devoted to everyday life. In conclusion, we have placed justice at the heart of the quinquennium's priorities, in order to strengthen the pact that binds it to our society. We see this as an indispensable mission to ensure the stability of social cohesion. With this in mind, the budget of the "Justice" mission will be increased by 8 per cent of the payment appropriations, an increase comparable to that of the previous year, which confirms the government's willingness to consolidate the functions of regal and, in particular, local justice. [[Applause on the banks of the Action ens and LaREM groups]] The Group of the European People's Party will therefore vote in favour of this budget.
ParlaMint-FR_2021-10-25-O1029.u75	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2021-10-25-O1029.u76	Finance bills before an election year always have the sweet taste of cakes and end-of-year gifts.
ParlaMint-FR_2021-10-25-O1029.u77	That's right!
ParlaMint-FR_2021-10-25-O1029.u78	With this finance bill for 2022, we're not disappointed: it's Christmas in October! Santa's sled stopped at Vendôme Square.
ParlaMint-FR_2021-10-25-O1029.u79	Excellent!
ParlaMint-FR_2021-10-25-O1029.u80	The budget is up 8%, as last year, and the appropriations for the Justice Mission are increasing beyond...
ParlaMint-FR_2021-10-25-O1029.u81	Would you rather we cut down on the credits?
ParlaMint-FR_2021-10-25-O1029.u82	What's going on, Mr. Keeper of Seals? You didn't like my Santa joke...
ParlaMint-FR_2021-10-25-O1029.u83	I can't hear it right now!
ParlaMint-FR_2021-10-25-O1029.u84	Oh, you didn't hear her? Well, it's not serious, I'll do it again later...
ParlaMint-FR_2021-10-25-O1029.u85	Would you like us to cut down the credits to please you?
ParlaMint-FR_2021-10-25-O1029.u86	These increases, I said, go beyond what was provided for in the Law on Programming and Reform for Justice, which one might wonder why it was drawn up since, from year to year, there is no follow-up to it. It should also be remembered that, at constant intervention, the budget for 2022 of the state will generate 32 billion more public deficits, something that almost no one seems to be concerned about at the moment.
ParlaMint-FR_2021-10-25-O1029.u87	Yes!
ParlaMint-FR_2021-10-25-O1029.u88	Beyond the overall figures, we see imbalances in the distribution of appropriations, in particular between criminal justice and civil justice, which is the justice of the daily lives of our fellow citizens, and between precarious jobs, legal assistants, legal assistants, and long-term jobs. In the prison administration, the number of vacancies remains worrisome. The promise of an additional 7,000 prison places remains unfulfilled. Of course, some creations are under way but deliveries are delayed from year to year. As for the 8000 additional seats, it takes us beyond the end of the next quinquennium, the promises of course commit only those who receive them. I am also warning you about the dematerialization of justice procedures. It is a good idea, but we must ensure that it does not increase the distance from our fellow citizens, as we try to work collectively to improve access to justice for all. Other processes of dematerialization in public administrations have shown that some users experience a sense of exclusion, for reasons that are neither generational, social nor economic. Beyond these budgetary allocations, which are progressing, remains a broader issue, which may be taken into account by the newly opened States-General of Justice. It is not true that, since 2017, our citizens have more confidence in justice. Nor is it true that they consider it to be more efficient, faster or more accessible. This is one of the great weaknesses of this quinquennium. Members of the UDI-I Group will abstain from voting on these appropriations because they have not believed in Santa Claus for a long time.
ParlaMint-FR_2021-10-25-O1029.u89	All right!
ParlaMint-FR_2021-10-25-O1029.u90	Well, you're wrong!
ParlaMint-FR_2021-10-25-O1029.u91	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u92	It's rather strange: with this budget of the Justice mission, we feel like we're in the parallel world of Macronia where everything is perfect, where the increases in appropriations follow each other, where the minister, with his usual morgue, can come and explain to us that everything is fine: "Circulate, there's nothing to see. Did he not say in committee: "Justice now has the means to work," implying that if it did not work from now on, it might be a little bit of her fault? And yet, the delays, which have exploded with the covid, do not recede very much, or even increase with regard to certain disputes. While resources are on the rise, we obviously do not share the objectives that are being pursued. The record is not as glorious as that after four years of a difficult legislature and, to make a diversion, you organize us general states of justice, pre-campaign agitation and attempt to make peace with a judicial world in difficulty. So, since it is visibly a good tone to agree to self-satisfaction in this forum, I too will be doing this exercise. The committee of inquiry on the obstacles to the independence of justice, which I chaired, has produced an excellent report which has made ten proposals to improve the budgetary management of the Ministry of Justice: very technical proposals, good practices, simple things, as you like them, Minister. What is more, these measures fall within the regulatory area, so your immediate responsibility: not even need to go through the Assembly, awesome! And what have you done with these ten proposals, Minister?
ParlaMint-FR_2021-10-25-O1029.u93	They're worthless!
ParlaMint-FR_2021-10-25-O1029.u94	They're not worth anything, you say! But it's amazing. So go tell the senior official who steered this master yard, Mr. Michel Bouvier. All we did was copy and paste his recommendations.
ParlaMint-FR_2021-10-25-O1029.u95	There!
ParlaMint-FR_2021-10-25-O1029.u96	What a confession!
ParlaMint-FR_2021-10-25-O1029.u97	Minister, you said you wanted to be able to tell you, when you left this department, that what you said you would do, you did. You did, but it didn't give much, maybe because that's not what you had to do, and that's the whole political debate. Don't miss it, it's not enough to put in additional millions, around the billion, to come and tell each other about it in the media and in this rostrum! Let us first take judicial justice. As Mr Hetzel pointed out, there are 1300 vacancies for civil servants – no magistrates. The problem, as you know, is that the target workforce does not meet the needs. But perhaps you would like to reaffirm before this Assembly that in reality the target workforce is meeting the needs and that everything is going well in this country, it would serve the cause to expose your imposture. As much for registry officials, you can highlight the fact that the application school is running full and that it is difficult to recruit more, which requires a fast sugar policy by using contractors – but it has been clear that you are removing 107 posts of category C civil servants in this budget – so much so that you cannot use this argument as far as judges are concerned, because it does not keep the road: the National School of Judicial Affairs does not work full, far from it. Moreover, during this parliamentary term, almost a quarter of the increase in posts is the result of decisions taken by the previous socialist government. You can say thank you to your predecessors because without them, you would find it hard to sell your balance sheet. You have made only two successive increases of only fifty magistrates a year. At this rate, to reach the median European number of magistrates per inhabitant, it would take us no less than two centuries! But we do not have two centuries before us to wait with you – I do not wish it at least. As far as the judicial protection of young people is concerned, it is clear that your line is to lock up a young criminal who is setting the country on fire and blood. The ensauvagement, what – finally, it depends: when the numbers fall, there is no more ensauvagement and each minister highlights its balance sheet!
ParlaMint-FR_2021-10-25-O1029.u98	But what a contempt!
ParlaMint-FR_2021-10-25-O1029.u99	You want to build closed educational centres (EFCs) instead of creating open spaces, which have shown their effectiveness, especially in preventing recidivism. That is what should mobilize all of us.
ParlaMint-FR_2021-10-25-O1029.u100	It's boiled!
ParlaMint-FR_2021-10-25-O1029.u101	You have drawn up a code of criminal justice for minors without anticipation: go ahead, apply it, the rest will wait!
ParlaMint-FR_2021-10-25-O1029.u102	What a contempt for your colleagues: two years of work!
ParlaMint-FR_2021-10-25-O1029.u103	Ah, but it is you, with your policies, who despise all the actors in the judicial world who do what they can!
ParlaMint-FR_2021-10-25-O1029.u104	Mr draftsman, I would ask you to show the same respect to the speakers as they have for you. Mr Bernalicis, you can continue in serenity without being interrupted.
ParlaMint-FR_2021-10-25-O1029.u105	I don't mind, Mr. President, you know, I like exchanges... As far as the prison administration is concerned, we see the largest increase in appropriations. You want to build prison places again and again: it is the race to the scald, the permanent auction with the right. In any case, you have been governing the right for four years, but even in this area, you are not doing as well as she would like. That's how useless all this is!
ParlaMint-FR_2021-10-25-O1029.u106	That's it!
ParlaMint-FR_2021-10-25-O1029.u107	Again, the package should be placed on the open environment, a much more effective choice in preventing recidivism.
ParlaMint-FR_2021-10-25-O1029.u108	Blablaba!
ParlaMint-FR_2021-10-25-O1029.u109	And given the difficulties faced by the Prison Integration and Probation Service (SPIP), it is known that the margins of progress are substantial. I end, Mr. President, with legal aid. You have increased the unit of reference value, increasing it from 34 euros to 36 euros: so much the better for lawyers, they deserve it and it is a due. On the other hand, you cannot change the eligibility criteria, which means that many French and French people will continue to be unable to benefit from legal aid. But we will hurry to take your place, minister, to make justice a beautiful ministry!
ParlaMint-FR_2021-10-25-O1029.u110	Mr Stéphane Little has the floor.
ParlaMint-FR_2021-10-25-O1029.u111	Announced for the month of June, the general states of justice were finally opened last Monday, October 18. They claim to flatten the functioning of justice and restore confidence between the judicial institution and the French. Is it possible that such a project, launched at the very end of the mandate of the President of the Republic, will meet these challenges in just four months, in an electoral campaign context? We do not think so, nor are the professionals who are all the more sceptical because, this time again, they were neither associated nor informed about the organization and the themes chosen for these general statements.
ParlaMint-FR_2021-10-25-O1029.u112	That's not true!
ParlaMint-FR_2021-10-25-O1029.u113	The Judicature Union considers this to be a "pure display" while the Union of Magistrates' Union considers that this consultation is too close to the end of the quinquennium to be taken seriously; The Syndicat des avocats de France, for its part, describes these general states as a "communication exercise in the service of the executive".
ParlaMint-FR_2021-10-25-O1029.u114	Extraordinary!
ParlaMint-FR_2021-10-25-O1029.u115	Let us acknowledge that they have been scalded by the reform of the juvenile criminal justice system. In a communiqué of 30 September, the national collective "Children's Justice", which brings together most of the professionals concerned, deplores "a justice based on management and accounting logic subject to the injunctions of political time and not the judicial and educational time necessary for effective support of the child". They were also burned down by the implementation of the reform of the judicial organization, which led to a complete change in the judicial map and the principles governing it. Finally, they have also been burned down by the number of years spent under the budgetary austerity that this 2022 budget of justice does not succeed in obliterating. Of course, with EUR 8.9 billion, it has seen a further 8% increase in 2022, but it is in fact part of your predecessor's programming law, Mrs Belloubet, which does not allow you to claim victory as much as the delay to be filled is great. We all know that this increase will mainly benefit the prison administration's budget and the acceleration of the 15,000-seat prison building programme, a project that is questionable when we know that the increase in the park has never been able to respond to prison overcrowding. Over the past 25 years, 30,000 prison places have been created without any effect. Despite this increase, the justice budget is well below needs and remains well below most European countries. The European Commission's report on the effectiveness of justice, published last year, confirmed this delay in our judicial system. Thus, France has half the number of judges compared to the European average and four times the number of prosecutors. It spends 69 euros per year and per capita on justice, compared to an average of 84 euros in our neighbours. How could the justice system properly fulfil its tasks, while everywhere there is a lack of judges, clerks and staff in the judicial protection of young people or in the prison administration? How can you believe that your response to hiring untrained, poorly paid and precarious contract workers is effective and sustainable? How can you explain, if not by your submission to an accounting logic, that you refuse to recruit and train magistrates and clerks, even though the structural vacancy of posts is 7% at national level and that no contract is able to replace them in their work? In the absence of sounding and stumbling means, you have for the past four years, in order to give the change, accumulated the legislative texts, always in an emergency, always without consultation, without a global vision, thus unnecessarily complicating the judicial system and increasing the task of professionals to the detriment of the justiciable. The Attorney General of the Court of Cassation, François Molins, himself points out that "no other body has faced so many reforms in the last twenty years, nor has it assimilated such an inflation of norms". [[Mr. Ugo Bernalicis applauds]] Time passes and justice remains, it is said; Of course, time passes, but again this year, for justice to remain, it is less on your budget that you will have to rely on than on the infinite patience and the spirit of responsibility of the men and women who support the public service of justice. We express our gratitude to them and, out of respect for them, in complete coherence, we will vote against this budget, against your lack of ambition.
ParlaMint-FR_2021-10-25-O1029.u116	We're done with the interventions of the group spokespersons. The next speaker is Mr Custody of the Seals, Minister of Justice.
ParlaMint-FR_2021-10-25-O1029.u117	I will try, within ten minutes, to re-establish a number of retruths that have been stated.
ParlaMint-FR_2021-10-25-O1029.u118	Restoring Counter-Truths: Excellent!
ParlaMint-FR_2021-10-25-O1029.u119	First, after an 8% increase in 2021, the ministry's budget will rise in 2022. All those – they will recognize each other – who argued that the budget for 2021 would never be renewed, we silenced them.
ParlaMint-FR_2021-10-25-O1029.u120	That's what's bothering them!
ParlaMint-FR_2021-10-25-O1029.u121	Perhaps we should speak of self-satisfaction, Mr Special Rapporteur; Anyway, I don't see any reason why we should be self-flogging.
ParlaMint-FR_2021-10-25-O1029.u122	That's right!
ParlaMint-FR_2021-10-25-O1029.u123	Let's be realistic!
ParlaMint-FR_2021-10-25-O1029.u124	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] I do not have to blush figures that I am about to repeat to you, because you have forgotten them in the meantime: beyond the conventional political debates, it is difficult to cheat when it comes to figures. In the area of justice, 7400 jobs will have been created in five years, bringing the total number of staff in the ministry to more than 90,000: whether you want it or not, whether you would like it or not, this level is historic. Over the past twelve months, a completely unrivalled hiring plan for the Chancellery has involved 3,450 staff. In 2022, an additional 720 persons will be recruited in prisons. In the case of magistrates, Mr. Peu, the vacancy rate is not 7 per cent but 0 per cent; Not to mention the replacement of those who retire, fifty new hires will be added to the current 9090 magistrates. The quinquennium where your side was in power, Mr. Special Rapporteur, had resulted in 102 less magistrates!
ParlaMint-FR_2021-10-25-O1029.u125	That was in 2012, ten years ago!
ParlaMint-FR_2021-10-25-O1029.u126	When I hear you, with such a record, giving us lessons, I cannot forbid myself to have fun – in caustic mode!
ParlaMint-FR_2021-10-25-O1029.u127	Reciprocity is true!
ParlaMint-FR_2021-10-25-O1029.u128	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] During the next term, there were 27 more magistrates; during this one: 650. These are the figures: they are indisputable, indisputable!
ParlaMint-FR_2021-10-25-O1029.u129	What about the vacant posts? It's signposting, Minister!
ParlaMint-FR_2021-10-25-O1029.u130	Ricane: that's the reality! With regard to the Registrars, Mr Special Rapporteur, we went from 9332 people in early 2018 to 10172, with a vacancy rate of 6%, compared to 16% or 17% previously. These are the efforts we have made: there are also 340 recruitments for the judicial protection of young people during the quinquennium and, for supervisors, a vacancy rate of less than 5 per cent. Again, the figures are indisputable. Again, I do not know whether to speak of self-satisfaction, but there is no reason for self-flogging.
ParlaMint-FR_2021-10-25-O1029.u131	Once again, it would be better to be realistic!
ParlaMint-FR_2021-10-25-O1029.u132	In addition, I would like to devote a few moments to community justice, which is our second priority after the reinforcement of the staff: 600 specialized legal assistants and more than 1000 delegates of the prosecutor make it possible to really form a team around the magistrate. You blame this device for not being permanent: it's not true. It lasts three years renewable. You say that these assistants have no training: they hold a master's degree 1 or a master's degree 2 and have been perfectly integrated into the public prosecutor's office. Let me explain to you what really happened. We have given priority to criminality. The assistants came to the prosecutors, who say – remember the formula –: "We now have problems with the rich. We have achieved what we have hoped to achieve for fifteen years. What the magistrates of the seat have heard, they have asked to benefit from the same contribution. Of course I have nothing to answer them, independence requires, but we have signed objective contracts, the first of which is to allocate 1,000 high-level legal assistants to civil justice – I repeat, there is no question of untrained personnel, supporting this is a baseless heresy. [[Applause on the benches of the LaREM, Dem and Agir ens groups]] [[Applause on the benches of the LaREM group]] The results, Mr Special Rapporteur, are more important than criticism, especially nihilistic. Here they are: in Nanterre, 500 more civil cases will be tried by the end of the year; Each assuming at least two parts, it is 1000 litigants who will finally benefit from a decision. The figures are not even stable, as this policy only dates back to April. In criminal matters, as Mr. Houbron pointed out, 10,000 decisions have been rendered outside the walls! We have reopened jurisdictions, allowed the justice system to return to dispossessed cities for fifteen years! Honorary magistrates and magistrates on a temporary basis will now provide 300 vacations. With regard to the legal costs necessary to carry out investigations, to order the expertise, budgetary appropriations will have increased by 158 million in two years, or 32 per cent. As for legal aid, I said last year – if these walls have ears, they apparently have no memory – that at 50 million the first year would succeed a second slice of the same amount: we kept our word, it is no more complicated than that! In support of victims, 8 million, or 25 per cent more in one year, have been granted. You can sneeze!
ParlaMint-FR_2021-10-25-O1029.u133	I didn't laugh!
ParlaMint-FR_2021-10-25-O1029.u134	You're right, because the numbers are here! In terms of access to the law, Mr Bernalicis, there are now 2,000 point-of-justices spread throughout the territory, the fairground hearings are multiplying: once again, sneeze!
ParlaMint-FR_2021-10-25-O1029.u135	I don't sneeze, I'm distressed!
ParlaMint-FR_2021-10-25-O1029.u136	In the prison field, I hear the right constantly recrimination: Mr Millienne, I thank you for reminding you of what should be recalled. Some people are misled at the microphone – less in this forum than in the media – by repeating how much we need new establishments, but they are still considering their installation in the riding next door!
ParlaMint-FR_2021-10-25-O1029.u137	Ah! Yes, yes!
ParlaMint-FR_2021-10-25-O1029.u138	[[Mr. Ugo Bernalicis laughs]] We got 8000 places divided between different sites: we had to convince the elected representatives, have them come. That is why I would like to pay tribute to the Republican courage of those who accept that the prisons indispensable to this country are built in their territory. You can scream, you can flicker, but I will give you the numbers, because they are indisputable: I have visited 2000 places already created and of which it is regrettable that you will not also see the existence. See you, among others, in Lutterbach, Congressman! On 14 construction sites, 4000 other places are emerging from the ground; I have also visited some of them, including recently south of Caen, in Ifs. The Law Commission has received photographs of this work, to which will be added from December those that have to produce 1000 more places, bringing the total to 7,000 – in accordance with the commitments of the President of the Republic.
ParlaMint-FR_2021-10-25-O1029.u139	The President of the Republic's commitments covered 15,000 places in five years!
ParlaMint-FR_2021-10-25-O1029.u140	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] As for the 8000 places I mentioned, I personally took care of them: things have been complicated, especially with Members of the House of Commons, Mr. Special Rapporteur, who did not want a prison facility at home. I hear him call back here! On the contrary, I would like to pay tribute to the mayor of Angers, who has called for the creation of such an institution – you know better than anyone, the deputy. Similarly, in Magnanville, we met Republican attitudes. It is imperative to build prisons, not to incarcerate more, as Mr Savignant said, but to incarcerate under conditions that are finally worthy. On this point, after a great deal of condemnation of the State by the European Court of Human Rights, the Court of Cassation and the Constitutional Council, we all found ourselves during the examination of this text in committee. Moreover, Mr Special Rapporteur, it is rather curious that you blame us for too many detainees, while your political family keeps telling us that French justice is lax!
ParlaMint-FR_2021-10-25-O1029.u141	We say that there are not enough prison places: it is not the same!
ParlaMint-FR_2021-10-25-O1029.u142	I would also point out that the quantum of sentences has increased by more than a quarter in less than 20 years. We are working towards digital transformation, whose progress is enormous: 205 million invested in computer science, an increase of 69 million in two years. Contrary to what you say, the services of the digital criminal procedure will be accessible in all the courts of France by December 2023. By 2022, we have set ourselves ambitious objectives: interconnection with the bailiffs, management of digital seals, qualified signature at a distance, all representing 28 million investments, including the recovery plan and the Fund for the transformation of public action (FTAP) will finance half. I'm done with it. I will answer, of course, any questions you may ask me. As for the general states of justice, we now have the first results of the connections of our fellow citizens. Yes, you can laugh: you should see the number of those who have manifested themselves.
ParlaMint-FR_2021-10-25-O1029.u143	Because they're dissatisfied!
ParlaMint-FR_2021-10-25-O1029.u144	Democracy is something to be taken care of, because we are all very attached to it. I repeat, there are many citizens who are interested in the general states, who come to say what they have to say about justice,...
ParlaMint-FR_2021-10-25-O1029.u145	Thanks to a great questionnaire, not oriented!
ParlaMint-FR_2021-10-25-O1029.u146	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] [[Same movements]] ... who participate in a criticism – why not, I accept the auguration! – but also to a construction – unlike you, Mr. Bernalicis, whose criticism is nihilistic. They're here, they're looking at us: they're hoping for a lot of these general states. When you don't do anything, you're criticized; When you do something, you are, too. If the President of the Republic does not act, he is said to be thinking about his electoral campaign; If he does, we say the same thing. You'll manage with your contradictions! For my part, I am proud to participate in general states that could improve the justice of our country, for that is the purpose of our two highest magistrates.
ParlaMint-FR_2021-10-25-O1029.u147	Bravo!
ParlaMint-FR_2021-10-25-O1029.u148	We come to the questions, which I would like to remind you that the length – as well as the length of the answers, minister – cannot exceed two minutes. Mrs Nicole Dubré-Chirat has the floor.
ParlaMint-FR_2021-10-25-O1029.u149	This question comes from Coralie Dubost, to whom I express our full support for the aggression against her. It concerns the upgrading of the remuneration of psychiatrists and psychologists. Whether it is police custody, sentencing arrangements, terrorism or sexual offences, forensic expertise is at the heart of our judicial system. Last year, 49,148 psychiatric assessments were carried out: this is an immeasurable job. As you pointed out, Minister, the number of these experts is decreasing as their work continues to grow, with judges increasingly resorting to them. Moreover, the cost of expertise had not been revalued for years. Mr. Keeper of the Seals, you visited the judicial court in Montpellier a month ago to refer to the strengthening of the attractiveness of psychiatric and psychological expertise missions. You then announced several measures to improve the remuneration of the latter: upgrading the pricing of the expertise, the attendance allowance – increased by 129% – and simplifying the use of non-standard expertise. The exceptional 8 per cent increase in the budget for your services for the second year in a row, which we welcome, must not forget that the costs of justice constitute an essential part of these expenses, with a view to bringing justice closer and more responsive to the needs of the population. Reviewing the pricing of expertise is now essential: could you then detail the corresponding budget path?
ParlaMint-FR_2021-10-25-O1029.u150	It is Mr. Keeper of the Seals who has the floor.
ParlaMint-FR_2021-10-25-O1029.u151	First of all, I will have an emotional thought for Coralie Dubost, with whom I have already had the opportunity to contact after the scandalous aggression of which she and her companion were victims. The question she asks me concerns an area that she knows well, since I had the pleasure of going with her to Montpellier to make the announcements you mentioned: 80% of psychiatric expertise, classical expertise, for example, went from 429 to 507 euros, an increase of 18%; Further adjustments are foreseen when the expert speaks at the helm. In ten years, the number of psychiatrists has decreased by 34%, from 537 to 356: it was urgent to act, which we did. In 2019, more than 49,000 psychiatric expertise and 39,000 psychological expertise were ordered: they are essential to the proper functioning of justice, and the legislator intends to make them mandatory in more and more cases. On that basis, the Government could not remain inert. I am therefore particularly proud of these substantial increases, to which the psychiatrists and psychologists have already informed me that they have been very sensitive. Partnerships are also being developed between the judiciary and the universities that train psychologists and psychiatrists, in order to develop their appetite for the expertise that is so dear to us and that we need so much.
ParlaMint-FR_2021-10-25-O1029.u152	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2021-10-25-O1029.u153	My question relates to the percentage of vacancies in court registry services. This is a recurring problem, which explains in part the number of pending cases – 1.1 million in civil matters, which was recalled earlier – and the lengthening of the judicial deadlines. Beyond budgetary and recruitment issues, I wonder how the Government could dedicate and what policy it could implement to make the profession of clerk more attractive. This is indeed the question of the attractiveness of the holidays. This important profession, at the heart of the judicial system, is often not well known to our fellow citizens and poorly recognized. Finally, there is the question of training in these legal professions.
ParlaMint-FR_2021-10-25-O1029.u154	It is Mr. Keeper of the Seals who has the floor.
ParlaMint-FR_2021-10-25-O1029.u155	No Santa Claus, no Father Fouettard, MP Brindeau. The question of the clerks is central. You will concede to me that the percentage of clerks' vacancies has decreased considerably, as I recalled earlier, from 17% to 16%, and to 6% today. Why, however, is there still a vacancy? First of all, because we have to train the clerks. The training lasts 18 months, and the school is in full swing. That is why we have sent in court reinforcements, not only for prosecutors but also for civilian judges. The difficulty for the clerks present was to train these staff who had arrived as reinforcements – that is now done. The speeches I heard at the beginning are no longer what I hear, because everyone welcomes what has been done. I would also like to say to the national representative that these new jobs will be permanent, because no one will be able to do without them. How can we then deal with the issue of the attractiveness of the trade? There is, in my opinion, no difficulty. There are now clerks, and many young law students aspire to this function. On the other hand, we should reflect on how to refocus the clerks on their core business: work is under way on this issue at the Chancellery. The general states of justice are a great opportunity for the clerks to speak on the platforms and to say what they have to say. When, a long time ago, I received the representatives of the trade union organizations, I invited them to reflect on how they wanted to work and to express their possible wishes for change, stressing that they were facing them – pardon, MP Hetzel: self-satisfaction, when you hold us! – a minister who is listening. You recalled, Mr.Brindeau, the number of cases in stock in civil matters. I have mentioned, for my part, the number of additional files that can be processed in Nanterre: know that in Lyon, 800 more files can be processed by the end of the year thanks to the additional registry staff and legal assistants. It is obvious that the clerks are at the heart of the justice of our country. Other developments may be envisaged. I come back from the Netherlands where clerks do judicial work – like lawyers, for example – once a month. This is another avenue that could be explored in the context of the general statements. So there are a lot of leads, and if you have more, MP Brindeau, the Chancellery door is wide open.
ParlaMint-FR_2021-10-25-O1029.u156	I call the credits from the Justice Mission, listed in Statement B. Mrs Marietta Karamanli has the floor in support of Amendments Nos 353, 354 and 355, which can be presented in a consolidated format.
ParlaMint-FR_2021-10-25-O1029.u157	Given the limited possibilities available to change the appropriations entered in the missions, we are forced to propose transfers from one programme to another. In this case, we are proposing an additional effort in favour of the Prison Administration programme, by crediting, according to the amendment in question among the three, different actions: Amendment No 353, aims to create 1000 supervisory posts in prisons; Amendment No 354 aims to strengthen the budget devoted to the support of persons in the hands of justice, in particular in order to promote their reintegration; Amendment No 355 seeks to strengthen the prison administration's budget. It is therefore a matter for us, in particular, to put into practice the necessary effort in terms of personnel which I defended earlier on behalf of our group.
ParlaMint-FR_2021-10-25-O1029.u158	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u159	First of all, with regard to Amendment No 353, I agree with you, Mrs Karamanli, that the vacancy rate in the prison administration is still too high. It is now 1300 posts that are concerned. You are right to say that recruitment is necessary, but I am warning on one point: if 1000 additional supervisors were recruited, as you propose, the National Prison Administration School (ENAP) should also be resized. There is, indeed, a problem of attractiveness today. On this point, the Chancellery has not yet "set the package" and a very important work remains to be done: that is why I am talking about a pilotage problem. Wisdom opinion on this first amendment. Secondly, with regard to Amendment No 354, I understand its intention. The support of prisoners is obviously essential, for many reasons: to promote reintegration or to prevent recidivism. Nevertheless, apart from the amount proposed, your proposal seems too vague for us to be able to adopt it. Is it a question of increasing the capacity of the prison services for integration and probation? Should integration counsellors be recruited? We're missing a line of credit. On this subject, too, I will allow the Government to speak, but you are pointing to a real problem of pilotage, which is in line with my previous remarks. Finally, you are asking in Amendment No 355 to strengthen the prison administration's budget by EUR 50 million to improve conditions of detention. In this regard, I repeat: new prison places must be built. I suggest you visit the prison in Lutterbach, in the Upper Rhine, which will open in November – Mr. You can see for yourself that the conditions of detention no longer have anything to do with what they were until then. It is, however, up to the Government to make better use of the appropriations we are voting for, and that is where it is hurting: we see today that it is in a logic of posting because, from year to year, we are voting for credits that are not consumed. I would like to cite an example that contradicts the Government's assertions: there is a detention centre in my constituency, that of Oermingen – you have gone there, Mr. Keeper of Seals – which could be expanded and where a closed educational centre could be set up. Yet, despite the possibilities that exist and the unanimity of the elected representatives, nothing happens! I also express a wisdom opinion on this third amendment, leaving it to the minister to give the Government's opinion.
ParlaMint-FR_2021-10-25-O1029.u160	What is the Government's opinion?
