ParlaMint-FR_2021-12-10-O1094.u1	The next item is the debate on the draft finance bill for 2022 (No. 4709, 4787).
ParlaMint-FR_2021-12-10-O1094.u44	Which ones?
ParlaMint-FR_2021-12-10-O1094.u45	The only response, in the face of rising energy or fuel prices, must be the sustainable reduction of taxes.
ParlaMint-FR_2021-12-10-O1094.u46	But it's expensive!
ParlaMint-FR_2021-12-10-O1094.u47	This solution would have been much simpler and fairer than a random and absolutely untargeted distribution of a EUR 100 cheque or a DIY aimed at reintroducing what looks like a floating domestic oil product tax (IPTC). [[Applause on the benches of the LR group]] In any event, the members of the Republican Group will not, you will understand, be able to vote in favour of this budget for the renunciation of all your great principles, this budget from the flight to ever more debts and ever less reforms, this budget which does not reduce the taxes of present generations and increases the burden of future generations, which makes us think that it is time to put our public accounts and our finances in order.
ParlaMint-FR_2021-12-10-O1094.u48	Mr Christophe Jerretie has the floor.
ParlaMint-FR_2021-12-10-O1094.u49	He wasn't in La République on the move at the start?
ParlaMint-FR_2021-12-10-O1094.u50	I would like to begin my statement with a few regrets. Members of the Democratic Movement (MODEM) and related Democrats, like others who have already spoken, deplore the fact that we have to look at the text that we voted on at first reading and passed on to our colleagues in the Senate, who have rejected it without any other form of trial. Of course, the majorities of the two chambers often oppose each other, especially on texts as political as the budget – especially the last of the quinquennium. Let us recognize, however, that readings in each chamber enrich the text by incorporating inputs that the elected members of the other chamber had not initially thought of. Our group is attached to bicameralism: it is intrinsically good when each of the two chambers strives to work on matter and not to get lost in vain political blows. That is how we are obliged to describe the behaviour of our colleagues on the left and on the right, who, gathered for the occasion, decided, after having examined the first part of the text, to reject it with a single stroke, to have a minute of glory. Such an attitude serves bicameralism, weakens the image of the Senate and that of politics, in the eyes of our fellow citizens. Let's get to the bottom of the debate. What have we not heard about this draft budget: it would be both too restrictive and too cowardly, too prudent and too improvisable, too electoralist and too technocratic, too deficit and too austere, or what I know: in short, it would be all and nothing! The Democrats think exactly the opposite: this budget is proportionate and necessary. It is necessary because it helps to accompany recovery and to cope with the difficulties caused by the crisis. I think, of course, of the various mechanisms that will help to mitigate the consequences of price increases, the first of which is the EUR 100 inflation premium granted to all civil servants and pensioners receiving less than EUR 2000 net per month. In a second phase, the tariff shield will be designed to mitigate the impact of increases in electricity and gas prices on wholesale markets for individuals. Of course, as the Associate Minister has announced, we will complement these elements by taking additional measures to address the deteriorating situation and rising prices that have occurred in recent weeks. This finance bill is also necessary in that it allows for the exit of the crisis, with substantial funds. Several arrangements of the France Recovery Plan, which I will not detail here and which will be deployed in 2022, will thus help to support the most fragile populations. In addition to this mechanism, which everyone here knows, the new France competence plan, announced by the Prime Minister, which we adopted on the occasion of the examination of the text at first reading. It is intended to provide training to 1.4 million people who are remote from the labour market, with priority being given to jobs in tension, in order to maximize the chances of this training leading to stable employment. Because we know all the trades and sectors that are in tension: construction, industries and, in services, catering but not only. There are no longer entrepreneurs who say they want and can work and invest more but are now limited by the difficulties in recruiting. The Skills Plan is a strong component of our response to demand and supply, as well as support for employment and work. This budget is also necessary not only to accompany the recovery in the face of the difficulties caused by the crisis but also, contrary to what is often said, to continue the reforms until the last moment as we announced. It shows this clearly, first of all with the tax component of the plan for the self-employed, to which is dedicated a bill on which the special commission will begin its work next week – I salute Jean-Paul Mattei for his investment on this subject. We want to make life easier for all entrepreneurs by better protecting them, by facilitating the transformation of businesses and, above all, by supporting their development. With this in mind, the Group of the Party of European Socialists had a number of proposals which we did not know or were able to convince you of, ladies and gentlemen; We regret it, but perhaps there will be developments. This budget also lays the foundation stone of the France 2030 plan, which resumes and amplifies the momentum of France's revival: there is therefore good continuity. Thanks to the reforms that we have undertaken since 2017, France has caught up with its delay; It is once again becoming a great innovative nation, at the cutting edge of technology for the future. Finally, let us not forget that this budget, by endorsing the reduction in household tax and the reduction in business taxes, is in keeping with all our previous budgets and all the measures we have taken since the beginning of the legislature: more than 50 billion euros will have been given back...
ParlaMint-FR_2021-12-10-O1094.u51	To the richest!
ParlaMint-FR_2021-12-10-O1094.u52	...to the French and to the companies, a real breakup! All the French called for a halt to the increase in taxation, and we will have been the first to do so in 30 years.
ParlaMint-FR_2021-12-10-O1094.u53	My dear colleague, we must conclude.
ParlaMint-FR_2021-12-10-O1094.u54	[[Applause on the benches of the Dem group. – The rapporteur-general also applauds]] I will conclude in a few words: this finance bill is fair, good and adapted to the present time. Members of the Democratic Group will vote with pride.
ParlaMint-FR_2021-12-10-O1094.u55	Mr Eric Coquerel has the floor.
ParlaMint-FR_2021-12-10-O1094.u56	Our discussions on the budget for 2022 are nearing completion, and the Government's communication plans are doing well... the country, much less so. From the benches of this Chamber, I am still hallucinating in the face of the systematic mismatch between his statements and the reality that the French are suffering. I heard on Tuesday, right here, Bruno Le Maire proudly assert that his industrial winback policy was working; He even dared to state that, since the beginning of this crisis, he had not let down any company, employee or contractor. Of course, that's not true! I would point out that 284,000 jobs were abolished in our country in 2020 alone, and that the closures of industrial sites are increasing, such as PPG in Bezons or Bergams in Grigny. I think if Bruno Le Maire were to make this number of sales taps in one of the 1100 companies that underwent a social plan in 2020 – three times as many as in the ordinary year – he would not really receive the same reception as in front of the fan club that serves him as the majority. The Minister of Economy and Finance even dared to say that not only was his industrial victory working, but it was thanks to the tax cuts and the France 2030 plan. That's not true again! I would point out that the reductions in production taxes are collected by the major groups by two thirds and that no report or study, even under France Stratégie's leadership, shows that this banal supply policy would have any effect on employment, wages or investment; It would not be for nothing, on the other hand, in the explosion of dividends during this quinquennium. As for the France 2030 plan, it is pure bluff since, of the 30 billion announced, there is for the moment no additional euro compared to the average of the last ten years. At the same time, it is still unclear how many of these billions will be accounted for in tax credits or how many will be accounted for in old schemes. Thankfully, Mr Budget Minister, ladies and gentlemen of the majority, you have the right of this House to feed your propaganda by making you look like a spender! Bruno Le Maire called us, again last Tuesday, to be proud of his economic policy and of the jobs she would have created, boasting that she had obtained "the highest employment rate in France in half a century". That's bullshit! I would point out that the figures in this area are totally distorted by the number of part-time jobs and precarious contracts, not to mention the total scam of self-entrepreneur status, since, by raising the ceiling of what self-entrepreneurs can earn from the beginning of this mandate, you have multiplied the number, which allows you to boast imaginary business creations, which are in fact only the accumulation of workers reduced to work at work, as in the 19th century. But the denial has no limit with this government, since Bruno Le Maire once again told us that France was doing very well, that it had even "successful economic recovery" and that growth, expected at 6%, would be the best in the whole euro area. It's not true again! I would remind you, once again, that these 6% of growth is only a mechanical rebound in line with the gravity of the 2020 crisis and that they do not erase in any way the two years of loss of wealth production, which already allow you to threaten the country with future structural reforms. Ladies and gentlemen, Mr Deputé, you will have to repeat your propaganda in this House every day and on all TV channels, but it will not become credible or real. The increasingly martial tone you use is also up to your lies, getting bigger and bigger! It is true that the facts are painful to admit, but they are there: in five years, your record has produced more inequalities than ever before under the Fifth Republic; The Institute of Public Policy has even shown that, throughout your quinquennium, the poorest 5% have earned nothing at best, while the richest 1% have earned on average 3500 euros. Yes, Mrs. Verdier-Jouclas, you are the champions of the pass... but of the pass-flat for the rich! You can't ignore the numbers, but you're not ashamed of them, because you're not ashamed of anything. You continue the same policy until the end, until the last cent of the budget, "to the last quarter of an hour of the mandate," as Jupiter would say. Yet there would be so much to be done, if only a little, to meet the health and social crisis and the needs of ecological bifurcation. There would be so much to do, and not to mention the revenue recoverable thanks to the tax revolution that I have already had a great deal of opportunity to present here on behalf of the unsolicited France: 120 billion euros easily obtained from our first amending finance plan in 2022, which we will put in place by taking up in particular a large part of the 50 billion that you have allocated to the richest. There would also be so much to do by drawing on the 700 billion borrowing capacities made available to the Bank of France by the European Central Bank and of which you have decided to use only less than a third, even though we would need it for a great social emergency law, a real emergency plan for our hospitals, for our schools, for our public services and for ecological bifurcation. We have never needed so much government to live up to it; Yet all we care about is your good words and your deceit. There is an urgent need to rectify these five years of catastrophic budgets, the social and environmental consequences of which will only worsen. [["Oh! » on the benches of the Dem group]] We will therefore vote against this PLF, and you can count on us to act as soon as we come to power, in a few months, under the presidency of Jean-Luc Mélenchon.
ParlaMint-FR_2021-12-10-O1094.u57	Mrs Lise Magnier has the floor.
ParlaMint-FR_2021-12-10-O1094.u58	We are soon at the end of our budgetary marathon, which traditionally marks the autumn of Parliament. Unlike previous years, the Senate rejected the first part of the FLP and, in so doing, deprived itself of consideration of the second part. We regret it, of course, because the parliamentary shuttle is always an opportunity to enrich the finance bill with the expertise provided by senators and members of the House of Commons. So today we are looking at the text that we adopted at first reading. It is a well-balanced, quality milling that allows us to respond to current and future challenges around three pillars: exiting from the "whatever it costs", rearming of the Regalian ministries and strengthening public investment. Thus, this PLF is in line with the economic policy pursued by the Government and by the majority for more than four years, which has allowed us to reduce the tax burden on households and businesses, to restore purchasing power to our citizens and to the competitiveness of our economic operators. The "no matter what" will have been of tremendous efficiency to preserve these gains and to enable a rapid and powerful restart of our economy. This is reflected in the figures: growth is expected to reach 6.7 per cent by 2021, its highest level in more than 50 years, while unemployment has been at the lowest in more than a decade. Of course, difficulties remain, in particular because of global tensions on raw materials, particularly on energy. In this regard, the tariff shield, announced by the Government and introduced in this PLF at first reading, will limit the rise in gas and electricity prices for our citizens. This shield complements the inflation premium and the exceptional energy check voted in the second amending finance bill (PLFR) for 2021. These three devices form a comprehensive and well-targeted package to preserve the purchasing power of the French. But the evolution of the economic situation is closely linked to the evolution of the health situation, and the arrival of the new omicron variant and the current increase in contamination remind us that the health crisis is not yet behind us. It is therefore necessary to increase vigilance, to continue to apply the barrier measures and to continue the vaccination effort. Beyond crisis management, the Action Together Group welcomes the continued strengthening of the resources allocated to the Government ministries. They have been the priority of the executive and the majority for the past four years, and will still benefit from substantial increases in appropriations for 2022. The Ministry of the Interior will receive an additional €1.5 billion, an additional €1.7 billion for defence, in accordance with the military programming law, or an additional €1.7 billion for national education, while the Ministry of Justice's budget will increase by 8% for the second year in a row. Never before has a majority done so much to strengthen the sovereign missions of the State, which are indispensable prerequisites for the effectiveness of public action and the prosperity of our country. At the same time, the finance bill for 2022 is a positive investment. France relaunches will continue its rapid deployment next year, with €70 billion already to be committed by the end of the year. At the same time, the France 2030 plan will structure and finance cutting-edge sectors, making our country a leader in several technologies for the future. Finally, the parliamentary review will have already made it possible to enrich the text that has been presented to us. Our group has taken all its part in this, in the constructive logic that has always been its own. Thus, we are pleased to have included in this PLF two additional articles relating to the taxation of digital assets and to have allowed the extension of the old Denormandie tax credit as well as the innovation tax credit. In addition, we are proud to have voted with the other groups of the majority on amendments enabling the implementation of the youth employment contract, which should benefit more than 500,000 young people next year. [[Applause on the benches of the Action ens and Dem groups]] So it is in the same constructive spirit that we are approaching the re-reading of the 2022 Finance Bill. We are convinced that today's discussions will allow us to continue to enrich this text and, fully supporting the economic policy pursued by the Government, the group Action Together will of course vote on the draft finance law for 2022.
ParlaMint-FR_2021-12-10-O1094.u59	Mr Michel Zumkeller has the floor.
ParlaMint-FR_2021-12-10-O1094.u60	When the parliamentary shuttle comes back empty, there's really something to worry about! Denoting the increase in the spending and electoral promises of the President of the Republic, the senators chose not to examine the PLF for 2022.
ParlaMint-FR_2021-12-10-O1094.u61	They did their job!
ParlaMint-FR_2021-12-10-O1094.u62	We are now in a new reading to review this text in its first reading version. It is a record of failure and we must learn from it. The UDI-I Group understands the position of the Senate which decided to proceed to this important, rare and solemn vote, because it is a budget that sacrifices future generations.
ParlaMint-FR_2021-12-10-O1094.u63	That's right!
ParlaMint-FR_2021-12-10-O1094.u64	As I have done in this chamber for months, honourable senators have wanted to denounce the 100 billion additional current expenditure over the last three years, a record for fifteen years, but above all the 680 billion euros of debt accumulated under Emmanuel Macron's quinquennium. Since September, the President of the Republic has made no less than forty-two announcements, more costly than each other. When will this end? No one knows! If we take stock, it appears that the state's budget deficit, estimated at EUR 143.4 billion in the text presented in September, has deteriorated, following the first reading in the National Assembly, from EUR 11.8 billion, from EUR 143.4 billion to EUR 155.1 billion: the fault of the numerous government amendments, aimed in particular at integrating into the PLF the budgetary consequences of the France 2030 plan and the young commitment contract, budgeted alone at more than EUR 500 million. With regard to France 2030, this plan suffers from a flagrant lack of readability, which many actors regret. Some investments are not useless, far from it, but on condition that they actually benefit companies in our territories... At the moment, the signals are far from green. Moreover, after an investment plan at the beginning of the quinquennium, it is surprising that the Government is only regaining interest in the long term at the end of its mandate. But there is no magic money, and the debt is announced at nearly 3000 billion euros in 2022. In the face of the crisis of the covid-19, the state has, of course, mobilized unprecedented means to prevent any collapse of our economic and social fabric, but we must not lose sight of the fact that priority always remains the discharge of our public spending, in order to ensure that they progress less quickly than our revenues. Declining debt by 2030 remains a credible goal, provided that a favourable growth environment is created and spending efforts are intensified over time. It is only at this price that we can achieve this. The young commitment contract creates an expenditure that will only be useful if it actually achieves its objectives. As evidence of its involvement in supporting youth employment, the IDU and Independent Group has tabled two amendments aimed at improving the effectiveness of this scheme. In your initial project, young people between the ages of 16 and 25 who are neither in training nor in employment and who have difficulties in entering the labour market could receive up to EUR 500 per month, without any consideration other than attendance at the training offers offered, even though several hundred thousand jobs remain to be filled. What is the point of contenting itself with a training offer for young people between the ages of 16 and 25, who have no guarantee of a job offer? Thanks to its amendments, the IDU and independent group wants to bring together training and job seekers, as it is unlikely that mass unemployment will coexist with hundreds of thousands of vacancies and employers who find it difficult to recruit. That is why we want to make the eligibility of young people's recruitment contracts conditional on the orientation of the beneficiaries towards jobs in tension in recruitment. In order to make the scheme a useful and non-electoral tool, we also support the idea that the allowance should be paid to the host companies, which could supplement it by giving it back to the young person, with the aim of turning this contract into a contract of employment. The young contract of engagement, with vague and dubious drafting, whose modalities of application, even more blurred, will be defined by decree, will apply from March 2022, which unfortunately leaves little doubt about its real objective. The future of our young people is too important a subject to make it an issue of election overbidding. We simply ask you to have the courage to make the young commitment contract efficient. [[Applause on the benches of the LR group]] Within the IDU and independent group, we deeply regret that the Senate was unable to examine the text in substance and amend it if necessary. To make up for this lack, we chose to take up some amendments from the Centralist Union of the Senate group that we thought were relevant; However, in the face of the almost systematic cut-off of Article 40, we have confined ourselves, for this new reading, to the tabling of a few amendments, which are modest in financial terms but whose usefulness competes with urgency. Once it is not customary, we dare to hope that parliamentary initiatives will be as successful as the too many government amendments tabled at first reading.
ParlaMint-FR_2021-12-10-O1094.u65	Bravo!
ParlaMint-FR_2021-12-10-O1094.u66	Mr Michel Castellani has the floor.
ParlaMint-FR_2021-12-10-O1094.u67	This is the last budget of the legislature, a special budget that is crucial for our future, because, at a time when the pandemic marks a worrying return, this PLF is supposed to allow us to speed up the recovery. The key question is therefore: does this budget allow France to get back on track? At the beginning of the discussion of the text, the deficit stood at EUR 143 billion, which is already worrying; At the end of the first reading, it exceeds 155 billion, or almost 12 billion euros more, whose origin lies mainly in more than 150 government amendments, tabled in the course of our debates. By rejecting the first part of the PLF, our honourable senators wanted to send you a signal. Indeed, the situation could become untenable. Mortgages are numerous: interest rate risk, external trade deficit, and the pace of global growth. In essence, it is particularly unhealthy for public debt to be used as a playground for the purely financial economy. In this context, what future do we plot? What is the sustainability of fiscal and debt balances? In 2020, France was already borrowing 1 billion a day. By 2022, the debt ratio is expected to be 114% of GDP, or EUR 2950 billion, an increase of almost 700 billion during the quinquennium. In five years, the debt of each of the 29 million French households has increased by 24,000 euros. Of course, the health crisis has made things worse. We were in favour of measures to support the economy. However, public financial governance also bears its share of responsibility. In any event, the debt trap is ever more threatening. Of course, there is positive in this budget, and some expenditure is essential. I am thinking in particular of the energy renewal component, which devotes 2 billion to the MaPrimeRenov' device. This is a real step forward because the recovery plan originally planned to spend the same amount in two years. We could no doubt have better prepared the ambitious goal of carbon neutrality of the private fleet by 2050 and made the accompanying arrangements sustainable. I would add that, in order to put France back on the path of recovery, in this and other areas, it is necessary to work hand in hand with the territories and to adapt to their specificities. Perhaps the most striking counter-example is your record 34 billion euro amendment for the France 2030 plan, designed without the help of local elected officials. This lack of dialogue with the territories is repeated in new reading – I am referring to the issue of regional equalization. In the framework of the partnership agreement with the State in 2020, the regions transmitted to the Government their proposals resulting from a unanimous agreement. You chose not to follow the letter of this agreement. This subject is closely monitored by the Libertés et territoires group. My colleague Sylvia Pinel will support an amendment that will return to the unanimous agreement of the regions. I hope, Minister Delegate, that you will listen to this essential request. And then there is Corsica, a fine example, which, because of its insularity, faces challenges of its own – I am thinking in particular of the episodes of marine pollution and the accidents that the community still does not have the means to cope with in the Corsica Canal. I am once again defending an amendment of appropriations aimed at improving matters in this area. There is also the serious problem of paying the 90 million to the Corsica Ferries company, which is likely to destabilize the finances of the Corsican community. You are preparing to take over part of the sum, as required by justice and the involvement of the State in the biased operation of the territorial continuity scheme; you are preparing to abound the PTIC – a transformation and investment plan for Corsica – in this sense. I would like to tell you on this occasion that the management of this programme will need to be improved, involving more and better the Corsican community and the communities concerned. There is also a need to build a stable maritime relations model, finally approved by the services of the European Commission. More broadly, I repeat, it will also be necessary to replace the multiple tax systems, disparate, overlapping, not devoid of perverse effects, with a genuine tax and social status, effective in development. [[Applause on the benches of the LT group]] In conclusion, we are not unaware of the difficulties of the hour, yours. They are considerable, multiple and profound, but we have a total of significant reserves on the budget for 2022.
ParlaMint-FR_2021-12-10-O1094.u68	Mrs Claudia Rouaux has the floor.
ParlaMint-FR_2021-12-10-O1094.u69	This finance bill is first and foremost a presidential pre-campaign budget, which confirms the many promises of the end of the term of office of the President of the Republic and his government. It allows the power in place to remove the cheque book to extinguish the fires caused by the legitimate concerns of the French, in particular on the major issue of the evolution of purchasing power strongly affected by inflation. At first reading, during the general discussion, not so long ago, my colleague Christine Pires Beaune denounced the 149 amendments then tabled by the Government: it was already a record. You didn't find any answer but to drop 220 this time! She denounced your propensity to put on the table new unconsidered spending at the last moment, like your historic amendment of 34 billion euros. Yesterday, you simply tabled a new amendment to Rule 42g, which could cost a minimum of 8 billion more. I say'may', because this amendment is neither budgeted nor evaluated: there is nothing to inform Parliament, as is unfortunately too often the case. Again, this is a new expenditure that does not take into account what the hidden puncture will cost EDF due to the extension of regulated access to historical nuclear electricity (ARENH) and which will ultimately be paid by customers who remain attached to the public energy service. Fortunately, opening up to competition should help to lower prices! In the end, it is only an additional measure which, once again, makes the little ones pay. Meanwhile, the shareholders of Total, a company that is expected to generate around 14 billion net profits this year, will be able to accumulate record gains. We have offered to involve them; You refused. Beyond these last developments, what can be said which has not already been said ten times in this too long quinquennium? This budget is a budget for the rich, which is still based on the idea that the "first of the ropes" will make money flow and that growth will come. Yes, growth starts again, but you welcome it by stifling the fact that it is a mechanical rebound: in reality, between 2019 and today, it remains three times less than that of the rest of the world. As a result, the gains in purchasing power at the top of the spectrum have resulted in a large portion of the population remaining precarious. It is pushed at the foot of the wall when inflation returns. Then you have to pull out the billion-dollar spear to avoid an episode like that of yellow vests, especially to avoid a major social movement on the eve of the elections. How long will this scheme last? No one knows. In any event, we will continue to oppose this impasse, which we consider too unfair socially.
ParlaMint-FR_2021-12-10-O1094.u70	Mr Bruno Bilde has the floor.
ParlaMint-FR_2021-12-10-O1094.u71	This finance bill for the year 2022 is the last budget of Emmanuel Macron's quinquennium, an undeclared candidate in the presidential election, but already in the campaign. Thus, we are led to debate on an insinuous budget, fortified as candidate Macron's electoral announcements take place. This project, which is still marked by the health crisis, is that of a new race for the deficit, even though it is difficult to measure the exact budgetary consequences of the fifth wave of epidemics today. The crazy race ahead of public spending is still accelerating. This expenditure will amount to 57% of GDP in 2022, which is a sad European record. This last budget for a twilight quinquennium has 35 billion euros of sometimes demagogic promises, often misdirected, and still a short-term vision. As with previous budgets, there is no solution for the many French people in the populace and middle class who struggle to make ends meet. The Government prides itself on having returned 24 billion euros to households, but it is the most affluent households that have benefited from these gains. The only indisputable growth is that which concerned the heritage of the 500 largest fortunes of France, which doubled during the quinquennium. The announced runoff did not take place: one third of the French population draws on its savings to close the end of the month. Under this legislature, there has been no real will to tackle the deep inequalities that are going through our society. This government has consistently favoured the richest of our fellow citizens. These include the introduction of the flat tax on capital income, the increase in the CSG – a widespread social contribution – for many French, the extension of the CRDS – a contribution to the repayment of social debt – and the decline of the APL, when so many young French people live in ever greater precariousness. The philosophy of your economic and fiscal policy? Injust because sweet for the richest and hard with the French most in difficulty, like your unemployment insurance reform. Youth, sacrificed by the Government's health measures, has not benefited from any ambitious policy on training or combating youth unemployment. The contract of young engagement is only an umpteenth electionist measure, which will be inaugurated on 1 March 2022, just forty days before the first round of the presidential election. That's what I mean! The modest pensioners, on the other hand, suffered the increase in the CSG at the beginning of the quinquennium and the quasi-freezing of pensions. They are also the first to suffer from the difficulties of access to the health system and the closure of community-based public services. Your sprinkling of isolated measures cannot be sufficient to provide a relevant response to the problem of purchasing power: 56% of French people believe that their purchasing power has decreased under the Macron presidency. They suffer from the explosion of energy prices and are legitimately concerned about the upsurge of inflation. Many compatriots find that the price of fuel is rising week after week and that their shopping baskets are increasingly expensive. After making the necessary choice of "whatever it takes" in the face of the health crisis, the Government is preparing to present the bill to the popular and middle classes, as well as to future generations who will have to pay for the explosion of the debt. In conclusion, this finance bill is a reflection of your multiple failures, which you are trying to mask with big blows of billions that make our public debt rise to an unprecedented level: 114% of GDP.
ParlaMint-FR_2021-12-10-O1094.u72	The general discussion is closed.
ParlaMint-FR_2021-12-10-O1094.u73	I now call the articles of the 2022 Finance Bill, in the text previously adopted by the National Assembly and rejected by the Senate.
ParlaMint-FR_2021-12-10-O1094.u74	Mr Raphaël Schellenberger has the floor in support of Amendments Nos 275 and 274, which can be presented in a consolidated format.
ParlaMint-FR_2021-12-10-O1094.u75	These two amendments by my colleague Marie-Christine Dalloz – whose seriousness in following up the work of the Committee on Finance, as well as the understanding of the budget, cannot be called into question – simply aim to put you back on the ground, Minister Delegate. In reality, behind the announcements and the cyclical effects, you mask a structural widening of the deficit of our national budget. The two amendments therefore aim to bring the budget entries back to the reality of the structural deficit and, with regard to point 274, point out your own contradictions. Your own forecast of the deficit – which you had adopted by our assembly in the Public Finance Programming Act for 2018-2022 – will not be achieved, so it is appropriate to correct the trajectories.
ParlaMint-FR_2021-12-10-O1094.u76	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u77	That's an unfavorable opinion. Of course, the structural balance is deteriorating, which is one of the consequences of the crisis. This has certainly led to exceptional, very short-term expenditure, but also to structural expenditure: we have refinanced a lot of the needs of the public hospital, but also the needs you called for – I am thinking in particular of security and justice. In the aftermath of the crisis, the time comes for the restoration of priority public policies, and the consolidation of our public finances will have to be at stake in the next legislature. Irrespective of the future majority, he and the next government will need to clean up the public accounts in relation to the level of debt we have reached and of which we are collectively aware.
ParlaMint-FR_2021-12-10-O1094.u78	We are considering the first part of the finance bill for 2022.
ParlaMint-FR_2021-12-10-O1094.u79	I have before me two amendments, Nos 386 and 269, which may be submitted to a joint debate. Mrs Claudia Rouaux has the floor to support Amendment No. 386.
ParlaMint-FR_2021-12-10-O1094.u80	This amendment by Christine Pires Beaune aims to re-evaluate the income tax thresholds, not by 1.4%, but by 2%. We consider that the Government has undervalued inflation, since the Bank of France's forecast is 1.8 per cent.
ParlaMint-FR_2021-12-10-O1094.u81	I call Mr Michel Castellani to support Amendment No. 269.
ParlaMint-FR_2021-12-10-O1094.u82	Charles de Courson felt that the indexation of the tax scale to inflation should be corrected. The current rate of 1.4% is too far from reality; Our colleague therefore proposes a re-evaluation of 2.8%, in order to give a real tax boost to taxpayers.
ParlaMint-FR_2021-12-10-O1094.u83	What is the committee's opinion on these two amendments?
ParlaMint-FR_2021-12-10-O1094.u84	Unfavorable opinion. For the amendment tabled by Mrs Rouaux, it is essentially an accounting subject, linked to the inclusion of non-tobacco or tobacco inflation, which explains the difference. For Mr Castellani's question, it is a calendar question: the level of inflation is calculated from November to November, whereas for the PLF for 2022, we have to measure inflation from January to December.
ParlaMint-FR_2021-12-10-O1094.u85	I call Mr Dharréville to support Amendment No. 643.
ParlaMint-FR_2021-12-10-O1094.u86	It is a classic subject that we have already addressed several times – but, as everyone knows, pedagogy is the art of repetition. We propose a truly progressive scale of income tax, with eleven tranches.
ParlaMint-FR_2021-12-10-O1094.u87	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u88	Unfavorable opinion. Our income tax is already one of the most progressive and redistributive. In addition, I would like to point out that we have lowered the rate of the first two tranches during the quinquennium.
ParlaMint-FR_2021-12-10-O1094.u89	Mrs Claudia Rouaux has the floor to support Amendment No. 387.
ParlaMint-FR_2021-12-10-O1094.u90	While the objective of Article 2 of the PLF is to neutralise the effects of inflation on income tax, the amendment aims to eliminate the indexation for taxpayers who owe the highest income tax bracket. But you're probably going to give me the same answer as before.
ParlaMint-FR_2021-12-10-O1094.u91	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u92	No loss of purchasing power for any of the households in this PLF: unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u93	Mrs Claudia Rouaux has the floor to support Amendment No. 388.
ParlaMint-FR_2021-12-10-O1094.u94	We are calling for the creation of a fifth tax bracket, applicable for the years 2022 and 2023 to the 0.1% of taxpayers with the highest income.
ParlaMint-FR_2021-12-10-O1094.u95	I have before me two amendments, Nos 276 and 270, which can be discussed jointly. I call Mr Raphaël Schellenberger to support Amendment No. 276.
ParlaMint-FR_2021-12-10-O1094.u96	Deputy Minister, we want to help you get rid of your old socialist demons. It seems to remain, since you continue to think, as under François Hollande's quinquennium, that the family quotient is a social assistance, while it is a tool of natalist politics. It is therefore necessary to return to family quotient ceilings approaching those in force before 2012, in order to promote the birth rate in France. It is a real need: we cannot disconnect the subject of growth from a real natalist policy, far from the logic of social assistance that you have been maintaining for ten years now.
ParlaMint-FR_2021-12-10-O1094.u97	I call Mr Michel Castellani to support Amendment No. 270.
ParlaMint-FR_2021-12-10-O1094.u98	The aim is to make taxation favourable to the reception of a child in the home by amending the ceilings provided for in Article 197 of the General Tax Code, which relate to the reduction of tax resulting from the application of the family quota.
ParlaMint-FR_2021-12-10-O1094.u99	What is the committee's opinion on these amendments?
ParlaMint-FR_2021-12-10-O1094.u100	Unfavorable opinion. It must be borne in mind that we are one of the countries, if not the country, whose fiscal policy is most favourable to the family. Under no circumstances is our ambition to weaken this situation. The measures voted in the PLF for 2013 have been voted, we will not come back to it – the cost would be very important for public finances. But family policy has by no means been undermined by the taxation decided by our majority.
ParlaMint-FR_2021-12-10-O1094.u101	I call Mr Raphaël Schellenberger to support Amendment No. 277.
ParlaMint-FR_2021-12-10-O1094.u102	The objective of Article 3 of the PLF is to restore the scope of services eligible for the tax credit prior to the decision of the Council of State of 30 November 2020, by including in the law, in particular, the cancelled administrative comments, which had the effect of attributing certain services performed outside the taxpayer's home to the scope of the tax credit, provided that they are included in an overall offer of service. In its decision, the Council of State considers the delivery of meals at home to be a service carried out in the taxpayer's home. In the present state of the law, the services for the delivery of meals at home, the collection and delivery of linen fall by nature within the scope of the tax credit and are not covered by the administrative doctrine cancelled. There is therefore a need to put some coherence in all this.
ParlaMint-FR_2021-12-10-O1094.u103	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u104	The opinion is unfavourable, since you extend the scope of the activities carried out to the residence, which is not the subject of Article 3 or the decision of the Council of State. In a few moments, we will come back to tele-assistance, a subject that deserves a little more legal clarification.
ParlaMint-FR_2021-12-10-O1094.u105	What is the Government's opinion?
