ParlaMint-FR_2021-10-11-O1008.u1	The next item is the debate on the draft finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-11-O1008.u79	Good question!
ParlaMint-FR_2021-10-11-O1008.u80	[["Oh! » on a few benches of the LaREM group]] I have received a motion from Mr Damien Abad and members of the Republicans' Group to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mr Gilles Carrez has the floor.
ParlaMint-FR_2021-10-11-O1008.u81	The truth now!
ParlaMint-FR_2021-10-11-O1008.u82	Incomplete budget, insinuating budget?
ParlaMint-FR_2021-10-11-O1008.u83	Oh, no!
ParlaMint-FR_2021-10-11-O1008.u84	Probably both, Minister, Minister Delegate. Incomplete, that's a certainty. The rapporteur-general estimates the missing expenditure at EUR 6 billion, but he does not take everything into account, despite his concern for the truth, because he cannot keep up with the infernal pace of presidential promises. As for the High Council for Public Finance, it considers itself, and this is a first, unable to "declare on the plausibility of the 2022 deficit forecast". Insinuately, the budget is also within the meaning of article 32 of the 2001 Organic Act, as well as the jurisprudence of the Constitutional Council.
ParlaMint-FR_2021-10-11-O1008.u85	Right!
ParlaMint-FR_2021-10-11-O1008.u86	But the ministers tell us that they will correct this budget. Mr. Rapporteur-General, your role will be essential in order to avoid difficulties for the Government. Can you assure us right now that you will require impact assessments prior to the late tabling of government amendments in the second part, which will heavily affect the future of our public spending? Will your majority vote without questioning the stealthy amendment to create a young RSA, when, for twenty years, no government has wanted to embark on this unresponsible path?
ParlaMint-FR_2021-10-11-O1008.u87	Exactly!
ParlaMint-FR_2021-10-11-O1008.u88	Will your majority vote without questioning the launch of an investment plan of several tens of billions of euros? Will it be satisfied with a simple letter of intent without any idea of the precise content of these investments? And what will she think of the skills investment plan? Mr rapporteur-general, be demanding. Protect our assembly from the contempt of this government,...
ParlaMint-FR_2021-10-11-O1008.u89	Bravo!
ParlaMint-FR_2021-10-11-O1008.u90	...because I only imagine too much the manipulation that is being prepared – a first for me, despite my long experience of this house. As a first step, you will vote for the 18 articles of this first part of the finance law and, in a second step, the general balance article 19 of the budget providing for a deficit of 143.4 billion euros. Then, a few days later, by a pass-by, the Government will add, in the second part, 6 billion additional expenses. At the same time, he will discover that he can find additional revenue or even realize some savings and, o miracle, this will be the last time: the budget deficit of 143.4 billion will remain virtually unchanged. I do not imagine, indeed, Minister Le Maire, after all you have told us, that you are going during the discussion to degrade this colossal budget deficit. Mr General, I hope that you will avoid such unfair behaviour towards our House and in my eyes, and I hope that if this scenario were to happen, the Constitutional Council will adjust its jurisprudence on budgetary sincerity.
ParlaMint-FR_2021-10-11-O1008.u91	All right!
ParlaMint-FR_2021-10-11-O1008.u92	[[Applause on the benches of the LR group. – Mr. Jean-Louis Bricout also applauds]] You who were carrying the sincerity of the budget in your shoulder, expressing the acerbic criticisms that we remember against the sub-budgetizations of the last budget of the Dutch era and presenting you as the true holders of the sincerity of the budget, you are not doing better, and I think you are even doing worse! The most serious, indeed, is not the short term of 2022; the most serious, all these commitments of several tens of billions of dollars will weigh on future budgets. If the ministers do not present us with the multi-year plan for these 2022 commitments, can you, rapporteur-general, inform us before we consider the government's amendments in session? Will you even have time? Inseverity is also your refusal to rework the January 2018 law on public finance programming. It is obsolete, with the structural balance 2022 falling by three points of GDP compared to the forecast, while a mere 0.5 point gap should trigger a revision of the law. We are in this paradoxical situation where in 2022 you flatter yourself with respecting the various laws of spending on defence, research, official development assistance, justice, while you throw the nettles the only law of programming that counts, the one that takes us on a path of recovery of our public finances. [[Claims on several banks of the LaREM Group]] Clearly, this draft budget comes from one choice and one choice: that of the flight forward in public spending and in debt. In just three years, not to mention the appropriations for economic support and recovery, made necessary by the health crisis, public expenditure in all sectors, ordinary public expenditure, as the Court of Auditors calls it, will have increased by EUR 100 billion. That's the record for the last fifteen years! In 2022, public spending will amount to 57% of GDP, two points higher than in 2019, making us the winners of the League of European Nations and even world champions!
ParlaMint-FR_2021-10-11-O1008.u93	It's true there wasn't the covid!
ParlaMint-FR_2021-10-11-O1008.u94	[[Exclaims on the banks of the LaREM Group]] In a spirit of responsibility, the LR group approved without a state of mind all the amending financial laws that opened up credits, whether for the Solidarity Fund, for partial activity, for support to companies or for households in difficulty, because we thought that these measures were necessary and properly calibrated to deal with the health crisis. But how could we approve of the spending drift of this last budget of the legislature? How could we accept the major risk that over-indebtedness will put our country at risk? It is not in fact by confining 165 billion euros of covid debt that we will alleviate the burden: it is only the budgetary cosmetics fed by political ulterior motives, let us say. Who can seriously give the slightest credit to this promise to set aside for 20 years to repay this debt 6% of the annual increase in revenue? You are making fun of us, you who have already extended the repayment of social debt to the Social Debt Depreciation Fund (CADES) for ten years.
ParlaMint-FR_2021-10-11-O1008.u95	That's right!
ParlaMint-FR_2021-10-11-O1008.u96	Good thing we did!
ParlaMint-FR_2021-10-11-O1008.u97	[[Applause on the benches of the LR group. – Excamations on a few benches of the LaREM group]] When we take stock of this Parliament on the occasion of this last budget, one thing must be said: not a single structural reform has been carried out to correct our public accounts. Colleagues, this is the first time in 30 years that nothing has been done for pensions. In 2010, there was the courageous reform led by Eric Woerth; In 2014, there was the one led by Marisol Touraine. With you, there was nothing: nothing! In 2017, remember, President Macron made a commitment to reduce the workforce of the state and its operators by 50,000. And what about almost five years later? The number of staff has increased.
ParlaMint-FR_2021-10-11-O1008.u98	No, that's not true.
ParlaMint-FR_2021-10-11-O1008.u99	[[New exclamations on a few benches of the LaREM group]] Ladies and gentlemen, today's choice of debt poses the greatest dangers to our country.
ParlaMint-FR_2021-10-11-O1008.u100	Do you mind the truth, colleagues?
ParlaMint-FR_2021-10-11-O1008.u101	All this is so laughable!
ParlaMint-FR_2021-10-11-O1008.u102	Mrs. Verdier-Jouclas, please.
ParlaMint-FR_2021-10-11-O1008.u103	This is unique to France. The other euro area countries refused to do so. None of them, Mr. Le Maire, agreed that debt relief could only begin in 2027, as envisaged by the debt president, President Emmanuel Macron. The parallel with Germany, which you know well, Minister, and with the euro area is eloquent. When the 2008 financial crisis hit, France, Germany and the other euro area countries had on average the same debt ratio, around 60% of GDP. By the end of 2011, it was around 85% to 90% for these same countries, indicating a similar pattern. However, for the past ten years, the gap has been widening. By the end of 2022, public debt would reach 114 per cent in France, compared with only 70 per cent in Germany. And throughout the euro area, it is decreasing. In 2017, 2018 and 2019, under this legislature, before the health crisis started, we had an honorable rate of growth, around 2%, but France did not despair. She just stabilized the debt just below 100% of GDP by playing on the issue premiums, a subject that we know well about you and me, Mr. de Courson. In total, during this term, our public debt will have increased by 680 billion euros. Sad record! The question is: Can the magic money of unlimited debt continue to flow? I do not think so because the economic and political context is changing. First, inflation starts again. Your forecast – plus 1.5% in 2022 – seems optimistic to me at a time when the price of energy and raw materials and even the price of services go away, at a time when bottlenecks are increasing, whether in terms of labour or supplies. Let us not forget that inflation in Germany has just reached 4%. In these circumstances, I am therefore confident that the central banks, including the ECB – the European Central Bank –, which is less accommodative, will tighten their policies, which will lead to an inevitable rise in interest rates. Since France has become the weakest link in the euro area, it will therefore be the most vulnerable. Our country is the only country whose budget is still in primary deficit. Spain and Italy do better than we do!
ParlaMint-FR_2021-10-11-O1008.u104	That's right!
ParlaMint-FR_2021-10-11-O1008.u105	I don't have time to talk more about the gulf of our trade deficit – 90 billion euros! – which shows how far we are still far from regaining competitiveness. The political change in Germany, the renegotiation of the Maastricht criteria, the governance of the euro will place us in a situation of great vulnerability when we must find again, in 2022, 260 billion euros in the financial markets to finance both the deficit and the capital that is coming to an end. Faced with the fragility to which our country is exposed, the answer, ministers, cannot only be the flight forward in public spending and the absence of reform. The legacy of this legislature will be very heavy to bear. If we want to avoid a similar stranglehold at the turn of the 1983 austerity, if we want to preserve our financial sovereignty, membership of the euro area will not be enough. We must give guarantees of responsibility and serious budget.
ParlaMint-FR_2021-10-11-O1008.u106	All right!
ParlaMint-FR_2021-10-11-O1008.u107	[[Charles de Courson applauds]] That is why I am calling for the rapid introduction of a golden rule in the field of public finances. Éric Woerth and Laurent Saint-Martin have just done a very useful work on the modernization of the LOLF and the organic law of December 2012. However, their proposals are not sufficient: we need a constitutional level rule that imposes a multi-year path of gradual return to balance on the laws of finance and social security financing. This reform, Mr. Le Maire, you have just discovered the interest. That said, you also discovered earlier that nuclear energy was a decarbonized energy.
ParlaMint-FR_2021-10-11-O1008.u108	A little good faith, Mr. Carrez!
ParlaMint-FR_2021-10-11-O1008.u109	Minister, you will have the opportunity to respond later. For the time being, only Mr Carrez has the floor.
ParlaMint-FR_2021-10-11-O1008.u110	Yes, but he's talking nonsense!
ParlaMint-FR_2021-10-11-O1008.u111	Minister, since you think I'm telling anything,...
ParlaMint-FR_2021-10-11-O1008.u112	I'll confirm it!
ParlaMint-FR_2021-10-11-O1008.u113	...I will make a very specific proposal: let us work on the basis of the constitutional bill that we voted in the same terms in the National Assembly and the Senate in July 2011. The Act established three-year framework public finance laws with constitutional primacy over annual financial laws, subject to certain conditions. Let us go further and coordinate these framework laws with the new governance rules that will be put in place in the euro area. Due to the over-indebtedness that you did not want to correct, the amount of public debt reached at the end of 2022 nearly 3000 billion euros. And if we add the cumulation of the emission premiums,...
ParlaMint-FR_2021-10-11-O1008.u114	A hundred billion!
ParlaMint-FR_2021-10-11-O1008.u115	...which actually amounts to 100 billion, Mr. de Courson, we're over 3,000 billion. France is therefore no longer immune from a financial crisis that would call into question its sovereignty as well as its social model and that would lead to brutal measures penalising the most fragile, like what happened in Italy and Spain, during the 2011-2012 sovereign debt crisis. This finance bill is short-sighted, as if there were to be elections in 2022.
ParlaMint-FR_2021-10-11-O1008.u116	Oh!
ParlaMint-FR_2021-10-11-O1008.u117	[[Applause on the benches of the LR group. – MM. Charles de Courson and Michel Zumkeller also applaud]] It puts our country's public finances at risk. That is why, on behalf of the Group of the European People's Party, I ask you, ladies and gentlemen, to adopt this motion for a preliminary rejection.
ParlaMint-FR_2021-10-11-O1008.u118	Excellent!
ParlaMint-FR_2021-10-11-O1008.u119	All right!
ParlaMint-FR_2021-10-11-O1008.u120	The Minister has the floor.
ParlaMint-FR_2021-10-11-O1008.u121	[[Applause on the benches of the LaREM and Dem groups. – Exclaims on the benches of the LR group]] [[Applause on the benches of the LaREM and Dem groups]] Mr Carrez, I have discovered you disloyal and insinuating, to use your own words. Finally, that you were disloyal, I had discovered much earlier, when you had tabled on a night without a moon an amendment rejecting the privatisation of Paris Airports (ADP), a measure proposed by your own political family a few years earlier, which amounted to depriving us of 8 billion euros of revenue for the debt-debt of France. It's not consistency that stifles you!
ParlaMint-FR_2021-10-11-O1008.u122	I had already opposed the privatisation of motorways because it was not financially justified!
ParlaMint-FR_2021-10-11-O1008.u123	You claim that nuclear power would be a discovery for me; I remind you that during my political career, over the last ten years, I have always defended nuclear energy as a guarantee of independence for our country and a guarantee of the success of the ecological transition. So I have no lessons to learn from you on this point, Mr Carrez.
ParlaMint-FR_2021-10-11-O1008.u124	You gave us a lot of lessons earlier!
ParlaMint-FR_2021-10-11-O1008.u125	[[Applause on several benches of the LaREM group]] You're still teaching us, Mr. Carrez, talking about running forward. Should I recall that you were rapporteur-general from 2002 to 2012, when the debt increased from 60 per cent to 90 per cent of national wealth? [[Same movements]] Do I have to remind you that you finished your task as rapporteur-general with a debt that had increased by 30 points, leaving us at the same time unemployment to almost 11% and growth to zero? Good result, rapporteur-general!
ParlaMint-FR_2021-10-11-O1008.u126	Do I have to remind you that you were a member of the government at the same time, Mr. Le Maire? A minister seems more important to me than a general rapporteur, doesn't he?
ParlaMint-FR_2021-10-11-O1008.u127	[[Applause on the benches of the LaREM group]] We have increased the public debt, it is true, but, ladies and gentlemen, the majority, if you have done so, if we have done so, it is to protect the French, to protect the employees, to protect the companies and to leave unemployment at less than 8% and growth at more than 6%! You have the front to tell us, Mr Carrez, that we have not done any structural reform! You seem to forget that some reforms have even voted with us. Ladies and gentlemen of the majority, you have reformed the labour market; you have had the courage to reduce the number of jobs assisted, an easy solution used by previous majorities; you have put in place the law on enterprise growth and transformation (PACTE) and reduced the social thresholds of enterprises;...
ParlaMint-FR_2021-10-11-O1008.u128	What about pension reform?
ParlaMint-FR_2021-10-11-O1008.u129	... you have made this tax reform that was essential to restore the competitiveness of businesses;...
ParlaMint-FR_2021-10-11-O1008.u130	What about pension reform?
ParlaMint-FR_2021-10-11-O1008.u131	[[Applause on the benches of the LaREM group]] [[Applause on the benches of the LaREM group and on some benches of the Dem group]] ... you have also had the courage, you, to remove the tax on wealth (ISF); you have had the courage to reduce corporate tax to 25% for all businesses; You have had the courage to do what Mr Carrez has been demanding for ten years and has never done: the single flat-rate levy at the rate of 30% on personal income. [[Applause on several benches of the LaREM group]] You have also embarked on a reform of unemployment insurance. It is true that we did not launch the pension system, but I think it would have been inconsistent and dangerous to take this path when France was experiencing the most serious economic crisis that it has experienced since 1929. We say it in the open and we assume it. [[Applause on the benches of the LaREM and Dem groups]] We would not have had the level of growth that I can announce today, 6.25%, if, precisely, this majority had not been the most reformist in power in 20 years. You're telling me about Germany, Mr Carrez, a country I'm pretending to know a little bit, just like his future chancellor, Mr Olaf Scholz. I assure you that we will work well with our German partners, as we have worked well with them for four years, and as the President of the Republic has worked well with Chancellor Angela Merkel; But I want to say to the French who listen to us that if we are committed to restoring our public finances, it is not to please Berlin. We will restore our public finances because it is good for France; we will restore our public finances because we need to regain financial reserves to deal with a possible new health or economic crisis, such as the one we have experienced; We will restore our public finances because we owe it to all our euro area partners, without exception, because it was the euro that protected us during this crisis and it was the European Central Bank that allowed us to debt at the lowest rates. [[Applause on the benches of the LaREM and Dem groups]] So, Mr. Carrez, I prefer a courteous and serene debate to your protests of insinuity and disloyalty that are only fuelling our discussions and that prevent us from clarifying the 2022 finance bill.
ParlaMint-FR_2021-10-11-O1008.u132	You weren't a member of the majority, were you, from 2007 to 2012?
ParlaMint-FR_2021-10-11-O1008.u133	On the motion for a preliminary rejection, I have a request for a public vote before the Republicans. The vote is announced in the National Assembly. The rapporteur-general has the floor.
ParlaMint-FR_2021-10-11-O1008.u134	Exceptionally, and since Mr Carrez has personally asked me in his speech, I will take the floor before the explanations of vote. I agree in all respects with the minister, and I will say things quite calmly because it is also the role of the rapporteur-general – I am not going to tell you, Mr Carrez – to ensure that the debates are calm and courteous, particularly during the consideration of the finance bills. When I took on the noble role of rapporteur-general of the budget, the first thing I did was look at the archives of my predecessors to understand how they had exercised their role. And I must tell you in all sincerity, Mr. Carrez, I think you were one of the best I've ever known. The Gilles Carrez I heard in the gallery is not the Gilles Carrez I was with.
ParlaMint-FR_2021-10-11-O1008.u135	We have to accept the controversy!
ParlaMint-FR_2021-10-11-O1008.u136	You have stood up against promises of a stage and against insinuity. But I remember having been confronted with this very thing that you are denouncing without it making you warm or cold as rapporteur-general. Is it worth recalling, for example, that the reform of the trade tax, excuse me for a little, was done by way of a government amendment while you were in charge of these functions? It's not a little reform, it seems to me. I will tell you what I think of this way of proceeding by way of a government amendment, because it is the substance that matters. As I have already said, and I say again, I would always prefer the Government to propose a well-linked, well-structured, well-targeted, useful amendment for the country, rather than obsessing with the desire to include all the provisions in its original bill, at the risk that they will not be sufficiently prepared. You and I, like all of our colleagues, are concerned about protecting Parliament. That is how we feel that all the provisions are available before the discussion of the text so that we can look at them in good conditions: I agree with you on this. On the other hand, I confirm that I have already asked the Government – I will do it again before you – to produce an impact assessment...
ParlaMint-FR_2021-10-11-O1008.u137	All right, that's what we're asking!
ParlaMint-FR_2021-10-11-O1008.u138	... so that we have the most precise details so that we can vote with full knowledge of the facts. [[Exclaims on the benches of the LR group]] In substance, I agree with you. But please refrain from any political comments, such as those you have made in denouncing the fact that we can introduce new elements by way of an amendment! Yes, I prefer new elements that are well prepared and effective rather than vague budgetary appropriations – to which you would have rightly opposed, because of their inaccuracy, if they had been found in the original text. [[Exclaims on the benches of the LR group]] Finally, and without wishing to paraphrase what the Minister of Finance said earlier, for pity, no lessons on the rise of public debt! From 2007 to 2009, you made more than 120 billion euros of additional expenditure!
ParlaMint-FR_2021-10-11-O1008.u139	At the time, it was the same in Germany, while there the public finances of the two states diverge! That's the difference!
ParlaMint-FR_2021-10-11-O1008.u140	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] If you want us to do a contest to find out who has increased the debt the most, I tell you right away, you lose: you're the one who posted the biggest increase. And with the help of the one who made the right debt, useful to the rebound of employment and to our country, we are the ones who win. For my part, I think that, rather than holding political speeches and engaging in these small binary games, we would be better off using your experience and that of your colleagues to improve this text together.
ParlaMint-FR_2021-10-11-O1008.u141	In the explanations of vote on the motion for rejection, Mr Alain Bruneel has the floor.
ParlaMint-FR_2021-10-11-O1008.u142	[["Ah! » on a few benches of the LaREM group]] We are going to vote on this motion of rejection tabled by our colleagues in the Republican Group, although we did not fully share its terms. I thought, listening to Mr.Carrez and Minister Le Maire, that the time of great love between the majority and the Republicans, when they both defended the same objectives, did seem to have passed. If, for our part, we will vote on the motion to reject the bill tabled by the Republicans, it is because this finance bill is still incomplete at the time of its consideration in public session. Indeed, we are suspended from the decisions of the President of the Republic on commitment income for young people and on a potential investment plan of 30 billion euros. It is indeed an unprecedented organization, as has been said, but once again despises national representation. [[Caroline Fiat applauds]] In substance, this finance bill is in keeping with the precedents, i.e. the logic of an economic policy for the rich, which ignores social and environmental issues. Again this year, the first part of the PLF will not include any solidarity tax measures after the health crisis. On the other hand, it will find the continuation of the reductions in compulsory levies previously voted for the richest and for large companies. There will be no extension of the RSA to the younger ones, but only a small extension for the youth guarantee, which is very insufficient in the face of current challenges. There will be no funding for the ecological transition – several tens of billions of euros – including energy renewal and transport. In the face of an incomplete text in its form that does not respond to the substantive issues, we can only vote on this motion to reject it beforehand.
ParlaMint-FR_2021-10-11-O1008.u143	Bravo!
ParlaMint-FR_2021-10-11-O1008.u144	Mrs Cendra Motin has the floor.
ParlaMint-FR_2021-10-11-O1008.u145	[[Protests on the benches of the LR group]] It floats a scent of presidential election that seems to have made you abandon the sincerity we've known you for four years, Mr. Carrez.
ParlaMint-FR_2021-10-11-O1008.u146	Accept the contradiction!
ParlaMint-FR_2021-10-11-O1008.u147	There will be no young RSA, and you know that: we want a contract of engagement with young people. Since the beginning of the legislature, we have always valued the work, and we should find ourselves on this point. As far as investment plans are concerned, you who say you're a girdin, would you suddenly want everything to fall from the sky? The Defense Advanced Research Projects Agency (DARPA), which we admire so much, where do you think its investment projects come from, if not from the ground?
ParlaMint-FR_2021-10-11-O1008.u148	We just want information, that's all!
ParlaMint-FR_2021-10-11-O1008.u149	That is how we build an intelligent investment plan, starting from the ground, not waiting for everything to fall from the sky, and the Government's amendment on this point takes it into account. As far as the skills plan in companies is concerned, it is they who ask us! Go see them, they will tell you that this plan has been thought with them and for them. The programming law you call your vows, do you really think it's a good idea six months from the end of the legislature, when such a law would hire us for several years? Since the beginning of the health crisis, we have had the honesty to say that the current law of programming was no longer valid, not because we were not holding on to our commitments, but because of this crisis of an unprecedented scale, which caused an increase in debt and an unprecedented drop in GDP – even in 2008, it had not fallen as much, as the minister said very well. When you tell us you have to save money, I'd like you to clarify how...
ParlaMint-FR_2021-10-11-O1008.u150	Pensions!
ParlaMint-FR_2021-10-11-O1008.u151	[[Applause on the benches of the LaREM group]] ...because, until now, insinuity is on your side, especially with the amendments you have proposed to us in committee, aimed at the application of reduced VAT rates and the abolition of taxes – more and more expenditure, in fact. So, what savings would you like to make?
ParlaMint-FR_2021-10-11-O1008.u152	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2021-10-11-O1008.u153	I would just like to respond to a few questions that were heard in the defence of Gilles Carrez' motion of rejection. Mr rapporteur-general, when you say that you prefer the Government's amendments, let us say that we too would prefer these amendments to be accompanied by impact studies, but that is not the case! Thus, an amendment by the Government aims to introduce, following the abolition of the housing tax, compensation for disadvantaged municipalities: if you had made an impact assessment, you would have seen the problem before! When you say, minister, that Gilles Carrez has been unfair, I remind you that he has mentioned an incomplete and insinuating budget, two perfectly justified qualifiers – the second because of your amendments, as the opinion of the High Council for Public Finance clearly shows. The truths are painful, the reactions of the majority have confirmed it to us. We are not in communication, but in the truth, in the figures, concrete elements that cannot be interpreted in the sense that we want. When Mrs Motin tells us that the programming law would have engaged Parliament beyond the current legislature, I remind her that in January 2018, we passed a finance law program, and that the government did not take away from it!
ParlaMint-FR_2021-10-11-O1008.u154	Very little! As little as possible!
ParlaMint-FR_2021-10-11-O1008.u155	[[Ms. Véronique Louwagie applauds]] A trajectory had been defined and was not respected. In solidarity with our colleague and friend Gilles Carrez, we will vote for the motion to reject him in advance, because she denounces all the amalgams made in the context of this electoral pre-campaign.
ParlaMint-FR_2021-10-11-O1008.u156	Mr. Mohamed Laqhila has the floor.
ParlaMint-FR_2021-10-11-O1008.u157	Ladies and gentlemen of the rejection, why this motion to reject beforehand? Why reject our massive support for households and purchasing power, why reject our will to bounce back our businesses and save jobs? And frankly, what are you proposing instead? Our commitment, long before the crisis, was to increase the purchasing power of the French and to allow the development of our businesses by lowering the taxes of households and businesses by 50 billion. Since the crisis, we have kept this course of action, which has saved household jobs and maintained the activity of our businesses, no matter what the cost. It is therefore a budget that is consistent with our commitments, and you, ladies and gentlemen of the rejection, it is because we have taken the right decisions from the outset that the confidence of the players in our economy is now preserved and even strengthened. I say it as I think it is the investment that will allow the recovery.
ParlaMint-FR_2021-10-11-O1008.u158	What about your mask?
ParlaMint-FR_2021-10-11-O1008.u159	We do not lose sight of the golden rule, but, given interest rates close to zero or even negative, it would be irresponsible not to resort to long-term financing. In just one year, we were able to fill the loss of activity in 2020, despite the unprecedented violence of the crisis; unemployment, which appeared to be endemic in 2010, has been at its peak for a month at the end of 2019. I know that your only comparison is that of the 2008 crisis, during which many of you decided to increase the compulsory household levies very strongly, killing in the egg any potential recovery.
ParlaMint-FR_2021-10-11-O1008.u160	Right!
ParlaMint-FR_2021-10-11-O1008.u161	So, please, spare us your lessons on the maintenance of public accounts!
ParlaMint-FR_2021-10-11-O1008.u162	Yeah, let's go, let's do anything!
ParlaMint-FR_2021-10-11-O1008.u163	[[Applause on several benches of the Dem group and on a few benches of the LaREM group]] Our group will vote against this motion to reject, because we believe in the sincerity of the budget before us. In conclusion, let me remind you that our government is presenting a green budget for the second year in a row.
ParlaMint-FR_2021-10-11-O1008.u164	Before I give the floor to Mrs Claudia Rouaux, I would like to remind you that if wearing the mask is not mandatory in the gallery of this House, it is mandatory in the spans. You have the floor, dear colleague.
ParlaMint-FR_2021-10-11-O1008.u165	As our colleague Gilles Carrez – an experienced parliamentarian if any – has said, this PLF is similar to a presidential campaign budget, a budget with holes where 35 billion euros are missing, corresponding to the various promises made in response to the movements of the President and his government, including the plan for Marseille, the commitment income for young people, insurance for climate hazards, the France 2030 investment plan, etc. This budget raises questions from the High Council for Public Finance, which, for the first time in its young history, refused to assess the credibility of the expenditure component – that is to say. After this health and economic crisis, the social crisis is underlying it. This year, 1 million Frenchmen – students, temporary workers and workers – have turned into poverty. You have carried a series of reforms that give the most disadvantaged a sense of abandonment: that of personalized housing assistance (APL), which has enabled the state to save 4 billion euros since 2017, but also the reform of unemployment insurance, whose effects are not yet measured. In addition to this, the rise in energy prices, which you have not sufficiently anticipated and which you do not propose to compensate for the popular and middle classes – what the Prime Minister proposes is not to increase the prices of gas and electricity from now on, without making any compensation for the increases of the last few months. If we do not agree with everything that Gilles Carrez has said, we agree with him on two points: it is an electoral budget and a budget with holes, derogating for the Members we are. A third important element justifies for us the rejection of your budget: the absence of measures to ensure that those who could contribute – because, in exceptional circumstances, exceptional revenues. [[Applause on the SOC benches. – Alain Bruneel also applauds]] I would like to call on our two ministers to be more honest and humble, because one was part of the government under Nicolas Sarkozy and the other under François Hollande. As for the rapporteur-general, I want to tell him that it is possible to provide for well-prepared and effective arrangements in the text of the PLF, without having to resort to amendments tabled at a later stage. For all these reasons, we will vote on the motion to reject.
ParlaMint-FR_2021-10-11-O1008.u166	What a great complicity!
ParlaMint-FR_2021-10-11-O1008.u167	Mrs Lise Magnier has the floor.
ParlaMint-FR_2021-10-11-O1008.u168	We are surprised to see that this motion of rejection has been tabled by our colleagues in the Republicans for a number of reasons. First of all, because the budget before us meets the objectives that they have always put forward – the rearmament of the regalian, the rise of investment and fiscal stability – to which the three pillars of this PLF meet. Colleagues The Republicans, you are asking for more resources for the police, justice, national education and the armies: this is what this PLF proposes. You are asking that recovery and investment be put at the heart of the State's strategy: this is what this PLF proposes. Finally, households and businesses demand tax stability and visibility: this is what this PLF proposes.
ParlaMint-FR_2021-10-11-O1008.u169	Yes!
ParlaMint-FR_2021-10-11-O1008.u170	You might think the crisis didn't happen. Yes, the law of public finance programming is outdated, but there is a crisis that has had to be amortized and that has come to upset the management of our public finances. On volume expenditures, therefore, acknowledge that they would increase by only 0.8% in 2022, which is the average growth between 2007 and 2012. While we are all fully aware of the need to tighten the budgetary stance once the crisis has passed and the recovery of the economy has been confirmed, we are also convinced that the time has not yet come. Objectively, in our place you wouldn't either. The level of debt is linked to the measures of protection and support that we have implemented for the French and our economy, and we collectively assume it. [[Applause on the banks of the Action ens group and on several benches of the LaREM group]] Finally, with regard to the incompleteness of the bill, it is in no way an insinuating text, which it would be legitimate to reject beforehand on that basis. Yes, the crisis and its exit impose decisions and choices, and they will be voted in this finance bill for 2022. We refuse to deprive ourselves of a substantive debate on a matter as important as the state budget and will therefore vote against this motion to reject it beforehand.
ParlaMint-FR_2021-10-11-O1008.u171	Mr Michel Zumkeller has the floor.
ParlaMint-FR_2021-10-11-O1008.u172	The UDI-I Group will vote on this motion of rejection. Gilles Carrez asked a lot of questions that I'm not all going to take over, but there are two topics that we think are very important. The first is contempt for Parliament. The investment plan may be a very good thing, I would like to believe it, but for the time being, we do not know; Therefore, I do not believe that the process used is acceptable. On this subject, it would be in the interest of everyone, including the majority, to involve all groups in the discussion. As of tomorrow, the President of the Republic will announce this investment plan – which he has clearly decided and prepared himself – from which Parliament will in fact be excluded. It is not acceptable that in the eyes of our fellow citizens, Members of the European Parliament should not be used for anything: such a statement can only fuel populism, which no one has an interest in. The second issue is debt, and it is no longer time to blame each other for digging it: today, the debt is there, and the real question is how to reduce it. For my part, I see nothing to answer this question in the budget before us – at most EUR 1.9 billion when there is 165 billion to repay. At this rate, it will take us a hundred years to repay the covid debt: ladies and gentlemen, do you think that is reasonable? [[Applause on a few benches of the LR group]] Instead of invective, we would do better to work to reduce this debt, which we will all report to the French who are born today, because they will want answers other than the kind of circus to which we give the impression of delivering ourselves. Because this draft budget is not sincere, I repeat, we will vote in favour of the motion to reject it beforehand.
ParlaMint-FR_2021-10-11-O1008.u173	Bravo!
ParlaMint-FR_2021-10-11-O1008.u174	Mr Alexis Corbière has the floor.
ParlaMint-FR_2021-10-11-O1008.u175	In the parliamentary life of the Fifth Republic, it is a drawing of lots that decides on the name of the colleague responsible for presenting the motion of rejection: the responsibility for it therefore lies not with a Member of Parliament, but with the Group of the Republicans. [[Rites and exclamations on the banks of the LaREM Group]] I say it without ambiguity and with great respect: I do not adhere to the arguments developed by Gilles Carrez. However, we will support this motion, because we are also opposed to the bill. The laughers have obviously not followed the course of our budgetary debates for almost four years!
ParlaMint-FR_2021-10-11-O1008.u176	Yes, I do!
