ParlaMint-FR_2021-11-10-O1057.u1	The next item is the debate on the draft amending finance law for 2021 (No. 4629, 4659).
ParlaMint-FR_2021-11-10-O1057.u75	All right!
ParlaMint-FR_2021-11-10-O1057.u76	This renewed growth is the result of the commitment of the President of the Republic, his government and, of course, his majority, but also that of our companies, our employees and our civil servants. If I were to go further, I would also highlight the commitment of each of us as a citizen who is aware of his or her duties and responsibility towards his or her neighbour. Let's trust ourselves! Mr Minister, you know the Dem Group's commitment to a serious budget, and I will certainly welcome the Government's commitment to allocate all the revenue and money generated by the smallest expenditure from better-than-anticipated growth to the reduction of the deficit, hence of the debt. It's a breakthrough! It is a pity that President Woerth was absent: we could have told him again that we too are very attentive to debt. I cannot speak about the deficit without saying a word about France's particular financial situation. In a way, its need for funding is welcome because it demonstrates the dynamism of vocational training and, above all, of apprenticeship. However, it also reveals the need to further structure this agency in order to make its funding more responsive to needs. Let us not forget that this PLFR also proposes to finance new arrangements to better respond to situations arising from the recovery and not from the crisis. The first challenge is to support those who do not yet benefit sufficiently from this re-established growth, in particular those who are furthest from the labour market. On 27 September, the Prime Minister announced a package of accompanying measures for these long-term jobseekers, which this group is financing in part. The other major issue this autumn is the acceleration of inflation, particularly on energy prices due to the high global demand. Several schemes must respond to this new situation: tariff shield on gas prices, exceptional energy check of 100 euros for the most modest households or premium inflation designed to reduce the impact of inflation on the purchasing power of 38 million of our citizens. On behalf of the Group, I welcome the collective work of this year 2021, which we strongly and rigorously support. [[Applause on the benches of the Dem group and on several benches of the LaREM group. – Mrs Lise Magnier also applauds]] Let us trust in ourselves, let us trust in France!
ParlaMint-FR_2021-11-10-O1057.u77	Excellent!
ParlaMint-FR_2021-11-10-O1057.u78	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2021-11-10-O1057.u79	This second draft law of amending finance for 2021 is in a way ending the accounts of a particular year, a year marked by a gradual exit from the health crisis and an economic recovery that needs to be sustained in a context of high inflation and the end of the quinquennium. The review of this text confirms that the Government greatly benefits from the overall economic situation, namely a mechanical rebound of the various indicators after several months of agonism due to the health crisis. If the deficit for 2021 is lower than originally projected, it is for reasons that are less due to the Government's choices than to the improvement of the overall economic situation. It should be recalled here that France lost 8 points of GDP in 2020, compared to only 6.5 points for the euro area as a whole. If our country's rebound is a little more marked than in the euro area, it is also because we fell lower. The PLFR endorses the fact that the Government has consistently, in the many budget texts that have been submitted to national representation, transformed what it considers to be the cyclical deficit into a structural deficit. This shows that, contrary to what is repeated, the effects of the crisis will be lasting. This invites us to adopt a long-term vision far from any electoral sprinkling. Yet, and this is the second conclusion that can be drawn from the review of the PLFR, the Government is navigating on sight. This is evident in the PLF for 2022, which I compared to a golf course, which prevents Parliament from having a sincere overview of the real state of the country's finances. Do I have to recall that we have had to discuss specifically four amendments representing almost 7% of the state budget, one of which was devoted to the France 2030 plan alone weighing 34 billion euros, the most expensive amendment of the Fifth Republic? This PLFR is in the same vein as the PLF. Instead of correcting the budget execution of the past year as usual this fiscal year, it provides for an inflation allowance to compensate for the price increase mainly due to the explosion in energy prices, which is a major concern for the French, especially the most modest ones, who fear that they will be unable to heat up this winter or put fuel in their cars to work. This measure consisting of the creation of an inflation check of 100 euros for French people earning less than 2000 euros net per month is of course always good to take, but it cannot be the alpha and omega of government policy, especially in the face of the distress of the working poor. Its amount – €3.8 billion – and the communication effects that accompany it must not make us forget all the measures that have benefited the most affluent: the €7.2 billion spent by the Government on the abolition of the housing tax for the 20% of the most affluent households, the 5 billion cost to public finances represented by the abolition of the solidarity tax on wealth (ISF) and the introduction of the flat tax or the 10 billion euro reduction in production taxes. While this cheque of 100 euros can meet the needs of some of our fellow citizens, it should be remembered that almost 38 million French people over 16 years of age earn less than 2000 euros net when a small handful earns millions each month. This measure, which only applies in the coming month of December, does not respond to the most precarious situation, which has been penalized every day for many months. Is it worth reminding you that since the beginning of the year, fuel and gas prices have increased by 18% and 57% respectively? The tariff shield put in place by the Government only shifts the expenses of the French, who will have to pay the tribute after the electoral deadlines that come. However, it would have been possible to apply a much fairer solution of considering fuels as a basic commodity and adjusting the amount of VAT accordingly. Instead, the Government will recover part of the amount allocated through taxes. Worse, this public money will pass through households but will end up in the coffers of energy suppliers such as Gazprom or Total, a group that achieved a net profit of 9,7 billion euros over the first three quarters of this year! In other words, even if it contains measures to support households, this PLFR will ultimately bring no serious long-term solution to the most modest French, to the poor workers who remain the great losers of this quinquennium, while the winners remain not the rich but the very, very rich. It is becoming urgent to get out of these class budgets to establish a budget for all, a budget for justice and solidarity based on a medium- and long-term strategy.
ParlaMint-FR_2021-11-10-O1057.u80	Mrs Lise Magnier has the floor.
ParlaMint-FR_2021-11-10-O1057.u81	The examination of the second amending finance bill for 2021 is an opportunity to draw up an initial assessment of this particular year, on the basis of the maintenance of emergency mechanisms, the exit from crisis and the revival. The first observation that can be made is a source of hope: the economic situation is better than anticipated. Growth is expected to reach 6.25% of GDP, perhaps even more, in view of the excellent results in the third quarter. Mechanically, the level of employment and tax revenue for the State is better than expected, allowing the budget to abound with all the additional revenues that are welcome. Clearly, the "no matter what" has helped to preserve our productive fabric and the purchasing power of our fellow citizens. The recovery, launched last year and deployed extremely quickly and effectively, has a significant amplifying effect. [[Mr. Bertrand Bouyx applauds]] However, it is not a question of granting satisfaction at a time when difficulties persist in certain territories and areas of activity and for some of our most precarious compatriots. However, let us take a step backwards: who, a year ago, could have hoped that our economy would be as good and that François' jobs would be so well preserved? The challenges we face are still numerous. I am thinking of tensions in the raw materials markets, difficulties in recruiting in certain sectors or of rising energy prices. However, we are convinced that the path is the right one, that our economic policy is bearing fruit. Specifically, in order to combat the upsurge in energy prices, the Government has announced strong measures, some of which are aimed at implementing them; Far from just a collective budget at the end of the year, it contains provisions whose effects will be real for our citizens. The inflation premium ranks first, which is quite normal given its cost to public finances and the number of French people involved. While we are still awaiting clarification from the Government on its deployment and payment arrangements, it will nevertheless be a major support for the purchasing power of most of our fellow citizens. The extra energy check will benefit the 6 million smaller households, at an estimated cost of over EUR 530 million, which is not negligible as winter approaches. Moreover, beyond the energy problem, the text aims to continue the implementation of the measures announced in favour of farmers, faced with exceptional freezing episodes, but also with the recurrence of avian influenza in France. These are three eloquent examples: I could have cited many more in order to stress once again the importance of this amending finance bill, which, while providing concrete answers to our fellow citizens, demonstrates the ability of the state to adapt and react. These additional expenditures will be offset by cancellations, most often from reserve and unconsumed appropriations, as well as growth and higher-than-expected revenues. In the end, the state of public finances is better than we expected: the deficit forecast for 2021 is now estimated at 8.2% of GDP, compared to 8.4% only a few weeks ago. Nevertheless, it remains a matter of concern, so that once the crisis and international price tensions have passed, we will have to return to the path of expenditure control. Our position on this issue will not vary, nor will it vary: we need to find a balance between support for recovery and the restoration of public accounts. We reiterate that an austerity cure similar to that following the 2008 crisis would be counterproductive for both the economy and public finances; However, the crisis ended, once again, we will need the courage to make bold choices, in order to keep our commitment to a 3% deficit return in 2027. [[Applause on several benches of the LaREM group]] We are convinced that the draft law on amending finance is well calibrated, so as to allow the implementation of the announcements concerning the protection of the purchasing power of the French, while at the same time attesting to the vigour of the economic recovery. The Group of the European People's Party will therefore vote in favour of it.
ParlaMint-FR_2021-11-10-O1057.u82	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2021-11-10-O1057.u83	This second amending finance bill reflects the Government's renunciation of the record level of our debt. Not only do public spending experience an upswing a few weeks from the presidential election, but in a totally irresponsible way, one lets continue to grow, like the least of the priorities, a debt yet dizzying! This sad observation, it is not only we, the Republicans, who are doing it: the High Council for Public Finance (HCFP) publicly deplores that the additional tax revenue associated with the dynamism of the recovery has not been devoted to debt relief, as it advocated. The fine promises they had made to us, the minister and the minister delegated did nothing; On the contrary, these additional revenues are absorbed, and beyond that, by the new expenses which, I repeat, have flourished for a few weeks to remind us that the President of the Republic is already on the run.
ParlaMint-FR_2021-11-10-O1057.u84	You too!
ParlaMint-FR_2021-11-10-O1057.u85	These election expenses therefore generate debt. In short, by 2021, growth would have been entirely financed by deficit and debt.
ParlaMint-FR_2021-11-10-O1057.u86	That's right!
ParlaMint-FR_2021-11-10-O1057.u87	Faced with more than EUR 15 billion of additional expenditure since September, the HCFP felt obliged to make a new referral concerning the draft finance law for 2022, in which, moreover, the Government was last Monday until it had to register 34 billion commitment authorizations, by way of amendment, at the turn of a budget mission! This expenditure fever goes hand in hand with a total disregard for parliamentary work and national representation, which is why I ask the rapporteur-general very clearly to denounce this unjustifiable procedure. From renunciation to renunciation, our debt is on the verge of crossing the symbolic bar of 3000 billion, almost 45000 euros per French. It is simple: twenty-four of the twenty-seven members of the European Union are less indebted than we are! This year, interest alone will cost us more than 38 billion – almost 1400 million more than you originally planned. Consider, ladies and gentlemen, that this amount represents reductions in taxes and taxes that we could have offered to our compatriots! Still, it would have taken you, between 2017 and 2020, the courage to take advantage of growth to get us out of debt, as twenty-four countries of the Union did again. Debt relief is, however, an essential lever to reduce taxation and thus restore purchasing power to the French. Yes, purchasing power is the primary concern of our compatriots, who have been hit hard by rising fuel prices, rising gas and electricity prices. To this concern, it was necessary to respond by a structural reduction in taxes on fuel and energy, not by a cheque of 100 euros, timelyly distributed to a few weeks of the elections, for any account balance! A cheque not targeted, not adapted to the needs, that you pay to half the French without knowing whether they use their car or even if they have the permit; 100 euros of alms to the rural family who saw its fuel and heating bills increase in 2021 by 600 or 800 euros, to the single mother who has no choice but to take her car morning, noon and evening! [[Smile on several benches of the LaREM group]] To this policy of the checkbook, which recalls your socialist DNA, the Republican Group prefers, I repeat, a policy of reducing taxation, much fairer and much simpler – because it is still surreal that the state distributes money to citizens in order to allow them to pay taxes on the fuel whose product belongs to the state,...
ParlaMint-FR_2021-11-10-O1057.u88	That's right!
ParlaMint-FR_2021-11-10-O1057.u89	... especially when these taxes represent 60% of the price at the pump and 30% of the amount of the energy bill. We will therefore propose an amendment to abolish all taxes on energy products, in particular the internal consumption tax (ICTPE).
ParlaMint-FR_2021-11-10-O1057.u90	Did you encrypt it?
ParlaMint-FR_2021-11-10-O1057.u91	Yes, we have quantified it: the measure would save 12 cents per litre of fuel, offsetting the $3.8 billion that French people spend each year on the increase in taxes that occurred on January 1, 2018 and you never returned to. For a family, it would be 280 euros earned each year on the fuel bill and 60 euros on the gas or electricity bill. [[Applause on the benches of the LR group]] We hope that you will agree and that we can convince you to adopt this amendment. In the meantime, the Republicans will not endorse your policy on the cheque book: you will understand that, ladies and gentlemen, we will not vote in favour of this text.
ParlaMint-FR_2021-11-10-O1057.u92	All right!
ParlaMint-FR_2021-11-10-O1057.u93	Mr Charles de Courson has the floor.
ParlaMint-FR_2021-11-10-O1057.u94	The Government presents the draft as an ordinary text that would reconnect with the virtuous tradition of year-end budget collectives. That's not the case. Indeed, its scope is not limited to end-of-management adjustments; On the contrary, as well as the draft budget for 2022, it essentially serves as a vehicle for presidential election measures, while revealing the continuing deterioration of public finances.
ParlaMint-FR_2021-11-10-O1057.u95	That's right!
ParlaMint-FR_2021-11-10-O1057.u96	First, if you are right in referring to the growth rate, which you estimate to be 6.25%, you should not say that it is not the result of an acceleration but of a catch-up. France is one of the three European countries that experienced the biggest recession in 2020, at which time growth fell by 8%. So we will have to wait until the end of 2022 – and again! – so that we can hope to see national wealth regain the level it should have achieved if it had continued its trajectory of 1.2% or 1.3% of annual growth. Secondly, the structural deficit is rising sharply. According to the opening article of the text, it will reach at the end of the year 5.7 points of GDP, two and a half times more than in the years 2017-2019, where it revolved around 2.3 points. As the Chairman of the Committee on Finance pointed out, the crisis cannot be held responsible: this 3.4% increase in GDP, i.e. 83 billion, is solely the result of your failing budgetary governance. Thirdly, the additional 20 billion tax revenues have not been allocated to reducing this deficit. Taking into account the loss of non-tax revenues, you could at least have mobilized some 15 billion; You didn't do anything about it. The HCFP even notes that, contrary to what it advocated in its opinion of 17 September, this additional resources is not devoted to deleveraging, but rather to new expenditure. This decision surprises the Libertés et territoires group all the more because, in the draft budget for 2022, the Government chose to contain what it called the debt covid to the tune of 165 billion and to commit itself to repay it "by the fruits of growth, which will result in the additional revenues". It would seem, therefore, that you have already resolved not to apply your own doctrine. Fourthly, you artificially reduce the burden of public debt. At the end of 2020, it amounted to 115 % of GDP; you have just announced that it would reach 115.1% by the end of 2021, while the actual deficit is 8.1% of GDP. How can we explain this miracle, ladies and gentlemen? In a very simple way: in 2020, the government overfunded the deficit by 2.8 points of GDP – it was not I who said it, but Mr.Dussopt who told us in committee. After all, 70 billion euros are so little! Thanks to these cash operations, as he pudically calls them, the Government has a mattress that allows it to hide the sharp increase in debt in 2021, as it did in 2022. Apart from over-financing, our debt reached 112.2% of GDP at the end of 2020; At the end of 2021, 113.4 per cent. In addition, in the Maastrichtian accounts, the amount of public debt is reduced as a result of the system of issuing premiums.
ParlaMint-FR_2021-11-10-O1057.u97	Exactly!
ParlaMint-FR_2021-11-10-O1057.u98	They still represent 13.8 billion in flows and will continue to accumulate to reach 103 billion in mid-year, or more than 4 points of GDP. We should put an end to this accounting illusion, so that Parliament knows the real level of public debt. Fifthly, in clause 12 of the bill, inflation compensation, which concentrates 3.6 billion payment credits, would be more deserving of the name of an election bonus. As with the tariff shield, our group deplores the government's choice to release the cheque book – an option that reveals an urgent decision – rather than to initiate tax reform. If we support the idea of accompanying citizens in the face of rising fuel prices, the mechanism you are proposing is unfair and poorly calibrated. Unfair, first of all, because you require employers and communities to bear the cost of an immediate payment, starting in December, without a quick refund, while the end of the year is difficult for some. I note, moreover, that the state refuses to set an example: it has postponed payments to 2022 to its own agents. Second, persons with more than one employer, pensioners engaged in a supplementary activity, will receive this allowance several times.
ParlaMint-FR_2021-11-10-O1057.u99	No, no, no, no, no,
ParlaMint-FR_2021-11-10-O1057.u100	Finally, it is fundamentally unfair not to take into account the income of the household: an employee earning less than 2000 euros a month, married to a senior executive who earns 5000, will receive the bonus, unlike a single woman who raises three children with 2100 euros a month. Moreover, the device is poorly calibrated: the text, very elliptical, refers to a decree the fixing of a number of principles,...
ParlaMint-FR_2021-11-10-O1057.u101	We must conclude, dear colleague.
ParlaMint-FR_2021-11-10-O1057.u102	[[Applause on the benches of the LR group]] ... and the allowance is diverted from its original objective. For all these reasons, the Liberties and Territories Group will not vote for this bill.
ParlaMint-FR_2021-11-10-O1057.u103	Thank you, Mr. de Courson. We will take away a minute of speaking time... Mr Jean-Paul Dufrègne has the floor.
ParlaMint-FR_2021-11-10-O1057.u104	Since the beginning of the crisis of the covid-19, amending finance bills have been chained up. This second PLFR for 2021 can be described as an end-of-management PLFR. Our group, in any case, will oppose it. This is no surprise to anyone, since we defended a motion to reject a few moments ago. I will not go into technical detail – it has already been done – but I still want to touch on a few points. In total, the PLFR provides €6 billion in net credit opening – in fact, €14 billion in opening with €8 billion in cancellation. These significant movements demonstrate an approximate allocation of the funds related to the crisis. They also show, to an extent that is not negligible, the reflection of the obvious tendency of the State to spend and redeploy unconsumed credits. The real novelty of the PLFR is its Article 12, where we find the famous inflation check giving rise to a €3.8 billion appropriation on the Solidarity, Inclusion and Equal Opportunities mission. This €100 cheque, originally planned to cope with rising fuel prices, is now presented as a response to inflation in general. A very broad term for a cheque whose terms of attribution remain unclear – as we are referred to a decree – and poorly adapted to many situations, according to what we understand. [[Smiles and exclamations on several benches of the LaREM group]] For our part, we have defended some proposals for more tax justice, which we do not find in this PLFR. This is where our differences are fundamental and probably irreconcilable. I don't know if this is due to your right-wing DNA but your conception of wealth distribution is not ours and your claim of purchasing power gain does not apply to all! There is com' and there is the reality that a majority of French people live in; They will recognize each other without difficulty. We wanted to increase and strengthen the exceptional contribution of high incomes in this unprecedented period, to strengthen solidarity: circulate, there is nothing to see! Last year, I tabled a bill in favour of the contribution of high incomes and high wealth to the national solidarity effort. She was swept away with a back of her hand, although she was asking more topical questions than ever. More than ever, our compatriots need a stretched hand and a strong message. It is not a check of 100 euros for some who will change the deal, nor the incessant gifts made to the most affluent. A fair balance is to be found, but you do not want to consider it; It's irresponsible. You could have increased the single lump sum (SRP) rate to 35%, for example.
ParlaMint-FR_2021-11-10-O1057.u105	Yes!
ParlaMint-FR_2021-11-10-O1057.u106	A small step, certainly insufficient, but a small step! Well, no! Among our proposals, we also want to go back to the reduction in production taxes. These absurd declines reduce the fiscal powers of communities and cut back their resources. The removal of the housing tax (TH) has a worrying collateral effect. A study by the Institute of Public Policy points out that in the context of the mechanism of the correction coefficient – the famous coconut – "these results involve long-term and dynamic transfers, from less populated and lower-income municipalities on average, to more urban municipalities on average where the purchasing power of residents is more important". It's not acceptable and we're going to have to correct the shot! [[Applause on the benches of the GDR and SOC groups]] In the end, this end-of-management budget collective is traditional because it takes over everything that has made the DNA of the majority: its refusal to see reality in the face, its refusal to take the problems through the right end, its refusal to accept social and fiscal justice and its refusal to involve the different oppositions. In the face of this choice of a policy that is not evolving, of which you refuse to change the record and to which you refuse to integrate social and environmental issues, we have no choice but to renew our opposition to this PLFR. Things have not changed since 2018: if the French are no longer on the roundabouts, their anger and their sense of abandonment remain the same. Unfortunately, it is too late for you to change your certainties – certainties still ginned last night by the head of state who looked rather like a campaign leader, not to say to a camp leader.
ParlaMint-FR_2021-11-10-O1057.u107	That's it!
ParlaMint-FR_2021-11-10-O1057.u108	Mr Eric Coquerel has the floor.
ParlaMint-FR_2021-11-10-O1057.u109	Last night, I heard thirty minutes of bonus from candidate Macron. The candidate Macron doesn't like the poor, so he decreed that there was no more. It doesn't matter that since 2017, there have been 1 million more students and homeless – without a fixed home – added to INSEE statistics. And it doesn't matter that these poor people are always poorer. I invite candidate Macron to join a food aid queue to dare explain the opposite to those who are hungry and volunteers, who can no longer replace the state. The candidate Macron does not like the unemployed any more, so he hardens the conditions of access to unemployment and threatens half of them, who are paid, to lose their compensation if they do not accept the imaginary job supposed to reach out to them on the other side of the street. It doesn't matter whether there have been 284,000 job cuts in one year in our country, or that many of the jobs that make it possible to arrange unemployment statistics only have the lifetime of one ephemeral or only a few hours a week. On the other hand, candidate Macron likes his rich buddies a lot, so he never stopped giving them perennial gifts throughout his quinquennium. It doesn't matter that the wealth of the country's 500 largest fortunes has already increased by almost 100% since 2017 and by 30% in just one year. On the other hand, if candidate Macron doesn't like the handlers, he fears them. So since, on the eve of the presidential elections, he can no longer hide the problem of purchasing power that his propaganda had tried to deny, and since he wants to prevent other yellow vests from disrupting his end of reign, he decided to remove two measures from his hat: those found in this PLFR. Unlike the gifts he gave to the rich, these measures are punctual – above all, they are weak, inadequate and even a bit of a nigaud catch. It's normal, you'll tell me, since it's a bit like that that he sees the handlers. One of these two measures is the €100 rab on the energy check. This measure is a bit ridiculous when we know that it does not compensate at all for the rise in energy prices, that the price freeze comes only after more than 57% of gas prices rise in less than a year and that 12 million people in France are cold at home or struggling to pay their energy bills. The measure is all the more ridiculous since these EUR 100 will be partly financed by VAT revenue due to the increase in these prices. Worse, revenues lost as a result of the tariff shield will be offset in 2023 by higher-than-expected regulated tariffs. In short, they are not only short-term and insufficient solutions, but also they are paid by consumers themselves – delayed, obviously, after the elections. The other hidden measure of this PLFR is the inflation compensation, which is also ridiculously low: it amounts to less than 10 euros per month for a year. It is also financed by the revenues of the nation, and above all by the revenues of oil tankers, as well as by the VAT recovered on the rise in fuel prices. As the price of fuel has not been blocked, this increase should quickly devour the poor 100 euros of all those who will have the misfortune of having to continue filling their tank. Anyway, yesterday, once I had finished with this thirty minutes of campaigning by candidate Macron, weary of his propaganda and his wooden cheques, I had a dream.
ParlaMint-FR_2021-11-10-O1057.u110	Ah, ah!
ParlaMint-FR_2021-11-10-O1057.u111	I was surprised to dream of another PLFR, the one that President Mélenchon will ask his government to propose to Parliament in July 2022: a PLFR where we will not simply launch major communication plans without any positive effect on people's lives; where, rather than endorsing the rise in energy prices, they will be blocked at the rate prior to the recent increases and where the first kilowatt hours and cubic metres of electricity and gas will be made free of charge; where the 1 million poor in our country will benefit from a real guarantee of autonomy to stay above the poverty line; where young people will finally be able to reach the RSA before 25 years of age and benefit from the creation of 300,000 young people's jobs. In this budget, the SMIC will finally be increased seriously, to 1,400 euros net. Rather than stigmatizing the unemployed, threatening them and removing them from the lists to invisivize them, a job guarantee will be created that any long-term unemployed person will be able to claim, while the others will be compensated from the first day of unemployment. The whole will be largely financed by the return of a strengthened FSI, the removal of tax niches, the creation of a universal business tax or the recasting of income tax into fourteen tranches. We have diagnosed over 110 billion revenue in our counter-budget, which I invite you to read. I tell the people concerned in theory by the measures of this PLFR, and above all by the measures that we announce through the programme of candidate Mélenchon, that they have the means to make this dream come true!
ParlaMint-FR_2021-11-10-O1057.u112	Mrs Cendra Motin has the floor.
ParlaMint-FR_2021-11-10-O1057.u113	On the occasion of the examination of this amending budget, allow me to draw up an initial economic and budgetary assessment. Despite the epidemic, which is still present, the economic context is very favourable and we have good reasons to be proud of France: it has regained its pre-crisis level of activity three months ahead, it has remained the most attractive country for foreign investment for the second consecutive year and it has achieved its best quarterly growth since 1968, with 3% in the third quarter of 2021. These good economic results do not come from anywhere, they are the result of our choices since the beginning of the quinquennium and, even more so, during the health crisis. They are also a reflection of the serious budget that we have been showing since 2017, and of which this second amending budget is an illustration. With a public deficit of 8.1 % compared to 9 % last spring, and a target of 5 % for 2022 deemed plausible by all, we will have cleared in two years more than two thirds of the deficit generated by the crisis when, within the same time frame, those who are now giving us lessons had made only half the way.
ParlaMint-FR_2021-11-10-O1057.u114	Coué method!
ParlaMint-FR_2021-11-10-O1057.u115	We are honouring our commitments, because recovery is a success. It was launched in 2020 with the France Recovery Plan, which provides for 100 billion euros of investment and which is successfully deployed: nearly 55 billion euros have already been committed and 70 billion euros will have been committed by the end of the year. In this amending budget, we redeploy what works best: the plan "1 young, 1 solution", support for the ecological transition, in particular to the MaPrimeRenov' system, or the extension of the system Territories of Industries. We do so because we have concrete results: the unemployment rate, at 7.6%, has been at the lowest since 2008. The high level of protection during the crisis and the strength of economic recovery allow us, with this amending budget, to act on the exit of emergency measures and look to tomorrow. However, if the order books of our companies are full and we must rejoice at the strength of the economic recovery, we cannot ignore its collateral effects: a sharp rise in energy demand, a strong pressure on raw materials, an explosion in the cost of transport and, therefore, a surge in prices. The challenge of exiting the crisis is therefore also that of inflation. Our responsibility is clear: to continue to protect the French, as we have done since the beginning of this mandate. To deal with the explosion in energy prices at the beginning of the winter, we have already voted for the tariff shield for gas and electricity prices. With this amending budget, we add an exceptional and individual aid of 100 euros to cope with the inflation, which is also exceptional, of the cost of many products of everyday life: petrol but also food and clothing, for example. Thirty-eight million French people who receive less than 2000 euros per month will benefit from this: 38 million employees, self-employed workers, civil servants, students and alternates, job seekers, pensioners, adults benefiting from the social minimums will receive this aid in the coming weeks. In addition, the six million most modest French households will receive an exceptional energy check of 100 euros: it will help them face rising energy prices and heat up. Doing this is not "burning the caisse"; It is to ensure, as a matter of responsibility, that all the French will be able to heat themselves properly this winter. Finally, through this amending finance bill, we continue to support economic activity and employment as engines of growth through which we fund our projects. In agriculture, EUR 500 million is allocated to finance support measures related to freezing episodes and current avian influenza. In the world of culture, we are also providing additional support, amounting to EUR 227 million. In short, this budget reflects our strategy since 2017...
ParlaMint-FR_2021-11-10-O1057.u116	That's what we're worried about!
ParlaMint-FR_2021-11-10-O1057.u117	[[Applause on several benches of the LaREM group]] ... i.e.: investing heavily in the mechanisms that work for the country and for the French; seriously manage every euro of public money, in order to have the necessary room for manoeuvre when the situation so requires; undertake to deploy additional means to protect our citizens in the event of a crisis. For all these reasons, the La République group is in the process of voting for this amending finance bill for 2021.
ParlaMint-FR_2021-11-10-O1057.u118	Mr Michel Zumkeller has the floor.
ParlaMint-FR_2021-11-10-O1057.u119	In the preamble, I would like to denounce the deplorable conditions under which we are considering this text: the documents were obtained 24 minutes after the start of the ministerial hearing, the examination in committee took place on a Saturday, and the amendments were to be tabled on Monday before 13.00. That you despise Members of Parliament, Mr Delegate, we understood that well, but you could at least respect the work of our colleagues – because to table amendments one Monday before 13.00, we have to work on Sundays.
ParlaMint-FR_2021-11-10-O1057.u120	Oh!
ParlaMint-FR_2021-11-10-O1057.u121	In addition, on the eve of November 11th, many of our colleagues have already had to return to their ridings, which deprives them of this debate.
ParlaMint-FR_2021-11-10-O1057.u122	That's right!
ParlaMint-FR_2021-11-10-O1057.u123	You want to discourage us from sitting, you wouldn't do it otherwise! As a result of the economic situation and the ad hoc expenditure announced by the Head of State in the middle of the review of the 2022 finance bill, we are asked to examine an end-of-management collective that includes inflation compensation and support schemes for the training of employees and jobseekers. Things have changed since the first PLFR in 2021, which we supported. The text that you presented to us in June 2021 had to be part of a dynamic of revival, while gradually leaving the health, economic and social emergency regime. It also provided for an additional EUR 15.5 billion to abound the exceptional support arrangements until the end of August. The review of this second PLFR for 2021 is taking place in a context of supporting household purchasing power and extinguishing emergency measures, and even more of exploding public expenditure and sustained debt – debt reaches 115.3% of GDP. Public expenditure would amount to EUR 1444 billion, or 55.7% of GDP in 2022, up 1.9% from the pre-covid level. We have noted that some of the new spending was not intended to be sustainable, including measures to support purchasing power, but it is our duty to warn you about the long-term consequences of this crazy debt race. As the HCFP points out, the increase in tax revenues linked to the dynamism of the recovery is not devoted to debt relief. The additional tax revenues – €3 to €5 billion – are unfortunately offset by an increase in new spending, which we regret. We therefore continue to sound the alarm about the debt: it will exceed 3000 billion euros next year, almost 45000 euros per French. We are not fooled: the apparent decline in the amount of debt is not the result of a reduction in the deficit, but simply of the state's cash operations. We are convinced that debt remains a major issue in the coming years – not to say, in the coming months. We live with a sword of Damocles above our heads. This is a problem that will have to be tackled in a much more concrete way.
ParlaMint-FR_2021-11-10-O1057.u124	Exactly!
ParlaMint-FR_2021-11-10-O1057.u125	What debt reduction strategy does the Government propose? We're still waiting for him. Can the promise not to increase taxes be kept? When will a real strategic plan for reducing public spending be finally presented, including hunting for waste and bureaucracy? Rather than finance new expenditure by raising taxes, it would be high time for the state to assume its share of responsibility by committing itself to compensate for any new expenditure by abolishing an unnecessary expenditure: this is the position of exemplaryness that I defend with the IDU and independent group; This is a strong commitment that we must make to our fellow citizens. After calling your budget incomplete last September, the HCFP alerted us a second time about the uncertainty surrounding government spending. Although we understand the increase in the employment authorisation ceilings – particularly for the Ministry of Agriculture and Food, given the compensation for the damage caused by the freeze and the checks made necessary by the Brexit – we regret that the operators' employment ceiling was revised upwards in 2021, to 226 full-time equivalents worked (FTEs), the majority of which – 184 FTEs – benefit the regional health agencies (ARS). Yet there would be much to say about the role that the latter played during the crisis!
ParlaMint-FR_2021-11-10-O1057.u126	That's right!
ParlaMint-FR_2021-11-10-O1057.u127	The UDI-I Group supports the measures taken to combat the covid epidemic -19, when they are relevant and justified - and I will have the honour to present next week, in the Committee on Social Affairs, a bill to deal with patients with long covid. The fight against the epidemic requires financial support, subject to a good territorial shift that makes it fully effective. In this regard, it is not justified to devote additional resources to RSAs; It would even persist in error. Therefore, this PLFR will not reverse your trend towards public spending and over-administration. On the other hand, in the face of a structural energy issue, rather than your short-term answers in the pre-election period – gift vouchers costing the state $3.8 billion – our group will present an amendment aimed at permanently abolishing the VAT applied to energy taxation, which is nothing more than a tax on a tax. At a time when the French and French are denouncing the injustice of taxation to which they no longer adhere, it is our duty to provide them with real solutions, by reintroducing meaning into the tax system. [[Mr Jean-MarieSermierapplaudit]] The real challenge of this PLFR should be to find a balance of accounts in an unprecedented context of exit from crisis. We regret that, as it stands, your bill does not allow it. Members of our group have proposed many measures to improve the budgetary situation: for example, the fight against social and tax fraud, or the reduction in the number of national agencies. I call on you to become aware of these issues, to get out of denial and to engage in a constructive discussion on this budget proposal.
ParlaMint-FR_2021-11-10-O1057.u128	Mr. Matthieu Orphelin has the floor.
