ParlaMint-FR_2021-02-05-O1153.u1	The next item is the final reading of the bill extending the state of health emergency (No. 3836).
ParlaMint-FR_2021-02-05-O1153.u54	Yes!
ParlaMint-FR_2021-02-05-O1153.u55	This becomes a dirty habit of this quinquennium, which seems to have a problem with parliamentary control.
ParlaMint-FR_2021-02-05-O1153.u56	That's right!
ParlaMint-FR_2021-02-05-O1153.u57	Despite your difficult discussions with the Senate about this new piece of legislation, you said last week – I just heard it again – that there was only one point of disagreement with it. Which text do you submit to us? Not, as the logic would like, a text that would simply allow the majority of the National Assembly to decide what it wants regarding this point of disagreement, but a text in which you have come back on everything: on the expiry of the extension; on the retention period of the files; on Parliament's right of scrutiny of the state of health emergency, e.g. the introduction of containment. Clearly, the majority in the Senate as well as in the opposition sitting in the Assembly said: "Move, there is nothing to see, we decide. » [[Applause on the benches of the LR, FI and GDR groups]] The worst thing is that you are simultaneously calling for a national union, under the pretext of a pandemic. Not only is there nothing to see, but there is nothing to discuss! And if we talk, we're accused of being demagogues or health traitors to the nation. It's unbearable!
ParlaMint-FR_2021-02-05-O1153.u58	That's so true!
ParlaMint-FR_2021-02-05-O1153.u59	While there should be discussion and common construction, we find ourselves in a situation of blockade that you choose, sorry to tell you. We have voted everything, we have accepted everything, but it is no longer bearable. Moreover, the ordinances that we have authorized you to make should normally be ratified under the Constitution. But almost none of the orders made a year ago have been ratified,...
ParlaMint-FR_2021-02-05-O1153.u60	Yes!
ParlaMint-FR_2021-02-05-O1153.u61	That's right!
ParlaMint-FR_2021-02-05-O1153.u62	It's starting to be a lot!
ParlaMint-FR_2021-02-05-O1153.u63	... when we had six months to do so and the Assembly's agenda would have allowed it. I'm sorry to tell you this is a violation of the Constitution. As far as Parliament's control is concerned, it would be normal to provide for the re-visit clause that we are asking for.
ParlaMint-FR_2021-02-05-O1153.u64	In a normal democracy, yes, but not in Macronia, obviously...
ParlaMint-FR_2021-02-05-O1153.u65	[[Applause on the benches of the LR group. – Mrs Emmanuelle Ménard also applauds]] [[Applause on the benches of the FI and GDR groups]] If a confinement were decided, for example, we could discuss it. Frankly, could we not debate the opening of shops? In the end, they were closed twice, while their opening since 27 November last did not pose any health problems! Could Parliament not debate the practice of sport, authorised at school, but banned outside it? Could Parliament not debate territorialisation? No, traffic, there's nothing to see, and there's nothing to discuss. The worst thing is that we should now have in common law a well-established framework not for the implementation of the state of emergency. This was again a commitment of the Government. A year later, however, this is not the case and, let us say, in a year's time, it will not be the case, because the congestion of the legislative timetable will no longer allow you to have it adopted. But it was programmed: last December, we were told that a text was ready. But you gave up presenting it under the pressure of the obscurantists. Indeed, the vaccination strategy was initially dictated by the fear of anti-vaccines, and some were moved that this text might eventually force people to get vaccinated. In the face of these obscurantists, the Government and the majority have gone to bed, whereas the text actually provided nothing but an obligation to be vaccinated or tested for a few activities, to take a preventive or curative medicine in a given situation, that is to say, what is already being applied! So try to go to Corsica next week without taking a PCR test... If we were able to impose the obligation of vaccination, perhaps it would be implemented. In any case, even what this text provided for, you did not implement it; Even that! [[Applause on the benches of the LR group. – Mrs Emmanuelle Ménard also applauds]] In these circumstances, should we always vote for the extension of the state of emergency that you are calling for? Well, for the first time, we won't. In the face of a deaf government and a majority that refuses to listen to anyone and anything, we can no longer trust you. We will vote against this extension.
ParlaMint-FR_2021-02-05-O1153.u66	The general discussion is closed. I recall that the Conference of Presidents decided that the public vote on this bill as a whole will take place on Tuesday, February 9, following questions to the Government.
ParlaMint-FR_2021-02-05-O1153.u67	We only came here for that?
ParlaMint-FR_2021-02-05-O1153.u68	The meeting was suspended.
ParlaMint-FR_2021-02-05-O1153.u69	The meeting was resumed.
ParlaMint-FR_2021-02-05-O1153.u70	The next item is the continuation of the discussion of the draft law which reinforces respect for the principles of the Republic (No. 3649 corrected, 3797).
ParlaMint-FR_2021-02-05-O1153.u71	Last night, the Assembly continued its discussion of the articles of the bill, ending with clause 6.
ParlaMint-FR_2021-02-05-O1153.u72	Mr Frédéric Petit has the floor.
ParlaMint-FR_2021-02-05-O1153.u73	We have regularly wondered, during the examination of this text, whether it was a text of freedom or a text of coercion; I believe that this article shows us that it is a mobilization text. We were often asked whether the provisions were fair or whether their scope was too broad; We're looking at an article that just types. For forty years we have let the third parties of trust leave, as we call them, we have allowed this fabric of associative federations to die. Madam Minister responsible for citizenship, you said in committee that we know how to train public servants, but not necessarily associations. When I was young, we knew how to train the associations, the federations took care of it. They disappeared because we let those third parties go. This article will allow us to address this issue, particularly when we debate our amendments on the reception of minors, which has become a derogation only. There is a need to consolidate the fabric of associations with approvals that allow for the reception of minors – some 20 of them – and to control those who do not have them, demanding that they respect the principle of neutrality. We cannot allow, in our neighbourhoods, the reception of minors organized by large federations to become minority, they leave these territories, to be replaced by a wild derogatory reception organized by the people we want to fight and that we absolutely no longer control.
ParlaMint-FR_2021-02-05-O1153.u74	Mrs Marie Guévenoux has the floor.
ParlaMint-FR_2021-02-05-O1153.u75	The discussion of this article allows me, first of all, to pay tribute to the work of the associations, which establish the links between our society. The vast majority of associations participate in the promotion of republican values, especially that of fraternity, and embody the republican model; It is perhaps for this very reason that they are now victims of attacks, attempts to enterrism and the diversion of their object. Some even use the freedom of association that our Constitution protects to serve a separatist objective. Article 6 provides for the creation of a Republican contract of engagement which makes the granting of a public subsidy conditional upon its signature. Its content is known and simple; In committee, we have enriched it and clarified its definition: it is a commitment "to respect the principles of freedom, equality, fraternity, respect for the dignity of the human person", but also "the minimum requirements of life in society and the fundamental symbols of the Republic". I am surprised that, as a result of our discussion, some colleagues – minorities, I hope – and opposition groups have tabled amendments to delete this article.
ParlaMint-FR_2021-02-05-O1153.u76	Oh!
ParlaMint-FR_2021-02-05-O1153.u77	[[Protests on the benches of the SOC, FI and GDR groups, as well as on a few benches of the LR group]] It seems surprising to me, to say the least, that associations that promote a model in which women are not equal to men or child labour are able to dispose of public money. [[Applause on a few benches of the LaREM group]] The public subsidy is not a right, and it seems to me normal that the legislator should plan to control its granting and possibly its reimbursement.
ParlaMint-FR_2021-02-05-O1153.u78	That's disturbing!
ParlaMint-FR_2021-02-05-O1153.u79	Mr Yves Blein has the floor.
ParlaMint-FR_2021-02-05-O1153.u80	Article 6 is of course an opportunity to recall the essential role of associative life. Our contemporary society sometimes has the art of enriching our vocabulary with new words, including that of whistleblowers, which emerged a few years ago. However, if we looked carefully at the 70000 associations that are created each year, we would find among them very many whistleblowers: people who come together to take care of an unfilled need, to defend a cause, to share an analysis, to organize a solidarity felt as necessary, to share a passion. What if certain associations were, in a certain way, the vanguard of weak signals of republican sentiment, guaranteeing that the defence of the particular interest evolves towards the promotion of the collective interest, then general? This path is in itself a training, a pre-accession to the Republic, an apprenticeship that 9 million of our fellow volunteers who are committed to a collective daily practice. Many of us are from associative life, a ground for political commitment, and a concrete illustration of the promotion of the values of the Republic. [[Applause on a few benches of the LaREM group]] This is one of the reasons why it is important to protect her, to ensure that some do not take advantage of her virtues to pursue other goals. This article, which will be enriched, I hope, by amendments, must first strengthen associative life, in keeping with the charter of reciprocal commitments between the State, local and regional authorities and associations of 2014.
ParlaMint-FR_2021-02-05-O1153.u81	Mrs Sandrine Mörch has the floor.
ParlaMint-FR_2021-02-05-O1153.u82	The barbaric assassinations at the Jewish school in Toulouse by a young radicalist Islamist made the effect of a detonator for the Pink City. All religions, without exception, have united. They used fraternity as a weapon of resistance to barbarism. More recently, during the first confinement, all the Toulouse associations joined forces to get to the prefecture and to accelerate the action of the State, as there was an absolute urgency to intervene with our fellow citizens. Only the associations that had remained on the ground were able to really support them. Religions and associations have this in common: the art of welcoming the other. As this crisis puts many people on their knees, let us be careful not to weaken them by thinking of protecting us. We cannot legislate by being completely dried up spiritually as we cannot legislate by underestimating the power of fraternity. Today, we are engaged in this difficult exercise of imposing a contract of republican engagement on the people most engaged in our society, the volunteers, the people most disinterested in substance but most interested in the fate of our fellow citizens. The million and a half associations did not wait for us to engage precisely where the Republic was no longer present. But it is not a due: it is the commitment of a handful for all. In 90% of cases, they are volunteers who do not count their time. On the front line to welcome the victims of the crisis who are coming in, many are exhausted. Their commitment, which does not pay for words, is vital to our society. It could even become viral, representing a plan of salvation for young people who would join the community world to find meaning. We must not curb this commitment but encourage it. For a handful of associations that do not respect republican principles and whose control would be justified, we will curb many others.
ParlaMint-FR_2021-02-05-O1153.u83	That's very fair!
ParlaMint-FR_2021-02-05-O1153.u84	[[Applause on the benches of the LR and GDR groups]] As we submit them to an additional requirement, I propose, at the same time, to act to strengthen them, including materially, to simplify their lives, to pool their skills, to simplify the administrative imbroglio and timing of grant applications. So that they can devote themselves fully to their actions on the ground to our fellow citizens, let us commit ourselves, as we ask them to commit themselves.
ParlaMint-FR_2021-02-05-O1153.u85	Mrs Emilie Chalas has the floor.
ParlaMint-FR_2021-02-05-O1153.u86	Article 6 of this bill provides for the creation of a Republican engagement contract between associations requesting public funding and public institutions. I welcome this measure, which will be implemented in practice in our territories. I would like to share with you an experience from my local engagement. At a meeting of the municipal council of the city of Grenoble, then a meeting of the metropolitan council Grenoble Alpes Métropole, I proposed the adoption of a charter of secularism, which would make the granting of subsidies conditional on the respect of the principles of the Republic by the associations. It was unfortunately rejected on two occasions: obviously at the meeting of the municipal council, by the green and red majority of Éric Piolle and La France insoumée, and, alas, also at the meeting of the metropolitan council, during which it won forty-eight votes against fifty. This is the very illustration that the cardinal values and principles of the French Republic are weakened, poorly defended, poorly considered and sometimes even challenged. We cannot continue on this dangerous path. We need a structural reminder: we must go through the law to reaffirm the power and value of French secularism.
ParlaMint-FR_2021-02-05-O1153.u87	They really don't doubt anything!
ParlaMint-FR_2021-02-05-O1153.u88	It is a necessary framework in our time to avoid public actors – I am thinking, for example, of the city of Grenoble and Grenoble Alpes Métropole – being trapped again, as they were by financing, alas, the CCIF – the Collective against Islamophobia in France. Faced with the retreat of a part of the political class out of ignorance, out of ideology, out of renunciation, we have no choice but to forcefully reaffirm our principles by the authority of the law. If the term "contract" is open to debate, however, I hope that any request for a public subsidy will have to be the subject of a commitment by the association to respect the principles of republican authority. Infringement of this undertaking may result in the return of the subsidy. If it is obvious that this contract of engagement will not solve everything, far from it...
ParlaMint-FR_2021-02-05-O1153.u89	We've heard the arguments before! Maybe we can move on to the amendments now!
ParlaMint-FR_2021-02-05-O1153.u90	Mr Le Fur, I imagine that if you have something to say, you will ask me for the floor and I will gladly give it to you at that time. Mrs Chalas, you have the floor to continue your remarks.
ParlaMint-FR_2021-02-05-O1153.u91	The contract of engagement, I said, will be a significant tool on which to build in order to continue the fight against all forms of separatism and strengthen the promotion of republican values and principles. [[Applause on the benches of the LaREM group]] This bill will also have to be accompanied by all the preventive and integration measures that the various politicians can apply on the ground, and educational and pedagogical measures that the school of the Republic must put in place in a concrete way. Convinced by this situation, I wish to fully defend in the National Assembly this Republican contract of engagement and the bill that reinforces respect for the principles of the Republic.
ParlaMint-FR_2021-02-05-O1153.u92	Mrs Fabienne Colboc has the floor.
ParlaMint-FR_2021-02-05-O1153.u93	Article 6 concerns associations, allies of the Republic and engines of integration, socialisation and innovation for our citizens and all territories. The action of the associations, for the vast majority of them, takes place at the best. However, I find it difficult to deny the communal enterrism that can sometimes occur in order to lock their members, especially the younger ones, in an ideology and to separate them from the Republic. That is why, in order to ensure respect for fundamental freedoms and public order, we want the associations to enter into a Republican contract of engagement, a condition for the issuance or maintenance of public subsidies. Of course, there is already the charter of reciprocal commitments, which is a fine work done in 2014 with the voluntary movement and local and regional authorities, but it has no legal value. Since the introduction of this bill and during its consideration in a special committee, consultations have been held with the Minister for Citizenship and the community movement to jointly draft the terms of this Republican contract of engagement. In that regard, the Special Commission had made improvements, in particular by preferring the concept of "respect" for public order to that originally envisaged by the Government of "safeguard". In addition, we have specified that the obligation to enter into this republican contract of engagement will be deemed satisfied with regard to approved associations that would apply for subsidies. I believe that it is necessary to do so. The aim of the text is to combat separatism and not to impede freedom of association,...
ParlaMint-FR_2021-02-05-O1153.u94	That's what he's gonna do!
ParlaMint-FR_2021-02-05-O1153.u95	[[Applause on several benches of the LaREM group]] ... so that the expression of this freedom does not lead some, especially the younger ones, to separate themselves from the Republic.
ParlaMint-FR_2021-02-05-O1153.u96	Mrs Annie Genevard has the floor.
ParlaMint-FR_2021-02-05-O1153.u97	This article, which Gérald Darmanin described as very important, is a bit like the text. Many things are described as very important when they are not really important. With regard to article 4, a crime of separatism was pompously mentioned... That is a lie, ladies and gentlemen!
ParlaMint-FR_2021-02-05-O1153.u98	Of course!
ParlaMint-FR_2021-02-05-O1153.u99	Yes!
ParlaMint-FR_2021-02-05-O1153.u100	You voted it!
ParlaMint-FR_2021-02-05-O1153.u101	I would point out that the purpose of Article 4 is to penalize those who attack officials performing a public service mission. These individuals can actually act for separatist reasons, but there are so many other ways of doing separatism in our country! You're in communication. With regard to the Republican contract of engagement, I would first like to say that the term "contract" is inappropriate, since it normally implies a contractual approach between two parties. Its use seems all the less appropriate here as it could lead to an increase in the fact that it is enough to commit to the republican principles to be entitled to a subsidy, which is not the case. As you know, the granting of a grant is a discretionary competence of the deliberative assemblies. Secondly, you are aware, Madam Minister, that this text has raised a great deal of concern in the associative world, which has seen it as a sign of distrust. Once again, it is in the image of your text. If you don't tackle the target, you're disrupting religious and associative balances that don't pose any problems.
ParlaMint-FR_2021-02-05-O1153.u102	Of course!
ParlaMint-FR_2021-02-05-O1153.u103	[[Approval on the benches of the LR group]] Finally, article 6 is similar to a display that will not distract Islamists from their evil project. Clearly, those who undertake a project against the Republic will continue to do so without applying for subsidies and thus without being subject to this type of contract.
ParlaMint-FR_2021-02-05-O1153.u104	Mr Jean-Christophe Lagarde has the floor.
ParlaMint-FR_2021-02-05-O1153.u105	We agree with the intentions of Article 6, although we have some doubts as to the inconclusive nature of some of the provisions contained therein. But that is not the subject of my intervention. Madam Deputy Minister, it is commendable and desirable that associations should be obliged to commit themselves, and then that they should be monitored for compliance with this commitment. However, once such a measure is proclaimed in the law, it must be enforced effectively. However, it appears that situations are not as simple as the text or certain speeches might suggest. Also, since decrees and circulars will have to be drafted, it seems to us necessary that information between the municipalities and the State circulates better. What takes place in the changing rooms or at a meeting of an association, or a section of a large association, is not necessarily visible to the mayor or delegate of the prefect. Things can be better identified by other actors, such as territorial intelligence. The CLSPDs – local security and crime prevention councils – which became CLSPDR after they were joined in the fight against radicalisation, should have a "action sheet", almost mandatory, so that this exchange of information takes place, in a very limited way, between the intelligence services, the delegate of the prefect when there is one and the representatives of the municipal services, even departmental ones. In this area, there is often some saying, but few objective findings. It is therefore necessary to carry out checks, including unannounced checks. Indeed, when they are announced in advance, the checks do not allow us to know whether, in certain activities of an association, there are speeches of radicalization, prayer sessions, or other things of this kind. It is thanks to a better transmission of information that the text will not be merely a proclamation and will actually be applied on the ground. That is what we wanted to draw the Government's attention to.
ParlaMint-FR_2021-02-05-O1153.u106	Mr Pierre Dharréville has the floor.
ParlaMint-FR_2021-02-05-O1153.u107	In line with the Act of 1884 establishing trade union freedoms, the Act of 1901 created the official framework for the recognition of associative freedoms. In introducing the bill, Pierre Waldeck-Rousseau distinguished freedom of association in the following terms: "The word is correct, in the sense that it is no more permissible to compel someone to join the association than to prohibit it. But if it wants to implement this right, it must be addressed to other citizens; He must lay down with these people the basis of an agreement, which he forms, in a word, a contract. This is why Article 1 of the draft defines association: a convention between two or more persons for a specific purpose. Thus, in the 1901 Act, this "contract" translates into the precise word "convention". Here you want to add a contract to the contract. This is, moreover, a higher contract than the first, and is not one, since it would be a unilateral act by which the associations would undertake to respect the principles of the Republic; a kind of pre-subsidy oath, a solemn promise. This leads to widespread suspicion about the associations by which the danger would be likely to occur.
ParlaMint-FR_2021-02-05-O1153.u108	That's right!
ParlaMint-FR_2021-02-05-O1153.u109	You're exaggerating!
ParlaMint-FR_2021-02-05-O1153.u110	It looks like an act of allegiance. Signing this contract would confer a blank-seing, a certificate of respectability, a "pre-patent of republican conformity", to use the expression used by many community leaders in a forum. What an infantilization! Earlier, one of our colleagues said, "We just type. In fact, just type! (Laughter and applause on the benches of the LR group. – Mrs Emmanuelle Ménard also applauds.) I am surprised, moreover, that with this text and on this subject you presented yourself as guardians of the temple.
ParlaMint-FR_2021-02-05-O1153.u111	We'll see what your vote will be later!
ParlaMint-FR_2021-02-05-O1153.u112	What problem are you really going to solve with this measure? Will you then target the trade unions, which are also organisations? Maybe you've been thinking about it. What did you think then? In any case, your approach, along with this text and others, expresses the will of a society under control. This measure, the effectiveness of which remains to be demonstrated, has been received as a measure of distrust, undermining the spirit of freedom of association. Its formulation was criticized by the Council of State. However, the 1901 law cannot be accused of being lax, since it is also the vector of a resolute struggle by the Republic against religious congregations. It provides for the possibility of dissolution and states that an association may not be founded "on a cause or with a view to an unlawful object, contrary to the laws, morals, or which is intended to undermine the integrity of the national territory and the republican form of the Government". When an association declares itself in prefecture to obtain legal personality, it enters in fact into this framework. So the bill actually clearly identifies associations receiving grants as relays, if not instruments, while their project, while respecting the Republic, is not necessarily the promotion of its principles. I would add that it is already written in the law that any subsidy is made on the basis of the public interest. As a result, associations that assist and strengthen the Republic through the action of associated citizens are found to be useful. The formula you are proposing can give rise to multiple interpretations and thus to the exercise of discretion. Indeed, not only reminding you of the respect for republican principles, as defined in our texts, you reformulate them for the occasion. This formal and mandatory commitment is a loss of meaning. But we need true associative vitality, because associative life is a pillar of our democracy and a powerful decline in our fundamental freedoms, which can be exercised in common without altering the freedom of everyone. From this point of view, there is cause for concern, as the associative movement has been weakened by market offensives, weak public policies and, sometimes, lack of trust or toxic relationships with certain associations. [[Applause on the benches of the GDR and SOC groups]] Through the associative movement, there emerges aspirations, responses that sometimes push the Republic to make it live. I want to pay tribute to these human commitments of everyday life, where the social bond is forged and the common good is built. Associations are not a danger, they are an opportunity against withdrawal and individualization, and for participation and emancipation.
ParlaMint-FR_2021-02-05-O1153.u113	All right, Mr. Dharréville!
ParlaMint-FR_2021-02-05-O1153.u114	Mr Pierre-Yves Bournazel has the floor.
ParlaMint-FR_2021-02-05-O1153.u115	We are very committed to this article 6, which provides for the Republican contract of engagement that some communities have already established, such as the Île-de-France region or the city of Montpellier. We are also very attached to associative freedom. All freedom must be considered under the prism of responsibility. It is for this reason that the Republican contract of engagement makes sense to us. Respecting republican principles is not an option, but an obligation.
ParlaMint-FR_2021-02-05-O1153.u116	So it's not a contract!
ParlaMint-FR_2021-02-05-O1153.u117	Respect for these principles is fundamental for nationhood and society. Associative freedom is important, as is the missions of associations, such as social cohesion and the emancipation of the individual. When an association or association cadres use associative freedom to fight against republican principles, to promote separatism, or to enter into sports or cultural associations, there is a danger to the Republic and there must be an answer. In this regard, I believe that the Republican contract of engagement is a good solution. As you know, the Group of the European People's Party is very committed to training, so we will be presenting several amendments in this area. Indeed, we believe that the training of managers and associative managers in the principles of secularism and republican principles, as well as in the fight against discrimination, is a priority. We will be able to protect them from people who can enter into their association, just as we will be able to protect members of associations that can be used by their managers and managers for purposes other than serving their social, cultural, educational, or sporting vocation. It is in no way contradictory to what my colleague Sandrine Mörch has said excellently: it is necessary to help associations, particularly in financial terms, and to simplify their task. This is not the purpose of this text...
ParlaMint-FR_2021-02-05-O1153.u118	Indeed, it cannot be said that this text contributes to this!
ParlaMint-FR_2021-02-05-O1153.u119	It's even exactly the opposite!
ParlaMint-FR_2021-02-05-O1153.u120	... but this is an important subject, because, everywhere on the ground, we need associations; I see it in the 18th arrondissement of Paris. We often criticize the city's policy, which it is always possible to improve, but if we did not have the neighbourhood associations, whether they work in the field of school support, culture or sport, the social fabric and cohesion would be severely damaged in our country. I repeat, the purpose of this article is to protect associations, to enable them to continue to work well and to protect the interests of both managers and managers, as well as members and members.
ParlaMint-FR_2021-02-05-O1153.u121	Mr Boris Vallaud has the floor.
ParlaMint-FR_2021-02-05-O1153.u122	I will start with a word of appreciation about the spirit of the law, about what each one feels confusedly and, first and foremost, about associations. They have told us, they have told you, to regret this spirit of distrust, which is perhaps the proper one of our times, but against which we must fight with determination, because the Republic is first and foremost a great act of confidence. From certain provisions of the law, amendments and discussions that we have been pursuing for hours, the idea emerges that the suspicion of betrayal and deviance would weigh on everyone. In our institutions, we would almost have to entrust Commissioners with the task of ensuring respect for each of our values, as if the air we breathe were not above all a republican air for the vast majority of us, as if the Republic and democracy were not an ethic, a moral that is common to us, even though these are our strength in the face of all those who would like to divide us and contest the values that underlie us as a French people, I was going to say: as a republican people. While you are saying that this bill is a piece of freedom, I am afraid that you would prefer the word over the word, and that, in particular, by section 6, we were not moving away from our great liberal laws like that of 1901, the fruit of a very long process that began in the French Revolution. For things have not been done in a day or simply. It took time to accomplish, in the 1901 law, what Tocqueville had stated: "In democratic countries, the science of the association is the mother science; the progress of all others depends on the progress of that one. » [[Marie-George Buffet applauds]] Apart from this reflection on the general spirit of the law, it seems to me – I have not heard any opposing opinions on the benches of this assembly – that associative engagement in all its forms is undoubtedly one of the most complete expressions of democracy, one of the most authentic manifestations of what it means to be a citizen, especially a citizen of our Republic. In the moment we are living, we have the chance to be able to count on the commitment of millions of French in hundreds of thousands of associations which, every day, fight in action against separatism; They do "reparatism", in the proximity of those who need it most, who suffer and who are sometimes abandoned by the Republic itself, to which it sometimes fails to keep its promises – I am talking about the Republican promises present in the speech of the Walls, but absent from the bill. The Republican contract of engagement arouses caution on the part of the Council of State and the CNCDH – National Advisory Commission on Human Rights – which yesterday gave a very reserved opinion on your bill and regrets that it was not submitted earlier by the Government. She wondered about the effectiveness of the text. The 1901 law – as Pierre Dharréville recalled – offers a precise and binding legal framework. Indeed, an association whose object would be unlawful and contrary to the principles of the Republic is illegal. In addition, there is no entitlement to the subsidy. Finally, it is always possible to act: one can pursue an association or withdraw an authorization from it, or even carry out an administrative investigation, as the Federation of Social and Sociocultural Centres of France – FCSF – did, a secretary of state who had been hampered by the way a meeting she had attended had taken place. Both the voluntary movement and the High Council for Associative Life doubt that Article 6 is necessary. In 2014, we worked together to develop a charter of mutual commitments requiring any association that requests grants to respect the principles of our Republic. I would point out that the CERFA document it signs, by which it undertakes to respect them, is enforceable, which guarantees that no euro of our Republic will go to its enemies. I would have liked the impact assessment to provide specific examples, including the names of associations advocating discrimination between women and men, or racist associations, which a public authority would have subsidized.
ParlaMint-FR_2021-02-05-O1153.u123	Yes!
ParlaMint-FR_2021-02-05-O1153.u124	We would have seen more clearly what we were tackling. In my view, it is possible to bring the charter of reciprocal commitments to the normative level. This is what the associations propose.
ParlaMint-FR_2021-02-05-O1153.u125	And that's what we want!
ParlaMint-FR_2021-02-05-O1153.u126	A decree, which the Assembly will not examine, sets out the format of the decree, but it came to us the day before our debate – so a little late. Undoubtedly, we miss an opportunity to strengthen associations as a means of combating separatism. This text will undermine the liberal character of the 1901 law: because of the obligation to sign the Republican contract of engagement, it will subject to a form of prior authorization of many associations that live on public subsidies and help us in a demanding way in the fulfilment of the missions of general interest that we all believe in.
ParlaMint-FR_2021-02-05-O1153.u127	No, no, no, no, no, no, no,
ParlaMint-FR_2021-02-05-O1153.u128	That's where we're at. You need to hear the community movement, which the bill is worried about.
ParlaMint-FR_2021-02-05-O1153.u129	Rightfully!
ParlaMint-FR_2021-02-05-O1153.u130	You're not here to reassure him!
ParlaMint-FR_2021-02-05-O1153.u131	[[Applause on the benches of the GDR group]] The consultation you claim to have with him right now can't be just a word.
ParlaMint-FR_2021-02-05-O1153.u132	Mrs Marie-George Buffet has the floor.
ParlaMint-FR_2021-02-05-O1153.u133	What is the associative movement? They are men and women who come together to defend an idea, a cause, to serve others, to defend the general interest. Whether in a cultural, charitable or sporting approach, especially when directed towards young people, they do popular education. I'll stop for a moment on that notion. What better way to learn the principles of the Republic than to share such an approach, which consists of learning with others, acting, building up, getting rich with others? This is the approach of popular education supported by the community movement. It is true – we have discussed it recently with some colleagues – that in recent decades, the latter has lost both resources and the power to act or reflect on this approach. To defend the principles of the Republic, to leave them in the debate alive and shared by the greatest number of people, the urgency is therefore, not to sign a new contract, but to help the community movement to regenerate, expand and take young people into the great adventure of creating an association. Let us not forget the content of the 1901 Act and the 2014 Charter of Reciprocal Commitments resulting from a consultation between associations, the State and local and regional authorities. These documents exist. If one or more associations have an approach, behaviour, speech or action contrary to the principles of the Republic, we therefore have tools to counter them.
ParlaMint-FR_2021-02-05-O1153.u134	No!
ParlaMint-FR_2021-02-05-O1153.u135	I'm sorry, rapporteur-general, we can withdraw an approval. I did. So don't pretend there's no tool.
ParlaMint-FR_2021-02-05-O1153.u136	With 80% derogations?
ParlaMint-FR_2021-02-05-O1153.u137	[[Applause on the benches of the GDR, SOC and FI groups]] Instead of adding new constraints to the associative world, try instead to allow it to regain vitality. This is what will do the Republic good.
ParlaMint-FR_2021-02-05-O1153.u138	All right!
ParlaMint-FR_2021-02-05-O1153.u139	I call Mr Guillaume Vuilletet.
ParlaMint-FR_2021-02-05-O1153.u140	Although I am obviously very sensitive to the introduction of Marie-George Buffet and to the definition of the association movement that she has just proposed, I will not draw the same conclusions as she did. We have a good debate. I know that Mr Le Fur is eager to defend his amendment No 651, which will delete the article, which will give us a fresh start to our discussion, but I think that our exchanges are as rich as they are necessary. I would like to show how paradoxical the attitude of the opposition is, because what are we talking about? Of an associative world, certainly, but also of an associative framework, that – we must see – some have managed to divert from its object in order to use the money of the Republic to fight against it. So we need to find a way to help communities and public authorities, not only to use their discretion to grant or refuse a grant – for that, in fact, they don't need us: they're free and, thanks to heaven, the granting of a grant is not systematic – but also to go back to recent decisions. To do this, we need tools that are otherwise more powerful than those we currently have. That's what we're trying to create. The bill also issues a message. It is paradoxical that those who deplore that we are never going far enough are denouncing the unbearable pressure we would place on associations. The message that we want to convey is addressed to all our fellow citizens: not a penny of the Republic will go to the enemies of the Republic. We need this pedagogy to bring the French a security, a serenity on the use of public money. In this regard, the bill seems to me to have struck a balance. One last word: to hear you, the community would be opposed to the bill.
ParlaMint-FR_2021-02-05-O1153.u141	Yes!
ParlaMint-FR_2021-02-05-O1153.u142	No, no, no, no, no, no, no,
ParlaMint-FR_2021-02-05-O1153.u143	Admit that there is a certain diversity in the associative world! On the contrary, some have expressed themselves to say that the Republican contract of engagement, far from hindering them, will strengthen them and secure them. For many, it is simply a question of ticking a box on a CERFA form, and it will be very good like that. But if associations lie by doing this formality, we will now have a tool to fight them. This is the issue of Article 6. [[Applause on the benches of the LaREM group]] In committee, we have had debates which have enabled us to improve the text. We will continue to do so. But the reality is that we are going to give local authorities, public authorities in general and associations the means to stay within the framework of the Republic, while pushing those who are trying to manipulate our institutions to divert public money.
ParlaMint-FR_2021-02-05-O1153.u144	Mr M'jid El Guerrab has the floor.
ParlaMint-FR_2021-02-05-O1153.u145	This debate about associations, their commitments, the control of their actions and the public money they can receive is essential. In addition, it allows us to say in this Chamber that in France we have an exceptional opportunity to have so many associations and volunteers who engage in a disinterested way out of solidarity, out of a desire to help each other. I am a Member of Parliament for Maghreb and West Africa. In these territories, thousands of French associations abroad manifest themselves every day to give a hand, award a scholarship, accompany children to school or act in solidarity, on a voluntary basis. This is fraternity, too. Even if it is harder to give her a face than to freedom or equality, she has one: that of these thousands of associations whose members act without asking for anything in return. Today, we will ask them to sign the Republican commitment contract when they apply for a public subsidy. That's a good thing. Be careful however: several press articles I have read here and there denounce sports associations because, in a dressing room, someone refuses to shower naked. They are immediately accused of suffering Islamist influences or being at the boot of the Muslim Brotherhood. When I was younger and basketball, I undressed without difficulty to take a shower. But some friends, who were embarrassed, preferred to keep a underwear. However, La Géraldienne in Aurillac was never accused of Islamism! Let us therefore pay attention to reporting and denunciation. You have to frame things to avoid falling into ridiculous messes.
ParlaMint-FR_2021-02-05-O1153.u146	Mr François de Rugy, chairman of the special committee, has the floor.
