ParlaMint-BG_2015-07-21.u1	There is a quorum, I am opening the plenary session. A procedural proposal please, Mr. Kazak.
ParlaMint-BG_2015-07-21.u58	Thank you, Mr. Chairman. Ladies and gentlemen of the House! It is not possible to abstract the debates on proposals to reduce the threshold for mandatory referendums and for the mandatory results of the referendum held by the specific initiative of the Head of State to put to a referendum three of its questions: the mandatory vote, the mixed proportional majority electoral system and the electronic vote. In a written declaration on behalf of the DPS Parliamentary Group, I have already warned you of this. Get ready! The final result will be: the results of the October 25th referendum, held together with the local elections, will have a binding, binding character for the forty-third National Assembly and within a month we are obliged to introduce a mixed proportional majority electoral system. The result, even in the reduction option, two thirds of the selected pro rata, one third of the majority, we establish a one-party management model for years to come. Congratulations! That's the first score. Secondly, I will not give other examples of the risks associated with this voluntarism that prevails in plenary. The colleague gave some examples in a funny plan, but I think the example of Greece should sober us up more or less. I ask: where is the courage of Tsipras, who put the draft agreement with creditors to a referendum [[Full lines: Essentially!]] Why does he not now have the courage to submit the signed agreement to creditors to a referendum? Do you know why he doesn't? Because 80 percent of the Greek people will say no. Once again, there is a need for referendums on value issues. On purely expert topics, we must refrain from resorting to this instrument, because when it is conducted on expert topics, it smells of populism for the simple reason that a new legislative body, a new legislative entity, is practically located in the referendum, the whole-built people. Not that it's bad, but it hides the risk of severe consequences because of the prevailing moods of the day they would predict would prejudge the vote. Therefore, the smartest thing we could do is to adopt only those texts in this Bill, which will make it possible to form municipal electoral committees, because the Act in force does not allow that, and all other texts to be discussed in a calmer environment after local elections. This is the smartest thing Parliament can do today. Otherwise, the responsibility for the consequences of the decisions taken today in this plenary session will be yours. I will remind you of my speech, which will be reflected in the shorthand protocol. Thank you for your attention.
ParlaMint-BG_2015-07-21.u59	Thank you, Mr. Mestan.
ParlaMint-BG_2015-07-21.u60	Procedure!
ParlaMint-BG_2015-07-21.u61	Before I give you my word, are there any lines? Here you go, Mr. Kadyev.
ParlaMint-BG_2015-07-21.u62	Dear Mr. Mestan, allow me to disagree with the conclusion you are making. I absolutely agree that the people can oblige us to do something that is against their own interest due to a coincidence of circumstances or the mood of the day. But this is where the politicians play the role. We're the ones who have to educate the people. For example, I am strongly opposed to the mandatory vote, because it does not work, that this is a right, not an obligation, that you cannot punish 30 " 40% of the population who will not vote. But that doesn't mean I don't want to ask the people how they feel about mandatory voting. I absolutely disagree with my colleague Chetin Kazak's thesis before you, who said that through the referendums we are taking sovereignty. On the contrary, we give sovereignty and give it to those who have chosen us. If our logic is that we do not want to give people the right to set our agenda, by the same logic we must stop the elections, because they have also made mistakes and put in parliament parties that do not deserve to be in parliament and these parties have made decisions that are against the interests of this same people. I remain with the feeling that this Bill is almost against the DPS and the number of votes to be valid for the referendum is almost in line with the electorate of the DPS. If it's 500 thousand, because the DPS can't reach them; if it's 300 thousand bad, because the DPS will reach them, and the DPS core, you see, will suddenly trigger a referendum. There, that's the mistake, colleagues. We don't respect political parties here, we don't respect political cores. After all, these cores are part of the same people who choose us and who have the right to express their sovereignty. That is why I insist on reducing these numbers so that there will be more representativeness of the people. This Bill, after all, is called the Law on the direct participation of citizens. This is the direct participation of citizens! Thank you.
ParlaMint-BG_2015-07-21.u63	Thank you, Mr. Kadyev. Second line? I won't. Here you go, Mr. Mestan.
ParlaMint-BG_2015-07-21.u64	Thank you, Mr. Chairman. Dear Mr. Kadiev, dear colleagues! Mr. Kadiev, people will not vote for or against the mandatory vote. People will not vote for the majority vote in this referendum on 25 October 2015, they will vote for the mythologema, which is behind the mandatory vote and the majority vote. It is suggested that the majority vote is the panacea, which in an instant with a magic wand will improve the quality of political representation. A severe illusion, but these are the prevailing moods of the day. [[Reply of National Representative Yanaki Stoilov.]] We will obtain a mixed, proportional majority system in which the first political force takes everything and with somewhere 32 " 33%" will form an independent majority. Do I give you the example of England, where the liberal Democrats took only 8 mandates and the Scottish Nationalist Party of 4% had 56 MPs in the English Parliament? Is that what we want to happen in Bulgarian terms? In addition, someone is misleading you that the German model is being introduced. No! In the German model we have a strong preference of personalities within the framework of proportional reporting of the representativeness of the parties. Moreover, dear Mr. Kadiev, and the parties are wrong, they deviate from their election commitments, but there is an outlet here. The system itself has arranged the vents. In subsequent elections these parties will be punished, their mistakes will be corrected by a new act of the legislative authority. If mistakes are crimes, they'll go to jail. But people don't make mistakes. But if the right decision by the people in a referendum results in negative consequences, there is no correction mechanism. That is why I say that the referendum should unfold, be an important corrective of representative power, but on value issues, as a true corrective, not on purely expert topics. I say that the electoral system, apart from value, is primarily an expert topic and there will be no time for sufficient clarification. It's our responsibility, but sometimes your rational arguments are powerless to the mythologiem. The myth dies over time, not always dying as a result of rational counterarguments. Thank you for your attention.
ParlaMint-BG_2015-07-21.u65	Thank you, Mr. Mestan. Come in for a procedure, Mr. Bayraktarov.
ParlaMint-BG_2015-07-21.u66	Thank you, Mr. Chairman. Seeing that you are also idle, and not interrupting speakers who are not actually speaking on the substance,...
ParlaMint-BG_2015-07-21.u67	So, here I was supposed to interrupt you.
ParlaMint-BG_2015-07-21.u68	...which is an indication that the debate has practically run out because nothing new has been said, which is why I would like to put an end to the debate on this point.
ParlaMint-BG_2015-07-21.u69	A reverse opinion? I won't.
ParlaMint-BG_2015-07-21.u70	Procedure!
ParlaMint-BG_2015-07-21.u71	Here you go.
ParlaMint-BG_2015-07-21.u72	Thank you. Mr. Chairman, ladies and gentlemen of the House! And today we have lived to hear, after an hour and a half of heated, reasoned debates that if you see, there is no debate, there is no argument, and give this reason to put an end to the debate. When there's powerlessness, when there's inability...
ParlaMint-BG_2015-07-21.u73	What's the procedure?
ParlaMint-BG_2015-07-21.u74	Exactly.
ParlaMint-BG_2015-07-21.u75	It's not a procedure, it's a reverse opinion.
ParlaMint-BG_2015-07-21.u76	Exactly!
ParlaMint-BG_2015-07-21.u77	I asked for a reverse opinion.
ParlaMint-BG_2015-07-21.u78	Yeah, yeah, back to the termination procedure. Where there is an inability to find serious arguments and to point out in the parliamentary debate, this cheap trick provided for in the Rules of Procedure shall be resorted to and used by the parliamentary majority for its imposition. We are discussing one of the most important bills in the Forty-third National Assembly. With this bill, we decide whether or not to open the doors to direct democracy wide in the future. With this Law, we set the limits, the limits in which legislation will be made and this serious instrument will be used from now on. That is why there should be serious debates here, not to end in such an unargumented and populist way that it is offered once again. Thank you. Against!
ParlaMint-BG_2015-07-21.u79	We are voting on Mr. Bayraktarov's proposal to end the debate. Vote 147 MPs: 97 against 45, abstention 5. The motion is accepted. Please come in for a procedure.
ParlaMint-BG_2015-07-21.u80	Madam President, honourable Members! Citing to art. 81, para. 2 which states that only proposals under Article 2 shall be discussed in the case of a second vote. 80, as well as proposals from the committee responsible, included in its report, it is written that amendments are admissible and editorial. Two of my colleagues Mr. Bajraktarov and Mr. Hamid made proposals in the form of editorial proposals. Currently, the debate is under § 3 of the Law amending and supplementing the Law on direct participation of citizens in state power and local self-government. This text is important with its number. If we change from 400,000. At 350,000. Or 400,000. at 800 thousand, this is a change in substance and not an editorial amendment, which is why I urge you not to put these proposals to a vote because they will be contrary to the Rules. I'm asking you to follow the rules. Thank you.
ParlaMint-BG_2015-07-21.u81	Thank you. [[Noise and lines.]] Mr. Hamid, withdraw your offer from the stands.
ParlaMint-BG_2015-07-21.u82	Thank you, Mr. Chairman. My fellow Members, taking into account the arguments just put forward by Mrs. Ahmedova, I withdraw my proposal.
ParlaMint-BG_2015-07-21.u83	We are going to vote on the proposal of the MPs Borislav Borisov and a group of MPs, not supported by the Commission. They voted 143 MPs: 35 against 27, abstention 81. The offer is not accepted. We are voting on the proposal of MP Georgi Kadiev, not supported by the Commission. They voted 142 MPs: for 8, against 54, abstentioned 80. The offer is not accepted. We vote on Mr. Bayraktarov's proposal in § 3, Article 3. 10, para. 2, 400,000. == sync, corrected by elderman == @elder_man @elder_man @elder_man @elder_man @elder_man @elder_man @elder_man @elder_man @elder_man @elder_man They voted 150 MPs: 43, against 36, abstention 71. The offer is not accepted. I shall put to the vote the Commission's proposal to create a new § 3. Vote 152 MPs: 122 against 28, abstention 2. The motion is accepted. You're welcome, Mr. Kazak.
ParlaMint-BG_2015-07-21.u84	Thank you. [[Change of Presidents.]] Madam President, ladies and gentlemen of the House! Contrary to the position expressed that the debate was almost empty and so on, it was sufficiently reasoned, sufficiently justified, sufficiently serious. I think we all need a break in order to understand and reflect on what we just voted on. [[Noise and lines.]] On behalf of the Parliamentary Group of the Movement for Rights and Freedoms, we offer 30 minutes of rest. Thank you.
ParlaMint-BG_2015-07-21.u85	Rest till 12.50. (After the break.)
ParlaMint-BG_2015-07-21.u86	Dear colleagues, here we go. Please invite the Quaestors to the House. Mr. Kirilov, come in.
ParlaMint-BG_2015-07-21.u87	Thank you, Mr. Chairman. Under § 3 a proposal has been made by the MPs Christian Mitev and a group of MPs. The motion has been withdrawn. Proposal of the National Representative Georgi Kadiev: The existing text of § 3 becomes point 1 and is created. 2: "2." Alinea 6 is amended as follows: The National Assembly shall, in consultation with the importers under art. 10, may edit without altering the meaning of the question or questions contained in the proposal and their order. In the event that no agreement can be reached between the committee responsible in the National Assembly and the importers within the time limit laid down in art. 13 para. 8, the text and order of the questions shall be approved by the Constitutional Court. The Commission does not support the proposal. Proposal of the MPs Ana Alexandrova and Svilen Ivanov. The Commission supports the proposal. Proposal of the National Representative Christian Mitev, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 3, which shall become § 4: ............................................ In Article 4 (1) (b), point (c) is replaced by the following: 13 the following amendments and additions are made: 1. In para. The 2th sentence is first amended as follows: The Member of the National Assembly shall immediately send the signature in a structured electronic form to the General Directorate for Civic Registration and Administrative Service at the Ministry of Regional Development and Public Works, which shall carry out a service check no later than 45 days after the receipt of the petition. 2. In para. 4 after the word "subscriptions" shall be added including when finding discrepancies with the requirements of art. 10, para. 1, t. 5 or para. The following points are inserted after point 2 (Commission Implementing Regulation (EU) No 540/2011) of Annex I to Implementing Regulation (EU) No 540/2011:
ParlaMint-BG_2015-07-21.u88	Thank you, Mr. Kirilov. Debates are open. Here you go, Mr. Popov.
ParlaMint-BG_2015-07-21.u89	Thank you, Mr. Chairman. In the Commission proposal § 4, p. 2 is recorded: In para. 4 after the word "subscriptions" shall be added including when finding non-compliance of the signature with the requirements of art. 10, para 1, t. 5, para. The following information is available in the Official Journal of the European Union (hereinafter referred to as "the Authority') and in the Official Journal of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') of the European Union (hereinafter "the Authority') of the In essence, this is actually giving a new deadline for collecting signatures, but only for one of the subjects described in art. Ten of the law. Why not give such an opportunity to the other entities, which are described in the Law of the Municipal Councils, the MPs, the President? Why is such differentiation between the subjects under art. Ten? The point of the Law is that the subjects under art. 10 are equal and each of them should have that opportunity. Why is it given only to the Initiative Committee not to remedy some technical error but to actually continue the procedure for collecting the required number of signatures?
ParlaMint-BG_2015-07-21.u90	Colleagues, I beg you, silence in the court!
ParlaMint-BG_2015-07-21.u91	I believe that in this way the equality between the subjects is clearly violated and that is not the meaning and spirit of the Law in its entirety. Thank you.
ParlaMint-BG_2015-07-21.u92	Thank you, Mr. Popov. First line? Here you go, Mr. Kirilov.
ParlaMint-BG_2015-07-21.u93	Dear Mr. Chairman, honourable Members! Dear Mr. Popov, the subjects are not unequal, but the citizens' initiative is being defended on the contrary. I repeat, the citizens' initiative is being defended, which has walked a serious path in the collection of signatures, respectively when organising support for the issue concerned. And for this reason, an opportunity is given in this case by this method. I do not want to make analogies with a petition that was submitted in the past National Assembly, how controversial it was interpreted by the then President of the National Assembly and how a serious blocking effect was achieved in this regard.
ParlaMint-BG_2015-07-21.u94	Second line? Here you go, Mr. Ivanov.
ParlaMint-BG_2015-07-21.u95	Thank you, Madam President. Dear colleagues! Dear Mr. Popov, there is no way you can compare the period during which signatures should be collected with the proposals for a referendum submitted by the President, by the MPs or by the municipalities. You mean there's an opportunity to sign off on 45 people's... Are you even listening to me? Mr. Popov, I'm talking to you, by the way! [[Radio.]] No 45 signatures shall be submitted by the Members of the National Assembly and shall then be completed. It is clear that these hypotheses are quite different from each other and there is no way to compare them to comment in the way you did.
ParlaMint-BG_2015-07-21.u96	Third line? A hole, Mr. Popov.
ParlaMint-BG_2015-07-21.u97	Thank you, Madam President. Colleagues in your lines I have heard nothing about municipal councils.
ParlaMint-BG_2015-07-21.u98	You didn't hear the lines.
ParlaMint-BG_2015-07-21.u99	Why shouldn't they be given a chance? In fact, the introduction and extension of the deadline for the collection of signatures by another month, and only in relation to the Initiative Committee. He is the only one who collects signatures, but why should it be extended? We are not talking here about any technical gaps in the signature, but about continuing with a one-month period of the opportunity of the Initiative Committee to collect the required number of signatures, whether it is already 400 or less signatures.
ParlaMint-BG_2015-07-21.u100	Any other MPs for a statement? I won't. The debate is closed. Let's move on to the vote. I put to the vote the proposal of the MP Georgi Kadiev, which the Commission does not support. They voted 119 MPs: for 5, against 54, abstention 60. The offer is not accepted. I shall put to the vote § 4 in the version of the Commission report. We vote, fellow Members. They voted 111 MPs: 88, against 12, abstention 11. The motion is accepted.
ParlaMint-BG_2015-07-21.u101	Proposal of the MPs Borislav Borisov and a group of MPs under § 4. The Commission supports the proposal in principle. The Commission shall, in principle, support the text of the importer and propose the following version of § 4, which shall become § 5: .................................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 14 the following 1. A new para is being created. 2: The time limits referred to in paragraph 2 shall be as follows: 1 shall not apply where elections are produced within one year from the date of promulgation of the decision of the National Assembly, with the exception of partial and new elections for municipal councillors and mayors. In this case, the national referendum and elections are produced on the same date. 2. So far, the Al. 2 becomes para. 3 and in it the word "off' is replaced by "non-workable'. ...............................................
ParlaMint-BG_2015-07-21.u102	Statements? Mr. Stoilov, after him, Mr. Popov.
ParlaMint-BG_2015-07-21.u103	Madam President, ladies and gentlemen of the House! I'm making an editorial proposal. 1, para. 2 the word "one year" to be replaced by "six months." The inclusion of a requirement when there is a decision to hold a referendum and elections are organised next year, the referendum to be held with the elections, means to delay the expression of the will of citizens by about one year. This, in my opinion, is not in the interest, but to the detriment of direct democracy. It is appropriate that when this deadline is not too big and I think that half a year is enough time not to organise such campaigns twice, people should vote twice, but what prevents if at the beginning of the year a referendum is to be held and at the end of the year elections, or vice versa, all this should be pushed at the expense of the referendum at the later date? In many cases, the topics of the referendum and the election campaign have nothing to do with it. The organisation of the referendum is not so complicated and I think that we should generally allow such flexibility, but it, again, should not be for about a year. That is why I am asking you to support this change. It is in the interests of the citizens. It is in the interest of both direct and representative democracy, and not to stick in this way almost always referendums with elections. In some cases, this is even not necessary. I do not want to give examples of European practice where, on some important topics, issues are deliberately taken out so as not to affect the results of the referendum from the momentary moods expressed in the elections. There are also examples showing that referendums can be organised quite urgently. I do not appeal to such an extraordinary urgency, but this proposal I think is much better than this relatively long one-year term. At a time when all life is speeding up, the dynamics of all relations are increasing and thus we will meet expectations, especially when it comes to citizens' initiative, but also other subjects, when they have proposed a referendum, and this is adopted by Parliament, to find the most appropriate time for the organisation of both the referendum and the elections. Thank you.
ParlaMint-BG_2015-07-21.u104	- What's the line? I won't. Any other MPs? Mr. Popov, come in.
ParlaMint-BG_2015-07-21.u105	Thank you, Madam President. It's bad legislation that's being done in connection with a particular case, hell of a hock. This is exactly the case with the change of art. 14. The Commission's proposal states that the time limits under para. 1 shall not apply where elections are produced within one year from the date of promulgation of the decision by the National Assembly, except for partial new elections for municipal councillors and mayors. The current art. 14 in the Law states that the President of the Republic within one month of the promulgation of the decision of the National Assembly to produce a referendum determines the date of a referendum which cannot be earlier than two and later than three months from the date of the promulgation of the decision of the National Assembly. This is actually the stumbling block of the ruling and the president's stone, precisely this term, and the proposal aims to push forward the President's questions and the combination of elections two in one in the upcoming local elections and referendum. I ask myself: in the end, the National Assembly is a performer of the will of the President and of his questions and, in the end, what republic are we, Presidential or parliamentary? And how is it possible in a national referendum to mix issues of national importance with issues of local importance and local referendums? My colleague Stoilov was right in his proposal, otherwise, if this is how we adopt the text, we will in fact please Mr. President and his questions, and, again, I repeat, such legislation created only for a particular case is by no means good. Thank you.
ParlaMint-BG_2015-07-21.u106	Any other speeches? First lines to Mr. Popov, is there? I won't. Any other MPs? I won't. We're closing the debate. We're going to vote. I put to the vote the editorial proposal of Mr. Yanaki Stoilov, which he proposes in § 5, item 5. 1, para. 2 instead of the text, a one-year term is to be a six-month term. We vote on Yanaki Stoilov's proposal. They voted 117 MPs: 29, Against 19, abstention 69. The offer is not accepted. It's a re-vote.
ParlaMint-BG_2015-07-21.u107	Thank you, Madam President. I am doing a re-voting procedure. My colleague Bozhinov failed to exercise his right to vote. [[Radio.]]
ParlaMint-BG_2015-07-21.u108	Oh, how distracted this colleague of God's is.
ParlaMint-BG_2015-07-21.u109	But don't worry. The proposal by colleague Stoilov does not really exclude the production of two elections in one, the upcoming local elections with a referendum. Here we are talking about cutting the deadline from one year to six months, but a national referendum cannot always be bound by upcoming elections, whatever they were, and mixing at all the topics of direct democracy and representative democracy. So, please, think about it and reschedule. I am doing a re-voting procedure and support the proposal of colleague Yanaki Stoilov. Thank you.
ParlaMint-BG_2015-07-21.u110	That was a request for a re-vote. We are currently in the mode of re-voting Mr. Yanaki Stoilov's editorial proposal. They voted 123 MPs: 29, against 44, abstention 50. The offer is not accepted. We are now voting § 5 in its version on the Commission report. Vote 124 MPs: 100, against 22, abstention 2. The motion is accepted.
ParlaMint-BG_2015-07-21.u111	Madam President, honourable Members! Paragraph 5? a proposal of the MPs Anna Alexandrova and Svilen Ivanov. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 5, which shall become § 6: ........................................................... In Article 4 (1) (b), point (c) is replaced by the following: 16 the following amendments and additions are 1. A new para is being created. 2 and 3: In support of the issue or questions of the referendum and of the alternative position, parties, coalitions and committees may be registered. During the simultaneous production of national referendums and elections, parties and coalitions registered in the Central Election Commission for participation in the elections can use their registration in the information and clarification campaign to produce the national referendum. (3) The parties, coalitions and initiative committees under para. 2 who are not entitled to state subsidy under the Law on Political Parties, are entitled to funds for media packages of 40 000 BGN, which are provided and spent in accordance with art. 178 of the Election Code. 2. Previously on AMC's... 2 and 3 become respectively. 4 and 5.
ParlaMint-BG_2015-07-21.u112	Statements? I won't. I shall put to the vote § 6 in its version on the Commission report. They voted 129 MPs: 111, against 13, abstention 5. The motion is accepted.
ParlaMint-BG_2015-07-21.u113	Proposal of the National Representative Georgi Kadiev: New Paragraph 5a is being created: sssssssssssssssssssssssssssssss. A new article shall be created. 16a: Art. 16a. (1) In national and local referendums may be voted with the newsletter through the sections of the country and abroad, as well as remotely by electronic signature or by Personal Identification Code issued by the National Revenue Agency. (2) The electronic vote shall be equivalent and shall be produced jointly with the vote by paper ballots on the basis of universal, free, equal, secret and directly selective law. (3) The general requirements relating to the vote by paper ballots are mandatory for electronic voting. (4) Citizens shall vote by choice either electronically or by paper ballots only. § 5b. In the beginning of art. 17, para. In the case of a vote by paper ballots, 1 is added. § 5c. A new article shall be created. 17a: Art. 17a. (1) Any Bulgarian citizen with a right to vote may vote in a national and local referendum remotely by electronic means. There's a repeating numbering here, and there's another reference to para. 1, clearly referring to para. 2: Anyone wishing to vote electronically shall submit an application for this by electronic means no later than two weeks before the referendum is held. (3) Where an application for a vote is received electronically under para. 3, the voter is deleted from the electoral list at a permanent address by the municipal administration at a permanent address, and the reason for the deletion is noted in the section "Notes'. (4) The vote of each voter voted electronically shall be reported in the election area at his permanent address. § 5d. A new article shall be created. 17b: Art. 17b. (1) Each voter voting electronically shall be identified by entering a name, surname, surname, surname, EGN, permanent address and electronic signature or Personal Identification Code issued by the National Revenue Agency. (2) The software system shall enable the voter to read the question or questions to which the voter must answer and allow for a choice between two horizontally placed circled fields with the inscriptions "to" and "not" in them. (3) The words "to" and "not" shall be written in the same large font. (4) In cases where the referendum is produced with more than one question, all questions shall be written consistently, followed by the order of the paper ballot. (5) In cases where the referendum is produced with more than one question, the voter shall not be obliged to answer all questions. § 5e. In the beginning of art. 18, para. 1 shall be added "In the case of paper ballots' and the existing text shall continue. § 5f. A new article shall be created. 19a: Art. 19a. An electronic voice is invalid when there is no answer to any question raised in the referendum. The Commission does not support the proposal.
ParlaMint-BG_2015-07-21.u114	Statements? I won't. I put to the vote the proposal of the MP Georgi Kadiev, which the Commission does not support. We vote, fellow Members. They voted 131 MPs: 10, against 52, abstention 69. The offer is not accepted.
ParlaMint-BG_2015-07-21.u115	Proposal of the MPs Anna Alexandrova and Svilen Ivanov. The Commission supports the proposal. The Commission proposes to create a new § 7. .................................................... In Article 4 (1) (b), point (c) is replaced by the following: 22 words for the whole country are deleted and the word "three" is replaced by "five."
ParlaMint-BG_2015-07-21.u116	Statements? I won't. We are voting § 7 in its version on the Commission report. They voted 124 MPs: 100, none, abstention 24. The motion is accepted.
ParlaMint-BG_2015-07-21.u117	The proposal of the National Representative Georgi Kadiev is created a new § 5g: sssssssssssssssssssssssssssss. In Article 4 (1) (b), point (c) is replaced by the following: 23 the following amendments shall be 1. Paragraph 1 is amended as follows: The proposal, subject to the referendum, is adopted if no less than 25 per cent of the voters have participated in the vote and if more than half of the voters voted in the referendum. 2. Paragraph 3 is amended as follows: When less than 25 per cent of the citizens with electoral rights have participated in the vote, but more than 15 per cent of the citizens with electoral rights and if more than half of those who participated in the referendum have voted in the vote, the referendum proposal shall be submitted to the National Assembly, which shall be decided within three months on the matter of the referendum. The National Assembly may reject the decision of the referendum by a qualified majority of two thirds of all Members of the National Assembly. The Commission does not support the proposal.
ParlaMint-BG_2015-07-21.u118	Statements? I won't. We are voting on Mr. Kadiev's proposal, not supported by the Commission. [[Reference between the rapporteur and the President.]] Mr. Kadiev proposes a new § 5g for changes in art. 23 in two points. Are you proposing a separate vote on the individual points? These are separate proposals, albeit increasingly art. 23. We'll read them separately and vote them separately. I get it. We are voting on the proposal of the National Representative Georgi Kadiev for changes in art. 23, not supported by the Commission. They voted 129 MPs: 10, against 52, abstention 67. The offer is not accepted.
ParlaMint-BG_2015-07-21.u119	Proposal of the Parliamentary Representative Iskren Veselinov and a group of Members of Parliament is created a new § 5a: sssssssssssssssssssssssssssssss. In Article 4 (1) (b), point (c) is replaced by the following: 23 At the same time a national referendum and local elections for participants in the referendum are accepted all those who have appeared in the polls and signed the electoral list. The Commission does not support the proposal.
ParlaMint-BG_2015-07-21.u120	The motion has been withdrawn.
ParlaMint-BG_2015-07-21.u121	Proposal of the Parliamentary Representative Borislav Borisov and a group of MPs is created a new § 6 and § 6 becomes § 8: ........................................................... In Article 4 (1) (b), point (c) is replaced by the following: 23: 1. Paragraph 1 is amended as follows: The proposal, subject to the referendum, is adopted if no less than 40 per cent plus one vote by the citizens with electoral rights and no less than half plus one vote for questions under art. 153 of the Constitution and if more than half of the voters took part in the referendum were voted by 2. Paragraph 3 is amended as follows: If less than 40 per cent of the citizens with electoral rights and less than 50 per cent for questions under art. 153 of the Constitution, but more than 20 per cent of the citizens with electoral rights, and if they voted more than half of the participants in the referendum, the proposal subject to the referendum shall be submitted to the National Assembly and shall be dealt with in accordance with art. 52. The Commission does not support the proposal.
ParlaMint-BG_2015-07-21.u122	Statements? Mrs. Todorova.
ParlaMint-BG_2015-07-21.u123	Thank you, Madam President. Dear colleagues, ABB is the only party that actually, not declaratively, offers a significant reduction in the threshold for the validity of referendums, offering a criterion of 40 per cent plus one of the voting rights to be a criterion for the validity of referendums. We propose that this be a common criterion in order to have stability and predictability in holding the referendums. Although our proposal dropped after a strange re-voting in the Chamber a few months ago, I take the opportunity to thank GERB for accepting our proposal in their bill and offering it when the referendums are held on their own. I take the opportunity to say a few words about the next point, if you will allow me, as it is related to this, so that I do not go out twice in the stands. We are afraid that binding the threshold of referendums to some type of election will create chaos and problems in holding elections and will make a different burden on individual referendums. A different burden will be on both referendums produced on their own, with those held with some type of elections and between different types of elections. If we accept the legitimacy of the referendums the activity of local elections, we will have two signatures: one for those who voted in Bulgaria, the other for those who voted abroad. However, the threshold will be for those who voted in Bulgaria because those who are abroad do not concern them with the rule of seclusion. Thus, we can practically have more ballots submitted for the referendums, less for the local elections, but the quorum is for those for the local elections. This creates conditions for inequality between the different referendums. We fear that, when there are local elections, the quorum will be very high; parties will be able to dictate to their voters how to vote, to submit or not to submit ballots or to referendums, and this could vitiate the referendums. On the other hand, when there are European elections, when the quorum is expected to be very low, then there will be many proposals for a referendum and the idea of a referendum can be compromised. It makes sense that the threshold for the validity of referendums should be bound only by national elections in so far as the referendums are held on matters of competence of the National Assembly and for this reason not to challenge the legitimacy of the legislative power. Although I am not a supporter of this interpretation, as the results of national elections are very common and consistent depending on the political, economic situation, but it still makes sense that the quorum of referendums should be bound only by national and not local and European. I therefore call for the support of ABB's proposal for a firm, stable 40% threshold plus one of those eligible for vote, and in the electoral legislation next year to resolve the problem with Bulgarians abroad who will vote in national elections because we cannot, with the instrument of the Law on the conduct of referendums, solve other problems "how Bulgarians abroad to vote." I call for our proposal to be supported, the other to be postponed for later. Thank you.
ParlaMint-BG_2015-07-21.u124	Any lines to Mrs. Todorova? I won't. Any other MPs? Mr. Stoilov, come in for a statement.
ParlaMint-BG_2015-07-21.u125	Madam President, ladies and gentlemen of the Parliament, as Mrs. Todorova called on, I take the opportunity on behalf of our parliamentary group to state support for the proposal made by Mr. Borisov and a group of MPs. This proposal, on behalf of the ABB Parliamentary Group, is justified. The motives have been said and I share them almost entirely, but along with this, we also need to comment on the question of what the threshold for validity of the referendums should be. Perhaps it is really not good that there are people in the National Assembly who have been more mandates because this is how memory is alive. We are now discussing issues that were discussed here at the Forty National Assembly. And to remind you, because at the time there was no political party ABB, but there was a policy Georgi Parvanov and the authorship of the current text, should be due to him, it is his due, because it is very much original to link the validity of the referendum not just to the number of voters involved, but to make any comparison between the last parliamentary elections and the referendum, which took place some time after them, to gather the same number of participants in these parliamentary elections in order to have validity. Then this text became possible because the DPS zealously supported him, in the face mainly then of Hristo Biserov. The National Assembly, which had a large number of parliamentary groups because of the different views in these parliamentary groups, formed a majority and today we have an almost insurmountable threshold for holding referendums. So you are properly revised today, I would call it a wrong decision, which is not in any support of direct democracy, although it was accepted under the slogan for the development of direct democracy. I believe that what is now being proposed is really achieving a good balance between the representativeness of the referendum and, at the same time, stimulating citizens to participate and knowing that the vote they have expressed is highly likely to produce the desired effect to achieve this solution. For this reason, our parliamentary group will support this decision. At the time, our initiative was like a minimum threshold for the validity of the referendum to have at least 30% or about one third of the voters, but I think that, under our conditions, the step from one threshold, which is practically somewhere between 50 and 60%, in view of the average participation in the parliamentary elections and 40%, is a significant step towards the development of direct democracy. I also share that the requirement must be unified and not be bound by the different types of national elections or their combination. Thank you.
ParlaMint-BG_2015-07-21.u126	Any lines to Mr. Stoilov? Here you go, Mr. Kazak.
ParlaMint-BG_2015-07-21.u127	Thank you, Madam President. Dear Mr. Stoilov, I do not know if former President Georgi Parvanov is the author of this idea, but this is the most appropriate, most justified criterion for determining the validity of a referendum. It is no coincidence that the criterion is chosen as many citizens as they have participated in the last parliamentary elections. Because during a referendum the real people legislate personally, directly, not through his elected body National Assembly, but he legislates directly. After the legislation adopted by him by a referendum, which then becomes compulsory and already the National Assembly is obliged to put it in legal form, after he will be by the power of law and above those who the National Assembly votes, his legitimacy must be at least as great as the legitimacy of the indirect................................ the National Assembly................................... That is why this criterion is chosen, it is not arbitrary, it is not chosen so randomly or in order to hinder the holding of the referendum. He was chosen precisely for this purpose: when the people legislate directly, the legitimacy of his decisions must be at least as great, if not greater than the legitimacy of the laws of the National Assembly, which is currently in session. Thank you.
ParlaMint-BG_2015-07-21.u128	That's a first line. Second line? I won't. A hole, Mr. Stoilov.
