ParlaMint-BG_2015-09-30.u1	Hey, guys. Good afternoon. Please register. Abort registration. Second attempt.09.10 a.m. (09.11)
ParlaMint-BG_2015-09-30.u51	Article 322? a proposal from the National Representative Milen Mihov. The Commission supports the proposal in principle. A proposal from the MP Milen Mihov, made in accordance with the order of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly: The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. Art. 322, which shall become Art. 322. 325. Art. 325. (1) Spiritual schools shall be opened, converted, changed and closed by a decision of the Council of Ministers on a proposal of the Minister of Education and Science, except for the cases under art. 324, para. 3, p. 3 and para. 4. c. 4. (2) The procedure for issuing the order for detection, conversion and change shall begin at the written request of the relevant central authority of a recognised religious institution in the country. (3) The procedure for issuing the order for the closing of spiritual schools shall begin: 1. at the request of the relevant central authority of the recognised religious institution in the country; 2. on a proposal from the regional education management after verification; 3. on a proposal from the authority that recognised the religious institution. Art. 323 - a proposal from the MP Milen Mihov and a group of MPs: Art. 323, para. 1, t. 4 to acquire a follow-up version:... data on the professional qualification and biography of the principal of the school................................................................................................................................................................................................................................................. To create a new paragraph 5 with the following text: Points 5-9 becomes 6-10. The Commission does not support the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. Art. 323, which shall become Art. 323. 326: Art. 326. (1) The request for the opening and conversion of spiritual schools shall contain: 1. details of the relevant central authority of the recognised religious institution in the country; 2. the name of the spiritual school; 3. seat, official address of the spiritual school and address of the building (s) where the training will be carried out and the identification of the real estate according to art. 26 of the Cadastral and Property Register Act; when using a non-self-sufficient part of the building, the premises shall be specified; 4. details of the principal of the school; 5. profiles or professions and organisation of the school day; 6. the academic year from which the opening or transformation is proposed; 7. number of classes and classes for each class in which training will be organised during the first year after the opening or conversion; 8. information on the number of students to be trained at the school and information on the possibilities for transferring them to conversion; 9. proposal for the storage of the mandatory documentation... upon conversion. (2) The request for a change shall contain: 1. a detailed description of the requested change; 2. reasons for the need for change; 3. an indication of the school year from which the change is proposed. (3) The request for closure shall contain: 1. reasons for the need for closure; 2. an indication of the school year from which closure is proposed; 3. information on the direction of students and on the preservation of school documentation. (4) The documents defined by the state educational standard for the institutions under art. 22, para. 2, c. 11. Art. The Commission supports the text of the importer in principle and proposes the following version of art. 324, which becomes art. 327: Art. 327. (1) When examining and evaluating the documents for opening, transformation, change and closure of spiritual schools shall apply respectively art. 315-320. (2) The specific conditions for the detection, transformation, change and closure of spiritual schools shall be determined by the state educational standard for the institutions in the pre-school and school education system. ............................................... Art. 325 - proposal of the MP Milen Mihov. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 325, which becomes art. 328: Art. 328. (1) The decision to open or convert a spiritual school other than the props under art. 321, para. 1 contains and: 1. details of the recognized religious institution in the country and its central body; 2. the profiles or professions in which the training is organised; 3. the right of the school to issue official documents for a completed class, for a degree of education and for professional qualification. (2) The decision to close a spiritual school shall contain the props under art. 322, para. 1, t. 1-3. (3) In the cases referred to in art. 324, para. 4 t. 4 The spiritual school shall be closed from the entry into force of the act imposing the restrictive measure. ............................................... Art. 326? a proposal from the MP Milen Mihov and a group of MPs. The motion has been withdrawn. The Commission shall in principle support the text of the importer and propose the following version of art. Art. 326, which becomes Art. 326. 329: Art. 329. (1) In the event of a change of the director of a spiritual school, the relevant central body of a recognised religious institution shall inform the Minister of Education and Science before the conclusion of a contract with the director. (2) To the notification under para. 1 shall apply the documents defined by the state educational standard for the institutions under art. 22, para. 2, p. 10. (3) If necessary, the Minister of Education and Science may request additional information from the relevant central authority of a recognised religious institution. (4) The work contract with the Director may be concluded after authorisation of the Minister of Education and Science. (5) The Minister of Education and Science shall issue or refuse to issue the authorisation under para. 4 within 14 days of the entry of the documents under para. 2 or additional information under para. 3. (6) On the basis of the authorisation under para. 5 the change of the Director shall be entered in the register of institutions in the system of pre-school and school education. ...............................................
ParlaMint-BG_2015-09-30.u52	Statements? I won't. We vote on the proposals of Mr. Milen Mihov and a group of MPs under art. 323, not supported by the Commission. Vote 74 MPs: 3 against 11, abstention 60. The offer is not accepted. We are voting for members with numbers 326, 327, 328, 329 on the Commission report. Vote 81 MPs: 77, none, abstention 4. The motion is accepted. Colleagues, there's a doubt that we didn't vote. 325. Vote art. 325. Vote 85 MPs: 78, no objection, abstention 7. The proposal is accepted, and with this, the whole Section II. We're moving on to Section III.
ParlaMint-BG_2015-09-30.u53	"Department III ". The Commission shall support the text of the importer for the name of Section III. The Commission shall support the text of the importer for art. 327, which becomes art. 330. Under art. 328 has a proposal from MP Willi Lilkov and a group of MPs. The Commission supports the proposal. A proposal from the MP Milen Mihov and a group of MPs. The motion has been withdrawn. The Commission shall in principle support the text of the importer and propose the following version of art. 328, which becomes Art. 331: Art. 331. (1) Private kindergartens and private schools may carry out their activities only after entering the register of institutions in the pre-school and school education system and issuing a certificate of entry by the Minister of Education and Science or by an official authorised by him. (2) The entry into the register of institutions shall be made on application of the private kindergarten or private school containing: 1. details of the legal person; 2. the unique identification code or the BULSTAT code; 3. details of the director of kindergarten or school; 4. the school year from which entry is requested in the register of institutions; 5. type of school under art. 38, para. Art. 1 and 2 or art. 39, para. 2, p. 1-3; 6. forms of training and organisation of the school day; 7. profiles or professions; 8. the seat and official address of the kindergarten or school and address of the building/buildings where the educational process will be conducted, and the identifier of the real estate according to art. 26 of the Cadastral and Property Register Act; when using a non-self-sufficient part of the building, the premises shall be specified; 9. name of kindergarten or school. (3) To the application under para. 2 the documents defined by the state educational standard for the institutions in pre-school and school education shall be applied. (4) Private kindergartens and schools under art. 40, para. 4 submit to their application and written evidence certifying their right to conduct training in accordance with the requirements of the foreign education system. (5) A declaration shall not prove an educational degree, professional qualification, teaching experience, as well as other facts and circumstances for which another order has been laid down by law. The Commission shall in principle support the text of the importer and propose the following version of art. Article 329, which becomes Article 329. 332: Art. 332. (1) Applications for entry into the register of institutions shall be submitted year-round and the applications submitted by 31 January of the calendar year shall be considered for the upcoming school year unless their examination is requested for a later school year. (2) The examination and evaluation of applications and the documents attached thereto shall be subject to art. 316-318. The Commission shall in principle support the text of the importer and propose the following version of art. 330, which becomes Art. 333: Art. 333. (1) The Minister of Education and Science shall, within one month, issue an order authorising or refusing to authorise entry into the register of institutions. (2) The term under para. 1 shall start from the date of removal of the deficiencies under art. 318, para. 1 or from the expiry date of their suspension. (3) The order under para. 1 shall be reported under the terms and conditions of art. 61 of the Administrative procedural code. (4) The principle of tacit consent shall not apply when issuing an authorisation for entry and an entry certificate. Under art. 331 has a proposal from the MP Lutvi Mestan and a group of MPs. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 331, which becomes art. 334: Art. 334. (1) The Minister of Education and Science shall permit entry in the register of institutions where no non-compliance with the regulatory requirements has been identified during the examination and evaluation of the documents submitted or the non-compliance found has been resolved within the time limit. (2) The authorisation under para. 1 contains: 1. the name, seat and official address of the kindergarten or school; the single identification code or the BULSTAT code; 2. the address of the building in which the educational process will be conducted, as well as the identifier of the real estate according to art. 26 of the Cadastral and Property Register Act; when using part of a building, the premises shall be specified; 3. the type of school under art. Art. 38 or art. 39, para. 2, p. 1-3; 4. the profiles or professions in which the training is organised; 5. the right of the school to issue official documents for a completed class, for a degree of education and for professional qualification. (3) Based on the authorisation under para. 1 Private kindergarten or private school shall be entered in the register of institutions in the system of pre-school and school education. (4) The Minister of Education and Science or an official authorised by him shall issue a certificate of entry under para. 1 within 7 days of its completion. (5) The effect of the registration and the certificate shall be unlimited. The Commission shall in principle support the text of the importer and propose the following version of art. 332, which becomes art. 335: Art. 335. The Minister of Education and Science shall refuse entry in the register of institutions where: 1. the findings of non-compliances have not been resolved or have not been resolved within the specified time limit; 2. in the cases referred to in art. 318, para. 2, the applicant has not submitted the relevant documents by 1 July before the start of the school year for which opening, change or conversion is requested. The Commission shall in principle support the text of the importer and propose the following version of art. Art. 333, which shall become Art. 333. 336: Art. 336. (1) Changes may be made in private kindergarten or private school related to: 1. the name (the firm), the seat, the official address; 2. the director of kindergarten or school; 3. the premises or buildings where the educational process is conducted; 4. the profiles or professions in which the training is organised; 5. the author's pre-school curricula, the author's vocational training programmes respectively; 6. type of school under art. 38, para. 1 and 2 or under art. 39, para. 2, p. 1-3. (2) The changes under para. 1 shall be entered in the register of institutions in the pre-school and school education system on application of the private kindergarten or private school. (3) The application for the registration of a change of the private kindergarten or private school shall contain: 1. a detailed description of the requested change; 2. reasons for the need for change; 3. an indication of the school year from which a change under para. 1, t. Four-six. (4) To the application under para. 3 the documents set out in the state educational standard for the institutions shall apply. (5) The applications under para. 3 shall be imported and examined year-round, with the exception of applications for a change under para. 1, t. 4-6 which are imported and dealt with within the time limits laid down in art. 332, para. OJ L 347, 20.12.2013, p. The Commission shall in principle support the text of the importer and propose the following version of art. Art. 334, which becomes Art. 334. 337: Art. 337. (1) When examining and evaluating applications for changes under art. 336, para. 1, t. Articles 1, 3-6 and the documents attached thereto shall apply respectively. 316-318, 333, Art. 334, para. Art. 1 and Art. 1 335. (2) The authorisation to enter a change under art. 336, para. 1, t. 4-6 contains the year from which the change is allowed. The Commission shall support the text of the importer for art. Art. 335, which becomes Art. 335. 338. The Commission shall in principle support the text of the importer and propose the following version of art. Art. 336, which becomes Art. 336, 339: Art. 339. (1) Applications for a change to the Director shall be submitted before signing a contract with the Director. (2) To the application under para. 1 shall apply the documents set out by the state educational standard for institutions. (3) If necessary, the Minister of Education and Science may request additional information from the private kindergarten or private school. (4) The contract with the Director under para. 1 may be concluded after the permission of the Minister of Education and Science under para. 5. (5) The Minister of Education and Science shall issue or refuse to grant permission to conclude the contract with the Director under para. 1 within 14 days of the entry of the documents under para. 2 or additional information under para. 3. (6) On the basis of the authorisation under para. 5 the change of the Director shall be entered in the register of institutions in the system of pre-school and school education. The Commission shall support the text of the importer for art. 337, which becomes art. 340. The Commission shall in principle support the text of the importer and propose the following version of art. 338, which becomes art. 341: Art. 341. Where the private kindergarten or private school is deleted from the register under the conditions and under the order of art. 340, they may apply for a new entry not earlier than one year after the cancellation of the entry certificate. The Commission shall support the text of the importer for art. Art. 339, which becomes art. 342. The Commission shall in principle support the text of the importer and propose the following version of art. 340, which becomes Art. 343: Art. 343. (1) Where the private kindergarten or private school are written off from the register of institutions under the conditions and under the order of art. 342, they may apply for a new authorisation without a time limit. (2) In the cases under para. 1 applications shall be dealt with under light conditions laid down in the state educational standard for institutions in the pre-school and school education system. (3) Under the conditions laid down in para. 2 applications of newly established or admitted legal persons shall also be considered in the case of the transformation of a private kindergarten or private school by means of infusion, merger, separation or separation. Under art. There is a proposal of the National Representative Snezana Dukova, made in accordance with Article 341. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 341, which becomes art. 344: Art. 344. (1) The specific terms and conditions of entry, changes, deletion and withdrawal from the register of the institutions of private kindergartens and private schools shall be determined by the state educational standard for the institutions in the pre-school and school education system. (2) For examination of applications and evaluation of documents under art. Article 331 336 and for issuance of certificates under art. 334, para. 4 and 338, para. 2 The Ministry of Education and Science shall collect fees in the amount fixed in the tariff under art. 300, para. OJ L 347, 20.12.2013, p.
ParlaMint-BG_2015-09-30.u54	Thank you. Statements, honourable Members, by the name of Section III, and by Articles 330 to 344 inclusive. Mr. Bayraktarov, you have a chance to speak.
ParlaMint-BG_2015-09-30.u55	Thank you, Mr. Chairman. I would like to take account of the texts of art. 327 on the report, which becomes art. 330 and, to be exact, para. 3 of this article, which reads as follows: 1 can't have any other subject of activity other than kindergarten or school activity, and I think it might be more right to be more right to work at only one kindergarten or school. Dear colleagues, so read the text looks really good. However, I ask the importers and all of you: which law restricts you to register the number of legal entities and you to be their owner? There is no such law as to limit you. I can register the legal entity with it to register in the order of a private kindergarten or private school, and now, notice here comes the thin moment. With the same documents, I will register the other 10. 15 or 20 as I estimate, with different legal entities. However, the moment comes when I, as managing all these legal entities, impose a policy that turns out to be wicked, violates the law, but only one kindergarten or only one school will be closed. The rest, until checked, will continue to develop, for example, these vices, will continue to carry out these violations, which is now becoming a precedent. We give the opportunity with this text finally in para. 3 to carry out this outrage. Therefore, dear Mr. Chairman, I am proposing in para. 3 after the word "school" the text can only work at one kindergarten or school. Why? First, I will consider the positive part of this issue. If a team of experts and specialists are very good, decide to open such a private kindergarten or school, who is able to ban them from creating a chain of kindergartens and schools? Who? Or can they be fit and capable only within one kindergarten and one school, and can't be fit and capable of two-three-five across the country? By the way, we now have this precedent for legal entities to use the name of already created good school names, especially in language schools. I will not give you an example so that I do not advertise, but I will say it in a more typical way: a private school has created a good name for itself for a good language training, and it turns out that twenty-several legal persons use this name all over the country "Asia" and people think that they go to those people who are the experts, specialists who will give good training, and in fact it is not. That's why I think these last few words of para are good. 3 in art. 327 with a new numbering 330 to drop out so that we can really clear these texts, have the opportunity for good control and have the opportunity for parents, children, students to find out who are capable and who to go to and pay to train. Thank you.
ParlaMint-BG_2015-09-30.u56	I get it, Mr. Bayraktarov. Are there any lines to that statement? Mr. Mestan, you have the floor for a line.
ParlaMint-BG_2015-09-30.u57	Thank you, Mr. Chairman. Dear Mr. Bayraktarov, your proposal is untenable, and why, you will understand if you read the Law in full. It is useful to read the Law in full because it does not consist of a provision that you dispute. Otherwise, you are in one condition, which I will now quote to you: a deficit of lack of shortage. That's the phrase you used today. Think about it, think about it, because it's a terrible tautology. These three words mean the same thing to you when you find yourself in a state of pseudo-intelligent people who use another common expression as the foundation based on the temmels, right, a deficit of lack of shortage. The expression is yours. Thank you.
ParlaMint-BG_2015-09-30.u58	Thank you, Mr. Mestan. Second line? I won't. Do you want a hole? The Law on Education implies, however, a conversation about semantics and words, but I hope we still stick to the focus of the Law itself. Here you are, Mr. Bayraktarov.
ParlaMint-BG_2015-09-30.u59	Thank you, Mr. Chairman. It is nice when someone comes out to do lines, to really do lines, not to make qualifications, and you were obliged to interrupt this speech, Mr. Chairman. Secondly, there's a shorthand and I've been telling you since yesterday to learn to read your shorthands and remember the words you spoke. Otherwise, you are experiencing a very unpleasant syndrome, and it is called Older Dementia. [[(Shouting, cheering, cheering, cheering, ……]]
ParlaMint-BG_2015-09-30.u60	Mr. Bayraktarov, you asked...
ParlaMint-BG_2015-09-30.u61	Don't interrupt me, because there were qualifications just now, there were all kinds of states and definitions, so be president the same for everyone!
ParlaMint-BG_2015-09-30.u62	Mr. Bayraktarov! Follow the rules, please!
ParlaMint-BG_2015-09-30.u63	What's more, elderly dementia is more familiar with the general public as old age stupidity... [[The National Representative Lutvi Mestan applauds and leaves the Chamber.]] But, you know, I don't want to get into these things, because when you get into a state of old age stupidity, people usually get sick from another unpleasant disease, and it's called the Varicosia. Okay. But let's not get into these situations because it's really getting funny.
ParlaMint-BG_2015-09-30.u64	I remind you to stick to the subject! Otherwise, I'll take your word for it.
ParlaMint-BG_2015-09-30.u65	As regards the proposal I have made, it is related to the relevant section on the creation of private kindergartens, the whole mechanism for their registration and of private schools, as well as the withdrawal of the permission to carry out the activity. It is regulated only in this section and not in the entire Law, sir!
ParlaMint-BG_2015-09-30.u66	Mr. Bayraktarov, I would take note of your recommendation, even though you expressed it in the back, but I beg you, if you want no qualifications, not to use them yourself! [[Reply from the National Representative Dimitar Bayraktarov.]] Please don't engage in dialogue with me. Ladies and gentlemen, any other speeches? I can't see. Let's move on to the vote. First, we vote on what Mr. Bayraktarov has made editorial proposal in art. 327, para. 3 The text after the school, that is to say, can only work in one kindergarten or school, to be dropped out. We are voting for an editorial proposal by Mr. Bayraktarov. Vote 72 MPs: 5 against 23, abstention 44. The offer is not accepted. We vote on the name of Section III together with the texts of art. Article 330 344 including, consistently and chronologically, where supported and where the Commission has edited importing members. Vote 77 MPs: for 76, against none, abstention 1. The proposals have been accepted. Ms. Karayancheva's procedure.
ParlaMint-BG_2015-09-30.u67	Dear Mr. Chairman, honourable Members! I propose on the grounds of art. 80, para. 1 of the Rules of Procedure to extend the period between the first and second reading of the Law on the Conservation of Agricultural Land by three days, which means until Monday, 5 October 2015, 18.00 hours.
ParlaMint-BG_2015-09-30.u68	Thank you for your offer. A reverse opinion? I won't. I put to the vote the proposed procedure by Mrs. Karayancheva. They voted 83 MPs: for 83, against and abstention there is no. The motion has been adopted unanimously. Proceed with Section IV.
ParlaMint-BG_2015-09-30.u69	"Department IV " Register of institutions in the system of pre-school and school education. The Commission shall support the importer's text on the name of Section IV. Article 342. A proposal from the MP Milen Mihov and a group of MPs. The motion has been withdrawn. Proposal by the National Representative Valeri Jablyanov and a group of MPs: In Article 1, paragraph 1 is replaced by the following: 342, para. 1 is created t. 4. "4." State out-of-school centres on the basis of the order for their opening, conversion, changes and closure. The Commission does not support the proposal. Proposal of the MP Milen Mihov. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. Art. 342, which becomes art. 345: Art. 345. (1) The Ministry of Education and Science shall establish and keep a public register of institutions in the system of pre-school and school education, which shall include: 1. the state kindergartens, state and municipal schools on the basis of the order for their opening, transformation, changes and closure; 2. the spiritual schools on the basis of the decision of the Council of Ministers on their opening, transformation and closure; 3. private kindergartens and schools on the basis of the permission to enter, change, delete and discharge issued by the Minister of Education and Science; 4. specialized service units on the basis of the order for their opening, transformation, changes and closure; 5. the state and municipal centers for special educational support on the basis of the order for their opening, transformation, changes and closure. (2) The circumstances to be entered in the register under para. 1 as well as the order of entry shall be determined by a regulation of the Minister of Education and Science. Article 343. Proposal by the National Representative Valeri Jablyanov and a group of MPs: In Article 1, paragraph 1 is replaced by the following: IMO Res.MSC.98 (73) - (LSA Code) 8, 1 the words "Personal development support' shall be replaced by the words "out-of-school centres'. The Commission does not support the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. For the purposes of this Article, the following definitions shall apply: 346: Art. 346. (1) In each municipality is established and kept a register of the municipal kindergartens and centers for support for personal development, in which municipal kindergartens and centers for support for personal development are registered, with the exception of municipal centers for special educational support on the basis of the order for their detection, transformation, change and closure. (2) The circumstances to be entered in the register under para. 1 as well as the order of entry shall be determined by a regulation of the respective municipal council.
ParlaMint-BG_2015-09-30.u70	Thank you. Speeches, honourable colleagues? I can't see. Let's move on to the vote. First, we are voting unsupported by the Commission a text by the National Representative Valeri Zablyanov for Art. 342, para. 1 to create t. 4, we are voting unsupported by the Commission. Vote 80 MPs: 5 against 63 abstentions 12. The offer is not accepted. We are voting on the proposal by Valeri Zablyanov and a group of MPs for art. 343, not supported by the Commission. Vote 84 MPs: 5 against 62, abstention 17. The offer is not accepted. We vote on the name of Section IV, the wording of Articles 345 and 346, as amended by the Commission. They voted 83 MPs: 78, none, abstention 5. The proposals have been accepted.
ParlaMint-BG_2015-09-30.u71	"Chapter Nineteen" "Administrative-Criminal Provisions." The Commission shall support the importer's text on the name of Chapter Nineteenth. Article 344. A proposal from the MP Borislav Velikov and a group of MPs. The Commission supports the proposal in principle. Proposal by the National Representative Valeri Jablyanov and a group of MPs: In Article 1, paragraph 1 is replaced by the following: 344, para. 3 after the words the words of the Minister of Education and Science for the state institutions and the mayor of the municipality for the municipal institutions are added. In Article 4 (1) (b), point (c) is replaced by the following: 344, para. 4 the words "the minister/mayor of the municipality or officials empowered by them" shall be inserted after the words "the minister/mayor of the municipality." In Article 4 (1) (b), point (c) is replaced by the following: 344, para. 5 after the words "Budgetary revenue" the words "the education and science" or "the education and science" shall be added. In Article 4 (1) (b), point (c) is replaced by the following: 344, para. 5 words for support for personal development shall be replaced by the words "out-of-school centres." Alinea 6... new: (6) In cases where the parents (the guardians) are unable to pay the fines under para. 1 and 2 they are doing community service in the form and volume determined by the mayor of the municipality. The Commission does not support the proposal. A proposal from the N.S.P. Stephanie Mikhailova, made in the order of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 344, which becomes art. 347: Art. 347. (1) Parents who do not enroll their children, subject to compulsory preschool or school education, in kindergarten or school, shall be punished with a fine of 50 to 150 BGN. (2) Parents who do not ensure the presence of their children subject to compulsory pre-school education recorded in full-time, half-day or part-time form of organization in kindergarten or school or subject to compulsory school education recorded in daily, evening, remote or combined form of school education shall be punished with a fine of 50 to 150 BGN. (3) Parents who do not provide the presence of their children in the additional training under art. 124, para. 2, shall be punished with a fine of 50 to 150 BGN. (4) In the case of a re-enactment of the infringement under para. 1, 2 and 3 the fine is from 100 to 500 BGN. (5) The acts establishing the infringements under para. 1, 2, 3 and 4 shall be composed of officials appointed by the mayor of the municipality. (6) Criminal decrees shall be issued by the mayor of the municipality or by an official authorised by him. (7) The funds collected from fines shall be paid under the budget of the municipality concerned and shall be spent only on activities related to the support of equal access, as well as for the development of kindergartens, schools and centres of support for personal development. The Commission shall support the text of the importer for art. Art. 345, which becomes Art. 345. 348. The Commission shall in principle support the text of the importer and propose the following version of art. 346 which becomes art. 349: Art. 349. (1) Author or publisher of a cognitive book, textbook or study kit, which distributes the work in deviation from the approved project, without having the conditions under art. 161, para. 4, shall be punished with a fine, respectively with a penalty of 1000 to 5000 BGN. (2) In the case of re-enactment of the infringements under para. 1 a fine is imposed, a corresponding penalty, twice the amount. The Commission shall support the text of the importer for art. BEMP is to be applied in accordance with Article 4 (1) (a) of Regulation (EU) No 1308/2013. 350. The Commission shall in principle support the text of the importer and propose the following version of art. 348, which becomes art. 351: Art. 351. (1) Which does not comply with a mandatory prescription under art. 264, para. 3, is punished with a fine, respectively with a penalty of 1000 to 5000 BGN. (2) In the case of a re-enactment of the infringement under para. 1 a fine is imposed, respectively a double-size penalty. The Commission shall in principle support the text of the importer and propose the following version of art. 349, which becomes art. 352: Art. 352. (1) The acts for the identification of infringements under art. 348, 349, 350 and 351 shall be made up of officials appointed by the Minister of Education and Science and shall be issued by the Minister of Education and Science or by officials authorised by him. (2) The funds collected from fines and property penalties for the infringements under para. 1 shall be paid in revenue under the budget of the Ministry of Education and Science. The Commission shall support the text of the importer for art. Art. 350, which becomes art. 353.
ParlaMint-BG_2015-09-30.u72	Thank you. Colleagues, speeches? I can't see. Let's move on to the vote. We are voting on the proposal of MP Valeri Zablyanov and a group of MPs, not supported by the Commission. Vote 79 MPs: for 7, against 56, abstention 16. The offer is not accepted. We vote on the name of Chapter 19 and Articles 347 to 353 including, consistently, where they are supported by an importer and where they are edited by the Commission. We are voting for texts supported by the Commission. Vote 80 MPs: for 80, against and abstention there is no. The proposals have been adopted unanimously. Before I announce the break until 12:00, message: Dear colleagues, at 11.30 am today at the Club of the National Assembly a photo exhibition will be opened, revealing the beauty of Antarctica, the activities of the Bulgarian polar researchers and the acts of the National Assembly, with which Bulgaria becomes part of the Treaty on Antarctica. All MPs are invited to the opening. Holiday till 12:00. (After the break.)
ParlaMint-BG_2015-09-30.u73	Please allow the Members of the National Assembly to enter the Chamber, the sitting continues. Until we get together, one message: On 30 September 2015, the Council adopted Decision (CFSP) 2015/1333 [2] appointing the members and alternate members of the Committee of the Regions for the period from 30 September 2015 to 30 September 2015 on the conclusion, on behalf of the European Union, of the Agreement between the European Union and the Swiss Confederation on the Swiss Confederation's association with the implementation, application and development of the Schengen acquis. 82 of the Rules of Organization and Activity of the National Assembly, the MPs Georgi Kovachev, Petar Petrov, Georgi Nedev, Kancho Filipov, Rosen Petrov, Svetlin Tanchev withdrew the bill for amendment and supplement of the Law on excises and tax warehouses, No 554-01-69. Colleagues, in the meeting prior to the break in consultation with the stenogram it was found that I did not put two unsupported proposals to the vote of Mr. Zablyanov and a group of MPs who are on page. 341 of the report on Articles 301 and 303 by importer. I shall put to the vote Mr. Zablyanov's proposals and a group to amend art. Art. 301 and Art. 301 303 by importer not supported by the Commission. Please invite the Quaestors to the House. You know where to look after them after the break. There's no quorum. Abort the vote. In view of the strong movement of MPs in the Chamber, I shall put to the vote the proposals of Mr. Zablyanov and a group of MPs under art. 301 and 303 by importer not supported by the Commission. Vote 76 MPs: 10, against 52, abstention 14. The proposals have not been accepted.
