ParlaMint-NO_1998-11-05.ana.ud1513e42	The representative, Harald Tom Nesvik, will make a private proposal.
ParlaMint-NO_1998-11-05.ana.ud1513e871	Let me first on behalf of Karita Bekkemelm Orheim, Asmund Kristoffersen and myself take up the proposals No. 1-3, which is distributed in the seats of the representatives. Then I would like to thank the Council of State for the answer. I think the health minister's answer shows that there is a broad consensus both on these questions and on the political will to do something. I was quite lifted by several of the proposals for measures mentioned by the Council of State. I would like to say that some of the things that really mattered to me in the spring session were the letters I received from the desperate parents after I wrote an article about eating disorders. Several of them were about to give up, and it was not least about the relationship with the auxiliaries, with the health care system. Someone had lost their children, they had just starved to death. The parents had very little to do with. The despair and desperation were linked to a total lack of competent follow-up. And that's what we're talking about, not just being coerced once a week and going to a psychologist sometimes, but getting a proper, competent follow-up. It is important that we have been earmarked for mental health protection, and that we strengthen the psychiatry, as the Council of State also stressed. Competence in eating disorders is so much so that it is important that, within the designation of resources for children’s and adolescents’ psychiatry, we also label these kinds of disorders so that they do not drown in other children’s and youth’s psychiatry. With regard to the competence of the healthcare system in both the 1st and 2nd line services – and it's about somatic and psychiatry, i.e. not just the psychiatry – I think it's important, as I said in my post, that the primary doctors, she or he, decide a go to, like, the home doctor, have competence in this area. I am very pleased that the Council of State proposes to strengthen the treatment offer at Modum Bad. A daughter of a close political friend has for years walked out and in by various psychiatric institutions as a result of eating rejection, and it's only when she comes to Modum Bad that something happens. And this doesn't demean for other institutions, but I think that kind of competence needs to be spread to the rest of the health system. I want to challenge the Council of State in terms of our proposal on competence in the education system.
ParlaMint-NO_1998-11-05.ana.ud1513e884	With regard to the issue of skills development, I agree with the interpellant that there may be every reason to assess how this competence is being built today, not only through the provision of continuing training, which I had in my post, but also in the basic training of health professionals. I am committed to evaluating this issue in cooperation with other departments concerned. As regards the issue of setting up centres of excellence, my opinion is that it is necessary to have units of competence in the different health regions linked to treatment departments. How this should be organised in practice, I think it is natural to decide in the context of the specific plan that the Health Inspectorate has been asked to submit, where this will be more closely affected. As regards proposal No: 3, as far as I can judge, the plan we are preparing is already a response to that proposal. I also note with pleasure the consensus that it seems to be in today's debates about this field, and also about the strengthening of the treatment offer and the competence of Modum Bad, in which I agree with the interpellant, is a very promising treatment offer. I have visited Modum myself and had the opportunity to make a closer acquaintance with both patients and personnel involved in this offer. Finally, let me also agree that primary medical competence is important in this field. That's one of the reasons why I've started an assessment of whether not all doctors in their education and in their turn practice must through psychiatry, one of the major areas of Norwegian medicine that are not covered by the practical part of medical training, and I think it's time to do something about that.
ParlaMint-NO_1998-11-05.ana.ud1513e897	Knowledge among health professionals in general about the prevention and treatment of people with eating disorders is far from good enough except for some demarcated environment. The most important thing now is to build up competence both in the prevention and treatment chain as well as in the after-care system. Our proposal to establish centres of expertise with professionals in all five health regions is important in this context. Such centres of competence shall, as described in the psychiatry bulletin, i.e.: St.meld. No 25 for 1996-97, be a multidisciplinary organisation with a special responsibility for research, professional development, guidance and education. Such a centre of competence should then be followed up with a mental health department in each health region, so that a specific function of competence in both diagnosis and treatment of eating disorders is provided. Such a department shall also be able to provide the necessary advice to hospital departments, outpatient clinics and community health professionals. I stress the importance of equipping the 1st Line Service with expertise, in particular health nurses, psychiatric nurses and doctors. Psychologist Charlotte Buhl says in the book «The Battle of the Body» that the development of eating disorders starts for most people in puberty and is triggered in approx. two thirds of the cases of a diet. I also refer to what the health minister here said about the advertising and fashion industry and join in to his views. I don't think it's enough just to raise the competence of health professionals. In primary school curricula, prevention of health work is highly concentrated. Teachers are in daily contact with students and are often adults who spend most time with children and young people. Therefore, they also have great opportunities to prevent and identify eating disorders. I have very long experience as a principal in primary school, and I have, like my colleagues in school, totally inadequate knowledge of eating disorders. I therefore believe that the competence of teachers needs to be strengthened. Eating disorders are not a visible theme in teacher training. Training of teachers is essentially a municipal responsibility, but on this issue the education directors have to take special responsibility for coordinating such training in close contact with the county health service and the competences I expect to be established. Like the representative Nybakk, I am pleased with the health minister's views and believe that we can reach a step on the way.
ParlaMint-NO_1998-11-05.ana.ud1513e912	“There are few things we know for sure about the causes of eating disorders, but we know that slimming can be a trigger,” says first amanunensis Jan Rosenvinge in the Evening Post in January of this year. He believes that slimming is basically a private matter, but that the problem arises because the slimming becomes something about the environment. This is underlined by the fact that, especially for athletes, there has been a serious problem with both anorexia and bulimia. Dr. Jorunn Sundgot Borgen recently presented a comprehensive research report showing that by 46 p.m. by female landsliders in ethical sports in Norway are struggling with such problems. Sundgot Borgen claims that there are twice as many people with eating disorders in top-notch as in society. These figures must be taken seriously by sports leaders and clubs. They must take a closer look at their own environment and this horrific development. However, it is not only in the field of sport that the problems of eating disorders are increasing. Nor is it true that there are only slimmers who fail and who get these problems. It is important, in my view, to have a life situation that makes it possible to avoid mental problems and depressions that could lead to these major problems. Here I think the family and the homes have an important role to play. The family is an important factor that should be strengthened in order to provide the framework for children and youth that provides good habits and social relationships. Eating disorders are also becoming an increasing health care problem. In particular, psychiatry must facilitate the better and wider treatment of these disorders. In June this year, the Stortinget, against the votes of the Progress Party and the SV, decided to transfer the State Center for Child and Youth Psychiatry to the Municipality of Oslo. I am afraid that in this area there will be much worse offer from this special institution after it is taken over by the Municipality of Oslo, and will be a haven and a handicap in the further offer to especially this group of patients.
ParlaMint-NO_1998-11-05.ana.ud1513e923	There is an important issue that the interpellant has addressed. Eating disorders are a major, diverse and widespread problem. I agree with the views expressed by the Minister for Health and, in the light of his two speeches, would urge the proposers to make the three proposals for transmission proposals. So I just want to make a few comments, which are based partly on personal experience in treating such patients. Firstly, eating disorders are a complex problem, which there is reason to believe will be even more widespread because it's about the relationship with your own body and therefore about your own self-image. Then the eating disorders tend to hit young people in an uncertain period of development, where well-intentioned remarks such as ‘the way you look’ can trigger health-threatening slime cures. Of course, the fact that the body and the body image are becoming increasingly commercialized today does not improve the situation. Secondly, I think eating disorders have complex causes. In the pursuit of psychological, biochemical and genetic causes or factors, it is important to remember that one does not exclude the other. That's why it's also important that we don't unilaterally focus on just one or the other of these subjects. So we're going to be in the third area, the health consequences of what we know about the complex problem of eating disorders. I think the point is multidisciplinary bet and cooperation. But it's not just the health service. Public information is likely to be a key factor in this context — a means of achieving good attitudes and avoiding unfortunate body fixations. So this is not just a responsibility for health, but also for parents, family for others, friends and friends, and not least for organizations of all kinds, especially those that need to be somewhat body-fixed. So it also applies not least to the media, which can build up and break down, but which to a great extent cultivates the successful, also not least both indirectly and directly, what is perceived as the successful look. Only in this way can society as a whole support and not disrupt the efforts of the health care system for those who suffer from eating disorders. We do not know enough about the causes of the eating disorders, but it is obvious that many environmental factors provoke such problems – and we must do all we can to prevent them. We don't want human dignity and self-image to be measured in kilograms, neither by plus nor minus on the weight.
ParlaMint-NO_1998-11-05.ana.ud1513e940	I would like to pay tribute to the representatives of Nybakk and Bekkelem Orheim who have put this question on the agenda. This has gradually evolved into a major social problem, not least it is a tragedy for those who are being affected. The problem has been described in detail by both the Councils, the proposers and several representatives. As many people have experienced, there are up to 120,000 people who suffer from eating disorders — 25 000 – 30000 of whom are young people aged 25 to 30. Three thousand children under the age of 18 in Oslo suffer from eating disorders. A Swedish study shows that 20 pst. The 7-year-olds are dissatisfied with their bodies. But eating disorders don't just hit women. As others have said, I will also mention a survey of 1,200 soldiers showing that one in 10 young men is also struggling with eating disorders. It has been mentioned here that this can also be a problem in the sports community. But that's just ten pst. of those who suffer from eating disorders who have anorexia. Most people take care of those who are hard hit, the horrors, and that can lead to these problems not being taken seriously by the health care system. Because many think that the problem is not serious enough, they also hesitate to seek help. If you have anorexia, you might get easier attention than being overweight or overeating. But anorexia is more dramatic. In the event of overweight, it is easy to believe that the problem has something to do with a lack of willpower, but it is not. In any case, eating disorders are usually about emotional conflicts. Under the surface, it's about failing self-esteem and low self-esteem. Prevention, of course, is important. The main resources are the parents. Parents must give knowledge of the problems and show the importance of children being safe on themselves and their own bodies. Parents are important role models. Families, therefore, have a great responsibility. That's why it's important to have strong family relationships. It is, as the Minister for Health was in it, far until we have received a satisfactory offer, but it is happening very much positively, and I think this debate shows a political will to do something. I believe that centres of excellence for the prevention and treatment of eating disorders in all health regions will help to increase competence and awareness, and not least for the development of treatment provision, whether for families, individual or community health services. It is also clear that there is a need to provide health professionals with more knowledge of this. It also applies in school. The school also needs more knowledge of reasons for initiating prevention measures. We believe, as I said, that this has been a positive and good debate, and we support the proposals that have been put forward.
ParlaMint-NO_1998-11-05.ana.ud1513e951	It is commendable that this will be put on the agenda in Stortinget. It is a big and complicated problem that creates great despair, also with tragic outcomes and outputs for many. But it's a complicated problem, like, for example, The Minister of Health was here. It concerns both psychiatry and somatics, there are several levels and treatment units in our healthcare system, and it has both cultural and social aspects, among others. relative to trends in body development and eating habits. It's a pleasure, then, that there's a broad and cross-political consensus here. For my part, I would like to point out what the representative Marit Tingelstad said in connection with the interpellation that was being treated before this. In the case of eating disorders, multidisciplinary knowledge and treatment, increased competence in all areas of health, school and at all stages, prevention, symptom detection, treatment, aftercare and follow-up are very important. As the Health Minister said, I think there is also a need for a people's uprising against this, against the fashion and trend pressure, so that the market and the advertising industry notices that there is no ground for and response to their aggressive marketing and trending in terms of part of the cause of this development. Culture, health and the environment are good keys to developing a healthier society. I think it's important to remember some of the old concepts in that context. Physical activity was mentioned in the previous debate, and I think that is very important. We had a term that was called «physical birth» earlier, which I think we should bring up again, along with the term «a healthy soul in a healthy body». It is important that we have physical activity, but perhaps without part of the pressure that we see today in terms of performance and body focus. Diets and attitudes in individual homes and around young people are important, and many may need to be self-reliant. Then it's the public sector. Health centres, school health services and primary health services are those that may be able to detect these problems as quickly as possible. One thing I want to focus on in this context, and that's the school health service in high school. It's easy to fall out a little bit, and it's very important that it follows up these things. Particular attention should be paid to the transition from childhood and youth to adulthood as society has set the age gap. The Minister of Health himself was concerned about this when it came to psychiatry. The Social Committee pointed this out in the last period, and I hope that it can be followed up very closely now, so that no ports in no man's country or be caste balls between the different levels. The promotion of psychiatric centres and outpatient clinics is important. It is even more important that those competences come out to primary health services, so that they can be added to the level at which children and young people are at a difficult time and where they can develop eating disorders.
ParlaMint-NO_1998-11-05.ana.ud1513e965	I can only stress what others here have said that it has been both an exciting and rewarding debate. There has been much agreement on the points of view that have emerged. However, I believe that there is a very strong emphasis here on the treatment aspect, that health professionals should be able to solve these problems in a way that strengthens education and auxiliaries. Of course, that's a point in itself, but you also have to focus on the causal relationship. I'm going to think that if you go into different causes, the disagreement is going to be bigger than what's been expressed here, because you're putting a lot more of a sort of political spotlight on a society that's changing and the reasons for it. I think that Inge Wohnning had a very good point when he mentioned the change that has occurred in society in relation to youth. Now I don't think getting confirmed will solve the problems, and that wasn't his point either. However, researchers must be able to show that today's youth is a group that is subject to very strong pressure from many, and not least from market players, has an impact on the development of this type of disorder. I think it is interesting in this context to refer to an article that appeared in the Evening Post on 26 September this year, where Director Bjørn Petter Ulvær in Feedback Research and Consulting stated: ‘But the ethical awareness of working with children as a target group has been so high among our customers that it approaches paralysis.’ So there is one that has to do with marketing – and one has to discuss this in forums, among other things. in the field of business — which says that it is a problem that ethics is so high that it is not significantly affected by children and young people. It shows how attentive we as politicians must be to the consequences if, for example, we are to be. Businesses are allowed into arenas where they strictly have nothing to do — not least at school, where there is now a free supply of different products. It may be dairy products, and in that sense not necessarily unhealthy, but if one does not have a consciousness related to the arenas for which the public should stand, and where one should just exercise health and at least have an almost objective or neutral influence, one creates a development that is extremely unfortunate because young people and children have nowhere to go to get more neutral and factual information. The same thing I think is true in the health care community. I don't think market actors have anything to do, for example, in the Rikshospitalet, which is now seen in relation to McDonald's. In turn, letting in those kinds of actors, and society is not going to meet them with attitudes, means that there is some sort of confusion in the youth environment as to what is healthy and good ideals when those who were to stand for them and represent them, stand for treatment or information, even mixes these symbols in such a way that the signals become incomprehensible. Therefore, we also need a greater degree of clarity in relation to the role of market players in the public arena.
ParlaMint-NO_1998-11-05.ana.ud1513e983	There are important and topical issues that Karita Bekkellem Orheim and Marit Nybakk have brought up today, and they should be commended for that. At the same time as one sees that the average weight of the population is rising, and that this is alarming, one sees on the other hand that a large group of children and young people have major problems. There are complex causes behind this, and there are several people who have mentioned some of them in today's debate. To date, assistance or treatment is largely influenced by the surrounding relief measures, and this has only a short-term effect. The young have too many siblings for themselves. It is good, therefore, that one in the proposal for a government budget has put in money to give room for increased efforts to prevent nutritional work and increase school attendance. Especially the last one I have great faith in. The health services both in the youth school and in the secondary school must be important support players in fighting eating disorders. In the new psychiatry plan, there is also an increase in staff training, and it is not least important to get many footmen who have a good knowledge of these problems. As the Minister of Health said, the number of institutions and levels to cooperate, the greater the challenges. And getting a future plan with a wholehearted commitment, as the Minister of Health said that one is now working to get ahead, is the way to go. I also thought it right to mention the family in this context. It's been said that 80 pst. – sometimes it means, but I've heard 85 pst. – of us women are dissatisfied with the appearance, and weight and slimming are often in focus. We grow up, mothers and fathers must therefore take responsibility — a great responsibility — for our young people, and not transfer attitudes that reflect a belief that the thinner you are, the happier you become. We have a great responsibility to be ideal for our children. In Norway we are sports-interested, and the pursuit of sports is healthy for body and soul. There is evidence that very many active athletes — both men and women — have eating disorders. Requirements for performance hazards and the focus on nutrition in that context have become more and more important. Ensuring the competence of all our skilled athletes is therefore important to prevent eating disorders. It is therefore very positive that the Minister of Health and the Minister of Children and Family now wants to address this in order to ensure that our organisations have more competence when it comes to eating disorders. I feel that today's debate is a long step further, and there is a great deal to be done on both treatment and prevention when it comes to eating disorders.
ParlaMint-NO_1998-11-05.ana.ud1513e998	The case concerns 100,000 Norwegians — young women constitute the largest group, but also adult women, boys and men. We in the community around them ask us why, and we've been doing that for a long time. We've got a lot of different answers and more definitions and causal contexts. But I think the answers that we get are fractions of truth and not the whole picture. And why do I think that? Well, because there's still too little research on the diseases. It must be studied more closely for systematic studies, and larger groups of people with these disorders. If we can get complete and correct answers, we can also process them properly. It's the way in the world of medicine that before you know the whole picture, you can't treat it properly. Like many others, I also fully agree that health sisters and general practitioners, such as the dubious parents and the patients themselves first, may be far too little about eating disorders. Therefore, as I said, more research needs to be done, but also more attention needs to be paid to knowledge of eating disorders in health education and in others working with and among children and young people. There should be health care provision for all young people throughout Norway, where advice and assistance could be provided early, before the disease has come too far. Today, many parents, friends, friends and teachers see that something is wrong and tries to help as best they can, but feel that nothing helps – it's like talking to the wall. But the real reality is that parents think what they see when their daughter eats really, and can't understand that she's still getting thinner and thinner. The health service offers forced feeding with intravenous nutrition or probe feeding in the case in question, finally coming to the hospital, but this is a treatment only to survive there and there, it is not a treatment aimed at healing and finding out the real causes. It's like saying these relationships we have to put everything into finding out by more research, like quotas for female research fellows to work on this particular issue, because I think it's those who might be able to do this job the very best. We need to bring together the expertise in centres of excellence that will make a proper medical environment around this disorder. You can also get proper treatment at the right time before the disease has come too far.
ParlaMint-NO_1998-11-05.ana.ud1513e1009	There are constantly new diseases or new diseases in our society, and by closer inspection they may not be so new yet, but at least we are now better able to see these disorders, better able to register them, and perhaps even better able to understand them. If we look back, we can see a ripple in medical science, but we can also see – if we are willing – that some form of status pyramid has emerged within the various disorders. It may seem that certain sufferings have a higher status for all of us, and are therefore more the subject of research, professional debate and methodological development. Nervous eating disorders have been among the diseases or disorders that are long, far below this status pyramid. It has at least two consequences. First, of course, it means that skills building in the treatment staff does not progress with storm chalk and, second, that treatment provision is generally inadequate. But it is also true that low-status disorders are not something you stand up for, but instead try to keep hidden. And this will further reinforce the consequences of suffering, or at least have such a strengthening effect. I am aware that there are some methodological debates going on in school medical circles, and that there are some treatment services outside established medicine for these kinds of disorders. Not a lot of knowledge is needed to understand that eating disorders are complex and complex disorders – this debate here today, I believe, has given a clear picture – i.e. those that require treatment at a high professional and competent level. It will, of course, be a social obligation to establish treatment services that can meet this need both in scale and competence and perhaps also in diversity. I hope that the interpellations here today and the debates we have had have helped to give this area greater attention in the relevant environments, and that perhaps you will be willing to look with interest at the full range of needs that are present both in the prevention work and in the treatment, and at the needs that exist after the treatment has been completed. The representative Alvheim was involved in this with sport, and several have also mentioned it. The fact that our trainers and managers here need to get more insight is one of the areas that I think you should look very carefully at. And finally, the Council of State called for popular uprisings against the physical fixation of certain environments. Now it's not often that state councils are urging people's uprisings, but this very time I think it's in place, and I think we're all going to stand behind this uprising.
ParlaMint-NO_1998-11-05.ana.ud1513e1026	Research and professional medical treatment services are important, but as far as this particular problem complex is concerned, I would warn against believing that we have the prospect of winning the war by focusing on that approach. If there is any point where it is essential to see the need for prevention, it is well in this area. After all, eating disorders are almost a classic example of a cultured disease, a disease that does not originate from biological conditions, but is created by quite specific body ideals that have long since lost ground and connected to biological reality. I suggested here in the previous round with the interpellation debate that a significant approach to this problem, which is clearly increasing in scope all the time, must be to see that it is a tab of a much larger problem, namely that we have developed a cultural body ideal that comes further and further away from the real body in all phases of life. We've developed beauty ideals that are really unnatural, because beauty, at today's rate, is about to look like you haven't lived a single day. You don't have to carry visible traces anywhere on your body because you've lived. The aging process is really the elementary mechanism behind all life; it is the condition that life can exist on this globe in the form it has. And we've developed a culture that has a basic neurotic relationship to them. Because it is necessary to see that eating disorders in the youth generation are a reflection of what is happening to the adult community as a whole. When it is possible to market ‘body sculpture’ as a good offer — a few years ago called fat sucking — when it is possible to imagine that the surgeon’s knife is available to eliminate the effects of absurd lifestyle, then we have actually come quite a long way towards a culture of violence. Because that's actually what this is all about: practicing violence on the real body to get it to vote with a cultural body ideal. Actually, it is profoundly thoughtful that we live in a culture that has been so body-fixed, but that has been body-fixed in the completely distorted way, that is, fixed by the dream body instead of the real body. The condition for man to respect the body of others – we live in a culture where violence continues to increase – is that it has learned to respect its own body. Self-respect a key to respect for other people.
ParlaMint-NO_1998-11-05.ana.ud1513e1035	The President assumes that the interpellant wishes to speak.
ParlaMint-NO_1998-11-05.ana.ud1513e1038	I would like to thank you for the debate, and I would like to thank the boys who have taken part in this debate without any reduction for my female co-representatives. We really appreciate that they've done that. Karita Bekkelem Orheim and I wanted to get this debate on eating disorders into the staging room. We wanted to discuss the needs, get concrete proposals for action, and, as Kjell Engebretsen said, help to pay greater attention to this problem. I would also like to join very much of what Inge Wohnung said in the post we just heard, which also shows the link between strengthening treatment provision and doing something about attitudes and prevention. The last is perhaps the most difficult in terms of eating disorders, and perhaps even more difficult to put into practice. For us, it is therefore necessary to have an action plan to look at both prevention and treatment provision. I listened to the Council of State when he spoke about the centres of expertise, and I understand that the department is developing centres of expertise linked to what he called treatment departments. I do not know if the Council of State can say a little bit more about how these centres of expertise are now developing, whether research is being added to the same centres, and whether it is such that both those who suffer from eating disorders, their relatives, health professionals and teachers can benefit from the kind of centres of expertise that were also mentioned in the psychiatry bulletin. Then I am particularly pleased with what the Council of State said about all doctors in their education and tour practice should be through psychiatry. I hope that the Council of State will follow up, because if you can also put this in that psychiatry with eating disorders, we've come a long way. Finally, I would like to say that I see it as very important that the plan from the Health Authority comes. I remember a question-time question from Ellen Chr. Christiansen from 1996, where she also asked for that plan. I think that might be one of the measures that need to be taken. Then we will also have the opportunity to discuss the issue of eating disorders again.
ParlaMint-NO_1998-11-05.ana.ud1513e1053	I would also like to thank you for a very interesting day here in the Chamber on this important subject, and to thank the initiators of the debates. There are two statements from two of the representatives in the debate that I will take on board at the end of this debate. The representative's salary talked about a culturally-created disease. The representative, Ballo, pointed to the need to put a political spotlight on social issues, not just on treatment provision. I said a good deal about the treatment offer in my first answer. I think that's reason to stress that what we've really been discussing today is fundamental value issues. There's a debate about what kind of society we want, there's a debate about respect for human dignity no matter what external appearance, there's a debate about caring and caring about, there's a debate about how strongly materialism is going to get hold of our culture. That is why I agree that prevention should focus on youth culture, family patterns, the role of schools, etc. In conclusion, I would like to stress once again that I will follow up on the planned work of the Health Authority and ensure that we do not only have a stepping-up plan to which resources are attached – we do – that we not only have a general timetable for mental health, but that we also have a special plan in relation to the treatment provision for people with eating disorders. In this respect, I see it as natural that we consider the best way to organise health skills units in this field. We have experience building on from North Norway, and we're getting experience in Trøndelag. In this context, I agree that this should be a broad competence, where one also develops competence through research. With this, I would say that the issues that have been raised and that are expressed, among other things. in the proposals that have been put forward, should be caught up in what is now to be done in the future.
ParlaMint-NO_1998-11-05.ana.ud1513e1066	So the debate is on case No. Three o'clock. [[Recommendation of proposals, see next page.]]
ParlaMint-NO_1998-11-05.ana.ud1513e1074	The cancellation goes to voting on the matter on today's map.
ParlaMint-NO_1998-11-05.ana.ud1513e1089	Case No. No voting theme is available.
ParlaMint-NO_1998-11-05.ana.ud1513e1095	During the interpellation debate, Marit Nybakk has put forward three proposals on behalf of Karita Bekkemelm Orheim, Asmund Kristoffersen and himself. The proposals are distributed in the Chamber, and the President notes that they are available in an amended version. Mrs Nybakk has the floor for the proposals.
ParlaMint-NO_1998-11-05.ana.ud1513e1102	The Minister for Health, in particular recently, has outlined the work currently being done to establish centres of excellence for the prevention and treatment of eating disorders — centres of excellence targeting both health professionals and teachers and those affected by eating disorders. He has also explained that we are getting an action plan for the Storting from the Government on eating disorders, with concrete measures. We are pleased with the presentation by the Council of State on these two points, so on behalf of the Labour Party, we are now making the proposals No. 1 and 3 on transmission proposals, but retains the substance of proposal No. 2nd@item: inlistbox
ParlaMint-NO_1998-11-05.ana.ud1513e1109	Mr Neess has the floor for an explanation of vote.
ParlaMint-NO_1998-11-05.ana.ud1513e1112	I am pleased that the rapporteurs have converted the proposals. 1 and 3 for transmission proposals. As regards proposal No: 2, we agree with the intentions of the proposal, and I recommend that the representatives of the Christian People's Party, the Central Party and the Left support this proposal.
ParlaMint-NO_1998-11-05.ana.ud1513e1119	Like the last speaker, I am also pleased that the proposals No. 1 and 3 are transmitted, as the intentions of these proposals, I hope, are well respected in the plan announced by the Government. Proposal No. 2 I would recommend that the Group of the Party of European Socialists vote in favour.
ParlaMint-NO_1998-11-05.ana.ud1513e1126	SV supports proposal No. 2nd@item: inlistbox We don't have any problems going in for it, so I would recommend the SV's group vote in favour.
ParlaMint-NO_1998-11-05.ana.ud1513e1131	I am also pleased that the proposals No. 1 and 3 were sent. The Minister of Health has made it very clear the intention of the announced action plan. I would also like to refer to proposal No. 2, advise the Right-wing Representatives to vote in favour.
ParlaMint-NO_1998-11-05.ana.ud1513e1138	We have thus come to an end in terms of explanations of vote. The President then noted that the representative, Mr Nybakk, had asked for proposals No. 1 and 3 are converted into transmission proposals. Proposal No. 1 sounds in changed form: ‘It is recommended that the Government establish centres of excellence for the prevention and treatment of eating disorders in all health regions. In particular, centres of competence shall focus on the training and training of health professionals and teachers as well as on providing guidance to patients and their dependants.’;» Proposal No. 3 sounds in changed form: ‘It is recommended that the Government draw up a comprehensive action plan for the control of eating disorders, in particular targeting children and young people.’ The President proposes that these proposals be forwarded to the Government without any rebuttal. – It shall be deemed to have been adopted. Proposal No. 2 sounds: ‘The Government asks the Government to consider including eating disturbance knowledge as an element of the basic training of nurses and doctors.’
