ParlaMint-NO_1998-12-15-2.ana.ud360e26	We will continue in the debate on the 3th Framework Ministry of Culture.
ParlaMint-NO_1998-12-15-2.ana.ud360e559	To the last one first. The politics of the media is becoming completely meaningless to me. Here we are in a situation with a well-established system to ensure the diversity of the press. It's targeted at three categories, it's local, it's no. The 2 newspapers, and those are the nationwide newspapers. And once you have set up a support system to secure these, it's precisely because you see the need for diversity in the media. The question of what should be the purpose of a public body is quite clear to me. As indicated in the proposal, it will be to ensure the press policy objectives set there, but of course it will be a process of drawing up a mandate for such a public body. As for the question of this formulation of Total Norsk Rock, I have tried to study it a little bit. Especially when this is connected to the transfer of money, as it is in the note, this might have unintended effects. In any case, as I see it, it's a little bit unclear how to take away appropriations for the tour subsidy scheme, which has had a lot of excitement, and which has been open to everyone in the field of rhythmic music, and to set up a scheme that might, among other things. means that the Norwegian Rockebund and all others who have benefited from the Tournament Grant Scheme will be lost. That's the one, and I'd like to challenge the Workers' Party and those who are behind the majority here, on what they actually mean. In other words, it says: ‘It is not desirable to use creative resources to a large extent in the fight for financial resources instead of cultural production.’ The fact is that you want to have a different composition of the sample that allocates funds. I agree with the intention here, but I do not agree with the suggestion that almost all the organisations should sit in the sample, it is for me a fight that is not appropriate.
ParlaMint-NO_1998-12-15-2.ana.ud360e571	The Minister of Culture is concerned about the millennium — it is positive — and refers to the 1200 applications received for thousands of years. What the Minister of Culture did not mention was the sum requested, which is 750 million. kr. In addition, we know that there are now a large number of states in line to launch their millennial sites, and that there are a number of other millennial projects on the bed. Is not the Minister of Culture afraid that the expectations created in relation to this millennium are great? And in that case, how will the Minister of Culture contribute to subverting the expectations of appropriations created? So over to the press support: the Minister of Culture says very clearly that she chose to do the cut in the press support to protect the culture. I think that is a clear signal that the least priority, the least important, in the budget of the Minister of Culture, is the support for the press. But then, of course, the Minister of Culture continues to present the press policy objectives and repeats that they stand firm. Then the question is whether to believe it, when the cut last year was taken into the press support and cut this year is taken into the press support, and the Minister of Culture says this is the least priority area, or where anyone would cut if one had to cut. Isn't it fairer to say that the Central Party and the Minister for Culture will reconsider the support for the press? Because that's actually what the Minister of Culture is about to do by cutting 50 million. kr over 2 years. It's a big cut-off – and the Right supports it – but I think the Minister of Culture could say that's what she actually means.
ParlaMint-NO_1998-12-15-2.ana.ud360e578	Trond Helleland was only in the millennial turn and the expectations that were created – I would rather say the joyful commitment and the creativity expressed: 1,200 project applications already. We also know that there are 300 municipalities that have established their own thousand-year committees, and I am convinced that we are not expected to grant more from the Stortinges and the State than what is actually seen to be granted. But it's money, it's creativity, it's commitment to the system, and it's doing a lot in municipalities on private initiative, in business -- it's possible to get sponsor income. So I think that in sum this will be a worthy highlight of a great event in our lives. That's at least my hope, even in terms of these thousand-year-olds. I think people recognize that there may not be as much money as you thought initially, or that you have put the list up to, but that you can actually get a little, which can be an incentive – and then you get synergistic effects. So to press support again: is this the least priority area in the Ministry of Culture's budget? Yeah, it might seem like that. I see it. So I mean, when I'm going to make a total assessment, a cut of 35 million. kr something I can defend in this area, but I don't like it! And I want to work to get a distribution of this that can ensure what is the goal of the press support system. If it's fairest to say that we're reviewing the entire press stand? So there's a lot of things going on in this area. changes in ownership, some newspapers with press support have quite good earnings, etc. These are areas that we can look at more closely, but the aim of the press support system is maintained.
ParlaMint-NO_1998-12-15-2.ana.ud360e597	In autumn, the Minister of Culture presented a budget that in many ways consolidated the position in cultural life — and then there were a few speeches next to it. It's like the position of art and culture in society, which both the Minister of Culture and I are concerned about, is decided in the state budget – where art and culture are therefore treated with 0.7 pst. – and in the municipal budgets, and it is in my opinion in the municipalities that the major challenge now lies. With poor local economy, without rights and protection, the culture is legitimate — especially for children and young people, the multicultural meeting and contemporary art. Then my question is, what does the Minister of Culture want to do? What kind of initiative will she take to ensure the diversity of art and culture without giving pious prayers to the municipalities? The Minister of Culture said, of course, that without a law that guarantees appropriations, and with a tight economy, there is a danger of cuts. Furthermore, a Nordic report has now come to show that our orchestras are mostly playing traditional music and very little contemporary music. Then it's about making sure the existence of the ensembles that follow the need for dissemination and presentation – and reinterpretation – of the new music. There aren't many of them, but it's about making sure the existence of the few flowers that are there. Oslo Sinfonietta is one of them. The Committee wrote a letter asking what the Minister of Culture would do to secure Oslo Sinfonietta — and got no answer. The Culture Council has asked for the establishment of a music ensemble support scheme to ensure the support of Oslo Sinfonietta and other contemporary ensembles. I have proposed that in the budget position. How does the Minister of Culture view such a proposal?
ParlaMint-NO_1998-12-15-2.ana.ud360e606	It is true, as Valle points out, that the budget was initially largely geared towards consolidating, ensuring and continuing the operation of the established institutions, and that there was no room for too much new. We thought it was more important to take care of what we have in the situation we are now in than to establish new arrangements – except for the deaf theater, which we have found room for. The local economy is miserable, says Valle. And it's difficult economics in many places, but we can't make the impression that there's a lot of need in the country. The thing is that we have a very high and increasing private consumption, and I have to say that I think it's bad that you didn't get a majority to take anything from the increasing private consumption and use it for the community. In the case of Oslo Sinfonietta, it is one of the measures that have received project support from the Council of Culture and that, after a few years, fall out of the Council of Culture scheme. And I want to say that the use of tools and also the relationship between project support and operating support we have to look at, so I can't say anything but that we're going through the use of tools. As no one has mentioned the committee comment that goes on forms and bureaucracy, I can also comment on it. I have registered with interest what it says, and I am, of course, concerned that this should be as simple as possible. At the same time, it is a burden to ensure that the money goes to what is the purpose of the scheme.
ParlaMint-NO_1998-12-15-2.ana.ud360e615	I've registered that the Minister of Culture doesn't like it today. She would have preferred to have taken more of the private consumption and used in the community. Does that mean that she doesn't like the cooperation with the Right Party and the Advance Party? She has also stated that she does not like to take off the press support – despite having done so on two occasions. Does that also mean that she does not like to cooperate with the Right Party and the Advance Party? We have also had a debate on functional distribution. The oilfestivities have been proposed to the node institution. The question has been asked whether what is there is quality assurance. How does the Minister of Culture really like to allocate more money to the big cities instead of to the counties and districts that get little government cultural money? And the fourth question is at the Rikspolitische Zentrum. The majority actually spent 8 million. NOK that should have been used by the National Political Centre. They have used it for operations rather than for investment in the project for the Minister of Culture. How does she like it? It is also a cross of thought for me that since the money has now been spent, how has the Minister of Culture planned to finance the Rikspolitische Zentrum in 1999? Is that really gonna make money? And if it doesn't, how does she like it?
ParlaMint-NO_1998-12-15-2.ana.ud360e628	I can just say that I like myself very much, I. I like it and have it excellent, but I have the impression that the representative Grethe G. Fossum is in no way lukewarm, for the husband to describe the budget we now have, I have not heard. And it may be related to the disappointment that there was no government change in this budget, because it was obviously the intention of the National Assembly in the Workers' Party and Jagland's intention to make a government shift, with the support of the Right, and to zero out the tax and tax increases with them. Actually, it would have been exciting to see what had happened then, but we decided to take it offensively and get to a setup with the Right and Advance Party. And when the situation was as it was, I'm glad that it happened. As far as functional distribution is concerned, I've registered that there's a majority here who want to convert the Olav parties into node institutions. Of course, I'll follow up on that. I have recorded that it has created some reactions, and I'm not hiding that it might have been appropriate to make a closer review of the consequences of it, but, as I said, a majority is established, and I will of course follow it up. In the case of the Rikspolitische Zentrum on Eidsvoll, it's what I explained instead, so that we've got this into a new track that I think can give a better solution. The rapporteur, the county authorities and the centre have been very constructive. And in the case of the money taken into operation, I have also registered it, but there is enough money left for this to cover the investments that may be needed in 1999.
ParlaMint-NO_1998-12-15-2.ana.ud360e637	President! It's an obvious misunderstanding that I'm in a bad mood.
ParlaMint-NO_1998-12-15-2.ana.ud360e644	So the chord change is over.
ParlaMint-NO_1998-12-15-2.ana.ud360e647	As rapporteur for the museum chapter last time, I worked a lot with technical and industrial cultural memories. The main reason for my commitment in this area was that I believe we should document the industrialisation in Norway by taking care of some industrial buildings. It was important, therefore, that in 1996 we received grants for the operation of eight such museum facilities above the Ministry of Culture’s budget. The Ministry of the Environment, through the Riksantikvaren, had for several years done a formidable job, together with firefighters, in providing grants and taking care of several installations, in addition to making a laborious selection work on the question of which installations to take care of. In this connection, I refer to the Verne Plan for Technical and Industrial Cultural Memory, which was published by the Riksantikvaren in 1994. There is reason to be happy that we have a rickshaw with an interested and competent staff, which has seen the importance of taking care of a selection of these facilities. They have been important support players for the fires that have also worked with these facilities. If not, probably most of them would have been gone today. The eight facilities included in the Ministry of Culture’s budget are all relatively large facilities that have both required and will require substantial resources for maintenance and operation. Before they got operating resources, most of them were in a phase where they were slightly open to the public. Some of them, such as Sjølingstad Uldvarefabrik, had in the premises related to the factory a small industry, where both the goats and a small knitting factory had been put in place, in addition they had even later started the production of floor fabrics. Such activities are not possible in all these facilities, but the Fetsund Lense Museum in Akershus is, as the Minister of Culture knows, a living museum with many activities. However, the reason I have spoken in this debate is the lack of visibility. One should not put under the chair that not all the municipalities have been equally happy for the old factories. Not everyone thinks they're equally pretty to look at or have any value. I have been in several debates with rapporteurs who would rather have something else, like a house of culture or a place of representation. That is why I am concerned that it must be made visible both in the Ministry of Culture's budget and in the Ministry of the Environment's budget that the history of industrialisation and the working class should also be taken into account. The designation of funds is also important, as the Committee has said in its comments. I am therefore disappointed that these facilities are not mentioned in one word in the budget, and that the committee had to write a letter to the Minister of Culture to get an overview of the situation for the eight facilities. In the letter of reply from the Council of State, it appears that there has been a problem with the funds from the county or municipality in the case of Spillum Dampsag and the herring oil factory Neptune. With my knowledge of these facilities and the problems they've had, this doesn't surprise me. In this regard, I would like to know what is being done on the part of the Ministry to change this. Has there been a dialogue between the Ministry and the county/municipal council on the financial subsidies, or is there just a letter written? After all, the state has spent more than 13 million dollars. kr on Spielum and over 10 mill. kr at Neptune. I mentioned earlier in my article that these facilities need to be made visible, and in this context I show that some of the facilities already have activities that attract the public. I have also learned that both at Nes Jernverk and at the Vestnorsk Industrivstadsmuseum in Tyssedal are the exciting plans ahead. It is therefore important that good forces also help those installations that have problems, such as: Neptune virgin oil factory at Melbu, and not only reduces or stops the grants to the plants. Then the fire-souls that have made it possible to keep such memories disappear. Finally, I would like to refer to a majority comment from the Labour Party and the Right in the Budget-Inst. S. No 2 for 1997-98, where they say: ‘The majority also refer to the principle of the responsibilities of the departments for documentation of their own history and ask for the initiative to be taken for cooperation with the department concerned.’ I would like to hear from the Council of State how this work is going. I know it's not easy. There have been long calls, including: between the Ministry of Fisheries and the Ministry of Culture as regards Neptune. Has it loosened, and is there any chance that the job that the ministry has now had a year to do shows results?
ParlaMint-NO_1998-12-15-2.ana.ud360e676	The central government has chosen to ensure the operational basis for our cultural institutions, which are cornerstones of Norwegian cultural policy, rather than establishing many new measures. The brakes are also applied to the cultural sector at the investment rate, in line with the Government's fiscal tightening. The 260 museums across the country, which receive state support via state municipalities, receive an increase in the amount of 9 pst. National institutions also receive increased operational support. Many museums have struggled with poor finances in recent years. This increase in transfers will increase the mouse deal and increase the activity level. It is important that children have contact with local culture. Åse Enerstvedt has expressed a challenge for the museum in the book Children, Young People and Museums: ‘Expressions such as rootlessness, historylessness, lack of voscism, and violence mentality are words that characterize the debate about today’s children and young people. The museums should be able to play an active role in building bridges between generations and between past and present. Creating contact between children, young people and adults is a goal that at least cultural history museums should strive for.’ It is important to give young people knowledge of our cultural history. One or two museum visits during nine years of schooling are not sufficient. Children can have great pleasure in getting valuable history from the museum, if the visit is put on their children's premises and at their pace, not on the adults' premises. Giving children and young people cultural experiences and stimulating them to self-activity is important. Holdings that are taught in the first few years of life can become habits that follow a person throughout life, and they can become so self-evident that they are perceived as natural. In negotiations with the Progress Party and the Right, there have been redisposals of 8 million. kr within the cultural frame. As a result, the licenses to the Rikskonserten’s school concert activity have increased, and that is positive. There is much to say for music dissemination to children and young people. The Brazz Brothers also operate an important cultural agency, especially for children and young people, and they now receive a supplement of 500,000 kroner. The purchase scheme for Norwegian phonograms is strengthened by 1 million. kr. It's positive, both to increase access to Norwegian music and to the music industry. Of the Government's pot for special district policy measures, 10 million are set aside for the Ministry of Culture's collective commitment to art and culture throughout the country. The central government's proposal for a 26 million prize. kr to complete the repair and upgrade work of the Norwegian Film AS plant on Jar is approved. This means that the environment for film production in Norway is becoming more segregated. Films and audiovisual productions are important cultural intermediaries, and Norwegian producers have an important role in cultural policy. It is important to strengthen the digestion of Norwegian productions. We're approaching a thousand-year change. I'm glad that, in a tight economic situation, we've managed to achieve such a cultural boost as the proposal to mark the millennium change marks. This is a clear priority for the cultural sector. The working party has different comments on the thousand-year marking. They're proposing to reduce the permissions by another $35 million. kr to the thousand year mark. What the party actually means about the thousand-year mark is a little bit hard to understand. A majority in the Committee, all outside the Workers' Party, have noticed that delegation of power to the Rikskoncerts when it comes to festival support over the Cape. 323 item 78 Miscellaneous fixed measures, may lead to unintended consequences for the Olav Festival Days in Trondheim. According to the guidelines, the Riks Concerts will only support music festivals. This does not capture the width of the Olav Festival days as a festival, including concerts, folk events, exhibitions, courses and family programs. The majority of the Committee argues that the Olav Festival Days should be continued on the basis of the current concept, and suggests that the Olav Festival Days be converted into a node festival. Otherwise, I am happy that the work of establishing a youth centre in Ålesund will continue. On the state budget, it's set of 2 million. kr for this purpose. What exists in the youth architecture of Ålesund is of great value both nationally and internationally, and it is important that we take care of this. A majority in the committee have not found room for increased permissions on the state budget for this, but we have noticed that the Government will continue to work on it.
ParlaMint-NO_1998-12-15-2.ana.ud360e711	The concept of culture extends widely and accommodates many different activities around the country. No other policy area can experience such commitment and idealism as one does in the cultural sector. A foundation for artistic development will be important. Culture is, for almost all political parties today, an area in which a person wants to invest heavily. However, the political reality is unfortunately such that there are relatively few resources available for measures that are perceived as an important foundation of general everyday well-being. Culture is the source of development and well-being, and the Workers' Party believes that it is important that we aim that everyone, regardless of their social or geographical affiliation, should have access to culture that exercises and as an audience. The voluntary work done here in the country on the cultural side is quite unique. An important challenge is to draw with the positive local forces that exist in our local environments. I think we have to have the ambition to have a fairly large distribution between the states in terms of the distribution of state-owned cultural crowns. It is a fact that today there are relatively large differences in distribution, for example, South-Trandelag gets a total of 80 million. kr, while Buskerud and Møre and Romsdal get 6 million. and $8 million. kr. Last year, the Workers' Party introduced the district opera concept. I would like to stress that this year's budgetary position follows up, where we refer in particular to the efforts made at the Opera in Kristiansund, Steinvikholmen and Ringsacht. The artistically high level of quality represented by these institutions must be continued. I would like to highlight in particular the strong link with the local environments they have in their districts. Opera art is diverse and not just a big-city phenomenon for our capital. Opera art includes all the arts: singing, instrumental music, theatre, drama, dance and forming. So a few words about the Youth Centre. I would like to refer to the last year's budgetary procedure, where one was given a boost to the allocation to the Youth Centre in Ålesund, where one at the same time laid out a template on how this centre should find its place within an existing national institution. There has been political agreement on the bet on such a centre, and I have to say that I see the lookup in the Sunnmørspost today as being directly eye-catching. The fact that serious representatives, a wide-ranging professional group, are characterised as being stupid in Stortinget, I think it is a very strong diet. I have always seen the working group of the Youth Centre and the county and municipal politicians from More and Romesdal as being very tidy. The plan for the Youth Centre is, in my opinion, very well worked out, and I have the impression that the department has meant it. The working party and the county council have fulfilled the requirements of Stortinget, and I would like to ask if the Minister of Culture and the head of the committee from Møre and Romsdal really think otherwise. It is a fact that the cooperation agreement with the Norwegian Architecture Museum has been negotiated. I believe that the handling of this matter by the Progress Party is directly alarming, and I have to refer again to a look-up at the Sunnmørspost today. That's where the representative Sandberg says that the sunmers are Greek, and to draw it into this context, I have to say, falls on his own unfairness. Harald T. Nesvik, who is just representing the Progress Party from More and Romesdal, has gone out very strongly in the harvest and said that his party has entered the whole sum of this center. And in the election campaign, it was unknown that a bourgeois government guaranteed such a centre, but it was. But through the statements to both Sandberg and Helleland today, we may have got the truth, and I think there's reason to ask whether this is not just a tactical diversion to cover over the gigantic broken promises of financing this project. I expect the committee leader to clarify his view of it. Furthermore, I would like to refer to proposal No. 20 which the Labour Party has presented today, and which I expect can be supported by the Centre Parties and the Right and the Advance Party, just to clear up in terms of the mildly outrageous posting we saw today in the Sunnmørspost.
ParlaMint-NO_1998-12-15-2.ana.ud360e739	Let me first of all commend the Minister of Culture for the exemplary work she has done in following up the priorities of the majority of the year – we appreciate that! For the right, the adjustments we have made in this year's budget have mainly had overall national targets, although many of our institutions are struggling to get the money to reach ambitious targets. The representative of Trond Helleland has also presented the background to most of the priorities we have set out in this year's budget. From Museums-Norway it is reported of great activity and many plans. Now it is urgent to get the museum message for treatment in Stortinget. It is important that we now have an overall overview of both the actual state of the museum kingdom, the investments planned where, and the operational economy of planned projects. Now, at the brink of our century, awareness of the fact that we are about to lay behind a very important epoch in our country's history, and the desire to preserve full memories of our century's development, is urgent all over the country. Only a comprehensive museum message can give us the opportunity to go to the depths of this, to make the necessary priorities within a realistic framework, for the desire to build new ones, must not delay our obligation to care for what we have. I refer to the description given by the representative Trond Helleland of what is to be the Oslo department of the National Library. It is a paradox that yesterday's newspapers have much better storage conditions than irreplaceable historical documents. It is a national responsibility to maintain historical documents in a sound manner. Anyone who has visited the magazines where our old written cultural treasures are kept has trouble sleeping before you know that the plans for a new National Library Department in Oslo are in place. I said in a previous post today that language is power. Language is also culture, and through the language we communicate, among other things. history and culture to others. In our cultural history, the fight for the right to own language will have an important place. When our young nation was to establish its own national and cultural consciousness, the struggle for language became a political issue. Luckily, we have put the fight behind us, the right to choose between the two official Norwegian languages is statutory. But we do not show our language the respect that we have the use of oral Norwegian as a schooling profession. We're correcting nine-times for students who use English grammar errors, while Norwegian grammar errors pass uninvited. I don't think any other cultural nations show such a negligentness for the use and development of their own language. But then we also see the suspicious results. From colleges and universities, complaints are being made that the ability to use your own language is becoming increasingly poor. The language usage on radio and TV has become so poor that listeners and viewers protest. Norwegian children are not encouraged to develop ear for their own language. In my view, this is not just a challenge for the school community; it is a cultural challenge. The Norwegian target group of new entrants is to monitor and monitor the development of new languages, and until then they have received significant contributions from the state budget for several years. Now we believe that the generally negative development of our country means that the spokespersons and spokesmen of the largest language group will also receive support for their work on the State budget. Now that they're 100 next year, it's an appropriate gesture to show them that for the first time they're going to have room in the budget – a support for the Reichsmålbundet. As a culture committee, we can no longer be passive spectators to the effect that the ability to actively use the language is getting worse. We have two Norwegian linguistic minorities, for which, too, language is an important identity and cultural factor. The linguistic abuses that unite and women in our century have been subjected to, we are now in the process of rectifying. The work of the Sami language has come a long way; the work of the female language is in its beginning. On last year's budget, Stortinget gave the first signal that we were willing to take a state responsibility for women's language and culture, this year we go on. What that means for the cultural life of Finnmark is difficult to describe. What that will in the long run give us all in the form of increased knowledge of Finnmark's history, remains to be seen. But it is a fact that the general knowledge of Finnmark's total culture and history is poor among the people most. Others are not to wait when history so far has belonged only to the ethnic Northmen, described for most of the people who do not have their roots in Finnmark, but who have had their residence there by virtue of their office. Finnmark has always been populated by three ethnic groups that are and have been about the same size in this area. By recognising Sami and female, we will in the long term gain a deeper knowledge of this part of Norway, culture here in the north, armbeat for development on our own premises, and local creativity is stimulated. In the long term, this will also be a very valuable contribution to the overall Norwegian cultural image. And we are pleased with the effort that has been made on this through this year's budget.
ParlaMint-NO_1998-12-15-2.ana.ud360e761	It is quite strange that the Media Council rarely flaunts interest in media policy, in addition to the unwarranted cuts to make a deal with the Progress Party and the Right, and so let the right parties shape the policy. Our society has never before been so massive and powerfully influenced by the outside world. Much of this influence gives us important impulses that enrich our society both economically, politically and culturally. But the strong cultural pressure on Norway now demands at the same time that we strengthen our commitment to making ourselves aware of our own language and our own culture. The media are the only cultural institutions that reach almost every day. The media are therefore the most important front line in developing Norwegian democracy, raising awareness of Norwegian culture and writing culture, and creating belonging and identity. It is an important quality that there are local viewers in almost all Norwegian communities. It is an important quality that there are newspapers with different values. The strong position of newspapers also leads to the fact that most people are well informed about most key political issues both locally and nationally in our country. Television and radio are important channels for debate, but cannot replace the news work, the social critique and the debate that is spread through the newspapers. At the same time, it is a cultural policy task to ensure that the Norwegian writing language is used by all of us. Studies show that it is the newspapers that ensure that most of us read every day. This at the same time ensures that we keep our reading skills up-to-date. In countries where the general public receives their social information from television, reading skills fail, and many become functional illiterates. I therefore believe that it is an important task of democracy and culture to be conscious of the press policy. The government, talking about values, immediately reduced the press support by 15 million. kr, it now reduces by 35 million. kr, and as was said earlier in the debate today, if it keeps the same pace, it can manage to get it completely out during this period. At the same time, in the autumn, it created uncertainty about VAT exemptions and the country’s rules on advertising, while at the same time providing for a change of the avisporto – all without any prior notice. Instead, a media council should dialogue with the press's organisations on stable and forward-looking framework conditions, so that the media can develop as social and cultural institutions and ensure a wide range of media with different values and geographical locations, take initiatives to strengthen the Norwegian writing language, in cooperation with newspapers and other writing institutions, reject VAT on newspapers and books in principle, do so in common with the United Kingdom's Tony Blair, who is also often used, not least by the Prime Minister, so that zero VAT is removed from the EU and the EEA develop a security guarantee for a predictable production support system further develop the democratically justified advertising policy of the state to put the Competition Authority into action to look at competition and the dwindling of some smaller newspapers outside our country. Finally, TV2 has waited a long time and should be informed of the conditions for extending its concession as soon as possible. The size should at the same time maintain the requirement for location in Bergen in order to ensure that there is one national medium that has a different news perspective than the Oslo-based national media.
ParlaMint-NO_1998-12-15-2.ana.ud360e801	I understand that the government party is tired of hearing that they have promised more than they have managed to hold, much more. For us in the Workers' Party, who constantly met with headlines about all the representatives of the Center Party, the Christian People's Party and the Left, promised to support and propose to grant money, it must nevertheless be allowed to remind the parties and the voters about this. But the point of this is, above all, the future: that we all have to stand for a responsible policy and context between what we promise, and what we do in position as well as in opposition. In this context, the media has a responsibility. They may, with their journalism, call for both responsibility and populism — responsibilities by creating a sense of well-being and coherence without regard to position and populism by focusing on increasing promises to individuals and on regional actions without regard to health. In this context, the press support has a function, the press support that was established at the Central Party's initiative 30 years ago, and which we in the Labour Party still have a good foundation. In 1992-1993, the Labour Party and SV, together with the Government Party, agreed on the following objectives for the press policy: to maintain a high level of newspaper consumption to publish newspapers in most places on the basis that national newspapers can be published with a broad range of views on local newspaper advertising in as many places as possible. The press support is a tool in this context, a tool that the government councils have supported and protected until it entered the government offices itself. This support was reduced by 15 million. DKK in 1998 and reduced by 35 million. kr, against strong resistance from the Workers' Party. Press support shall ensure breadth and diversity in the newspaper sector, including: by supporting paragraphs The two papers over the whole country. I experienced going over from having two to having a newspaper when I bid in Arendal a few years ago. It was a depressing experience, and it was clear that freedom of speech was free. The remaining newspaper had clear sympathies in a political direction. At the end of the competition, the sympathy became clearer, and the newspaper did not take responsibility for securing the breadth of the newfound picture and the social debate. This is how I am afraid it can also be in Stavanger after the cultural budget has been approved today. In Stavanger we have a large regional newspaper that almost everyone subscribes to, which takes the brunt of the advertising revenue — in fact more than the entire budget of No. 2-news, which have resources to go in width and depth. Stavanger Aftenblad is a good newspaper in that way. However - perhaps most of all now that this paper has evolved more strongly towards a government body - we need an alternative, an alternative with a different output, a different focus and other angles. It sees freedom of expression, it strengthens social inclusion and debate. Hi, Rogaland's newspaper is the alternative. They don't have a lot of advertising revenue, they don't have a lot of staff, and they have to focus their efforts on both geography and target groups. Nevertheless, they balance on a cutting edge with today’s press support. With reduction, they will quickly get red numbers. Newspaper has been through extensive rationalization, and it's little to wonder if they should be an eel. All in all, this balances in my opinion by the fact that the papers are so heavily focused on the specialty, among other things. on sport and motor, but people who are more interested in politics and social issues are assessing their subscription. I hope that this doesn't happen, but I have to admit that the majority here today are pressing in that direction, a direction that reduces their freedom of expression in the Stavanger area. That's not what we in the Working Party want. The last thing I want to point out is that it is quite difficult to run newspapers with such unstable framework conditions. I suggested that the Council of State should at least allocate the money paid as early as possible to the new year, and that they would like to screen the money, among other things. The nation does not win over its freedom of speech in the districts. It's a shame to register that the government has not found room for better Rogaland Theatre. The efforts of those added have been unlikely in locals that in no way satisfy reasonable demands, and it begins to rush. Reduced promises will lead to the project at Rogaland Theatre being wasted in time. I think I hear how the tone would have been if the center part had been in opposition. Nevertheless, I now just have to remind the Council of State of her pronounced understanding of the situation and the will to do something. For Rogaland Theatre and projects in the same situation, it only helps when will is followed by action in the form of promises for the purpose.
ParlaMint-NO_1998-12-15-2.ana.ud360e836	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_1998-12-15-2.ana.ud360e839	In the spring, State Consultant came with his own report on rock. There were conclusions in the one that has not yet been followed up. I want to highlight the Norwegian network as a successful scheme that ensures Norwegian practitioners the opportunity to play without entailing unreasonable costs for them. On the other hand, it has been very difficult to operate some of these locations. At the same time, Statskonsult’s recommendation was to reduce the number of grant schemes. The majority therefore ask for a proposal on how we can strengthen the Norwegian network through operations to ensure the different locations we have equipped, and thus also follow up the State Consultant's report. No one went past the fact that there were strong reactions to the award of support for the music festivals this year. In order to better ensure the quality of the allocation, the majority have opted for a broader composition of the awarding body. It should also give a signal that we do not want these funds to be used to overwhelm foreign artists. However, during the course of the day, I have received several impressions that what happened last year was not the way it was produced. Among other things, I have come to understand that the sample that was set out on the basis of criteria and leadership provided by the Stortinget, initially had a different assessment of the distribution of aid than the result. It has surprised me, as we got the impression that it was the assignment committee's setting that was discussed, and not an adjusted setting. Thus, the criticism must be addressed to others other than it remained in ours. Where it's to be addressed, I don't know yet, but my intention is to figure it out. When we introduced funds for rocking, the big discussion was that we were now red tape, especially about the creation of Total Norsk Rock. Today, when we want to debureaucratise and therefore also follow up the conclusions of the State Consultant, it also creates discussion. A dispute about money is not a good basis for developing a genre, and State Consultant just pointed it out. Nor is it the case that the Norwegian network or others should lose their support — on the contrary. I would like to stress that the majority will not take a single penny from the Norwegian Rocke Association, and the ministry's changes to the music workshop system are supported by a unanimous committee. This will also ensure the further development of the Norway network. Now it is possible that the majority have entered the wrong numbers in the comments, but I expect that the department will have discovered that. Now I've been walking around for a couple of days and wondering how in the world there can be a spread of the impression that the majority believes the opposite of what we're really saying and writing, and I have a work going on to figure that out. I have registered that even the committee leader used this in a line. Now I'm not going to wonder too much about how such an impression can spread, but I see that it can serve certain purposes, not least in this debate. Finally, I would like to underline the current situation of Norwegian artists, with a sharp decline in record sales. There's enough reason to think that this is a permanent change because of the ability to copy that new technology gives. That is why the majority will start a process of looking at fund and remuneration schemes that can help us stay with music professionals in the future. There is also a background to the observation by the majority that the practitioners must be involved in the award process, so that political progress is made as a result of the appointment to benefit the practitioners.
ParlaMint-NO_1998-12-15-2.ana.ud360e852	The representative Karita Bekkemelm Orheim challenges me at the Youth Centre. I want to refer to the post I had, where I just spoke about it and pointed to the funds that are devoted to further work on setting up the centre, which we have also mentioned in the comments in the setting. So there shouldn't be anything that was unclear about it. The Youth Centre working group has done a great job, also by organising an international seminar on youth architecture, a great seminar that attended and put this in focus with the youth centre also internationally. So to proposal No. 20, from the Workers' Party. It says so.\t\t You can change the settings of the ‘The Government is asking the Government to work actively with the Møre and Romsdal County Municipality with the Youth Centre in Ålesund and with the Bergen Municipality on the National Scene in Bergen, to complete these thousand-year projects.’ As far as I have registered, Hordaland County has not given priority to a thousand-year-old city, and in the proposal one indicates that one should negotiate with the municipality of Bergen. But there must be negotiations with both the county and the municipality, and there will be a waiting for the priority to come from the county. I want to encourage the Workers' Party to turn this into a transmission proposal. We have clearly stated in the setting, and also in the budget department, that one will continue to work on this, so there is no need beyond that to instruct the Government about what we have already said that we will be doing.
