ParlaMint-NO_1998-12-07-2.ana.ud94e44	The called alternate of the Mora and Romesdal counties, Eli Sollied Överaas, has taken the seat.
ParlaMint-NO_1998-12-07-2.ana.ud94e329	The right refers to the great potential for the development and use of alternative energy sources and renewable energy. Right will stimulate an increase in the use of new energy sources, waterborne heat, heat pumps and bioenergy, and therefore proposes an increase of 12pst. for that purpose. We have been charged here in the hall that we have not driven hard on alternative energy. I just want to refute it, because if there's anyone who's been running on it, it's the right. We made a proposal in Stortinget about increased use of heat pumps, precisely because heat pumps are what we believe is the best thing to bet on today. Right outside the window here there are enormous possibilities for energy. There's so much energy that we can't actually use up what's out there. And if we use what's in the soil and water as well, then we can do it in energy without doing it like the centermates, that's putting on the charge for twisting the consumption. What we have to do is make sure to market this form of energy in a completely different way from what we've done now. There must be effective out here, i.e. proper marketing, like the marketing that businesses use to sell their products. The Stortinget has something to learn, and that's what the Right wanted us to be able to do. The biggest environmental and energy problem we have here in Norway is the Government. We have a government that unfortunately does not have a majority in this Chamber, and that is a real problem. That is why I would urge the Government to turn either to the right or to the left as soon as possible in order to address both energy and environmental policy. We can't have it the way we have it today, where we angle from side to side, and where it's unpredictable all the way. If there is some business, oil and other industries that want to catch up, there is a stable framework. They want to rule according to predictability, not after what we experience today. It's a tragedy for Norway that we have a government that hasn't realized this. We have a political crisis in this country, and this political crisis is our job in Stortinget to end. I am really surprised when I find that the centremates come to Stortinget and say that they are very pleased with the budget they have submitted, not least the representative Rise could tell that he was very pleased with what they had presented. What have they submitted? First, we in opposition had to make sure to change blood on them, and then we had to make sure to give them artificial breathing comfort so that they would get to the financial debate that we had. It's a tragedy that they haven't realized that it wasn't the ones who put out a budget, it was all the others in the Storting that put it out. I hope, as I said at the outset, that this government understands the writing that is on the wall of this nation. If they don't get it, we get it in the opposition, and then we get to help them out of the government building.
ParlaMint-NO_1998-12-07-2.ana.ud94e344	After this article, it might well be right to remind you that it was Right who made sure that this government survived again. The oil price is the lowest in many years. There are special demands for us who are politicians in a country with as large an oil sector as Norway has. Fortunately, targeted policies have made Norway much less vulnerable to fluctuations in the oil price than just a few years ago. With the help of the oil fund, we have created a buffer that can take off the oscillations. Reduced oil revenue no longer automatically means cutting public expenditure or services. Although low oil prices and thus reduced revenue for the country are not as acute as before, a reduced oil fund will, of course, be a long-term problem. But low oil prices mean more to Norway than reduced revenues. The oil sector itself is very important. Thousands of people work in oil companies and the supplier industry. Ring effects create new activity and new jobs. Many communities and municipalities depend entirely on the activity taking place in the oil sector. If this sector has problems, it means that large parts of Norway get it. Reduced oil prices over time may threaten thousands of jobs. If we can influence the oil price, one thing is for itself. But the oil price is not the only framework under which this industry lives. All the time oil prices are so volatile, it is all the more important that the other framework conditions are far-sighted and long-term. This has not been the case in the last year, rather on the contrary. There is a new uncertainty, an uncertain link to the administration of this sector. Several representatives have tabled proposals for an increase in CO2 tax, increase capital taxes and lower the limit of simplified approval – all proposals that go in the wrong direction. Instead of helping to make it more interesting to invest in Norway for a difficult period, the government has done the opposite. Nor can I see that Arnstad's statement earlier today was particularly clarifying or entertaining in this area. Unfortunately, this industry seems to have to live with uncertain links to its policies. It has been claimed that there are not quite the big differences in the different budgets today. However, I would argue that relatively small cuts – or for the sake of the case’s additions – have much greater consequences in some areas than in others. Such a vulnerable area is the Riksantikvar. When the conciliators cut $6 million. NOK 8 million. kr, in this area, has a direct impact on the activity to be carried out by the Riksantikvar. The majority are concerned about their own cuts. At the same time as they cut the post of protection and preservation of peaced cultural memory, they ask to be kept informed about the impact of the cut. The normal thing is to add if you're worried about whether an area gets enough money, and not like the multiples here do, to cut. I also think it's a little strange that a person is trying to hide this cut as the plural actually does. I thought it would be more real if a giver told me what the cut would mean. We are now at the threshold of a new millennium. I think it gives us a chance to look back, look at our history, and then the question is what characterizes the century that we're now about to leave. I want to claim that among many things is not the least industrialization of Norway for the wealth that we can all share in today. I thought it was important to take care of that part of our cultural heritage that is related to industry and technical cultural memory. I am therefore sorry that it was not possible to get an increase in the benefit of these. And I find that the eagerness to preserve these cultural memories was more important to the government party when they were in opposition than is the case today. I hope they cut that the plural has done, won't interfere with industrial memory. Today, there have been a number of actions that the Government has completed and that they boast of. I would like to say that this list shows that the ambitions in this area are greatly reduced. I mean, the right thing would be to compare today's bet with these parties' bets when they were in opposition. Among other things, the growth rate of the governmentpartis more than half since 1997. It might have been interesting to get an answer to what it is that a person needs less than two years ago.
ParlaMint-NO_1998-12-07-2.ana.ud94e365	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_1998-12-07-2.ana.ud94e368	First, the small run-up to the financial debate that has been here. It's true that SV tightens less than the government parties, but that means that we have a different distribution policy than the government parties have. A good environmental policy must also be shared. So I just want to remind you that when we dealt with the revised national budget in ours, SV tightened up more than the government – and that was actually when we should have done it. Now most economists are asking questions about the major contraction that is now taking place, because it will probably end up in high unemployment. That's what we think is a serious question, and we don't want to risk it. We might have wanted a different tone in this debate and saw that it was possible to consider matters a little different than the government is doing now, in the pinched position they are obviously in. I'm busy with the time ahead. Can we believe that something will go better next year? Because that's what we want. Will the government then put environmental issues on the agenda and fight for them, even when they are in budgetary conciliation? Or will they continue to ridicule those who are still standing on the environmental issues and want to put them first? When you go into conciliation, you put some things in front of others, and obviously, the government has done that. I understand you have to do that. Some of us have experience of this from local politics. But then you also have to say that this wasn't the most important thing for us, we put it behind us. And that's in the context that cash support is still coming up. I want to say in response to what Gunnar Kvassheim said instead, that SV uses the cash support for everything. We're not doing that. Cash support has been used for kindergartens and activities for children and young people. I didn't intend to use it on the environmental budget. But the problem for the Government is that by committing themselves to this agreement, they have prevented us from going into conciliation with other parties and finding solutions that could have made us more involved in the environment. And that's what we're so sorry about has happened. So to major environmental issues that this government is dealing with. Instead, the Minister for the Environment mentioned a number of them, which she believed the Government had taken good care of. But she forgot one, and it was Regionfelt Eastland. So in my opinion, they have done half a job there, and unfortunately that job was too bad. In fact, they have said no in principle, but they have presented a message that is a one-sided defence for. They have not used their position in government to investigate alternatives. And they've been playing the ball right in the legs of all local actors who are too shooting field, just not in their municipality. And now you fight like a biker. Unfortunately, this government has not dealt with the important and great, perhaps the greatest natural protection issue in Norwegian history in such a way that we now have some very great hope of winning.
ParlaMint-NO_1998-12-07-2.ana.ud94e384	Some words about predator management. The size has set itself the high goal of meeting our international obligations on protection while at the same time keeping both sheep and clean in the open. It goes without saying that there must then be a difficult balancing process that will require large resources for prevention, stock registration and regulation. I am therefore pleased that the Committee points out that the big community must take greater responsibility, including: the public responsibility to conduct stock management. In my view, we have left too much responsibility to the business community, which, together with the community, is now becoming the losing party. I think we have to think a little bit differently. In a far more active way, society must manage its predatory strains, make sure that it knows their size and that they are kept to an acceptable level. We also need to recognise that, in some places today, there is only one prevention measure that will work, namely to reduce the number of predators. There can be no doubt that in certain areas we have too many predators. We have seen a sharp increase in recent years. In parts of Northland, the yews are winning their final victory over both sheep farmers and reindeer. Lose 50-70 pst. has already caused many to give up, e.g. in Sagfjorden, where they have really tried to prevent. It has made a strong impression on me that, despite the losses, not to say the defeat, no one wants to clear out the yew. But the number of animals can and must be reduced, if necessary in an untraditional way. With the big sheep team we've had for a long time, some places we can't get out of some kind of minimum management if Storting's intentions are to be fulfilled. It imposes extra demands on continuous population registration, which the community must take the consequences from. I agree that we do not need a new comprehensive predatory debate, but there is a need for some innovation and a lot more money. The answer to the problems we are facing is not unwitting hunting, as someone in this room seems to want, but a planned management. If we don't do it, I'm afraid the protection work will be put under ever stronger pressure and in the long run lose completely. With the proposal for an increase in the allocation of 5 million. kr shows the Workers' Party that we take the predatory problems seriously. And once again, we can only be amazed at the center games, which recently had money for absolutely everything. Instead of supporting a proposal that would allow for an even more offensive management than the Government proposes, they clearly also rate here on some kind of cash support, namely compensation for losses. But as little as anyone can live on the cash support alone, someone can keep it going on just damages, neither economically nor morally. In this area, too, it must be far better to prevent damage than to pay compensation passively.
ParlaMint-NO_1998-12-07-2.ana.ud94e399	I noticed that the representative Stoltenberg in his speech earlier today tended to oppose making this a financial debate. He spoke about the political priorities of the government parties in 1997, the need for greater tightening than we received last year, and also reminded us that the Workers' Party warned against lower oil prices. This is probably right. The Labour Party warned, but at the same time took decisions to extend the framework, both in the context of the 1997 budget and in the treatment of the revised national budget half a year ago. The Workers' Party accepted the extension of the framework. That is why the Labour Party must also take responsibility for this now and not blame the centre parties. I want to ask the representative Stoltenberg about what happened to the private consumption. We heard a strong message from the representative Gjul about how the private consumption has increased. In a period when interest rates should have started to rise slowly, Minister of Finance Stoltenberg put interest rates down together approximately. 1.5 pst. And in the same period, the debt-financed consumption increased by approximately. NOK 110 billion. This must involve the Workers' Party in taking responsibility for it. This was also said very clearly in the election campaign. Gunn Karin Gjul just referred to the significant increase in private consumption and what to do to get it down. Among other things, she referred to the electricity consumption, which has increased by 5 TWh. Then we have to remind ourselves of the proposal to increase the electricity charge and what the Workers' Party did with that proposal. In the case of the Adultås declaration, there is an agreement between three lots concluded after the election. On the other hand, the programme of the Workers' Party is a contract with the voters, and in this contract with the voters it is called: ‘The batch will normally generate electricity equivalent to the Norwegian electricity consumption using renewable energy sources. It shall be ensured that hydropower, energy saving and alternative forms of energy can make Norway independent of electricity imports from polluting energy production.’» So now this position is left, and the contract with the voters is broken. Now it is no longer the case that the gas power has to be exported, and now we are also going to cover our own ever-increasing power consumption with gas power. As a result, the objective of being able to meet the Norwegian electricity demand with its own electricity from renewable energy sources is also abandoned. This is not an emergency stop in environmental policy, it is really turning the car around and driving with full gas in the opposite direction. I also noticed that the representative Johnsen had problems controlling his temper when he referred to my satisfaction with the budget that the Government provided. I have to ask if this government storm he warned, is the Right's official political line now, or whether it's Rogaland's Right Department Solastrandens.
ParlaMint-NO_1998-12-07-2.ana.ud94e424	I'll first say a little bit about what I drew to say a little bit about, and if I reach it, I'll comment a little bit on what the representative Rises said. What I designed was to clarify something about the reimbursement scheme for the document fee. In that case, a majority of the Committee in the vote in proposal IV is in favour of the Storting extending the time limit for the application for reimbursement of the document fee until 31 December 1998. Then I understood Arnstad that she and the Government are open to such an extension if we talked about the deadline for ownership decisions, i.e. the decision of the owners to go in for a reorganisation that could then form the basis for reimbursement of the document fee. If it is such that the Council of State can confirm that it is possible to extend that time limit for ownership decisions until 31 December 1998, that proposal may be converted into a transmission proposal, and that is the case out of the world. When it comes to the representative Rise, I just want to say: I am recording that the Christian People's Party believes that private consumption was too high in 1997. Then it is strange that the Christian People's Party is increasing consumption even more, from this very high level in 1998 to even a little more in 1999. You might want to be a little bit careful about going so far towards private consumption when you add up to a still massive growth in consumption. Of course, this is also the reason why electricity consumption is now growing more than in a very long time. Now what we're doing in Norway is that we can't agree on how to cover our own power consumption. The only thing we can agree on is to increase imports, and that's all batches against! And that's what we're doing.
ParlaMint-NO_1998-12-07-2.ana.ud94e440	Let me first be allowed to confirm, as I was also involved in my post earlier today, that I have registered that a majority in Stortinget expresses the desire to extend the deadline for reimbursement of the document fee to 31 December 1998. I take note that one then extends the deadline as a deadline for the decision of the owner relating to the reimbursement scheme. – So I can safely confirm that, as the committee leader expressed his wish. So a few words about a few of the things that have emerged in the debate. Firstly, a few words about the framework conditions on Norwegian continental shelf. It is kept under constant review in the Ministry. We are concerned that there should be acceptable framework conditions, whether there are higher oil prices or there is a more uncertain price picture, as we see in today's oil market. That is why the Government has now launched a project to monitor the competitiveness of the Norwegian continental shelf. Let's go through it. We have also decided to issue new extraction permits, which may allow new exploration activities in the years to come. We have so far not been willing to go in and assess the tax system, and that is because framework conditions are far more than just the issue of taxation. To bring down the tax conditions would be unfortunate all the time we have a reasonably flexible tax system on Norwegian continental shelf. We have a more flexible tax system on Norwegian continental shelf than we have on British continental shelf, in the sense that we can see more fields in context, both fields that are in an expansion phase, and fields that are in a production phase. I notice very well that there are divided opinions in the Storting about the concrete tax proposals proposed by the Government, but we did not have the opportunity to go further in an agreement with the Right and the Advance Party. Stoltenberg raised the question of the use of oil revenues. Let me also say two words about it. I agree with the considerations he came up with, and I want to mention that the oil-corrected deficit in next year's budget is actually lower than it has ever been. There is also a sign that we are using less and less of the oil revenues in the Norwegian state budget and are therefore also less dependent on the oil sector than before. Let me mention the investment appropriations – which I was in my post, but there I got a little too little time – because we've had debates in Stortinget on that earlier. Investment estimates have been associated with extra uncertainty this year, due to the sharp fall in oil prices. It contributes to increasing the uncertainty surrounding the time and budgeting of licences. I have already said that so far we see a trend towards an increase in investment estimates for 1999 compared to the national budget, but we need to get closer to the Stortinget in the revised national budget with final forecasts about it.
ParlaMint-NO_1998-12-07-2.ana.ud94e451	It was in many ways a little unfortunate that it was first in the closing rounds that this debate got a little temperature, and it was then initiated by the representative Jan Johnsen, who spoke to the Stortinget in capital letters, and that was so much okay. What was the problem was that it was hard to understand what Jan Johnsen really meant. He said on the one hand that we were bathing in opportunities for energy using alternatives to what we have today. At the same time, Jan Johnsen is the leading builder of Upper Otta, and is the leading builder of gas power plants on most street corners. He said at the same time that he wanted to bear this government, which he himself has just supported, out of the government offices, to complain at the next moment that this government does not have a majority in the Stortinget. The sum total is left with a message from the representative, Jan Johnsen, who essentially has the form of a single big question mark. So to the representative Gunn Karin Gjul, who spent a lot of his time on a massive attack on what she defined as the government party's betrayal of environmental policy, referring to what is stated in the Adult Declaration, and other things for which the government parties must have expressed themselves. There's reason to remind Gunn Karin Gjul that the program she went to choose on is a contract with the Workers' Party's voters. The national meeting of the Workers' Party has now made a mid-term change and opened up the possibility of using gas for domestic consumption. I know it's a decision that Gunn Karin Gjul himself regrets. However, despite tightening budgets, the Government has managed to maintain its main priorities in the energy and environmental sectors. With regard to priority for an additional and alternative energy, there are proposals for significant increases. We have invited Stortinget to participate in measures that can reduce electricity consumption and have among other things. set up the electricity charge, an instrument we have great faith in would be effective. So finally to Karin Andersen, who, like his party colleague Langeland, refers to cash support as an obstacle to increased investment in the environment, and who claims that the squeeze in which the government parties have put themselves through an agreement with the Advance Party and the Right, prevents us from entering into cooperation in a different direction. To that it is to say that this is not the problem of the government parties, but that it is a problem that we have a party in the Storting that does not accept that there is a majority in the Storing that has agreed to this agreement, and that at the same time forms a majority behind the law. It's a bigger problem for that party than it is for the government parties.
ParlaMint-NO_1998-12-07-2.ana.ud94e461	Like Gunnar Breimo, I agree that the questions about predatory game are important, not least because we have a common responsibility to try to combine two seemingly conflicting considerations, namely to maintain a viable population of the four largest predators, while at the same time we are committed to using outreach for both sheep and pure, probably the most sensible and environmentally friendly meat production we can have. It has been the government's idea that the most important thing we could do in this area was to increase the funding for stock registration. The reason for that is simple. There is a relatively large disagreement about how many predators we have of the different species. So once we've chosen to increase this post, it's for us to enable ourselves to, among other things. to track snow and get as precise knowledge as possible about how many predators we have. We have also done a number of important things about prevention. Among the things we've done is that we've opened the way for the extraction of pests and, to a large extent, have also delegated the power to this locally. What we are doing now is to carry out a broad evaluation of the situation after the year's grazing season, where, in addition to going through loss patterns and what we need to know about the populations, we are interested in having a proper evaluation of the prevention measures, not least to get knowledge of who works well, what kind of transfer value they have and where they may be transferred. It is also the case that the sum of compensation has increased, and the draft legal text of the statutory right to compensation is being consulted. In the end, I just want to say two sentences about the region field of Eastern Europe. If I didn't say so instead, it must have been a mistake. But I think it's important to stress that the reason for the government's failure to recommend the options is that we have documented that there are major natural interventions. I find it hard to understand that the documentation could not help those who are engaged in this matter.
ParlaMint-NO_1998-12-07-2.ana.ud94e470	First of all, the documentation contained in the impact assessment for the Eastern Region, which is located in all the hearing bodies, is good. But one doesn't find it in the main message. There's a really save on paper and not taken with good environmental arguments against, but tried to minimize them. One has systematised it in such a way that one has zeroed out many of the important environmental policy appeal points. It's regrettable, but we who want to fight this, are helping to better understand these facts during the Groeting. So to the representative Rahm, who says it's not the government that has a problem, but there's obviously someone else who has a problem, because the government has concluded a cash support agreement with the Right and the Advance Party, and now one has also concluded other agreements with the same parties. The problem is that they have entered into an agreement that they say they cannot break, and they have raised it to the most important thing, because it should always be at the bottom – it should always be there. I have heard that the Workers' Party has said that they are willing to negotiate this cash support and look at the possibilities of leading parts of it further, and we in SV have also signaled that we could imagine that. But I have not heard at all a single signal from the Government about how it might think of positioning itself in this matter to get out of this squeeze. Because in the tight government parties are now sitting, they are not going to do anything about environmental policy that could mean a change, nor are they getting done anything about distribution policy, which I think is almost as regrettable. So the problem is not that one has got this case through once, but the problem is that one has signed up with other parties on agreements that they say they can't break, and then they're going to force this case through first, in front of all other matters. And if it's not in front of all other things – if that's the signal that's coming, that it's not the most important – you're told that this agreement we have to go away from, because there are other things that are more important. But as long as the government parties sail continue to deal with this one matter in the way that one does, it becomes the one that becomes the most important, and the one that gets to rule everything. Unfortunately, then, we do not find solutions to environmental policy, nor do we find solutions to a number of other issues. Therefore, it would have been important if representatives of the Government or government parties today had given clearer signals as to what direction they might expect to go environmental policy, who they think is the alliance partners to get there – a little bit about where they might think they would go to get this. They don't. Now they just close their eyes to these realities and keep leaving it with the Right Party and the Advance Party.
ParlaMint-NO_1998-12-07-2.ana.ud94e477	Several have not asked for the floor for case No. 4 - 6. [[Votation, see below]]
ParlaMint-NO_1998-12-07-2.ana.ud94e485	It shall then be put to the vote in the case No. 4-6.
ParlaMint-NO_1998-12-07-2.ana.ud94e492	Twelve proposals have been put forward during the debate. It's: the proposals No 1 and 8, by Jens Stoltenberg on behalf of the Workers' Party, proposals No. 2, 5, 6, 7, 11 and 12, by Hallgeir Langeland on behalf of the Socialist Left Party, proposal No. 3, by Lars Rise on behalf of the Christian People's Party, the Central Party, the Socialist Left Party and the Left Proposals No. 4, 9 and 10, by Øyvind Waksdal, on behalf of the Party of Progress and the Right The President will first address the Framework Area 12 and then the Framework Area 13. Minority proposals independent of the budgetary framework are first taken under each framework area, and proposals for Roman Num Decisions outside the budgetary framework are finally taken under each framework area. Are there any contradictions to this procedure? – It is not, and that is how it will be done. We start with minority proposals in Framework Area 12. First of all, there is the vote on the motions for resolutions. 5, 6 and 7 from the Socialist Left Party. Proposal No. 5 sounds: ‘The Government asks the Government to review the Planning and Building Act, the building regulations and relevant guidelines with a view to increasing energy efficiency and ensuring increased use of alternative renewable energy carriers.’ Proposal No. 6 sounds: ‘The government asks the government to explore the possibilities to finance an increase in private households’ actions over the network lease.’ Proposal No. 7 sounds: ‘The Government requests the introduction of a labelling system that demonstrates energy use in all household products and establishes minimum standards that will help to remove the most energy-efficient products from the market.’
ParlaMint-NO_1998-12-07-2.ana.ud94e538	Proposal No. 4, from the Advancement Party and the Right, to voting. The proposal reads as follows: ‘The decision asks the Government to facilitate the conversion of Statkraft SF and Statnett SF into limited liability companies and the opening of private capital.’
ParlaMint-NO_1998-12-07-2.ana.ud94e552	Proposal No. 3, from the Christian People's Party, the Center Party, the Socialist Left Party and the Left, will be recorded together with the setting I under B.
ParlaMint-NO_1998-12-07-2.ana.ud94e1386	There are two different proposals here. That is proposal No. 1, from the Workers' Party: ‘I. The 1999 budget provides for: Chapter.PostDestinationCronesCronesExpenditure1800Ministry of Olives and Energy [[(see section 4.4). cap. (Rule 5440)]] Revenues4810Directorate of Oil [[(see section 4.4). cap. 2440)]]
ParlaMint-NO_1998-12-07-2.ana.ud94e3144	There is an aberrant proposal, No. 3, from the Christian People's Party, the Center Party, the Socialist Left Party and the Left: ‘Approval of projects in the Norwegian continental shelf The majority agrees that in 1999 the King may authorise projects on Norwegian continental shelf under the following conditions: The project must not have any principal or social implications. Upper limit of total investments per year project represents 3 billion. krones. Each project must demonstrate acceptable socio-economic viability and be reasonably robust against changes in the price evolution of oil and natural gas. There must be ad hoc cover for investments under cap. 2440 Direct economic involvement of the State in the petroleum industry.»
ParlaMint-NO_1998-12-07-2.ana.ud94e3200	Then we're dealing with IV, which is transformed into a transmission proposal. The proposal is amended as follows: ‘IVIt is recommended that the Government extend the period for applications for reimbursement of the document fee until 31.12.98.’; The President proposes that the proposal be forwarded to the Government without a motion for a resolution. – It shall be deemed to have been adopted.
ParlaMint-NO_1998-12-07-2.ana.ud94e3217	It is the Workers' Party, the Advance Party and the Right that are behind this Roman number.
ParlaMint-NO_1998-12-07-2.ana.ud94e3228	So we're going to go to area 13 and we're starting with the minority proposals. We first deal with voting proposal No. 11, from the Socialist Left Party. The proposal reads as follows: ‘The magnitude is known of the positive effects of liming on life in water and watercourses and asks the Government to increase efforts in this area.’ Here the Progress Party has announced its support.
ParlaMint-NO_1998-12-07-2.ana.ud94e3246	Proposal No. 12, from the Socialist Left Party, is addressed to voting. The proposal reads as follows: ‘The Government asks the Government to strengthen research on environmental impacts related to the operation of fish farms.’
ParlaMint-NO_1998-12-07-2.ana.ud94e3258	Proposals Nos. 9 and 10, from the Party of Advancement and the Right, shall be taken up for parturition. Proposal No. 9 sounds: ‘The Government is asking the Government to draw up a plan for the gradual sale of the State’s holdings in Norwegian Waste Management AS.’ Proposal No. 10 sounds: ‘The Government asks the Government to separate the commercial activities of the Staten Kartverk as its own company. The new company is transformed into a limited liability company and sold.»
ParlaMint-NO_1998-12-07-2.ana.ud94e4997	There is an aberrant proposal, No. Eight, from the Workers' Party. The proposal reads as follows: ‘I. The 1999 budget provides for: Chapter.PostDestinationCronesCronesExpenditure1400Ministry of the Environment [[(see section 4.4). cap. 5491 and 5603)]] Income4400Ministry of the Environment [[(see section 4.4). cap. 1441)]]
ParlaMint-NO_1998-12-07-2.ana.ud94e6693	The vote will be taken first on this proposal and then on the vote.
ParlaMint-NO_1998-12-07-2.ana.ud94e6716	Here the Progress Party has announced that they will vote against it.
