ParlaMint-NO_1998-12-17.ana.ud456e36	The representative Anneliese Dørum, who has been licensed, has again taken the seat.
ParlaMint-NO_1998-12-17.ana.ud456e374	The reality has gotten the no-regime. A trip to Brussels in November 1997 was what had to happen. It is only surprising that some central party councils continue to refuse to take this inward despite the clear recommendation made by the party and government counterpart Angelsen to the Stortingen to adopt the veterinary agreement. In retrospect, it might be an idea for the entire College of Government to take a group trip to Brussels to ensure a common experience of reality. The central government recommends the agreement under four assumptions, listed in the proposition. The revised agreement has been negotiated by the Labour Party Government and involves the short termination and replacement of veterinary border controls by other control measures, the primary responsibility of which lies with the country of dispatch for the control of food and food products being found to be in order for export. The agreement involves the introduction of a number of new control mechanisms and information procedures to replace the current border control. Through open consultations conducted jointly by the Foreign Affairs Committee and the Trade Committee, the Right has received the necessary confirmations that the preliminary conclusion we gave to the draft agreement as it was presented in January 1997 in the Stortingen, is now also our final conclusion and clear recommendation. We note that: The agreement in combination with national control and surveillance programmes compensates for the loss of border control. Checks are being strengthened in a number of areas. The Agreement prevents a more extensive veterinary border control in the export of Norwegian fish and fishery products, which is essential for Norwegian fishing exports and for the fishing industry. The Agreement strengthens cooperation between the Norwegian veterinary authorities and the veterinary authorities in the other EEA territory. It is on this basis that we agree with the Government's recommendation. However, allow me to comment on the bizarre situation that has arisen between the Centre Party and their own members of government. In the setting, the Johan J. Jakobsen of the Centre Party states among other things.\t\t You can change the settings of the grid. \t\t \t ‘This member considers that there is reason to doubt the allegations that trailers with fish from Norway would risk having to wait for days to cross the border crossing to the EU. Such a practice would, in the event of a failure to comply with the objectives of the provisions and the objectives of the EEA Agreement.’;» To this end, during the open consultation, the Minister for Fisheries shall reply: ‘I would like to clarify that it is the potential of the new border control for delays that are significant. At my discretion, this is indisputable. So I find it hard to understand that someone stubbornly denies such a reality. The fact that other considerations are given greater weight after a well-thought-out, I respect, but not that the fishing arguments are swept under the carpet as non-existent.’ Furthermore, the central part of the setting says: ‘This member therefore recognises the need for the fishing industry to have as easy as possible market access to the EU. However, this member has noted that in the proposition it has not been possible to demonstrate the economic and practical consequences it will have for Norwegian fish exports to the EU, compared to the current situation, if the size does not accept the veterinary agreement.» To this the Minister for Fisheries replied during the open hearing: ‘If the Storting says no to the agreement, the frequency of physical checks will be 20 pst. for fresh, frozen, salted and hermetic fish products. For other fish products, including smoked salmon, and shrimp products, the frequency will be 50 pst. Those percentages result from the harmonised EU border control legislation with effect from 1 January 1997. As a result of a special scheme, Norway has released this adjusted frequency pending the implementation of the negotiated agreement.» It must be a strong and unpleasant experience for the Minister for Fisheries that his factual information as a specialist council then until those degrees are questioned by his party traps. But the really worrying thing about the central party's position on this issue is that the purpose of keeping the party's black-and-white attitude towards the EU is put ahead of what the country should be served with. There should be a powerful wake-up to all those in Coast Norway who have their work in the fishing industry. It is not the EU, but it is the Central Party that poses the threat to all these jobs.
ParlaMint-NO_1998-12-17.ana.ud456e424	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e427	It is not difficult to agree with the last time that the representative Frost Sterri said, but I have a few other questions for the representative. It is widely held that the amendment of Annex I to the EEA Agreement, i.e. the veterinary agreement, also leads to increased and uncontrolled imports of food and animal products. This was last claimed by the representative Langeland in a reply earlier today. In a paper published by the campaign against the extension of the EEA Agreement, Aina Edelmann writes among others. the desire for the least possible food imports and food for the Nordics must be produced in an environmentally sound manner as far as possible in Norway. Aina Edelmann's point is that the veterinary agreement itself will lead to increased imports, and I would like the representative Frost Sterri to comment on it. The representative was a little bit concerned with consumer interests, and most of us are very concerned that we get high-quality food, which is healthy, and which we are sure does not lead to a deterioration in our public health. So I would like to ask: does the representative Frost Sterri think that the Norwegian consumer role is taken seriously by the new control regime, which is thus replacing the border control we have today?
ParlaMint-NO_1998-12-17.ana.ud456e438	First of all, with increased imports in connection with the veterinary agreement. I'm quite startled at how people who express themselves and want to appear with professional weight express themselves against better knowledge and actually seduce the population by asserting such things – as Marit Nybakk pointed out – as Aina Edelmann does. We also noticed during the open hearings that there were indeed some incorrect information that was communicated to us, which fortunately we were verified during the hearings, including with the specialist councils. So I have to say that making such a claim that the veterinary agreement itself will lead to increased imports is both misleading people and speaking against better knowledge. What we know, of course, is that a result of the forthcoming WTO negotiations could increase imports of food. That is why I think it is very right for the Government and the Minister of Agriculture to prepare for the construction of border inspection posts – Norway will then become an external border with the EU – also to dimension it in view of the fact that there may be changes through the negotiations on the WTO agreement. But we don't know about that yet, and we don't know how long these negotiations will take. However, there is nothing in the veterinary agreement itself that should lead to increased imports of food, whether from the EU or from other countries. We still have our customs controls at the border, and there is nothing about the customs rates that change through this. I'm not going to comment on this with the consumer interests, but we'll see if I get the chance during the loop.
ParlaMint-NO_1998-12-17.ana.ud456e450	The representative Siri Frost Sterri, once again, gave a very small impression that one had counter-representatives with regard to the content of this agreement that we are debating today, and the effects of it. Just the last representative Siri Frost Sterri was in the reply to Marit Nybakk, could suggest that the Right obviously does not aim to increase imports, nor does it aim to weaken the customs rates that represent that protection, and that is to the extent an interesting information. In his speech Siri Frost Sterri presented it so that, in particular, we in the Centre Party, who wish to have a broad view of this matter too, think black, and as a Union follower, she obviously had the right position on this issue too! This is an agreement with a clear balance of border protection. The plurality of the people means it, and also many trade unions believe it. The representative Siri Frost Sterri placed great emphasis on fisheries issues, and it is quite clear that, as laid down by the government of Jagland, this negotiating arrangement has a weighty border protection in favour of the EU's untimely demands on the fishing side. My question in relation to this slightly unsubstantiated post of the representative Siri Frost Sterri is: is there any doubt about anything, especially when it concerns the fishing industry? Would this lead to non-infection in the farming industry, to wild breeds, to the fishing industry, which is dependent on raw material from third countries, not meeting a single problem? A little more nuanced hold I had actually waited for by the representative Siri Frost Starri and Right.
ParlaMint-NO_1998-12-17.ana.ud456e461	So this article came from a representative of one of the parties to a government that today recommends the Storting to adopt this agreement. I think it speaks for itself. We have gone into this and choose to believe the Councils both in what they say, and what they said during the hearings about what changes mean. Now allow the representative Holte Right a prerequisite, which I actually did not express. What I said was that the veterinary agreement itself does not lead to increased imports of food into Norway. I didn't say anything about what the Right's position on these questions is, for the representative Holte wants to know that here we have clear positions that are going to help the poorest of the poor countries in the world to sell their products to, among other things. countries like Norway, where I know that the Centre Party, precisely to protect Norwegian agricultural products and Norwegian farmers, is strongly opposed. But that's not what this is about. I don't want to be good enough that there can't be any diseases associated with, among other things. Our salmon, as the representative Holte was inside. But we're going to hope that we can still manage to prevent this. We've had diseases related to the farmed salmon before, so in that case it wouldn't be the first time. The representative Holte said we're now getting a clearly weakened border guard. What he forgot to say was that to replace the veterinary checks at the border, we built up a series of reinforcements of the other measures to ensure healthy and healthy food.
ParlaMint-NO_1998-12-17.ana.ud456e472	Several have not asked for the word for a line.
ParlaMint-NO_1998-12-17.ana.ud456e475	In a few years we have experienced a strong increase in cross-border trade. We have had changes in the trade conditions associated with the establishment of the WTO, the establishment of the EEA Agreement, we have been through negotiations on EU membership, and today we are discussing an extension of the EEA Agreement, which means that border controls on biological products, trade in live animals, animal products and foodstuffs are disappearing. From a number of sources, consideration has been given to the fishing industry. Norway is a major exporter of fish and fish products, and because of this, it has the lowest possible trade barriers and the simplest possible market access, in particular to the EU, which is clearly the largest single market for Norwegian fisheries. It is therefore not difficult to understand from this point of view that it is appropriate to agree to an extension of the EEA Agreement. However, our task as elected representatives is to weigh such business considerations against other considerations in order to be able to base as comprehensive an assessment as possible on the decisions we make. By accepting the extended EEA Agreement, Norway will have to provide the border protection that both the Harlem Brundtland Government and the majority of the Storting in October 1992 considered to be ‘a substantial protection against infectious and serious diseases’. In St. pp. No 100 for 1991-92 states that: «Norwegian livestock generally have very good health. All serious infectious diseases in animals have either been eradicated or brought under control. Several of the most serious diseases have never been diagnosed here in the country. Few other countries have similar good animal health conditions. There are several reasons for this. Norway has been largely self-sufficient in animal products and imports of live animals and animal products have been very small.’... ‘As a consequence of increased trade, it would be natural to increase preparedness for outbreaks of infectious diseases. This applies both to border inspection and to increased capacity of the veterinary laboratories.» These are wise words, but the border guard, which, in my opinion, gives the most important protection, is the bulk of the population today willing to give up. This implies leaving a precautionary principle whereby food imports are subject to control before the products reach the consumer and replace it with a system of random checks to minimise the flow of goods. In practice, this means that imported food will be mainly checked out in the retail outlets and that the commodities may be digested before the analytical results are available. The Government has included in its proposal compensatory measures to remedy the weaknesses inherent in the veterinary agreement. These measures are isolated in good and reasonable terms and should, in the opinion of the Centre Party, be an important complement to the current system, but in no way be able to replace the security of border controls. In this context, I refer you to the opinion of the State Health Authority dated 14 October 1998, which states: ‘Although the quantity of products imported would not increase significantly, we fear that an extension of Annex I to the EEA Agreement would increase the pressure on Norway due to the reduction of veterinary border controls.’ I have already been in our interests as a fishing nation on a general basis. However, I believe that there is reason to ask questions as to whether the negative consequences of not agreeing to the veterinary agreement will be as great as you can believe from the arguments of some drivers. It is a fact that there is no evidence of the economic impact on the industry or of the extent to which the changes in the control regime we are going to be in practice. In this context, I would like to point out that the landfill proposal shows that practical arrangements will be in place for imports from third countries into Norway in order to ensure the smoothest possible control. So flexibility has been accepted to make control practical in relation to the needs of the industry. This is positive and should, in my opinion, indicate that it would be possible to achieve similar flexibility even if we chose to say no to the agreement. In conclusion, I would like to say that the Government has done a thorough job of developing compensatory measures, which, within a new regime, will provide maximum security for public and animal welfare. In spite of this and on the basis of an overall assessment, the central party believes that the conclusion of the veterinary agreement will mean that Norway will replace a system that has so far proved appropriate for the protection of public and animal health with a system that will not take account of these considerations to an equal extent. The centre party will vote against I in the setting on this basis. However, if this were to be approved, the Central Party will vote in favour of II.
ParlaMint-NO_1998-12-17.ana.ud456e511	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e514	It is doubtful from a number of quarters whether it is important for the Norwegian fishing industry that the Storting agrees today with the amendments to Annex I to the EEA Agreement. There is a clear impression that Norwegian fish exports will actually go very well even if we say no to the new veterinary supplement in the EEA Agreement. In the debate so far, the representatives of the Central Party have so completely built up under this. Und Aarrestad said in his reply to Fridtjof Frank Gundersen that it is almost ‘a bluff’ to claim that the veterinary agreement is important for the fishing industry. These are strong words. These claims are opposed to the entire Norwegian fishing industry – fishermen, breeders, fish buyers, fish industry and fish exporters. Everyone is quite unambiguous: this agreement is very important for the Norwegian fishing industry. Yes, even the Minister of Fisheries of the No Party of the Senterpartiet, Enoksen's own party, stresses the importance of this for the entire Norwegian fishing industry. My questions to Enoxen are simply: Is the entire Norwegian fishing industry wrong? Is the Minister for Fisheries totally wrong? Is not the whole Norwegian fishing industry doing its own good?
ParlaMint-NO_1998-12-17.ana.ud456e523	I want to refer again to what I said in my speech about the importance of Norwegian fishing industry having the simplest possible market access. What we've been focusing on, however, is an overall assessment of these relationships. It is true that an overall Norwegian fishing industry has said that it is desirable to accede to this agreement. There have been economic considerations taken into account, and – as I said in my speech – I understand that such an approach is being chosen to such a case as this one. But it's not that absolutely everyone is equally unambiguous. For example, Norway’s Fischarkvinnelag have: to the effect that, on the basis of an overall assessment, it is considered that the opposite position should be taken. So it's like all of the arguments that are being used are well-known. They were used for the tediousness of the yes-side even during the EU fight. Everyone has seen developments in retrospect. The ‘yes’ page said about what would be the result for Norwegian fishing industry if you did not become a member of the EU has proved to be a failure in all areas. It is also the case that we know that the demand for fish and fish products will increase sharply in the future, while access to resources will be limited. The resource represented by our fishing industry suggests that no consumer nation will be served by a control regime that prevents fish products from reaching consumers as quickly as possible. On the other hand, it is also the case – and I think it should be emphasised in this context – that, as a fishing nation, we should facilitate as much as possible the conditions to deal with as many parts of the available raw material as possible. In practice, in my opinion, this would mean that we need to facilitate as easy as possible access for Russian fishing vessels, not which are now introducing a regime that complicates access despite the flexibility achieved by this agreement. It will be important for us as a fishing nation to build up under the supply of raw materials, because market access and border control will not be more complicated than consumers in the recipient countries will accept.
ParlaMint-NO_1998-12-17.ana.ud456e536	I had not thought I would experience in Stortinget that the Minister of Fisheries – the former representative of the Northern Ireland bench and the colleague of Enoxsen in the previous period – and Enoxsen would have such a totally different perception of the reality that could occur depending on whether or not to enter into the agreement. I feel reasonably sure that the coastal population in both the north and the south will thank Angelsen for the heroic struggle he has waged, perhaps not least in his own party. When the chairman of the nutrition committee manages to cough up Norway's Fish Pigs teams as the only ones who have gone against this agreement in the fishing environment, I say: Poor ones when «the cold» comes home from fishing! And Holte says, "Doesn't right counter-conceptions?" Opposites? This is an agreement for which a no-government almost on death and life goes in for, and even central party councils go in for, and then ask one if Right has counter performances! It is described in the proposition in an excellent way, and I must say it is strange that the chairman of the nutrition committee almost does not attach any importance to the fact that EU fishermen, EU breeders, will be able to do with the law what they have done in the past in civil disobedience, namely to open Norwegian fishing trailers. Is there anyone who doubts that they will use all the means at their disposal to ensure that the European Monitoring Centres will use all the funds available if we do not enter into the agreement? There can be no doubt about that. No, Angelsen has made an amazing effort short and well, and he needs praise for it. In relation to the excellent article that he sent land and beach around this, I would ask Enoxen: what is it that Enoch has seen that Angelsen has not seen, or that he might not see? And what does Angelsen's article describe the effects, in which Enoxen disagrees?
ParlaMint-NO_1998-12-17.ana.ud456e545	The woman’s vision expressed by the representative Gabrielsen when he wants to take little account of what the Norwegian Fisheries Association stands for will be on his own account. I assume that once the Norwegian Fish Association has taken this position, it has dealt with it in several contexts, including: At its annual meeting, and having taken the position you have, it is based on an overall assessment that you will definitely not be involved in harming the industry you yourself represent, which you depend on. You live in coastal communities, you live on the income that the fishing industry brings, and I refuse to believe that Norway's Fish farms would take a position that would damage the industry they themselves depend on to live on. Therefore, I believe that the opinion of the Norwegian Fisharkvinnelag in this context is important. I have said in my post that we have made our decisions based on an overall assessment. I'm on it. I see that if only the fishing industry is taken into account, of course a simpler border crossing would be preferable, but it is an overall assessment that has been taken into account. I do not deny that border controls will complicate the conditions of the fishing industry. It would be stupid to do that, and no one has said it either. But what I'm saying is that it'll definitely be to live with. It remains to be seen how complicated it will be in practice. It remains to be seen whether consumers in EU countries will accept that trailers will be at the border check when it is known that there will gradually be a chilling shortage of the valuable resource of Norwegian fish. So I'm convinced that this can be made different assessments of – there can be different assessments of how complicated it will be for the fishing industry, and when an overall assessment is taken into account, we have concluded that this in total will not be acceptable. Finally, it should not be unknown to the representative Gabrielsen that often in this room – and it amazes me that he has not previously registered it – there have been different views of government councils and depositors from the same party in previous cases. I would like to remind you that we had an organization in the Workers' Party until the fall of 1994, called the SME, which was incredibly active, and which had a diametrically opposite view of its government.
ParlaMint-NO_1998-12-17.ana.ud456e559	Several have not asked for the word for a line.
ParlaMint-NO_1998-12-17.ana.ud456e563	This debate has become a sort of strange anti-climate debate that has taken place outside these walls and in the government offices, obviously with a great deal of intensity, while here the air has somehow gone out of the balloon completely. I don't know if I can contribute any new arguments that no one has heard before, but I want to bring up some of the most important. First to fish: as an opponent of Norwegian EU membership, I must address the enemy image created by the EU in this matter. It is not that the EU is ready with long teeth and thinks: here it is to stop Norwegian fish at the border, and we shall do so quickly and efficiently, keep them away! In addition, they prefer a little bit half-rotten fish in the EU! It is not that the EU imports fish from Norway to be nice, to be good, and would prefer poor quality. On the contrary, we have a fishing resource that we export because it is attractive, and then we believe that even if we did not accept the veterinary agreement and its extension, the EU would behave with some flexibility to get the best fish products from Norway. That was the defence of the European Union. I have just not heard a single argument in terms of control over food, a single argument on the food and animal side, which in isolation says that this is a good solution and gives us better opportunities than the regime we have today. The optimal regime we could have is both – these are the measures proposed by the Government to replace the border control, along with border control. It's the optimal and most effective control regime we could have, in a situation where we know that there's going to be increased trade in food and fresh goods, and where the control aspect is especially important because we've been so lucky to have much less of these diseases than other countries. And it's not just luck. It is also because we have a different structure in Norwegian agriculture than other countries have, and we have controlled. But we from SV won't say that today's control regime is very good. It's not. It should be much better. But we think the optimal control regime would be both. What we are doing now is giving away the ability we ourselves have to take the measures we want and believe that there is a need when there is a situation of infection. Now we are assessing what kind of measures we should be allowed to introduce into the EU system. We can see from the SV's side that this is a matter for reflection. Because with a significant yes-majority in the main hall, with a referendum result where the majority said no, and with a very large environmental exposure in the case of food, what is happening here in the hall today is happening without the power of the people who are concerned with these questions being taken into consideration, and probably in violation of what the populace wants with regard to the control regime for food. It's a dilemma that we'll come up with in many contexts. SV believes that it is the responsibility of the yes parties as much as of the no-parties to ensure that what the Storting does about EU adaptations is consistent with and in compliance with the results of the referendum. That's why we have a proposal in the setting that we're now on our own, but I think maybe can mature in more parties eventually. It is important that, in the essential and important matters we get in the future, which concern EU-related issues, we should discuss whether Norway should not hold referendums, after – let us say – the Danish model, according to the model of the EU member Denmark, to ensure: 1. to maintain the EU debate2. that there is consistency between the EU adaptations being made and the people rejected in their 1994 negative position; Then I'll get one more thing, and that's to take up the glittering proposal that SV has promoted in the setting.
ParlaMint-NO_1998-12-17.ana.ud456e585	Kristin Halvorsen has taken up the suggestion she referred to. It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e590	I understand that if you are opposed to the EEA Agreement, it is difficult to follow an extension of the same agreement. So I understand that Halvorsen here has a problem. However, with regard to the EU being so particularly bad, and that they are in the pit to catch us if we do not enter into this agreement, it is therefore the case that the third country provision in respect of imports from third countries is a system that has existed for almost two years. I have no faith that it will provide Norway with systematic import benefits if we now stand as a third country. This is also how far I can understand that SV cannot be so dramatic about this agreement. If there's not enough of a comment that has come in here during a foreign stay, it says here, and I quote from SV's comments: ‘If an adequate control system is built up and the legislation is strictly practised, this may provide protection to consumers which is not significantly weaker than today’.» So it's probably not that SV is so systematic against what's happening. It is clear that you could build a lot more control, you could build walls around the border, etc. But there's a limit to what you're able to do in society today. If I understood the representative Halvorsen correctly, she said that we are now giving us the opportunity to intervene in a relevant and adequate manner when it is needed. Then I have to ask: does Halvorsen mean that we do not have the opportunity to apply national measures when we believe that this is necessary? Is it true that we cannot consider using the safeguard clauses on a national basis?
ParlaMint-NO_1998-12-17.ana.ud456e604	If I have expressed myself so bombastically, that is not true, because, in my best opinion, the rapporteur gave a fair deal and a sober explanation of what is actually in the agreement. However, we must show evidence that we have a better picture of the disease in Norway if extra measures are to be taken against, for example. Salmonella, and partly because the measures we put in place are not anti-commercial. That's the starting point. And it's clear that then we give ourselves an opportunity, on our own, to put in place exactly the measures that should suit us, right when we want, without explaining them to anyone. That's what we're adding to it. So, relative to fish. I think it's a point to stress that we actually export fish to people who are interested in buying it. When you run one argument to adopt a new regime with regard to the possibility of control of food, and that's fish, you should at least be documenting what kind of disadvantage it would be, instead of just hanging around with claims about this. You haven't actually done that, not by the government, and it might be beyond what you can expect a case rapporteur to do on his own, but you haven't done that. I think that is a minimum requirement when you make such drastic changes. So it's true as the SV notes, and as Kjell Engretsen says, today's control regime is not good enough. Not enough resources are invested in Norway per year. Today, despite the fact that we have border control, to check the actual imports. In a situation of increasing imports, we both need to rust up control here and now, and we need better control in the future. It is a precautionary principle that clearly underlies SV's opposition to this agreement.
ParlaMint-NO_1998-12-17.ana.ud456e613	I am basically quite disappointed with SV's position in this debate, and I do not think that the representative Kristin Halvorsen made any attempt to bring the debate up to some sort of climax. One goes in with open eyes and wants to send Norwegian fishing industries into a market to test whether the EU is serious. The representative says that others from this pulpit are making claims, and points out that the EU hardly has any so-called ugly teeth that should give cause for concern. This debate is about the 15 trailer loads of fish sent out per year. hour, versus one trailer load per person. months. If the representative Halvorsen has not read the SV's own comments in the case myself, I can quote from a section where it says: ‘This member will not dispute that it may cause problems for the fishing industry if Norway does not accept the veterinary agreement but does not find it possible to place decisive emphasis on these disadvantages...’ That's probably what SV's real point of view is, and then I think you should stay too good to fool the debate that you're trying to do here today. But is it this way with SV, as it seems to be with the Progress Party, that what you say from here, and what you write in the setting, is partly due to frequent stays abroad? I think you should still pay attention to travelling abroad, but I think it's important to acquire the knowledge you get abroad, when you're there to learn.
ParlaMint-NO_1998-12-17.ana.ud456e630	If this was an invitation to the representative Halvorsen to take a trip abroad, I thank you for the invitation. I would have liked to have followed it, but it is not possible to do it right now. What is stated in the SV's comment, I am fully in favour. Clearly, it is obvious that there may be greater problems for the fishing industry if Norway is to be treated as a third country. However, it is not that those who have filed this as the only argument for approving an extension of the EEA Agreement to the veterinary field, in any way document the extent of the difficulties that would have arisen. We think it's too bad a argument to change the control system for food. This was at the hearings, up and down. There was no one there who could document the kind of problems that might arise. On questions about who was ready to take over Norway’s export share, reference was made to other third countries, which may have the same problems with exports to the EU as Norway wants. Especially because that's the only argument that is made with great weight today, I think those who agree to recommend this agreement should feel a certain responsibility to predict what kind of problem it might be. But we believe that there is one argument for the agreement, and that that argument is called fish, but there are many arguments against it, and it is about consumer protection.
ParlaMint-NO_1998-12-17.ana.ud456e639	No one else has asked for a line.
ParlaMint-NO_1998-12-17.ana.ud456e642	The starting point for the Left's consideration and position on the issue we are dealing with today is that in June 1997 the Left expressed the view that future trade in food and animals should be based on maintaining border controls. Despite the position of the Left and some other parties, the negotiations were carried out and, in the context of the Declaration of the Adults, the Government accepted that the veterinary agreement should be implemented subject to an attempt to negotiate which would give a better agreement. Now we have not succeeded in the renegotiations, but what we must be able to assume on the basis of the proposition is that the Government has done an excellent job in following up the possibilities of implementing control measures on a national basis and in following up the control chain that can also be applied to EU countries. This means that the Government has done a good job in ensuring that the change in the control regime that you will receive is done on the best possible basis. As far as the situation in Norway is concerned, the starting point is that we have had a good food safety measured in an international context, and we have had a good animal health record. This is an invaluable situation, and something that we have a duty to do our best to maintain. It is my opinion that no one will be able to guarantee that no matter what regime you have, you will be able to maintain the situation with a good food situation and good animal health. But based on what we know today, the Left's view is that the new regime provides the same security as the old one in terms of maintaining food safety and animal health. In other words, Norway currently has good safety in this area, and from what we can assess today, we will have as good security as today after 1 January 1999. In this context, I refer to the chain of action outlined by the Government in the proposal, which was further underlined during the hearings. What is important, then, is that we have to follow up the systems set out in the proposal in a good way, that we have to ensure that they are implemented and enforced, and that we also use the possibilities that the legislation provides to ensure proper control in the future. I am convinced, for my part, that the sitting government will follow this up in a good and excellent way. One of the points that is sometimes highlighted is that when one has a random check — and a good part of the official control in relation to this system will be based on random checks — there is a high risk that many goods will pass through. First of all, it is so that the border control is actually based on a random check today. Not all products are controlled. That's the one. The second thing I want to highlight in particular is that, as far as I can understand, sampling has the task of checking that the other control systems in place are working properly. In other words, the primary purpose of the random check is to ensure that the control chain in the system really works. If these samples reveal that this control chain is not working, they have the possibility of taking action in relation to it, including preventing food from entering the market. Another important aspect is the labelling of food and animals. I would very clearly encourage the Government to continue working on the question of the labelling of food with the country of origin etc. Against this background, the Left considers it important to focus on the significant problems that Norwegian fishing industry would have if the agreement were not adopted, and therefore the Left will vote in favour of the agreement.
ParlaMint-NO_1998-12-17.ana.ud456e661	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e664	I have understood through the debate on this matter which has preceded the debate here in the Chamber that there are two sides to this agreement on which people are basing themselves. One is an assessment of the actual material content of the contract. Is the system gonna be okay? Is this agreement enough to control it? The second is that, as a starting point, you are opposed to Norwegian membership of the European Union, and I understand that in a way that is also synonymous with the fact that you are also opposed to this agreement because you feel that this brings us even closer to the European Union. I understand that it is the two types of basic arguments that lie there. For my part, I find it hard to understand the last argument. Now I know that the representative Hove himself was an EU opponent in 1994 – I don't know if he is still, I see in the newspapers that there is still a lack in those ranks – and I have to ask Hove, if he would be kind to answer it: Is it difficult to combine a positive attitude towards this agreement with a no-view of Norwegian membership of the EU?
ParlaMint-NO_1998-12-17.ana.ud456e671	Now, well, this is about having voted no to Norwegian membership of the EU, which both I and the replicator share, so that was a position we had in common at least. I have not intended to report to any of those who may have changed their position on this issue, so I do not have any dissatisfaction with the issue of EU membership. Now, for the sake of order, I'm a little bit unsure of how many fakes it really is. I think that a few of the people who have been declared to be non-falsified already in 1994 expressed views that made it possible to have some doubts about the extent to which they were EU opponents. It gets to be that side of the case. On the issue of the relationship between the veterinary agreement and raising other questions against the EU, and having a stand against Norwegian EU membership itself, I do not think there is any connection. When I voted no to Norwegian membership of the EU, it was linked to a set of reasons where the main element was related to the relationship with the EU itself, the EU institutions and the organisation. It must be clear that we cannot exclude the fact that the EU is a significant neighbour of Norway and, in the context of trade, a significant trading partner. There was an important reason why the Left – and that also applies to my own part – was a member of the EEA Agreement. With regard to the very issue that we are dealing with today, it is not natural for a part of the dividing line to go equally between those who were in favour of and against the EEA Agreement, as with those who were in favour of and against Norwegian EU membership.
ParlaMint-NO_1998-12-17.ana.ud456e681	Now I don't know if this setting is going to be some best seller for Christmas and will be found under the many Christmas trees. But if it were to be like this, I think those who read what the left had to think about this important question in the space of Christmas are going to be pretty confused. There is almost no one who has written so little and so much unclear about this question. It's actually just the Progress Party that can compete with the Left here. What it says is – to say the least – relatively half-long. What you're doing is referring to previous debates in Stortinget. You don't write a single word about fish, which this case is actually about, and that's why we have this debate today in Stortinget. In the Foreign Affairs Committee, the Left refers to previous debates and writes comments together with the Christian People's Party. In the Business Committee, the Left refers to the position of the Centre in the Foreign Affairs Committee. I don't know if this has anything to do with the new form of liberalism that Fridtjof Frank Gundersen has shown today, that not going out and taking his stand, is one of life's greatest human rights. If that's the case, we've had a class of views today. My impression is that it was better with the Left in earlier times. I am thinking especially of the previous period. Then there was only one person who wrote comments. I think that those who are concerned about this industry's woe and well, Norway's second largest export industry, the many along the coast who are concerned about what the Stortinge is doing, and what the individual parties stand for in this matter, will finally ask the question: What does the Left mean? Isn't it a dilemma for the Left that you can be so vague in such an important matter for the Norwegian people?
ParlaMint-NO_1998-12-17.ana.ud456e690	On one point, I think I agree without delay with the replicator, namely that the document we are dealing with here is hardly going to be a bestseller and hardly going to be under the many Christmas trees. But with regard to the question of the clarity of the Left's comments in the committee's position in relation to other parties, I would like to draw the attention of the representative Kristiansen to the fact that the Left's comments are part of the majority comments. So if the Left's comments are unclear, the Right's comments are unclear, and then the Workers' Party's comments are unclear. I therefore find it a little difficult to see why the comments of the Left should be more unclear than the comments of the representative Kristiansen. Secondly, can you really believe that this matter is only about fish? What is at issue in this matter is primarily consumer issues, and there are questions of food safety and animal health. Therefore, in my article I used the scheme and the systematics that I explained to our assessment of those questions. It was only when, in the light of an assessment of the questions, that we found this appropriate that we included, as an important element, the consideration of Norwegian fish exports. It is clear that Norwegian fish exports are important, not least in relation to this agreement, but I honestly believe that it is important only after it has been established and established that there is a proper level of security in relation to the import of food products. Finally, like the replicator, I think it was interesting to get a certain introduction to what happened at the Group meeting of the Progress Party and how that party dealt with the matter. Like the Progress Party, the Left also has a tradition that the representatives are in principle free. It is correct for one of the representatives of the Left to vote against the agreement.
ParlaMint-NO_1998-12-17.ana.ud456e701	The setting probably doesn't become a bestseller, but I think it's going to be a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a Then it may be that what may seem tedious and tame here today gets a different angle when the problems may start reporting. I thought that also left was busy. I feel like a fishing trip, too often when I'm on a fishing trip, I go home empty-handed. So do I today. For this fish argument, which also hangs on the left and clings to as an argument for being in favour of this agreement, I am not given proof. And when the starting point for this whole agreement is just fish, it's amazing that no one, neither Left, can document this. I therefore have to ask the representative Hove the following questions: What are the specific problems that we will face if we say no? And what will they be like in relation to the EEA Agreement and to the WTO Agreement? Is it not true that one should not discriminate? Is it not what these agreements are? And is it not therefore unnecessary to adopt this agreement today?
