ParlaMint-NO_1998-10-28.ana.ud1702e27	: The called alternate of the Rogaland County, Helge Solum Larsen, has taken the seat.
ParlaMint-NO_1998-10-28.ana.ud1702e497	First, I want to clarify that I am now responding in general and not in relation to the statement to which the representative Evje referred. I don't know. The views of the Council of State and the Government are that it is best for all children to receive education in school. We thought we had a good public school, and we're working to make it better. In order to preserve parental rights, there is also the possibility of establishing and running private schools, which provide a good challenge for the public school, and which in my view is a good supplement to the public school. When it comes to home education, this government has a bill, adopted by the Stortingen, that parental rights should also apply here. Parents shall have the right to be taught at home, but then with supervision, so that they know that the children receive the training they need. Compared to that, we have recommended learning material, etc. is made available from the municipality, but it would be totally wrong to go into funding home education in line with public schools or private schools. The government's view is that it's good for kids to go to school, and we're working to make the school the best possible. We, of course, maintain the right of parents to choose different ways, but we guarantee ourselves the right to have proper control over it.
ParlaMint-NO_1998-10-28.ana.ud1702e510	Does the Council of State mean that if you choose home education under the Training Act, it will not, when the starting point is equal to the right to choose, lead to a certain amount of financial support? There is something you have the right to choose, but it should not cost anything for the public, even though the public actually saves money?
ParlaMint-NO_1998-10-28.ana.ud1702e516	Now it's not the economy that's the starting point here. What is the starting point is the parents' right to have the full training of their children. And the Government and the Grand Prix – all the party, as far as I am concerned, except for the Progress Party – meant, and it is the arrangement that was established in the law, that one should have a fundamental right to choose, and that one should be able to get learning material as usual, but that when it applies to funding per. pupil, to public school or private school. That's what the Government's position is. So we think it's best for kids that they get education in school, but we respect parents as well as other people. They're going to get help for teachers, but not funding for teaching beyond that. That's also the big crowd's view.
ParlaMint-NO_1998-10-28.ana.ud1702e523	We're going to the next -- and last -- main questions.
ParlaMint-NO_1998-10-28.ana.ud1702e526	I want to ask the Minister for Fisheries a question. In a hearing note with three weeks' response time, the Minister for Fisheries proposes to introduce a unit quota for all fleet groups with access restrictions in fisheries. The unit quota means that a fisherman can buy up a vessel with quota and then fish on this quota in addition to his own quota. I believe that this could develop negotiable quotas and thus undermine fishermen's rights. In 1994, the Stortinget stipulated that the Unit Allowance Scheme should be assessed by the Stortinget before it could be continued. Now the minister is overrun by Stortinget. At the Norwegian Fisheries Team’s national meeting, the Council of State also said he was opposed to transferable quotas. Why, then, does the Council of State propose this scheme?
ParlaMint-NO_1998-10-28.ana.ud1702e537	Let me just first say that there is no correlation between transferable allowances and the unit allowance scheme. The unit quota system was adopted by the Stortinget in 1994 and was introduced for ring note and trawl in line with the Stortinget decision as a temporary mechanism for testing the scheme in Norway. However, it was a long time before the scheme was established, after negotiations with fishermen’s organisations on the content of the scheme. Let me just stress that it is fully possible in a unit quota system to lay down a regulation that takes account of all the fisheries and district policy considerations that you want to pursue. This is particularly evident in the unit allowance scheme legislation, which has taken particular account of the fact that the North Norwegian ring emergency environment is very thin, and has been introduced to ensure that the transfer of quotas from North Norway to South Norway is not profitable, while full settlement and profitability are to be achieved by transferring quotas from South Norway to North Norway. Don't say that. It is not that a unit quota system releases everything freely, and that you can buy up a vessel and implement the allowances in existing vessels or the vessels you wish. The unit quota system will be implemented for each group with the current regulation and a regulation will be put in place to meet both the fisheries policy and the regional policy objectives for the fishing industry. In the case of the note that is out of consultation, the reason for the shortened consultation period is that we want to continue on a permanent basis the unit quota system for note and beam, which is currently a testing scheme, from 1 January next year, when the legal framework expires. In line with what has been said in the Storting report, we also want to implement a unit quota system for the conventional seagoing fleet. That is the background to the proposal.
ParlaMint-NO_1998-10-28.ana.ud1702e548	This is an important part of a number of rights that fishermen have worked on over time, and it is important to discuss how we should further shape our fisheries policy. That's also why I'm reacting to the Minister being so busy. Why can't we wait for the strategy message that Stortinget has for treatment? Is it perhaps included in this that if it were to lead to negotiable quotas, does the Minister for Fisheries have other measures that he wants to take?
ParlaMint-NO_1998-10-28.ana.ud1702e553	Let me again stress that the proposal that we have consulted, which will be promoted for Stortingen in a separate proposition, will not lead to negotiable quotas. Let's just underline it and agree on it. This is about the introduction of unit quotas. In the notification contained in the Storting, unit allowances have been evaluated and evaluated and the Stortinge will be able to process it independently in the context of the notification. We want to promote a proposition that allows the Magnificent Sea to decide whether to continue the unit quota system on a permanent basis from 1 January next year. The proposal will be for treatment in Stortinget, hopefully at the same time as the Stortinget has been notified for treatment. It is the Storting that will be able to decide on a free basis whether to continue the scheme. Now the Ministry of Fisheries and the Government are going to decide what the content of the bill will be, after we have received the hearing opinions and see what they mean.
ParlaMint-NO_1998-10-28.ana.ud1702e560	Then the time for the oral question procedure is over, and we go over to the ordinary question procedure.
ParlaMint-NO_1998-10-28.ana.ud1702e565	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 3, from the representative Grethe G. Fossum to the Minister for Children and Family Affairs, has been withdrawn. Question 19, from the representative Sylvia Brustad to the Minister of Labour and Administration, is postponed until the next Question Time, when the Council of State has left. Question 20, from the representative of Mr Terje Knudsen to the Minister for Transport, lapses because the questioner is not present.
ParlaMint-NO_1998-10-28.ana.ud1702e581	‘The Ministry of Child and Family Affairs has found a method of calculation for days of consensual association to eliminate ‘difference’ as to whether or not care has been shared. They have done this by moving the limit of shared care from 4 to 5 months, in addition they have removed some of the actual right of consensual association to guarantee that consensual parents come below the limit. Is this in line with the desire of the Council of State that fathers should give more to their children, and is there a desire for such a biased distribution of the economic aspects of coercive care for children?"
ParlaMint-NO_1998-10-28.ana.ud1702e588	I would like to inform you that the striking difference between shared housing, i.e. past shared care, and extended association is not about time, but about who is going to decide matters in everyday life. In the context of the latest changes in Kinderelova, the Department made it clear what was meant by these upheavals. It was in Ot.prp. No 56 for 1996-97 p. 53 and accompanying. In the case of extended association, which may involve more than half of the time, the child has a firm hold on one of the parents. The child is entitled to make major daily decisions for the child. If parents have agreed to share housing for the child, parents take larger daily decisions together. The birth grant, or contribution, which is called bookkeeping, is today to be calculated on the basis of discretion if parents have shared the actual care of the child/children, and is thus the only rule in today’s economic sense. The exception rule does not distinguish between shared housing and extended association. The clarification of the bypass shared care in the regulation on the determination and modification of the birth rate was recommended in Ot. pp. No 36 for 1991-92. The limit of five months was due to the fact that a conflict would arise over the issue of whether or not the care was shared. In this context, the Ministry took note of the views of the hearing authorities. Several of the hearing aids feared that if the limit was set too low, many would fall into the scope of the regulation. This could lead to conflicts that might go beyond the children. Before initialising the handle split care was included in the birth code, there was no fixed limit. The decision-making body had to decide, on the basis of an overall assessment, whether there was a lack of shared care. Extended companionship did not affect the determination of the child's voice. In this context, the Department of Ot. pp. No 44 for 1987-88 that care was not normally shared if the duration did not rise for four months or more in the year. It is, I suppose, this representative who believes when he says that the border was moved in 1992. I'm currently working on changes to the obstetrics system. In this context, it is a goal to call for ongoing care from both parents. Expenses shall be shared between parents according to their financial ability as fair and reasonable as possible. I would therefore like to address the question of association when determining the birth rate for parents with less involvement than under the rules today. We're doing this because we're concerned that the fathers are going to do more for their children.
ParlaMint-NO_1998-10-28.ana.ud1702e604	The point is that in a situation where we have two contributory fathers who have similar community agreements for their children, one has to pay full contributions, while the other, who have shared or shared care, does not. So an extra day with the kids can be ten thousand dollars for one contributor. The magic limit is at five months, which in the contribution system means 152.5 days. In this case, care is considered to be shared and mutual contribution obligations are triggered. Experience has now shown that the individual case handler in the social security system is raining half-and-a-half days of concurrence in such a way that the contributor is constantly below this limit. Does not the Council of State consider this to be a denial of the essential care provided by cohabitation parents for their children?
ParlaMint-NO_1998-10-28.ana.ud1702e609	Whether it's a negation or not, I'm not going to say anything about it, but what's quite clear is that the rules as they are today are ripe for change. One of the things that must be the intention of the rules is to encourage both parents to be more together with their children, and not to have such a "magic" limit that we have in the legislation today, in order to calculate how much one should pay. This may help you to avoid speculating calculations to make full use of the system. If we make new rules, I don't think this will be trouble-free in the future either. We know that parents themselves can enter into agreements, and I hope that as many as possible actually set up an agreement that is for the children's best. Unfortunately, there are usually two adults who are in conflict with each other, who are trying to get the best possible out of themselves, and who have not always the best children in mind when they are trying to figure out how much they should help. These things, along with a code that's too old-fashioned, we'll look at, so that we get more fairer rules for the future.
ParlaMint-NO_1998-10-28.ana.ud1702e616	Of course, I share the opinion of the Council of State that we never get there that this would be trouble-free. I am also fully aware that this Council of States, like several governments before her, has plans and is working on reviewing the contribution scheme, etc. and aims to present a proposition in this case — in the autumn of 1999. But I must be allowed to say that the training in this case has taken place over a very long time and leads to a major care failure for several thousand children every day. Does not the Council of State see that this must be done vigorously? Or is it simply the fear of the unpleasant reform that makes today's family minister also train the case?
ParlaMint-NO_1998-10-28.ana.ud1702e621	I'm not going to take responsibility for what former government councils have done. But I have said to the representative before – and I can repeat it: this is a very important matter that we work with in the department. But the representative knows as well as I do that such legislative proposals should be heard, and we have temptations to hold. That's why this takes time. But to me, there is absolutely no reason why I should try to practice this because it becomes uncomfortable to put it forward. I actually mean that it needs to, and I want to make it as fast as possible. But what's important is also to get the different parties to talk, so that this becomes a scheme that actually makes the best for those who are involved in it. Previous suggestions, which one has sent out on the phone, have received a good deal of criticism for. I want to try to take in some of the criticism that has come, when we are now sending out new suggestions on the phone. I don't think it's possible to make a suggestion that just wants to get away with it. The same thing happens in this case, but it has nothing to do with exercise or cowardice; it has to do with thorough preparation.
ParlaMint-NO_1998-10-28.ana.ud1702e629	I will ask the following questions to the Minister for Children and Family Affairs: ‘If you follow the Evening Post on 26 September 1998, you will reach Norwegian business on course to learn how to attract your children’s purchasing power. More and more people see a great potential in the smallest consumers. What will the Council of State do to prevent direct targeting of children in Norway?’
ParlaMint-NO_1998-10-28.ana.ud1702e638	The question of children and advertising has been very much updated in recent times, not least because of the look-up in the Evening Post on 26 September of this year and the seminar to be held at the beginning of November under the name ‘KIDS – Can you afford to ignore them?’. First, I would like to mention that the marketing law has a prohibition against marketing in contravention of good marketing practice. This rule takes, among other things, The aim is to protect children and young people against the exploitation of their missing ruins. The Broadcasting Act prohibits the advertising of children on radio or television. The Broadcasting Act also prohibits the sending of advertisements 10 minutes before and after a children's programme. I am very concerned about and concerned about the commercial pressure that children and young people are being subjected to. Internet e.g. there is a lot of advertising directed at children. Often he is hidden as a game or other activity that appeals to the children. In general, I think I see a negative trend in recent years. When it comes to developing children to so-called good consumers, parents are today under heavy pressure from an ongoing marketing industry. The previously mentioned conference, "KIDS", is a clear sign that the marketing pressure against children is increasing and becoming more aggressive. In the article in the evening post, it was said clearly from the marketing team that they believe that there is no longer any reason to protect children from advertising, as one so far has done in Norway. People from my department will be present at the conference, and of course we will also follow this development carefully in other ways. When children from an early age are subjected to massive, commercial influence and come home with a desire to buy both one and the other, whether it is due to the influence of jamming, advertising catalogues or other, parents demand that they be alert with regard to the type of holding they should give their children. Without pressure, it will be parents who make the decision and who are responsible for saying yes or no. The impact of jamming is also great. That's why I think it's also important that parents play on teams, e.g. with other parents in kindergarten or the community. The government is preparing a message for the Stortningen on consumer policy, which we aim to present to the Stortningen to spring. In this message source and advertisement will be an important theme. There is no simple answer to how we should deal with the increasing commercial pressure on children and young people. In the message, we will sketch different actions and invite you to a discussion about the balance between protecting children and empowering them, so that they can choose for themselves. As Minister for Children, I believe that a great deal of attention should be paid in this area and that childhood should be protected to a certain extent from ongoing marketing. I can also mention that reform 97 has introduced user teaching from other class steps in the basic school. Advertising and impact is one of the themes that will be included there. Personally, I believe that training and raising awareness of children and young people when it comes to how to deal with advertising or other promotions is very important, as well as having a good and well-functioning code. I would also like to mention that children, advertising and the Internet are the subject of an appointment that is now being carried out by the Nordic Council of Ministers.
ParlaMint-NO_1998-10-28.ana.ud1702e653	I thank you for an appropriate answer. The background to my question is that the business community no longer seems to screen Norwegian children against active marketing and advertising. Until then, Norwegian children’s purchasing power, including through parental influence, is too great. The business community also knows that parents here are an easy trade. In a short time, the European Business Centre will arrange the course in question, and these are Norwegian commercial coins. The project leader for this course believes that the time has come to remove the skyscrapers in Norway as well. Borna should be made a fighter for influence and market share. So here's a potential that hasn't been exploited yet. Will the Council of State develop a regulatory framework specifically to address these issues?
ParlaMint-NO_1998-10-28.ana.ud1702e664	As I mentioned in my answer, we all have a code that is relatively strict in this area. We would also like to address different measures in the context of the Consumer Notice to counter the forces that have been set in motion. The conference, which was attended by both Aarrestad and I, turns to consumers from 0 to 13 years old. So they're going to go all the way down to the 0-year-olds when they're going to start setting up their marketing strategy. They also say in the context of the conference they will have, that they should have some ethics on the agenda, perhaps in order for the offer to look something better than what it does for us who are reading this now. I think the best tool we have to build up children is to raise awareness of both them and parents, and that we use both the school, the nursery and the community to help build them up. We will also look at any changes in the law, or the enforcement of the law, so that we can protect ourselves as far as we can. I have no illusion that we are able to screen ourselves completely from this, but at least we will see what we have of the tools to go as far as possible.
ParlaMint-NO_1998-10-28.ana.ud1702e673	There is no doubt that advertising in its character promotes certain values, especially commercial rather than other values. Now it's the children's commercial value it's about. So in the course mentioned earlier, professionals at a high level must meet to catch their children's interest and find out how to create lifelong customer relationships through branding towards children. The course should also teach business effective techniques in market research with children. We know that the marketing laws and the rules applicable to TV advertising provide some protection, which is also mentioned in the previous answer. But does the Council of State think that this is enough now in these active times in this area, and will the Council of State follow this up in a wider context?
ParlaMint-NO_1998-10-28.ana.ud1702e680	I do not know if I can give any more supplementary answers than I have already given. We're going to review this in relation to the law, and I want, as I also said in my first answer, to send some of my people as participants at that conference to listen and learn, perhaps in the way of seeing what can be used as counter-power against what is given by information at this conference. I also believe that if people around us react and share in saying that we don't want this, it also helps to influence those who are going to market different products. As the representative Aarrestad was now involved, commercial values are largely related to marketing. There I think we need to draw all the good forces, and then I will do what I can in relation to both the law and the message that I have said we will come with.
ParlaMint-NO_1998-10-28.ana.ud1702e696	This question has been withdrawn.
ParlaMint-NO_1998-10-28.ana.ud1702e702	«Raufoss ASA is merging these days with Celsius AB in Sweden and Patria Industrier Oy in Finland to the company Nammo. The new company will become a significant player in the production and sale of missiles, handgun ammunition, artillery and panserver. Does the Council of State believe that in the future the Norwegian authorities will have as good control of arms sales as we have today and, if the merger is finally approved, how does the Council of State assess the possible deflagration of parts of the production of such a merger?’
ParlaMint-NO_1998-10-28.ana.ud1702e709	Raufoss ASA, Swedish Celsius AB and Finnish Patria Industrier Oy have agreed to form a joint ammunition company called Nammo AS. This becomes a Norwegian limited liability company with its head office at Raufoss. Nammo owns 45 pst. of Raufoss and 27,5 pst. each of Celsius and Patria. The structure of the company includes the holding company Nammo AS, and during its ammunition activities, Nammo Raufoss AS in Norway, Nammo Lapua Oy in Finland and Nammo Liab in Sweden. The State’s holding will not change in this way, and the State will still hold 50.27 pst. of the shares in Raufoss ASA. So this is not a merger between Raufoss ASA, Celsius and Patria. The creation of a joint owned Nordic ammunition company, Nammo AS, is an example of the wide-ranging development in European and international contexts towards increased cross-border cooperation and integration in the development and production of defence equipment. This development is mentioned in St.meld. No 43 for 1997-98 on exports of defence equipment from Norway in 1997. The Ministry of Defence considers the establishment to be in line with the national strategy for the Norwegian defence and defence-related industry promoted by the Stortinget through St. prp. No 59 for 1997-98. The creation of Nammo AS will increase competitiveness and is in line with ambitions for increased Nordic defence cooperation. The Norwegian State owns 50.27 pst. of the shares in Raufoss ASA. This means that the state must be regarded as a shareholder equal to other private shareholders. It has been established in the case of changing governments that the State's interests in a limited liability company in which the State is a shareholder with private shareholders are exercised in accordance with the general provisions of the Share Act, i.e. by means of participation and voting in the general meeting. Issues relating to the organisation of activities, including the establishment of strategic alliances and participation in new companies, will normally be business matters falling within the company's board of directors and, where appropriate, the business meeting. The establishment of Nammo AS has been dealt with by the works council in Raufoss ASA and approved in decisions taken at its meeting on 11 August 1998. It has therefore not been dealt with by the General Assembly of Raufoss ASA. The management of Nammo AS states that there are no concrete plans for the relocation of production, but the establishment of the company will allow for a rational exchange of products between the divisions. It is important to distinguish between the role of the Ministry as the manager of the State's participations in public limited liability companies and the role of the departments in the administration. An example of this is the relationship with the arms export rules, as mentioned in St.prp. No 85 for 1989-90 on the partial privatisation and listing of Raufoss A/S, as it was called. Its name is, among other things,\t\t You can change the ‘A counter-representation has linked to having private shareholders in the defence industry. However, it must be borne in mind in this respect that the State does not control exports of weapons and ammunition, etc. as a shareholder. This verification is carried out on the basis of its own law and is governed by the Ministry of Foreign Affairs.’ The three subsidiaries of the holding company Nammo AS – Nammo Raufoss, Nammo Liab in Sweden and Nammo Lapua in Finland will be separate legal entities. They will individually be subject to national law, including export control. National legislation and legislation will be applied to exports of the products produced in each country. In other words, products manufactured in Norway will as before be subject to Norwegian export control. Export controls are carried out on the basis of the Act of 18 December 1987 No. 93 on control of exports of strategic goods, services and technology, etc. – with related regulations and guidelines for the Ministry of Foreign Affairs to examine applications for arms exports.
ParlaMint-NO_1998-10-28.ana.ud1702e731	I would like to thank the Council of State for the answer. He says it's not a merger between these three companies, but the companies themselves believe that this is a merger, which they have also said through press releases and presentation material about the new Nammo. They clearly say that they want a unified company. The situation for Nammo is that Raufoss gets 45 pst. and the two foreign companies 55 pst. I find it alarming that the Council of State approves such an establishment and start-up of a merger process like this without the Stortinget being informed. These are the state's ownership of the defence industry, where defence and security policy issues must be included, and where the Storting should be oriented. The Minister of Economic Affairs says that he has complied with the general provisions of the Share Act, but this is not an ordinary business. I would like to ask the Council of State whether he has at all assessed whether such a briefing should have been given before he approved the launch of a merger process that clearly intends to transfer the majority of the defence division to foreign hands.
ParlaMint-NO_1998-10-28.ana.ud1702e742	It is important to stress what I also said in my answer, that this is no merger between the limited company Raufoss ASA and two other companies. On the other hand, Raufoss ASA has established a separate subsidiary within the group, which in those days is again merged with similar subsidiaries of a Swedish and a Finnish company. Raufoss ASA still has 50.27 pst. state ownership. As I said in the answer, this has been done in such a way as it should, and as the Storting regulates the time when partial privatisation and stock exchange listing of Raufoss A/S are being treated. The decision is taken by the board of directors and the business meeting, and has not been the subject of proceedings by the general meeting, in which the State exercises its ownership. Approval – in so far as the issue of authorisation is to be withdrawn here – will be linked to the treatment under the acquisition law for the fact that the subsidiary Nammo has now been merged with two companies, a Swedish and a Finnish. That treatment is now beginning in the department.
ParlaMint-NO_1998-10-28.ana.ud1702e747	The size has previously established clear restrictions in relation to the fact that the control of military production must not be weakened as a result of the purchase of shares from private and foreign interests. Although this is part of Raufoss ASA, it's still part of and a change in the structure we have today. The size has also established clear restrictions on the ownership of foreign companies in Raufoss ASA under the concession provisions relating to a limit of up to one-fifth for individual shareholders and one-third for total shareholders. The final approval of the acquisition of holdings by Celsius and Patria clearly exceeds one third in total. I would therefore like to ask the Council of State whether he intends to continue this merger process by granting the final approval under the acquisition law without bringing the matter to the attention of Stortinget.
ParlaMint-NO_1998-10-28.ana.ud1702e756	Again, I would like to stress – as I also said in my main reply – that this is a question that the Stortinget had already foreseen, as it facilitated the partial privatisation and listing of Raufoss in 1989-90, because there was just a decisive emphasis on the clear separation of ownership and shareholder roles from the exercise of political considerations relating to arms export control. It said the Stortinget directly, pointing out that a law of its own will govern it. In the case of processing under the acquisition law, the competence of it is granted to the ministry. That treatment has not started, and it would be totally wrong for me to advance it. The application shall be submitted four weeks after the company has been formed and is expected to be sent to the department this week. Then the treatment will begin, and the three-week period that the acquisition law regulates will start to run on the day that we believe the application is complete and all the strategic conditions around the company have been brought to the department.
ParlaMint-NO_1998-10-28.ana.ud1702e766	I will ask the Minister for Economic Affairs and Trade the following questions: «Asiders ASA manages large areas and properties of the Church community, and as part of obtaining income, has increased the fasting charges for some of its plots by more than 1000 pst. Expenditure is particularly severe for small and medium-sized enterprises and may threaten the existence of some enterprises. The State has the principal share item in the South Warrants ASA. Does the Council of State see any concern about the increase in the fixation fee which has taken place here?’
ParlaMint-NO_1998-10-28.ana.ud1702e775	As part of the ongoing winding-up work, the sale of plant and assets, including land and buildings, has started well. However, a good deal remains before work on the sale of assets has been completed. Southern legumes own and manage significant plots both in the centre of the Church and in the area. These areas have been fixed away, partly for residential purposes and partly for commercial purposes, etc. Southern shipping companies have recently reported that for various reasons the company has for many years held a very low fixed fee on its land. In the autumn of 1997, all landowners received offers from Southvaranger to buy the plots they rented. In total it was about approx. 1 200 residential areas and approx. 30 nutrient plots. About 450 plotters have chosen to enter into a purchase agreement. For the remaining areas to be rented out, the company has found it necessary and appropriate to seek to harmonise the fixation fees at the level of the municipality of South Varanger for similar housing and commercial premises. In view of the fact that Sydvaranger is organised as a limited liability company, the management and administration of the company are obliged to pay attention to commercial behaviour in its premises. This is the result of the Share Act. The question of the level of the fixed charges for the land occupied by Southvarganger is a matter for the management and administration of the company. These are private-law matters, covered by land consolidation contracts, in which the Ministry has neither the authority nor the authority to intervene. The legal framework for the conditions we are talking about here can be found in the Law on Landfills and related regulations. In addition, contractual and company law conditions could be included. I assume that the upsizing of the fastening charges on the plots of Southvaranger's plots is done in full compliance with the applicable laws and regulations. Based on information from the company, I have no reason to believe that this would not be the case. In this context, it can be mentioned that the company is now making some minor adjustments to its original regulatory framework so that the legal basis for the regulation cannot be called into question. On this basis, I cannot see that for the state that owns it, there is a basis for objecting to the adjustment of the fixation fee on the land area of Sydvaranger that is now taking place. However, I would like to stress that my position in this case is that the company should facilitate the sale of as many of the properties as possible without undue delay. South canals are in a phase of liquidation and therefore the aim is to sell all the assets. The company also informs us that the offer to the landowners to buy the land they currently rent is still available.
ParlaMint-NO_1998-10-28.ana.ud1702e788	I will be quoted from the head of South Varanger Avis on 5 September with the title «A Tragic farce». It says: ‘Sydvaranger Director Ragnar Østby rejects in today’s newspaper that the company needs to consult the Ministry of Economic Affairs when major decisions are to be taken. The back cover needed by the holding lies in Stortingsproposition 62, which, according to the same East Town, only mentions the closure of the ore-based establishment and not the closure of the company as such.» I would like to ask the Minister of Industry two questions in support of what I have said here: Does the Minister of Industry agree that the company does not need to consult the Ministry of Industry with regard to its activities? And: Does the Minister of Industry here agree with Eastby that one is not in a phase of liquidation, because it was only the ore-based business that was to be closed?
ParlaMint-NO_1998-10-28.ana.ud1702e798	The main question concerned the bonding of land, while these are issues relating to the winding-up issues in the South Warehouses in their general scope. It's probably a bit on the edge of the question, but I'd like to answer them anyway. The basis for this treatment is the Stortinget's decision that the company should be wound up. More precisely, Stortinget has said that the company’s ore operations should be discontinued and its ownership discontinued. With 87 pst. ownership means, in substance, the winding-up of the company and it has to do with it. The government and the Minister of Industry have no reason to believe that the company does not comply with such an objective, and the company is well-informed about the liquidation to take place. That it takes a little longer than what was taken into account when the Stortinget made its decision is due to various reasons that are well known in Stortinget. It had, among other things, to deal with issues related to further ore operation in private, as we know is further investigated, and some other issues, such as: problems with the sale of the power plant belonging to it.
ParlaMint-NO_1998-10-28.ana.ud1702e805	I would like to thank the Minister of Industry for his answer, in particular his clarification that the company should be wound up. When the Council of State has previously been so concerned with the small and medium-sized enterprises and he now says that the fees involved here are just about adjusting up to a municipal level, I will, however, finally ask the Minister of Industry: does he not see the concern that an increase in the fixation fee is partly due to over 1 000 pst, which is mentioned here, and that it is now actually like a number of companies in South Varanger now describe, namely that this is such a big problem that they are not at risk of continuing to operate? Does not the Minister of Economic Affairs see the concerns in this regard in relation to industrial activity in South Varanger?
ParlaMint-NO_1998-10-28.ana.ud1702e812	I would like to stress that it is the listed company Sydvaranger ASA's responsibility to realise these values in such a way that both the major shareholder, the state, and the small private shareholders, who are many, get the most out of their values. The state has said that these values by the state should be returned to the South Varanger community. Under the provisions of the Share Act, it is not possible to realise these values according to their market value. The company has informed me that today there are questions about getting the real values of the many plots. It's like 1,000 pst. Sounds a lot, but I learned that after all, percentages don't say that much before a person sees what basis the percentages are calculated on. In any case, I know that in the case of the ordinary residential spaces this is about, it is about very manageable sizes – sales values on a target plot of 10 000-15 000 kroner, etc. after adjustment. The company's wish is that the tenants actually buy their land. That's the best way to liquidate this.
ParlaMint-NO_1998-10-28.ana.ud1702e822	I have the following questions for the Minister of Economic Affairs and Trade: ‘The draft regulation on the establishment test for the administrators of serving sites imposes unnecessary costs on each municipality. Each municipality must hold a test, issue a diploma and establish an establishment register. If IT-based solutions had been chosen, the tests could have been developed centrally, the responses read mechanically and the register made nationwide. Will the Council of State reverse the draft so that IT solutions can be implemented, the register becomes more usable and municipalities are saved for increased expenditure and a significant red tape?’
ParlaMint-NO_1998-10-28.ana.ud1702e831	The rules on the inaugural test are part of the new serving law that came into force this year. We've been working to find a system for taking this sample that can meet different requirements. First of all, it is important that the establishment test be carried out in such a way that it is as accessible as possible. The scheme must not constitute an undue obstacle to the establishment of those who are required to operate a restaurant. This is one of the main reasons why I have proposed to assign responsibility for the implementation to the municipalities, which in any case the applicants have to deal with in the establishment. Furthermore, costs have to be kept down and the testing system has to be put in place quickly. The Ministry has assessed whether instead of a paper-based multi-choice test, similar to the theoretical knowledge part of the driving test, an IT-based solution should be chosen. In the event of an IT-based trial, new work would be on the way, and the development of IT is currently at different levels both in the municipalities and among the people most. I am therefore in doubt about such a arrangement at this point in time would be simplifying for all. However, I have not left the idea of getting an IT-based solution in the short term. The Ministry will follow the situation in the municipalities and continue working with future solutions that are as simple and rational as possible. An IT solution that the representative mentions will, when it is possible to implement, provide a more modern system and could subsequently also be resource-saving.
ParlaMint-NO_1998-10-28.ana.ud1702e840	I thank the Minister for the answer. I actually perceive the answer so that the minister is open to starting IT-based solutions as soon as this can be practically possible. I am pleased, and I hope the Minister will bring this with him in the future, so that it will not be forgotten. In this case, I'll remind the Minister on a later occasion.
ParlaMint-NO_1998-10-28.ana.ud1702e845	I would like to stress that I believe that both the representative and I share a very common view that this test should not be unnecessary to prevent the establishment we might have in this area – rather, on the contrary, contribute to ensuring the quality we need. And I can assure the representative that we are continually following up on this, so that those considerations are taken care of and this is done in the most flexible and simple way possible.
ParlaMint-NO_1998-10-28.ana.ud1702e853	I have a question for the Minister of Economic Affairs and Trade: «The Maritime Directorate has introduced, by Circular F23/92 of 18 November 1992, an amendment to the authorisation of seafarers' doctors to draw up health declarations for workers on ships. Authorisation of doctors is generally not under the Directorate for Maritime Affairs but under the Directorate for Health. Can the Council of State explain what professional basis the Directorate of Maritime Administration has to authorise/take from a medical profession as a seafarer’s doctor?’»
ParlaMint-NO_1998-10-28.ana.ud1702e862	The starting point for approving a seafarer’s doctor in Norway is that he is authorised as a doctor by Norwegian health authorities. In accordance with the third paragraph of Section 26 of the Maritime Act and the Regulation of 3 February 1986, the Directorate for Maritime Administration has been given authority to authorise doctors to carry out medical examinations of workers on ships – so-called medics. The background to this system is that it has been considered necessary to have an approval system which ensures that seafarers acquire specific competence in the field of marine medicine. This is ensured by requiring the doctor to demonstrate that he is aware of the health conditions of workers on ships. Furthermore, a sufficient number of mariners must be examined by the physician in order to maintain and further develop their maritime medical competence. The maritime directorate’s understanding of maritime matters provides professional grounds for issuing or withdrawing medical authorization as a seafarer’s doctor. The Maritime Directorate has an overview of the knowledge of maritime conditions in which these doctors must be willing to intervene. The doctors must keep up-to-date with these conditions in order to make a sound assessment of the suitability of seafarers and fishermen for service on board. Separate courses are arranged for seamen’s doctors. The Maritime Directorate is therefore the public body which has the broadest professional basis for authorising a seafarer’s doctor.
ParlaMint-NO_1998-10-28.ana.ud1702e869	I thank the Council of State for the answer. I understand that the Maritime Directorate has got the legal basis in place to be able to authorise, but there is still a question: What legal basis do they have to obtain from a doctor an authorization they have had for up to 20 years? This may be because the Directorate-General for Maritime Affairs has to deal with a minimum of doctors and that they, for example: Does 100 take as an appropriate number for administrative purposes? Do they totally disregard the consequences this has for people, who have to travel long distances to get to a doctor whom the Directorate of Maritime Affairs has authorized, when there is still a doctor who has the training needed to do the necessary examination?
