ParlaMint-NO_1998-12-18.ana.ud1256e102	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1998-12-18.ana.ud1256e616	A vote shall be taken on the proposal by Mr Tore Nordtun on behalf of the Workers' Party and the Socialist Left from the Odelstinget meeting on 3 December 1998: «The Government is asked to promote a proposal with the necessary legislative proposals to repeal the special company tax scheme with effect from the 1998 income year.»
ParlaMint-NO_1998-12-18.ana.ud1256e632	There is a vote on the proposal by Mr Kenneth Svendsen on behalf of the People's Party, the Right and the Tverr-Political People's Party, transmitted from the Odelstinget meeting on 3 December 1998: ‘The government asks the Government to propose the necessary legislative changes to implement a reduction in housing taxes in order to eliminate them in 4 years’ time’.
ParlaMint-NO_1998-12-18.ana.ud1256e648	The vote will take place on the proposal of Mr Kenneth Svendsen, on behalf of the Group of the Party of European Socialists, Mr Right and Mr Tverrpolitische Folkevalte, submitted by Mr Odelstinget on 3 December 1998: «The Government asks the Government to amend its regulation of 13 February 1992 No. 88 on demarcation, etc. with regard to the circle of seafarers to be deducted from the revenue under the tax law, Section 44, 17th paragraph, so that rescue skates belonging to the Norwegian Company of the Shipwreck's Rescue shall be regarded as ships on board even if the ship measures less than 100 gross tonnage.»
ParlaMint-NO_1998-12-18.ana.ud1256e664	There is a vote on the proposal by Mr Kenneth Svendsen on behalf of the Progress Party and the People's Party elected by the People's Party on 3 December 1998 from the meeting of Mr Odelstinget: ‘The decision asks the Government to propose the necessary legislative changes to implement spouse-partial taxation, so that the total income of spouses is divided into two equal parts and is taxed in class 1.’
ParlaMint-NO_1998-12-18.ana.ud1256e680	There is a vote on proposals submitted by the Odelstinget meeting on 3 December 1998: «The budget asks the Ministry of Finance to set the tax ceiling for employee options when granted at NOK 600000. Furthermore, the Stortinget Government is asking the Government to evaluate the scheme for the purpose of simplification.» The Labour Party and the Socialist Left have announced that they will vote against it.
ParlaMint-NO_1998-12-18.ana.ud1256e698	There is a vote on proposals submitted by the Odelstinget meeting on 3 December 1998: ‘The Government asks the Government to submit to the Stortinget a proposal on how the deduction scheme for the trade union quota from 2000 can be converted into a more general scheme which also includes quotas/contributions to other non-governmental organisations.’ The Labour Party and the Socialist Left have announced that they will vote against it.
ParlaMint-NO_1998-12-18.ana.ud1256e759	There will be a vote on the I, except for the cap. 1618 – II, III, IV, and V. The Committee had ceased: decision: The State budget, including the 1998 national budget, shall be amended as follows:
ParlaMint-NO_1998-12-18.ana.ud1256e2080	There are some corrections to be made to the proposal for a decision made by the chairman of the Committee. The following amendments shall be made: Item 73 under Chapter. 5527 is deleted. Chapters 5545, 5571 and 5577 are also required. These changes result in the following correction in chapter 1. 5800 State Petroleum Fund: Item 50 Transfer from the Fund, reduced by DKK 1 201 300 000, from DKK 18 260 300 000 to DKK 17 059 000 000.
ParlaMint-NO_1998-12-18.ana.ud1256e2091	It is then vottered over cape. 1618:
ParlaMint-NO_1998-12-18.ana.ud1256e2131	Here the Progress Party has announced that they will vote against it.
ParlaMint-NO_1998-12-18.ana.ud1256e2194	I have asked for an explanation of the outcome of the institutional negotiations with the EU on the Schengen Agreement and would like to thank you for having given me the opportunity to do so. On 9 June 1997, the majority of the majority of the population decided to consent to the ratification of the cooperation agreement between Norway, Iceland and the Schengen countries. The three government parties as well as SV and RV voted against. Our reasons for voting against the Schengen Agreement included: privacy, refugee and asylum policy, the need for border control and the integration of the Schengen Agreement into the EU. I would like to stress that the Government's fundamental view of Schengen, as expressed in the Declaration of the Adults, remains firm. The government, in the Adult Declaration, stated that the majority of the population wanted negotiations with the EU to continue Norwegian relations with the Schengen cooperation even after it was integrated into the EU. In connection with this, the government stated that it would work during the negotiations to ensure the best possible performance of Norwegian interests, including: in order to ensure the maintenance of the Nordic passport union. This has been done by the Government. Both the preparations for the negotiations and their implementation have required considerable efforts from the Norwegian side. Negotiations have been among the priority tasks of both the Ministry of Foreign Affairs and the Ministry of Justice, and have required considerable resources. The Government has also withdrawn independent legal expertise in order to ensure a thorough assessment of the constitutional issues raised in connection with a new Schengen Agreement. Such a thorough assessment notified the Government of the Waksenås statement that it would do so. The Government appointed in May this year a reference group of five legal experts to advise the negotiating delegation on its ongoing assessment of the constitutional issues raised by the negotiations. A total of 13 meetings were held between the reference group and the negotiating delegation before and during the negotiations. The members of the reference group made important contributions to the Norwegian positions during the negotiations. Several of the recordings contributed to improvements in the text of the agreement seen from the Norwegian side. The government believes that the institutional agreement negotiated is a satisfactory agreement on the basis of the prerequisites it had for the negotiations. For the sake of order, let me stress that the negotiations have focused on the institutional solutions to enable Norway and Iceland to participate in the Schengen cooperation when it is integrated into the EU. The substantive content of the Schengen Cooperation Agreement has therefore not been negotiated. The material content took its place in June 1997, when the cooperation agreement was discussed. The government has negotiated the institutional agreement with the EU on a national basis. So we are not going to participate in Schengen cooperation on a supranational basis. This would have been contrary to the people's no in the referendum on EU membership. The EU, for its part, has had the Treaty basis for the negotiations. For the EU, this is an agreement to be concluded as part of the legal basis of the EU. The starting point of the negotiations has thus been different, and this has led to restrictions on all aspects of the results we have achieved. Early in the negotiations it became clear that a solution had to be sought specifically for the specific situation – a so-called ‘sui generis’ solution. It was only to a limited extent possible to seek inspiration in solutions based on other agreements. Sometimes in the negotiations, it was therefore difficult to find a point of balance that all parties could accept. Given the different assumptions of the parties and the government’s starting point for the negotiations, the result has already become an agreement as good for Norway as possible within the framework of the negotiations. Among the factors that make this a satisfactory agreement for Norway in my view, I would first like to stress that the agreement does not confer powers on the European Court of Justice in Norway. It also does not give the EU Commission or other EU bodies any monitoring role. I also see it as an advantage that cooperation between Norway, Iceland and the EU should take place in a joint committee set up under the agreement outside the EU's institutional framework. All matters within the scope of the Agreement shall be discussed in the Joint Committee. The scope of the Agreement is broadly consistent with the scope of the Schengen Cooperation Agreement. Although the agreement has a specific provision on the joint committee's discussions at ministerial level, we will in practice be able to discuss any question we wish, including at ministerial level. Another positive feature of the agreement is that, when drawing up proposals for new rules, the Commission will, according to the agreement, seek advice from Norwegian and Icelandic experts in the same way as from EU experts. Furthermore, it is positive that the agreement recognises that if the EU Commission is to be delegated by the Council of the European Union to draw up legislation in a demarcated area, a mechanism for linking to such regulatory development shall also be negotiated for Norway and Iceland. I would also like to mention that irrespective of the fact that the formal decision on new rules is to be taken by the Council of the European Union for the European Union, Norway and Iceland will decide on their own initiative whether to accept the decision. Norway and Iceland will not have to decide on decisions that have not been discussed with us in the Joint Body. There is also a clear improvement in the rules of the cooperation agreement as regards the situation if Norway or Iceland does not find it possible to accept a decision taken by the Council of the European Union. The cooperation agreement does not provide for the right to be discussed on the question of continuing the agreement in such a situation. It will then automatically cease. The new agreement confers on the Joint Body competence to take decisions within 90 days to continue the contract if a solution is available to this end. Among other things, this includes: the possibility for the parties to agree to continue the agreement even if there are different developments in the rules. Only if the joint body does not agree on a solution will the agreement cease. Furthermore, the termination of the contract is now unconditional, contrary to the cooperation agreement, where there must be serious disagreement in order for a party to terminate the contract. I also welcome the fact that a joint declaration on the agreement also requires discussions between Members of Parliament from Norway, Iceland and the European Parliament on Schengen matters. This is supposed to take place through the existing parliamentary cooperation between Norway and the European Parliament and Iceland and the European Parliament respectively. It has not been the mandate of the reference group of independent legal experts to prepare a joint assessment of the constitutional issues of the agreement. However, the members of the group are, of course, free to comment — collectively or individually — on the constitutional issues raised by the agreement. All members of the reference group have reached the main conclusion that it is constitutionally sustainable for a general majority of the Stortinget to approve the draft agreement with the EU under the second paragraph of Section 26 of the Constitution. On the other hand, the members of the Group disagree with the view of the closeness of the agreement to the boundaries of the Constitution. The members of the group are based on different premises that they focus on differently. Some have concrete assumptions as the basis for their main conclusion. The government considers – from the starting point I mentioned at the outset – that the institutional agreement negotiated with the EU is as good for Norway as it is possible to achieve within the framework of the negotiations and the different starting points of the parties. On this basis, the Government considers the outcome of the negotiations to be satisfactory. The Government will therefore recommend that the agreement on institutional solutions be signed. The constitutional assessments that have been carried out and that I have just discussed have been important for the further work of the Government on these issues. The Government, after a preliminary assessment, finds that it may be considered that it is within the scope of action of the Grand Duchy to deal with the question of consenting to the ratification of the agreement under the second paragraph of Section 26 of the Constitution. In this context, the government also emphasises the fact that the cooperation agreement was dealt with under the second paragraph of Section 26 of the Basic Law in accordance with the view of the majority of the population. The Government intends to submit to the Stortinget the draft agreement on institutional solutions negotiated with the EU in a proposal that can be dealt with during the spring 1999 session. This will include a thorough constitutional assessment.
ParlaMint-NO_1998-12-18.ana.ud1256e2245	The President will now open the possibility of one representative from each group of parties being given the floor once for up to five minutes.
ParlaMint-NO_1998-12-18.ana.ud1256e2248	I thank you for the presentation. It is very positive that there is now an agreement signed which ensures the content of the original Schengen cooperation agreement and therefore also the Nordic passport freedom. It is also positive that the Government is able to recommend the agreement. Now the Storting just has to wait for the proposition, so that the treatment of it can get started.
ParlaMint-NO_1998-12-18.ana.ud1256e2253	I would also like to thank you for the statement. It was useful to get this information. On the basis of this, it can only be found that the matter is ready to be sent to Stortinget, so that the Stortingen can deal with it on the basis that the Government submits to us.
ParlaMint-NO_1998-12-18.ana.ud1256e2258	There is no wide-ranging debate about this agreement. We've already adopted the material content, so it's just a question of institutional change, which was necessary because the contract complex was to enter the EU and its institutions. I just want to say that there is now a pattern in Norway's relationship. We first have the EEA Agreement, where we really just have to adapt to decisions taken in bodies where we are not present. We have an extension of the veterinary agreement. The same applies in essence to our economic, quite significant contributions to the research programmes, where we have little influence as to what it is really going to be researched. In fact, we are also in the same situation with regard to the WEU, where we have voting rights in different committees, but we do not have voting rights in the assembly. Now it's a matter of including the VEU in the EU system, and then our influence there will be reduced accordingly, because when we're not members, we can't be in these institutions. I just wanted to remind you that this is gradually becoming a slightly problematic pattern. Moreover, this agreement does not concern me in particular, because I have difficulty imagining that decisions can be taken based on this agreement which are particularly unpleasant to Norway.
ParlaMint-NO_1998-12-18.ana.ud1256e2263	It seems that the Government has done a very good job, in line with what the Minister for Foreign Affairs has been briefing on, and the reactions that have come from the various parties so far as the statement recently made by the Minister for Foreign Affairs is concerned. I stress what the Minister for Foreign Affairs said that part of the solutions found is a clear improvement in relation to the cooperation agreement. I also stress that parliamentarians are being involved in this. With the experience we have from EEA cooperation and EFTA cooperation, I think it can be an unconditional advantage. Finally, I would like to stress that the Government's own expert panel confirms that the solutions found are clear within the provisions of the Basic Law, so that it now seems that there is a good and orderly handling of this matter when the announced proposition is promoted for the Spring Storting.
ParlaMint-NO_1998-12-18.ana.ud1256e2268	The Central Party takes note that the Government has carried out its mandate to negotiate the institutional agreement necessary for the integration of Schengen into the EU. I also note with satisfaction that this is still happening on a basis of international law, and that, as has been explained, the European Court of Justice will not be able to gain authority in Norwegian territory. I am referring to the fact that the centre parties in the Adult Document undertook to work to care for Norwegian interests, among other things. the Nordic passport union, in these negotiations with the EU. In the Adult Document, the Centre Parties also announced that an assessment of the constitutional issues related to Schengen should be carried out, and this mission has also been carried out and in line with the assumptions. The Constitutional Group has assisted the Norwegian negotiators during the process and has also carried out an overall assessment of the institutional agreement, and the conclusion of the group, as stated by the Minister for Foreign Affairs, is that this is what is called ‘constitutional sustainable’. The institutional framework for the agreement adopted in the Grand Duchy in June 1997 appears to have improved on a number of points, including: in the case of the right of cancellation. Without me having access to the final text, it seems that the negotiators have obviously done a good job, well to note in relation to the framework that Stortinget has given for this process. I notice that it is precisely in relation to the given frameworks and assumptions that the Government believes that the institutional agreement is satisfactory.
ParlaMint-NO_1998-12-18.ana.ud1256e2275	I thank the Minister of Foreign Affairs for the statement, who, in the view of SV, explains the following: The government will recommend the Stortinget to sign the agreement. Nor have any dissenters been notified in the government about this. And the Government will recommend the Storting to approve the agreement by a general majority. On the SV side, we have a few comments. One is about the procedure. The Minister of Foreign Affairs was very careful to refer to the legal expertise and the sample consulted by the Government along the way, and underlines that 13 meetings have been held, and that this selection of lawyers has had a significant impact on the outcome. This sample has not been commissioned to submit any written information. For representatives who are not in government, it is therefore not possible to enter into the discussion and assessments that these lawyers have actually made. What SV wants is that the various balances and weightings that have been made here are presented in the proposition transparently. We know that the conclusion is the same among the lawyers, but it's a little different to the extent to which one has doubted whether it is within the framework of the Constitution. But the Foreign Minister also says that there is going to be a careful emphasis on the constitutional conditions of what is presented in the proposition. We're assuming you're showing maps in that context. In the opinion of SV, there are two things that are now different. One is the constitutional aspect that has been provoked by Schengen becoming part of the EU system, which could also lead to new grey areas in the relationship between Norway’s legislation and the EU’s. The second is that since Norway joined Schengen, many new decisions have been introduced into Schengen, for example. Europol and Eurodac. It also means that the substantive nature of the agreement may have changed, and that we need to look into whether the agreement is more comprehensive than when Schengen was the last to be dealt with, and whether the material content is, in fact, different. As is well known to Stortinget, the SV opposed the signing by Norway of the Schengen Agreement at the previous enlargement process, and that is what will be the basis for our further work on this agreement as well. Of course, we will focus on the constitutional aspects of further treatment, but also on the implications of this in relation to the refugee and asylum policy that Norway can pursue, and on the issues of privacy that it has to raise in the relationship between the desire for privacy and the desire for effective police cooperation to combat crime on the other side.
ParlaMint-NO_1998-12-18.ana.ud1256e2289	As demonstrated by the statement by the Minister for Foreign Affairs, the Left voted against the Schengen Agreement in 1997. We emphasise privacy, asylum and refugee policy and the need for effective border control. In the wake of the Adultås Declaration, it was clarified that the Government would base the majority’s wish, which opened the way for one to negotiate a solution to the institutional issues in order to be able to continue the Schengen cooperation after its integration into the EU. During the negotiations, the government has taken good care of Norway’s interests. I would like to stress that only the institutional issues have been negotiated, not the realities of the agreement, which was clarified during Stortingen's treatment in 1997. It is a good result that is available. It is clear that the Agreement does not confer powers on the Court of Justice of the European Union in Norway and that cooperation shall take place in a Joint Committee established under the Agreement outside the EU institutional framework. There is clear improvement on important points, as explained by the Minister for Foreign Affairs. The reference group appointed by independent legal experts has considered constitutional issues raised by the agreement and concludes that it is constitutionally sustainable that a general majority of the Stortinget approves the agreement under Section 26 of the Basic Law. I think that this group has been of great importance, both because it has been able to make important input to the negotiators, and because in a proper and independent way it has considered absolutely crucial questions in terms of this agreement and the Constitution. This group was established because the Declaration of Adults expressed the objective of getting a debate and clarification on these issues. Here we see one example that it is not without significance which government deals with such questions. The healthy skepticism can be a much better starting point than the unreserved enthusiasm. I think it would be very important for the wider debate to include these legal assessments, so that one has made it clear that there are no constitutional issues that are unsolved in relation to the agreement. The Left agrees with the Government's conclusion that the outcome of the negotiations is satisfactory, and we base the Government's recommendation and will follow it.
ParlaMint-NO_1998-12-18.ana.ud1256e2306	Several have not asked for the floor and the debate on the presentation has ended. Since this is the last big meeting in 1998, the President will take the opportunity to thank everyone for the efforts that have been made this autumn and this year, and wish all representatives, the members of the Government, the employees of the Stortinge, the press department and everyone else who has their work in connection with the Stortinge business, a really good Christmas and a peaceful and good new year! The first meeting in 1999 is known as 12 January. The President hopes that the representatives will then meet happily, openly and with new forces, ready for new cooperation and new gloom.
