ParlaMint-NO_1998-11-23-lower.ana.ud2382e42	The representative, Jan Simonsen, will present two private legislative proposals.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1014	The progress party has warned that they will vote against the fourth term, the second sentence. The President will first vote on Paragraph 41, first, second and third paragraphs and the fourth, first sentence.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1024	The President will then vote on Section 41, fourth paragraph, second sentence.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1035	It is then contested by Section 41, fifth and sixth paragraphs.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1043	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1050	The legislative decision will be sent to the Layer.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1294	There is a proposal from the Socialist Left, no. 4, to § 62 new No. 2 The proposal reads as follows: «In the Municipal Act of 25 September 1992 no. 107 is amended as follows: Paragraph 62(1) 2 shall be replaced by the following:In municipalities or counties with parlamentarical form of government, the local council may decide for itself to elect the Board of Governors. [[new]] Where such a decision has been taken, the Council shall take the place of the local authority or county council in relation to the other provisions of this Chapter, with the exception of § 63. § 62 becomes § 62 nr. 1st@item: inlistbox ‘...
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1385	For § 65 nr. 3nd sentence introduces an aberrant proposal, No. 2, from the Progress Party and the Right. The proposal reads as follows: ‘In Communeelova of 25 September 1992 nr. 107 is amended as follows: § 65 nr. The second sentence shall be replaced by the following:The Statute may provide that up to one third of the members of the Board of Directors shall be elected by and from the members of the undertaking. [[new]] ‘... The President shall first add votes between the recommendation and Paragraph 65. 3nd sentence and the proposal of the Progress Party and the Right.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1405	The President shall then vote on the other paragraphs and sentences of Section 65.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1498	There are two different proposals from the Socialist Left. That is proposal No. 5 to § 68 new No. 5 and proposal No. 4 to § 68 nr. 8 new last sentence. The President will first vote on the recommendation to § 68 nr. One, two, three, four.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1510	There will then be a vote between the recommendation of § 68 nr. 5 and proposal No. 5, from the Socialist Left Party, which reads: «In the Municipal Act of 25 September 1992 no. 107 is amended as follows: § 68 paragraph 5 shall be replaced by the following:The meetings of the Board shall be held for open doors if no decision has been taken by the local government or county council. [[new]] Doors shall be closed if a narrow court is to process information which is subject to the obligation of professional secrecy laid down by law. § 31 nr. 3 shall apply mutatis mutandis. ‘...
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1526	Paragraph 68, no. Six, seven, eight.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1534	The President will then vote on proposal No. 4, from the Socialist Left Party, to § 68 nr. 8 new last sentence. The proposal reads as follows: « § 68 nr. The last 8 sentences shall be replaced by the following:When parliamentary governance is in place, the Council shall be notified. [[new]] ‘...
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1547	The President then allows us to vote on § 68 no. 9th@item: inlistbox
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1578	There is a proposal from the Socialist Left, no. 4, to Section 70, new last sentence. The proposal reads as follows: « Paragraph 70 of the last sentence shall be replaced by the following:In municipalities and county councils with parliament taric form of government, recruitment authority may be added to the local council or county council. [[new]] ‘...
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1729	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e1736	The legislative decision will be sent to the Layer.
