ParlaMint-NO_1998-11-18.ana.ud1731e27	The called alternate of the Troms County, Ruth Stenersen, has taken the seat.
ParlaMint-NO_1998-11-18.ana.ud1731e445	Inge Myrvoll – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e448	It doesn't look like it's in minority government is any special guarantee against tensions in the government. When I've followed this central government, I've thought that it's getting no closer to Paradise than a good necrologist – and now it seems to be too late too. For what has happened to the center profile, except for a comprehensive value committee and cash support with many minus pages – when you think about everything they would do to bring democracy up, the local maritime administration? The only maritime government you see now is they're starting to discuss if they're going to put their jobs down. It's also a kind of maritime governance, seafaringly. The Waxenås statement that I was reading last night focuses on how to manage the market, and you have a lot of critical and good comments, but now we feel that the only signal you get is that maybe Telenor and Arcus should be on the market soon, and that there will be various privatisations. In other words, the opposite signals are what you expect. What is the central profile and what has become different in this country than when we had a labor party government, which some of the center parties criticised for being too market-oriented?
ParlaMint-NO_1998-11-18.ana.ud1731e455	The central government made a political account of what we've done in the first year on its one-year anniversary, and it's an account that I actually have a good conscience for. It shows that this government has done a lot in a year compared to what we suggested in the Adult Declaration. I would recommend it for further reading by the representative Myrvoll, for it is limited what I can now bring with me. But it shows that we've given the minimum pensioners a raise of $1,000 more per. a month, we have put in a district policy offensive – a further 620 million. In the 1999 draft state budget - to try to slow down the trend of centralisation and in the hope of turning it back - we have presented the Workers' Party's failure in its many years of government, namely a debt cancellation plan for developing countries that has attracted international positive attention, we have implemented a different family policy with greater freedom of choice for young children's parents, and we have put more emphasis on voluntary organisations and prevention work. Now it's time, but this only shows some of the course conversion we've done.
ParlaMint-NO_1998-11-18.ana.ud1731e460	There will be follow-up questions – Carl I. Hagen.
ParlaMint-NO_1998-11-18.ana.ud1731e463	I would like to return to what the Prime Minister said about the need for stability and predictability of framework conditions. Does the Prime Minister agree that it is up to both government and magnificence, and therefore, for example, when a long-term defence plan is drawn up on 8 June this year, and so dramatically does not follow it up in the budget, is it the responsibility of the politicians or the Government not to have predictability? The same applies to the reimbursement scheme for seafarers, which seems to have a half-year duration because batches change perception. Could the Prime Minister also agree to undertake a reform of our budgetary system, so that any changes in the law, which we now have a lot to deal with in the context of the State budget, are separated in time from the state budget to take place in the spring, so that the state budget treatment was exclusively concerned with the determination of the different rates? We could possibly also create a system where all changes to the tax laws were made only once every four years — once every period — so that business and others knew that there was at least a four-year period when they could know what the laws and regulations were in the important economic area such as taxes and taxes.
ParlaMint-NO_1998-11-18.ana.ud1731e470	I agree with Carl I. Hagen that predictability is important, and that of course it is a responsibility both for the Government and for the parties on the Stortinget. In the case of the two concrete examples mentioned by Hagen first, we openly acknowledge that when we were going to submit a proposal for a government budget with a tightening of about 1 pst, we had to do some things that were both unpopular and that meant that we could not follow up some areas of investment at the same pace as planned, among other things. the long-term defence plan. In this respect, and in the case of the reimbursement scheme for seafarers, which was the second case specifically referred to by Hagen, the government parties have in order to meet their views, inter alia. by the Hagen Party, proposed increases in relation to the Government’s proposal in the revised budget line entered in the Financial Committee. I would doubt that no changes in tax laws can be made more than once every four years, because it is such an important part of the budget that if you are to dissociate yourself from the possibility of making adjustments there, a government becomes the paralytic of action.
ParlaMint-NO_1998-11-18.ana.ud1731e479	Let's move on to the next main question.
ParlaMint-NO_1998-11-18.ana.ud1731e483	I do not want to ask questions to the Prime Minister, but to the Minister of Social Affairs. In fact, in recent years in Norway, a number of new records have been set in the negative direction of overdose deaths. On the basis of this, The size of the State budget for 1998 under Chapter 2. 614, heading 63, granted 29 million. In addition, the revised national budget has granted DKK 10 million for the methadone project this year. In view of this, I would like to ask the Minister for Social Affairs: what about this methadone project around, and how many have now come under this kind of aid measure in Oslo?
ParlaMint-NO_1998-11-18.ana.ud1731e492	The establishment of a nationwide provision of methadone-assisted rehabilitation takes time to proceed in a qualitatively safe manner. I can now report that the start-up of the centre in Oslo, Bergen and Trondheim is on route, i.e. one in Oslo is well established and has subsequently added the professionals needed to expand the business. It is a co-operation between Telemark, Buskerud and Vestfold that will be ready for client intake in January 1999. Also East Agder and West Agder will have room for those who are involved from these states. I myself was in Bergen a couple of weeks ago and attended the opening of a methadone clinic there. At the beginning of 1999, it is about 200 clients want to be able to participate in the methadone project, and most of them have room in Oslo. At the end of 1999, an additional 150 are expected to have space. It is an important requirement that an action plan drawn up by the municipality to which the individual belongs, with the agreement of the person for whom it is applicable, is for the individual to participate in such treatment. That's why it takes time to get that right in place.
ParlaMint-NO_1998-11-18.ana.ud1731e499	We have now spent a reasonable amount of time and money on both organizing and facilitating these offers. In the meantime, people die in the street because you don't get an offer. Does not the Minister of Social Affairs think that action must be taken and progressed in this? The desire to be able to use this methadone treatment system to have a normal way of life is great, and the timing is enormous. Will the Minister of Social Affairs intervene, so that we may be able to break the trend we see with overdose deaths and break family ties around the country?
ParlaMint-NO_1998-11-18.ana.ud1731e504	I am very busy with what happens when overdose deaths occur both in Oslo and elsewhere in the country. It's tragic for each and every one of these things, because they're touching around and for the whole environment. But I think it's important to stress that methadone-assisted rehabilitation is a supply that only a few of the most heavily addicted drug users have to go. It is not a magic agent that will remove all overdose deaths. Here, broad measures are needed far beyond that. Let me draw attention to the great work being done today before the use of drugs in Oslo and in other municipalities in cooperation with voluntary organisations.
ParlaMint-NO_1998-11-18.ana.ud1731e509	Let's move on to the next main question.
ParlaMint-NO_1998-11-18.ana.ud1731e512	In the past, the Prime Minister has shown in this issue that ideally, the tightness of the government's budget, with DKK 9 billion, should have been maintained. However, he has found that, as a result of political treatment in the United Kingdom, the government parties in the United Kingdom have found it appropriate to present a budget with a different rigour. Doesn't that give a picture that the government and the government's parties here in the Storting have put their hands in the weather and found that we're not really doing what we should have done, keeping tight in the budget, because we're not able to achieve a tightening that's in line with the challenges that this country is facing. Is there not a recognition of an inadequacy in relation to the challenges described by the Government itself and in relation to what the Prime Minister of today's Question Time has stood firm by should have been the result of the budgetary procedure?
ParlaMint-NO_1998-11-18.ana.ud1731e517	No, I don't mean it, because what the situation above all shows is a great uncertainty about economic development. All that can help stabilise the situation and reduce uncertainty is now important and desirable to contribute to it. In view of this, I believe that, as the Minister of Finance has also replied in a letter to the Committee, the structure of the central parties has been presented is sound. We had hoped for greater goodwill and acceptance from other parties on the Stortinget, so that one could get a faster budget solution. This is of course a responsibility for the Government and government parties, but it is also a responsibility for the opposition in a situation of minority rule. We must note that so far we have not met enough understanding that we have a clear budgetary situation.
ParlaMint-NO_1998-11-18.ana.ud1731e522	If there is anything the Government has agreed to and is in agreement with in this budget, it is exactly the level of rigour that the Government has described as necessary. At the same time, there is the level of government leaving when it's going to try to find a solution that it wants to congregate. There is broad consensus in the Storting about the need for a tightening in the order of magnitude described by the Government. But does this not give a picture that the Government is playing out a situation and then wag away when the challenges become too difficult, in the same way that we have seen in the promise policy? Several other speakers today have referred to the promises made both by the Government before the elections, cf. inter alia: the road plan, and after the choice, as follows. inter alia: The long-term plan for the defence, but when they were to be put into active policy, they grew back because they were unable to find a way to follow up the promises they had made.
ParlaMint-NO_1998-11-18.ana.ud1731e527	The government is not evading, and government parties have proposed new cuts and ways to cover up expenses to meet the opposition's wishes for increased efforts in some areas. Prior to this, we also had a rather tough budget proposal with a reduction of DKK 9 billion, 5 billion on spending cuts, and 4 billion on income growth. But we have not been able to go into part of the discovery proposals that, among other things, The working party has been presented. We don't think it's wise to turn into a completely new company tax regime at the end of a year when you're going to have predictability. We don't think a person can take from a child's parents cash support in the middle of a kindergarten year, etc. Therefore, one can not just go on the containment proposals that the opposition has come to, without assessing their durability. All in all, we believe that the arrangement put forward by the centre parties is sound.
ParlaMint-NO_1998-11-18.ana.ud1731e532	There will be follow-up questions from Per-Christian Foss.
ParlaMint-NO_1998-11-18.ana.ud1731e535	I am pleased that the Prime Minister now confirms that Dagbladet is right when it writes today: ‘The truth is that no one in the department knows what reports Bondevik is aiming for...’ Bondevik also said in a previous answer that it is the ‘situation in the Stortinget’ that suggests that a slightly less tight budget has now been in place than the Government thought was an overall objective originally. I want to ask questions as to whether this is not a misunderstanding, if not the Prime Minister meant the situation in the Government, because it is the situation in the Government that has made it impossible to accept any of the many cuts that have been made. For the sake of order: I am not now talking about the Workers' Party, I am talking about the situation in the Right and the Advance Party, which has individually submitted proposals on cuts in the order of 10 billion kroner – 30 billion kroner. Very few of these have been told by the government that they have been able to enter the Storting. For the sake of order, I would just like to draw the Prime Minister's attention to the fact that if he now intends to ask questions to me, I have no opportunity to answer!
ParlaMint-NO_1998-11-18.ana.ud1731e551	I'm not going to ask the representative Foss. But when he and others go to work so critically against the budget lines of the central parties, he has to bear in mind that a critical search light is also directed towards the Right Budgetary Arrangement. This includes, inter alia: to set aside parts of an agricultural agreement – it writes Right itself in its budget line – but unfortunately we cannot do so. The right has also proposed in the case of sick pay and a couple of other schemes, so far as we can judge it, is contrary to collective bargaining agreements and is therefore a very doubtful discovery. So that's not the situation in the government, but that's the situation in the Storting and part of the discovery proposals that, among other things, The right has come with us, which we do not consider sound.
ParlaMint-NO_1998-11-18.ana.ud1731e558	The time for the oral Question Time is now over, and we're going to the ordinary Question Time.
ParlaMint-NO_1998-11-18.ana.ud1731e563	There will be a wide range of changes in the list of questions drawn up, and in this context the President will refer to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 6, from the representative Inge Myrvoll to the Minister for Foreign Affairs, will be answered by the Minister for Development and Human Rights on behalf of the Minister for Foreign Affairs, who has been removed. Question No 9, by the representative Tore Nordtun to the Minister for Finance, lapses because the questioner is not present. Question 10, from the representative Torbjørn Andersen to the Minister for Local and Regional Affairs, will be answered by the Minister for Health who directs him. At the request of the Minister of Health, this question is moved and answered in front of question 21, to be answered by the same Council of State. Question 26, from the representative of Trond Helleland to the Minister for Oil and Energy, has been transferred to the Minister for the Environment who is directing him. However, the question has to be postponed until the next Question Time when the Council of State has a disease history. Question 27, from the representative of Ågot Valle to the Minister for Development and Human Rights, is moved and answered by the Minister for Development and Human Rights, at the request of the Minister for Human Rights and Development, in response to question 6, to be answered by the same Council of State. Question 28, from the representative Erik Solheim to the Minister for Development and Human Rights, has been withdrawn. Question 29, from Mr Stensaker's representative to the Minister for the Environment, is postponed until the next Question Time when the Council of State has a disease incident.
ParlaMint-NO_1998-11-18.ana.ud1731e587	I would like to ask the Prime Minister the following questions: «I St.meld. No 11 justifies its refusal to cooperate with Sweden on shooting grounds for emergency and security policy considerations and ‘does not consider it appropriate’ to make Norwegian defence dependent on the territory of a foreign country. [[1998-99]] In the Nordic Council of 11 November 1998, the Council of State Queseth Haarstad states that ‘it would have to be possible for these two countries, although we have different links with NATO, to use common training fields’. Is it the Minister of Defence – or the Minister of Local and Regional Affairs who stands for the views of the Government?’
ParlaMint-NO_1998-11-18.ana.ud1731e596	The defence's work on investigating a major field of fire and training for departments in the Eastern region is no new cause. As early as March 1994, the investigation programme provided for by the Planning and Building Act was established. This did not include the investigation of fields abroad, as the defence did not consider this to be a current solution. However, while the investigation was under way, the question of the use of the Swedish defence artillery field – Älvdalen firefield in Dalarne – was raised in the public debate. The defence's view of such a solution was referred to the Stortinget in connection with the representative Hernæs' question in the Questionnaire on 6 March 1996. The current Minister of Defence, Jørgen Kosmo, then stated that although the Älvdalen field initially appeared to be more than large enough, there were doubts about the capacity of the field to meet both the Swedish and Norwegian needs within the same timeframe, since the defences of the two countries have developed about the same pattern for the liquidation of major exercises. It was also clarified that the Norwegian defence had to have its own capacity for training and training of its own personnel. The representative Hernæs then re-opened the question of whether the Norwegian authorities would address Sweden on the joint use of the Älvdalen shooting range in the Questionnaire on 21 May 1997. The Kosmo Council of State then pointed to an interpellation in the Swedish Riksdag on 22 April 1997, where Minister of Defence Bjørn von Sydow had stated that it was a principle Swedish position that foreign troops were not allowed in Swedish territory. A number of issues related to the environment and emission concessions were also open, so that the matter had not been resolved in any way by the Swedish side. In its reply, the Kosmo State Council also referred to the fact that the long transport distances resulted in significant extra transport costs and an unacceptable loss of exercise time. Although the use of Älvdalen by the defense was not part of the impact investigations that were carried out, it is in St. gemeld. No 11 for 1998-99, Regional Shooting and Training Field for Defence Departments in the East – Region Field of the East, presented the assessments on the basis of which the Defence Department does not consider the use of the Älvdalen as an appropriate solution. I am also familiar with the fact that the Swedish Council of State, Fjærvoll, had contact with its Swedish colleague in connection with the work on the Storing Message, and after discussing the matter, these two experts agreed that cooperation on the use of the Älvdalen was not appropriate for any of the parties. The entire Government supports the wording of the Storing Communication that ‘other national solutions’ need to be investigated.
ParlaMint-NO_1998-11-18.ana.ud1731e612	I would like to thank the Prime Minister for his answer. In order not to fool this any more, I will notice the answer literally and directly as the Prime Minister said. Then I'm just going to leave it standing as a pointed question mark how the municipality minister could stand in Stortinget in connection with the Nordic Council and say on questions about possible coordination with Sweden that she would have liked to have seen that one could practice together. And then she adds the following: ‘Then we have to go to the Swedish Minister and the Swedish Government to see if there is a solution that may be relevant in the future.’ So, after the government has justified the fact that, for reasons of Norwegian security, it is not possible to exercise together, one of the government's government councils goes out and says that it is the Swedish government that literally has to decide whether this can be done.
ParlaMint-NO_1998-11-18.ana.ud1731e627	I basically have nothing more to add than that the government's view of course is reflected in the big message. There we have explained that we believe that there are other national solutions that need to be investigated, not Swedish ones.
ParlaMint-NO_1998-11-18.ana.ud1731e632	I don't have much to add either. I would like to thank you again for your answer. It's going to be equally satisfying every time. But since so much respect became my ring person part of a previous sequence in this questionnaire, I would like to take advantage of the opportunity to return respect.
ParlaMint-NO_1998-11-18.ana.ud1731e640	I would like to ask the Minister for Culture the following questions: ‘In the Storting last year, it was underlined that the Government must look at the framework conditions of the newspapers, so that we do not have a comprehensive newspaper death. It was promised to coordinate this in such a way that every government council responsible for different framework conditions would also have the same overall impact, so that the government's policy would not have any adverse consequences. Now we see that the newspapers are once again getting their frames worse, among other things, through further postage increases. Is the Government pursuing a deliberate policy to weaken the newspapers, or is this due to a lack of coordination?’
ParlaMint-NO_1998-11-18.ana.ud1731e649	I see, of course, a clear need for all the policy areas of the Government which are relevant to the framework conditions of the press to be seen in the context. I'm sure the representative is familiar with this. Having said that, I would like to point out that in the report on the press support submitted in January of this year, State consultant concluded that the state press support today meets very precisely the newspapers that need support. This shows in my view that the government's press policy actually takes into account all the framework conditions that help to determine the economic situation of the newspapers. With regard in particular to the question of avisporto, I would like to point out that the responsibility for all postage rates except A-post today has been delegated to the Post Office. The new Posten’s governance system makes it possible for rates to be controlled to a limited extent politically. Despite this, I can show that the post office, among others. Following enquiries from the Ministry of Transport and the Ministry of Culture, it has decided to allow the small rural newspapers to keep avisporto instead of having to pay postage in the same way as weekly newspapers. This is a concrete example of such coordination that I perceive Alstad is calling for. In this context, I can also mention that in its 1999 draft budget, the Government has taken steps to increase the production grant for newspapers by 6.45 million. kr in relation to the 1998 budget. I believe that it is absolutely necessary to focus on the interests of the press when considering other issues that have a significant impact on the framework conditions of the newspapers, and will, as far as I can, contribute to this.
ParlaMint-NO_1998-11-18.ana.ud1731e662	I thank the Council of State for the answer. It is good to hear that there has been coordination in certain areas, which in turn gives good results to the newspapers. The State Consultant report to which the Council of State referred, which was also presented in spring on the basis of a survey carried out in the previous year, shows that the press support meets very well. But when the level of it is adjusted down, e.g. by cutting the press support, as the government was in on last year, that newspaper does not help so much more. The cuts also hit pretty well. Press support has increased this year, the Council of State has pointed out. It might be interesting to hear if you expect it to be put at a level of 15 million in the longer term. kr below the level of the previous year. This will at least cause some newspapers to have problems, because in the middle of the press support cuts, there is also a trend in the decline of the advertising market and localisations are losing ground. And the government parties are alarmingly little principleal about VAT issues, so for that reason I'm not completely reassured about the future of the papers.
ParlaMint-NO_1998-11-18.ana.ud1731e669	I believe that the representative Alstad and I are very much in agreement with the description of the challenges we are facing in maintaining a diverse and differentiated press, and really the challenges associated with the market thinking that is taking place in all areas of society and that make global thinking more difficult. That's why it's important to look at the press support systems and make sure they meet where we want them to meet, and as Alstad knows, it's the nationwide, meaningful newspapers, it's the small locals, and it's no. The two papers. When it comes to ad loss and other challenges that the press is affected by, I am aware of it. We can't guarantee that there's no change, but my goal is at least to try to maintain a differentiated and diverse press pattern like what we have today, which is unique in an international context.
ParlaMint-NO_1998-11-18.ana.ud1731e679	I would like to ask the Minister for Children and Family Affairs the following questions: ‘The Minister of State of the United Nations stated on 4 November 1998 that it may be appropriate to consider whether men should withdraw part of the cash support. As you know, this scheme will help undermine rights granted to fathers in recent years, pushing them away from the care role and back to the carer’s role. Will the Council of State contribute to an overview of developments by the Prime Minister so that a «feder quota» can also be introduced into the cash support?’
ParlaMint-NO_1998-11-18.ana.ud1731e688	There have been many positive feedbacks from the Human Roles Conference ‘New Times — New Men?’, which the Prime Minister and I arranged. The conference underlined the need for a new search light on several sides of the human role. Appointed from the Prime Minister, whom Alstad drew, was given after this conference, and I would like to give the answer the Prime Minister gave to the Nations on November 4, to give a more comprehensive picture: «It will be difficult to attach conditions to cash support, but we will evaluate the cash support. If the evaluation shows that it is used by women, it may be appropriate to consider whether men should take part in the time.’» Cash support is not a permit scheme. Cash support is a cash transfer to families who do not – or only partially – use kindergarten for their children. One of the parents is not required to be home. Therefore, such arrangements are not relevant to a spring quota in cash after the model of the spring quota in the birth permit. Although it is not a condition for cash support that one of the parents is at home, it is a goal of the scheme that it should help to make small children’s parents spend more time on care. The government wants and hopes that both women and men will benefit from the need for cash support to reduce working hours or be home all the time for a period of time to care for their children. The representative Alstad claims that the cash support will push the fathers away from the care role. I'm wondering how Alstad can draw such fantastic conclusions. Cash support represents a new option for small children's families, and we know little about the impact of the scheme on how families actually organise child care. I expect that there will initially be more women than men working less because of the cash support. All schemes that make it possible to spend more time with children are currently most useful to women. Only 12.7 pst. — in 1997 — by men, the proportion of maternity leave is higher than that of the parental quota. A study carried out by the Statistical Central Bureau shows that only 7.5 pst. by those who asked that Father would work less than now or be home all the time when the family would receive cash support. The investigation was carried out at a time when the cash support schemes had not yet been adopted by the Stortinget. So the number doesn't say much about how families will align when they get to the piece. The experience of maternity leave shows that fathers are more and more involved in caring for the child’s first year of life. The increase has come gradually over time, and I believe we will see that several fathers will work less out, too, while the children are between one and two years old. We will follow developments closely in the form of statistics, research and evaluation. Among other things, we want to emphasise the impact of cash support on the participation of mothers and fathers and on the sharing of tasks in the world. If the evaluation was to show that young children’s parents do not spend more time caring for their own children who are receiving cash support or that the scheme reinforces the differences between mothers and fathers in care and participation, we need to consider this. It's too early to wonder what can be done in that case. When the research results and the overview of the developments come to me, I will, of course, ensure that the Prime Minister gets the same knowledge.
ParlaMint-NO_1998-11-18.ana.ud1731e706	There are certain things in this society that we don't need to research and investigate in order to be able to say what development is like. One of the reasons for this is the results of the arrangements for cash support in relation to the participation of fathers. The one month set aside today and used by nearly 80 pst. by the fathers, will be put under pressure when the cash support is selected. And it's not being selected by the fathers, I think we can establish that already now. It took three years for us to start changing a rather ingrained family pattern, until we were able to get it through. It went very fast, but it was because the fathers wanted to take a greater responsibility at home. The policy put forward now when cash support will not even be given priority to fathers will mean that a stop to changes in the family pattern and push fathers back to the carer’s role and overtime use that young children have today.
ParlaMint-NO_1998-11-18.ana.ud1731e713	Some of the things I wonder about in the debate that we have now had over a longer period of time about cash support are how those who are opponents of cash support so clearly know – and claim – that women are being pushed here and there and men are being pushed here and there. Don't men and women have the will themselves? As the representative Alstad said in his supplementary question to me – or perhaps more ‘additional claim’ – there was a change in the behaviour of the fathers because they themselves want to be more home and take a greater share of the task, while at the same time getting their own birth rate. I actually think fathers want to spend more time on their children. So now we're giving greater freedom of choice, and it's up to parents, of course, to choose who's going to take that time. Of course, much else is involved and affects the choices that parents make. It's on leave, it's on pay, it's on pay, it's on a lot more. This is a relationship that we also of course want to follow closely, for such things I believe will actually have a greater impact by giving greater choice to parents.
ParlaMint-NO_1998-11-18.ana.ud1731e722	Those who have followed the development of gender equality from the early 1970s and the changes it has brought about in the family will see some patterns, including: that if we, as fathers, are to have the opportunity to come in and have a greater share of responsibility, it must be better facilitated. For freedom of choice is not there today. It wasn't for the girls in the early 1970s when they wanted to enter the areas of the men, it's not for the men today when they want to enter the areas of the women's people. There was one thing I noticed in the Council's response that was positive, and it was that she wanted to follow developments closely in the form of research. And if there was anything this conference revealed, it was that in that area we're too bad. We don't know what men think, we don't know what men do, and we don't know what it is that affects the development of neither the human role nor the feather role. And then I expect as a follow-up to this that the Council of State will take the initiative that we get to know more.
ParlaMint-NO_1998-11-18.ana.ud1731e729	With all due respect for the questioner, I actually believe that I have followed the gender equality debate and the developments of the 1970s and beyond as closely as the questioner. Only because of the age and because of the commitment I have had in politics in all these years, I have had better opportunities to follow it quite carefully. The analysis that the representative had is quite correct. More needs to be done to get the fathers out of their dishes as well. When it comes to human research, we also want to give priority to this. That's why I'm at least happy that, at the Nordic level, we have planned a research position to coordinate all the human research in the Nordic region, and then we get back to how to finance more direct human research at the Norwegian level, which I absolutely want us to give priority.
ParlaMint-NO_1998-11-18.ana.ud1731e739	I have a question for the Minister of Economic Affairs and Trade: ‘I have become aware that Class TF1F at the Nordland Fisheries School at Gravdal has been in contact with the Maritime Directorate for the purpose of obtaining answers to some questions regarding guidelines on which certificates they can issue after the end of the school year. It hasn't yet, two months after school starts, they have managed to get clear answers. A minimum requirement when a training is started must be that the guidelines are clear. Are there such guidelines and, if not, when are they intended to be available?’
ParlaMint-NO_1998-11-18.ana.ud1731e748	As a result of Reform 94, technical colleges are set to go over a period of two years. On 10 June 1998 the Directorate for Maritime Affairs granted provisional approval to the Ministry of Education and Research's curriculum for technical vocational schools. The curriculum provides, among other things: guidelines for the admission and conduct of the study as well as guidelines for the certificates which can be redeemed after two years of training. The guidelines are made known to the current post-secondary schools. After today's scheme, students must complete and complete all subjects in two-year technical colleges and have practical time to resolve certificates. Today's scheme does not allow for the issue of certificates after only one school year. The new curriculum will be evaluated after a period. The Directorate for Maritime Affairs will then give its final approval to the Ministry of Education, Education and Research's technical college curriculum. The Maritime Directorate has also informed me that the principal of the Nordland Fisheries School at Gravdal received an oral reply to an enquiry in the case on 30 October 1998.
ParlaMint-NO_1998-11-18.ana.ud1731e761	I thank the Council of State for the answer. It was interesting to note that the principal received a reply on 30 October. That's something. Today it's November 18th, so there's only a few days since he got the answer, and that's a result of the question that the students have raised. These are grown people, not kids. It is obvious that a minimum must be that they know what kind of certificate they can issue when they finish school. Of course, it is a prerequisite that they exist and that they have the necessary seagoing service. It's almost close to asking: isn't there a form for this too?
ParlaMint-NO_1998-11-18.ana.ud1731e768	There is no doubt about which guidelines apply. The guidelines are set out in the provisionally approved two-year school curriculum. The students know that very well when they apply. At least they should know that by getting involved in the curriculum, and of course the school management knows that. It takes two years of education and passed in every subject, as I said in my reply, to obtain certificates. There's never been any doubt about that. What must apply if one does not complete two years or is in all trades is a different situation. When the formal requirements have not been met, the Directorate-General for Maritime Affairs must assess on a case-by-case basis whether the requirements of the certificate can be demonstrated by other means. It will be an ordinary review procedure. But there is no doubt that the guidelines that apply are laid down in the curriculum, and they are known at school.
ParlaMint-NO_1998-11-18.ana.ud1731e775	I thank you again for the answer and found that there was no form for this either. But I have not received an answer to the question, because the question goes on: What certificates do you get? Obviously, you get some kind of certificate. But what kind of validity is there on the certificate? So for the sake of simplicity, what big boat are you allowed to drive when you're finished with your two-year-old school?
ParlaMint-NO_1998-11-18.ana.ud1731e780	I think some of these issues must be based on a misunderstanding somewhere. There is no doubt that completing this two-year school course meets the formal competence to obtain a certificate for masters and co-pilots, so-called deck officer certificate Class 4 and a certificate for ship engineer officers, an engineer officer certificate Class 4. Higher licence ratings may only be reprocessed during seagoing service, with which the representative of Bastisen is certainly familiar. Some of the issue has been whether you can process the right to a certificate without completing the school, as presented in the curriculum, and as I know there has been a lot of questioning around. This issue must only be dealt with individually, each of which must demonstrate that the requirements required to process the right to a certificate are met, and this must then be dealt with by the Directorate for Maritime Affairs.
ParlaMint-NO_1998-11-18.ana.ud1731e790	I allow myself to ask the Minister for Economic Affairs and Trade the following questions: ‘Does the Minister for Economic Affairs and Trade consider that Norwegian municipalities should be able to remove general prohibitions on the establishment of new offers in certain economic areas, for example by capping the number of enterprises/sales units in a local industry?’
ParlaMint-NO_1998-11-18.ana.ud1731e797	Municipalities can only raise the number of enterprises/sales units within a branch when it is statutory. This applies only exceptionally, such as: alcohol law. As a general rule, land plans and control plans according to the Law on Planning and Building provide only for the disposal of land for commercial purposes, residential areas, free areas, etc. However, when the municipality itself owns the land, they can contribute to the exploitation by deciding to whom the land is sold. I do not think Norwegian municipalities should be able to set a ceiling on the number of enterprises/sales units within a branch of the municipality. This could affect the competitive situation and, in some cases, it could even lead to the establishment of market players with an excessive monopoly position. I think the municipalities should work actively to facilitate business development. This is important for the expansion and creation of existing enterprises. Active organization is a prerequisite for a viable business life and thus a viable society.
ParlaMint-NO_1998-11-18.ana.ud1731e808	I want to thank the Minister for a positive and clear answer to the question. The background to my question is that the municipality of Bergen is currently consulting a question about establishing a roof in connection with the establishment of gas stations. But as I understand the Council of State's answer, you really don't have a legal basis to establish this kind of roof, which means that to get permission to set up a new gas station somewhere, another has to go concede, mostly. I am pleased that the Council of State also has prima facie assessments relating to the question that municipalities should actually facilitate business rather than regulate it away. My small follow-up question will be: will it be possible to incorporate such general assessments into a regulatory plan, or will the regulatory plans also be able to deal only with the actual physical problems associated with the individual business setting up? Or can there be any premise within a regulatory plan that could result in a capping without it being adopted in practice?
ParlaMint-NO_1998-11-18.ana.ud1731e819	It is my opinion, which I fully understand is shared by the questioner here, that the rules of the Planning and Building Act in this area can be used to regulate and determine the relatively rough purpose of the use of land, for example. ground area. Besides that, you can't decide more in detail. Now, municipalities very often also own land. Then you'll probably have a much greater opportunity to decide who is going to buy the land. And you can sell for a particular purpose, as we know it in other issues that are raised, that are for treatment in the Storting. But that's not the law for, as I judge it, and as the department estimates it, using the Planning and Building Act in some way to limit the number of gas stations.
ParlaMint-NO_1998-11-18.ana.ud1731e829	This question, addressed to the Minister for Foreign Affairs, is answered by the Minister for Development and Human Rights on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_1998-11-18.ana.ud1731e832	I have asked a question to the Minister for Foreign Affairs, but I think it is excellent that it is the Minister for Human Rights who answers it: ‘10. December 1998 is 50 years since the UN adopted the Declaration of Human Rights. The conditions of human rights are the key international issues that exist in most other areas of society. Norway has a special role in distributing the Nobel Peace Prize. Will the Government consider introducing 10 December as an official flag day?’
