ParlaMint-NO_1998-11-13-lower.ana.ud413e36	The representative, Erna Solberg, will present a private bill.
ParlaMint-NO_1998-11-13-lower.ana.ud413e317	Through the President, I would like to say to the representative Karin Andersen that I agree, of course, that people should have the right to live, but I cannot agree with an unlimited laissez faire-liberalist, one let it scour and walk in that area, that one should have an unlimited right to live without simultaneously having the duty to comply with the rules of the house rules applicable in housing laws. That's exactly why it's so important that people who are going to live there document sufficient living capacity, and that's where the municipality has to come in. We already have a bad experience with what the municipality does. There have been very clear statements from the housing laws that it is already not working in some housing laws. Then the solution SV here today is forfects, in my opinion a bit lightly. Instead of focusing on that part of the problem, the problems of housing law where many people already have poor housing status are only increased by almost five-fold the number of rentals in housing laws.
ParlaMint-NO_1998-11-13-lower.ana.ud413e322	The aim of the law is to increase the number of rental homes and also to increase the possibility of spreading them. If this law is implemented, therefore, the possibility of spreading the burden on several types of housing will be much greater than it was before. Otherwise, it is a little difficult for me to understand that my post can be perceived so that I believe the unlimited right to stay does not entail obligations. Of course it does. Of course, it follows obligations to live in a housing law. Everyone has to try to relate to it. This law does not exempt anyone from following the rules of a law of residence, but substantiation of residence may be a little difficult. In that case, everyone would have to do it. Many of us have lived in housing law and have different experiences with it, even though the neighbor did not get there via the social office. It is clear that some people will need more help than others to adapt to this legislation. We believe that the system we now want to adopt will help. And from our point of view, we have very strongly underlined the local authority's follow-up responsibility to the people you can assume will have such problems. That's the way we think we can best help these people get a better life situation, which we think they're entitled to – in line with all of us.
ParlaMint-NO_1998-11-13-lower.ana.ud413e331	I have an additional question for Andersen. As is the case today, as a resident in a housing law law, you have a house order to deal with. If you go against this, the ultimate consequence is that you are thrown out of the brigade. But how has Karin Andersen thought of this if you have a legal unit, that Oslo is a municipality, for example. has a legal share in the residency team? Then the situation is that you complain about one of the tenants you've got, it's a very long-term and heavy process, and then you can get him out, and then there's a new person who might not comply with the rules of the law of residence, house rules, etc. So you can have a continuous problem. What requirements will the representative Andersen make to the municipality for them to lose their right to have a legal share in housing rights?
ParlaMint-NO_1998-11-13-lower.ana.ud413e336	The demands we make to the municipality, we make through the laws and regulations that we require the municipalities to follow up. It's true, as Danielsen says, that in some cases you can experience such conflicts. The cooperation mechanism we now want to adopt is in order to resolve this, and through cooperation, to create schemes that both the law of residence, the individual resident concerned, and the municipality can live with. Because here the municipality also has a responsibility to provide housing. You might also be thrown out under this scheme because you have a behavior that is not compatible with being there. It could happen. But in such a situation, the municipality would lose the right to give this dwelling to another person who needs help to get housing is completely unreasonable, because it means that one is collectively convicted for something for which one is not personally responsible. Nor can the Progress Party believe it is right that a person who comes after someone who has violated a law in a housing law should be judged for something that the one who had the apartment before has done. It's completely unreasonable.
ParlaMint-NO_1998-11-13-lower.ana.ud413e343	No more words have been asked for.
ParlaMint-NO_1998-11-13-lower.ana.ud413e346	I am pleased that a large majority of the municipal committee have joined the Ministry's proposal to amend the housing laws in order to make it easier for municipalities to provide housing for those who need it, whether refugees, asylum seekers, the elderly, the disabled or other disadvantaged, and that this will make it possible to spread housing in different areas of residence. Following the proposal, the public may acquire up to 10 pst. of the shares in a right of residence law, if the statutes do not open to legal unit-holders. The proposal does not imply an expropriation or pre-purchase right to acquire units but is based on voluntary sales. The size has adopted a similar provision in the Ownership Act. In my opinion, there is no reason to have different rules in the ownership law and housing laws in this area. There are many residential properties that are suitable for municipal rentals. It is therefore natural that the right of the public to acquire rental dwellings is now also included in the housing laws. I am aware that a large part of the housing cooperative is skeptical of the proposal – I myself have had meetings with several housing companies. This is justified by the fact that municipalities have often had poor follow-up to their tenants, and that this has caused problems to other residents. In this respect, I would like to remind you that unacceptable behaviour on the part of a tenant can both provide a basis for expelling the resident and giving the municipality a notice of termination as a unit. The maturity limit for what other unit-holders need to find is the same whether the unit-holder is himself or a sub-owner who lives in the dwelling. Therefore, with a view to avoiding redundancies, municipalities will also have a strong self-interest in following up their tenants. It is strongly underlined in the proposition that municipalities are responsible for following up those allocated housing in housing law. At my discretion, therefore, the interests of the other unit-holders, who are also residents, are properly safeguarded in the proposition. However, I have noticed and I take note that the Committee also wants to legislate for the so-called legal persons who have acquired shares in a related housing law to participate in a cooperation committee with housing law on the acquisition of units and the management of sub-rents in related housing laws. In most cases, this will involve a further imposition on the municipalities. The Committee asks the Ministry to follow closely the practice of the new legal rules by the municipalities, both in terms of the dissemination and follow-up of cooperation with the housing cooperative. I can confirm that the department will follow how the rules are practiced and how this develops. In addition to the changes in the housing laws, the Ministry proposes to amend the complaint rules in the Owners' Section Act and to allow the registration of all owner-parties in the Business Register. I am pleased that a large majority of the committee has also joined these proposals.
ParlaMint-NO_1998-11-13-lower.ana.ud413e358	It's going to be line change.
ParlaMint-NO_1998-11-13-lower.ana.ud413e361	I noticed that the Council of State was talking about spreading the housing. I would like to go further on that very question, in terms of the dissemination of the groups to which the law refers. Of the country's 435 municipalities, there are housing laws in only 200. It's mostly city municipalities, and it's larger municipalities. Does the Council not see that this law will result in an enhanced centralisation of social problems, by the fact that the groups mentioned in the bill will now be able to attract the municipalities they know to provide them with housing, i.e. where housing laws exist? It is an aspect which has not been promoted in the debate, but which I would like the Council of State to assess, whether it could mean that the municipalities with housing laws – in close proximity to all municipalities in this country – can act as a magnet on those who want a social housing.
ParlaMint-NO_1998-11-13-lower.ana.ud413e366	To the question of this will lead to the centralisation of people who want to get help from the municipalities to get housing: No, I honestly don't think so. I think these are basically people who have no conscious idea of moving to municipalities that are going to be extra nice to get social housing. These are people who are often in a desperate situation, knowing that they have no place to live. I noticed that Andersen's representative said in a reply that the children's families had to be provided housing. Then I would like to remind you that in the case of families with children, we have it among immigrants, among refugees, among asylum seekers, and I expect Andersen to believe that it is not just ethnic Norwegian small children's parents and children's families that should have this opportunity, but that it applies to everyone. I also remember that in the case of the elderly, we actually have older people who do not have an ethnic Norwegian background, and who need a place to live. I expect that the Progress Party believes that it should not be the skin color of the elderly who decide whether a municipality should ensure that they receive an acceptable housing offer. So, I would recommend to the Progress Party to be somewhat more nuanced when they talk about who needs social housing. Then I would like to remind you that the municipalities are actually responsible for providing housing. We must give the municipalities a real opportunity to follow up on this responsibility. So the amendment of the law we are now proposing is in line with that. I have also noticed that it has been highlighted that the housing laws have protested against this scheme. Yes, they do, but OBOS was actually the ones who recommended that we make a similar change in the ownership law in its time. Let me also remind you finally that in the law on housing law, it says that up to 30 pst. can be used for social housing. Now the government is proposing, and I'm glad that we get a majority in the Storting for, to open for 10 pst.
ParlaMint-NO_1998-11-13-lower.ana.ud413e377	Let me first say that I am very pleased with the thorough work that the Council of State and the Government have put into the preparation of this proposition. It is also expressed by the relatively broad connection that the proposition has received. So that's the way the Progress Party is parked on the sideline, because in many ways they have a completely different starting point, that's a completely different world they're dealing with. They love to fish in touch with water – for the recordings that have come have also made it apparent that problems are already related to renting in housing camps. Those problems, I don't think, are getting any smaller or bigger if the municipalities don't take seriously the challenges and the input that come from the housing laws. But that is what we have done through the proposal on committees of cooperation. Through the Committee's work, we have raised the question of the ministry's views on such a cooperation committee. The Ministry writes that they will not advise to introduce a legal provision requiring such cooperation between municipalities. While arguing that it may be appropriate for municipalities to enter into such cooperation voluntarily, the law on housing law also refers to the law on housing law, which has clear rules on what one can tolerate of the behaviour of residents in a housing law. So my question to the Council of State is to see if she can explain why the Department is planning to introduce a legal provision that requires local authorities to cooperate in such a way.
ParlaMint-NO_1998-11-13-lower.ana.ud413e382	I'll try to justify it in three points. First of all, the municipalities are responsible for getting people a house when they can't handle it easily. They are responsible for social housing policy. But it is also the responsibility of the municipalities to follow up the apartments they rent out to people who need it. It is clearly specified and underlined in the proposition. I think the municipalities are conscious of that responsibility. Then I will refer to the rules contained in the law on housing law, which we believe reveals what is to be done in a housing law, whether it is a legal owner or a sub-rent. The third point is that I have gradually become more and more restrained by imposing too many new, detailed provisions on what they are to be responsible for. With regard to the last point, I am actually a little concerned that we both from the Government and from Stortinget too much come up with detailed provisions on how the municipalities should handle their tasks. I think the proposal here today is a little bit in that street. In it it is that if we first accept that the municipalities are responsible for social housing policy – and they do – we must accept and trust that the municipalities follow up the responsibility as they think it is most practical to do so. So it's also been an argument, and for my part, it's probably the last point that gets more and more important.
ParlaMint-NO_1998-11-13-lower.ana.ud413e393	No more words have been asked for. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_1998-11-13-lower.ana.ud413e398	The representative Odd Eriksen is certainly right in saying that the Progress Party here at Stortinget is parked on the sideline. But there we are with those who wear their shoes, the ones who live in the living quarters and know where the shoe prints. The progress party believes that the majority of people do here today are running away from their responsibility. Instead of imposing obligations on the public and politicians who have adopted these rules, they are being pushed onto housing laws, which are made into real ghettos in some cases. What is our answer to this problem is that the public must provide enough land. The answer is also that the public must take responsibility for the residents they place around in the housing laws. Of course, the right to live applies, but it is not uncircumcised. With the right to live, it must also follow obligations. The Progress Party has called for greater regulation of land, a reduction in the processing time and a simplification of the legislation, so as to facilitate the construction of land in this country. Furthermore, we have agreed to rent dwellings on the market. Municipalities and the public can build dwellings themselves instead of intervening in existing housing environments where they have acquired rights in the form of forming a housing law. There are also housing laws that voluntarily take people who have housing needs. And as long as that happens that way, it's completely in line with our policy. The public can also purchase available dwellings on the market and can purchase them in areas other than, for example, in the Groruddalen and Oslo inner east. Furthermore, we can help refugees and asylum seekers in the neighbourhoods, so that we can help many more and thus reduce the pressure in the press areas. We can, for example: allow the money to accompany refugees and beneficiaries and exempt the press areas. We can leave the burden on the public, not on individuals, and so make everyday life much more pleasant for individuals in Norway who are today being disproportionately hard hit. The solution to this problem is, therefore, to leave the burden on the public rather than on individuals, who are being disproportionately hard hit.
ParlaMint-NO_1998-11-13-lower.ana.ud413e407	In this debate, it has in part been bad to hear the absence of consideration for residents in the housing laws and the lack of understanding of the importance of having safe and good living environments in the country's 4,000 housing laws. Again one sees that politicians actually choose to take more account of troublemakers and troublemakers than of the peaceful and law-abiding. When the public restricts self-government in the housing laws, it cannot be seen as anything but a public offence. And then one might ask, what kind of society is one going into? How much power should we give it to the public? And how far are politicians going to go in overstepping the interests of ordinary people? In my view, this matter is about a number of fundamental views of what public and politicians can afford to do with groups in society. In this case, perhaps half a million Northmen are partially ill-affected by what eleven members of the Municipal Committee have meant. Of course, democratically and constitutionally, this is not reprehensible, but it is morally strange that politicians are not more sensitive to them to whom a law should apply. And in a case like this, where the signals have been so clear and unambiguous against the law of the parties involved, it is incredible that politicians have not taken more account of the signals than they have done. Of course, politicians have overall responsibility for the whole of society. However, it means that one must make decisions that primarily have a anchor and support in a broader group of the people, and preferably those relating to it. In this case, these considerations have not been taken into account to the extent necessary. The fact is that the political majority is speaking against the people in this case, and it does not at all promise any good for what this legislative amendment could have negative consequences in the future.
ParlaMint-NO_1998-11-13-lower.ana.ud413e418	There is certainly no reason to extend this debate extensively, because what has been debated so far is a very different view of human beings. Individuals are hit disproportionately hard, says Dag Danielsen in his last post. Yes, they do! There are many who have also been hit in the way that for different reasons they have not managed to get a place to live. And when Torbjørn Andersen stamps all of these as troublemakers and troublemakers, it's kind of impossible not to object. Because it is that the vast majority of those who need such help to obtain housing will be able to get help through what we are doing in the amendment of the law today. I can't understand where Thorbjørn Andersen got it from, and what kind of reason he thinks he has to label the majority of these as troublemakers and troublemakers. What the Progress Party is calling for is a segregation policy: if one is such, if one is to live there, if one has it in a slightly different way, one must live somewhere else, and if one is fighting a little, it is preferable to live far out in the woods or somewhere. We have a view of something like this: we think that this diversity is good, but sometimes it means that some people are unable to comply with rules and laws, and then we have to have a system where we're trying to get these into the most normalized way of life. We think that's the best way to make both them and society work as best as possible. Then a segregation policy is a completely wrong way to go. It would only sedentate differences and sedentary ways of acting, where one must never break against the neighbor or against colleagues, or against friends or those who had to meet on the street. Especially given the child's balance conditions, I think it's pretty serious if you were to go along the lines the Progress Party is now drawing up, where you were to separate parts of the population because they have the common characteristic that they have had to get help to get a living. Two progress party representatives come here with two very different messages. Danielsen wants more power to the public and believes that it should intervene more strongly, while Torbjørn Andersen believes that the public gets too much power through this law. So it's a little difficult to get what the Progress Party really wants, except that they want more people to stay longer in prison, and fewer refugees and asylum seekers to enter Norway.
ParlaMint-NO_1998-11-13-lower.ana.ud413e425	No more people have asked for the floor on case No. 1st@item: inlistbox [[Votation, see below]]
ParlaMint-NO_1998-11-13-lower.ana.ud413e439	No one has asked for the floor. [[Footing, see page 29 f.]]
ParlaMint-NO_1998-11-13-lower.ana.ud413e447	Odelsting is ready to start voting.
ParlaMint-NO_1998-11-13-lower.ana.ud413e453	In the course of the debate, Mr Solberg, on behalf of the Right, has presented the proposal included in the vote on page 6.
ParlaMint-NO_1998-11-13-lower.ana.ud413e474	The party of progress has announced that they will vote against the entire setting, with the exception of the new fourth sentence of the fourth paragraph of Section 10.
ParlaMint-NO_1998-11-13-lower.ana.ud413e537	Here is a different proposal from the Right. The proposal reads as follows: ‘In the Law of 4 February 1960 No. 2 on housing law is amended as follows:
ParlaMint-NO_1998-11-13-lower.ana.ud413e708	The title of the law and the law will be the subject of a vote. The President expects the Progress Party to vote against as well.
ParlaMint-NO_1998-11-13-lower.ana.ud413e719	The legislative decision will be sent to the Layer.
ParlaMint-NO_1998-11-13-lower.ana.ud413e782	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1998-11-13-lower.ana.ud413e789	The legislative decision will be sent to the Layer.
