ParlaMint-ES-GA_2019-06-26-DSPG122.u1	Good morning. Change in agenda development
ParlaMint-ES-GA_2019-06-26-DSPG122.u98	Thank you very much, Mrs. Torregrosa. Excuse me, you have to wear your shirt, Mrs. Torregrosa. Thank you. Mr Bará Torres has the floor by the Galician Nationalist Block Parliamentary Group.
ParlaMint-ES-GA_2019-06-26-DSPG122.u99	The T-shirt will stay here. Well, first of all, I want to welcome the representatives who are here from the Homologar Canteiros de Poio Association and also give them our recognition, from the BNG, for their struggle, for their absolutely fair claim that they are carrying out and because we think, in addition, that they are doing a job for themselves and for society as a whole, defending the prestige of a millennial profession and of a school that I have and must continue to have a great prestige at the Greek and international level. Therefore, our gratitude. At the same time, we miss the presence in this plenary of a representative of the Government, for example, of Employment or Education, when we are discussing a matter that affects nothing more and nothing less than six hundred people who have made a great effort to train and have no academic recognition. Actually, we're talking about a school that's forty years old. What better than celebrating these forty years with the official recognition of studies, with academic recognition in the regulated education system? That's the best celebration and the best homage that can be done. It must be said that there are shared responsibilities of the various administrations: of course, the Deputy of Pontevedra, who has been managing this school for thirty-seven years. By the way, of these thirty-seven, thirty-three years of the People's Party and now, the last four, of the coalition government of the Socialist Party and the BNG, which began to take the first steps to, say, solve all the precariousness that this centre had, for example, making an investment of four hundred and forty thousand euros to comply with the regulations of the training centres, which did not even comply with. Because of not having, I had no first-acting license, so was the situation in this center. The reality is that there is at this moment a certain consensus, at least in the Pontevedra Parliament, because there was a unanimous agreement of the plenary of the Pontevedra Parliament of 4 March 2019 where all political groups — including the People's Party — supported an initiative to demand the academic recognition of these studies, to ask the Board of Galicia to initiate these proceedings and, in addition, to make it extendable to all the students who did these studies retroactively. I would like to recall that in that plenary session the representative of the People's Party defended this issue in an enthusiastic manner, saying that he gave total support to the student in order to be able to have a approved title and vote in favour of this initiative. So, this same proposal is being put to the vote here today; we assume that the People's Party, if voted in favour of the debate of the MP, will also vote in favour of the debate of the plenary. We therefore call upon them to join this consensus and not to do what they normally do, which is to say something in Pontevedra, in the plenary session, and to oppose it now in the plenary session. Well, the BNG met with the Homologar Canteiros de Poio association—chanting and quarrying—and presented its own initiatives in this parliament and today we are also presenting a series of proposals to improve and complement the initiative brought by the En Marea Group. In particular, we also call for a point where we urge the Council of Galicia to address the Government of the State, because indeed the Government of the State has competence in this area, in the area of education. The creation of the qualifications and study plans of these degrees of vocational training would be the responsibility of the State, but the Council of Galicia has educational competences in Galicia, it has to put in place all the mechanisms and it has responsibilities to resolve this situation. In addition, we put forward a proposal that, although it is in the symbolic field, also seems very important to us. And it is that we propose — and I hope that no group has any reason to say no to this proposal — that the Greek Parliament adopts today as a resolution — and it would be a declaration of intentions of great value, I assure you that yes — to express the recognition of the tradition of canterry, for all that it has given the canterry — the canterries and the canterries too — to this country, and to the formative, informative and also international projecting work — as it has been said here — which leads to the Poio School. And we also want this resolution to show the support of this plenary, this parliament, to the Homologar Canteiros de Poio association for recognition of its studies and official academic titles. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u100	Thank you very much, Mr Bará. Mr Álvarez Martínez has the floor by the Parliamentary Group of the Socialists of Galicia.
ParlaMint-ES-GA_2019-06-26-DSPG122.u101	Thank you, Mr. President. Ladies and gentlemen. Representatives of the Poio Canterry School, welcome to Parliament. Mr Bará, Mrs Torregrosa, the T-shirt is still here because we, of course, share the need for this situation to be solved; a long situation and a situation for which, in addition, Mr Bará, in that illusion that you have — which I share at times — I also hope that a unanimous agreement will be reached on the part of this Parliament to resolve this problem injustice. Because we are talking about a Poio Cantery School that provided and provided to its student a training that, if it were strictly educational, we would be seeing here the education leaders — the advisor, in particular — talk about the academic and labor excellence of the graduates of this school, taking into account their long history and their international and national recognition, of course. So we understand that the non-law proposal presented by the En Marea Group, with the self-amendment you have made now, is indeed perfectly acceptable for us. This is because, of course, the procedure for registering a centre as a professional certificate trainer, which is within the Labour Administration, has already been initiated by the Pontevedra Deputy with these two professional certificates: that of Works of Crafts and Restoration in Natural Stone and that of the elaboration of Stone. However, in fact, they do not have the corresponding academic recognition because there is no academic title, whether of medium or higher degree — or both — that allows to solve this historical problem. There is no professional family in which it would have a certain framework, which is that of extractive industries, but within it only the title of Technique in Natural Stone was created, a mid-grade title, and the professional outline that is identified for these titles is not, by far, what is acquired at the Poio Cantery School. That is to say, we are talking about a professional profile in which a machine operator is included in the manufacture of parts, a stone-working machine operator, cleaning machine, etc., but — I insist — it is substantially different from the training that students and students acquire in this school. Therefore, being substantially different, it seems absolutely reasonable and timely to develop a titration or a titration consistent with that specific training that is acquired at the Poio Cantery School. In addition, we have the legal framework, and the legal framework is clear: there is a real decree of the year 2011 which establishes the general management of the vocational training of the education system — I insist, not the work — that it corresponds to the Government, by real decree, to establish the basic aspects of the curriculum of the minimum education of the cycles, both medium and higher grade, adjusting, yes, the requirements of the National Qualifications and Vocational Training System. And here we have to say that, in addition to this legal framework, there is another one in the Organic Law 2/2006, of education, which says it corresponds to the Government of the State, after consulting with the autonomous communities, to establish the corresponding titles; I insist on this because it is very relevant: after consulting with the autonomous communities. We are therefore here in the face of a repeated attempt by the People's Party — and so it was stated in Commission 4a — in which the People's Party focuses its focus on the Pontevedra Parliament. He focuses on the Deputy of Pontevedra now that he does not govern the Deputy of Pontevedra; the reality is that for thirty-three years — to which Mr Bará referred — he did not worry at all about establishing an academic solution for the graduates of this Canterry School. Therefore, the Galician Union will have to manifest itself either sooner or later during the processing, because it is so in the law, in case one or more academic titles are decided to be established. I believe, frankly, that it would be a coherent political action, both by the proposed group and by the opposition group to this non-law proposal — because I insist: they say that it is a problem of the Pontevedra Parliament when not; it is a problem of a series of pupils and students who are being formed in the autonomous community — and it would come from our point of view — I repeat — that they would be able to reach some agreement in which, I do not know whether the Pontevedra Deputy is involved at the same time with the Council of Galicia, to address the Government of the State to establish this title. If it is a problem of the Parliament of Pontevedra, or it is a problem of the Council of Galicia, it is quite irrelevant; the question is to give the political impetus needed by all those involved — Parliament and Council of Galicia — so that this new title is established and that it is given a solution once and for all the students trained in that magnificent and brilliant school of Poio canneries. Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u102	Thank you very much, Mr. Álvarez Martínez. Mr Moreira Ferro has the floor for the People's Parliamentary Group. [[Mr. Moreira Ferro pronounces words that are not perceived.]] Do you want your shirt? Yes, leave her there, please. [[Mr. Álvarez Martínez speaks words that are not perceived.]] Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u103	Thank you, Mr. President. Very good morning. We also greet the representatives of the Association of the Poio School of Singers. What is true is that we miss the President of the Pontevedra Parliament as the head of the centre and who should be the one to request this approval or accreditation. We do not oppose, ladies and gentlemen, that the ministry is asked to create a qualification that can be given at school and to allow its students to obtain an official qualification, but for that reason it is necessary to ask for the creation of this qualification, and whoever has to ask for the creation of this qualification is the school's head office, which in this case is the Deputy of Pontevedra. That's what we said in that proposal that was discussed in the committee that was commented here and rejected. Why was she refused? For a number of reasons. First of all, because Junta was asked to approve the titles of the Poio School of Singers and to convert them into middle and upper cycle titles, and there is no procedure or system of approval of lessons not regulated by official titles of FP; Mr. Álvarez explained it perfectly. It would be good if the members of the Socialist Party in Pontevedra had called Mr Álvarez, who had explained perfectly what is the impossibility that today does not allow the approval of these titles. If they want to be an FP centre, they have to follow the procedure that is regulated in the regulations. There is a regulatory framework that is not within the competence of the Galician Union; the Galician Union provides FP and manages FP in Galicia, but does not exercise and does not describe that regulatory framework or the academic itinerary. There is also a confusion about the holder: as I said, the holder is the Deputy of Pontevedra and, in any case, who has to apply for such approval or such validation or accreditation will have to be the holder, which is the Deputy of Pontevedra. Neither the Galician Union nor the People's Group throw balloons out; the Union cannot decide on matters that are not of its competence. We explained this in that debate in the committee and said that a solution could be the creation of a new title. Now In Marea has presented a self-amendment, modifying its initial request, in which it proposes to request the creation of this new title. We don't object to that, we agree. I suppose In Marea will have evaluated the repercussions that this possible approval could have on the technical staff of the school, I suppose they will have evaluated it and will accept the repercussions that this entails. But our position is still that whoever has to urge is the Deputy of Pontevedra, because the People's Group respects local autonomy and, of course, we are not going to demand it or we do not think it is appropriate to urge the Council of Galicia to interfere with the powers of another administration. It will be the Deputy who freely decides what he wants to do with the School of Singers. We're not going to oppose it, if it's really what they want. But there is another reason for confusion, and they are confused — and Mr Álvarez explained it too — with vocational training for employment; they are not the same thing. Even if it's said to be vocational training, it's not the same, because vocational training for employment is going to be geared towards issuing a professional certification, which is a work accreditation, and not an academic qualification, which is the education FP. In any case, following the information provided by the School of Singers itself, the Deputy of Pontevedra, as publicly stated, has already announced that he intends to adapt to the current legislation to convert this school into a vocational training institution for employment; for that is done. Now, it's true that this was said in October last year. Today we have no knowledge that the accreditation of this centre had been requested as a vocational training centre for employment, but the President of the Parliament said in October that "the previous Government has not done anything for seventeen years and we are going to be the ones who, briefly, will receive the said approval." There's nothing asked for today. We don't know the procedures you've done, but what's true is that the Deputy won't make an approval; that's not an approval. It is also not — so we could read — what the students are asking for, because we saw in a press release on November 16, 2018 that, at a meeting with the Deputy, the Deputy explained that they were going to get a work certificate, and it says press notes that the collective qualified him as ridiculous and unambitious. So, I hope you're not doing demagogy and generating false expectations for the students and the staff of the center, because what you're going to do is not homologating with an education FP title. On the other hand, we want to value the work that is being done and to pretend on a matter: the students of this school do not have official qualifications of the education system, but it is true — as it has been said — that they are claimed for very important works around the world. And why? Because they have great prestige. They have no titration, but they have great prestige and, on many occasions, the prestige in the development of their profession is above the qualifications; and this school was conceived to regain the trade as a trade school. But, in any case, if they want to keep that proposal, we do not oppose it; yes, it must be the holder of the centre, the Deputy of Pontevedra, who insists on this approval. And we're not going to oppose the fact that Parliament is studying the possibility of homologating or believing the titles issued in the last forty years; it seems quite difficult, but we are not opposed to the study. But, look! don't do demagoxy, because here you're mixing vocational training with vocational training for employment, and they're not the same. So, clear up what you want to do, because what you're doing or you're going to do is not to approve that title. So we're proposing that amendment. If you agree, we will be prepared to approve — if it can be unanimously — this agreement to make that political impulse in which we agree.
ParlaMint-ES-GA_2019-06-26-DSPG122.u104	Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u105	But things have to be clarified as they are. Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u106	Thank you, Mr. Moreira. Author group of the non-law proposition, Mrs. Torregrosa.
ParlaMint-ES-GA_2019-06-26-DSPG122.u107	Thank you very much, Mr. President. First of all, I want to thank the voices of the Socialist Group and the BNG for sharing this so obvious vision of what is due and what should not be done when one is in command of a government of a country. I mean, I don't think I'm taking on the responsibilities that everyone has is the worst that can be done. Misleading people... [[Murmurs.]] I mean, if your answer is so clear and you have so clear your skills, why weren't you so clear in 2007, when Mr. Núñez Feijóo was visiting the School of Singers? Why were they not so clear last December 2018 when they met with the Poio Singer Association? Because now they're so clear when they come under pressure, but it turns out that at the time they were unable to find the arguments to say no. And why not? Because FP is the competence, in educational matters, of the Galician Union, and that has nothing to do with the ownership of the centre, whether private or public. I mean, the Deputy has neither academic competences nor knowledge nor any educational department — which I know — to be able to have enough information on the procedures that must be done. You can't always throw balloons out and say that it's everyone else's fault and that the others are the ones who have to solve their problems. That's why they're in a government, whether they want it or not. So, I insist: I don't think it's a single topic either of the Galician Union, but it has to be said that the Pontevedra Parliament has only been in the hands of the Socialist Party and the BNG for three years and they've done something. You've been all the rest of your time doing nothing. We're talking about a degree and an educational centre that has been formed from an educational administration, from the Ministry of Culture itself, which is currently managed by the Deputies. [[Murmurs.]] You can't say it's not your responsibility. With regard to amendments, I want to say that we tabled a self-amendment in relation to the agreement we had already reached in the Education Committee and, returning to the subject, we will not accept that you do not accept that it is your responsibility and that they vote the ball back to the Deputy of Pontevedra. Nothing else and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u108	Thank you. Please, Mrs. Torregrosa, the other amendments I give you for the fact that I accept them. Do the other amendments accept them, BNG and PSOE? [[Mrs. Torregrosa Sanñudo speaks words that are not perceived.]] Thank you. [[Mr. Torregrosa Sanñado: Yes.]] Next proposal. G.P.'s non-legislative proposal. of the Socialists of Galicia, at the initiative of Da María Luisa Pierres López and two other Members, on the launching by the Government of Galicia of a procedure for the assessment of the architectural quality of the buildings affected by Articles 24 and 39 of Law 2/2016, of the ground of Galicia, who wish to obtain the exceptional fulfilment of the special generic conditions applicable to them
ParlaMint-ES-GA_2019-06-26-DSPG122.u109	No amendments were tabled. To formulate the non-law proposal has the floor to Mrs. Pierres.
ParlaMint-ES-GA_2019-06-26-DSPG122.u110	Thank you, President. Good morning to all of you. First of all, I would like to thank the representatives of the Official College of Architects of Galicia today, from the rostrum. There are initiatives in this chamber that can deal with more or less tangible and more or less quantifiable issues, but what we bring to the debate today is essentially whether Galicia and this government are at the moment of maturity enough to allow favoring architectural quality as an end, and not as much as an anecdotal or as a chance, which sometimes happens; deciding whether it is the Government who is going to take further steps to allow Galicia to aspire to acknowledge excellence, not only in research, not only in entrepreneurship, education or even gastronomy, but also — why not? — in architecture, and to do so, of course, from the hand of the landscape and territory, from all over the territory. It's also the time to bet and not give away neither the capabilities, professionalism and sensitivity of so many and so many professionals of architecture, but also many Greeks and Greeks; if you don't deny any of them the possibility of betting by an architecture of quality, extraordinary and exceptional; to allow them, at least, to be listened to and valued, something that doesn't happen today, because there is no channel or mode. I explain why: because Law 2/2016, of February 10, of Galician soil, contemplates the concept — it is true — of architectural quality, and does so in two of its articles. On the one hand, in Article 24, paragraph 7, of the scheme and building conditions in the rural core soil, when it says that "the new buildings that are intended to be located in the traditional rural nuclei will identify with the characteristics of the place and will be directed towards consolidating the existing rural plot." And he says they have to meet the following conditions: "The typological, aesthetic and constructive characteristics and materials, the colors and the finishes," which must be "in accord with the rural landscape and traditional constructions of the settlement," but he says, "No prejudice to any other proposals that are justified by their architectural quality." Similarly, Article 39 is collected for constructions in the rustic soil. But these articles, actually, don't find a practical application soon. Because, in spite of that drafting — I must acknowledge — especially open to the interpretation of these articles, at the time of applying them, it is municipal planning that is imposed, because in them are described those finished, those materials, those forms and even those typologies, and the only way to provide different solutions is to justify that quality different from the work; but that possibility of exceptioning some of those previous conditions simply does not exist. Municipal architects and architects understand, from their powers, that they cannot give unipersonally the architectural quality to some works themselves and others not. They understand that, as in the councils that have conformed, for example, to the Heritage services, there should also be an evaluating commission or any other mechanism to issue reports of exceptionality to compliance at any point or at all points of those standards and based, of course, on the particular quality of architectural works. This is a common problem, much more common than we think. They are often the promoters who often don't understand how their proposals, which is true that they are often more careful and detailed than the average architectures, are discarded above others who, by meeting the standards reflected in the standards, are, however, bad examples of architecture built. It's incomprehensible as the lack of architectural quality of a dwelling, for example, nobody discusses it, whenever they assume a color, material and morphology; and yet the extraordinary quality seems to be something that is rejected as a problem to be avoided. And here is the main problem: the rejection of good architecture, which lies in the extended idea that what is different, which does not follow the established standard, must be, by definition, worse. And if we have this, however, already disassembled in many other matters of our lives, why does it cost us so much to understand it in the world of architecture? We understand that the architectural quality of a dwelling is not in use, for example, an Arab roof on its roof, nor is it in using stone on its walls or wood on its windows, or in using hollows on the facade with certain proportions and dimensions. The architectural quality goes further, far beyond the normative recipes, is the set of qualities; and yes, the result can, in this case, change factors. If you read the text of this initiative, you began by talking about the concept of quality; quality as a set of properties inherent to something that allows you to judge its value and also to compare it with any other of its own species. In fact, for the historian and critic of architecture William Curtis, the architecture of quality is closely linked to dialogue with society and with the urban context, in a physical sense, and to the iconography of the city. The context is therefore not only physical and measurable; it has much to do with the interpretation of it, and the interpretations are precisely the opportunities to generate rereads of the already known one. To understand this better: it is not intended with this proposal that all architectures are removed or away from normative rigor, but those that bet on providing new interpretations of materials, volumes or compositions have at least an opportunity to be developed allowing their value to be judged before. [[Applause]] The reality is that in German urbanism too much regulation and regulation has led to an abuse of reproduction which is frankly worrying. And beyond that debate that would give us for many more hours of discussion, the question I think is clear: what leads us, in architecture, to culturally reject the exceptional and, however, to embrace the conventional and the common? The answer is clear: I think it is comfort and, in this case, administrative comfort. Standardizing allows us to develop more effective and more sustainable control systems, but taking on diversity means developing management tools also in urban planning, and that's an effort that only advanced societies are willing to take on. And let's go back to the first question: is Galicia really prepared to take a step forward and bet on favoring the architectural quality of its architecture? From the Socialist Group we think that yes, of course, Galicia deserves the opportunity to enrich its heritage, not only in urban soils, but also in those architectures that are used in rustic soils or rural nuclei. And I give them examples that should make us all think: think, for example, in the Nordic countries and imagine the traditional architectures of these areas, as they naturally live with the most contemporary and the most current ones. Some of them may have sloppy blankets and others may have flat blankets, but when we see them, we fully recognize the country. They're harmonious landscapes because they get the most important, that's to identify with the territory, with culture and with people. Some are even at the foot of lakes and, even so, at the limits, integrate in an extraordinary and unaffected way into the landscape. They are different dwellings, both traditional and current, but both respond to the technical possibilities of each moment and maintain the fundamental, which is the essence of Scandinavian architecture. In Galicia there are many examples of architecture that, today, fifty to sixty years later, if built, would be unworkable by urban or aesthetic issues, by the regulations that would affect its kind of soil today. We speak of dwellings such as Domínguez in Poio, Alejandro de la Sota, and the house of Roiba, of Vázquez Molezún, in Bueu. In their day they were absolutely innovative, and it was, among other things, because of how they relate to their place: one, despite being on the sea, integrating and mingling with the coastal boundary, and the other standing above and below the ground, taking advantage of the best of every situation. Today they are both a reference to their moment and reason for study and even the inspiration of modern architecture. If we do not favour today that these special architectures — often with little entity — can be given, we will hardly be favouring a future heritage of quality and those other models to look at and learn from. We can't keep thinking that all contemporarys will be bad and that only with the mimetic imitation of old models can we ensure a better Galicia. In a context where laws, such as the recent urban rehabilitation, are even adopted, where there are also exceptional architectures that — if they — are already in themselves heritage, are opened — I think — the ideal time to reflect on this concept in all architectures, and thus improve the general quality of it; so that what is not rehabilitation, which is the highest percentage of current performances in the territory of Galicia, can in any case develop with the highest standards of construction, but also architectural; so that living that contemplates solutions like a garden deck may also fit; or that in a land like ours, which has grey skies, grey clouds and waters that become gray by gray clouds, it is not prevented from using a material like the five, probably the most suited to the color of our Galician landscape. If we think defining architectural quality is a hard task, let's not forget that Galicia has experts from the architecture sector, professional schools and other collectives or institutions that can participate in this assessment...
ParlaMint-ES-GA_2019-06-26-DSPG122.u111	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u112	...the conditions of architectural quality that give a building an added value — it is finished — as was said before — with the evaluation of the heritage through the territorial councils of the Cultural Heritage, the Technical Commission of Archaeology or the Santiago Road Advisory Council. I ask all groups of heights of look and the indispensable reflection for the importance of favoring that added value also in the Galician architecture. Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u113	Thank you, Mrs. Pierres. Parliamentary Group of the Nationalist Block Galego, Mr Bará.
ParlaMint-ES-GA_2019-06-26-DSPG122.u114	The reason for this initiative is to establish a procedure to assess the architectural quality of buildings which would like to obtain a kind of exceptionality with respect to compliance with the regulations of the Land Law, Articles 24 to 39. They will understand that it is a matter — we can say — of watermark, of a sort of parliamentary alchemy, because it would, at best, deserve a commission of study; I do not, of course, consider myself capable of making a decision in this regard. I believe that when it comes to issues such as architectural quality and exceptionality with respect to the norm, we should actually set common criteria, because each of us can have his own opinion on architectural quality or how he sees rural development and rural development. So it's a very specialized issue and an issue, of course, of course, important, which is also up-to-date about the decisions that technicians and techniques have to make in the municipalities and which deserves a solution; at least one study and a search for possible alternatives. Because the law — by the way, a law that has worsened in these aspects what was established in LOUG — leaves this door open to exceptionality when it says that traditional typologies must be maintained in this type of soil, but without prejudice to any other proposals that are justified by its architectural quality; this is the key. And who decides this? Who decides what architectural quality is? Well, that's what we have to solve. We understand that it has to be a technical commission; as there are advisory committees that intervene in matters that have to do with, for example, heritage issues, there can also be advisory technical committees that set out general criteria and common criteria, because one cannot be left to the interpretation only of municipal technicians, because each municipal technician can make an interpretation different from what is meant by architectural quality. In addition, there is a field of work, which is that of the landscape and that of the landscape guidelines, and there are advisory commissions on landscape and also the landscape guides, which could shed light on what solutions can be given to this issue from the point of departure that we have to have a vision — for ourselves — of what is the evolution of landscape and rural nuclei, and also where it is different what are traditional nuclei of other types of nuclei. But the reality is that in our rural landscape, in our rural landscape, we see evolution in architectural matters, where there are traditional landscapes and traditional nuclei, modern nuclei and constructions -- let's say -- more contemporary. In the evolution of the last forty or fifty years, we've seen that there has been everything, and I suppose what is being built in that "all" is being built also with architectural projects of professionals who supposedly say that their constructions have quality or that they respond to the parameters of what people want to do these constructions. But, really, here we see things, from a subjective opinion, whose aesthetic quality and architectural quality leaves much to be desired. We can say that, in many ways, what has been built in the last forty or fifty years, also as a result of trends related to emigration and import of foreign models, is a true pastiche, there is a mix of solutions of the most varied. But I think we need to have an open look at contemporary solutions and contemporary constructions, because in the end collective heritage is made over time, also in historical centers, with nearers throughout history. Because what we are seeing today from the cathedral of Santiago is the result of demolishing, destroying an earlier construction, which was a Romanesque cathedral; and this can be applied to each of the historical centers of the country, which were the object of evolution from the destruction, reinterpretation and the new construction of the territory. Of course, this can't be the excuse to accept everything, but at least to open a debate and to seek advice and a solution — let's say — that sets the minimum common denominator to be able to fix this exceptionality justified by architectural quality. Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u115	Thank you, Mr Bará. Parliamentary Group of En Marea, Mrs Torregrosa.
ParlaMint-ES-GA_2019-06-26-DSPG122.u116	Thank you very much, Mr. President. Well, it has to be said that it's a very complex subject. Personally, I can fully agree in the essence that the excessive limitation of the parameters referred to in architectural quality and in relation to the use of colors, materials and forms can impoverish wealth and variety, and they are of difficult value. That is to say, they do not prevent the construction of horrendous buildings that are suitable for that valuation that today is expensive to 100 percent of the new work. If what is intended for this initiative is to expose the value of knowledge and aesthetic, historical and artistic training in order to carry out a new classification of the new work, it seems to me to be an excellent proposal. But I think there's a risk of opening a Pandora's box when we have a new legislation on housing on the table, the new Rehabilitation Act, which is more than putting in value the architectural heritage in rural areas, completely overlooks it. It seems to me a truly delicate and complex subject of legitimately managed properly. I mean with this, that I personally disagree that the moment is the right one and that, even though the goal is to improve the overall quality of architecture in rural areas, the result is what will eventually remain. Precisely because users don't know the qualities to be valued in a building, let alone if we talk about the residential area, I don't see how it's not through proper formation and dissemination of the added value that you may have included elements of special architectural interest, establishing how and how you can re-evaluate very subtle aspects; if you're in a kind of legislative period characterized — from my point of view — by a clear insensitivity in the policies of the Galician Union to protect the existing architectural heritage, whether it's the type of it, obligating both the advice of specialists and the Galician Culture Council itself. That's why I understand you can open a path, but I doubt it's the right time. What procedure and who will value criteria is what we're most concerned about, and I don't think it's an excessively conservative valuation, given the results. Well, we can talk about the examples that already exist, we can talk about the feism, we can talk about the lack of planning and the problem of understanding about the buildings, the existing and the new; we think it's complicated. Although there seems to be a desire to have at least a training at the level of the municipalities with regard, for example, to the guide of colors and materials or, for example, to the Landscape Pact to include in the municipal basic plan, or some initiatives in this direction, it does not seem sufficient to us to launch an initiative ahead. In this respect we agree with Mr Bará that it is not only a matter of having specialists in Galicia — of course we do have them — but of what specific weight these specialists have within the policies of the Council of Galicia. I am also in favour of a specific study commission or a technical commission to make an assessment; that is, of course, a previous study, a cataloguing of the type of housing that exists right now in those spaces, a general cataloguing of the residential housing that exists in Galicia, not only for historical time, but also for styles, and that we can have a prior information to be able to issue a coherent value trial. Because, first of all, in order to appreciate the exceptional nature of a work, we must have ensured that the exceptional does not become a norm. Nothing else and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u117	Thank you, Mrs. Torregrosa. People's Parliamentary Group, Mr Castilian.
ParlaMint-ES-GA_2019-06-26-DSPG122.u118	Mr. President. Ladies and gentlemen. [[Mr. Castineira Broz shows you a document to the members of the House.]] Ladies and gentlemen, this is the Law of the ground. In his explanatory statement, in point 2, he clearly states that one of the basic principles inspiring this law is municipal autonomy. I think that's the first thing to know. How are we going to study something that is municipal competence from this parliament? I'm asking. I think we'd be putting ourselves directly into municipal competences. I think that's the first thing to do. Therefore, allow me, Mrs Torregrosa and Mr Bará, who, with that technical commission, possibly... to believe it in the councils or to do so — that I think you would in that sense — may be; but, of course, from here I understand not. Mrs. Pierres, you said it was time to know if this government is in the degree of maturity to recognize architectural quality. I think so. Let us see if this government and the People's Group that supports it are in the degree of maturity that we have been able to draw up, together with all the Greeks and Greeks — with immense participation in that law, even with a previous study commission — a Law of the ground — which, of course, you all voted against — which contemplates, for the first time — if I am not mistaken — in a law of Galician soil, the possibility of valuing the architectural quality of buildings. [[Applause]] Because, look : I think no one doubt it would be a monumental mistake not to give permission to the Marqués de Riscal hotel of Frank Gehry in Rioxa. [[Mr. Castineira Broz shows you a photograph of the members of the House.]] I don't think anyone would doubt it, and I think we shared there and we agreed with Mrs. Pierres and me. So we can't put doors to creativity and, of course, this group won't. And there they can be safe; therefore, that law. But we must also take into account, of course, autonomy and respect for municipal autonomy. Town Councils and municipal technicians are not underage; they are technicians on equal terms than the technicians of the Union, each with their competences, but on equal terms. Local administrations are not subordinated to the Council of Galicia; each has its own competences, but on equal terms, on the same level. Of course, those who have seen the local administration feel this way, and of course, I will not allow, within my capabilities, the local administration to be subject to self-government. That's why, Mrs. Pierres, when you say the board rules: no, if the board regulates or looks for a procedure, it's going to be in municipal jurisdictions, and we're not going to allow that. Now, we can look for a solution and we can work to find a solution, because it's a fact that it's a great possibility that if you open yourself with those parts or those specifications of architectural quality and those exceptionalities in rural areas and in rustic soil and therefore it would be a pity and a pity to lose those possibilities; yes, logically, they have to be with a contrasted and recognized quality. But who has to look for those systems? The local administration itself, because it's the competent one, because anyone who can license in a rural nucleus or in a rustic soil, except for limited exceptionalities, is the municipalities. So what can we do from here? What I would tell you is that, at the most, what we can do is try to make an amendment in your voice to be able to urge — since we cannot address ourselves to the Fegamp or the municipalities directly — to join together so that you can somehow value this possibility that allows the law and they do not lose that possibility; that if you look for the system that they understand — because we are not going to put ourselves in the way they have to regulate it — well through the Fegamp, well from the deputies, well in clusters of municipalities. There are municipalities like Vigo's that I'm sure he already solves it alone, but anyway, each one will seek, he has his own autonomy and, in that sense, he can do it; or like those of the big cities, that perhaps they themselves have sufficient technicians to create that commission and value it. We can't get in; but they do take into account the possibility that the law gives them and those two articles, the 24th and the 39th, so that the possibilities of architectural design and creativity are not lost. In this, if we are, and can look for a formula -- if it seems good to you -- to try to reach a possible consensus to achieve that formula, by urging, through the Board -- for we cannot -- the municipalities to look for a formula to put into practice and, logically, to allow -- if well they have autonomy for municipal technicians, and I can understand, as a municipal technician, the loneliness of a technician by evaluating for themselves the architectural quality of a project -- to look for a line that marks that. Although, as I say, care must be taken, because laying doors to the dog is difficult. Look: if we trusted the opinions of each moment, the Milà house would not be built, for example.
ParlaMint-ES-GA_2019-06-26-DSPG122.u119	Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u120	But all this also means that you can't build blankets anywhere. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u121	Thank you. Author group of the non-law proposition, Mrs. Pierres.
