ParlaMint-FR_2019-02-14-O1149.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-14-O1149.u184	Mrs Danièle Obono has the floor.
ParlaMint-FR_2019-02-14-O1149.u185	I welcome the work of the so-called kindergartens, which are very close to the young children whom they have historically experienced long before the development of pre-elementary schools; We must ensure not only that they are maintained, but also that they are deployed, for a true public service of early childhood, as Alexis Corbière said. We support the coexistence of a multiplicity of flexible structures. Kindergartens have the particularity of having educators in addition to teaching staff, which allows children to be accompanied as closely as possible in their diversity. These structures are therefore very welcome. We would not like the derogation provided for here to be an appeal to the private sector, as the public sector has not developed enough such structures to satisfy the need thus created. In accordance with our programme, on the contrary, we plead, I repeat, that the answer to this educational need must be the development of a real public service for early childhood, inspired by kindergartens and ensuring that the people working there have a permanent and stable status.
ParlaMint-FR_2019-02-14-O1149.u186	We come to the amendments. Amendments Nos 638 and 639 by Mrs Anne-Christine Lang, rapporteur, are drafting. What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1149.u187	Favourable.
ParlaMint-FR_2019-02-14-O1149.u188	Mr Frédéric Reiss has the floor.
ParlaMint-FR_2019-02-14-O1149.u189	I do not want us to move too quickly on this article, which was introduced in committee by way of an amendment when our own amendment was rejected, calling for more flexibility and progressivity in the implementation of compulsory education at the age of three, in the interests of the child. So far, some families have spent half the time in kindergarten and half in school. Article 4 bis, proposed by the majority, clearly shows that suitable early childhood care facilities can take full care of young children. In kindergartens, supervision is usually one adult for eight to twelve children. In fact, very little has been said about the role of childcare in kindergartens once the requirement of education at the age of three has been implemented: depending on the number of children, the situation could be more difficult. Kindergarten also allows for gradual entry into the school system, education for autonomy and a differentiation of activity rates according to the times of the day. The amendments presented to us as editorials still replace "young children's facilities for children under the age of 6" with "collective care facilities for children over the age of 2 "kindergarten". I confess that I do not understand well, even if the article speaks only of the school years 2019-2020 and 2020-2021.
ParlaMint-FR_2019-02-14-O1149.u190	I call Mrs Pau-Langevin, the first speaker on the agenda.
ParlaMint-FR_2019-02-14-O1149.u191	We are pleased that this article will help to better monitor what is happening in home education. We know that for many families, this is the choice of freedom. But it is also known that many children under this system escape radars and can receive very insufficient or even not entirely in line with the expectations of the Republic. So at least we need to know who the children are. That is why we have tabled an amendment after Article 5 which tends to assign them an identification number so that an inventory can be drawn up, statistical studies can be carried out on their fate and their progress can be verified. For the moment, there is blur: we do not know exactly their situation. Of course, there are not many of them, but home education is developing and we need to pay close attention to them. While it is good that we have started to regulate it, we must therefore go further, by carrying out a precise inventory of the children subject to this regime.
ParlaMint-FR_2019-02-14-O1149.u192	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-14-O1149.u193	We would also like to have more information on strengthening the control of home-based education: the means necessary for its exercise seem uneven from one department to another, with significant fluctuations. However, in order to comply with the objectives of compulsory education, human resources are needed. We would therefore like figures on this subject so that we can decide.
ParlaMint-FR_2019-02-14-O1149.u194	Mrs Anne Brugnera has the floor.
ParlaMint-FR_2019-02-14-O1149.u195	I am particularly committed to this article, which is the result of the fact that the control of home education is not recurrent enough and standardized and that its results are not always satisfactory, either for us or for the families who have chosen this method of education. We respect this choice, and we do not wish to counteract it in any way. However, it is important to monitor its implementation in order to ensure the well-being of the child and his or her progress in acquiring the common foundation, in the name of his or her right to education. George Pau-Langevin and I led a flash mission last year on school drop-out. It is also in this capacity that we welcome this article. [[Applause on a few benches of the LaREM group]] I will defend amendments aimed at enriching it, so that each child has the same opportunities and that everyone achieves the same social and academic success regardless of the form of schooling and the type of education chosen by his or her parents.
ParlaMint-FR_2019-02-14-O1149.u196	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-14-O1149.u197	Clause 5 is one of the important sections of the bill. I would like to take this opportunity to highlight a theme that should attract our full attention: the care of children with disabilities in ordinary settings. Unfortunately, in some cases, families find that this reception is difficult to implement; They may then decide to turn to specialised structures or, where appropriate, to set up private non-contracted establishments. One of the problems they face in this latter case is the impossibility of using school life assistants – AVS – or accompanying students with disabilities – AESH. In committee, our colleague Constance Le Grip asked you about this, Minister. You told him that, of course, we had to address this issue by adopting a humane approach. I then sent you a letter, because such situations are repeated; On February 5, you told me that it is not possible to assign an AESH to an out-of-contract private institution – of which act – before concluding by recalling that these institutions can use assisted contracts and that you invite them to follow this path – rather curiously, because you have significantly reduced the number of these contracts. In fact, the institutions tell me that they do not have access to the aided contracts or that they can only use them very hard. I would like you to give us real answers instead of kicking when children with disabilities are involved.
ParlaMint-FR_2019-02-14-O1149.u198	Mr Michel Castellani has the floor.
ParlaMint-FR_2019-02-14-O1149.u199	This bill rightly addresses home education, which has increased in recent years, as it now affects nearly 30,000 children. It is not for us to question this method of teaching, nor to hinder the freedom of choice of families. On the contrary, we believe that families, through their sensitivity, their vision of life, their regional culture, make the children bathe in a decisive cultural bath, which brings them much. In other cases, home education is made necessary by the special arrangements or adapted rhythms which the child needs and which the school cannot always guarantee. Sometimes, however, home education results from a lack of confidence in school and society. Because we have to take seriously the potential drifts of school leaving, we have no choice but to put in place a control of home-based education, which not only guarantees the rights of children and protects those who benefit from it, but also punishes those who do not respect the rules or abuse them. Article 5 bis, adopted in committee, gives mayors the opportunity to refer the matter to the public prosecutor if they find that a child has not been instructed. But mayors can't do everything; It is up to the State, i.e. its representative in the territory, to enforce the relevant rules. [[Applause on the benches of the LT group]] Everyone knows how reserved we are in the face of public intrusion into the individual sphere. A balance must be struck between the cultural freedom of families, in the broad sense, and the fight against possible fraud or deviance, or even against obscurantism, which in some cases may be associated with home-based education.
ParlaMint-FR_2019-02-14-O1149.u200	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-14-O1149.u201	The Republican Group, in favour of this freedom given to the families of our country to educate their children at home, believes, of course, in the interests of the child, that this family education must be supervised and supervised. We don't have a problem with that. However, it is all a question of measurement. And that's where the bastard hurts. It seems disproportionate to us that the inspector of national education intervenes to check whether the instruction given to children aged 3 or 4 years allows them to acquire progressive control of the common basis of competence, as provided for in the fourth paragraph of article 5. Until now, the Education Code guaranteed educational freedom: the efficiency of family education was verified only to guarantee the child's right to education. However, the bill tends to freeze the content of compulsory education. Yet the education of a child between 3 and 6 years of age depends not on the early assimilation of academic subjects, but on the latter's confidence in his or her own abilities. Parents should therefore be free to choose their child's education at that age, without necessarily having to make prior declarations. If we recognize the importance of dismantling schools providing extremist education, this should not be done at the expense of family freedom. The text adopted by the committee, however, provides for an obligation of result, whereas teachers are subject only to an obligation of means. My colleague Pierre Cordier told me that some families in his constituency of the Ardennes were concerned about the writing of this article. [[Mr. Fabien Di Filippo applauds]] In rural areas, parents of children with specific language and learning disorders, such as dys disorders, are sometimes forced to opt for family education because they do not have access to appropriate classes, as in some large cities. These children, as we all know, have special needs. Their parents are very often the best placed to understand and respond to them, keeping in mind their rhythm.
ParlaMint-FR_2019-02-14-O1149.u202	Mr Vincent Descoeur has the floor.
ParlaMint-FR_2019-02-14-O1149.u203	As we approach the examination of Article 5, I would like to draw your attention to the particular case of families whose children suffer from specific disorders of language and learning – dyslexia, dyspraxia, and others. In the absence of special care facilities, these families are often required to educate their children at home. As Gilles Lurton said, it seems to me important to pay particular attention to these families facing multiple difficulties, whether it is the identification of disorders, their recognition, including through national education, or the identification of professionals who can provide them with appropriate personalized support. And since we will mention the inclusion of children with disabilities, I would like to see that we can also promote the inclusion of children with metabolic diseases, who require specific diets. Food intolerances can lead to situations of exclusion – from school catering, above all, but also from activities such as discovery classes. It seems to me useful to take advantage of the review of this legislation to include in the law the obligation to set up individual care projects for these children.
ParlaMint-FR_2019-02-14-O1149.u204	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2019-02-14-O1149.u205	Education can be provided in the family for various reasons, sometimes unavoidable, sometimes more questionable – even though it is known that, unfortunately, 60% of children educated at home have a school phobia, are suffering or are disabled. The IDU, Agir and independent group does not oppose the strengthening of control over family education. However, we are concerned about its modalities in the case of young children. Moreover, if the common foundation is to remain an indispensable tool, the child's pace will have to be taken into account in acquiring not only knowledge but also knowledge, know-how and general culture. Together with the mayors, we also wonder about their ability to control the obligation of education, while the families concerned frequently change their homes and many do not declare themselves in town halls.
ParlaMint-FR_2019-02-14-O1149.u206	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2019-02-14-O1149.u207	Strengthening the control of home school attendance is very positive, but how and with what means will this monitoring be made more attentive? For the moment, the text proposes, above all, to increase the pressure on parents, or even to punish them, in order to return the child to school. However, as has been said, there is an increasing number of young people who are out of school because the school is no longer suitable for them. In many cases, schooling at home is therefore the result of a drop-out rather than the choice of an alternative pedagogy. Parents then find themselves in a poor position to educate their child at home, especially since if CNED is useful to some, it is not suitable for these drop-out children. The challenge is therefore to respond to this phenomenon of de-schooling. But the article, while pretending to deal with the subject, does not respond to it.
ParlaMint-FR_2019-02-14-O1149.u208	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-14-O1149.u209	As Sabine Rubin has said, there is a lack of serious debate about children who are out of school and educated at home. This real phenomenon is likely to be the subject of a subsequent bill. It covers different realities, which must be distinguished. Sometimes parents' willingness to educate their children at home is linked to their spiritual beliefs, which we can accept, except when these beliefs are too exalted. It is therefore important to understand clearly what this is about.
ParlaMint-FR_2019-02-14-O1149.u210	You're talking about Islamists!
ParlaMint-FR_2019-02-14-O1149.u211	But – and I speak here both as a father of the family and as a legislator – I also know children who are out of school because they are experiencing real difficulties, which, let us say frankly, are sometimes deprived of national education. Parents no longer know who to turn to. Professionals, including psychologists working with children, confirm that this is a major phenomenon. To predict that a child educated at home, if he or she does not progress, will be able to be re-educated in an institution, is to bring us back to the point of departure. Article 5 revolves around the subject, but provides no solution. It only tackles the emerging part of the problem facing the public education service. Far from wanting to oppose the control of home education, we therefore wish to go further and offer a real response to the de-schooling of children, whether it results from disturbances such as school phobia or whether it is the result of the addictive use of social networks or the consumption of psychotropic substances, phenomena that affect increasingly young children. As it stands, the provisions of the article are in any case very inadequate.
ParlaMint-FR_2019-02-14-O1149.u212	Mrs Marie-George Buffet has the floor.
ParlaMint-FR_2019-02-14-O1149.u213	For my part, I welcome the existence of this article, because the freedom of families, although important, must also be placed in the interests of the child. However, a child's interest is that his or her right to education be guaranteed. We will propose an amendment to ensure that the control of home education ensures that the child has the means to acquire each of the areas of the common foundation gradually. The aim is to pay attention to the well-being of the child, to verify, for example, that the education given to the child does not affect his or her health or ability to take advantage of his or her free time. As for the children who left school because of the problems they encountered, Alexis Corbière is right to say that they represent an issue for the public education service. What means does the public school have to ensure a personalized follow-up of children in difficulty? What is planned to accompany the children who would have had to enrol again in a school because their family – and that is normal – would not have been able to take up their education at home?
ParlaMint-FR_2019-02-14-O1149.u214	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-14-O1149.u215	This is a particularly sensitive article, since it concerns the educational freedom of parents and families, which is guaranteed by the Constitution. It is normal for control to be exercised in order to avoid abuses detrimental to the interests of the child. But it must be adapted, because the choice of home education, as we have seen, can be based on different motivations. The special situation of each family and child should therefore be taken into account. Control must also be proportionate, especially according to the age of the children. Finally, it must be fair. There can be no more obligations for home education than for other forms of education. If adopted, this article would in fact introduce an obligation of result which is not required for other modes of instruction. It would therefore create problematic inequality with regard to respect for parental freedom in education.
ParlaMint-FR_2019-02-14-O1149.u216	We come to the amendments. On identical amendments Nos 110, 147, 297 and 369, the Republicans have requested a public vote. The vote is announced in the National Assembly. These amendments are intended to delete Article 5. I call Mr Patrick Hetzel to support Amendment No. 110.
ParlaMint-FR_2019-02-14-O1149.u217	We have tabled these deletion amendments because we do not understand why the Government wishes to reconsider the monitoring of family education. The existing legislative framework already allows for the monitoring of the manner in which this instruction is given, particularly where there are doubts about its quality. Moreover, it is surprising to discuss this matter again, just a few weeks after the consideration of the similar bill introduced in the Senate by Ms.Gatel. Xavier Breton mentioned it, some families make the deliberate choice to educate their children at home. However, we do not know the intentions towards them. We hear that we need to be more coercive; Can you specify what forms this coercion will take? For our part, we believe that the family plays an essential role in education. In this area, its place is slowly snuffed, with the intention of making the State the first educator of the child.
ParlaMint-FR_2019-02-14-O1149.u218	No, no, no, no, no, no, no,
ParlaMint-FR_2019-02-14-O1149.u219	You're exaggerating!
ParlaMint-FR_2019-02-14-O1149.u220	Of course, we are totally opposed to such a vision.
ParlaMint-FR_2019-02-14-O1149.u221	Mr Xavier Breton has the floor to support Amendment No. 147.
ParlaMint-FR_2019-02-14-O1149.u222	If we agree with the principle of control, it must be adapted, proportionate and fair. However, article 5 extends undifferentiated controls, thus confirming the logic of a State that hinders parents' educational freedom. [[Murmures on the benches of the LaREM group]] The monitoring procedures had already been strengthened under the Equality and Citizenship Act. You are taking a new step, driven by the desire to monitor what families are doing. You show real distrust of families. It is not a question of denying the need for control, but of requiring it to be adapted and refusing to fit into a logic of State guardianship over families.
ParlaMint-FR_2019-02-14-O1149.u223	I call Mr Reiss to support Amendment No. 297.
ParlaMint-FR_2019-02-14-O1149.u224	When I read this article, I wonder even more about compulsory schooling at the age of three. One can only agree with the idea of a fair control of the education provided by families. The speaker of the LaREM group expressed her dual concern to preserve freedom of education in the family and to improve control. However, for children between 3 and 6 years of age, this control seems problematic to me. Inspectors are likely to be trained for this purpose and new arrangements will need to be put in place. But how will inspectors be able to ascertain the reality of the investigation? We don't know too much. The article was partly written for families who, under the guise of family education, enrol their children in out-of-contract schools, including those that disseminate Salafist ideas.
ParlaMint-FR_2019-02-14-O1149.u225	We have to control them!
ParlaMint-FR_2019-02-14-O1149.u226	Of course, we can only agree with your desire to put an end to such deceptions and to avoid these abuses on the pretext of freedom of education. Moreover, the article raises more questions than it provides answers. I therefore propose to delete it.
ParlaMint-FR_2019-02-14-O1149.u227	Mrs Brigitte Kuster has the floor to support Amendment No. 369.
ParlaMint-FR_2019-02-14-O1149.u228	We know how difficult balance is to find. The aim of this amendment is to preserve the educational freedom of families who have chosen to educate their children themselves. Article 5 introduces a system of control without equivalent, including in private non-contracted education, which seems disproportionate and thus violates the educational freedom of families. The aim is not to prevent any state control, but rather to stick to the strict application of Decree No. 2016-1452 of 28 October 2016 which reflects the balance between respect for families and the indispensable control of the proper acquisition of fundamental knowledge.
ParlaMint-FR_2019-02-14-O1149.u229	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1149.u230	Freedom of education in the family and educational freedom are in no way threatened by the text. The possibility of educating his children at home according to the educational methods of his choice is entirely preserved – I repeat, because to hear some Members, one might doubt it. With regard to the respective roles of the family and the school and the temptation of the State to encroach on the role of the families of their child's first educators, we have already discussed them extensively. I therefore propose that we stick to that. With regard to sanctions, the main argument in support of the request for deletion of the article, it seems to me to be legitimate for national education inspectors to be able to verify that children have acquired language skills in particular, given the importance of learning in early childhood – as we recalled in the discussion of articles 2 and 3. This article reinforces information given to families and sanctions. Because of the censorship of the Constitutional Council,...
ParlaMint-FR_2019-02-14-O1149.u231	Happy censorship!
ParlaMint-FR_2019-02-14-O1149.u232	... no provision has really been adopted in the so-called equality and citizenship law. I therefore express an unfavorable opinion on the deletion amendments.
ParlaMint-FR_2019-02-14-O1149.u233	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1149.u234	I agree, of course, with the arguments that have just been put forward by the rapporteur. I would like to add a few more details, in particular on the means of controlling family education. In each rectorate, a national education inspector will be dedicated to this subject – this is already the case in some academies. Mr. As Corbière said, this is a phenomenon of society which we must take all the measures, regardless of this law. National education must therefore be strengthened – we have begun to do so and we will continue, adapting the means to the realities of the territories. I take seriously all the problems that you have raised – I am addressing both Mr Corbière and Messrs. Reiss and Hetzel. I am aware of the need to take into account both the interests of the child and the freedom of families by seeking the greatest concordance between these two requirements. However, they may come into contradiction – abuse exists. A certain control of the State is therefore indispensable without it leading to any intrusion into family life. So far, we have been faced with a legal vacuum because of a lack of means to put an end to abnormal situations. We therefore introduce a criterion – the mastery of the common foundation of knowledge, skills and culture that all children in France must acquire, whether they are in school or educated at home. It seems to me normal to take a special look at the children who are educated at home because this method of education requires more questions. I am sure that some parents who have made this choice will be very proud to show that they are doing their job perfectly. So those you want to defend don't have much to fear. On the other hand, with regard to all those who have chosen education in the family, for the reasons mentioned by Mr Corbière or for any other reason which may give rise to abuse, we must give ourselves the means to act and to be able to sanction. This article is balanced. Like the previous and other articles of this text, it emphasizes a phenomenon that needs to be addressed. The law is an opportunity to set in motion virtuous circles – I am convinced. This phenomenon of society is global. I recently read a survey of the Hikikomori in Japan – those people who desocialize, live at home. We know that certain societal developments lead to these kinds of phenomena. It is up to us to prevent them by paying great attention to the first years of life and the development of our children. Yes, you're right, it's questioning us, and so much the better. This questions the school institution – is it still fully adapted? –; This questions the relationship between families and school – is it still appropriate? –; This questions the solutions that we have at our disposal; It questions our ways of doing things. Since the problem exists, questioning is more of a good than a bad thing. The law does not purport to solve everything, both on this and on others. It involves progress, whether it is to raise awareness among the actors or our organisation to bring solutions.
ParlaMint-FR_2019-02-14-O1149.u235	Mrs Marie-George Buffet has the floor.
ParlaMint-FR_2019-02-14-O1149.u236	We will vote against the deletion amendments because, as the minister has said, we must not close our eyes to developments in society. The freedom of families must be taken into account in the choice of educational modalities and also in the interests of the child. The benefits of the school should also be highlighted. Minister, you mentioned the confinement and loneliness of some children. The school offers an opening outwards, towards others. It is a place of sharing with others. There is no question of opposing the State to families. In order to respect the interests of children and ensure their education, the State has a responsibility to provide them with a good public school in which they feel well. This is how we can avoid the phenomenon of de-schooling. I stress the case of children between the ages of 3 and 6. Who can deny the contribution of kindergarten to the development of children?
ParlaMint-FR_2019-02-14-O1149.u237	That's right.
ParlaMint-FR_2019-02-14-O1149.u238	[[Applause on the benches of the GDR and FI groups as well as on several benches of the LaREM group]] It is very important to exercise close control over home education for these children – they are not babies, they can learn a lot during this period.
ParlaMint-FR_2019-02-14-O1149.u239	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-14-O1149.u240	I agree with Mrs Buffet and the minister. I warn our colleagues who are defending such amendments against the danger of using arguments that run counter to our great republican principles. No one in this Chamber disputes the three pillars of the Republican school – free, secular and compulsory. Why do we want to make it compulsory by 1793? I am thinking of the Montagnard MP Louis-Joseph Charlier, who first defended this principle. The obligation did not apply to children who did not attend school but to the family's opposition to the education of children. There is no question of a confrontation with families, but we know the pressures within the family whose reasons may be very different – I have quoted the spiritual motives; In the past, it was child labour that prevented them from receiving education. Let us not return to such principles! Education – not school – must be compulsory. As legislators, we must ensure that the general interest is respected. The controls are only there to check that the education is well ensured even if the parents have made other educational choices. By grace, in the heat of our exchanges,...
ParlaMint-FR_2019-02-14-O1149.u241	The heat of Valentine's Day!
ParlaMint-FR_2019-02-14-O1149.u242	[[Applause on the benches of the FI and GDR groups. – Mr. Didier Le Gac also applauds]] ...don't let us believe that the Republic and the legislature are disinterested in education, on the grounds that education is the responsibility of the parents and not the public interest. I do not agree at all: this concerns the Republic. Education is compulsory. Those who today, in the name of I do not know what fashion effect, want to return to this principle are ready to accept that children are condemned to obscurantism. We will never accept it.
ParlaMint-FR_2019-02-14-O1149.u243	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-14-O1149.u244	It is out of the question for us to question the importance of kindergarten and school in general. We know what school brings to the youngest children. We are very attached to it. It is also out of the question for us to question the need for control, but everything is a matter of proportion. How, indeed, will you control in the case of a 3-year-old? The rapporteur said that we need to know – and I agree, very important – about language developments. But let us take the example of a child with a dys disorder, who stays at home because of his particular difficulties, because there is no school that can accommodate him in the area where he lives – we all want this to change in the long run with the policy that you are developing, minister, but we know how difficult it is. How are you going to assess the progress of this kid's language? What evaluation criteria will you adopt to carry out the checks you are considering? That is the question we are asking. For a 3-year-old, this seems completely unfounded.
ParlaMint-FR_2019-02-14-O1149.u245	That's right! It's common sense!
ParlaMint-FR_2019-02-14-O1149.u246	The same question would arise at school!
ParlaMint-FR_2019-02-14-O1149.u247	Mrs Sophie Mette has the floor.
ParlaMint-FR_2019-02-14-O1149.u248	[[Applause on a few benches of the MODEM group. – Mrs Cécile Rilhac also applauds]] The MODEM Group will, of course, vote against the deletion amendments. Beyond basic knowledge, knowledge, skills and culture, the interests of the child are at the heart of article 5. Of course, we do not question the educational freedom of families, but, as has been said, physical and psychological abuse exists. It is against these problems that we intend to fight.
ParlaMint-FR_2019-02-14-O1149.u249	Mr Paul Molac has the floor.
ParlaMint-FR_2019-02-14-O1149.u250	The Liberté et Territoires Group will vote against the deletion amendments, because of course there must be control. Families are free to choose the method of teaching, we agree, but children have a right to receive education. I do not see how they could integrate into society without this instruction. Their professional choices would necessarily be limited: they could practice the learned profession with their father, that's pretty much all, and we would see a form of social reproduction. Instruction is absolutely primordial: it gives an open mind and keys to understanding the world in which one lives. We owe it to the children. [[Applause on the benches of the LT group]] Ladies and gentlemen of the Republican Group, in considering the following amendments, we will discuss the modalities of the evaluation, but I believe that it is absolutely necessary. If Article 5 were deleted, there would no longer be any evaluation at all.
ParlaMint-FR_2019-02-14-O1149.u251	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-14-O1149.u252	It is not at all a question, as I have heard, to find a balance between constitutional freedom and the control of this freedom. The constitutional principle is the educational freedom of families and parents, and it is within the framework of this principle that a number of checks must be carried out, in the interests of the child, in order to identify the few situations which may be dangerous for the child. You have stated, Minister, that more questions can be asked in the case of home education than in the case of school education, whether it is public or private. I wonder: why ask more questions? It is because you stand on the side of the state, not the side of the family, which has educational freedom.
ParlaMint-FR_2019-02-14-O1149.u253	No, on the child's side!
ParlaMint-FR_2019-02-14-O1149.u254	Yes, it is a matter of placing oneself on the child's side: the first educators are the parents. Children belong to the family, not the State. It's probably a conception that distinguishes us from you, and we claim it.
ParlaMint-FR_2019-02-14-O1149.u255	Belonging?
ParlaMint-FR_2019-02-14-O1149.u256	It says a lot about the quality of the emotional bond!
ParlaMint-FR_2019-02-14-O1149.u257	Families therefore exercise this freedom: they freely choose the way in which education is provided. You stand from the point of view of the State, distinguishing the children who are in the immediate vicinity, i.e. at school, a fortiori if it is the public school, and those who are far away, for whom more questions are going to be asked. Your starting point is not the family, it's the state.
ParlaMint-FR_2019-02-14-O1149.u258	No, it's the child!
ParlaMint-FR_2019-02-14-O1149.u259	However, the freedom affirmed in the Constitution is that of parents. There is, we see, a difference of approach.
ParlaMint-FR_2019-02-14-O1149.u260	I put to the vote identical amendments Nos 110, 147, 297 and 369.
ParlaMint-FR_2019-02-14-O1149.u261	The result of the vote is as follows: Number of voters 81 Number of votes cast 81 Absolute majority 41 For adoption 12 Against 69
ParlaMint-FR_2019-02-14-O1149.u262	I call Mr Maxime Minot to support Amendment No. 860.
ParlaMint-FR_2019-02-14-O1149.u263	Article 5 seeks to amend article L. 131-10 of the Education Code, in particular with regard to the arrangements for monitoring the reality of the education provided to children of the same family. However, its wording is confusing and imprecise, which may render these provisions obsolete. The aim of this amendment is simply to make Article 5 more legible and more easily applicable.
ParlaMint-FR_2019-02-14-O1149.u264	I call Mr Pupponi to support Amendment No. 823.
ParlaMint-FR_2019-02-14-O1149.u265	The examination of article 5 should be used to clean up the legislation relating to the supervision of home-based investigation. The Education Code provides that when persons declare that their children will be educated at home, the municipality must verify what is happening in the accommodation. However, we will vote on an article providing that the representative of the State will also require a check at home. Without betraying a great secret, I am not sure that all the municipalities concerned are verifying what is happening from the year of the declaration and then every two years. What's the mayor's role? Check that there's housing and he's busy? The municipalities do not deal with the pedagogy or the results of the given education. Control is indispensable and must be carried out, but let us rationalise so that there are not two institutions that control the same year, at the same domicile, the education given in the same family! By my amendment, I propose that only the State should be responsible for monitoring.
ParlaMint-FR_2019-02-14-O1149.u266	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1149.u267	Unfavorable opinion. As you know, it is already planned that the investigation will be carried out by the state representative in the department if it has not been carried out by the town hall. There is a biennial control by the town halls and an annual control by the national education. It does not seem appropriate, at this stage, to amend this rule.
ParlaMint-FR_2019-02-14-O1149.u268	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1149.u269	Unfavorable opinion, too.
ParlaMint-FR_2019-02-14-O1149.u270	Mr Fabien Di Filippo has the floor.
ParlaMint-FR_2019-02-14-O1149.u271	I withdraw the amendment!
ParlaMint-FR_2019-02-14-O1149.u272	I'm confused, Mr. Di Filippo. Mr. Pupponi cut you a little bit of grass under your foot...
ParlaMint-FR_2019-02-14-O1149.u273	It's not against you, Mr. Di Filippo, it's to save time!
ParlaMint-FR_2019-02-14-O1149.u274	Mrs Marie-George Buffet has the floor to support Amendment No. 580.
ParlaMint-FR_2019-02-14-O1149.u275	The two controls do not have the same objective: the one to be exercised by the competent authority in the field of education, i.e. national education, relates to the content of education and access to knowledge; that the town hall must exercise is concerned with the living conditions of the child, in particular the health and hygiene conditions. These two controls must be maintained. With this amendment, we propose that the town hall should now exercise its role every year.
ParlaMint-FR_2019-02-14-O1149.u276	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1149.u277	As I said in reply to Mr Pupponi, national education is already carrying out an annual pedagogical check and the town hall has a biennial check, which does not have the same purpose, as you have pointed out. I do not think it is appropriate to increase the number of checks. Unfavorable opinion.
ParlaMint-FR_2019-02-14-O1149.u278	You're right, rapporteur!
ParlaMint-FR_2019-02-14-O1149.u279	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1149.u280	Unfavorable opinion, too.
ParlaMint-FR_2019-02-14-O1149.u281	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-14-O1149.u282	With this amendment, we want to strengthen the control carried out by the town hall, making it annual. We are starting from reality: in many cases, controls are not done; Above all, the first check often comes very late, whereas it should be a priority. This social control, which covers the conditions of hygiene, health and reception – one must be able to class in the housing – should be compulsory within three months of the school leaving school or the declaration of education at home. You do not want to multiply the controls, either, but you should see how to strengthen this control and make it effective.
ParlaMint-FR_2019-02-14-O1149.u283	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-02-14-O1149.u284	There is parental freedom in education, but there is also a duty for society to protect children, as we are all aware here. Hence these two controls, that of the material conditions in which the child lives – it should not be locked in a sub-slope... – and that of the educational conditions, entrusted to the national education. However, before carrying out a check every year, it is still necessary to start the process, which means that the municipality is informed of the presence or arrival of out-of-school children. However, when we interviewed each other, Anne Brugnera and I realized that it could very well happen that the mayor did not know that there is a child in his municipality who stays at home and does not go to school, either because it is a very large city where there is a lot of passage, or because it is a village with isolated places. Hence the need, as mentioned above, for prior authorization and an identification number for children. Without this, there will remain very large holes in the snowshoe.
ParlaMint-FR_2019-02-14-O1149.u285	Mr Fabien Di Filippo has the floor.
ParlaMint-FR_2019-02-14-O1149.u286	I find the amendment very interesting, even if I do not agree on one point: it should not be up to the municipalities to carry out these prior or regular checks. [[Murmurs on various benches]] I will not have the same modesty as my communist colleagues, who speak of problems of health or material reception of children. The resurgence of school leaving is, as we know, linked to the development of a certain radical Islamism. Some families do not want their children to grow up in a place where the values of the Republic are taught; On the contrary, they want to raise them in hatred of what France and the Republic are. Ms. Pau-Langevin rightly pointed out that there were holes in the racket: sometimes checks are not carried out at regular intervals, or changes in residence are not reported, as this declaration is not mandatory. We have already mentioned this problem both in relation to situations of great danger. You gave an unfavorable opinion, Madam rapporteur, but what measures are you taking to combat these very serious abuses, especially for children? Because it is in the best interests of the child that you put forward to defend article 5.
ParlaMint-FR_2019-02-14-O1149.u287	Do you have any proof of what you're doing?
ParlaMint-FR_2019-02-14-O1149.u288	These are numbers, ma'am!
ParlaMint-FR_2019-02-14-O1149.u289	Can you give them to me?
ParlaMint-FR_2019-02-14-O1149.u290	These are facts! Ask the minister!
ParlaMint-FR_2019-02-14-O1149.u291	Mrs Nicole Trisse has the floor to support Amendment No. 475.
