ParlaMint-FR_2019-11-28-O1087.u1	As the Government was not represented, the meeting was suspended.
ParlaMint-FR_2019-11-28-O1087.u40	Reducing the cost of land, increasing the supply of housing accessible to the French: these two objectives, we can only share them. So let's look at how the proposed legislation can achieve them. In Article 1, the prohibition on auctioning public land goes in the right direction, at least in appearance, as the divestiture of public land represents only a minority – less than 10% – of the dwellings produced. However, this measure seems to undermine the free administration of local authorities and could be censored by the Constitutional Council. Moreover, amicable disposal does not guarantee control of the price of housing, which is the aim sought. In relaxed territories, it is difficult to find a lessee at the fixed price. Finally, imagine the difficulties that will arise if a community seeks to give up a workshop: how to choose between several craftsmen? Let us hope that you will adapt the proposal to local realities. In section 2, a government amendment refers to the creation of free land agencies, which is regrettable. It would be useful for the legislator to clarify the extension of the scope of the dissociation of land and buildings, which has been authorized since the ALUR law. This still recent measure needs to be assessed before a decision is made to go further. The issue of bank guarantees will also have to be resolved. Let me turn to Article 3. The establishment of local land observatories has proved successful in tense territories. It must be encouraged – not imposed – if elected officials consider it relevant. Trust and freedom: this is what local elected officials expect after the promises of the Congress of Mayors. The Government will invite the majority to delete article 4. Wisdom will prevail. With regard to Article 5, we share your willingness to improve the valuation of public goods. Let's try together to perfect this public service! Article 6 was deleted in committee. Indeed, the reversal of the logic of derogation from the rules of a PLU – a local planning plan – would have required a more precise and robust drafting, perhaps retaining the possibility of a derogation, provided for in the PLU itself. Article 7 introduces an obligation to report annually on the construction of housing, in order to bring production back to the objectives of the HLP. Justified in important communes, the measure does not seem to me to be in the small ones, for which the PLH hardly envisages any constructions. Objectively, the impact of these few measures, although interesting, seems limited to me. Let us go further, ladies and gentlemen, and think more comprehensively. The cost of land is not determined solely by the price of land. Several factors increase the price: property taxation, taxes and charges for connections, as well as participations to finance public facilities. On the other hand, lowering the cost of land will not be enough to increase the supply of housing accessible to the French. In some cases, even if the cost of land is zero, the price of housing is not accessible. Indeed, construction costs can increase due to land characteristics or architectural and urban requirements; In addition, the taxation of construction. Minister, consideration should be given to introducing a reduced rate of VAT to make housing more affordable. Above all, measures such as the reinstatement of the LPA accession – personalized housing assistance – or the initial rate of the financial quota of the PTZ – the zero-rate loan – in the municipalities where you have reduced it, would make the demand solvent. It should be noted that the increase in the cost of land, if significant, does not apply everywhere. It mainly concerns certain centres in metropolitan France, making the price of dwellings that are not accessible there. In these areas, which concentrate an increasing number of jobs and services, the demand for housing increases, but supply cannot keep up, even when the cost of land is lower. Thus, the lack of equitable land-use planning exacerbates the shortage of land, and explains the increase in the cost of land-use planning. Mr rapporteur, you have the merit of making proposals to facilitate home ownership, even if they are insufficient. We need to make the whole of the territory attractive and accessible, to better connect it, to distribute public jobs and the future in a meaningful way. This will help to rebalance the demand for housing geographically and reduce the shortage, thereby reducing the cost of land. "Building more, better and cheaper": what have become of the stated objectives of the ELAN law? A housing crisis is on the rise. I sound the alarm and call on the Government and the deputies of the majority to finally promote a proactive housing policy and a fair housing policy in our country.
ParlaMint-FR_2019-11-28-O1087.u41	What a peach!
ParlaMint-FR_2019-11-28-O1087.u42	Mr Stéphane Little has the floor.
ParlaMint-FR_2019-11-28-O1087.u43	Following Dominique Potier and other speakers, I would like to thank the rapporteur, Jean-Luc Lagleize, for his bill and the method he has adopted. Choosing consultation, seeking consensus, taking into account the views of all groups – including those with the smallest numbers, such as the Democratic and Republican Left, of which I am a member – is rare enough to deserve praise. I've worked on many bills, I've spent hours, months, I've organized many consultations. In response, the majority has often refused even if only to initiate the debate by adopting motions for prior rejection.
ParlaMint-FR_2019-11-28-O1087.u44	That's right!
ParlaMint-FR_2019-11-28-O1087.u45	[[Mr. Jean-Paul Dufrègne applauds]] It's always unpleasant. I have had too much experience of these situations since the beginning of the parliamentary term so as not to welcome the rapporteur's method, which breaks with too frequent an attitude. I would like to make a few remarks before we begin our consideration of the articles. We will agree, I believe, that our country is experiencing a profound housing crisis – it is too rare and too expensive – which is going to worsen.
ParlaMint-FR_2019-11-28-O1087.u46	He's right!
ParlaMint-FR_2019-11-28-O1087.u47	Indeed, the measures which would have allowed us, even slowly, to emerge from this spiral have not been taken. The crisis is worsening, the number of constructions is falling, prices for purchase or rental continue to rise. The share of housing in household budgets is increasing, and housing is increasingly contributing to the deterioration of the purchasing power of families, especially the most modest ones, in tense areas. This bill is important because the price of land determines the price of housing – it is the raw material. It must be regulated, because in this area the invisible hand of the market does not exist. And then, to make money while sleeping, there's no better than land. When the price of land increases, it is rarely because of the work done by its owner, or because of its intelligence. The rise in prices is still due to exogenous factors, often linked to public intervention: the local planning plan – PLU – is changed, opening up new rights to build or densifying a territory; New transport infrastructure, metro stations or train stations are being built; schools are opening up. The increase in the price of the land is never due to the work of the owner. The value of certain land can be multiplied by ten, fifteen or twenty in a few years, thanks to public investment. Why should the land valuation allowed by public investment be privatized? Land is a perfect illustration of the trend towards socialization of investments and privatization of profits. We need regulation. This bill, if not revolutionary, allows for some progress in this area. Let us stress the importance of the measure to limit auctions and auctions. I take as proof two examples of the Paris region. Mayors of Greater Paris have joined forces to launch the consultation "Let's Invent the Greater Paris Metropolis"; the preferred criterion for selecting projects was land valuation, favouring speculation. The Société du Grand Paris is currently investing in train stations and metro lines; the land adjacent to these infrastructures will be allocated to the highest bidder, to the detriment of social mix and price accessibility. It can't last. I hope that the ban on selling by auction will not only apply to the private domain of the state and local authorities, but also to the land managers and all publicly controlled companies, be it the Société du Grand Paris, the mixed economy companies – SEM – or the planners. This is a key issue for our public policy.
ParlaMint-FR_2019-11-28-O1087.u48	Thank you, Congressman.
ParlaMint-FR_2019-11-28-O1087.u49	[[Applause on the benches of the GDR group and on several benches of the LaREM and MODEM groups. – Mr Jean-Luc Lagleize, rapporteur, also applauds]] Above all, I hope that the Government will not devitalize the text on which we have been working, by amending it or by using the ordinances.
ParlaMint-FR_2019-11-28-O1087.u50	Mrs Pascale Boyer has the floor.
ParlaMint-FR_2019-11-28-O1087.u51	The La République en marche welcomes the remarkable work done by the rapporteur, Jean-Luc Lagleize, a member of the MODEM group, who has worked for many months on the subject. On April 4, the Prime Minister, Édouard Philippe, entrusted him with a temporary mission, the purpose of which was "to control the cost of land in construction operations", with the aim of building more housing at more affordable prices. This mission followed the enactment of the Housing, Development and Digital Development Act, known as the ELAN Act, which you defended, Minister. The report from the mission is rich. It contains fifty proposals, some of which are included in the bill we are considering today. Housing prices increasingly weigh heavily on household budgets. According to a report by the Housing Accounts Commission, this is their first item of expenditure; they spend 25 per cent of their budget on it. The cost of land is a major obstacle to development and construction. It represents between 20% and 60% of the cost of operations; This share reaches 30% in areas where supply is most inadequate. In tense areas – Paris and the Paris region, provincial metropolises, cross-border areas and mountain, coastal and overseas tourist cities and areas – the price of land is the first obstacle to the construction of new housing. According to figures established in 2017, all regions have seen the price per square metre of land increase over the last ten years, with an increase of 23% in Île-de-France, where the value of the square metre is three times higher than the national average, 40% in the Provence-Alpes-Côte d'Azur region and 123% in Basse-Normandie. In order to build more housing accessible to as many people, it is necessary to facilitate the transfer of land – this contributes to lower land prices – and to develop coherent urban planning projects in partnership with local actors. This is the main objective of this bill. In order to curb land speculation, auctioning in tense areas, where municipalities are subject to the tax on vacant housing, will no longer be permitted. The "La République en marche" group will table an amendment aimed at maintaining the possibility of selling private property by tender in territories not belonging to the tense areas, in order to preserve the freedom of choice of the communes, in particular the rural communes. The proposed law will allow the creation, on the model of solidarity land organizations, of free land organizations, which will promote the dissociation of land and buildings. The objective of these LFOs will be to acquire and manage land, whether built or not, for the purpose of building housing and public facilities. They will remain owners of the land, and will grant long-term leases to the lessee, who will own the building. Currently, a habitat and land observation mission is planned in the HPL of each municipality. Article 3 of this bill provides for the transformation of this system to create real housing and land observatories. The La République en marche group will defend two amendments relating to the obligation to set up these observatories in certain territories, aimed at strengthening their tasks, in particular those relating to the observation of prices and the construction of land. Article 4 of the proposed law aims to establish a fund for the clean-up of urban and industrial wasteland, with the aim of increasing the availability of land. The Government will defend an amendment to delete this article. He proposed that a working group should be set up to consider other possible solutions for rehabilitating wasteland; The working Republic Group will closely monitor the work of this group and its results. In order to protect the municipalities, particularly those in rural areas, the La République en marche group will vote in favour of the Government's amended amendment No. 59, which would remove the possibility of replacing the opinion of the services of the State Real Estate Directorate – the former services of the domains – with the results of private expertise. By amendment No. 59, as corrected, the Government also intends to oblige the competent State services to provide responses of the same quality to all local and regional authorities, regardless of their size. The latter will thus be able to have a neutral, objective and free assessment, in order to protect the financial interests of the public authorities and taxpayers while informing the decision-making of the deliberative assembly. Finally, Amendment No 59, as corrected, seeks to give all communities the opportunity to draw on private experts, in addition to the opinion of the State services, if they so wish. It aims to facilitate recourse by introducing the possibility of hierarchical redress in the event of disagreement between the competent State and the community. This draft law will make it mandatory for the EPCIs to submit an annual report, presenting, for each municipality, the implementation of the local housing programme, based on the local housing programme, the local urban planning plan, and the work of the housing and land observatories. This bill provides solutions for areas with high local tensions in real estate, including new tools available to local authorities. [[Applause on the benches of the LaREM group]] In short, this text provides solutions to the French in the area of housing; the La République en marche group will vote for it.
ParlaMint-FR_2019-11-28-O1087.u52	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-11-28-O1087.u53	I also want to thank the MODEM Group for this bill, which puts the issue of the cost of land and the supply of housing at the heart of our discussions. These problems are the main reason for the visits of our fellow citizens to the permanences in the Paris region and in the urban areas, as my colleagues elected in these territories know. This is a major problem, who... what word can I use in this rostrum? This is a problem that complicates the lives of many of our citizens, regardless of their generation. Minister, you have, I believe, the most important portfolio of the Government; You're taking on a heavy task. Perhaps you will not share that, minister, but all the studies show, alas! that the crisis of malaccommodation is getting worse. Our country now has 150,000 homeless people, including 30,000 children, to whom could be added a large part of the 100,000 people driven out of their homes last year – some under police pressure. At the same time, 200000 apartments are currently empty, just in Paris. You may have done it like me, I went to Montreuil some time ago to the teams of Interlogement 93, which run the call centre of 115 in Seine-Saint-Denis. In this department, more than 150 minors sleep in the streets every night, without any accommodation being offered to them. The number of calls to 115 families with children has tripled in four years – tripled in four years! –, proof, if still needed, that the crisis of mal-housing explodes and that none of the great promises of the Government, like those of previous governments, reverses this dramatic trend. Worse still, every effort is sometimes made to keep the indicators in the red: last year, for example, it was announced that subsidies to shelters and social reintegration centres would fall by almost 60 million euros. At the same time, the President of the Republic had not hesitated to lend himself to a communication operation, by posing alongside people without a fixed home, on the occasion of a nocturnal maraud of the Social UAS. Of course, that is not enough! The price of housing, both for rent and for purchase, is an undeniable factor in aggravating the crisis that no one can deny. However, the Government has chosen, as soon as it is installed, to lower the APLs – it is President Macron's "ballet" in its own words – and to cut into the budgets of social donors, while encouraging speculation through multiple tax niches reserved for private investors. In France, 2 million households are waiting for social housing. The Court of Auditors, however, foresees a collapse of the construction of HLM, a consequence of the political choices made. For those who want to become owners, the price to be paid is increasingly excluded: in the communes of Montreuil or Bagnolet, in the electoral district that elected me, the price increase per square metre reaches 10% per year. In order to combat this scourge, the proposals of our colleagues in the MODEM Group have the merit of exist ing, even if they remain somewhat insufficient. Let me go back to a few points in the text. First of all, the possibility given to local authorities to set up free land offices to dissociate land from the building is a good idea. We will support it, provided it does not restrict the supply of low-income households. As regards the major issue of the need to clean up wasteland, which you mention in the text, we will ensure that the payers are the polluters, not the taxpayer. In Montreuil, the people are fighting for the companies that have salted many lands to restore them. The law must go in that direction! On the other hand, we are opposed to your proposal to grant mayors permission not to comply with certain urban planning rules or standards.
ParlaMint-FR_2019-11-28-O1087.u54	This has been removed.
ParlaMint-FR_2019-11-28-O1087.u55	The general human and environmental interest is invariable regardless of the city, and the law must be the same for all. [[Isabelle Florennes, Élodie Jacquier-Laforge and Maud Petit applaud]] In conclusion, we consider it useful to include provisions in the law to regulate the price of housing, both for rent and for sale. We will try to enrich your bill in the course of the debates, because, ladies and gentlemen, there is an urgent need! Yes, a roof is a right for everyone!
ParlaMint-FR_2019-11-28-O1087.u56	Mr Jean Lassalle has the floor.
ParlaMint-FR_2019-11-28-O1087.u57	I would like to extend the reflections of Mr Peu and Mr Corbière, and I also welcome the initiative of our colleagues in the MODEM Group to present this text, which gives us the opportunity to reflect together. In a time as uncertain as ours, the best we have to do here is to debate, to share our experiences and to try to reach agreement on matters, Minister, which, to my knowledge, have not yet found solutions. In essence, you are confronted with the impossible, and you are faced with constraints that cannot be reconciled. It seems to me very interesting to be able to discuss it. I'll talk about what I know. I had the chance to be mayor for about forty years: in my early days, and for a long time, there were two communal commissions, one of the taxes and the other of the cadastre. Happily for me, they were both presided over by the mayor, the rest of his members being the defeated candidates in the previous municipal elections. We were obliged to look at the price of sales of houses, properties and buildings, with a representative of the tax services, for the so-called tax commission. The tax officer knew everything or came, when he did not know, with two or three colleagues, because there were often new cases in the commune. A road was thus laid out! For the cadastre, it was the same thing, and the cadastre gentleman took into account all the changes that had taken place. The mayor and the city council could therefore, even before the communal map existed and a fortiori after its creation, make decisions of common sense. Unfortunately, I no longer see these experts, the communal commissions have disappeared, and we have just saved the office of mayor! What reflections should we feed? The first step, which would cost nothing, was to return to what had existed and which had solved complex land problems. To do this, the mayor must be placed at the heart of territorial responsibility, by taking the lead in the entire territorial process. It is necessary to repeal the law of 7 August 2015 on the new territorial organization of the Republic, called the NOTRE law – make this wish known to the boss, even if I don't know if he will hear you! It is an absolute horror that is not your fault, but that of Mr François Hollande and Mr Manuel Valls, to whom you have fortunately succeeded – even if this simple change does not regulate everything. Then we should think in all areas. In particular, we should think about the revival of the free administration, because it is beautiful that we are not inventing anything in France, apart from the prohibitions! Finally, I will give you an address: I have worked for many years in the association Sol et Civilisation, which has given a lot of thought on this subject, including with regard to the Paris region. Mr President, I have not exceeded my speaking time,...
ParlaMint-FR_2019-11-28-O1087.u58	Barely!
ParlaMint-FR_2019-11-28-O1087.u59	[[Mrs Maud Petit applauds]] ...and thank you.
ParlaMint-FR_2019-11-28-O1087.u60	I now call, in the text of the committee, the articles of the bill.
ParlaMint-FR_2019-11-28-O1087.u61	Mrs Pascale Boyer has the floor to support Amendment No 52, proposing a new wording of Article 1. This amendment is the subject of a sub-amendment No 62.
ParlaMint-FR_2019-11-28-O1087.u62	In order to reduce the share of land in the cost of construction, the amendment aims to eliminate auction sales in tense areas, i.e. in municipalities subject to the tax on vacant housing – TLV – where the stakes of land are high. In the relaxed areas, the amendment allows sales by auction of dwellings, shops, offices and head offices.
ParlaMint-FR_2019-11-28-O1087.u63	I call Mr Thibault Bazin to support sub-amendment No. 62.
ParlaMint-FR_2019-11-28-O1087.u64	Mr Minister, I asked you questions during the general debate: will you take the floor to answer them or will you do so as the amendments are discussed? If Mrs Boyer's amendment were adopted, the other amendments to the article would fall. For me, this is not a problem, since it incorporates my Amendment No 53 which it would drop. However, I wish to amend it. The fourth paragraph of the amendment reads as follows: "With the exception of lots of condominiums, in urban areas or to urbanise local planning plans or documents as defined in Article L. 151-9 of the Urban Planning Code and in the municipalities referred to in Article 232 of the General Tax Code, the sale of these buildings is compulsory by mutual agreement". I propose to add the words "when they are intended for affordable housing" after the words "made". Indeed, we want the sales of buildings in the private domain of the state to be amicable in order to develop the affordable housing stock. This clarification seems timely.
ParlaMint-FR_2019-11-28-O1087.u65	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u66	The substance of Mr Bazin's sub-amendment is good,...
ParlaMint-FR_2019-11-28-O1087.u67	Everything's good in the Bazin!
ParlaMint-FR_2019-11-28-O1087.u68	... but its adoption would have a totally opposite effect to our objective. If we restricted the possibility of using amicable selling alone to build affordable housing, municipalities would be encouraged to build other types of housing. I am therefore against the sub-amendment. With regard to Mrs Boyer's amendment, which was intended to allow auctions only in relaxed areas, it must be borne in mind that the auction process was flawed, harmful and led to increases in the price of land. These increases will occur everywhere, in tense and relaxed areas. Their impact will indeed be stronger in the tense areas, where the French have a great deal of difficulty in housing themselves, but it will also be felt on prices, tomorrow, if not today, in the relaxed areas. Personally, I will not vote for the amendment, but I am issuing a wisdom opinion.
ParlaMint-FR_2019-11-28-O1087.u69	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u70	Mrs Boyer's amendment is important in several ways. A major change is taking place, with the shutdown of all auctions. We see very often the adverse effects of this system, certainly not everywhere or all the time, hence the scope of this development. Another reason why I will give an opinion in favour of the amendment is that we are asking all those involved in the tendering process for this change, Mr Bazin was talking about it in the general discussion, which is not neutral. It's easy for the state, but harder for local authorities. Circumscribing the abolition of auctions to the only tense areas legally secures the breach of Article 1, which is essential in my view, by giving it as justification the pursuit of a clearly established national interest, that of increasing the number of dwellings in areas where they are lacking. I no longer know whether the question was asked by Mr.Potier or Mr.Peu, but it is obvious that the article will apply not only to the State, but also to its "agencies" such as the Grand Paris Aménagement – GPA – etc. The amendment provides important legal security. On the sub-amendment, I fully agree with the rapporteur. The definition of affordable housing is very complex, especially with the assessments we are carrying out on the defiscalization schemes.
ParlaMint-FR_2019-11-28-O1087.u71	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u72	Minister, I agree with you that the amendment is in the right direction. It is adapted to the realities of certain territories, in particular the relaxed areas, in respect of buildings transferred by the territorial authorities which are not intended to accommodate housing. However, the speech of saying that we are going to put an end to the auction is a problem for me. In fact, in most municipalities in the tense area, public land is not auctioned. I found it in Metz, and Richard Lioger, co-rapporteur of the information mission on the application of the law of 23 November 2018 on housing, planning and digital development – ELAN – could testify to this. The same goes for Nancy. Most public land is sold at a fixed price. This is particularly the case in the context of the mixed economy companies – SEM – and the cooperative development zones – ZAC. When territorial authorities auction land, they do so most often on the basis of certain criteria, including the quality of the project, but they also enquired about the sale price of the housing envisaged by the purchaser. In general, there is a discussion: "If I sell you the land at this price, you are committed to selling the housing at such a price." Over the course of a decade of practice in municipalities in the tense zone, I have observed that public land is not sold at auction. If the ambition set out in the amendment is commendable, I believe it is necessary to exercise great caution and not to make the French believe that we will suddenly revolutionize things. In fact, auctions are very few cases. In addition, it is primarily the State that makes use of it. Unless it is a public property property purchased on behalf of a municipality, in which case a friendly procedure can be found. In general, these transactions are the responsibility of the State through the Domains Department. It is a bit unfortunate not to know Bercy's position, because we run the risk of the land being systematically classified as exceptional property, which would exclude it from the scope of this proposal.
ParlaMint-FR_2019-11-28-O1087.u73	Mrs Sylvia Pinel has the floor.
ParlaMint-FR_2019-11-28-O1087.u74	The Liberties and Territories Group does not support the amendment, for the reasons put forward by the rapporteur. Limiting the abolition of tenders to tense areas means not knowing the practice and the territories. It is well known that this procedure has an effect on the price of land, including in relaxed areas. It is also – as I pointed out in the general discussion – to ignore that OTC sales make it possible to value certain criteria, such as social mix as well as architectural, landscape and environmental quality. It seems to me that the bill as a whole must be understood. Finally, the amendment distorts the bill at the beginning of its consideration.
ParlaMint-FR_2019-11-28-O1087.u75	Completely!
ParlaMint-FR_2019-11-28-O1087.u76	In committee, we have reached an interesting compromise, made of widely shared balances. I regret that if we return, from Article 1, to certain aspects of the consensus we have reached, we hypothesize the discussions that will follow.
ParlaMint-FR_2019-11-28-O1087.u77	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u78	Ladies and gentlemen, you will not be surprised if I support the position expressed by Mrs Pinel and the rapporteur. Care must be taken not to distort the text. This fine article aimed at limiting the use of auctions should not be "pschitt" for reasons of legal certainty. It is important to keep in mind.
ParlaMint-FR_2019-11-28-O1087.u79	The spirit is there!
ParlaMint-FR_2019-11-28-O1087.u80	I will illustrate my point by drawing a comparison with a market that I know better, that of agricultural land. The mere exercise of their right of pre-emption by SAFE – a land development and rural establishment company – on 1% of the sales projects notified to them serves as an indicator to clean up the market. Thus, even by acting on very low flows, a leverage effect is achieved on the land market as a whole. This is not limited to areas – tense or relaxed – that we have defined. It is necessarily of a national dimension, at the very least. Any signal, even in relaxed areas only, has deleterious effects, and may therefore have an effect on tense areas. It seems to me that Article 1 must be understood in its full meaning. The very principle of a fair price, the fixing of which escapes the market, seems to me to be in line with the objectives we are aiming at.
ParlaMint-FR_2019-11-28-O1087.u81	Mrs Pascale Boyer has the floor.
ParlaMint-FR_2019-11-28-O1087.u82	Mrs Pinel, the aim of the bill is to work on the tense areas,...
ParlaMint-FR_2019-11-28-O1087.u83	Not just!
ParlaMint-FR_2019-11-28-O1087.u84	... it is therefore normal that the ban on auctions should be restricted to tense areas.
ParlaMint-FR_2019-11-28-O1087.u85	No!
ParlaMint-FR_2019-11-28-O1087.u86	The amendment also takes account of the specificities of the territories.
ParlaMint-FR_2019-11-28-O1087.u87	That's not true!
ParlaMint-FR_2019-11-28-O1087.u88	Sales of eclusive or forestry houses and condominium lots will not be subject to auction. Mr Bazin, you say that the territories are not taken into account.
ParlaMint-FR_2019-11-28-O1087.u89	I said you didn't!
ParlaMint-FR_2019-11-28-O1087.u90	Right!
ParlaMint-FR_2019-11-28-O1087.u91	Consideration must be given to the need for communes located in a relaxed area to use auctions in order to have a basis for determining the price of their land.
ParlaMint-FR_2019-11-28-O1087.u92	That's exactly what I said! I'm the only speaker who supported you!
ParlaMint-FR_2019-11-28-O1087.u93	The Minister has the floor.
ParlaMint-FR_2019-11-28-O1087.u94	The debate on the application of the provisions voted on here to the territories is very clearly settled. The policy we are trying to implement is, of course, aimed at all territories. During the presentation of the text, I stressed the need to produce affordable housing on the one hand and to renovate existing housing on the other. On the other hand, you have already heard me say that I am in favour of decentralization and territorialisation of housing policy as massive as possible. However, I stress one point: the provisions of Article 1, which are essential, have been the subject of a careful legal assessment. Restricting their application to tense areas makes it possible to justify them in the national interest. Indeed, these areas present specific problems due to an increased scarcity of land. The wording provided for in the amendment therefore strengthens the legal soundness of Article 1, which is essential to me, I repeat, because it really goes in the right direction.
ParlaMint-FR_2019-11-28-O1087.u95	I call Mr Thibault Bazin to support Amendment No. 33, which deletes the Rule.
ParlaMint-FR_2019-11-28-O1087.u96	The procedure is for us to consider the deletion amendments before the others. This one is actually an appeal amendment. It is intended to encourage vigilance when it comes to a mechanism, which is of course very interesting, but which should be evaluated, because it is very recent. Questions were raised, including during hearings, about bank guarantees. This issue is not negligible, since ownership takes place in two stages. If the concept is interesting, it is important to clarify it and to look at its concrete translation. Its application to home ownership in this form is not as obvious as it appears. I think very seriously that it is necessary to take the time for such an evaluation, without excluding the possibility of going back to the device, in order to avoid any bias when it is extended.
ParlaMint-FR_2019-11-28-O1087.u97	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u98	Article 2 is major in the general economy of the bill. It allows the dissociation of land and buildings, in order to present affordable housing offers to the French. Currently, SFOs are a real success. The first dwellings rented as part of a BRS will be delivered in a few weeks. Their inauguration will take place in December. SFOs address the issue of social ownership by subjecting it to resource conditions. We have decided to extend this regime to allow middle classes access to property in tense areas, thanks to the dissociation between land and buildings. Article 2 is therefore, in a way, the very heart of the reactor. You will understand that I am sending a notice against its deletion.
ParlaMint-FR_2019-11-28-O1087.u99	The Minister has the floor to support Amendment No. 43.
ParlaMint-FR_2019-11-28-O1087.u100	Defending an amendment to empower the Government to legislate by ordinances is still a difficult exercise, especially if it is part of a bill, and even more so with regard to an article on a mechanism to which the Government – and, in the singular case, the minister I am – is deeply attached, as it has demonstrated for the past two years by fighting tirelessly in its favour. What's this about? We note that the share of land in the cost of exiting real estate operations is increasing. Managing the possibility of offering our fellow citizens more affordable housing by separating the cost of land from the cost of building is certainly a good solution. This is a completely new approach to ownership and the production of housing as we know it. I am deeply convinced that it must be extended, with due respect for the free choice of our fellow citizens. A question is still worth asking – that is what Mr Bazin has just done: do we know if the devices already adopted work? What is very positive is that we can rely on what has been achieved – the SFOs and the SROs. Social ownership schemes exist; We are now wondering whether they should be extended as they are to free ownership of property as well as ownership of intermediate housing. With regard to social ownership, the feedback shows that the scheme is working. I want to point out that there were half a dozen OFS at the beginning of 2018, and that we reached, at the moment I'm talking to you, the figure of nineteen OFS being set up. As the rapporteur pointed out, the first housing units under the SFOs came out of the ground. That the local and regional authorities show such an appreciation for this mechanism suggests that it is particularly sensible. A second point seems very important to me. How have we come to the current situation with regard to social ownership through the system of separating land and buildings? In three or four years of work – objectively. When I was involved in the development of the so-called Macron Act at the Department of Economy and Finance, in 2015-2016...
ParlaMint-FR_2019-11-28-O1087.u101	[[Smile]] So you've been in power for more than two years!
ParlaMint-FR_2019-11-28-O1087.u102	... I remember that we were already working on real solidarity leases, amending certain provisions of the ALUR law, which created them. Why did it take so long? Above all, we must not lose sight of the purpose of the scheme, which is certainly to produce affordable housing – everyone is convinced of it – but which is also to ensure that our citizens do indeed have access to such housing and to combat all forms of speculation. This raises the incredibly complicated question of the framework of speculation: it certainly cannot be solved in a snap of fingers. On the other hand, this means that local authorities must be among the winners in creating value on land. As one speaker pointed out earlier, they contribute to the value of the building, in particular through land-use planning. It is therefore necessary to protect the licensor, to strengthen the production of affordable housing, and to examine the relevant perimeter, which may not only concern housing, as this bill proposes today, but also commercial premises; In short, it is a question of defining the most efficient, stable and credible system possible. In order to do so, I believe that a prescription is necessary. Of course, it is never satisfactory for a minister to propose that parliamentarians authorize the Government to proceed by order.
ParlaMint-FR_2019-11-28-O1087.u103	And that happens far too often!
ParlaMint-FR_2019-11-28-O1087.u104	But I have, I believe, demonstrated for two and a half years my willingness to move forward on this issue. I pledge to act as quickly as possible, in connection with your rapporteur and with Members. It is a model that I believe very deeply, and it is precisely for this reason that I want it to be completely secure: no one should be able to infer that there would be speculation or fear on the ground that the right to property would be changed. We want to respect the objective of the text – to produce affordable housing through the dissociation of land and buildings – by preserving its ambitious character and ensuring efficiency at the service of the French, while fighting against any possible speculation – in this matter, I am committed to protecting such a system.
ParlaMint-FR_2019-11-28-O1087.u105	All right!
ParlaMint-FR_2019-11-28-O1087.u106	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u107	I had announced in committee that the introduction of this third right of ownership would require the creation of these free land bodies, but also of a free real lease; In particular, the emphyteotic lease must be made rechargeable. I had also announced that the Government would no doubt help us to move faster than we could; He's even going a little further today. The committee accepted the amendment.
ParlaMint-FR_2019-11-28-O1087.u108	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u109	This is very interesting, I said, but we need to look at it very concretely, both at the macro and micro scale. Today, a candidate for social homeownership is supported; There's engineering. Some clauses even allow him to reverse, if he realizes that he is too fragile. "Affordable" accession is not yet precisely defined, but it will also be addressed to people who do not fall within the scope of social accession. The conditions that will be proposed, particularly by the banks, will have to be ensured to those which would not be supported as the candidates for social homeownership are today. The success of real solidarity leases is also linked to the action of competent bodies, which know how to accompany the candidates. This new tool cannot be put in place without an interest in guarantees. What will happen in the event of a failure of candidates who would not be supported by such organizations?
ParlaMint-FR_2019-11-28-O1087.u110	I call Mr Potier to support Amendment No. 13.
ParlaMint-FR_2019-11-28-O1087.u111	This amendment requires that, as soon as a housing and land observatory is established, the inventory of the State's land assets within the area of competence of that observatory be updated. In our view, we need to take this opportunity to draw up a complete inventory – there are now too many silos policies, too many inoperative laws. This would allow us to examine all possibilities of clean-up and reassignment of islets for collective purposes, whether by public or private actors.
ParlaMint-FR_2019-11-28-O1087.u112	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u113	This amendment has already been tabled in committee; he had received an unfavorable notice, which I renew.
ParlaMint-FR_2019-11-28-O1087.u114	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u115	Same opinion. There are already many databases, and I suggest you work on the existing one, to understand what might be missing.
ParlaMint-FR_2019-11-28-O1087.u116	Mr Thibault Bazin has the floor.
