ParlaMint-FR_2019-02-11-O1143.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1143.u68	There's nothing concrete about it. It unnecessarily and dangerously increases the law by vague and porous principles. Who can claim that a teacher is not engaged or exemplary? What criteria will be used to determine if he is? There is a great risk to them. I understand their anger. [[New exclamations on the banks of the LaREM Group]] In short, can do better – must do better. Minister, you are warned: the class council – here together – will be very demanding and very severe.
ParlaMint-FR_2019-02-11-O1143.u69	Mr Bertrand Pancher has the floor.
ParlaMint-FR_2019-02-11-O1143.u70	The notion of exemplary teacher behaviour irritates. I confess that I find it difficult to understand how to maintain such a provision in a text that could have been consensual – and we still hope that it will be, as you welcome our comments and amendments, Minister. We all know the commitment of teachers not only to their work, but also to their freedom of expression and independence. So I don't really see what this article can do. We very much want it to be modified to appease the educational community.
ParlaMint-FR_2019-02-11-O1143.u71	Mrs Geraldine Bannier has the floor.
ParlaMint-FR_2019-02-11-O1143.u72	Far from being abstract, talkative or useless, Article 1e emphasises precisely a dimension that has been weakened in recent years, to the point of weakening itself: the trust that must prevail between teachers and the educational community, on the one hand, and students and their parents, on the other. This has been noted by all teachers. However, without a bond of trust, one cannot educate properly. I thank the Minister for putting this article at the beginning of the text. This is a major issue. [[Applause on several benches of the MODEM and LaREM groups]] I am absolutely not shocked by the terms "engagement" and "exemplarity". If one engages as a teacher and has the vocation, one is aware, it seems to me, that commitment and exemplaryness are inherent in the function of teaching. Having teachers who have shown commitment and exemplaryness is precisely encouraging us to embrace this career.
ParlaMint-FR_2019-02-11-O1143.u73	Mr M'jid El Guerrab has the floor.
ParlaMint-FR_2019-02-11-O1143.u74	We are looking at the articles of the bill for a school of trust in terms of the commitment of educational staff. Each and every one of us here knows what he owes to the school of the Republic as well as to his teachers and, often, to his mistresses. We must all pay tribute to them. I am a Member of Parliament for the ninth constituency of the French abroad, which brings together the Maghreb and West African countries. I must admit that the bond of trust between our schools abroad and the school of the Republic in metropolitan France is gradually breaking. More and more seconded teachers are being denied renewal due to the reduction in the number of positions. The result in these territories is a decline in the Republic's relations with our fellow citizens. There are 3.5 million French people living abroad. They bring our country to the world. They are the soldiers of our economic power in the world. [[Bertrand Pancher and Jeanine Dubie applaud]] They call for quality schools in the Republic, guaranteeing educational excellence. It must be noted, however, that the State is gradually shrinking. We expect strong signals of the restoration of the bond of trust.
ParlaMint-FR_2019-02-11-O1143.u75	Mr Jean-Paul Lecoq has the floor.
ParlaMint-FR_2019-02-11-O1143.u76	Like others here, I came from the school of the Republic. Article 1, which evokes trust, hurt me. My teachers were still called the Hussards of the Republic. Very committed, they didn't count their hours and organized activities on Thursdays – I'm from a time when there was no class on Thursdays!
ParlaMint-FR_2019-02-11-O1143.u77	So do we!
ParlaMint-FR_2019-02-11-O1143.u78	[[Smile]] Me, it was Wednesday!
ParlaMint-FR_2019-02-11-O1143.u79	In the evening, after class, they helped us do our homework and organized activities. They often fought in the secular friendly towns and villages. They were committed activists. At present, these same teachers would be committed to the protection of the environment, considering that this is a key issue and that the education of children should invite them to campaign for this cause with a view to improving the climate. The same would ask themselves: "What have we missed? It took four generations to operate the social elevator, and now it takes six. What made that number go back? Is that the fact that teachers are no longer campaigning? It seems to me that many teachers felt that they could just do their job and that they were no longer actors in society or activists. The institution has taken them to this concept of their function, encouraging them to take a step backwards. Minister, the future, it seems to me, will be made of teachers considering that their employment is an essential issue for the functioning of democracy and the Republic, and deducing that they must play a militant role. Even if they speak on social networks or elsewhere, they must be trusted. [[Applause on the benches of the GDR group]] Moreover, in our towns and villages of old, they were politically engaged, as secretaries general of town halls – especially in small towns – or as elected officials. We must show a will of this order. In your bill, I read the will to neutralize them, which I do not think is a good thing.
ParlaMint-FR_2019-02-11-O1143.u80	On the contrary! It aims for excellence and trust!
ParlaMint-FR_2019-02-11-O1143.u81	We come to the amendments. I have before me four identical amendments, Nos 324, 527, 693 and 1014, to delete the article. Mr Alexis Corbière has the floor to support Amendment No. 324.
ParlaMint-FR_2019-02-11-O1143.u82	It is intended to help the minister, who was asking for help earlier. Let's delete the article! Minister, you are bogged down – if you will allow me the expression. You want to restore confidence and, as of Article 1, you create distrust. Frankly, we don't understand anything! You yourself assert that the provisions of Article 1 will have no normative effect. Yet you are obstinate. Beware: Perseverance is a virtue, obstinacy is a defect. What is the point of Article 1, if not to attack an official who would damage the reputation of the public service? Suddenly, we are interested in the debate. Is that the stakes? Ensure that no public servant harms the reputation of the public service? But what is commitment? In my constituency, teachers are on strike. Is this a form of commitment to the defence of public service? I think so, and I congratulate them! [[Sabine Rubin and Jean-Paul Lecoq applaud.– Rires on the benches of the LaREM, MODEM and LR groups]] Their hierarchy, on the contrary, often blames them for their mobilization. How will you decide? Where's the commitment? What is more beautiful than a teacher on strike, losing hours of salary for the defense of the school or college?
ParlaMint-FR_2019-02-11-O1143.u83	I know more beautiful things!
ParlaMint-FR_2019-02-11-O1143.u84	Isn't that the most beautiful commitment? How will you appreciate it? You make a monster, minister, without knowing what will result! Fortunately, these teachers are there to mobilize, even though the authority often expects from them an attitude of resignation and blessed-yes-yes – "Most importantly, do not mobilize! " We are well aware that many job creations and resources have been achieved in schools through mobilizations.
ParlaMint-FR_2019-02-11-O1143.u85	Cartoon!
ParlaMint-FR_2019-02-11-O1143.u86	You create distrust. The argument that you put forward, both of you, is merely accrediting my remarks. What is trust? What is exemplaryity? From the normative and legislative point of view, nothing! Finally – this is the teacher in professional high school, with twenty-two years of experience, who speaks – will your text help us for a second if a teacher is attacked or a parent of a humiliated student? Not at all! Legislation already exists to punish the aggression of a teacher or pupil. As far as parents assaulting a teacher are concerned, there are already – fortunately – legislative provisions to sanction them. [[Claims on several banks of the LaREM Group]] Minister, you sometimes have the impression, to hear you, that you are discovering the world of education, which already benefits – even if teachers are involved in a difficult profession – from a legislative framework.
ParlaMint-FR_2019-02-11-O1143.u87	Thank you, my colleague.
ParlaMint-FR_2019-02-11-O1143.u88	The text is talkative and useless. He creates distrust. Take it off, it'll be easier!
ParlaMint-FR_2019-02-11-O1143.u89	Without shouting, it works too!
ParlaMint-FR_2019-02-11-O1143.u90	Mrs Elsa Faucillon has the floor to support Amendment No. 527.
ParlaMint-FR_2019-02-11-O1143.u91	Many of us have said this: this article 1 sets the tone of the whole law; and, back to the announcement made by the title, it is a tone of distrust towards the teachers – as if there was confusion between the responsible performance of a mission and blind obedience, as if there was this old confusion between the civil servant-subject and the civil servant-citizen. For our part, we are resolutely making the choice of the second, which must be able to express itself. I will recall the hashtag "no waves", which showed how much it was necessary for teachers to speak more! The pressure that this Article 1 will exert can, I believe, endanger teachers' missions. The subjective terms that are used here can be understood as a will to crack down on teachers, even though insult or defamatory speech in the exercise of missions can already be sanctioned by law. [[Applause on the benches of the GDR group]] The teacher is the designer of his profession; His freedom of opinion and expression must be complete. In fact, teachers are, in the course of their profession, questioned by students on beliefs, opinions; Every day, they manage to provide answers. If trust has a meaning, it must be this one: to rely on the ability of teachers to discern, as well as on the visceral respect for the freedom of the students who move them.
ParlaMint-FR_2019-02-11-O1143.u92	I call Mr Regis Juanico to support Amendment No. 693.
ParlaMint-FR_2019-02-11-O1143.u93	To delete Article 1e r would be a welcome step of wisdom: the Council of State itself notes in its opinion that this Article has no normative scope, i.e. it is superfluous. That the first article of a bill is also openly criticized by the Council of State is quite new! In addition, this article worries the teachers, and is unanimous against him. It was perceived as a sign of a desire to put teachers at a standstill, to limit their freedom of expression. This feeling of distrust was reinforced by the impact assessment, which states that these provisions "can thus be invoked... in disciplinary cases involving national education personnel who have been guilty of acts violating the reputation of the public service". The objective is clear: it is a matter of generalizing the duty of reserve, which applies today only to the cadres of national education. You say, however, that this is just a reminder. There is confusion about the very scope of this article! You made a commitment to rewrite it; It was amended in committee by the mere addition of a reference to the 1983 Law on the Rights and Obligations of Officials. On the substance, this article feeds the concerns, and on the form, it has nothing to do with a piece of legislation: we therefore ask you to delete it.
ParlaMint-FR_2019-02-11-O1143.u94	I call Mrs Emmanuelle Ménard to support Amendment No. 1014.
ParlaMint-FR_2019-02-11-O1143.u95	Clause 1 of the bill we are debating speaks volumes on the density of the entire text. It could be described as a single term: "inadequate". Frankly, I am sorry to say so, because we were all waiting for this text full of promises that made a lot of talk about it. Instead, we are served with a section 1 which has nothing to do with what is expected of a piece of legislation, and which is just good to be included in the explanatory memorandum. The Council of State pointed out this in its opinion: "While these provisions express some of the indisputable values around which the republican school is built, they themselves do not produce any legal effect and reiterate general obligations arising from the status of civil servants as well as specific laws, if any, with criminal sanctions. » The Council of State continues: "The Constitutional Council deduces from article 6 of the Declaration of Human and Citizen's Rights of 1789 that the law is intended to lay down rules and, as a result, censor the provisions clearly devoid of any normative scope". Therefore, it was not necessary to keep it in the body of the text. Perfectly in accordance with the analysis of the Council of State – this is not always the case – I ask for the deletion of this article which does nothing.
ParlaMint-FR_2019-02-11-O1143.u96	Mrs Anne-Christine Lang, rapporteur of the Committee on Cultural Affairs and Education, has the floor to give the Committee's opinion.
ParlaMint-FR_2019-02-11-O1143.u97	I am unsurprisingly against the deletion amendments. In my view, this is an important article, a preamble, an introduction, a declaration of the principles that irrigate the whole text and, more broadly, the whole education system. It does not alter the bond of trust, as I have heard; On the contrary, it reinforces it. It sets out values: trust and mutual respect that must prevail among actors in educational communities; respect by all for the institution, its principle and its functioning; consideration for teachers, but also for parents and pupils. I hear this article would be incongruous! But it is about cohesion here, about cohesion around common knowledge and values. This is the meaning of the title of Chapter I: "The commitment of the educational community" – the commitment of all to more trusting, harmonious, soothing relationships, which will reduce violence and improve the well-being of students in schools, thus promoting success. The Council of State, which has been quoted a lot, says: "These provisions express some of the indisputable values around which the republican school is built. Unfortunately, these undisputed values are being challenged! We have heard that the normative value of this article is low. Maybe! But reread all the major laws on school: not all articles have a strong normative scope, you will have to agree. These laws also have symbolic scope; They express a philosophy, they explain the contract that binds the nation with its school. We have heard that the purpose of this article is to strengthen teacher control and the sanctions that can be imposed on teachers. That's not the case! This text creates no additional obligation, no new sanction, as the Council of State states: these provisions "reiterate general obligations arising from the status of civil servants". In order to remove the ambiguities and ease the concerns, I have tabled in committee an amendment which has been adopted, which states that the commitment and exemplaryness referred to here must be understood in accordance with the law of 13 July 1983 on the rights and obligations of officials.
ParlaMint-FR_2019-02-11-O1143.u98	The teachers really didn't need that!
ParlaMint-FR_2019-02-11-O1143.u99	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u100	I say it with a little sadness: the discussion on this article 1 is particularly significant. I agree, of course, with all the arguments put forward by the rapporteur, and I invite you to consider all the laws on education: all, as you will see, make a much greater place than this one in articles of principle. Yes, I fully assume that we have allowed ourselves to write an article in principle at the beginning of this text. This article talks about trust. By listening to those who oppose it, how can we not see the crisis of distrust that our country is experiencing, a crisis that one or another loves to endure? There is, I think, something very serious. I see some sort of sacred union between Mr. Corbière and Mrs. Ménard...
ParlaMint-FR_2019-02-11-O1143.u101	All right!
ParlaMint-FR_2019-02-11-O1143.u102	What an old string!
ParlaMint-FR_2019-02-11-O1143.u103	What a truth, especially!
ParlaMint-FR_2019-02-11-O1143.u104	... or a few others of the speakers who spoke. You don't want to grab your hand out!
ParlaMint-FR_2019-02-11-O1143.u105	That's not what we said!
ParlaMint-FR_2019-02-11-O1143.u106	[[Applause on the benches of the LaREM and MODEM groups]] You don't want to hear a speech of trust! I hear what you're saying: trust is not decreed. And I do not claim that this article 1 will, by magic, create it. On the other hand, hand stretched after hand stretched out, we try to set in motion a virtuous circle. But you don't want it, you can see it, you can feel it in each of your interventions! Mrs. Tolmont, I will start from your speech to show it. You're saying we haven't changed this article.
ParlaMint-FR_2019-02-11-O1143.u107	On the bottom, no.
ParlaMint-FR_2019-02-11-O1143.u108	That is not correct, as the rapporteur pointed out: we have added a reference to the law on the status of the civil service, so that it is clear that we are not making any changes to the duty of reserve for civil servants. That's very clear!
ParlaMint-FR_2019-02-11-O1143.u109	Why keep the article, since it's useless?
ParlaMint-FR_2019-02-11-O1143.u110	There are things that are either true or false. Have we changed the article? Yes. You can't say otherwise.
ParlaMint-FR_2019-02-11-O1143.u111	You haven't changed anything on the bottom!
ParlaMint-FR_2019-02-11-O1143.u112	There are things that can be discussed, but to say that we have changed the article is a factual truth. Anyone can check it, like the supervisory rates of Mr. Di Filippo's department.
ParlaMint-FR_2019-02-11-O1143.u113	This is a minor change, which in no way alters the meaning!
ParlaMint-FR_2019-02-11-O1143.u114	You are also saying that the Council of State is asking us to delete Article 1. It's playing on an ambiguity. The Council of State contests the relevance of the insertion of the article for reasons that are contrary to those that you state: it considers that its normative scope is too low. This argument can be debated; It is indeed an article of principle. However, the opinion of the Council of State cannot be relied upon to claim that this article will affect the freedom of expression of civil servants. That's absolutely not true! The Council of State, in a way, says the opposite: these provisions "express some of the indisputable values around which the republican school is built [...] and reiterate general obligations arising from the status of civil servants as well as from specific laws".
ParlaMint-FR_2019-02-11-O1143.u115	You have to read everything!
ParlaMint-FR_2019-02-11-O1143.u116	We cannot be more clear: if the Council of State has a reproach for us, it is that of stating an obvious fact. We can discuss it. But he does not say anywhere that we are changing the rules of the civil servants' duty of reserve. Then why do you want people to believe this? Why run this kind of campaign? All I am saying, Madam Member, is very verifiable: on this and other matters, those who are present at our debates, as well as those who will read them, will be able to get an idea of the good faith of each other. I come to your third statement: this article would have raised shields among teachers. Perhaps you read too often some newspapers that try to make it believe; If that were true, we wouldn't be here today! I see teachers every day, and I can tell you that they are proud of this word, "exemplarity"!
ParlaMint-FR_2019-02-11-O1143.u117	That's not what they tell us!
ParlaMint-FR_2019-02-11-O1143.u118	[[Applause on the benches of the LaREM and MODEM groups]] If you are told tomorrow that Members must be exemplary, you too will be proud of it! It is for this reason that the first law passed by this majority concerned the exemplary nature of the deputies! Well, I, who's a professor, if I'm told that teachers must be exemplary, I'm proud to be a professor. I come to your fourth assertion, which is perhaps the worst of all: you have worried about my reference to Jules Ferry. Jules Ferry! It seems to me that the President of the Republic who preceded the present, and which you supported, inaugurated his mandate by giving a speech before the statue of Jules Ferry. If you consider that any reference to Jules Ferry should be prohibited because he was talking about the pride of public servants, but also about the rights and duties of the public service, then it will be, and I am sorry, a line of division between you and me.
ParlaMint-FR_2019-02-11-O1143.u119	What a caricature!
ParlaMint-FR_2019-02-11-O1143.u120	[[Applause on the benches of the LaREM and MODEM groups]] For my part, I will always refer to Jules Ferry, and I am proud that his bust is in the Ministry of National Education. There may be some historical fidelities you should think about.
ParlaMint-FR_2019-02-11-O1143.u121	We are faithful to freedom of expression!
ParlaMint-FR_2019-02-11-O1143.u122	You're truncating my words!
ParlaMint-FR_2019-02-11-O1143.u123	[[Applause on the benches of the LaREM and MODEM groups]] Let us pay attention to the logics we adopt. Yes, we want to build trust; Yes, there is a stretched hand, which everyone can grasp. That will be true for this article as for others. But if you pretend to understand something other than what is written, you get into the camp of those who want to maintain distrust at all costs. Because it comes from this government, from this majority, so should we say no to everything? It is this reflex that unites you, from left to right. And that's not the best thing to see on such an important subject. [[Mrs Maud Petit applauds]] Mrs. Victory, you're saying that if we're talking about exemplaryity, it's because we don't trust the teachers. I do not think exactly the opposite: the affirmation of exemplaryness is a signal of confidence. The dignity of the professor is, in my view, an essential element of our society; The professor must be at the centre of society, I've said it dozens of times. The affirmation of exemplaryness is at the service of this dignity. Teachers have rights and duties, and they readily admit it – I know for meeting dozens of them. It is true that one might believe the opposite to read some newspapers or to hear some Members...
ParlaMint-FR_2019-02-11-O1143.u124	What newspapers do you think we should read?
ParlaMint-FR_2019-02-11-O1143.u125	I said at the beginning of this sitting: it is striking that the debate sometimes focuses on the accessory to the risk of abandoning the essentials. I then provided you with a key – as in the police movies where the solution of the riddle is announced from the beginning.
ParlaMint-FR_2019-02-11-O1143.u126	[[Smile]] This is Detective Columbo!
ParlaMint-FR_2019-02-11-O1143.u127	This key is that the second sentence of the second paragraph of Article 1 was more important than the first. But the discussion was only about this one! No one has commented on the second sentence, which is essential.
ParlaMint-FR_2019-02-11-O1143.u128	The problem is there!
ParlaMint-FR_2019-02-11-O1143.u129	It is indeed in this sentence that we are talking about mutual respect within the educational community – which responds, Mrs Ménard, to the events that your city unfortunately experienced last week. In this regard, I thank Mr. Chouat for his testimony and, in a great moment of truth, for describing the daily reality of our schools, colleges and high schools, faced with problems of aggression and violence. Yes, we must call for mutual respect for all members of the educational community. Such an issue should in fact lead to the unity of national representation. It is sad to see that this is not the case, but I am not. Yet this is a subject that concerns the daily life of the teachers, who can only agree with my remarks and find those who challenge them staggered.
ParlaMint-FR_2019-02-11-O1143.u130	They need training, not a new law!
ParlaMint-FR_2019-02-11-O1143.u131	Too often, in fact, they suffer disrespect from members of the educational community. The second sentence implicitly refers to this situation.
ParlaMint-FR_2019-02-11-O1143.u132	Article 1 won't change anything!
ParlaMint-FR_2019-02-11-O1143.u133	This article may therefore serve as a point of support. This article in principle, and assumed as such – what is called a standard, in law, Mr. Hetzel – will provide the administrative judge with a benchmark for the development of his case law.
ParlaMint-FR_2019-02-11-O1143.u134	All right!
ParlaMint-FR_2019-02-11-O1143.u135	[[Applause on the benches of the LaREM and MODEM groups]] Does this article change the rights and duties of civil servants? No. The statement added in committee explicitly affirms this. Is this a communication article? If that were the case, Mr Di Filippo, we should revisit the entire legislative history of France! If you think that all the articles of principle have a purpose of communication, it is that you do not know what a principle is.
ParlaMint-FR_2019-02-11-O1143.u136	We quoted the precise words!
ParlaMint-FR_2019-02-11-O1143.u137	We have seen how the principle of the exemplary Republic is applied!
ParlaMint-FR_2019-02-11-O1143.u138	Will we be dying like this all week?
ParlaMint-FR_2019-02-11-O1143.u139	Mrs Catherine Osson has the floor.
ParlaMint-FR_2019-02-11-O1143.u140	I, too, would like to give the testimony of a teacher, who suffers that the duty of reserve is not respected by some colleagues. Mr Corbière, you say that we are rediscovering the world of education. I feel like you're rediscovering the union! I was a teacher until the eve of my election.
ParlaMint-FR_2019-02-11-O1143.u141	One more!
ParlaMint-FR_2019-02-11-O1143.u142	I have always been able to express myself in the trade union context, without ever mixing the two universes. I am therefore proud to vote for this article in principle, proud to have endorsed a teacher's costume while respecting my duty as a reserve. I was a teacher in my classroom, a director in my office. Outside school, I could express myself and take on political mandates at the same time. I've never mixed the genres. [[Applause on the benches of the LaREM group and on some benches of the MODEM group]] I won't be here today if I didn't respect my duty as a reserve. When some do not respect it, the first to suffer are those of their colleagues who would like to work calmly.
ParlaMint-FR_2019-02-11-O1143.u143	That's clear!
ParlaMint-FR_2019-02-11-O1143.u144	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-11-O1143.u145	[[Applause on the benches of the LR group. – Mrs Elsa Faucillon also applauds]] What we are challenging, minister, is not so much the substance of the provisions as their form: they have nothing to do in the law. In fact, you yourself admit it, Madam rapporteur, by speaking of "preamble", of "introduction". Let them be included in the preamble, but they do not belong to Article 1! You also said that this article did not add any additional obligations. So, what's it for? Of course, it sets out principles to which we agree, but which should come in the introduction of the bill. You mentioned, Minister, the opinion of the Council of State: "If these provisions express some of the indisputable values around which the republican school is built, they themselves do not produce any legal effect and reiterate general obligations arising from the status of civil servants as well as specific laws, if any, with penal sanctions. But you make no mention of the following paragraph, in which the Council of State states that it does not maintain in the bill "provisions which, on the other hand, have their full place in its explanatory statement. I'm not the one saying it! [[Applause on the benches of the LR group]] Furthermore, as I asked in my statement on the article, if the judge should apply the provisions of Article 1, how can he assess whether teachers show such respect and confidence? Let the Government propose a clear text that will enable it to decide!
ParlaMint-FR_2019-02-11-O1143.u146	I call Mrs Emmanuelle Ménard to support Amendment No. 1010.
ParlaMint-FR_2019-02-11-O1143.u147	I would like to reassure you, minister: I do not have much in common with Mr Corbière, except for a love for the city of Béziers, which is so beautiful. This amendment should convince you, unless you are in bad faith, what I cannot believe – even if there is reason to doubt your truncated quotations from the opinion of the Council of State. In addition, since you have spoken of a "stretch hand", you will no doubt be in favour of this withdrawal amendment, which recalls that the primary function of the school is to educate and pass on knowledge. It is indeed this transmission, if it is effective, that will restore the bond of trust between students, their families and the educational community. The proposed text also emphasises the authority which the school, therefore its teachers, must exercise in the context of their teaching mission.
ParlaMint-FR_2019-02-11-O1143.u148	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u149	Unfavorable opinion. The primary mission of the school is to teach. To impose punishment or disciplinary sanctions is not the primary task of the staff of the educational community, even if they are sometimes forced to do so. The school is above all a place of learning, of openness, of culture. I therefore do not believe that it is desirable to include the notion of authority in the first articles of the Education Code, although it is an intrinsic part of the teachers' magisterium.
ParlaMint-FR_2019-02-11-O1143.u150	Mrs Elsa Faucillon has the floor to support Amendment No. 592.
ParlaMint-FR_2019-02-11-O1143.u151	You stated that the main purpose of Article 1 was to establish principles. But in its current wording – and it is likely that it will be adopted as it is – it essentially merely reminds the educational community of certain duties. For our part, we propose to include also an important right of teachers, that of educational freedom – it is not only a right, but also a responsibility and a democratic necessity.
ParlaMint-FR_2019-02-11-O1143.u152	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u153	Unfavorable opinion. The educational freedom of teachers is already guaranteed in article L. 912-1-1 of the Education Code, as the amendment itself indicates. He is therefore satisfied.
ParlaMint-FR_2019-02-11-O1143.u154	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u155	Same opinion.
ParlaMint-FR_2019-02-11-O1143.u156	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-11-O1143.u157	Your answer surprises me, rapporteur. The amendment which you have adopted in committee to justify the retention of Article 1e r had the exact effect of supplementing this article with elements already contained in the Education Code. I am merely proposing to mention others, in order to find a balance between rights and duties. Since you refused to mention educational freedom, you could not use the reference to the law of 13 July 1983 to oppose the deletion amendments.
ParlaMint-FR_2019-02-11-O1143.u158	That's right!
ParlaMint-FR_2019-02-11-O1143.u159	Mrs Maud Petit has the floor to support Amendment No. 899.
ParlaMint-FR_2019-02-11-O1143.u160	It is intended to add the word "benevolence" to Article 1e. Benevolence, a favourable disposition for someone, is the opposite of laxism and authoritarianism. The staff of the educational community play a fundamental role in the foundation of our society. They are landmarks for our children and participate fully in their construction, alongside the parents. The purpose of this amendment is therefore to emphasize the importance of pedagogical benevolence in the school of the Republic, and to include it in the education code as one of the foundations of education. If the school offers training, it also allows the child to learn as an individual. It is therefore essential that the school of the Republic develop for the child an atmosphere that promotes reflection, self-confidence, self-esteem, the pleasure of discovering and learning. As stated in the Education Code, schools "encourage the development of the child, enable him or her to acquire a culture, prepare him or her for working life and for the fulfilment of his or her responsibilities as a man and as a citizen. »
ParlaMint-FR_2019-02-11-O1143.u161	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u162	Unfavorable opinion. We are all committed to the benevolence of teachers, the foundation and the sine qua non of learning. However, this notion, which falls within the psychological sphere, does not seem to have its place in the text.
ParlaMint-FR_2019-02-11-O1143.u163	Oh, no! Mr. Minister will not agree with you!
ParlaMint-FR_2019-02-11-O1143.u164	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u165	On behalf of the same arguments, I would ask you, Madam Member, to withdraw your amendment. Otherwise, I will give an unfavorable opinion.
ParlaMint-FR_2019-02-11-O1143.u166	Mr Cinieri, if you will, I suggest that you present together Amendments Nos 60 and 62, which can be presented in a consolidated format.
ParlaMint-FR_2019-02-11-O1143.u167	Good to see you, Madam President. The first amendment is intended to recall that mutual respect must prevail in institutions. It is necessary to foster the climate of trust necessary for the development and success of each student. The second recalls that the authority of the educational community must be a pillar of the Republican school. Writing it in the law made it possible to reaffirm the legitimacy of our teachers, who sometimes face young people who lack benchmarks.
ParlaMint-FR_2019-02-11-O1143.u168	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u169	Unfavorable opinion. If I am in favour of including the concept of mutual respect in this article, the wording you are proposing concerns only respect between staff. I therefore prefer to him the drafting of the La République en marche group, which evokes the mutual respect between all members of the educational community.
ParlaMint-FR_2019-02-11-O1143.u170	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u171	On the substance, I fully agree: the notion of mutual respect is essential and we wish to affirm it more strongly. However, for the reasons just mentioned by the rapporteur, I suggest that you withdraw these amendments in favour of Amendment No 923, which amends not the first sentence of paragraph 2, but the second sentence, in order to arrive at a more appropriate and clearer wording.
ParlaMint-FR_2019-02-11-O1143.u172	I call Mr Dharréville to support Amendment No. 572.
ParlaMint-FR_2019-02-11-O1143.u173	The example of Jules Ferry would be a beautiful subject of dissertation. I will gladly lend him some virtues, but at this hour I prefer not to engage in such a debate. We could also discuss the pedagogical virtues of the example as well as the counter-example, but I would not venture further. Every citizen has a duty of exemplaryness. In rereading this text, I confirm the diagnosis made by the Council of State of its low normative scope, in other words of an impreciseness that leaves room for all interpretations and questions: is it a question of presenting teachers as superheroes? What does the example relate to?
ParlaMint-FR_2019-02-11-O1143.u174	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u175	[[Applause on the benches of the LaREM group. – Exclaims on the banks of the LR and GDR groups]] Let me answer by reading a few lines of literature – I know you will be sensitive to it. We are in 1957, Albert Camus has just received the Nobel Prize for Literature, here is the letter he sent on November 19 to Louis Germain, his teacher: "I have just been given a far too great honour, which I have neither sought nor asked for. But when I heard the news, my first thought, after my mother, was for you. Without you, without that loving hand that you stretched out to the poor little child that I was, without your teaching, and your example, none of this would have happened. I don't make a world of this kind of honor. But this is at least an opportunity to tell you what you have been, and are always for me, and to make sure that your efforts, your work, and the generous heart you put there are still alive in one of your little schoolchildren who, despite age, has not ceased to be your grateful student. That is what we mean by example. What a pride!
ParlaMint-FR_2019-02-11-O1143.u176	Thank you, Madam rapporteur, for recalling this beautiful letter from Camus. What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u177	It is difficult for me to express myself after these words that are among the most beautiful I know. I thank the rapporteur for quoting them. [[Smile. – Applause on several benches of the LaREM and MODEM groups]] Mr. Corbière asked us earlier if there was anything more beautiful than a teacher on strike. We have just had a fine example. Unfavorable opinion.
ParlaMint-FR_2019-02-11-O1143.u178	Mrs Beatrice Descamps has the floor to support Amendment No. 534.
ParlaMint-FR_2019-02-11-O1143.u179	This amendment is intended to add the term "mutual" to the term "trust" referred to in the first sentence of the second paragraph. This adjective makes it possible to emphasize that trust is established in both directions. Section 1 sets out principles that form the basis for the student's success and well-being within the school. Trust must be mutual, which in no way prevents the teacher from expressing himself. Certainly, trust does not decree, but why forbid writing what is so important?
ParlaMint-FR_2019-02-11-O1143.u180	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u181	As long as it binds the various actors, trust is necessarily mutual. I prefer the wording of Amendment No 923, tabled by the Group of the European People's Party, which refers to mutual respect. Unfavorable opinion.
ParlaMint-FR_2019-02-11-O1143.u182	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u183	Same opinion.
ParlaMint-FR_2019-02-11-O1143.u184	Mrs Danielle Brulebois has the floor to support Amendment No. 290.
ParlaMint-FR_2019-02-11-O1143.u185	This amendment is intended to remind the staff of the educational community of their duty to respect the Republic, its institutions and the functioning of democracy. Teachers are on the front line to pass on this conquered heritage of high struggle and, in short, fragile. Respecting institutions is, of course, respect for school, but it is first and foremost respect for the Republic because it is the mother of free, compulsory and secular schools. [[Applause on a few benches of the LaREM group]] It is not a question of questioning freedom of expression or freedom of opinion. More than a duty, it should be a pride to defend the Republic and its institutions for those who must prepare young children for full citizenship. The news of recent months and the comments read on social networks show that it is not pointless to recall this: respect for the functioning of the Republic is a condition for maintaining the confidence of families. Everyone should be intransigent on this matter if we are to maintain the cohesion of society around the values of the Republic. The respect and love of the Republic would have their full place in the preamble of the law for a school of trust.
ParlaMint-FR_2019-02-11-O1143.u186	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u187	The respect of the Republic and the institutions imposed on each official, I express an unfavorable opinion.
