ParlaMint-FR_2019-03-05-O1164.u1	Like all Vice-Presidents, I preside over the meetings of our Assembly every week.
ParlaMint-FR_2019-03-05-O1164.u138	Mr Alain Bruneel has the floor.
ParlaMint-FR_2019-03-05-O1164.u139	My question is for the Minister of Economy and Finance. We learned last night that the administration gave its green light to the closure of the Ford plant in Blanquefort. The acceptance of this "employment safeguard plan" is a new admission of impotence by the Government.
ParlaMint-FR_2019-03-05-O1164.u140	It's a step backwards!
ParlaMint-FR_2019-03-05-O1164.u141	[[Jean Lassalle and Frédérique Meunier applaud]] It does not happen a month, not a week, without the announcement of new plant closures and new social plans: Ascoval, Bosch, Fonderie du Poitou, PSA, Nokia, Saint-Louis Sucre... However, Emmanuel Macron had made a commitment during the presidential campaign to put an end to the hemorrhage of industrial jobs and to defend our interests in globalization. This commitment is now being undermined, because the Government's doctrine is clear: the State has no say in the conduct of companies.
ParlaMint-FR_2019-03-05-O1164.u142	Jospin said that!
ParlaMint-FR_2019-03-05-O1164.u143	He must get rid of all participations and positions as soon as possible, where he can be an economic player. The privatisations of Paris airports, La Française des Jeux and Engie, planned in the framework of the PACTE bill, offer an illustration of this...
ParlaMint-FR_2019-03-05-O1164.u144	It's an elevator fire!
ParlaMint-FR_2019-03-05-O1164.u145	... as well as the calamitous management of the Air France-KLM file. Therefore, the Government's protests and angers remain ineffective. It must be noted that your industrial strategy is a failure. Its consequences are severe for employees and families plunged into difficulties and despair. [[Applause on the benches of the GDR and SOC groups – Jean Lassalle and Frédérique Meunier also applaud]] Yet there is no fatality; All this is due to a blatant lack of political will. The truth is that you have removed the Ministry of Industry to entrust the country's industrial policy to business bankers and large groups. When are you going to allow the state to take over?
ParlaMint-FR_2019-03-05-O1164.u146	The next speaker is the Minister for Economic Affairs and Finance.
ParlaMint-FR_2019-03-05-O1164.u147	[[Exclaims on the benches of the LR group]] Mr President, I believe in political voluntarism and industrial voluntarism.
ParlaMint-FR_2019-03-05-O1164.u148	Your beliefs vary!
ParlaMint-FR_2019-03-05-O1164.u149	But I cannot believe that if you have mixed the subjects with so much confusion, it is by political intention; No doubt it's more of a lack of knowledge.
ParlaMint-FR_2019-03-05-O1164.u150	If we address these issues, it's for the employees!
ParlaMint-FR_2019-03-05-O1164.u151	You refer to Air France-KLM; You should, like your Republican counterpart earlier, rejoice that, since the appointment of Ben Smith, Air France has returned to profits, while the company was suffering losses of the order of 300 million euros because of a social crisis that did not end. You should welcome the successes achieved by certain industrial sectors, such as nanotechnology, augmented reality, automobiles, space, aeronautics – but these successes, you systematically ignore them. You should be pleased that government intervention has prevented the closure of the GM&amp;S plant in Creuse. You should be by our side to help us find a buyer at Ascoval,...
ParlaMint-FR_2019-03-05-O1164.u152	We don't want the plant to close!
ParlaMint-FR_2019-03-05-O1164.u153	... because we don't give up our arms and we want the steel factory to stay open.
ParlaMint-FR_2019-03-05-O1164.u154	You're the minister, it's up to you!
ParlaMint-FR_2019-03-05-O1164.u155	[[Applause on a few benches of the LaREM group. – Exclaims on the benches of the SOC and GDR groups]] You should recall that the commitment of the President of the Republic to re-create industrial jobs has been fulfilled, since, for the first time in ten years, France has been re-created. Yes, I'll never stop hammering it, because it's a reality! As far as asset disposal is concerned, you know as well as I do, Mr President, that the future of French industry is being played out in new technologies, investment and innovation, and that if we have destroyed so many industrial jobs for years, it is because we have not invested enough in technology and innovation.
ParlaMint-FR_2019-03-05-O1164.u156	Not just!
ParlaMint-FR_2019-03-05-O1164.u157	The break-up innovation fund is investment and it's industrial jobs. The reform of capital taxation means more investment, more innovation and more industrial jobs. The restructuring of the sectors is more industrial jobs.
ParlaMint-FR_2019-03-05-O1164.u158	Yes, when it suits you!
ParlaMint-FR_2019-03-05-O1164.u159	Community preference is more industrial jobs. [[Applause on several benches of the LaREM group. – Exclaims on the banks of the GDR Group]] That is the policy of the President of the Republic, the Prime Minister and the majority. It gives results: support it!
ParlaMint-FR_2019-03-05-O1164.u160	Mr Jean-Luc Fugit has the floor.
ParlaMint-FR_2019-03-05-O1164.u161	My question is to the Minister of State, Minister for the Ecological and Solidarity Transition. [["Hello! » on several benches of the LR group]] I would like to go back to the pollution episode that has affected several areas of our country in recent weeks. The health impact of air pollution is proven. The observation is widely shared. It is estimated that 7 million people worldwide, including 50,000 in France, die prematurely from this pollution every year. In France, the drop in emissions of nearby pollutants, which began some 15 years ago, has led to an overall improvement. The average concentrations of certain pollutants are decreasing, although the limit values are still too often exceeded, as has been seen in the last two weeks, which has led to the introduction of measures in several agglomerations to reduce the impact of road transport. These peaks of pollution have the virtue of helping to raise awareness, but they can also make us forget the background pollution, the average pollution to which we are all subjected and which, by its constancy and its magnitude, constitutes a veritable health scourge. Pollutant-emitting sources are multiple and well-known. We can therefore act individually and collectively. Collectively, efforts have been made in the industry for several years. As far as transport is concerned, the commitments made last July are in the right direction. Some, such as the creation of low-emission zones, will find a legislative framework through the mobility guidance bill. With regard to agriculture, the conference on air pollution and agriculture held at the Agriculture Fair last week shows that our farmers are taking action to reduce their emissions. [[Applause on a few benches of the LaREM group]] However, Minister of State, do you not think that we should take a more cross-cutting approach to public action? There is a clear link between improving air quality and public action in the areas of mobility, energy, agriculture, urban planning, industry or even housing. Would the search for such a transversality not be an opportunity to ensure that France's public action is better shared and more effective, in order to restore the air quality of our cities and countryside?
ParlaMint-FR_2019-03-05-O1164.u162	The next speaker is the Minister of State, Minister for the Ecological and Solidarity Transition.
ParlaMint-FR_2019-03-05-O1164.u163	Mr President, as you pointed out, the issue of air pollution remains a major issue. It is a public health issue, and we must continue to act, especially since when we act, we get results – it is good to remember. The progress already made must encourage us to persevere in this direction and to make further progress. In terms of sulphur dioxide, we have divided sulphur dioxide emissions by ten since 1990. As far as nitrogen dioxide is concerned, we have divided them by two since 2000. With regard to fine particles, which are often the number one subject, particularly in relation to the use of diesel engines, we have reduced them by 40% since the 2000s. It is therefore entirely possible to continue to act and achieve results. We will do this by developing alternative modes of transport to the car or truck. This is what we do by investing in public transport. It is worth reminding us that we had never invested so much in public transport infrastructure and services in France. Many communities are in the process of renewing bus fleets, replacing old diesel buses and switching to natural gas, electricity and even hydrogen buses. There is also a need to continue to promote clean engines for passenger cars; This is what we are doing with the conversion bonus, which allows us to remove the most polluting vehicles from traffic and help the French to buy cleaner cars. This must be done in the area of heating, and perhaps we must also revise our methods of action in the event of peak pollution. We will look with communities at how to cross the observed increases in pollution and weather forecasts. [[Applause on several benches of the LaREM and MODEM groups]] Finally, with regard to cross-cutting action, I propose that you, Mr President of the National Air Council, make proposals to me to act on all sources of pollution and to restore air quality for the health of our citizens.
ParlaMint-FR_2019-03-05-O1164.u164	We have completed the questions to the Government.
ParlaMint-FR_2019-03-05-O1164.u165	The meeting was suspended.
ParlaMint-FR_2019-03-05-O1164.u166	[[The meeting was suspended at 4.05 p.m. and resumed at 4.20 p.m. with Mr Sylvain Waserman in the chair.]]
ParlaMint-FR_2019-03-05-O1164.u167	The meeting was resumed.
ParlaMint-FR_2019-03-05-O1164.u168	Mr Jean-Luc Mélenchon has the floor for a point of order.
ParlaMint-FR_2019-03-05-O1164.u169	It concerns, Mr President, the organisation of our debates. In questions to the Government that have just taken place, the members of my group have left the Chamber. The first speaker, speaking to the Prime Minister, explained that he had been batoned in a street in Bordeaux, on the margins of a demonstration. The minister of the interior, far from expressing regrets as it is customary in such cases – if one would admit that overflows are possible – has, on the contrary, questioned the sincerity of the version of our colleague, Loïc Prud'homme. It has, moreover, done so in unacceptable terms in a parliamentary forum: a minister does not have to treat a Member of Parliament as a liar, it devalues the institution and the relations we maintain. Moreover, it has been felt very shocking, and even incredible, that many of our colleagues have stood up to applaud such remarks. When you ask, as is normal, for our solidarity with such or such aggression or a bad blow to which you will be subjected, ladies and gentlemen, will you now expect us to hear from other versions to judge? All of this is not acceptable. In conclusion, I will only say this. The Minister of the Interior has a particular responsibility, perhaps greater than that of other ministers: it resides in the control of the force under his command. Earlier, however, he sent a message of extreme violence, which falls very badly in the current context. A few days ago, I recall, a police unionist said on radio and television about a mutilated protestor: "Well done for his face. » [[Applause on the benches of the FI group. – Mr. Jean-Paul Lecoq also applauds]] We cannot live together with such conceptions of mutual relations. I deplore and denounce what has been said, Mr President, and ask you to tell the Speaker of this House that it is not acceptable to hear the Minister of the Interior send a message that throws the trouble, in that he suggests that it might be legitimate to strike a Member. That we've never seen in our country, and I hope we never see him again.
ParlaMint-FR_2019-03-05-O1164.u170	I agree!
ParlaMint-FR_2019-03-05-O1164.u171	I have noted your speech, Mr Mélenchon, and will pass it on to the President of the House.
ParlaMint-FR_2019-03-05-O1164.u172	The next item is the debate in view of the European Council meeting held on 21 and 22 March 2019. I would remind you that the Conference of Presidents has decided to hold this debate in two parts. As a first step, we will hear speakers from the groups and then from the Government. We will then conduct a question-and-answer session. The length of questions and answers, I would also like to remind you, is limited to two minutes, without the right to reply. Mrs Sabine Thillaye has the floor.
ParlaMint-FR_2019-03-05-O1164.u173	First of all, I want to welcome the principle of this debate on the European Council, and I hope that our House will systematically put it on its agenda in the future. The next European Council is, in this case, a pivotal moment. The current European legislature is coming to an end, and it is an opportunity to complete a number of construction projects that have been opened. It is also a question of preparing the future of the European Union, in a context which, as you know, is at least uncertain. The European Council will take place on 21 and 22 March, one week before the planned date of exit from the United Kingdom of Great Britain and Northern Ireland. We are well placed here to know that many things can still happen by then. The House of Commons is due to rule in a few days on the exit procedure. Allow me, on this occasion, to renew my tribute to Michel Barnier, who is doing his utmost to guarantee a favourable outcome to the negotiations. I strongly reiterate that the withdrawal agreement on the table is not only the best, but the only one possible. However, we must prepare for the possibility of an exit without agreement. We can welcome the steps that have been taken at national level to ensure economic continuity and the preservation of citizens' rights. The European Commission has also taken steps to avoid chaos in the event of departure from the United Kingdom without a withdrawal agreement. Ladies and gentlemen, let us not deceive ourselves. While Brexit is likely to occupy much of the discussions at the next European Council, it must first and foremost be able to prepare for the future. Brexit is a sovereign choice, of course, but it has taken on a lot of time and energy, for a necessarily losing-losing result.
ParlaMint-FR_2019-03-05-O1164.u174	This is the choice of the British people, we must respect it!
ParlaMint-FR_2019-03-05-O1164.u175	We now have an obligation to move forward and formulate a clear and coherent project for Europe. As you know, our majority is calling for a sovereign Europe, a Europe that guarantees the security of European citizens and is a continent of opportunities. The rostrum published today by the President of the Republic in the twenty-eight countries of the Union set out this message forcefully with European citizens, calling for a European renaissance built on the values of freedom, protection and progress.
ParlaMint-FR_2019-03-05-O1164.u176	"Do what I say, not what I do! »
ParlaMint-FR_2019-03-05-O1164.u177	The next European Council must give us the opportunity to move forward in this direction. Free Europe is first and foremost a Europe that asserts itself on the international stage as the economic power it is. It is time for continental blocs, and we cannot remain disarmed in the face of often hostile competitors. That is why we need to modernise our competition rules, not to target an extra-European giant, but to allow the emergence of European champions in strategic sectors. Transport, energy and food are not only markets; they are also assets for the Union. I therefore welcome the initiative taken by Germany and France in favour of a genuine European industrial strategy. Without it, we would condemn ourselves to the law of the other continental blocs. The Europe of protection must allow citizens to express their political opinions without their choices being distorted by the manipulation of information. The sincerity of the vote is a sine qua non for the good health of European democracy. France has already taken its steps, but we hope, Madam Minister, that the European Council will reaffirm the need to protect us from the manipulations that have altered some of the past elections. Europe has a unique voice in today's world. We want to avoid the deadly scathing trap on national borders. Europe is the right level, whether it be trade relations, defence policy, managing migration flows or combating climate change.
ParlaMint-FR_2019-03-05-O1164.u178	All right!
ParlaMint-FR_2019-03-05-O1164.u179	But we also do not want the European house to open up to all the winds without asserting its interests. Madam Minister, on these issues, I would like to know France's position in the next European Council. Finally, the Europe of progress must enable us to emerge from the defensive logic and to make the Union a continent of opportunities again. Thanks to a common position between France and Germany, the euro area will soon be able to establish a budget, thus complementing the institutional architecture of Economic and Monetary Union. [[Applause on the benches of the LaREM and MODEM groups]] Madam Minister, ladies and gentlemen, you will have understood this: the unity which the Member States of the European Union have shown in the Brexit test must now find its translation on all the subjects which, for Europeans, are subjects of the future.
ParlaMint-FR_2019-03-05-O1164.u180	Mr Pierre-Henri Dumont has the floor.
ParlaMint-FR_2019-03-05-O1164.u181	During this week of monitoring the action of the Government, the presidential party, the majority in our assembly, wanted to include in the agenda a debate in view of the European Council of 21 and 22 March. One can only wonder what a matter of great importance for the future of our country, which requires a very serious preliminary debate in this House, will be discussed at the next European Council. Migration issues? Despite a request from President Donald Tusk, they will not be addressed. Brexit? Seven days from the fateful date, it is not on the forecast agenda.
ParlaMint-FR_2019-03-05-O1164.u182	Yes!
ParlaMint-FR_2019-03-05-O1164.u183	The next multi-annual financial framework? To the absent subscribers. The necessary tax reforms? No more present. Nothing in the current agenda of this European Council, at which significant progress on important texts is very unlikely to be achieved, required such a debate. It must therefore be by chance or by reason of a happy coincidence that it is taking place on the very day of the launch of the campaign for the European elections of the Republic in progress.
ParlaMint-FR_2019-03-05-O1164.u184	It's pure chance!
ParlaMint-FR_2019-03-05-O1164.u185	Coincident!
ParlaMint-FR_2019-03-05-O1164.u186	Ladies and gentlemen, I do not believe in chance, especially with a President of the Republic who, in a wise mix between ORTF and personality worship, is gloatingly confusing great national debate with political campaigning. President Macron has therefore launched this morning the campaign for the European elections, of which he is a political campaign,...
ParlaMint-FR_2019-03-05-O1164.u187	It's propaganda!
ParlaMint-FR_2019-03-05-O1164.u188	...with a forum published throughout Europe. It reveals its ambition for the continent, that is, more and more of what did not work yesterday, does not work today and will not work any more tomorrow – ever more agencies, ever more Commission, ever more enlargements and ever more transfers of sovereignty. The Republicans reject this technocratic Europe and demand that, fifty years after the launch of the Concorde, we finally move on to a Europe of projects which, for example, would invest in the search for treatment to combat Alzheimer's disease. Two days after the closure of the agricultural trade fair, the President of the Republic did not have a word in his rostrum to defend the common agricultural policy – CAP – that the next multiannual financial framework will plan 12%. Madam Minister, we would like to know the right of the President of the Republic to give lessons to the whole of Europe!
ParlaMint-FR_2019-03-05-O1164.u189	It's hard to hear, isn't it, Minister?
ParlaMint-FR_2019-03-05-O1164.u190	However, it was under its presidency in 2018 that France became the country of the euro area with the highest budget deficit, as it is the only nation to exceed the 3% deficit mark. It was also during his presidency that France became, in the same year, the euro area country with the most deficit trade balance, with a deficit of EUR 60 billion. And it is he again, Emmanuel Macron, who is the least popular head of state of the continent in his country. The reality is that Emmanuel Macron is absolutely isolated in Europe. It is isolated because the results of the ballot boxes are unfavourable to it throughout the continent, and because by seeking to distinguish between so-called progressives and so-called populists, it breaks the European continent as no one had done since the fall of the Iron Curtain. It is isolated because it passes over the heads of the heads of state of our partner countries. I dare not imagine your reaction if Matteo Salvini or Viktor Orbán had committed such a rostrum in France! Unfortunately, ladies and gentlemen, in being so isolated, it is France and the French that the President of the Republic is isolated. The result of this isolation is that France has not achieved any concrete progress in Europe since a speech by the Sorbonne remained unchanged. The best proof of this failure is the taxation of GAFAM – Google, Apple, Facebook, Amazon and Microsoft – which the Government, in the absence of a European agreement, must establish at national level alone. Finally, how can we not be surprised by the aplomb of the President of the Republic who proposes at European level what he is unable to implement at French level?
ParlaMint-FR_2019-03-05-O1164.u191	That's right!
ParlaMint-FR_2019-03-05-O1164.u192	Because how dare you ask for a run-down of the Schengen area when, under your majority, legal and illegal immigration has reached the highest levels ever seen in France?
ParlaMint-FR_2019-03-05-O1164.u193	Do what I say, not what I do!
ParlaMint-FR_2019-03-05-O1164.u194	How dare you appeal to a European asylum policy when you have rejected our proposals to refuse the examination of asylum applications lodged by foreigners who have already been rejected in another European country, representing 60% of the 122000 asylum applications lodged in 2018?
ParlaMint-FR_2019-03-05-O1164.u195	It's serious!
ParlaMint-FR_2019-03-05-O1164.u196	How can Emmanuel Macron dare to speak of a Europe that is an economic power in strategic sectors, while he has boned Alstom to sell its energy branch to the Americans and that he has not known, in the Strait of Pas-de-Calais, to save the company MyFerryLink? How can we dare to caress farmers in Paris, explaining that agricultural Europe is in danger, and, at the same time, to sit in Brussels in the group of liberals who are the first to vilipcate this CAP, who want a more federal and integrated Europe, and who are pushing for an even more deregulated Europe? [[Applause on the benches of the LR group]] You will therefore be able to write this rostrum in French, English, Italian, German or any other language: it is, like the whole politics of Emmanuel Macron, only the powder of perlimpinpin which he throws to the faces of Europeans before the European election, as he threw in the face of the French, two years ago, before the presidential elections.
ParlaMint-FR_2019-03-05-O1164.u197	Good analysis!
ParlaMint-FR_2019-03-05-O1164.u198	Mr Jean-Louis Bourlanges has the floor.
ParlaMint-FR_2019-03-05-O1164.u199	[[Smile]] Mr. Pierre-Henri Dumont's speech begins well and ends badly. He was right to say that the European Council does not address the issues that it should consider. When we look at the items on its agenda – 'Employment, growth and competitiveness', 'Climate change', 'External relations' – we see that this is just a matter of accompanying the usual European train train. And it is true that just a few days before the European Council meeting, it is difficult to know what real problems will be addressed. Where you are wrong, Mr Dumont, it is when you consider the Council to be a technocratic body.
ParlaMint-FR_2019-03-05-O1164.u200	That's not what he said!
ParlaMint-FR_2019-03-05-O1164.u201	The European Council is the Heads of State or Government elected by the people and politically responsible.
ParlaMint-FR_2019-03-05-O1164.u202	Professor Bourlanges is talking!
ParlaMint-FR_2019-03-05-O1164.u203	If you regret its agenda, it is first of all because European democracies, European peoples and European governments do not take into account the deadlines they have to face. It is also quite paradoxical that it is you who question the European Council which is that the type of institutions that the sovereignists have always loved: Heads of State and Government who represent their States meeting and deciding unanimously.
ParlaMint-FR_2019-03-05-O1164.u204	You're distorting my words!
ParlaMint-FR_2019-03-05-O1164.u205	We need to think about what the European Council is. What was he at the time of his creation at the initiative of Valéry Giscard d'Estaing? A body of Heads of State or Government which, for the most part, had two functions. The first was to solve the difficult problems: the Fontainebleau European Council, for example, gave a 20-year solution to the problem of the European budget. The second was an orientation function. Indeed, one remembers or does not remember – but, in this case, one is wrong – that the Milan European Council decided on the internal market, that the Maastricht European Union has embarked on both the path of deep democratisation of the institutions and that of the single currency, and that that of Copenhagen has allowed the enlargement of the European Union to the countries liberated from the Soviet yoke. We can welcome these decisions! Other meetings of the European Council have not been such a success. For example, the Helsinki European Council has, for no reason, opened negotiations for the accession of Turkey that Mr Jacques Chirac wanted.
ParlaMint-FR_2019-03-05-O1164.u206	He still loves her so much!
ParlaMint-FR_2019-03-05-O1164.u207	To the Union pour la démocratie française, we were opposed to these negotiations, which were a mistake, and we are still in our MODEM group! At the Nice European Council, we trampled. These meetings of the European Council have thus sometimes been failures and sometimes successes. What has become of the European Council today? An institution that does not work because it only seeks to accompany, like chamber music, the train train of community life. It is a Council which sometimes aims to compete with the Community system by taking unanimous decisions in areas where they should be taken by qualified majority. It's finally an administration looking at what's going on. On this point, you are right, Mr Dumont. Brexit is not on the Council's agenda when it is well known that after Mrs May's 'ideas of March', on 12, 13 and 14 March, there will be spring, and I hope that it will be the spring of the peoples. The agenda of the European Council of 22 and 23 March 2019 does not mention this, although this will be the key issue. The European Council is therefore an institution that seeks its way and finds it only by returning to its origin. I would advise our Heads of State and Government that it is necessary, as Emmanuel Macron does,...
ParlaMint-FR_2019-03-05-O1164.u208	Emmanuel Macron, of course!
ParlaMint-FR_2019-03-05-O1164.u209	... to revive Europe on a political basis, because there is no future for the peoples of Europe outside their unity. We have values, interests and principles to defend, and we will only defend them if we are united. That's politics! I therefore dream, perhaps utopian, that the European Council will return to the sources and rarely meet, in order to deal with the essentials, and that it will meet at length, so that the Heads of State or Government can talk to each other and consider the future, instead of staring at themselves as they have done for too long. In this regard, I welcome the initiative taken by the President of the French Republic to invite the President of the Italian Republic, because there is a need to establish relationships of trust and not mistrust between people who have their own interests. [[Applause on the benches of the MODEM and LaREM groups]] I wish for a European Council that meets fraternally. Finally, I would like to see a European Council that really does policy, because we need a political revival of Europe and not this administrative train in which, for twenty years, we have been lost.
ParlaMint-FR_2019-03-05-O1164.u210	Mrs Marietta Karamanli has the floor.
ParlaMint-FR_2019-03-05-O1164.u211	In particular, I would like to stress the stakes of this summit, which is being held a few weeks before the European elections. I will also elaborate on some of the proposals made by the Socialist and Related Group with a view to protecting French and European citizens. It is clear, first of all, that Brexit will not be on the Council's agenda. This can be explained by what is happening in the United Kingdom. I note that those who are in favour of leaving the European Union today intend to invest public money in the less developed areas, which voted for Brexit. Is that a coincidence? I don't think so. In retrospect, that growth has not been homogeneous in one country has therefore been a factor in weakening Europe as a whole. On employment, industrial policy and competitiveness, it seems to me useful to recall ideas which, however obvious, must guide our action. In Europe, industrial policy is underpinned by a competition policy that is seen as a priority. As an economist put it several years ago, industrial policy has been, and perhaps remains, an underground passenger of Community policy. The European Union does not appear to be or more an obstacle to the deployment of an active policy. However, its choices seem to be driven by a trade vision, the priority having been to standardize the international trade practices of the Member States, with a gradual lowering of customs barriers. Conversely, the United States and China have an aggressive policy of defending their commercial interests. Strengthening European competitiveness sometimes seems to be seen in the light of the only reference to economies of scale allowed by the harmonisation of national markets inherited by Europe. An alternative view is that this strengthening cannot come from this axis alone. It is therefore necessary to make better use of what has done and still does European excellence, namely "high-end" industrial goods, products protected by labels and designations, small-scale industrial products covered by high technology, business networks and relations with large research institutions. In the area of intellectual property, the Union must also promote more open and offensive solutions, which enable companies to build innovations around evolving systems, such as in the areas of telephony and automobiles. Finally, particular attention must be paid to the infrastructure financed by Europe and the interconnections they allow. For example, there must be a willingness to promote a European industrial and commercial policy. Let us come to the protection Europe, a theme that the socialists have been defending for several years. As for the Europe that protects citizens, we have already said here: the urgency is for an employment and training policy for all young people, nearly 16% of whom in the European Union are unemployed, many of whom live below the poverty line. The collective effort would also affect all families. We also defend the need for tax harmonization, in order to combat inequalities: we must tax digital giants, known as GAFAs, but also large companies that do not pay taxes where they sell. France, Germany, Italy and Spain, which together account for more than 75% of the population and GDP of the euro area, must agree to introduce a tax on the largest assets, which could finance a green new deal for the ecological transition. I note that the Democrats who oppose Trump are making the idea flourish across the Atlantic! On the protection of Europe, we are also defending the principle of a Europe that can defend itself. We must not misunderstand the reasons for the crisis of democratic confidence that is undermining our States. The crisis does not have a cultural but a social origin, and if migration is often referred to as a cause, or as an indication, of our own difficulties, let us remember that the number of migrants entering the European Union was much higher before the financial crisis: 1.2 million per year between 2000 and 2008. However, this seemed to raise fewer questions. As far as humanitarian migration is concerned, European solidarity is necessary to ensure that the more exposed countries really feel that they are part of a common border. In practical terms, during the previous parliamentary term, our Assembly had voted for a European corps of border guards and for the financing of appropriate resources. No common rules are laid down in the European Union on migration with economic dominance. It will be necessary, sooner or later, to propose a common framework. An international conference of the European Union and its Mediterranean neighbours could therefore prove useful. Let us not be mistaken about the debate: today, the struggle is between those who want to build a democratic and social public power to regulate globalisation, and those who, invoking cultural determinisms, refuse to fight inequality, and leave the European Union to half-measures and tools that no plan of magnitude guides. It is on this that we must all mobilize.
ParlaMint-FR_2019-03-05-O1164.u212	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-03-05-O1164.u213	We can question the chance and the opportunity chosen by the majority group to put this debate on the agenda of our work on the agenda of the European Council of 21 and 22 March. But they give us French parliamentarians the opportunity to take up the debate on these major European issues and to exercise our task of monitoring the action of the executive. Beyond the established agenda – which does not include, as has been said, the main topical issues that should be discussed at this level – I would like us to come back to two major topical issues. The first of these, already mentioned by my colleagues, is the Brexit perspective: today we are some 24 days away from the UK's exit from the European Union. This is, at least, the current timetable for the implementation of the treaties. However, as Brexit without agreement approaches, concerns and questions about the ways and means of its implementation continue to grow, on the English side, of course, but also on the European side, and this situation necessarily challenges us, as French. This prospect even revives the tensions that were thought to have disappeared permanently in Ireland: what would happen if, tomorrow, a border were to separate Northern Ireland and the Republic of Ireland again? Despite the efforts made over the past seventeen months by the European Union negotiator, Michel Barnier, whose work I would like to commend, the agreement reached with the United Kingdom has not yet been validated by the British Parliament. The assumption, almost unimaginable at the end of the English referendum in favour of leaving the Union, of a "no deal" is now a reality. The consequences of such a situation, without really known solutions to date, obviously involve major risks for the United Kingdom as well as for the European Union, including France, at the commercial, economic, social and even diplomatic level. Illustration of this malaise: the video recently published by the president of Airbus, which threatens to leave Britain if no agreement is reached, while the group represents 14,000 jobs in the country. Similarly, several major international groups, such as Sony, are considering moving their headquarters to London. Let us also think of our Breton fishermen, whose activity in the North Sea is in danger, in the absence of a new post-Brexit regulation. Let us consider the daily lives of many of our compatriots who currently live and work in England, and that of British nationals who live and work in France: they can be severely affected tomorrow. When asked about the current situation by many parliamentarians, the Prime Minister has always replied that the European Union and France must stand ready for all the assumptions, and that the paths of a further delay, or a possible new agreement, are not closed. What about three weeks before the deadline? What about, more broadly, the initiatives France can and must take to relaunch a more efficient functioning of the European Union, a more understandable operation by our fellow citizens, and more in line with the interests of the European States and peoples? The second topical issue that I think should be addressed, since it is the agenda of the European Council, is the taxation of GAFAs and multinationals based in Europe. These companies, as we all know, earn hundreds of millions of euros in Europe, without paying taxes proportional to the profits they make. For example, Airbnb pays less than 100,000 euros in taxes in France, while our country is its second market after the United States. This situation is, of course, legal, since it is the result of a very successful tax optimisation, but it clearly constitutes unfair competition in the French hotel sector. Globalization has transformed the international economy. But our taxation – that of France, but also and above all that of the European Union – has not adapted to this. Worse, the European Commission's guidelines on free and undistorted competition give excessive advantages to non-European multinationals. The issue of GAFA taxation is as symbolic as it is central to the financing of the European Union. For a long time, the UDI has called for taxation of GAFAs and convergence of taxation across the euro area, to counter the logic of tax optimisation and avoid unfair competition between Member States. If France finally takes this problem seriously, by proposing a 3% tax on the turnover of companies whose worldwide turnover exceeds 750 million euros, of which at least 25 million carried out in France, such a measure will only be effective and effective if it applies throughout the European Union.
ParlaMint-FR_2019-03-05-O1164.u214	Mr Eric Coquerel has the floor.
