ParlaMint-FR_2019-02-11-O1142.u1	The next item is the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1142.u48	Totalitarian?
ParlaMint-FR_2019-02-11-O1142.u49	During the examination of the text in committee, you rejected all our proposals for experimentation in the field of education. On the other hand, you give free rein to the delusions of the safe right. Where are, rather, school life staff, social workers, psychologists in national education and teachers in sufficient numbers? Where is this human presence so indispensable to help young people and their families, and to relieve teachers? Does your blindness also make you deaf to the legitimate demands of the educational community, whose reality I have just recalled? On February 5, during the mobilization of the interprofessional trade union movement, I read on the banners of the national education staff slogans calling for the increase of wages, the catching up of purchasing power blocked since the year 2000 – it has decreased by 40% in 20 years – and the hiring of staff instead of the abolition of posts foreseen in your 2019 budget.
ParlaMint-FR_2019-02-11-O1142.u50	They're right!
ParlaMint-FR_2019-02-11-O1142.u51	You will say that the unions are eternal grinches who defend only themselves. Not really! At the general academic assemblies, held at the end of January throughout France, their demands greatly exceeded the defence of their own interests. For example, they also call for the withdrawal of Parcoursup and the law on the guidance and success of students, as well as the repeal of the reforms of the baccalaureate and high school. They denounce the spirit of these reforms, which consist of locking up young people so early – from the age of 15 – in educational ruts that will deny them access, if they change their mind, to certain higher education courses. They discover, if needed, the unequal character of this high school à la carte, which will not offer the same menu to all students. They are indignant at the lack of readability of the reform and the lack of resources to implement it. As for this bill, they are also asking for its rejection, which I have the honour to express here. Minister, I understand your way of ignoring their warnings and expertise. However, the bill for a school of trust succeeded in setting up against it almost all the trade unions represented in the Higher Council of Education. "It is the old world that resists," you will say again. Well, no! These same claims are in fact carried by another movement, outside the classical trade union framework: the movement of "red pens". Some of their testimonies are upbuilding. One of them says: "We pay from our pocket plasticizers, cartridges for printers, books... Give us the means to buy equipment! How can we not see here a similarity with other officials, who are also forced to buy their own work equipment? However, your Government is less prepared to respond to the grievances of teachers, who are among the lowest paid, in comparison with their colleagues in OECD member countries, for a longer time of instruction and more overloaded classes. You do not listen to educational staff, neither in national representative bodies, nor when they walk on the street. So you force them to choose other forms of action. Thus, in my constituency, the Olympe de Gouges high schools, in Noisy-le-Sec, and Jean Renoir, in Bondy, have been on continuous strike since Tuesday, February 5. In Toulouse, 130 teachers have resigned from their responsibilities as principal teachers: they do not want to support the implementation of a significant part of your reform of the high school aimed at entrusting them with the guidance of the students, provided so far by the psychologists of the national education and the IOC – information and guidance centres – which you respectively removed and closed, even though orientation becomes your priority at the same time as a real puzzle. These teachers cry out for despair, not only in the face of the deterioration of their own working conditions, but also of those of their students and in the future that you reserve for them. Moreover, the latter also understood what sauce they were going to be devoured by the ruthless sorting machine you are building. They mobilized last spring on this issue. With unprecedented repression, the government of which you are a member has implemented a security law to crack down on violent gangs in order to control the democratic ambitions of our youth. Are these the methods of the benevolent school and the accompaniment to democratic learning? Is it through humiliation, as in Mantes-la-Jolie, that you think you are preparing young people for democracy? Is it tear gas and flashball that you intend to muzzle their protest? Ten days ago, in fact, one of these weapons crushed the foot of a young union representative you know well, Minister: this is Louis Boyard. In this regard, Mr Castaner called into question what happened, thus conveying fake news on fake news.
ParlaMint-FR_2019-02-11-O1142.u52	In French in the text!
ParlaMint-FR_2019-02-11-O1142.u53	Finally, is it by means of endless identity checks, detentions at the limit of legality and indictments of minors that you think they are critical? I would like to remind you of the results of the arrests carried out last May at Arago High School: 102 high school students parked for eight hours in two police buses, without eating, drinking or being able to go to the toilet. Some parents were not informed of the detention of their minor child until 15 hours after his arrest. The mobilizations resumed in December, in the form of blockages, still causing as little listening and prohibitions on the right of assembly. Always the same bullies and the same Orwellian delusions! To say that this government has supported, like virtually all members of this assembly, a bill against the ordinary violence of spanking! Authoritarian, unequal and austere, this is the spirit of your past reforms and policy, as well as that of this bill. Authoritarian, he is first by his method. It is without consultation, in fact, that you agree to introduce, at the turn of an amendment, the creation of public institutions of basic knowledge, i.e. "schools of the base", which at all events push the school organisation. From now on, nursery and primary schools will be able to merge with their connecting college, thus forming educational superstructures: after factory hospitals, factory schools! We are absolutely not opposed to profound changes in the organization of the education system – on the contrary – as long as they are at the service of learning and well-being at school. However, no evaluation of the experiments already carried out on the foundation school, and therefore no certainty, can confirm the pedagogical relevance of such an organisation, aimed at facilitating the transition from primary to secondary school.
ParlaMint-FR_2019-02-11-O1142.u54	Yes!
ParlaMint-FR_2019-02-11-O1142.u55	In fact, you are concerned only with the pooling of resources. It doesn't matter to you the desertion of public educational institutions in rural areas, about which the educational community and the Association of Rural Mayors of France alert you. You don't know the importance of proximity. You have little interest in the fate of school principals, these school teachers who will become administrative sub-fiftres of the principals of colleges.
ParlaMint-FR_2019-02-11-O1142.u56	Ouch! Ouch! Ouch! Ouch! Ouch! Ouch!
ParlaMint-FR_2019-02-11-O1142.u57	Let's not exaggerate!
ParlaMint-FR_2019-02-11-O1142.u58	Moreover, they may be recruited contractually, as provided for in section 15 of this bill, authoritarian by its method, but also on the merits. In this regard, article 1 sets the tone. Welcome to the school of trust, which extends the reserve duty of management in your administration to teachers, who will now have to demonstrate "commitment" and "exemplarity" in order to "contribute to the establishment of the bond of trust that must unite students and their families with the public service of education." What do you mean? Any contestation or criticism of your policy or institution, even on social media, would therefore be punishable? You promised that Article 1 would be rewritten. In fact, you have simply guaranteed respect for the jurisprudence on the status of civil servants. Similarly, what confidence is there when the bill provides for the ministry's control over the evaluation of its own policy? With Article 9, you create a new assessment body – the school's assessment board – composed of twelve people, ten of whom will be chosen by you or represent you. Have we ever seen the assessor choose his assessor?
ParlaMint-FR_2019-02-11-O1142.u59	On this point, she's right!
ParlaMint-FR_2019-02-11-O1142.u60	World premiere!
ParlaMint-FR_2019-02-11-O1142.u61	If there was a need to broaden assessments, especially those measuring territorial inequalities – the text itself recognizes the existence of these – why not have them entrusted to the CNESCO – National School System Evaluation Board – which is an independent body – perhaps too much? – because of its composition. In this regard, what will happen to the research component of this organization, whose work, which is too often unknown, is still fuelling reflection and the necessary debate on the school? You tell us that it will be transformed into a chair to be created at the CNAM – Conservatoire national des arts et métiers. Can you specify the resources allocated to this Chair? Indeed, we fear that this will be a way of burying these activities permanently. Always authoritarian and centralizing, you operate by ordinance the territorial redevelopment of academic districts and deconcentrated services, as well as the simplification, redefinition and adaptation of the organization, operation and powers of the councils of national education. This will give you full free hands to manage the school organization according to your business logic, which is that of rationality. It is not until the experiments – which, to date, have been the subject of a single validation by the academic authorities – that you did not wish to control by decree. Funny trust that the one that leads you to decide everything and centralize everything at the same time when, at the same time, you create differentiations everywhere, with the exception of teacher training, that you want – and that is common sense – to homogenize. Instead of giving everywhere the means of excellence and diversity of pedagogical experiments, your logic is to create different institutions and specificities everywhere, hence inequalities, especially territorial ones. It's probably that scatter you want to control. But he ignores the foundations of our republican school, which one – should we remind him? – must ensure equal access to education, i.e. access for all to the diversity of teaching and teaching tools. With your reforms, we are moving away from this principle. With the reform of the high school, each school will have its own specialties. This will also be the case for the famous schools in the basement, which I have already mentioned. Depending on whether they live in the country or in the city, not all students will be accommodated in the same school. Some will be schooled in large educational cities far away from home, while others will be schooled in and around human scale schools. In another way, the establishment of international schools provided for in Article 6 is in line with this logic. You recognize the possibility of creating schools of excellence for some, instead of ensuring excellence everywhere, as we ask. By gravitating in the marble of the law this extreme inequality, which already exists – I recall that 80% of the students of the Polytechnic come from only ten high schools – you are aggravating the situation. That's for inequality. Let's go to austerity. The austere obsession – which you share with your predecessors – prevents you from thinking of lasting and effective solutions to the crisis of vocations that it itself has created, and which now poses recruitment problems. Yet this is a major axis. Your budget, which is difficult to negotiate with Bercy, does not allow teachers to raise their salaries, strengthen their status, or open enough posts. Then you endorse by law what is already being done: the situation of teaching young educational assistants who would be dedicated to teaching, but who are barely trained and qualified for it. These young people paid for the launcher will be able to provide replacements or even fill vacancies as soon as the licence is issued. It's not serious. For our part, we prefer another form of pre-recruitment: as soon as we enter university, young people who are destined for faculty will be paid to train and will be able to practice teaching under the control – and exclusively under the control – of experienced staff. In this spirit of liberal human resources management, you open the possibility of recruiting out-of-status contractors from all profiles: education staff, psychologists, heads of institutions. What guarantee of homogeneity in profiles, what security do you bring? For more than 20 years, the number of contractors has been increasing; You're making it a principle. Minister, I am telling you without a doubt: your measures, your reforms, and this bill are indeed organizing a school in the image of today's society – a two-tiered school: one that will be that of "excellence", the other that will collect the left-over.
ParlaMint-FR_2019-02-11-O1142.u62	No!
ParlaMint-FR_2019-02-11-O1142.u63	It is not the society of tomorrow to which we aspire, but rather to be both democratic, ecological and socially just. To do this, the school must enable everyone, of course, to acquire the basic knowledge. But it must also foster a lively and curious, critical and civic spirit; It must form future citizens who have the taste for initiative and autonomy rather than future machines to produce, consume and obey; Finally, of course, it must train future qualified professionals. This school at the service of the development and training of our youth cannot be content with an accounting and narrow horizon. Our counter-budget – which does not avoid the financial problem – would broaden this horizon. In order not to confine ourselves to a protestary posture, we will also be a very credible proposal force. Here are some of these proposals, which outline an alternative path. A fully republican school is first and foremost a school that makes equality for all an imperative of every moment. First of all, we must reaffirm the principle of free of charge, for example by extending it to school supplies and teaching materials, as well as the principle of neutrality: it is now absurd to impose Microsoft in our schools, while the development of free software allows a new relationship to knowledge. Access to the school must be guaranteed to all: it is scandalous that children with disabilities can see their school career upset for this reason alone. In addition to the conditions of physical accessibility, there is a need for human support; Now, between your promises and your actions, there is still a gulf. Let me pay tribute here to the tenacity of the staff accompanying students with disabilities – AESH – who are now abandoned and despised. We proposed to create a real status for them: it was retold. But an accessible school is also a pleasant school, where the best conditions for learning and the free development of each student's faculties are met. By doubling the classes of CP, then CE1, your priority, you admit that there is a clear correlation between the number of students per class and the ambition of success for all. Overcrowded classes are, in fact, less attentive pupils, a less regular and less personalized follow-up of the student, a teacher who struggles to assume his authority and to ensure his courses in complete peace. That is why we propose that classes of twenty pupils be tested in nursery and primary schools, as well as in vocational and technological lycées; This threshold will be increased to 25 students per class for general secondary schools. I would now like to dwell on a largely forgotten part, when it is not openly despised, of our national education: that of the professional sector. It is necessary to develop vocational education in school status, not under the authority of the Ministry of Labour: the pupil, even in apprenticeship, should not be regarded as an employee as another, or even as a more corvetable and less costly employee than another.
ParlaMint-FR_2019-02-11-O1142.u64	Yes!
ParlaMint-FR_2019-02-11-O1142.u65	It is in this spirit that we proposed the proscription of night work, its prohibition being the fruit of a long conquest: retraced proposal! In addition, the development of these fields, which prepare the indispensable technicians of tomorrow, requires, on the back of what you propose, to maintain sufficient general education, which gives every pupil a solid general culture. Where can we talk about these issues, Minister? The third focus of our proposals for school to be in line with the challenges of the 21st century is training, awareness-raising and education on climate emergencies and ecological transition. France, whose maritime sector is the second largest in the world, must be able to play its strengths and drive a considerable investment and training effort. To this end, we propose that each coastal department have a secondary school specifically dedicated to the professions of the sea, in order to anticipate and support the transformation of our productive model. Just as in the 19th century it was necessary for the Republic to show extraordinary voluntarism in order to disseminate its principles to all segments of the population, so we must now work to make the desire to preserve an ecosystem compatible with human life germinate in all consciences, because if our productive model must change, as well as our consumption model, if we must prevent the culture of disposable, accelerated obsolescence and standardized and aseptic products, then we must prepare our youth there. It is therefore essential to develop ecological teachings, and to promote food education everywhere in order to combat junk food. [[Approvals on the benches of the FI group – Walls on the benches of the LR group]] But to this instruction by speaking, the school will have to add experience, ensuring the material conditions for a true equality of access to a healthy, varied and quality diet. To do this, the canteen must become organic at all levels, to fight a habit that comes in particular from an all-azimut advertising baton to which the youngest are particularly vulnerable. Ensuring a vegetarian dish for all is a concern to reduce our meat consumption, and therefore global warming. The final part of our proposals deals with the learning of democracy. At a time when individualism and mercantilism seem to be taking precedence over any form of collective commitment – and increasingly repressed – we want to make high school the antechamber of democracy in our society. That is the meaning of a bill that I have tabled and whose provisions I have translated into amendments. When one discovers the existing high school democratic bodies – at the high school level, at the academy or at the national level – one understands that the high school students and the teaching community abandon them. How can students want to engage if they are only consulted for the form, if their ideas are not retained, or only on subjects very at the margin, very secondary? We therefore propose to establish a co-presidency of each high school body: a high school elected and the principal, a high school elected and the rector, a high school elected and the minister. We will also propose the participation of an elected high school student in the educational project of his institution and in the Higher Council of Programmes, the consultation of the academic councils of high school life in each bill emanating from the Ministry of National Education and the transparency of the debates in the National Council of High School Life. Training is also essential for any form of democracy. How can students participate in the life and functioning of a high school if they do not understand the functioning of a budget or the legal responsibilities of each other? We propose to make it compulsory for high school students to have half-days devoted to the role of the board of high school life and to the understanding of the operation of a high school. Similarly, in order to encourage the involvement of the educational community, we propose that high school democracy be addressed in the training of all future educational staff. We will also propose to flatten the funding of the unions, to establish new ways of obtaining permission for meetings of high school students and to give a legislative existence to the houses of high school students, in order to enable them to flourish. Finally, we have tabled a whole series of amendments promoting and facilitating the right of expression, in full autonomy. Minister, in conclusion, I would like to go back to the title of your law: as usual, it is pure novlangue. How can we trust you when 60% of the 332 Ariegean municipalities already have no schools? How can I trust you when I find confirmed yesterday, in the press, that the duplication of the CE1 for next year will not take place everywhere, especially in my department of Seine-Saint-Denis, yet faced with so many difficulties and obvious inequalities? [[Applause on the benches of the FI and GDR groups, as well as on several benches of the SOC group]] For all these reasons, the Group of the European People's Party calls for the rejection of this text.
ParlaMint-FR_2019-02-11-O1142.u66	On the motion for a preliminary rejection, I am seized by the Group of the European People's Party (La France) of a request for a public vote. The vote is announced in the National Assembly. We come to the explanations of vote. Mr Maxime Minot has the floor.
ParlaMint-FR_2019-02-11-O1142.u67	Constance and consistency: these two qualities seem to me fundamental to any political formation and we must apply them here. There is consistency in the will of the Republican Group to find concrete solutions to strengthen the school of the Republic. We do not want to be just an opposition force, but to make concrete and operational proposals – all the more so as the text does not have the ambition of its title. We also have coherence, and I will say a word about it just now, by going back to our collective obligation to legislate on this major issue that is committed to the future and on which the French will not allow any renunciation or contortion. Do not take the opportunity, here and today, to express ourselves on the educational model we want for our children, to mark our differences, but also to agree on some fundamentals if you accept – why not? – Some of our proposals would be irresponsible and contrary to what I mentioned earlier. [[Applause on the benches of the LR group]] The Republican Group will therefore not vote on the motion to reject it beforehand, which, unfortunately, and as an eternal signature, has poured too much into the caricature.
ParlaMint-FR_2019-02-11-O1142.u68	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-11-O1142.u69	The bill for a school of trust deals with a subject that matters to us all, and that puts us in line with the struggles of our elders for an accessible school, a factor of socialization and emancipation for all the children of the Republic. It is at school that the present and future of the students are largely determined. In addition, the school is also an educational community that opens up to its environment and seeks the well-being of all its members. However, our school has a little difficulty in fulfilling its mission. It is now necessary to revisit, reinvigorate and equip it with benchmarks more adapted to the reality of the twenty-first century. We discussed this bill in committee and generally agreed on the point of lawmaking and on the proposed text. Some provisions need to be debated, but the Group of the Democratic and Related Movement believes that there is no justification for referral back to committee or for prior rejection of this text. [[Applause on the banks of the MODEM group as well as on several benches of the LaREM group]] Let us work together and trust the social and legislative debate to bring about an intelligent transformation of the school system.
ParlaMint-FR_2019-02-11-O1142.u70	Mrs Sylvie Tolmont has the floor.
ParlaMint-FR_2019-02-11-O1142.u71	You assured us, minister, that, unlike your predecessors, you would not be at the origin of a great law designed to mark your mandate. From this point of view, we are not disappointed, as much as the text you propose to us looks like a tote, combining very disparate provisions. Behind your profession of faith in favor of a school of trust is an educational project that the Socialists and related groups consider retrograde and dangerous for the future. Moreover, your text, concocted in total opacity and without any consultation, raises great concerns and criticisms on the part of all actors in the educational community. You want to build confidence, but it is a mistrust that you have to talk about when you go over Parliament by overuse of orders. You restrict the freedom of expression of teachers by imposing article 1, yet disapproved by the Council of State. You are deleting the independent assessment body that has proven its worth in replacing it with a council that will be submitted to you, because of its composition; You want, more generally, to profoundly transform the school by imposing a culture of permanent evaluation, which will place students in difficulty in their apprenticeships, and will ultimately encourage competition from schools, to the detriment of a real evaluation of the arrangements put in place. You display an assumed will to step and vertical control of the school; You supervise the governance of ESPEs and reform the initial training of teachers, so as to transform students into low cost teachers, on the pretext of pre-professionalisation. I could list all the gaps in your text, but I won't have time. However, I will give three examples: nothing about schooling for children under the age of three, which is crucial to combating social inequalities; nothing about what you're thinking about to stop violence in school; nothing about inclusive school, and it is not the measures you announced today that will convince us of your ambition in this area. [[Applause on the SOC, FI and GDR benches]] Minister, because your project cannot be reduced to a disconnection from the 2013 Refoundation Act, because the school you draw is less trust than that of obedience and control, the Socialist and Related Group will vote on this motion to reject it beforehand.
ParlaMint-FR_2019-02-11-O1142.u72	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2019-02-11-O1142.u73	The IUD Group, Action and Independents, generally in favour of the bill, will vote against this motion to reject it beforehand. We look forward to discussions, among others, on school inclusion. As we have been debating this subject for several months, it is time for the outcome of our discussions to materialize into concrete provisions. [[Applause on the benches of the UDI-Agir and LaREM groups]] Now we want to discuss what will make our school tomorrow – which we hope will be the school of trust.
ParlaMint-FR_2019-02-11-O1142.u74	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-11-O1142.u75	My colleague and friend Sabine Rubin expressed things well. I sum them up in two words. [[Exclaims on the banks of the LaREM Group]] Minister, you name your project the school of trust – a funny expression. But I take you to the word: where does the mistrust come from today? The doubt which has settled in many of our fellow citizens about public school, this most precious asset, the foundation of the Republic, which materializes for many French people our great republican principles comes from the fact that, in many cases, our teachers who work under very harsh conditions, have seen, especially since 1983, their pay and working conditions deteriorate. Do you answer that? No. Are you catching up with the freeze on the point of index, which caused our teachers to lose purchasing power? No. Do you equip yourself with a meaningful hiring plan to ensure that, in the event of absenteeism, institutions can meet their needs as quickly as possible? No. On the contrary, you propose to use students. As my colleague has said, you are a teacher.
ParlaMint-FR_2019-02-11-O1142.u76	Let's not exaggerate!
ParlaMint-FR_2019-02-11-O1142.u77	Do you really think that you will restore trust in this way? Yes, you're precautioning the teaching profession. We are open to the help of students in schools and we have not waited for you on this point, but we have understood that, given the lack of resources, you intend to generalize this situation and place less educated and, of course, less paid people in educational situations. [[Mr. Jean-Luc Mélenchon applauds]] Secondly, the problem comes from a mode, which has been in place for years, aimed at creating competition between establishments. She sees regular rankings among establishments in many magazines that make them their cabbages. The public school is then only a magma, a leopard's skin of institutions, some of which are successful, others of failures. Will you provide an answer to that? No: you answer with the word "experience". What is needed between institutions is equality. "Freedom, equality, fraternity" is inscribed on the front page of our schools, not "freedom, experiment, fraternity". [[Applause on the benches of the FI group]] Your experiment is the dislocation of national education. That is why we are in favour of rejecting your bill.
ParlaMint-FR_2019-02-11-O1142.u78	You can say the same thing without yelling!
ParlaMint-FR_2019-02-11-O1142.u79	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-11-O1142.u80	After Mrs Sabine Rubin, who spoke of George Orwell, I too have the feeling, minister, – and perhaps you will see a compliment – that you have become a master in Orwellian communication, both the words that you speak to defend this bill are far from the facts and the text itself. In particular, you have spoken of "promoting social justice", when we find on the menu of this bill pressures on the free expression of teachers, a new international school modeled for the children of Brexiters, a guardianship of the evaluation of educational policies and an empowerment of the Government to re-shape the organization of metropolitan academies by ordinances. You prefer to choose a policy to manage the shortage rather than seriously address yourself to strengthen the attractiveness of the teaching profession and to combat inequalities, or to seek to raise the level, with a quality pre-recruitment. Mr.Minister, we could recognize ourselves in some of the words you have spoken to introduce your bill, but they are so far removed from the realities and treatments that you are proposing that the Democratic and Republican Left group will be happy to vote on this motion of rejection.
ParlaMint-FR_2019-02-11-O1142.u81	Mr Bertrand Pancher has the floor.
ParlaMint-FR_2019-02-11-O1142.u82	The Liberties and Territories Group supports the commitments and objectives of this bill, which are common sense.
ParlaMint-FR_2019-02-11-O1142.u83	Bravo!
ParlaMint-FR_2019-02-11-O1142.u84	During the debate, we will have the opportunity to express our questions and opinions, those of some of my colleagues who differ from mine on a few articles. Overall, however, I do not see the extent to which we could oppose these common sense objectives. Let us be clear that the functioning of our national education, which the world envys us, is strengthened from year to year. If an administration remains privileged in our country, it is indeed national education, in particular through the creation of posts and the evolution of the school system.
ParlaMint-FR_2019-02-11-O1142.u85	It is rather by the abolition of the posts that it stands out!
ParlaMint-FR_2019-02-11-O1142.u86	[[Applause on the benches of the LaREM group]] We will return to this bill in the course of the debate. We really cannot support this motion of prior rejection, whose caricatural arguments give the impression of an ideology flung on a text that has nothing to do with it.
ParlaMint-FR_2019-02-11-O1142.u87	Your arguments, too!
ParlaMint-FR_2019-02-11-O1142.u88	How can we see in this text the illustration of a devastating liberalism in our country? How can we argue that it will disrupt our education system? We still have the impression that, on some of the benches in this House, Members spend their time layering all-fact arguments on legislation that has nothing to do with them. [[Applause on the benches of the LaREMet UDI-Agir groups]] That is why we will oppose this motion of rejection.
ParlaMint-FR_2019-02-11-O1142.u89	Mr Stéphane Testé has the floor.
ParlaMint-FR_2019-02-11-O1142.u90	[[Exclaims on FI banks]] Why make a motion of rejection, if not to delay the necessary progress? For our part, we believe that the school of trust must also be that of coherence, a coherence that you seem to be missing today. A rejection motion against compulsory schooling from 3 years old? However, this was part of Mr Mélenchon's presidential programme. [[Applause on the benches of the LaREM and MODEM groups]] We don't just want to say it or write it down. We want to do this, and to make this measure operational by scratching it in the marble of the law, because it is also a measure of social justice, which consists of ensuring that all take the same start. After the doubling of the classes of CP and CE1, this is a new strong and ambitious sign. A motion to reject educational experiments? To oppose experimenting in the field of education and bringing up ideas from the field would be an aberration.
ParlaMint-FR_2019-02-11-O1142.u91	Really?
ParlaMint-FR_2019-02-11-O1142.u92	And without any evaluation!
ParlaMint-FR_2019-02-11-O1142.u93	A rejection motion against more appropriate and effective training? This must, however, encourage training of equal quality everywhere, connected, finally, to the realities of the field. A rejection motion against the creation of a rectorate in Mayotte? The Mahorese will appreciate it, because this rectorate will provide them with answers adapted to the realities of their territory.
ParlaMint-FR_2019-02-11-O1142.u94	Stop doing the lesson!
ParlaMint-FR_2019-02-11-O1142.u95	A motion to reject the establishment of local public schools of international education? What a pity to deprive ourselves of this locomotive and of this European or even international option! A motion to reject, finally, the pre-recruitment and expansion of the missions of the education assistants, while they must be a lever of attractiveness, also aimed at the least favoured students. [[Applause on the benches of the LaREM and MODEM groups]] The school of trust is, for us, a school that moves forward. That is why the La République en marche group will vote against the motion to reject it beforehand.
ParlaMint-FR_2019-02-11-O1142.u96	I put to the vote the motion to reject it beforehand.
ParlaMint-FR_2019-02-11-O1142.u97	The result of the vote is as follows: Number of voters 73 Number of votes cast 70 Absolute majority 36 For adoption 11 Against 59
ParlaMint-FR_2019-02-11-O1142.u98	I have received a motion from Mr Christian Jacob and members of the Republican Group to refer the matter back to committee pursuant to Rule 91(6) of the Rules of Procedure. Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-11-O1142.u99	Minister, in May 2017, a few days after you took office on Rue de Grenelle, you announced Urbi and Orbi: "There will be no Blanquer law, I will be proud of it. " It was probably a way to stand out, looking for the passage to scratch your predecessors, but between the intentions of departure and the actions, we observe a lag. So, eighteen months later, you, too, introduce your bill. What should we expect from this text: a recasting or simple adjustments? The President of the Republic set the tone on 5 December: "This important reform of the school is the very foundation of a real social justice policy. » [[Exclaims on the SOC benches]] The text provides for a reduction in the age of compulsory education to 3 years, compared to 6 years at the beginning of 2019. This measure was not included in the programme of candidate Emmanuel Macron. On the other hand, the idea was defended with conviction by Mrs Najat Vallaud-Belkacem in 2016. It was taken up in the program of socialist candidate Benoît Hamon.
ParlaMint-FR_2019-02-11-O1142.u100	Holland, Macron: same fight!
