ParlaMint-FR_2019-10-14-O1022.u1	The next item is the continuation of the discussion of the finance bill (No. 2272, 2301).
ParlaMint-FR_2019-10-14-O1022.u100	Mr Daniel Labaronne has the floor.
ParlaMint-FR_2019-10-14-O1022.u101	The examination of Article 11 provides an opportunity to stress that the taxes of all companies resident in the national territory will fall. We look forward to it. This is indeed good news for their competitiveness, so for their competitive ability to attack domestic and international markets. The market shares they will gain will benefit our growth and jobs. I recall that our economy is exposed to the state of the international economy, contrary to what has been said, since our exports account for 25 per cent of our GDP. It is also good news for the attractiveness of our territory. A recent report ranks us 15th out of a hundred and forty-two in this area, just behind Canada; France was seventeenth in 2018, twenty-second in 2017. This favourable situation allows us to attract more foreign direct investment, or FDI: in this area, we rose to fifth place in 2019, behind the United States, Germany and Canada, but ahead of China. This is good news, finally, for the business climate and the confidence of entrepreneurs in the orientations of our economic policy.
ParlaMint-FR_2019-10-14-O1022.u102	It's all right then!
ParlaMint-FR_2019-10-14-O1022.u103	What about the trajectory?
ParlaMint-FR_2019-10-14-O1022.u104	What about the real numbers?
ParlaMint-FR_2019-10-14-O1022.u105	[[Applause on the benches of the LaREM group. – Exclaims on the benches of the LR group]] What matters in this article is that corporate taxes will fall. I repeat, this will strengthen our competitiveness and attractiveness, and it confirms the stability of our policy in favour of supply, growth and employment, as well as the fulfilment of our European commitments.
ParlaMint-FR_2019-10-14-O1022.u106	Mr Charles de Courson has the floor.
ParlaMint-FR_2019-10-14-O1022.u107	[[Exclaims on the banks of the GDR Group]] [[Exclaims on the benches of the LR and SOC groups]] Those who criticize the Government for reducing the IS rate are wrong at the time. What was initially planned, I remind you, was a faster decline than the one proposed to us: today, we stop the decline.
ParlaMint-FR_2019-10-14-O1022.u108	For the second time!
ParlaMint-FR_2019-10-14-O1022.u109	Moreover, a rate of 25% for all companies in 2022, is it consistent with the rates applied today by our partners, particularly European ones? No: these are already lower. I shall therefore vote against Article 11, but for a reason contrary to that which motivates some of my colleagues: because it slows down.
ParlaMint-FR_2019-10-14-O1022.u110	Oh!
ParlaMint-FR_2019-10-14-O1022.u111	To vote against Article 11 is, in fact, to maintain the reduction originally planned.
ParlaMint-FR_2019-10-14-O1022.u112	Yes! He's right!
ParlaMint-FR_2019-10-14-O1022.u113	[[Approval on several benches of the LR group]] Don't make any illusions: by further curbing the decline in the rate of the French IS, we will strengthen the tax optimisation of the major groups.
ParlaMint-FR_2019-10-14-O1022.u114	We come to seven amendments, Nos 20, 435, 599, 844, 947, 1310 and 1438, to delete Article 11. On these identical amendments, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. Mrs Valérie Bazin-Malgras has the floor to support Amendment No. 20.
ParlaMint-FR_2019-10-14-O1022.u115	The aim is to remove section 11, which slows down the decline path of the SI voted under the 2018 Finance Bill. It therefore contradicts the commitments of the State and will penalise the competitiveness of enterprises.
ParlaMint-FR_2019-10-14-O1022.u116	But the rate's falling!
ParlaMint-FR_2019-10-14-O1022.u117	Our colleague from Courson referred to this, the average corporate tax rate in Europe is 26%.
ParlaMint-FR_2019-10-14-O1022.u118	I call Mr Damien Abad to support Amendment No. 435.
ParlaMint-FR_2019-10-14-O1022.u119	[[Exclaims on the banks of the LaREM Group]] Article 11 is the first anti-competitive article for companies.
ParlaMint-FR_2019-10-14-O1022.u120	Seriously?
ParlaMint-FR_2019-10-14-O1022.u121	[[New exclamations on the banks of the LaREM Group]] You have to be clear: you can't argue that this is a decline while the purpose of the article is to curb the decline.
ParlaMint-FR_2019-10-14-O1022.u122	But does the rate go down, yes or no?
ParlaMint-FR_2019-10-14-O1022.u123	The truth is that the decrease in corporate tax was reflected in the 2018 Finance Act, and you are going back to the expected trajectory: the decline in the IS will be less marked once Article 11 is adopted. Then you can't talk about fiscal stability even though you change rates from year to year: that's everything except stability, that's permanent instability!
ParlaMint-FR_2019-10-14-O1022.u124	You can't count!
ParlaMint-FR_2019-10-14-O1022.u125	Finally, you create a two-tier corporation tax, which will harm all French companies. As we can see, this is an article of abandonment: the Government renounces its supply policy, its competitiveness policy, and simply the tax cuts, particularly that of the IS.
ParlaMint-FR_2019-10-14-O1022.u126	Oh, there...
ParlaMint-FR_2019-10-14-O1022.u127	Anything! Actually, you don't know what to say! This is ridiculous!
ParlaMint-FR_2019-10-14-O1022.u128	That's disappointing!
ParlaMint-FR_2019-10-14-O1022.u129	It's a good start!
ParlaMint-FR_2019-10-14-O1022.u130	Amendment No 599 by Mr Jean-Jacques Ferrara is being defended. Mrs Véronique Louwagie has the floor to support Amendment No. 844.
ParlaMint-FR_2019-10-14-O1022.u131	Article 11 contains several messages. First of all, the Government returns to its word. Minister, defending here two years ago, a downward trajectory of corporate tax until 2022, you ensured that businesses needed stability and the ability to identify a direction. Everyone agreed with the principle of five-year visibility – the fact, in short, of announcing colour. And now, for the second time, you're back on the path you've defined. It's a very bad signal. In addition, I would like to read you some of the elements that appeared in a study carried out by the IFRAP Foundation with the participation of Diagnostic Systems. The Commission notes the "persistent differences between mandatory levies on hexagonal companies and [those applicable to] their European counterparts". And it is added: "The taxation of France, compared to those of the countries of the euro area, is still largely unfavourable to our companies. Of the 148 billion additional compulsory levies that weigh on France compared to the European average, more than 136 billion are borne by our companies. And even by "extracting" tax credits, the gap remains 100 billion taxes and contributions paid in addition. » Finally, I will return to the effect of the transformation of the CICE. You have presented it as good news for businesses, but that is not the case, minister, and you know it. The transformation of this measure, which costs EUR 20 billion, results in a mechanical increase in corporate tax, since it aims to increase corporate tax...
ParlaMint-FR_2019-10-14-O1022.u132	Thank you, my dear colleague.
ParlaMint-FR_2019-10-14-O1022.u133	I'm finishing, Mr. President.
ParlaMint-FR_2019-10-14-O1022.u134	In the time allotted to you!
ParlaMint-FR_2019-10-14-O1022.u135	... as a goal, I said, to increase corporate income by 20 billion, which implies an additional 7 billion corporate taxes.
ParlaMint-FR_2019-10-14-O1022.u136	Thank you.
ParlaMint-FR_2019-10-14-O1022.u137	Companies will therefore pay €7 billion in corporate tax in addition.
ParlaMint-FR_2019-10-14-O1022.u138	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 947.
ParlaMint-FR_2019-10-14-O1022.u139	[[Smile]] In his report, the rapporteur-general – to whom I wish a happy birthday –...
ParlaMint-FR_2019-10-14-O1022.u140	It's been a long time!
ParlaMint-FR_2019-10-14-O1022.u141	... speaks of "an adjustment of the trajectory announced last April that does not call into question the rate of 25% from 2022." It is very strong: in other words, we change the parameters so that we do not respect what was announced, but that does not change at the end of the day, because we will reach the same point in 2022! But who will believe that, Mr. Rapporteur-General? As Véronique Louwagie just explained, you are removing the CICE – the tax credit for competitiveness and employment – to replace it with a reduction in expenses. However, when we reduce the costs, we mechanically increase the result of the company, so the tax on the companies it has to pay: it is basic! That's exactly the calculation you've done to get extra revenue. You are constantly talking about the competitiveness of our economy and our businesses, but you are not following the path you have announced. However, credibility is measured by respect for the words given and the commitments made. In this case, you point to zero.
ParlaMint-FR_2019-10-14-O1022.u142	Like you've never changed anything!
ParlaMint-FR_2019-10-14-O1022.u143	Mr Eric Woerth has the floor to support Amendment No. 1310.
ParlaMint-FR_2019-10-14-O1022.u144	As everyone knows, French companies are overimposed, both because of the tax itself and because of social contributions. We must therefore make an effort in this area because it is there, and nowhere else, that the key to purchasing power lies. We need to give our companies freedom, room for manoeuvre, the result, so that they can distribute more income. However, ladies and gentlemen, you have consumed your margin of manoeuvre by making mistakes of appreciation with regard to the taxes to be reduced. Thus, the reduction of the housing tax is a choice, albeit in line with a campaign commitment, which mobilises €20 billion of potential room for manoeuvre, which prevents further action on the business side. So you have led to inventing a curious way of proceeding: not respecting what you had announced about the IS and implementing a two-speed system for this sampling. My amendment seeks to restore only one of them, regardless of the type of society imposed. I'm not sure you were able to hold to 25% in 2022,...
ParlaMint-FR_2019-10-14-O1022.u145	That's the problem!
ParlaMint-FR_2019-10-14-O1022.u146	...while walking is going to be high. In addition, which companies do you affect? Those of the kind we dream of, like companies in Germany or Northern Italy, able to face international competition and are also developing a lot in their own country. This is a very bad signal. These companies, those that are affected by your measure, contribute 47% of the corporation tax. What you are doing is certainly effective when it comes to obtaining tax revenues; The problem is that IS is growing not only because of growth, but also, as Véronique Louwagie said, because of the transformation of CICE.
ParlaMint-FR_2019-10-14-O1022.u147	No, no, no, no, no, no, no, Stop with that!
ParlaMint-FR_2019-10-14-O1022.u148	Finally, if we reach the rate of 25% in 2022, we will already be late in other countries.
ParlaMint-FR_2019-10-14-O1022.u149	Thank you!
ParlaMint-FR_2019-10-14-O1022.u150	You were therefore wrong to embark on this matter, that is to say, to reduce the IS at a small pace and at a double speed.
ParlaMint-FR_2019-10-14-O1022.u151	I call Mrs Emmanuelle Ménard to support Amendment No. 1438.
ParlaMint-FR_2019-10-14-O1022.u152	This has been said, Article 11 sends a very unfavourable signal to our companies: instead of offering them the stability they need, you return to the announced downward trajectory of the corporate tax rate, renouncing to reduce it to 28%, that is to say, to the level you had set for 2020, for those with a turnover of at least 250 million euros beyond 500,000 euros profit. It should be recalled that France is one of the European countries with the highest corporate tax rates: 25 % in Spain, 19 % in England, 12.5 % in Ireland and 9 % in Hungary. It is time for us to align ourselves with European taxation.
ParlaMint-FR_2019-10-14-O1022.u153	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2019-10-14-O1022.u154	First of all, I would like to recall that the corporate tax rate is going to fall well for all businesses in 2020,...
ParlaMint-FR_2019-10-14-O1022.u155	Not in relation to the intended trajectory!
ParlaMint-FR_2019-10-14-O1022.u156	... and the same will happen in 2021: a reduction of 2.5 billion euros in 2020 and more than 3.5 billion euros in 2021. It is completely wrong to say the opposite. I have noted a question on the breakdown by decile and category of enterprises.
ParlaMint-FR_2019-10-14-O1022.u157	That's right!
ParlaMint-FR_2019-10-14-O1022.u158	The numbers you're asking for are in the report!
ParlaMint-FR_2019-10-14-O1022.u159	No!
ParlaMint-FR_2019-10-14-O1022.u160	There is in the report the whole of the division of this tax reduction by category, by decile and, I have held, by fraction of turnover. Similarly, I wanted to reply to a question put in committee by Mr Fabien Roussel, namely how the tax reduction was distributed in relation to turnover: companies with at least EUR 250 million in turnover account for 47% of the reduction in corporate tax, since they are the ones who pay the most. This rate, which you requested, is also included in the report. I invite you to read it, as well as the State Services Activity Report 2018, which also mentioned them. Starting in 2025, the rate will be reduced to 25%, a particularly significant decrease: EUR 11 billion over the quinquennium as a whole.
ParlaMint-FR_2019-10-14-O1022.u161	It's written in the report, but do we have to believe it?
ParlaMint-FR_2019-10-14-O1022.u162	[[Applause on many benches of the LaREM group]] This is the largest decline in IS since 1990. If the pace of the decline was so urgent, it seems to me that you could have done so when you and your majority at the time were in charge.
ParlaMint-FR_2019-10-14-O1022.u163	Exactly!
ParlaMint-FR_2019-10-14-O1022.u164	Of course, it will be less strong for a certain category of enterprises, the larger ones, but there will be one for others, and more important than before, when nothing has been done.
ParlaMint-FR_2019-10-14-O1022.u165	That's right!
ParlaMint-FR_2019-10-14-O1022.u166	However, it is important to be serious: I would remind you that large companies have benefited from the transformation of the CICE into a reduction of expenses, which is all the less negligible since the 2019 financial year was nevertheless a very good one for French competitiveness and that the debts under the CICE of the previous vintages continue to be due in 2020 and 2021. Finally, allow me to point out to you how costly the amendments tabled by the members of the Group would be. The Republicans on the taxation of profits: new exemptions, new tax credits, extension of niches, removal of the boundary of some niches and restoration of others deleted, not to mention the removal of this article, which would cost 3 billion... If your amendments were adopted, the deficit and debt would really increase a lot and taxes would increase! [[Vif applause on the benches of the LaREM group. – Exclaims on the benches of the LR group]] The opinion is unfavourable.
ParlaMint-FR_2019-10-14-O1022.u167	Now you're right! Don't listen to them!
ParlaMint-FR_2019-10-14-O1022.u168	What is the Government's opinion?
ParlaMint-FR_2019-10-14-O1022.u169	I regret that the rapporteur-general will soon be leaving because he has said what is essential and I have little to add. I think, Mr Abad, Mrs Dalloz, Mrs Louwagie, that in substance you do not think what you are saying.
ParlaMint-FR_2019-10-14-O1022.u170	Neither do you, Minister!
ParlaMint-FR_2019-10-14-O1022.u171	You blame us for reducing corporate taxes as you dream, as I do, of doing so so so that French companies can regain their competitiveness. We do. You should rejoice and say:...
ParlaMint-FR_2019-10-14-O1022.u172	Not us!
ParlaMint-FR_2019-10-14-O1022.u173	[[Applause on the benches of the LaREM and MODEM groups. – Exclaims on the benches of the LR group]] [[Exclaims on the benches of the LR group]] ...brevo the majority! Brave the Government! Finally, we cut corporate taxes! Because it's reality. We set the target of 25% of IS rates for all businesses in 2022 and we will keep it. I recall that it's been twenty-five years – twenty-five! – the corporate tax rate is 33.3%. Now that it finally drops, rejoice, do not squander your pleasure! And then you tell us that it does not fall sufficiently for companies whose turnover exceeds 250 million euros. But these are 764 companies, the most important,...
ParlaMint-FR_2019-10-14-O1022.u174	Indeed! It's a huge sum!
ParlaMint-FR_2019-10-14-O1022.u175	[[Applause on the benches of the LaREM and MODEM groups]] ... those with the highest possible market capitalization, those with one of the highest levels of profitability, who are required to make an effort. If it bothers you to ask the 764 largest companies in the country, and only so that their decline in IS is a little slower than for the others, I take this step, for my part, because it is fair and it preserves our public accounts. Smaller firms benefit from more declines, the larger ones are less, but ultimately all will be 25% by 2022. I think that is the right choice and the right policy. Finally, on the CICE, I think that, too, you don't believe what you're saying. For years, companies have been demanding that the CICE be transformed into a definitive relief of charges, with very good arguments. Some have changed their minds now, but it has been demanded since its creation. Read all the statements of company managers, including those of SMEs, as soon as the CICE was created: gas factory! We want the transformation into a relief of long-lasting loads!
ParlaMint-FR_2019-10-14-O1022.u176	But no, it wasn't a gas factory!
ParlaMint-FR_2019-10-14-O1022.u177	And here, too, now that we do, don't let your pleasure go by seeing a new relief rather than a new tax credit. It's better than the CICE, first of all because it's simultaneous with the loads and it's better to get it right away than to wait a year before touching it. It's better also because it's easier! Let us not forget, however, that 20 billion euros of cash were returned to companies! I think they should be satisfied with this gesture made for their competitiveness and for the simplicity of their economic life. Let those who want to cry do it another day.
ParlaMint-FR_2019-10-14-O1022.u178	Exactly!
ParlaMint-FR_2019-10-14-O1022.u179	All right!
ParlaMint-FR_2019-10-14-O1022.u180	[[Applause on the benches of the LaREM and MODEM groups]] The measure we propose in this article is both very fair and very effective, and corresponds to what has been required in our country for twenty years. It is not because we are doing it that we must not recognize that it is right and that it is right.
ParlaMint-FR_2019-10-14-O1022.u181	Mr Laurent Saint-Martin has the floor.
ParlaMint-FR_2019-10-14-O1022.u182	Listening to the authors of these deletion amendments almost exclusively from the LR, it is said that they have had a real difficulty finding attack angles to criticise the draft budget.
ParlaMint-FR_2019-10-14-O1022.u183	Modesty will lose you!
ParlaMint-FR_2019-10-14-O1022.u184	[[Claims on several benches in the LR group]] Frankly, taking that of the attractiveness and competitiveness of companies when we maintain the target of lowering corporate tax to 25% at the end of the quinquennium is really not having any bones to eat. But if I have asked for the floor, it is mainly to denounce an important counter-truth put forward by Mrs Dalloz. Indeed, it suggests that as we have transformed the CICE into a decrease in expenses, this would increase the net profit before corporate tax and thus allow for more tax revenue to be collected.
ParlaMint-FR_2019-10-14-O1022.u185	Yeah! It's mathematical!
ParlaMint-FR_2019-10-14-O1022.u186	This could be true if companies had benefited from it as early as 2019, which is not the case. This year, IS revenues increased from $27 billion to $32 billion without the effect of the removal of the CICE.
ParlaMint-FR_2019-10-14-O1022.u187	We're talking about 2020!
ParlaMint-FR_2019-10-14-O1022.u188	So what you're saying is wrong, Mrs. Dalloz. If the revenues are higher, it is because the companies are better off because they invest more and hire better,...
ParlaMint-FR_2019-10-14-O1022.u189	Exactly!
ParlaMint-FR_2019-10-14-O1022.u190	[[Applause on the benches of the LaREM and MODEM groups]] ... and it has been linked to this government's pro-competitive fiscal and regulatory policy for the past two years.
ParlaMint-FR_2019-10-14-O1022.u191	We've never relocated so much!
ParlaMint-FR_2019-10-14-O1022.u192	Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2019-10-14-O1022.u193	I register falsely against what I just heard. You are talking a lot about lower rates, Mr General, Mr Minister, but we should look at the volumes. I agree with what Mrs. Dalloz said:...
ParlaMint-FR_2019-10-14-O1022.u194	They don't want to understand!
ParlaMint-FR_2019-10-14-O1022.u195	... it is only a mechanical effect because, by lowering the costs, we increase the profits and automatically the revenues of the IS.
ParlaMint-FR_2019-10-14-O1022.u196	Who can complain about it?
ParlaMint-FR_2019-10-14-O1022.u197	We do not complain about this, but it is a fact that the transformation of the CICE into a burden-relief absorbs the gains from the IS, in the end. Secondly, I believe that a reduction in the levy, whether on contributions or on a tax, in this case the IS, is not synonymous with better competitiveness. It all depends on what companies do with the profits and margins they get. If it consists of a distribution of dividends, and nothing forbids them, sorry to tell you that there will not necessarily be any gains in competitiveness or employment. On the other hand, if these profits are redistributed through more investment or payroll, it completely changes the situation. We would have liked it to be the counterpart when the CICE was introduced, i.e. a deal with the employer so that these additional gains would go to investment and employment.
ParlaMint-FR_2019-10-14-O1022.u198	Why didn't you do it when you were in power?
ParlaMint-FR_2019-10-14-O1022.u199	I'd like to know how you're going to force them to focus on investment and improving their production tool.
ParlaMint-FR_2019-10-14-O1022.u200	You don't have to force them!
ParlaMint-FR_2019-10-14-O1022.u201	Mr Charles de Courson has the floor.
ParlaMint-FR_2019-10-14-O1022.u202	Minister, when we look at all the tax measures proposed in this draft budget, what do we see? Households benefit from just over 9 billion tax cuts, including $5 billion from the IR and $3.2 billion from the housing tax. And the companies, they, just a little over 1 billion. That is why I shall vote against Rule 11.
ParlaMint-FR_2019-10-14-O1022.u203	What a class position!
ParlaMint-FR_2019-10-14-O1022.u204	By slowing down the downward trajectory that we voted for, it amounts to increasing the IS by 2.5 billion compared to the existing situation. If Article 11 is deleted, it will increase from 9 billion for households and 1 billion for businesses to 9 billion for households and 3 billion for businesses. It's no more complicated than that, minister.
ParlaMint-FR_2019-10-14-O1022.u205	It's contradictory to what you said earlier!
ParlaMint-FR_2019-10-14-O1022.u206	No, it's totally online. I have always told you that I am against the braking of what we voted for. I, too, voted in favour of this decline.
ParlaMint-FR_2019-10-14-O1022.u207	You were against massive tax cuts!
ParlaMint-FR_2019-10-14-O1022.u208	No, I didn't say that. I felt that your budget proposal was completely unbalanced between households and businesses. You have always said, at the beginning of the legislature, that it is necessary to pursue a policy of supply and to support companies because the key to French recovery was through this, and that is why I voted for the PACTE law – on business growth and transformation – with the reduction of the SI rate. But this article is a little prank in this policy – you stop the decline that you defended yourself – while I'm consistent.
ParlaMint-FR_2019-10-14-O1022.u209	The commitment will be kept!
ParlaMint-FR_2019-10-14-O1022.u210	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2019-10-14-O1022.u211	I would still like to go back to the figures, minister. You can't say you're reducing corporate tax compared to the 2019 Finance Act. You are proposing, in addition to a result of EUR 500000 for companies with a turnover of EUR 250 million or more, a corporate tax rate of 31 % instead of the 28 % rate that had been voted. So that's three more points than you planned and that our assembly had voted. And the trajectory is similar for 2021 as you increase the corporate tax rate by one point compared to what was planned. Therefore, through this article, you intend to have us vote for an increase in the IS. And that's what our group doesn't accept. We shared your vision of tax reduction, but that's not what you're proposing today. [[Claims on several banks of the LaREM Group]] I would also like to return to the CICE, Mr Saint-Martin. This is even worse than you think since every year, because of its transformation into a reduction in social security contributions, companies will have an increase in their profit of 20 billion euros! This will be done every year from 2020 onwards. Whether you're challenging it or not, it's a fact for you.
ParlaMint-FR_2019-10-14-O1022.u212	They'll invest more! They're not going to tease!
ParlaMint-FR_2019-10-14-O1022.u213	I understand your anger when it is revealed because, downstream, it is a corporation tax of about $7 billion, an additional tax burden that they will have to bear every year. Don't be displeased, this arithmetic is binding on us and, alas, on companies.
ParlaMint-FR_2019-10-14-O1022.u214	That's right!
ParlaMint-FR_2019-10-14-O1022.u215	You're forgetting the investments!
ParlaMint-FR_2019-10-14-O1022.u216	Mrs Anne-Laure Cattelot has the floor.
ParlaMint-FR_2019-10-14-O1022.u217	[[Exclaims on the benches of the LR group]] I am quite surprised: I thought Republicans were a probusiness party, and we have the feeling that they no longer know what saint to devote to. They would only have to listen in their constituencies to understand the benefits that companies derive from measures such as lower burdens and lower corporate taxes. You tell us, Mr. Bricout: pay attention to the theasurization or the payment of dividends. But, in your riding of Aisne, they are mostly small businesses...
ParlaMint-FR_2019-10-14-O1022.u218	Oh, no!
ParlaMint-FR_2019-10-14-O1022.u219	... and, fortunately, they have hired and invested because many of them have completed order books, thanks to two years of offer policy in favour of job creation and value creation. - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no no no no no no no no no
ParlaMint-FR_2019-10-14-O1022.u220	The little ones but not the big ones!
ParlaMint-FR_2019-10-14-O1022.u221	[[Applause on the benches of the LaREM group]] That is what is happening now in our territories and in companies, and it is thanks to the majority!
ParlaMint-FR_2019-10-14-O1022.u222	Ladies and gentlemen, since the finance bill is not subject to scheduled legislative time, I would remind you that statements are supposed to be concise and, above all, limited. The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2019-10-14-O1022.u223	I'll be quick. As was said earlier, there has been a clear reversal in your policy: you have taken measures in favour of businesses,...
ParlaMint-FR_2019-10-14-O1022.u224	More to investors, even!
ParlaMint-FR_2019-10-14-O1022.u225	... or rather to investors, indeed, during the first part of the quinquennium, but this is no longer the case. You have distributed purchasing power – a lot, indeed, even though I can understand it, given the social crisis – and have consumed all your room for manoeuvre, especially with the removal of the housing tax. It is clear that there is no money available now to promote business competitiveness and that you are going back on the reduction in corporate tax. We say neither more nor less than that. I note that the 764 companies you are talking about still account for 50% of corporate tax, which is quite considerable. I also note that the transformation of the CICE has not been generally in favour of companies.
ParlaMint-FR_2019-10-14-O1022.u226	That's not true!
ParlaMint-FR_2019-10-14-O1022.u227	We were in favour of transforming the CICE into a reduction in expenses, provided, however, that it offset the effect on corporate tax, which was not possible only by a reduction in the rate of 25%, Véronique Louwagie said very well. On the other hand, the CICE focused on 7 points of payroll, and you transformed it by reducing its base to 6 points: ultimately, the transformation of the CICE results in an economy rather than an expenditure on public finances.
ParlaMint-FR_2019-10-14-O1022.u228	No, no, no, no, no, no, no,
ParlaMint-FR_2019-10-14-O1022.u229	These choices would not have been ours, and it can therefore be considered that the amendments discussed are of common sense. Enterprises are the purchasing power of households. If you do not perceive this, things will go wrong in the event of an economic downturn.
ParlaMint-FR_2019-10-14-O1022.u230	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2019-10-14-O1022.u231	I will of course not vote in favour of these deletion amendments, since Article 11 has at least the merit of setting a clear and clear path for corporate tax. I have the feeling that we are resuming the debate on source sampling. There is indeed a slight slowdown in the decline in corporate tax...
ParlaMint-FR_2019-10-14-O1022.u232	Yes!
ParlaMint-FR_2019-10-14-O1022.u233	...but the context dictates it. I remind you that corporate tax has already been changed when it was necessary, at the end of 2017,...
ParlaMint-FR_2019-10-14-O1022.u234	July!
ParlaMint-FR_2019-10-14-O1022.u235	...create the famous 3% tax. Remember: large companies have been involved, through an exceptional corporate tax. Similarly, section 2 of the so-called GAFA Act, which is the most profitable, maintains a relatively high level of corporate tax, without any concern for it. To be honest, I don't feel like we're talking to the same people. For my part, I meet entrepreneurs who are very pleased with the measures taken, in particular the 25% reduction in corporate tax by 2022.
ParlaMint-FR_2019-10-14-O1022.u236	We're not there yet...
ParlaMint-FR_2019-10-14-O1022.u237	[[Applause on the benches of the LaREM and MODEM groups]] I also meet with entrepreneurs who are very satisfied with the transformation of the CICE, which has been so criticized, into a drop in costs, that is to say, a clear mechanism offering good visibility to companies. This is, frankly, a bad trial in Article 11 – that is certainly the game of politics – which sets a good trajectory for the evolution of corporate tax. Let's not spoil our pleasure: we have a clear, business-friendly text here, many entrepreneurs are well aware of it.
ParlaMint-FR_2019-10-14-O1022.u238	Mr Fabien Roussel has the floor.
ParlaMint-FR_2019-10-14-O1022.u239	Mr General, you have tried to answer my question, but I am not satisfied with your answer, sorry. Pages 491 and 492 of your report do present the details of the EUR 2.2 billion adjustment resulting from the slowdown in the reduction in corporate tax, but not the details of the actual decrease to which large companies will benefit. The latter amounts to €2.5 billion. To what extent, very precisely, will the seventy companies with a turnover of more than EUR 3 billion benefit from this reduction in corporate tax? That detail, we don't have it.
ParlaMint-FR_2019-10-14-O1022.u240	I put to the vote identical amendments Nos 20, 435, 599, 844, 947, 1310 and 1438.
ParlaMint-FR_2019-10-14-O1022.u241	The result of the vote is as follows: Number of voters 72 Number of votes cast 72 Absolute majority 37 For adoption 18 Against 54
ParlaMint-FR_2019-10-14-O1022.u242	I have before me two amendments, Nos 2222 and 1244, which can be discussed jointly. I call Mr Eric Coquerel to support Amendment No. 2222.
ParlaMint-FR_2019-10-14-O1022.u243	We will emerge from the opposition between the Republicans and the Republic on the move, whose arguments, in fact, feed each other. I must also congratulate the elected members of the Republicans Group, who have managed to suggest that the position of the Republic Group on corporate tax would be moderate... For our part, we consider Article 11 to be minimalist, since it is only intended to postpone a tax reduction for very large companies by one year. This provision is only temporary and, above all, will have no real impact on our public finances, since even with this freeze, corporate tax revenues will have fallen by EUR 30 billion during the Macron quinquennium. Starting in 2023, this gift to companies will even exceed 11 billion euros per year. We also reject the gradual decline, until 2022, that the Government is planning for the tax rate for the largest companies. In our view, there is no justification for lowering this rate from 33.3 – its current level – to 25% in 2022. I would point out that the corporate tax rate has been falling steadily over the last 30 years, from 50% in 1985 to 36.7% in 2000, to 33.3% in 2010. And we want to keep reducing it! Taking into account the many tax niches in the IS, we can see a net return on this tax that has been falling free for the last ten years: it has increased from €63.3 billion in 2007 to €28.4 billion in 2017 – here I quote the report by the rapporteur-general of the Finance Committee on the PLF for 2019. Finally, we must stop with this competition story and with the idea that our corporate tax rate would be too high. First of all, we refuse to accept this dumping, which has been taking place for too long and is pulling us down. But above all, this is a misconception: we have seen in the European Union a general decline in the nominal rates of the IS – from 44.3% to 25.68 % on average between 1986 and 2016 – but this is only the apparent rate, known as the "facial" rate, which applies on a very narrow basis. Gross IS accounts for only 2.2% of French GDP, while the OECD average is 2.5% and 22 countries have a higher corporate tax ratio than France.
ParlaMint-FR_2019-10-14-O1022.u244	Please close.
ParlaMint-FR_2019-10-14-O1022.u245	However – I will finish on this – we do not oppose a reduction in corporate tax, but we intend to make a difference between large companies and SMEs and TPEs.
ParlaMint-FR_2019-10-14-O1022.u246	Thank you.
ParlaMint-FR_2019-10-14-O1022.u247	That is why we propose differentiated rates: the tax would be maintained at 15% for small businesses, reduced from 28 to 25% for medium-sized enterprises, and frozen at 33.3% for very large enterprises.
ParlaMint-FR_2019-10-14-O1022.u248	I call Mr Fabien Roussel to support Amendment No. 1244.
ParlaMint-FR_2019-10-14-O1022.u249	A good tax, even if it relates to corporate profits, is a fair tax, that is, in our opinion, a progressive tax: the more progressive it is, the more tax is paid and the more fair it is. But you choose to lower the taxes of large groups indiscriminately...
ParlaMint-FR_2019-10-14-O1022.u250	Your colleagues on the other side of the House were immediately criticising me in the opposite way! We'd have to tune your violins!
