ParlaMint-FR_2019-10-28-O1044.u1	The next item is the debate on the second part of the finance bill for 2020 (No. 2272, 2301).
ParlaMint-FR_2019-10-28-O1044.u28	Mrs Fannette Charvier has the floor.
ParlaMint-FR_2019-10-28-O1044.u29	The budget you are submitting to us, Madam Minister, for the research and higher education mission amounts to almost €28.7 billion, of which almost €25.5 billion corresponds to the appropriations of the Ministry of Higher Education, Research and Innovation. These appropriations are increased by 500 million for 2020, resulting in an increase of 1.7 billion euros since the beginning of the quinquennium. During the presidential campaign, the candidate Emmanuel Macron promised that the budget for higher education and research would be sanctified. We note with great satisfaction that this promise is not only fulfilled, but significantly exceeded. This increase reflects the majority's commitment to a ministry responsible for building the future of our country through the formation of the younger generations, the expansion and dissemination of knowledge, and the technological progress that enables the transformation of our society. We will follow this path carefully, hoping that it will continue, with the 3% of national GDP devoted to research and development as its horizon; The effort in this area, and therefore the dynamics of innovations, are more than ever a condition for a country's economic performance. Among the programs that the mission includes, I will only take up the most emblematic of this budget. As far as higher education is concerned, all credits are increasing. The finance bill for 2020 continues to build on the student plan put in place in 2018 to solve the problem of university saturation. No less than 38,000 places were created in the first and second years in the voltage systems. Accompaniment schemes and pathways have been set up to promote student success, as provided for in the Student Guidance and Success Act. An additional €43 million will open up new places, while €6 million will be allocated to accompany the new arrangements for access to health studies in universities. Because success must be that of everyone, regardless of social origin, the means devoted to student life increase by 2.5%, which represents an additional 67 million through the upgrading of scholarships on social criteria at the beginning of 2019 and that of international mobility aids. The commitments made during the Sorbonne speech will be fulfilled: by 2024, half of the students must have lived, before their 25th birthday, at least six months in another European country. And because success must be that of everyone, regardless of geographical origin, the mobility aid Courseup and the help for mobility master are renewed. With regard to the research component, the amounts and their distribution among the various programmes remain relatively stable. It should be noted, however, that funding for artificial intelligence research is increasing significantly to €38 million, reflecting the commitments made by the President of the Republic in the framework of the national plan. In addition, the remuneration of research staff will be increased by EUR 28 million. If it is a programme with a very substantial increase in funding, it is that of space research. I regret in the Committee on Cultural Affairs and Education that we are not talking enough about this area, both in our committee and in the Chamber, when it is of fundamental strategic interest in terms of sovereignty, economic development – especially since the digital revolution – and scientific knowledge. The space sector is concentrating a particular effort, resulting in an 11.7 % increase in budgetary appropriations, for a total of just over EUR 2 billion. This increase will allow us to finally clear our debt to the European Space Agency and to contribute to the many projects under way. In particular, the year 2020 will see the first flight of our new Ariane 6 launcher scheduled for September, as well as the full operational capability of Galileo, which will allow Europe to have its own positioning system and no longer depend on the United States in this regard. We also welcome the fact that the Franco-German Council of Ministers on 16 October made it possible to adopt a common position on the "European preference" for satellite launches, in order to ensure that we have independent access to space. Given the substantial sums we devote to ESA – France is the largest contributor – it is important that we have some return. [[Applause on the benches of the LaREM group]] The Republic Group will therefore support this budget. We also welcome the fact that this finance bill for 2020 is the last of its kind with regard to the research programme and that it is accompanied by multi-year programming as early as 2021. French research needs a certain visibility, freedom and ever greater resources; the new tool will have to meet its expectations.
ParlaMint-FR_2019-10-28-O1044.u30	Mr Julien Dive has the floor.
ParlaMint-FR_2019-10-28-O1044.u31	In its entirety, the research and higher education section of the finance bill for 2020 is positive since additional funding is being provided – notably through the space research programme, amounting to €212 million. However, everyone knows that the devil is hiding in detail, and you will allow me, on behalf of the Republican Group, to express some reservations and to express our concerns to you. First of all, the reform of health studies, decided in the law on the organization and transformation of the health system, has ended the PACES, which obliges universities to enroll in Parcoursup courses with the addition of the new "minor health". Universities will have to recruit and change training models. However, only €6 million has been earmarked to finance this transition. Is that enough? The reform is supposed to respond to the difficulties of access to care in the territories, but in order for it to be properly implemented and to bear fruit, the necessary resources must be made available. As far as higher education is concerned, a renovation of the real estate assets of universities is indispensable and indeed demanded by their presidents. It could also be a lever of the energy transition that everyone calls for. However, there is no provision for financing it: the Government refuses any contribution. In our discussions in the Committee on Economic Affairs, however, the rapporteur shared our view on this subject. As far as research is concerned, we will remain vigilant about the reality of the actions that the Government could undertake in the months and years to come. The multi-year research programming bill, which is to be tabled soon for application from 2021 onwards, will thus be a major challenge for the development of efficient and strategic research in an increasingly competitive international context. I would also like to focus on research in the agricultural sector. As agriculture is about to develop a new model, it is research that will enable us to find alternative solutions and support our farmers in this transition, with the aim of ensuring the quality of our food and respect for the environment and meeting the expectations of consumers. However, the means are not available to make such a transition. A more massive investment in agricultural research would help to respond to the crisis in the sector while leading the profession to adopt even more environmentally friendly practices. But only an additional €4 million will be allocated under the 142 "Higher Education and Agricultural Research" programme, which is very small in view of the ambitious announcements. On January 1st, INRA will merge with IRSTEA to become the National Research Institute for Agriculture, Food and the Environment, INRAE. The draft finance law for 2020, however, only provides for an additional €2.5 million to accompany the reconciliation between the staff of the two institutes. INRA has seventeen regional centres and is located in more than 150 sites in metropolitan France and overseas. IRSTEA has nine regional centres. There may be a need for new infrastructure and targets. Under these conditions, the sum of EUR 2.5 million seems to be insufficient. Finally, let me alert you to the effects of section 50 of the finance bill, and more specifically to the proposed reduction in the corporate sponsorship tax credit, which would increase from 60% to 40% for companies that have donated more than €2 million. Such a measure would be detrimental to university resources and to private funding of research. Failure to do so would require exceptions for higher education, research and innovation.
ParlaMint-FR_2019-10-28-O1044.u32	All right!
ParlaMint-FR_2019-10-28-O1044.u33	[[Applause on the benches of the LR group]] While we can welcome the increase in funding for all the programmes of the "Higher Education and Research" mission, this budget does not allow us to accompany the two essential transitions: the energy transition, with the renovation of our university parks, and the agricultural transition which must satisfy the needs of farmers and the requirements of consumers.
ParlaMint-FR_2019-10-28-O1044.u34	Mr Bruno Fuchs has the floor.
ParlaMint-FR_2019-10-28-O1044.u35	The finance bill for 2020 strengthens the budget of the Ministry of Higher Education and Research as its appropriations are further increased, thus continuing the trajectory launched since the 2018 budget. We welcome the Government's commitment to the rehabilitation of our higher education. He will certainly find broad support in this House. Among the reforms that this budget supports is the Student Orientation and Success Act, which was passed in the first few months of our mandate. The continuation of the student plan, the improvement of the Courseup platform, the introduction of appropriate pathways, the reform of health studies, the support for space research, the introduction of an English-language certification for all students, the open library plan are all measures to be taken to the advantage of the Government and the majority, which are already bearing fruit. Thus, the credits of Action 1, "Initial and Continuing Baccalaureate Training" increase. The 150 program is up 3.8% this year to support training in the early years, so crucial for further education. The device of the custom license seems to me to be one of the most important in the student plan. The institutions have understood the usefulness of this; They have offered adapted courses and refresher courses that have attracted a lot of interest from young students to the point that this year more than 100,000 similar proposals have been made, 72% more than in 2018. An evaluation of this measure seems to us useful. The additional appropriations for 2020, amounting to EUR 43 million, will support this policy and will open new places under licence. The distribution will have to be decided within the framework of the strategic and management dialogue, a relevant tool for the integration of universities and schools into their territories. The student plan also contains numerous measures to improve student life. Its increased appropriations are included in Program 231. The budget supports actions as important as the Visale guarantee, grants on social criteria, merit grants, aid for international mobility, assistance for mobility Coursup, renovation and construction of student housing or improvement of access to health services. We will be paying attention to the next presentation of the appropriations for these programmes. In this regard, our colleague Philippe Berta regretted that the presentation of the Mission's budget was no clearer. In particular, the EUR 435 million in payment appropriations included in this year's programme 421 "Supporting progress in teaching and research of the mission Investment programmes for the future" should be added, which would provide strong arguments against criticisms such as those currently expressed by Valérie Rabault. We will also have to remain attentive to the management of the guarantee fund for bank loans contracted by students, managed by Bpifrance. We will pay particular attention to the debate on the amendment tabled by Fabrice Le Vigoureux. As for the increase in tuition fees for extra-European students, I regret that the decision was taken outside the budget discussions. The debates in the Assembly would certainly have raised the contentious issues which the Constitutional Council has not failed to raise, while guaranteeing the necessary parliamentary control. The budget for the "Research" section is increasing in turn. This long-term support is particularly welcome as major projects are opened and international competition is intensifying. I am thinking in particular of space research or that in the fields of energy, development and sustainable mobility. This transitional budget will have to be consolidated in order to meet the objectives set out in the Multiannual Research Programming Act, which is scheduled to be reviewed in the first half of 2020. Again, we will ensure that the Government's ambition since the beginning of the legislature is confirmed to be close to the 3% of GDP spent on research. [[Applause on the benches of the LaREM group]] The Group of the Democratic and Related Movement endorses these just and ambitious objectives and will vote on the budget appropriations proposed to us.
ParlaMint-FR_2019-10-28-O1044.u36	The Minister for Higher Education, Research and Innovation has the floor.
ParlaMint-FR_2019-10-28-O1044.u37	It is with great pleasure that we open this afternoon the examination of the second part of the Finance Bill for 2020. As has been recalled, MIRES is the last inter-ministerial budgetary programme under the Organic Law on Finance Laws and is a priority mission for the Government. Everyone can understand this: preparing for the future of the nation and asserting our national sovereignty means financing higher education and scientific research in all its forms. For the year 2020, the budget of the Ministry of Higher Education, Research and Innovation consists of EUR 25.35 billion in payment appropriations, excluding contributions to the Pensions Trust Account. With an increase of 500 million euros compared to 2019, MIRES is one of the priority tasks of the State; This effort alone accounts for 10% of the new appropriations. In the area of research, 2020 will focus on the preparation and review of the multi-year research programming bill announced by the Prime Minister last February. This decisive year should allow us to take advantage of the opportunity offered by the unprecedented alignment of the calendars of the next CPER – State-region plan contracts – the PPR law and the European Horizon Europe programme, which is, I would remind you, the most important programme currently being prepared in the world. The decline reflected in the indicators mentioned a few moments ago is the result of sometimes old choices which led to a stagnation in the budget devoted to French research. We had to react. We have therefore chosen to increase the budget for higher education and research by EUR 3.7 billion in three years. As you know – this is a conviction that I remind you every year – we must not oppose support for project financing and the development of basic appropriations. For example, this budget will increase the ANR's commitment resources by €32.7 million, while providing an additional €25 million for laboratory core funding. The same applies to support for the Carnot institutes, increased this year by EUR 5 million. The artificial intelligence plan will rise in power from EUR 17 million to EUR 38 million, an increase of more than 100 %. The INRIA will also launch exploratory projects, particularly in the field of artificial intelligence, thus marking the priority given by my ministry to this crucial project for the future. This budget also pays particular attention to the employment and attractiveness of scientific careers, particularly within research organisations. With almost €28 million allocated to the PPCR, it will support their human resources policies. In addition, an additional €12 million will be allocated to the CNRS, which will be able to deploy an average "host pack" of €10000 from 2020 for its new research staff, totalling €2.5 million. Attractiveness is also one of INRIA's priorities, which will introduce new mechanisms to attract young talent. My ministry will support the creation of INRAE by providing it with an additional €2.5 million compared to the current combined budgets of INRA and IRSTEA. INRAE will organize and coordinate all scientific and technological research in the fields of agriculture, food, forest, environment, water, biodiversity, bio-economy, circular economy, sustainable land management and risk prevention. As you will understand, this new organization will allow us to display a renewed scientific ambition and meet the major global challenges in these sectors. Support for equipment and infrastructure is also essential for the coming year. In space, an additional €226 million will be dedicated to meeting France's commitments to ESA and close to €15 million will support the activities of the CNES – Centre national d'études spatiales. A few weeks before the Seville conference, it is indeed crucial to affirm, in space matters, our country's leading role on a European scale. The 2020 budget will provide an additional €21 million for the financing of major research infrastructures, including €7 million for the maintenance of our ocean research fleet. Finally, more than €7.5 million will be devoted to the development of research platforms and data centres. In addition, EUR 60 million has already been mobilised in support of climate research, notably through the investment programme for the future since the announcement of the President of the Republic's programme. As you mentioned, Madam draftsman of the opinion of the Committee on Cultural Affairs, at the same time we paid back debts that others had not hesitated to contract on behalf of France. As you know, as far as paediatric cancer is concerned, my ministry, attentive to the guidelines laid down by Parliament, launched last January the instrument for mobilising fundamental research in the fight against all forms of paediatric cancer. Five million euros have been earmarked for this purpose, not to mention the payroll and other research programmes already led by INCa – the National Cancer Institute – in the fight against childhood cancer. INCa has set up a task force of researchers and community representatives in order to pilot actions to mobilise the best scientists. Two calls for projects were launched this year and are credited with €3.7 million. An additional EUR 1 million is dedicated to the creation of a platform for the identification and dissemination of relevant scientific information in order to feed the work of the whole community. A review of all of this work is under way and INCa is keen to organize at least twice a year a public restitution of the work dedicated to paediatric cancer. As I committed myself to it last year and as I recalled last September, this measure will be renewed every year to give the time and visibility needed for basic research. A specific annex will now be included in the budget yellow to enable Parliament to monitor its progress. As everyone knows, research is never far from higher education, which is an equally important priority of my ministry. The 2020 budget will continue the deployment of the student plan and fund all university missions. The 150 programme will thus see its appropriations increase by EUR 176 million. The trajectory set out in the 2018 Finance Bill will therefore be respected. Similarly, EUR 142.5 million is spent on the student plan, which is EUR 43 million more than last year. These means will allow our universities to open up additional places and to deepen the remediation mechanisms put in place through the "yes if" courses. In addition to the student plan, two other structural changes are under way. First of all, the generalization of the strategic dialogue with the institutions will have to allow us to thoroughly renovate, in 2020, the arrangements for allocating the resources paid to the universities. The principle of this dialogue is to build a direct and annual discussion between the Ministry and the institutions so that each university can discuss its structuring projects and its approach to implementing the Government's programme. This dialogue will make it possible to allocate an envelope of EUR 50 million. A further amount of the same amount will be allocated directly to the financing of the PPCR for 2020 as well as to the recognition of the pedagogical investment of teachers-researchers. The reform of health studies, another major transformation, will also be reflected in this budget. Close to 16 million euros will be opened to support educational and innovative initiatives in schools: 6 million euros already notified and 10 million euros in the framework of the management dialogue. A final word about student life, whose budget resources are up by €67 million for 2020. This year, for the first time in more than ten years, we have re-aligned the grants on social criteria to the tune of €43 million. This is in line with the work done by my Ministry to improve the living conditions of students and fellows. I am of course thinking of the abolition of membership in the student social security system, which has been generalized to all students since the beginning of September 2019. I am also thinking of the implementation of the student life and campus contribution, which is expected to generate nearly 140 million euros this year and next year dedicated exclusively to the financing of health prevention actions and cultural actions for students. Other specific measures complement the Government's commitment to the well-being of students. In particular, we will spend just over €3 million on the financing of English certifications for 38,000 students as of 2020, with the aim of financing this certification for all students in the new school year 2022. [[Applause on the benches of the LaREM, MODEM and IDU-Agir groups]] These are, in a few words and in a few minutes, the main lines of strength of the budget that I submit to your vote today.
ParlaMint-FR_2019-10-28-O1044.u38	We come to the questions. Let me remind you that the time limit for questions and answers is two minutes. Mrs Sylvie Tolmont has the floor.
ParlaMint-FR_2019-10-28-O1044.u39	Minister, I would like to draw your attention to the particularly worrying situation of the French university. Indeed, despite your commitment to making student success a priority of the executive – a commitment reiterated during the strategic presentation of this mission – no action seems to support such an ambition. The selection at the entrance to the university that you organized through the Pathup device showed its limits and experienced malfunctions. Even more so, the derisory increase in funds allocated to higher education in the context of the finance bill for 2020 runs counter to the reality of the field. This reality, for example, is that of the STAPS (Science and Techniques of Physical and Sports Activities) branch of the University of Le Mans, which saw its director and twenty teachers abandon their responsibilities, an unprecedented event. For almost three weeks, they have been denouncing, together with their students, the inevitable decline in their resources in line with a steady increase in the number of students: from 329 students in 2009, this sector has indeed increased to 955 students this year, including 448 in the first year. This means a ratio of one teacher to 48 students; in Nantes, another city in the Pays de la Loire region, this ratio is one for thirty-four. The creation of two teaching-researcher positions announced by the Rector of Academy last Friday is not likely to provide a lasting solution to these difficulties since it will be financed from the university's own budget. The Commission has, however, voted for a plan to return to balanced budgets, which shows that it is unable to bear such an expenditure. Only the allocation of exceptional resources could provide a real solution to this type of problem, which concerns all universities. Minister, what do you intend to do to ensure dignified teaching conditions and to respond to the legitimate demands expressed by the teaching world and students?
ParlaMint-FR_2019-10-28-O1044.u40	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u41	I would like to point out that the 150 programme will benefit from an additional EUR 176 million and that a total of EUR 1 billion will be provided for the student plan, either through budgetary appropriations or through future investments. No less than €73 million in additional funding has been allocated to the University of Le Mans. It therefore seems to me important that work be carried out between the president of the university, the dean of the STAPS training and research unit and all the students. An additional € 200000 for the University of Le Mans has also been decided in the framework of the management dialogues. Funding therefore comes not from the university's own funds, Mrs Tolmont, but from part of the EUR 50 million entrusted to the rectors and dedicated to the management dialogue. In addition, in the STAPS sector, which is highly organised in France, the first results of the law on the guidance and success of students are observed. By aggregating its results at the national level, there is more than 11% additional success in the first year of the licence. We have proof here that when the necessary resources are devoted to accompaniment of success, things work. I did not ignore the particular difficulties of the UFR STAPS at the University of Le Mans. But be convinced, Madam Member, that the Government is very attentive to this, as evidenced by the action of the rectors and the additional appropriations that have just been deployed.
ParlaMint-FR_2019-10-28-O1044.u42	Mrs Céline Calvez has the floor.
ParlaMint-FR_2019-10-28-O1044.u43	Last week, Madam Minister, I asked you in the Committee on Cultural Affairs and Education about the role of gender equality policies in your ministry. This question covered another, more general one. When reading this budget, one is tempted to ask for an analytical accounting which would precisely identify the funding allocated to each priority. This applies not only to equality, but also to a recent issue in our ranks, for the priority to be given to the funding of research on a particular disease. But we are also confronted with the reality of research: as a popular saying teaches us, when we do not find what we are looking for, we sometimes find much better, which is rather positive, because it confirms the idea that we can improve research on one disease by researching another disease. How, then, can we strike a balance between the setting up of tenders on priority causes and the freedom of research that allows for accidental discoveries? How can we reconcile an accounting readability of the efforts made in favour of research priorities with the necessary trust to be given to researchers, so that they can have the means to find what they were not always looking for at the outset?
ParlaMint-FR_2019-10-28-O1044.u44	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u45	You are right to point out that it is difficult to establish a fine analytical accounting of a researcher's work. It is already difficult to translate the time of the research itself into hours, since, by definition, reflection is always carried out against the background of the current programmes. Then, as you have also pointed out, the principle of research is the acquisition, by different teams of different laboratories, of knowledge, the cross-section of which will enable solutions to be found. Research must always be conceived in its transversality. If Pierre-Gilles de Gennes, who devoted himself to theoretical physics, had not made his discoveries, today the size of our mobile phones would be closer to that of plasma screens... This was not the object of his research. If biologists had not wondered if there could be living organisms in geysers of more than eighty degrees, which was a question of mere scientific curiosity, today there would be no prenatal screening and no genetic activity. This is how research works: this is why it needs to be supported through both core funding and calls for projects. Researchers should be encouraged to work together in a multidisciplinary manner to respond to complex topics. Indeed, all the challenges we face today are complex. A single discipline will not solve the problem of adaptation to climate change: it is the whole research. That is why, I repeat, we need to support and the basic funds and research on a project.
ParlaMint-FR_2019-10-28-O1044.u46	Mr Eric Diard has the floor.
ParlaMint-FR_2019-10-28-O1044.u47	Last year, the members of all the parliamentary groups that were still sitting at one late hour had mobilized against a sad reality: every year more than 500 children die from cancer and more than 2500 are diagnosed. Paediatric cancers are the leading cause of child mortality by disease: the most serious is that in the last 30 years we have failed to reduce neither the number of children diagnosed nor the mortality rate, while prevention bears fruit in adults. Indeed, cancers specifically affecting children are special: some have nothing in common with cancers affecting the general population. That's why we asked you to allocate extra funds to research on pediatric cancers. Thanks to this mobilisation on a subject that goes beyond political divides, and with your help, we obtained €5 million in additional funding. My question concerns the use of these appropriations. We can improve it without costing a euro. The INCa had to discuss with the associations to clarify the use of this additional €5 million. However, the Institute wants to finance only "exclusively new" actions, which results in the rejection of innovative calls for new projects dedicated to paediatric cancers, as these projects have been managed by regional canceropoles. As you know, Madam Minister, these cancers are far from having the same means as INCa, especially since they have not received an extension of EUR 5 million. INCa's overly restrictive funding policy has a negative impact on research into paediatric cancers. Only one in ten children is offered to participate in an epidemiological study, while these studies are necessary to reduce the number of children diagnosed. [[Applause on the benches of the LR group]] Minister, what can we do to change this restrictive funding policy on the part of INCa? The fight against pediatric cancer requires money: we got it last year. It must be used properly: that is why we need to know what the Government intends to do to unlock the use of the funds obtained.
ParlaMint-FR_2019-10-28-O1044.u48	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u49	You recalled the consensus to provide additional dedicated funding to paediatric cancer research to support new types of research. INCa already spends between 12 and 16 million euros on research on paediatric cancers, excluding payroll – these are operating expenses. INCa met with researchers and associations. There was a first call for projects of € 200000 and then a second of € 3.5 million, the results of which will be known in the coming days. These programmes have been discussed, I repeat, with the associations. If you feel that associations have not been heard, we will be able to look at the matter again. The aim is to look for new avenues for the treatment of paediatric cancers, since, as you have indicated, the treatment of other cancers is suitable for some, for some, for paediatric cancers, and for others, not. I would also like to recall the considerable progress we have made in the text on bioethics, since many of the paediatric cancers are caused by defects in the development of the embryo in its very first days. It is therefore important to better understand these early days of embryo development, in a framed manner, what the bioethics bill is doing. The drafting of the budget yellow has, it is true, taken some delay, I am sorry. We will of course be able to work together in a way that will make trade more fluid. However, it is the INCa which, for the moment, is the best operator for the use of these funds.
ParlaMint-FR_2019-10-28-O1044.u50	I call the appropriations of the mission "Research and higher education", entered in state B. On these appropriations, I have several amendments before me. I call Mrs Emmanuelle Ménard to support Amendment No. 486.
ParlaMint-FR_2019-10-28-O1044.u51	This is an appeal amendment. If health research is a priority, however, it must not be done at any cost. However, the first reading of the bioethics bill again raised the question of ethical research. From this perspective, the decryption of living technology by "omical" technologies cannot be done at the expense of embryos or by creating chimeras. I recall that an animal chimera is an animal embryo modified by the addition of human cells to give birth to a chimera animal. The authorization of such an experiment, which was proposed in section 17 of the bioethics bill, raises many questions to which we would like answers. This experiment presents a proven risk of interference with the human-animal boundary. What will be the identity of an animal that, by adding cells, will become partly human? On the other hand, we would like to add human cells to the animal embryo so that they reproduce in the body of an animal: yet we are not immune to the possibility of other human cells developing. Such a perspective seems to be a science fictional one: however, what will we do with an animal that is born with a kidney, hands or human face? In addition, what percentage of human cells will be added to the animal embryo? The bioethics bill does not set any limits today. The greater the number of human cells, the closer the animal will be to man, with all the unknowns and the dangers that such a rapprochement will entail. Finally, what about the major risk of creating a human consciousness in the animal? Such a risk was mentioned by the Council of State: since it would not be possible to control embryonic cells in vivo and they would migrate into the animal's brain, the question arises objectively.
ParlaMint-FR_2019-10-28-O1044.u52	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u53	I do not think that the finance bill is the right support for continuing the long and rich debate that has already taken place in the context of the bioethics bill, which, as such, provides guarantees on a large number of questions that we can ask ourselves. Nor do I believe that the abolition of EUR 5 million from programme 172 will allow us to move forward. You are obviously afraid of science, honourable Member: for my part, I can only be against this type of amendment.
ParlaMint-FR_2019-10-28-O1044.u54	I have before me two amendments, Nos 487 and 488, which can be presented in a consolidated format. Mrs Emmanuelle Ménard has the floor to support them.
ParlaMint-FR_2019-10-28-O1044.u55	I call on the Special Rapporteur and the Government not to reduce their responses to such slogans as "You are afraid of science". The questions I have asked are legitimate, and I have made it clear that this is an appeal amendment, as I am now defending. While it is clear that research into other energy sources is a priority in the light of the climate issues we are experiencing – in Béziers, given recent events, we are speaking with knowledge – we should not be mistargeted, especially with wind energy. Already last year, two defenders of our heritage and landscapes, Pierre Dumont and Denis de Kergorlay, had fired the alarm signal on a policy that would make wind energy the ideal path to clean and abundant energy. Both are very clear: the price to be paid is exorbitant, because it involves weakening both our culture, our health, our public finances and even our environment. Building on this, we must return to a more responsible policy that encourages research into truly clean and protective energies on our planet.
ParlaMint-FR_2019-10-28-O1044.u56	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u57	It is not about cultivating fears or suggesting that wind energy, which is one of the ways of diversifying our energy production, could lead to the suggested apocalypse. Again, reducing by EUR 5 million the 172 programme will not make it possible to move forward on the efficient path of energy diversification. Opinion against both amendments.
ParlaMint-FR_2019-10-28-O1044.u58	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u59	I would like to shed some light on the funding of research in this area: either on the sustainability of systems, in particular on the possibility of replacing rare earths present in wind turbine magnets and on the recycling of materials used, or on environmental aspects, by studying in particular the influence of wind on terrestrial or marine ecosystems in order to reduce this impact. Wind energy has a place in the French electric mix by providing more than 5% of electricity production. It is an energy source taken into account in the multi-annual electricity programming, which was updated in 2018. It is therefore important to preserve research in this field. Opinion against both amendments.
ParlaMint-FR_2019-10-28-O1044.u60	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2019-10-28-O1044.u61	I would like to return to the economic aspect of wind energy. As you said, minister, wind turbines are partly made up of rare earths. This is a cause for concern, as their use places France in a state of dependence. Indeed, these rare earths are now supplied by China, which, with 95 per cent of world production, has a quasi-monopoly, even though it would hold only 36 per cent of the natural reserves. The non-recyclable nature of certain materials used in the construction of wind turbines also poses environmental problems. I therefore wished to draw your attention to all these issues, which was precisely the subject of my appeal amendment.
ParlaMint-FR_2019-10-28-O1044.u62	Mr Fabrice Le Vigoureux, Special Rapporteur, has the floor to support Amendment No. 257.
ParlaMint-FR_2019-10-28-O1044.u63	It is an appeal amendment, so it is intended to be withdrawn. Presented by our colleague Laurent Saint-Martin, rapporteur of the fact-finding mission on the implementation of the Organic Law on Finance Laws, this amendment proposes to refocus the scope of MIRES on the four programmes managed by the Ministry of Higher Education, Research and Innovation, and to redistribute the other programmes within the scope of ministerial competence to which they belong. After a discussion in the Committee on Finance, we adopted this amendment and agree with our colleague on the need to clarify as much as possible the budget architecture of the mission. Nevertheless, the right legislative vehicle will probably be the multi-year research programming bill that will be debated in the first half of 2020.
ParlaMint-FR_2019-10-28-O1044.u64	The next speaker is Mr. Francis Chouat, Special Rapporteur.
ParlaMint-FR_2019-10-28-O1044.u65	I have nothing to add to the comments made by our excellent colleague Fabrice Le Vigoureux. Madam Minister, this amendment was conceived by the Finance Committee as an invitation to think about a budgetary organisation that takes into account the multi-annual programming of research.
ParlaMint-FR_2019-10-28-O1044.u66	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u67	The purpose of your amendment is to open a discussion on the perimeter of the MIRES. If the issue is fully relevant, it falls within the inter-ministerial level and would probably have a greater place in a public finance policy debate. Indeed, it is not possible for us to change the budget model for 2020. The opinion is therefore unfavourable on the form, but open on the substance, if Parliament would like to discuss it again in the debate on the orientation of public finances. Request for withdrawal; Failing that, adverse notice.
ParlaMint-FR_2019-10-28-O1044.u68	Mr Alain David has the floor to support Amendment No. 430.
ParlaMint-FR_2019-10-28-O1044.u69	It aims to compensate universities for the loss of funding due to the reduction of the tax reduction rate in favour of patronage, by increasing the credits from the 150 programme devoted to initial and continuing training from the baccalaureate to the doctoral degree.
ParlaMint-FR_2019-10-28-O1044.u70	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u71	The amendment is curiously drafted, since it provides for the transfer of considerable appropriations – EUR 817 million – in order to compensate for the reduction in the tax reduction rate in favour of patronage. In fact, this amount represents the entire tax expenditure related to sponsorship, all sectors combined; This envelope is not limited to universities, which receive a much smaller amount. Moreover, only 78 companies would be affected by the limitation of tax expenditure. In a given territory, a middle-sized company that would donate EUR 1 million to its university – which is not so common – would not be affected by this sponsorship measure. Finally, there is no evidence that the reduction in this tax expenditure, which has experienced very high inflation in recent years, will be correlated with a decline in donations. Indeed, because of the ambitious corporate tax trajectory, it should be remembered that the contribution of companies to this will be increasingly low. Unfavorable opinion.
ParlaMint-FR_2019-10-28-O1044.u72	Mr Alain David has the floor to support Amendment No. 423.
ParlaMint-FR_2019-10-28-O1044.u73	It is based on the same principle of compensation but, this time, in favour of the real estate of universities.
ParlaMint-FR_2019-10-28-O1044.u74	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u75	I invite you to read again the Court of Auditors' report entitled "Public support for corporate sponsorship", which was published last November. It states very precisely that the 817 million euros represent the totality of the donations – not just those to universities. In addition, the summary statement of the amendment refers to a dramatic reduction in the success rate for licences, which, at the very moment when the accompanying arrangements which have been introduced are beginning to produce results, seems somewhat excessive. Unfavorable opinion.
ParlaMint-FR_2019-10-28-O1044.u76	I call Mr Tolmont to support Amendment No. 504.
ParlaMint-FR_2019-10-28-O1044.u77	Under the 150 "Superior Training and University Research" program, this amendment aims to increase the full-time equivalents of researchers for 2020 by 2000 positions. This recruitment represents a budgetary cost of EUR 100 million for 2020, based on the data in the budget blue.
ParlaMint-FR_2019-10-28-O1044.u78	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u79	I recall that universities are autonomous in the management of their human resources. To announce the creation of 2000 posts is therefore totally inoperative; The experience of the last legislature proves, moreover, that, in this respect, when one is full of good intentions, the disillusionment is only greater. To illustrate my point, I would like to remind the group which tabled this amendment that the number of teachers-researchers who completed the programme fell by 1000 FTEs between 2014 and 2016, when it was announced that jobs would be created in the superior – the famous 5000 jobs in the Fioraso plan. In other words, the 100 institutions that have acceded to the extended responsibilities and competences use the additional appropriations freely, within the limits of financial sustainability. These establishments do not systematically create jobs, as the rigidity of their wage bill makes them finance their mechanical progress. Thus, in 2017 there was an under-consumption of 11498 FTEs under ceiling. I therefore give an unfavorable opinion to this amendment.
