ParlaMint-FR_2019-02-13-O1147.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-13-O1147.u124	I ask for a suspension of the sitting.
ParlaMint-FR_2019-02-13-O1147.u125	Now, before the votes, MP?
ParlaMint-FR_2019-02-13-O1147.u126	Yes.
ParlaMint-FR_2019-02-13-O1147.u127	Since you have your group's delegation, the suspension is in law.
ParlaMint-FR_2019-02-13-O1147.u128	The meeting was suspended.
ParlaMint-FR_2019-02-13-O1147.u129	The meeting was resumed.
ParlaMint-FR_2019-02-13-O1147.u130	I put to the vote identical amendments Nos 115 and 295.
ParlaMint-FR_2019-02-13-O1147.u131	The result of the vote is as follows: Number of voters 110 Number of votes cast 105 Absolute majority 53 For adoption 24 Against 81
ParlaMint-FR_2019-02-13-O1147.u132	I put Rule 2 to the vote.
ParlaMint-FR_2019-02-13-O1147.u133	The result of the vote is as follows: Number of voters 108 Number of votes cast 106 Absolute majority 54 For adoption 95 Against 11
ParlaMint-FR_2019-02-13-O1147.u134	I have before me a number of amendments on the additional article after Article 2, first of all two identical amendments, Nos 29 and 143. I call Mr Patrick Hetzel to support Amendment No. 29.
ParlaMint-FR_2019-02-13-O1147.u135	A number of teachers and ATSEMs frequently testify to the fact that very young children spend more and more time in school premises, where they sometimes arrive very early in the morning, where they stay at noon for lunch and leave only late evenings after school. Mr Molac referred to this issue earlier. Despite the development of rest areas, nursery schools and the activities offered there are not always suitable for very young children, unlike nurseries. There is a difference in treatment. The school is increasingly viewed not as the most suitable device, but as a form of care that parents need. Thus, it seems essential to us, if we lower the age of compulsory education to 3 years, to specify in article L. 113-1 of the Education Code that children are accommodated in nursery school under educational and pedagogical conditions "that ensure the best interests...".
ParlaMint-FR_2019-02-13-O1147.u136	Mr Xavier Breton has the floor to support Amendment No. 143.
ParlaMint-FR_2019-02-13-O1147.u137	[[Claims on several banks of the LaREM Group]] It is the same as our colleague Hetzel has just defended. It is an amendment of common sense, but I doubt that common sense is the most shared virtue here tonight, as has just been demonstrated by the rejection of a position of flexibility and pragmatism in favour of dogmatic positions! The aim of the amendment is to take account of the scale of school hours. The premises and conditions for the reception of children must be adapted.
ParlaMint-FR_2019-02-13-O1147.u138	What is the opinion of the committee?
ParlaMint-FR_2019-02-13-O1147.u139	The best interests of the child are a constant concern within the education system, particularly in kindergartens. The child is the subject of constant attention by teachers in schools, ATSEMs and educational staff in general. It may not be necessary to clarify this, as it goes without saying. As far as reception conditions are concerned, I have had the opportunity to say that they are essential, in particular the planning of space. As a result, will all schools be perfectly and fully adapted to naps and other activities from day to day? Probably not, but they will be gradually. To take the example of the Scandinavian countries that are dear to you, Mr. Reiss, the children are schooled in the community between 1 and 6 years of age in the best conditions. The premises are perfectly adapted, in order to offer reception conditions and an ad hoc pedagogy. This is what we tend to do, so that children in kindergartens are provided with suitable facilities and reception conditions. Unfavorable opinion.
ParlaMint-FR_2019-02-13-O1147.u140	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u141	Mr Hetzel and Mr Breton, on the substance, we agree, as on other matters. However, I want to avoid the education code being too talkative.
ParlaMint-FR_2019-02-13-O1147.u142	And yet he is! Too many of his dispositions are useless!
ParlaMint-FR_2019-02-13-O1147.u143	I agree with the arguments put forward by the rapporteur. I would like to take this opportunity to highlight the extent to which the provisions of this bill will initiate a movement in favour of kindergarten in France, particularly with regard to investment. We will have the opportunity to address this issue again in our debates. The text is part of the continuation of the foundation of the nursery school, which we organized last year. These are aimed at generating a strong movement in favour of the upgrading of the nursery school in France, including the stakes of the building. The quality of life of the child in school – no matter how many hours he spends – is an essential subject, already enshrined in the Education Code in its main principles. In my view, the amendment is satisfactory.
ParlaMint-FR_2019-02-13-O1147.u144	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-02-13-O1147.u145	Our colleagues are right to point out that children spend a lot of time in school premises over the course of a day. In addition, they take a hat at ATSEM, which gives us the opportunity to recall the very essential role of these municipal staff in kindergartens. Their role is perfectly complementary to that of teachers. This amendment also gives us the opportunity to recall that children, when they are in the nursery school premises, are not under the sole responsibility of teachers. In a school year, they spend almost as much time with those involved during or after school as with teachers. Therefore, we are aware that cohesion between what is being done under the aegis of teachers and what is being done in extracurricular time – most often under the responsibility of local authorities – is necessary in order for kindergarten to succeed. This is the continuum we are talking about. It involves an agreement – from this point of view, territorial educational projects are essential – and joint work by parents, local communities and non-formal education associations to ensure that kindergarten is a success for children. As long as they spend the whole day at their premises, it is clear that they are under the responsibility of several adults. They must coordinate in order to ensure that education is provided in satisfactory conditions.
ParlaMint-FR_2019-02-13-O1147.u146	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-13-O1147.u147	Mrs Pau Langevin is absolutely right: ATSEM plays a vital role in nursery schools. [[Claims on several banks of the LaREM Group]] [[Applause on the benches of the LR group]] Madam rapporteur, Minister, thank you for your comments. They are very enlightening: you do not want to see in the education code the guarantee of the best interests of the child. Thank you for that clarification. The educational world and families will enjoy it!
ParlaMint-FR_2019-02-13-O1147.u148	Well done, Mr. Minister!
ParlaMint-FR_2019-02-13-O1147.u149	Mr Jean-Paul Lecoq has the floor.
ParlaMint-FR_2019-02-13-O1147.u150	If my grandmother was there, she would have said, "It's the hospice that makes fun of charity! " The best interests of the child, ladies and gentlemen sitting on the other side of the Chamber, you have forgotten this on several occasions! Good if you care about it from now on!
ParlaMint-FR_2019-02-13-O1147.u151	Give examples!
ParlaMint-FR_2019-02-13-O1147.u152	Four-day week!
ParlaMint-FR_2019-02-13-O1147.u153	So what?
ParlaMint-FR_2019-02-13-O1147.u154	[[Applause on several benches of the LaREM group]] It is not certain that this reform takes into account the best interests of the child.
ParlaMint-FR_2019-02-13-O1147.u155	The four-day week is not the right!
ParlaMint-FR_2019-02-13-O1147.u156	Yes!
ParlaMint-FR_2019-02-13-O1147.u157	In addition, almost all mayors in small towns and villages have priority over the quality of their kindergartens and, where appropriate, their primary schools. Where we don't have much time, it's at least where we're investing. It always goes that way. In all the town halls of France, we know that the priority is education. Since some cities have limited resources, the question of development will arise. However, they are not so numerous. As I traveled through my constituency – like everyone here – I found that schools are of very good quality. ATSEMs have yet to be placed alongside teachers. The maximum number of pupils per kindergarten class is not uniform. He's sometimes raised. Assigning two adults – one teacher and one ATSEM – to each class, in all classes, and having the means to do so, that's the question! Do all town halls in France have the means to assign an ATSEM to each class? I doubt it. So we will have to work on this, minister.
ParlaMint-FR_2019-02-13-O1147.u158	Yes!
ParlaMint-FR_2019-02-13-O1147.u159	I have before me an amendment No 833 which is the subject of a sub-amendment No 1129. Mrs Jacqueline Dubois has the floor to support the amendment.
ParlaMint-FR_2019-02-13-O1147.u160	I also think dogmatism is not always on the side where we think. Mayors are very attached – perhaps even more so in small communes and neighbourhoods classified as priority education networks – to the quality of their school. Last week, I went to a rural school, where nursery school was designed so that the circulation of the youngest children was as easy as possible. The amendment concerns the reception of children under the age of 3, in the very small sections. It aims to ensure that the educational and pedagogical objectives specific to pupils under the age of 3 are specified in the school project, in order to ensure good conditions of schooling and to account for their presence in the planned workforce. Such a provision is very important for rural schools. It does not compete with crèches and kindergartens, which are complementary. We do not always have the means, in rural areas, to finance reception facilities suitable for young children. This provision is also favourable to the priority neighbourhoods of the city, where some mothers...
ParlaMint-FR_2019-02-13-O1147.u161	And dads!
ParlaMint-FR_2019-02-13-O1147.u162	... will trust the school and register their child, but will hesitate to enroll him in the nursery.
ParlaMint-FR_2019-02-13-O1147.u163	Mrs Beatrice Descamps has the floor to support sub-amendment No. 1129.
ParlaMint-FR_2019-02-13-O1147.u164	It is intended to supplement the amendment by adding, after the word "schooling", the words "as well as their human and material reception conditions". These can be integrated into the balance sheet drawn up at the end of the year, in order to guarantee the best reception conditions for toddlers from the following year.
ParlaMint-FR_2019-02-13-O1147.u165	What is the opinion of the committee?
ParlaMint-FR_2019-02-13-O1147.u166	I do not agree with the sub-amendment. I am quite confident: the reception conditions are generally human.
ParlaMint-FR_2019-02-13-O1147.u167	I never said otherwise!
ParlaMint-FR_2019-02-13-O1147.u168	I am also against the amendment.
ParlaMint-FR_2019-02-13-O1147.u169	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u170	Same opinion.
ParlaMint-FR_2019-02-13-O1147.u171	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2019-02-13-O1147.u172	Madam rapporteur, referring to my speech earlier, you spoke of abuse. I never said that word. I've had my whole career at school. I know that children are not ill-treated. [[Applause on several benches in the LR group. – Mrs Emmanuelle Ménard and Mr Yannick Favennec Becot also applaud]] I propose to include the human conditions of reception – provided in particular by ATSEM – in the education code, in order to ensure that these are ideal and ensure the best possible reception for toddlers. You're telling me that the reception conditions at the school are obviously human! We're not talking about the same thing!
ParlaMint-FR_2019-02-13-O1147.u173	I call Mr Aleksandre Freschi to support Amendment No. 1149.
ParlaMint-FR_2019-02-13-O1147.u174	We mentioned earlier the case of some municipalities refusing to enroll some students of foreign origin in school. We propose a mechanism to address these situations, in order to make the obligation of education from the age of three fully effective and to promote the integration of children for the benefit of social cohesion and justice. It is based on DASEN, which will be entrusted by the Prefect with the task of finalizing the enrolment of the children on the school list, in accordance with article L. 2122-34 of the General Code of Territorial Authorities, if the mayor has not done so. It complements a provision inserted – thanks to our rapporteur, Anne-Christine Lang – in the asylum and immigration law passed in September 2018. The amendment advocated by Anne-Christine Lang in this context entrusted DASEN with the task of making provisional registrations in the event of the mayor's refusal or delay. [[Applause on several benches of the LaREM group]] Our amendment goes further. It makes it possible to deepen the existing system, by providing that the inscriptions to which DASEN makes are definitive, for the benefit of the children.
ParlaMint-FR_2019-02-13-O1147.u175	What is the opinion of the committee?
ParlaMint-FR_2019-02-13-O1147.u176	Favourable opinion. I am pleased that we are able to go further than the amendment voted under the Asylum and Immigration Act. This allowed to bypass the recalcitrant mayors. We have recently found that several mayors place a great deal of unwillingness on the pretext that their parents cannot report a permanent residence in their commune. I welcome this new step towards ensuring that school – whether kindergarten or not – benefits everyone.
ParlaMint-FR_2019-02-13-O1147.u177	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u178	I was commenting earlier on this amendment, indicating how important it is to me. This is a pragmatic amendment that reinforces the great principle that we have just re-enacted. It guarantees that compulsory education will enable all children, regardless of their nationality, to attend school. Placing DASEN as a responsibility is a proof of pragmatism. He deals with these subjects on a daily basis,...
ParlaMint-FR_2019-02-13-O1147.u179	Very political!
ParlaMint-FR_2019-02-13-O1147.u180	...more than the prefect. His action in this matter by delegation of the Prefect seems to us to provide a guarantee of efficiency, in the sense that we all wish. Favourable opinion.
ParlaMint-FR_2019-02-13-O1147.u181	Mr Gaël Le Bohec has the floor.
ParlaMint-FR_2019-02-13-O1147.u182	Thank you, Minister, for changing your position since the committee discussions. For my part, I am extremely committed to the inclusion in the law of a guarantee of education and education for foreign children. There was much talk about mayors and elementary schools. What about enrolment in colleges and high schools? Will this provision also be enforceable? If so, how?
ParlaMint-FR_2019-02-13-O1147.u183	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2019-02-13-O1147.u184	The La France insoumise group will vote for this amendment, even if it is less binding than the one we defended earlier: we proposed an obligation to educate children, which would have weighed on all public authorities. The administrative court could thus have punished those who refused to attend school. With your amendment, associations or collectives will have to mobilize to obtain effective schooling for children.
ParlaMint-FR_2019-02-13-O1147.u185	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-13-O1147.u186	I'm kind of surprised at the discussion. Your amendment shows real distrust of mayors; We should ask ourselves about this. On the other hand, I am not sure that such a provision is in conformity with the local authority code. It seems to me that there is a real problem of local freedoms. We have experienced, not so long ago, a campaign of denigration of mayors launched by the Government itself. Minister, I do not wish that a new piece be put back in this machine, and that the mayors again be shown with a finger when they provide remarkable work. The Government has asked them for the great national debate. You're going back to a logic of distrust.
ParlaMint-FR_2019-02-13-O1147.u187	No, no, no, no, no, no, no,
ParlaMint-FR_2019-02-13-O1147.u188	[[Applause on the benches of the LR group]] Good courage to explain this to the Association of Mayors of France!
ParlaMint-FR_2019-02-13-O1147.u189	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-02-13-O1147.u190	This amendment is indeed a step forward in relation to the debates we have had recently, and the Socialist and related group is quite in favour of it. I still think that we could have voted earlier on the principle that every child must be enrolled in school. Indeed, this amendment speaks of "refusal of entry on the school list by the mayor without legitimate grounds". The mayor will be able to play on the notion of legitimate motive!
ParlaMint-FR_2019-02-13-O1147.u191	Right!
ParlaMint-FR_2019-02-13-O1147.u192	Thus, the fact that the child is not domiciled in the municipality could constitute one. This opens the door to further discussions on the fate to be reserved for people in precarious housing, people accommodated by social services, foreign people who have no official existence in the commune.
ParlaMint-FR_2019-02-13-O1147.u193	Mr François Pupponi has the floor.
ParlaMint-FR_2019-02-13-O1147.u194	I, too, agree with the principle; But there is also a need to reflect on its implementation. In some municipalities, especially in the Paris region, there are slums, which sometimes have several hundred inhabitants, and sometimes hundreds of children. Regularly, associations come to see the mayors of the municipalities concerned by asking them to enrol fifty, sixty, one hundred children in school – overnight! About a hundred children, that makes four whole classes; And the classes are already full. Mayors don't refuse registrations for principle! They just don't know how to do it. The state is very generous here: DASEN will decide! But who will take this decision financially? The state requisitions premises and allows slums to grow for months. Remember that these shanty towns are not in Neuilly or in the beautiful Parisian neighborhoods... They are located in the poorest municipalities in our country, in Seine-Saint-Denis or in the eastern part of Val-d'Oise, i.e. in cities that do not have the means to welcome these new students. And the mayors of these communes are told to take care of the children – well – and to finance all this! Who guarantees the dignity of these people? Who pays? Important burdens are created for these poor communes, but the state washes its hands and refuses to address the problem. I don't think that's a good solution.
ParlaMint-FR_2019-02-13-O1147.u195	Mrs Cécile Muschotti has the floor.
ParlaMint-FR_2019-02-13-O1147.u196	There is no stigmatization of mayors here! The purpose of this amendment is simply to include in the Act a guarantee of enrolment for all children, including foreign children. They must all be able to attend school in our dear country.
ParlaMint-FR_2019-02-13-O1147.u197	But who pays?
ParlaMint-FR_2019-02-13-O1147.u198	[[Exclaims on the benches of the LR group]] In addition, the DASEN superior is under no circumstances the mayor.
ParlaMint-FR_2019-02-13-O1147.u199	Mr Raphaël Schellenberger has the floor.
ParlaMint-FR_2019-02-13-O1147.u200	That is precisely why we are questioning ourselves! The organization of education is the responsibility of the State and is managed by the Ministry of National Education; but the management of schools, and therefore of enrolments, is a decentralized competence. This means that there is no opportune control on the part of the central State over the decisions of local and regional authorities. Therefore, if a mayor's decision is not legal – whether it is outrageously illegal or simply illegal – then the state's appeal is the administrative court. Under no circumstances may the Prefect or DASEN replace the local elected official, whose legitimacy is other than that of the representative of the State in a territory. [[Marie-Christine Dalloz and Patrick Hetzel applaud]] I therefore do not understand this logic, according to which if a decision of a mayor does not agree – whether it is right or not – the state replaces him. No! If a decision does not comply with the law, the administrative court is attacked. We don't make the decision instead of the mayor.
ParlaMint-FR_2019-02-13-O1147.u201	The Minister has the floor.
ParlaMint-FR_2019-02-13-O1147.u202	A few legal clarifications will, I believe, make it very easy to calm the minds. I am sorry to contradict you, honourable Member, but my point is purely legal: it is indisputable that when the mayor enrols a child in school, he acts as an agent of the state. Therefore, in the event of a problem, the prefect may replace him. The situation is so clear that if the mayor is attacked for refusing to register a child, the jurisprudence of the Council of State – recently reiterated – pays damages not by the mayor, but by the state. The problem therefore does not arise at all in the terms just explained. So I can reassure you. Mr Hetzel, I hope to alleviate your indignation: all this is already provided for in the General Code of Local and Regional Authorities. The amendment simply allows DASEN to act, by delegation of the Prefect. There is already a chain, in which we include DASEN. There is no questioning of local freedoms, no questioning of the mayor: do not seek, once again, to create distrust where there is none. On the contrary, it is a system of trust that is created between the mayor, DASEN and the prefect, with a view to accomplishing a mission.
ParlaMint-FR_2019-02-13-O1147.u203	I don't see where trust with the mayor is!
ParlaMint-FR_2019-02-13-O1147.u204	It is good that there is dialogue in these moments. This, I repeat, is a pragmatic amendment. Mr Pupponi, you have shown us the reality of the ground and indeed it is good that distributions are made and discussions are held: this is what the DASEN will be able to do. From a legal point of view, therefore, there is no problem; From a practical point of view, we are introducing flexibility to better guarantee children's rights.
ParlaMint-FR_2019-02-13-O1147.u205	It's mistrust you're going to create!
ParlaMint-FR_2019-02-13-O1147.u206	I call Mr Maxime Minot to support Amendment No. 191.
ParlaMint-FR_2019-02-13-O1147.u207	The school booklet follows the student from school to college. As education becomes compulsory from 3 years old, this amendment proposes to adapt to this new situation by integrating the years of kindergarten into the single school record. This would give concrete expression to the affirmation, already included in the bill, of the educational importance of kindergarten in the education system. Such a booklet would also make it possible to assess the level of students in order to accompany them as best they can.
ParlaMint-FR_2019-02-13-O1147.u208	What is the opinion of the committee?
ParlaMint-FR_2019-02-13-O1147.u209	Unfavorable opinion. The amendment is satisfied.
ParlaMint-FR_2019-02-13-O1147.u210	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u211	This is a very interesting proposal! This is not the first time I have said so about an amendment by the opposition. There is clearly a job to do. Today, the skills acquired in kindergarten are the subject of a specific assessment, which is not, it is true, integrated into the single school booklet. This integration could in fact be a logical consequence of compulsory education at the age of three. It is therefore an open site, but it falls within the regulatory area. Unfavorable opinion.
ParlaMint-FR_2019-02-13-O1147.u212	I call Mrs Emmanuelle Anthoine to support Amendment No. 9.
ParlaMint-FR_2019-02-13-O1147.u213	The draft law for a school of trust lowers the age of compulsory education to 3 years; That is why this amendment proposes to start teaching writing and reading at nursery school. Neurosciences show, in fact, that the brain development of the language zone is the most important between 3 years and 6 years. It is therefore important to encourage young children to acquire language skills very strongly in the years they spend in kindergarten.
ParlaMint-FR_2019-02-13-O1147.u214	What is the opinion of the committee?
ParlaMint-FR_2019-02-13-O1147.u215	Unfavorable opinion. The details of the programmes do not fall within the scope of the law. In addition, the amendment is satisfied. What you're asking for is already part of kindergarten programs.
ParlaMint-FR_2019-02-13-O1147.u216	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u217	[[Smile]] Same opinion – I resist the temptation to develop.
ParlaMint-FR_2019-02-13-O1147.u218	I have before me three amendments, Nos 813, 927 and 812 which may be submitted to a joint debate. Amendments Nos 813 and 812 may be presented in a consolidated format. Mr Cyrille Isaac-Sibille has the floor to support them.
ParlaMint-FR_2019-02-13-O1147.u219	These amendments concern compulsory medical examination; We have begun to address the matter in committee. The earlier the screening, the more effective it is – this applies to visual and acoustic problems, to "dys" disorders, to rare diseases... But it is also known that only 40 per cent of children really benefit from the compulsory medical examination. Finally, in order to enrol the child in school, parents must justify vaccinations of the child, but it is not mandatory for the child to have been seen by a doctor. In view of these factors, and in view of the reduction of the age of education to 3 years, it is therefore appropriate to organise a compulsory medical examination during the third year. On the other hand, school medicine is in difficulty, but some children are already well followed: I therefore propose that only children who do not benefit from medical follow-up should be seen by school doctors. This would ensure that all children have access to a doctor. The implementation of the shared medical record – DMP – will make it easier. A DMP could be opened for each child as soon as they entered kindergarten at 3 years of age, including vaccinations. This would simplify both the 3-year medical examination and screening, as well as the follow-up of vaccinations, through the electronic vaccination booklet. With regard to the withdrawal amendment No 812 the aim is to introduce a compulsory medical examination at the age of 3.
ParlaMint-FR_2019-02-13-O1147.u220	Mrs Cathy Racon-Bouzon has the floor in support of Amendment No 927.
ParlaMint-FR_2019-02-13-O1147.u221	This amendment also aims, in a slightly different way, to make a medical examination compulsory between 3 and 4 years of age for all children, within the school and in the presence of the parents responsible for the child. Many education professionals require that such a medical examination be generalized as it is a key age for detecting certain disorders, particularly those of language. This visit could therefore help to prevent inequalities in health and to better support children in the area of health.
ParlaMint-FR_2019-02-13-O1147.u222	What is the committee's opinion on these three amendments?
ParlaMint-FR_2019-02-13-O1147.u223	I will give an opinion in favour of Amendment No 927 and an opinion against Amendments Nos 813 and 812. To provide for a compulsory medical examination between 3 and 4 years of age, on average, in kindergarten, seems to me more in line with the needs of the children.
ParlaMint-FR_2019-02-13-O1147.u224	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u225	The same opinion as the rapporteur. These amendments are of the utmost importance: this is indeed one of the expected consequences of lowering the age of compulsory education to 3 years. Today, as we know, the results are not good: only 40% of students receive a medical examination before the age of six, which is a huge problem that I, together with Agnès Buzyn, intended to remedy fully. In a way, we are going further with this amendment, setting the age of compulsory medical examination between 3 and 4 years. This measure, which will not be easy to implement but which could be a source of very important progress, obliges us. It is important that this obligation be included in the education code because it is an essential public health issue: it is important to ensure that every child makes a good start in his or her school and personal life. This amendment measures the positive effects of lowering the age of compulsory education to 3 years. I was insisting on that earlier, but this is not just a symbolic measure. It is not only a signal, it is also the matrix of important concrete changes.
ParlaMint-FR_2019-02-13-O1147.u226	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-13-O1147.u227	[[Isaac-Sibille applauds]] Mr Minister, the rapporteur, if we can only support this type of amendment, how will you implement it? Currently, the ratio is one school doctor for 15,000 students. [[Applause on several benches in the LR group]] It's a real disaster! Given its low-paying nature or for other reasons, few students choose to go to school medicine. How will a school doctor, already looking after 15,000 students, be able to examine children between the ages of 3 and 4 in addition? How can this amendment be implemented?
ParlaMint-FR_2019-02-13-O1147.u228	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2019-02-13-O1147.u229	Compulsory medical examination is essential for health prevention: for the success of young people, it is necessary to be sure as soon as possible that nothing hinders the learning and development of the child. The question remains of its application, which Mr. Lurton has just asked. Within the national education system and in kindergartens, maternal and child protection services – PMI – can already provide medical visits. An organization will have to be found, so that doctors who will examine children will have expertise to identify learning disorders. Nursing services will also be able to support the process. In addition, the Minister should renew his commitment to the medical check-up at the age of 6, just prior to learning reading and written language. A specific examination, different from the visit carried out between 3 and 4 years of age, is required at this stage, especially for children who have previously been identified with difficulties.
ParlaMint-FR_2019-02-13-O1147.u230	Mr Jean-Paul Lecoq has the floor.
ParlaMint-FR_2019-02-13-O1147.u231	This provision is interesting in that it recognizes the crucial role of children's health status in their education and training. The earlier the difficulties are, the better the training can be adapted to the situation of the child and its success can be guaranteed. Now living in what it is agreed to call a medical desert, I share the concern of my colleagues because not only is there no school doctor in my home, but there is also a shortage of occupational doctors and general practitioners. Retiring practitioners are not replaced and it can be very difficult to find a treating physician.
ParlaMint-FR_2019-02-13-O1147.u232	There are no specialists either!
ParlaMint-FR_2019-02-13-O1147.u233	An obligation is set that will otherwise be impossible, at least very difficult to enforce. In the end, it is the parents who, if they have to present a medical examination certificate, will find themselves in difficulty. If the establishment of this certificate is the responsibility of the school, it is the school that will have to ensure that a doctor is available to pass the visit. Minister, do you guarantee the presence of a doctor in all the schools of the Republic, next year?
ParlaMint-FR_2019-02-13-O1147.u234	Mr Cyrille Isaac-Sibille has the floor.
ParlaMint-FR_2019-02-13-O1147.u235	I am pleased that you are giving an opinion in favour of one of these three amendments, and I would be pleased if it would be adopted because it takes up a measure called for in the information report on prevention that I have co-edited, together with Mrs Bareigts. As you know, only 40 per cent of children currently benefit from the school medical examination. Planning one for all children is not realistic. It's a display! The measure cannot be applied because, in some departments, there is simply no longer a school doctor at all. By claiming in an amendment that all children will be examined between the ages of 3 and 4, real rights are not granted.
ParlaMint-FR_2019-02-13-O1147.u236	We'll find out in three years' time, when a new report will take stock of the device!
ParlaMint-FR_2019-02-13-O1147.u237	My amendments were more pragmatic because it is not children already followed by a doctor or pediatrician who need a consultation with the school doctor but those who are not seen, those whose vaccinations are not followed. It was about creating real rights, with new means, like the DMP – we will have an opportunity to discuss it. On the contrary, Amendment No 927 does not grant any real right, in the sense that we are currently unable to enforce its provisions. On the form, after the debate in committee, I tried – without success – to join the minister's office to continue the reflection. I then discovered that an amendment, presumably working with you, Minister, had been tabled by the Republic on the move, which took up my proposal. On the substance, as on the form, I therefore disagree.
ParlaMint-FR_2019-02-13-O1147.u238	Welcome to the opposition!
ParlaMint-FR_2019-02-13-O1147.u239	There was a tie in the votes. The amendment is therefore rejected. We can regret that, but this is what the Rules of Procedure provide for.
ParlaMint-FR_2019-02-13-O1147.u240	Mrs Isabelle Valentin has the floor.
ParlaMint-FR_2019-02-13-O1147.u241	This article brings the education code into line with the lowering of the age of compulsory education to 3 years, specifying the contours of the education provided in non-contracted schools, which, in addition to the principles of compulsory education, must respect those of the common foundation. However, this textual consistency cannot rule out the substantive issue, the requirement of instruction at 3 years. First because, until the age of 5, the young child needs attention. All specialists agree on the need to respect the biological rhythm of children, who are not meant to make ten or eleven hours' days. Secondly, because we are a country of freedom. Our role is not to legislate on everything. Families play a real role in education and must be able to choose whether or not to send their children to school before the age of 6. In terms of resources, what about the creation of teaching posts, ATSEM and school doctors? What about the overcrowded classes and their distribution on the territory? How will the single multi-level classes be managed in the most rural areas? Who will pay the extra costs? [[Applause on the benches of the LR group]] That's a lot of unanswered questions. Let us be aware of the scope of the provisions of this article! France is a country of freedom. Let us keep the culture and spirit of the French school alive. For this, let us legislate on the school, removing any ideological dimension. Let us legislate only for the benefit and for the good of the children!
ParlaMint-FR_2019-02-13-O1147.u242	Mrs Anne Brugnera has the floor.
ParlaMint-FR_2019-02-13-O1147.u243	[[Applause on several benches of the LaREM group]] I will be brief: this important article enshrines our kindergarten in the code of education, which we are extremely satisfied with.
ParlaMint-FR_2019-02-13-O1147.u244	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-13-O1147.u245	This article invites us to reconsider some of the consequences of the decision to lower the age of compulsory education to 3 years. Discussions with the departmental homes of disabled people – CDMH – reveal that many of the 25,000 out-of-school children are disabled. At last year's school year, the availability of an AESH for each student with a disability was not guaranteed. Minister, you have been regularly questioned on this subject by all the benches of this House. I would like to warn you once again because the obligation of education that you establish will force families to attend school next year, of course, 3 years old, but also 4 and 5 years old, which will make a large number of children. Can you assure us that the children concerned will be cared for in a satisfactory manner? Do we have the guarantee that they will all have an AESH? Will local and regional authorities receive financial compensation?
ParlaMint-FR_2019-02-13-O1147.u246	Mr Régis Juanico has the floor.
ParlaMint-FR_2019-02-13-O1147.u247	I have three specific questions that may shed some light on the concrete consequences of the three-year requirement. The first concerns the number of staff required to supervise new students. The projected population decline is estimated at 35,000 children next year, 50,000 the following year and 50,000 the following year. The impact study evokes the number of 1000 agents needed to supervise the 26,000 new students, but can you give a more precise figure? The same study reports 500 jobs related to the support of students with disabilities: is this figure oversized, does it correspond to the projections of your services? I would also like to reiterate my questions on the timing and staffing of Guyana and Mayotte. My second question concerns the obligation of attendance, which will have to be controlled by the academic services. These services are already carrying out many tasks, and will also include monitoring of family education for children between the ages of 3 and 5 years, which has not yet occurred. The monitoring of attendance is likely to occupy an important place in the work of these services. How do you envisage it? Finally, as François Pupponi said earlier, the code of municipalities specifies that every nursery class must benefit from the services of an ATSEM. Will this provision apply to private schools?
ParlaMint-FR_2019-02-13-O1147.u248	Mrs Sylvie Charière has the floor.
ParlaMint-FR_2019-02-13-O1147.u249	The Government will propose to us after Article 3 an essential amendment for our young people, introducing a training obligation until the age of 18. Behind this amendment lies all the work on the fight against school dropout, the construction of the student's project, its accompaniment and, ultimately, youth unemployment. It is essential not to let any young college student disappear, become invisible when he has left the colleague, is 16 years old, his project of guidance needs to be reviewed or he has failed to find a company to accommodate him in apprenticeship. This drop-out mainly affects young people in priority neighbourhoods of city policy. We must have the collective ambition, territory by territory, to "hang up" them, to accompany them at best, to offer them in and out of national education incentives, individualised, including in a protected situation, in order to help them regain meaning, meaning. [[Fiona Lazaar and Véronique Riotton applaud]] All actors will have to mobilize around the young person: school, association, local mission, company, training centre for apprentices. It will be a mutual commitment of the young and the State. This is a major issue for our country.
ParlaMint-FR_2019-02-13-O1147.u250	Mrs Beatrice Piron has the floor.
