ParlaMint-FR_2019-02-15-O1153.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1153.u133	The day after the discussion we had in committee, Minister, you operated your communications services. Whether in the regional daily press or in the national press, we felt like a retropaedalage on the subject, on the theme: "Everything is settled! You said that the services would be distributed fairly throughout the territories, that the reform would be in the direction of strengthening proximity, that the DASEN would have more powers and that you had decided not to retain what the Weil report called for. On the substance, we fully agree, except that article 17 has not varied by one iota: it always tends to allow the Government to take, by order, measures in the field of the law and made necessary by the new territorial division of academic districts, within the perimeter of the regional administrative districts of the State. In other words, it means that there will be a rector with decision-making and management power in the major regions under the NOTRE Act. From the perspective of the future European community of Alsace – its creation is foreseen by the agreement signed in Matignon by the Prime Minister – the Alsatian municipalities are obviously very worried. I have already seen the deliberations of municipal councils calling for the maintenance of a full academic seat in Strasbourg. That is why, if there is no explanation, we are asking for the deletion of this article.
ParlaMint-FR_2019-02-15-O1153.u134	Mrs Elsa Faucillon has the floor to support Amendment No. 563.
ParlaMint-FR_2019-02-15-O1153.u135	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u136	I call Mrs Michèle Victory to support Amendment No. 738.
ParlaMint-FR_2019-02-15-O1153.u137	The players in the educational world in the various regions, and in particular in the Auvergne-Rhône-Alpes region, where I am elected, are concerned. It is a very large area: between Moulins and Die, or between Annecy and Aurillac, a few hundred kilometers ago. National education staff question the academic entities resulting from the new division. The merger raises two issues: the management of staff and the improvement of teaching machinery. On the first point, what will be the improvements in working conditions? What is the right step for making decisions? What social dialogue has been established? What will be the management of the intern media? What will governance be? There are real concerns for people living in territories that have been recomposed on a gigantic scale. The problems of human management in the academies have never been simple, I do not teach you anything, but it is rather boring to see that things will evolve towards the greatest while we are rather in search of proximity. In terms of personnel management, national education is still not at the top!
ParlaMint-FR_2019-02-15-O1153.u138	I call Mrs Sabine Rubin to support Amendment No. 783.
ParlaMint-FR_2019-02-15-O1153.u139	We support this deletion amendment for all the reasons that have been mentioned. First of all, we would like to understand the meaning of this redistribution: what do you want to redo? Why should this coincide with regional division? We tend to wonder if it is not to save administrative staff; This will certainly be the case, with the risk of less proximity, both for human resources and for the educational axes. What's more, why proceed by prescription?
ParlaMint-FR_2019-02-15-O1153.u140	Mr Vigier has the floor to support Amendment No. 868.
ParlaMint-FR_2019-02-15-O1153.u141	Defendant.
ParlaMint-FR_2019-02-15-O1153.u142	I call Mrs Emmanuelle Ménard to support Amendment No. 968.
ParlaMint-FR_2019-02-15-O1153.u143	The purpose of section 17 is indeed to match the academic constituencies with the major regions resulting from the NOTRE Act, despite the retro-pedaling that we witnessed after the discussion in committee. By wanting to reduce the number of rectorates and by concentrating the powers in the hands of the regional rectors, you follow a logic of recentralization and renationalization of policies, a vision that further distances the decision-making centres from the citizen. We are moving towards greater uniformity, while the singularities of the territories require differentiation: this is an additional cause of concern for many municipalities. A good balance is needed between national policy and local variations. The current crisis in France continues to highlight this legitimate claim. It is particularly important that the territories and local actors do not feel left behind or left behind because it is their action that is the basis for the proper implementation and implementation of this bill. In addition, making the choice of order outside of any urgency and when there is no concrete justification for it is tantamount to denying, once again, the rights of Parliament. That is why I am requesting the deletion of Article 17.
ParlaMint-FR_2019-02-15-O1153.u144	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u145	On the substance, I understand that there are many questions about an order which, by definition, we do not know the details of. However, for my part, I believe that the impact assessment, the numerous hearings we conducted on the subject, or the responses provided by the minister in committee, have provided us with sufficient evidence. On the form, I find it somewhat exaggerated that we are accused of a lack of debate because there was one in committee and we have one again tonight.
ParlaMint-FR_2019-02-15-O1153.u146	We didn't get an answer!
ParlaMint-FR_2019-02-15-O1153.u147	You're gonna get them! In any event, I am against the deletion amendments.
ParlaMint-FR_2019-02-15-O1153.u148	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u149	We want answers!
ParlaMint-FR_2019-02-15-O1153.u150	[[Exclaims on the benches of the LR group]] Since Monday, I have said several times that in the history of ideas, interesting things have happened, often on the right side of the House; among the innovations of the week, I note that the heirs of General de Gaulle would now be against the ordinances.
ParlaMint-FR_2019-02-15-O1153.u151	You're not going to give us a course on the Fifth Republic!
ParlaMint-FR_2019-02-15-O1153.u152	The problem is, there are too many prescriptions!
ParlaMint-FR_2019-02-15-O1153.u153	Beyond that, inaccuracies have been said and I wish to return the chronology of what really happened. I see once again that our method of taking a step-by-step decision, by listening to each other, is challenged on the pretext that we are not going fast enough or that we are going too fast. But we do not appreciate, I insist, that we have taken the time. We pursue two objectives and each time we forget one to retain only the other. The first is precisely to pursue a policy of proximity. In this way, we will step up the départementization of national education and even enhance the sub-departmental level – and that is why, earlier, I spoke of the inspectors of national education and therefore of the district of first degree which, in my view, is essential. In the same way, I mentioned it in committee, since the beginning of last year, we have been experimenting with local human resources management, a practice that we will strengthen and whose principle is to set up human resources management staff in institutions, in a territorial jurisdiction corresponding to a network of establishments, namely, roughly the equivalent of this first degree constituency; On this scale, it is a question of "rehumanizing" the management of the human resources of national education. This major point is sometimes the blind spot of the debates because we consider our decisions only within the framework of the NOTRE law. However, since the beginning, almost a year ago, we have been doing the step by step that I have just indicated. With this authorization given to the Government to legislate by order, we are taking a major step that is not the first or the last. And since this is an empowerment, the Government will come back to you and the debate will therefore be widely public. That is why, Mr Hetzel, I very much regret that you violated the rule that you would not have cited my Chief of Staff. Indeed, the comments he made were only part of the continuation of the public debate. When I say things in committee, the trade union organisations accuse me of having first spoken to the Members and when I speak with the representatives of the same organisations – who often speak to journalists themselves – it is the parliamentarians who regret not having had the first word of my speech. I am in fact trying to engage in open dialogue with national representation – I believe in its prerogatives and in the need for the Government to be accountable to it – and I must also have a social dialogue. What happened? First of all, we have taken note of the fact that national education – and that is still true at the time I speak to you – was, because of the NOTRE law, in a weak situation linked to the creation of the large regions, while the functioning of the academies remained the same. Everyone, including the rectors appointed under the previous quinquennium, was aware that we were in a bad situation and that we had to change it. That's why I ordered a report from Mr. Weil, Mr. Ducrip and...
ParlaMint-FR_2019-02-15-O1153.u154	Thierry Bossard?
ParlaMint-FR_2019-02-15-O1153.u155	No, not Thierry Bossard.
ParlaMint-FR_2019-02-15-O1153.u156	Brigitte Macron?
ParlaMint-FR_2019-02-15-O1153.u157	The report by Mr Weil, Mr Dugrip and Mrs Luigi, which was given to me last year, was, it is true, advising a rapprochement of the academies within the framework of the regions, and even thought for their fusion. In September, I asked all the rectors of France to conduct local consultations, both internally, administratively and externally, with the local elected representatives in particular, in order to find the best solutions. The recommendations came to me in November. This process has been perfectly public. So it was throughout December that with Frédérique Vidal, I was able to study the different scenarios. From the beginning, I submitted the decision to the criterion that cities that are not considered metropolitan cities should not only feel weakened but should feel strengthened by reform; to the point, moreover, that rumours have circulated that a city with these characteristics could become the regional capital of national education. This idea took place at one point: Limoges was spoken of as the capital of national education for the entire New Aquitaine region. This idea was not retained but we wanted to value cities like Limoges, Reims, Clermont-Ferrand, Amiens, today rectorate seats and which can consider themselves weakened by the NOTRE law. But we had the opportunity – and we still have it – with the territorial reform of national education, to take what is positive in the regionalisation carried out three years ago and to compensate for what is negative and therefore, I repeat, to value the cities that are not considered metropolises. This is always our intention, and it is to this end that you will be able to judge the content of the ordinances. If we had merged the academies, the aim would have been to bring together all the functions in a single rectorate while maintaining – and we have always guaranteed that we would – the existing settlements. Take the example of the Nouvelle-Aquitaine region: while Bordeaux became the capital of the region, the sites of Limoges and Poitiers remained. If we had not maintained the rectorates, everyone would have felt that Limoges and Poitiers would have been blurred, even if we had taken a thousand perfect measures for these two cities. We therefore wanted to send a signal to all these cities by taking the decision, not only that I fully assume but that I am proud of, to keep all the rectorates. However, this is not synonymous with immobilism. We have identified a dozen missions for any rectorate and half of them can be merged and assigned to one of the rectorates with academic scope. A typical example is the orientation, which is the responsibility of the region, but on which national education, through the head of the academic service of information and guidance, CSAIO, continues to exercise skills. It is entirely logical that there is now a regional SIRC with the Rector. Well, this CSAIO will operate from one of the cities in the academic region. National education guidance services will therefore merge on a region-wide basis. However, I would like to reassure you that this does not mean that staff will have to move. Some will do so if they wish because all of these changes will create career opportunities, which is a good thing. But there will be no forced mobility. The rectorates will therefore be maintained, with the exception of those of Rouen and Caen who will merge, what was planned, I announced right before the conclusions of the concertation, that is to say a year and a half ago, and I note in passing that this experimental process proves to be most interesting. For all the other academy rectors, there will be a primus inter pares, the regional rector, who will have hierarchical authority for national education throughout the region. Under the authority of the regional rector, some services will merge and others will not, on the basis of logical considerations – I have mentioned the services of guidance which, very clearly, benefit from merging when others, on the contrary, do not need it, and this is the whole end of the administrative work under way. These mergers can be an opportunity to value rectorates that are not regional rectorates. In this way, one can very well imagine that Limoges, in addition to the one she already has, will have the competence for vocational education in the whole of the Nouvelle-Aquitaine region. The aim is thus to obtain what could be called added value for all rectorates. We expect a great deal from this reorganization, which will allow us to refine the work of the community, according to what might be called a subsidiarity principle, but also to have a strategic vision at the regional level, which will ensure the coherence of the action of the two or three rectorates of the same region and the coherence of the action of the region with that of the Ministry of National Education. [[Mrs Elsa Faucillon and Mrs George Pau Langevin laugh]] [[Applause on many benches of the LaREM group]] I remember talking to you, ladies and gentlemen, about hearing your concerns about the risk of the disappearance of a particular rectorate. So you have been very much listened to and, despite that, I see, once again, that you do not recognize it. But that's not the main purpose I was pursuing. What we need to achieve is an organization that retains the qualities of regionalization while making up for the shortcomings that we all see in the NOTRE law. The authorization that we propose to vote on is based on clear principles, which are explained to you today after a first clarification in committee. I will return to this, of course, on the understanding that in the coming months the social dialogue will continue.
ParlaMint-FR_2019-02-15-O1153.u158	Mr Philippe Vigier has the floor.
ParlaMint-FR_2019-02-15-O1153.u159	We have listened to you, minister, but you have gone only half the way and you have come into resistance. The question of the large regions drawn up by the NOTRE law often comes back to the discussion. If you observe the regional prefectures, they have drawn all the powers of the departmental prefectures.
ParlaMint-FR_2019-02-15-O1153.u160	Yes!
ParlaMint-FR_2019-02-15-O1153.u161	That's right.
ParlaMint-FR_2019-02-15-O1153.u162	And if the President of the Republic himself announced this week at Glaclaysse-Dampierre that we were going to give up energy, mobilize people – and you just reminded him about national education – to strengthen sub-regional skills, you will be caught up in reality, Minister. In my small region Centre-Val de Loire, which has only six departments, the rectress is very good, but we still see very little. But perhaps you have the means – national education is the nation's first budget; And it all starts at school! – not to give in to the logic of the NOTRE law which has been one of the terrible mistakes of the last five years.
ParlaMint-FR_2019-02-15-O1153.u163	That's right!
ParlaMint-FR_2019-02-15-O1153.u164	With this bill for a school of trust, it is precisely the trust that must be restored with the local authorities, and you must say, for example, that you will maintain human resources management at the sub-regional level.
ParlaMint-FR_2019-02-15-O1153.u165	All right!
ParlaMint-FR_2019-02-15-O1153.u166	[[Applause on the benches of the LT, LR and UDI-Agir groups]] However, I visited Normandy shortly ago, where, after the entry into force of the NOTRE law, we were obliged to physically separate part of the services. Not everything will be done via digital, not everything will be done with video conferencing and, on the other hand, if you question them, the agents will tell you that they are tired of taking the train or the car. That is why the emphasis must be placed on territoriality: it is an opportunity for France, it is a force of France.
ParlaMint-FR_2019-02-15-O1153.u167	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1153.u168	You have just recalled, Mr Minister, that you listened to us and, indeed, when you came to Strasbourg, you consulted the Members. But let me tell you that it's the least. If a minister does not have a minimum of exchanges with the representatives of the nation... And since it's the minimum, it's nothing extraordinary. What we regret is that our exchanges have not produced all the necessary consequences. Indeed, for a moment now we are alerting you that what you are proposing is dangerous. You have given us many explanations but it is one that you have still not given us when we ask you now for fifteen days: who will be responsible for the operational budget of the program – BOP –, the thirty academic rectors or the thirteen of them who will be rectors of the region? But you know perfectly well – you have been rector, you have been director general of school education, you are today minister – that this is not a detail: you know that this is where the decision will be made. Depending on the option you choose, the consequences will be really different. We are afraid to find ourselves, initially, with seventeen devitalised rectors who will not be responsible for any operational program budget, then, in a second phase, because we know exactly what happens when a function is devitalised, with the removal of the latter. That is exactly what the President of the Libertés et Territoires Group has told us. We have already experienced the same situation with the regional health agencies. We had one full exercise in Alsace which has now moved within the Grand Est region – it is in Nancy. Today, we must start by talking to the Deputy Director in Strasbourg and then go to Nancy to take the decision. In fact, you do not simplify things at all for the elect; You make them more complex. You claim that you are improving the situation, but we tell you that exactly the opposite will happen. None of the arguments that you have developed so far provide a precise answer to an essential question. Not to say today to the national representative who will be responsible for operational budgets is still quite shocking.
ParlaMint-FR_2019-02-15-O1153.u169	Please close.
ParlaMint-FR_2019-02-15-O1153.u170	[[Applause on the benches of the LR group]] Let's add to that that on such a subject, you use prescriptions. If things are as fluid as you claim, why do you need to go through prescriptions? What are you afraid of? Obviously, you are afraid of national representation. It is true that we also wish to have an influence on the decision-making process. It's our role as a parliamentarian, it's our honour!
ParlaMint-FR_2019-02-15-O1153.u171	Mr Régis Juanico has the floor.
ParlaMint-FR_2019-02-15-O1153.u172	Minister, I would like to take this opportunity to ask you about the staff of the Ministry of Sport. It's my kind of monomanic side.
ParlaMint-FR_2019-02-15-O1153.u173	[[Smile]] We didn't dare say it!
ParlaMint-FR_2019-02-15-O1153.u174	Since 2010 and the general review of public policies, the deconcentrated services of the State of this sector, the departmental directorates of social cohesion – DDCS – and the regional directorates of youth, sports, and social cohesion – DRJSCS – are under the responsibility of the Ministry of Social Affairs. An ongoing reflection should allow for the creation of an educational and sports centre, which would make it possible for these staff to be attached either to the academic director or to the rector. This topic concerns both sports teachers and sports animation advisors. The discussion is taking place right now with the union organizations, your department, and the sports department, but it seems to me very important that you can take stock of the issue so that the staff involved in the deconcentrated services know more precisely how they will evolve. Will the future education centre make a real place for officials under the Ministry of Sport?
ParlaMint-FR_2019-02-15-O1153.u175	I put to the vote identical amendments Nos 13, 52, 179, 305, 563, 738, 783, 868 and 968.
ParlaMint-FR_2019-02-15-O1153.u176	The result of the vote is as follows: Number of voters 53 Number of votes cast 52 Absolute majority 27 For adoption 19 Against 33
ParlaMint-FR_2019-02-15-O1153.u177	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1153.u178	I share the content of your remarks, Mr. Vigier. I hope I was clear enough, but what I said was in total tune with your arguments. We have taken into account the negative effects of the NOTRE law in making our decisions in order to end the very real problems that you have just described. Indeed, we propose an increased departmentalization of national education, and the creation of a sub-departmental scale, which is now almost non-existent for the second degree. All this corresponds to my speech on rural school, and on the issues of proximity. National education is today the public service of proximity par excellence, with 60000 establishments if one counts schools, colleges and high schools. It is a chance for France because it allows us to knit the territory,...
ParlaMint-FR_2019-02-15-O1153.u179	Absolutely!
ParlaMint-FR_2019-02-15-O1153.u180	... including the provision of synergies between national education and other sectors. An educational, cultural, and sporting policy of proximity necessarily depends on this proximity to national education. We are, of course, working in this spirit, honourable Member, and there is no question of deterritorializing national education. Mr Hetzel, I will answer you very precisely and at the moment: national representation will be the first to be informed. Academy rectors will be well responsible for BOPs, and regional rectors only from BOP dedicated to support functions, i.e. administrative functions, which is quite logical. The BOP 140, 141, and 230, i.e., the BOP Primary School Education, Secondary School Education, and Student Life, respectively, will be the responsibility of the rectors of the academy, i.e. the rectors as we know them today. BOP 214, Support for National Education Policy, will report to regional rectors. I hope, honourable Member, that I have just extinguished the fear that you are beginning to manifest. It's normal to ask questions...
ParlaMint-FR_2019-02-15-O1153.u181	And get answers!
ParlaMint-FR_2019-02-15-O1153.u182	... without being connoted by a suspicion, in this case, excessive. Since you feared devitalization if we had not made the arrangements that I just announced, you will recognize our willingness to ensure the vitality of each of the rectorates. I admit I don't see why I could wish anything else. We all want France to be well meshed territorially, rural primary school to be strong, and departmental implementation to be successful.
ParlaMint-FR_2019-02-15-O1153.u183	All right!
ParlaMint-FR_2019-02-15-O1153.u184	We must sometimes fight against the natural inclinations of society, but that is precisely what we want to do, and I want to show it by responding to Mr Régis Juanico. You are right, honourable Member, there are synergies between the subjects of youth and national education. That is why I am Minister of National Education and Youth, with expertise in the field of associative life. It is also for this reason that Mr Gabriel Attal joined me as Secretary of State to support me in this supplementary mission. We are, of course, working very closely with the Minister of Sport, since there have always been clear links between youth and sports. Trade union organisations have long been waiting for a rapprochement between sport and national education, because they know that it is the way to be stronger, but also to develop real synergies in the service of young people. We therefore wish to take this direction. As you have indicated, a reflection is under way, I would even say that this is a process to move towards these educational hubs that will allow us to create synergies between those working on youth, those working on sports, and those working on education. These synergies are obvious if we think about the plan on Wednesday or all the extracurricular activities. These educational hubs will allow us to be more effective, as close as possible to the territory, in obtaining a more systemic and complete view of the child's time, that is, his or her school time and his or her extra-curricular time. I expect from this development both a development of extra-curricular activities, in connection with local communities, a rebound of holiday settlements – it will not be easy, but we are working on it – and, more generally, a stronger youth policy because it will be in synergy with more motivated staff as they expect this rapprochement. As we see it, and the expectation of this was apparent in all your comments, these reorganizations can promote an educational state for young people that will break the territory and compensate for the problems arising from the NOTRE law. Beyond that, we can expect from these reorganizations real progress for school and extracurricular life.
ParlaMint-FR_2019-02-15-O1153.u185	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-15-O1153.u186	By putting pressure on the Members of the Group of the European People's Party The Republicans have been able to explain their concerns for territorialization on a long, broad and cross-sectional basis.
ParlaMint-FR_2019-02-15-O1153.u187	What does that mean? You don't have to talk to us!
ParlaMint-FR_2019-02-15-O1153.u188	[[Murmures on several banks in the LR Group]] The Members of the Group of the European People's Party and Members of the Group of the European People's Party have expressed little opinion on this subject, but I would not like to suggest that the Members of the LR Group are the only ones who are concerned about it. It is not for nothing that the Minister for Territorial Cohesion and Relations has come from our ranks. We discussed with the Prime Minister, to whom we expressed our concerns on this subject in committee, the real place of debate. We have been assured that you are defending territorialization, minister. That's why we're behind you.
ParlaMint-FR_2019-02-15-O1153.u189	I have before me two amendments, Nos 658 and 204, which can be discussed jointly. I call Mr Maxime Minot to support both amendments.
ParlaMint-FR_2019-02-15-O1153.u190	I am only a co-signatory to Amendment No 658 by Mrs Isabelle Valentin, to which I prefer Amendment No 204, which is intended to provide for prior authorisation by the State representative in the department before any proposal to amend the school card. It establishes a space for compulsory dialogue with departmental associations of mayors, parliamentarians, departmental councillors and student parents' associations. Currently, the mayors of the municipalities concerned are already more or less consulted, but the other elected representatives and stakeholders are not.
ParlaMint-FR_2019-02-15-O1153.u191	Is that your concept of dialogue?
ParlaMint-FR_2019-02-15-O1153.u192	I have before me two identical amendments, Nos 14 and 739, to delete Article 18. I call Mr Maxime Minot to support Amendment No. 14.
ParlaMint-FR_2019-02-15-O1153.u193	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u194	Mrs Michèle Victory has the floor to support Amendment No. 739.
ParlaMint-FR_2019-02-15-O1153.u195	He is also defended.
ParlaMint-FR_2019-02-15-O1153.u196	I have before me a number of amendments to the additional article after Article 18. Mrs Pau-Langevin has the floor to support Amendment No. 626.
ParlaMint-FR_2019-02-15-O1153.u197	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u198	The Minister has the floor to support Amendment No. 677.
ParlaMint-FR_2019-02-15-O1153.u199	The main task of the Standing Committee, which comes from the board of directors of local public educational institutions, is to examine the matters to be examined by the board of directors of the institution. At present, the Board of Directors has the possibility of delegating powers to the Standing Committee, with the exception of some of them, taking into account their importance, namely: the establishment of principles for the implementation of the educational and educational autonomy of the institution; the adoption of the establishment project, which may provide for the conduct of educational experiments and the approval of the objective contract; the examination each year of the report on the educational functioning of the institution and its material operating conditions; the adoption of the institution's budget and financial account; the adoption of tariffs for the sale of products and the provision of services by the establishment; the adoption of the rules of procedure for the establishment and, finally, the appointment, on an experimental basis and for a maximum period of five years, of the Chairman of the Management Board from among persons outside the institution serving on the board. Over time, the powers of the Board of Directors have been expanded. Therefore, the effective delegation of some of its powers to the Standing Committee is now essential in order to refocus the work of the Management Board on the issues that it considers to be most important. It is therefore proposed to transform this delegation to the Standing Committee into an obligation on a specified list of fields. The scope of powers which may be delegated by the Management Board to the Standing Committee will continue to be regulated, with the Management Board, of course, the only decision-making body within the institutions. Decisions taken on delegation by the Standing Committee will continue to be forwarded to the members of the Management Board within 15 days.
ParlaMint-FR_2019-02-15-O1153.u200	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u201	Favourable.
ParlaMint-FR_2019-02-15-O1153.u202	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-15-O1153.u203	I wonder about the philosophy of this amendment. While delegations to the Standing Committees in practice allow decisions to be taken quickly without too much formalism, the Board of Directors, which we wish to divest here, remains the body in which everyone is represented and can debate. This is also a new example of the tendency to make compulsory what was only optional. No one is there anymore, no one knows exactly who decides what, which results in a lack of ownership of the deliberations.
ParlaMint-FR_2019-02-15-O1153.u204	He's right!
ParlaMint-FR_2019-02-15-O1153.u205	Through such arrangements, technocracy is really at work – and I think no elected member of a board of directors can support them –; We will have great abstract debates in the boards of directors, but they will be services that, in the shadow of their offices, will make the real decisions. This really refers to a question of principle because if a ras-le-bol is expressed today in our country, it is also for this reason, it is also because of the loss of those moments when we take the time to deliberate to appropriate decisions. This never-ending desire to make people happy despite them provokes the reactions we see today. I am, to say the least, very reserved on the Government's amendment.
ParlaMint-FR_2019-02-15-O1153.u206	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-15-O1153.u207	This does not happen often, but I agree with my colleague Xavier Breton.
ParlaMint-FR_2019-02-15-O1153.u208	Everything's happening!
ParlaMint-FR_2019-02-15-O1153.u209	If I understood the amendment correctly, the authorisation to sign a contract would disappear from the agenda of the Management Board for the benefit of the Standing Committee. However, while the purchase of a photocopier in a college may seem to be a purely administrative matter, it is not the case, for example, of investment in equipment in a vocational high school, which can justify a debate. The life of an establishment is precisely made of all these small and great things, often extremely connected with each other. I am therefore very much in favour of the amendment, for the same reasons as Mr Breton. There is nothing to prevent the Board of Directors from deciding democratically, at its first meeting, the issues to be dealt with by the Standing Committee. On the other hand, can you confirm to me, Minister, that the review of the overall hourly staffing will remain within the jurisdiction of the Board of Directors?
ParlaMint-FR_2019-02-15-O1153.u210	Of course.
ParlaMint-FR_2019-02-15-O1153.u211	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1153.u212	In substance, however, there is a major difficulty, as local elected officials who sit on college or high school boards are about to be removed from power. On the form, you are not going to tell me, minister, that the subject has arisen in the last fifteen days! Again, we are faced with a provision that has not been the subject of an opinion of the Council of State or an impact assessment. Similarly, on such matters, one would like to know the opinion of the Association des régions de France or that of the Association des départements de France. I repeat: you speak of trust, but we wonder what you are doing to create the conditions for it. This kind of provision shows, once again, that you are rather in a logic of distrust.
ParlaMint-FR_2019-02-15-O1153.u213	Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-02-15-O1153.u214	Indeed, I do not see where trust is when the Board of Directors is forced to delegate its powers to the Standing Committee when it can now do so according to its own free will. I am more than reserved on this amendment. Let the members of the board of directors decide what should be the subject of their deliberations! Why want to require elected officials to transfer their powers to a body that does not necessarily reflect all the sensitivities represented on the board of directors? It would be an unacceptable loss of democracy and representativeness.
ParlaMint-FR_2019-02-15-O1153.u215	Freedom!
ParlaMint-FR_2019-02-15-O1153.u216	Mrs Cécile Rilhac has the floor.
ParlaMint-FR_2019-02-15-O1153.u217	It is the former head of the institution who asks for clarification of this amendment, because the latest interventions lead me to question his interest. I would point out that the Standing Committee does not include, for example, representatives of pupils or of parents. And I see that we are talking about the adoption of the rates for the sale of the services and products provided by the institution, the adoption of its budget and its financial account, or the experimentation of educational content, which is not only a matter of the relationship between the teachers and the head of the institution, but indeed of the entire educational community. I am in favour of the delegation's principle, but I am still dubious about the value of extending it to certain areas.
ParlaMint-FR_2019-02-15-O1153.u218	Mr Frédéric Reiss has the floor.
ParlaMint-FR_2019-02-15-O1153.u219	Until then, things were clear in the institutions: it was the board of directors that distributed the responsibilities. But the amendment tends to impose the delegation on the Standing Committee, which raises many questions. Mrs Rilhac has just said that certain categories, including the parents of pupils, are not represented on the Standing Committee and will be put before the fait accompli. And then we must not forget that there are financiers behind – departments for colleges, regions for high schools – who also have their say. Did the consultation really take place with them?
ParlaMint-FR_2019-02-15-O1153.u220	All right!
ParlaMint-FR_2019-02-15-O1153.u221	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1153.u222	I think that this provision does not deserve too much honor, but not the indignity that some of you are beginning to attribute to it. I have said on several occasions that I am proposing important measures with this bill, but I do not feel that it is part of it at all.
ParlaMint-FR_2019-02-15-O1153.u223	Don't propose it in this case!
ParlaMint-FR_2019-02-15-O1153.u224	I didn't say it didn't matter, though. In any event, what I hear seems to me to be a logic of suspicion which is not appropriate. On the other hand, I am somewhat surprised by the basis of the reasoning presented. Everyone knows that in the Standing Committee there are the same categories of representatives as in the Board of Directors – including the parents of pupils. From this point of view, there is nothing anti-democratic. It is as if it were considered less democratic to debate in your Committee on Cultural Affairs and Education rather than in the Chamber! However, it is also Members who sit there, and if the Standing Committees do not exist, they should be invented because they tend to simplify parliamentary life. It turns out that the extension of the powers of the boards of directors has led to a form of congestion. The risk, if nothing is done, is that it will become tedious to sit there, that part of the educational community will be discouraged from participating. The aim is that the board of directors should be able to concentrate on the essentials while keeping control of the whole – since what is decided by the Standing Committee then comes before it. Such arrangements are classic in both somewhat complex organizations, where many decisions need to be taken. And I maintain that this provision is in line with a logic of trust, since in the Standing Committee there are the same categories as in the Administrative Board; Its members are only fewer, allowing them to work differently. This is a fairly banal measure, I do not make it the alpha and the omega of the modernization of national education. There's no need to worry.
ParlaMint-FR_2019-02-15-O1153.u225	The board of directors should not be obliged to delegate!
ParlaMint-FR_2019-02-15-O1153.u226	Mr Aurélien Pradié has the floor.
ParlaMint-FR_2019-02-15-O1153.u227	Mr Minister, first of all I would like to remind you of a basic principle: everything that is being discussed here is important; There is no hierarchy between the questions on which Members are voting. There is not, contrary to what you often claim, anodizing measures that should be examined quickly, without debate: all that is going on here is important, one point that is all. Furthermore, I would like to point out that the delegations given to their permanent committees by the deliberative assemblies – whether they are the National Assembly, the regional councils or the departmental councils – are not decided by an outside actor but by the assembly itself. In this case, it is a decree in the Council of State which will indicate the powers which must be withdrawn from the sovereign assembly in order to be entrusted to a secondary and restricted assembly. It's fundamentally different. You are therefore wrong to claim that the mechanism that you want to see applied to the boards of directors of institutions applies elsewhere. That is not the case at all.
ParlaMint-FR_2019-02-15-O1153.u228	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-15-O1153.u229	First of all, a formal remark: why go through an amendment? If this is really an indispensable measure, which is notoriously needed, you have to think about it for a long time. Why did you avoid the debate in committee and the collection of opinions, if not to try to pass in force, in the middle of the night, arguing that the subject is secondary? As my colleague Pradieu puts it very well, it is not for the minister to decide whether the subject is secondary or not: it is we who are doing the debate here, not the government. Your method betrays a disregard for parliamentary work and a lack of confidence in local actors. Second point: you say, Minister, that too heavy agendas discourage people from attending meetings, whereas that is quite the opposite. Look at what is happening in the intercommunities where we are delegating everything to the office today: no one goes to the community council, whose activity is more than formalism.
ParlaMint-FR_2019-02-15-O1153.u230	It depends!
ParlaMint-FR_2019-02-15-O1153.u231	And it is sometimes a small file – the purchase of a photocopier, to follow Mrs Faucillon's example – that provokes a debate because one then touches on the concrete life of the establishment. The provision you propose is inspired by distrust, since it provides for an obligation. It's a technocratic measure from above. A little freedom! Let the actors of the educational community live! They're big enough to decide. There is enough to see the whole country put under guardianship. The state wants to order everything from its central services. "That's enough! That is what the citizens tell you. Of course, it is not this provision that will revolutionize the education system, but don't worry, neither is the rest of your law. There won't be much left of it. I am a member of the boards of directors of eight institutions and their standing committee, and I can tell you that the boards of directors of high schools are places where there is a free debate. When everything goes on in a standing committee, people will say, "If it's only to have big policy debates or discussions of the same kind, there's no need to come. This will be exactly the result of your measurement. Trust the actors, give them freedom.
ParlaMint-FR_2019-02-15-O1153.u232	Mrs Cécile Rilhac has the floor.
