ParlaMint-FR_2019-02-12-O1145.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-12-O1145.u123	My second point concerns the word "emancipation". According to the rapporteur, it would be a matter of emancipation from the family; But the family is not a curse! It is often even a blessing; It is the place where we meet, where we can share joys as well as trials. We do not share your negative view of the family and, in the word "emancipation", we prefer that of "exploitation". A child can flourish with what is given to him; and what is given to him is his family. From time to time, it is true, families are not up to the challenge; But that is, again, an exception. Ask our compatriots: The family is the place where they often find refuge and comfort, when an accident of life occurs, when they find themselves unemployed or face illnesses, or trials. This is our fundamental difference: you want to emancipate the children of their families, when we want them to flourish. Two visions of the school are therefore opposed, and we assume ours.
ParlaMint-FR_2019-02-12-O1145.u124	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-12-O1145.u125	Parents are the first educators of their children, yes, but not always, unfortunately. To include in the law that the school must respect the values received from the parents is likely to cause serious difficulties of implementation. If only for pragmatic reasons, we would therefore benefit from stalemate on these amendments.
ParlaMint-FR_2019-02-12-O1145.u126	Mrs Danièle Cazarian has the floor to support Amendment No. 745.
ParlaMint-FR_2019-02-12-O1145.u127	I propose to supplement article L. 131-1-1 of the Education Code with the words: "in compliance with the minimum requirements of life in society", a legal concept enshrined by the Constitutional Council in 2010 in its decision on the law prohibiting the concealment of the face in public space, and then by the European Court of Human Rights. This amendment therefore brings together, in a single expression, a body of texts and principles relating to living together, whether it concerns the fight against violence against women, against harassment, against discrimination or against sectarian and radical drifts. In a fragile societal context, the Republican school must strongly reaffirm that it is a place for the transmission of tolerance and republican values. At a time when the Minister intends to make respect for others one of the pillars of the republican school, it seems to me useful to supplement, in the sense that I propose, the article of the education code which declines the objectives of the right to education.
ParlaMint-FR_2019-02-12-O1145.u128	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u129	In the Education Code, the right of the child to education includes the guarantee given to him, through the education received, to share the values of the Republic and to exercise his or her citizenship. You are proposing here, my dear colleague, that this provision be supplemented by the mention of the "minimum requirements of life in society", which are already included – and even, it seems to me, exceed – the values of the Republic and the exercise of citizenship. Your amendment therefore seems to me to be satisfactory: an unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u130	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u131	Same opinion.
ParlaMint-FR_2019-02-12-O1145.u132	I have before me three identical amendments, Nos 20, 75 and 130. I call Mr Patrick Hetzel to support Amendment No. 20.
ParlaMint-FR_2019-02-12-O1145.u133	The aim is to clarify that "digital education" – now essential – "includes a prevention and management component of digital image". Mr Berta, in committee, spoke on this subject, which is one of his academic specialties. Indeed, it seems essential that any teaching of digital technologies be accompanied by their perspective, which implies the prevention of their potential risks. This subject, moreover, joins others that we have previously discussed, such as harassment on social networks.
ParlaMint-FR_2019-02-12-O1145.u134	I call Mr Cinieri to support Amendment No. 75.
ParlaMint-FR_2019-02-12-O1145.u135	The significant risks associated with the Internet are insufficiently known to children and families. Therefore, digital education must include a preventive component in order to educate children about the dangers of the Internet and digital technologies.
ParlaMint-FR_2019-02-12-O1145.u136	Mr Xavier Breton has the floor to support Amendment No. 130.
ParlaMint-FR_2019-02-12-O1145.u137	This amendment, identical to the two previous ones, is in some way a call – since I will no doubt be objected to the fact that there are already provisions on the subject. Yesterday, at the end of the morning, I was in front of a class of CM2 who, in my constituency, participates in the Children's Parliament, the theme of which, this year, is the proper use of digital technology. Students in this class met with those in other classes in the same primary school, especially in kindergarten. And the children of CM2 were wiped out by the use their kindergarten classmates already make of digital: they wondered about their exposure to screens in the evening or about the role of parents. Our earlier debates on the conception of education, which reflected convictions, may have been considered theoretical – I can hear it well – but, on the use of digital technology, there is a real urgency. From this point of view, the theme chosen for the Children's Parliament is of great interest, as it will encourage classes across our constituencies to reflect on the control of information and the media. This theme is developing in education, but I think we need to go further, given the urgency I was pointing out. Again, when one hears children of CM2 worrying about the use of screens that is made by their little brothers and sisters, this can question us.
ParlaMint-FR_2019-02-12-O1145.u138	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2019-02-12-O1145.u139	In committee, on the same subject, I reminded you that Article L. 131-2, which is the subject of these amendments, does not concern digital education itself, but the public service of digital education and distance learning, which is significantly different. I would add that these amendments are satisfied by Article L. 312-15, which states that, in the context of moral and civic education, "students are trained in order [...] to acquire responsible behaviour in the use of interactive tools when using online communication services to the public. They shall be informed of the means [...] to control their public image, of the dangers of self-exposure and of others, of the rights of opposition, suppression, access and rectification provided for by Act No. 78-17 of 6 January 1978 on computer science, files and freedoms, and of the tasks of the National Commission on Informatics and Freedoms." Unfavorable opinion, therefore.
ParlaMint-FR_2019-02-12-O1145.u140	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u141	Although some of the points that have just been raised are outside the scope of the amendment, I would like to point out that the exposure of the smallest to screens is a real subject. On this phenomenon of society, which obviously does not only affect France, we remain on alert, including within the framework of the initial and continuing training of teachers, with the aim of enforcing certain rules of non-exposure of children to screens. In a way, it is a matter of public health. In addition, testimonies from kindergarten teachers converge with what has just been described: they point to the extent to which, year after year, the concentration of children arriving will decline. It is also one of the reasons that can justify compulsory education from the age of 3 and the messages about kindergarten that we will deliver. You have also mentioned, perhaps more at the heart of these amendments, the protection of image and the right to privacy, a subject which indeed calls for education from an early age. The rapporteur has just given you some answers on this point. National education, already mobilized on the issue, has all the legal tools to that end, but it is clear that this issue must become central. Here again, we find the two key words of protection and ambition. These words, we see them translated into the evolutions of the pupils' programme, first of all in high school, where the common block of the second class includes a teaching of technology and computer science which gives a place to ethics: this is complementary to what is found, in this matter, in the moral and civic education which the rapporteur referred to. We also find them in the specialty teaching of digital and computer sciences first and final. This is how our strategy of protection and ambition unfolds. The problems that have been raised should not be underestimated: they are very important, and even central. But they can be solved by the measures that already exist. The amendments are therefore satisfied, and therefore my opinion is unfavourable.
ParlaMint-FR_2019-02-12-O1145.u142	Mrs Annie Genevard has the floor.
ParlaMint-FR_2019-02-12-O1145.u143	Minister, when I was mayor, we were very proud, I remember, to equip our elementary schools with computer rooms and appropriate equipment, because we felt that we were giving our students additional tools for school success. On the other hand, when we were asked to equip nursery schools also with computers, I was instinctively very reluctant, and I resisted as long as possible before doing so, considering that, in a very young child, educational added value was not self-evident. Then came the time when I could no longer resist, because the school curricula provided for this equipment and we had to submit to the obligation to provide screens from kindergarten. Today, the situation has changed: as you said, it is now a public health problem. There are many examples of children desocializing, endangering their health and experiencing addiction; for their families, the difficulty in understanding and solving the phenomenon is immense. In this context, the amendments under discussion can be regarded as appeal amendments – you say they are satisfied – designed to make us reflect on the minimum age at which IT should be introduced. I see very young children who, outside school, with their parents, manipulate tablets with incredible dexterity: they know very well how to do it and it is not necessary to expose them too early in the school setting on screens, whose assets are infinitely less for them than the risks. This is indeed an appeal: the subject deserves in itself that we think about it.
ParlaMint-FR_2019-02-12-O1145.u144	Yes, it's a beautiful subject!
ParlaMint-FR_2019-02-12-O1145.u145	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-12-O1145.u146	We share the reservations that have just been expressed. However, we prefer to support the subsequent amendment by Mr Aude Luquet, which goes in the same direction.
ParlaMint-FR_2019-02-12-O1145.u147	I have before me three amendments, Nos 681, 195 and 307, which may be submitted to a joint debate. Amendments Nos 195 and 307 are identical. Mrs Valentin has the floor to support Amendment No. 681.
ParlaMint-FR_2019-02-12-O1145.u148	It aims to prevent the risks and abuses inherent in social networks. According to an in-depth study by CNIL – the National Commission on Informatics and Freedoms – on the practices of children on social networks, the vast majority of adolescents navigate alone on these networks using their smartphone. Visiting a Grade 2 class a month ago, in the Children's Parliament, I found that 80% of students had a mobile phone and tablet, which they used every day to go on social media. However, while these networks may in some respects be regarded as social progress, their use is nevertheless likely to have adverse consequences.
ParlaMint-FR_2019-02-12-O1145.u149	I call Mrs Emmanuelle Anthoine to support Amendment No. 195.
ParlaMint-FR_2019-02-12-O1145.u150	This amendment tabled at Damien Abad's initiative is in the same direction. If the social network is a rather civilized space, the risks are multiplied by the resonance specific to the internet. In fact, 18% of 8-17-year-olds have already been insulted and more than a third have been shocked by certain content – spontaneously, they cite first sexual content, then violent, racist and homophobic content. Only 10% of those who were shocked told their parents; They do so more easily when the subject of social networks is approached with family. Students do not always realize the consequences of their actions. Most of the time, they do not really control the functioning of the networks that are available to them. This is why digital education must include a component dedicated to the prevention of risks related to social networks.
ParlaMint-FR_2019-02-12-O1145.u151	I call Mr Cinieri to support Amendment No. 307.
ParlaMint-FR_2019-02-12-O1145.u152	Social networks are widely used by paedophile networks or stalkers. It is therefore essential to raise students' awareness of the dangers of too much exposure to their privacy on these networks.
ParlaMint-FR_2019-02-12-O1145.u153	What is the committee's opinion on these amendments?
ParlaMint-FR_2019-02-12-O1145.u154	Disadvantaged, for the same reasons as before.
ParlaMint-FR_2019-02-12-O1145.u155	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u156	All the problems raised here are real and very important, and it is not a question of denying it. However, we believe that the amendments are satisfactory. I will not go into details, but social media awareness and media education, of course essential, are already included in the education code.
ParlaMint-FR_2019-02-12-O1145.u157	Bravo!
ParlaMint-FR_2019-02-12-O1145.u158	That's right!
ParlaMint-FR_2019-02-12-O1145.u159	Call to order, Mr. President! There is a problem: some did not raise their hands during the vote!
ParlaMint-FR_2019-02-12-O1145.u160	You have the floor, Mr. Hetzel.
ParlaMint-FR_2019-02-12-O1145.u161	[[Protests on the benches of the LaREM group]] [[Exclaims on various benches]] My point of order is based on Rule 58(1) of our Rules of Procedure. I am sorry, Mr President, but in the vote we were much more likely to vote in favour of the amendment than to vote against it. If the House is amorphous, take the consequences: objectively, the amendment we have just voted on should be adopted.
ParlaMint-FR_2019-02-12-O1145.u162	He's right!
ParlaMint-FR_2019-02-12-O1145.u163	I'm sorry, but that's not at all what I saw, Mr. Hetzel – and I assure you I'm looking! You can check: I never looked down on my papers during a vote.
ParlaMint-FR_2019-02-12-O1145.u164	Put the images on! Show us the replay!
ParlaMint-FR_2019-02-12-O1145.u165	Ah, there you go! I woke you up!
ParlaMint-FR_2019-02-12-O1145.u166	Thank you, Mr. Hetzel!
ParlaMint-FR_2019-02-12-O1145.u167	Mr Gilles Lurton has the floor to support Amendment No. 223.
ParlaMint-FR_2019-02-12-O1145.u168	Article L. 131-2 of the Education Code establishes a public service for digital education and distance learning, which extends the offer of education offered in the institution and facilitates the implementation of personalized assistance to pupils. It also provides teachers with educational resources, tools for monitoring their pupils and communication with their families, as well as content and services for their initial and continuing training, and provides education for children who cannot attend schools. [[Applause on a few benches of the LR group]] The purpose of this amendment is to supplement this article in order to give their rightful place to pupils with special educational needs, by improving personalized assistance in the context of the public service of distance education and digital education.
ParlaMint-FR_2019-02-12-O1145.u169	It is a good amendment!
ParlaMint-FR_2019-02-12-O1145.u170	Yes, but he's certainly satisfied!
ParlaMint-FR_2019-02-12-O1145.u171	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u172	The amendment is satisfied: according to article L. 131-2 of the Education Code, the public service of digital education and distance education aims to "provide schools and schools with a diverse range of digital services to extend the offer of the teachings provided there", to "provide teachers with a diverse range of teaching resources, content and services contributing to their training, as well as tools for monitoring their pupils and communicating with families", and to "contribute to the development of innovative projects and educational experiments promoting the use of digital in schools". Unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u173	I have before me two identical amendments, Nos 792 and 956. I call Mrs Maud Petit to support Amendment No. 792.
ParlaMint-FR_2019-02-12-O1145.u174	It aims to ensure that the mission of educational mediation is clearly recognized as one of the tools that contribute to successful schooling for children with difficulties in the school system, as well as for their families. Recurrent absenteeism, school failure and drop-out are real problems, which we regularly talk about in this House. Through the support of families in their administrative activities, that of parents in the exercise of their role as parents of pupils and by the understanding of the difficulties associated with the precariousness of housing, educational mediation reduces the distance between families and the school institution, which is precisely the purpose of this text. The measure would also be in line with article 2 of the proposed law on the prohibition of ordinary educational violence, which encourages the use of measures to accompany parenthood: educational mediation is a tool that is perfectly suited to this purpose. The professional practice of school mediation has existed for several years in France, in associations or in national education, but the positions are scattered, in insufficient numbers and dependent on local wills within the academies. The article that we propose to introduce will define and regulate the procedures for the intervention of mediators and will provide for the implementation of skills, training and good practice repositories.
ParlaMint-FR_2019-02-12-O1145.u175	Mrs Fabienne Colboc has the floor to support Amendment No. 956.
ParlaMint-FR_2019-02-12-O1145.u176	Educational mediation is one of the ways to combat school dropout and dropout. Even today, many children do not go to school because they live in great poverty that does not allow their basic needs to be met. Parents facing such difficult living conditions do not see school as a place where their children's future can be built. This poverty leads to social remoteness and, consequently, to distance them from school. Mediation already exists in some institutions. It is part of the mission of teachers responsible for the schooling of children of travelling families or travellers. It is exercised both outside school, by meeting with families who are far from it – while the precarious living conditions of these families are often inadequate for the completion of schooling, mediation brings children closer to school and gives them confidence – and inside, by accompanying children to check their attendance and good integration, and to avoid school breaks, because stigmatization and socialization difficulties are often factors of dropout. Mediation must, of course, be complemented by other public policies such as the fight against unworthy housing and social assistance and access to health. The mediation mission must be valued within the institutions, to support parents facing difficulties in the exercise of their educational responsibilities and to ensure that all children of the Republic have access from the age of 3 to socialization, social mix and learning of basic knowledge. That is the meaning of this amendment. More broadly, it echoes the 17 human-centred sustainable development goals set by the United Nations in the context of the 2030 Agenda.
ParlaMint-FR_2019-02-12-O1145.u177	What is the committee's opinion on these amendments?
ParlaMint-FR_2019-02-12-O1145.u178	As you said, Member of Parliament, educational mediation is one of the tools of academic success through the support of children and families furthest from school and the poorest. You want to value the role of people who thus contribute to reducing the distance between school and these families, but I am not sure that it is by imposing on them reference points of skills, training and good practice that their work will be facilitated and that relations between family and school will be improved. It does not seem to me truly desirable that this voluntary mission be recognized in law.
ParlaMint-FR_2019-02-12-O1145.u179	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u180	Thank you, ladies and gentlemen, for these amendments which stress the very important element of educational mediation. There is no question of ignoring this importance, to which we will have to pay close attention in the future. However, as the rapporteur has said, it is not by this law that we are going to make the necessary changes. But it is clear that these developments, particularly in support of parenting, will make ample reference to this dimension. Unfavorable opinion, therefore.
ParlaMint-FR_2019-02-12-O1145.u181	I call Mr Michel Larive to support Amendment No. 333.
ParlaMint-FR_2019-02-12-O1145.u182	Since 2007, one school has closed every day. This text will not hinder this development. However, we believe that it is the duty of the State to set ambitious goals for education, in particular for everyone to have the same chance of success in school. However, one of the inequalities in the current education system is that of travelling time to school: a long time on public transport or on a family vehicle, it is as much time less than another student who lives close to the school, and as much fatigue accumulated. Since we must ensure the territorial continuity of the public education service, we propose that this objective be set by law. In a department like Ariège, the vote on such an amendment will be a chance. Rural areas are deserted by essential public services to the point where it is difficult to attract a young population of childbearing age. This situation created, because of a purely accounting objective, a real feeling of injustice in the rural areas of metropolis and overseas. The aim of this amendment is to achieve an effective and egalitarian territorial network of the public education service.
ParlaMint-FR_2019-02-12-O1145.u183	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u184	Article L. 113-1 of the Education Code already states that "every child must be able to be accommodated, at the age of three, in a nursery school or a children's class as close as possible to his or her home, if his or her family so requests"; as to article L. 212-2, it lays down the principle that "any municipality must be provided with at least one public elementary school", even if groupings are possible. In addition, assignment decisions take into account, of course, the criterion of proximity of the school to the home. So, unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u185	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u186	I can only repeat to you, honourable Member, what was said yesterday about the importance of rural primary school. In addition to the arguments put forward by the rapporteur, there is a need for great pragmatism on these issues. The spirit of your amendment is reflected in the provisions of the Education Code referred to by the rapporteur, as well as in the instructions given today to the inspectors of national education. We maintain schools – I have visited them very recently in several parts of France – which have very few pupils, precisely to take this criterion into account. Making the education code too rigid in this area could prove counterproductive in view of the objective pursued. Unfavorable opinion, although this opinion is obviously not contradictory with the extreme attention that we must pay to the specificity of each rural school.
ParlaMint-FR_2019-02-12-O1145.u187	On Amendment No 630, I have a request from the Socialist and Related Group for a public vote. The vote is announced in the National Assembly. Mr Julien Aubert has the floor.
ParlaMint-FR_2019-02-12-O1145.u188	I am in favour of the amendment. The minister maintained that he would be satisfied with the education code, but the reality of the continuity of public service in rural areas was a real concern. On the benches of the Republicans Group, many colleagues have asked you, Minister, about President Macron's failure to respect his words about the closure of classes in rural areas.
ParlaMint-FR_2019-02-12-O1145.u189	That must be hard to hear...
ParlaMint-FR_2019-02-12-O1145.u190	However, if rural areas are to be developed, there is a need for a real spatial planning policy. What you call rigidity is indeed the cost that must be borne in order to maintain public services which are, by definition, unprofitable, a fortiori in territories whose demography does not reach the necessary gauge. This fiscal rigidity is the public service. We will not be able to keep young people in these territories unless we pursue a policy that contradicts demographic developments.
ParlaMint-FR_2019-02-12-O1145.u191	That's not a terrible argument. A little demagogic.
ParlaMint-FR_2019-02-12-O1145.u192	Mr Michel Larive has the floor.
ParlaMint-FR_2019-02-12-O1145.u193	[[Murmurs on various benches]] Madam rapporteur, Minister, I fully understand the provisions of the education code to which you referred. Article L. 212-2 states that every municipality must have at least one public elementary school within a radius of three kilometres, but this is almost never the case in Ariège where the minimum distance separating the intercommunal educational groups – RPI – is five to ten kilometres. There is therefore, on the one hand, the texts and, on the other, the actual situation in the rural departments, which is the one I live in and which is very far from the one you refer to.
ParlaMint-FR_2019-02-12-O1145.u194	It's demagogic.
ParlaMint-FR_2019-02-12-O1145.u195	Ladies and gentlemen, I ask you, out of respect for the speaker speaking, to hold your particular conversations by whispering. I call Mr Tolmont to support Amendment No. 630.
ParlaMint-FR_2019-02-12-O1145.u196	All right, Mr. President.
ParlaMint-FR_2019-02-12-O1145.u197	It's like school...
ParlaMint-FR_2019-02-12-O1145.u198	[[Smile]] It's a circumstance.
ParlaMint-FR_2019-02-12-O1145.u199	In his speech to the Senate at the National Conference of Territories on July 18, 2017, the President of the Republic stated that "the territories, especially the most rural, can no longer be the variable for adjusting the economy," adding that "there will be no more class closures in primary schools." Twenty months later, it must be noted that this promise was not fulfilled: about 300 classes in rural areas were closed at the start of 2018. In 2019, many closures are also expected. They are very detrimental to the quality and dynamics of education in rural areas. The purpose of this amendment is therefore to ensure that each family has a school at a reasonable distance from its home, as determined by decree in the Council of State.
ParlaMint-FR_2019-02-12-O1145.u200	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u201	Unfavorable.
ParlaMint-FR_2019-02-12-O1145.u202	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u203	I'm afraid I'm getting tired of the audience, MP, but you're pushing me. I therefore disclaim any responsibility.
ParlaMint-FR_2019-02-12-O1145.u204	I'm not lucky with you!
ParlaMint-FR_2019-02-12-O1145.u205	[[Applause on the benches of the LaREM group]] I have answered two more questions to the Government on this subject today. I can renew with each Member the exercise that I had with Mr Juanico this afternoon: I will compare the number of class closures in rural areas under the quinquennats that you supported the governments with the number of closures that occurred in the last three re-entrys and, each time, it will not be to your advantage.
ParlaMint-FR_2019-02-12-O1145.u206	But what about the commitment of the President of the Republic?
ParlaMint-FR_2019-02-12-O1145.u207	[[Exclaims on the benches of the LR group]] [[Protests on the benches of the LR and SOC groups]] As far as the commitment of the President of the Republic is concerned, everyone must be intellectually honest. You constantly repeat a sentence that you detach from its context. However, when the President of the Republic pronounced it in July 2017, it concerned only the beginning of 2017. Of course, he never said that there would be no class closures in the following years.
ParlaMint-FR_2019-02-12-O1145.u208	It's too easy!
ParlaMint-FR_2019-02-12-O1145.u209	[[Applause on the benches of the LaREM group]] Take up the speech and you will see it very well – it is, I repeat, a question of intellectual honesty. No one – neither he nor you nor I either – can claim that we will never close classes in the future: when there are no students, we close a class! I therefore invite you once again to show some intellectual honesty on these issues. There have never been so few class closures in rural areas. Never. Moreover, and I will repeat it as many times as necessary, there is indeed a demographic problem in France. Let's take him to the body, and we're not wrong about diagnosis or prognosis. There is certainly a need to promote demographic revitalization in rural France. Beyond the field of education, the Government had begun to develop strategies in that area.
ParlaMint-FR_2019-02-12-O1145.u210	It's not by closing classes that we'll bring people back!
ParlaMint-FR_2019-02-12-O1145.u211	Mr President, I will do for your department the exercise that I have just mentioned: again, believe me, it will not be to your advantage.
ParlaMint-FR_2019-02-12-O1145.u212	Mrs Annie Genevard has the floor.
ParlaMint-FR_2019-02-12-O1145.u213	Yesterday, Mr.Minister, you expressed a strong praise for the rural school and, in response to Mr. Larive, you explained that you were not the singer of the group at all costs – we have already discussed it. However, on the ground, I note that the staff placed under your authority, the academic directors, still adopt this logic of grouping and therefore, since this is the corollary, of closing the classes, to the detriment of proximity. If it is true that we have been thinking about it for a long time, it turns out that the child's comfort has never been taken into consideration. Proximity, however, leads to additional comfort for the child, without being penalized educationally. The DEPP studies – Directorate of Evaluation, Prospectiveness and Performance – are indeed very clear: with well-trained teachers, the multi-level classes succeed very well, the cohorts that can be followed throughout a course of study showing that the results are not only very satisfactory, but sometimes even better than for the other types of classes. [[Applause on several benches in the LR group]] Our colleague's amendment, which the Members of the LR Group will vote for, has the merit of laying down the principle of proximity, at least as acceptable as that of grouping.
ParlaMint-FR_2019-02-12-O1145.u214	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-12-O1145.u215	Very few social movements are linked to class closures, because the management of these balances, in rural areas, and even in medium-sized cities, is done with great attention to parents, children and municipalities.
ParlaMint-FR_2019-02-12-O1145.u216	They don't know yet, they need a few more weeks.
ParlaMint-FR_2019-02-12-O1145.u217	Some groups allow there to be no closure. The members of the MODEM and related groups will therefore not support this amendment.
ParlaMint-FR_2019-02-12-O1145.u218	Mr Loïc Prud'homme has the floor.
ParlaMint-FR_2019-02-12-O1145.u219	[[Minister acquiesce]] Forgive me for not believing in you, Minister, when you answer our colleague that you can prove, department by department, that you have opened more classes than your predecessors. I'm saying, shit! So publish paintings for the last three years and see what's going on. This will allow us to conduct an informed debate and avoid repeating the same explanations indefinitely – which seems to upset you. However, I would like to return to the question of proximity, which you relate to the question of demography. It is the question of the anteriority of the chicken or egg: is it because of a downward demography that you close classes, or is it not because of your logic of closing classes that you empty rural areas from a population that no longer finds public services in the first place, of which one of the most essential is that of education?
ParlaMint-FR_2019-02-12-O1145.u220	The Minister has the floor.
ParlaMint-FR_2019-02-12-O1145.u221	I take the floor again because the subject seems to me to be very important. What you have just said, honourable Member, is what I am saying myself: our strategy is to contribute to the demographic rebound. I could mention several places in France where we open classes in rural areas, in order to set in motion the virtuous circle of the attractiveness of schools. We must therefore carry out local strategies, which have as their main tool – which I hope will grow in the future – the rural departmental contracts that we conclude department by department – some 60 in total – and which enable us to carry out multi-annual strategies. I have asked the DASEN – academic directors of the national education services – and the rectors to increasingly favour, with local elected representatives, a qualitative approach with a view to triggering, on a multi-annual basis, the virtuous circle that you refer to. I wasn't saying anything else by saying that supporting the school in rural areas may be an opportunity to bring the families there. In other words, the goal is not to be defensive by limiting itself to defining increasingly benevolent thresholds that will not ultimately prevent class closures, but to adopt an offensive strategy that allows for the creation of attractive schools. Mrs Genevard, we do not have to defend a dogmatic position, a doctrine that would make RPI prevail over single-class schools. It all depends on each case. We hope that local consensus will emerge around the most appropriate formula. In a village far from the other villages, it is necessary, in most cases, to maintain the school and the fact that it is a one-class school is not necessarily a pedagogical problem because, as you have said very well, it can be a very good success. That is the pragmatism we must adopt. This is, and in this you can refer to my speech, the very clear message that we send, on a daily basis, to national education – to the rectors and DASEN. In some cases, it translates into educational groups – I was with the President of the Republic in one of them at the most recent stage of the Great Debate – and, in other cases, through the preservation of single-class schools, as I have seen recently in the Drôme. There must be no dogma in this matter but, on the contrary, a very great pragmatism. We must therefore not set ourselves too rigid criteria that could hinder, in the long run, local and consensual assessments that would bring the best solutions to the students. This strategy for rural primary school leads us to express an unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u222	Too bad! That's a good amendment!
ParlaMint-FR_2019-02-12-O1145.u223	Since no members of the Libertés et Territoires group have spoken this evening, Mr Bertrand Pancher has the floor. Mr Di Filippo, I would like to repeat that on the same amendment I do not give the floor twice to the members of the same group. Otherwise, we won't make it!
ParlaMint-FR_2019-02-12-O1145.u224	[[Smile]] I'm never allowed to talk!
ParlaMint-FR_2019-02-12-O1145.u225	It is not interesting to ask about the proximity of schools, especially in rural areas. However, it should be noted that there is a higher teacher-to-student ratio than elsewhere. If, in the department of Meuse, where I am elected, we were to bring this ratio back to the national average, we would lose more than 250 teachers. This territory will see a reduction of four hundred and thirty pupils in the coming school year, but while this trend is expected to lead to the abolition of twenty-four teaching posts, only eight or nine of them will be abolished. Of course, the need to preserve the proximity of schools must be taken into account, but it is impossible to maintain it everywhere.
ParlaMint-FR_2019-02-12-O1145.u226	I put to the vote Amendment No. 630.
ParlaMint-FR_2019-02-12-O1145.u227	The result of the vote is as follows: Number of voters 158 Number of votes cast 146 Absolute majority 74 For adoption 46 Against 100
ParlaMint-FR_2019-02-12-O1145.u228	I have before me six amendments, Nos 877, 971, 22, 133, 506 and 788, which can be discussed jointly. Amendments Nos 22 and 133 are identical. Mrs Sereine Mauborgne has the floor to support Amendment No. 877.
ParlaMint-FR_2019-02-12-O1145.u229	It aims to include in article L. 312-15 of the Education Code, on moral and civic education, a module dedicated to awareness-raising, prevention and risk management related to digital use. This amendment was drafted with the cybercircle of which several of our colleagues are members. More and more young children navigate the Internet, use social networks and use a smartphone. In the digital space, the child may, without being aware or aware of it, be exposed to risks whose existence, stakes and consequences he or she cannot measure. It is therefore necessary to raise children's awareness of digital risks as early as possible and to train them in a playful way on good practices and good practices. The school of the Republic presents the privileged framework for meeting this objective, which many colleagues are converging towards. The answers given so far, if they have the merit of exist ing and if they are of interest to each of them, seem insufficient to grasp the problem as a whole. Digital education modules, which focus on business coding and computer logic, or cross-sectional integration into the common foundation of media and information education to carry out an agile program, are only relevant to students starting in the fifth grade. In fact, today, from the end of primary school, there is no mandatory training and prevention module on digital risk management at national level. However, there is a need for this: I want proof of the awareness-raising activities carried out in some schools by outside volunteers from, for example, the specialized services of the gendarmerie or the national police, the cyber citizen reserve, or associations. However, these actions remain the result of isolated initiatives by heads of schools, themselves teachers of schools or teachers, personally convinced of the fundamental interest of this approach. In order to reach all pupils, the latter must be generalised and compulsory. That is the objective pursued by the amendment.
ParlaMint-FR_2019-02-12-O1145.u230	I call Mrs Emmanuelle Ménard to support Amendment No. 971.
ParlaMint-FR_2019-02-12-O1145.u231	Between television, computer, tablet, phone and we spend a monstrous number of hours riveted eyes on screens of all kinds that invade our daily lives. The figures are disturbing, as adults spend an average of more than five hours a day in front of these screens, compared to three hours and ten minutes ten years ago, an increase of two hours. Of course, our bad habits do not spare our children. Whether it is to occupy them or for school reasons, all the reasons are good to put screens in their hands as soon as possible, without taking into account the results of many studies that denounce the disturbing disorders for their development: delay of language, trouble of sleep and attention, aggressive behaviors, school problems, obesity, and so on. They're not spared anything. It is also enlightening – and I dare not say, " fun" – to see that Apple, Google, or Twitter's leaders limit the use of new technologies by their own children, as they feel they could harm their development. In 2010, Steve Jobs said: "At home, we limit the use of technology gadgets. At Evan Williams, one of Twitter's co-founders, children have access to books, not iPads. If these great ayatollahs of the all-digital for all are extremely cautious about these technologies of which they are the creators, we should perhaps think twice before embarking on digital at school! [[Mr Ludovic Pajot applauds]] I understand that you are proposing only an initiation, but, as with any activity likely to cause addictions, prevention and awareness must be done in order to avoid that what should be a skill for our children ever turn against them.
ParlaMint-FR_2019-02-12-O1145.u232	I call Mr Patrick Hetzel to support Amendment No. 22.
ParlaMint-FR_2019-02-12-O1145.u233	It is essential that students be made aware of the risks of unreasoned use of digital tools. The amendment is therefore intended to clarify Article L. 312-9 of the Education Code in order to avoid any ambiguity on the subject. This has become a major concern over the past decade, and several speakers have stressed that children are increasingly involved. It is therefore necessary to take action. One of the levers available to us for this purpose is to include this awareness among the tasks provided for in the Education Code.
