ParlaMint-FR_2019-11-13-O1066.u1	The next item is the discussion of the draft amending finance law for 2019 (No. 2400, 2404).
ParlaMint-FR_2019-11-13-O1066.u139	In the Ardennes too!
ParlaMint-FR_2019-11-13-O1066.u140	Finally, with regard to the payroll of the various ministries, it seems to us necessary to continue the efforts already made to better understand the reality of this law, so as to ensure, as soon as this law is passed, that we will be able to pay all the salaries to our officials over the twelve months of the year. [[Applause on the benches of the UDI-Agir group and on several benches of the LaREM and MODEM groups]] In conclusion, and despite the few questions it raises, the UDI-Agir and Independents Group will vote on the draft amending finance bill.
ParlaMint-FR_2019-11-13-O1066.u141	Mr Charles de Courson has the floor.
ParlaMint-FR_2019-11-13-O1066.u142	[[Applause on the benches of the LR, SOC and GDR groups]] Minister, when it comes to the time frame for reviewing an amending finance bill, it's never before seen! And I've only been elected for twenty-seven years... How do you want Members to be able, in just two days, to take up the text, do good work and draft amendments? If I do not doubt the willingness of my colleagues to carry out their mission with the utmost intellectual rigour, then we should give them the time to do so! The forced labour imposed on us is a lack of respect not only for Parliament, but also for the nation. Behind its technical aspects, the PLFR is an important text, which concerns all our citizens. The French have the right to demand that their representatives be able to control government action in the serenity indispensable for the functioning of any democracy. Less than two working days to read the text, draft, table and consider amendments is not serious! If we have tabled amendments, it is to show you, Minister, that we are the advocates of the parliamentary system. On the non-attached sections of the finance bill, you yourself, under section 88, tabled eleven amendments that we did not even have time to consider. No simulation has been performed – let us think of the Cigeo project! It's unacceptable, and that's how you'll crash, because national representation may be less intelligent than you, but we sometimes have a little sense and we see things that escape your own services – I'll come back to that later on when we look at the non-attached articles. If you had listened more to parliamentarians – those of your majority as well as those of the opposition – you would probably have been able to avoid some of the mistakes you made. This text, even though it contains few articles – ten or so – addresses several subjects that deserve a real discussion. Minister, I am very sorry to you: there are no more budgets. The President of the Republic himself said in an interview with The Economist: "The debate about 3% in national budgets, and 1% of the European budget, is a debate of another century". Come on, let's go! Let's open the valves! The important thing is to invest! But, ladies and gentlemen, France cannot afford a public deficit of more than 1.1 or 1.2 %, i.e. its potential growth rate. The thesis of the President of the Republic cannot hold with an estimated operating deficit of 78.1 billion euros in the initial finance law for 2019 and 70.6 billion euros in 2020. Our deficit is therefore a massive operating deficit and we must achieve, before we can afford to invest, at least €70 billion in savings in order to achieve a functioning balance. The figures are there: we are only investing some 20 billion euros in 2019 for 370 billion operating expenses. The draft budget for 2020 follows the same direction, with an operating deficit of almost EUR 71 billion. It's not tenable. Public finances are drifting and France is failing to meet its European commitments – which, I would remind you, were to reduce its structural deficit by 0.5 percentage points per year. Let's go to your growth forecasts. Minister, your government continues to cling to the hope of a growth rate of 1.4% for 2019, but you are the last to believe it. In order to achieve this level, growth is expected to be 0.5 percentage points of GDP in the fourth quarter. The Bank of France has just published yesterday its estimate for the fourth quarter, which is 0.2%, slightly below the 0.3% recorded in the first three quarters of 2019, and thus below the stated target. Why don't you listen to him? It should be noted that if you had reduced this rate to 1.3%, our structural deficit would fall from 2.2% to 2.3%: in terms of deficit control, the electroencephalogram has been flat for three years. As a result, your policy leads to a growing slippage from the 2018-2022 Public Finance Programming Act, which your majority voted for. Over the next two years, we would achieve 0.5% if the growth rate were adjusted, which, in light of Article 23 of the Organic Law of 17 December 2012, obliges you to make a new programming law – which we look forward to, since you announced one for the spring. Third, you estimate the structural effort on public expenditure for 2019 at 0.3 percentage points of GDP, or about 7 billion euros, but in 2019, two thirds of this decline does not correspond to a structural economy, but to a savings in the financial charges forecast in the BIA for 2019, i.e. 0.2 percentage points of GDP.
ParlaMint-FR_2019-11-13-O1066.u143	Please close.
ParlaMint-FR_2019-11-13-O1066.u144	The real structural economies are therefore only EUR 3 billion. I will finally mention – and I look forward to your reply on this point – the explosion of the issuing premiums, which is rising from €3 billion in the BIA for 2019 to €17 billion in the PLFR, which will help to curb the apparent rise in public debt which, despite this, continues to grow, contrary to what you had announced. [[Applause on the benches of the LR and SOC groups]] You will therefore understand that, for these five reasons, the Libertés et territoires group will not vote for this amending finance law.
ParlaMint-FR_2019-11-13-O1066.u145	Mr Eric Coquerel has the floor.
ParlaMint-FR_2019-11-13-O1066.u146	This PLFR is an illustration of all that goes wrong in the policy of this government – which, it must be said, exacerbates the flaws of the Fifth Republic. A handful of people seem to decide on their own, and even the National Assembly is increasingly being reduced to a government communication tool. How else can we explain the staggering delays that have been imposed on us to discover and study this text? How can we explain that we had to table our amendments before we could even discuss them in committee? Not only is the parliamentary debate not respected, but the Government would even like to present its PLFRs to us as good democratic news, on the pretext that they do not contain new tax provisions. It's always the same thing: this government is doing the worst and wants to make it look the best. This is what he did, as we feared, with the December emergency measures. In response to the yellow vest crisis and the social emergency, these measures could have been good news for all of us. As this PLFR shows, they have been financed largely at the expense of other essential public expenditure – and I am not talking about the lack of compensation by the State for their financial consequences for social security – thus serving as a justification for a reduction of almost EUR 1 billion in "pilotable" expenditure. Not only are these "yellow vests" measures far from having solved the social crisis in our country, but, worse still, they are now being used to justify austerity: it is a climax! In the same spirit of ongoing communication, the Government is very detailed in this PLFR about the reasons for each appropriation, but it is careful not to do the same for cancellations, which are only explained in the annex. We can easily understand why: for the most part, these cancellations of credits are unjustifiable and unbearable! Not only do you present us every year with an austerity-inspired finance law, which each time contributes a little more to the destruction of our public services and does not take into account neither the social crisis nor the climate crisis, but we should, in addition, accept that at the time of the PLFR, we should again reduce the appropriations devoted to essential tasks. The fact that these appropriations are supposed to be drawn largely from the precautionary reserve is no more acceptable, because this reserve has another function: it is intended to provide room for manoeuvre in the event of exceptional hazards and not to serve as a reserve in the face of austerity. These credit cancellations are therefore all more incomprehensible than each other. Thus, the Overseas Mission is amputated with 176 million euros without the minister himself being able to justify it.
ParlaMint-FR_2019-11-13-O1066.u147	That's right!
ParlaMint-FR_2019-11-13-O1066.u148	Similarly, it is incomprehensible that 74 million will be cancelled for the "Health" mission, in the midst of the emergency crisis and the public hospital, while the health personnel, in the midst of mobilization, met tomorrow to shout their ras-le-bol, their anger, and their concern for this sector – I wish them every success for this demonstration. Don't you think it would have been better to spend those millions on bed openings or hiring staff?
ParlaMint-FR_2019-11-13-O1066.u149	That's right!
ParlaMint-FR_2019-11-13-O1066.u150	It is equally incomprehensible, Minister, that the mission "Ecology" be cancelled 212 million – 80 million net – including over 19 million on the "Risk Prevention" program. I have already said what I thought of the pretext that you are making to justify this reduction, in this case the compensation measure of the co-owners of the building Le Signal, for which the BIA for 2019 provided only 7 million euros. I am very careful, as Special Rapporteur, about this indispensable programme, which I keep repeating that there is a lack of funds. While industrial and natural risks continue to increase with the climate crisis, operators responsible for preventing and managing these risks are becoming less and less well funded. This is a concrete illustration of how austerity puts us in danger every day. For example, these millions could have been used to hire new inspectors for hazardous industrial sites: at least 200 are missing. But as usual, rather than investing all these millions in measures of general interest, using them to make life better, you prefer to consider them as abstractions and obey accounting injunctions that are, in fact, out of the question. [[Applause on the benches of the GDR group]] You are trying in vain to meet the absurd expectations of the European Union, but even at the cost of all these sacrifices, you cannot satisfy it. Minister, this policy is inefficient economically, its principles are untenable, its results destroy lives.
ParlaMint-FR_2019-11-13-O1066.u151	Mr Jean-Paul Dufrègne has the floor.
ParlaMint-FR_2019-11-13-O1066.u152	This evening, you are presenting us with an amending finance bill that is not accompanied by any new tax measures, in your opinion a "good management based on sincere assumptions." We could be glorified on the sincerity of these assumptions and on the stall between the initial projection, that of growth of 1.7% and the figure now retained, but unlikely, of 1.4%. We could denounce the fact that France will not comply this year with the sacrosanct 3% deficit rule in the sense of Maastricht. None of these subjects, however, interest our fellow citizens, for the majority of whom your self-satisfaction is not appropriate. Moreover, everyone can see that the meagre economic embellishments to which you are referring owe nothing to your policy and all of them to factors such as the fall in oil prices or the very low level of interest rates, which greatly help your government to keep the budget heading it has set itself. Your accounting management of public funds runs empty and has no other ambition but to achieve ever more precarious balances. On the same day as you laid down this reliefless PLFR, the Secours catholique published its 2019 report, which paints a striking picture of poverty in France. In 2018, the 66,000 volunteers of this association welcomed 1347000 people, including 631000 children. These figures corroborate those of INSEE, which in mid-October saw a 0.2-point rise in the poverty rate between 2017 and 2018: no less than 9 million French people now live below the poverty line. Similarly, the Gini index, which measures inequalities, has grown most since 2010. What positive actions have you taken to reduce poverty and inequality? None. On the contrary, you have played from the beginning the map of "top runoff" and the concentration of wealth rather than their fair redistribution. As the poor get poorer, the rich get richer. The review of the year 2018 drawn up by the consulting firm Proxinvest is without appeal. It shows that the bosses of CAC 40 saw their salary increase by 12.4%, allowing them to receive on average the equivalent of 277 SMIC. A sad record. The few measures announced at the end of the yellow vest movement obviously do not change anything. Our country is sinking more and more into the dread of solidarity, the abandonment of public services and the absence of industrial ambition. The paradigm shift imposed by the health, social and environmental crisis is still not there. With dangerous obstinacy, you refuse to fight the cards of European policy and to impose on our partners to remove health expenditure from the deficit calculation, to debate the role that the European Central Bank can play in financing the ecological transition, to reorient the common agricultural policy or to promote the necessary industrial change – to name but a few examples. [[Applause on the benches of the GDR and SOC groups]] In these circumstances, the exercise you are proposing appears to be both inconsistent and meaningless. Because of the incredible gap that it represents once again in relation to the country's expectations, we will vote against this bill.
ParlaMint-FR_2019-11-13-O1066.u153	Mr Daniel Labaronne has the floor.
ParlaMint-FR_2019-11-13-O1066.u154	I would like to express my satisfaction with the efforts made by the Government since it took office, particularly in three areas: the greening of public accounts, a process that it has been conducting since the 2018 Finance Bill; accountability of program managers, to whom it seeks to give greater visibility at the beginning of the year; respect for parliamentary authorization, on whose behalf it has waived, for the second year in a row, the opening or cancellation of appropriations by order in advance, which have been commonly practised by previous governments. This serious budget is now reflected in a draft amending finance law for 2019, the ten articles of which do not include any tax measures but only measures affecting the fiscal balance of the current fiscal year. The retention of a 3 per cent reserve rate on non-salary credits is to be welcomed, thus returning to the primary purpose of the precautionary reserve: to cope with management hazards. Moreover, this serious budget is reflected in an essentially technical end-of-management text which is intended only to correct certain elements at the margin. This makes it possible to reserve the major political debates to the original finance law and to make the state budget more readable for our citizens. I understand – and perhaps share – the opposition's comments on the very short deadlines for considering this text in the National Assembly. Perhaps, minister, the situation on the margin should be improved.
ParlaMint-FR_2019-11-13-O1066.u155	No, no, no, no, no, no, no, no, no, no, no, no, no, no,
ParlaMint-FR_2019-11-13-O1066.u156	However, these tight deadlines are accompanied by a reduction and refocusing of the PLFR. They will also allow for the rapid enactment of the law at the beginning of December and the provision of the necessary staff appropriations for the payment of the December salaries in the relevant ministries. An amending finance bill is not intended to be the legislative vehicle for emergency economic measures. For example, last year, it was the original finance bill that allowed us to respond to the yellow vest movement – we had debated this issue in the Finance Committee. By voting on these measures in December 2018, at the end of the budget marathon, we respected the philosophy of this majority: we responded pragmatically to the warning cry made by a majority of French people in favour of greater social justice, but at the same time we followed our guideline of continuing to restore our public finances and remaining outside the excessive deficit procedure in order to keep France's voice in the negotiations within the European Union. Apart from the cancellations of appropriations put in reserve, this PLFR includes three measures of a social nature to be financed in the financial year 2019: an extension of 800 million euros for the activity premium; a new expenditure of EUR 600 million linked to the postponement of the reform of individualised housing aid to 1 January 2020; the financing, to the tune of EUR 200 million, of the sustainability of 6000 winter reinforcement places and the increase of shelter for vulnerable people. The reliability of the Government's budget estimates was also to be commended. The macroeconomic scenario thus remains unchanged compared to the one that underpins the FLP for 2020, i.e. 1.4% growth in 2019. I have heard some here wonder about this prospect, which seems to be confirmed by INSEE's assumptions. It is important to stress that activity is always supported by strong domestic demand, in particular business investment and household consumption. To say that this is not the result of our policy is perhaps to go a little further. The purchasing power measures we have introduced since the beginning of the quinquennium are only beginning to bear fruit. These effects will accelerate at the same pace as our structural reforms – perhaps we should reflect on the distinction between structural balance and structural reform. The reduction of €27 billion in taxes for the French during the quinquennium was reaffirmed in the PLF for 2020, with the abolition of the housing tax for 80% of households and a substantial reduction in income tax. [[Ms Olivia Grégoire applauds]] The seriousness of the budget and the reliability of the macroeconomic forecasts once again demonstrated in this PLFR for 2019 are prerequisites for financing and therefore for the application of the structural measures that our majority have successfully taken for France. That is why the Group of the European People's Party will vote in favour of this text.
ParlaMint-FR_2019-11-13-O1066.u157	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2019-11-13-O1066.u158	First of all, I want to denounce, as some of my colleagues have done, the conditions for reviewing this amending finance bill. The PLFR, which contains major cancellations of appropriations, was presented to us by the Government on Thursday 7 November at 2 p.m., while the Minister's hearing was scheduled for the same day at 5 p.m. and the deadline for tabling amendments in committee was set the following day. All this while we are in the middle of the review of the PLF for 2020! Finally, at the peak, the deadline for tabling amendments for consideration at the sitting, set at 5 p.m. last Saturday, was prior to the consideration of the PLFR in committee.
ParlaMint-FR_2019-11-13-O1066.u159	Unbelievable!
ParlaMint-FR_2019-11-13-O1066.u160	Such an agenda is absolutely unmanageable for us and greatly affects the quality of parliamentary work.
ParlaMint-FR_2019-11-13-O1066.u161	That's right!
ParlaMint-FR_2019-11-13-O1066.u162	[[Applause on the benches of the LR group]] I would now like to address my fellow Members of the majority: you are trying to examine in detail the appropriations of the missions in the original financial laws but not the cancellations of appropriations, which prevents you from making a relevant judgement. I find it regrettable that the Government has not learned from its mistakes in previous years and has not attempted to make the debate easier for Parliament. Mr Minister, the fact of presenting us with a light PLFR should not exempt you from respecting Parliament or denying us the right of amendment!
ParlaMint-FR_2019-11-13-O1066.u163	Excellent!
ParlaMint-FR_2019-11-13-O1066.u164	I'm coming to the bottom of the subject. This PLFR for 2019 is a further proof of the government's renunciations. You, Minister, give up any effort to reduce public expenditure, to reduce the deficit, to desist France. You are let go of the European situation, and you are very unfairly charging future generations the cost of your lack of courage. Firstly, you welcome the increase in revenue, in the order of EUR 5.7 billion for the tax part and in the non-tax part of EUR 1.9 billion. However, these EUR 5.7 billion of tax revenue are additional taxes levied on citizens. More than a third of this revenue comes from income tax, including the levy at source, which has generated exceptional revenues: we understand better your willingness to implement this measure, which has been a real jackpot for the state, allowing it to increase taxes without saying it. I am also concerned about these tax revenues: that of other net tax revenues, which increase by EUR 3 billion compared to what was originally planned. If you explain this in part in the explanatory memorandum, the 3 billion account is not there. The rapporteur-general himself pointed out in his report that there was a lack of transparency on this point. Could you be more specific, Mr. Minister? You are announcing that you have reduced the budget deficit by EUR 10 billion, but we can see that this decrease is mainly due to the dynamism of revenue: if the deficit is reduced, it is not at all because expenditure is decreasing, but because resources, and therefore the taxes of the French, are increasing. This essential effort to reduce spending, which we have been asking for since the beginning of the quinquennium, you have not consented to it. On the contrary, the reduction of EUR 1.5 billion in the expenditure you promised a year ago is finally limited to EUR 1 billion. So you are giving up on your commitments, which are already very modest. You take advantage of the cyclical advantage of low or even negative interest rates to reduce general budget expenditure. This advantage is in fact counterproductive since it leads you to renounce any structural effort: the entire reduction corresponds to the reduction of €1.6 billion in the debt burden. Should I remind you that the High Council for Public Finance indicates, in its opinion on the PLFR, that the structural effort made by the Government is zero in 2019, and will also be zero in 2020? The structural balance path is increasingly moving away from that defined in the Public Finance Programming Act, with an average difference of less than 0.2 percentage points of GDP in 2018 and 2019. With such results, you are dangerously approaching the threshold for triggering the correction mechanism provided for in Article 23 of the Organic Law of 2012. We regret that you were waiting the last minute to introduce a new public finance programming bill. It would have been much more honest to prepare it by the end of 2018, since you already knew, then, that you would not respect the established trajectory. Finally, you attribute the disproportionate increase in emission premiums to the low rate level. But how could low rates alone justify an increase of EUR 14 billion compared to the original finance law? What is the reality of this figure? [[Applause on the benches of the LR group]] Members of the Republican Group are concerned that the French economy is increasingly dependent on economic conditions, as this makes the future uncertain. More structural efforts for less cyclical dependence are being advocated. As you understand, we will vote against this PLFR for 2019.
ParlaMint-FR_2019-11-13-O1066.u165	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2019-11-13-O1066.u166	The amending finance bill that we are considering concludes a particular fiscal year in which, following the yellow vest crisis, important measures to promote purchasing power have been taken. The year 2020 will be the year of the EUR 5 billion reduction in income tax, the reindexation of pensions of less than EUR 2000 from inflation and the total exemption from housing tax for 80% of households, offset by the reform of local taxation. According to the Banque de France, all this will represent a 2.3% per capita purchasing power gain next year, not to mention the reductions in employers' contributions on low wages up to 1.6 SMIC, a provision which entered into force on 1 October, and, for the most vulnerable, the 4.6% increase in the disabled adult allowance which, since 1 November, has increased from 860 to 900 euros. These measures reflect the Government's and Parliament's listening to the social demands expressed last winter. They represent a cost for the state budget of more than EUR 10 billion. In response to this exceptional situation, this PLFR contains measures limited to the current financial year while excluding, for the second consecutive year, any advance decree: this is a guarantee of budgetary seriousness. In this context, the PLFR endorses the financing, to the tune of almost 3 billion euros, of expenditure incurred in 2019: 800 million in favour of the activity premium; 600 million to carry out the reform of personalized housing subsidies and enable them to be paid in real time; 300 million linked to the conversion premium and the ecological bonus. The economic updates that underpin this bill are based on objectives that the High Council for Public Finance considers achievable, particularly in terms of growth, household consumption and tax revenues, which have been a good surprise in the last two years. In this sense, we can welcome the initiative of the Government, and in particular of Gérald Darmanin, to defend the levy at source, which the opposition predicted to fail and which is a real success without tax increases. However, the MODEM Group's sensitivity to the imperatives of good public management in the exercise of Parliament's supervisory power leads me to express certain questions, not to say certain fears. The first question concerns the increase in public expenditure recorded in this PLFR. Although consistent with the original Finance Act, this increase includes a significant increase in local government investment spending, more than double what was originally planned, 15% instead of 8%. The second question concerns uncertainty about tax revenues and growth. Indeed, while growth forecasts seem to be supported by a dynamic context of job creation – which should lead to a reduction of the unemployment rate to 7.9% by the end of 2021 – as well as a trend towards higher wages, consumption has not yet followed the same trend, even if the institutes anticipate it. In fact, the French savings rate remains high, at 15.1% in the first half of 2019. Moreover, even though the Government expects almost €5.7 billion in tax revenue, which is 1.1 billion more than the initial forecasts – notably thanks to the dynamism of the transfer rights and the IFI, the property tax, and favourable forecasts of VAT and corporate tax revenues – the level of our country's budget deficit does not reassure us. By remaining at 3.1 percentage points of GDP, including the CICE effect, the government deficit exceeds the criteria set by France in Maastricht. These criteria can be considered obsolete or inappropriate when some countries do not invest in their economies, but they remain an objective for improving public management. The debt burden, which has increased from 98.4 per cent to 98.8 per cent of GDP, also worries us for future generations, even though, with historically low rates, the macroeconomic situation is favourable. Finally, the distance from the path of the structural balance defined by the law on public finance programming, at a rate of less than 0.2 percentage points of GDP over two years, is close to the threshold for triggering the correction mechanism provided for in Article 23 of the Organic Law of 2012, fixed at 0.25 percentage points of GDP at this periodicity. It is therefore in support of the Government, whose reforms are favourable to the French economy and to the purchasing power of our citizens, that the MODEM Group will vote for this PLFR, while calling on the same Government to undertake without further delay the remission of our wishes and that some of our amendments to the PLF translate, with a view to further taxing the flow of income – transfers, distributions of dividends or sales of real estate – and less the non-liquid assets of our fellow citizens, subject to stress on the consent to tax. [[Applause on the banks of the MODEM group and on some benches of the LaREM group]] Subject to these comments, we shall vote in favour of this text.
ParlaMint-FR_2019-11-13-O1066.u167	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2019-11-13-O1066.u168	We are here to vote on the last fiscal adjustment for 2019, before the settlement bill next spring. Before I turn to the substance, like almost all the speakers who have preceded me, I wish to denounce the conditions for consideration of this text. Since last year, the deadlines imposed on us no longer allow us to legislate properly. While we welcome the Government's willingness not to resort to advance decrees, this effort must not lead to a deterioration in the conditions for the review of collective budgets in Parliament. That is the case, and we regret it. Let's get to the bottom. This PLFR does not contain any tax measures: on this point, Minister, your commitment has been fulfilled, and I very much acknowledge it. With regard to macroeconomic forecasts for 2019, the High Council for Public Finance considers growth forecasts to be "affectable" at 1.4%, but this implies "accelerated activity in the 4th quarter" at "at least 0.5%". Yesterday, the Bank of France announced that it expected growth of only 0.2% in the last quarter. I therefore ask the question: is this PLFR still sincere? With regard to our public finances, the PLFR confirms that the deficit will reach 3.1% of GDP in 2019; This is the first time since 2010 that it has deteriorated from year to year, as it stood at 2.5% in 2018. Under the previous quinquennium, which you are constantly vilipendering, the government deficit, it must be recalled, has fallen from 5% of GDP in 2012 to 2.8% in 2017.
ParlaMint-FR_2019-11-13-O1066.u169	Exactly!
ParlaMint-FR_2019-11-13-O1066.u170	On the other hand, the High Council notes that the trajectory of the structural balance is somewhat more distant than that set out in the Law on Public Finance Programming, due to an average deviation close to the threshold for triggering the correction mechanism provided for in Article 23 of the Organic Law of 2012. I therefore ask the question again: is this PLFR sincere? Since we are talking about sincerity, there is still work to be done in this area. The PLFR is opening up 2.6 billion euros of new appropriations to cover unfunded measures, such as the December pay of teachers, to take only this example. As far as debt is concerned, it should have fallen: it is the famous "5" of the "5-3-1" objective set, Mr Minister, by your colleague Minister of Economy and Finance. However, it has to be noted that it is going up again in 2019, up to 0.4 percentage points, to reach 98.8% of GDP. Given the social context that will lead you, I am sure, to review your dogmas disconnected from the reality experienced by our compatriots, the debt will probably fall to 100 per cent in the near future, and the deficit will no longer fall. Your initial ambitions seem far away... I could blame you for that; But do the European budgetary rules still make sense in the context that is ours? A few months ago, in this same forum, I was already denouncing the absurd rules of Brussels, which lead to the chronic underinvestment of the States and, above all, to the exclusion of the peoples of the European Union. "The debate around 3% in national budgets," the President of the Republic said a few days ago, "is of another century". Minister, do you agree with this statement, orthogonal to all the words you have spoken in our chamber for more than two years? Personally, I find the rule of 3% dogmatic. We need public investment, both nationally and locally, and not all debt is necessarily bad debt.
ParlaMint-FR_2019-11-13-O1066.u171	We agree.
ParlaMint-FR_2019-11-13-O1066.u172	Every week, in our respective constituencies, we note, to regret it, the lack of chronic investments in the field of transport infrastructure, in our hospitals and EHPADs – accommodation facilities for dependent elderly people –, in our universities, in the gendarmerie or in police stations, not to mention the investments that are essential to deal with climate change. We also need local and national public services, which guarantee social cohesion. More than the government deficit, estimated at 3.1% in 2019, I regret the deficit in public services. Friday, November 8, in the Puy-de-Dôme, there were thirty-seven classes, I say thirty-seven, which did not have a teacher.
ParlaMint-FR_2019-11-13-O1066.u173	Scandalous!
ParlaMint-FR_2019-11-13-O1066.u174	We are only in mid-November, and already the academy cannot ensure the necessary replacements. Teachers have no choice but to divide the pupils into other classes, the numbers of which can thus reach forty pupils: imagine the anger of the parents! And what about the children who still haven't come back because they don't have school assistants! Finally, I want to talk about the anger that is rumbling in the emergency room, but also in the hospital in general and in our facilities for the care of the elderly. Last week, I was talking with a caregiver who was supposed to take care of herself, stand up, twenty-six beds and twenty-six toilets!
ParlaMint-FR_2019-11-13-O1066.u175	Thank you for closing, my dear colleague...
ParlaMint-FR_2019-11-13-O1066.u176	To do this, only one solution: start bedtime at 16:00! What world do we live in? [[Ms. Valérie Rabault and Mr. Jean-Paul Dufrègne applaud]] It's not the society I'm dreaming of. The Socialist and related group will therefore vote against this PLFR.
ParlaMint-FR_2019-11-13-O1066.u177	Mr Ludovic Pajot has the floor.
ParlaMint-FR_2019-11-13-O1066.u178	The years follow each other and sometimes look the same. The report on the development of the economic and budgetary situation contained in this PLFR turns to self-satisfaction: economic activity is described as dynamic, boosted by business investment, rising household consumption and an increase in output in services. In a way, it's all right, Mrs. Marquise! The only small shadow on the table: the decline in manufacturing industry, but with the precision that more and more households are considering making important purchases for the end-of-year holiday period. The honor is safe! In fact, the 2019 PLFR is in line with the original finance bill: bad direction for bad results. Take the case of the energy transition: by means of a set of communicating vases, you are making transfers which have their origin, in particular, in the rise in the market price of electricity over the last two years, with the mechanical effect of reducing the compensation of charges whose financing is the responsibility of the State. In reality, the energy transition aid system must be sustained through the related tax credit scheme; In fact, we proposed it in an amendment to the 2020 Finance Bill. It is not consistent to encourage our citizens to change their energy consumption while depriving them of the tools to do so. Once again, it is the double penalty you impose on them. This double penalty also applies to appropriations made available in some missions. Take the example of the "Immigration, Asylum and Integration" mission, revealing the gap between discourse and action. This mission is the subject of an appropriation of EUR 126 million allocated largely to the payment of the asylum-seekers' allowance, ADA. According to the Government's own admission, this openness is justified in "a dynamic of asylum applications that is superior to the assumptions made in the initial budget". Everything is said: you open up additional funds to respond to the asylum claims that are exploding. Asylum seekers will even be able to benefit from a payment card. At the same time, more than 95% of the rejected asylum seekers never leave French territory. It would be much more useful to allocate these funds to other areas that need them, such as the public hospital. Where you speak of figures and budgetary balance, we meet the needs of our compatriots and priorities in the policies to be carried out. More and more of our compatriots feel the unfair effects of an executive-led policy that too often gives preference to class interests in disregard of the general interest. Whole sections of society – the law enforcement and relief forces, or the French who pay their taxes – are abused when at the same time, tax and social fraud explodes; the society thus slowly continues its fracturing. The issue of consent to tax is at the root of our national cohesion. This consent to tax, intimately linked to consent to expenditure, is fragile. It is to be feared that, because of your questionable and often unjust budgetary choices, our compatriots will end up no longer consenting to the expenditure and then we will end our social pact. We advise you to reunite yourself and put France and the French at the heart of your political priorities. Do it for the civil servants, for the courageous entrepreneurs who create jobs, for the private sector employees who spin the economy, for our farmers who are trying to survive on a daily basis, for our law enforcement forces and our firefighters who put their lives in danger every day to ensure the safety of our fellow citizens! We will vote against this PLFR for 2019.
ParlaMint-FR_2019-11-13-O1066.u179	The general discussion is closed.
ParlaMint-FR_2019-11-13-O1066.u180	The meeting was suspended.
ParlaMint-FR_2019-11-13-O1066.u181	The meeting was resumed.
ParlaMint-FR_2019-11-13-O1066.u182	I now call the clauses of the Financial Amendment Bill for 2019.
ParlaMint-FR_2019-11-13-O1066.u183	Mr Gilles Carrez has the floor.
ParlaMint-FR_2019-11-13-O1066.u184	Minister, I still prefer pre-order orders to this collective that has been vetted by trampling on Parliament's work. With the decrees in advance, at least eight days were allowed to debate and examine what is at the heart of this collective: openings and, above all, cancellations of credits. As Valérie Rabault pointed out, no one seems to have been interested in it – or had had time to do so – but, apart from the interest of the debt, this collective has 2.7 billion cancellations, which is considerable. When we look closely at them, these cancellations mainly relate to investment credits and concern policies on which the Government, the President of the Republic and the majority have made clear commitments: higher education, the environment, transport... I will give you an example of any expense that falls within the remit of the Ministry of Culture: it was discovered last night – I saw it during the weekend – that this collective cancelled 25 million euros for historical monuments, i.e. almost 10% of the already insufficient appropriations for this budget item. That's more than the heritage lottery returns! What is the use of prioritizing the adjustment of appropriations and then canceling them? What is the point of missioning Stéphane Bern and the Heritage Foundation and then depriving them of funding? What I found very serious – those who were sitting last night were able to see – is that I really felt like I was learning to the Minister of Culture that he was undergoing the cancellation of 10% of the credits dedicated to historical monuments.
ParlaMint-FR_2019-11-13-O1066.u185	It's true he found out!
ParlaMint-FR_2019-11-13-O1066.u186	Yet he's a friend of Mr. Darmanin's!
ParlaMint-FR_2019-11-13-O1066.u187	[[Applause on the benches of the LR and LT groups. – Jean-Louis Bricout also applauds]] Such a gap between commitments and actions deserves a minimum of time to discuss; I therefore protest against the conditions for the examination of this collective!
ParlaMint-FR_2019-11-13-O1066.u188	Bravo!
ParlaMint-FR_2019-11-13-O1066.u189	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-11-13-O1066.u190	Mr Minister, I would like to go back to the level of the structural balance that you indicate in the introductory article to be 2.2 points of GDP. As I mentioned in my general discussion, the European Commission had requested clarification from the Government; Your colleague Bruno Le Maire answered questions on various points, but did not say anything about the structural balance. However, whether we want it or not, it is on the structural balance that the Treaty is based on; It is therefore according to this criterion that France's performance on its public finance commitments is assessed. I would therefore like you to tell us what you are going to answer in the event of a new question from the European Commission, which was not satisfied with the level of reduction in the structural balance.
ParlaMint-FR_2019-11-13-O1066.u191	We come to the amendments. I have before me three amendments, Nos 48, 49 and 58, which can be discussed jointly. Amendments Nos 48 and 49 may be presented in a consolidated format. Mrs Marie-Christine Dalloz has the floor to support them.
