ParlaMint-NO_2014-11-12.ana.ud646e26	The representative, Mr Vegar Solhjell, will present a proposal for a representative.
ParlaMint-NO_2014-11-12.ana.ud646e408	I think maybe the question is on the side of what was the main question, but I can only briefly answer that we are dedicated to developing a profitable, competitive and environmentally sustainable farming industry. Therefore, many of the criteria used by the government will be linked to sustainability issues in the future. I think that is necessary for this industry to become a future industry for Norway. It has enormous potential; not least it has in North Norway, where it can contribute to the great need we have for proteins and healthy proteins in the world in the years to come. What we've said so far is that we're going to increase the growth of all today's concessions, provided they meet sustainability principles. Then there's a big message about these issues to the Storting and also about the principles of how the development of the industry is going to be. It's working on it, and it's announced that it will come to the Stortinget.
ParlaMint-NO_2014-11-12.ana.ud646e415	Let's move on to the next main question.
ParlaMint-NO_2014-11-12.ana.ud646e418	The National Audit Office presented yesterday a report saying that access to patient records is too easy. The National Audit Office believes that it is almost random for healthcare companies to detect sneezing in patient records. Only in Oslo University Hospital, there are more than 100 million referrals in patient records per year. Last month, they gave all patients access to electronic patient records. In our decision, we adopted here in Stortinget – a majority, against, among other things. The votes of the left – that all of Norway should now have an electronic patient record, without the possibility of consent, but with the right of reservation. In Estonia, one of Europe’s most digitised countries, they have not gone that far. There, the patient carries the key to healthcare professionals’ access and their own patient information via an electronic patient card. In Australia, they have systems ready for electronic patient records, but they will not let everyone in in three to four years, for privacy reasons. They will have a gradual testing and phase-in and training of citizens and health professionals before they allow everyone to use the patient record. In Australia this is defined as critical national infrastructure. In Norway, there is a flood of systems and a very fragmented responsibility. What will the Prime Minister do to ensure privacy and reduce sneezing in Norwegian patients’ health information?
ParlaMint-NO_2014-11-12.ana.ud646e429	I think it is incredibly important that the patient information that is electronic, and previously physically located, be kept with a very high degree of discretion, and that it should be fully possible to follow who enters them. In the core journal system, what is available is also limited. At the same time, there are some huge gains in it. The unconscious person who comes into an emergency room, who is not known about allergies or the drugs he goes on, will be treated much faster with this system. So it's life-saving that we have this kind of electronic journal that it's possible to get into, because in these minutes or seconds, life can actually be lost if you don't know – if you're afraid, for example. allergic reactions or other. Then there are some difficult choices. And we've stood up in these difficult choices. What we think is that there is a too fragmented development of ICT in the health sector. This is why the Minister of Health has also taken action to better coordinate ICT developments, including: to ensure that data protection systems are better linked to it. That's why we have to follow up the tracking, i.e. track who's inside, because it's an important mechanism to prevent people from entering: knowing that you can be discovered and separated. Every year several health professionals in Norway were separated on the basis that they have been involved in personal data and other matters that they really had no reason to do. We need to work on this in each area, and the Minister of Health is very concerned about enhanced ICT development and not least about taking a better national approach around this.
ParlaMint-NO_2014-11-12.ana.ud646e438	I thank you for your answer. We agree that the big gains here are going to be solved, and we have a common direction. But at the same time, there's an enormous vulnerability here for the individual, with all the information we make available in this way. In Norway, we have chosen a very offensive approach to this by phase-in, without ensuring that we have sufficient security for those computer systems, and we have put the responsibility on many different actors. When Australia says they're using simulators to train health professionals — and patients too — to use the systems, it's not that easy to see how we're attacking it here in Norway. When we meet with the Norwegian Data Protection Agency, they say that they are contacted by health companies and hospitals for training, and that hospitals do not have that capacity on their own. There's one of the critical questions here. How does the Prime Minister see this to be possible in Norway? Do we have a national plan for that?
ParlaMint-NO_2014-11-12.ana.ud646e449	The main first step taken last year was that in the 2014 mission letter to the Health Regions, the government asked for the establishment of a national ICT company located in Bergen to contribute to better coordination of ICT developments in Hospital-Norway. It's important to make sure that we have a system that interacts, that we're actually one nation in terms of health information and ICT, but also because it will make us better secure data protection issues when you have one common place that also provides the thresholds for the whole thing.
ParlaMint-NO_2014-11-12.ana.ud646e454	It opens for follow-up questions - first André N. Skelestad.
ParlaMint-NO_2014-11-12.ana.ud646e457	The Danes were shaken by the revelations that the Danish Watch and Hør has informants in airlines, credit card companies and hospitals, who sold confidential information about their customers/patients. Among other things, discovered that employees at the Reichshospital gave information about known women who were going to ultrasound, so that Watch and Hørs journalists and photographers could be in place at the hospital when the women had hours. A well-known Dane who was exposed to it said in connection with the revelation that he had an unpleasant experience when his girlfriend for some time back was in the hospital for ultrasound. The child was dead, we were sorry, he said, and then called Watch and Listen in the afternoon and congratulated on the pregnancy. In this light, there is particular concern when the Riksrevision believes it would be almost random for healthcare companies to detect snooping in patient records. Our trust is based on the fact that confidential information we share remains confidential. Is the Prime Minister certain that what was revealed in Denmark will not take place in Norway? And how will the Prime Minister ensure that confidence in health care is maintained when we know that journals are as easily accessible as the Riksrevision suggests?
ParlaMint-NO_2014-11-12.ana.ud646e464	You can never be sure that you do not go in and read that you should not. That health professionals can corrupt and go in and find information, you can never be 100 pst. safe on. There is a balance between the question of health professionals in a crisis situation being able to provide life-saving help and whether it is so difficult to enter that kind of information. I believe that we have strengthened this considerably. So I believe that the precisely See and Hør scandal in Denmark is a press-ethic issue, it is a question that needs to be addressed to the press, and not just a question that needs to be addressed to health professionals. Because it is clear that doctors who have treated a person can also be indiscriminate if they get paid well enough. It doesn't have to be the electronic system, it's more than enough people who have provided information without it being because of the electronic system. However, the whole purpose of our efforts to take a more national approach to ICT is to ensure, among other things, that ICT is implemented at national level. the protection of privacy in it. And then we have to make sure that we investigate and persecute what's happening to unsolicited snooping, whether it's in a paper box or in an electronic file.
ParlaMint-NO_2014-11-12.ana.ud646e474	Tove Karoline Knutsen – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e477	First, I would like to say that I fully agree with the Prime Minister that it is very important that we have now received patient information in electronic records. I am very pleased that the government parties and the Workers' Party have gradually agreed on this. Then I'm very worried about what the Riksrevision has now revealed. I remember very well that the Prime Minister, when, as the Chair of the Right, of the Health Committee, was very concerned about the security of this journal information: encryption, anonymisation, access control, authorisation – very important measures. Is it possible for the Prime Minister to say how this will now be followed up by health businesses? And what control mechanism does the government intend to put in place to really see that this is being implemented, even before you have the entire ICT structure in place?
ParlaMint-NO_2014-11-12.ana.ud646e486	In the big news that came in 2012–2013, some of the directions are related to this. We strengthen it with an increased focus on privacy and information security. It is particularly important to have good health records that provide good services, but it is also important to have traceability in them, so that you can always see if someone has been in there. I also believe that it should be fully possible for each patient to follow up on who has been in and looked at his report. In fact, the citizen's perspective will be one of the most important things to have in it so that you can see who has actually been inside and seen, and then you can take up the question of why you've done it. But now we're in the process, and we're making sure that privacy and information security are greater than what we've had in the past, because it wasn't safe with the old system. It was actually very much like creamed by journals and other things in the past, which were easily accessible, so when it comes to the belief that there is less certainty that things become electronic, I think we actually get more security in the years that come.
ParlaMint-NO_2014-11-12.ana.ud646e493	Kjersti Top – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e496	In addition to the fact that the Riksrevision revealed that there is no control over who is snorting in journals, it was also found that many healthcare professionals lack complete analysis of health and vulnerability and emergency plans for ICT, water and electricity. The management rarely follows up this security work, according to the National Audit Office. 9 out of 19 health professionals surveyed are missing a ROS analysis, which is more than half. 13 health care professionals are missing one or more emergency plans. The national audit concludes that healthcare professionals do not plan for it unexpectedly. That's what I think is very alarming, because if there's someone we should be able to trust when something unexpected happens, it's the hospital. So I'd like to ask the Prime Minister what the government will do with this serious information.
ParlaMint-NO_2014-11-12.ana.ud646e501	I think it was a very timely reminder from the National Audit Office that not everything is as good in terms of preparedness in the Norwegian health service. One of the reasons I'm saying it's timely is that the health service was the best part of the evaluation after July 22, and in many ways it has been much of what we've looked at in the holes that have appeared since July 22, and what is documented in the Gjørv Commission's report. The fact that so many do not have emergency plans is a menacing signal. That means we have to make sure there are contingency plans everywhere. Now it is enough that there are plans everywhere for extra power supply and other, so we are a little surprised that there should be some big case, because it is an emergency power unit, but it is clear that the emergency power units do not carry as much as a proper network will carry. Vulnerability overall in the network in Norway is important, including for this type of emergency planning. But it's a good reminder that we have to make sure that everyone has emergency plans, and that's what the government has to follow up.
ParlaMint-NO_2014-11-12.ana.ud646e506	Let's move on to the next main question.
ParlaMint-NO_2014-11-12.ana.ud646e509	Human beings depend entirely on nature’s lack of food, medicine and clothing – and on a range of services such as pollination and the climate system. We simply cannot live without a rich natural disaster. The leaders of the world have therefore seen a global goal of halting the loss of natural disasters – which is now historically high – and ensuring that we have robust ecosystems in place by 2020. We're going to follow the measurements up here in Norway. One of the most important measures in this area is voluntary forest protection, which was a high priority and strongly strengthened in recent years by the Red-Green Government. All this knows the Prime Minister, because in an interview shortly before the election, she said: ‘In the forest, 60 per cent of the species live in Norway and about half of the endangered species. We must therefore step up forest protection through several agreements with forest owners on voluntary protection." And on the other hand, ‘An environmental policy needs to be reinvigorated. Under today's government, classical nature protection has been downgraded. Forest protection is slow, even though forest owners have offered large areas.’ After these statements from the Solberg opposition leader, it's no wonder that those who work on these questions had expectations. There was a common demand from forest owners, industry and environmental organisations – in an alliance – to strengthen it. For example, in Norsk Industri, Marit Holtermann Foss says: ‘Increasing forest protection is a prerequisite for the industry to deliver sustainable forest products.’ Now we know the result. The proposal for the 2015 State budget supports forest cuts of two-thirds, from 336 million. DKr this year down to 121 million. kr next year. My question to the Prime Minister, who used the word "down-priority" about the red-green nature conservation effort, is, how will she describe the government's forest protection budget, and what will she do with it?
ParlaMint-NO_2014-11-12.ana.ud646e534	Until the summer of 2012, there was a long and large queue linked to agreements on forest protection that were not realised due to a lack of money in the budgets. The budgets were then significantly increased to take down that queue. When we reviewed the budget for this year, we saw that we had actually closed the queue that had been worked out, and we had come down to the level of growth that was there before the queue and the decline started. With our current budget, voluntary protection will also be possible in some areas in 2015, but the activity of voluntary protection work will be reduced. And a state authority for the protection of forests owned by the State Forest and the Information Society's fund will also contribute to forest protection in the future. Every budget has to set priorities, and we have made a clear prioritisation of new climate action within our budget. I know that someone is not satisfied with the number of climate action measures, but there is a significant increase in climate action and the money we spend on this. So it's going to be a bigger priority than what we were able to do on the forest this time.
ParlaMint-NO_2014-11-12.ana.ud646e543	It is true that there had been a build-up of a queue until 2012, and that a strong strengthening of forest protection was absolutely necessary, but also that there was a further escalation plan. But it is not true that that queue is broken. On the other hand, there is a series of projects in queue. I just need to show that the Forest Geyser Association confirms it. Recently, they post a message where they write: ‘The 121 million will mainly go to State Forest as a substitute for forest already protected as nature reserves.’ And on the other hand, ‘With reduced appropriations, we will receive a new queue of negotiated offers.’ So we've got a new queue, not strength. This forms part of a pattern of reduced nature conservation effort, scooters, no new protection area and deprioritisation of priority species in the budget. Let me now ask the Prime Minister in a slightly different way: What are the two- or three-large nature conservation efforts that the government has now presented in the budget or elsewhere? Give a few–three examples of large conservation efforts to date.
ParlaMint-NO_2014-11-12.ana.ud646e562	We have, as I said, made a priority of climate action, we have made a priority of research and development in this budget, and we have made a priority of a number of other measures that we believe – in the transition we are facing – have been necessary. It is not right that we do not have money for new protection decisions. That's about. Forty-five million. kr of the appropriations for next year for new forest-related protection decisions.
ParlaMint-NO_2014-11-12.ana.ud646e568	There will be follow-up questions – first the Audun Light Bin.
ParlaMint-NO_2014-11-12.ana.ud646e571	So the answer to Mr. Vegar Solhjell's question is that the Prime Minister cannot mention a single nature protection measure of importance that her government has implemented. That's interesting, but I want to give her an opportunity to correct the impression. For the diversity of nature, Norwegian fjords are also present, and the Environment Directorate recently presented an assessment showing that environmental considerations have a negative impact on mining activities in Fördefjorden. Environmental experts show that mining waste can have a significant negative impact on endangered species and the entire fjord ecosystem. This is a matter that comes to the government's table. There's a lot of local resistance. Earlier this year I was in Wevring and met fish farmers, local people and environmental experts who are opposed to mining waste. I wonder if the Prime Minister can promise that she too will go to Sunnfjord and meet the local people's own experts, the breeders, those who live by fjords, before the government makes its decision.
ParlaMint-NO_2014-11-12.ana.ud646e578	The President feels that this may be a little bit on the side of the main question, but the Prime Minister is of course welcome to answer.
ParlaMint-NO_2014-11-12.ana.ud646e581	This is a simple matter to be addressed in the Ministry of the Environment after the various recordings and investigations that have been made, and I would think it was very wrong that I should comment on a single matter and a single reading from the Parliamentary Chair. I often want to go to Sunnfjord, it's a great place to be, but if I'm going to go into a procedure that's under the constitutional responsibility of the climate and environment minister, I don't think I'm going to promise.
ParlaMint-NO_2014-11-12.ana.ud646e588	Rasmus Hansson – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e591	As the representative Solhjell pointed out, the protection of forests is one of the most important measures to preserve Norwegian natural diversity. Norway has undertaken an international commitment to halt the loss of Norwegian natural diversity by 2020, and therefore the government has announced an action plan on natural diversity to be presented in 2015. Given that this will be the most important document that this government will produce for Norwegian nature protection during this period, and given the uncertainty that has now arisen about what measures the government actually wants to use to preserve Norwegian biomangfold, the question will be: Will the government present this document as a big message to the Stortinget, so that we can have a broad debate on Norwegian biomangfolding policy for many years to come in the Stortinget and a majority that is broad and solid, behind that policy?
ParlaMint-NO_2014-11-12.ana.ud646e596	It is right that we should draw up an action plan, and we have started work on it. At the same time, we have a review of what is a practice related to the Nature Diversity Act, to look at how we develop it. An important part of the basis for an action plan is to look at whether there are areas where we should adjust the way we work, or whether there are areas where we feel that we want to strengthen the measures we have today. Whether it should come to Stortinget or not, the government has not taken a decision. We are a little early in our work, and I am concerned that action plans should lead to action, not only necessarily to more discussions. There will be an assessment that the government will have to make when you see what we have of the content of that action plan. But I am absolutely sure that the theme of the action plan will be properly covered in documents for Stortinget, so that the Stortinget can take part in the discussion.
ParlaMint-NO_2014-11-12.ana.ud646e603	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e606	Forest conservation is important, and there are government parties and the Left and Christian People's Party another process, which we are going to discuss. However, as important as ensuring natural diversity is to ensure that the country does not grow again. Taking care of the cultural landscape and also having a care for the protected areas that we have requires considerable effort. A paradox is that Oslo is actually the most biodiversity municipality in the country – and it's not in the forest; it's in the city, because it's also important to look at the diversity and the green areas that are there. Then my question is: will the government follow up and see biodiversity as important when setting up urban planning policies, when looking at it against agriculture? Is it also important to take care of the protected areas that we have?
ParlaMint-NO_2014-11-12.ana.ud646e613	With regard to the work mentioned in the previous round of questions, namely the action plan, we also need to assess some strategic steps that need to be taken when drawing up an action plan. We need to see where there is the greatest risk that there will be less diversity — where there are processes that contribute to it — and it may well be that it is in cities or that it is in agriculture. I can't give the fasit answers to this right now, because we're at the beginning of a process where we have to map where it's most important to take a bigger grip. But we're for a good urban environment, we're for there to be more green lungs, we're for there to be areas where people can have recreational opportunities to be and to take care of biodiversity. I don't think it ends with any contradiction, but I think it's a little early to say exactly where we're going to put the most force, because I think that must be the areas that are perceived as the most vulnerable, after the mapping we have. What has happened after the Biodiversity Act came into force is that we have been surveyed many more areas and got a much better overview of where the danger areas are and where it actually goes quite well.
ParlaMint-NO_2014-11-12.ana.ud646e620	Åsmund Gruver August – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e624	It is relatively alarming that the Prime Minister is unable to come up with a single case where the government has taken initiatives on the nature protection side. I'm going to admit that I didn't have the big expectations of what the government was going to do on nature protection, but one area there were expectations was forest protection. The Prime Minister and the whole Right Group said a year ago that what the Red-Green Government did was too small, and that they wanted to bet more. Environmental policy spokesperson in the Right has admitted that they have really met themselves in the door when they have now gone too short of two thirds, versus what the red-green government granted last year. The problem with the Prime Minister's argument is that she does not find anyone who agrees, so my question is: Does the Prime Minister think that environmental organisations are wrong, that the forest organisations are wrong, that the industry is wrong, when they say there is a great need for continued increased funds for forest protection in Norway?
ParlaMint-NO_2014-11-12.ana.ud646e633	Any government is going to be in the situation that those who want more money on the state budget, will never fully agree with what the government is doing in some areas. It is a government's responsibility to weigh various factors. In this budget, we have taken a major step forward for the major migration challenges in Norway. It is about ensuring that we have significantly increased research and development, significantly increased road development, significant increases in collective and rail development, and we have ensured that we get better framework conditions in terms of competitiveness for Norwegian enterprises. There will be many areas for every government, as I have said. Organisations and others with a particular desire for some budget appropriations mean that they have not received enough, that there is not enough money. The priority elections actually have to do a government, and we have done so with the budget we have submitted, just as I suppose the red-greens also did the priorities when they were put, and received criticisms in various areas from stakeholder organisations, from business or from others, because they were not there. It's not a truth witness to what a budget is, that there are people who are dissatisfied. The important question is: is it a good budget for the future? That's it.
ParlaMint-NO_2014-11-12.ana.ud646e640	Let's move on to the next main question.
ParlaMint-NO_2014-11-12.ana.ud646e643	Now we just heard the Prime Minister explain that the government has carried out its priorities in the government budget. When one reads the proposed state budget, I think there are few outside government offices – if any – that have managed to find the climate profile in it. I am also not alone in sketching a change in climate-negative direction. In fact, the government's proposals for taxes in the transport sector stimulate more use of fossil energy. This occurs at a time when the experience of converting the car charges suggests a counter-action. Tax incentives for more climate friendly cars, which occurred the last few years before the government change, have been a success. Average emissions from new cars have fallen significantly. We are many who are amazed at the priorities of the government, what they have chosen, and at the fact that already a year ago they cancelled the green shift in the transport sector, a sector in which climate policy must undoubtedly be strengthened. In the 2015 state budget proposal, the government has reinforced its refusal to use charges in a green shift by reducing the taxes on petrol and diesel, while not strengthening the distortion of charges towards a more climate friendly car fleet. If the government is serious about wanting to reduce greenhouse gas emissions, why does the government fail to use effective instruments? And why won't the government continue a political line where the fees are twisting in a more climate-friendly direction?
ParlaMint-NO_2014-11-12.ana.ud646e652	This government has implemented a number of reinforcements related to the climate agreement in areas where the red-green parties said no to the opposition when we sat and negotiated with them. We are increasing the Climate Technology Fund. We're increasing it from 50 billion. So it's going to be 62.75 billion. kr in 2016. That means we're going to have 2 billion. kr each year in annual returns to contribute to the future transformation. The Eco-Technology Scheme is increasing. We are increasing and converting energy savings at home, a measure that also the red-greens said no when we sat and negotiated with them, and so it is going to be a tax deduction. We are promoting proposals for more favourable depreciation rules for wind power, a proposal such as the previous government, the red-green parties, said no to the time we were doing it. We have railway investments that increase by 9 pst. We have new powers to participate internationally to revitalise a work on CCS, which has been significantly slowed down by stopping Mongstad. We have more money associated with the technology center. I could continue to frame up in many other areas, such as: That we're now up to 3 billion. NOK to rainforest, we give more money to biogas, we phase out the firing with oil faster than it was planned, and we've made sure Norfund got more money. The bill is quite long on climate action, and I am a little surprised to hear the Workers' Party try to claim itself in one area, namely the car charges, as the only important thing. I understand that punishing people is the most important working party knows about climate policy. We have done this together with the two parties that have supported the formation of this government, and said we should have a green tax commission that comes back with proposals on the green shift. We therefore believe that it would be unnatural to take out the green shift when we have simultaneously started a separate tax commission to look at it. It comes, but there are also measures that we did not hear when the Workers' Party put power in Norway.
ParlaMint-NO_2014-11-12.ana.ud646e659	We are well aware of the government's guise list, but we are also well aware that the measures proposed in the State budget are most likely not to reduce greenhouse gas emissions in Norway. I'll just do one more example. When the Prime Minister now mentions the Climate Technology Fund, it would really be interesting to ask how one now strengthens the action space of Enova towards climate action based on what has been presented. But I'm not going to ask about it and keep track of the transport sector, because one may disagree about much in the climate debate, but everyone agrees that the consumption of petrol and diesel in transport is not climate friendly. It is therefore difficult for me to understand that the government is actually proposing to reduce the tax on petrol and diesel. Does the Prime Minister, although this is a single measure, see that this is a proposal with a poor climate profile? Why has the government chosen to ignore climate policy in the transport sector?
ParlaMint-NO_2014-11-12.ana.ud646e664	We have not ignored climate policy in the transport sector. As I say, we have a job with a green tax commission. We've contributed 9 pst. increase on the railway. Within this NTP process, we are now halfway into what was promised in the NTP on the railways with the draft budget that we have presented. We have provided more money related to expansion, for example. the planning of the Fornebuban and the urban environment packages, so there are many of the things that go right into the transport sector. But just as regards the tax question, it is linked to the Green Tax Commission, and it is not crucial whether there are ten cents more or less on petrol and diesel in terms of climate emissions. It's the big grips that are taken. I would like to be allowed to answer the question about Enova. This means that Enova can in future enter into commitments over many years, because they know that the money is now locked against them, which means that companies can know that they will also receive money in 2016, 2017 and 2018. It is considerably more than the previous government could contribute, because they would not strengthen this as strongly as this government has done.
ParlaMint-NO_2014-11-12.ana.ud646e671	It opens up one follow-up question – Anna Ljunggren.
ParlaMint-NO_2014-11-12.ana.ud646e674	Minister for Climate and Environment Tine Sundtoft, in a reply to the Stortingen on the budget, has stated that for the government, the main instruments of climate policy are ‘non-appropriations, but cross-sectoral instruments such as the pricing of greenhouse gas emissions through taxes or allowances’. And on the other hand, ‘It is not possible to estimate the amount of emission reductions these instruments provide for each year, but over time the pricing of emissions results in significant shifts towards lower emissions.’ What cross-sectoral instruments – through taxes – has the government put in place or strengthened to date?
ParlaMint-NO_2014-11-12.ana.ud646e686	I would like to refer to what I have said earlier. We have reduced a green tax commission that has been commissioned to go through this shift. It would be unnatural for us to pre-empt everything the Green Tax Commission is going to bring – then it wouldn't have been necessary to reduce it. The decrease decided last year to increase the mineral oil charge. We did not choose to increase the electricity charge as much as the Workers' Party wanted to do, because we would take into account households with poor finances. We chose in the negotiations we had in Stortinget, rather something that went more directly on emissions. Then, among other things, increased the mineral oil charge, as an example of what needs to be done.
ParlaMint-NO_2014-11-12.ana.ud646e693	Let's go to the last main question.
ParlaMint-NO_2014-11-12.ana.ud646e697	It was a pleasant surprise to get rid of the main questions. On Monday, the government presented its new north-eastern strategy, which includes: sums up with an elegant drawing how they view the situation in the northern regions. Here is a box where it says ‘Dimble climate warning’ and another box where it says ‘Large petroleum potential’, 43 pst. of the undiscovered oil and gas resources are on the Norwegian base. At the same time, we know that the oil price on the international markets falls, that there will be major redundancies in the Norwegian oil sector, and that we are seeing more and more signals that what is called carbon bubble is becoming a reality that affects Norwegian oil business. But the government's big effort in this budget is, no matter how the Council of State and the Prime Minister turn around and turn it around, more oil activities – it is made perfectly clear both by her and by the Minister of Oil and Energy and other government councils. At the same time, we have today received a look-up with Jeremy Oppenheim, who led the report called the UN's New Climate Economy Report, which the Prime Minister and many in the government have frequently referred to as an interesting document, and he pointed out that he is surprised at the lack of commitment in Norway to the new sustainable industries that we will live on in the future. The question to the Prime Minister is whether this new north-eastern strategy is not just an example of an ever-increasing misstatement that characterises Norway, where we focus more on carbon bubble and less on the industries we're going to live with, and are beginning to be the only ones in the world who don't see it.
ParlaMint-NO_2014-11-12.ana.ud646e708	I believe we have put forward a government budget that responds to the migration challenges for Norwegian society. We have done so through a strong commitment to infrastructure, better framework conditions for investment in the business world of the future, we have done so in the form of high-level research and development, of 4.2 pst. growth, and on innovation measures and others. So it's a budget for the transition that comes in other areas, in business other than carbon-oriented, that's going to be important. That's how next year it's going to be 8 pst. Decreases in investment in the oil sector — and there are no incentives — and next year there will actually be a slight negative impact on growth in Norway. So we're really going to be less oil dependent, and then it's important to have the speed in the other industries. So I don't agree that we're not going to deal with it, but the general, big framework conditions will help us both get medical technology that can be leading in the future, renewable technology that can be leading in the future, and we're not going to pick each of the areas that we're going to have to have more legs to stand on. But at the same time it is important to say that in North Norway oil and gas activities will continue to be one of the push factors for it, because oil and gas will be needed in the years to come, and more of the activities in Norway will come to the north. Among other things, we have proposed more money, as I mentioned earlier, for environmental technologies and climate technologies to help companies have less emissions at home. One of the things we're doing is trying to meet those from renewable industries who say that the difference in depreciation rates between Sweden and Norway causes us to get less renewable energy in Norway. That is why we have said that we should have other depreciation rules attached to it. And then it's an important and perhaps a little under-communicated part of working up the entire renewable industry: one has to have the energy out of Norway and down to Europe to make export money on it, and that's where we've also said yes to building the two major cables to the United Kingdom and Germany, respectively.
ParlaMint-NO_2014-11-12.ana.ud646e713	It is not so surprising that a government from the Right and the Advance Party is actually placing massive amounts of oil on it – ten times as much on extending the oil industry as on other industries. It's a fact. What's surprising is that the government puts so much emphasis on talking it away. I don't quite understand the point of when the realities are so obvious. When we talk about the North Norway bet, we have been given a very interesting signal on the kind of priorities that the government underlines, namely that the rapporteur at Røst, where cod has lived for a thousand years, now believes that what to live on in Røst in the future is the stumps of Norwegian oil business. Isn't this a risk profile that worries the Prime Minister, when the northern part of the North Region is actually getting more and more focused on the industry that the Prime Minister himself says we have to get out of?
ParlaMint-NO_2014-11-12.ana.ud646e720	What I'm saying is that we don't have to get out of oil and gas business, but we have to have more legs to stand on in the future, because the effect on the Norwegian economy in total is going to be less oil and gas business, but it's going to be bigger in North Norway. I understand the rapporteur at Røst who wants something else to live on when the population falls. There are many politicians who have said that you have to live on tourism, you have to live on all sorts of other things, but in reality at local level you see that getting your full-year jobs, getting your youth back, is a challenge. It's just traveling to Hammerfest and seeing the evolution there. The city went from being a decaying city in the 1990s with a high degree of pessimism to being an optimistic, forward-looking city today. We're probably in disagreement, the Green Party and the government, about whether we're going to need oil and gas in the future. All scenarios for energy projections in the future say we're also going to need oil and gas, and we believe that we're a good supplier of oil and gas production in a more sustainable way than many others.
ParlaMint-NO_2014-11-12.ana.ud646e727	So the oral question procedure is over.
ParlaMint-NO_2014-11-12.ana.ud646e739	There will be some changes to the questionnaire, and in this context the President will refer to the electronic overview made available to the representatives. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Helga Pedersen to the Minister for Municipal Affairs and Modernisation, has been transferred to the Minister for Economic Affairs, who is directly responsible. Question 2, from the representative of Kjell-Idar Juvik to the Minister for Municipal Affairs and Modernisation, is postponed to the next Question Time when the Council of State has left. Question 5, from the representative of Trygve Schlagsvold Vedum to the Minister for Climate and Environment, will be taken up by the representative of Geir Pollestad.
ParlaMint-NO_2014-11-12.ana.ud646e756	This question, from the representative of Helga Pedersen to the Minister for Municipal Affairs and Modernisation, has been transferred to the Minister for Economic Affairs who is directing the matter.
ParlaMint-NO_2014-11-12.ana.ud646e759	«The government has recently submitted to the consultation proposals to remove the county councils as partners of Innovation Norway and to remove the provision for the company to have regional governments. What is the reason why the government is so busy reducing the influence of the county municipality on regional development, while the Stortinget is suggested to decide in spring 2015 on the division of tasks between the state, the municipality and the regional population elected level?’
ParlaMint-NO_2014-11-12.ana.ud646e771	This year, Innovation Norway celebrates its 10th anniversary. Many experiences have been gained in these years and very much works well, but it is time to make a thorough and comprehensive review of both the organisation and the instruments Innovation Norway has available. It is important to strengthen Norwegian innovation and competitiveness in business. The consultation on changes to the Law on Innovation Norway is part of that work. Innovation Norway currently has one main board of directors, 15 regional boards, 20 owners and 42 sponsors, together with 130 members of the board of directors who are in charge of the business. This has to be organised in a simpler way. In addition, there are indications in the law and through the letters of assignment that affect the company's premises of action in various ways. Innovation The Norwegian Governing Council should be given the opportunity to adapt activities more closely to the needs of the business community, the company's objectives and the appropriations. It calls for the removal of the provision of regional governments from the law. We also assess how we can simplify the tasks of Innovation Norway. Other areas in which we can usefully consider changing are the ownership model. It requires resources both for the owners and for the company. The ownership structure ultimately means that matters must be anchored and dealt with in 20 political bodies. It presents challenges in the operational management of ownership. For this reason, I have asked the hearing bodies to assess three alternative ownership structures: firstly, the ownership structure of the day, secondly, the ownership of the state alone, and thirdly, ownership of the state and two counties. I must stress that the government does not propose to change the purpose of Innovation Norway. The company should continue to be the national and county authorities’ instrument for realising value-creating business development throughout the country. The provisions on participation in regional partnerships and regional presence are also maintained as at present. This will therefore be a good opportunity to discuss when we promote a legislative proposal with proposals for amendments in spring 2015. So we're looking at the business and at the most effective instrument operator, and then it's logical with two runs, as we do with Innovation Norway, and the way the Minister for Municipal Affairs and Modernisation does with the division of tasks. The review we are now doing provides a good basis for also discussing the division of tasks when we come to that debate.
ParlaMint-NO_2014-11-12.ana.ud646e792	I thank you for your answer. I believe that there is a cross-political consensus that Innovation Norway is a very important tool in active business policy. From the Workers' Party's side, we would like to take action to make Innovation Norway an even better tool, including simplifications. Back to the main question. Both the Right Party and the Advance Party opted for the removal of the county. That's not the majority for on the Stortinget. The government also recognizes that. But after the High Court Municipal Policy Conference earlier this fall, the message was that the Right would now retain the county council, but empty it for tasks. When the government now opens up to the removal of the county municipality as the owner of Innovation Norway and to remove the regional governments, as well as to cut the regional development funds of the county municipality, we can see that the depopulation has begun. But the question, especially relating to Innovation Norway, is whether the government has any professional reason to do this, in addition to ideological resistance to having a regionally elected level?
