ParlaMint-NO_2014-04-09.ana.ud2193e26	The representative of Pál Farstad will present a proposal for a representative.
ParlaMint-NO_2014-04-09.ana.ud2193e437	The 1964 round of municipal mergers and the introduction of county level must, in a historical perspective, be seen as steps 1 and 2 of a structural change in local democracy in Norway and an adaptation to increasing population, new housing patterns and increased traffic. However, step 3 remains – 50 years after the first step. Nearly half of the municipalities before 1964 are not restructured. COSTRA figures from 2007 show that the municipalities that were merged spent 1.3 billion. kr less on the administration, and they got in Appendix 2.9 billion. kr less in free income, i.e. a difference of 4.2 billion. kr annually – all balancing and compensation peeled away. A coerced minority of municipalities are imposed by us, as accumulation and government, less freedom and increasing economies of scale. It's a debate that the Central Party ignores. The state may not require profit and aggregation after 12 years, and we can put funds in regional commercial gardens in the pot to point to some carrots. When do carrots enter the debate on voluntary aggregation?
ParlaMint-NO_2014-04-09.ana.ud2193e444	The government has already signaled that there will be a broad discussion on this in connection with the municipal proposition, which comes to the Stortinget in May. At that time, the principles and questions raised in the expert committee will be discussed in the Stortinget. The question of any compensation schemes and others will also be highlighted in this context. I can't say anything more about the content, but it comes to Stortinget to a preliminary discussion. Then I want the municipalities to have a framework to deal with when the discussions start. I would like to say again that there is no doubt that the income system today is a barrier to bundling for some smaller municipalities, and they have become stronger in recent years. At the same time, geography in Norway makes it natural for some municipalities to be small. We also have to include ourselves in this discussion that it is not just to believe that one can turn to some point in the income system and starve municipalities to join forces. It's not the government's strategy – and it's not going to be the government's strategy.
ParlaMint-NO_2014-04-09.ana.ud2193e451	Let's move on to the next main question.
ParlaMint-NO_2014-04-09.ana.ud2193e454	I will continue to follow it up with the Data Storage Directive, because I am disappointed when the Prime Minister hears it as if the directive should be introduced almost in any case, even though we now have a judgment that states that it is contrary to our fundamental human rights. The left has been against the Data Storage Directive all the way, and this was to be implemented in Norwegian law. The Data Storage Directive is very intrusive to individuals and results in massive monitoring of innocent people’s correspondence. It violates our right to privacy. We who have pure flour in our bag won't show our flour all the way. Now the European Court of Justice has passed a judgment that clearly states that this directive is illegal. The judgment concludes that the Directive involves a very extensive and particularly serious interference with the fundamental right to respect for privacy and to the protection of personal data, without this intervention being limited to what is strictly necessary. This can, as the Left sees it, mean nothing but that the Storting, against, among other things. The votes of the Left have adopted a law or adopted a law to implement a directive that infringes fundamental rights. I want to talk a little bit about the content of the verdict. One of the main arguments in this judgment is that the Directive allows the storage of electronic communications by all individuals without the aim of limiting monitoring in order to prevent serious crime, which is the objective of the Directive. How does the Prime Minister see that we should be able to limit monitoring to only those cases where serious crime is suspected?
ParlaMint-NO_2014-04-09.ana.ud2193e465	Let me start by saying that I have not said that the questioner initially said, that that means that the directive will be implemented in any case. I've told you that we're going to spend time going through the question. The directive will not be implemented, but the question is what national legislation we should have in the area of ensuring the storage of important data in the future, balanced against privacy considerations – so that it is established. Then, of course, there's a dilemma in that judgment. It is that the sentence problematizes what it is quite right to problematize, that during the storage phase there is no qualified requirement for what a storer is. It's relatively natural, I want to say that. You're not in the phase you're saving, suspecting individuals. That's not a problem. If you suspect, you may be able to pursue those persons. However, storage is in cases where one in the criminal investigation in retrospect or in subsequent incidents is going to go back and look at data that has been around the moment of the incident or look at traffic such as: in pedophilia matters is about who actually received, took down and looked at these pictures, looked at these videos, maybe also made these videos with gross abuse of children. In fact, one must at some point store this before one has a clear and clear suspicion. It is a dilemma that we in Norway have solved, because we have very strict conditions for how to deal with this, what security mechanisms are around the data being collected, and that there should be court proceedings to obtain information when the police have to have it. So we've put the little bit of suspicion there. It's one of the dilemmas in the law that we have to look at, because it's clear that if you don't have to be able to store, for example. IP addresses in line with this judgment, nor will it, which also left actually opened in the previous round of the treatment, be affected by this law, if one is to go completely literally into it and say that one cannot store anything until one has a suspicion. Today we store for three weeks. It is almost useless for the police in important criminal cases to be investigated.
ParlaMint-NO_2014-04-09.ana.ud2193e474	It's quite right, as the Prime Minister says, that there are some of the dilemmas that the judgment takes for granted. Such a data storage directive is designed today, it does not meet this so-called proportionality principle, so much more is being monitored than what is left of it in retrospect. And I agree with the Prime Minister that this is a dilemma. The left therefore believes that we should not introduce the directive, precisely because we are monitoring massively all our citizens, and it is not in relation to what we get back, what comes out on the other side. I have to say that I didn't quite hear about the Prime Minister having any alternative ways of fulfilling the principle of proportionality. If she does, I'd like to hear about it. So I would like to hear what she sees in terms of costs if we are to start to differentiate to get our legislation in line with what the European Court of Justice is now basing on.
ParlaMint-NO_2014-04-09.ana.ud2193e481	It is very important to distinguish between the Data Storage Directive and national legislation on this issue. It doesn't happen that we're going to implement a directive that doesn't exist anymore, because it doesn't exist now; it's not valid. The question is what kind of national legislation we are going to have in the future, and whether we are going to keep the legislation we have put in place to implement the directive, but also because we believe that there is a national need to actually address serious and serious crime, or whether this judgment should have implications for what we have put in place. That's what we're going to evaluate. So that's how the dilemma I described is going to exist all the way, and we have to take that. We are not going to be able to investigate serious pedophilia stuff of the kind that we now have international cooperation on, without having stored some data in advance. If you only have to follow those who are suspected, there will be a completely different type of investigation method that will have to be used in that case. That means we don't have much to take out of what's going to be on-line research.
ParlaMint-NO_2014-04-09.ana.ud2193e488	There will be follow-up questions – first Trine Skei Grande.
ParlaMint-NO_2014-04-09.ana.ud2193e491	First, I just want to follow up on this. Cecilia Malmström, who is responsible for this in the EU today, said yesterday that there is no data storage directive, and we need to consider what will happen instead – probably there will be nothing. I used the morning hours to review the debate from April 4, 2011. At that time, the leading gunman – along with the then Prime Minister – was Minister of Foreign Affairs Jonas Gahr Støre, who argued that the reason we had to introduce this was that Norway should not be tempted to commit crime when the whole EU implements a directive. Now, the EU does not want to implement that directive, and what is the recurring issue is: when there is no EU directive, when there is no chance that Norway will be tempted to commit crime, as the Prime Minister's colleague said in that case, is it not time to say that we are scrapping all of this, then we start again, and then we create a Norwegian code based on Norwegian assumptions, on Norwegian principles and on Norwegian interpretations of human rights?
ParlaMint-NO_2014-04-09.ana.ud2193e500	I am pleased that the representative of Skei Grande acknowledges that there is a need for a Norwegian national legislation to do this, that we must have a regulatory framework that is appropriate to the data actually stored for various reasons, and that the police are likely to need some data to be stored. At least we've agreed on that before. As I just said, the directive does not exist, so we are not going to implement any directive. If she reads through my post and not just Jonas Gahr Støre's input into this debate, the representative Skei Grande will see that I stressed that this was primarily national legislation, because we need to make sure that we have the means to combat serious crime in Norway. Now I have said that we shall review the judgment that has been given. We know that some of the points that they have, we've met through the rules that we've made in Norway, others we haven't met. Then we have to come back with a foundation. I cannot conclude with what that basis should be, now.
ParlaMint-NO_2014-04-09.ana.ud2193e512	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e515	We all agree that we need national legislation. As the Prime Minister has repeatedly said and pointed out, we have a code today that will help to take quite a lot of serious crime. So it's not like we're living in a vacuum today, either nationally or internationally. The main point must be to target the legislation in such a way that it is possible to take the serious crime – which is desirable – without one monitoring all of them. I've been sitting and thinking a little – I've heard the answers from the Prime Minister, and really I feel that the Prime Minister almost regrets the judgment. Since we made the decision in Stortinget, we have had the story of Snowden, who has revealed – yes, perhaps illegal – surveillance, and we have now seen a European Court of Justice judging the law to be contrary to fundamental rights. Is it right to understand the Prime Minister until she complains that the courts pointed out that this is a violation of fundamental rights?
ParlaMint-NO_2014-04-09.ana.ud2193e522	There is no basis for reaching that conclusion. I believe that the Data Storage Directive, which I also made clear in the debate that took place three years ago, is very comprehensive and that there are problematic aspects to it. That's why we also rely on minimum solutions in implementation. We also see from some of the allegations made in the judgment, i.e. the decisions made in the judgment, that they point out just some of the spaces that are lawful to regulate the collection of data as one of the most worrying. There is a dilemma in the question that we raised earlier in this round, namely when the suspicion should be – before or after saving. But I would say that we do not have satisfactory data storage rules today. I remind you that in 2009 the Swedish Data Protection Authority informed me that there was no need to store other than for commercial reasons for more than three weeks. It is not sufficient to address the key areas needed by the police. I actually perceived the debate in 2011 so that almost all of the Stortinget thought that there should be longer storage time than it is under today's rules.
ParlaMint-NO_2014-04-09.ana.ud2193e529	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e532	It is very new that the Prime Minister confirms that there is no data storage directive to implement in Norwegian law anymore. That's a big news story we've got today. In connection with the introduction of the Directive and the discussion held in 2011, there was an agreement between the Labour Party and the Right. It was directly linked to the implementation of the Directive. In the absence of a directive to be introduced, there may well not be an agreement between the Labour Party and the Right in the case. That is also very good news. I agree with the Prime Minister that there is a need for a national legislation on storage. My question is: when the work is to be started, will it be done on a free basis, or will one be forced to comply with the agreement between the Right and the Workers' Party, which is thus linked to a directive which does not exist according to the Prime Minister?
ParlaMint-NO_2014-04-09.ana.ud2193e541	As in normal agreements between people, the parties to the agreement define whether there is an agreement, or whether the basis of the agreement is gone, not those who opposed the conclusion of such an agreement, and stand on the side and outside. So that's what I think the Right and the Labour Party are going to define, not the Center Party, in this context. So to the question of whether to start on a completely new basis. This is among the things we need to assess when we go through the matter. We must ensure that we have the opportunity to fight crime, we must ensure that we have the opportunity to prevent serious crime, that it can be investigated, and that the privacy of the victim is also safeguarded, within very clear limits, so that there should be no privacy issues related to people else. Unfortunately, if you want to reach some of the most serious crime, you also have to collect information about people who haven't done anything wrong. It is one of the pressures that we in a society sometimes have to take, in my opinion, in order to deal with serious crime that can affect us and our closest.
ParlaMint-NO_2014-04-09.ana.ud2193e550	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e553	We have now heard a number of questions about the Data Storage Directive, and I must say that I agree with the representative, Mr Ropstad, that the Prime Minister is basically very pleased with the decision made by the Right and the Workers' Party three years ago, and sees no reason for self-criticism. That is what I must say about a Prime Minister who still underestimates the seriousness of this matter. Therefore it would be useful for the Storting, I think, if we could get a little clearer answers than we have now on what kind of process the Prime Minister sees for himself. Because it is old news that the government was going to review the directive or, as we are now saying, the agreement between the Right and the Labour Party, following the ruling of the Court of Justice of the European Union. The big question is whether there is a review that only intends to patch up a signed agreement, or whether it is appropriate to scrape this agreement. Therefore, I would like to ask the Prime Minister to confirm or confirm whether it is not appropriate to start this process from the beginning, and to scrape the agreement that is in place.
ParlaMint-NO_2014-04-09.ana.ud2193e560	The sentence came yesterday. We take time to review the implications it has for Norwegian legislation and for the decisions taken. We'll come back to Stortinget at some point with a clarification of it. We should also come back to how we were going to implement the next step, including. If we were to implement the storage obligation from 1 July, we would also have to have come to Stortinget with a proposal to grant it. I understand that there is a great deal of impatience, but the impatience you get into the Easter – we're going to spend time going through the premises. It is possible that I sound like I think the agreement we made was good. Yeah, I thought the deal we made was good. I believe that that agreement balanced the interests of privacy and the need to ensure the fight against crime well, but these are individual elements of the agreement and the way in which we implement it, which I believe we should review, inter alia. because it is now a matter of national law, which I now also understand from the question of this hall that everyone agrees that we should have. I think that is an important clarification today.
ParlaMint-NO_2014-04-09.ana.ud2193e567	Let's go to the next main question.
ParlaMint-NO_2014-04-09.ana.ud2193e570	In his new year's year, the Prime Minister could tell us that knowledge is the new oil. In these days we are getting new knowledge about how fast the oil economy needs to be built down. Last Monday, the Intergovernmental Panel on Climate Change presented a report which is a frightening reading, which shows how serious the world is now and how important it is to act quickly. We have also had leakages, including: published in the Evening Post this weekend, about the report that comes from the climate panel now on Sunday. According to these leaks, it states that as much as three quarters of the world’s well-known fossil energy resources and at least half — probably significantly more — of oil and gas resources must remain in the ground or below sea level if we are to avoid hazardous climate change. Scientists have never been so sure that emissions have to sink dramatically fast. In this situation, we have a government in Norway that gives full gas to extract more fossil energy. Yesterday, the Minister of Oil and Energy said to NTB: ‘On the question of whether it is an important part of the job of a Norwegian Minister for Oil and Energy to facilitate the widest possible availability of economically viable resources, the answer is definitely yes.’ If most of the fossil energy resources in the world are to remain below the ground or below the sea, it must be completely unmistakable that one oil country – by chance our – will have the opportunity to extract all its resources. Setting the goal of burning as much Norwegian oil and gas as possible is the same as saying that we do not take the climate panel seriously. That is why I would like to ask the Prime Minister if it is really the government's policy that the most Norwegian oil should be extracted.
ParlaMint-NO_2014-04-09.ana.ud2193e581	I believe that Norwegian oil and gas activities are important for Norway and, in fact, also for the world. In particular, in the medium term, gas activities will be part of what can contribute to smaller emissions in Europe, because they can contribute and fill the capacity needed to stabilise against the days it does not blow enough, or are enough sun, and where other capacity is needed to fill Europe’s energy markets. The biggest challenge we have with it is that the gas option is going to be coal, which gives significantly greater emissions. That's why I think the most important thing is that we fight emissions, not where you produce, but where you consume, and that you have a good policy internationally to achieve it. That's why I think it's still important that we extract our oil and gas resources in Norway, because the option is not that everyone else will not. The alternative is that some others, who have even greater emissions, fill those areas. Then we're concerned that we're going to make binding agreements in the future internationally. In a binding agreement, we must also be able to discuss, for example: How much we're going to produce in the future, but at the moment there's no indication that that's where we're going to come up with international action. That is why we are committed to ensuring that energy consumption in Norway and greenhouse gas emissions in Norway are significantly better balanced in achieving the emission obligations we have.
ParlaMint-NO_2014-04-09.ana.ud2193e590	I'm essentially interpreting it as a yes. Then I would say that there is an impossible position, for all the prime ministers in the world's oil country will say the same thing, while the climate panel points to, is that even if we were to stop all the combustion of coal, half of the world's oil and gas resources must be underground. That's not going to happen with what the prime minister just said. We also have an oil and energy minister who definitely answers yes to whether he wants to work to extract as much oil as possible, but who has now been in Stortinget several times, last week, and refused to answer whether it is his job and the government's goal to reduce oil sector emissions. The Environment Directorate has just shown that if we are to achieve the climate targets by 2020, the oil industry will have to take about 2 million tonnes of those emissions cuts. Therefore, I would like to ask the Prime Minister, who has now answered yes to my one question, whether she can answer another question, to which Tord Lien has not wanted to answer: Is it the Prime Minister's goal that the oil and gas sector's emissions should be lower in 2020 than today?
ParlaMint-NO_2014-04-09.ana.ud2193e595	It is our goal that we should have lower emissions from the oil and gas business. If we can do it by 2020, I am not quite sure today, but over time we will have lower emissions. The main instrument we have for this is the combination between the CO2 tax and the quota price. I have expressed publicly too many times, and I think we should have had a higher quota price in the European quota system. That's really what's nabbed in a lot of environmental policy in Europe, and as long as the quota price is too low, it's a challenge in not getting the technological innovations that we had hoped and wanted to reduce emissions. That's why, from the government's point of view, we're also concerned that over time we should be able to constrain the quotas, i.e. in the system, so that we get a higher price and more power. For the oil and gas business, we have the special feature in Norway that we also have a CO2 tax, not only the quota price, which is effective and has worked, and which was introduced by a civil government in 1990.
ParlaMint-NO_2014-04-09.ana.ud2193e606	There will be follow-up questions – first Heikki Eidsvoll Holmås.
ParlaMint-NO_2014-04-09.ana.ud2193e609	Let me start by asking: if that's what the Prime Minister says, why in the world hasn't the government proposed a faster phasing-out of the allocation in the quota market, or a higher climate target with higher climate requirements than the EU's, when the government first had the opportunity to make representations to the EU? But let me just underline: everyone understands that leaving coal, oil and gas down means losing potential revenues, whether it's Tanzania that has to do it, the United States that has to do it, or Norway that has to do it. Therefore, the question of who should leave fossil resources is a question of distribution, just as who should be given the opportunity to emit CO2 in the future is a question of distribution. If not Norway, which is the country that collects the most fossil resources per capita, should leave some of the oil lying and start the transition to the zero-emissions society, I would ask Solberg: is it so that Erna Solberg believes that the UN Climate Panel is wrong when they say that coal, oil and gas have to lie down, or does she refuse to take our share of the effort?
ParlaMint-NO_2014-04-09.ana.ud2193e617	The government is fully committed to doing our part of the effort to reduce climate change emissions. We have said that we need to strengthen the climate agreement. We're going to work on going from word to action -- finding the concrete measures now that actually do. We are set a step back in terms of it when it became clear that there was no cleaning in Mongstad. It's a long story, as the Storting has discussed a lot, but it does, among other things. it appears more difficult to achieve the 2020 targets than has been foreseen so far. Then this discussion becomes a little bit of a theoretical Norwegian discussion. If this had been an international question where all energy producing countries would have discussed whether to now reduce our extraction to ensure this, it might have had an international impact. But you have to make sure that you have the global impact of the measures you're taking. A unilateral stop or reduction in Norwegian oil and gas production will not affect the climate. It'll just make sure that those that pollute more are going to produce more.
ParlaMint-NO_2014-04-09.ana.ud2193e624	Eva Kristin Hansen – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e627	The report presented by the United Nations on Monday was, well, very serious about the climate situation – we have to bring down emissions internationally, but we also have to do things nationally. Then it is interesting that the Prime Minister responds to the government council that Tord Lien would not respond to last week, whether the petroleum sector's emissions are going to go down by 2020. The Prime Minister here now says that she thinks you can't get them down. Then it is interesting to ask the Prime Minister: when the Environment Directorate says that we must cut by 8 million tonnes by 2020, and that at least 2 million tonnes must be taken from the petroleum sector, how does the Prime Minister intend to do this if not also the petroleum sector?
ParlaMint-NO_2014-04-09.ana.ud2193e632	What I said was that it's hard, because we haven't actually had enough practical action to bring down these emissions in recent years. That is why it is a very short deadline until 2020. I believe that the emissions from the oil and gas business are going down, but I say what I mean, 2020 is a very early perspective to achieve that, because the investments should almost have been made now if they actually had a great impact in 2020. It's a little bit of a dilemma. Then we're going to work on measures that help us reduce emissions. As I pointed out, the main measure here is allowances and CO2 tax, but in addition we are going to be concerned that we are going to have power from land as one of the important measures for this.
ParlaMint-NO_2014-04-09.ana.ud2193e640	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e643	Climate issues and energy issues are in many ways two sides of the same coin. Energy in the form of renewable energy and oil and gas will be a key to addressing climate challenges in the future. In very many debates on these issues, representatives from the government parties refer to the notified energy message. My question is: will this communication also address issues related to future Norwegian oil and gas policy?
ParlaMint-NO_2014-04-09.ana.ud2193e649	We're supposed to look at the whole energy field. There will therefore also be areas of oil and gas policy that will be included in this, but it will not be a complete oil and gas notification. But we are now working on the scope and how much, and it is clear that in an energy policy discussion, the oil and gas business will have to be involved in such a message. We've started working on it, but we haven't concluded everything that's yet.
ParlaMint-NO_2014-04-09.ana.ud2193e654	Let's move on to the next main question.
ParlaMint-NO_2014-04-09.ana.ud2193e657	My question is about choice in close relationships. I felt that the Prime Minister on 8 March raised this as a very important policy area, and I fully agree with the Prime Minister. Now it's like we're approaching Easter break, and there's a lot of kids who are anxious about vacation time, because they know that it means more time with parents, it means more filling, and it can also mean more choice. In the 2014 budget, the previous government agreed to set aside funds for the investigation of violence against children. The reason why this is important is that it also makes it easier to target the responses — a good fact-finding basis for the actions to help children in a very vulnerable situation. The new government has chosen to remove these funds, so it will not be able to carry out such a large-scale screening of the election against children. I thought I'd just give the Prime Minister the opportunity to explain why she on the one hand is busy with family elections, but on the other hand, when she has the opportunity to take it, has chosen to give priority to just the most vulnerable children.
ParlaMint-NO_2014-04-09.ana.ud2193e666	Now, we have prioritised more funds for the most vulnerable children through the efforts we have at what are the sources of much of what creates violence, for example. I'm sorry. I'm sorry. I'm sorry. We have put more effort into care in our alternative budget, including: by purchasing more treatment sites in all health care establishments to ensure that parents actually receive an offer. Many of these offers are also comprehensive family services. When you did not go into that scope study now, it is among other things. Because more targeted ways of finding good research in this area will be found. You might think that we're going to get back to some of that, which is going to reveal the same thing. A research study would not contribute to less violence in the Passover, but treatment sites where father or mother are on treatment contribute to less violence in the Passover.
ParlaMint-NO_2014-04-09.ana.ud2193e673	I thank you for your answer. I am glad that the Prime Minister will of course also take up some of the things that give Grobotn for power against children. But what I think is a little difficult to get a proper grip on is how it's possible that the new government, when she had 4 billion. kr more than the previous government at its disposal – the largest government budget in the world – but no room for €3.5 million. kr, which is the scope study you want to determine. This is an important fact-finding and fact-finding tool to best target responses. I could imagine that the Prime Minister explains how one can have 4 billion. kr more, but can't afford a range poll.
ParlaMint-NO_2014-04-09.ana.ud2193e678	The government strengthens the knowledge base for violence against women and children by establishing its own research programme on violence in close relations. I assume that once you have made an assessment of this particular program, there is a program that you may have felt has been covered in other areas, or you have wanted to go over the study again. The important thing for us is that we work on the things that contribute where children are and where those who practice violence are. That is why we have also launched measures to increase the ability of the whole aid system to prevent and not least detect abuses, to detect violence, and to ensure that we have routine issues of violence when suspected, in meetings between health services and others when different groups are visited. It is important to make it visible and to ensure that we effectively identify the individual cases that actually need to be addressed.
ParlaMint-NO_2014-04-09.ana.ud2193e685	It opens for follow-up questions – Stine Renate Håheim.
ParlaMint-NO_2014-04-09.ana.ud2193e688	When the scope study on rape was presented on 26 February of this year, Minister of Justice Anundsen said: ‘We need more knowledge to prevent violence and abuse.’ To the newspaper the day he followed up by saying: ‘This numerical basis will enable us to take action’. So this is what the government representative says about the scope study on rape. I fully agree – more knowledge is crucial to making the right decisions and actions. This is precisely why it is serious when the government cuts out the scope study on violence against children. It is a measure that costs a small amount of money in the broad context – 3.5 million. kr – which would give us important knowledge, just as the scope study on rape did. That is why I ask the Prime Minister: why do you operate with your own standard of violence against adults and another standard of violence against children?
ParlaMint-NO_2014-04-09.ana.ud2193e705	I believe that there is no reason to claim what was asked in the last sentence. Or, to put it correctly, we operate with a completely different standard of violence against children. Violence against children is much more serious and is much more important to knock on and lead to a much faster response — and should do so — than violence for the rest. It's because children are vulnerable. You have to make sure they have a good growth and follow up closer. Then I have to say, as I just answered the previous question, that we have established our own research programme on violence in close relationships. It also includes ensuring that we have a knowledge of violence directed at children, and we are going to make sure that we go to the source of what is one of the problems, namely, intoxication. It's one of the areas where this government has spent $200 million. kr more, to buy services, which means that we are going to make sure that people who are rushing get help faster, and here family help is important.
ParlaMint-NO_2014-04-09.ana.ud2193e712	The oral question procedure is now over, and we're going to go to regular Question Time.
ParlaMint-NO_2014-04-09.ana.ud2193e724	There will be a wide range of changes in the set questionnaire, and the President will refer to the electronic questionnaire made available to the representatives. The proposed amendments to the current Question Time are proposed. – It is deemed to have been adopted. The changes were as follows: Question 2, from the representative Kåre Simensen to the Minister for Municipal Affairs and Modernisation, must be postponed until the next Question Time when the Council of State has left. Question 3, from the representative of Svein Roald Hansen to the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and Relations with the EU, must be postponed to the next Question Time when the Council of State has left. Question 6, from the representative, Mr Vegar Solhjell, to the Minister for Transport, was raised by the representative, Mr Heikki Eidsvoll Holmås. Question 7, from Kari Henriksen's representative to the Minister for Foreign Affairs, must be postponed until the next Question Time, when the Minister for Foreign Affairs has left. Question 8, from the representative of Ingrid Heggø to the Minister for Industry, is addressed by the representative of Ingvild Kjerkol. Question 10, from the representative Karin Andersen to the Minister for Children, Gender Equality and Inclusion, has been withdrawn. Questions 15 and 17 from the representatives of Tove Karoline Knutsen and Anna Ljunggren, respectively, to the Minister for Oil and Energy, will be answered by the Minister for Justice and Defence on behalf of the Minister for Oil and Energy, who has been removed. Question 16, from the representative Heikki Eidsvoll Holmås to the Minister for Oil and Energy, must be postponed until the next Question Time, when the Council of State has left. Question 18, from the representative Anniken Huitfeldt to the Minister of Defence, must be postponed until the next Question Time, when the Council of State has left. Question 20, from the representative of Mr Knag Fylkesnes to the Minister of Knowledge, is addressed by the representative of Mr Siv Elin Hansen.
ParlaMint-NO_2014-04-09.ana.ud2193e761	‘In the March 19th Question Time, the Prime Minister warned against continuing to negotiate with ESA on a differentiated employer’s fee for the industries currently proposed, this particularly affects the transport sector in North Norway. The NHO considers that EU guidelines do not require the removal of the transport sector from the scheme; this is supported by external experts. The NHO has sent this information to the Minister of Finance on 31 March. Is the Council of State in agreement with the conclusion of the NHO and will the Council of State take a new round with ESA?’
ParlaMint-NO_2014-04-09.ana.ud2193e768	Let me first say that I am happy that it is possible to continue the system of a differentiated employer's fee, and that it also seems that we can extend the scheme geographically to 31 new municipalities. The government has placed great emphasis on running a process that allows ESA to approve the scheme in time for us to continue the scheme without delay from 1 July. It's important for the whole country, and it's especially important for North Norway. So it's unfortunate that we seem to have to take more sectors out of the scheme. It may be unfortunate for many enterprises, not least in the transport sector, where the NHO is concerned. I share the NHO's concern about this. This applies not only to the direct economic consequences but also to the fact that it leads to a much more bureaucratic and resource-intensive system of practice. This means that companies' compliance costs are increasing and that the tax rate has to spend more resources on guidance and control. I also agree with the NHO that there are good arguments that both the transport sector and other sectors that are now in the process of being removed should still be able to obtain a differentiated employer's fee. That is why we have had a wide-ranging dialogue with ESA on this, with both the arguments the NHO refers to and several arguments have been used towards ESA. However, it has not yet been sufficient to convince ESA to take a different view. On the contrary, ESA has made it clear that we could not expect an approval in time to continue the scheme after 1 July if we had notified the energy and transport sectors included in the scheme. I believe that in the situation we are currently in, it is right to give priority to putting it into place as far as possible within the ESA's interpretation of the legislation. If there are no new points of view that sectoral restrictions can be interpreted differently from what ESA has signaled so far, I believe that this is the best thing to do in the short term. At the same time, we are working intensively to assess different measures that can remedy the situation of those affected by the sectoral restrictions, so that this as far as possible can be in place on 1 July. Once we have it in place, we will assess whether there is a basis for notifying changes to the different employer’s fee scheme. We expect, among other things, further clarifications of the sectoral restrictions will be made as other EEA countries notify their regional aid measures. We are also aware that there is a strong pressure from EU Member States against the European Commission to clarify the definitions of, among other things. the transport and energy sectors. We will therefore follow legal developments in the EU/EEA in order to be able to notify changes if developments show that our sectoral limitations are too extensive.
ParlaMint-NO_2014-04-09.ana.ud2193e781	Thanks for the answer. I am pleased that the Minister shares the conclusion of the NHO, but I am not satisfied with the outcome of the negotiations and am pleased that further negotiations will take place. The conclusion must be that we have done too bad a job in the negotiations when it becomes clear that we can exclude these sectors. So it's also that this affects the transport industry in particular. What we see is that for Northern Ireland alone, only in public transport, this will amount to 55 million. kr. For Onkøe, it's going to be 40 million. kr. For Torghatten Traffic Company, which is a large traffic company in the north, this will amount to 100 million. kr. For the other freight users too, this will be large amounts of money that it is difficult to take with good compensatory measures. My question is: now it seems that part of this will go out of the system and lead to major disadvantages. Will the Minister and the Government work to find compensatory measures that either take the affected people directly, or to compensate North Norway for the krone in other ways?
ParlaMint-NO_2014-04-09.ana.ud2193e792	Let me first say that I think the representative Juvik of the Workers' Party should be a little cautious about criticising the outcome of the so-called negotiations, all the time the decision on this was taken in the EU before this government joined. So it was covered by the previous red-green government, and then I will at least be allowed to claim that we are in the same boat as we have in the challenges we have had, and have, towards ESA, linked to the new differentiated employer fee. That is why I have been committed to recognising the work done by the previous government in the negotiations. This government has continued this work, precisely because it is so important that the system remains in place, especially in the northern parts of the country. Then we're going to work all the way forward towards the presentation of the revised to provide the best possible compensatory measures for the industries and businesses affected by the changes.
ParlaMint-NO_2014-04-09.ana.ud2193e801	Now the final decision – and the minister knows that – was made on 23 October, and it is also the case that the previous government protested and worked for this exception all the way. My criticism is that the real negotiations that have taken place since 23 October until today, and I see that both the NHO – and I – conclude that the result has been too bad. It is insofar as the Minister also agrees and says that she will continue to work with the major consequences. Here we're actually talking about 1.1 to 1.5 billion. kr for a whole part of the country if no compensatory measures are found that can limit these major disadvantages. It is remarkable that you try to take credit for having entered 23 new municipalities, which were also located from the red-green ones. But when you haven't succeeded in transport and energy, you owe it to the previous government. The final question is: Does the Minister agree that there is a greater room for action than has been achieved?
ParlaMint-NO_2014-04-09.ana.ud2193e810	For the sake of order, there are not 23 new municipalities, there are 31 new municipalities. So I have always said that much of the negotiation efforts of the previous government have been important, and it has been continued by this. In other words, we have had exactly the same position in saving this system as the red-green government had. That is why we are in a situation where it will be much more constructive if we now use our energy to put in place the best possible compensatory measures to remedy the damage this would have to do to individual businesses and regions as a result of changes. That's what the government is working on. We will present our proposals for solutions for the Storting in the context of the revised budget, and we are of course responsive to recordings. That's why we're in dialogue with business organisations, and that's why we have our biggest representatives from the northern states in turn, just to find the best possible solutions.
ParlaMint-NO_2014-04-09.ana.ud2193e839	These questions are put to the vote. Let's move on to question 4.
ParlaMint-NO_2014-04-09.ana.ud2193e848	‘The Government has launched the fishing port projects at Napp in Lofoten and Sommarøy in Troms, giving reasons for the creation of a national port strategy. Fishing ports are a crucial part of the infrastructure around the fishing industry, and not part of the other freight ports. The coastal works have already developed a fishing port plan for the whole country. What is the reason why the government is going to create a common port strategy, and what time is it coming?’
