ParlaMint-NO_2014-03-26.ana.ud2183e26	The called alternate of the Vestfold County, Steinar Gullvåg, has taken the seat.
ParlaMint-NO_2014-03-26.ana.ud2183e481	I think that the representative Serigstad Valen should be a little more correct in his presentation of the tax reliefs this government has given. It is absolutely right that we have both given relief to ordinary people and have brought great relief to the wealth tax. It is primarily about securing jobs around the whole country. It is about contributing to the competitiveness of an increasingly tried and tested business, which is facing a more demanding competitive situation in the markets in which they compete. An overall Norwegian business life has long said that one of the most important issues that this government wants to deal with is the strange wealth tax. That's what the two government parties voted on, and that's what we're about to do. In addition, of course, this government is concerned with a wide range of other measures, which will take people with low and medium incomes, while at the same time it is important for them to have a job to go to. Therefore, it is important that the government now addresses weakened competitiveness and takes action to raise productivity growth in the Norwegian economy. That work is going on with full force and strength. Then I have recorded that there is a somewhat strangely politicized debate about the value and importance of discussing the case that has been in productivity growth in the Norwegian economy over the last eight years. Well, those who believe that this is not an important issue are also not particularly concerned with the future welfare level of Norway and the Norwegian economy. It's this government. That is why we address these questions, and we are going to continue to reduce the overall tax burden in Norway, because we believe that it is good to strengthen the competitiveness of Norwegian companies.
ParlaMint-NO_2014-03-26.ana.ud2183e488	My presentation is quite correct, because it is derived from the government's own additional proposition, Table 1.3. There everyone can see what low-paid women get in tax from the government compared to rich directors, for whom Siv Jensen is responsible in government. I don't know about Jensen, but I think it can be seen as an insult that the Minister of Finance keeps walking around and bragging about giving 27 cents a day in tax cuts if you're a low-paid woman. It's a little bit like giving 2 kroner a tip and saying, "Buy something nice." I did not get an answer to my question, so I ask again: what is it that secures jobs, to quote the finance minister, by giving Helge Lund, Rune Bjerke and other directors 390 times more money in tax cuts than usual hard-working, low-paid women?
ParlaMint-NO_2014-03-26.ana.ud2183e493	The biggest difference between this government and the previous government is that now at least tax relief is given to everyone. It's a work the government is going to continue, because it thinks it's important. In the debate on taxes on wealth, it is primarily about the fact that much of Norway’s capital is being tied up, so that it is not channelled into companies in the start-up phase or that need new capital to expand and secure their business. That's why we're going to continue to work to reduce taxes on wealth, because we think it's distorting, it's strange, and we find it in very few countries with which Norwegian companies compete. There has also been an ever-increasing gap in corporate taxation in Norway, compared with many countries with which we compete. That's why we also took the first step towards harmonising it. The Scheel Committee makes its recommendations in October, and it will follow up appropriately.
ParlaMint-NO_2014-03-26.ana.ud2183e498	There will be follow-up questions – first the Audun Light Bin.
ParlaMint-NO_2014-03-26.ana.ud2183e501	Large tax credits to the richest in Norway, bonus parties and greed among them at the top undermine what I think is the finest thing in Norwegian society, that is the trust and the cohesion that creates small differences. In 2008, the then depositor Siv Jensen went hard towards the bonus party in the banks and said that she would go in order that there would be no bonuses in the banks as long as the government was in charge of relief measures for them. Today it seems that Siv Jensen's response is not a response to bonuses, but tax relief for those who get them. Last week I asked Prime Minister Erna Solberg if she could mention a single measure this government will take against the bonus party in the banks. She then replied with nothing, in addition to the fact that the government would scrape the financial tax that was being planned. I wonder if it is Siv Jensen's answer as well, or if she can give us a single example of a measure this government will put in.
ParlaMint-NO_2014-03-26.ana.ud2183e508	An action that is already being consulted is the follow-up to the CRD IV Directive, which is just focusing on tightening up bonus schemes, not necessarily only for banks, but on a general basis, and I think it is important that we look at it. So, of course, it's an important and quite legitimate debate to deal with bonus schemes and pay growth in top managers both in government and in private companies. I think it's a management responsibility, a board of directors, to think through what signals you send in front of a payroll, where the same actors underline the need for moderation. I mean it's a very important social debate, and that it goes, and is taken continuously, I'm in favour. At the same time, as the Minister of Industry also said, we must also assess what action we may be taking where there is a breach of the state legislation underpinning it.
ParlaMint-NO_2014-03-26.ana.ud2183e513	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e516	In 1881, the Stortinget introduced tax according to its ability, a principle that has since stood high. Tax by ability meant that a property tax and progressive income tax were paid. A property tax was paid, which was an extra tax on a job-free income, from a property that was three to four times a gross annual income. But my question is about income taxes and taxes according to the ability of the income tax. The centre party agrees that we are increasing the income tax base deductions. My question to the Council of State is now very precise, and I am asking for an answer, since many of the Councils of State of the Progressive Party do not answer the questions asked here: Will the Council of State weaken the tax advance on income in the future, i.e., so that those with high incomes, high tax capacity, get a lower tax rate – lower than for those with low incomes?
ParlaMint-NO_2014-03-26.ana.ud2183e521	Let me first refute the claim that the Progress Party Governments do not answer questions. That is what we do — this Council of State too, but on questions of what kind of tax changes will be proposed by this government in the context of next year’s government budget, the representative Lundtägen is well aware that they will be advertised when the government budget is presented in October. But it's probably not a big secret that this government is working to reduce the overall tax burden. We took the first steps in the supplementary proposal in the current year's budget. We will continue to do so, so that ordinary employees benefit, and so that it ensures increased competitiveness for an increasingly tried and tested business.
ParlaMint-NO_2014-03-26.ana.ud2183e527	Let's go to the next main question.
ParlaMint-NO_2014-03-26.ana.ud2183e530	I have a question for the European Minister. The European Minister has given the impression that he is pursuing a much more active and ambitious European policy than the previous government. When he is confronted with why he has given up some Norwegian requirements relating to EU directives, he answers in the Questionnaire today that the Norwegian company is by far the most concerned about the companies he has visited is that EU directives are not implemented quickly enough. My question is: What Norwegian companies has the European Minister of Justice been in the country complaining that the red-greens have not implemented EU rules quickly enough?
ParlaMint-NO_2014-03-26.ana.ud2183e537	Yesterday, I visited Grenland, I visited Eastern Plastic and Diving Services, and there I also met the head of the Norwegian department of INEOS, a large petrochemical company. The main message was very clear: it is a level playing field that is the main issue of Norwegian business. I get the same message in meetings with business organisations. Last week I visited Norway's largest strawberry farmer, Geir Joa on the Sola, who said he wanted the same conditions as his European competitors. He wanted to be able to import strawberries from the EU in order to produce two crops during the strawberries season, so we can have Norwegian strawberries until 17 May. Norwegian legislation stands in the way of today. The desire for a level playing field in business is strong, and it is therefore important to bring down EEA acts. It has nothing to do with irritating the EU – it does so far, but it is not the most important thing. The most important thing is to have competitiveness in Norwegian business, to ensure jobs, to ensure well-being, we must ensure that we do not give Norwegian business a start-up disadvantage. That's the starting point for the job that we're doing in bringing down EEA legislation.
ParlaMint-NO_2014-03-26.ana.ud2183e546	Then I have a question about what results, what implementation has the European Minister actually achieved in implementing these changes? What changes has he implemented that have improved the situation for Norwegian business?
ParlaMint-NO_2014-03-26.ana.ud2183e551	Since we took over in October, we have taken over the follow-up of unincorporated legal acts on the Norwegian side and got it down considerably. This does not mean that they are automatically incorporated into the EEA Agreement, because it also depends on Iceland. Later today, I am going to Iceland for a conversation with the Icelandic Minister for Foreign Affairs about how we can work together to ensure that the Icelanders also get a higher pace of implementation. They're interested in that. They have recently put forward an EEA and EU strategy, and we will work together to ensure more speed, for the benefit of our business. We are also working in this context with stronger cooperation with other Nordic countries to ensure that we can be early in decision-making processes, so that we can influence where we have special priorities and special desires.
ParlaMint-NO_2014-03-26.ana.ud2183e556	There will be follow-up questions – Else-May Botten.
ParlaMint-NO_2014-03-26.ana.ud2183e559	Several industries are now affected by increased employers’ fees. I want to give the Council of State another opportunity to respond to what he has actually done to help the three industries that I talked about: transport, energy and finance. The council says the government has no retroactive effect. Yes – to put it that way – unfortunately, the government has a future effect. Then it is strange to hear that the Council of State repeatedly refers to the legacy of the former government. What room for action does the Council of State want to use in relation to what is now ahead? What are the concrete compensation measures that you want to achieve? Is it heads for heads, or is the general measure that weighs and taxes you are engaged in compensating for? I think it is important that the Council of States is clear on exactly what one priorities in the negotiations with ESA now.
ParlaMint-NO_2014-03-26.ana.ud2183e566	The Minister of Finance has explained that the revised national budget will address these issues. I have to say that it is something special to produce general measures as a road as being of little interest to the transport industry. It is also the case that general tax relief raises business and provides opportunities for business. We are trailers of general instruments, and we are trailers of introducing special instruments where targeted measures are necessary and possible. That is precisely why, as I said earlier, although the general rules were established last year, we are now looking at the scope of the implementation and adaptation of the legislation to the Norwegian reality. There we turn all the stones, and we come back to the concrete measures when the job is done turning the stones.
ParlaMint-NO_2014-03-26.ana.ud2183e575	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e578	I understand that the Council of State is concerned with business, and that's good. Now I think the examples he mentions are things you can do on the Norwegian side without necessarily having anything to do with the relationship with the EU. The business community is not primarily complaining about access to the European market, but it is all the rigid rules, the unnecessary bureaucracy and rules that are lacking professional content that are imposed on the EU. That is precisely why we have also challenged the Council of State both on fishmeal, which may be a small matter, and the question of differentiated employer fees, and why it is not possible to maintain schemes that are obviously sensible, accurate and fair, because the EU has a rigid bureaucracy. Then again, I will be allowed to challenge the Council of State: what are the ambitions? And is it an option, in the case of a differentiated employer fee, to be able to notify aid to the various sectors as other State aid rules, which are mentioned as an option?
ParlaMint-NO_2014-03-26.ana.ud2183e585	In order to take this example, the State aid rules provide greater room for manoeuvre than the rules on differentiated employer charges per se. It's among the things we want to assess. Now we're going through and we're looking at what game we're playing on adaptations within the guidelines for regional aid, and we're looking at other possible measures. But it's not now, it's in the revised national budget we're going to get back to this. When the representative mentions this matter with fishmeal in animal feed, I should say that I fully agree that, although the EU's purpose is certainly good, regulation is a bad regulation, but it is therefore an adopted regulation within an EEA framework in which we are involved, and within an internal market where it is important for Norway to be involved. The only way we would have had to fight further in that case was to take it to the EFTA Court, but it is a matter that we know with great certainty that we would lose.
ParlaMint-NO_2014-03-26.ana.ud2183e593	Karin Andersen – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e596	When it comes to mentioning the enterprises he has visited, he mentions the largest in perhaps some of the most central strokes of the country. It might be interesting to know if the Council of State has been in North Norway, whether he has been up in the Østerdalen or in the mountain region, to ask small businesses there about some of the problems. After all, there is the discussion about the differentiated employer’s fee and the fact that the government has accepted that the whole transport sector has been removed, which is the problem, because that is where the major disadvantages are. When the Council of State says that you have to work for it to be the same as the starting point, he has to ensure that the transport of goods and the mail is not more expensive, the flow is becoming more expensive and the bus is becoming more expensive for everyone who is established in District Norway. Will the State Council work for the transport system to come back in?
ParlaMint-NO_2014-03-26.ana.ud2183e601	The councils are making their entire contribution to the housing school, which creates joy in the hall. I haven't only been to North Norway, I'm born in North Norway; I'm a resident. We are now fighting with beaks and claws to find solutions that will be good for North Norway as part of the country. This I'm burning for, you should know. So this legislation was nailed last year for the sector exemptions, and it's up to us to see what we can do about adapting and implementing it. We can't do anything about the sector exemption being proposed by the Commission last year. Norway had a consultation process, and we didn't get there. In June the decision came. We just have to deal with that. Now we get to do the best of it, and the finance minister works day and night to make sure of it.
ParlaMint-NO_2014-03-26.ana.ud2183e612	Then we go to the next main question.
ParlaMint-NO_2014-03-26.ana.ud2183e615	My question goes to the Minister of Finance and is about the party's eye-catching eagerness to pay increased State subsidies. The government has just announced a sharp increase in subsidies for new forest roads. New forest highways hit, as is known by surgical precision, those forest areas that have the highest environmental value because they have been left at peace the longest. These are also the areas that contribute most to the care of the state, or government, obligation to preserve or stop the loss of biodiversity in Norwegian forests by 2020. The OECD has therefore pointed out to Norway that these forest road subsidies are directly environmentally harmful subsidising. The questions are then – firstly, does the Council of State agree that this instrument is a directly environmentally harmful subsidy instrument? And secondly, does the Council of State think that it is good progress party policy to use more state resources than any other party in activities that are unprofitable, that would otherwise not have been carried out, and that harm Norwegian nature?
ParlaMint-NO_2014-03-26.ana.ud2183e624	The question of forest roads may have to be addressed to the responsible State Council rather than to the Minister of Finance. On a general basis, I would say that this government is not primarily working to increase state subsidies to Norwegian business. Rather, we are working on the contrary to facilitate the most competitive framework conditions, so that Norwegian businesses compete with neighbouring countries. That's why we work in several areas to contribute to it. We work to bring about growth-enhancing tax relief. The Minister of Industry goes through the whole instrument to make it more accurate, so that business can benefit from it throughout the country. We simply work in areas by region to renew, simplify and improve the instrumentation, so that Norwegian businesses can benefit.
ParlaMint-NO_2014-03-26.ana.ud2183e633	It is precisely because it has been made so very clear from both the Minister of Finance and the government that simplification and cuts in government expenditure are the main instrument, that I have to ask the Minister of Finance if she, as the principal in charge of the architecture of Norwegian finance policy, finds it a good tool to actually signal a strong increase – a much stronger increase than any other party has ever signaled – in subsidising environmental damage, which would not have taken place without the state subsidies.
ParlaMint-NO_2014-03-26.ana.ud2183e638	I repeat my previous answer: the question of forest roads should be addressed to the Minister of Agriculture. With regard to the claim that the main objective of this government is to cut government expenditure, there is a truth to modification. What this government is working for is cutting unnecessary government expenditure that is channelled into the Norwegian economy in the wrong way. That's why we're going through areas by area, so that we free resources to areas where it can give more of itself. It is not least about strengthening Norwegian competitiveness. It's about slowing down the two-way division of the Norwegian economy. It is about implementing measures to enhance the growth capacity of the Norwegian economy. All of this is important for a vulnerable Norwegian business that faces significant challenges in the markets in which it competes.
ParlaMint-NO_2014-03-26.ana.ud2183e647	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2014-03-26.ana.ud2183e659	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative of Trygve Schlagsvold Vedum to the Minister for Finance, lapses, as the questioner is not present. Question 12, from the representative Sonja Mandt to the Minister of Knowledge, is taken up by the representative Rigmor Aasrud.
ParlaMint-NO_2014-03-26.ana.ud2183e674	‘At the NSM Security Conference on 19 March, the State Secretary at SMK Laila Bokhari said that SMK is now building a security element and that this is taking shape. [[H]] It is also quoted at this point in the NTB, as follows: ‘We are now building up a national security and preparedness element’. The Prime Minister himself has repeatedly stressed the importance of such an element. I have received a wanted grant of 1.5 million. kr, cf. Prop. 29 S for 2013 – 2014, and what is the concrete status of the preparedness element at SMK no?’
ParlaMint-NO_2014-03-26.ana.ud2183e681	For the Right-wing Party Government, strengthening the security of Norwegian citizens is a priority task. The Ministry of Justice and Security has a general coordination role for social security and preparedness. Each department is responsible for social security and preparedness in its sector. As head of the College of Government, it is important that I have a good understanding and understanding of the work on social security and preparedness. In this way, I can support the Councils of State in the important work within their own area of competence, and I can support the Minister of Justice and Security's work on lifting preparedness overall. This is why the Prime Minister's office has been strengthened in order to provide me with a better understanding of the challenges and opportunities in Norwegian preparedness. This strengthening of advice to me does not alter or reduce the responsibilities of the Ministry of Justice and Defence. All good crisis management is based on the basic principles of preparedness on proximity, equality, responsibilities and interoperability. These principles have also joined the parties to the Storing. These principles include that operational responsibility for coordinating events is to be done by those closest to the crisis. Of course, neither the Ministry of Justice nor the SMK shall have operational responsibility for crisis management. Fires shall be handled by the fire department, police incidents by the police, etc. If there is a crisis of such a nature that it is natural for the government to be involved, the Ministry of Justice will automatically be the Ministry of State, unless otherwise decided. In some crises, it would also be natural for the Government Security Committee to be convened. At other times, it may be appropriate to convene the relevant state councils or the entire government. The staff at the SMK will, in such a situation, as usual, carry out their task of assisting me as Prime Minister and Head of Government. The security and preparedness element at SMK includes several points: increased awareness of emergency situations with me and the government college; a special State Secretary with primary responsibility; and increased knowledge at SMK through short-term exposures of key professionals on standby. The Secretary of State shall assist me as head of the College of Government, including ensuring that the Councils of State lift up important emergency cases in their departments for consideration in the Government Security Committee and in the Government. This gives me and the rest of the College of Government the best starting point for good political discussion and good dialogue on security and preparedness issues. In order to further strengthen SMK’s assistance to me as head of the government college, a system of short-term exposures has been put in place by key experts from departments with comprehensive preparedness responsibilities. In addition, it will be appropriate to provide the Agency with increased insight into operational challenges in different response areas by involving staff in underlying agencies for shorter periods of time. The question is asked about the 1.5 million. kr that was granted in the new era of the 2013 budget. They are used for office equipment, ICT and communication tools, as well as for the organisation of extended preparedness at the Prime Minister's office.
ParlaMint-NO_2014-03-26.ana.ud2183e702	I would like to thank the Prime Minister for his disbursement, not least when it concerns the principle of security and preparedness, which the previous government also established and agreed to. But my question is specifically related to what is the status of the emergency and security element right now, that is, how far one has come to establish it. It was said by the State Secretary for Emergency Response at the SMK that this was now in the process of taking shape. What I'm after then is: is the security and preparedness element available as of today, or is it something to be established in the future?
ParlaMint-NO_2014-03-26.ana.ud2183e709	The security and preparedness element is the sum of the measures we are taking in this area, which means that we have specified the task of the Secretary of State more clearly in relation to preparedness on a broad front and that we have now eaten the competence of the Prime Minister's office. Then we have chosen to start with a system where we have interns with high professional competence from other departments, but also gradually with professional competence in operating conditions, to help us to be top up-to-date on what will actually be the reaction pattern, and also to see the gaps, so that I can do the job I'm going to lead the government's work. In today's modern world of communication, all questions come quickly to the Prime Minister. Then it is important that the Prime Minister ensure that the entire College of Government has a large and wide focus on preparedness. That is why my role as a support function for the work of the Ministry of Justice and Defence is important, and in fact there is a need for a strengthening at the Prime Minister's office.
ParlaMint-NO_2014-03-26.ana.ud2183e718	I thank you for your answer. I understand that what the Prime Minister has done well is what makes up the security and preparedness element. I understand that it is about the Prime Minister's office having increased attention and knowledge in the field, and that one should – as the Prime Minister says – be top up-to-date. Then I wonder if the Prime Minister's office and the element are aware that the Ministry of Justice has cancelled a joint written threat assessment from the Security Service.
ParlaMint-NO_2014-03-26.ana.ud2183e723	The question of common threat/safety assessment is not as the representative says. A common safety assessment has been carried out between the departments, but it has been carried out in written form by the PST, and a anchorage has also been established in the RSU, which has been informed about this. What we have been concerned about is that the common security understanding and the intention is not that there should be four different reports, but that there are still three reports, where the PST report also contains the elements that are important for the CSM and that there is a dialogue between the three levels. We therefore believe that we have met this year. But then we have said that the process of risk analysis of the Intelligence Service before the joint assessment that came through the PST report may have been unfortunate. That is why we have said that in the next round we must ensure that the joint assessment comes first.
ParlaMint-NO_2014-03-26.ana.ud2183e743	This question falls away. Since the Council of State to answer question 3 is not yet present, we will proceed to question 4.
ParlaMint-NO_2014-03-26.ana.ud2183e750	‘The Minister of Climate and Environment has previously announced that she would work with the Minister of Agriculture in order to find an acceptable solution in the Black-Hales Pove case. It is now moving towards spring on the Jären. Has the Council come up with a solution in this matter?’
ParlaMint-NO_2014-03-26.ana.ud2183e757	Black-tailed porpoise was adopted as a priority species in 2011. The background was that the species is highly endangered in Norway and priority under the Nature Diversity Act was considered to be the most effective and appropriate instrument to protect the species. Prioritisation included, inter alia: that a regulation was adopted prohibiting all forms of extraction and destruction of black-tail paws. The regulation also contained a ban on fenced before 15 July in the breeding area of the species, since the main threat to the species is machine-made in the nesting areas before the young are able to fly. It follows from the regulation that, where the prohibition on turning-off causes significant difficulties in the existing use and substantial losses for the land owner, the landowner may require a derogation or protection of the area. For this reason, the county of Rogaland granted exemption from the lockdown to all landowners who so requested in 2012 and 2013. A voluntary scheme is also in place in which the county grants grants to landowners who adapt their operations to the Blacktail Pole, primarily by delaying the switch. I have come to understand that several of the landowners involved in the Jären are dissatisfied with today's system, and I have therefore, as the representative says, warned that I will try to find an acceptable solution for the black-tailed paw together with the Minister of Agriculture and Food. I am looking at what can be done in the matter. The matter is not simple. There are challenges to ensuring adequate protection of the species, while at the same time finding a solution that the owners of the land concerned are satisfied with. I have a great deal of understanding that landowners who are involved in grass production seem to have a problem with the ban on early turn-offs, as the ban makes feed quality considerably worse. However, I suggest that the landowners who have been engaged in intensive grass production in these areas continue to have access to implement early turnout if they so wish. I would like to create the best possible predictability for the landowners. I am working to clarify the matter as soon as possible.
ParlaMint-NO_2014-03-26.ana.ud2183e768	I thank you for your answer. The story is that in 2011, protection, bonding – no birds came on their wings. Derogation was granted in 2012 and 2013. That was good – birds came on their wings. I also understand that the county is offensive in the matter, and that you seem to have resolved the matter for 2014. But in the A magazine of the evening post 21 February, the Council of State played a role in getting her into the oral questioning process for the first time. It was suggested to use the words ‘management of the natural diversity law can sometimes tip over into the parody’. The Council of State was, however, not the Council of Ministers to use such an expression in the Stortinget. But I ask again: does one think that this species is suitable in the long term to be a priority species under the Nature Diversity Act, when one sees how the administration has evolved?
ParlaMint-NO_2014-03-26.ana.ud2183e777	Policies are balancing different interests. The previous government, which was part of the Centre Party, and which worked on this, was enough to put this matter at the forefront – hence the answer in the role-play to which the representative refers. I understand that it is not a parliamentary word that should be used here. That's why I'm very busy finding a solution that looks after the black-tailed paw, while I want to find a predictable solution for those who produce grass on the paw. It's at this balance point that we're now trying to find a solution.
ParlaMint-NO_2014-03-26.ana.ud2183e782	Biological diversity is important, and ensuring biodiversity is an important political task. Then it's also a political task to see when you've done things in a good sense, and they didn't have to work. The situation here is that one has landowners who are occupied with this bird. There is a reason that this bird is in this area, namely that intensive grass production is being carried out. Putting the farmers about their production, the bird will also lose its natural shelter. Can I ask, is it relevant for the Council of State to put in place a scheme where landowners receive a reward in the form of money for each bird that comes on its wings, so that they can use their insight and knowledge both for grass production and for the bird to ensure that as many birds as possible come on the wings of any hedgehog?
ParlaMint-NO_2014-03-26.ana.ud2183e791	We know that the stock situation for black-tail paws has not improved. The species is still heavily endangered and needs protection and specific measures. We want to find a solution that both preserves the black-tailed paw and is a good solution for those who produce grass on the Jären. So if it's possible to think in that direction, it's the kind of action we want to take. We are here concerned not to put the matter on the head, but to find a solution that both parties can live with.
ParlaMint-NO_2014-03-26.ana.ud2183e800	The question is: ‘Norway purchased an average of 8.4 million allowances in the 2008-2012 period. tonnes per year. The Directorate-General for the Environment and the Department has pointed out that the quota system is not working properly, and the Council repeats this in a reply on 14 March to the undersigned, but does not correspond to the volume of emissions from Norwegian quota purchases abroad that have contributed to cutting. Is it so to understand that the Council of State does not have any information on how much greenhouse gas, one of the most central instruments in Norwegian climate policy, has contributed to cutting?’
ParlaMint-NO_2014-03-26.ana.ud2183e809	As the representative Hansson refers to, I answered this question on 14 March. In this answer, I pointed out that the European ETS works well in the sense that it is certain that the emissions will stay within the set quota. An allowance in the system represents 1 tonne of greenhouse gas emissions. Emissions in EU ETS sectors are lower than assumed at the time of setting the quantity of allowances. That's good. The disadvantage of this development is that it has built up a surplus of allowances, which has led to persistently low prices. This gives weak incentives to change and technology development. That's not good. The EU has worked for a long time on measures that permanently or temporarily reduce the total quantity of allowances. This has contributed to an increase in EU quota prices. Norway has supported such measures. Norway follows the emission accounting legislation and compliance with obligations developed under the UN Regulation on the basis of the Kyoto Protocol. Allowances purchased by the country and surrendered by allowances activities during the 2008-2012 period are included in these accounts. Such allowances must be approved by the UN and emission reductions are well documented and verified by both the UN and independent third parties. Extensive documentation of each project and third-party assessments is freely available on the website of the United Nations Climate Change Secretariat. For the first Kyoto period, the country has been delivered through the allowance purchase programme about 22 million allowances that are now held in the country’s holding account in the allowance registry. These allowances represent a reduction in greenhouse gas emissions equivalent to 22 million tonnes of CO2 equivalent from projects in other countries. I can assure the representative Hansson that the UN has extensive control of the basis for the issue of these quotas. The Norwegian holdings covered by the EU ETS also contribute to Norway’s compliance with the Kyoto Protocol.
ParlaMint-NO_2014-03-26.ana.ud2183e832	In the case of UN climate quotas, there is a separate discussion where most will agree that their climate impact is very low. In this case, we are talking about allowances from the EU allowance market, and we are talking about the fact that climate action is about cutting CO2, tonnes of CO2 – not percentages and allowances. According to the Norwegian climate agreement, the reduction of 12 million tonnes of Norwegian greenhouse gas emissions is to be covered by the purchase of allowances. We know that the quota market – as the Council itself points out – works very badly because of low prices. The question is: will the Council of State contribute to the reduction of the use of a non-functioning allowance market as an effective means of cutting emissions in Norwegian climate policy and to the reduction of emissions here in Norway?
ParlaMint-NO_2014-03-26.ana.ud2183e845	What we're discussing is the follow-up to the decision-making process. There is broad agreement that parts of the emission obligation under the Kyoto Protocol should be fulfilled through the purchase of allowances. The size has also decided that we should reduce greenhouse gas emissions in Norway. Now we have also received a good report from the Environment Directorate, which shows the gap we have in Norway in relation to what the Stortinget has decided to reduce. We know that we have a gap of 8 million tons in Norway. The answer is that we should reduce in Norway while following up the quota system in line with what the Storing has decided.
ParlaMint-NO_2014-03-26.ana.ud2183e852	The problem, then, is that even the very low part of the agreed Norwegian cut obligation that will happen in Norway, we are far behind. There is great expectation of what the government of Sundtoft can contribute, which the red-green government was unable to contribute. We're talking here about the part of Norwegian emission cuts that's going to happen through a quota market that's not working, and where the Council of State repeatedly confirms that you can't prove how much cut this quota purchase leads to. What the climate agreement says is going to lead to is an annual cut of 12 million tonnes. What will the Council of State do to show that the measures taken by Norway abroad will lead to actual cuts of 12 million tonnes per year?
ParlaMint-NO_2014-03-26.ana.ud2183e857	Here, it's important to help make the allowance system work. Then it's a challenge that we have one too low quota price. The fact that we also played into the EU that we have to increase ambitions by 2030 – only what was recorded there – has led to a slightly higher quota price now. We have to raise the quota price. We also support the EU's efforts to postpone the timing of auctioning climate allowances, to reduce allowances now and to make the best use of the allowance system we have. But we have to get the quota system of such a character that we get a higher price of CO2. Only then will we have a quota system that will lead to the technological development that we also need. At the same time, we need to work constantly to reduce emissions nationally.
ParlaMint-NO_2014-03-26.ana.ud2183e867	We go back to question 3.
ParlaMint-NO_2014-03-26.ana.ud2183e874	‘District business receives a bill of billions if a differentiated employer’s fee is eliminated for several industries. The same business lost access to approx. 500 million. kr through cuts in regional instruments in the 2014 budget. Governments have stated through the media that increased costs of the employer’s fee will be compensated for kroner. Will the government ensure that the compensation is provided to the benefit of the enterprises concerned and will the measures be included in the revised national budget for 2014?’
ParlaMint-NO_2014-03-26.ana.ud2183e881	Let me first point out that the new guidelines on regional aid were adopted by the European Commission on 19 June 2013, i.e. under the previous government. The new government has therefore had no opportunity to influence that decision. The draft guidelines were also out of wide public consultation from l4. from January to 11 March 2013. In the draft, all sectors currently excluded from the legislation, with the exception of the energy sector, were proposed. Neither the NHO nor the four northernmost states that issued a hearing opinion commented on this. Since we came into government in October, we have worked to make the derogations for the sectors as small as possible. We have argued for this in the dialogue with both the European Commission and ESA until the end of February, but unfortunately it has not been implemented. If the government had not taken the signals from ESA seriously, we would put the entire system of differentiated employer charges at risk. The consequence would then have been very likely that Norway had not differentiated the employer’s contribution from July 1st this year. As Prime Minister Erna Solberg stated in the British oral Question Time on 19 March, the government is now working to identify targeted measures to mitigate the impact of the new EU legislation. We consider different measures with a view to restoring the increase in the paid employers’ fees to the regions concerned. The Government intends to present measures when the changes in the differentiated employer fee are presented to the Stortinget in the context of the revised national budget for 2014. In our assessments, it is natural to take into account the experience of today’s compensatory measures, while at the same time the government will look at the sectors that are now receiving increased taxes as a result of regulatory changes in the EU. Until ESA has approved the differentiated employer fee, there is still uncertainty about how the scheme can be designed after 1 July. On the other hand, from July onwards it will be possible to provide regional aid for shipbuilding, and we therefore propose that this sector be included in the scheme. The government continues to prioritise nearly $12 billion. kr to regional development funds in 2014 distributed through counties. Growth across the country requires good framework conditions for innovation and for local businesses. Therefore, the government will implement a policy in which we invest more in knowledge, research, infrastructure and growth-promoting tax relief. Together with a strong uplift for county roads and national highways, strengthening the FUNN and clustering, this gives good conditions for generating growth across the country. We are doing this well and have already taken important steps in the 2014 budget.
ParlaMint-NO_2014-03-26.ana.ud2183e898	The question was what the Council of State meant by its statement that the employer’s fee should be paid in kroner. Will this mean that it will have to be compensated regionally, or will it mean that it will have to be compensated for to the individual farm? Can we expect that those who are hard hit by this will be compensated, so that the individual enterprise can continue to maintain its operations?
ParlaMint-NO_2014-03-26.ana.ud2183e903	Let me first repeat that the legislation we deal with was adopted under the previous government. That means that it was the previous government that had had the opportunity to influence this legislation. Let me also remind you that what the representative asked for was whether the government would come up with compensatory measures in relation to the revised national budget. I answered that question. I pointed out that the Prime Minister has stated in oral question time that the government will come back in the context of the revised national budget. We are committed to ensuring good framework conditions for businesses, and we are doing so by focusing on growth-enhancing tax reductions, increasing investment in infrastructure and increasing investment in research and development. We will now go through the legislation to see how we can secure businesses and regions that come out unluckily due to the decision taken last year, while the Central Party had been guarding the government offices.
ParlaMint-NO_2014-03-26.ana.ud2183e912	My question is still not about the division of blame between the two governments. My question was simply: Will the government ensure that the compensation is granted in such a way that it benefits the companies concerned? What will the government do to target the companies that will be affected?
