ParlaMint-NO_2014-03-19.ana.ud835e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2014-03-19.ana.ud835e404	Yes, we're going to return the funds we get from revenue to the state to district-oriented measures and the regions from which they come. Then I would like to say that it is not easy to compensate each company for crowns, because then we will probably have problems related to the State aid legislation in other areas. But we're going to make sure that the area and the region get money back. We have said that is a principle. This is not a measure to save money in any way, this is an action that comes because some sectors were taken out in June last year. On the other hand, where we have won victory, there are other areas in North Norway that were at risk of being taken out, namely Tromsø and Bodø. They have been able to argue, to just see the context of a region, where we have to be able to stimulate the engines in those regions with measures that differ from one employer to another, even though they are on all growth indicators – and that is the case in other parts of Northern Norway – so it is now laughing.
ParlaMint-NO_2014-03-19.ana.ud835e413	Let's go to the next main question.
ParlaMint-NO_2014-03-19.ana.ud835e416	Less than two weeks ago, the Environment Directorate delivered a report saying that greenhouse gas emissions in Norway must be cut sharply and rapidly to reach the target of the climate agreement on greenhouse gas emission reduction in 2020. ‘Technically, it is possible to achieve the national climate reduction target by 2020, but it becomes demanding.’ This is what Ellen Hambro, Director of the Environment Directorate, says. A willing effective measure is to use the tax system more actively in the environment’s service — a green tax reform — as Left has long wanted. People and business will set the climate for future generations. Politically, the job is to make it easy, motivating and profitable. I have been pleased to note that Environment Minister Tine Sundtoft in Dagbladet last Thursday pointed to green taxes as one of five instruments through climate change, and that Right’s environmental spokesman, Nikolai Astrup, had ‘an increase in environmental taxes’ as one of six environmental requirements for own government before the budgetary conference last week. The government is as usual, and understandably, sparing with the information when it comes to what is actually coming in the next budget. The government has however made some changes, including those made to it. that there will be so-called growth-promoting taxes. My question is whether the Prime Minister can now confirm that there will be a significant green tax shift in the state budget for 2015, as both the Minister for the Environment and the spokesperson for environmental policy have called for.
ParlaMint-NO_2014-03-19.ana.ud835e434	The report presented by the Environment Directorate — it was one of the first climate minister’s orders — shows rather gloomy prospects for reducing emissions in Norway. That means that we have to take a stronger hold of the years that are coming. The main change from the previous one is that there won't be CCS in Mongstad. This means that emissions in 2020 will be significantly higher than those previously entered into the long-term pathways. This means that we need to look for different measures to help bring down emissions, and the tax and tax system is one way to get it done. We see, as I also said at the climate conference that the government held last week, that it is working. The charging system has inter alia: operated in relation to electric cars. It seems to be using the charging system, and we want to look at different measures. Some of them are already in the agreement we have with the Christian People's Party and the Left attached to, for example. one-off investments. And then we've said we're going to have a green tax commission. But I cannot tell you now what is on the fiscal side of the budget, perhaps primarily because everyone who has been involved in budgetary proceedings knows that this is not how far you have come when you are in March, half a year before the budget is presented.
ParlaMint-NO_2014-03-19.ana.ud835e443	Thanks to the Prime Minister for the answer. This is, of course, the attitude of the Prime Minister that the use of the tax system in the environment service is effective. And in the last fall of the budget agreement we made such a green change together with the government party and the Christian People's Party by increasing the mineral oil charge quite sharply. A concrete result is that there is now money to save on switching from fossil to renewable energy sources. It pays to act environmentally friendly. The daily leader of Geir H. Ingeborgrud in Eco-1 Bioenergie believes, for example, that the translation will grow by 70 pst. this year, and that the main part of the growth will come as a result of the tax increase. He calls the change in fees the strongest environmental action made by the ten-year board of directors. Does the Prime Minister see that we can multiply this effect if we continue with a green tax shift in the budget for 2015? And is the Prime Minister saying that it is absolutely necessary both to strengthen the climate agreement and to reach the commitments we have taken on us in the same agreement?
ParlaMint-NO_2014-03-19.ana.ud835e452	The government has said that it wants to put down a green tax commission. We agree that we should also use the tax system to promote environmentally friendly behaviour and initial investment. This can happen with an increase in taxes, and it can happen with tax deductions, such as: on the one hand side. At the same time, we have to see that it can actually work where we do it, and it is clear that the increase in the mineral oil charge can work like that. Some tax increases become only a general increase in charges and an increase that is symbolic of an increase in climate, but which in practice only finance increased public expenditure. Therefore, we need to be quite focused on which sectors we will use. But I can't go into which sectors or in which areas. The budgetary procedure will be taken when we come with the budget.
ParlaMint-NO_2014-03-19.ana.ud835e459	There will be follow-up questions – first Trine Skei Grande.
ParlaMint-NO_2014-03-19.ana.ud835e462	We can say that there is a broad consensus that using the tax system in the service of the environment is very effective, and that it is a concrete and good way to save – changing from fossil to renewable energy – when it also pays off being environmentally friendly. The right, left and Christian People's Party voted three years ago for the Left's proposal to set down a green tax commission. The Labour Party, SV, the Centre Party and the Advance Party were opposed. The then government parties wrote in the speech that they were somewhat curious to the proposalers' statement that it is now time to implement a green tax conversion. The progress party did not see any need for it at that time either. Fortunately, the Progress Party has turned around, and part of the government platform is putting down such a commission. My question to the Prime Minister is, When are we going to put this Commission down? And are we going to put it down with a mandate that will allow it to start to take effect in three to four years?
ParlaMint-NO_2014-03-19.ana.ud835e471	The government has ambitions to set this commission up during the year, as far as I know. We have another big tax conversion going on, in the Scheel Committee. It'll be in October. We need to evaluate whether we're going to phase it in before, or whether we're going to see the relationship between these two things. In any case, a green tax commission will not be ready so quickly that it will be able to take on board any proposals for changes to the tax system that will also be included in the Scheel Committee. So we have an ambition to put this down in the course of the year, and we'll see how fast we can do it, and at what stage we put it.
ParlaMint-NO_2014-03-19.ana.ud835e479	Eva Kristin Hansen – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e482	I agree with the Prime Minister that the Environment Directorate's report makes us have an important job ahead of us. The government has announced that it will strengthen the climate agreement, and as I understand it, it will do it through in different contexts to send – a little chattery – things to Stortinget. What I'm asking is whether the Prime Minister agrees that the Stortinget will have a better overview and a better opportunity to make good choices if there is a comprehensive announcement to the Stortinget, so that we have the opportunity to discuss this together – not least to continue the broad consensus we have on Norwegian climate policy. And does the Prime Minister think it is natural to seek agreement with the conciliators on strengthening the climate agreement?
ParlaMint-NO_2014-03-19.ana.ud835e487	The biggest challenge of the climate deal we have is that we did not have enough concrete follow-up points to achieve the objective of the climate deal. That's why it's very important now not to spend the most time on words, but to spend the most time finding the concrete follow-up points. It's not that these are simple things. Just to say this: we might get good environmental effects from the increase we made in the mineral oil tax in the deal here, but we get the truth my mouth is also about those who do. This means that some measures must also be taken to address the consequences of and the framework around them. I agree that Stortinget will get clarity and clarity, but I don't think the focus now is on creating new headlines to invite to a wide-ranging debate. In fact, the focus should now be on finding concrete implementation points and launching policies, rather than doing so. Then we will report to the Storting, as we do quite regularly, among other things. in the budget, with regard to the location of the follow-up to the climate agreement.
ParlaMint-NO_2014-03-19.ana.ud835e494	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e497	The ambition of putting down a green tax commission during the year is well at such a level that it is possible to expect that ambition to be achieved – I can say that on the part of the Christian People's Party, at least as expectation. But we have already adopted in the budget that is now in place, which will have a positive impact on the environment, namely tax deductions for an additional measure at home. The Minister for the Environment has received good proposals on how to do so. There is also a concern that, if this legislation is not clarified soon, there will be a drought in the market pending a concrete proposal. So then the natural question is, what are the ambitions of the government to comply with the Storting's decision on such a tax deduction?
ParlaMint-NO_2014-03-19.ana.ud835e504	This is an area where the Ministry of Finance is working on bombs to find good solutions. It is clear that there are some challenges with regard to delimitation, with regard to how much bureaucracy you need, what predictability you need, what kind of additional action you need – to be all or just some – there are quite a lot of limiting problems in the issues there. This shall initially be a rights-based system. That means you have to be able to be aware of when you make the investment, that you get the tax deduction. Therefore, the rules must be clear and clear. We have ambitions to get to port with this. It is also likely to have to go through ESA, because it can be seen as some form of State aid. That's why we're working on bombs to get to a process that hopefully during next year's budget, we'll have this in place. But I take that reservation: it's a question of both getting a code that's manageable, and making sure that we get it through ESA, before it can come into force. But we're going to make sure to stimulate more investment.
ParlaMint-NO_2014-03-19.ana.ud835e511	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e514	Climate: it is a fact that the amount of CO2 in the air is increasing. The amount of CO2 from fossil carbon consumption is increasing. That's the nucleus. Green taxes are important because they can correct market forces to meet societal objectives that market pricing does not achieve. To increase the tax on, for example: duty-free diesel may be one instrument, but there is no positive instrument to stimulate alternatives to drive those diesel-fuelled vehicles. What's at the heart of it is that we have to use the economy so that we change the way we produce in a climate-friendly direction. My fundamental question is: should we not reduce fossil carbon consumption through CO2 taxes, and at the same time increase the consumption of renewable carbon by re-establishing CO2 taxes for the production of this renewable carbon? That's a fundamental question.
ParlaMint-NO_2014-03-19.ana.ud835e533	Yes, the introduction of increased CO2 taxes contributes to making pollution more expensive, and thus also stimulates investment that contributes to smaller emissions. But perhaps the most successful environmental measure – what we are least talking about – happened during the Syse government in 1990, when they introduced the CO2 tax on the socket. It has done that a number of measures that were not taken before have been implemented within the oil industry, which means that if we had not done those measures, we would have had a completely different emission picture in Norway. But if that means returning the sums to the same ones to do that, you have to consider each case. In fact, in connection with the NOX tax, we did, because we saw that there were areas where it was difficult to obtain the investment just by charging the fee, among other things. in the maritime sector.
ParlaMint-NO_2014-03-19.ana.ud835e547	We're going to go to the next main question.
ParlaMint-NO_2014-03-19.ana.ud835e550	Norwegian society is at its best when we share the goods. It creates solidarity, it creates trust, and it creates relationships between people. I think few things are so devastating to that trust and that cohesion that when someone at the top shows greed and drives homelessly enriching itself. Therefore, I would like to give the Prime Minister the opportunity to settle in cash with the bonus party that we have seen in parts of the Norwegian financial industry lately. We recently saw a bank manager go off with a parachute of 32 million. kr. Last week, it became known that the so-called split layer, which increased interest rates for ordinary customers in DNB, ended up with a 30 pst in 2013. increase in wages and salaries and bonuses. What we see is an astonishing lack of humility from an industry that was widely agreed to regulate after the financial crisis. The bonus party shows the banks are going so it laughs. At the same time, we know that the financial industry pays less taxes than other industries, because it does not pay VAT in the same way as other industries and businesses. The red-green government put down the Financial Crisis Committee after the financial crisis, such as the recommended the introduction of a financial tax in Norway. The aim would be to avoid the artificial growth of the financial industry and avoid artificial distortions in relation to other industries. The red-green government followed this up and was working on different models. What DNB has done with its bonus increases is to deliver an application for a deposit and government to be allowed to pay more taxes. My question is whether the Prime Minister will grant that application and introduce a financial tax.
ParlaMint-NO_2014-03-19.ana.ud835e562	Being against greed is a good conservative virtue. We're trailers of moderation and moderation in all areas. I'm not going to say that we always live by it, but at least it's a good virtue to have. I agree that bonus systems are incredibly difficult systems to work properly. I have also stated on a very general basis that very many of these bonus systems that develop in business and other, often reward things that management doesn't have control over, but actually reward what happens around framework conditions and other. Therefore, if you're going to have that kind of system, you should be very clear about what's being done, and make it much more focused than it often is. We've been through it, since we're state-owned DNB, and I have to say that the bonus system they have is within the framework of the previous government's bill for bonus systems. Then I do not think we can lift the index finger to the board and say that this is wrong. They themselves have to evaluate their own communication and how they have done it, but it is within the system that the owners have told us in the past that is acceptable. It's been our assessment of this. To the question of introducing a financial tax, I have to say that I don't think it necessarily creates more moderation and less greed directly. But I'm absolutely sure it's going to lead to higher interest rates for young people who are going to have mortgages, and that's not going to be introduced by the government.
ParlaMint-NO_2014-03-19.ana.ud835e573	In 2012, Erna Solberg put herself at the head of the criticism of high management salaries and bonuses. According to the Evening Post on January 22nd, two years ago, we could read that according to Erna Solberg, wage moderation among leaders is a critical ingredient in Right Medicine against the crisis in the euro zone. It surprises me that not only is the Prime Minister standing here without action, but also without willingness to give a signal to the DNB that bonuses of this size in the situation we now have are wrong. It surprises me. I understand that the government is saying that they have flouted the proposal for a financial tax. That's too bad. It would mean the possibility of spending money on bonus parties for people in this society other than bankers, and it would lead to a better regulated industry. Then I have to ask: is there one other measure that Erna Solberg will introduce to bring down the leadership bonuses and put the brakes on in the financial industry?
ParlaMint-NO_2014-03-19.ana.ud835e584	In 2012, I said exactly what I'm saying now -- that bonus programs tend not to pay what you actually think you should pay, and that they therefore have to be used with caution if you want to be sure that they work. I believe that when the state is the owner of a listed company, ownership management is governed by the ownership regulation we have set up between collapse and government, and that is that we take signals directly into organs – not from the Parliament's pulpit. When we then find that the bonus program you have is within the framework of what the previous government gave as ownership management to its companies, it will be difficult for me to stand with the moral index finger – on behalf of the Swedish government – and say that you must not do as we say, or as we said you could, you must do as we now think you should. Ownership management should then have taken the form of other guidelines. So I think we should work with better competition in the market. Making consumers change banks is perhaps the best way to use market power. We're going to work on that better to get.
ParlaMint-NO_2014-03-19.ana.ud835e595	It opens for follow-up questions - first Snorre Serigstad Valen.
ParlaMint-NO_2014-03-19.ana.ud835e598	Interestingly, the Prime Minister will not raise his finger against the bonus party in DNB. However, the salary level of Norwegian workers — who have demonstrated moderation in settlement after settlement — may be of concern to the Prime Minister. This is how the Financial Crisis Committee estimates that the state is missing between 12 billion a year. DKr and DKr 13 as a result of non-payment of VAT in the financial sector. Can the Prime Minister mention one industrial policy argument that it is important to subsidise exactly the financial industry? Could not make these 12 to 13 billion. have been used for very many other good purposes that could benefit both owners of dwellings, businesses and the general population?
ParlaMint-NO_2014-03-19.ana.ud835e605	I'm absolutely sure if we tax any more industry and get 12-13 billion. NOK, we'll have many reasonable areas to spend that money on. We could have made a long list of that. But we also have to ask the question about who is paying that bill if we introduce a tax that contributes 12-13 billion. kr more. At least it's not the payroll of the leaders, because they're not that big – even if it sounds like they are in this discussion. Of course, there are consumers who have loans, there are competition conditions for Norwegian banks, it is for young people entering the housing market, or small businesses who will have to refinance, who will then have to pay that bill. We have now increased by the counter-cyclical buffer capital requirement towards financial institutions, which was increased by the previous government. We fully agree with that and have increased the capital adequacy. Then maybe it's not the time to put even more pressure on the capital and extract more. I believe that in that case this bill would have been sent automatically to Norwegian families.
ParlaMint-NO_2014-03-19.ana.ud835e612	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e615	It was a little surprising information from the SV leader that the previous government was working on proposals for the introduction of financial taxes. They then at least informed the Stortinget quite differently from what was said by the head of the SV, because there were several questions about how the Workers' Party, SV and the Centre worked on it, and they said that in the event they saw it in an international perspective. I don't know exactly what history is like. What I think is an interesting topic is that if this comes up at an international level – there is no doubt that there is an industry that has at least been an important player for us to have had an international financial crisis – then this industry applies even in addition to the lack of regulatory authority, of course. My question is whether the Prime Minister, like his colleague in Germany, sees the need to look at this at an international level?
ParlaMint-NO_2014-03-19.ana.ud835e624	There are slightly different questions about what kind of treasure it should be. I understood that one of them was the VAT exemption, which it might have been a question of reintroducing – i.e. VAT from SV – or it is capital taxation, i.e. financial and mobility taxation, which I understand the Germans have been concerned about. These are two a little bit different. We're really sceptical about it because of the international conditions. Of course, if there was a general discussion, it wouldn't be unnatural if you had had it in Norway. But we think that it's basically not a well-functioning tax, and that it's going to help make capital formation a little bit more difficult. It depends entirely on where the level of taxation of such a levy is applied to capital movements. What I see as essential is that Norway should not have other forms of taxation than other countries have on its capital. At present, the introduction of more tax on banks is likely to contribute to higher interest rates on mortgages.
ParlaMint-NO_2014-03-19.ana.ud835e633	Terje Breivik – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e636	If I understand the answer from the Prime Minister to the main question correctly, I'm a little disappointed by the passivity that was implicit in it. If I understand correctly, she says that the bonus program should be used with caution, it may have a different sequence – implicitly, this has happened in the case to which it is referred. At the same time, we now have experience, not least in all the talks we have had with the government party when it comes to managing the Oil Fund, that it is a government that is very busy with active ownership practice. Then I will ask the Prime Minister again to make his point of view on the need to use the Ownership – 34 pst. in DNB – and give a clear message to the Management Board and mana for eugenicity in this context.
ParlaMint-NO_2014-03-19.ana.ud835e642	I urge all partially or completely publicly owned companies to be sober in the way they have bonus programmes – and the management they have. However, the power of ownership must be exercised in the bodies to do so. That power of ownership has been exercised in the past by creating a framework for the kind of bonus programs you have. The previous government deflected the possibilities of bonus programs. I actually think it made sense that they did. But in terms of what is now from DNB – according to the assessments our people have made within the framework of the previous government – I have said on a general basis that I think the effect of bonus programs is exaggerated, and you start quickly giving bonuses for things that management has never had anything to do with – for example. a generally slightly higher level of interest rates, which is not necessarily because one operates more efficiently in one organisation. That's why it's not so targeted to use bonus programs in many places if you can't do it properly. That's a general answer. But the power of ownership actually has to be exercised in the organs we do, and that's what the previous government has done by creating a framework for bonus programs. DNB's bonus program is within it. If we're going to change it, we're going to go through it. But we cannot send retrospective signals on behalf of the previous government.
ParlaMint-NO_2014-03-19.ana.ud835e651	Let's go to the last main question.
ParlaMint-NO_2014-03-19.ana.ud835e654	Northern Norway is the part of the country of opportunity. In recent years, North Norway has had a very positive development. There is good growth in many industries, thousands of new jobs are created, and the population is increasing. There is still a high potential for further growth and development. It depends on people and businesses, but it also depends on the political will to bet there. Our government protected the action zone, differentiated the employer's fee and also had offensive industrial policy and north-eastern action. As in the rest of the country, companies in northern Norway are dependent on good and predictable framework conditions in order to develop further. It was also the Prime Minister's concern when she was in opposition. When she was in Alta in 2010, she guaranteed that the Right in Government would not touch the financial instruments of the Action Zone. It is a guarantee that she has later gone away. In addition, companies in Northern Norway have now been informed that the employer’s fee will be greatly increased for enterprises that employ more than 42,000 people in total. It's a setback for the county. As late as February this year, Finance Minister Siv Jensen Stortinget informed that the new ESA guidelines set certain new conditions for regional aid for the energy, financial and transport industries. She also said that the scope of the new terms is uncertain. After the Question Time today, it is unclear what the government has done to Brussels. For the Workers' Party, it is crucial now to find out whether all the stones have turned around in this case, and whether Norway still has a room for action with regard to ESA. That is why I would like to invite the Prime Minister to participate in a cross-political cooperation with the Stortinget to ensure at least as good a framework for business in North Norway as what we have today. Will the Prime Minister agree?
ParlaMint-NO_2014-03-19.ana.ud835e669	I would like to participate in a cross-political work to discuss how the framework conditions should be for Norwegian business, both in North Norway and elsewhere. Good framework conditions are very important. That's why I think it's sad that we've come into the situation we're in, that transport, energy and finance have been taken out of instruments that allow state aid. But I remind you again that it actually happened last year, and the previous government did not inform the Storting at any time about this. Then I was a little surprised when I also read what the representative Helga Pedersen said in Norwegian newspapers about who is responsible for this. On the other hand, we've given praise because we've read that we've dealt with these questions in the past, but you haven't been able to make any changes. In particular, we have been working on the fact that the boundary goes between what's outside and what's within these sectors. How far do you draw the boundary, for example. in the case of refuelling stations and other areas it is important to clarify what is within and outside these exceptions? But when we are in that situation, our perception is that it is important to find targeted, good compensation measures that can help us to have good framework conditions in the future. That discussion, about what that might be, we're happy to take all the games on the Storing. But we have to make sure that there are no new state aid discussions about it. We've been in that situation before. We have had measures that have been managed close to the enterprises. Many enterprises have used them in different ways in different parts of the country. At that time, both business-oriented competence measures and innovation and innovation measures were implemented, and in some places, it was just spent on what the government has done a lot of it in its district policy, that is, building more ground for some of the money.
ParlaMint-NO_2014-03-19.ana.ud835e678	I record that while the government in February this year felt that the new ESA guidelines were unclear when it came to energy, finance and transport, the Prime Minister now says that this has been crystal clear since June last year. There are two stories that don't match each other. But now leave it. It is still unclear to me what the government has done to Brussels – if you have turned all the stones here, look at all the possibilities, so that transport, energy and finance will continue to receive a low employer’s fee. Therefore, I would like to ask concretely: if, in the further process, it should prove that Norway has a real room for action with regard to ESA – if there are rocks that have not been turned around and should be turned – is the Prime Minister willing to resume dialogue with ESA on the framework conditions for transport, finance and energy and for head office functions that are also affected by tax increases?
ParlaMint-NO_2014-03-19.ana.ud835e685	If it turns out that there were some possibilities, of course, we don't want these changes. If we have the opportunity to change them, of course we will contribute to it. I think the most realistic thing is to discuss this in the light of our next revision of the instrument. Indeed, once the framework has been adopted in the EU, it is up to all countries to do so. So it's a question of what is transport, what is energy, and what is all of the financial activities. These are areas we've been working on and looking at the definition questions around, and that's what the Minister of Finance has answered. But the train went under the previous government, and it should have been clear, just as the train went when it was the yard industry when it was taken out when the EU made its decision to take it out, and in the same way that the train went when the differentiated employer fee was decided to be illegal at the end of the 1990s. Then we had to fight it back, but it took three to four years. I know that, because I spent an incredible amount of time getting it back, interacting with many other countries.
ParlaMint-NO_2014-03-19.ana.ud835e694	There will be follow-up questions – first Anniken Huitfeldt.
ParlaMint-NO_2014-03-19.ana.ud835e697	The government has announced that it will pursue an active European policy. However, with regard to the issue of ostetoll, the framework conditions for non-profit institutions for the protection of children, gambling policy and employers’ fees, it seems that the active European policy is to do as the EU says, and not to actively promote Norwegian interests. My question to the Prime Minister is what results she has in an active European policy. The question is: In what questions and directives has the government gained vis-à-vis the EU in promoting Norwegian interests since it took over?
ParlaMint-NO_2014-03-19.ana.ud835e704	Several of the measures mentioned here are issues decided by the previous government. I have to say that I am a little surprised at the Workers' Party. Is it that the Workers' Party wants us to terminate the EEA Agreement? Shouldn't we have a common code? Should we not have common public procurement rules? Are we actually going to bet on having illegal State aid, such that Norwegian companies are faced with dumping? Or: What government was sleeping on guard? In that case, it was the previous government who slept on guard, and who did not inform the Storting that there were actually proposals to withdraw transport, proposals to withdraw finance and proposals – which came a little surprising at the end of the process we have seen so far – that the energy sector is being taken out. This is what the active European policy is about: entering early, making sure to influence early, so that we do not get the kind of decisions we have actually received in terms of differentiated employer fees, or the type of decisions we have taken that the tendering rules are now such as to block the possibility of differentiation on the basis of whether the tenderers are charitable or not, or whether they are voluntary or not. I am a little surprised at these questions, when the representatives of the previous government should really be thinking about who was responsible for this.
ParlaMint-NO_2014-03-19.ana.ud835e713	Karin Andersen – to the last follow-up question.
ParlaMint-NO_2014-03-19.ana.ud835e716	I was not aware that I had asked for the word, but I can take it when I first get it. [[Laughter]]
ParlaMint-NO_2014-03-19.ana.ud835e722	There is so much mystery that can be resolved.
ParlaMint-NO_2014-03-19.ana.ud835e725	I think it's a very defensive position the government is taking on a case-by-case basis. It is obvious that the issue of ostetoll had a completely different outcome under the previous government than what the government now wants. But quite symptomatic of all these issues is that the government is obviously more concerned with meeting the EU's requirements than with caring for the specific Norwegian interests on a case-by-case basis. Now we have heard that the government wants to introduce the rail directive, the postal directive and one directive after another, and now it is also completely flat for a differentiated employer's fee. Is it the case that the government has dropped the case and does not want to go further with the EU in order to improve the arrangements, so that we do not lose out on Norwegian business – with the change that the government now seems to accept?
ParlaMint-NO_2014-03-19.ana.ud835e732	We will continue to work on a long-term strategy towards the EU to amend these rules, but the rules have been amended with effect from 1 July 2014. It will be illegal State aid, and so it took place in a decision in June 2013. The work on changing it thus had to take place before the EU took its decision. And so we've been given credit for the government being active in that work, even though what we can read out of it, was that we were primarily concerned about getting something done to get the yards back in and not so much the other sectors that are now discussed. And that is what we have done in terms of size and scope and that Bodø and Tromsø are still receiving a differentiated employer's fee. This is precisely because we have moved the boundaries – we have negotiated, we have worked to get better solutions for where the instruments can actually be used. When it comes to the long-term work, I think we all agree that we should try to get this back. In terms of short-term work, that means that if we don't implement this from 1 July, Norwegian companies will be at risk of having dumping decisions against them, they will be at risk of being excluded from public acquisitions. It's a cost not borne by the state, it has to be borne by the individual company, and I don't think we should expose them to that.
ParlaMint-NO_2014-03-19.ana.ud835e748	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. – The proposed amendments to today’s Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative of Geir Pollestad to the Minister for Climate and Environment, falls because the questioner is not present. Question 7, from the representative of Ms Følling to the Minister for Industry, will be answered by the Minister for Health and Welfare on behalf of the Minister for Industry, who has been away. Question 8, from the representative of Sverre Myrli to the Minister for Children, Gender Equality and Inclusion, is addressed by the representative of Mani Husseini. Question 14, from the representative Trygve Schlagsvold Vedum to the Minister for Justice and Security, will be answered by the Minister for Agriculture and Food who will direct him.
ParlaMint-NO_2014-03-19.ana.ud835e774	This question falls away.
ParlaMint-NO_2014-03-19.ana.ud835e781	I allow myself to ask the question to the Minister for Climate and Environment: «The transport sector is one of the sectors that is too much pollution, noise and dust pollution. How will the Council of State facilitate the conversion of this sector into a climate-friendly fuel?’
ParlaMint-NO_2014-03-19.ana.ud835e795	The transport sector in Norway, including fishing and so-called non-road tools, such as: tractors, bearing 33 pst. of national greenhouse gas emissions, of which 19 percentage points are road traffic emissions. The transport sector also plagues the population, inter alia: local pollution and noise. In particular, local air pollution is a challenge in urban areas. In order to reduce emissions from the sector, it is both important to move towards more environmentally friendly modes of transport, less transport needs and to improve technology. One of the areas of government activity has been to increase operation and maintenance on the railway network, including: to get more goods on the road instead of on the road. Better standards contribute, inter alia: for more goods on the track. Rail transport uses less energy than road transport and uses for a large part electricity. Furthermore, the bicycle bet was increased by 76 million. NOK 516 million. kr. Several on bicycles provide a high health benefit, while contributing to less use of fossil fuels. National transport plan 2014-2023 assumes that the growth of passenger transport in metropolitan areas is to be taken with public transport, bicycles and corridors. Whole urban environment agreements are presented as a new form of cooperation in the national transport plan, which will help achieve the zero growth target in the nine major urban areas. Further conversion to more climate-friendly fuels, such as electricity and biogas, will help to reduce environmental problems in the transport sector. There are already several instruments in place that have stimulated environmentally friendly fuels, such as the charging system and the placing on the market requirements for biofuels. We have seen positive developments in recent years in this sector. In particular, there has been a significant increase in the sales of electric cars. Electric cars are climate and environmentally favourable because they do not have direct emissions of CO2, NOx and particulate matter, but they do contribute to noise and local air pollution via the tyres. In February, electric cars had a market share of 12 pst. of new passenger vehicles. For new passenger cars, the average CO2 emissions have been reduced by 16 grams per kilometre from February of last year to February of this year. The Climate Communication set a target for new passenger cars not to emit more than 85 grams of CO2 per kilometre in 2020. As demonstrated by the political platform, the government will carry out a comprehensive review of vehicle and fuel charges in order to stimulate a more modern and environmentally friendly car park. We shall also require all new public vehicles, new taxis, ferries, scheduled boats and diesel trains to use low or zero emission technologies when technology so requires. Infrastructure is also essential to convert to more climate-friendly fuels.
ParlaMint-NO_2014-03-19.ana.ud835e824	I thank the Minister for the answer. I agree that there is much that has gone in a positive direction, for which there has been strong support both in the political environment and in the population. We can see that, among other things. for electric car sales which have increased dramatically. But at the same time we see some challenges ahead, and I also think a little bit about maritime transport, which is really a cross-political desire to strengthen by getting more goods over by sea instead of on the roads. One challenge I face is to point out that the sulphur directive, which was introduced as a climate-friendly measure, can actually weaken the competitiveness of maritime transport. And then my question is: how can we find measures that are both climate friendly and that strengthen the competitiveness of – in this case – maritime transport? Because from a climate point of view, it will be important to get more goods across by sea and not by road.
ParlaMint-NO_2014-03-19.ana.ud835e833	As I said in my first answer, we know that the transport sector accounts for a very large proportion of greenhouse gas emissions. We know that we have a challenge to reduce by 0.8 million tonnes of CO2 by 2020. We have to do everything we can to get more goods across from road to sea, and we have to look at a comprehensive arrangement of charging policy to get it done.
ParlaMint-NO_2014-03-19.ana.ud835e841	In addition, we see that there are major challenges to our metropolitan cities, challenges with cows that many like to travel at the same time, at the same time, and that's both a traffic problem, it's climate challenges, it's a noise problem, and you can get bad out of the dust. It is important to invest in collective solutions, as both the previous government did, and as I see the new government intends to do. However, one measure that can also work, in particular in combination with investment in collective solutions, is the introduction of cow pricing. Will the Minister for Climate and Environment recommend it as one of the measures?
ParlaMint-NO_2014-03-19.ana.ud835e848	As agreed in the National Transport Plan, we will take the growth of traffic in the metropolitan areas with public transport, bicycles and corridors. Shopping is a tool that works, but it is important for this government that local politicians themselves choose the tools they want to use. But we're going to make demands for results in order to get funds in the urban environment agreements. Together, we have to make an effort to move traffic to public transport, corridors and bicycles. But it is an important principle: it is the local self-government that works, and it is the local politicians who have to choose which tools to use themselves. But we have to pay for results here.
ParlaMint-NO_2014-03-19.ana.ud835e857	‘Section 2.2.11 of the 2011 paper game agreement states that ‘Derogations of Yews implemented by the environmental management shall, as far as possible, be carried out during the licensing period but shall nevertheless be carried out in a cost-effective manner’. In Uppland, 5 animals out of an 8-yev quota have still not been taken out, even if the licence period expired on 15 February. The Environment Directorate will now await the possible implementation of hi-takes. Does the Council of State think this is in line with the rapture agreement?»
