ParlaMint-NO_2014-12-02.ana.ud559e88	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2014-12-02.ana.ud559e1195	I would first like to take the opportunity to thank the rapporteur for his good and thorough work. Pistachios is one of the cancers that can really be prevented. It is we – sunny Norway – and Australia that are at the top of this incidence. It's quite amazing that 1,500 out of 1700 cases are preventable every year. We in the Workers' Party believe that the health status of young people and young people's high rates within this cancer plays such an important role that we will go to work more drastically than any other party. We were about what you promised, and what you've gone to elections on. It is gratifying that after the election several lots have ended up around the age limit and now agree that this should be the case. It is therefore strange to hear Mr Wold's reasoning that he is afraid that more people are going to split up on the sun, that 18-year-olds' age limit will be respected. Then he has to be to remove the 18-year-old age limit, because the reality must be that it's under 18 that splatters on the suns. It's not that because you put the operation on solarium, they're over 18 chased. This will lead to better guidance, good guidance on proper sunning, prevention, and time-to-time tailored to each individual, because we're all very different. The work we've done in the committee now and the facts we've collected show that about 40 pst. has any type of operation. Once again, in substance, number two from the Health Committee, the business perspective is being used in such an important and crucial case to prevent cancer, which is so serious for the individual, for the family and for those affected. It's not incomprehensible to me, but it seems a little strange. It would also be, if you look at the nutritional aspect of this, to punish those responsible not to impose on smaller players the same requirements and the same rules of play as those who actually have the service, and those who provide their employees training, not only in hygiene. We've been talking about infectious diseases in the last few days, and the Minister of Health has discussed the importance of good hygiene on the radio up to several times and also giving good advice to each one. Finally, I would just like to stress that we in the Workers' Party have put 110 million into our alternative budget. Ipilimumab, because we believe that it is not fair as it is today. It's wrong to say that it's not fair, but we're skeptical about the total costs and are afraid that they can exceed the estimates, and that it'll be very expensive when they're added as part of the total increase within the hospital framework. That's why we've invested 110 million. kr extra, in addition to the large increase we have in health care every year.
ParlaMint-NO_2014-12-02.ana.ud559e1208	Would the representative, Mr Otterstad, perhaps take up the proposals put forward by the Labour Party?
ParlaMint-NO_2014-12-02.ana.ud559e1211	I'd love to, President.
ParlaMint-NO_2014-12-02.ana.ud559e1216	The representative of Audun Otterstad has taken up the suggestions he referred to.
ParlaMint-NO_2014-12-02.ana.ud559e1219	Norway is one of the world’s most pectoral countries. It's a disease that dies more than in traffic every year. It's a type of cancer that we both know the causes of, and we can do something to get fewer cases of. Some believe that solar control requirements are one of these. I think the most important thing is changes of attitude, proper use of sunscreen and more moderation in the use of sunscreen and solarium. Both Sweden and Denmark have rejected operating requirements due to negative impacts on industry and public health. Proper use of approved solarium and associated increased vitamin D levels may also be beneficial for public health. I have stolen this from a statement by the National Government of the Young Left. 40 pst. the population uses solarium once or more times during the year. The risk of excessive sun exposure could be increased by a control requirement, as an increase in the purchase of sun loungers for private use is to be expected. It will be the quick option when the local solar system has to shut down. This is not about industrial policy – it is about the harsh realities of life. If it's not a solarium where you live, because it's closed because of it. a control requirement, the solution is to purchase its own. Then it is touching to hear the concern of the Workers' Party for Ipilimumab – there are also other means that may be even more effective. We can't lock ourselves to what came a couple of years ago, but it's nice that they prioritize Ipilimumab. There are also several other substances on the market, so we must not just talk about it. The Nordics most can't get enough of the sun and heat. It's okay – if you look out of the window now, it's not that hard to understand. With winter bleaching skin, many Norwegians throw themselves down on the beach in the South or go long skiing in strong high mountain sun. In addition, someone chooses to take solarium. It's raised beyond doubt that solarium is useful and provides well-being for most people who use it. But in the case of both sunbathing and solarium, some people are exaggerating. The main measure against excessive sun exposure and solar use is good information and common sense. Together with the sunscreen, we need to find good solutions for solar access control. But a demand for service will mean the hook on the door for many solariums, and we believe that this can lead to more people taking care of themselves in their own way. It is better to use resources to create better attitudes, provide more information and better supervision of the industry. As in many other sectors, there are actors here who are unprofessional. Also in the tanning of the sun, there is room for stronger self-justice. But we have come to the conclusion that control requirements are not the most important thing in the fight against cancer.
ParlaMint-NO_2014-12-02.ana.ud559e1232	For the Left, it is important to point out that the important measure to reduce the number of spots in Norway is information and knowledge of how to sunbathe in general. Protection is important, and that's what can mean that we don't occupy the top position in the world in terms of foe spots. Therefore, it is far more important to focus on it than to impose the sunscreen, which, after all, is so few involved, and which, especially young people, uses a burdensome restriction by having a manning requirement. It is also true that especially some of the small solariums have a kind of service today that is co-located with other services around in Building Norway, such as hairdressing salons and others. So here it's important to put in place a much better information about the consequences of sunning and the need to use protection. Here, as politicians, we should also be more open to assist the Cancer Association and other voluntary actors and organisations in obtaining information. Similarly, we see how important the Red Cross job is to recruit blood donors, and it benefits the public. In the same way, we can do a lot here by strengthening the information activities that volunteer organisations and patient organisations contribute to those at risk.
ParlaMint-NO_2014-12-02.ana.ud559e1239	First, I would like to thank the proposers for making more good proposals and raising a very important issue. The number of pectoris cases in Norway is very high. We need to know more about why, and we need to strengthen our research efforts. It's still such that despite many years of mind-building work, with high attention around the sun, we see that there are many who do not protect themselves well enough. It is true that this is a form of cancer where prevention can be made easier than for many other types of cancer. I am glad that in this setting, there is now a broad consensus around the 18-year limit that the previous government introduced, linked to solariums. But we have come to the conclusion from the SV that we will not support the Workers' Party's proposal to introduce operating requirements. We note that the Health Directorate also supports the government's proposal not to go further with that requirement. After an assessment of this, we have come to the conclusion that we believe such a control requirement is to go too far in relation to what is effective in combating cancer and ensuring the rational use of solarium. It's about taking care to regulate more than what's necessary, not do more than what we think has significant effect. Then we're also going to take care of how we use our workforce, and what kind of work tasks we as a magnificent demand that people do. In addition, I think that the government parties have a point related to the difference it will be if we have solariums that in the future will hopefully be better regulated than today, than if we introduce regulations that lead to solariums going over the end and there will be more solarium on – let's say – home base in the future. That is why we believe it is important that the government looks at other procedures to strengthen regulation and maintain the age limit that we all now agree on. In other words, SV will agree with the government parties and the Left in voting on proposal No. 1 and 2 today. Then I see that there is a slight confusion in the setting related to the proposals No. Four and five. SV shall vote in favour of both proposals Nos. 3, 4 and 5, together with the Workers' Party and the Center Party. I would say I am amazed that it is not possible to get support from the civil parties, both in government and outside, in relation to important proposals for a research strategy and get a proper investigation into why we have not come any further in the fight against this cancer. I hope there is something the Minister of Health will still take with him, even if those proposals seem to fall today.
ParlaMint-NO_2014-12-02.ana.ud559e1250	Norway, together with Australia, is at the peak in terms of the incidence of feces. We're the highest in the Nordic region, 350 die from this cancer every year. At the same time, experts say that we could have prevented about 90 pst. of this. Solarium is one of many foe spotting challenges. People sometimes use a lot of solarium, and we in the Christian People's Party are happy that the age limit is set at 18. But we know that it's vanity, that the requirement for brownness is great, and a lot of people want to take solarium before they're 18, even though it's the age limit. Therefore, the Christian People's Party supports the desire to have a system that ensures that there is control, and that you get younger people not to take solarium, precisely because it destroys the skin most, and because the consequences are greatest. In addition, the Christian People's Party believes that the quality of Norwegian solariums must continue to be properly monitored, that the fluorescent tubes are both straight and strong enough, that they meet the requirements, and that the requirements for hygiene and cleanliness in the solarium should be ensured. But most of all, it's about the strength of the fluorescent tubes. What we know is that in many places people have been burned, precisely because the control has not been good enough with regard to the quality of the fluorescent tubes. The Christian People's Party therefore wants to support the control of the crew, that one is over 18 years old.
ParlaMint-NO_2014-12-02.ana.ud559e1262	Every year, more than 1,700 Nordics suffer from foe spotting, and more than 350 die every year from this skin cancer. Norway is at the top of the world when it comes to the mortality of feces, and significantly higher than the rest of the Nordic region. It is suggested that up to 90 pst. of all pectoris cases in Norway may be prevented. It is the most common form of cancer among women aged 15 to 24 years and between 25 and 49 years and among men aged 25 to 49 years. Women also have a higher incidence than men. I would like to thank the rapporteurs from the Working Party for making this proposal, because it is a very important health issue. We know that there have been regulations in this area in recent years to ensure better prevention. The introduction of 18-year-olds and anti-fouling requirements was introduced by the red-green government. ‘Hello, Mrs. Solariumspoliti – don’t you have other important tasks as Minister of Health?’ wrote Siv Jensen about Minister of Health Anne-Grete Stroem-Erichsen on Facebook that time. No, I think that one should not have as many important tasks as the Minister of Health as preventing disease and preventing cancer. Femoral effusion is a cancer with good prognosis if it is detected early, but if it is late, the prognosis is not good. I am glad that the blue-blue government and Siv Jensen do not go in to remove the 18-year age limit for solarium. I thought that was very good. The introduction of an 18-year limit was an important signal effect for parents, including to increase awareness of the health risks of solarium use. I would like to remind you of the background for the introduction of this 18 year limit. It was that there was a large increase in the use of solarium in the young population. According to figures collected by the Cancer Association in cooperation with the State Radiation Protection Agency, the increase was over a five-year period of 20 pst. Among the girls who had benefited from solarium, one in four had begun before they were 15. Nearer 80 pst. Of the girls who took solarium, they had begun before they were 18. Research shows that solar use increases the risk of foetotoxicity, especially when starting in early childhood and with prolonged and frequent use. One assumes that the use of solarium before 35 years increases the risk of malignant melanoma, i.e. pectoris, by 75 pst. The World Health Organisation has placed solarium on the list of the most carcinogenic substances. A cleaning-up in the tan is also necessary. It's about to happen. I believe that the introduction of the 18 year limit and the requirement for competent ignition is absolutely necessary in order to contribute to it. There has been a discussion about the ignition requirement, and the government proposes to change this. It also has a hearing case about it. Many parties are now signalling support to deviate from the irrigation requirement, and I do not think that is good. In addition to controlling the age limit, the equipment must also be responsible for operating, maintaining and hygiene procedures and for solar devices for those who use solarium. I see the 18-year-old age limit and retention requirements as two aspects of the same case, and two actions that together will contribute to the prevention of unfortunate sunbathing. The Labour Party has proposed five proposals and the Central Party will support all the proposals in the vote. I would then assume that we get one case back from the government. Perhaps the Council of State may say whether or not this is only done in the event of a change in regulation.
ParlaMint-NO_2014-12-02.ana.ud559e1288	I share the Committee’s concern about the high number of cases of pectoral cortex in Norway. Preventive measures are important and, like the Committee, I am concerned that the population is provided with good information about the sun and solarium and about the consequences of excessive sun exposure. Most of the sun is located elsewhere than in the solarium. It is particularly important that children and young people are cared for. The 18-year limit for solarium is therefore a measure to prevent the occurrence of pectoris in the young population. In order to ensure good regulation, the Ministry of Health and Welfare has, at the hearing, had a proposal to abolish the control requirement for solariums and to require a satisfactory age control system. In a short time, the government will handle the matter. The consultation note also proposes a general obligation to provide guidance and a mandatory knowledge test for the person responsible for the day-to-day operation of the solar centre, as well as for employees with customer contact. I agree with the view of the majority of the committee that the staffing requirement is an unnecessarily burdensome requirement for the industry. If the operating requirement is deleted, several hearing bodies are also positive to the proposed alternative solutions to operating requirements. Together with increased competence in the industry and improved information, I believe that this solution will provide proper enforcement of the age limit and thus also provide satisfactory guidance. As the majority of the Committee refers to, the operating requirement is not necessary for the control of the industry. Both municipalities and Staten Radiation Protection supervise solar activity. I note that the Committee wants Norway to be the leader in cancer treatment, and shares the views of the proposers, that clinical research and trial treatment are important in order to ensure a good treatment provision. The Government Platform notes that the government will strengthen medical research and ensure both better funding and increased access to tried and tested treatment. The government's objectives for clinical research and trial treatment are followed up in several stages. Clinical treatment is one of the areas of focus in the National Research and Innovation Strategy for Health and Care, Health Care 21, and the notified call for drug policy will address clinical research and experimental treatment, including emphasis on the development and testing of new medicinal products. It is important that both treatment and information to the population are knowledge-based. A positive contribution to this, to which the Committee also refers, is the public health institute's knowledge summary on pectoris, which will be available by the end of the year. Furthermore, since January, Health South-East has conducted the five-year research study on the new Ipilimumab medicinal product for the treatment of pectoris with dispersal. In October, the Regional Health Enterprises Decision Forum on New Methods decided that the medicinal product should continue to be used in patients with pectoris spread until the results of the methodological assessment are available. Norway is currently on the world top in terms of femoral mortality, and I agree with the Committee that it is important both to prevent and develop good treatments. I aim to contribute to an increased focus on the health risk of excessive sunning and what it involves, without depriving people of the joy of staying in the sun. Information and knowledge dissemination must be targeted to achieve all the different risk groups. Children and young people are particularly vulnerable to the negative effects of solar radiation, and I join the Committee, that particular information to children must be easily accessible and easily understandable. Preventive measures and good information are important for the control of pectoris. With, inter alia: I believe that regulation of solar activities, knowledge summary and research studies contribute to better knowledge dissemination and awareness raising in the population, as well as a better basis for good treatment.
ParlaMint-NO_2014-12-02.ana.ud559e1309	It opens for line chord shifts.
ParlaMint-NO_2014-12-02.ana.ud559e1312	Today, the majority vote, consisting of, among others, The Right and Advance Party, down the Workers' Party's proposal for an investigation into more research and a strategy to prevent, to change attitudes and to reduce the mortality of feces. It is close to interpreting it there that the Health Minister and these parties have a strategy and have more than enough knowledge of the matter. For this reason, my question to the Minister of Health is: What is the best preventive measure to prevent spotting?
ParlaMint-NO_2014-12-02.ana.ud559e1319	The representative will probably experience that the government parties and the cooperation parties will regularly vote for good proposals in the Stortinget promoted by the opposition, precisely because the government is doing a good job of much of what is proposed, and therefore does not see the need to vote for proposals in the Stortinget which have already been taken care of by other work undertaken by the government. The objective of combating, reducing and driving public health work on cancer is also part of a national cancer strategy, which this government has decided to follow up with its own action plan, which the Directorate is now working on. It's important to provide information, and just as far as the representative's questions are concerned, I think one of the most important things we can do is to provide the public with good information about the importance of using sunscreen. This state council is in general for people to avoid becoming red. [[Laughter]]
ParlaMint-NO_2014-12-02.ana.ud559e1328	I thank the Minister of Health for the answer. 19 of the 23 actors who submitted comments at the hearing to the Ministry of Health and Welfare, said, inter alia: that they were in favour of the requirement to operate. There were actors like the Cancer Association, the Medical Association, three out of four hospitals and the LO, to name a few. When other measures have been highlighted in this debate – the Minister for Health himself also said that several of these actors were positive about other measures – can the Minister of Health mention three concrete measures for me, which he will give priority to instead of the manning requirement?
ParlaMint-NO_2014-12-02.ana.ud559e1335	Here you can see that the process has led to different parties taking different new positions, and I think we have found a good balance here. The party I represent was against both the age limit and the staffing requirement. When are we at the age limit, but against the manning requirement? SV was for both, but they now agree with us. I think we have found a good balance in this, while proposing good, alternative measures to control the age limit. I believe that in a modern society it must be possible to see whether there are other ways to control the age of people than to have people present to take care of. I think the representative Lysbakken had a very good post, where he pointed out that as politicians we sometimes have to balance the measures we put in, the consequences of them, against effect.
ParlaMint-NO_2014-12-02.ana.ud559e1340	I would first like to thank the Council of State for turning the question of age limit and now supporting the 18-year age limit. I thought that was very nice. So not only should control age, but the intention was to ensure the quality of the supply. But now the municipalities are responsible for controlling solaria, that they have good enough quality. Then it turns out that the control from the municipalities is miserable. A nationwide oversight carried out by the State Health Authority in 2012 showed that 77 p.m. solaria had higher UV radiation than permitted, and only 36 pst. of solaria provided correct information about proper sunning habits to the customers. This I think is quite serious. What will the Council of State do to ensure better control of solaria by municipalities?
ParlaMint-NO_2014-12-02.ana.ud559e1347	It is proposed, inter alia, in the draft opinion. competence requirements that will be relevant here. Then it is that both the municipalities and the State's radiation protection are supervising and controlling the solar activity, and the supervision, which the representative himself pointed out in his question, shows that it is also carried out by others. So it'll be the most important tool here. The industry, of course, has a responsibility through its organisations to take care of its own reputation in this area, but there are already two public bodies that have a dedicated supervisory authority related to this, both to the municipalities and to the State's radiation protection.
ParlaMint-NO_2014-12-02.ana.ud559e1352	Several have not asked for the floor on case No. 6th@item: inlistbox
ParlaMint-NO_2014-12-02.ana.ud559e1366	At the request of the Health and Welfare Committee, the President will propose that the speaking time be limited to 5 minutes to each party group and 5 minutes to the member of the Government. Furthermore, the President will propose that five lines of reply be given after comments by members of the Government within the allocated speaking time, and that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2014-12-02.ana.ud559e1373	I would like to start by thanking the Committee for a thorough examination of this matter and saying that Norwegian health professionals have a high quality and ethical standard. It is therefore important to underline in the outset that we have a high level of confidence in health workers in the Grand Duchy, who every day do a very important job for the individual patient and for society as a whole. We have and will continue to have a public health service that provides a wide and comprehensive health service to the population. At the same time, private and non-profit actors have been an important complement, which has also helped to strengthen public supply. In particular, we have seen this in the field of mental health protection and drug treatment. We need to strengthen the treatment capacity in healthcare, as new knowledge and changing needs in the population take place. It involves increased efforts on public health services as well as on the organisation of ideal and private actors. Increasing levels of private and non-profit actors require coordination and cooperation, as well as greater vigilance with regard to beekeeping and potential conflicts of viability. We must not be blind in order that there may be instability conflicts, and that situations may arise in which the patient's consideration does not take precedence over other interests. Furthermore, we need to pay attention to the challenges of loyalty conflicts for health professionals related to both public and private actors. It is therefore both important and necessary that regional enterprises have developed and implemented comprehensive guidelines and systems for consistent reporting and control of the beekeeping of employees. Undertakings also report on this in the annual notifications, which are important for transparency and to allow for control. However, there is reason to listen to the Norwegian Medical Association, which, in its opinion, states that doctors also have ethical and legal obligations today to provide information on existing public offers, and that otherwise the issue should be addressed locally, according to company guidelines. We must have basic confidence that both doctors and other health professionals have a high ethical standard, and that they take care of the patient first. The majority, of which the Left is a part, believe that beekeeping challenges and potential viability conflicts are otherwise addressed through enterprise policies and systems. We also expect companies to follow this up in contracts with private and non-profit actors. The Committee then agrees that it is important to facilitate the provision of necessary information to patients on both rights and available public treatment services. In order for freedom of choice and opportunity to be effective, it is essential to have insight into the options and what they involve. The health community has great confidence in the population, and this trust must be well managed. The patient should be assured that he/she is provided with sufficient information to enable him/her to make an informed choice between any treatment options. Therefore, regional health establishments are also required to provide good and comprehensible information on free hospital choice through the mission documents. Informative and easily accessible websites are important, and other general information activities. However, in order for freedom of choice to become a reality for all, the doctor plays a crucial role. For many, the doctor’s advice will be absolutely essential, and it is therefore important that the doctor is aware of his decisive role in talking to the patient. In this context, health professionals clearly have an important role to play in facilitating the provision of thorough and good information, as well as in making it clear what expectations they have for doctors and others who provide patients with information on what alternatives exist and what they involve in terms of both waiting time and costs. Patients have confidence in health services and it is important that they are cared for. But it cannot be adopted, it must be earned. Then I would like to add: this with a mix of roles we can also discuss up against sense of role, and I feel a sense of a lack of something underlying here, that one will cultivate a debate on privatisation in the health sector. To the Workers' Party, which has introduced the concept of health enterprises and the corporate reform. From a decade’s perspective, it is not easy to say that it has also contributed to a smaller mix of roles or an increased understanding of the role of health services. With regard to the educational responsibilities of the enterprises, a responsibility that the counties held very well, the enterprises may have run a little from it or not taken it seriously, especially in the case of the training of specialists. So there are many debates in the debate here that are important to address. I also dare to recall the Committee's visit to Australia, where one saw that 30 pst. by the actors in the hospital treatment were private, and we have a room to discuss there.
ParlaMint-NO_2014-12-02.ana.ud559e1403	Is it okay for health care professionals in public hospitals to see the same patients and patient groups at their private commercial clinic in the evening for which they are responsible in the daytime? I have come to the conclusion that the answer to this essentially must be no. That is why, through this proposal for a representative, the Labour Party has made several proposals that we are discussing in Stortinget today, with a view to getting even clearer rules in the Norwegian healthcare system regarding potential conflicts of interest and ambiguity about roles. I was going to say it anyway, but since the case rapporteur, Kjeseth, also touches on the topic, let me make it clear once and for all: I believe – and the Labour Party believes – that a variety of actors in Norwegian healthcare are positive for patients and for society. For the benefit of patients, we should have a pragmatic relationship with the use of different actors in the Norwegian healthcare system — including private ones. But it is important to be aware that in this interaction there may also be confusion about roles and potential conflicts of interest. As the rapporteur pointed out, I am of course also aware that the different regional health companies have established reporting and control policies and systems, including: of employees’ beekeeping. At the same time, we know that there are examples where this is not practiced to a large extent. In 2013, therefore, the Stoltenberg II Government addressed the issue and decided at the Enterprise Meeting in January 2013 that regional health businesses should ensure that the procedures for beekeeping are followed and reported, as well as a number of other factors. That is why I believe it is natural that we are now following this up through proposals and debates in the Grand Duchy. There may be different variants of potential role opposites we should be aware of. Firstly, the private sector can refer patients into the public health service for further treatment and vice versa. Time-limits in public hospitals could lead to patients being referred to healthcare professionals in private institutions that have framework agreements with public hospitals, via HELFO. If the same health professionals work in the public hospital with a breach of deadlines, there may be a lack of clarity about roles or suspicions of conflicting interests that are not lucky, either for patients or for an effective use of society’s resources. There may also be confusion and misunderstandings about roles when some private institutions have a public agreement, at the same time as they sell similar services to patients who pay themselves. Although we have good rules in this area, unfortunately, it sometimes shows up examples of the opposite. That is why we have put forward the proposal for a representative which contains several elements. One element is the obligation and right of patients to understand what alternative public funded schemes exist if there is waiting time, for example: in the hospital to which reference is most likely to be made. We therefore believe that patients who can prove that they have not received good enough information, who then move on to a private institution, for example, and who are being operated or receiving treatment that is expensive, and who pay it themselves, should be able to come back and, if necessary, claim compensation. It is difficult to live with the fact that we have examples where there is a long waiting time for the hospital nearby, and that patients have chosen and had to pay for it themselves, as a result of poor information, while free hospital choices, for example, are being made. could travel to another place in the country and have it carried out after a short wait, without paying for it. Finally, I would like to stress again, of course, that I believe that Norwegian health professionals have a high ethical standard, that I trust that everyone who works in healthcare has the best interests of patients as their primary goal. This does not mean that we should not have clearer rules in that field; it can also provide employees with protection against suspicion of a mix of roles. Then I record that especially the government parties believe that most of it should be like today and be followed up in that way, despite having sent them to the hearing and will make proposals for a reform that, in the view of many people, can help to increase the presence of this issue in the years to come. I ask the government to pay particular attention to that. I address the proposals that the Labour Party is promoting alone or with others.
ParlaMint-NO_2014-12-02.ana.ud559e1424	The representative of Torgeir Micaelsen has taken up the suggestions he referred to.
ParlaMint-NO_2014-12-02.ana.ud559e1427	The working party is concerned that dilemmas may arise when some employees — in particular medical specialists — work in public hospitals and for private contractors at the same time. A number of proposals are being promoted to regulate and control this. In August, the Health and Welfare Committee on Study Tours in Australia, a country with a high health stake, health, information technology and, in particular, research. We got to visit one of Australia's newest university hospitals. During the visit we were told that it was set by an empty space for a private hospital. We were wondering why they built a private hospital next to the public. Well, that's because you wanted to attract skills, because both specialist doctors, laboratory staff and nurses would like to work outside the public hospital in their spare time. To facilitate this, they thought of it as a recruitment measure. That's how you could get the best specialists and the best skills. In Australia there were also hospital cows, and this was also a measure to bring these cows down. Back to Norway. We have a much lower proportion working outside hospitals than many other countries. Almost 100 pst. by the doctors in Austria work outside the public, half of the doctors in England. Figures from the Central Statistical Office show that the proportion of doctors and medical specialists in Norway who work outside the public sector and have an extra job is 6.8 pst. The hospital partner has conducted a study that has looked into the work of doctors outside the hospital and how this can affect the medical capacity of the hospital. The study shows that doctors in the hospital position who also have an involvement in the private or public sector work as much at the hospital as their colleagues without such commitment. These doctors therefore provide more labour. It is important to have sound legislation regulating such employment. A thorough letter from the Minister of Health and Welfare on 18 September of this year shows that regional enterprises have developed and implemented continuous guidelines and systems for the consistent reporting and control of the beekeeping of employees. These have been implemented in hospitals and are the result of decisions taken by individual health business administrations. It shall also be reported in annual reporting. Bier jobs and potential sustainability conflicts have been addressed through corporate policies and systems, and we expect businesses to follow up. The Minister also says in his letter that he will follow this up in the dialogue with regional enterprises. It is important that we focus on stability, not least to avoid suspecting those who take on extra work outside their working hours. Regional health establishments are also required to provide good and comprehensible information on free hospital choice through the mission documents. The National Audit Office has also pointed out that more people should apply free hospital choice, thus reducing the number of cows. It is not only the hospitals, it is also the decision-makers who are to inform about this. We are engaged in a strong public health service and avoiding a two-way sharing of healthcare services by making availability dependent on private purchasing power and health insurance. It's actually 8 pst today. by the population who has such insurance. We are concerned that hospitals should be the carrier, but be complemented by private service providers, both non-profit and commercial. Then we also depend on someone choosing to take a job outside their work at a hospital. I noticed in the hearing that the Medical Association was in favour of measures that could lead to better availability of specialist health services for the population, that it was more necessary to open up to private actors, precisely to contribute to a public health service. This is about trust. Trust depends on us having access for everyone. The fact that public health professionals take on beekeeping also has more positive effects. Firstly, additional work may result in a more efficient use of the resources of individual health professionals, in which case they will be able to provide services during their leisure time, but not least the health professionals will also be able to acquire valuable competences and experience, which may benefit the hospital.
ParlaMint-NO_2014-12-02.ana.ud559e1450	In the Norwegian health service, whether public or private, it works very many capable people. Common to all, most of them are that they have the patient's best in mind. We know that many work a lot overtime, and often work in several places, for several different actors – without necessarily creating conflicts of interest or problems related to bijobber for that reason. Norwegian health professionals have a high ethical standard — as several of the previous speakers pointed out here today. It is important to stress that regional health companies are required through the mission documents to provide good and comprehensible information on free hospital choice to individual patients, both on waiting time and on treatment provision in public and private healthcare. It is worth noting that the hospital partner has conducted a study that has looked into the work of doctors outside the hospitals and how this can affect the medical capacity of the public health system. The study shows that doctors in the hospital position, who also have an involvement in private or public health services, work as much at the hospital as their colleagues without such commitment. These doctors therefore provide more labour and the background appears to be economically motivated. The group of doctors with extra jobs has a significantly higher debt than those without an extra job, according to the survey. It also clarifies that the extra work of doctors does not exclude the public health service from the labour force. As the representative Ørmen Johnsen pointed out, Norway has a much lower proportion working alongside hospitals than other countries. Almost 100 pst. This is done by the doctors in Austria, and more than half of the doctors in England have bijobber. Figures from the SSB show that the proportion of doctors and medical specialists in the public sector who have an extra job in private or public health is 6.8 pst. It is not desirable to have a two-part healthcare service. Under the previous government, a notable number of Norwegians took out private health insurance. This may weaken the legitimacy of public health services. Therefore, the work to bring down the waiting lists is essential. This is the Right-Fremskritsparte government in progress through the purchase of more health capacity from private and non-profit institutions serving households. The Medical Association also welcomes the contribution of several private actors to a comprehensive, high-quality healthcare service. It is important to provide for a more flexible working life, so that health professionals who want to do so can work more than the current organisation allows to make better use of their work capacity – be it from public or private providers. This government is creating the patient's health service. That work is well under way. Also included in the government’s health management is taking into account all its competent employees, who do good work both with public and private providers, and, as I said, have a high ethical standard.
ParlaMint-NO_2014-12-02.ana.ud559e1469	Norway has a good health care system, but we are not too many doctors or specialists. For a long time, therefore, many hospital specialists have either started their own practice or been employed by others, in addition to having a job in a Norwegian hospital or in the Norwegian health service. This is how it has been to satisfy the need for the particularity to which they themselves have been trained. For the Christian People's Party, it is important that we have clear guidelines on how to enforce this with having one job one place and another place in a bee shop. The Christian People's Party is pleased that, by letter to the Committee of 18 September of this year, the Minister shows that regional health businesses have developed and implemented continuous policies and systems for monitoring and reporting the beekeeping of employees. But the Christian People's Party is not least concerned that there must be ethical and legal obligations, that it provides good information about existing public offers, and that the beekeeping of doctors and nurses is handled by the main employer. It is important that the bee jobs that each individual has do not replace public services and are perceived as abusive. It is important for the Christian People's Party that the agreements with the regional health companies be fulfilled. Nor are those who have their own practices, other than their public acquisitions, able to engage in active marketing in relation to patients referred to under public contracts. For the Christian People's Party, it is important to focus on stability, just to ensure that each doctor has confidence in the population, and that this is done primarily for the benefit of the patient – not for his own wallet. For the Christian People's Party, it is important that you get access to the patients who are entitled to health care, that they get help as soon as possible, and that you get control of the situation they are in. Who gives it help – whether it is a public hospital or a specialist who has an agreement with the hospital – is to a large extent immaterial to the Christian People's Party. The important thing is that the patient gets help as quickly as possible. We believe that specialists with bee jobs can be involved and contribute to this.
ParlaMint-NO_2014-12-02.ana.ud559e1484	The centre party will vote in favour of proposal No. 1, which is about asking the government to provide an overview of the scope of potential role mix, both by adding to the public health service and by private operators with contracts with the public. We shall also vote in favour of proposal No. 2, which is about ensuring that health professionals assigned to public hospitals do not have private bee jobs that are directed towards the same type of treatment for the same patients in the public sector as the corresponding ward, and that at the same time facilitates the exploitation of the working capacity of the bee in public hospitals. We will not vote in favour of the other proposals, and a bit of the background is that I believe that what is basically important here – and that is where the policy lies – is proposal No. 2: Do we still want it to be possible for doctors in Norwegian hospitals to also work in private businesses? It has been a difficult question for me, because this has historically been a system that has worked in a way. At the same time, one has to take inwards that there have been some unfortunate examples, where the consequences are very bad for the Norwegian health system. It relates to what is so fundamentally important, simply the confidence that health professionals are practicing the medicine without suspecting that it is an economic incentive that determines whether a referral here or another place is given. That's why we in the Center Party have found that it's not enough that regional health professionals have this in their regulations, and that it's routine for this. I think this is such an important matter of principle that this should be the state and the Stortinget, as the top responsible for the specialist services, meaning something clear about it. It is argued here in the room that LAGs also work in private, almost desirable. Yes, no one can argue that more labour is good. There's a lack of games and specialists. Doctors work in public and private in other countries, we've done this in this country too, and it's come to the conclusion that it hasn't gone beyond the public health system. That's okay. But is it desirable, and how is development when we get the introduction of free treatment options, where private providers and public hospitals are going to become real competitors for patients? This proposal from the Workers' Party to make a decision of principle, I read as a protection against suspicion of a mix of roles. I think it is necessary, as the development is, and as the government wants the Norwegian health service to become, with more use of competition between different service providers and no more use of cooperation. I also have a thought about the fact that lark has to work more than normal working hours. Yes, it has been, and maybe it has to be like that, but I also thought that one should respect that corpses are like ordinary people. There are now very many women in the study. It's a large number of female medical students. I don't think we can expect in the future that they will work the same way overtime – especially in a small child phase – as the experience may have been in the past. Anyway, I think there are a lot of good arguments for making that principle decision, which provides protection against suspicion of a mix of roles for health professionals in Norwegian hospitals. That is why the Group of the European People's Party would like to vote in favour of the proposal No. 1 and 2, from the Workers' Party, the Centre Party and SV.
