ParlaMint-NO_2014-12-01.ana.ud1735e28	The representative Tom E. B. Holthe, who has been licensed, has once again taken the seat.
ParlaMint-NO_2014-12-01.ana.ud1735e1298	There have been strong reports at the NRC about failure in the care of the elderly with very specific stories about individuals. The party's clearest pledge in the election campaign was a government financing of the care of the elderly. It has ended up in an investigation project on a State funding experiment. So it's put in the drawer. There's a huge tax failure in the municipalities right now. This could be a That's big numbers. What's the consequence of those numbers? Well, it's going to be cut in the care and care service around the country. Hospital wards are going to be shut down, the offer for many of those in need is going to be worse – not better – and here we stand and have the opportunity to do something about it. In 2004, the Stortinget granted more money when there was tax failure. Will this government take the initiative to do the same, so that those who are now affected will not be cut off from their offers, but will get a better offer?
ParlaMint-NO_2014-12-01.ana.ud1735e1307	I have also seen the entries that the NRK had both yesterday and today, linked to some challenges with the care of the elderly in the municipalities of the country. It shows with all possible clarity why it is important to strengthen competences around the country's municipalities, which, after all, have the primary responsibility to provide good care for people who need it. This is why it is so important that the government and the majority in this Chamber now strengthen the local economy as a whole quite significantly next year, because it allows municipalities to fulfil their primary tasks, such as: is about care. So, of course, the Progress Party has also been committed to putting in place a government funding of this. The government has provided a reinforced commitment to parts of the State contribution. In addition, we are now going to carry out a test project that will allow us to ‘benchmark’ the existing model with a new one, and that will allow us to think again in the future.
ParlaMint-NO_2014-12-01.ana.ud1735e1315	The left has given the government the honour of having its own EU Minister. Unfortunately, this has led to the fact that we have a government which at least seems to have a sense of being more preoccupied with the EU’s interests vis-à-vis Norway than with Norway’s interests towards the EU. This is almost not the only case that should not be ESA notified. Today, we adopt, for example, the imposition of exemptions from the user charge for biodiesel that meets the EU’s sustainability criterion from 1 July. According to the government, the reason why it can't be imported is the same ESA. I have two questions for the Minister of Finance: Why my government it is necessary to notify a scheme Norway has had for many years, exemptions from the user fee for biodiesel, which we had until 2010, especially given that it was not notified before, and that we have exemptions from the blend of bioethanol that ESA has never cared about? And can the Minister of Finance guarantee that the government will notify the scheme so quickly that it will be possible to introduce the exemption from 1 July, as stated by the Stortinget?
ParlaMint-NO_2014-12-01.ana.ud1735e1322	Let me first point out that this government's main objective is to ensure Norwegian interests in everything we do, whether it's in relation to the EU or it's in relation to other parts of the world. But then some of the changes that are decided upon require notification. I can assure the representative Breivik that the government is putting all the pressure on making good preparations to ensure that most of these arrangements go through. That also means, of course, that we're putting pressure on being able to realize this in line with the assumptions of the Storting.
ParlaMint-NO_2014-12-01.ana.ud1735e1327	There were probably many progress party voters who were surprised when Minister of Finance Siv Jensen gave priority to cutting the wealth tax to the wealthiest for two years in a row, and especially considering that much of the impact is caused by very unsocial cuts that affect a very large number of people: everything from cutting the car system to cutting the social security system to facilitating recruitment of those with reduced working capacity, cutting the support of child care for lone dependants, cutting off the tools for improving their function, cutting the support of child care for the recipients of the survivor's pension and the cuts in the child's allowance, who live on in a slightly different form in the budget agreement. What will Finance Minister Siv Jensen say to those who are disappointed with the budget of the Progress Party, who voted for the Progress Party, but who are now hit by one or more of these unfair cuts?
ParlaMint-NO_2014-12-01.ana.ud1735e1334	First of all, let me say that the reason why this government is concerned with reducing the tax burden on Norwegian business is that what is all, all of us, is most important to most of us, namely having a safe and secure job to go to. Without it, there is little need for redistribution because we don't have the same tax revenue in the treasury that we can use for redistribution. That is why I believe that the red-greens must soon come to a recognition. I have heard earlier articles here today talking about that there is an increased capital need for Norwegian business. But that's not the answer to raising the tax first, so to speak, that we should give grant schemes to the same companies that are facing challenges as a result of the first increase in the tax. To me, it's completely illogical, and I think we have to be able to do more things at the same time, even when we're making a budget. We need to strengthen the basis for existing and new jobs while increasing transfers to different groups in society in order to secure welfare services.
ParlaMint-NO_2014-12-01.ana.ud1735e1339	The cord shift is over.
ParlaMint-NO_2014-12-01.ana.ud1735e1342	It is not in the mention of the challenges facing our country that the government and the Workers' Party are separating teams. We can agree that we are facing an even more demanding time in the European and international economies, challenging our businesses and all of us as communities in terms of migration and renewal requirements. We can agree that the technological development behind what is called the new industrial age will mean both challenges and opportunities; we face automation and a new organisation of both industry and services. We can agree that Norway needs to act today to equip us to meet developments that we now see the outlines of: We're getting older in Norway, the population is growing. Several move to the larger cities, and we're going to solve huge infrastructure problems. We're going to meet a growing population by further developing and strengthening the welfare state's offerings, both in quality and in quantity. And -- as we remember from the persuasion debate, we can agree that we will meet all of this within the framework that the climate sets for us. Norway shall both lead and take its part in the responsibility for preventing climate change from destroying nature and the basis of life on earth. It's in the direction of meeting this future that we're separating layers. This is what is reflected in the draft state budget presented by the Right and the Advance Party two months ago. That is also the direction this debate should take. A government budget is full of issues and initiatives in Norwegian policy that we can agree on many of us. The government believes that it has received too little attention about what it calls the strengths of the budget, such as efforts in transport, school, police and research. But here there are no major differences between the parties when it comes to bet over the budget. We are well on the way together to prioritizing these important objectives, even though we are betting more in some areas. A key issue is what we should solve together, invest in together, mobilise for one another – and where we are best served to solve the problems each of us, from the government expressed in proposals for privatisation and large tax cuts. The government has drawn a darker picture of the future over the past few weeks, with a message that its economic medicine is necessary in order not to cause serious harm later on. The answer to the challenges is almost ready to be formulated: it is about cutting taxes, the clear greatest effort both in the budgetary agreement and in the proposal that was put forward. The Government draws an image of a society in which the ability to convert fails in business, working life and welfare systems, and in which the recipe for what is called falling productivity growth is to be resolved through a Commission in which the social partners are for the first time excluded. It's an unwise choice. And the government is implementing changes in labour law that weaken and do not strengthen trust and the ability to solve tasks together, which have been so important for the development of our society. The working party has a different starting point. The sum of the problems we're going to solve can be summed up in the ambition that we're going to build the country together. We mean the problems we have to solve, really call for mobilizing the community. Government proposals for tax cuts, there 50 pst. of the reliefs to the 5 pst. with most of it already, is the crazy priority of the freedom of action we have in this budget. We believe that we can achieve greater efficiency and incentives for businesses and communities by investing together – in infrastructure, targeted support for entrepreneurs and good and tried-and-tested schemes to support transitions and new initiatives in innovative enterprises. We believe that the policy should ring the bell that Norway is a country with relatively small economic differences, and take to heart the very clear messages from the OECD to the IMF that growing inequalities hamper the ability to adapt. We believe that Norway has proven to be a good candidate for change – in the company, in the hospital, in the labour market. We can and must constantly reach out, but we can motivate ourselves to this effort by taking advantage of the strong traditions of cooperation, trust and cooperation that we have developed over decades – in the tripartite cooperation of the labour market just as well as the well-established cooperation between management and employees in the individual workplace. These are some of the quality of the FAFO researchers behind the study of the Nordic model, explaining that Nordic countries have had higher employment, lower unemployment, greater technological change and better government finances than other countries. Norway should be a country with small differences and great opportunities. Our draft 2015 budget reflects this ambition. Priority will be given to providing local authorities with space for their tasks and more money to further develop schools, kindergartens, health services and care for the elderly — welfare services close to people. The number of older people is increasing from 2020; it is tomorrow in a planning perspective. It must also appear in the budgets of the municipalities. It is important for well-being, and it is important for value creation and business across the country. In our draft budget, we have prioritised efforts across political disciplines, we have seen instruments in the context. We will ensure that we prioritise growth across the country by facilitating growth and new jobs through support to entrepreneurs and active industrial policies, with particular focus on marine industries, travel, agriculture, environmental/climate technologies, ICT, bioeconomy and health technologies. We will ensure that we meet the climate challenges and accelerate the transition to the low-carbon society, with a special priority for the necessary maintenance of the rail system, a major effort on urban public transport and more on bicycle measures, along with a turnaround of greener-looking charges and a strengthening of the eco-innovation scheme in Innovation Norway. We will ensure that we support the people who will build the country, with a special focus on the skilled worker, several apprenticeships, updating equipment and machine parks in vocational training, investing in vocational teachers, strengthening the vocational schools and improving access to professional letters – and not least by providing decent and safe working life. We will ensure that, in addition to fulfilling our commitment to hospitals, we give public health a strong boost, through increased efforts for health in kindergarten, at school and at work, by reintroducing fruit and vegetables in school, earmarking funds for school health services and starting the introduction of one hour of daily physical activity in school – and not least by upgrading sports facilities and facilitating more people to participate in outdoor activities. The government prioritised its budget differently. The draft budget was clear in its direction. It has, with budgetary conciliation in some areas, moved its efforts towards the broad majority of the Grand Duchy. But the law of gravity still applies: it is the main right-wing direction that is fixed, the tax cuts of those who have the most from before are still the clear main budget effort. In the election campaign last year, the Right Party and the Advance Party believed that seven out of ten oil crowns were used incorrectly. It's unclear how many of the oil crowns are now being used correctly, if we were to follow the logic of the government. In the budget that was to give answers to what the government stands for, we see rather failing ability to re-prioritize much more than giving these huge tax cuts to their own nuclear electors. This is well-known Right Policy, but we have also got something new. From the party that has previously referred to itself as the guarantor of a responsible economic policy, we have seen, at every available crossroads, the collection of oil money in order to make the efforts go up – in this budget historical record is set in the phase-in of oil money. Then we also see with interest that the Right now violates its own most private ‘rule of action’, by increasing public expenditure more than expected growth in the economy. At the same time, we see other new features, such as that the Progress Party demands tolls like never before, introduces bag fees and administers an aid budget of 1 pst. of gross national income. The last thing we can do is thank the budgetary agreement with the Christian People's Party. I want to recognise the centre parties for correcting obvious social imbalances in the original proposal, they have slowed down parts of the party policy, and we will support that. But again, the main direction is still the same. There have also been improvements in climate and environment, and I will recognise that too, the Christian People's Party and the Left, for which the Labour Party can support much of this. But we'll get the cold shifted by its real name. We first heard that the agreement contained 2 billion. kr in green tax change. But on the same night that the deal was in port, we learned that the volume is only 1 billion. kr, as everyone seems to agree that the fatherless and motherless plastic bag tax is, in effect, a purely fiscal charge. The climate argumentation also has some other clear weaknesses. In order to find enough money in the budget to provide tax relief on petrol and diesel delivered the deal cut in climate quotas, which the Minister for Climate and Environment calls unrealistic budgeting. These are allowances purchased for Norway to comply with its international obligations. There is money going to poor countries to stop the growth of emissions globally. I assume that this will be corrected in the revised national budget in half a year. The speech of the throne offered a willingness to bet on the climate, and I gave the government credit for what was said in that text. On the other hand, the draft budget was drawn in the opposite direction – this was the proposal for: reducing the tax on petrol and diesel to cut the tax on snowmobiles and motorcycles to cut heavily in forest protection, as they promised before the elections to strengthen the reduction of over 50 million. kr for the construction of new bicycle routes to move Transnova to Enova without following with extra money a bet on public transport that was insufficient On top of this, the Minister of Finance removed the chapter on sustainable development from the national budget, a chapter that has been drawn up for each national budget since 2007. Then we see that the Christian People's Party and the Left, after three weeks of intense negotiations, managed to raise the budget to a more decent level in the climate field, closer to what is the majority view here on the Storting. It should ensure that the government turns to the same broad majority in order to strengthen its efforts to achieve the objectives set in the climate agreement. And this is where the government should also anchor Norway's 2030 climate targets, which are to be notified in advance of the Paris climate meeting in 2015. The Labour Party is ready to contribute to such settlements, as we are also prepared to meet for talks among all parties on tomorrow's tax system, after we have received and studied the suspension from the Scheel Committee, which will be held tomorrow. ‘We have to look in the eye that the Norwegian economy is going to meet other and new challenges in the next few years’, said Finance Minister Siv Jensen of Dagbladet recently, and she added that we need to change before it hurts too hard. The Prime Minister has said something of the same thing, when she believes that the Nordics do not take on board what changes the future requires. I don't think it's like that. I think people understand very well that we are facing challenges, and that it requires something from all of us – not just because the oil price falls, but because we live in a changing world. I think people get it when companies in the West have to cancel employees. Both employees and the company owner then understand that this is serious. When consultants across the country put forward proposals for municipal budgets with a tight framework and cut into important welfare services, people see and experience what this is all about. When the hospital staff are going to do all their tasks with appropriations far below the commitments and with ever-increasing efficiency requirements, at the top of their daily efficiency efforts, people see what this is all about. When the elderly care staff have to work out tasks within a narrow framework, while they know that in just a few years the number of older people will increase significantly, they see what this is all about. And when people see more and more signs of climate change, both in Norway and in the outside world, we all realize that we are facing enormous challenges. The political divisions in our country are not about what challenges we see ahead of us, but about how we intend to meet them. It's about direction choices, what we invite people to do, how we distribute burdens, and how we put together. The government has chosen its strategy, in many areas, contrary to the advice of the experts, contrary to popular opinion and contrary to what we think is right to take the country in a different direction. In the Labour Party, we want to spend the big money on the big problems. It is through strong communities and small differences that we best meet the challenges we face. That's why we say no to the big tax cuts to those who have the most from before, and yes to climate, public transport, well-being in the municipalities – and a strong commitment to building the country for the future, with the support of the country's entrepreneurs and businesses, and not least those who are actually going to build the country: this country's skilled workers.
ParlaMint-NO_2014-12-01.ana.ud1735e1449	It's going to be line change, limited to six lines.
ParlaMint-NO_2014-12-01.ana.ud1735e1452	It's a little difficult to get what the representative Gahr Støre really wants. On the one hand, he's talking about there's a lot of need, there's a tight frame, there should have been more growth. On the other hand, he criticises the government for having used too much oil money. In its alternative budget, the Workers' Party has taken all the tax reliefs and turned them into tax increases, while at the same time ensuring that more money is pumped into public budgets. That means that the underlying cost growth goes up from 2.3 pst. to 3 pst. next year, with the arrangements of the Workers' Party. Does Jonas Gahr Støre think it is right that public spending should increase significantly much more than expected that the growth in the mainland economy should be?
ParlaMint-NO_2014-12-01.ana.ud1735e1459	I've noticed that the Right thinks it's okay. I've never had a problem with it – if it's right and strategically invested, if it brings down the differences, gets up the activity, stimulates research, stimulates businesses, then it's a wise use of money. The right has doubted that this is an action rule, that it should not grow any more, and when they for the first time come into government with the party that shares this ambition, it actually happens. To the point that it's unclear what I really want: I don't usually experience people having trouble understanding it. I'm in favour of a government budget that contributes to activity, helps balance differences, helps solve the problems we have in front of us. There's no goal for us that the growth of expenditure should be just a little bit above or just a little bit below the limit of growth in the economy. Our goal is to meet the needs we have and the problems we have to solve.
ParlaMint-NO_2014-12-01.ana.ud1735e1466	The rhetoric is that this government gives tax cuts to those who already have the most. It had Gahr sturgeon several quotes about it in his post. It was a very good quote in the E24 on 7 October 2014, the day before the state budget was presented: «My form does not consist of money. I am the partner of a family business, Sinkaberg-Hansen AS, who is engaged in the breeding and processing of salmon. My fortune is boats, swallowing machines, breeding pains, several kilometers of rope and salmon in mares and vessels. In short, the workplace of 170 people," she says. ‘She’ is then Lisbeth Berg-Hansen, working party member of the Financial Committee. Does the representative Gahr share her view that the property tax is a tax that is not primarily about money, but about the possibility of investing in and developing Norwegian-owned companies?
ParlaMint-NO_2014-12-01.ana.ud1735e1476	Since the representative mentions a co-representative, I would say that this co-representative is one of those who makes me proud to be a member of the Workers' Party, namely that she has managed to combine very innovative efforts to develop this country's resources with being involved in politics and being a socially engaged person. She has pointed out aspects of the wealth tax that I think we absolutely should debate. We've never thought that this treasure is perfect. She has also sat in a party and voted in favour of and participated in arrangements that have the wealth tax in them because we need it to finance development, also in the parts of the country where this enterprise is located, and to educate the people who can work at the facility that this company is developing. I have met some of the students who have had their chance, because the community and the municipality have been able to bet. One of the reasons they've been able to invest is that we have public finances to finance the welfare services that are necessary for us to have an innovative business life.
ParlaMint-NO_2014-12-01.ana.ud1735e1482	I will ask the question to the representative Jonas Gahr Støre as follows: it may seem that the alternative budget of the Workers' Party has made it a sport that everything that the current government has received so far in terms of tax and tax arrangements should be zeroed out – with one exception. And one exception is the inheritance fee. It has continued the Workers' Party in its alternative budget, and it is. That's very smart. But with regard to the rhetorical points that the representative of the Workers' Party always comes up with, I will ask the following questions, which I expect to have a short and concise answer to: Who is most benefiting from the changes in the inheritance tax? When the inheritance fee is removed, who gets the most from inheritance – are they with high wealth, or are they with low wealth?
ParlaMint-NO_2014-12-01.ana.ud1735e1487	We saw that the inheritance fee was paid, and it was a fee that did not apply very well. We reduced the number of Nordics affected by this levy by increasing the base rate year by year. We saw that those who had the greatest wealth, who inherited, dropped the inheritance fee, and that it hit a number of people who inherited a house or a cabin. That was not what was meant by the device. At the same time, we have noticed that the economists at the School of Commerce say that if we remove the inheritance tax and the property tax, as the representative is for, there will be one country in the West again with more favourable taxes on wealth than Norway. Yours should not come to Norway. Therefore, we believe that the tax regime of the future should ensure that those with the strongest shoulders, take the greatest burdens, that inheritance is a theme that we should somehow address, but that the inheritance tax that remained, as it was in 2013–2014, was not the most appropriate way to do so.
ParlaMint-NO_2014-12-01.ana.ud1735e1494	Both the representative Jonas Gahr Støre and the representative Marianne Marthinsen nemner Scheel-choicet, and the Scheel-choice deliver tomorrow. VG today writes in the lead position: ‘We need a thorough and prejudiced tax debate. Now we hope that all parties are conscious of their responsibility and dare to unite behind forward-looking solutions." When there is just a prejudiced debate, my question to the Labour Party is its leader: does he want to participate in a prejudiceless debate? Now he says, among other things: that the Labour Party has never said that taxes on wealth are perfect. Would he be willing to think anew in a possible tax settlement – even when it applies to the positions on which the Labour Party has been very sloppy in this Chamber?
ParlaMint-NO_2014-12-01.ana.ud1735e1506	The answer to that is yes. We hope for a prejudice-free debate with soul, to say it in a double sense, that we can get into it properly, and that the Scheel Committee gives us the reasoning and context to see the whole. From time to time, at some regular intervals, we have a big deal in this tax room. It's done in a way that's characterized by wisdom, by the fact that we can agree on structure, even though we can have a slightly different view at the level. We're interested in seeing how the government will approach this topic, whether it will consider such a kind of broad settlement, discussion in a broad circle. Then the Workers' Party will set up, and make it free of prejudice, because we want the tax system to be effective, predictable, redistributive and fair, and that it stimulates investment in a productive direction for our country. Then we need to review from time to time, and we'll probably get a good basis for it through skilled professionals who deliver their position tomorrow.
ParlaMint-NO_2014-12-01.ana.ud1735e1513	‘A decent, safe and secure working life’ is a good slogan for the Centre Party and the Workers’ Party. On 7 May 2013, the LO Congress adopted an action programme addressing the EEA issue. The Congress adopted the proposal of a unanimous editorial committee, which includes:\t\t You can change the settings of the grid. \t\t \t ‘ILO Conventions, Norwegian collective agreements and Norwegian labour law must prevail over EU rules. Such a preference must be clarified between the parties to the EEA Agreement.» I agree with the representative Gahr Støre, who said that the lines of policy are not the description of the challenges, but how we intend to solve them. The question is this: does the head of the Labour Party agree that ILO conventions, Norwegian collective agreements and Norwegian labour law prevail over EU rules?
ParlaMint-NO_2014-12-01.ana.ud1735e1525	The representative knows that the word ‘prince’ used in this context is about how the Court assesses different laws in relation to each other. I also refer to the EEA investigation, as the government that we both supported, presented, which showed that Norwegian working life has been successful over the years with the EEA Agreement, that our standards have been consistently maintained at a high level, and that we have had a great deal of freedom of action in this area. I believe that the ILO Conventions, which are different from directives adopted in the EU and adopted in an EEA context, should inspire legislation in our area. To date, this has also been the case for the main emphasis of the legislation adopted by the EU. Should there be serious violations of those principles, I believe Norway must be rigged and stand up to it if it is contrary to what is Norwegian interest. We have reason for that. Until now it has not proved necessary.
ParlaMint-NO_2014-12-01.ana.ud1735e1534	If there is one thing the change of government last autumn has contributed to, then it is a change of pace in the Norwegian climate policy. In order to achieve the 2020 targets, the representative Gahr Støre, in his speech, mentions that the Workers' Party is committed to the necessary maintenance effort on Norwegian rail, public transport efforts in major cities, cycling, the rotation of taxes and environmental taxes and the strengthening of the eco-technology system. All are measures implemented in the agreement between the government, the Christian People's Party and the Left, in addition to the fact that there are increased charges on air travel, there is an increased electricity charge, there is a doubling of the Green Fund, there is a strengthening of Enova – again – as it has been in the past. The representative Gahr Støre says that the Workers' Party wants a climate settlement and a new settlement to achieve the 2020 targets. What are Gahr Støre's concrete proposals for action The Labour Party wants to implement, which the government and the majority do not want, and which the Labour Party wants now, but perhaps has not been in favour of in the past?
ParlaMint-NO_2014-12-01.ana.ud1735e1541	I want to pay tribute to the Left and Christian People's Party for having made a large deficit budget in the climate and the environment something that has now become more decent – if I have to say so – even though in some areas one could also stretch a little further. What I have said about climate change settlements is that we have a 2007-2008 climate settlement that brings together a group of parties here on the Stortinget. We were a majority government, didn't need a climate settlement, got a climate settlement. Now there is a minority government that hesitates to continue working in the context of a climate settlement, even though they are seeking a majority with the two cooperation parties. My point is that the implementation of the climate agreement's objectives is that we should meet in that circle. And when the Minister for the Environment proposes our climate goals in Paris in 2015, it will also be natural to do so within the objectives of the climate agreement. Now it's not about setting new goals, but it's about agreeing on how we're going to achieve the goals we've set. And that's what I think we should be looking in a broad circle here in the Storting, it's going to be in tradition with the previous similarities we've had.
ParlaMint-NO_2014-12-01.ana.ud1735e1550	The cord shift is over.
ParlaMint-NO_2014-12-01.ana.ud1735e1553	Norway is a country with cooperation traditions. We are a peaceful country, a country where politics has high confidence in people and where political polarisation is low. These are good common Norwegian values, which also provide a basis for the budget to be adopted today. Thank you to the Left, the Christian People's Party and the Progress Party for constructive and good negotiations, which have resulted in all parties stamping on the budget, while at the same time there is broad agreement to continue the main actions of the budget, historical commitment to culture, school, health and justice. The right and the other bourgeois parties won the elections last year. We won because we pointed to challenges that Norway is facing, and because we gave answers that people trust. We won because we agreed to equip Norway for the future by doing important tasks together today. That's why we had a clear alternative to the red-green government, based on our cooperation agreement from the negotiations in the Nydalen. This is the basis of the budgetary agreement concluded by the government parties with the Christian People's Party and the Left. Some have also pointed out that the negotiations took a long time before the final result was presented. But unlike the last eight years, we have had real negotiations in the Storting. The government had promoted its government budget, the positions of the Christian People's Party and the Left were known, and through the media people became familiar with progress and priorities. It is important for me to stress that we succeed in reaching an agreement on next year's government budget because we are four parties that will cooperate. We have a common sense of value, we are committed to simplifying and renewing Norway. We are committed to having a strong and sustainable social security network. We are going to strengthen Norwegian business and create safe jobs across the country, and we are going to make sure that we start a completely necessary transition, from an oil-powered economy to an economy that can meet a future where we are less dependent on the revenues of the petroleum sector. Much of this is going to happen in new green industries. The State budget and the budgetary agreement facilitate this. In October, the government presented a budget that equips Norway for the years ahead and that solves important challenges today. The Budget Agreement of the Cooperation Party ensures and strengthens important efforts. The Left and Christian People's Party have influenced the budget in important areas. At the same time, the main act of the Right Party and the Advance Party is firm. We're getting a record bet on the knowledge society. Norway will never be the cheapest, but we're always going to make the best of ourselves. It assumes that we have a school where children learn even more, and a university and higher education sector with several world-class environments. It also assumes that we are increasing research efforts. This budget is an important step in creating a strong knowledge society. We need better quality and more patient care in healthcare. A safe and competent health system is a goal for any government. People will experience that the help is there when the need is greater. That's why we're going to create patients' health care. It's also important to meet a future where we're going to live longer, where we're getting older, and how many of us – fortunately – will live longer with sickness as well. Therefore, we increase the quality and reduce the waiting time for treatment. We need a large-scale commitment to transport investment and maintenance. The urbanization we experience today will increase in the next decades. This is positive for the environment, but also means that we need to invest more in rail and public transport in order for people to get home quickly and safely. At the same time, we need to have housing and economic activity throughout the country. The government’s aim is therefore to increase investment in transport beyond the national transport plan and to ensure that we are equipped for the future. Our budget means a significant commitment to and implementation of new major projects, but also takes better care of what we have already built. For the first time, the maintenance run on the state highways is reduced. The initiative will improve road safety and accessibility for citizens. We have had a lot of debate on the taxes on wealth, and we have had a lot of debate on competitiveness for Norwegian jobs. For more than 40 years, the Norwegian oil and gas industry has been a carrier of economic growth, employment and well-being in Norway. Looking ahead, however, there is a need to prevent a two-way economy and to ensure that we have a competitive business in the country when the oil age goes to the end. This is why we are focusing on tax relief, which is growth-promoting, which helps Norwegian business to cope better in the future. The world is changing, and Norway is changing. In some periods, changes occur faster, more dramatic and more unexpected than in others. We're in such a period now. Then it is important to provide both for a strong police force, for more policemen in the streets and for a good and visible police force. We will have a budget for 2015 that will make everyday life better, while at the same time we will have a budget that will equip Norway for the future.
ParlaMint-NO_2014-12-01.ana.ud1735e1579	It's going to be line change.
ParlaMint-NO_2014-12-01.ana.ud1735e1583	There is a need for a significant increase in health care in the coming years. We're getting more, we're getting older, and it's a tearing technological development. We presented a hospital plan with escalating to a new 12 billion. kr these four years – 3 billion. kr per year. Prior to the election, the voters had reason to believe that the Right also saw the need for increased resources in hospitals. In today's business life on 16 August 2013, we received criticism from the Right that our plan was too ambitious. On direct questions about growth, Bent Höie said: ‘Yes, it will come regardless of which batches are in government, if you want to cover up for growth, and of course we will.’ He confirmed that there would be more billions of growth in hospitals with the Right than with the Workers' Party, and in addition, the free choice of treatment would be dealt with outside the budget. Now we have the fasit. The right hand hand was an offer. They promised 3 billion. SEK, granted 2 billion. kr, and the money for the private is to be taken from the frame, not in addition. Can the representative of Greece explain why they do not follow up what they so specifically promised the voters?
ParlaMint-NO_2014-12-01.ana.ud1735e1599	It is good that the representative Gahr Støre refers to the increase in the health budget, which is significant – 2 billion. extra for hospitals. At the same time, we know that the Minister of Health is now working on bombing a national hospital plan, which is becoming a very important document in order to get on with providing patients with better health care. We have put in place a number of measures to improve patients' ability to choose services. It's going to be spent on this in next year's budget. In the field of drugs and psychiatry, it's a good escalation. I believe that we are on the right track when it comes to stepping up the healthcare system. That the Workers' Party is able to raise an extra billion when they take in between 10 and 12 billion. kr in tax increases, is not very impressive. When we know at the same time that this is financed by removing absolutely all the tax relief that will contribute to the growth needed for a good health care, I'm not very impressed with that effort.
ParlaMint-NO_2014-12-01.ana.ud1735e1606	I understand that the representative of Helleland is not impressed. He promised more than three billion. kr, granted less than 2 billion. kr – what the math says. So to another question about this deal. In the climate field, a comprehensive cut is made – 306 million. kr for the purchase of climate allowances – contrary to one of the contributions we can and should make to international climate work. The Minister for Climate and Environment, who is now sitting in the Chamber – the question is not her – has said that such a reduction would not be in line with realistic budgeting and that it would be necessary to come back later in 2015 to do something about it. Does the parliamentary leader agree with the Right? He was one of the chief negotiators at this conciliation – does he agree with his own council that this was unrealistic budgeting?
ParlaMint-NO_2014-12-01.ana.ud1735e1613	We do not make unrealistic budgeting when we sit and make a budgetary settlement. What is certain is that Norway is going to comply with the climate quota purchase agreements we have concluded, and we are going to fill in to get it right if it is too small. We believe that what is now happening is realistic in relation to the commitments undertaken by Norway. We can go in for this. We know that several other parties also want to cut climate quota purchases through their alternative budgets. Climate quota purchases are to be carried out in a good way, and I am sure that this government will help.
ParlaMint-NO_2014-12-01.ana.ud1735e1620	With the budget agreement, an extra 207 million. SEK for kindergarten development, which is in addition to the 100 million. According to figures from the Ministry of Knowledge, the government proposed that 3 400 new kindergartens be built. The Christian People's Party is very pleased that the conciliation provides the basis for a further strong expansion of the kindergarten sector, and that several one-year-olds are offered children's playgrounds. It gives more families with children a better situation and a simpler everyday life. But how will the Right and the Government ensure that the kindergarten queues are reduced by this – that this money actually goes to the kindergarten sector and to the development of more kindergartens – so that parents of one-year-olds actually feel that they are now getting more kindergarten when they need it?
ParlaMint-NO_2014-12-01.ana.ud1735e1627	I am very pleased with the agreement we have reached with the Christian People's Party and the Left in this area as well. There is an important strengthening of the kindergarten sector it is now being added to. I have – probably like the representative Bekkevold, with whom I had the pleasure of sitting with the municipal committee in the previous period – considerable faith in the municipal capacity to prioritize the free resources. Where there is a need for kindergartens, I am reasonably sure that those funds will be used to build kindergartens so that we can reduce the queues. One important element of this is that we also want a more flexible admission, that it allows children to start in kindergarten independently of when they are born in the year and when they need kindergarten. This agreement, this consensus, will contribute to it. So we know that in some municipalities there is overcapacity of kindergartens. Therefore, it would be wrong to make a direct designation of the funds. The right thing must be that municipalities are using their healthful mind and are building up kindergartens in line with their needs.
ParlaMint-NO_2014-12-01.ana.ud1735e1634	Creating values and distributing values has been key words to ensure a Cohesion Norway. This is now strongly challenged in two ways: point 1: lower oil price combined with very high oil dependence and point 2: the brutalisation of working life as a result of the freedest possible migration of labour resulting from the EEA Agreement. More and more people are experiencing the transition from Cohesion Norway towards Difference Norway. I have two simple questions for the representative of Greece: Does the representative agree that Norway has become too oil dependent? And does the representative agree that Norwegian working life is being brutalized?
ParlaMint-NO_2014-12-01.ana.ud1735e1643	These are two simple but difficult questions. Firstly, whether Norway has become too oil dependent: the oil has given us a fantastic development of wealth and has laid the foundation for efforts to strengthen education, strengthen health, etc. It's important. But the government is very clear – and we say it in all documents, here in Stortinget too – that we have to make ourselves less oil dependent in the future, we have to have more legs to stand on, and we have to rust Norway for the future. That is why I am naturally pleased with the prosperity the oil has given us. But if we don't have the power to change and use the mainland, the forest and other important industries, we have a big problem. As regards the brutalisation of working life, I do not agree with this. But I agree that what we have to fight against is organised labour-life crime. It is an important and priority area for this government.
