ParlaMint-NO_2014-10-22.ana.ud143e26	The representative, Dag Terje Andersen, will put forward a proposal for a representative.
ParlaMint-NO_2014-10-22.ana.ud143e450	The Prime Minister runs a minority government that is so awesomely lucky to have a cooperation agreement with two parties in this Chamber. The draft budget is now before us. There the government lowers the car charges by 1.3 billion. kr, and it wasn't just the Left who didn't think it was a scoop – everything from all the environmental organisations to the car importers was suddenly on our side there. We see that Enova is assigned a number of new tasks, many more tasks than the increase in appropriations. One also cuts in forest protection, and the debate in public space shows that it is based on a misconception that we have no more forest to protect. A wise left-leader named Lars Sponheim once said that when you sit in government, have had things out at the hearing and discussed all aspects of things, you think that ‘this is the right decision’. Then the decision comes out into the public space. One is subjected to debate, and one is exposed to a searchlight on the decisions that have been made. Then it might turn out that some of the things that seemed quite obvious and simple inside the government room are not right when they get into the open debate. My question to the Council of State is: When she looks at the environmental budget, when she listens to what all the environmental organisations say, what the Left says, what the business is saying, and even what the car importers say: does the Prime Minister think that any of this criticism has anything to do with it?
ParlaMint-NO_2014-10-22.ana.ud143e459	Erna Solberg is still Prime Minister – please.
ParlaMint-NO_2014-10-22.ana.ud143e462	Let me start by saying that I mean the same thing now that I'm in position, which I meant in opposition. That means that I believe it is fruitful that we have the discussion that is taking place in Stortingen about individual proposals. There may also be new information on the consequences of individual proposals that we have not had with us when we have made decisions in government. I thought that was a challenge with the previous government, where it was often so detailed negotiated that it could not make changes in the Storting. I think it's an advantage that we have an open mind around it. So just to make it clear, there's no difference between what I mean in the opposition and in the position. Nor do I ignore the fact that there are areas on which we in this budget are going to change because we ourselves also come to a recognition that we should either wait with or do this in other ways, based on the objections that come through the treatment of the Storting. But with regard to the area related to the environment and climate, I believe that, especially on the climate side, we deliver a lot in this budget. We're delivering more money to an investment, we've said that it's going to be a tax deduction, but we're increasing the framework for solving it and getting a grant scheme into Enova. We provide more money into the fund, which every year will give more returns. The way Enova works in the field of environmental technology is an undertaking, and now there is room to make more commitments. Knowing that in the years to come the fund will increase by more money, it gives predictability of what you can say yes to by Norwegian companies. I would like to stress that there are many people talking about individual climate action in the budget. But what we're doing, maybe the biggest thing we can do, is actually bring our business into that transition and give them the support we can give to create the new environmental technology. That's what's really going to trigger the transition in Norwegian society, and that's where we give much more space in what's available. I know that we will negotiate, and I am absolutely sure that we will also meet the requirements that we have to meet.
ParlaMint-NO_2014-10-22.ana.ud143e475	When the Left joined the cooperation agreement, there were some main points that were most important to us. I think that's what people might have gotten themselves into. One of them was environment, another thing was the fight against child poverty. There were not so many suggestions. In the RNB, we got free core time. Now it says that a strategy is to be drawn up. There are, of course, measures we need in the fight against child poverty. In the Question Time of 28 May this year, the Prime Minister said to me: ‘It is, of course, difficult for a Prime Minister to pre-profile all parts of the budget, but I believe that I can say to a reasonable degree of certainty that Trine Skei Grande will be heard when we present it.’ I have two questions for the Prime Minister. Shall I be heard now, or have I been heard? And is there going to be fewer poor children with the budget that has now been presented?
ParlaMint-NO_2014-10-22.ana.ud143e487	That cord shift turned, among other things. on lower kindergarten rates for the poorest children. The representative has been heard. In addition, we have put in larger scholarships for children from poor families who go to high school. I also want to say that yes, there are measures we need to implement. There are individual measures, there are measures to strengthen areas, and I think the most important thing is to do it outside of the social security system itself, because it has negative effects over the working line. But the reason why we have said that we should have a strategy is the Riksrevision's criticism of the measures that have come in recent years. They are perceived as piecewise and divided individual measures that are not seen in a context. So we meet the Riksrevision's criticism that there is a little strategic review of which measures work best against child poverty. This means that we have said that we need to spend more time on it, we need to see the relationship between what we do for parents and for children, and we need to look at individual measures in a coherent strategy.
ParlaMint-NO_2014-10-22.ana.ud143e494	Follow-up questions will be raised – first Terje Breivik.
ParlaMint-NO_2014-10-22.ana.ud143e497	A theme we spent a lot of time in Nydalen last fall was the two-way economy. That's why I and Left were glad when the government platform was made public a few weeks later: "The two-way economy is making it increasingly important to ensure Norway more and more legs to stand on financially." It's a formulation The Left is completely united in, and is decisive for us in the work on the 2015 government budget. In that respect, the Left has asked the Ministry of Finance what new measures the government proposes in its draft State budget to counteract the bipartite nature of the economy. In plain text, the answer was not a new one. On the other hand, the government points to a reduction in property taxes or a better tax system. It is possible that the annual fee for caravans is cancelled for the government, the Prime Minister and the party leader in Right think about. The question is, is this a problem that the government is still taking seriously?
ParlaMint-NO_2014-10-22.ana.ud143e506	We're definitely going to do that. But I've also said that what we saw as bilingual a few years ago, has become a much more common challenge. What we now see in the oil and gas business is that the same cost challenges in a lower activity are there, as it has been in the rest of the country's economy, as part of the two-part division. That's why I believe that today there's no difference in the strategy for the non-oil-related part and the oil-related part to lift the conversion. When the investment in oil activity next year declines by approx. 10 pst., it has a pretty big impact on how the balance is going to be in the future. Then it is also important to stimulate the other parts of the economy. I think we're doing a lot to stimulate other parts of the economy. I believe that what we do in taxes on wealth helps to stimulate. What we do on payroll taxes helps to stimulate participation. I mean, what we do at SkattenFUNN, helps us get even more companies that want to research more, which is important, and the same is what we do with the BIA system. A wide range of research and incentives are also important for this.
ParlaMint-NO_2014-10-22.ana.ud143e513	Eva Kristin Hansen – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e517	It's interesting to hear the beginning of negotiations between the government and the left. I think there are more people here who are excited about the continuation, and especially I am concerned about what is going on in the climate and the environment. Journalists have recently thrown dice and given grades to the members of the government. One of the ministers got so bad in character that today she's trying to get better character in the VG, and the Prime Minister also moved out in defense by saying that it's not that easy when the government's others are not so concerned about what the Council of State is responsible for, namely climate and environment. I think it is interesting that the Prime Minister admits that climate is not important for large parts of the government, and we know that the instruments in the field of climate lie with many government councils, among others. Tord Lien, Ketil Solvik-Olsen, Jan Tore Sanner and Siv Jensen. I would like to ask the Prime Minister: does she not feel that it is her responsibility to ensure that the climate is put high on the agenda and to present better budgets than what has been done now in terms of climate?
ParlaMint-NO_2014-10-22.ana.ud143e526	I am, as the leader of the government, very concerned that everything we do in this government is a shared responsibility. I believe we have delivered a very good climate budget. I understand that many people want even more measures, and that there are some areas that you think are not right and go in the wrong direction. But when you look at what new measures we're taking, what the red-green government put forward, what we're doing, for example. the purchase of train services, what we do with depreciation rates on wind power, in areas where, for example: the red-green government said no to the opposition in the climate negotiations, and we're moving a good bit further. I believe that there is no reason to say that this government does not take the climate issues seriously, and I note that even those who criticize us for not going far enough actually say that we do more than the previous government did in these areas. Then we have some big areas ahead of us, for which we need to find even better measures, and that's what the government is working with.
ParlaMint-NO_2014-10-22.ana.ud143e535	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e538	I have a great deal of understanding of the frustration of the Left, not least in the climate and the environment. It will be interesting to follow the negotiations between the government and the Left and Christian People's Party. In the context of the climate agreement, the parties were concerned that forest was important for reducing greenhouse gas emissions in Norway, and therefore it is very disappointing that, among other things, the protection of forests has been reduced as significantly as it is. Then the government has proposed $3 million. kr for forest planting, and it is with respect to report quite puzzles. I'm sorry to just give you three million. kr over three years is for them to measure and evaluate the climate impact after three years. What I'm wondering is, what kind of climate effect will a measure of the forest plant spruce after three years, all the time spruce trees spend decades growing large and ripe? Is the government and the Prime Minister satisfied with the climate-related forest activity in this budget?
ParlaMint-NO_2014-10-22.ana.ud143e547	I am sure that there are individual measures that we all believe we could grant more, but in the balance between what we have made room for in this budget, and how much more we get in terms of new measures and reinforcements of climate action, I believe we have done a good job. There was a dissatisfaction in the previous government, too. I remember a statement from Kristin Halvorsen, who said, "Look what we have to deal with, with reference to the Minister of Oil and Energy, Borten Moe of the Center Party." I guess that shows that it was a little bit difficult. I see cooperation between an oil and energy minister and a climate minister who is particularly good, and which we now see doing important strategic action, not least for the renewable effort in Norway. The fact that we have now prepared and implemented two new cables for Europe does not just mean that we are helping to reduce CO2 emissions in Europe, it also helps to make the framework conditions for the renewable sector more predictable in the future, and we can get more investment in Norway.
ParlaMint-NO_2014-10-22.ana.ud143e557	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e560	The representative of Trine Skei Grande addressed the cooperation agreement, and it has been carefully pointed out that both the climate and the social profile are going to be a topic that is being raised in the negotiations we are about to enter into. But another field that we have in common in the cooperation agreement, which I know the Prime Minister fully agrees with the Christian People's Party, and which one wants to strengthen, that is the volunteer. That's why we thought it was a little strange that in the draft budget there was a number of cuts to non-governmental organisations. I can't mention everyone, but it's at least cut to Operation Dagswerk, cut to MOT, which is an organisation working against bullying, cut to a number of non-governmental organisations that work through the info support, cut to various environmental organisations, cut to 4H, cut to the study associations, etc. When does the government deliver the announced promise for better conditions for non-governmental organisations?
ParlaMint-NO_2014-10-22.ana.ud143e569	In the draft budget there are several important promises. One of them is the change in the key, which actually contributes both to some non-governmental organisations and to sport with funding in the future. It's a big boost with a big financial framework. In addition, we increase the appropriations for the other VAT compensation schemes. Then there are some changes that are made in the individual budgets, but when you mention, for example, The operation Dagsverk – and I see that I have been challenged by what was former Operation Dagsverk-leader – I want to say that we have not allocated any money from the info support yet. Therefore, it is not that some organizations can say that they have had a cut, or that someone else has got a cut. We've said that the money we spend on assistance, we're going to spend primarily in developing countries. We're going to use them to provide health, education and other things, not to hire people in Norway. But still it'll be 60 million. kr – two thirds of what has been allocated before – and it must be pointed out. Then it depends on how good the purpose is. Some organisations may be at risk of getting bigger cuts, and some may be left uncut at the end when the money is distributed.
ParlaMint-NO_2014-10-22.ana.ud143e576	Rasmus Hansson – to the last follow-up question.
ParlaMint-NO_2014-10-22.ana.ud143e579	The Prime Minister repeats over and over again that, especially in the climate, the state budget delivers a lot, and we all hope that she is right about it. The problem is to try to figure out whether or not to verify such a claim. For example, the representative Skei Grande took cut off fuel charges, cut off car charges, etc. of 1.3 billion. kr in the transport sector. What has marked the transport sector in recent years is that the emissions that have increased, despite the fact that the current Prime Minister is not the first Prime Minister who has claimed to cut emissions. They've increased by 10 pst. since 2000. So the question to the Prime Minister is, can she now give some figures for what should be the climate impact, both of the tax cuts on cars and other things and of other measures in the transport sector? What emission cuts will we see in this sector that verify the claim that this is such a strong climate budget?
ParlaMint-NO_2014-10-22.ana.ud143e586	It is not possible to go in and assess each, but it is clear that for every time – and TØI has also said – people buy a new car in Norway, emissions are falling. This means that if more people buy new cars in Norway, the emissions will be lower. So you could say that it would be even less emissions if we had had other taxes, depending on which new cars people bought, and that's what we've said, that we're going to bring the whole conversion and implementation of the car tax system into the revised national budget next year. It is announced earlier and has been agreed in Stortinget that it will come at that time. So renewal of the car park means less emissions. We probably have the potential to get even smaller emissions, but we're not there. So we've said that one of the important things we do in the field of transport is that we now provide a better collective offer by purchasing far more than what was planned for train equipment, so that trains can travel more often on the rails we have today. And then we're going to be 5 billion. kr in front of the escalation to be carried out on railway investments, in connection with the national transport plan. That's what's been added over the last two years. [[President clubs]] There is significantly greater implementation of trains than, for example: is on the road within this area. [[The President Clubs Again]] It won't work next year, but it'll work when it's done.
ParlaMint-NO_2014-10-22.ana.ud143e594	It's all over. Let's go to the next main question.
ParlaMint-NO_2014-10-22.ana.ud143e597	The government saves 590 million. kr on the conversion of the child supplement for the disabled. It's a solid contribution from those who have the least, to Erna Solberg's tax party for those who have the most. We've heard some stories over the past few weeks that have touched many: Camilla Stensletten from Hordaland, who asked the Prime Minister where she's going to live with her two-year-old. Stine, single mother of a 9-year-old girl, asked me to raise the same question with the Prime Minister during the previous party leader debate. These are parents who are afraid of the future. They can't work, and they see that the prime minister's policy is going to go out on their children. And when we ask the Prime Minister what she will do to prevent these children from getting a tougher everyday life, we get talks on the workline. I know the Prime Minister is satisfied with the state budget, but she too must admit that it is not going to get someone who is lame, to start walking. No one is going to get up from the wheelchair because of this state budget, no chronic diseases are going to be cured because of this state budget. And the government needs to understand that it feels like – and is – terribly unfair that parents who cannot work are going to dramatically reduce their income. And the losers will be the most vulnerable – the children. My question to the Prime Minister is therefore: Does the Prime Minister agree that the removal of the child supplement will mean that even parents who cannot work for health reasons will lose up to NOK 28 000 per year? And: Does the Prime Minister think this is cut off for caregivers who cannot work will lead to a better or a more difficult everyday life for their children?
ParlaMint-NO_2014-10-22.ana.ud143e608	Let me start by commenting on the opening presentation: so next year, we won't save one penny to finance any taxes on the conversion of the children's supplement. On the contrary, we're going to spend 600 million. kr more on the disability judgments, both the conversion that is a consequence of what was adopted in 2011 and the protective measures proposed by that government, so that the consequences for those who have an apartment of their own who have a loan to pay will not be so great in the first years. It's because we've seen that the proposal that the previous government has promoted for the Storting has a dramatic impact on some of those who have a high debt burden, we're making sure that transition gets better. Yes, we're making a diabolical addition instead of a need-tested addition, and then there are some dilemmas. And it's not like everyone sitting in a wheelchair can't work – I think that's an underestimation of people sitting in a wheelchair. A lot of people sitting in a wheelchair, wanting to be out of work, so we don't have to have it as a starting point. This is actually some of what we're going to do to better facilitate, to make sure that we use the measures we have, in a better way to make sure that even more of them can use that force. Then I would like to say: This is of course difficult, and I do not underestimate that there are some people who get it more difficult – both with what a unanimous magnification has done, in the conversion of the disability benefit, and with what is associated with the child supplement. But if we believe that the long-term job for fewer people to fall out of, for more children not to be poor, is to ensure a link with the world of work, then we have to make sure that it is not unprofitable to work, and that is a challenge today. That shows the example I mentioned earlier: if you have four children and you work 40 pst, you will go up to 100 pst. losing almost 70 000 kroner.
ParlaMint-NO_2014-10-22.ana.ud143e617	It's not a line of work that characterizes this budget – it's an inheritance line. It's worth inheriting, it's the message from the government. Those who live on inheritance and large interest income will get more, and those who have the least will get less. The government's message is that the rich have good of getting more, while the poor have good of getting less. It's top-class morality. I record that the Prime Minister has problems in admitting and saying clearly that it is that many who cannot work are going to be poorer. Therefore, I would like to ask my question once again: Can the Prime Minister state clearly that the removal – or change – of the child supplement will mean that even parents who for health reasons are unable to work will lose a substantial part of their social security, and does the Prime Minister believe that this cut, for caregivers who cannot work, will lead to a better or more difficult everyday life for their children?
ParlaMint-NO_2014-10-22.ana.ud143e628	As shown in the VG today, next year there are some of those who are on disability, who are going to get better out with the changes that are being made, and some are going to get worse out. Yes, there will be some people who come out worse financially because there are no child supplements, and because the debt rate is getting less deductions, which the representative Lysbakken has also agreed and voted in favour of in Stortinget. These are measures that help some people to get worse, while others are going to get better. I'm not underestimating that challenge, but at the same time the government is doing a lot in other areas. When we make sure to differentiate child care prices from the next harvest, that means that those with the lowest income will have less costs associated with it. When we make sure that the scholarships are increased for the students with the lowest incomes, that means that the same groups will be able to experience that their children in high school will receive better scholarships than they have had in the past. We believe that this is the way to go to help those with the lowest incomes – not to create the mistakes that make it pay off for people to work.
ParlaMint-NO_2014-10-22.ana.ud143e639	It opens for follow-up questions - first Snorre Serigstad Valen.
ParlaMint-NO_2014-10-22.ana.ud143e642	It is fascinating to hear how many different policy areas and actions the Prime Minister is willing to talk about in order not to answer a simple question. It has been the review tone from the Right in both weeks since the government budget was presented. The right will not deal with the reality of its own proposal. Because of the fear that some theoretically can get more in social security than if they were in work — given that they are really able to work — Right implements a cut that affects all children of dependants who receive the child supplement. I ask the question once again, because I expect a clear answer – not about other things, but about this: Does the Prime Minister agree that the cut in the child supplement will mean that even caregivers who for health reasons cannot work will lose significant parts of their income, and will this cut off for dependants who for health reasons cannot work, lead to a better or more difficult everyday life for the children?
ParlaMint-NO_2014-10-22.ana.ud143e649	I encourage Snorre Serigstad Valen to read the minutes afterwards, because then he will see that in my two previous answers I have answered: Yes, for some will of course mean less revenue – just as the other misalignment, which Snorre Serigstad Valen has agreed to vote for, will result in some unqualified people getting less money in the years to come. This is why it is important to do what a former female prime minister in Norway said was important: to see that everything is related. I mean, everything is related to everything. If we're not going to solve everything in the social security area, we have to find the other areas, so we can help families with poor advice. We do that when we have lower prices in kindergartens, when we provide them with more scholarships with the lowest incomes. There is just the kind of direct grant that the Brochmann Committee believes is more right than making the difference between being in the job and not being in the job even higher. It's a challenge, I think, if it doesn't pay to work, for groups that can work. There are some groups that can't work at all, but the way the disability is put up, it's almost impossible to separate them out.
ParlaMint-NO_2014-10-22.ana.ud143e658	Lise Christoffersen – to follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e661	It is to the extent of progress that the Prime Minister now actually admits that the line of work cannot be for everyone, but there are still clear answers to what one wants to do for them. But let's go to those who are disabled today because no one will let them go. I asked a question to Minister of State Jan Tore Sanner in the Question Time last week, without getting an answer to that question, and therefore I could imagine repeating it and addressing it to the Prime Minister: What action plan does the government have to ensure that countries and municipalities, such as employers, employ more people with disabilities, and how many are realistic or reasonable that the public can offer a job, in line with the workline?
ParlaMint-NO_2014-10-22.ana.ud143e670	I don't have an estimate of how many there are, because I haven't seen any numbers on that. It is possible that they exist, but there is not all the details even a detailed prime minister can answer. But I believe that this is a great potential for the state to employ more people, and I believe it is a great potential for municipalities to employ more people. I have made a broad appeal to the labour market, and I have seen that several companies do so, by setting up posts and working with the labour market authorities, Nav, to receive people who may need places of practice – a first entry into the labour market – or a permanent job with some support functions in the future. An important part of the message we come with is how we also ensure that the whole instrument of action is better able to do what we said was an important goal of the Nav system, namely to have a run around the individual, so that we help more people get into work. However, there is a potential, both for municipalities and the state, to contribute to both practical areas and places that allow you to work in combination, for example. between unemployment benefits and exclusion from the labour market.
ParlaMint-NO_2014-10-22.ana.ud143e680	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e683	In today's Business yesterday we could read that the representative Arve Kambe, from the Right, said that the government has given the companies "all they have asked for". It was a kind of reverse echo from the Workers' Party, which was out in the same paper two years ago and said they had given LO everything they had asked for. One pointed to four points that the companies had asked for. Three of them, in my opinion, were very reasonable. It is about the liberalisation of labour law, it is about tax cuts, and it is about the promotion of culture and knowledge. But then there was a fourth point that the companies had apparently asked for: cut in the children's supplement to them. I wonder if the Prime Minister can confirm that this has been a wish from business. In this case, the Left and the Right have had very different meetings with the business community lately.
ParlaMint-NO_2014-10-22.ana.ud143e690	I cannot say that detailed measures have been high on the list, but follow-up to the work line has been high on the list – as a wish from business organisations to both mobilise enough labour in the future and ensure sustainability of expenditure in the future. This was part of the big issue a few years ago, when the NHO held a conference on the sustainability of our welfare system. Among other things, it was a fact that for some groups it would not pay to take out the residual labour they had, to be able to work, or that it would be harder to come back after a period when you had been outside because you had been sick. Luckily, it is that of some diseases, such as alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, alcohol, Even if you've been sick for a while, it's to be able to come back when you start getting well, which is one of the most important things we can do.
ParlaMint-NO_2014-10-22.ana.ud143e699	Let's go to the last main question.
ParlaMint-NO_2014-10-22.ana.ud143e702	In June, the Prime Minister and I had an inter-pelling debate here in the Chamber on employment policy, on the importance of continuing to have the ambition to have Europe's lowest unemployment rate, and on the importance of taking action to achieve that goal. Now we see, among other things: that the supplier industry is an industry facing major challenges, and in the state budget, government is tracking some increase in unemployment until next year. The question of how to meet those challenges was the main theme of that debate. What we are seeing is a government that still has doubts about a law on permitting which means that many people who had not had to be laid off are today being laid off, which the social partners – employers and employees – agree on. We see that the government is proposing a reduced level of action in a situation where unemployment seems to increase. We see that the government cuts unemployment rates for those who become unemployed, and we see cutbacks in business schemes, in Innovation Norway, in regional and development funds that are meant to create new jobs. Then I could imagine going back to a question that was asked earlier in the Questionnaire, which concerns the VAT limit in online commerce. There has been no lack of clear signals to the government that this should not be done, because it is going to lead to increased unemployment. This concerns Complete.no, which was mentioned in the previous question. In today's Evening Post, the group manager of Complete.no Ole Vinje says that this must lead to increased unemployment. The founder in his time of the same enterprise, Eric Sandtrø, signed out of the Right on the day the budget was presented, and the unknown Steinar Olsen in the good enterprise Stormberg in Kristiansand warns against exactly the same thing. This is not a saving measure, this is a measure on which the government spends money – the government spends 180 million. I want people to lose their jobs. Then my question becomes to the Prime Minister: Is there any money spent?
ParlaMint-NO_2014-10-22.ana.ud143e713	Every time we introduce more competition in an area, there will be some who argue that this means fewer jobs where they sit. We always have to remember that. Those debates go on every single time. I want to start with the introduction to the question, as regards the situation in the oil and gas industry. What we see is a lot of announcements about cancellations. There is no reason to say that those cancellations would have been halted by another permitting legislation if this had only been short-term. I would like to remind you that what the state is paying for today is the first 20 days, measured against the daily allowance level. The recruitment cost of a new employee is estimated by the agency to be up to half a million kroner. It is basically very irrational companies if they believe that there are jobs in half a year or one year for this labour force, and then they cancel to save perhaps 50,000 or 100,000 kroner to get an extra cost of 500,000 kroner later. I don't think it's like that. What the government has said about the law on permitting is that we should keep track of developments. If we see that evolution is that we're actually going to make changes, we'll do as we've done before. All governments have experienced that the legislation on permitting is also being used as a cyclical management code, and we will do so. But so far, the figures show that most of those who have been laid off and gone out have actually been sucked up by others who need the labour force. We're going from a level where this was an overheating labour market to a little more normalized. The government is open to making changes to the permit rules when we see evidence that this is a major challenge, but I assume that one makes a little sense when assessing costs in Norwegian business.
ParlaMint-NO_2014-10-22.ana.ud143e722	It is true that the legislation on permitting has sometimes changed, but it has been changed to be more favourable in bad times. So now it's worse when we meet the counterground. We'll get back to that. I don't want to let go of the prime minister on the issue of online commerce, which I think she's been getting too easily away from so far. What the prime minister now says, is that yes, when there is more competition, there is someone who loses. The government's choice is against clear warnings from those in the industry – I heard the Prime Minister say they had not checked the employment impact of the measure – but now they have at least been informed. What the government is also doing is subsidising jobs and enterprises abroad at the expense of jobs in Norway, rather than as a saving measure – no, they spend 180 million. kr in order to give Norwegian companies less competition than those with which they compete abroad. Then I repeat the question: Is there any money spent?
ParlaMint-NO_2014-10-22.ana.ud143e729	First of all, it means that we make it simpler and cheaper for Norwegian consumers. That's the majority of the Norwegian population. We must not forget that consumers also exist in this context, and that is a simplification. I disagree that this is a dramatic proposal. Just because we're charging this, this is an adjustment that's far less than a normal adjustment just for the rise in prices over the years since the introduction of this threshold would be.
ParlaMint-NO_2014-10-22.ana.ud143e734	For time reasons, the President will now give access to one supplementary question. - Anette Trettebergstuen.
ParlaMint-NO_2014-10-22.ana.ud143e737	The government's approach to changing the legislation on leave led to protests from an overall employee side and an overall employers' side – precisely because there is a measure that leads to more redundancies at a time of increased unemployment. It's pouring gasoline on the fire. I also heard the Prime Minister repeat what was said at the presentation of the budget, that the legislation had to be assessed in line with the economic cycle. Business has warned that they were going to cancel people instead of permitting. And people are now being told up. Storesund Marine and Rosenberg in Rogaland, Hammerfest Industrial service, Westcon Yards in Ølen, NorDan in Hedmark – the list is long, the time here is short. Where does the pain actually go? How many companies are going to quit people, lose competence? How many jobs will be created before the Prime Minister is willing to assess the legislation?
ParlaMint-NO_2014-10-22.ana.ud143e744	Permitting rules are designed in such a way that they are simple to do if we see that there will be a major challenge in some sectors, for example, or overall in the economy. It is easy to make changes. We haven't seen it. Well, we see redundancies, and it's incredibly difficult for those who experience it, but we also see that most of that workforce is sucked up by other companies very quickly. Now we're going to follow developments in the last cancellations, and see if what we've seen so far changes in the future. Back to the question of maintaining competence: if there is a short-term need to permit and you choose to cancel people instead, it is a very short-term idea for a company where the cost of new recruiting is going to be much higher than the costs they save by the state paying for a few more days than it does today. I assume that this is a rational assessment. Many of the redundancies are due to the fact that you do not have a horizon in the future – where the company sees that there are jobs that make it natural to keep labour – not even in the long term.
ParlaMint-NO_2014-10-22.ana.ud143e752	So the time for the oral questioning is running out.
ParlaMint-NO_2014-10-22.ana.ud143e763	There will be some changes to the configured question list. In this context, the President refers to the electronic question list. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative of Marianne Aasen to the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and Relations with the EU, has been transferred to the Minister for Industry, which is responsible for this matter. At the request of the Minister of Industry, this question is moved and answered in response to question 8, to be answered by the same Council of State. Questions 5 and 6 from the representative Marit Nybakk to the Minister for Foreign Affairs have to be postponed until the next Question Time, when the Minister for Foreign Affairs has left. Question 7, from the representative Jan Bøhler to the Minister for Foreign Affairs, will be answered by the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and Relations with the EU, on behalf of the Minister for Foreign Affairs, who has left. Question 8, from the representative Odd Omland to the Minister for Fisheries, will be answered by the Minister for Industry on behalf of the Minister for Fisheries, who has left. Question 12, from the representative Karin Andersen to the Minister of Justice and Defence, has been withdrawn. Question 13, from the representative of Kirsti Bergstø to the Minister for Defence, is, at the request of the Minister for Defence, moved and answered for question 4. The question will be addressed by the representative of Ingunn Gjerstad.
ParlaMint-NO_2014-10-22.ana.ud143e786	I allow myself to ask the Minister at the Office of the Prime Minister for the Coordination of EEA Affairs and Relations with the EU the following questions: ‘Destruction of border barriers and measures to avoid the emergence of new barriers are a priority area of Nordic cooperation. However, experience shows that different implementation of EU legislation in the Nordic countries leads to new border barriers. What procedures has the government set up to ensure that different implementations of EU legislation do not create new frontier barriers?’
ParlaMint-NO_2014-10-22.ana.ud143e795	The government prioritises Nordic cooperation, including cross-border work, high. Within the framework of government cooperation and the Nordic Council of Ministers, for which Minister of Cooperation Elisabeth Aspaker is responsible, it is actively working to reduce border barriers. The strategy of 2013 is followed up by the individual Councils of Ministers and a new Border Barrier Council has been established, with Norwegian representative Svein Ludvigsen, to follow up and resolve a given number of border barriers each year. The strategy also has a chapter on the introduction of new EU legislation. In this context, it is noted that there is a risk that implementation is not uniform and that, therefore, there are unintended border barriers between the Nordic countries. It is therefore important to step up efforts to ensure uniform implementation in areas where cross-border barriers may arise between countries. In addition to the follow-up to the strategy, a closer coordination of Nordic positions in future EU acts and those under review is already under way today. Nordic cooperation is much of the core of our European work, and it is a cooperation we are intensifying. In concrete terms, this means that we are discussing the implementation of EEA-relevant EU legislation between countries. We are trying to agree on how a given act should be introduced into national law and try to ensure adequate dialogue at the level of office for that purpose. This is a matter that is followed up through both formal channels and informal Nordic networks. We also discuss the implementation and enforcement of EU legislation through working groups in EFTA and in the EU. Ensuring equal treatment of legislation is seen at European level as an important instrument for improving the functionality of the internal market. We also have a good dialogue with the EFTA Surveillance Authority to ensure timely and correct implementation of EEA-relevant EU legislation.
ParlaMint-NO_2014-10-22.ana.ud143e806	I thank you for the answer, which probably didn't go into so much detail just how to coordinate and work together. I understand that the ambition is that there is contact both at the level of office and at the level of politics. Is there so much experience that can tell us if you succeed? If you find that you have implemented ways that are unforeseen to create new barriers, is there any reason why cooperation and coordination are too poor, or are there any real issues that lie in the different laws and regulations of the countries?
ParlaMint-NO_2014-10-22.ana.ud143e811	I believe that all the points raised by the representative, Mr Hansen, are relevant. It is clear that the relationship between the Nordic countries is closer than with any other country. We have a great deal of cross-border activity between our countries, and an unintended and unwanted, but nevertheless natural, consequence of that is that we get things of this kind. The important thing then is that we give priority to getting hold of them and finding solutions. We have started a work on the Norwegian side to integrate the management guidelines on EEA matters into the investigation manual. It is an important objective in which, in the evaluation and implementation of new EEA legislation, we shall also identify the needs for the most consistent practices in the Nordic countries. That means that we need to work more closely with our Nordic friends.
ParlaMint-NO_2014-10-22.ana.ud143e816	It is possible that it is a little early to gain experience, so let me just end by asking if the Council of State feels that the commitment to avoiding new frontier barriers through different implementations is as strong in the other Nordic countries as the Council of State indicates that we are engaged in.
ParlaMint-NO_2014-10-22.ana.ud143e821	The Nordic EU Member States, like Norway, are concerned about the proper functioning of the internal market and are among the countries most concerned. That is why this is also a country that has an agreement that we must build down frontier barriers. One of the innovations we are now adding is a permanent Nordic European Ministerial Meeting. We're going to have it for the first time in Stockholm next week. There we will have the opportunity to discuss these kinds of issues, including at political level, in order to make it clear that it is a priority that the internal market should function better, and that these frontier barriers, which we all agree on is a problem, should be built down in the Nordic region.
ParlaMint-NO_2014-10-22.ana.ud143e826	Question 2 is moved and dealt with according to question 8 because the questions have been transferred to the Minister of Industry who is directing him. The size then goes to question 3.
