ParlaMint-NO_2014-12-03.ana.ud105e26	The representative, Mr Andersen Eide, will put forward a proposal for a representative.
ParlaMint-NO_2014-12-03.ana.ud105e424	Yes, they would mean something. They were supposed to mean that they no longer, as before, focused on the fact that those of the children who had been here for a long time were to be sent out quickly, but that priority should continue to be given to sending out children. This does not mean that no long-term children would be sent out, but that means that the special focus that it had set up in the past was removed. It was in itself a decision that the government and the Minister of Justice made on their own, but we thought it was a right decision because we were going to have a one-off solution in place and a permanent arrangement and a new regulation in place. I believe that if it turns out that the false priority signals sent out by the Police Directorate have actually led to implementation, it is completely contrary to what has been the government's intentions and the government's steering signals out. There was therefore also good reason why the Minister of Justice yesterday regretted what had happened to Stortinget. I believe that there is good reason why the Directorate of Police and the Ministry of Justice are looking well through the routines they now have, to ensure that the clear and clear political signals sent out actually lead to implementation. Whether the error instructions given by the Police Directorate have been the most governing, or whether the governance dialogue between the Police Directorate and the Foreign Affairs Department has been given other governance signals, we do not know until we have actually seen the review that they are now required to provide to the Minister of Justice.
ParlaMint-NO_2014-12-03.ana.ud105e435	I'm glad the Prime Minister is so ready. What made the Left concerned about yesterday's day was that the Minister of Justice's report was lamented from Stortinget's pulpit – one of the clearest regrets I've seen in this room – the police director talks as if this was just a little reading slip from one of the employees. He said to the evening post yesterday: ‘It looks as if there has been a human error. Some better explanation than that I don't have. Now we're going to go into this thoroughly, and see if it's had any consequences." The police director said several times yesterday as if this was just a minor reading error, this was not something that was going to have any political consequences, and he saw no reason to change anything in practice today as to how he exercised his leadership, given that his superior had to stand and complain about a mistake in a letter of assignment earlier in the day. I haven't seen anyone give such a clear reprimand down the system that has gone so little into a police director. So I wonder if the Prime Minister has any comments on the statements made by the police director after the Minister of Justice had been in this room.
ParlaMint-NO_2014-12-03.ana.ud105e449	I understand that the police director believes that the other dialogue has made the political signals clear. We've asked him to document that, that's the review they're going to have to do, because we believe that the signals that we give politically through the letter of assignment to the Police Directorate are actually going to go into the outer paragraphs. It's a completely natural management instruction, and it's quite natural that this should happen. Then we'll have to wait and see if there's a need for change in practice. However, practice has been made clear by the Minister of Justice to the Directorate of Police; it is the letter of assignment sent, which is to be followed by all parts of the foreign administration from prompt — to put it that way — yesterday.
ParlaMint-NO_2014-12-03.ana.ud105e454	There will be follow-up questions – first André N. Skkelstad.
ParlaMint-NO_2014-12-03.ana.ud105e457	As regards the letter of award, which has also been mentioned earlier in this debate, Humlegård replied yesterday: ‘It was clarified that this was important. But it's not just this letter of assignment that we're dealing with. There are several ways to obtain information, and we follow the political leaders who come from the government.’ This is interesting precisely as regards what has been a bit of the debate until now, namely that political decisions are clearly being ignored. I then ask the Prime Minister the following questions: are the consequences of this for asylum-seekers quite clear and have emerged in the past, but will this also have consequences for those who have interpreted these decisions in a way that they should not have been interpreted?
ParlaMint-NO_2014-12-03.ana.ud105e467	I think that in this situation, it's nice to wait until you get the investigation from the police director on the table, who might also explain his own statements to the media about whether or not there is a record of having followed the political guidance signals given. Before that, I think it would be very unnatural to comment, from the Stockholm pulpit, on the implications of actions taken in the Police Directorate.
ParlaMint-NO_2014-12-03.ana.ud105e473	Helga Pedersen – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e476	A very central theme after the Gjørv Commission was that it does not keep taking political decisions and giving instructions. And a conclusion on which there was a broad political consensus afterwards was that there is a need to develop the culture of governance and implementation of political decisions. In particular, the Prime Minister himself has made ‘implementation and action’ a very central issue. Then my question is: Does the government have governance with underlying agencies in the foreign field, and can we be absolutely sure that other important issues in the field of justice, such as: on standby, do not miss?
ParlaMint-NO_2014-12-03.ana.ud105e483	We closely follow developments and follow-up that take place in many fields. We follow closely in the field of preparedness, and we closely follow up on how progress is. I believe that it is an example of poor management when one has not managed to take the political guidance signals that have come to a directorate in writing, and carry them on in the pen. This means that they have to go through their routines – and that's what the Police Directorate and the Ministry of Justice have said they will do – to follow up on just this. But I do not think that on the basis of this case there is any reason to assume that you do not have a good overview or good control over, for example. the emergency questions.
ParlaMint-NO_2014-12-03.ana.ud105e492	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e495	It is quite right that the representative of Skei Grande mentioned that the undersigned addressed this matter in the debate on the throne. The Prime Minister then assured me that the government was working on a bomb – I think it was the expression that was used – to get a new regulation in place. Then we are told that we have a police director who, at least, is unable to follow in the political debate that we have had on this in several times this autumn. I think that's an ominous signal. And if it's the case that the other governance dialogue supports the fact that it's business as usual, it's also an ominous signal to the Minister of Justice, because then it's given different signals than what was given in the instructions in this case. But we're waiting for this. My question is, since the Prime Minister now said that she wants this regulation in place before Christmas, we in the Christian People's Party interpret it so that we will have an agreement on this regulation within 14 days.
ParlaMint-NO_2014-12-03.ana.ud105e502	Consensus within 14 days requires agreement, and the challenge is then to be sure that we have made the plank, as this, as the representative knows, is a difficult legal area to tackle completely. Then we're going to have assurances that we won't come back in the same situation as last time, when we sent a proposal at the hearing and realized that it was going to be a liberalisation, while it was interpreted by others as actually being a tightening, which was contrary to the intention of all four contractors at that time. It's important that we don't get back into that situation. That's where we're in the final job, to make sure that we've put the right leads that make us get a regulation that combines it with making the best of the children clearer. It must be a liberalisation. At the same time, there should not be a barge that allows anyone who prevents, who does not want to cooperate, to speculate on staying in Norway in the future. We're looking for that balance sheet. We have an intention to figure that out together. If we can find it before Christmas, it will be a good Christmas presage for many.
ParlaMint-NO_2014-12-03.ana.ud105e509	Karin Andersen – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e512	Yes, there are some of the kids who had needed the Christmas press, who aren't going to get it, because the government has opposed putting matters at rest. At the latest in the debate on the throne, the Prime Minister showed the sea of these changes in the letter of assignment as a justification for saying no to the SV’s proposal. We had the numbers that showed that only in September there were 130 long-term children who had been sent out to dangerous countries like Afghanistan. Now we have the truth. The police show that they have not followed up or care about the leads in the letter of assignment. But they do take political signals, said the Minister of Justice yesterday and in Political Quarter today. The political signals he's been sending out in the last few days are that he didn't intend to empty the warehouse, that is, an arrogant and degrading mention of the asylum-seekers. It's probably the way that it's full of it, the mouth runs over it. Those signals, I think, are more than the police director who's picked up. Will the Prime Minister complain about the Minister of Justice's use of words?
ParlaMint-NO_2014-12-03.ana.ud105e521	I would not use the word ‘storage’ about the fact that there are many children who want a new future in Norway but who do not meet the requirements for protection in Norway or have parents who do not meet these requirements. But I would like to say that it is not the case that the governance dialogue between the Minister of Justice and the Police Directorate, which was also mentioned, contained anything other than the written, clear priority. The question we are getting back is whether the practice has been in line with the political signals of the Police Foreign Unit, in relation to what the police director now says in the media that it has been in line with the guidance signals that have come through the letter of assignment. When we have said that we do not put matters at risk, that means that we should also send out children. It is stated in the guidelines, but a smaller proportion of those sent out today are children than the proportion sent out in the years 2011–2013.
ParlaMint-NO_2014-12-03.ana.ud105e526	Let's move on to the next main question.
ParlaMint-NO_2014-12-03.ana.ud105e529	‘In the coming years, the government will work to strengthen mental health. It's not good enough today. It has to be easier to get help." Those are wise words – fine dialect – but those are not my words. Those are words from the Prime Minister's first New Year's Eve. In the last few weeks and months, I have – and many others on Stortinget, I think – received a flood of letters and enquiries from patients and relatives that show that unfortunately the reality is different. Many of those who are sickest, who labor the most, experience that the aid within psychiatry is being built down. The government chose earlier this year to bless the closure of the trauma unit in Bodø. Other offers should be in place, said the Minister of Health, but now, when the closure is completed, it turns out that this is not the case. Relatives and former patients doubt the situation. In the wake of the closure in Bodø, the closing of the supply of anxiety and coercive diseases at East Marka in Trondheim and by the Russian and Psychiatric posts at UNN in Tromsø is now under discussion. The reasons for these closure proposals are not professional, they are justified by lack of money. I quote trust-chosen for mental health protection at St. Olav's hospital, which says to NRK: ‘This is happening in the context of a lack of economy to continue to maintain the offer that has had a huge success, far beyond our own region.’ What would the Prime Minister say to seriously ill people and relatives who are now in despair that specialised services in the field of psychiatry are being dropped, contrary to the promises of improvement made by the Prime Minister?
ParlaMint-NO_2014-12-03.ana.ud105e548	I think we have a mental health protection that is improving. We're looking at the waiting times. For example, during the first eight months of the year, there has been a greater reduction in waiting times for patients in mental health protection and drug treatment compared to, for example, Somatic. It shows that the priority of drugs and mental health protection, as we do through the Golden Rule, works. Annual work on mental health protection for adults decreased from 2011 to 2013. We hope to see that it goes up according to the priorities we do. There are conversions of the offer. There is no doubt that we need to build up a better outpatient offer. We need to have more resources out. Some of the new, really good follow-up offers are those that give more follow-up at home, set up for good luck. But there has to be a balance between these types of offers. To conclude that there is a reduction because it is conversion and change, I think it is very premature, because there are also many new, good projects, for example. in the case of the Åse patient hotel in Ålesund, the number of patients with severe psychiatric illness who have previously received daily treatment after, for example: Suicide attempts, and now an offer is given where a visiting team from the hospital helps them at home. They tell me myself when I meet them as patients, that this is a much better offer than they've been given before. They get better psychiatric help, more frequent interviews with professionals, than they did before. The switch to a better, more home-based offer will mean re-priorities, where some of the old offers will not be continued. This does not mean that the quality of mental health protection is getting worse. On the contrary, it's normalizing mental problems, being able to be the best in the usual environment, very positive and will probably be able to deliver better treatment results than what we have in the psychiatry today.
ParlaMint-NO_2014-12-03.ana.ud105e559	I think the Prime Minister's announcement that the psychiatry is improving will be very badly welcomed by many of the relatives who now feel that their offer is getting worse. Take, for example: a mother who wrote about the situation on East Marka in Dagbladet on Friday. She writes, "My son finally got help. Now the offer is being put down." It is hardly seen as improvement. I agree with the Prime Minister that, of course, it is not that day-to-day treatment itself is better than day-to-day treatment. In many cases, the new daily services can be an improvement. But what is happening in Tromsø and in Trondheim now is the reduction of highly specialised daily services, among other things. to patients who have combinations of intoxication and mental illness, justified in economic terms, not on the grounds that patients should receive a better offer. Then my question is: does the Prime Minister hear the cry now coming from parts of the country that development is going too far, and will she do anything to stop the closures of the important offers in Trondheim and Tromsø?
ParlaMint-NO_2014-12-03.ana.ud105e568	We will always follow up on whether what is one of our most important policy areas, namely raising mental health protection, also being a priority within health businesses, is given priority in the way we build interaction between municipalities and health businesses, but not going in and saying that we should review at the professional level what are the best offers. It is certain that all health businesses would have had both the new and the old, but it may be that the new offers are better, and then we have to say that there is a professional judgement in health companies about what is the best combination for the patient groups they have. We know that if 30 pst. by those admitted to 24-hour care had received help earlier, they had released that accommodation. That's why it's a very clear and clear priority for this government to build up both what's happening in the municipalities, and what's happening out of the hospital, and to think new, where one doesn't move everyone who has mental problems out of their everyday lives, but gives the help in their everyday lives. And I think that'll be easier. It'll be easier for families with mental disorders, because helping the whole family is also very important, and it'll be easier if you're in a normal situation than if you're in an institution.
ParlaMint-NO_2014-12-03.ana.ud105e573	It opens up for follow-up questions – first Karin Andersen.
ParlaMint-NO_2014-12-03.ana.ud105e576	No one disagrees that it is necessary to build up better prevention and early responses and to have better follow-up afterwards. The problem here is that some of the most ill people have to wait too long to get into the hospital, and that they are discharged prematurely, so they get sick again and cleaned up. Here the prime minister talks about the family, and of course it's good for those who are not very ill to be able to work in the everyday situation, but the problem here is that this method pushes the responsibility down on the families, down on the neighborhood, where these patients don't get needed help, because they need much more help than they get today. The SINTEF report, published on 11 November, shows, among other things: at 7 pst. outpatients need a 24-hour period. Every fourth stands without delay, and these are people who get very sick. Will the Prime Minister take account of these professional councils and not just the financial ones?
ParlaMint-NO_2014-12-03.ana.ud105e583	I assume that health businesses within the framework we have make professional priorities, and the priority they have that manage resources, is that growth should be greater in the field of mental health protection in the specialist health service than in the field of somatic care. With a budget that actually increases the growth of treatment, health enterprises must have the clear governance parameter. Then is the example I mentioned from Åse in Ålesund. I have also sat and talked to relatives who believe that this was much better than the times they had experienced that Dad disappeared for a few weeks and was gone and then came back again, but where there was a continuous follow-up and the family could be united. There's a lot of new developments going on, and we're getting better quality. As I said in the previous answer, we are going to be very alert and watch out for some of the things that are our most important field of action, namely that mental health protection should be upgraded, but conversions professionally must also be possible within the specialist health service.
ParlaMint-NO_2014-12-03.ana.ud105e590	The Prime Minister talks a lot about the so-called golden rule. It has been practiced in the manner described by the Prime Minister for a number of years. The only argument she has for not being like that is that the number of employees went down one year. It's turning open the doors. But I want to go back to that prime minister now, because I want to look at how the biggest university hospital in North Norway looks at government spending on Russians and psychiatry. That's where they're going to cut $170 million. kr next year. 70 million. kr of it is correct from 2014, but it is 100 million. kr directly related to the budget. The Director writes open on the website: ‘It is given political leadership that psychiatry and intoxication should grow more than the somatic part. A slightly smaller reduction in drug use and psychiatry is therefore planned than in somatic settings. [[2.4 %]] [[2,6 %]] What does the Prime Minister think of such a way of interpreting the golden rule?
ParlaMint-NO_2014-12-03.ana.ud105e602	It is that this budget increases activities, so it increases patient treatment, and there is room to increase. How the increases are distributed between different enterprises within the different regional enterprises is the assessment of regional health enterprises. If they choose to spend more of their money on growth, other than a single hospital, it is an assessment that is made in regional health companies as long as we still have that governance model. We know that we have room to give priority to specialist health care, mental health protection, with the budget set before next year.
ParlaMint-NO_2014-12-03.ana.ud105e607	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e610	Psychologically ill people who also have a drug problem do not get the help they need in Kommune-Norway. When the specialist health service sends them back to the municipalities, the municipalities often have neither resources, competence nor a suitable home to receive the individual. Establishing housing containers is not a good solution. In that case, patients are actually isolated in their own community. The Christian People's Party is concerned that there should not be these vulnerable groups that become balancing posts in the municipal budgets. Therefore, the Christian People's Party would have liked to have earmarked these means. The government has granted 400 million. D to lowthreshold drug services and psychiatry through the free resources of municipalities. That is good, but how will the government ensure that the offer to this patient group is improved through the efforts that are now in the budget?
ParlaMint-NO_2014-12-03.ana.ud105e617	I believe that the wit is fairly evenly distributed. I believe that our municipal politicians have a warm heart and a desire to give priority to the most disadvantaged. That means I'm not the first one to applaud all the earmarked schemes, because it costs in terms of bureaucracy, control and follow-up related to it. Then we chose not to include the money into the care of the municipalities. We took them out again when this government was established, because we know that the loads are a little skewed between the municipalities, and to ensure some of the measures. But we need to have a balance between some of the broad measures between which the municipalities must make the right priorities, and some of the specialised actions that we have within the earmarked grants. We know that in many municipalities you have to struggle to get housing, you have to struggle to get good enough follow-up. But to deprive them of responsibility for it will be to go wrong. In fact, we have to believe that even someone who has mental illness and psychosis problems at the same time should be part of our usual reality and not be housed in an institution.
ParlaMint-NO_2014-12-03.ana.ud105e625	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e628	The centre party has been involved in a change in psychiatry towards more outpatient treatment, and local treatment has agreed on professional and political issues. But now there have been numerous signals that this conversion is going too far, that it is going too fast, and that it is going beyond them in particular with the most serious mental disorders. They're going between two chairs. One is that just before you have built up new offers that can be put into service, you simply build down daily spaces. And the second is that some of these people have so severe mental disorders that they don't have the same benefit of outpatient treatment, they need 24 hours. Special item 4 in the East is an example of this — a sad example. With the commitment that the Prime Minister has invested in psychiatry, the government cannot just push health businesses in front of it. They must also take political responsibility. My question is – still: What will the government do to prevent this closure of the offer in Tromsø and Trondheim? It's urgent. The east is closed from Christmas if nothing happens.
ParlaMint-NO_2014-12-03.ana.ud105e635	I think it's important to notice that e.g. Health Mid-Norway is one of the enterprises that now have a clear drop in waiting time to get offers related to the specialist health services for drug and mental health and those areas. This must indicate that they have actually built up a better offer, and that there are offers available to patients, when one sees that there is a clear reduction in waiting time, at least into the second quarter of this year. I do not think that the government should go in and decide on individual proposals and individual cases and institutions within a health company. We have to make the general demands that they have a good, varied offer, and then it has to be a professional question what you think is the most important thing in the varied offer they have. A detailed management of whether to maintain a single department, a single measure, will make the whole management system totally impossible. But the guiding signs of prioritising mental health and drug abuse are very clear from this government towards specialist health services.
ParlaMint-NO_2014-12-03.ana.ud105e642	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e645	The left and government parties share the objective of increasing treatment for those who are struggling with alcohol and mental disorders. Then the representative points to something important. Within rear-view protection e.g. it is used today approx. 4 B.C.E. kr in the specialised hospital unit, while the municipalities have approx. 1 billion. kr. It is clear that there is a severe imbalance, and it is challenging when a reduction of specialised institutions takes place while the municipalities are unable to and do not have the capacity to build up in parallel. My own municipality, Gjøvik, now promoted a municipal psychologist position and got zero applicants. It says something about how vulnerable municipalities are in terms of coordinating and building up and receiving patients when they do not have housing, do not have competence in care services to handle this. So that's the rate we're also talking about here in the conversion phase, and I'm going to challenge the prime minister on: how can we do something about that balance ratio?
ParlaMint-NO_2014-12-03.ana.ud105e650	It is important to take into account the nature of the services offered in municipalities when printing patients to other types of services. I think some of the best solutions we see are the collaboration solutions between municipalities and the specialist health service. An example is the child and youth psychiatry in South Africa, where there is a very good cooperation project between several municipalities, where Mandal has been in charge of a low-threshold admission team, and where resources from the specialist health service are used in primary health services, precisely because you need special skills, and the smallest municipalities might not have it. So they use 50 pst. of their resources in early work, in prevention, in having individual conversations — and the good cooperation solutions have been found. I think it's a very good model of how to work with several cooperation models between the state and the municipality. I think it is a better model than an interaction reform that was about sending payment giroes between municipalities and counties, that, on the contrary, these cooperation platforms are being created where you look a little beyond the administrative level limit and see the patient instead.
ParlaMint-NO_2014-12-03.ana.ud105e655	We move on to the next, and last, main questions.
ParlaMint-NO_2014-12-03.ana.ud105e658	We now see a dramatic situation related to the supplier industry. The worst hit is Rogaland, West Agder and the Prime Minister's home country, Hordaland. To date, some 7 000 employees have lost their jobs, and only 170 have been transferred. All of this indicates that this will affect many more along the coast in the future. The background to the situation is inter alia: falling oil prices, fewer contracts, less maintenance, less oil service and fewer modifications on the Norwegian base. This directly affects the supplier industry and creates unrest throughout the value chain. Politically, the situation requires an active industrial policy — a counter-cyclical policy, which can help to maintain important competences in both the short and long term, which can in turn contribute to value creation in the future. Does the government have a plan to meet this situation with measures that can be targeted and good in order to meet this challenge?
ParlaMint-NO_2014-12-03.ana.ud105e669	In a situation where the oil price has fallen and where 2013 is likely to be the top year for Norwegian oil and gas production in terms of investment, it is clear that it is challenging for the supply industry and many jobs. At the same time, we know that the case we see this year, will not necessarily repeat itself in the future. It'll surface out at a slightly lower level than what we saw in the peaks of 2012 and 2013. This will happen, among other things: because of the Johan Sverdrup field. The question of what the reactions will then be to a long-term lower oil price, if that happens, is open. We will be very alert to see if there are new measures that should be taken to help us to have a good and more stable activity. However, making projects that are not profitable with a low oil price, profitable, requires above all that industry also contributes to a lower level of development costs. But we'll always follow that development and see the effects of it. The important thing we do is what we do in our state budget, which strengthens the competitiveness of the Norwegian economy as a whole, and which facilitates the transition to new and other jobs. With regard to the jobs that are now disappearing, we do not yet see that reflected in high unemployment rates. For the time being, the redundant labour force is being sucked up. It is not certain that it happens beyond spring, but it is currently being sucked up by others who need that labour force. This is, of course, highly skilled labour, so if we have good speed on other parts of the Norwegian economy, ensure that we have framework conditions that will allow us to invest in Norwegian companies, ensure that our investment in research, development, innovation and infrastructure is good, it will contribute to a business life that will need this highly skilled workforce, and reduce the impact of lower oil activity in the Norwegian economy.
ParlaMint-NO_2014-12-03.ana.ud105e680	The Prime Minister says that there is no plan to meet this now. But I want to point out the financial crisis that struck us in 2007. Then the Stoltenberg government was very clear about bringing action packages that were targeted, and that made an important contribution to keeping the wheels going. Among other things, the yard package was such a concrete measure. I have previously challenged about the law on permitting. LO and NHO are very clear that it is one of the measures that you have to put into the situation you are in, but the Prime Minister has told you to wait and see. How many people have to be told before it's time to do something is uncertain yet. But what about doing something about the warranty side to get more modification and maintenance jobs? Is there a measure with which it could have been appropriate to contribute, or is there no plan to do anything?
ParlaMint-NO_2014-12-03.ana.ud105e689	I have just said that we are going to follow this closely and look at various measures to help – and ensure – that the lower oil price and the lower oil activity do not create dramatic changes. Comparing the situation we now have, with the financial crisis, I seem to be comparing sizes that are not comparable at all. Although many have been dismissed, this is fortunately so attractive labour force that many of them have been employed so far in other jobs. One of the challenges of permitting legislation is that if people stay in a business and another enterprise lacks labour, it may be that if we make it beneficial to stay in the non-manageable enterprise, the other enterprise will not be able to carry out assignments in Norway, but have to outsource parts of them abroad. As a result, Norwegian jobs are weakened in total. That's why it's important to wait and see if we actually get real effects with higher unemployment, which means that there are not only changes between companies, but that what happens actually also has a total impact on the economy. Actually, we haven't seen that far. This may happen, and then the government is prepared to act, but we must now ensure that we do not move more jobs out of Norway by not getting them because of rigid leave rules.
ParlaMint-NO_2014-12-03.ana.ud105e699	It opens up one follow-up question – from Anna Ljunggren.
ParlaMint-NO_2014-12-03.ana.ud105e702	As the Prime Minister also says, the reality of changes in the legislation on permitting is that the industry will experience an increase in activity in the future. They would then need the employees they are now resigning, who, if the government had changed the law of the permit, could have been in the company and contributed to the increase that we see. The Prime Minister mentions that it is important that less profitable projects become more profitable and standardisation of contracts is referred to as an instrument that can help reduce the cost level of Norwegian capital. It is also important to maintain a high level of activity and take advantage of the current situation, unless pressure is exerted. As the Prime Minister hears, the Labour Party is concerned that something is being done when we see the situation that is now. Every day, employees are affected by cancellations and lay-offs. What more than following the situation carefully will the government do?
ParlaMint-NO_2014-12-03.ana.ud105e711	As early as February, I had a meeting with the whole industry and the interest groups because we predicted that this was a problem. The competitiveness of the Norwegian supplier industry in relation to the oil industry was poor. It meant that it was necessary to do something. The sum of that meeting, with both the oil companies and the supplier industry, was that there was a need to do something about issues such as standardisation, which help to reduce the cost of development, and that the industry itself has to do so. It's the oil companies that ask what models you should have for development, it's not the public authorities that run it. Then we have to remember that we have been through a situation just in the West where there has been a shortage of labour, where companies have had to hire large amounts of labour from other countries because trade union workers or others have not been able to drive up in Norway. We've been missing engineers, so the missions have gone abroad. Before we see that the change that is taking place now is not just a change of place of work with another, but actually means greater unemployment, we can reinforce the challenges by preventing people from switching from those who do not have a job to those who have a job today.
ParlaMint-NO_2014-12-03.ana.ud105e720	So the oral question procedure is over.
ParlaMint-NO_2014-12-03.ana.ud105e732	The President will inform the representatives that there are currently no changes to the questionnaire.
ParlaMint-NO_2014-12-03.ana.ud105e739	‘In its response to the Patient Rights Directive, the Medical Association writes that they are concerned about the possible consequences of the proposal for the development of antibiotic resistance in Norway. The medical association lacks an assessment of the health and economic consequences of the proposal and indicates that the annual cost of antibiotic resistance in the EU is well over EUR 1.5 billion, and that 25 000 people lose their lives every year due to non-active antibiotics. Will the Council of State inform the Storting about these consequences?’
ParlaMint-NO_2014-12-03.ana.ud105e746	We travel more and more, both on vacation and for medical treatment. This is a development that we have to deal with. It is neither desirable nor possible to stop Norwegians who want to travel abroad on vacation or for treatment. The representative refers to the Medical Association’s consultation response to the government’s proposal for the implementation of the Patient Rights Directive. This government wants to give patients increased options. Therefore, it is not proposed to limit patients’ ability to receive reimbursement of healthcare costs in other EEA countries with a requirement for prior authorisation. There is a whole difference between this government’s proposal and the previous government’s proposal to introduce the Patient Rights Directive, which Norway is obliged to introduce. While the previous government's proposal would mean that patients would automatically have been refused and would have had to cover costs that they would otherwise have had the right to do, just because they had not applied in advance, one will have the opportunity to apply afterwards with this government's proposal. But the criteria are exactly the same. For a small country like Norway, it is important, in my view, to have international cooperation on patient treatment. In conditions where there is a limited professional environment in Norway, it will be of great importance for a patient to have the possibility of receiving medical care in other European countries. In Sweden, patients have been free to travel to other EEA countries for hospital treatment since 2005. Experience shows that there are a low number of patients who choose to leave, and many of these travel to neighbouring countries. It is true that there is a slightly higher risk of infection in some EEA countries. Resistant bacteria occur more frequently in most countries than in Norway, and it requires the vigilance of health professionals and good hygiene procedures in our hospitals, regardless of whether the patient has left and received treatment within the EEA territory or outside. The challenges associated with antibiotic resistant bacteria are complex. More travel activities in general lead to major challenges. In addition, many other factors have an impact on the development of antibiotic resistance, such as: the use of antibiotics in patient treatment, including in Norway, and the production of food. Antibiotic resistance is not a problem Norway can solve alone; it is a common international responsibility. Let's do that, for example. actively supporting the development of the World Health Organisation’s Global Action Plan against antibiotic resistance and through the United States Global Health Security Agenda initiative and in Nordic cooperation. The Ministry of Health and Health has just partly financed an international meeting organised by the Institute of Public Health for the World Health Organisation, and in January this year we earmarked 4.6 million. kr for research on antibiotic resistance through the Joint Programme of the Joint Programme on Antimicrobial Resistance. The Institute of Public Health has also increased by 2.6 million. kr for this work, and that is the work I do, except for the fight against ebola in West Africa, which is most important in my international work as Minister of Health and Care.
ParlaMint-NO_2014-12-03.ana.ud105e766	I thank you for the answer to why the government is introducing the Patient Rights Directive. I asked the government to follow up on what the Medical Association is asking for, simply to get an assessment of the health and economic consequences of introducing the directive. It is not just the Medical Association that expresses concern at the increase in patient mobility that will mean the development of antibiotic resistance in Norway. The Institute of Public Health also demands that it be protected against infectious diseases in the interests of patient safety and the general public. The Health Directorate is asking for it in its opinion — they are asking for specific measures to prevent the development of antibiotic resistance due to increased patient mobility as a consequence of the Directive. So I would like to ask again: would the government come up with an assessment of the health consequences of the implementation of the directive, if it were introduced in Norway?
ParlaMint-NO_2014-12-03.ana.ud105e773	It is affected in the proposition that the Storting has to deal with. With regard to the introduction of the Patient Directive, it is a directive which was also clear to the previous government in Stortinget that one should introduce. So it's not a question of whether we're going to introduce the Patient Directive or one. The question is whether Norwegian patients after they have received treatment abroad, which they have the right to do, will be met with a bureaucratic rule and have a refusal to cover the costs because they were so unfortunate not to apply in advance, or not. The red-green government’s proposal would put bureaucratic links in the wheels to ensure that Norwegian patients were granted the rights they have as citizens of a country that is a member of the EEA. In the case of patients and people travelling more, as they both get holidays and experiences and receive treatment, with the consequences it has in relation to antibiotic resistance, the government has received an expert recommendation in the fight against antibiotic resistance that we are now working to follow up.
ParlaMint-NO_2014-12-03.ana.ud105e782	The government sent out a hearing proposal to change what was adopted on the Patient Rights Directive in Stortinget. The Public Health Institute had a hearing statement, where they said: ‘The safety of patients in medical treatment in hospitals abroad and the protection of the population against infectious diseases are serious grounds for requiring prior approval of reimbursement of costs of hospital treatment outside Norway.’ Nevertheless, the government chooses to bring a case for the Storting where they propose that this pre-approval be removed. What I'm responding to is, first of all, that you don't listen to the hearing statements. The second is that one brings up a case for Stortinget before the hearing period is over. The hearing period expired on 1 October, the case of the Patient Rights Directive was in the State Council on 12 September, 14 days before the hearing period expired. Why doesn't the government belong to the hearing agencies? And how can a person show so little respect for the professional objections that one does not wait for the one time?
ParlaMint-NO_2014-12-03.ana.ud105e794	There's a difference between hearing and doing what others say at any time. If you were to have rounds of hearings where you were to do what everyone who says would think, it would not have been possible to implement policies, because it often cracks in different directions. So there's a difference – and listen, we do. But we also look at the experiences of other countries. Sweden has had this scheme since 2005, and the type of experience that the representative Toppe is trying to create is not experience when it has been tested in practice. I have more faith in trying out policies in practice than in creating scare pictures in advance based on political motives other than what lies in this matter, namely to create a simple, unbureaucratic system for Norwegian patients who want to receive treatment in other countries, and to avoid that one comes in the hopeless situation when one comes home and has the right initially to recover his costs, that one experiences a bureaucratic response: unfortunately, you do not get to cover the costs, because you forgot to apply in advance, which are the consequences of the Workers' Party, the Centre Party and the SV's policies in this area.
ParlaMint-NO_2014-12-03.ana.ud105e805	‘The civil officer revealed that prisoners on security cells were routinely dressed naked. The Progress Party representative Tybring-Gjedde said that the policy of the Progress Party was to give priority to the victims over the security cell prisoners. Should the principles of the European Convention on Human Rights be broken, it is the policy of the Progress Party that the standard in Norwegian prisons should be reduced to a foreign standard, where human rights do not have equal place, and does the Council agree that priority should be given to the victims?’
