ParlaMint-GB_2021-04-28-commons.u1	What recent assessment he has made of the strength of the Union.
ParlaMint-GB_2021-04-28-commons.u129	Yesterday, I had the great privilege of speaking to my Indian opposite number, who expressed great gratitude for the UK’s contribution to support the Indian people, and I was very pleased that he said so. However, India is not the only country with which we have a living bridge and a common feeling. We need to make sure that we are prepared to support other countries in the Commonwealth, not just for their benefit, but for ours. Can the Minister assure me that we are ready, that we have the ODA budget available and that we are prepared to act should such a pool of infection arise in any other country, particularly one with which we share such a close link?
ParlaMint-GB_2021-04-28-commons.u130	I thank my hon. Friend, the Chairman of the Select Committee, for that question. Of course, we are speaking with our international partners on a regular basis. This is a situation where no one is safe until everybody is safe. We are working collaboratively and a good example of that is vaccines. We are one of the biggest contributors to the vaccine programme, the COVAX programme, which has been set up particularly to support countries in this regard. We will continue to do whatever we need to do to support our international partners. What we had to do, because of the pressing emergency in India, which is one of our closest allies, was react quickly and get the equipment into the planes and on to the ground, and that is exactly what we have done.
ParlaMint-GB_2021-04-28-commons.u131	The scenes we have all seen emerging from India are truly tragic and our hearts go out to all those who are suffering. There is nothing more tragic than seeing people dying on pavements outside already overstretched and under-resourced hospitals that are full of covid patients, and dead loved ones being lined up for cremation. Sadly, we must recognise that the scenes in India will not be the last of the devastation of covid that we see, and the UK must step up its efforts, not just in India, but across the world It is welcome that the UK has been able to offer some support to India, but what assistance is being provided on vaccines to prevent further covid waves across the country? Furthermore, will the UK Government support a waiver to overcome intellectual property barriers, so that developing countries have much-needed access to vaccines and we do not see what is happening in India replicated elsewhere? Finally, given the need for a fully resourced global vaccine roll-out, will the Government finally listen to the experts and retreat from the proposed cut to the UK’s life-saving aid at this critical time?
ParlaMint-GB_2021-04-28-commons.u132	I thank the hon. Gentleman for his questions. It is clear that we have been at the forefront of efforts to get vaccines to developing countries— I cannot think of many countries that have done more. I have mentioned the advance market commitment via COVAX. That was created to deliver exactly that. We will be supporting the distribution of 1.3 billion doses of vaccines to up to 92 low-income and middle-income countries—that includes India. Obviously, we will need to complete our own roll-out and we will be looking at what we do if there are any surplus doses available. We will keep that under constant review. But I am proud of our commitments: the £548 million, and leading last year’s international funding conference on vaccines to help protect those who need our assistance.
ParlaMint-GB_2021-04-28-commons.u133	As it is in the UK, the impact of covid in India is a human tragedy. I heard from a family friend in Delhi who says that people are terrified, frantically looking for beds and oxygen, with disgraceful profiteering ramping up prices and making support unaffordable for the poor. As we have heard, nearly half of all global covid cases are now in India, and nowhere in the world is safe until we are all safe, so it is absolutely right that the UK has provided ventilators and oxygen, but there are also issues with vaccination logistics and therapeutic supplies. Can I ask what the Minister knows about how Kashmiris in Indian-administered Kashmir are faring, given that there has been no opportunity for an independent visit to the region by parliamentarians or journalists since the revocation of articles 370 and 35A nearly two years ago?
ParlaMint-GB_2021-04-28-commons.u134	I am not the Minister responsible for those particular countries, but we have regular dialogue. My noble Friend Lord Ahmad, the Minister responsible for that region, speaks regularly with representatives from Pakistan and India, and I am happy to ask him to give the hon. Lady an update.
ParlaMint-GB_2021-04-28-commons.u135	Many of us have constituents who are deeply worried about loved ones in India. Please will my hon. Friend reassure them that the Foreign Secretary will continue to engage with the Indian Government on the practical help that is needed and how we can provide it?
ParlaMint-GB_2021-04-28-commons.u136	My right hon. Friend is absolutely right: in the past few days, my right hon. Friend the Foreign Secretary has spoken directly with Foreign Minister Jaishankar on exactly that issue. We are responding to the Indian Government’s requests and listening to what they are telling us. We were the first country to respond and to get wheels on the ground and deliver equipment. A huge emergency is affecting India and we have responded. We will continue to speak to the Indian Government and see what further assistance we can deliver to them.
ParlaMint-GB_2021-04-28-commons.u137	Given the exceptional budgetary challenges that face the Treasury, the overwhelming majority of my constituents support the decision to temporarily reduce the foreign aid budget. Of course, we will still be spending more money on international aid than nearly every other nation on earth, allowing us to support nations in their hour of need. Nine airline containers full of life-saving equipment have already been shipped out to India. Will my hon. Friend confirm that he will continue to engage with the Indian Government to provide any further assistance as required?
ParlaMint-GB_2021-04-28-commons.u138	My hon. Friend is right to point out the support that we have already delivered to our Indian friends. Our teams worked round the clock and over the weekend to ensure that that first shipment of 200 ventilators and 95 oxygen concentrators arrived in India yesterday morning. As I said, we were the first to deliver support to India. Given the rapidly changing situation on the ground, we are working closely with our counterparts to ensure that we are co-ordinated, and we are in close contact with the Indian Government in respect of anything else that they need.
ParlaMint-GB_2021-04-28-commons.u139	What is happening in India is an absolute tragedy, but it is also a stark warning that this virus thrives when we relax—after all, many in India thought that they had beaten the virus. Every time a surge happens, the virus mutates faster, and with every mutation our collective fight goes back a step. There is only one way to beat this virus, and that is to work together in lockstep, across the global community, to keep cases low, minimise the risk of new variants and vaccinate. Will the Minister now commit not only to increasing the money that the UK gives to COVAX—as much as that is, we need to do more—but to starting to share vaccine doses through COVAX now, today?
ParlaMint-GB_2021-04-28-commons.u140	The hon. Lady is right to ask about vaccine doses, but right now we are moving through the UK prioritisation list—that is what the country would expect us to do, I think—for our domestic roll-out and we do not currently have surplus doses. We do, though, keep the situation under constant review. Of course, I recognise that with this pandemic no one is safe until we are all safe; that is why I am proud that, despite the challenging financial pressures that the pandemic has brought, the United Kingdom has donated more than half a billion pounds to COVAX. We led the international vaccine funding conference last year, and in every conversation that my colleagues and I, as a Foreign Minister, have, we are encouraging our counterparts around the globe to do the same and to contribute to COVAX.
ParlaMint-GB_2021-04-28-commons.u141	As someone who has family in India, it breaks my heart to see what is happening there. Some of the most worrying stories coming out of India have been reports of a lack of available oxygen for patients in need. Can my hon. Friend confirm that a key portion of the equipment that our Government are delivering is made up of the oxygen concentrators and ventilators that are so desperately needed?
ParlaMint-GB_2021-04-28-commons.u142	My hon. Friend speaks from the heart. As I have said, I want to thank the teams in the FCDO around the globe for working on this. We have been the first to respond. We are providing the life-saving medical equipment that he refers to, which includes 495 oxygen concentrators and 200 ventilators. That equipment is based on the most acute need, which has been communicated to us by the Indian Government. I understand why people are so passionate about this, and this simply will help to save the lives of the most vulnerable in India.
ParlaMint-GB_2021-04-28-commons.u143	Given that the population of India is 1.3 billion and the country is currently recording more than 320,000 new covid infections every day, does the Minister agree with a senior Indian health official who described the support that has been received so far as a “drop in the ocean”?
ParlaMint-GB_2021-04-28-commons.u144	We have been first out of the blocks. We have provided from surplus stocks the ventilators and the oxygen concentrators. Of course, it is a huge country, which is why we continue to liaise with the Indian Government to see what further we can do. We are going to be doing more in terms of equipment, but we have responded quicker than anybody else. We have planes on the ground delivering equipment. There are more planes going out there today and tomorrow with more equipment, and we will continue to work with the Indian Government, listen to their requests and respond.
ParlaMint-GB_2021-04-28-commons.u145	Our special relationship with India is a bond of kinship and affinity rooted in the living bridge that is the Indian diaspora. As we now seek a transformative post-Brexit UK-India relationship, it is only right that the Government are taking the initial steps to assist India at this unprecedented time. It has been heartening to see 1 billion shoulders to the wheel, be it the Oxygen Express run by the railways or the Indian air force flying back empty oxygen tanks for Indian industry to refill, which has risen to the desperate need. France and Germany have managed to rapidly assist India significantly with the supply of cryogenic oxygen tanks, which can store and transport a much bigger quantity of liquid oxygen. Can my hon. Friend say what steps our Government have taken or are taking to assist similarly, befitting our vision for the UK-India relationship that we seek to build?
ParlaMint-GB_2021-04-28-commons.u146	I thank my hon. Friend for that point. I am not particularly aware of the arrangement that France and Germany have and whether that is a commercial arrangement that the Indian Government have entered into, but it is certainly something we can look into. We have been working incredibly closely with our technical experts in the Department of Health and Social Care on how to respond to the most urgent needs, while ensuring that the equipment sent can be used and will make a difference. Donating oxygen cylinders, as some people have called for, has been rejected, as compatibility issues would prevent them from being refilled within India. We are taking the lead from the Indian Government on what their most urgent priorities are, so that we can ensure that whatever support we provide matches their requests.
ParlaMint-GB_2021-04-28-commons.u147	The Minister keeps repeating that no one is safe until everyone is safe, but the reality is that 80% of all covid vaccines have been delivered in just 10 wealthy countries, and COVAX is struggling to obtain vaccines. Unless there is greater international solidarity, other healthcare systems like India’s will collapse, and vaccine-resistant variants will inevitably threaten those who live here. Does the Minister not accept that the UK needs to play its part by lifting the ban on exporting vaccines, sharing covid technology with others and increasing, rather than slashing, overseas aid?
ParlaMint-GB_2021-04-28-commons.u148	I cannot think of many countries that are doing more than the United Kingdom on vaccines for the international community. It was absolutely right that we moved through the United Kingdom’s vaccine priority list for our own roll-out, and, as I have said in answer to a previous question, there are currently no surplus doses. I am proud of the fact that we are one of the biggest donors to COVAX. COVAX will be supporting the distribution of 1.3 billion vaccines across 92 countries that need that support, which includes India.
ParlaMint-GB_2021-04-28-commons.u149	May I express strong solidarity with my hon. Friend in his words of sympathy with our Indian friends? Would it be possible for Indian citizens, who are living here in the United Kingdom, to travel to India should they so wish, so that they can help their grieving relatives or provide other support? It would surely be unreasonable to prevent people leaving our country who wish to go and help in these circumstances.
ParlaMint-GB_2021-04-28-commons.u150	Of course, I absolutely get the point that my hon. Friend has made. People will be incredibly worried. I have friends with Indian heritage and they are at their wit’s end about what is happening in India. As for travelling to India, he will be aware that we did add India to our red list. That was to ensure that we protect against variants and other developing variants. The situation in India has deteriorated. Currently, travel abroad is against the law and, until that situation changes, people in the UK need to be mindful of the travel advice.
ParlaMint-GB_2021-04-28-commons.u151	I have spoken to people at Newcastle’s Hindu temple who have emphasised just how distressing these desperate scenes from India are for those with friends and family living there and, indeed, for all of us. We have known of the concerns for some time now. That is why the Prime Minister cancelled his visit. Given our special links to India, what conversations has the Minister had with counterparts in the United States and the European Union to ensure that international assistance is co-ordinated and effective?
ParlaMint-GB_2021-04-28-commons.u152	That is a very good question. We are regularly in contact with our counterparts, co-ordinating support. That is why COVAX was set up in the first place for vaccines. I understand that the EU is in the process of co-ordinating support for this emergency. I am not entirely sure when its shipments will arrive, but it is certainly on the case, as is the United States, but rest assured we do speak to our international partners when an emergency such as this flares up.
ParlaMint-GB_2021-04-28-commons.u153	I think that everyone in the country has been distressed by the images of the reports they have seen in India. I welcome my hon. Friend’s statement about the equipment that we have provided and the speed at which we have done so. Obviously, India is a vastly different size to the UK, but if it is wanted, will we also provide logistical advice from the NHS, the Army and our scientists on the things they have learned about how to best control the spread of this virus and get vaccinations to people as quickly as possible?
ParlaMint-GB_2021-04-28-commons.u154	My hon. Friend makes a very good point. We stand ready to provide support in whatever form it comes. That is why we are talking to the Indian Government, asking them what support they require. We need to do that not only to understand what they require, but to ensure that what they require and what we supply are in lockstep. Given this spread of the pandemic, we are working closely not only with our Indian counterparts, but with other countries to ensure that we can co-ordinate and support those with the most urgent need.
ParlaMint-GB_2021-04-28-commons.u155	I commend the support that the Government are providing promptly to the Indian people during this devastating covid surge, and my thoughts and prayers are with all those affected. Realistically, in order to tackle this issue, do we not need to start providing licences particularly for those countries on the subcontinent, where in India, Pakistan and Bangladesh there are almost 2 billion people who could be dealt with by giving them the ability to produce vaccines themselves and therefore better look after themselves and help to reduce the effects of covid very quickly? Will the Minister look at supporting the people of Kashmir, who have been under lockdown because of the situation in India for the past 18 months, so that they receive their fair proportion of the aid and the vaccines that we are supporting them with?
ParlaMint-GB_2021-04-28-commons.u156	The hon. Gentleman makes a good point. We are providing support to the Indian Government, but it is for the Indian Government to decide and not for us to dictate where that support goes or how it is rolled out. Of course, as he will know, India is one of the largest manufacturers of vaccine, and those supplies are under pressure, as they are with all manufacturers. However, we will continue liaising with the Indian Government to find out what they require, and if we can match their demands we will supply it.
ParlaMint-GB_2021-04-28-commons.u157	I congratulate my hon. Friend and the Foreign, Commonwealth and Development Office on their offer of help and the provision that has been made to the Indian Government. He will know that at a time of humanitarian crisis, the people of this country are incredibly generous. Members of the Indian diaspora, in particular, are conducting fundraising events via temples and other religious places across the country this weekend, including the world-famous Neasden temple, where people are doing a sponsored static bike ride of 7,600 km—the distance between London and New Delhi. What advice is being given to those religious organisations who are raising money to make sure the money gets to the right place at the right time to assist in alleviating the suffering going on in India?
ParlaMint-GB_2021-04-28-commons.u158	There are many champions of constituents of Indian heritage in this House, none more so than my hon. Friend. I am being made aware of some incredible fundraising efforts across the country where there are large Indian diasporas, with people raising money through various means. That is really heartwarming to see. It is absolutely the case that that needs to be delivered in the most efficient way. I will find out through what mechanism the advice is being filtered down to those communities. He raises a brilliant point, as ever, and I will make sure that by the end of today he is able to have some information to take to his communities to ensure that they are doing the right thing. I am sure that everybody is doing the right thing; we just have to make sure that it is delivered in the correct way.
ParlaMint-GB_2021-04-28-commons.u159	Only last week I stood here and questioned this Tory Government’s obscene betrayal of those in need by cutting the foreign aid budget. This week we have perhaps seen the direct consequences of such decisions. I am sure that, along with every Member, they agree with me that the scenes from India are nothing short of devastating and we cannot stand idly by while oxygen becomes a premium and not an easily obtainable necessity. Given the severity of the situation, will the Minister now go on record to say that the UK Government will undertake any and every possible measure of support for India and her people, including the potential distribution of vaccines when we are in a position to do so?
ParlaMint-GB_2021-04-28-commons.u160	I agree with the hon. Gentleman’s sentiments, apart from his first sentence, which was a mild dig. We will continue to support India. We were the first country to do so when this crisis flared up. We were not talking about it; we were actually getting on with it and doing it, delivering ventilators and oxygen concentrators: there are more in the air now and they are going to land today and tomorrow. So we are continuing to do that work. In terms of vaccines, it would be great if he could point me to who is doing more, as I said, in terms of putting more money into COVAX that is going to help 1.3 billion people. The priority, obviously, is the domestic roll-out of the vaccines that we have, and once we have a clear idea of surplus, we will be in a position to support other countries.
ParlaMint-GB_2021-04-28-commons.u161	So many of my fellow Wulfrunians have friends, family and other loved ones in India. I thank the Government for their swift response to this heartbreaking situation. What discussions is my hon. Friend having with our international partners, so that we can encourage them to send similar assistance and ensure that the global effort is as effective as possible?
ParlaMint-GB_2021-04-28-commons.u162	My hon. Friend makes a very good point. All hon. and right hon. Members today are speaking up passionately for their constituents in their particular areas. Co-operation on an international level is absolutely at the heart of responding to this pandemic. It is a pandemic that obviously does not recognise borders, so we have been speaking directly with the Indian Government to understand what they need. As I said, we are in regular contact with a range of international partners to ensure that we support, co-ordinate and do everything we can to respond to the needs of India at this difficult time.
ParlaMint-GB_2021-04-28-commons.u163	The images from India are horrifying—from people gasping for air and dying—[Inaudible]—with hospitals overrun, to seas of blazing makeshift pyres. This is a human catastrophe for India, and, with a virus that does not respect borders, none of us is safe until we are all safe. Vaccine supply is artificially limited by patents, leading to the global vaccine apartheid. At the Word Trade Organisation, India and South Africa have proposed a temporary waiver to vaccine patents, allowing production—[Inaudible]—expand. Public money funded these vaccines, so will the Government put public health before the profits of big pharma and support a waiver of the vaccine patents?
ParlaMint-GB_2021-04-28-commons.u164	The audio was a bit in and out there, but I think I got the gist of the hon. Lady’s question. As I have said several times in my response, we are doing an immense amount. We are at the forefront of efforts to ensure that vaccines are getting to the most vulnerable countries—to developing countries—as well as being, I think, the second or third largest donor to the COVAX programme. I gently remind the hon. Lady that that support will assist 1.3 billion people in low and middle-income countries across the globe, including India, where we have seen such horrific scenes; our hearts are with them.
ParlaMint-GB_2021-04-28-commons.u165	Does the Minister agree that the coronavirus pandemic has demonstrated more than ever before the absolute need for strong and reliable partners, especially in the interconnected world in which we all live? Will he confirm that the Prime Minister will, in fact, be visiting India as soon as the country recovers from this dreadful outbreak?
ParlaMint-GB_2021-04-28-commons.u166	My hon. Friend raises a good point. The irony is that the Prime Minister would have been in India had it not been for this latest outbreak. I know that he will be speaking to Prime Minister Modi shortly via video link. We want to ensure that we continue that co-operation on trade, defence, climate change and health, which is absolutely key. We want to finalise a 2030 road map for future India-UK relations that will provide a strategic basis for our relationship in the coming years. We look forward to the Prime Minister meeting Prime Minister Modi as soon as practically possible. Depending on how the pandemic goes in India, there may be an opportunity for the Prime Minister to visit in person later this year.
ParlaMint-GB_2021-04-28-commons.u167	I thank my hon. Friend the Member for Wigan (Lisa Nandy) for securing this urgent question. I have family in India and, like others, I have found the news from the country quite distressing. Do the Government believe that people in low and middle-income countries should have fair and timely access to life-saving covid vaccines and drugs? If so, are the Government willing to reverse their position on opposing the proposal from India and South Africa of a patent waiver in relation to covid vaccines, medicines and medical equipment at the World Trade Organisation?
ParlaMint-GB_2021-04-28-commons.u168	I can tell the hon. Gentleman that we agree that low and middle-income countries should have equitable access to vaccines. That is why we are putting over half a billion pounds of UK taxpayers’ money into the COVAX arrangement, and also 1.3 billion people in those countries will be assisted by the vaccines that will be provided.
ParlaMint-GB_2021-04-28-commons.u169	Over the years, quite a few people—including, I must admit, myself —have questioned aspects of international aid and its efficiency, but I wonder if the Minister will acknowledge that public opinion is changing in the middle of a global pandemic, with international aid being seen not just as a moral duty—we are part of one humanity. If health systems around the world collapse, sooner or later it will come back to bite us. In that respect, can the Minister give a categorical assurance that the recent overseas aid budget cuts will not have affected in any way our ability to help the world’s poorest countries deal with this global pandemic?
ParlaMint-GB_2021-04-28-commons.u170	My right hon. Friend makes a very good point. The total amount that FCDO will spend on global health is £1.3 billion and this will be focused on the UK’s position at the forefront of the international response to covid, not just through our commitments with COVAX and the vaccines I have been talking about, but also through the Gavi alliance and the World Health Organisation. Our investment and expertise will be brought to bear on issues where we can make the most difference and achieve maximum impact and value for money.
ParlaMint-GB_2021-04-28-commons.u171	As many hon. Members have said, the images from India are both difficult to watch and painful for many of our constituents with family there. In light of what is happening, how much of the 1.3 billion that is going into covid relief worldwide is going to India? Might that be reviewed in light of what is happening across the world, with a view to upgrading it?
ParlaMint-GB_2021-04-28-commons.u172	I think the hon. Lady was referring to the 1.3 billion vaccine doses; perhaps she can nod if that is the case.
ParlaMint-GB_2021-04-28-commons.u173	indicated assent.
ParlaMint-GB_2021-04-28-commons.u174	Of course, we have made our commitment and our financial commitment to COVAX. It will decide where the vaccines to 92 low and middle-income countries will go; that decision will be taken not by the UK but strategically by COVAX through the advanced market commitment it is operating. However, we have committed the money; we are paying the money and we should be proud of the support that the United Kingdom is giving for international vaccines.
ParlaMint-GB_2021-04-28-commons.u175	Like the 1.5 million other members of the British Indian diaspora, I have been watching with my heart in my mouth, worried for friends and families in India, over the last few weeks. May I ask the Minister to join me in putting on record our thanks to all the officials, Government Ministers and private-sector businesses that have been involved in our work not only in COVAX—I think we were the largest donor up until December last year—but with AstraZeneca, which is doing crucial work in providing vaccines to the world’s poorest, and for our deliveries of oxygen as well?
ParlaMint-GB_2021-04-28-commons.u176	I thank my hon. Friend for her thanks in this regard. An extraordinary amount of work has been done, and not just by Government; she was right to mention the private sector, which has stepped up in this pandemic. There has been an incredible international, joined-up effort under extreme circumstances, but I want to commend the work both of the FCDO and across Government in ensuring that the initial shipment got out to India with great speed. We were the first to deliver equipment and there will be more to come. I will certainly ensure that my hon. Friend’s thanks are amplified to the relevant parties.
ParlaMint-GB_2021-04-28-commons.u177	At a time when India is registering the highest ever recorded cases globally of covid, we must help the Indian people in their hour of need. I have close family there and many of my Slough constituents are extremely anxious about their loved ones, terrified after seeing apocalyptic scenes of people dying on the streets for want of oxygen, a collapsing health system, and crematoriums and cemeteries being overwhelmed, with thousands of people dying every day. I am sure the Minister will join me in commending the incredible work of volunteers, including British-based charities, but, given our close historical ties, will he ensure that the UK is the No. 1 aid donor, especially of medical expertise and equipment, including ventilators and oxygen concentrators?
ParlaMint-GB_2021-04-28-commons.u178	The hon. Member makes a good point. We are indeed committed to supporting the Government of India—as I have said on a number of occasions here, we were first out of the blocks—and I know international partners will be doing the same. There are close historical ties and family ties with India across the House, and we will ensure that we are at the forefront of that support. We are doing it, there is more to come, and there will be more information when we have concluded our conversations with the Indian Government on what will supply. The hon. Member can rest assured, and the House can rest assured, that the United Kingdom Government are doing their bit to support the Indian people.
ParlaMint-GB_2021-04-28-commons.u179	I am suspending the House for two minutes to enable the necessary arrangements to be made for the next business.
ParlaMint-GB_2021-04-28-commons.u180	I beg to move, That leave be given to bring in a Bill to establish an independent regulatory body to monitor and enforce the compliance of public bodies with climate and environmental requirements and targets; to make provision for associated sanctions; to require the regulatory body to assess the environmental effects of potential trade agreements; to make provision about environmental standards, including in relation to animal welfare; and for connected purposes I am introducing the Bill because the UK is without meaningful environmental regulation and without any kind of independent environmental regulator. Having left the EU and having promised four years ago to introduce legislation to provide the UK with its own independent regulator, the Government continue to fail to meet that promise. Unregulated and unpoliced, our standards of biodiversity, air quality and animal welfare need to be protected or the Government will allow them to be eroded Politicians on all sides have a habit of saying that British farming is the best in the world. That claim happens to be true, but I fear that the Conservative Government do not understand why it is true. We can protect British farming only if we understand it. I am compelled to introduce the Bill, because the Government do not seem to understand it and do not seem to get it British farming is the best in the world, mainly for two fundamental reasons: standards and culture: standards, because we have led the development of the world’s most ambitious and comprehensive system of agricultural and environmental regulation alongside our partners on the continent; and culture, because the unit of farming in Britain is the family farm, which has underpinned our reputation for unrivalled care and compassion for livestock, and for a ratio of humans to animals that allows the welfare of those animals to be a priority. Furthermore, the culture of Britain’s family farms is one in which they are not just proud to produce our food but proud to be the stewards of our countryside and environment, to be on the frontline of the fight against climate change and the fight to restore nature. If we lose our world-class regulation and have no effective regulator, and if we allow family farms to be undercut and go to the wall, we fatally undermine British farming and all that is good about it. It is not acceptable for the Government to promise regulation and a regulator, and continually to break that promise, while our farmers are put under increasing pressure and our environment is put at increased risk That is why, along with my Liberal Democrat and Alliance colleagues, I am pushing the Bill. There is an urgent need for safeguards to be put in place. We need a regulator that is well resourced, has comprehensive and strong powers, and is completely independent of Government so that it can set and enforce regulation without fear or favour, and have the strength to hold public authorities at all levels to account. We need much more than a body that just points out where the Government are failing. We need an office that can force the Government to comply; an office that can prosecute, and can levy fines and other sanctions to prevent abuse; a watchdog whose bite is as great as its bark. Without powerful, independent regulation or a regulator, we will begin to see more complexities in bureaucracy as food producers seek to comply with traditional, high-quality British standards but simultaneously have to operate with lower production costs as they battle to avoid being undercut by cheap imports A huge fear for consumers and farmers alike is that the Government will allow lower quality, cheaper imports into the UK as they seek deals with other countries to provide some compensation for the loss of nearby European markets: countries that do not take care of their animals like we do, which lack animal welfare protections and do not produce food in ways that reduce carbon emissions or take care of the natural environment. Those countries allow their producers to have lower input costs due to those lower standards. Is it right that the UK should have to see an increase in products on our supermarket shelves that have come from inhumane or environmentally irresponsible production methods? Is it right that farmers should be undercut and ruined by those cheaper and morally inferior products? The answer to those questions is absolutely no, yet the Government’s continued failure to step back and allow themselves to be regulated mean that we have no means to ensure that new trade deals do not open the door to food produced in ways that damage the environment, harm animals and put UK farmers out of business There is a real fear that the Government will do such deals—perhaps by accident, but quite probably by design. After all, the farming Minister wrote to Conservative MPs a few months ago telling them that if we required imports to meet the same animal welfare and environmental standards as British farmers it would make it very difficult to secure trade deals. In other words, “Please do not tie our hands, because we can only get these trade deals if you allow us to throw British farmers under the bus. ” That is why my proposal for a new, powerful and independent regulator is vital to protect British standards and British farmers Without a regulator, we will allow the Conservative Government to continue their path of inaction on the natural environment. We see a lack of natural flood protection; loss of British biodiversity at an ever increasing rate; and the tragic, premature deaths of thousands of people every year due to air pollution. In the past five years, this Government have been told by multiple court systems that they need to do much more to tackle the toxic levels of air pollution in this country. Their 2017 national action plan on air pollution was deemed unlawful by the UK High Court, as it was simply not strong enough to enforce change among local authorities. This year, in a case started before we left the EU, the European Court of Justice found this Government to have “systematically and persistently” breached air pollution limits. Without an independent regulator with the teeth to hold our Government to account, they will be even less accountable for their failures to tackle these ecological and human crises. The lack of action from the Conservatives should not be left to the court systems to sort out. It should be dealt with directly by an independent body, just as the Government have promised Our lack of environmental protections extend beyond air quality and into the quality of nature in the UK. We are already living in the most nature-depleted country on the planet. Only 14% of our waterways are in good condition, and more than 40% of native species are in decline. This is an embarrassment for us all. We are in the run-up to COP26, and at the moment our likely message to other countries will have to be, “Do as we say but not as we do. ” We cannot set a good example when the Government are threatening the livelihoods of farmers across the UK with a lack of regulation on animal welfare and other standards The Government are compounding that error by their stubborn and penny-pinching approach to the transition from the basic farm payment scheme to the new environmental land management scheme. The Government insist on forcing many family farms to accept a 50% cut in their income, with no immediate replacement. This plan will inevitably put hundreds of family farms out of business. This matters because without farmers we have no partners to deliver natural flood prevention schemes, to enhance biodiversity and carbon sequestration, and to maintain the stunning landscapes that underpin the tourism economy in places such as the lakes and the dales. This stubborn penny-pinching goes hand in hand with the Government’s failure to ensure a powerful independent regulator. Both those failures seem certain to contribute to undermining British farming and our natural environment, unless we act Today, I am giving Parliament the opportunity to act. This Bill aims to unite town and country in favour of a new deal for our environment that values British farmers and enshrines British values. How can we say that we are proud of our animal welfare standards, our environmental protections, and the quality of British farming if we then are happy to sell them out to the highest bidder with the lowest regulation? We need an environmental regulator, as the Government have promised. Given that the Government have failed to deliver that promise, I stand here to deliver it for them. For the good of our farmers and our environment, there is no more time to lose Question put and agreed to. Ordered, That Tim Farron, Mr Alistair Carmichael, Wendy Chamberlain, Daisy Cooper, Ed Davey, Stephen Farry, Wera Hobhouse, Christine Jardine, Layla Moran, Sarah Olney, Jamie Stone and Munira Wilson present the Bill Tim Farron accordingly presented the Bill Bill read the First time; to be read a Second time tomorrow, and to be printed (Bill 297).
ParlaMint-GB_2021-04-28-commons.u181	I beg to move, That this House disagrees with Lords amendment 4L As I have said on a number of occasions at this Dispatch Box, I want to express my sincere thanks once again to all right hon. and hon. Members for engaging in this important debate. I would like to repeat the message given by my noble Friend the building safety Minister in paying tribute to the fire and rescue services across our country, because in recent days we have seen large fires in Greater Manchester and Shropshire, and they have been dealt with in an exemplary and professional manner. This is a reminder of why we want to get this Bill on to the statute book—to help fire and rescue services do their job to ensure that buildings are properly and thoroughly assessed All of us in this House and in the other place agree in the strongest terms that residents have the right to be and to feel safe in their homes. This Government remain steadfast in our commitment to delivering the Grenfell Tower inquiry phase 1 report’s recommendations. The Fire Safety Bill is an important first step in our legislative programme delivering these recommendations. I cannot stress enough, as I have reiterated on a number of occasions throughout the passage of this Bill, the vital importance of this legislation and the ramifications if it fails as a result of outstanding remediation amendments, and that is why I move that this House disagrees with Lords amendment 4L Without the Fire Safety Bill, legal ambiguity around the fire safety order will continue. Moreover, the updating of fire risk assessments to cover structure, external walls and flat entrance doors will be ignored by a number of negligent building owners, and fire and rescue services will lack the legal certainty to support enforcement decisions. That is a matter that I know will be in the minds of Members today, as it should also be in the minds of Members of the other place A number of Members across the House have said to me, “Well, why not simply redraft the Bill? ” That might be easier to do with other legislation that already has careful cross-referencing to other Acts and already has detailed secondary legislation to revise regulations, but not so with this small but none the less important Bill. Redrafting it, even if the amendments were not defective, so that it carefully navigates the intricate web of contract law and does not fall foul of such Acts beloved of Members of this House, including many Opposition Members, such as the Human Rights Act 1998, will take considerable time, and we do not have that time Following our announcement in February, I am pleased to say that hundreds of thousands of leaseholders will be protected from the cost of replacing unsafe cladding on their homes as part of our five-point plan to end the cladding scandal once and for all, improve the saleability of properties and restore confidence in the housing market. The measures that we announced in February—including our work with the Royal Institution of Chartered Surveyors to reduce the need for EWS1 forms; our work with developers to put more of their own money on the table, additional to our tax and levy plans; and our work with lenders to buy into our package of measures to ensure sensible and proportionate value is re-ascribed to homes valued at zero—will allow hundreds of thousands of homes to be sold, bought or remortgaged once again. That will provide certainty to residents and lenders, boost the housing market and reinstate the value of properties. All the amendments we have received, debated and already disposed of would simply reignite uncertainty in the market and risk lenders once again turning to leaseholders saying, “Computer says no: we can’t value your property” I find it somewhat ironic that Members are flagging these issues in the context of trying to impede the progress of the Bill, as having an up-to-date fire and risk assessment that considers the external wall system of a building should enable an insurer to take an informed and proportionate approach to risk that considers not only the material and construction of the building but the way in which it is managed.
ParlaMint-GB_2021-04-28-commons.u182	Will the Minister give way?
ParlaMint-GB_2021-04-28-commons.u183	I will, of course, give way to the Father of the House, as I was unable to do so yesterday due to time constraints.
