ParlaMint-GB_2021-12-10-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2021-12-10-commons.u78	Absolutely. I thank my hon. Friend for his contribution. To take any further step backwards from the progress we have made in a cross-party collegiate manner would be a travesty. We would be letting down families across the country.
ParlaMint-GB_2021-12-10-commons.u79	The way the discussion is going at the moment is that we are talking about going backwards. The reason my hon. Friends are having those discussions is that the law has already changed, and I do not believe we need to legislate. We need to say, “We need to get these medicines that are approved already on the NHS. ”
ParlaMint-GB_2021-12-10-commons.u80	I thank the hon. Member for that contribution. That is exactly right. The Bill seeks to move that forward, not frustrate the process. I welcome any intervention that underscores that.
ParlaMint-GB_2021-12-10-commons.u81	When we talk to members of the public and our constituents about the debates we have, we explain that we learn a lot by having this exchange of views. It is wonderful. Every school and business should have such debates in this collegiate way. It is not that we are against the Bill, but that we believe the law is already in place. We just need action on NHS funding and to get more of these approved, tested medicines on the lists.
ParlaMint-GB_2021-12-10-commons.u82	In three years, we have had three prescriptions on the NHS. In three years, we have seen people in fear of not having roofs over their heads because they cannot afford to give life-changing medication to their children.
ParlaMint-GB_2021-12-10-commons.u83	Will the hon. Member give way?
ParlaMint-GB_2021-12-10-commons.u84	I will make a bit more progress and then I would be absolutely delighted to give way The situation that we face, whereby only three prescriptions in three years have been allowed, pushes more and more patients into the hands of private providers, who, as we have heard, are charging extortionate amounts of money each month for treatment. For the vast majority of people, that is simply out of reach Let me add something that I was not originally going to say: I, too, am a science geek. I have a biochemistry degree and I worked in medical research before even going to medical school. I understand the importance of robust, evidence-based medicine, but I can also tell hon. Members that people searching in a very desperate way for things that will improve the quality of their life, or even keep their children alive, might also go to places where absolutely no thought is given to the purity of a drug. They may seek alternatives that are increasingly more dangerous for their children. It is important to recognise that.
ParlaMint-GB_2021-12-10-commons.u85	As another science geek with a chemistry degree, in which I specialised in drug design and synthesis, I completely agree with the hon. Member’s point. That is part of the concern. It is about having not just the product right now, but the right product, and about making sure that we have efficacy and safety. I completely appreciate all these points. That is why I do not necessarily agree with the perspective on the commission, but I have a lot of sympathy for clauses 1 and 2, which will go some way to help. However, the main stumbling block is the financing. We have already legalised the product. Every time it falls down, is it because it has not been licensed? Maybe, but finance seems to be the stumbling block at every single level.
ParlaMint-GB_2021-12-10-commons.u86	I do not need to tell the hon. Member, who has mentioned his CV—as many of us scientists have today—the cost of not investing in these young people. Think of every time a young person who would benefit from this drug goes into intensive care with seizures, every time they have alternative, expensive sedatives keeping them alive on a ventilator or the fact that they do not fulfil their potential, cannot go on and work and cannot give back to the economy. It is a false economy not to invest in this.
ParlaMint-GB_2021-12-10-commons.u87	Does the hon. Lady agree that it would be much better if we had less sympathy from Government Members and we got them to stop talking the Bill out and come with us to vote it through?
ParlaMint-GB_2021-12-10-commons.u88	I could not agree more; my hon. Friend puts the point across perfectly. If anyone is planning on talking the Bill out today, please will they ask themselves who benefits from that and whether they would feel proud of frustrating a process for many children and families that would mean that they did not have to go through, frankly, the hell that we have heard described?
ParlaMint-GB_2021-12-10-commons.u89	The hon. Lady is being extremely generous with her time; she will please forgive me for intervening, but I want to call on her expertise. The specific intent of Parliament was to allow medical professionals to prescribe non-licensed cannabis-based products. It cannot be any clearer than that; that is where the law is now. I agree with the point that was made—the fact that there have been only three prescriptions is ridiculous. However, perhaps she can address this question: the medical professionals who are considering such matters can see the evidence that we have talked about—it has been incredibly well articulated by all hon. Members—so why are they not referring those matters on and saying, “This patient needs this treatment” The other question that I want to ask—very inarticulately—is about the two-stage process of the clinical referral and then the money within the CCG. Is the problem that it is getting through the first bit—the clinical referral—but the money in the CCG is stopping it? I wonder if she could address those points in her remarks.
ParlaMint-GB_2021-12-10-commons.u90	My understanding and my belief, unless someone has an alternative proposal, is that clinicians are often screaming from the rooftops in the knowledge that their patients need this medicine. We are where we are, however, with only three prescriptions having been granted in three years. This Bill seeks to improve that and move us forward. Families being forced to pay for treatment from private providers creates an unjust two-tier health system. A founding principle of our health service is that we do not believe that people’s access to treatment and services should be based on their ability to pay—it is as simple as that. The barriers in accessing medicinal cannabis are causing exactly that situation. We would not tolerate that for any other medication, so we should not tolerate it here. The Government must speed up and improve the availability of medical cannabis on the NHS and guarantee that patients across the country can access those products where appropriate We have all heard the testimonies of children who receive no respite from their seizures and of patients whose chronic pain has become a constant of their lives. Working in hospitals, I regularly meet those people and their families, who beg me and other doctors to help their loved ones. Witnessing their suffering never gets any less upsetting, especially when we know that there are options to alleviate it. Unrelenting pain can be so devastating for all involved. It is imperative that we listen to those who would benefit from access to cannabis-based products and allow them to guide our future thinking We have a voice in this place. I commend hon. Members from both sides of the House for using their voice today to speak up for those families who cannot be here to make the case themselves. Hon. Members have been begging, but we should not have to beg to do the right thing for the people who we serve.
ParlaMint-GB_2021-12-10-commons.u91	Some of the voices that we have heard in the House today have talked about an unlicensed drug. The children who we have been talking about have been taking unlicensed drugs. I went to The Hague with two different families—two mothers—to pick up a prescription there before they could get it here. We walked into a pharmacy and picked it up, just as I would pick up my inhaler from Boots. There should be no fear. This is an over-the-counter drug in places such as the Netherlands, not an awful unlicensed drug that it is impossible to get. Does my hon. Friend agree that we need to break down that barrier and move on?
ParlaMint-GB_2021-12-10-commons.u92	As usual, I could not agree more with my hon. Friend, who makes a passionate and fair point The Bill serves as an opportunity to move forward in a way that even the sceptics could support. I say again that anyone who is planning to talk out the Bill should take a long hard look at themselves in the mirror and ask themselves what they are doing. They need to walk a mile in the shoes of the families who are worrying about whether their child will be alive the next day Last month, we had two debates on the issue in a matter of days. I would like to think that that demonstrates the collective will in the House to make progress, but that will and the warm words it brings are not enough for the thousands of people who should have benefited from those prescriptions in 2018 and since. We now need further action, and I wholeheartedly believe that the Bill would go some way towards achieving that. I trust that the Government believe that too.
ParlaMint-GB_2021-12-10-commons.u93	I join others in congratulating the hon. Member for Manchester, Withington (Jeff Smith) on securing time for us to debate the Bill today. He is clearly very passionate and knowledgeable about this issue, and I learnt a huge amount from his opening speech, for which I am extremely grateful. I also pay tribute to the hon. Member for Middlesbrough (Andy McDonald) for his moving testimony. It is characteristic of sitting Fridays that we tend to work more collegiately across the House. My hon. Friend the Member for North Devon (Selaine Saxby) said that it is not a question of whether we do but of how we do, and I entirely agree with her I am really here today at the behest of a constituent who asked me to come to the House and share his experiences, but before I delve into those, it may be helpful for me to give some of my own perspective. Before coming to this place, I too was employed in the NHS, although not as a frontline practitioner; I was not a doctor or a nurse. I worked for the sustainability and transformation partnership, the footprint of the new integrated care systems in south-west London. Along with commissioners across six south-west London boroughs, I looked at all the services that those boroughs provided, and this was a topic that arose during that time. It was obvious to me, when I spoke to colleagues, that there was almost a nervousness, almost a—confusion, I suppose, is the word I am looking for; it is a bit hard to describe—about commissioning medicines of this type I thought it might be helpful for the Front-Bench team to hear a bit about the experience of frontline commissioning, but, as I said earlier, I am really here at the behest of one of my constituents to share his story. I hope the House will indulge me if I go into a bit of detail, because I did find this very profound, and I hope that other Members will agree with me. My constituent sent me an email, in which he wrote: “I would like to explain to you a little of my life which unfortunately has been plagued with intractable chronic migraines and the fallout from such Although suffering all my life with Migraine attacks, 5 years ago I was diagnosed with severe chronic migraine which after a long wait I was prescribed 9 different medications to try and bring the migraines under control, none of which worked only causing nasty side effects Having…sickness constantly with added migraine pain—1 was left diagnosed with intractable chronic migraine with attacks 6 days out of 7, putting me out of work and putting me in a state of deep depression I was fortunate to meet a Dr. who was testing the benefits of Cannabis in neurological cases and after a discussion I decided to follow her strict advice and started self-medicating Cannabis which unfortunately meant sourcing off the black market, something that I’m not in any way proud of but the impact of using cannabis for my ailment was profound Within three days of my first use, my migraine frequency dropped significantly as did…the usual nausea which accompanies my attacks. Within a week, I felt for the first time somewhat normal, depression had lifted, I was able to start work again almost immediately (I was open and honest with my employer who welcomed me back into the workplace and to this day has been extremely supportive) Summarising my experience, I went from someone who saw no hope in any way with modern medicine to someone who almost overnight got their life back. I have one son—aged 12 who has got his father back, and my wife although extremely anti-drugs (a doctor who works in the dental profession) has seen the relief I experience, especially after seeing me for many years hiding in a dark room, in pain, hiding from the world most days to someone who now is relishing in family life. ” My constituent went on to say: “The stigma of the word Cannabis is something that I have had to deal with” This, he said, included “seeking out black market providers which in its self I would not want anyone to go through”, and I think all Members would agree with that.
ParlaMint-GB_2021-12-10-commons.u94	On that point, which I was going to raise later, quite often the issue is semantics. There is a fear about the word “cannabis”, be it medical or not, and we need to get over that. One of my concerns about the Bill is the use of the broad term “cannabis”. I think that my hon. Friend’s constituent has been fighting with that issue.
ParlaMint-GB_2021-12-10-commons.u95	My hon. Friend has taken the words right out of my mouth. When talking to Carshalton and Wallington residents, I have found that there is a sense of stigma, and a stereotype, associated with the word “cannabis”.
ParlaMint-GB_2021-12-10-commons.u96	Earlier this week, we started talking again about drugs from a public health perspective. We need to tackle the stigma of not only drugs, but alcohol addiction. No one chooses addiction. There are many things that we can do, including removing the exclusion of addiction from the Equality Act 2010, and properly funding addiction and rehabilitation services, but, again, this comes down to the financing.
ParlaMint-GB_2021-12-10-commons.u97	My hon. Friend is absolutely right.
ParlaMint-GB_2021-12-10-commons.u98	My hon. Friend is being very generous with his time. A point that occurred to me earlier is that one of the problems that we have when we debate this issue in Parliament and elsewhere is the conflation of national drugs policy and policy relating specifically to medicinal drugs—in this case, specifically medicinal cannabis. In many ways, it is deeply unhelpful when those two matters are conflated, because people come at them with strong opinions. However, the case study that my hon. Friend is outlining today shows the relationship between the two, and I am grateful to him for bringing that to the attention of the House. May I make a plea to everybody here—I hope that he agrees—not to fall into the trap of conflating the two issues, because although they are very important and we should have a discussion about both, they are vastly different?
ParlaMint-GB_2021-12-10-commons.u99	I totally agree. Indeed, I had no intention of opening the can of worms around recreational use, decriminalisation, legalisation, or whatever term we might want to use. I hope that my hon. Friend can rest easy in the knowledge that I will not go there, as they say My constituent said that he would not want to put anyone else through having to seek out black market providers, and that somewhere in the back of his mind was always the worry of being prosecuted, but to him the benefit outweighed the risk tenfold.
ParlaMint-GB_2021-12-10-commons.u100	The case that my hon. Friend is outlining highlights real concerns about the side effects of smoking recreational drugs, including potential mouth cancer, potential throat cancer and potential psychosis, as well as the unpleasant social activities. I have had constituents who have had to live next door to people who take recreational cannabis, and it really is not a pleasant situation to be in—and then we get into the issue of potential secondary smoking and all those kinds of things. That is why constituents such as my hon. Friend’s should not have to go through that route.
ParlaMint-GB_2021-12-10-commons.u101	I totally agree. It might be of some use to the House if I read a little more of my constituent’s reflections, as he went on to say: “Then came along the introduction of Drug Science and their Project Twenty 21, this gave me the ability to seek professional help, to be able to get a prescription to legal Cannabis flower to which I vape as a preventative and when needed as a pain killer. I still get migraines but luckily now I have a medicinal way to cope and quell most of the side effects, literally giving me my life back Although this does sound like a fairy tale, with a happy ending, there is a darker side to this Currently the expense and experience of being with a private clinic and private dispensary/pharmacy is quite strained, adding anxiety and stress into the situation. We rely on the ability of both the clinic’s and Dispensary’s to keep us in prescription which does not happen and is quite literally floored. Medication is imported into the UK, its very often caught up in customs and the added issues with Covid has broken supply chains Dispensary’s are often out of product and the clinics are not kept abreast of this so many re-writes of prescriptions have to happen and thus costing time to get the needed medication and cost for re-writes. This all breaks down to us the patients being without medication, sometimes up to a month, putting us back at square one (prescriptions have to be written monthly) On top of the supply and demand issues, quality is also something that has been with issue, many reporting to Yellow Card unusable medication due to sub-standard product and often mould that cannot be used – with no way of a refund or quick turnaround of a re-stock Without a shadow of a doubt this would never happen under the NHS but as we have no other choice in the matter its either suffering under private clinics or unfortunately breaking the law and turning back to the black market There are many thousands like me in this position, I’m but a single drop in a large ocean of people with similar experiences, I would like to draw your attention to this so you may air this as unfortunately the situation is not getting better. I understand that the primary concern is for children with epilepsy though there is a much larger footprint of people benefiting from medical cannabis and this should whole heartedly be pulled into the NHS to better control and support patients I would be grateful if you could keep this all”— he refers to all of us in this place— “in the back of your mind so you have some real world information from one of your local constituents of the big picture surrounding medical cannabis, it’s time for this to be pushed forward as it was supposed to have been back in 2019… Luckily medical cannabis has given me my life back, I hope others can benefit in the future but it needs to be under the protective umbrella of the NHS. ” I thank that constituent for sharing what was obviously a harrowing story, and for permitting me to raise it on the Floor of the House this afternoon. I am sure colleagues will agree that that was incredibly brave, so I am very grateful to that person for allowing me to do so We have heard many constituents’ stories during the debate, although we have explored just two elements of them—childhood epilepsy and the migraines that my constituent has suffered. I would like quickly to bring in one more, which is the exploratory research being conducted on the use of CBD for fibromyalgia and other treatment-resistant neuropathic pain I know the suffering that those conditions can cause, especially when there is so little known or understood about them; I have many family members who have been diagnosed with fibromyalgia or similar conditions. Again, I have seen the benefits that CBD can bring, but I agree with colleagues about the need for robust research. I do not think it is a question of whether we will get there, but a question of how. I hope that the Minister has been able to take on board the experience—
ParlaMint-GB_2021-12-10-commons.u102	Does my hon. Friend agree that the law is very clear that medical professionals can prescribe non-licensed cannabis products, but the question is why clinical commissioning groups are not funding that? That is what we have to address, to force them to fund it.
ParlaMint-GB_2021-12-10-commons.u103	I totally agree with my hon. Friend. I have experience of working in what we might call a super CCG, which is now an integrated care system, looking at commissioning at a strategic level across six London boroughs, which is by no means a small footprint—we commissioned services for more than 1 million people when I was there, including for four of London’s biggest hospitals. I agree with the shadow Minister, the hon. Member for Tooting (Dr Allin-Khan), that practitioners were screaming from the rooftops that they wanted to be able to give such prescriptions and, indeed, felt confident about that. I will not say that they all were—a lot of the colleagues I used to work with in the NHS were not—but a significant amount were confident. From a commissioning perspective, when we were sat in our offices in Wimbledon, talking about commissioning services and looking at the health of the six south-west London boroughs we were tasked with dealing with, there was a clear sense of nervousness and even confusion among commissioners. That obviously needs to change and there needs to be some way to support commissioners to make the positive decisions to deliver the funding. I hope that when the Minister responds we will hear a little bit about what the Government can do about that In bringing my remarks to a close, I emphasise that the constituent experiences we have heard about in this debate, including from the constituent who was kind enough to allow me to read out their story, have been profound. That should be in the back of all our minds when we discuss this issue, because there are real-life implications that we do not always see when we pore over the details of text. I look forward to hearing from the Minister what we can do to unlock some of the issues we have explored in this debate.
ParlaMint-GB_2021-12-10-commons.u104	I thank my hon. Friend the Member for Manchester, Withington (Jeff Smith) for introducing this important Bill that could improve the lives of so many people. As we have heard, it could particularly help families with children affected by serve treatment-resistant epilepsy, for whom cannabis-based products may be the only treatment that works. I pay tribute to my hon. Friend the Member for Middlesbrough (Andy McDonald) for his powerful appeal on behalf of the Bill My constituent Zoe Kirkman contacted me several years ago when she was seeking treatment for her son Riley, who experienced severe seizures up to 30 times a day that were very distressing for both him and the rest of his family. Ms Kirkman told me she was worried that he could die at any moment as a result of a seizure. These are the fears of parents and that is what drives them Riley’s condition has led to his missing a lot of education and being out of school a lot. As she could not access cannabis-based treatment for Riley on the NHS, Zoe Kirkman was forced to purchase THC and CBD products privately. As we have heard, many families are in a similar position, left with no choice but to pay hundreds of pounds a month—in some cases thousands—for private prescriptions. THC products work better for Riley, but Zoe Kirkman told me that there was little support alongside the prescriptions when they were purchased privately. The fact that parents are pushed into private prescriptions with little support must have some weight with us Thankfully, the cannabis-based treatments that his mother bought have reduced Riley’s seizures significantly and allowed him to stop taking a lot of his medications. However, he is still out of school because his school cannot include the cannabis-based treatment in his rescue package, as it is not prescribed on the NHS. For the same reason, Riley cannot access respite care, which would help him, at St Francis children’s hospice. Will the Minister say why schools and respite-care facilities such as hospices cannot be allowed to administer the oils that make such a difference to children such as Riley? Zoe Kirkman tells me that if Riley has a seizure because of a gap in the treatment, it can take weeks for his condition to settle down again In July 2018, I wrote to the then Home Secretary to raise Riley’s case. I received a belated response from a Home Office Minister in January 2019—more than six months after my initial letter—saying that following the changes to the law in November 2018, he hoped Riley would be receiving the treatment he needed. Of course, he is not receiving that treatment. The campaign group End Our Pain estimated that, a full three years on from the rescheduling of cannabis-based products to schedule 2 to the Misuse of Drugs Regulations 2001, just three children living with severe epilepsy have received an NHS prescription. As we know, two of them were at the centre of the 2018 campaigns. We have heard that a number of times in this debate and it is right that we focus on the fact that there have been just three prescriptions, and ask why When the Health Committee ran its inquiry on medical cannabis in March 2019, it heard from Peter Carroll, the campaign director at End Our Pain—we heard about him in earlier speeches—who said: “What has happened is that hopes have been correctly raised, because this offers a lot of hope and benefit to a lot of people, but we have now moved across to implementation and the honest reality is that it is a disaster…The families…should be getting prescriptions…and watching their children…hopefully…improving day after day. ” After the Government raised hopes with the change in the law, it is a great pity that they have not increased access to medical cannabis for those who need it in line with the findings of the review that they commissioned in 2018. I hope that the Minister will explain why While I accept that we still need more research and studies into the effectiveness of cannabis-based products for treatment-resistant epilepsy in children, the Bill would offer important measures to increase the number of doctors who could prescribe such products and widen access to them through its proposed commission I asked Zoe Kirkman what she hoped for. She told me it was a purer form of the medication, because the products available to purchase contain a lot of synthetic ingredients and she worries that they could have long-term side effects for Riley. I hope that, through the Bill, Zoe Kirkman and Riley, and many families like them, will finally be able to access the treatment they need through the national health service The Bill contains a proportionate set of measures, with a commission to propose an assessment framework for cannabis-based medicines and their suitability for prescription and to make recommendations of measures to overcome the barriers that we have heard about in CCGs and other NHS structures to accessing cannabis from the NHS for medical reasons We have had a lengthy debate about different forms of trials. The commission could consider evidence from observational studies and from other countries as well as conventional control trials. My hon. Friend the Member for Manchester, Withington made an important point about evidence that could be weighed from EU countries—it is time that we started to think about that. It could also consider the important register of GPs who may prescribe cannabis-based medicines and permit them to do so. That would help to avoid the side effects of the cannabis-based products that Zoe Kirkman is currently forced to buy as the only option available. Most importantly, Riley would be able to attend school and have respite care when he needs it Let us end the years of pain. As my hon. Friend said at the end of his excellent speech, if not this Bill, what else?
ParlaMint-GB_2021-12-10-commons.u105	I welcome this important debate brought by the hon. Member for Manchester, Withington (Jeff Smith). Since 1 November 2018, cannabis-based products for medicinal use have been listed in schedule 2 to the Misuse of Drugs Regulations 2001. The change in law was based on expert advice from the chief medical adviser to the UK Government and the Advisory Council on the Misuse of Drugs, both of whom said that the rescheduling of such products would facilitate the development of clinical evidence All of us in this House have enormous sympathy with individual cases. I pay tribute to the hon. Member for Middlesbrough (Andy McDonald) for telling his family story, which I heard with great sadness and compassion. We also have a wider duty to safeguard through clinical evidence. I feel strongly about safeguarding A change has also occurred in that specialist doctors included on the General Medical Council’s specialist register can now prescribe cannabis-based products for medicinal use where clinically appropriate and in the best interests of patients. GPs may prescribe licensed cannabis-based medicines subject to any restrictions under the product’s marketing authorisation, but the law prevents GPs from prescribing unlicensed cannabis-based products for medicinal use unless it is done under the direction of a specialist doctor. That, at the moment, until we have more licensed cannabis-based products, is there for safeguarding purposes There are licensed cannabis-based products—not very many, but I think there are two or three—already routinely available on the NHS, and access to those licensed products has been promoted. For example, the chief pharmaceutical officer recently issued a reminder to clinical commissioning groups and the NHS trusts in England, highlighting that Sativex, for example, is recommended by NICE and available on prescription. There is also cannabis-based epilepsy medication available On Sativex, I wonder whether that sort of cannabis- based medication would have helped my aunt, who died aged 38 from multiple sclerosis. By the time she died at 38, she was practically blind and wheelchair-bound, so I feel very strongly that the right medication must be clinically looked at and evidenced in order for the right prescriptions to be made.
ParlaMint-GB_2021-12-10-commons.u106	We have heard a number of incredibly personal stories of family members or constituents today, but my hon. Friend’s point is that we should not only let the personal impacts influence us, but ensure that the evidence comes forward as well. Does she agree that it is vital we have both in this debate?
ParlaMint-GB_2021-12-10-commons.u107	I thank my hon. Friend for that comment. Very often in political debate we are driven by emotion, and that is right, because we have that emotion driving us forward to make change. However, that emotion must be tempered sometimes by evidence. When we are trying to get legislation through Parliament, we all know that there must be a good evidence base for us to work with to drive that legislation through In addition to the licensed cannabis-based products, since the change in regulations, doctors on the GMC’s specialist register have been able to prescribe unlicensed cannabis-based products for medicinal use if clinically appropriate for their patients. The law allows GPs to prescribe those products under the direction of a specialist, as part of a shared care arrangement If a GP decides to accept ongoing shared care responsibilities and prescribing, they must be competent to exercise their share of clinical responsibility and confident and happy to accept the associated legal and professional responsibilities of doing so. It is right that we put those decisions in the hands of specialist clinicians, those with the best knowledge of all the treatments available for the conditions they are specialist in However, the law did not relate to funding those products within the NHS, which is governed by a range of processes and procedures to ensure equitable distribution of funding, prioritising funding for those medicines that have proved their safety, quality, whether they work and their cost-effectiveness. This is where the evidence base is vital Currently, almost all cannabis-based products for medicinal use prescribed by specialist doctors are unlicensed medicines, which, unlike licensed medicines, have not undergone rigorous tests for quality, safety and efficacy. They are treatments of last resort, and patients will be at a stage in their treatment pathway where they will be under the care of a specialist doctor who has expert knowledge of their field and of all treatment options and will take responsibility for prescribing. Prescribing is limited to specialist doctors because it is important that that restriction forms part of the checks and balances that the Advisory Council on the Misuse of Drugs asked the Government to put in place when rescheduling cannabis-based products for medicinal use to minimise the risk of misuse and diversion. No matter how much we all want to see a change made, we are all aware that unfortunately there are people out there who would use medical cannabis as an excuse for recreational drug use. We have to avoid that at all costs.
ParlaMint-GB_2021-12-10-commons.u108	On specialist prescribers, perhaps the barrier is not just the fact that prescription is limited, but the stigma around it. GPs are reluctant to engage with anything to do with cannabis because they almost feel that they might get professional blowback as a result of prescribing it.
ParlaMint-GB_2021-12-10-commons.u109	My hon. Friend raises a very good point. I would add that perhaps the reason why GPs are not forthcoming when it comes to working with specialist doctors is that they want to prescribe medicines that they know have been rigorously tested and to be aware of the possible side effects. We have to be aware that GPs take an oath, as my hon. Friend the Member for South Ribble (Katherine Fletcher) said, and part of that oath is that they will not do anything that will damage a patient. If a GP cannot be sure of the side effects or sure that drugs have not been rigorously tested with clinical evidence, they will be less inclined to offer those drugs.
ParlaMint-GB_2021-12-10-commons.u110	There has been a lot of commonality today in the quest for increased knowledge about what is going on and for improving the evidence base, but also for the confidence of practitioners in being able to prescribe. Does my hon. Friend agree that it would unite us across the House if there were a renewed impetus from the Government to increase the information for medical practitioners about what can be done, so more of them can be confident in doing it, as well as a renewed impetus for the funding for research trials? That would give us a common momentum towards what we are all hoping to achieve.
ParlaMint-GB_2021-12-10-commons.u111	I thank my hon. Friend for his points. I have now forgotten his first point—I apologise for that—but I will come on later to clinical trials and the funding for them. Could he repeat his first point?
ParlaMint-GB_2021-12-10-commons.u112	It was about renewed impetus from the Government to improve the outreach of information to medical practitioners so that more of them are aware of the licensed products, their capabilities and the clinical indications. As a veterinary surgeon, I feel very sympathetic to my colleagues in the medical profession, who want to be able to treat their patients with the best evidence base and the best information possible. Ministers could renew the impetus for more information for practitioners, as well as more funding for research. Those were my first and second points.
ParlaMint-GB_2021-12-10-commons.u113	I thank my hon. Friend so much. I just want to reiterate that the chief pharmaceutical officer recently issued a reminder to clinical commissioning groups and NHS trusts in England, highlighting the fact that cannabis-based drugs are available. What my hon. Friend is suggesting is that GPs need to be given even more regular information.
ParlaMint-GB_2021-12-10-commons.u114	Immediately before the last few interventions, the hon. Lady said that we all know that people would try to use medical cannabis as recreational cannabis. I have to ask her where the evidence is for that. The fact is that these medicines are not the same as recreational cannabis. Look at Epidiolex or Bedrolite: people do not use them to get high. We are talking about completely different things. I really think that that is a red herring that the hon. Lady should not have thrown in.
ParlaMint-GB_2021-12-10-commons.u115	I thank the hon. Gentleman for his comments. I retract the statement that “we all know”, but there is a risk that some people may use medicinal cannabis as an excuse for growing cannabis for recreational use.
ParlaMint-GB_2021-12-10-commons.u116	My hon. Friend is making a very good speech. I fully accept the points that other hon. Members are making, but when the law was changed in 2018, it was not changed with a proviso that there had to be a certain amount of medical evidence to support the use of non-licensed cannabis treatments. It gave specialist practitioners the right to suggest that those products should be used. The problem a lot of the time, as my hon. Friend the Member for Carshalton and Wallington (Elliot Colburn) said, is that the clinical commissioning group—the people with the money—will not financially support such a recommendation. There are two sides to this, but a lot of practitioners do want to make sure that these medications come in and are used to support treatments at the earliest opportunity.
ParlaMint-GB_2021-12-10-commons.u117	I am sure the Minister has heard my hon. Friend’s comments and will take them on board.
ParlaMint-GB_2021-12-10-commons.u118	Will my hon. Friend give way?
ParlaMint-GB_2021-12-10-commons.u119	I will give way, but can I then make some progress? Is it on this point?
ParlaMint-GB_2021-12-10-commons.u120	It is slightly separate, as I am going back in my hon. Friend’s speech, but I thank her for giving way. She has taken many interventions, and I think she is doing a marvellous job. I want to go back to her point about specialists being able to prescribe versus GPs. I have a particular concern about the pressures on GPs at the moment, particularly coming out of the pandemic and the fact that there is such demand and such a backlog in the system. My concern is that this is a further complication that GPs would have to work through. Although I am not necessarily against the thrust of where we are going with today’s Bill, does she share the concern that GPs have a lot on already?
ParlaMint-GB_2021-12-10-commons.u121	I would agree with my hon. Friend on the basis that GPs have a lot on at the moment. I know that they are having to get involved in the roll-out of boosters and more vaccinations for covid. Therefore, when doctors in general practice are actually looking after patients, whether face to face or in a telephone conversation, they need to have the certainty, surety and confidence that whatever they are prescribing for their patients has been approved by NICE or whichever organisations are required to approve our medicine prescriptions.
ParlaMint-GB_2021-12-10-commons.u122	I am very grateful for my hon. Friend’s generosity, and perhaps this intervention may allow her to pivot to the rest of her speech. We are almost in a chicken and egg situation now, with only three treatments available through the licensing system, but needing to get so many more through. With GPs or prescribers having only those three to choose from and really not trusting all the evidence before them, we need more evidence. This goes back to what my hon. Friend the Member for Crewe and Nantwich (Dr Mullan) said about needing more hard evidence to give the licensing authorities the confidence to push these things through and, crucially, GPs and prescribers the confidence to be able to make the call about whether these things are the right medicines for the right people. Again, as he pointed out, not every treatment is suitable for everybody, and we need to be absolutely clear that we have the evidence to show that the side-effects are minimal for all groups before prescribers make such calls.
ParlaMint-GB_2021-12-10-commons.u123	Yes, I absolutely agree with what my hon. Friend says, and I will be coming to the call for evidence a little bit later in my speech—
ParlaMint-GB_2021-12-10-commons.u124	Will the hon. Lady give way?
ParlaMint-GB_2021-12-10-commons.u125	Can I just finish one sentence I will be coming back to the need for more evidence and for manufacturing businesses to come forward, because there is huge potential. There is huge potential for manufacturing businesses and pharmaceutical companies to come forward with evidence to expand the amount of cannabis-based products that will and should be available on prescription from the NHS, so that the mothers who are trying their best for their young people and children are not having to pay a fortune to get this medicine privately.
ParlaMint-GB_2021-12-10-commons.u126	It is obvious to see what is going on here—Government Members are trying to talk out the Bill—but an argument was made in the previous intervention that we needed more evidence. This Bill would provide that, because it would bring forward a commission that would consolidate evidence and give a suitable framework for assessing cannabis products. That is what it is all about. Government Members worried about evidence should vote for the Bill.
ParlaMint-GB_2021-12-10-commons.u127	I just want—
ParlaMint-GB_2021-12-10-commons.u128	Will my hon. Friend give way?
ParlaMint-GB_2021-12-10-commons.u129	Is it in relation to this point?
ParlaMint-GB_2021-12-10-commons.u130	Yes. I gently ask Opposition Members to consider whether they can think of any example where we have used primary legislation to further the advance of research for a particular series of treatments. It is not how we do it. There is a whole series of programmes and ways in which we do that in our NHS, and primary legislation is not it.
