ParlaMint-GB_2021-11-15-lords.u1	To ask Her Majesty’s Government when they will publish their white paper on levelling up.
ParlaMint-GB_2021-11-15-lords.u143	My Lords, I shall contribute very briefly to this group of amendments. I fully support the views already expressed. I will not repeat them. I strongly commend the opening speech by my noble friend Lord Blunkett. He set out clearly the direction of travel which this House wishes to take I will speak briefly on Amendment 208B, particularly proposed new subsection (2)(b), which the noble Baroness, Lady Burt, has already eloquently described. It states the need for “an assessment of the welfare and mental health support available to prisoners”— still serving an IPP sentence— “including measures to reduce the risk of self-harm and self-inflicted death” I declare my interests in the register as trustee and vice-chair of the Prison Reform Trust. Again, I thank it for the excellent work it has done over a number of years in this area, culminating in the report by Edgar, Harris and Webster, entitled No Life, No Freedom, No Future. I think this sums up the mood of the House this evening.
ParlaMint-GB_2021-11-15-lords.u144	My Lords, because of the quality and content of the speeches already made this afternoon, I hope I can be quite brief. I begin by declaring an interest as a trustee of the Prison Reform Trust and by commending the report that the noble Lord, Lord Bradley, just mentioned: No Life, No Freedom, No Future, the title of which brilliantly encapsulates the Kafkaesque state of affairs that we see when we consider IPPs. I also briefly thank Frances Crook, the retiring director of the Howard League, for all the work she did and for trying over the years to improve and inform the debate about what goes on in our prisons Our prisons are a secret world. When I was a Member of Parliament I once explained to a local journalist that I thought that all prisons should of course have walls to keep the prisoners in and to protect the public from the prisoners. However, all these prison walls should have windows in them so that the public could see in and learn what is being done on their behalf inside these prisons, but also so that the prisoners could see through those windows out into the world and into society, to see that if things went well for them and if their life, educational and employment prospects were improved by what they were doing and learning in prison, there was a world out there waiting to welcome them back. The journalist said, “Have you considered the public expenditure implications of building all these windows in those walls? ” It is occasionally possible to lose the will to live when discussing something as complex as the state of our prisons Where it is not necessary to lose the will to live is when one listens to the noble Lord, Lord Blunkett, explaining and accepting—very publicly and bravely—that he got it wrong in the early part of his time as Home Secretary. I congratulate him. Most former Home Secretaries—most politicians—spend their post-government life rewriting history. This former Home Secretary has accepted that he got it wrong—I thank him for it—and he is now trying to assist us in getting it right again. I also congratulate the noble and learned Lord, Lord Falconer, on following on that particular train of thought. It behoves all of us in this Chamber, whether we are interested in this subject directly or indirectly, to mend this problem, and it is a problem that needs mending. The noble and learned Lord, Lord Brown, describes IPPs as the greatest stain on our justice system, and he is entirely right. However, it is a stain that we can remove I tabled Amendment 208E and have co-signed Amendments208F and 208G, but I could have co-signed any of these amendments. I simply want to see IPPs abolished. I want to see all those who are on IPPs at the moment either released under supervision or transferred to some other form of more humane sentence which gives those people hope, a life, an aspiration of freedom and a future which they can aspire to. At the minute, they are literally hopeless Some 14 or 15 years ago, when I was shadow Minister for Prisons in the other place when the Conservative Party was in opposition, I made a point in that job of visiting as many of the prisons in our system in England and Wales as I possibly could. There were then about 140 or 145 institutions—adult male prisons, adult female prisons, YOIs and secure training units—and I think I managed to get to about 70 or 75 of them. On a number of occasions I visited prisons where there were IPP prisoners, and the governors universally said, “This cohort of prisoners is the most difficult to manage because they have no hope. ” They did not know when they were going to be released or whether they were going to be there for ever or whether they might be released in a year or two’s time. They had no idea which it was going to be One of the reasons I tabled Amendment 208E is that proposed new subsection (2) of that amendment describes the things within prison which are hopeless and entirely damaging to a fair justice system. Amendment 208E is one of several “six month report” amendments—I say in parenthesis that Amendment 208F is the one to go for if we are to do anything of a positive nature this evening. Amendment 208E, along with others of these “six month report” amendments, describes what is wrong with the system as it currently is. It asks “whether there are sufficient places available for prisoners serving sentences of IPP on offending behaviour programmes” No, there are not. It asks “whether prisoners serving sentences of IPP are able to complete offending behaviour programmes in appropriate time to aid progression milestones such as parole or recategorization” No, they cannot do that. You may be queuing up for a course while you are in, let us say, Maidstone Prison, and then you are churned—moved to another prison—so you will go to the back of the queue, or moved to a prison which does not have the relevant people to lead you on that particular course. Your mental and physical health records take months to follow you to your prison, and when they arrive and when the new governor or the new teaching staff of that prison to which you have been sent catch up with your request—guess what? You are moved to a prison in Bristol, Leeds, Liverpool or somewhere else. It is a hopeless state of affairs, and we should have done something about it years ago It follows that there are not sufficient places available for prisoners serving sentences of IPP in prisons providing progression regimes, for the practical reasons I have just pointed out. Is there availability of other opportunities for prisoners serving IPP sentences to enable them to progress and demonstrate reduced risk, particularly for those who have completed opportunities afforded to them by offending behaviour programmes and progression regimes? Of course not; it is a shambles—a cruel shambles Even on what I call ordinary life sentences, prisoners can do a particular course to demonstrate that, before long, they may become suitable for release on licence. However, if they do them within the first two or three years of their imprisonment, then remain in prison for another 14 or 15 years, all that they may have learned on that course all that time ago has long been forgotten, and all the people who have supervised them in prison have no corporate memory of what prisoner A, B or C learned all those years ago. So when they are reassessed after having completed the tariff, they fail the assessment. Can they get on a course again? Of course not. They are told, “You’ve been on one already. You’ll have to wait your turn, after all the other people”. The simple, practical organisation in our prisons is not fit to cope with this troubled and troubling group of prisoners on IPPs I will end on this point. The thing that a convicted defendant on sentence wants to hear is not a moralising judge telling them that they have behaved very badly and must never do it again, but the number—that is, how long they are going inside for. When they are sentenced to an IPP and hear the tariff of two or five or 10 years, that is the number that sticks in their mind among all the noise and clatter that is going on in their heads and in the courtroom. It is only when they get into the prison van—the sweat box—or get to the prison for their first reception that it dawns on them that the sentence does not mean two years; it means for ever unless they can do something to help themselves. Of course, because of the lack of availability of the factors that I have just addressed, it is almost impossible for that prisoner to help himself to improve, to see some chance of release and to come out as a better citizen again This obscenity must now end. I am sure that my noble friend the Minister and his government colleagues have it within them to do that, and I am sure that they will.
ParlaMint-GB_2021-11-15-lords.u145	My Lords, I add my voice to those who have already spoken in favour of these amendments. I declare my interest as Anglican Bishop to Her Majesty’s Prisons All the detail I was going to mention has already been carefully and expertly explained; again, I pay tribute to the organisations that have been named, including the Howard League, the Prison Reform Trust and UNGRIPP, for their excellent briefing reports and research. It resonates strongly with all the conversations I have with people in prison and family members who write to me or send me emails. The thing I am struck most by is the sense of hopelessness; many noble Lords have mentioned that. I am a proud patron of Prison Fellowship, whose motto is: “We believe no one is beyond hope. ” We really need to listen to that in this debate The indefinite IPP licence goes against all the evidence about what enables people to move away from offending. As we have heard, people need to feel hopeful about their future. They need to have a plan to work at. As we have heard, the IPP licence stops people being able to look forward to a different future. It disrupts relationships and breeds anxiety, despair, hopelessness and alienation. Much more could be said, but I think it has all been said; I am heartened by the strength of feeling so apparent in your Lordships’ House I agree that this Bill provides a timely opportunity to address this enormous injustice of IPP sentences. I stand with those seeking to make these changes.
ParlaMint-GB_2021-11-15-lords.u146	My Lords, it is a privilege to follow the right reverend Prelate and precede, I think, the noble Lord over there. I just want to say, it all may have been said, but not by me. None the less, I will be brief because—it is not often I feel like saying this—it has been an absolute privilege to listen to today’s debate. Every point of morality, sensible practice and detail on this compelling menu of amendments has been made I want to make the briefest of pleas to the Minister, who has been a distinguished commercial barrister for many years; I, by contrast, have been a humble student of the miserable world of justice and home affairs. I also want to make a political point, of all things, in a debate that has been so rarely elevated above politics. I believe that today presents the beginning of an historic opportunity in our politics in this country. For most of my adult life—indeed, pretty much all of it—we have been embroiled in an arms race, particularly around incarceration, that has put us on a path which is more like the American one than a sensible path from anywhere else, let alone the path we might be on. How often do you hear someone of the stature of my noble friend Lord Blunkett say, “This was a mistake. Hands up; it is a fair cop. I am offering a bipartisan hand to help set this right”? I have not heard anything like that in justice and home affairs in my time as a student of these issues What is more, this is about rectifying a mistake that the Minister’s party already accepts was a mistake; that is why these sentences are no longer available to new offenders. The Minister, his party and his Government ought to be half way—indeed, three-quarters of the way—there already, in rectifying what my friend, the noble and learned Lord, Lord Brown of Eaton-under-Heywood, called “the great stain”. We are so close. The Minister has an historic opportunity to begin to put this right. How often does an opportunity like that come about? The point about this stain is that it is wrong in itself, and it is terrible for all those hopeless people whom the noble and learned Lord, Lord Garnier, the noble Baroness, Lady Burt, and other noble Lords mentioned. It is also a symbol of both injustice and the arms race I mentioned. That is why this opportunity is so precious and important It is ever harder to justify an unelected second Chamber—your Lordships’ House—nearly a quarter of the way into the 21st century but, if the Minister listens to the debate and does not slam the door closed to reason, today might just be enough for the moment.
ParlaMint-GB_2021-11-15-lords.u147	My Lords, I strongly support all the amendments in this group, not least because the cause of prisoners serving indeterminate sentences has been languishing ever since such sentences were formally abolished by LASPO in 2012. I commend the tireless work of my noble and learned friend Lord Brown of Eaton-under-Heywood on their behalf. For nearly 27 years, since my first inspection as Chief Inspector of Prisons, I have been campaigning for changes to be made to the operational management structure of the Prison Service to bring it in line with the practice in every business, hospital or school: to appoint named people responsible and accountable for particular functions within the organisation concerned In the case of prisons, I have campaigned for separate directors to be appointed for every type of prison, and for certain types of prisoners—lifers, sex offenders, women, young offenders, the elderly, foreign nationals, and those serving indeterminate sentences. Imagine how easy it would be for Ministers interested in IPP, for example, to send for the relevant director and question him or her about what was happening or not happening to all prisoners in that category. I had hoped that somewhere in the 298 pages of this monstrous Bill, space might have been found for something so practical. However, as that is clearly not going to happen, I stringently commend the change to the Minister.
ParlaMint-GB_2021-11-15-lords.u148	My Lords, I find myself in a puzzle. The Government of the noble Lord, Lord Blunkett, and the noble and learned Lord, Lord Falconer, who introduced this form of sentence, have indicated that they would not have introduced it if they had known how it would work. A different Government, the coalition Government, of which the present Government formed the majority, saw the iniquities of it and Parliament got rid of it. Therefore, we now have a strange system. We have people in custody under the old system and people with the same record, the same problems, the same issues arising, who are not subject to the same sentences as each other. That seems rather strange, but in terms of an Act of Parliament, it is an utterly illogical situation for the Government now not to at least address the consequences of the sentence having been abolished in the 2012 Act Quite rightly, that was not made retrospective. I see that retrospectivity must be avoided, but we have been going on with the sentence that has been abolished for eight or nine years now. We all know that something must be done. I am not making a personal comment about the Minister, but everybody knows that it must be done, including Ministers in the Home Office and the Ministry of Justice. We must do something about it, in fairness and logically I added my name in support of the amendment tabled by the noble and learned Lord, Lord Brown, but all these amendments are asking one simple question: “You must do something, so will you now tell us what it is? ” It is no good us being in a situation where “Something must be done” when “What is going to be done? ” is the real question.
ParlaMint-GB_2021-11-15-lords.u149	My Lords, I hope that the Minister can acknowledge that this is one of those comparatively rare occasions when noble Lords from all parties and none and from across the House have come together in the face of overwhelming evidence that a great public policy, in this case a great criminal justice policy, has gone disastrously wrong. It is beyond argument that IPPs have resulted in periods of incarceration out of any reasonable proportion to the gravity of the original crimes for which they were imposed. That is wrong. It is beyond any reasonable argument that these sentences are beyond any proportion to the risk that continues to be represented by any of the offenders to the public. That is wrong. There is the strongest evidence before the Government that IPPs are observably responsible for persistent and continuing injustice. The noble Lord, Lord Hunt, spoke very movingly about the reality of those injustices for those who are suffering under them I declare an interest as president of the Howard League and in doing so repeat what a number of noble Lords have said about the contribution made by Frances Crook. She has been a monumental figure in criminal justice, which is better today for her work than it would have been without it. The Government now have an opportunity to make a startling improvement to our criminal justice arrangements by the simple expedience of doing away with IPPs in their entirety; I agree with the noble and learned Lord, Lord Garnier, in this respect. The evidence could not be clearer. I support all these amendments and urge the Government now, in the face of this overwhelming case, to act.
ParlaMint-GB_2021-11-15-lords.u150	My Lords, I hope that when the Minister responds to this debate, he can put away the departmental brief and respond to two simple questions. The first is whether he accepts that the present system is unacceptable. The second, which the noble and learned Lord, Lord Judge, posed, is: what will the Government do about it? This is not a new problem. The Government have had years to think about the options and to consider what to do. The noble Lord is already a very distinguished Minister of Justice. Can he say what the Government will now do to address a manifest injustice?
ParlaMint-GB_2021-11-15-lords.u151	My Lords, I have met a few of the people who these sentences are designed to control, and quite often they are terrifying. Some of the things that they have done are awful. However, the present situation is indefensible. It is unfair because, as the noble and learned Lord, Lord Judge, has said, they do not know how long they will be detained, and because many of them have been detained since before the law was changed. It is really trying to deal with the basic problem of dangerousness, which is very hard to define. Doctors cannot define the mental illness that they suffer from, as has been mentioned already. This should be addressed far more clearly There are only two ways forward. First, many of these amendments are talking about research in the future, but we need more research into the medical definition of the type of illness which we define as “dangerousness”, of people seeming likely to commit an offence in the future. This is not mentioned anywhere in the amendments. I recommend that there is good investment to be made there Secondly, what is presently indeterminate must be made determinate. I do not suppose that anyone has yet argued that all the people who are detained under these restrictions should immediately be emptied from the prisons on to the streets, but it is entirely possible to see a transfer of that risk either into the health element of prison control—Broadmoor or similar institutions—or a far better way of dealing with them within the community. To continue carrying the risk entirely within the prison estate in the numbers that are described is entirely wrong and I cannot see that it is defensible for this Government to continue doing so.
ParlaMint-GB_2021-11-15-lords.u152	I was not intending to contribute to this debate, but I think decency requires me to do so, because looking in the past, I was the person who perhaps failed the noble Lord, Lord Blunkett, in persuading him at his time as Home Secretary of the extent of the error which he was making. I think he may remember that I did attempt at the time to dissuade him from this course, but I obviously failed and we see now the consequences of the biggest mistake made in the criminal justice system during my period as a judge. I hope that the House will bear in mind that, if a mistake of that nature is made, there is a huge burden on each one of us to try, as far as we can, to put it right This is the first time I have contributed on this subject and I apologise to the House for not doing so earlier. For reasons of health, I was not for a time taking part in the activities of the House, but I thought the House would like to know how I feel about this as a former Lord Chief Justice and the person who carried out an important report into prisons, which I hoped would provide a better system than we have now.
ParlaMint-GB_2021-11-15-lords.u153	My Lords, I am humbled by speaking at the end of an extraordinarily strong debate. It was eloquently and, as many have pointed out, courageously opened by the noble Lord, Lord Blunkett. He has been supported by many movers of amendments and others, among them the noble and learned Lord, Lord Brown of Eaton-under-Heywood, whose campaigning against IPPs has been a model for us all. I hope the Government will take note of the unanimity in this House on the issues surrounding IPPs From these Benches, my noble friend Lady Burt, with her extensive experience of working in the Prison Service and of the injustice of IPPs to individual prisoners, has spoken movingly to her amendments and supported all the amendments in the group, so I will add only very briefly to what she and others have said These amendments give this House a chance to send this Bill back to the House of Commons to give it an opportunity to right a wrong that has for far too many years been a scar on our penal system, on our national self-esteem and on our international reputation for fairness and justice. The continuation of the unwarranted detention of IPP prisoners—1,700 never released and 1,300 recalled for breach, often for utterly trivial reasons—has kept them incarcerated for years on end, way beyond their tariff terms, without any moral, intellectual, philosophical or human justification of any kind We support the ending of this injustice unreservedly. At Report, we will vote for whatever of the amendments then before the House appear best placed to end this disgrace as quickly as possible.
ParlaMint-GB_2021-11-15-lords.u154	My Lords, I have already spoken once. I speak very briefly to say two things. First, what an impressive debate this has been. I draw attention in particular to the speeches of my noble friends Lord Blunkett, Lord Hunt of Kings Heath and Lord Bradley, the noble Lords, Lord Moylan, Lord Ramsbotham and Lord Hogan-Howe, and the noble Baroness, Lady Burt. I draw attention to them because they are not lawyers; they are people who have had contact in other ways with this system and come to the conclusion that it should end Secondly, we on this side of the House support all the amendments. Some are alternative ways of dealing with a particular problem, but we support all the proposals. We are not, in the amendments before the House, going as far as some of the speeches went. We are not suggesting the immediate abolition of the sentence. We are saying: support for those in prison to try to get released; support for those who are released to get proper help; and an easier process of having consideration of the licence being got rid of As the noble and learned Lord, Lord Brown of Eaton-under-Heywood, said, the one with the teeth is Amendment 208F. It says you get rid of these licences and release the person if they have served more than the sentence for the offence. If you have been sentenced to five years in prison, and that is the maximum sentence, once the maximum is reached, unless the detaining authority can prove that you are still a risk, you get released. If you are still below the maximum sentence for the offence for which you were convicted, but you have been in for 10 years, the same principle applies. It is an incredibly sensible way of ensuring the sentence goes for those who have got it, but you keep inside those who represent a severe danger, as long as the detaining authority can establish that they remain a danger I very much hope that the Minister will be able to give some words of comfort to the effect that these very moderate proposals will be taken up by the Government. If there are amendments to these proposals, of course, everybody in the House will consider them, but it is time for a change. These modest proposals require consideration for this Bill, because the biggest disappointment would be to be told that it is coming at some later stage.
ParlaMint-GB_2021-11-15-lords.u155	My Lords, Amendments 208A to 208H relate to offenders serving sentences of imprisonment for public protection commonly known as IPPs. The noble Lord, Lord Pannick, who was very kind about my work as a Minister, invited me to put away the departmental brief. I am not going to do that, not least because it might mean that my work as a Minister here ends somewhat prematurely. But that is not inconsistent, I hope, with making it clear to the Committee that I have listened carefully to the debate and to the points raised around the Chamber. I will reread the debate in the Official Report as well Of course, I feel the mood of the Committee—that would be impossible to miss. The speeches have been powerful and sometimes heartfelt. Without wishing to ignore others, may I say the contributions from the noble Lord, Lord Blunkett, and the noble and learned Lord, Lord Woolf, about their personal part in the genesis of IPPs have been unusual and moving. This politician, may I say to the noble Baroness, Lady Chakrabarti—although I see myself still as a lawyer, not a politician—certainly is trying to get this right. I do not think this is an issue which admits of easy analysis. To use the words of the noble and learned Lord, Lord Judge, it is something of a puzzle, which requires looking at carefully and solving I am grateful to those noble Lords who have met with me and discussed the issue. I am sure we will have further discussions between now and Report. I should say that I read Matthew Parris’s column at the end of July as well I will go through the amendments and set out the Government’s position, then I will come back at the end to some more general points. Four of the amendments, Amendments 208A to 208C and 208E, the latter from my noble and learned friend Lord Garnier, would require the Government to conduct a review on matters such as sentence progression, resettlement and supervision of prisoners serving an IPP sentence, and to lay a report before both Houses of Parliament The Government recognise that work needs to be done in relation to this group of prisoners. I will set out the work that has been done so far. We have put together what I think has been a successful action plan dedicated to the rehabilitation and risk reduction of IPP offenders. We continue to work to increase opportunities for IPP offenders to progress through their sentences via this plan. A qualified psychologist leads a review of the case of every IPP prisoner who is not making the expected progress. Between July 2016 and September this year, which is about five years, just under 1,700—1,679—reviews were completed; 440 prisoners were subsequently released and a further 474 secured a progressive move to more open conditions My noble and learned friend Lord Garnier commented on the availability of courses for IPP prisoners to help them make that progress. It is right that during the pandemic there were fewer places on some group interventions. We asked offender managers to look at other sorts of interventions to draw evidence from them for the parole reports. However, we have now been able to ramp up the provision again. Not all IPP prisoners will require the same interventions, of course, but we try to make sure that each prisoner has a suitable pathway, as it is called, to a future safe and sustainable release. That is the focus of the programme. There is a range of interventions, including places on progression regimes, other accredited programmes and places in open prisons. Where a programme is not available for an offender, the prison offender manager would seek to have the prisoner transferred to a prison where the programme is available, subject to a risk assessment and available places. In the meantime, other work would be identified so that the prisoner could undertake that work We believe that the action plan is working. High numbers of IPP prisoners are being released each year and the proportion of positive Parole Board decisions remains high. I do not think anybody mentioned this, but let me put it on the record that the Justice Select Committee in the other place has recently launched an inquiry into IPP sentences. Its stated aim is to examine “the continued existence of IPP sentences and to identify possible legislative and policy solutions. ” The Select Committee will scrutinise what the Government are doing. I have no doubt that it will provide recommendations, which the Government look forward to hearing. I therefore underline that we are doing work in this area. We do not believe that a separate government-led review is necessary at this time I turn to Amendment 208D from my noble friend Lord Moylan. Currently, an IPP offender may apply to the Parole Board to have their licence terminated once 10 years from their first release from custody has elapsed. To do that, the offender must give their permission to the Secretary of State to apply to the Parole Board for licence termination on their behalf. The first part of this amendment would therefore remove the legal requirement for the offender to give their permission. Instead, offenders would be automatically rereferred for consideration each year, were they unsuccessful. The second part would change the time period from 10 to five years.
ParlaMint-GB_2021-11-15-lords.u156	None of the amendments would mean that there would not necessarily be a consideration by the Parole Board, including Amendment 208G, which is the two-year automatic end unless the Government made an application to the Parole Board, so I am not quite sure what the basis of rejection of that one is.
ParlaMint-GB_2021-11-15-lords.u157	I am not basing it only on what I have called automatic termination. The scheme set out in Amendment 208G would represent a very different approach to management on licence and, for the reasons I have set out, that is not a form of management which we think provides adequate protection to the public. I may come back to that Amendment 208H creates a power for the Secretary of State to release an IPP offender who has been recalled to prison, so long as the Secretary of State is satisfied that it is not necessary for public protection for the offender to remain in prison. The position at the moment is that the Parole Board has a responsibility to assess whether offenders are safe to be released into the community, even after an IPP offender is recalled to prison. They can take a decision to rerelease from only 28 days after the offender is recalled. We believe that the Parole Board’s expertise in determining whether offenders serving indeterminate sentences are safe to be released is, as I said, an essential tool of public protection If I may, I come back to where I started, with the words of the noble Lord, Lord Pannick. Again, I am grateful for his kind words. I agree that there are certainly problems with the current system; we are looking at it. We believe that our IPP action plan has achieved significant results and we keep it under constant review. The noble and learned Lord, Lord Judge, in what I have learned to be his habit of putting his finger on the point at issue, asked, “Well, what is going to be done? ” I hope that I have made it clear that I have listened to the debate very carefully, and that I have no doubt of the mood and the strength of feeling of the Committee. I am also sufficiently acquainted with the ways of this House to anticipate what might or might not be moved on Report as and when we come to it. I can say this afternoon that I will continue to work on this issue—a number of noble Lords know that I have been working on it already—and to listen to the debate, but for the moment, I ask noble Lords who tabled this amendment to withdraw it.
ParlaMint-GB_2021-11-15-lords.u158	My Lords, there can be no disagreement that this has been a thoughtful and deeply impressive debate—the kind of occasion that does massive good to the reputation of this House. I hope, therefore, that the Minister’s words at the beginning and end of his response will give us some hope for the future. On a lighter note, I have to say that the noble and learned Lord, Lord Woolf, gave me so much advice when I was Home Secretary that I have difficulty remembering which bits of it I took and which I did not On this occasion, I have said already that we clearly have got it wrong, and we now have the opportunity to put it right. The House of Commons Justice Committee has not yet started its process; even with the length of debate on the Bill and the number of days that will be added, it will not have reported in time for us to be able to use this vehicle, and I see no other vehicle coming down the road. We have a chance and, given the Minister’s opening and closing remarks, we may have the opportunity to get this right. It would be admirable and most sensible if the Government were able to bring forward their own proposals before Report, through amendments, guidance and any further regulation by subsidiary legislation they are prepared to use, but if we do not get some movement in time for Report, I believe there is unanimity across all parts of this House that we will have to take action. When we do, I hope that we will have the kind of unanimity we have had this evening. I beg leave to withdraw the amendment in my name.
ParlaMint-GB_2021-11-15-lords.u159	My Lords, Amendment 209 seeks to reinforce the existing provision of maternity services for pregnant women and their babies in prison. Noble Lords who follow these matters will know that many women’s prisons have mother and baby units, but they are not equipped to facilitate childbirth, and the birth should always take place in hospital. However, around one in 10 does not: either the baby is delivered on the way to hospital or still inside the prison I have experience to bring to bear on childbirth in prison which I imagine no other Member of your Lordships’ House possesses. I have been, at least nominally, in charge of a prison when an inmate started labour. I was in my early 20s at the time, a new and highly inexperienced assistant governor at Holloway Prison on evening duty, so nominally in charge of the jail. The news that an inmate had started labour was received with glee by the officers, who delighted in telling me the good news and watching the expression of panic on my face. Fortunately for me, and the woman giving birth, these officers were highly experienced in handling these circumstances. An ambulance was summoned, and the mother-to-be was promptly sent off with an escorting officer to hospital. The outcome was a happy one More than 40 years later, pregnant women are still sent to prison, locked up with no agency to determine their fate, and the outcome is sometimes very different for the mother and the child. Now is not the time to delay your Lordships with an argument for not sending pregnant women to prison, much as I would like to, but it is important that provisions are watertight and that women and their innocent babies are kept as safe and well as possible because we know that things can go very wrong I turn to the scandal of Baby A who was born at HMP Bronzefield on 27 September 2019 and who died alone with her mother, not to be discovered until the following morning. The pathologist was unable to determine whether this baby died before or after birth. HMP Bronzefield has a mother and baby unit, but for some reason Ms A was deemed unsuitable for the unit, so she and her unborn baby were left to the mercy of the general prison staff, medical and general, who regarded her as difficult. I am sure that she undoubtedly was difficult. Going back to my time at Holloway, I remember being put in charge of what was then termed the Borstal unit. That was full of difficult young women who presented immense behavioural challenges to the staff and with whom they were very unpopular. It was not until I went into the backgrounds, upbringing and abuse that those young women had suffered that I began to understand what had contributed to that behaviour Forty years later, Ms A was one such vulnerable young woman. She was only 18 years old, but her young life was already beset with abuse and trouble. I know what a pain a young prisoner can be. I was in charge of a whole wing of them, and I get why Ms A was not Ms Popularity with the staff, but it was known that she was extremely vulnerable, mistrustful and terrified of having her baby taken away from her. The ultimate irony in the case of Ms A is that she had not been convicted of a criminal offence. She was on remand, and three days after she had suffered the trauma of giving birth alone in her cell and losing her baby, this vulnerable, traumatised young woman was released on bail I do not want to pile further agony on the staff at HMP Bronzefield specifically, but it is crystal clear that the service given to troubled pregnant women in prison is not fit for purpose, hence this amendment, which sets out the very least a pregnant woman should receive, whatever her circumstances. The amendment is based on the recommendations of the Prisons and Probation Ombudsman in its report and subsequent inquiry: an appropriately qualified midwifery lead in every woman’s prison; a maternity pathway to include prisoners who decline to engage with the maternity services available; making sure that prisoners have access to psychological and psychiatric services; training for staff to understand and deal with young women—and men, for that matter—who have experienced trauma which is contributing to their behaviour; appropriate training to deal with emergencies for neonates and children; and the physical tools to resuscitate them I acknowledge and welcome the work that is being done in the extensive review of care for pregnant women, which was published in September in the pregnancy, mother and baby units and maternal separation in women’s prisons policy framework. There are some helpful recommendations, including early contact and signposting to services, more extensive central reporting on women in MBUs including reasons for non-admission decisions and additional welfare checks. However, I still look forward to hearing what the Minister has to say about these recommendations in my amendment and how people such as Ms A and her lost baby will be better helped in future. I beg to move.
ParlaMint-GB_2021-11-15-lords.u160	I congratulate the noble Baroness, Lady Burt, on her extremely moving opening speech. I agree wholeheartedly that pregnant women should not be in prison. We have abysmal conditions in many jails and they are not the place for a pregnant woman. A pregnant woman might be difficult. I have been pregnant twice and I can guarantee that I had some difficult days—some people might argue that I am still having them. When women suffer in this way—and trans men who are having babies—there are lifelong repercussions, I hope for the Government as well as for the women and their babies The Howard League for Penal Reform has highlighted the fact that pregnant women in prison are routinely denied access to suitable maternity care and that babies have died as a result. Many women and transmen in prison have very complex needs physically and sometimes mentally. As the noble Baroness, Lady Burt, explained, they often have a history of abuse, neglect, addiction and poverty. The Government are not helping. They are not recognising those problems and do not understand their role; while prison is a punishment, rehabilitation has to take place afterwards Women in prison should receive at a minimum the same standard of maternity services as women outside. Of course, they often have additional challenges and are in need of specialist midwifery care, which should be supplied. When we punish these women in prison, we also punish their babies, and that cannot be right. Getting this right will change the lives of prisoners and families, and have an impact for generations. Like the previous amendment, this is something the Government have to pick up.
ParlaMint-GB_2021-11-15-lords.u161	My Lords, I have added my name to this amendment and I warmly commend the speeches of the noble Baronesses, Lady Burt and Lady Jones. Reading the report of the shocking death of Baby A is salutary indeed. It took me back to the debate we had earlier in Committee, looking at the special needs of women in prison and the effect of custody on those women and their children I refer back to the speech made by the noble Lord, Lord Marks, when he referred to the briefing from the charity Women in Prison. This related how more than 53,000 children each year were affected by their primary carers being sent to prison and that 95% of children whose mothers are in prison were forced to leave home. One sentence encapsulated it for him: “‘We’ve been sentenced’, says a mother, ‘but they’ve been sentenced with us. ’”. —[Official Report, 1/11/21; col. 1036. ] The point was also at the heart of the contribution made by the right reverend Prelate the Bishop of Gloucester. She said that parental imprisonment was, for the children concerned, a well-recognised predictor of mental ill-health, poor educational achievement and employment prospects, and future criminality. It sets a context for discussing the particular circumstances of Baby A and pregnant women prisoners Of course, there are many lessons to be learned in respect of both HMP Bronzefield and the prison system as a whole. The report of the Prisons and Probation Ombudsman made a number of very important recommendations. In particular, there was a recommendation of principle that, as the noble Baroness referred to, all pregnancies in prison should be treated as high-risk by virtue of the fact that a woman is locked behind a door for a significant amount of time and there is likely to be a high percentage of avoidant mothers who have experienced trauma and are fearful of engaging with maternity care. The noble Baroness, Lady Burt, listed some of the key recommendations. I just want to focus on what I would call “system recommendations”. A specific recommendation was made to the director of health and justice for NHS England to consider the findings and recommendations of the report and ensure that the learning is applied across the women’s estate. It went on to say that this should include recognition that a clinic-based community model of midwifery care was not appropriate for custodial settings, and that all pregnancies in prison were high-risk. What response has been received from NHS England and what co-operation is being given by NHS England to the Prison Service to take forward that recommendation I, like the noble Baronesses, welcome the new policy framework for prisons on pregnancy, mother and baby units and maternal separation as a significant step forward, but I am sure we need to do more. I was struck by the comments of Dr Edward Morris, president of the Royal College of Obstetricians and Gynaecologists, who said: “The next step is to ensure that these policy commitments are translated into practice on the ground across all women’s prisons, and that all staff in women’s prisons receive the right training to provide women with the information and support they need. Alongside strong links to the local midwifery team, we feel strongly that all maternity services located near to a women’s prison should have a designated obstetrician with responsibility for ensuring high quality care for women in prison. ” I very much agree with that. I, too, would welcome some reassurance from the Minister that his department is taking these recommendations seriously. I particularly urge on him the need for the closest co-operation between his department and NHS England. At the end of the day, the lessons learned from this tragic case must be applied to the prison system as a whole.
