ParlaMint-GB_2021-11-17-lords.u1	That the Bill be now read a third time.
ParlaMint-GB_2021-11-17-lords.u59	My Lords, my noble friend Lord Paddick will speak from the Front Bench for my party on this group, but he has quite a lot to say and, in view of the time, he has asked me to speak now, so with your Lordships’ permission or agreement, I shall address a number of points where serious violence reduction orders—SVROs for short—offend against cardinal principles of justice that our criminal law generally holds to be of the greatest importance I say at the outset that we should be in no doubt that an SVRO is to be a criminal sanction. That is, first, because of the requirements and prohibitions it imposes on an offender who is made subject or is to be made subject to such an order. It is, secondly, by reason of the draconian powers exercisable by the police in respect of an offender who is to be made subject to such an order, which are the equivalent of a criminal sanction on that subject. It is, thirdly, because the exposure of an offender subject to an SVRO to further criminal sanctions for the breach of any conditions attached to it amounts to a criminal sanction in its imposition Against that background, my first objection of principle is that it is wrong that a criminal sanction should be imposed independently of any criminal offence. Amendment 225, in the names of my noble friend Lord Paddick and the noble Baroness, Lady Meacher, is addressed to the novel and unwarranted approach to carrying a bladed article in the proposed new subsections 342A(3)(b) and (4)(b). As their explanatory statement makes clear, carrying a knife is not of itself a criminal offence, yet these provisions would render an offender liable to be made subject to an SVRO if either the offender or a joint offender with that offender had a knife with them, for whatever reason, whether the carrying of that knife was an offence or not. These orders as proposed would impose criminal sanctions for conduct which did not amount to an offence known to the law. That is contrary to principle in a profound and unacceptable way My second objection is that our criminal law generally insists on proof of guilt to the criminal standard, beyond reasonable doubt, before any criminal sanction can be imposed. Certainly, the civil standard of proof has its place in the criminal law, but that is generally when the law imposes a burden of proof upon the defendant to establish the facts of a defence which, if proved, would justify conduct that would otherwise be criminal. However, what is proposed here is that a criminal sanction can be imposed on the basis of proof, to the civil standard only, of the primary facts giving rise to that sanction. Again, that is contrary to principle and is calculated to water down, even to undermine, one of the most fundamental principles of our criminal law—one that I venture to suggest is probably the best known of any of those principles among the general public My third point concerns the unwarranted extension of the law relating to joint enterprise embodied in the proposed new subsection 342A(4). That is why I have added my name to Amendments 226A and 226B just spoken to by the noble Baroness, Lady Armstrong of Hill Top. I do not understand how it can be contended that an offender should be subject to criminal sanction if that offender did not know that a bladed article or offensive weapon would be used by a joint offender in the commission of an offence on the basis that he merely “ought to have known” that fact. That is proposed new subsection 342A(4)(a) Proposed new subsection 342A(4)(b) is even worse: an offender is to be subject to the criminal sanction of an SVRO because a joint offender had a bladed article or offensive weapon with him at the time of the offence, even if the offender did not know that, simply on the basis that he “ought to have known”. And all this to be proved to the civil standard only, notwithstanding that possession of a knife is, of itself, not a criminal offence That is not all. I shall be supporting the noble Lord, Lord Ponsonby, in opposing Clause 140 standing part of the Bill because, in addition to all that I have said so far, SVROs are to be imposed without any right to trial by jury; they are to be imposed by a judge alone, following conviction. As for the evidence to be adduced to support their imposition, in the words of proposed new subsection 342A(8), it is not to matter “whether the evidence would have been admissible in the proceedings in which the offender was convicted. ” That anomaly is the subject of Amendment 231, in the name of my noble friend Lord Paddick. I simply ask, in connection with these SVROs, where are we heading. It is in the wrong direction for our criminal justice system.
ParlaMint-GB_2021-11-17-lords.u60	To ask Her Majesty’s Government, further to the Prisons and Probation Ombudsman’s Independent investigation into the death of Baby A at HMP Bronzefield on 27 September 2019, published on 22 September, what assessment they have made of (1) their policies, and (2) the sentencing guidelines, for pregnant women offenders.
ParlaMint-GB_2021-11-17-lords.u61	My Lords, this was an appalling event. In consultation with health partners and contracted providers, we have taken a range of immediate and long-term actions locally and nationally to prevent it happening again, including a new policy on pregnancy in women’s prisons. Remand and sentencing decisions are matters for the independent judiciary. We are taking steps to ensure that courts have relevant information, including on pregnancy where known, and we are investing in alternatives to custody.
ParlaMint-GB_2021-11-17-lords.u62	I thank the Minister for the positive response the Government have given to the ombudsman’s report on this shocking case, in which a troubled teenager who was on a local authority at-risk register and on remand was left to give birth on her own in a prison cell, where the baby tragically died. Sadly, we learn that this was not an isolated incident, but we do not know the extent. So why does the Prison Service not release comprehensive data on miscarriages, stillbirths and baby deaths The ombudsman’s report said: “We consider that all pregnancies in prison should be treated as high risk by virtue of the fact that the woman is locked behind a door for a significant amount of time. ” In light of this, can the Minister tell me whether the Government will use persuasion and statutory force to ensure that the welfare of unborn babies and children must be a primary consideration for the courts when making bail and sentencing decisions?
ParlaMint-GB_2021-11-17-lords.u63	I will pick up on that last point first. We are seeking to ensure that courts have all relevant information when making bail and sentencing decisions. The default is that, if there is no reason to keep somebody on remand, they must be given bail unless there is a good reason why they should not have bail. When it comes to sentencing, custody is always the last alternative, and pregnancy is a mitigating factor As far as prisons are concerned, we have accepted all the recommendations in the ombudsman’s report. We have put a new policy in place; prisons have six months to implement it.
ParlaMint-GB_2021-11-17-lords.u64	My Lords, Committee on the Police, Crime, Sentencing and Courts Bill was grateful to hear the Minister say on 1 November that “there has been a revolution, a real sea change, in the judiciary. They really ‘get it’ when it comes to female offenders and primary carers. ” —[Official Report, 1/11/21; col. 1042. ] Following on from what we have already heard, can the Government provide evidence on the extent to which sentencing guidelines on the mitigating factors associated with pregnancy and primary caring are being followed by sentencers? Also, can the Minister provide information on how many sentencers have completed training on safeguarding children when sentencing primary carers?
ParlaMint-GB_2021-11-17-lords.u65	The obligation to have regard to whether somebody is a primary carer is part of the sentencing guidelines, which are mandatory and must be followed by all sentencers in all parts of the courts system. On whether this is being carried through, I point out to the right reverend Prelate that the number of women in custody has been falling consistently; we think this indicates that courts are following the guidelines properly.
ParlaMint-GB_2021-11-17-lords.u66	My Lords, one of the most important recommendations of HM Inspectorate in looking at this tragic case was directed at the National Health Service, because the NHS has clear responsibilities in relation to not just maternity services but other services. Is the Minister satisfied that the NHS is rising to that challenge? What levers does he have if he finds problems with that?
ParlaMint-GB_2021-11-17-lords.u67	The noble Lord is absolutely right to identify that this is an area where we need my department and the NHS to work together. The important thing is that women in prison must have access to the same standard of service that they would have in the community. We have put together a board, which goes across the MoJ and the Department of Health and Social Care, to do exactly what the noble Lord identifies: namely, make sure that our health partners are as focused on this as we are.
ParlaMint-GB_2021-11-17-lords.u68	My Lords, I pay tribute to the right reverend Prelate the Bishop of Gloucester—my bishop—for her valuable work with prisoners. Should we not have for offenders more modern facilities that work to educate and rehabilitate? Will the Minister look again at the study Rehabilitation by Design, which shows best practice in other countries and which I have mentioned in this House before?
ParlaMint-GB_2021-11-17-lords.u69	The noble Lord is absolutely right that the design of prisons is important in this context. We are providing more, newer and better-designed places in the women’s estate. That has been informed by design to include things such as windows without bars, smaller units and bigger association spaces. We are also trying to remove dark, narrow corridors and blind corners, which can trigger responses. We must remember that most women in the prison estate have had very difficult pasts. We are thinking about the way we design prisons to minimise additional trauma for women when they are in prison.
ParlaMint-GB_2021-11-17-lords.u70	My Lords, inhuman treatment and neglect are not part of any sentence handed down by British courts to anyone, let alone to pregnant women offenders. In view of the Baby A case, the circumstances of which are truly shameful, will the Government establish an independent monitoring service for pregnant prisoners to provide confidence that the standards of care are appropriate? Until that monitoring service is established, can the Minister tell us whether the Government will undertake to implement the ombudsman’s recommendations in full, and that the provision of care for such vulnerable women in our care will be pondered sufficiently?
ParlaMint-GB_2021-11-17-lords.u71	My Lords, there is rather a lot in that. As far as the ombudsman is concerned, we and the Prison and Probation Service have accepted and completed the implementation of the recommendations. We have set up the board, which I mentioned in response to the noble Lord, Lord Hunt of Kings Heath. We have put a lot of money into this area. I am not convinced that setting up another inspection body is needed; we already have a very robust inspection regime for prisons, with a specific focus on prisoners with additional vulnerabilities, including pregnancy.
ParlaMint-GB_2021-11-17-lords.u72	This is, as everybody who has read the report knows, a horrific case. I want to raise two issues. First, the Minister rightly said that the statutory position at the moment is that the same standard of care should be available in prison as is available in the community. The ombudsman’s report said that the midwife-led community approach is wholly inappropriate for a prison, where everybody should be treated as high-risk. Does the Minister not agree that the time is now right for a statutory duty to be placed on the prison authorities to ensure that the care provided is “appropriate to a custodial setting” Secondly, and separately, eight prison officers came near to Ms A during the course of that horrific night and none of them spotted what was going on. Can the Minister tell us how many prison officers on duty that night had more than two years’ experience, and how many had more than five years’ experience? Our concern is that there is a lack of experience in the Prison Service. I gave the Minister some notice of this question, but not enough, probably.
ParlaMint-GB_2021-11-17-lords.u73	My Lords, I am afraid that I am not convinced that a new statutory duty is the way to resolve this. I think the statutory framework is sufficient. What we need to ensure is that the duties are actually implemented on the ground in prisons So far as the staff on duty are concerned, the noble and learned Lord did give me a little bit of notice for this, as he said, but not very much. I do not have the information to hand, but the ombudsman looked at this incident in great detail and did not raise as an issue either the sufficiency of the staffing levels or the experience of the staff on duty.
ParlaMint-GB_2021-11-17-lords.u74	My Lords, following on from the previous question, I have a further one on the training of staff in prisons. If there are six months to implement the ombudsman’s recommendations, will this include some training for all staff in women’s prisons on what to do if they suspect that early labour has started?
ParlaMint-GB_2021-11-17-lords.u75	My Lords, all new prison officers working within the women’s estate will complete a new module on pregnancy, which is starting in January. We are also developing a two-day course for all staff working directly with pregnant women and mothers separated from young children, and that is part of our implementation strategy for our new policy for pregnant women in prison.
ParlaMint-GB_2021-11-17-lords.u76	I was going to ask about training, but I was glad to hear that answer. On a different topic—and forgive my ignorance here—within the sentencing guidelines, how much weight is given to the cost to society when a woman who is kept on remand for a short sentence then loses her home and her children, and the children have to go into care? She would have no home when she comes out, so she could not take them back. That is a cost to society. How much weight is given within the sentencing guidelines to that sort of issue?
ParlaMint-GB_2021-11-17-lords.u77	It is very important that the implementation of sentencing guidelines is a matter for independent judges and not government Ministers. What I can say is that judges and sentencers of all sorts have to consider the effect of the sentence not only on the person being sentenced but on people for whom they care. That will particularly apply to young children, and in the case of pregnant women it will also apply to the unborn child.
ParlaMint-GB_2021-11-17-lords.u78	My Lords, all supplementary questions have been asked. We now move to the next Question.
ParlaMint-GB_2021-11-17-lords.u79	To ask Her Majesty’s Government what assessment they have made of the conclusions of the report by Henry Dimbleby National Food Strategy: Part One, published on 29 July; when they will publish their response; and what steps they intend to take to implement the recommendations of the report.
ParlaMint-GB_2021-11-17-lords.u80	I beg leave to ask the Question standing in my name on the Order Paper, and I refer to my interests in the register.
ParlaMint-GB_2021-11-17-lords.u81	My Lords, the Government have already acted on the recommendations in Henry Dimbleby’s part 1 report with the announcement of the Covid winter support package and the recommendations on trade last year, which included putting the Trade and Agriculture Commission on to a statutory footing. We thank Henry Dimbleby for his independent review, including his part 2 report, published this year, which we will consider in the forthcoming government food strategy to be published in early 2022.
ParlaMint-GB_2021-11-17-lords.u82	It was an excellent report, and the national food strategy advocates upholding our own high standards in food production and that imports should meet these same standards. Given the fall in our self-sufficiency in food and the fact that tenant farmers will be in breach of their agricultural tenancies if they apply for any environmental schemes, will the Government ensure that these high standards of animal welfare and food safety that our farmers meet are met also in imported food products agreed under any free trade deals, to prevent substandard imports from putting our hill farmers in particular out of business?
ParlaMint-GB_2021-11-17-lords.u83	I think I can give my noble friend some assurance here. Tenant farmers will be able to take out agreements under the sustainable farming incentive scheme, which begins being progressively rolled out next year. The Tenant Farmers Association has not raised any issues about tenancies preventing tenant farmers from entering into new environmental land management schemes. My colleague Victoria Prentis, the Agriculture Minister, met with the chief executive of the Tenant Farmers Association this week, and my noble friend’s concerns were not raised.
ParlaMint-GB_2021-11-17-lords.u84	My Lords, the food strategy emphasised the importance of free school meals for all disadvantaged children. Will the Government therefore commit now to making permanent, and widening, the welcome temporary concession which extended free school meals to children in some families with no recourse to public funds, as called for by the Children’s Commissioner for England, the Food Foundation and many others?
ParlaMint-GB_2021-11-17-lords.u85	My Lords, the Government encourage all schools to promote healthy eating and provide healthy, tasty and nutritious food and drink. Compliance with the Requirements for School Food Regulations 2014 is mandatory for all maintained schools, and efforts are always made to make sure that children from low-income families have access to good, nutritious school meals.
ParlaMint-GB_2021-11-17-lords.u86	My Lords, more than half the calories the average person in the UK eats come from ultra-processed foods. Recent research has linked these foods to early death, poor health, weight gain and obesity. The national food strategy makes a clear connection between bad diet and poor health. One of its four strategic objectives is to escape the junk-food cycle in order to protect the NHS. While the move towards eating less meat is welcome for the health of both the individual and the planet, could my noble friend confirm that a vegan or vegetarian diet made up of mainly ultra-processed foods is just as bad for the individual’s health as for everyone else?
ParlaMint-GB_2021-11-17-lords.u87	My noble friend is very knowledgeable on these matters, and she is absolutely right. Soya grown where rainforests used to exist and which may have also been the subject of many processes to make it palatable will be, by contrast, worse for the environment and the individual than locally produced meat from grass-fed animals that may be not only part of a healthy, balanced diet but good for the environment.
ParlaMint-GB_2021-11-17-lords.u88	My Lords, I draw attention to my interests as set out in the register. Given the Climate Change Committee’s advice that we will need to reduce meat consumption as part of efforts to tackle climate change, will Defra’s response to the national food strategy include a commitment to sustainable alternative proteins, including cultivated meat, and will it commit to streamlining the novel foods regulatory approval process to reflect the urgency of our need to find alternatives?
ParlaMint-GB_2021-11-17-lords.u89	The Government can encourage people to eat sensibly and promote good, balanced and healthy diets. The Government are not going to tell people what they should eat but will give them the information they need to have a healthy, balanced diet and provide the means by which vulnerable groups can have this. This will be in the food strategy, which will be published next year.
ParlaMint-GB_2021-11-17-lords.u90	My Lords, I am very excited by the imminent publication of the food strategy. How many meetings has my noble friend had with his counterparts in the Department for Education? I am sure he agrees with me that the food strategy is an education issue. When he answered the earlier question and talked about mandatory standards, I am sure he also agrees that we need enforcement of those standards, as only 40% of schools currently meet them.
ParlaMint-GB_2021-11-17-lords.u91	My noble friend makes a very good point. I personally have not had any such meetings, but my colleague Victoria Prentis, who is the Minister responsible for this area, has had meetings across government and will continue to do so. He is absolutely right that the mandatory standards are in those regulations, and the Government are constantly trying to find ways to make sure that they are fully complied with.
ParlaMint-GB_2021-11-17-lords.u92	My Lords, today there is another depressing result from the national child measurement programme, which pointed out that there was a 4.5% increase during the pandemic in the proportion of children aged four to five who are obese. Obviously, the existing government obesity strategy is really not working, which is why we need the food plan to be implemented. Assuming that we publish a White Paper in response to the strategy, will that lead to a food Bill? That is what we urgently need.
ParlaMint-GB_2021-11-17-lords.u93	The food strategy will be in the form of a White Paper, which is usually the precursor to legislation, and this House will be kept fully informed about this. The obesity strategy has been developed through a huge amount of work, not least by outside bodies such as the Centre for Social Justice. It is there to help people already living with obesity, including funding weight management services, but also to create a food environment and culture that makes it easy for everyone, regardless of their circumstances, to live a healthier life.
ParlaMint-GB_2021-11-17-lords.u94	We strongly support the recommendations that the report makes to ensure better access to healthy food for those on the lowest incomes. Can the Minister confirm that the Government will adopt without delay the calls to increase eligibility to free school meals and the value of healthy start vouchers as well as the extension of the holiday activities and food programme?
ParlaMint-GB_2021-11-17-lords.u95	I entirely understand the points the noble Baroness makes. These are matters for other departments in government. We are working with them as part of our response to this important piece of work by Henry Dimbleby in the development of the food strategy. It will not just be something produced by my department; it will draw in all those issues from across government.
ParlaMint-GB_2021-11-17-lords.u96	My Lords, a key recommendation of the Dimbleby report was that meaningful standards should be applied to imported food, consistent with our own domestic standards. Can the Minister confirm that the Government will support that recommendation? If so, how will it be applied retrospectively to the free trade deals with Australia and New Zealand?
ParlaMint-GB_2021-11-17-lords.u97	My Lords, the UK Government have made a clear commitment that, in all our trade negotiations, we will not compromise on our high environmental protection, animal welfare and food standards. All agricultural products imported into the UK, including under free trade agreements, must continue to comply with our existing import requirements.
ParlaMint-GB_2021-11-17-lords.u98	My Lords, the recent pandemic has demonstrated the severe urgency of cracking down on obesity in this country. There are thousands of people in ICUs with infectious diseases such as Covid, simply because they are too overweight. We must do something to address this national characteristic. What will the Minister do to assure us that he will take the steps necessary to crack down on things such as highly processed food? That would be an important first step on this road.
ParlaMint-GB_2021-11-17-lords.u99	My noble friend has done much work in this field. The publication Tackling Obesity: Empowering Adults and Children to Live Healthier Lives takes forward a wide range of measures that all contribute towards reducing excess calorie consumption. These include, for example, measures to restrict the advertising of high fat, sugar and salt products. It is estimated that these measures could remove up to 7.2 billion calories from children’s diets in the United Kingdom over the coming years.
ParlaMint-GB_2021-11-17-lords.u100	My Lords, for the avoidance of doubt, will the Minister indicate a specific date when the Government will produce their White Paper in response to the Dimbleby report, and the timescale for the subsequent legislation? Will this legislation be accompanied by resources in a cross-departmental way to implement the recommendations in the report, including access to free school meals for many children who are totally disadvantaged, particularly during the pandemic?
ParlaMint-GB_2021-11-17-lords.u101	The second part of Henry Dimbleby’s report was published in July and the Government made a commitment to respond within six months. The noble Baroness knows that our department is running quite hot on food issues at the moment, but I have heard nothing to suggest that this timetable will not be met.
ParlaMint-GB_2021-11-17-lords.u102	My Lords, the time allowed for this Question has elapsed.
ParlaMint-GB_2021-11-17-lords.u103	To ask Her Majesty’s Government what discussions they have had with the Welsh Government about the independent commission set up by that Government to look at options for the future constitution of Wales.
ParlaMint-GB_2021-11-17-lords.u104	My Lords, the UK Government have not yet had any discussions with the Welsh Government regarding the independent constitutional commission; nor were we informed of its proposed structural content. But we were aware that this was a manifesto commitment. In subsequent written communication with the Minister for Intergovernmental Relations, the First Minister of Wales stated that he would encourage the commission to contact the UK Government, and we hope to be able to give evidence.
ParlaMint-GB_2021-11-17-lords.u105	My Lords, does the Minister agree that, while the constitution is a matter reserved to this Parliament, it is helpful that the Welsh Government have set up this independent commission to make recommendations? However, if the governance of Wales, the governance of Scotland and the governance of Northern Ireland are considered in isolation, there is an increased risk of the break-up of the United Kingdom. So will the UK Government now consider some form of review of the governance of the whole of the United Kingdom, including England, in a systematic and coherent way, so that we can ensure the continued prosperity and unity of this United Kingdom?
ParlaMint-GB_2021-11-17-lords.u106	As always, the noble Lord makes a very compelling case. The UK Government are committed to protecting and promoting the combined strengths of our union, building on hundreds of years of partnership and shared history. This Parliament remains in charge of the balance between reserved and devolved competences, and we will continue to make sure that our constitutional arrangements remain fit for purpose and enable our institutions to work effectively together to deliver for citizens in every part of the UK. We have no plans for a UK-wide constitutional convention.
ParlaMint-GB_2021-11-17-lords.u107	Will my noble friend the Minister tell the House how the UK Government assess the current state of relations with the Welsh Government?
ParlaMint-GB_2021-11-17-lords.u108	As a result of Covid, we have engagement at all levels of government, both at ministerial and official levels. Certainly, inter-ministerial relations between Michael Gove and the First Minister continue on a weekly basis. We will be happy to take part in this commission and we will continue to make the case for the union. The UK Government remain focused on supporting Wales’s recovery from the pandemic and we will continue to work on this.
ParlaMint-GB_2021-11-17-lords.u109	What engagement has there been with the Welsh Government on the distribution of what are known as levelling-up funds, in the light of assurances and statements made by the Minister during the ping-pong debate on 14 December, when we discussed an amendment designed to ensure agreement between the two Governments on the use of the funds to avoid the risk, which the House identified, of pork-barrel politics?
ParlaMint-GB_2021-11-17-lords.u110	We have indeed engaged with the Welsh Government on the new local growth funds. A lot of the engagement has been between MPs and their local authorities—not always of the same political hue. We have sought advice on projects at the shortlisting stage, including on deliverability and alignment with existing provisions, and we welcome the engagement to date. We look forward to further engagement in future rounds. A number of local authorities and projects have been pulled back to access the next round of applications, which will start in the spring.
ParlaMint-GB_2021-11-17-lords.u111	The independent chair of the commission told the House of Lords Constitution Committee on the committee’s recent visit to Wales that the notion of parliamentary sovereignty has not kept pace with the reality of devolution. Does the Minister recognise her Government’s policy of repeatedly encroaching on devolved areas, failing to respect the Sewel convention and short-changing the people of Wales when it comes to post-Brexit funds? I welcome the Government’s commitment to engage constructively with the independent commission. Will the Minister welcome the experienced and diverse range of commissioners announced yesterday by the Welsh Government?
ParlaMint-GB_2021-11-17-lords.u112	I do welcome the composition of the new commission. We respect and are fully committed to the Sewel convention and we work very hard to secure the support of the devolved Administrations for all legislative consent Motions. One of the difficulties when devolution was planned was that the Governments of Wales, Scotland and England were all of the same political party. We are working together to acknowledge our past difficulties and to get over the challenges that all the Brexit legislation has brought to us. I can assure the noble Baroness that engagement at all levels is still actively continuing.
ParlaMint-GB_2021-11-17-lords.u113	My Lords, I welcome the Welsh Government’s establishment of the commission and the further announcement yesterday of the names of those appointed as commissioners. I was delighted to learn that they included the former Welsh Lib Dem leader Kirsty Williams Our democracy in Wales continues to evolve and the need for this commission has never been clearer. But on its own this commission will not solve the UK’s constitutional problems, and it will not save the union. How does the Minister envisage that the remainder of the UK could contribute to this process?
ParlaMint-GB_2021-11-17-lords.u114	Of course, it is for the commission itself to decide how to engage and conduct its inquiry, and whom to invite to participate in the process. As I have said, the UK Government will welcome the opportunity to provide evidence and to continue to make the case for the union. We shall continue to make sure that constitutional arrangements remain fit for purpose and enable our institutions to work effectively together to deliver for all citizens in all parts of the UK.
ParlaMint-GB_2021-11-17-lords.u115	My Lords, the Minister will be aware that Professor McAllister, who along with Rowan Williams is leading this commission, has made it clear that it will be receptive to any evidence in support of independence for Wales. If, in the light of that, the Welsh Government were to propose a referendum on independence, would the UK Government accept the result of that referendum?
ParlaMint-GB_2021-11-17-lords.u116	Of course, I could make the point that Professor Laura McAllister has stood twice as a Plaid Cymru candidate, so I am not surprised that her comments in the Senedd were very different from those of the First Minister, who said that this would not be a consideration of the commission. While we are, of course, interested in its work, it would not be right for us to pre-empt any possible recommendations. I remind the noble Lord that, in a St David’s Day poll this year, 80% of respondents expressed their support for the union.
ParlaMint-GB_2021-11-17-lords.u117	My Lords, surely we should acknowledge that the bold experiment of establishing a devolved system in a unitary state is not final. Therefore, what is the vision of the Government as they set about giving evidence to the commission? Will they go beyond the status quo?
ParlaMint-GB_2021-11-17-lords.u118	That is a question for later on in the process. I am delighted to take the question back to the department for a steer on what its response will be, but I reiterate that we are keen on pointing out all the advantages that Wales has had through the union, particularly during the Covid pandemic, with help for the Nightingale courts and the help of the Army for the ambulancemen. Wales has had a lot of tangible benefits, not least a huge increase in the amount of money given to it in the spending review—£18 billion, as opposed to £16.9 billion.
ParlaMint-GB_2021-11-17-lords.u119	My Lords, as was already mentioned, the constitution is a reserved matter and, as such, the findings of this commission will be of little value in a UK context. Does my noble friend the Minister agree that, in addition to the multi-millions of pounds of taxpayers’ money wasted on an airport purchase, to the axed M4 Newport relief road motorway project, which has cost Welsh taxpayers £140 million to date, and to the worst A&E record in the UK—I could go on—this commission is yet another futile spend, whose only purpose is to pander to the nationalist party for support? That is obvious from the choice of co-chair of the committee, who, as already has been mentioned, stood twice for parliamentary election for Plaid Cymru.
ParlaMint-GB_2021-11-17-lords.u120	My noble friend makes some good points. We do not know how much money has been spent on this commission, but it is a large commission and one can only assume that it has been a priority for the Welsh Government—I am not sure that the people of Wales have the same priority. I note that, in a recent poll in WalesOnline, in October—just before the spending review—of the top 10 concerns of the Welsh people, nine were in devolved areas. The last one was that the UK Government were not giving enough money to Wales—and I think we convincingly negated that argument in the spending review. However, one of the concerns was on infrastructure, and roads in particular. It is still disappointing that the Welsh Government will not allow the M4 relief road around Newport, which would unblock a lot of the problems in south Wales.
ParlaMint-GB_2021-11-17-lords.u121	I would like to press the Minister on the question of the noble Lord, Lord Anderson. I am sure that she would agree that the relationship between the four nations of the United Kingdom and the London Government is not fixed and final—in recent years, there has been an indication of unease about that. Does she agree that this is a real opportunity for the Government to contribute to this commission, not just on a quick, politically orientated, ad hoc basis that has been cobbled together but with some serious, long-term thinking?
ParlaMint-GB_2021-11-17-lords.u122	There is a wonderful expression about Wales: it is a land of commissions, conventions and panels. Obviously, we will contribute seriously to this review, if asked to do so, but I recall from the Dunlop review that no intergovernmental review machinery is capable of resolving fundamentally different political objectives. But it is realistic to expect serviceable and resilient relationships, and that is what we should all be striving to achieve.
ParlaMint-GB_2021-11-17-lords.u123	My Lords, the time allowed for this Question has elapsed.
ParlaMint-GB_2021-11-17-lords.u124	To ask Her Majesty’s Government when the Home Office will publish data on the use of stop and search powers for the year up to April 2021.
ParlaMint-GB_2021-11-17-lords.u125	My Lords, as announced on GOV.UK on 25 October this year, data on the use of stop and search powers for the year to April 2021 will be published tomorrow.
ParlaMint-GB_2021-11-17-lords.u126	I am incredibly grateful to the Minister for that. She, like others, will have read newspaper reports just last week conveying suspicions that the data had been suppressed because the police Bill is going through Parliament. Similarly, there are concerns about the Government’s consultation on the Nationality and Borders Bill, the results of which have not yet been published. Will the Minister publish that data as well, certainly before that Bill comes before your Lordships’ House?
ParlaMint-GB_2021-11-17-lords.u127	My Lords, I am grateful for the opportunity to correct some of the inaccurate claims. The first was that the delay was due to a record level of data, but that was a misrepresentation by journalists; actually, the Home Office needed additional time to quality assure more granular record-level data. Secondly, the decision for delaying the statistics for the PCSC Bill was made by the head of profession, in line with the code of practice for statistics, and was announced at the earliest possible point on GOV.UK.
ParlaMint-GB_2021-11-17-lords.u128	My Lords, I understand what the noble Baroness has said, but is she aware how this delay looks? On last year’s figures, black people were 18 times more likely to be stopped and searched than white people when the police have the power to stop and search without reasonable suspicion. The Police, Crime, Sentencing and Courts Bill already contains new provisions to allow even more stop and search without suspicion and, on Monday, the Government laid 18 pages of new amendments to the Bill for debate next week, further extending the ability of the police to stop and search people without any reason to think the person they are searching has anything on them. What equalities impact assessment has been made of these new powers and what was the result?
ParlaMint-GB_2021-11-17-lords.u129	An equalities impact assessment has been done on the Bill, as is done on every Bill, as the noble Lord knows. On how this looks, I have explained the process for producing the statistics and I hope that is satisfactory for the noble Lord. I was disappointed that this Question was not being asked tomorrow, so that we could debate it more fully, with the statistics before us.
ParlaMint-GB_2021-11-17-lords.u130	I wonder if I can press the Minister to comment on the figure just given by the noble Lord, Lord Paddick, which is in the public domain—that black people are 18 times more likely to be stopped and searched than white people. Can she comment on this in the light of the case reported in the Guardian of a 14 year-old black schoolboy, who claims to have been stopped and searched 30 times in the last two years, including on one occasion when he left his home to put out rubbish? Does the Minister agree that stop and search is often a crude tactic, that there is a well-founded perception that it is based on racial stereotyping and that once a young person—a child, in fact—has become a target, they tend to remain one?
ParlaMint-GB_2021-11-17-lords.u131	The noble Lord, Lord Paddick, has often quoted that statistic and he is absolutely not wrong.
ParlaMint-GB_2021-11-17-lords.u132	Oh!
ParlaMint-GB_2021-11-17-lords.u133	I am sorry, my Lords; he is right. It has been a very long week and it is still Wednesday The noble Lord is absolutely right on that, but of course a young black man is 24 times more likely to be a victim of homicide than a young white person, so the two statistics need to be looked at together. It is true that no one should be stopped and searched based on their ethnicity. The police engage with communities daily and the Government have to abide by codes of practice, and now use body-worn video, to ensure that what they are doing is reasonable and proportionate, in the pursuit of tackling crime.
ParlaMint-GB_2021-11-17-lords.u134	In tabling at this stage a new set of amendments on the issue of stop and search without suspicion, the Government have stampeded through all our protocols and processes. I have never heard of that happening and I think the noble Baroness probably has not either. Can she explain why this is okay, when we have already passed Second Reading and have nearly passed Committee? Why do the Government think this is all right? Could the Minister please answer the question from the noble Lord, Lord Paddick, which was specifically about an impact assessment on the new stop and search amendments?
ParlaMint-GB_2021-11-17-lords.u135	As I say, the impact assessment is done on the Bill and it will include the amendments that we propose. Amendments to legislation are often put forward relatively late in the day. In Committee and then on Report, there will be plenty of time to scrutinise them. They are in response to violent crime increasing and the Government’s real desire to tackle it.
ParlaMint-GB_2021-11-17-lords.u136	The really important point is how we maintain public confidence in the use of stop and search, which is one of the most controversial of police powers. The Government intend to extend that power to a wider range of situations, including when without reasonable suspicion. The publication of the statistics tomorrow will allow us analysis. How are the Minister and the Government going to use those statistics to inform the public and thereby keep public confidence?
ParlaMint-GB_2021-11-17-lords.u137	The noble Lord goes to the nub of the problem. Certainly, in light of the case of Sarah Everard, trust in the police has to be regained and rebuilt, because we must have trust in those people, the vast majority of whom are there to keep us safe. The police must be held to the highest standards, of course, which is also crucial to public trust in them.
ParlaMint-GB_2021-11-17-lords.u138	My Lords, the question around stop and search has been going on for decades now, and I do not think we have improved how the police conduct themselves around the black community. The scrutiny that has been taking place seems not to be working. We have listened to noble Lords bring the same subject up time and again, as have I. The Minister talks about the report that is going to be out tomorrow. Why has it taken so long for the report to come out since April? We have not been given much time for scrutiny. We have had so many reports of police misbehaviour within public office—she just mentioned Sarah Everard. When are we going to get to the point when we stop talking about stop and search and the effect it has on the black community?
