ParlaMint-GB_2021-07-07-commons.u1	What steps the Government are taking to support victims of conversion therapy.
ParlaMint-GB_2021-07-07-commons.u183	The hon. Lady said that shadow Cabinet Office Ministers have been asking the Chancellor of the Duchy of Lancaster questions about the things going on. However, I warn the hon. Lady—I say this to draw us back to where we were 12 or 15 months ago —that the then shadow Chancellor of the Duchy of Lancaster, the hon. Member for Leeds West (Rachel Reeves), wrote to the Chancellor of the Duchy of Lancaster saying that he was not awarding PPE contracts quickly enough, and that he should be bypassing the system to get them out there. She then gave a list of companies in my city of Leeds that had offered support, and they included a football agent, an historical clothing company, an events company in Surrey and a private legal practice in Birmingham. All I say to the hon. Lady is that there are lessons to be learned, but in terms of what she is trying to say, please do not think that Opposition Members were all innocent and that the Government were guilty and need to follow some lesson, because the reality is that the then shadow Chancellor of the Duchy of Lancaster put it in writing.
ParlaMint-GB_2021-07-07-commons.u184	Of course there are questions to be asked, and that is what we are doing—we are asking these questions. I hope that there is a real-time review going on right now, and I hope that all the questions we are asking will be in the public inquiry to come. All these questions need to be looked into I have 15 questions for the Minister today, which I hope she will be able to answer. Question 1: what assessment has she made of the accuracy of the Prime Minister’s official spokesperson’s statement on 28 June 2021 on the conduct of ministerial Government business through departmental email addresses? The Parliamentary Secretary, Cabinet Office, the hon. Member for Hornchurch and Upminster (Julia Lopez), said, only two hours after the statement that day, that “a huge volume of correspondence was coming to Ministers via their personal email addresses”. —[Official Report, 28 June 2021; Vol. 698, c. 33. ] The Minister will have seen the leaked minutes from the Department of Health and Social Care meeting on 9 December, confirming that. So was the Prime Minister’s spokesperson not telling the truth, or just wrong, and will the Prime Minister be correcting the record? The use of private email addresses, how it all came to be and the murky times around that time need to be opened up to transparency It is hugely welcome news that the Information Commissioner’s Office will be investigating that point. The Government must co-operate fully. It is not just about freedom of information law and data protection law, important as that is; it is about taxpayers’ money being dished out secretly on private emails. Labour expects the Government to ensure that they come clean on private email use in other Departments, and that anyone found to have acted unlawfully or inappropriately in ministerial office faces the consequences Question 2: in her response to last week’s urgent question, the Parliamentary Secretary said that 47 offers of PPE supplies were processed through the Government’s priority mailbox. The Government have said that the details of all contracts will be published, but have refused to name the 47 companies. Who are those 47 companies, why are they not being named, and will those names be published now Question 3: can the Minister tell us which Ministers formally approved contracts awarded under the emergency procurement process during the covid pandemic? The Minister will have no doubt read the Public Administration and Constitutional Affairs Committee’s recent report on decision making during the pandemic, and it has a whole slew of other questions. It concluded: “Ministers have passed responsibility between the Cabinet Office and Department of Health and Social Care” So who was responsible for actually signing off those contracts That leads me to question 4: which Minister made the decision to award a contract to Public First for contact focus group testing in March 2020? The Cabinet Office has stated that the Chancellor of the Duchy of Lancaster did not personally sign off the decision, so if he did not, who did Question 5, which was raised earlier in this debate: what role do the army of non-executive directors currently employed across Whitehall have in influencing the award of contracts? Did they have a say in the process or the decisions behind the award of those contracts? For instance, how can the Minister explain the fact that Kate Lampard, the lead non-executive director on the Department of Health and Social Care board, is also a senior associate at the consultancy firm Verita, which in May was awarded a contract by the same Department, worth £35,000, to assist Public Health England? It is not just about how people vote when they are awarded these positions. It is not about their voting tendency. It is their closeness to Ministers and others, and their closeness to some of the contracts being given out, that the public need to know more about. This brings me nicely on to question 6. What steps were taken by the Department to identify and address conflicts of interest in relation to the contracts awarded through the VIP lane? Is the Minister confident that all meetings between Ministers and companies that were awarded contracts have been fully disclosed and added to the transparency data? Can we be assured of that today Question 7: I mentioned the leaked minutes of the December meeting of the Department of Health and Social Care. In that meeting the second permanent secretary used the term “sub-approval”. Can the Minister enlighten us on the sub-approval process? What does it mean in relation to Government covid contracts? The public have so many questions about what was going on in the contracting last year Question 8: the Parliamentary Secretary, Cabinet Office, the hon. Member for Hornchurch and Upminster, spoke in a Westminster Hall debate on Monday 21 June, which I attended, about the market conditions facing suppliers in China. There have been questions about links with China. In that same debate, I referenced evidence uncovered by the Good Law Project that showed officials in the Department of Health and Social Care were aware that an agent working for PestFix, the pest company that got a covid contract, may have been bribing officials in China. The point was not addressed by the Parliamentary Secretary, Cabinet Office, in that debate, so I ask the Minister to comment on it today. Is she aware of this allegation? Does she agree that, no matter how difficult market conditions were at the time, it warrants urgent investigation Question 9: I also asked in that debate whether the Cabinet Office would commit to auditing in detail all the contracts identified by Transparency International as raising red flags for possible corruption, and to commit to publishing the outcome of that audit. This would go a long way to restoring public trust. If it cannot be done, why not? What do the Government have to hide? I am afraid this is a question to which I did not receive an answer in that debate, so I hope to receive an answer this afternoon Question 10: the Parliamentary Secretary, Cabinet Office, said she believes there are cases where clawback is taking place, and other Ministers have mentioned it, too, but we do not know when it has happened and what was in the contracts for those that failed, by millions of pounds in some cases. Is the Minister in a position to provide more detail In the past 12 months, the Government have awarded £280 million of contracts for masks that did not meet the required standards, at a time when we were crying out for PPE that would save lives. I presume those masks had to be mothballed. I do not know where they are The Government spent £100 million on gowns without carrying out technical checks, so they could not be used. It is incredibly important that as much of this taxpayers’ money as possible is retrieved as soon as possible. Perhaps the Minister can explain to the nurses facing a pay cut, and to the 3 million who have been excluded from any help, that the money has gone to boost the profits of the firms that received these contracts, rather than coming back to the public purse Similarly, my eleventh question is about how much money the Government have spent defending themselves in court against the unlawful decisions that have been made.
ParlaMint-GB_2021-07-07-commons.u185	How much does the hon. Lady think the investigation into the former Mayor of Liverpool will cost?
ParlaMint-GB_2021-07-07-commons.u186	I do not know how much further investigations will cost, but that does not preclude from needing to investigate this point. We cannot deflect by looking at other investigations; we need to have an investigation into this point Hundreds of millions of pounds have been spent on masks that have been mothballed and on gowns that could not be used because the contracts were not good enough. At a time of public emergency, we need the Government to be excellent in their competence in contracting, and not to throw the rules out of the window and end up with these failed contracts Question 12: why, despite all the evidence uncovered this year, will the Government still not commit to ensuring these contracts are in the public inquiry? I hope to hear confirmation that this will happen.
ParlaMint-GB_2021-07-07-commons.u187	The hon. Lady is asking a series of highly pertinent questions, and I wonder whether we will receive the answers with any haste. Does she agree that we also need an urgent inquiry in Wales, where it has become apparent that almost 2,000 deaths occurred from infections that probably, or definitely, took place in hospitals and were therefore the responsibility of the Welsh Government, and that we need that inquiry urgently?
ParlaMint-GB_2021-07-07-commons.u188	Inquiries need to happen in real time, as we are learning, because we are making decisions all the time that affect our lives. There also need to be major Government inquiries, and I hope that all of this will be included in the Government inquiry to come The Minister made much of the Boardman review, saying, “There has been an inquiry. Don’t worry. The Boardman review has done it,” but this is my thirteenth question. It is, again, a question that I have asked before and received no answer to: does she seriously believe that the Boardman review is an independent and unbiased review, and good enough? How can she think that when Mr Boardman’s law firm has been the recipient of Government contracts in the past year, and given that Mr Boardman once ran to be a Conservative councillor—far more than just voting for one party or another? It looks more and more as if the Conservatives are set on glossing over the cronyism in their ranks, so that they can carry on as if nothing has happened I have two more questions, and then I will close. Question 14: when will we see a return of all public sector procurement to open competitive contracting as a default? The Minister said that emergency procurement procedures are still continuing, but they do not need to anymore. We need a way of having a contract in good time but with all the open competitiveness that the public need to see. There is no justification for the continuation of emergency procedures. They should be wound down immediately, and ways found to make contracting work without being secretive Finally, my fifteenth question: where is the Chancellor of the Duchy of Lancaster to answer these questions? The Cabinet Office is responsible for overseeing transparency across Government, and these are the fundamental questions that we have today. Why has he once again dodged an opportunity to explain the decisions made by his Department? Will he ever take responsibility and stop getting other Ministers to do his explaining for him, as has happened in many previous debates on this issue? The public will not stop asking these questions. We on the Opposition Benches will not stop asking these questions. We need some answers I have a lot of sympathy for the Minister, who will have to field some incredibly difficult questions about serious allegations. When such debates come up I can imagine that the conversation that Ministers have about who will reply is not a pleasant one. There are some very serious allegations, and I hope to hear the answers this afternoon.
ParlaMint-GB_2021-07-07-commons.u189	I hope that we can manage the debate without a time limit. We will do so if everyone takes around six minutes. That will mean plenty of time for interventions and real debate.
ParlaMint-GB_2021-07-07-commons.u190	I welcome the opportunity to speak in this Opposition day debate on the awarding of covid contracts. It is probably worth starting with where we were 16 or 17 months ago. At the time, we were just hearing about the covid-19 pandemic and what it meant for our lives. With the benefit of hindsight, things may have been done slightly differently, but we should not use our experience over the past 16 or 17 months to prejudge the decisions that we had to make very quickly as a nation back in February and March last year I had the honour of sitting on the Public Accounts Committee earlier in my parliamentary term. Under the stewardship of Gareth Davies, the Committee works hand in glove with the National Audit Office. I know that the Committee, ably chaired by the hon. Member for Hackney South and Shoreditch (Meg Hillier), has done various investigations into the response to the pandemic, with a particular focus on procurement and money. Scottish National party Members will be grateful to know that their colleague the hon. Member for Glenrothes (Peter Grant) is a vocal member of the Committee and, I am sure, will give wise counsel in future debates When I saw the topic of the debate, I was a bit surprised that the SNP had decided to call for it. I refer to its manifesto earlier this year in the local government elections that we had up in Scotland.
ParlaMint-GB_2021-07-07-commons.u191	Parliamentary elections.
ParlaMint-GB_2021-07-07-commons.u192	Sorry—the national Holyrood elections. The manifesto, on page 9, committed to a Scotland covid review. Unfortunately, the leadership up there has now done a U-turn and has not committed to that, so on behalf of the Royal College of Nurses and the GMB union, I urge them to have a rethink and hopefully commit to delivering what was promised in the manifesto My hon. Friend the Member for South Suffolk (James Cartlidge) referred to the disappointing news that Edinburgh is regarded as the covid capital of Europe. I will not be political on this one; I just think that it is a disappointment and that all colleagues across the House will hope that, with our heated debate and constructive criticism, we will get a better result quickly. With that sentiment in mind, I urge colleagues: where Government Members can help, please do not be shy about asking Let me go back 16 or 17 months, with the benefit of hindsight—unfortunately the Leader of the official Opposition is not in his place; he uses hindsight a lot. There was a real fear that, as a country, we were potentially running out of PPE. It was this Conservative Government who gave a call to arms and said, “Actually, the United Kingdom needs a national effort”. We did that to ensure that we had the right PPE and other things in place for those on our frontline. Reference has been made to not using the normal procurement process and I urge colleagues to look at the Public Contracts Regulations 2015, which allow the accelerated procurement that has been used during this global pandemic—an event that fortunately happens only once every 100 years, approximately Colleagues on both sides of the House refer to the quantum of PPE and I think we need to put that in context. We have an additional 22,000 ventilators, 11 billion pieces of PPE and 507 million doses of vaccine. Those are phenomenal figures. Did each procurement absolutely hit the spot? No, but the figures quoted earlier in this House, I suggest, were a very small percentage of poor delivery, and I am sure that the National Audit Office, the Public Accounts Committee and various other bodies in this House and in the Palace will look into that further There have been various accusations about relationships that Conservative Members of Parliament may have with business owners or others involved in procurement. I gently urge Members to be mindful that there have been multiple independent investigations, including some in this House and from the National Audit Office, that have all shown that there was no conflict of interest with Members of Parliament, and that if there were, they were properly declared at the time Reference has been made to the Boardman review, which reported at the back end of last year and the 28 recommendations that the Government have already committed to implementing. I know that Opposition Members were urging a quicker review and investigation on the pandemic, but the deputy chief medical officer has argued that this would be regarded as “an extra burden” and a “distraction” from the successful vaccine roll-out Reference has been made to the SNP Scottish Government’s procurement processes and the fact that £539 million of grants and contracts were awarded without a competitive process or proper scrutiny. I urge colleagues to have a look at the Audit Scotland review, which has investigated the three separate pandemic preparedness exercises that were undertaken, with some of the lessons that should and need to be learned from that. I will leave it there; I look forward to other contributions.
ParlaMint-GB_2021-07-07-commons.u193	If you type the words “covid contract” into Google, the first suggested return is “corruption”, so this Government are fooling nobody. There is no denying that the pandemic was unprecedented. There is no denying that every single Government across the globe have made mistakes, even in countries regarded as having a high degree of covid success, ahead of that of the UK—and there are many countries ahead of the UK in that respect. But the havoc wreaked on the UK by this Government is unforgivable. Efforts to secure contracts for friends and jobs for associates were their priority. That is the epitome of sleaze, and makes the cash-for-questions scandal that engulfed the same Tory party in the 1990s seem like a teardrop in the ocean. Many tears have been shed over the past 14 months, and I would like to pay my respects to the devastated families across these islands whose loved ones have succumbed long before their time as a result of this pandemic The UK is currently at the wrong end of the European table, with 1,952 deaths per million, compared with Ireland at 1,011, and Japan—the benchmark—at 127. That is an unforgivable outcome for an island nation with a developed economy and a developed, highly functioning health service. British exceptionalism lies at the heart of this Tory Government’s failed response, combined with delay, dithering and distraction by financial considerations and commercial opportunity. That saw an inevitable UK covid death toll expand to the actual UK covid death toll, and we need to see the gap between those two figures quantified in a public inquiry We must also inquire why it was only recently that such an inept Health Secretary was replaced. He presided over a litany of judgments as arrogant as they were poor and over decisions that, when taken together, allowed the covid death toll to reach more than 128,000 people during the pandemic in the UK. He was a Health Secretary whom the Prime Minister himself described as useless. We need the public inquiry to commence immediately The Prime Minister’s watery defence that we are fighting the pandemic and must wait till next spring was weak when he announced it and it has collapsed completely now. If he thinks it is time to remove face coverings— and it is not—then it is time for a public inquiry. No more time must be afforded to this dodgy, delinquent Administration of clientelism to tidy up their loose ends and administer away their inconvenient paper trails—where paper trails exist at all These Ministers are quite prepared to break domestic and international law if it suits their objectives—“Why let the law get in the way of Tory ideology? ” is what I take to be their mantra. Let me provide three examples: the preparedness to breach the Northern Ireland protocol, the unlawful prorogation of Parliament in 2019 and Ministers now unlawfully refusing to publish a full list of covid contracts. What we do know is that billions have gone to politically connected companies, to former Ministers and Government advisers, and to others who donated to the Tory party; billions have gone to companies that had no prior experience in supplying PPE, from fashion designers, to pest controllers and jewellers; and billions have gone to companies with a controversial history, from tax evasion to fraud, corruption and human rights abuses In November, the National Audit Office revealed that this Tory Government had awarded £10.5 billion-worth of pandemic-related contracts, without a competitive tender process, in a VIP lane—how very Tory—and that companies with the right political connections were 10 times more likely to win than those outwith. The attitude at the heart of this UK Government was so demonstrably rotten, so bold and so unashamedly opportunistic that the Chancellor of the Duchy of the Lancaster felt that he could simply spend vital covid moneys on political polling on the state of the Union in Scotland. He could have asked me, because I would have told him for nothing: the Union is a busted flush in Scotland. He even made sure that his pals, the private fund Public First, got the contract into the bargain On track and trace, quite how this Government have budgeted £37 billion—a cost described as “unimaginable” by the Public Accounts Committee—to a system that has singularly failed to do its solitary job of helping to avoid a second lockdown, when we have now just emerged from a third, is simply incomprehensible. The UK Government have committed to wasting more than the entire budget of the Scottish Government in 1920 on a project that has failed miserably. For context, let me say that £37 billion would buy 148 Type 31 frigates from Babcock in Rosyth. That is the colossal scale of what we are talking about, but that is the Tory way, and they have no opposition in this place, as we can see from a depressingly empty set of Labour Benches—we might have thought that Her Majesty’s Opposition would front up to talk in detail about some of these important issues. That is the Tory way, where patronage and cronyism are rife and are upheld by privilege that starts at Eton and Harrow, and gets refined at Oxford and Cambridge, before reaping its entitlement off a weary population of taxpayers But that is not Scotland’s way. When the public inquiry reports, if it does, Scotland will take a different way. We take one look at the posh old pals’ network masquerading as a Government—for the next 30 years, unopposed—and Scotland says no. We have already rejected their so-called Union, we will have our referendum and we will be independent, forever turning our back on unending Tory sleaze.
ParlaMint-GB_2021-07-07-commons.u194	As a comprehensive schoolboy, that privilege really runs right through me! However, let us be serious. First, let me say that we are dealing with a subject that has cost hundreds of thousands of people their lives. Millions of people around the world have died from a disease that nobody had even heard of, because it probably did not exist, two years ago. In that short time, we have had to do things, in the developed world and across all of the world, including in this country, that nobody would ever have dreamed of. We had to react very quickly to those things It is worth taking a step back to where we were, because short memories do not serve us well for the future. As I mentioned to the hon. Member for Putney (Fleur Anderson), at that time several people were coming to MPs, from all over, with suggestions, and not to make a quick buck; a lot of them answered the call to help out in the crisis the country and the world were in—one that not only affected this country, but created a worldwide shortage of the very equipment and supplies that the world needed. Of course, what has come out of this pandemic is a look at the global supply chains and how they have to change, and that is tearing up the convention that has existed for many decades across many parts of the world. It took the crisis to say, “When we stretch out your supply chains like that in a world crisis, they are not going to work in the best way possible. ” The pressure for personal protective equipment was enormous. Again, I make the point about the letter that the shadow Chancellor of the Duchy of Lancaster sent to the Chancellor of the Duchy of Lancaster, which covered two aspects. First, it said, “All these people are offering you PPE. Why haven’t you bought it? Why are you taking so long to buy it? ” That is there in black and white, in an official letter sent to the Chancellor of the Duchy of Lancaster. The letter then listed other companies that had come to the shadow Chancellor of the Duchy of Lancaster and said that they could supply things; as I said before, there were football agents, historical clothing companies, events companies and private legal practices in Birmingham. I am not saying that in a sense of mockery; I am saying that to make the point that Members of Parliament from all parties—from across the House—received several emails and representations from those trying to supply PPE to deal with the crisis. It was the responsibility of Members of Parliament to pass those emails and those contacts into the system to see what would happen I equally understand that the shadow Chancellor of the Duchy of Lancaster had a frustration about the length of time it was taking for those contracts to be awarded, because we were all desperately trying to solve a problem that the world was facing to get PPE to where it needed to be. Of course we can name contracts that went wrong. We can do that in any walk of life and for any contract. It does not mean there was an endemic failure. Things were happening in a very short space of time and certain procurements did not meet the standards, but the last figure I heard showed they amounted to less than 1% of all the PPE that was procured. That is not a bad hit rate when there was not time to fill in the paperwork It is important that we bring these issues out in these debates, but why we do that is being lost in this one. There are, quite rightly, calls for an inquiry, but do we want it so that the country can learn, move forward and understand how to tackle things in the future, or is it for cheap political points? What I have heard so far is, pretty much, “If we had independence, we wouldn’t have any problems. ” From almost the first sentence that came out of the mouth of the right hon. Member for Ross, Skye and Lochaber (Ian Blackford) there was the argument for independence, and it has gone on and on. We have heard, “If Scotland was independent, it would be different. ” Well, it would not be that different, because Scotland would not be in the EU and it would not have had a chance to take part in the UK-wide procurement that supplied the vaccine programme. Let us not forget that the British armed forces have also contributed a huge amount to the fight against the pandemic. There has been a UK-wide force—the strength of this Union—delivering for every adult in the country. It does no service at all to try to make what has happened in the last 18 months into an argument about independence. It should stop this afternoon.
ParlaMint-GB_2021-07-07-commons.u195	Since the right hon. Member has taken us on to the Union, why did the Government seek to poll Scottish attitudes to it if its benefits were so self-evident throughout? Why were public funds that were intended for covid procurement misdirected to pay for that polling?
ParlaMint-GB_2021-07-07-commons.u196	I despair. I literally just said that we are supposed to be examining the procurement of PPE and when the inquiry comes, and yet we go back to those allegations. I am sure that my right hon. Friend the Paymaster General will once again give the answers that were given previously. Stop it! Grow up! The reality is that we are dealing with an issue that has caused the deaths of millions of people across the world, including tens of thousands of people in this country. Today we need to explore where things went wrong—that is important —why the inquiry should wait and how it should take place By profession I am a mechanical engineer and, as somebody who flies around the world, I have an interest—a morbid interest, I suppose—in the programme “Air Crash Investigation”, which my wife will not watch under any circumstances, given her fear of flying. Aircraft safety has improved immensely in the past decades, and that is because there is a no-blame culture. That ties straight in with the report published this week by the Health and Social Care Committee on deaths in natal care and having a no-blame culture. We may want to get to the analysis of what went wrong and why it went wrong, but we cannot do that from a position of wondering, “Am I covering my political back? Am I covering my professional back? Can I have an honest conversation? ” We have to understand what went wrong. Things did go wrong. There cannot be a single person in the Chamber or indeed across the country who felt that everything went really well and was fine. Nobody says that. Nobody believes that. It is self-evidently not true that everything went fine. We do have to learn lessons, and it is important that we learn them though the matrix of what went wrong. As we have said, plenty of preparation was done for a flu pandemic, but that turned out not to be able to handle this pandemic. It is therefore important that we analyse the pressures caused by different diseases that can come forward. [Interruption. ] I heard things from a sedentary position, but I did not notice what was said Ultimately, we have not had any sense of the SNP taking responsibility where they have responsibility—indeed, it was noticeable that the leader of the SNP just dismissed the intervention from my hon. Friend the Member for South Suffolk (James Cartlidge), mocked it and tried to put the blame back on the UK Government. Quite simply, if people are really taking notice of this debate this afternoon, they will think that it needs to be a lot more mature and serious than it has been so far.
ParlaMint-GB_2021-07-07-commons.u197	I begin by remembering those who have lost their lives over the last year and a half. Like many Members in the House, I have lost loved ones. I am sure that many people who have lost loved ones will be watching this and will be interested to note the manner in which parliamentarians are conducting themselves “Gesture politics”—if the Home Secretary claims that taking the knee in a football match is gesture politics, I have news for this Government: clapping hands for the NHS rather than giving them an adequate pay rise is a gesture. Rather than providing financial assistance to those, such as NHS staff, who risk their lives, the Government are lining the pockets of their rich friends As a relatively new Member of this place, I was informed of the seven standards of public life—the Nolan principles. As an elected Member, I must hold myself to these standards, as must all Members, including those on the Government Benches. Let us take a moment to examine these seven principles and see just how this Tory Government fit in. “Selflessness”: Members must “act solely in terms of the public interest. ” Instead, the Minister for the Cabinet Office used taxpayers’ money intended for covid recovery on examining attitudes towards the Union. “Integrity”: Members “should not act or take decisions in order to gain financial or other material benefits for themselves, their family, or their friends. ” Well, where do I start? “Objectivity”: Members “must act and take decisions impartially, fairly and on merit” But we know that judges ruled that the UK Government had acted unlawfully in awarding a contract worth over half a million pounds to a firm known to associates of Government Ministers. “Accountability”: Members “are accountable to the public for their decisions and actions” Yet the Department of Health and Social Care failed to declare 27 meetings of a Minister in the other place at the outset of the pandemic. The companies involved in those meetings went on to acquire public service contracts worth over £1 billion. “Openness”: “Information should not be withheld from the public unless there are clear and lawful reasons for so doing. ” In May 2020, the former Health Secretary was found guilty of a minor technical breach of the ministerial code after initially failing to declare his stake in an NHS supplier—a company run by his sister and his brother-in-law. Members must also “be truthful”. The former Health Secretary used private email accounts to communicate and award substantial covid-related contracts to his friends Finally, there is “Leadership”: Members “should exhibit these principles in their own behaviour. ” I am not sure whether we are seeing that When we consider the record of this Tory Government, we see that they have failed to uphold a single one of the seven principles of public life to which we are bound. They have failed to act selflessly, placing the financial prosperity of their friends and colleagues above the needs of our NHS. They have lacked integrity, indebting themselves to private companies and exchanging contracts for donations and favours. They have lacked objectivity, handing out contract to their friends while some of the most vulnerable in society suffer under their policies. And now they are delaying this public inquiry, denying the country the openness, honesty and accountability that the electorate deserve However, we in Scotland have a choice to escape this Tory sleaze and build a fairer and more democratic future as an independent nation. Scotland taking the reins and becoming an independent nation is not just for the sake of independence: I truly believe that with independence, we can build a fairer Scotland, a Scotland that is reflective of all those who choose to make it their home. We can build a society that invests in our people; we can build a stronger, more diverse economy; and we can finally ensure that power resides in Scotland, with a Government that the people of Scotland have elected.
ParlaMint-GB_2021-07-07-commons.u198	It is a pleasure to speak in this Opposition day debate, and I will address the motion—which I am not sure has anything to do with Scottish independence, which is what we heard about in the last speech. It calls on the Government to immediately commence the covid-19 public inquiry.
ParlaMint-GB_2021-07-07-commons.u199	The hon. Member says that the motion has nothing to do with Scottish independence, so why did the Chancellor of the Duchy of Lancaster and the Cabinet Office put forward a contract that specifically looked for Scottish views on independence? What was the purpose of that, if not to understand independence?
ParlaMint-GB_2021-07-07-commons.u200	I thank the hon. Gentleman for his intervention, but as I said, I am going to speak to the motion that his party has tabled today for discussion The Prime Minister has already confirmed that an independent inquiry into the handling of the pandemic is expected to begin in the spring of 2022. This inquiry will be on a statutory basis, with full powers under the Inquiries Act 2005, including the ability to compel the production of all relevant materials and take oral evidence under public oath. Every part of the state pulled together to tackle this virus, and as we recover as one United Kingdom, we must learn the lessons together in the same spirit. That is why the Government will consult the devolved Administrations before finalising the scope and details of the arrangements of this inquiry Given the scale of the inquiry and the resources required to carry it out, from identifying and disclosing all relevant information to giving that oral evidence, launching an inquiry would place a significant burden on our NHS and scientific advisers at a time when focus must still be on the fight against the virus. We are still rolling out the vaccine project; we have booster jabs to get into arms in the autumn; we will have winter pressures on the NHS; and, as we have discussed in recent days, we are rightly focused on addressing all of those missed appointments for other health concerns. Our deputy chief medical officer has said that an inquiry now would be an unnecessary extra burden that would distract the NHS from the vaccine roll-out: “Personally, would an inquiry be an unwelcome distraction for me personally, at the moment, when I’m very focussed on the vaccine programme and the vaccine programme we might need in the autumn? Who knows, I think it would be an extra burden that wasn’t necessary. ”
ParlaMint-GB_2021-07-07-commons.u201	Does that really not just make the point that what the inquiry needs to do is learn lessons so that we can move forward and be better prepared next time, rather than just scoring cheap political points?
ParlaMint-GB_2021-07-07-commons.u202	I agree with my right hon. Friend: as always, he makes an excellent point We have acted at pace to protect our NHS and save lives, by delivering more than 11 billion items of personal protective equipment to our key workers and helping to protect all those working on the frontline in our fight against the virus. From the onset of the pandemic, we have acted at pace to secure the PPE that we all need. We purchased over 32 billion items for the whole of the UK, three quarters of which will now be provided by British manufacturers—that is massive upscaling at speed—and we have distributed over 11.7 billion items of PPE across England since February 2020. We have talked about the success of the vaccine roll- out, but what was amazing was securing those 507 million doses of the eight most promising vaccines through our vaccine taskforce for every corner of our Union. We can be incredibly proud not only of that but of the investment in the COVAX project.
ParlaMint-GB_2021-07-07-commons.u203	Let me share with the hon. Lady my appreciation that the vaccine roll-out has been a tremendous success. I am not certain that any of my colleagues said that it was not a tremendous success. Does she agree, however, that it is the one thing that this Government got right in the whole pandemic, and that a vaccine never brought anybody back from the dead?
ParlaMint-GB_2021-07-07-commons.u204	I thank the hon. Gentleman for his intervention, but I think he is being a little bit too narrow in his focus by saying that we only got one thing right. The way we invested in that scheme was replicated across many areas. We rightly hold that up as the absolute beacon of success, but there are many other areas where we used similar sorts of processes and where we had successes. We need to keep that in mind. Our diagnostic capacity has been excellent at identifying new strains, and we have to discuss that as well.
ParlaMint-GB_2021-07-07-commons.u205	Is it not true that our brilliant scientists also developed groundbreaking treatments such as dexamethasone that, in the long run, will be the most crucial to ensuring that those who are seriously ill recover?
ParlaMint-GB_2021-07-07-commons.u206	My hon. Friend is absolutely right. Those therapeutics have made a huge difference to people who are unfortunately hospitalised. In my local hospital, the Royal Surrey, the doctor who led the covid ward was seconded from treating cancer, and he has learned many things by being involved in running that ward that will be beneficial not only for the pandemic but for anything coming down the line The right hon. Member for Ross, Skye and Lochaber (Ian Blackford) is no longer in his place, but in his speech he gave several examples of companies that had no previous experience in the production of something but had turned their hand to helping us to source things that we needed for the pandemic. I would ask the right hon. Member, if he were in his place, what he would say to all the whisky distilleries in Scotland that turned their hand to making hand sanitiser. What message is he giving to them today? I would like to take this opportunity to thank all the gin distilleries in my constituency and neighbouring constituencies that got in touch with me. They had made hand sanitiser and wanted a contact to speak to at my local hospital so that they could gift that hand sanitiser to it The Opposition would like us to take a trip down memory lane. Well, I am quite happy to do that. I was newly elected in December 2019, and I still have my training wheels on. I think a lot of us still feel like that. I had barely given my maiden speech before we were locked down and put into this situation. When you start as a new MP, you build your team from scratch. It is not there already waiting for you. At the most difficult time, I had about 1,500 emails a day coming into my inbox, and there were three of us dealing with them. We were trying to triage them and help as many people as we could. At the same time, I was receiving emails from people I had never met. I am an immigrant, and I went to a state school, so I am not connected in the way that the Opposition like to suggest about Conservative Members. It is a complete farce to talk like that, especially about a lot of those who have come in in the new intake—
ParlaMint-GB_2021-07-07-commons.u207	Discrimination!
ParlaMint-GB_2021-07-07-commons.u208	It is. But I was receiving those emails and I knew it was my duty and responsibility, as my right hon. Friend the Member for Elmet and Rothwell (Alec Shelbrooke) has said, to pass on every single one of them, because I did not know which one would make a difference. That was not up to me; my job was to pass them on. I did not know most of those people from Adam, but I knew I had a responsibility to do that. I did not know about the eight-step process that civil servants were looking at for awarding contracts. I did not know whether any of them would be successful, but I hoped they would be. I hoped that many of the companies and individuals who put forward good ideas would have some success, because that is what we needed to tackle the pandemic We are at risk today of politicising this and going back into the Westminster bubble. We are at risk of not acknowledging the true heroes of the pandemic. Not us politicians, as we were just doing our job, but the businesses, schools and individuals in my constituency that suddenly came up with an idea or turned their hands to something. They were so proud of creating PPE for our local hospital, and they did an amazing job. We must remember, as we look back over the pandemic and as we consider our lessons learned, the trust spirit of communities coming together. I would wager that not just in constituencies in England, but in all four corners of the nation—in Scotland, Wales and Northern Ireland—there were people in the community who were making a difference. We have so much more in common than that which divides us, and that is how I would like to finish my speech.
