ParlaMint-GB_2021-10-19-commons.u1	1. What recent steps his Department has taken to increase NHS capacity.
ParlaMint-GB_2021-10-19-commons.u195	Obviously, £450 million for heat pumps across England and Wales is a good thing, but it is set to benefit only 0.3% of Welsh households, while the future generations commissioner calculates that the cost of decarbonising Wales’s housing stock stands at £14.75 billion. The Treasury has resisted every step on the road to COP26. Our economy, our environment and our communities need Treasury funding to step up to the mark to lead the transformational investment. That will give the private sector confidence. How confident is the Minister that this news will reach us within the next 10 days?
ParlaMint-GB_2021-10-19-commons.u196	A very substantial amount of Government money is going into the heat and building strategy—I think it is in the region of £4 billion. I will correct the right hon. Lady. On this heat pump scheme that we have introduced, the idea is that it kickstarts the market and gets the private sector providing solutions. We have already seen a really good response to our signals from the private sector. That is exactly right, because the solutions to issues such as home heating will lie principally with the private sector.
ParlaMint-GB_2021-10-19-commons.u197	Further to the points made by my hon. Friend the Member for Stoke-on-Trent Central (Jo Gideon) earlier, the ceramics sector in Stoke-on-Trent has faced significant energy price volatility recently. It does want to transition, but it cannot do so on its own while continuing to be competitive internationally. Will my right hon. Friend ensure that we have our fair share of the additional R&D money that this Government are committed to investing in the UK?
ParlaMint-GB_2021-10-19-commons.u198	I am absolutely committed to that. My BEIS colleagues who look after research and development are absolutely committed to making sure that British ceramics are not sold short when it comes to R&D. We have a huge commitment to the sector overall, which my hon. Friend will know from the many years that we have worked together, particularly on trade issues as they affect the ceramics sector, including trying to break down trade barriers to make sure not only that our industry flourishes here in the UK, but that our exports do as well. I commend the work that he and all of the Stoke Conservative MPs have been doing for the sector for some years now.
ParlaMint-GB_2021-10-19-commons.u199	Missing from the plan is the retrofit skills strategy. The City of York Council has a backlog of more than 6,000 maintenance and retrofit jobs to do. How does the Minister expect those skills to come forward and how will people be trained? Why has he left it so late to upskill the workforce?
ParlaMint-GB_2021-10-19-commons.u200	I agree with some of the points that the hon. Lady makes about the importance of skills, but I do not think that it is about our delivering the message late. This Government’s commitment to skills and to reskilling if necessary has been absolutely clear. It can be seen right the way across Government in the very close work being done together by BEIS and the Department for Education. I see it in so many sectors. I will mention again my visit to Aberdeen last week. I appreciate that Aberdeen is some distance from her constituency, but the sector there has to be able to reskill a lot of people from offshore oil and gas to offshore wind. It is that kind of thing that we need to see on a transition and a long-term basis. It is exactly this idea of making sure that we can retrain and reclassify people from today’s skills to fit the skills for tomorrow. That is absolutely part of our commitment.
ParlaMint-GB_2021-10-19-commons.u201	The Minister talks about ending the sale of petrol and diesel cars by 2030. To do so, we will need drivers to switch to zero-emission vehicles over the next decade. Despite the upfront costs of electric cars still being significantly higher, the financial incentives to switch continue to be diluted. I welcome the shadow Secretary of State’s support for the SNP Scottish Government’s interest-free loan scheme for new and used zero-emission cars, but the Government’s zero-emission vehicle mandate will not even be legislated on until 2024. Nearly half the decade will be behind us when the mandate comes in. Why are the Government moving this policy forward in first gear?
ParlaMint-GB_2021-10-19-commons.u202	I disagree with the hon. Gentleman. The transport section in the net zero strategy is very comprehensive on this and very extensive on how we get more people to switch to electric vehicles. In terms of some of the details, I invite him to ask my right hon. Friend the Secretary of State for Transport who leads on this at the next Transport questions.
ParlaMint-GB_2021-10-19-commons.u203	The other week, Lord Deben, the chair of the Climate Change Committee, speaking at the Housing, Communities and Local Government Committee, indicated that, if we are to hit the Committee’s targets, local government has an incredibly important role to play in the retrofitting of existing homes, the building of new homes, local planning policies and local transport policies. Is it therefore not disappointing that there is not one single mention of the role of local government in the Minister’s announcement today? What has the Minister to say about that?
ParlaMint-GB_2021-10-19-commons.u204	I refer the hon. Gentleman to the annex of the net zero strategy, which sets out in some detail our response to Lord Deben’s annual report earlier this year. I think he will find in the annex a lot of the good mentions of local government for which he has been looking.
ParlaMint-GB_2021-10-19-commons.u205	The zero-emissions vehicle mandate is welcome, although, as the hon. Member for Paisley and Renfrewshire North (Gavin Newlands) said, the Government do need to get a move on. They have been cutting plug-in grants year on year, and there are now reports that the Chancellor wants to axe them all together. What in this strategy will actually help to make the purchase of electric vehicles more affordable for the average consumer?
ParlaMint-GB_2021-10-19-commons.u206	Nobody should doubt the Government’s commitment to getting a switch to electric vehicles. I certainly hope that the shadow Secretary of State has been taking an interest in that in recent times—
ParlaMint-GB_2021-10-19-commons.u207	indicated assent.
ParlaMint-GB_2021-10-19-commons.u208	He is nodding in the affirmative, so that is one more Like the overall commitment, this commitment is very much on an ongoing basis. I refer the hon. Lady to the transport section of the net zero strategy and to the annex regarding the Climate Change Committee’s report.
ParlaMint-GB_2021-10-19-commons.u209	The Minister says that he wants to work collaboratively, yet he did not reach out to the Welsh Labour Government or share plans, despite saying that he was going to. Of course, plans on net zero are welcome, but this is greenwash wrapped up with a great big green bow. Only the most well off will benefit from the heat pumps, and the Government have not made clear the new measures that householders will also need, including insulation, water storage and new radiators. The Government are also still building truly awful, inefficient homes. When are they going to step up and really take the action needed to meet the zero carbon commitment?
ParlaMint-GB_2021-10-19-commons.u210	The hon. Lady has packed a lot into that question, but let me come back to her with two points. First of all, we have shared an advance copy of the plans with the Welsh Government and I spoke to the Welsh Government Minister yesterday on this very topic Secondly, the hon. Lady says that only the well off will benefit. Our target is 600,000 homes per annum; that will reach down very far into the homes in this country. I am absolutely confident of that, particularly given the commitments being made by different energy companies to make heat pumps cheaper. I mentioned earlier the commitment from one company overnight to make a heat pump of equivalent price to a gas boiler. That gives rise to good optimism about the affordability of this new technology.
ParlaMint-GB_2021-10-19-commons.u211	That we move to warm homes fuelled by heat pumps is welcome, but warm words are not enough. What guarantee can the Minister provide that the Government will use taxpayers’ money to invest in heat pumps made in Britain, creating jobs here in Britain and supporting British business?
ParlaMint-GB_2021-10-19-commons.u212	Part of this announcement is of taxpayers’ money exactly for this sector. My understanding is that the UK is a real leader in heat pump technology, but if the hon. Gentleman wants me to commit to us becoming a sort of protectionist nirvana for the future of the UK in the sector—absolutely not. We need to ensure that we are an open market; we need to be exporting our technology. Earlier, a lot of my colleagues asked about export opportunities. It is difficult to have export opportunities if we are closing down imports at the same time. Yes, there is key British technology in the sector. We need to ensure that it is affordable for consumers, and that we take advantage of export opportunities for a lot of that key technology.
ParlaMint-GB_2021-10-19-commons.u213	I expected to hear more in the Minister’s statement about partnership with local government. Local authorities up and down the country are trying to innovate and to pilot schemes to decarbonise homes. My own local authority is investigating the possibility of using green open space to have a district ground source heat pump scheme that would engage with private homes in the area; that is engaging with the private sector as well. Without local government, the Minister’s strategy is not going to work, so what is he going to do further to engage local government?
ParlaMint-GB_2021-10-19-commons.u214	I welcome the hon. Gentleman’s approach. As I said earlier, this strategy is going to need all of us—central Government, our key city and regional Mayors, the devolved Administrations, businesses, local government and others—to work together to get to net zero. I would be delighted to work with the local government sector. My right hon. Friend the Secretary of State for local government—the Secretary of State for Levelling Up, Housing and Communities—takes a keen interest in this agenda. I am sure that we will work together to ensure that local government plays an important and crucial role in getting to net zero by 2050.
ParlaMint-GB_2021-10-19-commons.u215	The Minister knows that steel made in Wales and the rest of the UK is half as carbon-intensive as undercutting steel from China. Moreover, our carbon footprint, although low on production at 4.8 tonnes per person is a much bigger 8 tonnes on consumption, because we now subcontract a lot of our manufacturing. Will he look carefully at pursuing a carbon border tax, so that we can play on an even playing field, support local jobs in manufacturing and steel, and help to tackle climate change? Will he announce and suggest that at COP26?
ParlaMint-GB_2021-10-19-commons.u216	The chair designate of COP26 says that carbon border adjustment mechanisms will not be part of the discussions at COP26, but the UK is closely watching that debate. We are looking at the European Union proposals. Of course, we need to ensure that they are World Trade Organisation-compatible and that they do not discriminate against the developing world, particularly much less developed countries. The CBAMs debate is very much alive and we continue to study it very closely indeed.
ParlaMint-GB_2021-10-19-commons.u217	I thank the Minister for his announcement and his clear commitment to all regions of the United Kingdom, particularly to Northern Ireland. I welcome the strategy and the decision to end the sale of gas boilers by 2035. What incentives can the Minister offer to builders currently developing to make those changes to new builds now, not to wait until 2034 to change that skills base and ability? Is upskilling part of the Government’s agenda?
ParlaMint-GB_2021-10-19-commons.u218	Upskilling is very much part of the Government’s agenda. On how the heat pump ready programme will be operating, if I understand it correctly, that is a Northern Ireland-only scheme, but we have seen that scheme in operation and it will help to inform the England and Wales scheme. The scheme will also support the Government’s target of 600,000 installations a year by 2028, which also covers Northern Ireland.
ParlaMint-GB_2021-10-19-commons.u219	In 2015, the UK Government pulled the plug on £1 billion of carbon capture and storage investment in Peterhead. Today, they have repeated that same mistake—a betrayal of the north-east of Scotland—by pulling the rug out from underneath the Acorn Project. The Minister knows that Scotland cannot meet its net zero ambitions without carbon capture and underground storage, so why is he shafting Scotland?
ParlaMint-GB_2021-10-19-commons.u220	The hon. Gentleman might have been here at the beginning of the statement; if a Member wishes to participate in a statement, it is common practice to be here at the start. As he was not here at the beginning, he missed me explaining the basis behind the decision. Government policy has always been clear that there would be two industrial clusters by the mid-2020s, but four by 2030 at the latest. We have announced the Acorn cluster as a reserve. I praise the scheme for meeting the eligibility criteria. It also performed to a good standard against the evaluation criteria. We remain absolutely committed to track 2.
ParlaMint-GB_2021-10-19-commons.u221	Shame on you.
ParlaMint-GB_2021-10-19-commons.u222	I thank the Minister for his statement and for answering questions for over an hour. I do not like the words that you used, Mr Flynn. We have talked about a kinder, gentler politics, and that certainly was not it.
ParlaMint-GB_2021-10-19-commons.u223	On a point of order, Mr Deputy Speaker. For many months, we have awaited three key climate strategies that were promised before COP26: the heat and building strategy, the net zero strategy, and the final Treasury net zero review. The statement that has just concluded covered two of those strategies but did not, in any way, touch on the third—namely, the Treasury net zero review. Have you had an explanation as to why the Treasury net zero review was not covered in the statement and whether there will be a statement from a Treasury Minister in due course so that Members can properly interrogate and ask questions about it?
ParlaMint-GB_2021-10-19-commons.u224	I thank you, Mr Pennycook, for your point of order and for giving forward notice of it. Mr Speaker frequently and firmly asserts the duty of the Government to make important announcements to this House first. I am not aware of the announcement that the hon. Gentleman refers to, but know that those on the Treasury Bench will have heard that and will, I am sure, take it forward.
ParlaMint-GB_2021-10-19-commons.u225	I beg to move, That leave be given to bring in a Bill to extend entitlement to parental bereavement leave and pay to parents of babies miscarried or stillborn during early pregnancy; and for connected purposes Grief hits everyone differently but one thing that is universal is that it takes time. That is why people are entitled to bereavement leave when losing a loved one. I was not prepared for the grief of miscarrying. I was even more shocked that I was not entitled to bereavement leave but legally had to take sick leave instead. But what I was feeling was not a sickness. It was physically painful, yes, but my overriding feeling was grief: a deep sense of loss of hopes, dreams and mourning a lost future with babies I never got to hold This happens to about one in four pregnancies. The Miscarriage Association reports that about a quarter of a million people each year in the UK miscarry. This issue impacts families who have got in touch with me in Luton North, but in every constituency in the country there will be families who face this grief everywhere. I cannot believe that in 2021 people are being forced to take sick leave to process their grief I knew I was miscarrying during my first pregnancy. It happened at work. I was due to speak for the first time to the executive of my trade union, GMB. Protecting and improving workers’ rights is something I have actively campaigned on for most of my adult life, so it was odd that when it came to my own rights at work I was less vocal than normal, but grief can rob people of their normal selves. Rather than speaking out and saying what I knew was happening to my body at that time—the tell-tale tummy cramps and spotting—I stayed where I was, googled nearby ultrasound clinics under the table, and booked myself in for scan in my lunch break. I sat there devastated, knowing that there was nothing I could do to stop a miscarriage this early in pregnancy, at the same time just not wanting to believe that it was happening. I focused on my report and answered the questions thrown at me. To be honest, I knocked it out of the park; no one would have known that I was having a miscarriage at the same time. Then I walked back to the office in pain and alone, going back to my desk and waiting until I could have the scan that confirmed my fears and my pain Important initiatives like Baby Loss Awareness Week and improved coverage in the media, with celebrities and my hon. Friends the Members for Sheffield, Hallam (Olivia Blake) and for Streatham (Bell Ribeiro-Addy) bravely sharing their personal experiences, as well as the hon. Member for Lanark and Hamilton East (Angela Crawley) and the right hon. Member for South West Surrey (Jeremy Hunt) in his work on the all-party parliamentary group on baby loss, are changing the conversation. I have also been proud to get to know the hon. Member for Truro and Falmouth (Cherilyn Mackrory) through her own experience and her work co-chairing the APPG. They are all helping to break the stigma of miscarriage and baby loss, but the law is too slow to change. Although my previous very lovely line manager gave me time and space to recover, I was still sending in sick notes from my GP. Yet a few days after the physical pain had subsided, I was not ill any more; I was grieving, with all the classic signs: I could not eat, I could not sleep. I really did not hold much hope that life would ever get brighter. It took time and the support of good people around me. Having to explain to my male boss why the first period following miscarriage triggered grief during a public disagreement was not ideal, but on the whole my previous employer and wonderful colleagues supported me throughout. I cannot imagine going through all that without a supportive employer, yet thousands of women in this country do, and that is why the law must change I believe that public opinion is with us. In every baby loss awareness debate in this place there is a great deal of agreement across the political divide, and the call to extend bereavement leave to people who miscarry in early pregnancy has cross-party support, including from a former Health Secretary. I am grateful to the hon. Member for Strangford (Jim Shannon) for adding his support to this Bill, and to the charity Sands for its support too, but I know that Bills like this do not get far without Government support, and I would be grateful if Ministers met me on this. We have been waiting for an employment Bill since 2019. My proposal today would be an ideal strengthening of people’s rights at work in any future employment Bill. We should not have to wait any longer to make this change There are companies and employers proving that this is possible, with some offering bereavement leave to their staff already. I would like to thank the school where my partner was teaching at the time, which was incredibly supportive during our miscarriages in allowing him the time to grieve as well. Small business owners have got in touch to say that they have amended their compassionate leave policies following personal experiences with miscarriage. It is also reported that Reddit in the US offers up to eight and a half weeks’ bereavement leave following miscarriage. But it is something that all people who experience miscarriage should be entitled to, not just some. Although it was one of the first and is rightly celebrated, bereavement leave for miscarriage in New Zealand is just three days. We have seen over there the change that a Labour Government, and Governments led by women, can make to people’s lives, but, with respect to our friends in New Zealand, I believe we can do better in this country and go further for the parents who experience miscarriage The first time, it took me two days to completely miscarry. The second time, I carried the little ones around with me for nearly a week until I went under general anaesthetic to have them removed. I am so grateful to the team at St Mary’s day surgery, which included my wonderful and super-talented friend Helgi Johansson, for taking care of me that day. During the time I found out the twins had no heartbeats and was going to hospital, I tried to work. It really was not the smartest thing I have ever done, but I pushed on until a heavily pregnant woman joined a meeting. Again, I did the meeting, and I was staring at her lovely round belly knowing that mine would not grow like that that time. I am ever grateful that one day it did, and we are so lucky to have our wonderful rainbow baby. But no woman should feel compelled to stay at home or stay in work; they should have the space and choice about how to grieve This small change will not stop people miscarrying, but it could make the world of difference. These are just a handful of the messages from people saying what a difference it could make. One woman wrote to me to say: “I was asked to go back to work the day after my miscarriage, by a well-known global corporation—I took some sick days but went back after three days. It was horrendous. ” Another wrote: “With every miscarriage, my employer expected me to carry on as if nothing had happened, when what I really needed was to grieve and heal. ” Another woman said: “This will make immeasurable difference to many women like me, especially for women in un-unionised workplaces. ” She went on to say: “We aren’t sick, it needs to be recognised differently. ” For me, that last point really rings true, because being forced to take sick leave wrongly reinforces a woman’s feeling that her body has failed her or that it is somehow her fault. For thousands of women, sadly, miscarriage is part of pregnancy, just as death is part of life The law urgently needs to catch up with society to allow everyone who is the one in four the time to grieve and heal. Miscarriage can be physically painful, but it is not an illness, and it is time the law stopped treating it like one. That is why I commend this Bill to the House Question put and agreed to. Ordered, That Sarah Owen, Jeremy Hunt, Olivia Blake, Bell Ribeiro- Addy, Jim Shannon, Taiwo Owatemi and Alex Davies-Jones present the Bill Sarah Owen accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 25 February 2022, and to be printed (Bill 171). Business of the House (Today) Ordered, That, at this day’s sitting, (1) the Speaker shall put the Questions necessary to dispose of proceedings on the motion in the name of Mr Jacob Rees-Mogg relating to the Independent Expert Panel recommendations for sanctions and the Recall of MPs Act 2015 not later than one hour after the commencement of proceedings on the motion for this Order; such Questions shall include the Questions on any Amendments selected by the Speaker which may then be moved; and the business may be proceeded with, though opposed, after the moment of interruption; (2) notwithstanding paragraph (2)(c)(i) of Standing Order No. 14 (Arrangement of public business), the business in the name of the Leader of the Opposition may be entered upon at any hour and may be proceeded with, though opposed, for three hours; and proceedings shall then lapse if not previously disposed of; and, in respect of both items of business, Standing Order No. 41A (Deferred divisions) shall not apply. —(Mr Jacob Rees- Mogg. )
ParlaMint-GB_2021-10-19-commons.u226	I should inform the House that Mr Speaker has selected the amendment in the name of the Leader of the Opposition.
ParlaMint-GB_2021-10-19-commons.u227	I beg to move, That— (1) the following Standing Order be made: “IEP recommendations for sanctions and the Recall of MPs Act 2015 (1) The Chair of the IEP shall send to the Chair and Members of the Committee on Standards and to the Clerk of that Committee any report from a sub-panel of the IEP which he has referred to the Clerk of the House under subparagraph (5)(d) of Standing Order No. 150A (Independent Expert Panel) and which contains a determination for a sanction that would, if made by the Committee on Standards, engage the provisions of the Recall of MPs Act 2015 (2) Where a report has been sent to the Committee on Standards in accordance with paragraph (1) of this Order the Committee of Standards shall make a report to the House in relation to the Member named in that report, setting out a recommendation for a suspension equal to that recommended by the sub-panel to run concurrently with any sanction imposed as a result of the sub-panel’s determination (3) Reports under paragraph (2) must be made no later than on the third sitting day after the report of the IEP sub-panel is sent to members of the Committee on Standards, save that the day on which the report is sent shall not be counted in calculating this period (4) If the Committee on Standards is unable to meet within 3 sitting days, the Chair shall, if satisfied that the report from the IEP sub-panel has been sent to all members of the Committee, make the report to the House from the Committee required under paragraph (2). ” (2) The following amendments to Standing Orders be made: (a) In Standing Order No. 149 (Committee on Standards), paragraph (1), at the end insert “(c) in accordance with Standing Order No. (IEP recommendations for sanctions and the Recall of MPs Act 2015) to report to the House recommendations for sanctions to run concurrently with sanctions determined by a sub-panel of the IEP and implemented by the House. ” (b) In Standing Order No. 150D (Motions consequent on the ICGS), paragraph (1), at the end, insert “( ) a motion under paragraph (1) of this Order includes a motion to implement a sanction recommended by the Committee on Standards under Standing Order No. (IEP recommendations for sanctions and the Recall of MPs Act 2015), or a motion to implement both such a sanction and a sanction determined by a sub-panel of the IEP” Being a Member of Parliament is an honour and a privilege. The rights conferred on those who hold office as Members exist to help us perform our constitutional role of representing our constituents and their interests as fully as we can. Yesterday, we reflected on a Member of Parliament whose devotion to his constituents served as an example to us all. Today, with this motion, the House is asked to consider what happens when those elected to this House let down their constituents. As Members of this House, we have all a shared duty to ensure that Parliament is a safe and positive place of work. In recent years, we have taken important steps to put in place suitable support and protection for all members of our community. Progress is being made in achieving culture change in Westminster. The elements of the independent complaints and grievance scheme—including the behaviour code and the independent expert panel—put in place so far have begun to make a real difference As Members will know, when the independent expert panel was established it was felt that recall would be an unsuitable consequence in ICGS cases. This was a decision that the House took in establishing the IEP in June 2020 after taking into account the views of the ICGS staff working group. It was the working group’s considered view that the opening of a recall petition could have implications both for the complainant’s confidentiality and the willingness of future complainants to come forward. It was also felt that, should the 10% signing threshold be reached and a by-election campaign be subsequently triggered, the risk to the complainant’s confidentiality would become greater It has been nearly 12 months since the independent expert panel was appointed in November 2020, and I thank Sir Stephen Irwin and the panel for their work. The panel has had to consider very serious ICGS cases. Since the panel commenced its work, this House has had cause to consider once more the discrepancy between ICGS and non-ICGS cases when it comes to their interplay with the Recall of MPs Act 2015 Further to a period of engagement with the independent expert panel, staff groups and the trade unions, the House of Commons Commission has come to the view that it is right to amend the Standing Orders to enable recall to be triggered as a result of an IEP recommended sanction of suspension. I would like to thank the Clerk of the Journals for identifying a simple and clear mechanism by which that could be achieved. I note that Sir Stephen Irwin, chairman of the IEP, while ultimately wanting the matter settled by legislation, has urged the Government to make this change as soon as possible The purpose of the motion before us today is therefore to amend the Standing Orders to ensure that a sanction of suspension of a qualifying duration, made following a report from the independent expert panel, will lead to a recall petition. The Recall of MPs Act 2015 provides three conditions for a recall petition process, one of which is a suspension of a period of at least 10 sitting days or 14 calendar days. For a recall to be initiated under the Act, the sanction must be applied on the recommendation of the Select Committee on Standards, or another Committee of the House of Commons concerned with standards of conduct. The independent expert panel is not a Committee of the House of Commons and therefore a sanction that might otherwise qualify can never result in a recall petition If today’s motion were agreed, in future should a Member be suspended for a period of at least 10 sitting days or 14 calendar days, whether on the recommendation of the independent expert panel, the Standards Committee or another Committee of the House concerned with standards, the Recall Act would be engaged Turning to the amendment in the name of the Leader of the Opposition, the chairman of the IEP has said he is “seriously concerned” by the proposal to apply these Standing Order changes retrospectively. I will go through his concerns in turn, as I think it is important for the House to understand them and take them into account, given the panel’s independence First, the amendment would offend “against the principle that a sanction properly determined by the IEP should be final” Secondly, it would offend “against the principle that there should be no retrospective imposition of a sanction which was not available at the time when a given case was determined by the IEP. ” It is also worth noting that expulsion was an option available to the IEP at the time, which it chose not to take. Thirdly, and perhaps most importantly, it “impinges on the independence of the IEP, since, if implemented, it would amount to a political decision affecting the sanction in an individual case. ” In establishing the independent expert panel, the House recognised the importance of ensuring the panel’s independence. The existing arrangements were put in place to protect the determinations of the panel from debate before the vote on a resolution. The amendment before us today in effect risks drawing the House into a debate on the substance of the IEP’s May 2021 report and whether recall is an appropriate sanction in this case. It is wrong in principle, as Sir Stephen explains in letters placed in the Library by the IEP, for a properly determined sanction to be altered by any other route than a proper appeal or to be made retrospective, but it would also set a very problematic precedent. It would mean the House was taking a decision directly affecting a sanction determined by the IEP. The effect here would be to increase a sanction, but once a change had been permitted, what is to prevent the House making a change so as to reduce a sanction properly determined by the IEP This debate is not and should not be about the merits of an individual case. While I do not dispute that in severe cases it is right that a sanction of qualifying duration should lead to a recall petition, it is not right that the House re-considers the effect of a suspension that was previously agreed forthwith and accordingly served. Moreover, we must keep the experience of the complainant in mind. To change how the IEP works now risks reducing confidence in the process. Such a change would not be a fair one, as the complainant arguably engaged with the process on the understanding that, at the time, it would not result in a recall petition being opened I therefore urge the shadow Leader of the House to withdraw the amendment, which would undermine the independence of the panel. To apply these measures retrospectively could violate the independence of the panel—an independence that is at the core of why the panel was created in the first place on the recommendation of Dame Laura Cox, and which the House has agreed is essential for achieving culture change in Westminster None of us doubts the Opposition’s wish to play their part in making Parliament a safe and supportive place of work. With this motion, we are asked to consider how best to achieve that, so it is in a spirit of co-operation, not confrontation, that I ask the shadow Leader of the House to withdraw her amendment. What we need to see is parity in the effect of sanctions that will, irrespective of their origins, lead to a recall petition. As Sir Stephen has made clear, that will build confidence in the system, and on that basis I commend this motion to the House.
ParlaMint-GB_2021-10-19-commons.u228	I beg to move amendment (a), at end insert: “(3) The provisions of Standing Order (IEP recommendations for sanctions and the Recall of MPs Act) shall be applied in respect of any report from the Independent Expert Panel published before this Order is agreed which contains a determination for a sanction that, if it had been made by the Committee on Standards, would have engaged the provisions of the Recall of MPs Act 2015, save that, notwithstanding the provisions of that Standing Order, the sanction recommended by the Committee on Standards in such a case, shall be limited to 14 days and the provisions of Standing Order No. 45A shall not apply in respect of any suspension imposed in consequence of such a recommendation, and the provisions of the Standing Order shall be interpreted as if the day this Order is agreed had been the day on which the Report was sent to Members of the Committee on Standards in accordance with that Standing Order. ” I rise to move the amendment in my name and in the name of my right hon. Friend the Leader of the Opposition. We are here to debate, and hopefully fix, first, a loophole and secondly, a discrepancy between sanctions from the House of Commons Standards Committee and the independent expert panel of the independent complaints and grievance scheme. As it stands, as the Leader of the House said, if a Member is suspended from Parliament for 10 or more sitting days by the Standards Committee for a breach of the code of conduct, such as regarding expenses or for the misuse of resources, their constituents could, if they chose, cause a by-election under the Recall of MPs Act 2015. Currently, however, when the IEP recommends suspension for sexual misconduct or bullying under the ICGS, they cannot The motion that the Government have tabled, which I fully support, will close that loophole, but there is another discrepancy that my amendment seeks to fix. I have been encouraged by what the Leader of the House has said about the issue in general terms, and I seek to approach it in that way, and by the tone in which he said it. This week, in particular, we have been reminded how fragile and important our democracy is. Yesterday, in this place, we heard the best of our House, and today, we are talking about a topic that is not, but we can show the value of our democracy as we assert Parliament’s will—not through personal attacks, but by taking a stand on standards of behaviour When we have democracy, as we do in this country, we—each one of us, equally valid under the law—can choose our representatives, and we can boot them out when we do not want them. We can do that peacefully, without threats or coercion of candidates or voters, but that carries with it responsibilities. Because of the way we have constructed democracy in this country, for it to work well, our citizens—our constituents—need to feel able to hold us to account, to scrutinise, to challenge and to question us on everything that affects them and our country, and to do so safely. As elected representatives, we must therefore set and demonstrate the highest standards of behaviour, so our constituents can do all that. So far, so much agreement between me and the Leader of the House about prospective rule change The reason that I am putting forward my amendment, which creates a retrospective rule change, is that I cannot think of many jobs of public service where someone found to have carried out sexual misconduct would not face losing that job. In the one relevant case in the past year, however, that has not happened. I have notified the Member concerned that I will be mentioning their case. Let us consider the circumstances that might justify a public servant not losing their job in that situation: if that person demonstrates full and open recognition of the impact of their abusive behaviour on their victims and potentially on members of the public; if they demonstrate and acknowledge the need to change; if they show willingness to take part in some behaviour change programme or voluntary formal scrutiny of some sort; or—this is my preference—if they recognise the dishonour that they have brought to public service and the likelihood of people feeling potentially at risk if they work with or seek help from them, and resign. In the most recent case, in fact the only case to which we are referring, none of those things has happened, so my amendment seeks to make the provision of the motion retrospective in application so it will apply to that case I understand and I have listened very carefully to the misgivings and anxieties of colleagues I respect and hold dear, and to others outside this place, about retrospective rule changes. I would rather not table an amendment with retrospective force; it is far from ideal, although it is possible for Parliament to do it. If the Member concerned had taken any of the above options—preferably the last, but any would have been something—perhaps we would not need to do so. But unfortunately the Member did not; so we do. It cannot be right that, simply because of the timing of a complaint, the victims and constituents of one Member, who has been found to have carried out sexual misconduct by the IEP and who has lost an appeal, will not have the opportunity to trigger a recall petition and a by-election should they—not us—choose to do so, when none of the other options appears to have been taken up The Government’s strategy on “Tackling violence against women and girls”, published in July, states correctly: “We are looking carefully at where there may be gaps in existing law” That is good, but we must also close the existing gaps in Parliament to tackle a culture of bullying and harassment that has been all too pervasive. The Home Secretary was right to say that of the Metropolitan police, and we need to set that example in Parliament too. We need to think of the staff, future staff and constituents of any Member found to have sexually harassed others. We have made great steps in this place to change the culture, but there is no room for complacency and we must lead by example This amendment is one step we could take to go some way to improving the culture around harassment and bullying and to send a clear message that such behaviour will never be tolerated inside this House or by us outside it. I know that all Members of the House share the aim to rid Parliament and our society of the toxicity that leads to cultures of sexual harassment. Although it is not something I wanted to do, the amendment that I have put forward today is a workable way to begin to tackle some of that in this place and set that example I seek to test the view of the House, so I will press the amendment to a vote. Parliament can pass retrospective rule change, and it has before, so it is possible. Considering that we are in the circumstances I have outlined, I would like us to lead by example.
ParlaMint-GB_2021-10-19-commons.u229	I do not want to get involved in the substance of the case, but as a general principle, does the hon. Lady think there is something in the notion of natural law that people should be punished according to the law at the time they commit the offence?
ParlaMint-GB_2021-10-19-commons.u230	As I said, I completely understand the reservations that Members have—I have them myself. Retrospective rule change is an extremely unfortunate situation to be put in. As I outlined, other options were open, but unfortunately they were not taken up, so we find ourselves in a position where we will have a prospective rule change and there will be someone among us whom the independent expert panel has found to have carried out behaviour that would otherwise have triggered a recall. I respect and value the different views of the right hon. Gentleman and of other hon. Members, nevertheless I seek to test the opinion of the House by putting the amendment to a vote.
