ParlaMint-GB_2021-04-13-commons.u1	What progress his Department has made on improving the health service capital estate.
ParlaMint-GB_2021-04-13-commons.u163	The Chancellor has delivered £356 billion-worth of support, I think it is currently, to businesses. He has flexed at every opportunity across Government in devising and designing loan schemes, which are overseen by the British Business Bank, which is overseen, as the single shareholder, by the Secretary of State for BEIS. That is what we should be proud of. The Chancellor is not afraid of anything here. The question is about the coronavirus large business interruption loan scheme, which is administered by BEIS, and that is why I am here to answer it.
ParlaMint-GB_2021-04-13-commons.u164	I understand and share my colleagues’ concerns about lobbying, but, like other corporate financial scandals such as Enron, we need to follow the money. We know that it was the German Greensill Bank that made the loans to Sanjeev Gupta and also supported the use of the private jets on which our former Prime Minister made many journeys, and that the bank is now under criminal investigation as many thousands of German people face bankruptcy. What conversations has the Minister had with the German prosecutors about the CLBILS loan scheme, and will they be invited to give evidence to the inquiry?
ParlaMint-GB_2021-04-13-commons.u165	As I said in my opening statement, the bank opened an investigation into Greensill Capital’s compliance with the terms of the scheme in October 2020 and informed the Government of that on 9 October. That is continuing. The obligations as guarantor of the CLBILS scheme are suspended on a precautionary basis, but it would not be appropriate for me to comment on further investigations at this time as it is ongoing.
ParlaMint-GB_2021-04-13-commons.u166	As if the billions of pounds of crony covid contracts was not bad enough for hard-working Brits to stomach, we now have a former Tory Prime Minister sending private text messages to the Chancellor and other Treasury Ministers lobbying for Government loans for a firm in which he himself is a shareholder and that is now insolvent; we have him going for a private drink with his financier friend Lex Greensill and the Health Secretary; and we have a Chancellor who messaged back to say that he would “push” his team to find a solution, and now has neither the courtesy nor the courage to come to this House to be held accountable for his actions. Does the Minister agree that this just stinks—downright stinks—not just because we are talking about former and current Tory Ministers all in it together, but because it is not merely the Chancellor’s money that has been put at risk but the British taxpayers’ hard-earned money that is at stake?
ParlaMint-GB_2021-04-13-commons.u167	May I respectfully suggest to the hon. Gentleman, through the Speaker, that if he wants the Chancellor to come to answer a question, he might ask a question that relates to the Treasury rather than one that comes under the British Business Bank, which is a responsibility of BEIS? As for the Chancellor, as I say, the system has worked. The hon. Gentleman may be touting his Opposition day debate tomorrow about wider things, but the Chancellor asked his officials to push for wider capital flows to be able to go through larger and smaller businesses, as we all wanted, and he rejected Greensill’s ask to try to change the CCFF scheme to involve banks including Greensill. That process worked.
ParlaMint-GB_2021-04-13-commons.u168	From a former Prime Minister texting Ministers in pursuit of his own financial interests to concerns over Russian state access to the other place, it is little wonder that questions have arisen as to the integrity of decision making in the UK. I acknowledge the Government’s commitment to investigate the Greensill debacle, but will they go further by implementing the Intelligence and Security Committee’s recommendations regarding undue influence in decision making, particularly in the practice of Lords for boards, to safeguard the transparency of our democratic decision making?
ParlaMint-GB_2021-04-13-commons.u169	The review specifically looks at supply chain finance and the discussions with Greensill. As I say, Nigel Boardman will do his work and report back at the end of June.
ParlaMint-GB_2021-04-13-commons.u170	I have written to Ministers on behalf of businesses in Chesterfield—many other MPs have written too—and have waited months for a reply while a business was on the brink, yet Greensill gets 10 meetings in three months with Treasury officials, and the junior Minister has the audacity to stand there and say that this is a system working well. When David Cameron was the Prime Minister, he said corporate lobbying was “money buying power, power fishing for money and a cosy club at the top making decisions in their own interest. ” He could not describe this grubby, shabby Government any better, could he?
ParlaMint-GB_2021-04-13-commons.u171	Treasury Ministers, like other Ministers, have had a number of meetings with lenders of all sorts, because as we heard earlier it is so important to have a diversity of lenders involved to create an understanding of their model and what support they can give. The accreditation itself was determined independently by the British Business Bank.
ParlaMint-GB_2021-04-13-commons.u172	The inquiry announced by the Prime Minister seems to focus on the actions of David Cameron, but it is quite clear that the bigger consideration is the actions of Government Ministers and how they interacted to get Greensill what it wanted. It goes along with Government business as usual: crony appointments to the House of Lords and crony appointments to external bodies and regulators. Tory peer Baroness Harding was appointed to roll out the failed track and trace system. Then we have all the dodgy PPE contract awards. Surely it is not a short inquiry that is needed, but a public inquiry into the entire actions and dealings of this Government.
ParlaMint-GB_2021-04-13-commons.u173	The review goes beyond the actions of one man in this matter, but it is important to remember that the Chancellor in particular rejected what Greensill actually wanted, so there is no case in that regard, because that was rejected out of hand.
ParlaMint-GB_2021-04-13-commons.u174	The public deserve answers. This is not the Prime Minister’s money, the Chancellor’s money or the Conservative party’s money; it is public money. Can the Minister explain why Greensill Capital met Treasury officials 10 times last summer, as my hon. Friend the Member for Chesterfield (Mr Perkins) said, when the most meetings any other coronavirus business interruption loan scheme lender secured with the Treasury was two? The vast majority of lenders did not even have any meetings with his Department.
ParlaMint-GB_2021-04-13-commons.u175	Lenders and businesses have had many, many meetings across Government without favour, to make sure that we can get that information to ensure a diversity of lenders and that we could flex. The various loan schemes were added to and amended along the way to make sure that we could take the temperature of exactly how that lending was or was not working.
ParlaMint-GB_2021-04-13-commons.u176	I would like to associate myself first with the comments made earlier about Cheryl Gillan from all sides of the House. Many Members will remember that seven years ago, when David Cameron was putting his lobbying Bill through this place, he point blank refused to adopt any new clauses or amendments that would bring greater transparency to the corporate lobbying industry. I wonder why he did that. All these years later, is it not time to put that right and introduce greater transparency—not to stop corporate lobbying, which is a perfectly legitimate business to engage in, but to introduce greater accountability—so that we and the public know who is being lobbied and by whom?
ParlaMint-GB_2021-04-13-commons.u177	I started off by talking about how the market works when there is transparency and openness, and lobbying comes within that. We should always review what is and is not there. The lobbying register should be working, and we need to make sure that that continues to work, but we always should be able to review lobbying activities to make sure that they are, as the hon. Gentleman says, transparent.
ParlaMint-GB_2021-04-13-commons.u178	Is the central fact not that there was communication between a former Prime Minister and Ministers about his private interests? Will the Minister confirm that that is a breach of the long-standing British value that high office is not a grubby route through to great riches in the afterlife? Will he indicate that he could take immediate action while we wait for this inquiry, which sounds like a whitewash to me, to remove the impression that powerful wealth dominates public institutions? He could stop the revolving door between Ministers and the private sector. He could stop immediately all forms of lobbying within Westminster and Whitehall. Finally, he could stop the process of outsourcing to Tory chums.
ParlaMint-GB_2021-04-13-commons.u179	What I can do is explain the difference between an output and an outcome. An output means that any number of meetings, any number of requests— unless you block the number, any Minister will receive those texts. An outcome is what actually happens as a result, and I was absolutely clear that the Chancellor rejected what was put forward by Greensill and rejected what was put forward by David Cameron.
ParlaMint-GB_2021-04-13-commons.u180	This process is just another example of where covid contracts are becoming a genuine source of public concern. The allegations are further undermining public confidence and cultivating among the public a feeling of suspicion about all the activities of this Government. How do the Government propose to rebuild public trust in the wake of the emergence of yet another scandal?
ParlaMint-GB_2021-04-13-commons.u181	Having been in opposition at a local level, I know what causes speculation and mistrust among the public, and it is that chipping away, the politicisation of some of these issues. But the Chancellor has been particularly robust in his actions and his outcomes here. There is a review; Nigel Boardman will do his work. People have committed to be open and transparent with him, and the review will report back at the end of June, and will show results for the public to see.
ParlaMint-GB_2021-04-13-commons.u182	Was the British Business Bank approached by senior civil servants or Ministers about Greensill’s having access to the coronavirus large business interruption loan scheme? Did Greensill exceed its authority and lend more than it was authorised to lend—£400 million to the Gupta group alone, all of which has now been lost?
ParlaMint-GB_2021-04-13-commons.u183	I am not aware of any communication between Ministers and the British Business Bank about the accreditation of Greensill, which was made independently of Government. There is an ongoing investigation into Greensill, so it would be inappropriate for me to comment at this time.
ParlaMint-GB_2021-04-13-commons.u184	Five years ago this week, the former Member for Bolsover was asked to leave the Chamber for using unparliamentary language towards David Cameron regarding his personal finances. Does the Minister now agree that he was, and indeed remains, dodgy?
ParlaMint-GB_2021-04-13-commons.u185	No.
ParlaMint-GB_2021-04-13-commons.u186	When businesses continue to collapse and charities fold in our constituencies because they have not received a penny of support, it now appears that not everything that the former Prime Minister did was for the record, as exchanges took place to procure hundreds of millions of pounds out of the Treasury for a company that he was profiting from. The very loopholes that Labour tried to close in his lobbying legislation left sufficient room for that corruption. So will the Minister stop hiding the detail and now publish a timeline of every meeting, call, text message and conversation between the former Prime Minister and Members of this current Conservative Government and their officials—publish them before this House, so that we can understand the extent of his lobbying?
ParlaMint-GB_2021-04-13-commons.u187	The Chancellor has published his text messages and there is a review that, rather than hiding, will go into the detail. As I said, all the parties involved have pledged their commitment to comply with that investigation, which will report back at the end of June.
ParlaMint-GB_2021-04-13-commons.u188	The simple fact is that, again and again, Members from all parts of the House pleaded with the Chancellor to meet us to hear the plight of millions of people who were excluded from any Government support, and the Chancellor would never find the time for such a meeting; but a few texts from dodgy Dave, and Greensill has got 10 meetings and a ream of correspondence with senior Treasury officials—the type of access that most businesses in this country could only dream of. So I ask the Minister why it was that, in correspondence between Greensill and a senior Treasury official, they put in words: “Whilst not using this precise phrasing, we have crafted a formulation both in substance and form which provides an even stronger political position. ” Why is a private company advising Treasury officials about political positioning; and does not this show that, despite his protestations, it is ludicrous that the Business Minister is here, not the Chancellor? If the Chancellor had nothing to fear, he would have nothing to hide and he would be here to answer the questions.
ParlaMint-GB_2021-04-13-commons.u189	I am afraid that in Government we have to deal with details, and that includes asking the right question in the first place. If a question is asked about a BEIS responsibility, I think it is fair and reasonable that a BEIS Minister should come here and answer it. However, I come back to the point that the hon. Gentleman can come up with all he likes about process, but what businesses want are outcomes, and that means capital flowing through those businesses. The outcome in this situation was that the Chancellor rejected such a proposal, but the detail that the hon. Gentleman talks about will be investigated by Nigel Boardman, and that review will be published by the end of June.
ParlaMint-GB_2021-04-13-commons.u190	Just three weeks ago, I asked Ministers to back an independent investigation into the actions of crony Cameron. At that time, they refused to answer, so I welcome the U-turn that has again taken place. However, the public expect and want total accountability and transparency, so will the Minister back a wider review into the dishing out of covid contracts to Tory donors and friends?
ParlaMint-GB_2021-04-13-commons.u191	I am not sure I recognise the name that the hon. Gentleman calls the former Prime Minister, which I think is inappropriate. There is a review, which is investigating as we speak. With regard to covid, as I say, there are a number of things that we will look at when we are past this pandemic. We will look back at what has happened and at the support that the Government have given—the many hundreds of millions of pounds that the Government have given to small and large businesses.
ParlaMint-GB_2021-04-13-commons.u192	I am suspending the House for three minutes to enable the necessary arrangements to be made for the next business.
ParlaMint-GB_2021-04-13-commons.u193	Before I call the hon. Member for East Worthing and Shoreham (Tim Loughton), I wish to make it clear that it is in the public interest that Members should be able to speak and act freely in raising issues of concern. They should not be impeded in carrying out their duties—and that includes the Chair of the Foreign Affairs Committee. They are democratically elected representatives and nothing should interfere with the democratic process.
ParlaMint-GB_2021-04-13-commons.u194	(Urgent Question): To ask the Secretary of State for Foreign, Commonwealth and Development Affairs if he will make a statement on recent sanctions imposed by the Chinese Government on UK citizens.
ParlaMint-GB_2021-04-13-commons.u195	The Government stand in complete solidarity with those sanctioned by China. As the Prime Minister and Foreign Secretary have made clear, this action by Beijing is utterly unacceptable and unwarranted The House will recall that on 22 March, the UK, alongside the EU, Canada and the United States, imposed asset freezes and travel bans against four senior Chinese Government officials and one entity responsible for the violations that have taken place and persist against the Uyghur Muslims in Xinjiang. In response, China sanctioned nine individuals and four organisations, including Members of this House and the other place, who have criticised its record on human rights. It speaks volumes that while 30 countries are united in sanctioning those responsible for serious and systematic violations of human rights in Xinjiang, China’s response is to retaliate against those who seek to shine a light on those violations. It is fundamental to our parliamentary democracy that Members of both Houses can speak without fear or favour on matters of concern to the British people The Prime Minister and the Foreign Secretary have made absolutely clear the Government’s position through their public statements and on 22 March. I also summoned China’s representative in the UK to the Foreign, Commonwealth and Development Office to lodge a strong, formal protest at China’s actions. This Government have been quick to offer support to those who have been sanctioned. The Prime Minister and the Foreign Secretary held private meetings with the parliamentarians named in China’s announcement. My noble Friend, the Minister for human rights, Lord Ahmad, met other individuals and the entities that have been targeted. Through this engagement, we have provided guidance and an offer of ongoing support, including a designated FCDO point of contact and specialist briefing from relevant Departments Just as this Government will be unbowed by China’s action, I have no doubt that Members across this House will be undeterred in raising their fully justified concerns about the situation in Xinjiang and the human rights situation in China more broadly. I applaud the parliamentarians named by China: my hon. Friends the Members for East Worthing and Shoreham (Tim Loughton), for Tonbridge and Malling (Tom Tugendhat), for Harborough (Neil O’Brien) and for Wealden (Ms Ghani), my right hon. Friend the Member for Chingford and Woodford Green (Sir Iain Duncan Smith), the noble Lord Alton and the noble Baroness Kennedy for the vital role they have played in drawing attention to the plight of the Uyghurs and other minorities in Xinjiang This Government have worked with partners to build the international caucus of those willing to speak out against China’s human rights violations and increase the pressure on China to change its behaviour. We have led joint statements at the UN’s human rights bodies, most recently joined by 38 countries at the UN General Assembly Third Committee in October, and we have backed up our international action with robust domestic measures. In addition to the global human rights sanctions announced on 22 March, the Foreign Secretary announced a series of targeted measures in January to help ensure that British businesses are not complicit in human rights violations in Xinjiang. The United Kingdom will continue to work alongside its partners to send the clearest possible signal of the international community’s serious concern and our collective willingness to act to hold China to account for its gross human rights violations in the region.
ParlaMint-GB_2021-04-13-commons.u196	Mr Deputy Speaker, I thank the Speaker for granting this urgent question and for his robust support, together with that of the Lord Speaker, the Prime Minister, the Foreign Secretary and the Minister today. I suppose I need to declare an interest as one of the five right hon. and hon. Members of this House who have been placed on the Chinese Government’s sanctions list, apparently for “maliciously” spreading “lies and disinformation”; in the language of the Chinese Communist party, of course, that is a euphemism for speaking the truth. As parliamentarians we have been singled out, together with Lord Alton and Baroness Kennedy of The Shaws, presumably for our vociferous calling out of the genocide against the Uyghur people by the Chinese Government, the industrial-scale human rights abuses in Tibet and the suppression of free speech and liberty in Hong Kong. That is what parliamentarians do, without fear or favour, in a democracy. To be sanctioned by a totalitarian regime is, therefore, not only deeply ironic and laughable, but an abuse of parliamentary privilege of this House, by a foreign regime What further action are the Government considering against the Chinese Government to emphasise how unacceptable and unfounded their action is? Will the Minister assure the House that the Government will not be proceeding with any new agreements with the Chinese Government while these sanctions remain in place The other individuals named were Newcastle University academic Dr Jo Smith Finley and Uyghur expert lawyer, Sir Geoffrey Nice QC. Does the Minister agree that this also represents an attack on academic freedom and the independence of the legal profession in the United Kingdom? What support are the Government offering to those two individuals Given growing concerns about the malign influence of the Chinese Government in sensitive research projects in our universities, the sinister tentacles of the Confucius institutes on campuses and increasingly in our schools, not to mention the wide-scale buying of influence in UK boardrooms, will the Government commit to a detailed and transparent audit of Chinese influence in our education system, our military capability, our business and our infrastructure projects, and, if found to be acting against British interests, send them packing Given the disgraceful recent dressing-down of our ambassador in Beijing for supporting on social media the role of a free press, will the Minister confirm that British diplomats will not be bowed and will be fortified in calling out abuses by the Chinese Government wherever they happen, as we sanctioned parliamentarians have been fortified to call out the abuses of the totalitarian Government in China by their badly-thought-out and counterproductive use of sanctions, which we will wear as a badge of honour? Will the Minister signal, clearly and firmly, that project kowtow is over and that Britain will not flinch from standing up and calling out Chinese Government abuses, which they have got away with for far too long?
ParlaMint-GB_2021-04-13-commons.u197	I thank my hon. Friend for his questions and for his bravery in the work that he and other right hon. and hon. Members have done, which led to these extraordinary measures by China We have been absolutely clear with China that its sanctioning of UK individuals and entities is unwarranted and unacceptable. My hon. Friend is right to shine a light on these measures. We will not allow this action by China—neither will our diplomats—to distract attention from the gross human rights violations in Xinjiang. We will continue to work alongside our partners to send the clearest possible signal of the international community’s serious concerns and our collective willingness to act My hon. Friend mentioned Jo Smith Finley, who is another of the individuals named. Academic freedom and freedom of speech are fundamental UK values and a cornerstone of the world-class UK higher education system. The attempt to silence those highlighting human rights violations in Xinjiang in academia is absolutely unwarranted and unacceptable. We are offering support to Jo Smith Finley, as we will and have for all those impacted by these sanctions.
ParlaMint-GB_2021-04-13-commons.u198	The Labour party stands in solidarity with the nine British citizens, including Members of both Houses, who have been sanctioned by the Chinese Government solely for calling out Beijing’s appalling human rights abuses against the Uyghur people in Xinjiang. We welcome the Prime Minister’s invitation to those who were sanctioned to meet him, and we hope that the Government are providing those individuals with adequate advice and support. However, we are deeply concerned about the rank hypocrisy and inconsistency in the Government’s actions regarding China When Beijing introduced the Hong Kong national security law last summer, the UK withdrew from two UK-China Government investment forums: the joint trade and economic commission and the economic and financial dialogue. However, it is reported that those forums are now reopening. Will the Minister confirm that On Hong Kong, does the Minister now agree with the Opposition that British judges who serve in Hong Kong are only lending a veneer of credibility to a broken system and that they should therefore withdraw? Lord Reed’s review was announced in November. When will its conclusions be published? Where are the Magnitsky sanctions against Carrie Lam and the human rights violators in Hong Kong In January, the Foreign Secretary said that “we shouldn’t be” doing trade deals with countries committing human rights abuses “well below the level of genocide”, yet the Government whipped their MPs against the genocide amendment to the Trade Bill. Will the Minister explain that rank hypocrisy and why the Foreign Secretary says one thing in public and something else altogether in private? The Government claim to be alive to the threat that Chinese state-backed investment poses to Britain’s economic security and prosperity, so why on earth is the Business Secretary weakening our defences by watering down the National Security and Investment Bill? Today, Taiwan suffered the biggest Chinese military incursion into its airspace to date of 25 planes. What conversations is the Minister having with his counterparts about that worrying development It is clear that the Government have no strategy on China at home and no strategy on China abroad. Will they now commit to an audit of every aspect of the UK-China relationship so that we can finally call time on the Conservatives’ failed golden era strategy and replace weakness, division and inconsistency with an approach that is instead based on strength, unity and consistency?
ParlaMint-GB_2021-04-13-commons.u199	I thank the hon. Gentleman for his questions. The reality is that the UK has always wanted a mature, positive relationship with China. That has to be based on mutual respect and trust. There is still considerable scope for constructive engagement and co-operation, but we will not sacrifice our values or our security. It is worth getting it on the record that China is an authoritarian state with different values from the UK. We continually act on matters on which we do not agree, including human rights and Hong Kong The hon. Gentleman mentioned Hong Kong. The prosperity and way of life for Hongkongers relies on respect for fundamental freedoms, which includes an independent judiciary and the rule of law. We are fully committed to upholding Hong Kong’s high degree of autonomy and rights and freedoms under the joint declaration. On the national security law, the imposition of the new rules including disqualifying elected legislators and changes to election processes, clearly constitutes a serious breach of the joint declaration. We consider Beijing to be in a state of ongoing non-compliance with the Sino-British joint declaration On Taiwan, yes, we are clearly concerned by any action that raises tensions in the Taiwan strait and risks destabilising the status quo. We have a long-standing policy that the Taiwan issue needs to be settled peacefully by the people on both sides of the Taiwan strait through constructive dialogue. We continue to work with Taiwan constructively on economic trade, education and cultural ties, and I think our relationship brings huge benefits to both the United Kingdom and Taiwan.
ParlaMint-GB_2021-04-13-commons.u200	I thank Mr Speaker for his opening statement of support, which is absolutely right, and the Minister for his response. Surely the key question is: where do we go with our relationship with China? China has sanctioned, without reason, British politicians, people beyond the political sphere and organisations. It has also sanctioned people in Europe and in America. Surely it is now time for the Government to lead our allies in Europe and the United States in saying to China that there can be no preferential trade, economic or commercial deals done while our citizens are sanctioned. Will the Minister resist any moves by any other part of Government to water down any of the measures in the new National Security and Investment Bill, which is going through Parliament?
ParlaMint-GB_2021-04-13-commons.u201	I commend my right hon. Friend for his continued work on this subject. The Government see China’s increasing international assertiveness at scale as potentially the most significant geopolitical shift in the 2020s, but it is vital that we co-operate with China to tackle the most important challenges facing this generation, not the least of which is climate change. We will do more to adapt to that growing impact and to manage our disagreements. We need to defend our values but co-operate where our interests align. We must pursue a positive economic relationship as well as tackle global challenges. I said in response to a previous question that the House should be in no doubt that China is an authoritarian state, with different values from those of the United Kingdom. We will continue to act on matters on which we do not agree, including human rights and Hong Kong.
ParlaMint-GB_2021-04-13-commons.u202	As Members have said, the sanctions fit into a wider pattern of action that Beijing has been taking forward across the European continent and the US, reaching beyond politics and into academia and elsewhere. From the perspective of the Scottish National party, the whole point of democracy is that we can disagree, if not as friends then certainly as colleagues, and I have no hesitation in expressing our total support and total solidarity with the right hon. and hon. Members across the House and those elsewhere who have been sanctioned in this way. I am quite sure it will not silence them; it certainly will not silence SNP politicians in the Scottish Parliament or in this place Beijing has taken advantage of mixed signals from the UK Government. Although the Government have not done nothing, they could be tougher. It was a Conservative Government who whipped their own Members against a genocide amendment to the Trade Bill—a matter of great regret—and the UK still does not define the situation in Xinjiang as genocide. Does the Minister not agree that we need to be tougher on this? It is high time that the UK Government follow the lead of others, define what is happening in Xinjiang as genocide and make it clear that the UK will not do business with genocidal regimes anywhere?
ParlaMint-GB_2021-04-13-commons.u203	The amendment to the Trade Bill that was passed is consistent with our long-standing policy that any judgment on whether genocide has occurred is a matter for a competent court, rather than for Governments or non-judicial bodies, and should be decided after consideration of all the evidence available in the context of a credible judicial process.
ParlaMint-GB_2021-04-13-commons.u204	I want to put on the record my thanks to Mr Speaker for his robust support. He fully understands that sanctioning MPs was not only about intimidating us, but about threatening the integrity of this House. It is absurd for MPs to be sanctioned for producing a Select Committee report that talks about slave labour in Xinjiang. My question to the Minister is this: if we know that the United Nations is broken when it comes to determining genocide, what are we to do now that the Chinese communist party has decided to sanction those Members who dared to speak about it? The Minister spoke about the work the Government are doing with businesses to make sure that modern slavery is not in supply chains, but that is now worthless, because every business doing the right thing that was identified in our report is now being threatened by the Chinese communist party Finally, alongside many colleagues, I led on the genocide amendment to the Trade Bill. Although it is good that the Government’s compromise tackled genocide, it is shameful that it excluded the Uyghur. I do not expect a change in the law, but I do expect the Minister to say that the Uyghur people can now come forward in any process in this place that is established to see whether genocide is taking place.
ParlaMint-GB_2021-04-13-commons.u205	I thank my hon. Friend for her persistent work in this area. She—and other colleagues and entities that have been sanctioned—obviously have the full support of the Foreign Office. I know that her work on the issue of genocide has been long standing, but I do think the Government’s amendment to the Trade Bill is consistent with our policy. Select Committees will be able to come up with a report that the Government have to consider. Depending on the response of the Select Committees, that could very well lead to a meaningful debate on the Floor of the House.
ParlaMint-GB_2021-04-13-commons.u206	The Liberal Democrats offer full solidarity with colleagues and organisations who have been sanctioned for daring to speak out against atrocities committed by China. If the purpose of those sanctions was to try to muzzle them, I am sorry to say that all it has done is made all of us even more determined to speak truth to power in this place On 8 April, US Senate Foreign Relations Committee chairman Bob Menendez announced a bipartisan agreement on new comprehensive China legislation. What consideration has the Minister given to seeking cross-party support for a comprehensive and nuanced new foreign policy settlement towards China that protects democracy and human rights? As he will have seen from the strong support for the genocide amendment to the Trade Bill, such a settlement would be welcomed across the House.
ParlaMint-GB_2021-04-13-commons.u207	Four months ago, the Foreign Secretary initiated a small, interdepartmental, Minister-led group on China, working on the exact point raised by the hon. Lady. It is absolutely right that we react after seeing China’s increasing international assertiveness in recent years. As I said previously, these are some of the most significant geopolitical shifts that we have seen in the 2020s. We will continue to hold China to account by bringing together the coalition through statements at the UN, and by working with and having alongside us 30 countries regarding the measures that we recently announced that have led to these sanctions. That should give the hon. Lady some comfort that the UK Government are working together with our international partners to shine a light on these gross violations.
ParlaMint-GB_2021-04-13-commons.u208	Does my hon. Friend agree that if China wishes to rebut claims of human rights violations made by this Government or this House, the easiest thing it can do is to allow free and unfettered access to the United Nations Human Rights Commissioner?
ParlaMint-GB_2021-04-13-commons.u209	My hon. Friend is spot on. That would help to clear up a lot of these issues. The Foreign Secretary has made it clear that the UN High Commissioner for Human Rights or another independent fact-finding body must be given unfettered access to Xinjiang to check the facts. We have called for this repeatedly in joint statements and national statements at the UN. It is vital that China allows such access without delay. If, as China claims, these allegations are fabrications and falsehoods, how can it object to granting access?
ParlaMint-GB_2021-04-13-commons.u210	China sees the UK Government refusal to allow our courts and Parliaments to make judgments about genocide in relation to trade agreements as a sign of weakness, and its sanctions against UK citizens is the latest move to show that it will suppress democracy, abuse human rights and flout the rule of law. Since bullies only respond to strength, will the Government now use their chairing of COP26 and the G7 to bring unity in our trade and financial agreements to strongly support our shared values and our shared environment?
ParlaMint-GB_2021-04-13-commons.u211	The hon. Gentleman raises a point about genocide that I have answered on previous questions. We are absolutely committed to ensuring that our trade policy is consistent with our international obligations, and it is absolutely clear that more trade does not have to come at the expense of human rights. We have a high level of ambition for our trade and investment partnership with China, but it should not come at the expense of human rights.
ParlaMint-GB_2021-04-13-commons.u212	Many in Newport West were delighted by the election of Joe Biden and Kamala Harris, and I for one was among them. The Minister will know that the American Government have taken action where we have not, so can the Minister be clear? He has already been asked the question, but I was not clear on his answer. Does he intend to bring forward further sanctions on other entities and more senior individuals in relation to the appalling situation in Xinjiang? A simple yes or no will do.
ParlaMint-GB_2021-04-13-commons.u213	We have acted to hold to account senior officials and a senior organisation responsible for the human rights violations taking place in Xinjiang. We have also acted with 30 other countries on an agreed set of designations. We have increased the reach and impact of these measures, and we have sent the clearest possible signal of the international community’s serious concern and collective willingness to act. As I have said many times at this Dispatch Box, it is not particularly wise to speculate on further such designations.
ParlaMint-GB_2021-04-13-commons.u214	Does my hon. Friend agree with me that we should be focusing not only on sanctions, but on the measures that stop businesses in the UK profiting from forced labour in Xinjiang?
ParlaMint-GB_2021-04-13-commons.u215	My hon. Friend is spot-on, and I agree with her. That is why on 12 January we announced a series of measures to help ensure UK businesses and the public sector are not complicit in human rights violations in Xinjiang. These measures target in a forensic way those profiting from forced labour or those that would financially support it, whether deliberately or otherwise.
ParlaMint-GB_2021-04-13-commons.u216	I thank the Minister for his response. I spoke to the Minister beforehand, so he knows my question in advance. Will he further outline what support has been offered to those who have left China and Hong Kong and taken up UK citizenship? They are being called by the Chinese embassy to pick up letters—as my constituents have been over the last few weeks—with no further information about what is in the letters or even the need for them to attend in person to pick up the letters. They have been shaken by this secrecy and what some of them term as the “threat” of these letters. This is happening right here in the United Kingdom of Great Britain and Northern Ireland.
ParlaMint-GB_2021-04-13-commons.u217	I thank the hon. Member for his point, and up until a few minutes ago I was not aware of the reports to which he refers. He will know the level of support we are offering to those coming from Hong Kong, not least the £30-some million announced by the Ministry of Housing, Communities and Local Government last week, to help people assimilate within communities. If he were to write to me formally with more detail, I would be more than happy to provide a full response or indeed to meet the hon. Member.
ParlaMint-GB_2021-04-13-commons.u218	When it comes to the call to accuse China of genocide in Xinjiang, I am reminded of the work of Evelyn Beatrice Hall, who wrote in “The Friends of Voltaire”, as an illustration of Voltaire’s beliefs: “I disapprove of what you say, but I will defend to the death your right to say it” Therefore all of us, perhaps especially those of us who have had China visas denied in the past for alleged misdemeanours, should show our solidarity with colleagues so sanctioned Does the Minister agree with the statement made the other day by the former Foreign Secretary William Hague? He said that “it’s very important to find a framework of co-operation even with a rival power when there’s so much at stake in the world on climate change, arms control and on the future stability of the financial system. ” Does my hon. Friend agree that this has to be the way forward?
ParlaMint-GB_2021-04-13-commons.u219	My hon. Friend speaks with a great deal of experience on China. It is the case that China has different values from the United Kingdom, and as I have said, its increased international assertiveness is the most significant geo-political shift in recent years. A recent publication on international relations highlights that we will do more to adapt to China’s growing impact. We need to manage those disagreements, defend our values, but co-operate where those interests align. That includes pursuing the positives. As the former Foreign Secretary William Hague pointed out, this is a difficult balancing act, but we must pursue a positive economic relationship. That includes tackling all sorts of other challenges, but we have to call out China when it commits human rights violations. In great contrast to the sanctions that China has placed on right hon. and hon. Members, the sanctions that we issued, alongside our international partners, were thought out. They took some time to deliver, but they had a legal basis to them, contrary to the recent sanctions on our colleagues that we have seen from China.
ParlaMint-GB_2021-04-13-commons.u220	I, too, put on record my thanks to Mr Speaker for granting this Urgent Question. The Foreign Secretary described what is happening in Xinjiang as “barbarism we had hoped was lost to another era”—[Official Report, 12 January 2021; Vol. 687, c. 160. ] The growing evidence of Uyghur Muslims being repeatedly violated and used as slaves to farm cotton is indeed barbaric. When will the House be presented with Government legislation to firm up section 54 of the Modern Slavery Act 2015, so that all companies have a responsibility to prove that their supply chains are free from forced labour, and to reinforce sanctions for non-compliance?
ParlaMint-GB_2021-04-13-commons.u221	I thank the hon. Lady for her question and for her support of the Government policy that will come forward to the House. Evidence of the scale and severity of the human rights violations being perpetrated in Xinjiang against the Uyghur people is far reaching and, as I am sure she will agree, paints a truly harrowing picture. We are looking forward to hearing about further measures, but hon. Members should be in no doubt that the Government will take action to ensure that slave labour is not used in any United Kingdom supply chains.
ParlaMint-GB_2021-04-13-commons.u222	Does my hon. Friend agree that we should stand in solidarity not just with those Members facing sanctions in this House, but with all those law makers and others who have faced sanctions for speaking out against China in the United States, Canada and the EU? We will not be silenced.
ParlaMint-GB_2021-04-13-commons.u223	My hon. Friend is right. We have made it clear that we regard China’s attempts to silence those who highlight and shine a light on human rights violations in Xinjiang as unwarranted and unacceptable, and we stand in solidarity with all those sanctioned by China. We are in close contact with the United States, Canada and our European partners, who have also had citizens or entities sanctioned.
