ParlaMint-NO_2000-05-10.ana.ud84e27	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2000-05-10.ana.ud84e464	There will be follow-up questions – Odd Roger Enoksen.
ParlaMint-NO_2000-05-10.ana.ud84e467	It's not going to get away from the fact that an increasing proportion of the population is taking out part of their income through the return on capital. This will increase in the future, and if we are to be able to pursue a solidarity wage policy in the future as well, as the Question Time has so far been concerned, we will depend on the development of a tax system that is perceived to be fair to people. It will not be possible to accept a development in which those who have their income exclusively from employee income will show solidarity, while those who have an increasing proportion of the income from capital income will have a strong growth in their income, and a much stronger growth than those who only have income. I'm not going to point to any solutions, but my question to the Prime Minister is: Will the Prime Minister help follow up what the central government started, namely to bring about a balancing of taxes on capital and taxes on work to counteract this kind of growing difference?
ParlaMint-NO_2000-05-10.ana.ud84e474	We should work all the time to get a fairer tax system. We have some suggestions that we have been following for a long time, and we are constantly working to make improvements, including: on the basis of the investigations and work carried out by the central government, e.g.: in the context of the flat tax investigation. We're not trailers of flat tax, but there's a lot of material there that's useful for the further work compared to tax. But tax is a complicated matter, which you don't just sneak in in in the middle of the year; you have to have reworked proposals before you present them. And so the proposals that have been worked through, we have not received a majority in the past. But it's important to be clear that we have to act neatly in relation to the fact that this is also about corporate taxes. A few years ago, we were all concerned that there was too little equity in the companies, and then we have to avoid getting into the situation that if you put the money in the bank, you get 28 pst. tax, and if you put the money in a company, you get a higher tax rate. At least there is a poor industrial policy — it can contribute to increased unemployment, so we need to have equal treatment for different types of capital. It's a very demanding and important principle.
ParlaMint-NO_2000-05-10.ana.ud84e479	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e482	There is a lot of truth in what the Prime Minister is now saying. It's probably not a goal that taxes should be high, but what's a goal is that taxes should be perceived fairly. A message that the wage-setting has now given is that the differences have become so large that people have reacted, and thus the first proposal for a private-sector collective bargaining agreement has also been voted down. One reason for what the representative, Mr Halvorsen, was in the Chamber, is probably among other things. taxes on capital are significantly lower than taxes on labour. Another thing that also provokes is the proposal for option taxation. Options, which have become more and more common in business, are a form of incentive and reward that is said to be used especially in enterprises that do not have the ability to attract good employees. This proposal has come at the most unfavourable time one can imagine, because it involves a tax relief which in itself will contribute to the continued increase of the spiral of differences. And my question to the Prime Minister is as follows: Will he agree to clarify the consequences and look at the effect of such a proposal, before it may be adopted in the Stortinget?
ParlaMint-NO_2000-05-10.ana.ud84e491	Now, for the first time, the change in option tax has already been adopted by the Storting. Secondly, there's a smaller adjustment. The tax rates for option taxation shall be exactly the same now as before. The difference is the time at which the tax is levied. When the contract is concluded, it is not known to what extent there is any gain associated with the option, then the tax is calculated on estimated future earnings. This means that the actual gain at the option may be both greater and less than the estimated gain at the time of conclusion of the contract. What the government is now proposing is that we take the tax when the options are used, that is, when you acquire the shares, because then you know how much the gain has been, and then we're taxing the entire gain at exactly the same rates as what are the rules today, that is. 55 pst. income tax plus up to 26 pst. an employer’s fee in Zone 1. In some cases it could mean increased tax on options compared to today's system, so it's not a tax change I have any problems defending.
ParlaMint-NO_2000-05-10.ana.ud84e499	Let's move on to the next main question.
ParlaMint-NO_2000-05-10.ana.ud84e502	I would like to stay with the Prime Minister and payroll, which I think it is important to stop, and since no one else has expressed it, I would like to express my satisfaction on behalf of the opposition that the strike was concluded at a time before we had irreparable damage to the credibility of the Norwegian economy in the export markets. And since the Prime Minister has considerable height of fall and responsibility in such a context, I'm sure he shares that satisfaction. But I don't think there's any reason to de-dramatize the costs and consequences of what now seems to be the result, because it significantly blows up the Arntzen Committee's framework. I think it's important to find out what is the key and the new cloud of this Arntzen committee, because it brought with it more organisations and is responsible for more organisations in terms of a comprehensive and responsible framework. It was not least LO and NHO busy. Now that we're testing this consensus, we're seeing that the LO just broke this consensus, it's a very dangerous signal to the other organizations before the payroll starts. Does not the Prime Minister share this concern that this is dramatic?
ParlaMint-NO_2000-05-10.ana.ud84e511	I think it's important to be careful with the words. I've said in the past that you should not overdramatize the effect. That's not exactly the same thing as dedramatizing. It is serious that over several years we have had a wage increase that has been significantly higher than in the countries with which we are dealing. As late as 1997-1998, the wage growth was almost 6 pst., the double of what our competitors had. What I'm happy about is that, despite the fact that the framework of the Arntzen Committee is broken, which I think is unfortunate, we have a settlement that points towards lower wage growth in Norway. We've got it down from the high level of up to 6 pst. from 1998 to 4,5 pst. – 4.6 pst. Now. And with the agreements that have been concluded, and with the assumed glide, we'll be down to 4.1 pst. – 4.2 pst. until next year. It's still too high, and it's going too slowly, but it's going in the right direction. I think it's serious what's happening now. Because what we're seeing now is that, in the first half of the 1990s, we had a very large increase in Norwegian competitive industry with a lot of new start-ups and a very good growth, and now we've seen a pretty strong decline in employment in industry, not least in the last few years. So the development there is going in the wrong direction. It is clear that it will be even more demanding to turn around when it takes a little longer to bring costs growth in Norway down to the level of our trading partners. This is serious, and we should contribute together to doing something about it, not least through budgetary policy.
ParlaMint-NO_2000-05-10.ana.ud84e523	I can share much of what the Prime Minister is now expressing. I think he too must extend the industrial concepts to the Statistical Central Bureau. Then he will see that we have many new industrial and economic areas growing. Today we see that, for example. the lack of 12,000 new IT workers per year. years. We need a will for change in the Norwegian economy, which is necessary. But the point of income policy cooperation is that because we're getting new groups into the world of work, it's important to include more than the traditional groups within the LO. That's why the Arntzen Committee was so important, and therefore it's important that the Prime Minister be active and contribute quickly, like the previous government, and get back income policy cooperation, so that all groups, including those that are traditionally close to the Workers' Party, are involved in a responsible arrangement. What's dramatic about today's situation is that it's the LO that is sending signals to the other organizations that they've set up within responsible frameworks for once, and that the LO is the first to break out. Here it's important quickly, when the year's paycheck is over, to come back to a collaboration that includes everyone.
ParlaMint-NO_2000-05-10.ana.ud84e528	We are engaged in broad cooperation with different organisations also on the labour market, because we realize that it can provide a better and wider anchoring of income policy cooperation. We were pleased that there was such broad support for the Arntzen Committee, which provided the framework for the further development of income. We're sorry you couldn't keep those frames in the year's settlement. But I'm glad when you first had to go beyond the limits, that the crack didn't get bigger than it was. I'm also glad that the arrow is pointing in the right direction, because you have a two-year contract period, and because this year the supplements are also set for the next year, you can see that you get a further reduction in your salary growth next year. But 4.2 pst. is still clear about what is assumed to be the wage growth of our neighbours and the ones we are dealing with, and it is serious. How serious it is, depends on how it goes with other elements of the Norwegian economy, on the one hand, we control elements ourselves, such as budgetary policy, and, on the other, things we do not control ourselves, such as oil and international market conditions.
ParlaMint-NO_2000-05-10.ana.ud84e535	Let's move on to the next – and last – main questions.
ParlaMint-NO_2000-05-10.ana.ud84e538	My question goes to the Minister of Social Affairs. The parental plan has now been in implementation for two years, with the paradoxical result that there have been fewer sick homes in municipalities. Never before have I received so many enquiries from the despondent relatives who are not allowed to enter their severely needy nursing home. Even though one is 80, 90, or almost 100 years old, is partially blind, has an advanced Alzheimer's and lives alone, one today in many municipalities is not qualified for hospitalization in nursing homes. Is our new social minister familiar with such conditions in many municipalities?
ParlaMint-NO_2000-05-10.ana.ud84e545	The initiative in the care of the elderly is within its third year. We are now working to deliver a message to the Stortinge on how the first two years have gone. We see that the rate of expansion has been very good, but there have been more nursing homes than there have been health homes. That's right. What we also see is that very many municipalities have come out of it well. Whether a nursing home works well or not depends on what kind of home care and home care for the rest of the municipality. We also see that the nursing homes have changed in character, that they have specialised in some fields to a much greater extent than before. So they have special wards for senile dementia, they have special wards for dying patients, they have general wards, and they have rehabilitation wards. All of this has meant that more than one person is also able to live longer outside the nursing home. I am also happy to see that it seems that the health status of people over 80 years of age has become somewhat better than what we had reason to fear, so that age as a criterion for getting a place in a nursing home I hope I will never be up to date again. But when the representative Alvheim points out that people with a significant disease also do not have a place in a nursing home, I think it's worrying, and we'll look into it and come back to it in the message we're presenting to the Stortinget.
ParlaMint-NO_2000-05-10.ana.ud84e556	I thank the Council of State for the answer. It is good to make progress in the daily care and care of our nursing homes. But those who are in a nursing home, I'm not very worried about. These are the people on the outside of the hospital, the matter in this case is about. I find it totally unacceptable that a severely nursing person should be placed in a nursing home without a regular 24-hour shift. This is to place a person qualified for hospitalization without supervision and care. My follow-up question is about this: Who is it that checks today that the Husbank's demand for luck's follow-up with care and care to provide loan commitments for the construction of nursing homes is followed up in the municipalities? I have a certain impression that this is by no means followed up in a very large number of municipalities.
ParlaMint-NO_2000-05-10.ana.ud84e563	Follow-up responsibility has been assigned to the county council in cooperation with the county board. The supervisory role has been strengthened during the period of the ageing plan. They follow up the nursing home period, but also ensure that the plans that the municipality itself makes are followed up in the way that has been said.
ParlaMint-NO_2000-05-10.ana.ud84e568	The time for the oral Question Time is now over, and we go over to the ordinary Question Time.
ParlaMint-NO_2000-05-10.ana.ud84e573	There will be a number of changes in the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Siri Frost Sterri to the Minister for Foreign Affairs, has been withdrawn. Question 2, from the representative Jørn L. Stang to the Minister of Defence, is postponed until the next Question Time when the Council of State has left. Question 5, from the representative, Dag Danielsen, to the Minister for Culture, has been transferred to the Minister for the Church, Education and Research to direct him. However, the question will be answered by the Minister for Children and Family Affairs on behalf of the Minister for Church, Education and Research, who has been away. At the request of the Minister for Children and Family Affairs, this question is moved and answered before question 24, to be answered by the same Council of State. Question 14, from the representative of Mr Ludvigsen to the Minister for Fisheries, will be answered by the Minister for Social Affairs who is directing him. Questions 18, 19 and 20, from the representatives of Brother Yngve Rahm, Lisbet Rughvedt and Per Roar Bredvold respectively to the Minister for the Environment, will be answered by the Minister of Justice on behalf of the Minister for the Environment, who has been removed. Question 21, from the representative Vidar Kleppe to the Minister for Agriculture, will be preserved by the Minister for Justice on behalf of the Minister for Agriculture, who has been removed. Questions 26 and 29, from the representatives of Shahbaz Tariq and John Dale respectively to the Minister for Church, Education and Research, will be answered by the Minister for Children and Family Affairs on behalf of the Minister for Church, Education and Research, who has been removed. Questions 27 and 28, from the representative Inge Wohnung to the Minister for Church, Education and Research, are absent, as the questioner is not present.
ParlaMint-NO_2000-05-10.ana.ud84e606	This question has been withdrawn.
ParlaMint-NO_2000-05-10.ana.ud84e620	This question has been postponed to the next Question Time.
ParlaMint-NO_2000-05-10.ana.ud84e626	I want to ask the Minister of Finance the following questions: ‘In 1990 there was more than 50 pst. of all trucks loaded which crossed the border, Norwegian. In 1999, the corresponding proportion was 45 pst. Does the Council of State see a link between this negative development and the Norwegian charging system, and especially in this case with fuel prices, and what will the Council of State do in that case to help reverse this trend?’
ParlaMint-NO_2000-05-10.ana.ud84e635	Statistical central agency statistics on goods transport across borders show that the proportion of Norwegian registered lorries was 50,5 pst. in 1990. This figure is an average of cars that were registered. In 1998, the proportion of Norwegian lorries was 45.9 pst. In 1999, the proportion was 45.3 p.p., while the statistics for the first quarter of 2000 are 45.6 p.p. Norwegian cars. Thus, the statistics for the last few years do not seem to indicate any marked decline in the proportion of Norwegian lorries in cross-border traffic. Although the proportion of Norwegian lorries in cross-border traffic has fallen slightly, the number has increased by about 17 pst. from 1990 to 1999. In the same period, there has been a stronger growth in imports and exports of goods and services and in the total number of trucks crossing the border. The loss of market shares in individual areas is not abnormal in a situation of increased international trade and competition. The Government will consider the issue of the financial framework conditions for the truck industry in the context of the revised national budget for 2000, which will be submitted on Friday.
ParlaMint-NO_2000-05-10.ana.ud84e644	I thank the Council of State for the answer. In order to clarify this question, does the Council of State see that a difference in the diesel price of NOK 2.50 to NOK 3.50 on the Swedish and Finnish sides of the Norwegian side will create different working conditions for the truck industry, and that Norwegian lorry industry will thus lose out in tenders?
ParlaMint-NO_2000-05-10.ana.ud84e651	There are rules that determine how much diesel can be brought across the border – there is a limit of 200 litres per. truck. In addition to that, the trucks transporting within Norway must relate to Norwegian fuel prices and fuel charges, and there should in principle not be any distortion of competition between transport within the same geographical area. So you can raise the question as to whether the introduction of diesel goes beyond the 200 liters that are allowed. This means that there is a need for control. This control effort has been intensified. In the revised national budget, the government will assess different aspects of the competitive situation of truck industry. In this context, we will consider the issue of the diesel tax, and we will consider issues related to the legal quantity of diesel introduced.
ParlaMint-NO_2000-05-10.ana.ud84e658	I thank the Council once again for the answer. In its taxes – i.e. the Council of State – does the Council also consider the number of jobs, when we now consider truck drivers in this case, but also the ring-effects to service companies such as car workshops, petrol stations, car sellers and many more that will be affected? Is he also thinking about the tax and tax credits that will disappear by depleting the truck industry? Will he also have in mind self-sufficiency in transport services in Norway?
ParlaMint-NO_2000-05-10.ana.ud84e665	So now, as I said in my previous answer, given that you ignore the 200-litre limit that's allowed to be introduced, foreign-registered trucks and domestic-registered trucks have to be related to the same level of charges when they compete in Norway. This means that there is in principle no distortion of competition between Norwegian and other lorries in transport in Norway in addition to the 200 litres permitted to be introduced. So, as I said, the question is, is there enough control to tell you if there's an actual input that goes beyond the 200 liters? This is among the questions that we will come back to. Of course, the overall assessment will also include issues of both employment and activity.
ParlaMint-NO_2000-05-10.ana.ud84e675	I allow myself to ask the following questions to the Minister for Finance: ‘More locations, among others at Stord, are planning to establish a common kitchen for the hospital, municipal institutions and municipal home-based care. The Tax Directorate states that the supply of food to home care is subject to VAT, although this is part of the municipal care service. Will the Council of State take the initiative to amend this legislation, so that no charge is an obstacle to the establishment of rational and effective solutions?’
ParlaMint-NO_2000-05-10.ana.ud84e684	In the question from the representative Sørfonn, reference is made to an opinion from the Tax Directorate on the charging conditions for food for home-based care. I do not know the background to this statement. It is therefore not natural for me to comment on this specific matter. However, I would like to say something about the general legislation in this area. The general rule is that VAT is payable on all sales of goods. However, the turnover of services is subject to taxation only if the service in question is mentioned in the Act. Furthermore, a general condition for charging is that turnover is carried out in industry. Public institutions that trade goods and services are taxable even if they cannot be considered to be engaged in business. The background of this rule is, for example, consideration of neutrality of the charging system and neutrality of competition vis-à-vis the private sector. Social services are not covered by the obligation to pay. However, pure supplies of goods are subject to excise duty if they are placed on the market. This means that the goods are delivered for consideration. The existence of turnover has to be specifically assessed on a case-by-case basis. I also find it necessary to clarify that an establishment which is liable for a charge will be entitled to a deduction from the in-depth levy on acquisitions for use in the establishment. In the case of chargeable food supplies traded at an approximate self-cost by municipal enterprises, the tax that the municipality has to calculate on food supplies will in many cases be offset by the right to deduct the goods acquired. This implies that the price to be paid by the recipient of the food supply will often be the same regardless of the local authority’s charging obligation. The government is working to change the VAT system so that goods and services are, in principle, treated equally. A derogation for social services has been proposed in the 1990 study by the Storvik Committee on the universal VAT obligation on the movement of services. The definition of an exemption for social services will be assessed in the context of the forthcoming VAT reform. The question of the obligation to charge food for home-based care will be addressed in the assessments that will be made in this context.
ParlaMint-NO_2000-05-10.ana.ud84e702	I thank the Council of State for the answer, but I have to admit that I was only partially satisfied with it. The general rules for value added tax are good, and the definition of ‘reimbursement’ is also good, and when the Council of State says that there will be no specific increase in costs due to the possibility of deducting from an inward value added tax, it is far from correct, but one of the problems is the bureaucracy in this. If you have services where something is subject to VAT and something is free of VAT, it takes a rather intensive administrative extra effort to do so, and the bureaucracy itself may be hampered by effective solutions. I notice that the Council of State will evaluate this in particular with the freedom of VAT for social services, and I hope that through it there are possibilities so that this can be done in a good and safe way.
ParlaMint-NO_2000-05-10.ana.ud84e709	The size has been subject on several occasions to the competitive relationship between public and private production in relation to the VAT rules. Of course, the views of the Stortinge have been expressed in these kinds of assessments. At the same time, as I referred to in my first answer, we are now going to have a broad review of the VAT, and then we will also assess the type of issues that the representative is dealing with.
ParlaMint-NO_2000-05-10.ana.ud84e714	I interpret the entire way the statements from the government council positively, and that this is the will to do something. What was specifically mentioned was the competitive relationship between the public and private sectors. I don't think it's going to bother the council so much here. I would rather focus my search on one of the flagships that this government has also lifted, i.e. improving efficiency and renewing the public sector. And here, there must be an excellent way to accommodate a local hospital, which is close to the municipal institutions, where they can have a common kitchen where they can also take care of those who are part of the municipal home-based care service. It is clear that there is a high potential for rationalisation and efficiency in this. I have from the Council of State's response expectations that this will find a good solution when things get on the table, so that the kitchen can be established.
ParlaMint-NO_2000-05-10.ana.ud84e719	Question 5 will be dealt with later.
ParlaMint-NO_2000-05-10.ana.ud84e725	I have this question for the Minister of Culture: «The order of decorating materials for municipal and county cultural buildings was almost halved in 1999. A majority of the Culture Committee prayed at the beginning of the Budget. S. No 2 that the scheme will be stepped up again. [[1999 - 2000]] The funds have mostly been devoted to decorating schools, thus helping children and young people to meet art in everyday life. The system has also given artists assignments where they live, so it is a contribution to allowing artists to live in the district. Will the Council of State take the initiative to step up the scheme?’
ParlaMint-NO_2000-05-10.ana.ud84e734	The appropriation for the decoration of public buildings is capped. 322 Artwork, craftsmanship and design, entry 50 Decoration of public buildings. This also applies in addition to municipal and municipal buildings, to state buildings and to the purchasing system for the decoration of residential buildings and older state buildings. With effect from the 1998 budget year, the arrangements for the decoration of State-owned buildings were amended so as to incorporate decorative materials into the cost framework of each construction project. This explains mainly the large reduction in the provision of the item from the 1998 level. With regard to the allocation for the decoration of municipal and municipal buildings, it was reduced by 2 million in the previous government's draft budget for the 1999 budget. due to tight budgetary arrangements. The size joined this. But I have noticed that a majority of the committee, consisting of the members of the Labour Party, the Right and the Left Party, of the Budget-Inst. S. No 2 for 1999-2000 wanted the scheme to be stepped up. I would like to point out that the commitment mandate for this item has increased from up to 6.3 million. SEK in 1999 to up to SEK 8.1 million. NOK 2000 The increase in the mandate also means that the Ornamental Fund for Public Construction has been given the opportunity to increase the activity of embellishment of municipal and municipal buildings. The scheme is of great importance for the dissemination of art to a large number of people, including children and young people. Important areas of activity in recent years have been school construction, but also cultural buildings, municipal buildings, town halls and construction in the health and social sectors. The country’s regional artists’ centres are an active party in the realisation of the decoration projects. That is why I regard this decoration scheme as an important artistic policy instrument. Taking these factors into account, it is natural that the extent of the allocation to the scheme for the decoration of municipal and municipal buildings is assessed in the 2001 budget line, but this is a budgetary issue that I cannot, of course, express any commitment at that time.
ParlaMint-NO_2000-05-10.ana.ud84e745	I thank you for your answer. I am very pleased that the Minister of Culture also shares the view that this is an incredibly important cultural policy instrument, even if it is relatively small sums. The committee received a lot of concerns last year when the scheme was halved, and there were many who feared that this would go beyond the decoration of municipal and county buildings. Now it's like the Council of State refers to an increase in the supervisory authority, and it's positive, but it's also that a supervisory authority leads to borrowing from next year's government budget. There are many effects of such a system, and one is that children and young people get to experience art in everyday life. We tell you that children and young people are worth so much, you are worth so much that we want you to have real art in everyday life. The second is that there is a system that leads to artists being commissioned. Does the Council of State see the importance of maintaining schemes that give artists missions around the country?
ParlaMint-NO_2000-05-10.ana.ud84e754	I share with the representative Valle's emphasis on the importance of getting art into the spaces where people live in everyday life, and not least to children and young people. In addition, Norwegian visual artists have limited opportunities to get their work done, and the market is relatively small. A public space decoration mission is therefore an important artistic policy instrument. In addition, the decorating of public spaces facilitates the experience of wide groups of the population in everyday life. As a result, the size of the state-enrichment appropriations is an important art policy instrument. It is therefore an important task in the long term to facilitate the making available of this art, but I am asking for understanding that I cannot make concrete promises regarding the 2001 budget, here and now.
ParlaMint-NO_2000-05-10.ana.ud84e759	It is clear that I fully understand that the Council of State cannot promise gold and green forests here and now, but it is also such that the government appropriations mean a great deal also for municipal and county municipal appropriations. They're triggering a lot of millions of municipal and county appropriations. The fact that the state maintains such a size of the decoration scheme is also an important signal to municipalities and county councils that this is an important system to which we must stick. It is then worrying, I think, that signals of a slowing down of the scheme, that was in the budget, are now coming at the same time as a strangling of the municipalities and county municipalities. I just want to encourage the Council of State to fight like a lioness for this scheme to escalate, as the committee majority asked, and that it is part of getting the cultural budget up to a proper level.
ParlaMint-NO_2000-05-10.ana.ud84e766	I have said that one of my most important tasks as Minister of Culture will be to fight to give priority to cultural issues, both in this room and around the municipality of Norway. So I get to take the call to my chest and just say that I'm going to fight, if not like a lioness, so at least as best I can.
ParlaMint-NO_2000-05-10.ana.ud84e774	I have the following questions for the Minister of Social Affairs: ‘Since 1993, the number of unretired persons has increased alarmingly. This development has occurred despite the fact that in 1991 the Storting strengthened the criteria for admitting disability where the medical criteria were to be given greater emphasis. In recent years, social security law may seem to have led to a more liberal approach to diffuse disease concepts such as fibromyalgia. What will the Council of State do to dampen the strong increase in the number of disabled people?’
ParlaMint-NO_2000-05-10.ana.ud84e783	In order to limit the increase in access to new disability pensioners at the end of the 1980s, the medical conditions for disability pension were tightened in 1991. This was based on the assumption that the acquisition ability is permanently reduced by at least half and that the reduction is caused substantially by disease. Furthermore, provision was made for rules on the requirements to be imposed on disease and on the reduced ability to acquire. Regulations stipulated that the disease should have led to permanent disability. When assessing whether the reduction in purchasing power is substantially due to disease, the labour market situation should be disregarded. Furthermore, in the event of undiagnosed suffering, a broad medical-professional agreement was required in assessing whether the conditions for disability pension had been met. In 1994 the Social Security Court issued a statement of principle in a fibromyalgia case. The Court of First Instance held, inter alia, that: the reason why there was not sufficient legal support to require a permanent disease. In 1995, the law clarified the medical conditions for entitlement to disability pension. It was statutory that a permanent medical condition is required and that this must be the main cause of the reduced acquisition capacity. Special treatment of disorders ‘without objective findings’ was not continued in the law. The aim of the amendment was to clarify any question of doubt and to stop liberalisation which could otherwise have followed the ruling of the Social Security Court the year before. After a decline from the early 1990s, there has been a significant increase in the number of new unemployees since 1997 and in particular in the last two years, despite improved labour market conditions and the fact that it has become easier for disabled people and others with health problems to obtain and maintain work. On the initiative of the Ministry of Social Affairs and Health, in the light of the significant increase, the Swedish National Agency for the Improvement of Living and Working Conditions has carried out a study on the adequacy of treatment in cases of disability pension. However, preliminary results from a pilot study in the Quality Control of Disadvantages in the Social Security Agency do not indicate a significant systemic quality defect. The study indicated errors in only a relatively small proportion of the decisions, but at the same time showed that there was different assessment in a slightly larger part of the cases. This is linked to the fact that there is a great deal of discretion in these decision-making processes. With regard to developments in the field of disability, the situation can be summarised as follows: The development of age groups suggests continued growth in the number of young people up to approx. 2010; Some of the growth will occur in the age group over 50, which has a relatively high risk of inadequacy.More people go directly from sickness benefit to disability pension. Recreation appears to be tried for an increasingly small proportion of the new disability pensioners. And an increasing proportion of those posted from re-employment receive disability pension within one year.The proportion of the population who become disabled is increasing most in the 18-45 age group. New workers under the age of 40 are increasingly being tried. According to a questionnaire in the Social Security Act, some liberalisation of practices has taken place as a result of the adaptation to social security claims, in particular the «fibromyalgia certificate» and the amendment of the legislation in 1995, when the special treatment of suffering without objective findings was removed. The last two years have seen a decrease in the number of proceedings. Remainder reduction has contributed to increased access.There are large geographical variations in new access and the number of disability pensioners. The government believes that the increasing default rate is worrying. This is particularly true of the increase among young people. A sample led by County Councillor Matz Sandman has been mandated to identify the reasons for the increase in sick leave and the number of new disability pensioners and to assess and propose measures to mitigate these developments. The committee will give its opinion in mid-September this year, and the investigation will then be sent to wide consultation. Therefore, I do not think it appropriate to propose far-reaching changes to the disability pension scheme, but I am already going to implement administrative measures in the current legislation that can help to dampen growth. I will come back to the current measures in relation to the revised national budget for 2000. Finally, let me say that the key prerequisite for more people to stay longer in work is an inclusive working life, where there is also room for people with impaired health. The ageing composition of the population suggests that we will have a shortage of labour in the future. If we are to meet the challenges, for example: in the field of care and care, it is important that more workers within, inter alia: this sector may remain longer in the labour market. There is therefore a high level of responsibility for municipalities and other employers through good senior policy and the organisation of work to facilitate the work of older workers with health problems. Everyone's going to make a profit.
ParlaMint-NO_2000-05-10.ana.ud84e824	It was reassuring to hear the Social Minister's answer to my question. It is quite clear that the department is very observant of the developments that are now taking place. A separate report prepared by the Rikstrygdeverket itself, ‘The development of the disability pension scheme in the 1990s — a change in practice’, shows that the Social Security Court has put forward a practice that is far more libe-ral compared to objective medical diagnosis than has been the case in the past. That's bad enough. However, it is also stated in this report that the case handlers of the Rikstrygdeverket have gradually adjusted their practice in relation to the decisions of the Social Security Court, and I find that very worrying. My first follow-up question will then be: Does the Minister of Social Affairs find this development suspicious in relation to the law?
ParlaMint-NO_2000-05-10.ana.ud84e829	I find any deviation from the law objectionable, and especially within this area, for rightly enough, this is with disability a benefit that is very useful to many, but at the same time it is a benefit that parks people outside the labour market and deprives them of quite a number of opportunities for the rest of their lives. That is why, in the revised budget, we propose that we start with a new quality assurance work within the Swedish Social Security Agency, where the treatment of disability cases by the Social Security Agency should be carefully reviewed, and a more consistent practice should be established that is consistent with the provisions of the law.
ParlaMint-NO_2000-05-10.ana.ud84e834	I thank you again for the answer, and I am reassured by it. In the case of particularly disadvantaged young people, on whom the Minister of Social Affairs was involved in his first post, we have a special category. Unfortunately, there are young people with special, difficult back disorders that the Norwegian health care system today does not have the skills to cure, and they often end up being ill at an age of less than 30. There is good treatment abroad, but it is not approved by the Rikstrygdeverket. Has this special patient group been a topic after discussing these matters in the ministry?
ParlaMint-NO_2000-05-10.ana.ud84e841	One of the reasons why it is important to follow up on the unskilled, whether they are in the process of becoming it or they have already become it, is to see whether new forms of treatment can actually lead to them being able to recover. I don't know exactly the suffering Alvheim pointed out, but I want to take his information back to the department, and we want to look at it.
ParlaMint-NO_2000-05-10.ana.ud84e849	I allow myself to ask the following questions to the Minister for Social Affairs: ‘NFS meets the criteria for support for the operation of humanitarian organisations. [[Norwegian Federation for Slight Synthesis]] What will the Council of State do to ensure that the organisation is supported, so that it is treated in a non-discriminatory manner with other organisations working to safeguard the interests of disabled persons?’
ParlaMint-NO_2000-05-10.ana.ud84e858	The representative Danielsen claims that the Norwegian Federation of Favourable Syndicates ‘complies with the criteria for support for the operation of humanitarian organisations’. As explained in the letter of the then Minister of Social Affairs of 28 October 1999 to the Enlarged Group of the Progressive Party, the Ministry of Social Affairs and Health does not have a general system of support for the operation of humanitarian organisations. I am also not aware of any state aid scheme for such a purpose. But I am aware that the Ministry of Justice has approved the association as a lottery organisation under the Lottery Act. What the Ministry of Social Affairs and Health has is an appropriation for the coup d'état of the State budget. 673 to 75 grant to organisations with disabilities. The purpose of the appropriations is described in the 2000 budget proposal as follows: ‘The purpose of the appropriations is to strengthen the ability of organisations with disabilities to carry out policy-making activities and to provide services to their own members. The activities of disabled people’s organisations are central to ensuring user involvement in the development of measures and services and to promoting the interests of people with disabilities in society.’;» As indicated in the budget proposal, the funds are allocated by a name appointed by the Ministry. The Ministry has provided guidelines for the distribution. The first indent of the criteria for an organisation to be recognised as eligible under this scheme is: ‘The organisation must be disabled and disabled, or of relatives of people with disabilities who have difficulty in caring for their own interests. Disability must conflict with the individual's assumptions and with the requirements of the environment and society for function in areas which are essential for the establishment and maintenance of human independence and social life.» Norsk För Svalsynte applied for grants under this scheme for 1998. The application was rejected by the distribution panel. The title of the division stated that it ‘does not consider the association to cover the first indent of the criteria’. Connectedly complained to the Ministry of Social Affairs and Health about the decision of the denominator. The Ministry maintained its decision. In its reply, the Ministry stressed that, in its application, the NFS target population was 400000 people, i.e. Nearly 1/10 of the population. This is such a large group that one must be able to assume that most will function fairly normally using glasses and other commonly available aids. The association complained on 29 September 1999 to the Ombudsman of Stortinget for the administration of the department's decision. There were also questions about the stability of the members of the distribution panel. The matter is still before the Ombudsman, and I therefore do not think it appropriate to comment on it further before the Ombudsman’s opinion is available. I aim that we will normally base the Ombudsman's opinion on our further work on the matter. The association has also applied for aid for 1999 and 2000. The application for 1999 was rejected by the name and by the Ministry as a Board of Appeal because it did not contain the necessary information. I understand that the connection has accepted this decision, the department is at least not informed of anything else. The distribution topic has also rejected the application for 2000. The Ministry has recently received a complaint about the rejection. This is usually sent for assessment in the distribution topic, and I will not go into it here until the denominator has stated itself.
ParlaMint-NO_2000-05-10.ana.ud84e883	I thank the Minister for the answer. I record that she does not wish to give an opinion until the matter has been settled by the Stortinges Ombudsman for the administration. What I would like to do then is allow me to come back to the matter later if the support is not in order. The point here is that the Norwegian Federation of Weak Synths represents a large group of people who today do not get the help and support I think they are entitled to and for which they need. I say thank you so much.
