ParlaMint-NO_2000-12-18.ana.ud1669e60	The representative Hans J. Røssorde, who has been licensed, has once again taken the seat.
ParlaMint-NO_2000-12-18.ana.ud1669e401	Natural gas is one of the most important natural resources in Norway. As you know, our gas exports started already in 1977 with large deliveries from the Ekofisk field to Emden. In 1999, exports of natural gas amounted to a total of 45.5 billion Sm3 and Norwegian gas exports amounted to under 2 pst. total world gas consumption. As a gas exporter, Norway is among the 10 largest in the world. About 10 pst. the gas consumption of Western Europe is covered by Norwegian gas. With these resources, we are as a nation in a unique position. If we look at the markets we export, they are used to using gas in different areas, they have a well-developed distribution network, and the distances to the large population groups and constellations are short. We see this in the context of the major environmental challenges, and that we have gas that is far less polluting than the alternatives, as I said, we are in a very favourable position. Looking ahead to 2020, a fully integrated gas transport network will be in place in Europe. We have to be there as one of the main actors. I look forward to the treatment of Statoil and HOUSE that we are going to have in Stortinget. In this context, we also need to look around, and there is the country that is or is going to be big gas producers. They're going to compete with each other to deliver gas, so prices are going to go down. Now Norway has to think very strategically in terms of our important commodity with which we are going to enter the markets. In Norway, as the main owner of the large companies, we also need to think carefully about how we – I was saying – should pair our feet during that period in Europe. This message, which we have for processing, has also included a section on the competitiveness of the Norwegian base. It can always be discussed, but I think that industry should think a little bit about what approach they are going to meet these challenges and discuss the framework conditions for Norwegian pedestal. The framework conditions for the Norwegian base are not only different percentages, but also the whole tax system. I hope that we can take this inward, and that we can also have a debate on a tax system that makes it possible for smaller companies to activate smaller fields and take up the remaining ones, which is important on Norwegian soil. This also gives us a real and better harvest. I also want to focus on another challenge that we have. These are the large CO2 emissions on the Norwegian base. I look forward to further discussions about this and getting a stronger electrification on Norwegian base, so that we can start gas power plants that have cables out to Norwegian base to get rid of the large and heavy CO2 emissions. I think it'll be useful in the longer term. What I could also think of a more thorough discussion of the future is the recruitment of this industry. There are many who like, and many who actually love, talking about this industry as an industry that goes into the sunset. But this is a forward-looking high-level industry. We have one of the most skilled worksticks in the world in different areas. Then I think we should be more optimistic about the future of this industry, so that future generations will see it as a challenge to address this business. Finally, I would like to say that – and we have done so too, it shows the budget – we need to focus more strongly on domestic use of gas. It's with pleasure we now see that the first steps have been taken here, but it also has to follow up to later. I refer to the pilot projects that Stortinget is now going in and supporting after the suspension of the Government. But what I could imagine is that an interministerial coordination of domestic gas use is now taking place, so that there is stronger coordination and a stronger value creation in Norway in this area.
ParlaMint-NO_2000-12-18.ana.ud1669e422	Oil and gas industries are the most important industries in the country. The resources we are so lucky to have off our coast must be managed in a long-term perspective. The industry depends on us creating a stable framework and providing opportunities for further development. It has been and is important to have a broad political agreement on the main features of oil and gas policy, because this industry means so much to our country. I am therefore pleased with the opening up that the Government has received about the proposals in the oil message. I hope we can build on this deal in things that I know will come. The staging message on oil and gas policy has an important message: we need to simplify and improve the framework and make Norwegian pedestal more competitive. Petroleum resources in new parts of the world have become available to international oil companies. This has given the international oil industry several places in the world to choose from when to make its investments. In order to attract investment to the Norwegian base, we need to improve the competitiveness of the Norwegian base. Without a competitive socket, we will not be able to secure a fully-fledged resource management, which will result in reduced income to the community. We have also seen that several of the large oil companies have merged into larger units. This means that Norwegian companies face increased competition at home and outside. We must help to strengthen Norwegian companies so that they can meet this competition. I am pleased that the measures aimed at strengthening the competitiveness of the continental shelf are being extended by the Energy and Environment Committee. I would like to give the Storting feedback on progress in the follow-up to the message in the context of the revised national budget, as requested by the Committee. The significance of the environment will determine whether the petroleum industry can develop further on Norwegian soil. One must also be able to operate in an understanding of other industrial interests, special fisheries. It's important to me that we be able to balance these concerns in a good way. Measures that are now being implemented will improve this balance. In the next spillover of the oil and gas industry, I aim to clarify and balance the interests of areas where petroleum activity may conflict with fisheries and the environment. I am particularly concerned that we ensure that the petroleum industry is driven in a way that makes the workplaces safe and good for them to add, and with the lowest possible risk of accidents. This is something the oil companies have to take seriously. This area is also something I want to give priority to in the future. I point out that the Minister for Local and Labour has said that she will present her own report on health, the environment and safety on the base. The Minister of Justice has also said that the Government is proposing to come back with a message about rescue helicopter preparedness on the base. In recent years, the Norwegian supplier industry has been struggling with low order intake, lay-offs and cancellations. From 1998 to 2000, the number of additives in the oil industry has been reduced by 20 pst. Most of these were added to the supplier industry. The expansion projects Grane, White Bear, Ringhorne and Valhalle have led to activity at most offshore sites along our coast. Optimism is on its way back. The supplier industry is still in a transition phase and is facing major challenges. If we are also to make effective use of the resources on a Norwegian base in the future, it is important to have a competitive offshore industry based in Norway. At the same time, we need to see Norwegian socket as part of a new market, the world market, and Norwegian offshore industry as an international industry, with the possibilities and challenges it brings. In St. prp. No 19 for 2000-2001, submitted on 17 November this year, the Ministry made good the latest estimates of the costs of Åsgardkedkeda. After the proposition was made, the Ministry was informed that new students showed a new increase in costs. However, Statoil is of the opinion that the total cost of development will lie within the outlined framework underpinning its orientation. I will return to Stortinget with information about the actual cost of this project.
ParlaMint-NO_2000-12-18.ana.ud1669e452	It's going to be line change.
ParlaMint-NO_2000-12-18.ana.ud1669e455	The Progress Party has today made a proposal to base the auctioning principle on the award of concessions, but unfortunately it does not look like we achieve a majority in this respect, at least not at this stage. I would therefore like to ask the Council of State: has the Ministry of Oil and Energy assessed the application of the principle of tendering for concessions? And does the Council not see that competition on a level playing field on Norwegian pedestal can also have a positive effect when Norwegian companies compete internationally?
ParlaMint-NO_2000-12-18.ana.ud1669e462	From the day one of Norwegian oil policy, it has been important to have competition on a Norwegian base, a combination between foreign and Norwegian companies, between state doctors and private companies. At the same time, it has been important to be in charge of development. This is why a concession policy has been introduced, a concession policy that has so far produced the desired results. It is, of course, so that one more time – I believe – considered other ways to do this, including the auctioning principle. But I have seen no reason to change the policy in this area. Of course, it is important that those who have the possibility to operate on a Norwegian base do so in a way that returns to the Norwegian State, which is the owner of these resources. But we've thought that the best way to get this return is through the tax system and not by selling the pieces one by one. So I think we've had a system that's worked well. This is what we are developing now, for example by: to open for group requests and that kind of thing. When it comes to the issue of equality with other parts of the world where this type of activity is being pursued, there are very few areas with which I am aware that the policy is based on a mere sale of concessions on an auctioning basis. There are a whole lot of other types of licensing. Many of them are similar to the one we operate with in Norway.
ParlaMint-NO_2000-12-18.ana.ud1669e476	In the context of the budget, there has been a debate on Demo 2000 and the excellent proposal put forward by the central government in due course. I believe – without taking my mouth to heart – that neither the Council of State nor we are calling very loudly for the result of the budget in that context. That's why I'm busy figuring out how we can further invest in Demo 2000, since the Council of State didn't come up with that in its article. The representative Höie from the Right quoted a half-committee comment, which gives a completely wrong picture of what is actually happening, because it also says that it is necessary to invest in new areas that can strengthen the income potential, enable development, improve the environmental profile and increase the basis for exports, i.e. an increased investment in Demo 2000. We have several ways to do it, and that's what I want to challenge the Council of States. In the budget agreement, the Research Fund increased by 500 million. kr. The Research Council and the research effort received 100 million. kr more. A new grant scheme will be established with effect from 1 July 2001 at the rate of 200 million. In all these contexts, energy and the environment are a field of activity. I want to challenge the Council of State on the importance of his participation in the fight for these appropriations, and ensure that petroleum technology research is given a long-term commitment and ensures that the allocation currently in place in 2001 does not lead to a slowdown in Demo 2000. The ownership relationship we have with this also means – I hope – that the results you have achieved lead to increased efforts. The second thing I want to challenge the Council of States is CO2-free gas power plants and research and development efforts in that context. In the past, the Labour Party has stated that they wanted to contribute to a package of measures that we proposed in March this year. And my question is, When does the action package come? Twenty million. In our opinion, kr is not enough to contribute to the investment that needs to be made in the context of climate change.
ParlaMint-NO_2000-12-18.ana.ud1669e492	I see this line as, above all, supporting the Council of State's efforts to support research in this area as well. Of course, I take this supported one with me. When it comes to the Ministry of Oil and Energy, all in all, there was a small increase in research in this area, but it is true, as everyone here in the Chamber knows, that Demo 2000 has suffered a decline in the budget for the current year. What underpinned the Government's research policy is what emerged from the big research report, which was discussed in February of this year, where one of the four areas in which one has to focus on – energy and the environment is one of them. It is clear that there will be an important guide for the government to set up in this area, and for the distribution of funds made available. When it comes to CO2-free gas power and bets on it, I'm glad that there's a big deal that we have a potential to extract here, and that there was a breakdown of the funds that the government proposed in this area. It is such that the Government has warned that one in the spring will come back with an Climate Action Communication for the follow-up of our national actions and the international measures, including: Quota setting. I don't want to say 100 pst here and now. security that this with CO2-free gas power will be managed there, because it is the Environment Minister who is going to present that message, but I want to signal that it is very important for us to get a powerful research in this area, and we want the Storting with us in this work. In this area too, I see the line more as a signal that we want a common policy here.
ParlaMint-NO_2000-12-18.ana.ud1669e503	In relation to Demo 2000, our concern was that half of the comments often give the whole truth. Therefore the question from Hilde Frafjord Johnson was good in relation to the fact that it was offensive, but the answer from the Council of State should in this way be equally offensive. And I don't see that it was, so we're still worried, but I hope that one here will include signals that this is a matter that the Storting is concerned about. My question to the Council of State concerns NOU 2000: 18. In my post, I presented a challenge in relation to when we get a clarification of what is the Government's position in relation to this question. The councils have probably, on the same line as the Right and Others, realized that this is a matter on which the industry is very concerned about getting a clarification. The Chairman of the Committee, Tore Nordtun, of the Workers' Party, has almost asked the Land Association of the Oil Industry, the OLF, to step up this matter, but it must be very difficult to proceed when the Government has not even set the tune. That's why it's necessary now to know, when is this case coming? When does the Government's position come? The next is: in relation to this matter, the Council of State will follow up the clear and good intentions contained in this Communication, and not least follow up the good analysis that the Council of State itself made today in its intervention in relation to the competitive situation of investments on Norwegian pedestals in relation to other areas. Will the Council of State in this matter make an extra effort to reach out to its colleague in the Ministry of Finance?
ParlaMint-NO_2000-12-18.ana.ud1669e512	I can assure Höie and others who may be interested in it, that I make such an effort every day, with good results. I also want to make sure that we do what we can to carry on Demo 2000, and that is our ambition. When it comes to the issue of tax policy, I understand that there is a desire for clarification, but, after all, there has now been only normal progress in this matter. So it became a NOU late this spring/early this summer. The government has sent it out on the phone. It is now in the internal hearing. The plan is that this should come to Stortinget so early that Stortinget will treat it before one leaves each other this summer. I can't say an exact date, because there's another department that's going to file this case. But the ambition is quite clear: this should be a matter for Stortinget to be treated for the spring, and then of course we get back to the contents then. However, it is clear that we have now provided a big message showing a direction, and it must also be effective when dealing with this matter and the level of taxation on Norwegian base, not least the tax system on Norwegian base.
ParlaMint-NO_2000-12-18.ana.ud1669e519	I will once again focus on the new powers that the Government has acquired in development matters on the base. After being inserted here in the Chamber, it could be expected that the Council of State had presented the arguments that speak for the conversion that is taking place here, for we have seen little of such arguments in St.meld. No 39 for 1999-2000. In addition, I would like to ask the Council of State whether he thinks it is straightforward that in this way power is being brought from the Storing to the Government. Instead of linking the Stortingen more strongly into the oil policy decision-making process, the opposite is true here. How do the Councils assess this situation?
ParlaMint-NO_2000-12-18.ana.ud1669e529	First of all, I have to make it clear that a big message is a proposal from the Government to the Storting, and then it's the Storing that makes the decisions. In this case, there's a multiple on Stortinget that thinks that one can handle these questions in a different way than what has been the case up until now. I do not agree with the representative Dale when he says that this significantly affects the power relationship between the Government and the Stortinge, because this is a case-by-case matter. Oil policy is being drawn up in the oil notification and, in more general terms, is linked to the annual budget for each year — not in relation to individual cases. My experience is that all the issues raised during the 1990s received approval from Stortinget simply because the Stortinget had provided general guidance on how the policy in this area should work in advance. And it works so that once you've been given permission to search and find something, you should also be allowed to extract these resources when you get that far. That's why I want to say first of all that I don't see the big contradiction that John Dale outlined, primarily in his post. It is the case that in recent times we have experienced considerable fluctuations in the offshore market. When we started working on these questions, our wish was to get the most stability possible and to get to the framework conditions that make the Norwegian base attractive. We then went through a series of measures, and this measure was one of them. I think we can now get a better and faster procedure. Moreover – and not insignificantly – I believe that we now have a more realistic budgeting. Well, we've had examples of a little bit of unrealistic pints below this limit to increase the excess. I also believe that some of the projects that were naturally linked were split up as a single project in order to avoid having to come to Stortinget. At least there's something you can't do right now.
ParlaMint-NO_2000-12-18.ana.ud1669e538	I would like the Council of State to come up with a little bit about the actual conditions associated with the climate problem. As I said in my post, I feel that the Labour Party follows in its practical policy the philosophy of the Progress Party that there is no climate problem. This is illustrated by the fact that the Workers' Party, which is in favour of a certain number of gas power stations – I do not know how many – only gives authority to it. One will now have a strong boost in private car transport, and one will get more traffic on the roads by moving the traffic from road to road. And then one of them has the last example, where the Council of State gives Esso permission to torch 150,000 m3 of gas. Is it such that there is a climate problem, and are the examples I mention, an expression that the Labour Party is taking the climate problem seriously? Point 2 is related to the kind of functions of the State Pollution Control Agency, SFT, and the Oil Directorate shall have when the Workers' Party is in its government position. We felt that SFT was being instructed in gas power cases, and after Dagbladet, the Directorate of Oil does not receive assistance from the Council of State when it comes to its professional recommendations. What kind of function should these professional bodies have in the opinion of the Council of State?
ParlaMint-NO_2000-12-18.ana.ud1669e547	It is quite right that there is a lack of coherence between the SV and the Labour Party when it relates to a number of instruments related to climate policy. But I still want to hope that we don't bring any debts that the other party for that reason is not concerned with these questions. The Labour Party has since come to the agenda, wanted to take care of and actively address the fight against climate problems. But in our thinking, this is an international question and therefore needs first and foremost international solutions. It is also one of the reasons why the Labour Party has been a driver for reaching an international climate agreement, which we have been able to confirm far by way of confirmation that the world would be involved in, through the Kyoto agreement. And then we're all going to hope that one goes further in that process, and that we're going to have a system that every country has to agree to, Norway included. Then there are some concrete questions related to a field in the North Sea, and then it's not that the ministry has somehow overestimated the SFT in that context. In the Balder field, there was a technical problem that made it impossible for one to keep the volume that was previously agreed upon. It's our correspondence, back and forth, in this area, and one's got a new volume, a volume that's much lower than what Esso applied for, and that has actually led to Esso having had to reduce its output in this area. We're following this very closely, and so Esso has said that they're going to improve these things in the first quarter of next year. I mean that the thing is also handled correctly.
ParlaMint-NO_2000-12-18.ana.ud1669e556	The cord shift is over. Several have not asked for the floor on case No. 5th@item: inlistbox [[Fotation, see page 1486]]
ParlaMint-NO_2000-12-18.ana.ud1669e572	At the request of the municipal committee, the president will propose that the debate be limited to 45 minutes and that the speaking time be allocated to the groups: the working party 10 minutes, the other groups 5 minutes each. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2000-12-18.ana.ud1669e579	There is a need for a stronger search light on health, the environment and safety on the base. It was a review theme in connection with the previous case, St.meld. No 39 for 1999-2000. There is such a trade-political agreement to fulfill the intention in Document No. 8:90 for 1999-2000. In its proposal, SV extended 12 areas to which different health, environmental and safety aspects are attached. The Minister of Local and Regional Affairs, in his letter to the Committee, is doing well for measures that are currently being worked on. It also sees the need for an own message, and it also elaborates on the additional themes that are relevant to such a message. The Committee is of the opinion that all the aspects listed are taken into account. At a private seminar in October, and also during a visit to the North Sea, the Municipal Committee itself noted several of these areas. The Committee expresses concern at the signal emerging in this context. From the Centre Party's side, we would particularly like to highlight the oil directorate's emphasis on an alarming development. This includes: List the developments of so-called events reported to the Oil Directorate. While the number of reported events in 1996 was 139, 423 were reported in 1999, and in 2000 the number was per year. September 5, 333. Other statistics support this image. With regard to the content of the message, the Committee draws attention to the following issues: age of personnel, age of devices, maintenance, change processes, level of security monitoring, environmental protection, employee participation and supervisory powers. In its letter to the Committee, the Council of State wrote that it had as its objective a communication in the autumn of 2001/ Spring 2002. This is the background for -- I think I want to say -- the little mischief about the progress of the committee's configuration. We mean the urgency of a personal message. The majority want a message soon, so it can be handled in the autumn of 2001. I also understand that there is already a wide agreement in the Committee on Energy and the Environment. The Committee is also concerned that, in the meantime, preparedness will not be weakened. It applies both internally on the carrier and externally in the form of a vessel and helicopter. As a case spokesman, I am aware that work is currently under way that can be defined as a strengthening of preparedness. Of course, I argued that such work would continue, and that any changes to strengthen preparedness would be made by the Directorate of Oil's approval procedures. I think what has been said today from different parties underlines the broad agreement that the governments involved here want to have in the work on a separate message. It must be a good starting point.
ParlaMint-NO_2000-12-18.ana.ud1669e594	The rapporteur has made a thorough presentation of the views of the municipal committee, but only a few brief comments from my side as well. The health, environment and safety aspects of work related to Norwegian pedestals are a matter for the Municipal Committee, and there is no doubt that these activities are associated with high risks. So we can't stop doing anything. In order to be updated in the area, the Municipal Committee, as also mentioned by Magnhild Meltveit Kleppa, held a full-day seminar for a few weeks, analysing all security both to land and to water, and there are not least economic challenges associated with, for example: securing tunnels in Norway. Last Friday, December 15, we were able to read in the paper on record accidents following so-called adverse events on the base. Until the end of November this year, the Oil Directorate had been notified of a total of 464 incidents of adverse events. Only in a few years has there been an increase of between 200 and 300 pst. in such adverse events, and it is very worrying. Such events have a major accident potential both internally and externally, and therefore the safety of the socket is of fundamental importance. In a letter to the Committee, the Minister of Local Affairs stated that at present a number of important measures and investigations have been put in place which will be of major importance for a communication on the safety of the petroleum industry, including: a new comprehensive HMS legislation which is at public consultation. For this reason, the Minister of State recommended that an overall notification to the Stortinget focusing on health, environmental and safety aspects by working offshore should not be submitted to the Stortinget before the autumn of 2001 so that all important recordings can be grouped together in a single notification. There is no doubt that it is important to have full searchlights on health, the environment and safety on the base as soon as possible. However, this must be balanced against the need to provide the best possible basis for the size of this important area. Otherwise, I refer you to the Committee's position.
ParlaMint-NO_2000-12-18.ana.ud1669e609	As one of the proposers, I think it is very positive that both the Committee on Energy and the Environment and the Committee on the Environment, Public Health and Consumer Protection believe that this problem needs to be addressed more closely, and that this should be dealt with in depth by the Stortinget. It is also positive that the Council of State reports that this would also like to be done. So SV has a good day today, so far. It is fun, because it has often been strenuous, I have to say, to cooperate with the trade unions working in relation to the North Sea, and to experience the discussion here in the Stortinge, which is about how to use the money that you have spent in the North Sea, not anything at all, at least little, about health, environmental and security aspects related to the people who actually make sure that you have some money to spend in this country. It's time we got more focus on this. That the Storting is consensual, and that the Council of State also joins it, I thought it was important. Let me also clarify one thing. I know that there are some projects being carried out by the Council of State that are in progress. It is very important for me to say that of course none of these must stop, but one must go on with it. In this case, security needs to be prioritised and not waited for the message to be displayed. And then I finally want to challenge the Council of State when this is about establishing e.g. a Security Directorate, where one collects all the control and supervision functions, everything that is safe to do into one house, to put it that way. Could the Council of State philosophize a little about it, if she doesn't have any particular opinions about it? For some of the things I've learned about this case, there are a lot of cooks who have something to do with different things on a Norwegian base, so there's a challenge there. In these words, I'm looking forward to having a crash message about offshore security.
ParlaMint-NO_2000-12-18.ana.ud1669e620	Let me first say that I am pleased with the Big One's commitment in this important area, and as the Storting is familiar with, next autumn, the Government will come back with its own big message about the safety and working environment of the petroleum business. There I believe that all questions need a broad and thorough discussion, also because it is quite a long time since the last time a separate communication was submitted in this area, in 1993. As the Stortinget is aware, in 1998 and 2000, own safety chapters were developed in oil reports submitted by the Ministry of Oil and Energy, St.meld. No 46 for 1997-98 and St.meld. No 39 for 1999-2000. There is currently a major revision of legislation in the field of safety and health at work that will lead to simpler and more transparent legislation for both industry and administrations. This is planned to enter into force in 2001, as the Stortinget is known. In recent years, the Directorate-General for Oil has found that industry has opted for minimum solutions to challenge the regulatory framework. Analysis and risk assessment show that, unfortunately, the potential for major accidents and the likelihood of major accidents has risen. At the same time, analyses carried out by the Oil Directorate show that the injury rate on the Norwegian pedestal, which has fallen over previous years, may be turning around. The Oil Directorate also records an increasing number of adverse events in the establishment. In my view, these aspects together mean that there is also a need to provide the Storting with a broad representation of the safety and working environment conditions on the Norwegian base and of any measures the safety authorities will propose. I can also inform you that the Oil Directorate is now working on a project on the development of the risk level on Norwegian pedestal. The aim is to develop a model to assess the level of risk and to produce annual analytical reports for Norwegian pedestal. This is a project I find very interesting, and I think the industry also has great expectations. This work will therefore constitute an important basis for the contribution of companies and authorities to the safe operation and, in my opinion, also constitute an important contribution in relation to the message to be delivered to the Stortinget. I can also inform you that there is a contact forum recently established where the authorities, industry and employee and employer organisations are represented. The Contact Forum is intended to address and discuss relevant safety and working environment issues at the establishment on a Norwegian footing. In my opinion, it would be natural and appropriate that this forum could also provide input into the scope and content of such a safety message. Moreover, I have noticed all the proposals that the Municipal Committee has on the subject of the message, and I believe it is natural that all the key aspects of safety and the working environment will be given a thorough mention in the message to come. To the last question from the representative Langeland about his own directorate or department, I have to say that I cannot take it on a tight arm, except that I think there is quite a broad consensus that, with regard to the question of security in a broad sense, even within what we have discussed here today, there is probably a need for some more cooperation and coordination than we may have seen in some cases, so of course, the government is also concerned about. But how and what the answer is to that, I don't have the fasits on here and now. We have to work out that thoroughly first.
ParlaMint-NO_2000-12-18.ana.ud1669e641	Several have not asked for the floor on case No. 6th@item: inlistbox [[Fotation, see page 1486]]
ParlaMint-NO_2000-12-18.ana.ud1669e649	Then we should be ready for voting.
ParlaMint-NO_2000-12-18.ana.ud1669e655	The President shall refer to the oral adoption by the President of the Grand Duchy of Great Britain on the temporary amendment of the Rules of Procedure of the Grand Duchy: § 53 nr. The third sentence shall be replaced by the following:‘A representative may ask one question in an ordinary Question Time’. The amendment shall enter into force immediately and shall apply until the end of March 2001.
ParlaMint-NO_2000-12-18.ana.ud1669e687	During the debate Hallgeir H. Langeland put forward a proposal on behalf of the Socialist Left Party. The proposal reads as follows: ‘The Government is asking the Government to investigate environmental limitations related to the purchase and import of power, in order, inter alia, to: imports of power produced by highly polluting coal-fired power stations can be avoided.»
ParlaMint-NO_2000-12-18.ana.ud1669e712	Two proposals have been put forward during the debate. It's: proposal No 1 by Mr Korsberg, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 2, from Hallgeir H. Langeland on behalf of the Socialist Left Party.
ParlaMint-NO_2000-12-18.ana.ud1669e722	It concerns proposal No. 1 from the Progress Party. An identical proposal was made in connection with the financial position and was also downgraded. I would like to call on the Progress Party to turn it into a transmission proposal as it is now asking the Government to look at various measures to reduce SO2 emissions. If the Progress Party does not turn it into a transmission proposal, I would recommend the Right-wing Group to vote in favour of the proposal.
ParlaMint-NO_2000-12-18.ana.ud1669e729	As far as the President understands, this has already been considered. The question is: should we vote directly on the proposal? - It's confirmed.
ParlaMint-NO_2000-12-18.ana.ud1669e732	We'll start by voting for proposal number. 2, from the Socialist Left Party. The proposal reads as follows: ‘The government is asking the Government to put forward concrete proposals in the revised budget for 2001 to reduce SO2 emissions by making use of the revenues from the SO2 levy, for example. investments in clean-up measures.’;»
ParlaMint-NO_2000-12-18.ana.ud1669e744	We are voting on proposal No. 1 from the Progress Party. The proposal reads as follows: ‘The Government asks the Government to submit proposals for the creation of a fund, in which the sulphur tax from the process industry is levied. This fund shall be used for environmental improvement measures in the process industry.»
ParlaMint-NO_2000-12-18.ana.ud1669e771	Four proposals have been put forward during the debate. It's: the proposals No 1 and 2, by Mr Voksdal, on behalf of the Group of the European Progressive Democrats and the Group of the European People's Party (Christian Democrats) and European Democrats, and in particular Mr Voksdal, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European Liberal, Democrat and Reform Party (Christian Democrats) and European Democrats, on behalf of the European Liberal, Democrat First of all, there is a vote on proposal No. Four, from the Socialist Left Party. The proposal reads as follows: ‘The Government is asked to set up a selection to assess whether it is necessary to establish special protection zones on a Norwegian base.’
ParlaMint-NO_2000-12-18.ana.ud1669e795	It is then put to the vote on proposal No. 3, from the Progress Party. The proposal reads as follows: ‘The decision requires the Government, from the next concession round, to base the auctioning principle on the award of concessions’.»
ParlaMint-NO_2000-12-18.ana.ud1669e809	The proposals are then put to the vote. 1 and 2 from the Progression Party and the Right. Proposal No. 1 sounds: ‘The decision asks the Government to come back with an assessment of opening new areas for exploration activity.’ Proposal No. 2 sounds: ‘The Government asks the Government to follow up the Hervik Committee’s proposals on tax incentives for R & D activities in industry.’
