ParlaMint-NO_2000-05-30.ana.ud944e69	The representative of Ingvald Godal, who has been licensed, has again taken the seat.
ParlaMint-NO_2000-05-30.ana.ud944e710	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 3322]]
ParlaMint-NO_2000-05-30.ana.ud944e726	There are two reasons why I have traveled this interpellation. One is of a general nature and is linked to the future challenges facing Norwegian society and which there is a cross-political consensus that we are facing. This applies to the future of Norwegian business, and so it also applies to Norwegian business. definition of the future of the Norwegian education system. If we are to succeed in asserting ourselves in increasing international competition in all areas, it is clear that the Norwegian education system must also adapt to a new international reality. I also noted with pleasure that the Council of State in its educational policy statement to the Stortingen some time ago placed considerable emphasis on the need for education policy to be seen in an international perspective and not just in an introverted Norwegian perspective. This is the general background, but there is also a more specific reason why I found the time to travel such an interpellation, and it is that I know that there are some schools that have applications located in the department for approval under the private school law and, in part, the training law, in order to continue offering to students. This applies both at secondary level and at primary level. The problem we're facing is that neither one law nor the other law is designed with this in mind. Both the private higher education law and the private school law are marked by the fact that they are formulated at a time when this was a problem issue that was not experienced as it is. Furthermore, the problem is that for the same reason there are no established practices that the administration can adhere to when it comes to dealing with applications of this type. Let me give an example that we are therefore in a situation where we are largely defensive and problem-oriented about these kinds of challenges, rather than offensive and potential-oriented: the ministry has already lost one legal dispute in interpreting the private higher education law. It was a question of whether the private higher education law also covers educational services provided outside the borders of the Kingdom. The Ministry's interpretation of the law was that such offers per definition is omitted. The Court did not agree with the Department. It should already be a warning that we are following a far too defensive line in dealing with the challenges of international society. At the moment, there are three primary school applications located in the department. One is from Skagerak International School in Sandefjord who has applied for access to, and approval for, an international baccalaureate line at primary school level. The school has been operating for many years with good results with IB-offers at secondary school level. There is a strong desire from the local business community, from the municipality and also from neighbouring municipalities in Vestfold that such an English-language offer can be established at primary school level. There is therefore no local dispute about the need for such a school offer. The other two things are applications from the French School and from the German School here in Oslo. Both are well established schools with long pedagogical traditions with solid quality control schemes from the original countries, Germany and France, respectively. What is new in recent years is that an increasing number of students in these schools have either one or both parents who are Norwegian, i.e. Norwegian parents consider this a particularly interesting school offer to send their children to. Nor can there be any doubt that from Norway’s foreign policy this is a particularly loving contribution to strengthening cooperation with the countries concerned, respectively Germany and France. The Ministry of Foreign Affairs has just developed a comprehensive strategy plan to strengthen Norway’s cooperation with Germany. In the past, we have set out plans for extensive cultural cooperation with France in connection with Norwegian business cooperation with France. Let me also mention that it should be an additional argument that for many years we have been struggling in our Norwegian school system with training in other foreign languages. All Norwegian children undergoing public schooling learn to master English fairly well. But it's obviously not enough in the future we're going into, that young Nordics are able to understand themselves in English. We will in the future have a growing need for the Nordics to master other main languages, both in our own continent and in other parts of the world. At my discretion, there can be no doubt that these schools fall under the criterion of private school law when it talks about educational alternatives. But I understand that what makes the treatment of these applications run a long way – the French school sent its application last March, so there has been much more than one year without any results, the German sent its application last June, so it is approaching a one-year anniversary there too – is that the department has problems getting the math to go together, more specifically on the one hand whether this is different enough in relation to the public school's offer to call it a pedagogical alternative, and on the other hand whether it is similar enough, that is. whether it meets the curriculum requirements that you otherwise operate with in the public Norwegian school. It is not easy for institutions wishing to approve to deal with such conflicting expectations — on the one hand, to demonstrate that there are sufficient differences and, on the other hand, to demonstrate at the same time that they are sufficiently similar to the normal Norwegian school. That is my hope, and that is the background to the fact that I have delivered the interpellation, that the new Council of State will follow up the overall profile of the government that Stoltenberg presented to Stortinget as it presented its government statement. Where the «Norway» review melody is the society of opportunity». At my discretion, the possibility of taking in a more diverse, both linguistic and cultural offer in the Norwegian schoolscape is one of the most positive opportunities for success in the internationalisation of Norwegian society. I hope that the Council of State in its answer will choose to see the possibilities and thus cut through in terms of the problems. It is my hope that the Council of State on this challenge will not interpret this into the traditional introverted discussion of private schools as a phenomenon, because that is not what this matter is. This is about whether we want to use the existing law to solve problems that it was not originally made for the purpose of solving. At my discretion, both the Education Act and the Private School Act allow this. The only thing that matters is political will. It is my hope that the political will is present.
ParlaMint-NO_2000-05-30.ana.ud944e756	Pursuant to Section 2-1 of the Training Act, compulsory primary education may take place in primary public schools or in other equivalent training. Private training offers are required to provide a level of competence equivalent to that acquired by the pupils in public schools. Private primary schools may be approved under the Training Act § 2-12 or under the Private School Act § 25 nr. 3rd@item: inlistbox International primary schools in Norway are explicitly mentioned in the Training Act § 2-12. An international elementary school which complies with the minimum conditions of the Training Act will be entitled to be approved under the Training Act as other private schools, but approval does not trigger State grants for the operation. The size has allowed the Ministry to derogate from some of the requirements of the Training Act in the case of international and foreign schools, but not from the requirement that private training should provide a qualification equivalent to that of students in Norwegian public schools. The Ministry must address issues such as this during the examination of applications for authorisation. The Ministry has previously approved the International School of Bergen following a similar provision in Section 14 of the former Primary School Act. We now have two applications for recognition as a primary international school in Norway under consideration. There are also a number of international schools in Norway that have not yet applied to the Ministry for formal recognition. I expect that this may be related to the entry into force of the Training Act only on 1 August 1999 and that the schools concerned may need some time to prepare applications. In addition, I can inform you that the Ministry has not rejected any application for recognition of international school under the Training Act. If an international school applies for approval and grants under the Private School Act, the Ministry will normally have to decide whether the school meets the minimum legal requirements. The Ministry must then assess whether the school meets one of the requirements of Section 3 of the Private School Act and whether the curricula can be approved under Section 4 of the Private School Act. If the school complies with the minimum conditions, the Ministry must decide, after an overall assessment, whether the school is entitled to receive a grant, as stated in Section 25(3) of the Private School Act. Thus, the Private School Act has no specific provision for the approval of primary international school provision in Norway, and until now the Ministry has not approved any international primary school provision in Norway under the Private School Act. However, we are examining an application for approval of an international primary school under this law. That this treatment has taken time, I don't think I should take responsibility for it. I have not been in this job for so many weeks that I feel that it is my responsibility. Nor do I intend to take that procedure directly from the Parliamentary Chair. Applications under the Private School Act shall be properly processed in the Ministry. The Private School Act has an explicit legal provision on the approval of Norwegian schools abroad. These schools, with the exception of three Norwegian departments in international schools, follow Norwegian public plans. The Ministry grants grants to a number of such schools both inside and outside Europe. In addition, Norwegian nationals who are students at foreign or international primary schools in Norway or abroad may receive grants for complementary education in three disciplines: Norwegian, knowledge of Norwegian society and Christian knowledge of religious and life views. This subsidy is granted in accordance with the Private School Act and may in some cases also be granted to EEA citizens. In my view, today's primary public schools are able to accept and provide students from other countries with an adapted and equivalent school offer, either the students and their families are aiming to stay in Norway or are just staying here temporarily. In this context, I can show that students with native language other than Norwegian and Sami are entitled to an alternative training offer in the form of specific Norwegian training, native language training and bilingual vocational training until they have sufficient knowledge in Norwegian to follow the usual training in our primary public school. In the case of Norwegian nationals who are intended to reside permanently or temporarily abroad, there are, as mentioned above, a number of Norwegian schools abroad to which the Norwegian State grants a grant. Some parents may want their children to receive training at an international primary school so that they can follow the same curriculum and have the same language of instruction throughout primary school education, regardless of the country in which the family lives. I believe that § 2-12 of the Training Act, to which I have previously referred, takes that into account. The representative's salary suggests that the department's approval procedures must become more timely and relevant. I do not agree here. I point out that the department is continuously examining applications from Norwegian schools abroad and other private schools applying for approval under the private school law. Furthermore, we have a training law that is in force less than a year ago, and that includes, among other things: deals with the recognition of international primary schools. I therefore believe that today we do not have the basis to conclude that the approval procedures of the department regarding international primary school provision are not satisfactory. I can therefore end by saying that I do not see the need to amend the Education Act or the Private School Act in order to meet the challenges we face in terms of internationalisation. I share the view of the representative, that we need to ensure the greater degree of internationalisation that we see, that it is important that students and young people in Norway can speak other languages than English, and that we also facilitate families who want to move to Norway and live here for shorter or longer periods of time, but I believe that today's legislation fully respects those considerations.
ParlaMint-NO_2000-05-30.ana.ud944e786	I thank you for a very detailed answer, but can't completely suppress a little wonder that in such a short time in the Council of State, such a young Council of State could become so bureaucratic and adopt the bureaucratic approach and language in such a hundred percent comprehensive way. If I understood the Council of State's answer correctly, he actually believed to claim that in this area we have nothing to learn in Norway, he believed to claim that both legislation and administrative practice are completely up to date. It must be permissible for such a description of reality to constitute a fundamental disagreement. I have had the opportunity to follow the ministry's work on some individual applications – this was before the current government's time, but it plays a much smaller role in this context – and I know that among many of the fires that are trying to launch school initiatives in this country – it is in education policy as in other areas that the fires are creating something – it is a fundamental feeling that one does not get into an impermeable bureaucracy. It is not acceptable, in my opinion, that the average duration of the application for authorisation shall be from one and a half to two years. It is simply not acceptable — not in any part of public administration — and I cannot see that the professional assessments carried out are of such a complicated nature that they need to seize such a length of time. It must be possible to evaluate such applications and return an answer in a significantly shorter time. The previous Council of State here in Stortinget stated that he was concerned about the problem, and that he took the aim of shortening the processing time. Unfortunately, it did not appear that the successor considered it a problem that the processing time is as long as it is. I repeat: in my opinion, it is not a legal problem, nor is it an administrative problem we are facing; it is simply a matter of political will. Is there a need for greater diversity in the Norwegian educational system? If you want parents to also have the opportunity to send their children to e.g. the German or French school? That's what has to be the crucial question. And if you want to, it must be possible to organise a far more effective procedure and a somewhat more visionary political objective than the Council of State stated in its answer.
ParlaMint-NO_2000-05-30.ana.ud944e795	I'm sorry that the representative on the payroll thought the answer was a little bureaucratic, but that's how you like to be accurate and go into detail about the rules that apply. It is fully possible in Norway to start a French school, a German school, a Japanese school, or any kind of school, if you are approved by the Training Act. I said that the procedure has taken a long time, I can hardly take responsibility for it. I have been in my job for 10 weeks – 10 weeks should at least be the minimum of a proper procedure for any school. I have inherited a number of things from the former management of the department, which we will of course try to deal with as quickly as it is proper. So the question is, is it a enrichment that we get more types of schools? Of course, it may be, but it may also be equally enriching that French children who come to Norway, or German children who come to Norway, actually enter the normal Norwegian public school and meet all the Norwegian children who go to those schools. I myself have had such guest students for shorter and longer periods in my class, and it provided a basis for lifelong friendship and contact across borders and was also linguistically enriching for the class. It may be as enriching and as diverse as placing all the Japanese children in a Japanese school, etc. Here, there are different considerations to take, and the Training Act opens, as I said, for that to happen. So the question is, should the schools be approved under the private school law, i.e. do Norwegian taxpayers have to pay for these schools? Yes, see that's another question. Schools then have to fulfil a number of other criteria under the Private School Act. The Ministry will now review this in order to see whether the criteria have been met and also whether the general considerations to be taken into account by the Ministry are present in order to be able to approve a school under the Private School Act. And I've said that I don't want to take this trial here from the Parliament's pulpit, that's what we're going to do in the department and do in a proper way. It is interesting, however, that the party that is most often very concerned about the rational use of taxpayers' money is the first to insist that different offers, which have the full opportunity to be set up on a private basis, should also receive taxpayers' money. I have to say that if we're going to get a development in general, a little independent of exactly these schools, where I'm going to have to take money from public school to pay a steady growth in different private schools, I think we're going to hit the community we've been through in this country, where kids are going to go together in school and where we have the community that that school creates.
ParlaMint-NO_2000-05-30.ana.ud944e806	The representative of Wage has in an excellent way focused on a very important part of our school system, and it goes to these international schools. But I noticed that the Council of State is once again sedentating its attitude towards private schools and parents' ability to make qualitative choices about schooling on behalf of their children. I will again recommend the Council of State to look at the Human Rights Act, which was unanimously adopted by the Storting last year and implemented immediately. If parents do not find the public school satisfactory, it should be possible under this law to choose something else. Therefore, in order to make the choice real, the personal economy and wealth of parents must not be what is crucial. And that's actually what the state council here adds up to. He clearly has a completely different interpretation that all children have the right and duty to education in Norway, and it should be free of charge, regardless of geography, faith and personal economy. This has to be able to be seen in context. What I wanted to put my finger on, however, is the possibility for French, English, German and other private schools to provide students with special education. Here you are also in a strange situation, because the law says that special education follows the child, after a single decision. But if the child who needs it, and has received special education after a single decision, is not in public school, then this right falls away. It's strange in itself. It also falls away in some contexts when schools are approved under the Private School Act, with grants, and thus to some extent are equal. This is an incredibly important supplementary question for me, not because special education, which we spend 6 billion kroner per person. years, initially and uncritically, can be said to be a good thing – because there is no assessment of it – but because a right should follow the child wherever it may be, when it is attached to the individual child.
ParlaMint-NO_2000-05-30.ana.ud944e813	I agree with the inter-pellant on Wage that we are facing new international challenges, which also make it more necessary than before with international school services. The Christian People's Party is concerned with the increasing internationalisation and the challenges it confronts us. In a global society, language understanding and ethnic competence are important prerequisites for creating a good society. In such a society, it is important to facilitate this in schools as well. Therefore, there is a need for international provision for children and young people as early as possible, i.e. also at primary school level. It is important to meet this challenge by ensuring timely and relevant approval procedures also for this type of school. Instead of going backwards into the future, by ignoring this, the Christian People's Party is concerned that every private school applying for recognition should be guaranteed fair and proper treatment. There can be no subjective treatment based on uncritical use of judgement. You can't put the law aside. Gender must be based on the criteria of the law. International schools enrich Norwegian diversity, without jeopardising the main role of public schools. Examples of such schools are the French and German schools in Oslo and the international school in Sandefjord, which have full backing from its own municipality. It is no longer just foreign families who have an interest in such schools. There are also many Norwegian families who want to use such schools as an alternative educational offer, and then respect for parents’ choices must be shown. We must then look beyond the educational framework that we have previously approved, namely the Steiner Schools and the Montessori Schools. Ten to fifteen years ago, it was seen as quite exotic, perhaps especially, that Norwegian families went out and settled abroad, but this is no longer the case. There is a new era, and more and more people see the value of cross-border contacts. When I was a teacher at the Norwegian school in Kathmandu 14 years ago, we had to wait for letters that could take 10-12 days from Norway, or wait a whole day on a telephone line to Norway. Today the letter is received as it is sent by e-mail, or you pick up a mobile phone anywhere. It is not today about rich children, good children, Christian children, but any of the children who want or have had an international experience in this way – children have gone to school abroad and come home only for a short stay, or feel natural following an international environment. The lack of recognition of private schools meeting the technical and pedagogical requirements of the law may lead to elite schools or the exclusion of Norwegian students. School money is getting so high that only a few people can pay, and this can lead to the exclusion of Norwegian students because you have to cut the cost of these schools. Schools with an international offer are practical examples of cooperation and interaction independent of culture, ethnic origin and economic status. Schools contribute to increased mutual respect and understanding, and offers contribute to providing students with a good basis for the meeting with an increasingly international-oriented society. It wants the Christian People's Party to be in it.
ParlaMint-NO_2000-05-30.ana.ud944e828	‘Internationalisation must be an important element of Norwegian education’ — it is stated in the first sentence of the Inge Wage Interpellation. 99 pst. Of the 10 minutes he used to talk about the approval of two-three private schools in Norway. He was so much the responsibility of the public school in relation to internationalization. He mentioned the position of other foreign languages in school — and the position of foreign languages in general. He was so far within the native language training. That's what went on at internationalization. So it's about the private school law again, private schools and the approval of private schools. It surprises me a lot that when we are going to discuss internationalisation in Norwegian education, we focus on a two-three private schools. I think internationalisation is important. I think it is important that we in public schools strengthen foreign languages. I think it's important that we take care of those who come into school with a different cultural background and with a different mother tongue, and that they get the opportunity to take care of their mother tongue – that we are willing in public school to stand up for them and give them training in their mother tongue. When we discussed this a while ago, the Right did not stand up for those groups – our new compatriots – that have a different mother tongue than Norwegian, so that they can take care of their mother tongue, and that they can receive training for a longer period of time than has now been provided. It's important, because they also represent a language that business and others will need to communicate with the outside world. But in the case of two schools, the French and the German schools, it becomes especially important to recognize them. I agree with the Council's assessments. I don't see the need to change the private school law. I would also like to believe that the schools we are talking about here – there are two, the German and the French schools – are at the limit of what was the intention in any case, and what is also formulated in the law, namely that it should be a religious or a pedagogical alternative. And I would have been very concerned if the Council of State used a judgement that went beyond what he had practiced earlier in approving private schools. I think there's going to be a lot of imagination to say that these schools represent a religious or a pedagogical alternative.
ParlaMint-NO_2000-05-30.ana.ud944e841	The allegations made by the representative Rikvam that the Right does not set up an elephant in a native language other than Norwegian are with respect to reporting rather tardy. That is not correct. But we're going to have to take that up again when Rikvam gets to explain what he thinks here. What I asked for the word was what the Council of State said in his speech on economics, where he tried to be a little ironic on the party right on its behalf. He of course stated quite correctly that the Right is busy with taxpayers' money, but then he said that when one starts an offer, then the Right comes and asks for state aid. This is turning the problem completely upside down. Those who have elephants in these schools are taxpayers and are involved in paying the public school in line with everyone else. But in addition, some of them have to be with and pay extra for the school they're going to have. Here we're dealing with a problem that we've been through over and over again: what do we want with private bullets? Nobody can refuse us to start private schools in Norway, but what's the big question is, who are these schools supposed to be for? If we don't have a system of state aid that covers important parts of the operation, we'll only have the most resourceful ones there when it's a financial asset that's capable of having its children. And it's a school battle that Right doesn't want. We want the parental right to be real. We want the private spheres to be available to all kids regardless of whether parents have good advice or not, so that if we don't have support schemes to ensure that the parental rights become real, we'll have schools that I hope and believe the council doesn't want either, simply school for a few. The option with private balls must be an open option. This is why the Right has defended these support schemes and will also defend these support schemes in the future.
ParlaMint-NO_2000-05-30.ana.ud944e854	I am surprised that the representative, Reikvam, would have liked to have had another interpellation, which should have been something quite different from what I have been interpellating about. If he had read the text of the interpellation in advance, he would have seen it turn into exactly the specific problem that concerns a limited number of schools, but that concerns a large number of families in this country. There are also several municipalities in this country, among others. the capital – the largest and most populous of all – which has explicitly wanted a positive response from the ministry. The same is true of Sandefjord. As far as I know, this is also the case with Rolf Requam's own party, which, like the other parties, has stressed the vital importance of being accepted for this, given the needs of the municipality. And it's actually the municipality that has asked the private school to take on the task. This means that in such a case one must at least be able to ignore its allergies to anything that comes close to the adjective ‘private’. When the municipality asks a private school institution to solve a problem on behalf of the municipality, it would be thought that socialists too can accept it. I also have to say that it surprises me that, over and over again, you come across the very primitive economic argument about taxpayers, as if the same students who choose an alternative would have been free for taxpayers if they had gone to public school. It's economically a pointless argument. It's also a profoundly unfair argument, at my discretion, because in consequence it just leads to what the sitting government and the Workers' Party have always been against, namely social differences and social elite schools. If you want social selection schools, the recipe is just to say that it gets parents to pay for themselves, no matter what it costs, because it doesn't rake the Norwegian community. That's the same thing as saying that e.g. the French and German schools do not necessarily have to be elite schools in a professional sense, but they must be reserved for the Norwegian families with a strong enough private economy to afford to choose such an alternative. This is at my discretion to go backwards into the future. And I have to say that it disappoints me that the Council of State is not interested in going further.
ParlaMint-NO_2000-05-30.ana.ud944e861	I note that the representative Wohnning believes that the argument about taxpayers' money does not sound as good when there are parties other than his own that use it; the right has almost evolved it into a mere beginning to use that argument in any context. And that's a relevant argument, because we have to be very aware of what we're using the limited public resources to which we have to use for education here in the country. For this reason, the Private School Act has clear rules on which schools are to receive support and it has a narrower approach than the Training Act, which applies to the recognition of schools without public support. Therefore, the diversity under the Training Act is free, but slightly narrower compared to whether it is taxpayers who have to pay. And I don't think it's any pedagogical or diverse minus that children from different countries come into Norwegian public school and join the vast majority of children in Norway who go to that school. The representative Scarbøvik from the Christian People's Party shows that she has had children in the Norwegian school in Kathmandu, which I think is excellent. And it probably got some support from Norway, too, I expect. But if that school was supported by the local authorities, were the taxpayers in Kathmandu paying for that school? I'm more uncertain about that. And the same is true when Inge Wohnung integrates foreign policy considerations into this issue. We need to take our educational policy assessment from a holistic educational policy perspective. Then, of course, we'll be able to get different countries' school systems into Norway through the Training Act, if they make an offer that meets those requirements, but there's no requirement for it to be the public education money to be used for this.
ParlaMint-NO_2000-05-30.ana.ud944e869	As a result, the interpellant debate has ended.
ParlaMint-NO_2000-05-30.ana.ud944e883	In ‘Tanks and vision’ in 1878, Arne Garborg said the following: ‘It helps corky timetables older instructions age some things; what makes the school what he is, it’s the teacher.’ 120 years later, extensive research shows about the same thing, we have come to the same conclusion, that teachers are the only single factor that clearly affects the quality of teaching and its results. This context is shown in several places and is thoroughly documented. In a study carried out at the Högskulen in Buskerud and the edition in the Evening Post on 26 September 1999, there are among others. found completely ready: 30 pst. the difference in grades between the best and the worst secondary schools can be explained by how well education and training teachers have. A clear and positive link has been established between the level of competence of teachers and the performance of their students. The same survey also shows that there are very large differences in the level of education among teachers in the Norwegian secondary school. When it relates to the part that has lecturer competence, it varies between 15 and 77 pst. – a great variation. In addition, the Teachers' Association has looked closely at the age sentence and the recruitment of lecturers, and well over half of the full-time lecturers in secondary schools are over 50 years old. I don't want to say anything wrong about the age group that I belong to, but there's very little to bet on, at least completely, in the future. Recruitment is a problem. Especially bad is it in some disciplines, very worst in some of the real flags. The number of realists with major subjects who accepted practical education at our four universities in 1999, was in biology twelve, in chemistry four, in mathematics three, in physics three and in computer science zero. This covers far from the need for new lecturers to maintain today's situation, and we should have the ambition not only to maintain the level we have today, but also to increase the number of lecturers for years to come. So there's a clear picture of a continuing school with too few teachers today, the age of those we have, and very poor recruitment of new ones, especially in real science. And then we should have had a stronger feature of lecturers in the basic school, where today we only have approx. 1,700 who have lecturer skills, a large part of them in the youth school, but they make up a very small part of the total teacher's mass. When we connect the two findings I sketched above, that the number of lecturers means a lot to learning, and that we see a failure in recruiting a teacher's profession, there is reason to worry, not because other groups cannot do a very good job, but so clear when it comes to the relationship between the level of knowledge, the formal competence of the teachers and the results of the teaching, should be a serious awakening of thoughts that we, as adults, cannot ignore. In Document No: 8:8 for 1999-2000, the Right addressed these issues, and we encourage the Storting to stimulate the recruitment of lecturers by improving the funding of studies for practical education. In a letter to the Church, Education and Research Committee dated 23 February this year, State Council Lilletun points out that the Government has undertaken to look at what can be done specifically in the fields of mathematics and physics. He did not overlook the fact that one in that context would also be able to consider improvements in the study funding scheme as an instrument. In the interaction I travel today, I have chosen not to focus specifically on the study funding, since it was the topic of debate quite recently, but I want to ask the question a little bit more open. There are several possible options. Can it be e.g. think that one can go back to practical education for half a year instead of one year? Can it be better to allow more people to benefit from the provision of practical education in addition to regular work? And do the councils have any other thoughts about recruiting lecturers to Norwegian school for years to come? I hope that the Council of State shares my view and the Right's view that this is an important matter. If the Right's view doesn't make any impression on the Council of States, which I may sometimes have a suspicion, I would remind you that partisan Thorbjørn Jagland pronounced on School Focus No. 13 in 1999 that it must clearly be an objective that it should pay to become a lecturer at school, so that people with a primary education do not choose career paths other than the school. Maybe Jagland goes a little far. It's clear that people with a major field must also be able to choose another profession, but at this very point I agree with Jagland: we need to get more of those with a high level of knowledge professionally, to take a pedagogical course, so that we can benefit from them in Norwegian school, both the individual student and the whole community. I'm very excited to right the Council of State's view of whether he agrees with us that it's especially important to recruit teachers with majors to the school ahead. And if the answer is yes, I guess I'm so excited about how he wants to help us achieve this.
ParlaMint-NO_2000-05-30.ana.ud944e928	Let me first put to death a possible myth that I should not be responsive to Høre's play in school policy, as the representative Løvik here suggested. On the contrary, I always listen with great interest to what the Right says in education policy, partly because the Right has a great commitment to education policy with strong opinions, but first of all because I very often disagree with those opinions and thus the discussions with the Right contribute to sharpening my own position and also to critical questions to my own policy. So that's why it's often a great pleasure to listen to the Right in school policy, even though we very often disagree. On the other hand, we are not dealing with the matter that the interpellant is dealing with today. I interpret the interpellation of the representative Løvik as being of quality at school. So am I. In my educational policy statement to the Stortinget on 4 May this year, I made a strong point of Norwegian education. I stressed that the demand for quality would be governing my education policy and that of the Government. The quality of teachers is one of the most important keys to quality in school. I therefore agree with the representative Løvik that the school needs highly qualified teachers. It is important that we work actively both to ensure the recruitment of the teaching profession and to ensure that skilled teachers who are in the profession are able to continue as teachers. The majority, as the representative Løvik was also involved, dealt with a recruitment message in the spring with a number of measures to get more and more qualified teachers. And as I have said before from this pulpit, the government will work actively to follow up the goal of better teacher recruitment. The representative Løvik is particularly concerned with measures to ensure more lecturers, i.e. teachers with primary education at school. As Løvik himself says, Stortinget rejected earlier in our Right-wing proposal on solutions in the field of study finance, especially for teachers with a main subject. I share Løvik's view that it is important to have teachers also with majors in school. However, I would like to add that the primary thing is to ensure that teachers in the school system have the professional and educational background required in the various educational situations. Within this main objective, it is natural that we also carefully assess the relationship between access to and need for primary teachers. Many believe that higher pay for teachers is the solution to a failure of recruitment. I also believe that pay is important, but I am also convinced that good access to teachers depends on far more factors than just wages. Conditions related to the working environment, working conditions in general and to the search and capacity of teacher training also have an impact. In recent days, there has been a relatively high focus on the future pay of teachers. So far, at least we have come to a tariff settlement in the state that the parties have recommended, and I hope that the step-up plan for the teachers that we are now to chisel out will prove to have the effect on the level of pay of the teachers that many have requested. At the same time, I would like to remind you that local addendum authorities are setting tariffs per year. On 1 May last year, a new and freer position was created to use wages as an instrument to secure the desired teachers. Both the Storting and the Government are concerned with the working environment and working conditions at school. In addition to the responsibility of the State in this field, local school owners are responsible for monitoring work environment issues at individual schools. Any changes in laws and regulations that ensure the working environment of students will be addressed in other contexts. As far as the working environment of teachers is concerned, the Ministry is now cooperating with the Municipal Councils of Central and Eastern Europe to re-establish a separate survey of the working environment of teachers into the large living conditions survey of the Statistical Centre in 2001. In addition, I would like to mention that every year the Department submits to the Stortinget proposals for significant State efforts in the field of continuing training for teachers. For a long time, there has been an objective of increasing the educational capacity of practical education in order to make it easier for people with a main qualification and cand.mag.-grade to acquire teaching skills. From 1998 to 1999, the admission of both universities and colleges to practical education increased. In the current academic year, about 1,650 students have been registered in this course. Practical and pedagogical training is also provided as part of the cand.mag. degree. From 1998 onwards, full weight counting is provided by one-year practical education and training. For students aiming at a cand.mag. degree, the inclusion of practical and pedagogical education in the profession will involve an appropriate professional correction of the education. Recruitment of students with a main vocational background varies between disciplines and institutions. At the universities have up to 50 pst. by students in practical and pedagogical education at the main level of education. The proportion is particularly high in the linguistic and social sciences disciplines. On the other hand, there are particular challenges related to recruiting teachers from some real-life subjects. Therefore, several projects have been launched at the Technical and Natural University of Norway, NTNU, to strengthen the recruitment of candidates from the real sciences to practical education. In recent years, the proportion of students in practical and pedagogical education with such a background has increased. A national centre for the recruitment of mathematical, natural and technological subjects has recently been established, added to NTNU. One of the main objectives of the Centre is to increase the recruitment of teachers with real-time competence. Over the Ministry's budget, funds were allocated to this Centre in 2000. Finally, I will get back to the recruitment message. The treatment of the Great Britain will be followed up by the Government. In addition, the Government will also facilitate greater freedom for each school to organise work and working hours, including: to provide room for more local development work and better room for the creativity of the individual teacher.
ParlaMint-NO_2000-05-30.ana.ud944e954	I would like to thank the Council of State for the answer. I would like to thank the Council of State for the good words he sent about Right as an active party in education policy. The joy he has in discussing it with us, we also have when we discuss it with others. But the hope is that a little more of what we say will be put into practical action in the department, and not least in the Norwegian school. What was said about quality is one of the areas where we have a way to go to Norwegian school. There is a lot of good work done in Norwegian schools today, but there are great opportunities for improvement, and this may be especially true in general education, where the lack of a lecturer will gradually make the most impact. We need highly qualified teachers. It's Gishe's agreement. He mentions the recruitment message, he mentions that our proposal for changes in student funding was rejected – it was attached to the protocol, and there is certainly a small shade, if not otherwise – and he mentions the pay question. But the Council of State avoided answering at least some of the questions that I raised in the interpellation, namely whether he agrees with Right that there is a special need to get learning skills into the secondary school, and also in parts of the elementary school, with a higher professional competence, i.e. the main subject of practical and pedagogical education in addition. To put it simply, is it desirable for more lecturers to enter the school? I would like to have a confirmation that he is on the line with us there. Then he also avoided answering my question as to whether it might be appropriate to cut down on practical education from one to half a year. Remember, when a student is finished with a main course, he can go to work. The alternative to going straight to work is to take a year more with educational education to enter the education system as a teacher. Then this is a very high barrier. It was also noted that some measures were being taken at both NTNU and other sites to try to stimulate more people with real skills for the teaching profession. As I was in the interpellation, perhaps the biggest problem is that much of the learning resources are over 55 years old. But I would like to have a little bit more in-depth on this: how important is my government council to the lecturers? And how can you work with the practical education and funding of this?
