ParlaMint-NO_2000-05-03.ana.ud1122e27	The former alternate of the Rogaland County, Bent Höie, has a teke seat as a representative.
ParlaMint-NO_2000-05-03.ana.ud1122e571	I have to ask the representative to explain the question a little further, so I am sure that I understand what he is asking for.
ParlaMint-NO_2000-05-03.ana.ud1122e576	In the context of an increase in the criminal framework up to the level provided by the law, it is requested that telephone interception be used as evidence in a case to raise the general penalties to a higher level, because today the average penalty for, among other things, is so high. Human smuggling is one year.
ParlaMint-NO_2000-05-03.ana.ud1122e582	The President makes sense that there will be no additional questions when there was such a situation.
ParlaMint-NO_2000-05-03.ana.ud1122e585	I am sorry that I still do not fully appreciate the question, but I have to try to answer as well as I can. I see it as the representative dealing with several things at once. One is the question of the use of telephone tapes as evidence in criminal matters. I will then refer to the review that has been carried out by police investigation methods and the use of the methods of further criminal proceedings carried out by the Methodology Committee, a case which was promoted by the Stortinget and dealt with before the New Year. I think it's natural to relate to what was the result of that treatment so far. Then we'll see the experience of that work before we can possibly propose changes. The second thing I realized the representative asked was how we could increase the criminal penalties for border crime. I find it difficult to answer that without having specific information about what kind of criminal offences you are talking about in that case. In any case, it is not always the penal framework that is the problem, but the practice of the courts.
ParlaMint-NO_2000-05-03.ana.ud1122e594	We're going to the next main question, which is today's last.
ParlaMint-NO_2000-05-03.ana.ud1122e597	I have a question for the Minister for Foreign Affairs. Russia is one of our neighbours, and an open border with Finnmark makes it easier to see for both Russians and nordics the great prosperity gap between our countries. Many people live under the minimum of existence in North-West Russia. In particular, women and children are hit when society is in crisis, and many feel that their own country is in a sort of state of emergency. Network credit systems have been established in several places in Russia, with the exception of North-West Russia, with foreign donors. Network credit is known from economist Yunus' women's bank in Bangladesh, and he believes that the right to credit should be considered one of the human rights. The Bank has as its main target group poor women, and by helping mother a poor child will also reach. The central government initiated a women's conference in North West Russia, which was organised in Murmansk in April this year. The Ministry of Foreign Affairs presented here a outline of the network credit summit to be introduced in North-West Russia. How will the Minister for Foreign Affairs follow up this proposal, and when can one imagine such a system established in North-West Russia?
ParlaMint-NO_2000-05-03.ana.ud1122e606	In its Declaration of Accession, the Labour Party Government said that work in relation to Russia, in particular North-West Russia, would have a high priority. What is the case is that the appropriations for this purpose were cut heavily under the previous government and by the bulk of the population, which means that you haven't had so much to play on. We're going to go the opposite way. With regard to the question that was raised here, about network credit, I just have to regret that I can't answer that in concrete terms, but I take it with me as an important suggestion back to the ministry when we are now working on the Russia strategy itself. But what I can say in general terms is that I agree with what was said, that network credit is an important international measure to support new business activities, including: that women are starting, so I think it's an important measure in this part of the world as well.
ParlaMint-NO_2000-05-03.ana.ud1122e613	I believe that network credit can play an important role in the work of North-West Russia. Here, there may not be much talk about money, but talk about the will to put in place a system. One knows that despite the collapse of the old systems in Russia, the well-functioning system of local sales is still being established in the circumstances. This start-up of small businesses, small businesses, is perhaps the most important thing in helping Russia with their own development work, establishing democracy in a more democratic form than you're used to, and giving people hope for the future. I think it can play an important role. I have two questions. Will the Minister for Foreign Affairs maintain the poverty and women perspective of the Network Credit Facility when it is to be established in North-West Russia? Would it be possible to take a Nordic initiative in this area?
ParlaMint-NO_2000-05-03.ana.ud1122e620	I think I can say yes to both of these questions. On the last issue, we have close cooperation with the other countries in the area through Barents cooperation, and it is also becoming an important part of the northern dimension of the EU. So it is clear that we are going to maintain close contact with the other countries also on this issue.
ParlaMint-NO_2000-05-03.ana.ud1122e625	The time for the oral question time is now over, and we're going to go to the ordinary question hour.
ParlaMint-NO_2000-05-03.ana.ud1122e630	There will be a number of changes in the configured question list, and the President will show you in the context of the list distributed to the representatives' seats in the room. The President proposed that the proposed changes in today's Question Time be approved. The President sees it as a matter of fact. The changes were as follows: Question 1, from the representative Dag Danielsen to the Prime Minister, will be answered by the Minister of Foreign Affairs. Question 12, from the representative John I. Alvheim to the Minister for Social Affairs, will be answered by the Minister for Local and Regional Affairs as the appropriate representative. Questions 22, 23 and 24, from subsequent representatives Tor Nymo, Øyvind Korsberg and Torbjørn Andersen to the Minister for the Environment, will be answered by the Minister for Fisheries on behalf of the Minister for the Environment, who has left. Question 29, from the representative of the Minister of Justice, Finn Kristian Marthinsen, falls away when the questioner is not present. Question 32, from the representative Arne Lyngstad to the Minister for the Church, Education and Research, will be drawn up by the representative Elsa Skarbøvik. Question 33, from the representative of Rolf Rekovam to the Minister for the Church, Education and Research, will be drawn up by the representative of Øystein Djupedal.
ParlaMint-NO_2000-05-03.ana.ud1122e650	This question, from the representative Dag Danielsen to the Prime Minister, will be answered by the Foreign Minister.
ParlaMint-NO_2000-05-03.ana.ud1122e653	I allow myself to ask the following questions to Minister for Foreign Affairs Thorbjørn Jagland: ‘There has been a wide-ranging discussion in Denmark on the formalities around and the form of Dalai Lama’s visit to the country. This is due to fear of China and Danish business interests in the country. The Dalai Lama continues from Copenhagen to Oslo. Will the Prime Minister ensure that the Dalai Lama is duly received and meets the country's top management in line with the normal procedure for the reception of peace-laureates?’
ParlaMint-NO_2000-05-03.ana.ud1122e662	I can answer a clear yes to that. As the representative Danielsen notes, a visit of the Dalai Lama to Norway is planned. He wants to visit Stavanger and Oslo after an invitation from Norwegian non-governmental organisations. There is established practice that all Nobel Prize winners are granted an audience with the King of H.M. and are also given the opportunity to meet the Prime Minister and the Minister of Foreign Affairs if they are available at the time of the visit. As I said, this is a principleal attitude that applies to all Nobel Prize winners, and that changing governments have taken on board. I can therefore confirm, as I said in the introduction, that the Dalai Lama will be received later this month during its Norway stay in line with the normal procedure for Peace Prize winners.
ParlaMint-NO_2000-05-03.ana.ud1122e671	I would like to thank the Minister for Foreign Affairs, Mr Igland, for a very positive response. As I allow myself to be critical on a number of other occasions, I would like to commend the Government for the attitude and position they have taken in this matter.
ParlaMint-NO_2000-05-03.ana.ud1122e680	I allowed myself to ask the following questions to the Minister for Foreign Affairs: ‘UN sanctions against Iraq cause catastrophic damage to civil society. The World Organisation's humanitarian aid coordinator has recently resigned his position in protest against what is happening. Will there be an initiative from Norway for international discussions to change/removal a sanctions policy that dramatically affects the weakest in society, especially children and the elderly?’
ParlaMint-NO_2000-05-03.ana.ud1122e689	Like John Dale, I am also very concerned about the humanitarian situation in Iraq, which has still been exacerbated since the 1991 Gulf War. As you know, the Security Council took a decision through Resolution No. 1284 to continue the weapons inspections and sanctions. On the other hand, sanctions policies have been adapted to improve the humanitarian situation in Iraq. This has been done through significant changes in oil for the food regime. From the Norwegian point of view, it has always been supported by initiatives to change the oil content of the food regime, so that humanitarian work could become more comprehensive and effective. However, whether these changes will now lead to improvements in the humanitarian situation in Iraq depends a little on the willingness of the Iraqi authorities to cooperate. The Government is committed to the optimal functioning of the recent changes in the provisions on sanctions and to bringing humanitarian supplies to the needy and civilian populations. Norway will maintain close contact with the United Nations on this matter. Finally, I would like to mention that there are discussions in the UN Security Council, and Kofi Annan has addressed this in her report on reforms in the UN with a view to developing more effective instruments of sanctions that can contribute more to protecting the civilian population. This, I think, is a very interesting initiative, i.e. to get sections that are more intelligent and targeted, as the UN Secretary-General has formulated it.
ParlaMint-NO_2000-05-03.ana.ud1122e700	I thank the Foreign Minister for the answer. However, and with all due respect for the recent changes pointed out by the Minister of Foreign Affairs, sanctions policy is at the heart of the issue. So I expected a slightly different answer. And when I express it this way, it's because on April 4th, when the situation in the Balkans was being discussed, the Great Council clearly expressed a desire to change the sanctions policy in that area. The parallel to Iraq should be obvious here. Against this background, sanctions put in place to get rid of an unhealthy regime, but which clearly involve severe social and humanitarian costs, either depriving or reversing. The supplementary question to the Minister for Foreign Affairs will then be: Should not the Norwegian policy in the Balkans be perceived as a principle view which should also have implications for the Norwegian foreign policy in the case of Iraq?
ParlaMint-NO_2000-05-03.ana.ud1122e707	I'm glad if there's a majority in the Storting to be involved in a discussion about how to make penalties more targeted than what you've seen in many cases. Whether or not there is a parallel with Iraq in the position given about the Balkans, the Storting really has to answer. However, I would like to point out what is also in that position, namely that Norway does not intend to implement unilateral measures in the case of Yugoslavia. That must be done in cooperation with our allies, and I think that is also true in the case of Iraq. We have a past both in our efforts in Bosnia and Kosovo, where we have been in international forces. That was also the case for Iraq, and I do not think it would be wise for Norway to take unilateral action in terms of sanctions, either in relation to Yugoslavia or in relation to Iraq.
ParlaMint-NO_2000-05-03.ana.ud1122e715	I allow myself to ask the following questions to the Minister for Foreign Affairs: ‘There are extensive violations of human rights in Zimbabwe. From a number of teams, including opposition leader Morgan Tsvangirai, Norway is now encouraged to stop assistance to Zimbabwe. According to the media, this is 100 million. crowns per year. Will the Government mark its departure from the Mugabe regime’s policy by freezing/stopping aid to Zimbabwe?’
ParlaMint-NO_2000-05-03.ana.ud1122e724	The government is looking at developments in Zimbabwe with considerable concern, as expressed in the spontaneous Question Time a little ago. We condemn the use of violence. We have taken several initiatives to make Norway’s views known to the authorities in the country. Already on 31 March and again on 20 April, we presented strong diplomatic protests to the authorities. We have made it clear here that Norway regards political violence, including the killing of political opponents, as totally unacceptable. At the same time, we have called on the authorities of Zimbabwe to take immediate action to reintroduce law and order, and to put those behind the killings and unrest in the country in charge of their actions. We expect the Zimbabwean authorities to ensure the security of their citizens and to take steps to put an end to illegal land occupations. We have been working closely with Zimbabwe since the release 20 years ago. We were among the most actively supported during the liberation process. It is clear that we must now lay down the conditions for continued assistance. The conduct of a free and democratic parliamentary elections in Zimbabwe will be such a condition. On the other hand, it is important to prevent us from turning Robert Mugabe into a martyr in the fight for white farmers, thus giving him a map of the situation in the country. As a contribution to the Government's assessment of the future relationship with Zimbabwe, on 1 May we sent a Norwegian delegation to the country consisting of representatives from the research community, humanitarian organisations, human rights organisations, LO, NORAD and the Ministry of Foreign Affairs. In the statement on aid policy 9 May, the Minister for Assistance will come back to the situation in Zimbabwe and the Government’s views. Danielsen refers to what opposition leader Morgan Tsvangirai has said. In this context, I can inform you that the LO, which is now with the Norwegian delegation to Zimbabwe, has a close cooperation relationship with Tsvangirai, so that through it we can also get direct assessments on this issue.
ParlaMint-NO_2000-05-03.ana.ud1122e748	I thank the Minister for Foreign Affairs for the answer. I will first begin by correcting a misunderstanding the Foreign Minister expressed in the spontaneous question hour. He said there had been a broad dissension about support for Zimbabwe. The progress party has always been against this, and I know that the Right has also had a similar position. So that was a crazy statement. Otherwise, I'm disappointed in the content of this answer. In the opinion of the Progress Party, what has been going on down there, including, for example, Warfare in Congo with more than 10,000 soldiers from Zimbabwe, which has been going on for a long time, contributed to discrediting the work that Norway has done and the attitude that Norway has taken down there. What I had hoped, was that the government immediately, even from its former position with support for Zimbabwe, would freeze the aid in the first place, and then consider whether it would stop it altogether in the longer term. The documentation on this matter has been convincing to those degrees from international sources, etc., so that in our opinion this should have been done.
ParlaMint-NO_2000-05-03.ana.ud1122e759	I showed in what I said in the spontaneous Question Time, the fact that all the political parties in the Grand Duchy have taken note of the developments in Zimbabwe and have been very concerned, which is what all parties are in the current situation. The question of which there has been some disagreement is: what do we do with the assistance right now? It is the government's view, which I also believe we have the support of at least a majority in the United Kingdom, that we must now use the position Norway has in being a donor country, to influence the authorities in the country to hold free and independent elections and to receive international observers during the elections that have to be held. If this does not happen, it is time to assess the entire aid policy in relation to Zimbabwe. In the meantime, we are trying to turn the aid over to support for the opposition and the work on human rights.
ParlaMint-NO_2000-05-03.ana.ud1122e764	I allow myself to state that it does not help if the road to hell is paved with good intentions. In my opinion, the Government's attitude and lack of action at this point are part of discrediting all kinds of assistance, and it will also include the one that can be said to have positive effects. I am disappointed that the Government discredits Norway's efforts internationally in this way by not choosing a more effective line on this issue. I also think it is a little appropriate way to use taxpayers' money to contribute to warfare in neighboring countries, and that we have helped to support such a regime as the Mugabe regime is.
ParlaMint-NO_2000-05-03.ana.ud1122e769	I want to distance myself from the fact that the Government's attitude discredits all kinds of development assistance. We have close contact with our neighbouring countries and other countries with an interest in this area. We coordinate our efforts to influence democratic elections. But it's interesting to hear that Dag Danielsen, who comes from a party that's always opposed most of what we've been for in Norwegian development aid, is talking about discrediting development aid. I think it has contributed more to discreditation than the line Government is now joining forces with a wide range of other governments in the world to influence the development of the country.
ParlaMint-NO_2000-05-03.ana.ud1122e777	I have a question for the Minister of Economic Affairs and Trade: «The acquisition law was adopted in 1994 to replace the industrial concession law as a direct consequence of the EEA Agreement. The new law was claimed to be a better tool to ensure good and stable ownership. The opposite seems to have been the case. Much more changes in ownership are subject to treatment, fewer conditions are imposed. The disadvantages of the law are greatest for Norwegian owners. Will there be an evaluation of the acquisition law with a view to getting a better tool to ensure good and stable ownership?’
ParlaMint-NO_2000-05-03.ana.ud1122e786	The Act on the acquisition of business entered into force on 1 January 1995. The law replaced the former industrial concession law which triggered the concession obligation for foreign investors to acquire business in Norway. The concession obligation under the Industrial Concession Act was conditional on the acquisition of real estate. The criterion of real estate as a concession obligation condition was not striking for the business purchases we had and need to regulate. The acquisition law gave us a law that better met the control needs of the authorities by triggering the reporting obligation to the authorities by relationships related to the company, such as the size of turnover and the number of employees. The Acquisition Act regulates the purchase of Norwegian companies by both Norwegian and foreign investors. The rules of the EEA Agreement on non-discrimination do not make it lawful to discriminate between Norwegian and foreign companies when buying out businesses in Norway on the basis of their nationality. When dealing with a purchase, the plans of the new buyer for future operations in the company are essential and not whether the new buyer is Norwegian or foreign. I would like to point out that most ownership changes in Norwegian business are positive for the companies, and that it is therefore not necessary for the authorities to impose explicit conditions in addition to those resulting from the law itself. It is therefore in a few cases that there are grounds for carrying out a detailed test which can only be carried out when a purchase is likely to have negative effects. After five years, the Acquisition Act has proved to be a good and appropriate tool for the authorities’ need for control in the case of ownership changes in Norwegian business. In particular, I would like to highlight the preventive effect of the law in relation to preventing buying-in in order to shut down competing companies. However, I think it can be natural to evaluate a law that has been in force for more than five years. The experience gained so far with the law will form the basis for any amendments. If there is a need for legislative changes, these will normally be presented in an odelsting proposition for the Odelsting. I would like to stress that we must constantly have the eye to find the right balance between the authorities' need for control and unnecessary disadvantages for business to be subject to regulatory control in the event of a change of ownership. Among other things, the notification thresholds in the law must be seen in the light of this. Finally, I would like to point out that the acquisition law itself will not be the only tool of the authorities to ensure both good and stable owners in Norwegian companies. The framework conditions for business will be crucial for investors’ willingness to invest in and own Norwegian enterprises. The major challenge is therefore to make Norway an attractive investment country and a country where people feel welcome. Our investment in this field will therefore be important for what ownership we will have in the future in Norwegian companies.
ParlaMint-NO_2000-05-03.ana.ud1122e795	I thank you for the answer, and I think it is positive that we will receive such an evaluation as I am calling for. Thus, the Industrial Concession Act was removed two weeks after the people said no to the EU, and this was a great victory for the right, which has never understood the point of governing political ownership in business. The Labour Party claimed at that time, and still claims that the acquisition law is a better political tool than the previous law we had. Former Minister of Industry Jens Stoltenberg’s proof of this was that we would receive 200 more changes of ownership every year in the department. We have then received 1 300 such things for treatment. Twelve of them have been examined, and no one has received a rejection. Speakers of the Government have said that we do not have a legal basis to prevent the sale of Hydro Seafood or Dyno abroad. That is when I believe we have too bad a tool, because it is so important that they had not been sold. It is perfectly obvious that the people want it to be intervened. Is it that the law we have has not been good enough, so that we could say no in the two cases?
ParlaMint-NO_2000-05-03.ana.ud1122e806	I am pleased that the representative is satisfied with the answer to what was the main point of the question, namely whether we will carry out an evaluation and, as I have said, we will do so. At the same time, it is clear that Norway depends in many ways on close interaction both with foreign investors and with people who want to establish themselves in Norway. We can't have a law that adds to discrimination and Norwegian at any price. It's going to be biting yourself completely in the tail, and we're being followed with the argus eyes from the outside. At the same time, the law itself has seemed preventative. It is quite clear that there have been very few cases where there has been a basis for looking after the individual company and going after it in the seams.
ParlaMint-NO_2000-05-03.ana.ud1122e811	I didn't say we should have Norwegian at all costs. But I am absolutely sure that the Norwegian people want us to have a tool to say no in a few cases. I'm afraid we don't have today. People want us to care about who owns the jobs. I think one strike cause, among others. is that values that are built up, that are created and saved through many generations of people, can suddenly end up in one account, despite the fact that one has seen in advance that this could happen. I believe that somehow we must help to ensure that the values left by a moderation policy are of benefit to all, and that the few who show that they are selfish and think more of themselves than they think of the community can be stopped. I believe that international law gives us that opportunity. Does the Council agree that there are owners to whom no can be said?
ParlaMint-NO_2000-05-03.ana.ud1122e822	The answer to that is, of course, yes. After all, the Acquisition Act aims to find out whether potential owners/buyers intend to slaughter the company, whether there is a systematic plan that also takes care of employees, whether they have drawn employees, etc. Because these are procedures that make it possible for us to go through it. So the answer, of course, is yes. At the same time, however, we need to provide other ways of tackling international competition, namely by being good on the skills side, on the education side and on the research side. Even Norway shows a high level of involvement in the purchase of foreign enterprises, cf. at least Norwegian Forest. The enthusiasm of the former government is very strong now for this with Hydro – after they have left the government offices.
ParlaMint-NO_2000-05-03.ana.ud1122e834	I will be allowed to ask the following questions to the Minister of Labour and Administration: «I St.meld. No 28 Content and quality of care services, Care 2000, it is said that the Ministry of Labour and Administration carries out an outreach of Norwegian and international public sector competition experience, including care services, and that it will be available early in 2000. [[1999 - 2000]] Will the Council follow up on this issue, and in case when and in what way?’
ParlaMint-NO_2000-05-03.ana.ud1122e843	The question from the representative Meltveit Kleppa is a little difficult to deal with, as long as the investigation is not completed by the sample. Before we take a position on the follow-up, we need to see what is concrete about assessments and proposals, and not least the premise for the proposals that may come. However, I have expectations of a broad review of several different means of exposure to competition. The selection assesses: deregulation of public business activities currently regulated as a monopoly of tendering different arrangements in which the money follows the comparison of similar public enterprises by users, where the comparison involves a competition within the public sector to maximise the The different instruments are assessed in relation to: quality efficiency impact on policy governance and the exercise of authority distributional impacts, geographical as well as social impacts on employees The main objective of the work is to systematise national as well as international experience. I hope and believe that the sample study, which should be available in May, will provide a good basis for further assessments of public sector competition exposure. The Government is committed to assessing all available instruments and strategies to achieve the main objective of an optimal public sector. It is important not only to make efficient use of resources but also to maintain the uptake of Community solutions. Competition exposure is the different experience and we need to learn more about the conditions under which this works well and when it does not work well. This is important both for users and for workers.
ParlaMint-NO_2000-05-03.ana.ud1122e887	I thank you for your answer. I have great understanding that the Council of State cannot advance any proposals which he must consider in greater detail. I'm glad that this is a bad idea that the selection will complete its work, and that the Council of State will go through the details of how it can be followed up. I am also pleased with the fact that the Council of State points out the need to take care of Community solutions. Of course, I think there is a need for a clearance, a clearing and a clarification from the Workers' Party – not least from Kosmo State Council after he joined the Government. He himself was the leader of a Labour Party/LO selection where the conclusion was that postponing competition and privatization was not the solution, but rather the placing on his own by motivation and schooling. Has the government changed its view of it?
ParlaMint-NO_2000-05-03.ana.ud1122e896	Of course, the sample will complete its work, and it has always been my ambition. There are so many different statements and views that are out there and around these themes. Sometimes it is not possible in the debate to distinguish between privatisation and outsourcing. It only clearly shows that some concepts need to be cleared up, but it is also necessary to look at what is available from experience in other countries just related to these issues. In principle, I haven't changed my mind about which remedies might be the best way to get public sector renewal work on the rails. But here there is nothing black or white, there are intermediate solutions for everything: you have private solutions, you have voluntary solutions, you have public solutions, you have public solutions in combination with voluntary schemes, you have public solutions in combination with private solutions. It's a whole set of tools that can be used individually, and I'm open to evaluating these.
ParlaMint-NO_2000-05-03.ana.ud1122e905	As I pointed out, the Kosmo selection went in so that one, in addition to putting on their own motivation and schooling, would also bet on trust and framework conditions. It is possible to discuss who has been involved in a mix of competition and privatisation issues, which lie in the various aspects. It is a fact that they from the Kosmo selection were used in parallel. Of course, I'm also open to one here having to renew, modernise, public sector, but I think there has been an undue alarm in public, perhaps especially among those who are prepared to participate without being put off by competition, perhaps especially in the care sector, and I hope Kosmo will take it along in the further work.
ParlaMint-NO_2000-05-03.ana.ud1122e910	I agree that there has been undue disquiet among public servants. That's why the Workers' Party and the LO had a joint selection so that you could find a platform where you would work on the challenges ahead of us. It's quite obvious that changes in ways of doing things have to happen, because we can't be satisfied with the public offer as it is today. But for this change to have to mean privatisation or outsourcing, I take apart. We have a lot of work to do on our own. But the purpose of this investigation is to get a broader basis of experience before making decisions, and I want to see the investigation and the proposals that emerge, before I start to draw any final conclusions and decide on how to involve the Storing in these processes.
ParlaMint-NO_2000-05-03.ana.ud1122e918	‘The provisions of the Tax Act do not allow freelance journalists to work under the same conditions as those of other liberal professions. This means that it is impossible for writing journalists to act as self-employed persons. Many freelancers feel that the contracting entities are demanding that they be registered as traders in order for them to receive a job. Will the Council of State contribute to the amendment of the regulations so that writing freelance journalists can engage in business?’
ParlaMint-NO_2000-05-03.ana.ud1122e925	In accordance with the Tax Act of the Tax Directorate, § 12-2-2, remuneration to journalists is treated in the same way as usual employee income. This happens even if there is no employment, so that the activity carried out has to be considered as an industrial activity. The rules governing this were introduced in 1973. There were particular practical reasons for the introduction of these rules. It also appears that the actual conditions at this time have been decisive for this solution. At the time, it was not considered typical to operate freelance journalism to such an extent that it could be considered as an industrial activity. However, the situation has changed over time. It is therefore time to assess whether there is a basis for maintaining this regulation or whether non-employed journalists should also be considered as traders after a concrete assessment of their activities. I would like to ask the Tax Directorate to take a closer look at this matter.
ParlaMint-NO_2000-05-03.ana.ud1122e934	I thank you for a positive answer. It is true that when this regulation was introduced, it was not practice to run journalism in this way as a large number now do, and that therefore time has come to go through the regulation in the light of today’s situation. My question is whether the Council of State can now promise that a certain pressure will be put on to get this review so that you can get feedback at least early in the autumn.
ParlaMint-NO_2000-05-03.ana.ud1122e941	In general, I believe that matters should be dealt with fairly quickly, and I will seek to contribute to this too, but I do not have a full overview of the investigative capacity currently in the Tax Directorate, and will therefore not promise a specific time. But I would like to contribute to the speed with which we are progressing as quickly as possible.
ParlaMint-NO_2000-05-03.ana.ud1122e949	‘Statistics from the Main Trade and Service Industry Organisation and the Credit Fund show a sharp increase in the trade leakage to Sweden which in the first quarter of 2000 exceeds the figures from the 1999 record year. Low charges on baits such as spirits, wine, cigarettes, rolling tobacco, fuel and groceries contribute greatly to the cross-border movement of the Nordics. What will the Council of State do to reduce border trade leakage?’
ParlaMint-NO_2000-05-03.ana.ud1122e956	The list of exchange rates suggests that border trade with Sweden has increased in the last six years. However, there is considerable uncertainty about these statistics and they are available on an ongoing basis. currently no adequate statistics on the level and development of border trade. The Ministry of Finance and the Ministry of Industry and Trade finance a study on border trade in 2000. The survey is based on interviews and registration among cross-border households, and the results will be available in the new year 2001. Due to more liberal import quotas, Sweden may reduce taxes on alcoholic beverages. In addition, high food prices and taxes on tobacco, chocolate and mineral water are important for border trade, as the questioner also mentioned. With regard to the level of Norwegian excise duties on important border products such as alcohol and tobacco, the Government considers that it may be reasonable to assess the level of charges in the context of the planned VAT reform. The reform of VAT may generate more revenue, which may provide some relief in other areas. Thus, the revenue from the extension of VAT may be, for example: is used to reduce charges on typical border products. The government will give a mention of the alcohol tax in the revised national budget in spring and will come back with concrete proposals in the budget for next year.
ParlaMint-NO_2000-05-03.ana.ud1122e965	I thank the Council of State for the answer, which was really concise enough. This will be considered, and the concrete proposals will be linked to the State budget for next year. After all, the Labour Party leader, Thorbjørn Jagland, almost two years ago, gave information at a County Annual Meeting in Halden that a working group was to be set up. It has worked, and fiscal spokesman Erik Dalheim has stated on a number of occasions that the fees should be reduced. But we haven't come any further. Although there is some disagreement about the extent of this border-trade leakage, we all have to admit that it has a significant extent and creates problems for Norwegian business in many border counties. I expect, then, that when the proposals from the Workers' Party come, there will be tax relief proposals as real monks.
ParlaMint-NO_2000-05-03.ana.ud1122e974	I agree that border trade is not insignificant. I agree that it is important to take action to ensure activity on the Norwegian side of the border regions. So we're going to come back with proposals in the budget for the autumn. When we can't do that in the revised budget that's about to happen in a short time, it has a very good connection with the fact that it's been a short time since the government change, so we need to prepare the matter well enough. It is also in what I say that the proposals will have an impact on border trade, they must have a certain amount. I cannot, for natural reasons, come up with the specific proposals.
ParlaMint-NO_2000-05-03.ana.ud1122e984	I will ask the Minister for Finance the following questions: ‘Postgiro and later the Postbank have been responsible for administering the payment of taxes and employers’ contributions. When the Postbank is no longer an independent bank, this has to be changed. Will the Council of State take the initiative to allow local and regional banks to compete for such a task?’
ParlaMint-NO_2000-05-03.ana.ud1122e993	Taxes, social security contributions and employers' contributions, which totaled NOK 275 billion in 1999, are charged and accounted for by municipal employees. Social security contributions, employers' contributions and taxes payable by dependants belong to the country, while other taxes are to be distributed between the country, counties and municipalities. When this scheme was established in 1957, decisive emphasis was placed on the country’s use of solutions that provided maximum controllability and certainty for the proper collection and accounting of the taxes and charges charged to the tax collectors. For payment services, these reasons led to the election of Postgiro as the accounting officer for all the tax collectors. The Tax Payments Act previously specified that Postgiro should be used as the accountant for the tax collectors. The law has now been amended so that the Ministry of Finance decides which banks can be used. The accountancy service for the tax collectors is such that I think it is necessary to call for the service, and the department is preparing for it. The Postbank continues to be the account holder until a new supplier has been selected after the call. In the ongoing work on the call for tenders, I think it is necessary to make requirements that provide the best possible assurance for, among other things. appropriate collection and accounting. I cannot now say what demands will be made, but I am aware of the fact that as much as possible will be given the opportunity to compete for the assignment. This consideration is part of the assessments carried out.
ParlaMint-NO_2000-05-03.ana.ud1122e1002	I thank you for an answer that I think is positive. Let me stress that the Central Party shares its views with the Minister of Finance when it comes to setting requirements that provide the best possible security for, among other things. proper collection and accounting. This is about large amounts. In fact, it may also be about using existing knowledge and competences in the regions and locally, and it may be about developing new competences. One could, for example: walk so far that each municipality itself was given the opportunity to place the required funds where it was most appropriate, provided that the requirements to be imposed are met. I would like to urge the Minister of Finance to evaluate this very carefully.
ParlaMint-NO_2000-05-03.ana.ud1122e1009	I will take the representative's assessments with me. Of course, we have not taken a position on how the tender will be organised. What will be crucial is that you have a security in relation to the state's resources and a reassuring way to do so, and that you have the necessary skills to do so. There may be many ways to organise tenders and the provision of these services. I shall include in that assessment the views expressed by the representative.
ParlaMint-NO_2000-05-03.ana.ud1122e1016	I am pleased that the Minister of Finance here will make a thorough assessment. I would like to ask myself the following: What time perspective does the Minister of Finance have on this matter?
ParlaMint-NO_2000-05-03.ana.ud1122e1021	I must admit to the representative that I need a more thorough review of these questions in order to clarify when we can submit the tender. That is why I cannot give an adequate answer to this today. So the preparations for such a tender are under way. But as I said, at an exact time, I am not able to give the representative on a standing foot.
ParlaMint-NO_2000-05-03.ana.ud1122e1029	I would like to ask the following questions to the Minister for Local and Regional Affairs: ‘In a press release issued on 14 April 2000 by the Ministry of Local and Regional Affairs, the Minister of Local Government announced an increase in the grant to the Swedish National Scoring Fund and the possibility for municipalities to apply for grants from the Ministry of Local and Regional Affairs. The snowscraper in Kvänangen on 26 April 2000 under the auspices of the Civil Defence Circle of Troms documented the need for increased appropriations. Preliminary figures from NHO in Troms show losses of up to 1.5 million. for individual enterprises. How will the Government compensate for this?’
ParlaMint-NO_2000-05-03.ana.ud1122e1038	The budget of the Natural Damage Fund will be strengthened in order to meet applications for state funding of security measures. This is about approx. One hundred million. kr over a five-year period. Municipalities with exceptionally high costs due to the large amount of snow in North Norway, e.g. for snow ploughing, it will also be able to apply for additional means of discretion. Applications shall be made through the counties of Troms and Finnmark. In the case of aid to individual enterprises that have suffered significant losses, this is unlikely to be covered within the framework of the Natural Damage Fund. According to Section 1 of the Natural Damage Act, the State's Natural Damage Fund has inter alia: as a task of compensating for natural damage in cases where there is no right to insure against the damage under a general insurance scheme. There are also no other government grant schemes that will cover this type of loss.
ParlaMint-NO_2000-05-03.ana.ud1122e1047	I thank you for your answer. In a part of the country where we are going to develop fish farming as the industry of the future, with high incomes to the entire Norwegian community, it is absolutely necessary for the companies to be sure that what they produce can also be delivered. We've had extreme weather conditions. Because of the enormous amount of snow we have had, roads have been closed, and businesses have not been able to deliver their goods. In addition to the direct losses suffered by the companies, they are struggling with a decline in road, maintenance and race protection appropriations. Will the Government consider making arrangements for these companies?
