ParlaMint-NO_2000-03-29.ana.ud585e27	The representative Fridtjof Frank Gundersen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2000-03-29.ana.ud585e560	Firstly, the Government Declaration and the Public Relations Act. It is such that my government statement was a little longer than a government statement has normally been. Nevertheless, the main comments are what I was not able to say about. But it is not that what is not mentioned in the government statement, things Government is not concerned about or opposed, for example. publicity and merpublicity. At our first ordinary government conference, the government spent time going through how we can contribute to the realisation of the intentions and objectives of the Public Health Act, both in terms of complying with the provisions and in terms of exercising more openness. And the crucial thing must be not just what we say, but what we actually do. And it's from the Government's side an attempt and a measure that we're going to review the legislation to make ourselves aware of how we can contribute to the greatest possible publicity, starting with the first day. We did that because we know from the experience of public law, both under the previous government and past governments, that there is often a lack of knowledge of the possibilities that the law provides, which means that more is being exempted from publicity than is strictly necessary. So there we are very busy practicing publicity – and not just publicity, but more publicity – and have started it from day one. And Jørgen Kosmo actually used part of his contributions in the debate on the government statement to underline the same point, namely that we should follow the Public Relations Act, practise it openly and seek more openness in relation to the provisions of the law. So that's something that's already declared by Jørgen Kosmos.
ParlaMint-NO_2000-03-29.ana.ud585e565	I choose to interpret the signals that now came, positive. And the Prime Minister can tell his government that the Left will follow them very critically, to ensure that the offensive that the central government had in this area is followed up. Because it's a line change when Stoltenberg now announces that he's going to bet on transparency – the Jagland government was the hallmark of decision-making in the closed rooms. I have a specific question: as part of the follow-up to the public announcement, it is now up to Parliament to put forward legislative proposals for the Stortinget in April for greater transparency. Can the Prime Minister promise that this follow-up work on the legislative side will be prioritised? So one more question: when it comes to the renewal of the public sector, it often happens that services are transferred to companies that are not covered by the Public Sector Act. Does the Prime Minister see it as a problem that more and more of the public activities are managed by companies that are not covered by the Public Service Act and will he be included when the Left speaks to extend the Public Service Act in this area?
ParlaMint-NO_2000-03-29.ana.ud585e574	I noticed that the representative Kvassheim thought it was a problem under former workers' party governments that decisions were made in the closed rooms. Now I have the impression that it was also done in the previous government, and that there is something of the problem, that we are concerned that others will not have access to the information that appears in the closed rooms. Having said that, I would like to stress that the disclosure law must be practised so that we can make decisions and have internal proceedings in the government apparatus. I felt that the central government, too, was aware that we were going to undermine the possibility, for example. for written proceedings if, for example: the processor of government notes and government notes became public. So the point is not that everything should be public all the time, the point is that anything that can be public without damaging and destroying a tidy process or privacy should be public. It is about raising awareness of regulations, and that work will be given priority – and has already been given priority by spending time on this issue at the first government conference. Further changes in the law should also give priority to this, but I dare not promise any time for it to come.
ParlaMint-NO_2000-03-29.ana.ud585e581	The time for the oral question procedure is now over, and we're going over to the ordinary Question Time.
ParlaMint-NO_2000-03-29.ana.ud585e586	There will be a change in the question list, and the President will refer in this context to what has been distributed in the seats of the representatives in the Chamber. The proposed amendment to today’s Question Time is proposed. – It shall be deemed to have been adopted. The change was as follows: Question 13, from the representative of Øyvind Korsberg to the Minister for Social Affairs, will be answered by the Minister for Labour and Administration who will direct him.
ParlaMint-NO_2000-03-29.ana.ud585e598	I ask the Minister for Defence the following questions: ‘The Chief of Defence has expressed the wish to co-locate the administrative schools of Oslo. The management school in Halden has good traditions, suitable premises and a good and constructive cooperation with Eastfold District College in languages, IT and economics. Will the Council of State help to ensure that the Administrative School in Halden continues?’
ParlaMint-NO_2000-03-29.ana.ud585e607	One of the objectives of the Migration Process of Defence is to coordinate training across defence sectors where appropriate. Where possible, civil higher education and university environments should form the basis for the build-up of competence, rather than building up their own environments of competence in defence. As far as possible, the training systems of the defence industries shall be based on the same reading and on the guidelines set out in St.meld. No 22 for 1992-93 and St. Prp. No 38 for 1995-96. Today, as a well-known management training in the Defence of the Army's administrative school in Halden, the Air Force schools of Stavern and the KNM "Tordenskjold" in Bergen. Education is parallel and partly overlapping. As part of the work on finding solutions to the comprehensive organisational and economic challenges of defence, 11 concrete actions have been developed and promoted to be explored during the spring. One of these is the coordination of administrative training. Implementation proposals shall be made before 1 July 2000. Coordination of administrative training includes, inter alia: with a view to providing rational and cost-effective solutions to meet the overall needs of Defence, including the establishment of a new career-oriented and specialised training platform across defence sectors. In this context, it shall include, inter alia: consider greater use of distance learning, use of civil training places, regional courses, modular training arrangements, etc. The educational model will be a basic premise for recommending the location of school activities. Therefore, localisation issues are completely open and it is currently too early to address alternatives. I have noticed that the Administration School in Halden has a good and constructive cooperation with the Eastfold District College. This will be taken into account in the assessment of possible future coordination of management training in the Defence and its location. The Defence Manager shall investigate the relevant options and make his recommendation to the Ministry. The Ministry will then review and assess the recommendation within a comprehensive defence policy framework where the future presence of the defence on the Fredriksten fortress in Halden will also be one of many important elements.
ParlaMint-NO_2000-03-29.ana.ud585e622	I thank the Council of State for the answer. It is clear that what is important for this educational offer at the administrative school in Halden is now in a way to get an overview of the future that this school can expect as soon as possible. It is a school that has a very good offer, and not least it is a school that has close cooperation with the district professional environment at the Halden District College. The Declaration of Accession of the Government of Stoltenberg stated that there was a desire to maintain a decentralised structure. Now that we know that the alternative of the head of defense is to co-locate this school offer in Halden to the Oslo pot, where there are neither educational facilities nor housing, this is going to be somewhat strange, and I expect the head of defence to take a constructive look at this matter. I ask him to take this signal seriously.
ParlaMint-NO_2000-03-29.ana.ud585e631	The procedure in this case is as I said in my first answer, and I am well aware that the head of defence has not made any final recommendation. I will consider the matter in the light of the points I made in my first answer. It is clear that the simplest thing in the world for a defence minister who will soon become popular is to answer ‘yes’ to 165 questions from all the representatives in this room on anything that might be of possible important questions, but then the Stortinge would probably end up with a fasit that no one in the Stortinge really likes. I am also required by previous decision-making and other obligations to go through a wide range of structural issues in order to ensure that we have a rational use of the money that the Stortinge is so kind to grant, and this connection must unfortunately be seen in all the questions, but I think the representative is also fully aware of that.
ParlaMint-NO_2000-03-29.ana.ud585e638	I thank the Council of State for the answer, but in this context I also want to draw attention to the fact that Halden is in a very special situation in relation to the fact that a number of decisions have been taken at the central level on small and large relocations within different departments. In sum, this means a lot to this district, and that's what makes the whole Halden environment really react now. When there is such a good and constructive cooperation, and there are premises at the fastening plant, where the school works very well, it is incomprehensible that one, as well as this time, despite the fact that the Stoltenberg Government in the Declaration of Accession says that no co-location or relocation into central areas will take place, this is precisely what is happening. That's when I have a strong desire and almost oblige the Minister of Defense to do anything to prevent this from happening.
ParlaMint-NO_2000-03-29.ana.ud585e643	No, of course, I have no problem understanding the reasons why the representative asks that question, and in my answer I have given some – at least a couple – assessments that in themselves should not give the basis to say that I am not aware of the many strengths of the Halden option, but it would be wrong if we gave the phase in all such questions now. This does not mean that the issues raised will not be raised in a strong and timely way.
ParlaMint-NO_2000-03-29.ana.ud585e651	I have the following questions for the Minister of Defence: ‘The Defence Manager has proposed to move most of the activity from the Eujemo to Oslo, which will lead to large investments. At the same time, the Swedish Defence Study 2000 is ongoing, and the Swedish Defence Policy Survey is working towards a comprehensive assessment of the entire defence, including through the long-term notification. Would it not be natural to await changes in the Army, and see everything in a context?’
ParlaMint-NO_2000-03-29.ana.ud585e660	Yes, very much speaks for it. When the Ministry of Defence received on 14 March the Chief of Defense's recommendation concerning the Army's power production, the background was as follows: One of the basic premises for the investigations in the Defence Study 2000 and in the Defence Policy Selection is that the mandates of the HM Kongen Guard should be continued independently of structure. The deployment of a continuous service can therefore in principle be seen independently of the ongoing investigations and regardless of future changes in the Army. The recommendation of the Defence Manager concerns the introduction of continuous service at the Garden and the transfer of training of auxiliary staff to other free-of-charge training units. As a consequence, the head of defence proposes the closure of the education department at the Agder Regiment on the Eujemo. Continuous service means that commands and ratings are put together in departments from the first day onwards and can start targeted training against their operational function earlier than through the implementation of an isolated recruitment training. Such service has been carried out in most other departments of the Army with positive results. However, at the centre of the decision-making basis on the continuous service of the Garden is also the future of the Eujemo and the role of the camp in the training of soldiers. The Defence Study 2000 and the Defence Policy Selection shall make recommendations on the scope and organisation of the defence. Recommendations will be key underlying factors when the Government is preparing a new long-term defence notification. Adaptation of power production in the peace structure to the demands of the war structure will have consequences for many – perhaps all – garrisons around the country. No military camp throughout the country is guaranteed to have the same content as it now has. Coordination of joint activities across the defence sectors and the Home Office, the regional and territorial organisation of the defence and the top management of the defence are among the elements to be considered in order to create a functional and cost-effective defence organisation. And I'm stressing: here it also applies to the top and not just the bottom of the system. In the context of the long-term communication, the Evjemo will be assessed within a comprehensive defence policy framework. This overall framework also includes the desire to give land defence a geographical anchor in all parts of the country. In this context, I refer to the comments of the Defence Committee on the long-term plan for the current period, which is known as: ‘But, in the opinion of the Committee, it is necessary to maintain a link for the defence of the South-West, and it is natural that the Eujemo should be maintained and maintained as a centre for such a link with that part of the country.’.» Any Minister of Defence should place considerable emphasis on this. Both the Evjemo and other military settlements have to be assessed to the seventh and final stage in the overall perspective of the representative, Mr Halvorsen, on his question.
ParlaMint-NO_2000-03-29.ana.ud585e689	I thank you for your answer. The outgoing government created uncertainty among the defence personnel and in the municipalities because of many cracking signals. I am pleased that the new government will now see things in a larger and structured context. Of course, the investigations and studies and, finally, the long-term communication will review the content of all military camps. However, I am very pleased that the Minister of Defence stresses that the defence should be geographically anchored in all parts of the country and that the Minister of Defence confirms the parliamentary and democratic naturalities that he will place considerable emphasis on the opinions of the Storting. I just want to end by asking if the Council of State believes that the suspension of the Defence Policy sample and the Defence Study 2000 will be completed by the summer.
ParlaMint-NO_2000-03-29.ana.ud585e696	Without prejudice to the fact that not all signals are filtered to the Council of State, I believe the answer to that is yes. It's a prerequisite to have a pace and an advance in this work that makes us put things in place at the investigative level, so that my basis for promoting a new long-term message for the Storting is as good as possible. It suggests that we try to keep the timetable in this work, and I trust that it will happen.
ParlaMint-NO_2000-03-29.ana.ud585e710	‘At the annual meeting of the Norway’s Lastebileier Association at the Sola on 4 March 2000, it was informed that trailers leaving the country with much more diesel on the tank than they need for their job abroad have difficulties in obtaining receipt of diesel purchased in Norway, but have to pay for a total of over 200 litres when they return. What will the Council of State do to solve this problem?’
ParlaMint-NO_2000-03-29.ana.ud585e717	Under current legislation, an export declaration is to be submitted to Customs for all goods exported from Norway. If the same goods are returned in the same condition as the goods, they are exempt from customs duties and VAT, but not excise duties. However, this assumes that the export declaration is provided as evidence that it is the same commodity that is reintroduced. Similar provisions do not exist for excise duties, e.g. the excise duty on motor diesel. If the value of the product does not exceed NOK 5000, the export declaration need not be provided if the product has already been dutyed or manufactured in this country. However, the export declaration may be provided where there is a need for evidence in the event of a subsequent re-introduction. Norway’s Lastebileier-Federal Association has expressed the wish that Norway introduce a model similar to that in force in Germany. On export from Germany, the carrier declares the number of litres of fuel on the tank to the customs service. The customs authority carries out a physical check on the tank and prints out an ‘approval note’ on the number of litres of fuel. When the carrier returns, he presents the ‘admission application’ to the German customs service. In addition to the duty-free quota, he may then introduce, free of charge, the amount of fuel contained in the ‘admission application’. In this context, the customs services carry out a physical check on the tank. The German scheme provides for a tax exemption even if the fuel used is used up outside the country's borders and the tank is filled with fuel purchased abroad. Under the Norwegian provisions, only goods which have previously been in this country can be imported free of customs duties and VAT in addition to the duty-free quota of 200 litres. An exemption in line with the German model would require an amendment to the current legislation and would result in fuel being put in a special position in relation to other goods on importation. The system will be resource-intensive for Customs and time-consuming for carriers by the presentation of export declarations and checks even when carriers leave the country. Due to the high level of fuel charges in Norway compared to, for example, Germany, regular physical checks on fuel tanks will be necessary to avoid abuse of the scheme. The system will therefore involve much more cumbersome procedures at the border than is the case today, and I therefore have per. Today, no plans are being made to propose such a system here in the country.
ParlaMint-NO_2000-03-29.ana.ud585e733	I thank the Council of State for the answer and note that there is no plan in any way to facilitate the situation of Norwegian carriers who have short assignments abroad, who are stopped at the border on the way in and have to pay for goods they have purchased in Norway. If one, as the Minister of Finance said, is to establish a control system on both sides of the border, both of imports and exports, that is to say, Customs resources are dedicated to controlling fuel instead of controlling all other goods that flow around the illegal market in Norway. However, the Minister of Finance does not see that harmonisation of the price level of diesel will facilitate the problems of the transport sector, and that today's system highly favours non-resident carriers in relation to Norwegian carriers, and that carriers coming from, for example. The West and will a short errand move to Denmark and be penalised when they come back, will have a significant problem?
ParlaMint-NO_2000-03-29.ana.ud585e740	In general, as regards the diesel tax and the framework conditions for the truck industry, I intend to return to an assessment of it in the revised national budget 2000. With regard to the specific questions about the German system raised by the representative, it is my opinion that it will carry with it so much extra administration and extra measures both by the authorities and by the industry itself, that I do so. currently does not consider it appropriate to introduce such a scheme.
ParlaMint-NO_2000-03-29.ana.ud585e747	I thank the Minister of Finance again for the answer and note that the Minister of Finance acknowledges that the Norwegian level of fees has created a problem. A majority in the UK has created a problem for the transport industry that one does not intend to solve with the first. The increased diesel charges have also caused significant problems throughout the District of Norway in terms of increased costs of public transport, with threats to bus routes in large parts of the country. Collective transport is under the responsibility of the counties, and they already have a hard enough economy. What will the Minister of Finance do to prevent the reduction of the provision of public transport services in District Norway as a result of poor impact-based charging policies undertaken in cooperation between the Workers' Party and the Central Government?
ParlaMint-NO_2000-03-29.ana.ud585e756	First, let me point out that with regard to the difference between the Norwegian level of fuel taxes and the level of taxes found in some other countries, the differences within the Stortinget — especially between the majority and the Right — are not so large that it would in itself have changed the picture so that Norway had a lower level of charges than in other countries. In this respect, I think that the distance between the proposals in the Stortinget is less than what can sometimes be seen in the public debate. With regard to the representative's questions about the evolution of the level of fees, I must first be allowed to show that the budget for 2000 has been adopted by the Stortinget, and that is the government's position. But I have notified a review of these issues in the revised national budget. With regard to the issue of public transport, there is something outside the main issue that has been raised today, and I will be shown that, of course, the Minister for Transport and the Minister for Municipal Affairs are constantly considering these kinds of questions.
ParlaMint-NO_2000-03-29.ana.ud585e768	I want to ask the Minister of Finance the following questions: ‘Only 0,12 pst. of all diesel sold in January 2000 had a sulphur content so high that an additional charge would be paid. Will the Council look at this sulphur tax, as well as generally at the diesel price, so that Norway can offer the truck industry and other diesel consumers a price that may be similar to that in our neighbouring country?’
ParlaMint-NO_2000-03-29.ana.ud585e777	It is true that a very low proportion of what was delivered to the main tankers in January was charged with a sulphur charge. The reason is that because of the sulphur tax, oil companies found it profitable to produce and supply low-sulfur diesel, and that the companies had the capacity to do so. The supply of low-sulfur diesel to the depots has increased so much faster than envisaged in the budget proposal, where a phase-in phase-in period of 2000 was calculated technically. The international market price of low-sulphurised diesel is higher than the price of other diesel and this price difference must be assumed to be reflected in the consumer price. In the case of a switch to low-sulphurised diesel, the selling price will therefore not decrease as much as the expiry of the sulphur tax might be expected. Furthermore, the price to the consumer will depend on the competition between the different distribution companies on the Norwegian market. However, there is little reason to believe that profit margins in the industry have generally increased as a result of the sulphur tax and the conversion to low-sulphur diesel. As regards the diesel tax and the framework conditions for the truck industry, I will come back with an assessment of this in the revised national budget 2000. In this context, I would also like to inform you about the phase-in of low-sulphur diesel.
ParlaMint-NO_2000-03-29.ana.ud585e786	I thank the Council of State for the answer, which was not – as I see it – any promise of a possible price reduction for diesel before in the revised national budget 2000. The 25-piece fee was introduced on 1 January to attract oil producers to produce environmental diesel with 0,005 pst. sulphur content. If you count with the VAT, the sulphur tax led to a price increase of 31 cents. Does the Council of State think it right that the transport industry should be charged a levy that does not function after the intention when this type of diesel is not available to most, precisely because of the problems of production and storage of oil companies? In Sweden, a six-year period was spent on this process.
ParlaMint-NO_2000-03-29.ana.ud585e793	Diesel with a maximum sulphur content of 0,005 pst. will be mandatory in the EU in 2005, and the purpose of the new sulphur tax was to meet EU diesel requirements at an earlier date. Diesel with a maximum of 0,005 pst. sulphur content appears to have taken over the unlabelled diesel market today. Information on the share of unlabelled diesel charged with a sulphur tax in January can confirm this. In January, a sulphur charge of about 140 000 litres was paid, while a diesel charge of 30 million litres was paid. There is some uncertainty as to how much low sulphur diesel is delivered to the main installations, because oil companies are given the opportunity to shift the payments. The market price of low-sulphurised diesel is higher than the price of other diesel, but the price difference varies over time due to changes in supply and demand for these products internationally. As long as the difference is less than the sulphur charge of 25 øre per. litre, it is profitable for oil companies to supply low sulphur diesel to the Norwegian market, and that is probably the case today.
ParlaMint-NO_2000-03-29.ana.ud585e800	Once again, I thank the Council of State for the answer. I hope and believe that the Council of State sees the seriousness of the high fuel prices Norway has, so that we can still have living districts, and that we can avoid getting an ever-increasing border trade, among other things. because of the diesel price. In my area on the Swedish side, namely Bograngen, diesel is sold for SEK 6.80 in Swedish currency, almost NOK 3 cheaper than in Norway. Does the Council of State realize that you are travelling there for, among other things, to fill up their diesel tanks, and then to trade other goods and thus increase the border trade?
ParlaMint-NO_2000-03-29.ana.ud585e807	The government has focused on the issues posed by our growing border trade, and it is obvious that fuel is among the so-called baits that can help to influence the level of border trade. So that said, it's like we have an overall economic structure that a majority in the Grand Duchy has put behind us, and that implies the level of charges set. I am prepared to review these issues in the revised budget, so that the Storting can discuss them. I would also like to stress that we do not have any information to suggest that low-sulphur diesel is not supplied to the whole country. Information from oil companies suggests that they have the capacity to supply the entire Norwegian market with unlabelled diesel of this quality. It is also difficult to see localised costs of supplying low-sulphur diesel rather than high-sulphur diesel.
ParlaMint-NO_2000-03-29.ana.ud585e819	I will ask the Minister of Finance the following questions: ‘The Member State’s food surveillance considers that our imports of Danish beef last year were 14 tonnes. These figures are based on data provided by the Directorate for Customs and Charges. The Danish meat industry has figures that they exported 55,8 tonnes of beef to Norway from January to November 1999. How can such abuses arise, the customs and control system is so random and poor, and what will the Council of State do in order to remedy the situation?’
ParlaMint-NO_2000-03-29.ana.ud585e828	According to information obtained by the Ministry of Agriculture from the State Food Authority, 15 890 kg of beef and veal have been imported from Denmark and have been declared customs in respect of Tollvesen as imports into Norway. In addition to this quantity, beef is exported from Denmark to Norwegian customs warehouses, such as: intended for sale to ships engaged on international voyages and to oil installations in the North Sea. Furthermore, the Norwegian food industry imports beef from Denmark for processing in Norway for subsequent exports. These imports are not intended for consumption in Norway and are not included in the statistics on imported beef from Denmark in 1999. Travelers from Denmark who have been outside Norway for at least 24 hours may, as they know, carry up to 3 kg of meat. This legally imported meat quota is not included in the statistical material. It is not known what the Danish meat industry is basing its figures on, but it is assumed that the total export to Norway is based on the total amount of beef exported from Denmark. This also includes meat not declared as imported into Norway but included by travellers to Norway, meat taken for sale to ships engaged on international voyages and for use in the Norwegian oil installations in the North Sea, and meat consumed for processing by the Norwegian food industry for subsequent exports. The figures from the Directorate of Customs and Fees and the figures from the Danish meat industry will therefore not coincide. The Directorate of Customs and Fees has recently addressed the Danish authorities in order to obtain, if possible, an overview of exports to Norway based on the same product numbers on which the Norwegian statistics are based. I assume that the deviations will find their explanation through the contact that is now established with the Danish authorities.
ParlaMint-NO_2000-03-29.ana.ud585e841	I thank the Council of State for the answer. It is not true that the figures with which one operates from Denmark are based on the total amount of beef exported from Denmark to Norway, among others. is the legally imported meat quota per. person not included here. Danish meat industry itself says that the figures they use only include exports to a value above NOK 6500 – export of fresh or frozen meat to human food, and exports based on export licences. In 1998, 47 tonnes of beef – 47 000 kg were imported. The drop in imports of 33 tonnes between 1998 and 1999 is at a disadvantage at a time when meat consumption is only increasing. I have to say that there are things that indicate that someone here has such bad numbers that something has to be done in this context. Both the State Food Authority and the Central Statistical Office base their figures on the figures of the Customs Directorate, and then it has to be checked and adjusted in that department.
ParlaMint-NO_2000-03-29.ana.ud585e850	It is always desirable to have the most accurate statistics, and that is also the background to the enquiry sent by the Directorate of Customs and Fees to the Danish authorities to obtain an overview of exports to Norway based on the same product numbers on which the Norwegian statistics are based. Nevertheless, I think I should stress that although the imports carried by travellers from Denmark should not have been included in the Danish statistics, it is enough that there is considerable volume in meat which is not declared as being imported into Norway but which is either used for ships on international voyages, for oil installations, or for the food industry for further export. Based on the information I have per year. Today, I find reason to believe that that's what explains the different numbers. An enquiry has been made to the Danish authorities to obtain additional material if possible.
ParlaMint-NO_2000-03-29.ana.ud585e857	I record what the Minister of Finance says, but it still remains to explain why imports have fallen by 33 tonnes from 1998 to 1999, and how to explain 40 tonnes. Ole Meland, who represents the meat industry in Denmark, says that he can hardly imagine that 3⁄4 of all their exports go to shipping and what the Minister of Finance said here. It's another serious side of this, like, among other things. Ecocrim has recorded recently. First lawyer Jørn Holme in Økokrim says: ‘Just because of the Veterinary Agreement, which we considered to be a weakening of import protection last year, Ecocrim considers it important to focus on the measures taken by the authorities to safeguard the population against undesirable bacteria from abroad.’ And he goes on to say, ‘The Code must be enforced and applied much more stringently than at present’ – this also from the point of view of Mr Folkehelsa, that there is at least a need to control imports at large. And that's what I'm dealing with here.
ParlaMint-NO_2000-03-29.ana.ud585e874	Now the representative's question to me is based on the statistics and the extent of the total introduction from Denmark. That's the background for my answer. When it comes to the control of deliveries made to ships, the deliveries made to oil installations, and the supplies on the basis of which further exports are made, there will be a different kind of question. I assume that the relevant authorities will ensure that the verification is carried out in a satisfactory manner.
ParlaMint-NO_2000-03-29.ana.ud585e884	‘It has been found in the media that several car owners have not received a claim for the payment of an annual tax for 2000. This is due to the fact that old postal numbers have been used in the Customs and Charges Directorate. Despite the fact that the non-payment is caused by a manifest error on the part of the Directorate of Customs and Fee, a reminder fee is still levied as a result of a non-payment. What will the Council of State do to ensure that no reminder fee is charged for cases where non-payment is due to the country’s own faults?’
ParlaMint-NO_2000-03-29.ana.ud585e891	After the Stortingen Tax Decision, an annual tax is payable to the State Treasury. The fee is due to be paid on 15 March and the fee that has not been paid within due time is to be increased by 250 kroner, which is then called an additional fee. When the year fee for 2000 was sent out, some claims were sent to incorrect or defective addresses. The background for this was the inadequacy of the Customs system in adapting the computer systems to new postcodes. Of the year's 2.3 million annual fee demands, approx. 53 000 claims sent with this postal number error. However, most of them were brought to the recipient. The customs authorities received approx. 2 500 claims in return, which in agreement with the post office was then distributed. Samples have not detected errors of the above extent and on this basis only a relatively limited number of owners of cars are assumed to be affected. The Ministry of Finance has been in contact with the Directorate of Customs and Fees on the matter. It is agreed that the imposition of an additional charge may be unreasonable in cases where the fault address of the Customs Authority is the reason for the late receipt of the payment form by the owner of the car and that this is the reason why the payment period has been missed. To this end, the Customs and Fee Directorate will establish a mechanism to avoid the additional charge when, in such cases, the vehicle owner pays the normal annual fee as soon as possible after the deadline. In this way I assume that the matter will be resolved in a reasonable manner.
ParlaMint-NO_2000-03-29.ana.ud585e906	I would like to thank you for your answer. The Council of State deserves credit for not only solving the big and important issues, but also taking the time to solve what can be called small things. This should never be a matter. When the State has made a mistake, it is unreasonable for individuals to be charged. I understood the Council of State that a system is now being set up in the Directorate of Customs and Fees so that we can avoid this kind of embarrassment in the future, and that this will have a general impact on the government's collection of fees when the state is responsible for delays, so that private individuals will not be charged a reminder fee. I am simply asking the Council of State to confirm that this will be of general importance and not only in this case as regards the annual tax on the car.
ParlaMint-NO_2000-03-29.ana.ud585e913	I agree with the representative that this should not have been a matter, and I am glad that we managed to resolve it very quickly. Under the Constitution it is that taxes and charges are adopted by the Stortinget, and most excise duties relate to specified goods and are collected in accordance with the so-called declaration principle, i.e. that the taxable person himself must calculate and pay the correct levy within specified time limits. In this case, it has therefore been my opinion that the reasonableness was that no additional fee was imposed in the cases where it was not the one to pay, which was itself due to the fact that the payment had not been made. That is why it has been cleared in relation to this case. As regards the general, we take with us experiences from what happened in this case, and then we will be allowed to give a more detailed explanation if necessary.
ParlaMint-NO_2000-03-29.ana.ud585e923	It should be my great pleasure to ask our new municipal and regional minister her very first question-time question as a newly-baked municipal minister. It reads as follows: ‘According to the East German post on 8 March 2000, a Norwegian resident in a housing law apartment at Tagtvedt in Larvik is denied a satellite antenna set up on his porch. As part-time employees of the Consumers' Cable Network Association, this person needs a separate satellite antenna in his involvement with the FKF. [[FCF]] At Tagtvedt, however, only people with a foreign background are allowed to have their own satellite antennas, so the Nordics are denied the same thing. This seems too many completely unreasonable. Can't this provoke racism?'
ParlaMint-NO_2000-03-29.ana.ud585e932	A housing law is a private company. The residents are joint owners of the company while having a rental right for each of their homes. The title of the building is attributed to the law of residence, including the authority to permit the entry of satellite antennas on balconies and terraces. The right of rental of residents does not permit the installation of satellite antennas on the verandas without the specific permission of the law on housing. The second paragraph of Section 5-4 of the House Rental Act therefore requires residents to apply to the board of directors of the housing law for permission to set up parabolic antennas unless such permission has been introduced by the statutes. In deciding on the application for the listing of satellite antennas, the law of residence shall not discriminate indiscriminately. This means that the law of residence may authorise the listing of such antennas to certain groups and prohibit the use of antennas by others only if justified. What is factually discriminatory must be based on a very concrete assessment. The Ministry is not aware of any case-law on discrimination in the listing of satellite antennas. A unitary who considers that he is indiscriminately discriminated against may ask the general meeting to amend the Board’s decision. If the general meeting does not want to do this, and he wants to pursue the case, he must bring an action against the law of residence. It is the courts which have to settle such disputes — the ministry does not have jurisdiction in such matters.
ParlaMint-NO_2000-03-29.ana.ud585e942	I thank you for your answer. This is therefore a matter of the fact that the municipality of Larvik has threatened a person with the expulsion of a municipal apartment if he did not remove a satellite antenna standing on a veranda floor, even though the municipality knows that this person needs this equipment to do his job for the Consumers' Cable Network Association. At the same time, all foreign-language residents in this housing block are allowed to install their own satellite antennas as much as they would like. Of course, the ears of most of the North are scrambled. Such examples arouse anger, anger and indignation, and it can provoke racism, because it is perceived as a very unfortunate discrimination that favors immigrants rather than the North. Can the Council of States say whether this discrimination in favour of immigrants we are talking about here is based on Norwegian legislation, or, as she was involved in, is in line with Norwegian case law in this area?
ParlaMint-NO_2000-03-29.ana.ud585e947	I cannot decide on the specific matter, but, as I said in my main response, it is the law of residence that must decide such things. And if there is one who feels discriminated against in a court of law, he must ask the general meeting to amend the board's decision if necessary. I have nothing more to add.
ParlaMint-NO_2000-03-29.ana.ud585e952	I notice that answer. But this matter is really about accepting or not accepting that it is okay to grant foreign cultural persons special rights that are denied to those who are originally from the country. I would like to continue by saying that giving foreign cultural people special advantages that are denied to their original inhabitants is a very unwise way of dealing with immigration and integration policies. A positive discrimination against foreign-speaking people, which is perceived as manifestly unfair by a majority of the Norwegian people, will only make this extremely difficult and demanding integration process even more unmanageable. Does not the Council of State agree that discrimination is unfortunate?
ParlaMint-NO_2000-03-29.ana.ud585e957	I can't or will not go in and direct each type of housing right in relation to the construction of satellite antennas. It's up to the housing laws to govern. As I also said in my main response, there should be good reasons for discriminating, but I have no opportunity or condition to go into the specific matter. As I also said, if there is anyone who feels discriminated against, it must be addressed with the right of residence, and then, if necessary, through the general meeting to amend the board's decision. But I would also like to say that I would warn against most things being made a matter of racism or not racism. This is a matter that needs to be addressed with the relevant housing law, and in which I as a municipal minister have no opportunity to intervene.
ParlaMint-NO_2000-03-29.ana.ud585e967	I have a question for the Minister of Health: ‘The nurses act this year for a higher salary by refusing to take temporary jobs during the holiday settlement in Norwegian hospitals. This action could lead to serious operational problems throughout the country during the summer. Can the Council of States do anything in this situation?’
ParlaMint-NO_2000-03-29.ana.ud585e976	The representative Alvheim refers to the actions of the nursing students for higher wages. As I understand it, this is primarily about an action to raise the initial salary for nurses. If such action had been organised and implemented under the auspices of a trade union, it would have violated the duty of peace and thus be illegal. That's not the case here. There are no agreements for nursing students to take temporary jobs during vacation time, and in this context the students will be considered as regular jobseekers. Thus, nursing students are formally considered to be any person seeking employment. Their action is not under the control of any trade union, and is not formally illegal. Wages and salaries of nurses, including initial salaries, are determined by negotiation between the social partners. As a specialist council, I do not want to take part in any discussion about salary claims in advance of a tariff settlement. It is right that, among other things: Norwegian hospitals are dependent on qualified extra assistance during holiday settlement. As Minister of Health, I would like to contact the Local Councils to be briefed on the operational problems that may result from the actions mentioned. I will keep myself carefully informed about the consequences of the action, and evaluate the situation from this point of view.
