ParlaMint-NO_2000-02-23.ana.ud1940e31	The called alternate of the Telemark County, Gunn Marit Helgesen, has taken the seat.
ParlaMint-NO_2000-02-23.ana.ud1940e477	Let me first say that the big message that is now being discussed for a year in the Committee in which Rudihagen sits is a big message that draws up completely new lines in many ways, even when we measure it against what kind of work is being done in this area in other countries. Now, during this week, a letter will come from me to the Committee that brings in new elements that may be necessary in an area where conditions change as quickly as they do – bringing in new issues that I think are relevant to the Committee before finishing this work, because it has been so long since. Let me stress that very many of the proposals and activities involved in this, to put in place the legal instruments around it to get safer electronic commerce and facilitate the conditions for this to take off, we are already in the process. We have our own forum working under the Ministry of Economic Affairs in the field of electronic commerce, led by an important Internet business manager from Rogaland named Rana, who is well-running, who has announced that he will shortly be presenting an action plan on how Norway will take some rapid steps to increase the activity of electronic commerce. We are among the absolutely best in the world in terms of penetration or the number of PCs and Internet connections, but we have something unsolved in putting this into use, among other things. electronic commerce and business. We're very focused on trade, and on consumers' trade, maybe. We think we're going to focus a lot more on what opportunities there are to create a lot of small businesses everywhere, because distance doesn't matter. It gives us enormous nutritional potential, which I think we should see and be able to enjoy in a long-range country like ours.
ParlaMint-NO_2000-02-23.ana.ud1940e484	My point was the drop in the number of jobs in one area and the question of incentives to replace them in other areas, which there is likely to be a need, and also to facilitate transport and logistics, so that it is possible to increase the level of electronic commerce. The state is with a owned company, Posten, which has the best distribution device that can be thought of. And the Post has been struggling for a long time with a reduction in the number of post offices and activities. Now one might think that the Post went against golden times just because of the electronic trade. And my question is: What does the Minister of Industry do to prepare the Post to meet this development, both to help create new growth in the Post – new business development there – and to facilitate an increase in e-commerce?
ParlaMint-NO_2000-02-23.ana.ud1940e491	The responsibility of the Minister of Industry here is to ensure that we have increased activity and that electronic commerce and business activities are used in all parts of the country. The potential for it is present. That's why the government is now working intensively with an overall programme on how to quickly get the broadband development that the country needs, based on the activity of the many companies involved in this and that are currently investing heavily. I am absolutely sure that the potential that lies in this area, and the explosive that we actually expect in electronic commerce and business, the closest not only to the years, but months – we have expectations of a significant increase only during the year 2000 – will provide a business opportunity that the Post will exploit. And I am sure that my good colleague, the Minister of Transport, who is responsible for the Post, will ensure that the Post is also equipped to take advantage of these opportunities.
ParlaMint-NO_2000-02-23.ana.ud1940e498	Let's move on to the next main question.
ParlaMint-NO_2000-02-23.ana.ud1940e502	I have a question for the Minister of Industry. It concerns safety on board passenger boats. After the “Sleipner” accident, it has occurred one day that a number of passenger boats sail around the Norwegian coast without adequately tested equipment. As a result, a circular has been drawn up to replace all life jackets. Can the Council of State explain what he has done, except for the life jackets, to ensure that passenger boats operating in Norwegian waters have the necessary equipment tested and tested in the conditions for which it is intended?
ParlaMint-NO_2000-02-23.ana.ud1940e509	I can assure the representative of Bastesen that maritime safety is the focus of the Ministry of Industry and the Directorate of Maritime Affairs. After such tragic accidents as what we have behind us in the near past, it is of course that this takes a lot of our time and attention. Now we need the respect both for those affected by the accident and for the company affected by the accident, that we should await the conclusion of the large commission that is at work and that will come after the summer, and not draw any preliminary conclusions in too many areas. But in some areas it has been necessary to draw some preliminary conclusions. There was also a background for the Maritime Directorate immediately after this tragic “Sleipner” accident, setting up its own work committee to look at what we need to do in the very short term in order to improve maritime safety with the experience that was then done, without prejudging the important work that is going on in the Commission. The report came on 12 January of this year with a set of different measures and recommendations for improvements to the shipping companies operating the high-speed craft. There are proposals to require existing speedboats to also comply with international regulations, i.e. IMO rules. Usually they only apply to new speedboats that are coming, but they are also valid for those speedboats that are already in operation. Then some rules have been put in place as a direct consequence of this – among other things. the existence of life jackets with lights and step straps – applicable to passenger ships in general and not only to speedboats. We have seen this as a necessary consequence, and it also meant that we chose to go beyond our commitments in the EEA to approve life jackets approved in another country. We set it aside, notified English and Italian government powers about it and have made our own rules because here we saw that there were life jackets that were not good enough – they were approved in other countries, so we had to automatically approve them in Norway under the EEA rules.
ParlaMint-NO_2000-02-23.ana.ud1940e516	I thank the Council of State for the answer. I did not attach myself very much to the accident with the "Sleipner", but I said on a general basis that there are a number of passenger boats, including ferries, that have been sailing around for many years without equipment that has been tested enough. Today, ferries have evacuation systems tested at quays in peak weather, vacated seas, with football and youth. The systems have not been tested under the conditions that may arise if a disaster occurs. My question is – I repeat: What does the Council of State intend to do to ensure that the equipment is tested so that people can feel the need for security? I want to entrust the Council of State with another thing: the Maritime Directorate is responsible for this, and it is obvious after the “Sleipner” accident – I have to pull it in again – when not even the life-rafts triggered so that people could get a chance to get on board a fleet, that things indicate that the Maritime Directorate has not done their job. So I have two questions for the Council of State. This concerns both the trust in the Maritime Directorate, which must now be weakened, and what one intends to do to get the equipment in general capable of being used and trusted.
ParlaMint-NO_2000-02-23.ana.ud1940e525	First of all, I must stress that it is difficult for me to deal with some of the claims that the representative had to make. It is the task of the Directorate-General for Maritime Affairs to assess ongoing safety conditions, and so do they – their competence is to define safety crews and the rules to be applied. And it is consistent with the safety thinking in Norway and in all other countries, both in maritime and other areas, that companies must be more responsible for having safety systems. It is no longer possible to rely solely on the responsibilities of individual people and the captain; it is necessary to ensure that the captain of ships is also put into security systems which prevent human error from being possible. This security thinking has worked very hard on the Maritime Directorate, which is why I believe that security is as well taken care of as it is possible by the authorities. As far as the Maritime Directorate is concerned, there have been very many views and a lot of publicity. I want to show that we have a commission working, and I think we should wait for it when it comes to the 'Sleipner' accident.
ParlaMint-NO_2000-02-23.ana.ud1940e532	Let's go to the last main question.
ParlaMint-NO_2000-02-23.ana.ud1940e535	I have a question for the Minister of Justice. The Labour Party takes the fight against the so-called repeat crime seriously. Often it is a gain crime committed by a limited number of persons, to the great dismay and disadvantage of the ordinary citizen. Police play an important and crucial role in stopping these activities. That's why I'm worried when the editor of the police officers' magazine is moving out and making some statements, where he among other things. says that the number of unsolved cases on criminals often makes us guess. Many of the vancriminals should have been stopped for the longest time. Often it happens that politicians, who have many unsolved cases against hyperactive addicts, are not interested in stopping the criminal activity of criminals. How do the Councils react to these opinions?
ParlaMint-NO_2000-02-23.ana.ud1940e546	I believe that he is using his right to express himself and is reporting freshly on matters on which the Justice Committee and the Council of State are fully in agreement, namely that more efficiency can be achieved by the police as a whole. Here the Justice Committee asked us quite timely – and as I said I agreed with them – to look at bottlenecks in different police districts. Talking directly about how to do the best possible job in the police department is part of the pressure that is now propagating with open speech in the main hall, etc. My impression is that Norwegian police officers can tolerate direct speech, and if they think it's unreasonable, they'll take it back. But the essence of this is, of course, that since I became Minister of Justice, I have thought that with good pay and increased wages – which have been fought in a fair manner in the police – with new methods of investigation and with a broad support in the Stortinget and opinion, there is also a right to demand what is left for this. I said earlier on questions here in the hall that there may often be questions about how inspired you are to lead. It is a theme that the Justice Committee, among other things, I commented when we raised the matter about the police directorate. So I perceive that this is going to be a debate that both the representative Rasmussen and I are interested in and agree that we need.
ParlaMint-NO_2000-02-23.ana.ud1940e555	I thank you for your answer. I'm aware that the picture is much more nuanced than what I actually expressed in the introduction, it was an opinion. And in fact, there is also a lot of good police work around the various police districts of the country. I think the example from Majorstua Police Station in Oslo is very good. There they have had a project where one, in cooperation with those affected by the type of criminal activity, has achieved a strong reduction in the number of burglaries in apartments, villas and cars. The experience now wants you to transfer to other parts of Oslo. Instead of starting new projects based on the same thing, we have experiences that are so good that they should already be deployed so that they can also be implemented in the rest of Police Norway, especially in the districts mentioned in the first question.
ParlaMint-NO_2000-02-23.ana.ud1940e562	We know that there are many good examples in Police Norway. One of them is what the representative said, on Majorstua. We can, for example: also go to Hordaland police district, which has a low crew, but a very high clearance rate. And we're going to the police chief's meeting that comes to spring, look at just the effectiveness of the criminal case chain, the pressure on the good examples. The representative knows that one of my most important arguments for getting a police directorate, and to which I got broad support in the Stortinget, is to have such an effective office management that without hesitation you take the good examples into use and make it a good work culture across the country.
ParlaMint-NO_2000-02-23.ana.ud1940e567	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2000-02-23.ana.ud1940e573	In view of the high number of questions to be answered, the President considers that she should be informed, on the basis of Section 53 of the Rules of Procedure. The last 3 terms have determined that only one supplementary question will be raised after the main question has been answered. This is considered necessary for the completion of the current map within the regulatory time of the morning meeting. There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 10 and 12 from the representatives of Reidun Gravdahl and Bjørn Hernæs, respectively, to the Minister for Defence, must be postponed to the next Question Time when the Council of State has left. Question 11, by Mr Jan Johnsen to the Minister for Defence, will be answered by the Minister for Agriculture on behalf of the Minister for Defence, who has been removed. Question 13, from Hallgeir H. Langeland to the Minister of Defence, has been withdrawn. Question 21, from the representative of Unn Aarrestad to the Minister for Church, Education and Research, will be answered by the Minister for Transport on behalf of the Minister for Church, Education and Research, who has been away. Questions 25 and 28, from the representative John I. Alvheim to the Minister of Social Affairs and Health respectively, have been withdrawn. Question 30, from the representative Steinar Bastesen to the Minister for Health, will be answered by the Minister for Social Affairs who is directing him. Questions 35 and 36, from the representatives Jan Johnsen and Per Roar Bredvold respectively to the Minister for Culture, will be answered by the Minister for Oil and Energy on behalf of the Minister for Culture, who has been removed. Questions 37 and 38, from the representatives Synnøve Konglevoll and Jan Simonsen respectively to the Minister for Fisheries, must be postponed to the next Question Time when the Council of State has left.
ParlaMint-NO_2000-02-23.ana.ud1940e601	In addition to the overview, questions 9 from Bjørn Hernæs to the Minister for Agriculture have to be deleted.
ParlaMint-NO_2000-02-23.ana.ud1940e607	‘Norwegian Hydro has planned the construction of a aluminium melting plant in Reydarfjördur, Iceland, in connection with the construction of a large hydroelectric plant in the Icelandic East, one of Europe’s largest unspoiled wilderness strips. The project has triggered broad popular protests in Iceland. Will the Council of State contribute to the initiation of an investigation into the environmental impact assessment prior to the start of the project?’
ParlaMint-NO_2000-02-23.ana.ud1940e614	As regards the hydropower plant in the Fløtdalsvirkjun in East Iceland, I have been informed that this was opened for expansion early in the 1980s, following the decision of the Icelandic Everything. Development permits were granted by the Icelandic Government in 1991. Due to the fact that a planned industrial establishment did not take place at the time, it was not appropriate to start the development at that time. In 1993, the Icelandic Environmental Impact Assessment Act was adopted. The law was not given retroactive effect. In the extension case, the Icelandic Government has argued that the extension permit granted in 1991 is not limited in time and therefore the Environmental Impact Assessment Act will not apply to this project. The developer Landsvirkjun published a report on the environmental impact of the project in autumn 1999. The question of expansion has again been addressed by the Icelandic Everything. On 22 December 1999 it was decided to continue the plans for the construction of the hydropower plant. The minority claim that the project first had to be submitted to a new environmental impact assessment under the 1993 Act was therefore rejected at the same time. It is my opinion that the issue of the expansion of this hydropower plant is an Icelandic matter. The responsibility for handling the case lies with Everything and the Icelandic authorities. Norwegian authorities deal with their decisions. Norwegian Hydro assesses participation in a projected aluminium works in East Iceland to be supplied with energy according to plans, inter alia. from the hydroelectric power plant of the River River. The aluminium mill is subject to the current Icelandic Environmental Impact Assessment Act. Hydro discloses that the company is still investigating the project and that a decision on the exposure is expected within the summer. The question of Hydro's participation in the aluminium works is a commercial matter. In line with the general principles for the management of the State's shares in Norwegian Hydro ASA to which the Stortinget has joined, it will be up to Hydro's board and administration to decide on this. I assume that Norsk Hydro, if the company decides to participate in the project in question, takes due account of the environment by respecting and complying with the environmental requirements of the Icelandic authorities at all times.
ParlaMint-NO_2000-02-23.ana.ud1940e630	I would first like to thank the Council of State for the answer. I fully agree with the Council of State that the matter is formally a matter of an Icelandic matter in which the Norwegian authorities cannot interfere. The question is more about what responsibility – perhaps we are to say moral responsibility – that lies with both Norwegian authorities and Norwegian companies in terms of foreign involvement. Should we try to deal with this matter so that it will be dealt with as we would have dealt with it ourselves if it had been a development in a Norwegian area of pristine nature? Could it not then be an idea for the Council of State to contact and request Norwegian Hydro to set aside funds for a complete environmental analysis which also includes the hydropower part of the project, as the company would have done if they had done something similar in Norway? I think it is important to find out that we are talking about an enormous area that will be affected by the expansion of hydropower. These are 14,000 km2 and 15 beautiful waterfalls, and the biodiversity of the huge river delta is very rich. And as we are well aware of the government's love for Hardangervida, I would like to ask if he does not have a certain understanding of the intense commitment in Iceland to taking care of an unspoiled area.
ParlaMint-NO_2000-02-23.ana.ud1940e639	The representative is exceptionally right that I am concerned about and happy in pristine nature. It would have been tempting to stand here and wonder what position I would have had in this as to what I understand controversial questions in Iceland, whether I had been an Icelandic and an Icelandic representative in the Icelandic Everything. I think the probability that I had stood here on the barricades and fought for pristine nature would have been very great. But I am not an Icelandic and not a representative of the Icelandic Everything. I am a Norwegian State Council that has to deal with some very clear formal rules. One of them is despite all the fact that Iceland is a sovereign state, and it is the Icelandic democratic system that makes its decisions on Iceland, and so do they on these issues. In the case of Norwegian companies, I have expectations that they will behave the way we want them to behave at home. This means, first of all, that they relate to the laws and regulations and decisions taken by the authorities of the countries to which they relate, but that they also include standards in addition to this. And I also expect Norsk Hydro to do as far as a possible aluminium project in Iceland is concerned, which has not yet been taken a stand.
ParlaMint-NO_2000-02-23.ana.ud1940e649	I will ask the Minister for Foreign Affairs the following questions: ‘The UN Humanitarian Aid Coordinator for Iraq has recently given up its protests against the sanctions. The same thing happened to his predecessors. Earlier this year, von Sponeck stated that the sanctions should be lifted and that the sanctions against Iraq are ‘a real humanitarian tragedy’. According to former U.S. Justice Minister Ramsey Clark, the war and sanctions have killed 1.5 million. Iraqis since 1990. The WHO and UNICEF also report the cruel results. Is the Government still committed to its support for the sanctions?’
ParlaMint-NO_2000-02-23.ana.ud1940e658	Saddam Hussein is a dictator who in a decade led his people into two attack wars. The Iraqi military has destroyed large agricultural areas as part of a targeted attack on its own population. Although precise figures are difficult to provide, it is estimated that 5,000 people died immediately after one of the authorities attacked cities in Northern Iraq in 1988. Since the introduction of the sanctions, Iraq has been countering all efforts by the United Nations to protect the civilian population from the effects of the coercive measures. Food and medicine were exempt from the sanctions from the first day. From the very beginning, the Iraqi government has made the work of humanitarian organisations difficult. The supply of oil for the food programme presented in 1991 could not be implemented until 1996 because Iraq did not accept the conditions imposed. Large sums have gone to military research programmes and the construction of presidential palaces. The UN's own representatives have stressed that the work on oil for the food system has not been sufficiently followed up by Iraq. Necessary products for vulnerable groups are excluded from order lists, while health-related accidents and animal diet profiles are encouraged, inter alia. for newborns. Food and medicine have been stored unnecessarily for a long time. One cannot ignore the fact that Iraq has made a significant contribution to the difficult humanitarian situation in order to exploit it as a means of exerting pressure on the international community in order to abolish the sanctions. I think it is necessary to remember these relationships. At the same time, however, I would like to stress that I share the concern about the humanitarian situation in Iraq. Despite the fact that oil for the food regime has helped to improve the situation during the period of operation, there is cause for concern about the situation of the civilian population. During the very difficult negotiations which took place in the 1999 UN Security Council, which on 17 December last led to the adoption of Security Council Resolution No. 1284, a large majority of Member States felt that oil for food was not working well enough. Furthermore, it was pointed out that Iraq had still not met the UN's demand for disarmament. Therefore, the resolution adopted continues the weapons inspections and sanctions. At the same time, significant changes have been made in oil for the food regime. A balance has been sought that contributes to improvements in humanitarian work, while allowing control of the use of the resources generated by oil sales. From the Norwegian side, we have repeatedly underlined the importance of improving the humanitarian situation in the continuing work of the United Nations with Iraq. The changes in oil for the food system are in the process of being implemented. It is my hope that they will lead to improvements in the humanitarian situation in Iraq. However, this is still dependent on the cooperation of the Iraqi authorities. From the Norwegian side, considerable humanitarian aid was given to Iraq after the Gulf War. Since then, support to Iraq has been largely maintained at a high level, and last year assistance was 33 million. kr. Among other things, we have funds allocated for the purchase of special industries, for the rehabilitation of water supply, mine clearance and food aid. We are in close contact with environments and organisations that can provide information on the situation in Iraq and on how best to assist. The Security Council has indicated that if Iraq cooperates with the new inspection body and the IAEA over a period of 120 days, it will be willing to consider a suspension and possibly subsequently lift the sanctions. It is my hope that Iraq will take advantage of this opportunity.
ParlaMint-NO_2000-02-23.ana.ud1940e681	I thank the Council of State for the answer, although I think it was a little thin in relation to a kind of fatigue strategy towards the regime in Iraq. The regime is, of course, the main problem from the west, but the disaster affects ordinary people, and that is my point. It's not just the regime that has got people around the world to say that the sanctions policy is totally unsuccessful. It's not that long since Hans von Sponeck went off and called what happened there, a human tragedy. The next day, he also received a follow-up from the head of the World Food Programme in Iraq. It has to more than just wait. So my question is whether you shouldn't be doing something more active than just waiting and waiting, because that's what the Council of State really said last time, that you're trying a little bit ahead in the Security Council, but that's not happening.
ParlaMint-NO_2000-02-23.ana.ud1940e686	Now it is the representative's privilege to ask and my duty to answer. But it is right, as the representative points out, that it is not easy to give a good answer on how to deal with Iraq and the situation there. However, I will reject the fact that we are just sitting and waiting. I think the fact that we contributed 33 million in 1999. kr, that we have been actively involved in the UN environment in New York to look at how to change the sanctions so that more humanitarian concerns are taken care of, and the fact that we have also been actively working to get political contacts through voluntary organisations into Iraq to see what can be done to support positive groups shows that we are trying to do something. But once again, we're facing a regime, something like what we have in Yugoslavia, which is not willing to cooperate with the international community, and then it's very difficult to come up with an improved situation.
ParlaMint-NO_2000-02-23.ana.ud1940e694	I have the following questions for the Minister for Foreign Affairs: ‘More Kosovar Albanians who have committed serious crimes in Norway and have been expelled are still in Norway because the Yugoslav authorities refuse to issue passports. Will the Minister of Foreign Affairs work to make an absolute claim before an assessment can be made of the lifting of the sanctions against Yugoslavia, that all Yugoslav nationals expelled from other countries are allowed to return to Yugoslavia?’
ParlaMint-NO_2000-02-23.ana.ud1940e703	The implementation of expulsion decisions for Yugoslav citizens of Kosovo has been difficult for a number of years. Very few travel back voluntarily, and many do not have travel documents. It has not been possible for several years to be issued travel documents for expelled Yugoslav nationals of Kosovo from the Yugoslav Embassy in Oslo. The Norwegian authorities launched negotiations with the Yugoslav authorities in 1996 on a bilateral agreement to withdraw their own citizens. Due to the increased tension in Kosovo, it was never appropriate to sign the negotiated return agreement. The Yugoslav authorities have not been requested to issue travel documents for deportees in the period following the initiation of air operations against Yugoslavia by NATO in March 1999. Return agreements with other countries were also suspended from Yugoslavia after the start of the air campaign. Our actions against the Federal Republic of Yugoslavia are part of a common Euroatlantic policy against the Milosevic regime. The aim of the measures is to maintain an international pressure against the regime to encourage democratisation and respect for human rights and respect for international obligations. They are not intended as sanctions against the Serbian civilian population in general. Norwegian sanctions policies have traditionally been limited to the implementation of binding decisions by the UN Security Council, thus representing one of the few exceptions. The measures were implemented as part of a common international pressure against the Milosevic regime and form part of a comprehensive package of criminal measures in accordance with measures adopted by the EU and the United States. Penalties constitute a multilateral rather than a bilateral instrument. There are also several countries that refuse to receive expelled citizens from Norway. However, this is not part of the justification for the criminal measures against Yugoslavia. The measures against the Milosevic regime are designed to contribute to democratisation and a regime shift in the long term. This means that, in consultation with our allies, we will adapt the measures to changing political circumstances in Yugoslavia. A democratic regime in Belgrade will be the best condition for us to be able to cooperate gradually with the Yugoslav authorities, among others. on the return of Yugoslav citizens expelled from Norway. I would also like to point out that, in reply to questions later today, the Minister of Justice will explain further the foreign policy situation in this respect.
ParlaMint-NO_2000-02-23.ana.ud1940e721	I will ask the Minister for Finance the following questions: ‘A person in Hurum has been granted a concession for the acquisition of agricultural property of 14 tenants with a compulsory residence and employment obligation. Due to the necessary investments, operations in the first two years have experienced a significant deficit. The Eligibility Office does not accept the operation as an industry and will not deduct deficits in industry. Does the Council of State consider it reasonable that the tax assessment does not focus on a public imposition on agriculturally sound operations?’.»
ParlaMint-NO_2000-02-23.ana.ud1940e730	Under the Tax Act, it is a condition for deducting deficits that operations can be defined as industry or activity. This implies the exercise of an activity for the account of the taxpayer and the risk of a certain amount and duration. Furthermore, it is a condition that the activity must be objectively suitable for making a profit — if not the year of the equation, so in any case in the longer term. In determining whether the above-mentioned conditions of deduction have been met, the equality authorities must make a concrete assessment of the activities actually carried out. Public requirements that are met will be included in this assessment. The suitability of an activity to generate real profits must be assessed in the light of a few years of operation. Equation practices have suggested that the start-up of agricultural holdings can normally be assessed over a period of four to five years. Only after such a period of time can it normally be reasonably ascertained whether or not the operation is capable of carrying out a profit. The specific matter would not be appropriate for me to go into. In the case of an EQU or County Tax Office, it is possible to examine cases of disagreement between the taxpayer and the EQU.
ParlaMint-NO_2000-02-23.ana.ud1940e743	I thank you for your answer. I have a comment on the part that goes for a period of four to five years, because in this specific case it is decided after two years. Otherwise, the answer was something that was expected. It is difficult for ordinary people to understand that there is no coherence in what public authorities do. Or to quote it: ‘It’s hard to understand that the right hand doesn’t know what the left hand is doing. They have, after all, the same employer. I would therefore like to ask the Minister of Finance to confirm the following: when the Equation Office refuses to accept the operation of this small use as an industry, future revenues from the same operation will also be tax-free.
ParlaMint-NO_2000-02-23.ana.ud1940e754	Of course, I can't give you any confirmation. It'll be a interference in the specific case. Because, as I said at the end of my first answer, I do not see it appropriate to interfere with the specific matter. But I explained what demands are being made, and what is normal practice in assessing whether this is industry, and whether you can go with profit or not. So the normal thing is to evaluate this over a four-five-year period. So from this point of view, the taxpayer should consider whether it is appropriate to complain, because there is a right to apply to decisions at the Equation Office.
ParlaMint-NO_2000-02-23.ana.ud1940e762	I will ask the Minister for Finance the following questions: ‘In the context of the development of new rules on the use of simplified presentation in less serious cases of the illegal importation of alcohol, the rate for smuggling 1 litre of spirits is now $300, but if one smuggles a box of beer, the fine is $1900. Both cases correspond approximately to the same tax avoidance. The Council of State agrees that these rates are unreasonable, as both cases of illegal imports amount to approximately 50 %. the same fee exemption?’
ParlaMint-NO_2000-02-23.ana.ud1940e771	The provisions on simplified presentation in the case of minor cases of illegal imports which entered into force on 1 December 1999 replaced a corresponding regulation of 1983. In the previous regulation alcoholic beverages were divided into spirits and wine respectively. The illegal importation of beer was covered by the provision of ‘other goods’, which resulted in relatively low fines both in relation to the tax evasion and in relation to the fines for the other types of alcoholic beverages. Combined with low purchase prices abroad, the reaction was disproportionately mild when beer was imported illegally. In the new regulation on simplified presentation, the fines have been adjusted in line with the price increase. The rates were not adjusted for any changes in the level of fees charged by the different product groups. Alcoholic beverages are further classified according to their alcoholic strength. This means that beer is now included in the group of alcoholic beverages with an alcoholic strength by volume of 2,5 to 22 % vol. In the context of the adoption of the Regulation, it was assessed to create a separate product group for beer with greater differences in quantities between the ranges than that resulting from the current division. However, this would result in an unintended discrimination between beer and other low-alcohol alcoholic beverages, such as alcohol. pages. I agree that treating beer equally with strong and weak wine triggers a relatively high fine rate in relation to the tax evasion. At the same time as this new regulation was adopted, I therefore asked the Customs and Tax Directorate to prepare proposals for a further breakdown based on alcoholic strength. I have now received the amendment from the directorate. The Ministry of Finance will, at the hearing, submit a proposal to amend product groups and fines by, inter alia, illegal importation of alcoholic beverages.
ParlaMint-NO_2000-02-23.ana.ud1940e782	I thank the Council of State for the answer, and I look forward to seeing the new regulations on the simplified submissions. Because it's pretty strange that you can bring with you four liters of spirits for the same price, the same rate of fine as one box of beer. I also thought the government parties were concerned that the weak drinks of alcohol are less harmful than the strong drinks of alcohol, such as alcohol. spirits. At least I'm looking forward to the new rates coming, because there's a lot of unfairness in terms of the rates available. In this connection, I wonder whether the Council of State can give an approximate indication of when this will come into force?
ParlaMint-NO_2000-02-23.ana.ud1940e787	It is clear from the end of my first answer that I agree that there is an unfair discrimination in beer and other alcoholic beverages, with which we have to do something. As I have now received a proposal from the Customs and Charges Directorate for a different breakdown, a further breakdown, this will be sent to the hearing as soon as possible. Then it's a normal deadline for consultation. I cannot specify the exact date for when the new regulations will be laid down, but I would expect that during the spring session at least we could have come relatively far with that matter.
ParlaMint-NO_2000-02-23.ana.ud1940e795	I will be allowed to ask the following questions to the Minister for Finance: ‘26. A regulation on the simplified calculation of customs duties and charges for luggage was amended on August 1998 to provide for a significant increase in these charges in the case of alcohol and tobacco. The fees for cigarettes increased from NOK 140 to NOK 380 per year. Carton. One litre of spirits increased from NOK 260 to NOK 340. How have these increases in fees been applied in relation to the country’s revenue in this area and has the scheme resulted in fewer persons being exposed in attempts to bring something in excess of the free quota?’»
ParlaMint-NO_2000-02-23.ana.ud1940e804	Goods carried by travellers to Norway in addition to the duty-free quota shall be initially tolled in the usual manner. However, for smaller quantities of alcoholic beverages, tobacco products and chocolate and sugar products, a simplified system of charging has been established. The scheme is intended to facilitate the customs clearance procedure for travellers and Customs. The rates are set out in the regulation on the simplified treatment of customs duties and charges for luggage. When the scheme was introduced in 1951, it was a prerequisite that the level of the rates should correspond approximately to the levy imposed on similar goods when purchased in Norway. The scheme is not intended to confer a tax advantage on travellers in excess of what results from the duty-free quota. When the regulation was amended in 1998, the rates had not been adjusted since 1990. In addition to the general increase in prices, there had been a relatively large increase in fees in Norway for these product types during the period. Therefore, the rates had been considerably lower than that of domestic purchases, and on this basis they were adjusted in line with the intention of the scheme. The rate change was not implemented to increase revenue to the treasury or to reduce illegal imports of these types of goods. I do not have available statistics on the number of people who use the simplified treatment of customs duties and charges for luggage.
ParlaMint-NO_2000-02-23.ana.ud1940e815	I thank the Council of State for the answer, but I wonder if the Council of State says that there are no statistics. It may not be a big problem to look at the income side in recent years whether there has been a trend in customs clearance of these goods. I just have to say that I wonder when the Council of State claims it, because that statistic must be able to read the accounts. I also ask questions about the price you have to pay. Let's have a bottle of beer on which you have a certain fee in Norway. But if you take this from abroad, you have to pay 11 per cent. bottle, i.e. per unit 0.35 litres, according to the rates applicable. I believe at least that the new prices have resulted in increased smuggling and that the revenue of the state has been significantly reduced. I hope the Council of State will go further into these figures and that we can confirm it at a later stage.
ParlaMint-NO_2000-02-23.ana.ud1940e822	As I said in my first answer, I do not have available statistics on the number of people who use the access to simplified treatment of customs duties and charges for luggage. But otherwise, I hope that the questioner and I can agree that there is no point in having very much lower taxes on such goods introduced beyond the tax-free quota, because it is not intended to give incentives to take large amounts of alcohol across borders. In my opinion, it is a reasonable arrangement, which was also the intention when this scheme was introduced in 1951, that the fees should be equivalent to those payable on ordinary domestic purchases. I believe that the fees set in 1998 are on average around 90 pst. of what is the level of the tax on domestic sales, if I do not remember completely wrong.
ParlaMint-NO_2000-02-23.ana.ud1940e830	I have the following questions for the Minister of Finance: ‘As from 20 February 2000, the system of blank heating oil shall cease to be used for heating purposes. The previous legislation meant restrictions on the quantity that individual customers could purchase. If it is found by post-control that the limit has been exceeded, an auto-diesel charge shall be calculated on the whole delivery. This is charged to the oil company in question, which then invoices the distributor. Will back-testing be completed at the same time as the scheme of blank fuel oil?’»
ParlaMint-NO_2000-02-23.ana.ud1940e839	Initially, I refer to my answer to the question from the representative Bastesen in the Questionnaire on the same topic on 26 January 2000. In the case of mineral oil for the propulsion of motor vehicles, an auto-diesel charge shall be payable. Oil chargeable for car diesel shall be blank. Exemptions from the levy are made when labelled oil is used. The branded low-cost oil may include: used for firing. The labelling system was introduced in October 1993. After some time it turned out that the selected brand names caused problems for the particular Norwegian kerosene ovens. On this basis, the Ministry allowed exemptions from oil used in paraffin ovens to be implemented in a way other than by labelling. This was implemented in the form of a temporary arrangement allowing the use of unlabelled oil in kerosene burners. One of the conditions for the permit was that the delivery of unlabelled oil would only be for tanks with a maximum tank content of 1 400 litres. The labelling substances have now changed and the arrangements for the supply of blank oil for use in paraffin ovens have ceased. This also means that there are no restrictions on the quantity of oil that can be delivered to the customer and that it is therefore not appropriate to re-calculate the charge on this basis. However, I show that the brand oil is subject to a CO2 and sulphur duty and a base charge on fuel oil etc. Against this background, the charging authorities will continue to need to carry out checks on the taxable persons in order to ensure that proper charging and payment has been made. Therefore, the verification of the taxable persons on a more general basis will not be possible even if the special scheme for kerosene burners has been repealed.
