ParlaMint-NO_2010-05-11.ana.ud2574e104	The representative, Frank Bakke Jensen, will put forward two proposals for representatives.
ParlaMint-NO_2010-05-11.ana.ud2574e1000	It was the post of the representative Røbekk Nørve from the Right that made me take the word. So if I understood the representative correctly, she says it doesn't matter where these emissions come from, whether they're in Norway or in other countries. Therefore, build gas power plants. It's a possible position. It is quite fair to have that position, but it is not possible for one to have signed an agreement here on the Stortinget with all the parties, with the exception of the Progress Party, on climate settlements, where a set target on emissions cut in Norway – Norwegian cut. Here, too, the government, which many people have been in, has been criticized by its representatives for being too ambitious. I'm quite surprised that a party like Right, with a story that at least a consistent and serious party, now in more and more cases comes and has at least two points of view, in this hall, within the same party. Here one has to make some choices, and then I think they have to clarify – now there are two Right-Representatives after me on the list of speakers – the following: Are the Right still in favour of the climate agreement? If so, how would a gas power plant balance its plans to build in central Norway? Is it within the transport area? Is it within the industry? Where does the Right intend to enter the extra emission in which area? So this debate has gone into an old track, that one is more busy discussing what has been going on than what we're going to do in the future. I found that the opposition has not responded to the challenges of making concrete action. One has come up with a measure, and it's a gas power plant. Then the representative made a last attempt in his post with another action, the maximum progress on the Ørskog-Fardal line. I agree with that is an important measure, and the Council of State has told him to hold it. I had hoped that this debate would be a debate on several measures we could take on the energy side to resolve the challenging situation that we have.
ParlaMint-NO_2010-05-11.ana.ud2574e1009	I have recorded, both yesterday and today, that red-green politicians are concerned about Right and that we should have different positions on different issues. I think we're following a consistent line. When they are also concerned about Right's ascension, with the background of a great national meeting, and that the Council of State, Solheim and SV, as well as the Central Party, get worried about a great debate like yesterday, we can only promise that there will be much more here. It is also interesting to see the right-wing representative Valen when he talks about who came on the track when it stormed the most around impure gas power plants in central Norway. Yes, there were red-green politicians who filled the newspapers in More and Romesdal, in Trøndelag County demanding the start-up of the mobile gas power plants. They were the ones who got tough. It is also worth noting that the representatives who were not in the Chamber when they were going to deal with the proposals were just red-green politicians from central Norway. It's very regrettable. It is pointed out that the Right has not placed any solutions on the table. That's what I think is completely wrong. I said in my post that I wanted to increase local production, small power and other local production. We need better guidelines that allow us to produce more power. We need much faster case management, for example: The municipalities can take over much of the case-handling of small power plants, and we need a new network policy that allows us to get a more gentle development of the network. I myself live in an area that could have been affected by the expansion of the Ørskog-Fardal line, and I have known on my body the strong turmoil that it means to my community, to my inhabitants and to my people. I work a lot with those things when I was a spokesperson in my municipality. That's why you have to respect the people who fight against these forces because they see that they want to destroy their environment, destroy a lot of the life base that is. I think one should respect it. So I keep listening to the representative Erling Sande commenting on my attitude to the Ørskog-Fardal line. I was in an election campaign where red-green politicians repeated once and for all that if Ørskog-Fardal line comes, it's going to get away from people. We had a round with the minister not long ago where we were talking about Naustdal, an area where people really get dizzy, because they get a 420 kV power line right in jail. My question to the representative Sande is: What does the representative Sande do with Naustdal? How will he influence the situation so that the Minister makes a reasonable assessment of the air voltage planned by Naustdal, when both the county and the municipalities say they do not want it? What would the representative Sande do when it concerns Naustdal?
ParlaMint-NO_2010-05-11.ana.ud2574e1024	The President will in no way intervene in the debate, but just point out that there has been a relatively long evening meeting today.
ParlaMint-NO_2010-05-11.ana.ud2574e1027	I asked for the word after the post that the representative Snorre Valen held, where he goes high on the track and criticises Right to lack ambitions in climate policy, to criticise the Mongstad process and to change rhetoric from day to day – to repeat what Snorre Valen said. If we start with the first, the accusation of lack of ambition in climate policy, I can assure the representative Valen that the Right has great ambitions in climate policy. We are more questioning about what is the ambitions of the Socialist Left Party and the government in climate policy. Climate change was just presented. The government’s response to these 160 measures to reduce greenhouse gas emissions in a number of sectors is to postpone a one-year climate action plan. What ambitions, what momentum, what level of activity is the government and the Valen's own party behind climate policy? Even projects that would reduce climate change emissions and are socio-economically profitable have not been clearly implemented by this government. We know that for every day that goes, the measures we have to take are more expensive for business, for the individual consumer and for society, precisely because we are waiting for what we agree on in the future. So the representative Serigstad Valen criticises our criticism of the process around Mongstad. Yes, we criticize this process. The government itself has gone high with its promises of full clean-up in Mongstad and has had to go back on these promises in terms of the technological and industrial challenges that lie there. The right has not been against the idea that we should bet on cleaning in Mongstad, but it is the government – and the council of state from the same party as the representative Serigstad Valen – that sits with the key in terms of day-to-day management and contact with the stakeholders. The fact that we criticize the process does not mean that we do not support the ambitions to develop cleaning technologies that can be commercialised and used elsewhere. The right does not in any way change the rhetoric from day to day. We are concerned about climate, and we are also concerned about security of supply. We see that gas and gas power plants can contribute here, but we also want to develop the technology that makes it possible to clean the gas power plants in the long term. I can reassure the representative Erling Sande that the Right is of course behind the climate agreement we have concluded, and we are prepared to participate and contribute constructively in terms of where the cuts will come. We are calling for – and have called for – the government's initiative to take discussions on how to take these cuts.
ParlaMint-NO_2010-05-11.ana.ud2574e1043	This debate is about drawing up an action plan to prevent such a supply crisis in the power supply to Trøndelag and Møre and Romsdal as we have experienced this year. We want a plan, not a listing in a debate on what has been done – because it is absolutely impossible to put together in a plan. If this is to be implemented, the plan must contain targets – defined targets. The objective is to provide a secure power supply to Middle Norway. There must then be defined objectives, deadlines and targets for each year — and normally costs incurred. It seems that government is as immune to action plans as it is to private initiatives. It is clear that in connection with safe power supply to Middle Norway there are many difficult decisions that need to be made, but you cannot skip it. In order to move forward, this needs to be implemented. The foreground part acknowledges that gas power plants in the area had been the best. And we find it hard to understand that a gas power plant in Central Norway is not as useful as what Statkraft is building in Germany – it's quite ok, the state owns Statkraft, but there's no reason why we should have any intervention from the owners. The whole core, the whole point is to come up with a plan, which was promised in 2006, but which is not available today. You hear about many good things that have been done – and that is certainly right, also many difficult things – but if we get a plan together, we can assess whether it is good. Politicians are unable to make the plan, but the professional bodies that the government can use have to make the plan. Then we'll discuss it and see if it's good enough to ensure that we avoid a situation with high power prices and partly poor access to power to Middle Norway, as this year.
ParlaMint-NO_2010-05-11.ana.ud2574e1050	As a northern crowd, I find it very frustrating to listen to the debate that is taking place here in the Chamber. When SV says to solve this crisis by doing something about the power consumption of the cabin people in the region, you haven't really understood what it's about. We have a business life in Trøndelag that now over several years – in fact over a decade – has said that this is going the wrong way. If you don't do something right away, you're going to have a significant reduction in capacity, because it's going to be too expensive. We've seen the results of this, and we see that in the newspapers in the middle of Norway day in and day out. So there should be no surprise for anyone that large industrial companies are now faltering and have major problems keeping the workforce in operation. Pulling it to that point that it is the power consumption of the cabin people and the saving of ordinary households that will solve this problem, I am very provoked to hear. Because that's not the reality; then you haven't understood what it's about. So the Labour Party in the debate says that action is a priority. Yeah, but why don't you do anything? This year, from a north-eastern point of view, statements from the Workers' Party in the Nord-Trøndelag, at annual meetings, in county meetings, etc., that something has to be done, now you have control, and only you send people to the Stortinget, you really have to sort this out. But nothing will be done. The rapporteur in Levanger, Robert Svarva from the Workers' Party, said to the county council meeting in the Nord-Trøndelag in March, after Jens Stoltenberg's speech, that they could just as well send the cats to the neighbor of the Stortinget. Understood: you don't do any of the world's things. It becomes very frustrating, especially for the rapporteur in Levanger, who has a large industrial activity in his municipality, Norwegian Forest. Norwegian Forest is very clear that it is now just before you have to close, if you can't get any long-term framework conditions that are good enough. So what do the government and the majority of the population do? Well, you say you should act, but nothing is done. Then the Center Party and Sande show that you didn't do much under the previous government either. It saw the bulk of the population in the previous period and referred to the Bondevik II government. Then it was legitimate enough to claim it, but to continue to claim it in this period, I almost think it's ridiculous. I hope that you can come from word to action, and that something is done about the situation that we experience in Central Norway every single day, which means that ordinary households have to pay giant electric bills, and that the industry suffers from what the majority of people don't.
ParlaMint-NO_2010-05-11.ana.ud2574e1059	The representative, Sande, called for proposals for measures by the undersigned outside the construction of gas power plants. I can refer to what I said: ‘We say yes to more renewable energy by building more small-scale power plants, and modernisation and careful development of existing older power plants, which can provide more renewable energy. And we now expect the link between Ørskog and Fardal, with demands for cables in the most vulnerable areas, to be launched as soon as possible.’ Unfortunately, I did not want to point out that yesterday we met with farmers and landowners, who were seriously affected by the government's lifting break in the case of green certificates and small power plants. Most people are struggling today with red numbers and a risk of bankruptcy. They are asking for help from the Right, and they refer to our plans for green certificates, which were in the process of negotiating with Sweden when our government went off in 2005, so we are talking about renewable energy as hydropower. And I wonder, why did the Senter party fail in this simple matter?
ParlaMint-NO_2010-05-11.ana.ud2574e1069	It was the representative Sande who made me speak, because he again called for action in the action plan that we believe the government should implement. I did not just say ‘maximum progress’ in the work with Ørskog-Fardal. I said that the Minister of Oil and Energy should actually set a deadline, so that people in central Norway know what they have to deal with – a time limit that is reasonable for proper treatment, but that puts pressure on the parties and gives people in central Norway a guarantee that we actually get a decision here. In my post I also pointed out the area prices. In fact, it is possible to establish a principle that area prices should correct for normal variations in the supply of power in different parts of the country, but should not be used as a special requirement in a part of the country if we have a particularly difficult situation over time, which is clearly due to the failure of the authorities. It is not right that Statnett should print the bill to consumers if it is Statnett that is responsible – or political authorities for that part. That principal pipe could have fixed the oil and energy minister a long time ago, thus giving people in central Norway a much greater security compared to the uncertainty they face in the years to come. Then we have also pointed to energy efficiency improvement, renewable energy, etc. which may have been implemented, but the paradox in this debate is that we have come so far that many of the new measures that could have been implemented, for example. of new power build-up, will not be completed until Ørskog-Fardal is clear. It is precisely the gnawing of the red-green government that has made us stand here today in a situation where it is too late to implement some of the measures that should have been implemented. Finally, I would also like to remind you that the debate we now have on Middle Norway, perhaps also an opportunity to raise our eyes and discuss: are there any weaknesses in the energy policy that have made us stand here and discuss such a situation? Because we don't just have a Middle Norway situation. The energy authorities say that we have ahead of us a potentially strenuous situation in Hordaland. Last spring we discussed the expansion of the Goliath field, where the government and the red-green majority were unable to say that we could supply Goliath with renewable energy in eleven years. It could not be established with certainty, because Statnett had to calculate whether it was socially profitable to build this power supply. So we have a Finnland situation, which creates greenhouse gas emissions, we have an uncertainty about Hordaland, we have an uncertainty in Middle Norway. Perhaps it is just time to lift energy policy and say that we need more political governance of energy policy? We need energy and climate plans that show that we keep the climate commitments without gas power plants with emissions, and we provide each part of the country safely from a 10-20-30 year perspective. It is the management of energy policy.
ParlaMint-NO_2010-05-11.ana.ud2574e1082	I would recommend the representative, Mr Schervø, to join in the debate and bring with him what is being said before he speaks in such strong order as he did. I have not signed and SV who have made any reports about the power consumption in cabins. It is the Norwegian Industry that has done, it is the NHO that has done, it is the business world – that is, the Friends of the Advance Party in Business, who Schirvø himself mentioned in his article – that has run out himself. It should be clear to Schjervø before he makes any comments to greet the home state in this debate. Then I think the Right's lack of humility is quite perceptive. It may be the Storting and an overall environmental movement that has followed very poorly, but I have at least not got along with what great measures the Right did for the climate the four years they crashed the country, before the red-greens took over. How important is the climate for the Right when party leader Erna Solberg threatens to get away from some points in the climate agreement? The representative now guarantees Meling that the right is at the climate agreement. If that is true – and I really hope it does – how will Right then explain its eagerness to build more gas power plants in Norway without CO2 cleaning, for which it is actively addressed in the comments on the matter here? So where are we going to do greater emissions than that? If the climate agreement is very important to the Right, it would be thought that the Right had a clear relation to these questions before the more polluting gas power was set up. How can the Right explain the diametrically opposite positions and the position of the gas power displayed by the Party – in the debate during the supply crisis in winter, and in the last week’s Question Time, as it was suddenly important to put in place gas power purification as soon as possible for the sake of the climate, and in dealing with this matter, where, on the contrary, full CO2 management is referred to as ‘a strange requirement’ in highly negatively charged formulations? It's not related, and it can't talk right away by driving polemics towards an SV in government that's done many, many, many times more for the environment, and that's got more impact for the climate than the Right has ever done in government.
ParlaMint-NO_2010-05-11.ana.ud2574e1097	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fooding, see page 3356]]
ParlaMint-NO_2010-05-11.ana.ud2574e1113	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-05-11.ana.ud2574e1122	This matter was debated less than a year ago in this Chamber, and the law on which it is concerned was adopted. The regulatory work of this law is in progress. The law has not yet begun to work. It remains to be seen how the law will work. The situation of the power-processing industry is important to our country. Power-processing industries are usually located in places where there is little other industry, we're talking about one-sided industrial sites. These are enterprises that are cornerstones of the communities where they are located. Enterprises provide jobs, create lives in these parts of the country and also generate export income for our country. For those living in these areas, it is incredibly important that businesses live their lives, that they are employment. If these enterprises go beyond the end, the whole community would like to end up. That is why the red-green government has done a lot, put a lot of work into action to resolve the power situation of this industry, in the EEA Regulation. We have come up with a guarantee scheme for long-term power contracts. We have provided for the establishment of a consortium for the purchase of power. We have increased access to power in the market. We've supported energy recovery, and we've got a rental scheme for power plants. What we see and hear now from the industry is not primarily a requirement for access to power. What we see is a huge demand failure for industrial products all over the country. The crisis is developing, and there are dramatic times in the international economy. Competitive industry is definitely at risk. What is important then is that a comprehensive and sustainable economic policy is pursued. This is the most important thing for our industry today, whether it's a powerful industry, or it's another industry. The majority government we have today is delivering in this area. We're on our way back to the 4 p.m. track, after spending considerable money on reversing the crisis in the first place. Now it's important that we get the economy on the rails, in order to support good, competitive framework conditions for the industry. The rental arrangement is a matter of course. It's not a big deal, but it's one thing. The Workers' Party's position is that a 30-year lease term will be better than a 15-year lease term. We're not hiding that. It is clear that, on our side, we will follow closely how the 15-year rental scheme – now adopted and rolled out in these days – will develop. But I think it is important that we do not exaggerate the importance of this rental system for the power situation in industry. If you are a family of children and you need a lot of milk, you make sure you get in touch with a store that has milk in the store at any time. You don't go renting a cow to get milk. That's the same thing with the force. Industry will primarily ensure a good framework for purchasing power. There are other framework conditions that are more important. It is the total economy and the quota ego that we have in relation to the industry that is important. So from the Labour Party we are not going to take a rematch on rental time for power plants today in this room. We bow to the consensus of the government in this field. We do not want to jeopardize the government's good and comprehensive policy on such a matter as this. If we get a change in the lease term, it will only become a topic – if it turns out to be necessary – after we have had experience with the adopted regime. Such a process will be carried out within the framework of the good cooperation we have with SV and the Central Party in government today. The majority's position on this matter is therefore that the proposal is not accepted. There is a setting to which the Working Party agrees entirely.
ParlaMint-NO_2010-05-11.ana.ud2574e1137	The treatment of Document 8:90 S for 2009-2010 is very important in an industrial policy setting. The proposal to ask Stortinget to change the rental period of power plants from 15 to 30 years may have considerable consequences for District Norway, if it is downgraded. When the hydropower in the last century was converted into electricity, it resulted in several power-generating plants in Utkant-Norway. The majority of enterprises are now world leaders in their fields. The power-processing industry is the second largest export industry in the country and employs more than 25 000 people. It is often the dominant corner stone farm in its local area. Employees have more knowledge of their products than competitors, and they mean a great deal to the employment of those parts of the country where the industry is located. The Norwegian power-processing industry produces the cleanest products in the world. Renewable hydropower means that the energy used by this industry is emission-free. An example of this industry is the production of aluminium. Chinese works emit more than three times as much CO2 as Norwegian works emit for the same production. Aluminium is a product that needs a lot of energy in the transformation from raw material to finished product. Demand for aluminium products is high in all parts of the world. Of all aluminium production since 1900, approx. 75 pst. still in use. The product does not corrode and only needs approx. 5 pst. energy for re-melting. The challenge for the power-processing industry is foreseeable costs of power and emissions. This is the industry itself that gives feedback. In the past, many industrial enterprises owned their own power plants. This has more or less disappeared as a result of the rule of withdrawal. Renting power stations with a time limit of 15 years has little or no interest in the industry. Owners of the power-generating industry are willing to invest and develop the industry in Norway, given that the level of competition is similar to that of their competitors. Companies can rent power plants from the public, but only for 15 years. This is too short a period for owners to invest in new installations or upgrade existing ones. Most power-processing enterprises have long-term contracts that expire between 2010 and 2020. In order to prevent businesses either being brought down or moving to countries with lower electricity prices and less environmental taxes, so-called carbon leakage, it is necessary, inter alia, to: the rental capacity of power plants is increased from 15 to 30 years. The representative proposal to increase the rental period from 15 to 30 years will be voted down by the government parties, despite the fact that the Labour Party’s Grand Election Programme for the period 2009–2013 states: ‘The working party will further develop the world-leading activities in competence, working environment, innovation, climate and energy-efficient production. We want to ensure that power-intensive industry is provided with adequate power, predictable and competitive power prices and the possibility of long-term contracts. We will work for the industry to have leased power plants for up to 30 years." When the members of the government coalition are still moving towards an increase in the renting period for power plants from 15 to 30 years, it is appropriate to ask how far has been made by the current date to extend the rental period. In Trønder-Avisa of 10 May 2010, it says: ‘Shall Norwegian Forest avoid shut-down on Forests, the State must put in place a State guarantee scheme for industrial power before the end of the year.’ The situation of several companies from the power-processing industry is precarious. If these holdings are to remain in Norway, the long-term conditions for energy supply must be clarified. In the first instance, an extended rental period for power plants from 15 to 30 years would be the industry required to prevent decommissioning and/or relocation. Carbon leakage is something that should be prevented. The government, which states that they want the power-processing industry to stay in Norway, should soon extend the rental period of power plants from 15 to 30 years. Finally, I address the joint proposal from the Advancement Party, the Right and the Christian People's Party.
ParlaMint-NO_2010-05-11.ana.ud2574e1168	The representative Henning Skumsvoll has taken up the proposal he referred to.
ParlaMint-NO_2010-05-11.ana.ud2574e1171	There is a reason why Norway’s second largest export industry, measured in value, is the process industry or power-processing industry. It is, as we know, built on the basis of an area in which Norway has and has had a comparative advantage, namely access to energy, and that this energy has had competitive pricing. Some industrial enterprises have owned the power generation themselves and thus controlled larger parts of their own value chain. This has meant development and jobs in many communities around Norway, and this industry has contributed through generations to the development of competences and incomes of society. The right is concerned that this industry should develop further in Norway, and we want to facilitate this precisely through this proposal from an overall opposition. Energy costs represent a relatively large proportion of the cost picture of power-generating industries and by being able to extend the rental period of power stations from 15 to 30 years, it will be both more interesting and, not least, more predictable for operators. We recently witnessed that a major actor, Hydro, bought up in a mining company to secure the raw material used in their own production. It's a pretty descriptive picture that Hydro has now secured raw material for 100 years of production, but has only secured energy a few years in advance within the regime we have in Norway. This is a result of government policy, and it is with amazement I note that, among other things. The working party as the largest of the government parties is not more concerned with further development and securing Norwegian jobs. It is as the representative Henriksen and the rapporteur said that an industrial enterprise is going to end, that the community is often also going to end because these enterprises often represent corner stone holdings. The same applies to the Centre Party, when we know that these industrial workplaces are mainly located in District Norway. Facilitation of growth in this industry is also good district policy. I remember the election campaign in 2005, where the issue of the industrial power regime was an important issue, and how, in particular, the representatives of the Workers' Party were aware that such a regime was going to come into place. Now such a regime did not come into effect precisely because it was contrary to our international agreements, but in connection with the previous election campaign – in 2009 – there was a promise of guarantee schemes. But even this scheme is not yet in place. As the representative of Skumsvoll correctly referred to, it was said yesterday in Trønder-Avisa that Norwegian Forest is threatening to shut down parts of its activity if these guarantee schemes do not come into place within a short period of time. It says something about the importance of the energy component to the power-generating industry. The working party has even programmed that they will work to extend the contractual period for rental of hydroelectric power plants from 15 to 30 years. The current policy is in conflict with the Labour Party programme for this process of enlargement, and I hope that this fact is perceived by the voters around in many communities where this type of industry is located. I also hope that the trade union movement remembers this fact. Finally, it seems that the Workers' Party is somewhat influenced by having government cooperation with the Center Party on the example of the representative Henriksen used, that you need milk, so you don't have to buy a whole cow, you can just buy the milk. I would say that I think this is a somewhat superficial approach to an important issue for the power-processing industry in Norway. The seriousness suggests actions as monks, and I would encourage the Workers' Party to be involved in and support its own programme and support the proposal that is now in place.
ParlaMint-NO_2010-05-11.ana.ud2574e1188	It was tempting to get involved in the debate on milk and cows. In any case, it's like having a milk supply is cow. Then you're going to have an operation with it at the bottom. Norway is an unlikely resourced country. We have natural resources that give us large amounts of clean and renewable energy, and we are one of the very, very few countries in Europe that are closest to self-sufficient in renewable electricity. There are large social interests attached to Norwegian hydropower. Together with petroleum and fish, hydropower is one of our most important natural resources. The hydropower is an eternal resource, which will also be enjoyed by future generations, and the hydropower is very important for both power supply, infrastructure, value creation and well-being in our country. That's exactly why it was a very, very important matter for the Center Party to secure the Homefall Institute. The great hydroelectric power plant is heirloom, and we own it together. It is then important to ensure national control of values through local and national public ownership. The scattered public ownership of the water force is a value in itself. The municipal eight power stations are important social actors who favour both competence, capital and jobs in the regions. It was a rather challenging task for the government to create a model that ensures public control of the water force in the future. Several different considerations had to be balanced. First of all, we need to ensure that the water resources are managed for the best for eelment. The system must be balanced between the needs of the power-processing industry in Norway and the requirements we are faced with in the EEA Agreement. The centre party may be aware of its opposition to the EU and the EEA, but we have no choice but to try to create the best possible solutions for Norwegian social interests and for Norwegian industry within the framework of which Norway is part. I have to say, when I hear the opposition, I start to wonder if one has forgotten the back of the case itself. The reason why the case was reopened in Stortinget was that the obligations and obligations of the EEA Agreement, an agreement for which the opposition wanted to see. It may not be so strange that the party like the Advance Party and the Right, which initially desired to open up to privatisation and the hall of the hydroelectric power plant, desired such a development. More surprising was the Christian People's Party and the Left's hold that time. Access to clean and renewable energy is one of the Norwegian industry’s major competitive advantages, and we use the power to create silicon, solar panels and aluminium, which makes cars easier. In this way, Norwegian hydropower and Norwegian industry are environmentally friendly in several senses of the word. We must ensure that the Norwegian power-processing industry has good access to power at an affordable price, without undermining the system of returnees, and secure Norwegian hydroelectric power stations in the community's hands. We believe that the current system balances when it concerns public ownership on the one hand and the industry on the other, while at the same time ensuring exactly what I call measured, with public control. At the same time, both private and public companies may enter into leases on equal terms. The centre party would stress that the government is working along several lines to ensure Norwegian industry's long-term and good access to power. Industrial consortium and guarantee scheme are listed here. There are tracks to follow. At the same time, the production of more energy is entirely central to ensuring the availability of power to industry. This is a question that we have discussed before today, but it is obvious that the production of new renewable energy will also be with and secure the industry power at an affordable price, and not least good access to power, which is the provision for production. I know that through Enova, industry can have access to investment measures that improve the use of energy within an industrial production. Not only does it provide better results on the bottom line for the first time, it also provides long-term and viable solutions that are with it and guarantee industry even more competitiveness in the long term. The consolidation model also states that industry can have ownership in power up to one third and thus provide a basis for its own industrial production in the event of access to power.
ParlaMint-NO_2010-05-11.ana.ud2574e1211	Last spring, the government put forward a proposal for amendments to the Industrial Concession Act. The legislative proposal included: to permit the rental of hydropower production under detailed conditions. The majority followed up the government’s proposal and adopted a new provision in the Industrial concession law on rental and the use of the operator. It provides access for owners of developed concessionary water rights to lease power plants and associated installations. Such agreements may be concluded for periods of up to and including 15 years. The law of the Grand Duchy will enter into force as soon as the necessary regulations have been drawn up. This was also announced in the proposal. A draft regulation on renting and use of the operator has been at the hearing in winter, and the Ministry is currently working on evaluating consultation and finalising the proposal for a regulation. I'm adding that the rule can be put in place before summer. The question of how long private and public operators can rent hydropower plants was one of the issues addressed in detail at Stortinget last year. The renting proposal was debated here in the Chamber on 9 June 2009. So it's less than a year ago. I shall not dwell too much on what I said in that debate, less than a year ago, but some matters are particularly important and deserve a brief repetition. The principle of public ownership of natural resources is firmly anchored both in Soria Moria I and in Soria Moria II. From a historical perspective, it was a milestone that, in the autumn of 2008, the Stortinget legalised the principle that its hydropower resources belong to and are to be managed for the benefit of the public. This principle is ensured by an ownership structure based on public ownership at state, county and municipal level. As pointed out by the rapporteur of the Committee on Energy and the Environment, Tore Nordtun, last year, the proposition to rent out was a finalisation of the government's proposal for legislation on public ownership of hydropower resources. As I pointed out in that debate, rules on the rental of hydropower production provided for the enforcement of the consolidation model of public ownership of hydropower resources, adopted by the Stortinget in the autumn of 2008. I cannot see that there is any new argument in the proposal for a representative that is now under consideration. Good framework conditions for the industry are something the government is working hard for. Extending the rental period to 30 years has been proposed several times and from several teams as a possible measure, but there are also other considerations that need to be taken into account. Good rental opportunities need to be adapted to the basic principle of public ownership. Within the framework of the EEA Agreement, I have always stressed that there must be a balance between ensuring the owner's position on the one hand and, on the other hand, that the agreements must be long-term enough to be commercially interesting. I meant one year ago – and I still believe – that a 15-year rental scheme is fully compatible with the EEA Agreement. The rental arrangement is consistent with the consolidation model and contributes to the safeguarding and strengthening of public ownership, by ensuring that the owner has all the legal liability of the concession. There are uniform rules for all lessors and tenants. There have not been any new circumstances that suggest that the Storting should go back on the balances that were made last year. It's important that we now respect these balances, so that we get some peace around the arrangement. The Ministry follows up the Renting Act through the work of regulations on the rental and use of an operator. This regulation will clarify the guidance contained in the legal text and the legal acts. Among other things, it is more specific what is rented out, requirements for the owner, requirements for the lessee and requirements for the person in charge of the operation. The length of contracts that can be concluded is also regulated and the rules on the approval of such agreements that must be clarified in order for the rental rules to function as intended are part of the same.
ParlaMint-NO_2010-05-11.ana.ud2574e1232	It's going to be line change.
ParlaMint-NO_2010-05-11.ana.ud2574e1235	Even I have 15 years of experience in the powerful industry, and I know that the planning phase and expansion take a long time. That's why it's hard to understand that the government is keeping so tight in these 15 years. Public ownership does not change at all if the limit is extended from 15 to 30 years. The industry says it's too short a time, so everything speaks for the government in its process has really been wrong, and that you should change. When the Workers' Party in its 2009–2013 Grand Election Programme says that the party will work to increase the rental period from 15 to 30 years, is the question: Is this something that only the Workers' Party is working on, or is it also looking at the State Council and his Department in the same matter? If that is the case, can we expect an answer as to whether it is one or the other? When you're working towards a goal, it's good to know when you get there.
ParlaMint-NO_2010-05-11.ana.ud2574e1242	My answer to the question is the same as I said in my post. I am now committed to consolidating the consolidation model and ensuring that the regulations come into place – and that this is implemented in line with the Storting decision last year. I'm not working on any alternatives to that.
ParlaMint-NO_2010-05-11.ana.ud2574e1248	The State Council said in its statement that the 15-year lease was compatible with the EEA Agreement, but I would assume that the 30-year lease period could also be compatible with the EEA Agreement. What is my concern is that while the grass grows, the cow dies – to continue a bit in the terminology of the representative Per Rune Henriksen. The guarantee system that has been notified should come, which is not yet in place, and which Norwegian Forest now asks for and says must come within a short time, if they do not see need to reduce their activity, emphasizes the seriousness of the energy component for the power-generating industry. My question to the Council of State is whether he can say anything about when we can expect this guarantee scheme to be offered to the operators, as promised.
ParlaMint-NO_2010-05-11.ana.ud2574e1257	Firstly, it is interesting to note that last year, in addition to other measures, the measure taken by the government to ensure that the said guarantee scheme was perceived to be a good and interesting measure by the industry, cf. the example set by the representative Meling here. The government is busy getting this in place, but there are some legal clarifications that need to be made. There is still some remaining work like this. With regard to the details of this, progress plans, etc., the representative must almost take it with the Minister of Economic Affairs and Trade, who is in charge of the matter and the further progress of it.
ParlaMint-NO_2010-05-11.ana.ud2574e1264	Governments give the impression that industry seems to be an interesting scenario to get rental power plants for 15 years. The point is that before this legislative change, the industry could rent a lot, much longer. This is an example where the municipality of Vattenfall and the municipality of Nordland have merged into a project for 55 years, which means that Vattenfall takes a lot of the investment, but where Nordland remains as owner after 55 years. That could not have happened with today's law. What came out clearly when the Stortinget had the case at the hearing last year was that the industry thought this was an interesting measure for foreign investors, it was not an interesting scenario for Norwegian industrialists. Then my question is, with the experience you have after the government has been working on this for a year, what does the industry think about whether this is interesting? Are there any indications that some Norwegian industrial companies will consider using the rental scheme as it is now available?
