ParlaMint-NO_2010-06-03.ana.ud2616e53	Mr Solvik-Olsen will make a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e442	I would like to thank the Council of State for the answer and would like to stress the importance of the Ministry of Knowledge addressing the challenges posed by the Interaction Reform for Health Education. I am pleased that the Council of State here is calling for her to come back to the Storting with important actions that, as a whole, can constitute a targeted health education policy, in line with future skills needs. Governments are entitled to maintain that the statistical projections regarding the need for health professionals are not unambiguous. There are many variables that can influence the relationship between the demand for healthcare and the number of health workers we can offer at any time. But as the Council of State also said, all the statistics point to the fact that we're about about. 20 years will have a significantly greater need for labour in the sector than we have today, not least in the case of health professionals, and that group we need to be able to train decentralized. It will be the best way to fulfil the main idea of the Interaction Reform, that a greater proportion of healthcare needs to be provided in municipalities, as close as possible to where people live. Then I am pleased that the Council of State focuses on research and development in the field of health, and that cross-ministerial cooperation has been established for a multi-annual commitment to research-based and needs-driven innovation. It is also reassuring to hear that health research is the field that has had the greatest growth in its most recent years. I have no doubt that the Council of State has a very important point when she stresses that we need to work smarter and more efficiently than what is being done today. Most people must agree that the use of modern technologies in the health sector is not good enough. Rather, it is probably the way to look for other areas of society in this field. I think there is a lot to pick up on both the use of technologies to support and facilitate practical work in the health and care sector and the use of ICT as the usual communication tool. It could revolutionize the relationship between patients and treatment and open up different levels, institutions and businesses to talk in a much better way than you do today – partly because we have a law that does not allow it today, and partly because we have not received a sufficiently wide, comprehensive commitment to communication technology and competence. However, in 2008 the government presented a national strategy for electronic interaction in the health sector. It's a plan that will give us good tools to just work smart within all levels of health care.
ParlaMint-NO_2010-06-03.ana.ud2616e457	I think the interpellant's third division, or the three dimensions she mentioned, is a very fruitful approach to the matter we're talking about, namely that there's some geographic relationship here. There is a relationship in terms of the content of the subject — how to train in the future — and there is a relationship between levels. I would also like to stress that although we agree that the Agency's forecasts tell us that it is only in some years that we will have a more acute need for nurses, it is important to keep awareness there, to hold those we have, and not risk that there will be a downward trend in such matters as: applying to the profession of nurse. We have good experience today that the universities are good at decentralised education. There are many good examples of that in many parts of the country, and that means you get access to students, candidates, who want to live where they live, who are not of the youngest, but who also become very faithful in their field when they are fully educated. I think that's what we need to strengthen. I want to mention it in particular. I would also like to mention that with the transfer of responsibility for the vocational school to the county municipality, we have a good opportunity – even at the level represented by the county council, with both adult education and secondary education – to see the health profession as a whole, so that it is not influenced by the fact that someone does it alone and does not know what the others are doing, but that you see the context of health and social education and what begins in higher education – I fully agree with the interpellant that it is important to prevent apostasy and to get them to complete – and that the county municipalities can see this in the context of what they are doing in both adult education and, not least, the vocational schools. Then I want to highlight the process in which our universities and colleges today are involved, which we call SAK, that is cooperation, division of labour and professional concentration. In order to increase the competence and quality of health education, it is incredibly important to be able to achieve both the point and the width – that is, both the specialisation, which may have to be done in universities or at least in higher education, and the breadth, which is the broad range of education that mainly takes place in higher education. Something is also going on at the technical school, but, above all, health education is taking place at the higher education institutions. The need for cooperation reform is the need for competence in the first line, close to the municipalities. There we have an important challenge now when we are going to discuss the content of these subjects in the future. We need point, we need width, and we need this to happen all over the country, but it has to be in a qualitatively good way.
ParlaMint-NO_2010-06-03.ana.ud2616e470	I believe that the interpellant Tove Karoline Knutsen is quite right in saying that the availability of enough health professionals with the right knowledge is one of the major challenges that this room needs to address, if Norway is also going to be a whole front line in welfare services in the future. In the Labour Party, we, as everyone knows, have high expectations on behalf of the people, also in this area. This is not a new phenomenon, but is a historical recognition that is therefore well anchored in government. When I start like this, it's not because we're sad at the back, or that it looks very dark – on the contrary. For example, in the last two years the number of places of study in nursing school increases by 800. I am sure that the increase in youth that we know will be coming in the future will also benefit the health sector more. In this context, I will arrest the opposition, from Stortinget's spokesman, for over time having conducted a systematic and recurring black measurement of the Norwegian health care system. Every day, we can hear about the extent to which the disease has fallen due in hospitals and in the health sector. I want to say it so that it's not very dressy for the upcoming populace who have taken the goal of getting into government position. It's beyond that, tearing crazy, and it's not least unfair to all the skilled professionals who every day do a great job for sick and nursing people. The only thing that the opposition achieves with this is to talk down on our health care system. For my part, I will take the time to point out all the good work that is being done daily, and how we can do this even better when the needs actually change. That being said, I would like to stress that yes, there are challenges in health care, and we are going to definitely seize them. So to the interpellant's main point about what will be the right strategy to develop enough personnel with the right knowledge. In the near future, it seems that it is not the biggest challenge, but if we look at the issue in a 15–20 year perspective, the challenge is so definitely there. The used number of 95 000-135000 new annual work in the health sector can initially demonstrate that one can challenge the private sector to their needs for new labour. It shall, as you know, contribute to a value creation that will replace and fill a vulnerable oil-related economy. This need of over 100,000 annual works is stipulated to be 44 pst. of all the free labour force at that time. This sounds alarming, but in my view it must be seen in the context of expected and necessary innovation and technological development in both the private and public sectors. Our industry will have to use new technologies instead of labour for many reasons, which can then be replaced or put into public welfare production to a greater extent. In the health field, there has been a lot and more will be done in the future. The cooperation reforms will intensify this need. The health sector will need many and new types of professionals. Therefore, in the future, all health outcomes need to be seen more closely. In the same way that teacher education has gained its degree, health education also needs to be fully reviewed and more adapted to future needs, as interpellant, Tove Karoline Knutsen, quite rightly pointed out. It is therefore good that the State Council of Aasland signals from the pulpit that she will take a closer look at this. It seems that nursing education is on track in the near future, but it will be a challenge to get laid in the country where people live. Unfortunately, there is not always a priority number in the newly created leagues. It's for some reason more important to be a specialist in a large central hospital. This phenomenon described the interpellant in an excellent way earlier in its article. It will therefore be a political challenge to be happy with a good geographical spread of special medical services. I'm very comfortable with the Council's approach to the challenge. A full review and renewal of health and social challenges are needed. It is therefore exciting to see what exactly Hagen selection concludes with in its setting, which will come about. One year.
ParlaMint-NO_2010-06-03.ana.ud2616e496	It is an important topic that the interpellant addresses, although I still have major problems in seeing that the Storting has adopted an interpellant reform, because what characterises a reform is that it takes place in peaceful forms, unlike a revolution, which takes place by means of power. The opposition, as we know, agreed on 42 points, on which we wanted to negotiate with the government parties, but we were clearly rejected and were told that power came to power. Another feature of a reform is that it is usually a change for the better. Now it was very little concrete that came out of Storting's treatment, and an essential element that funding was lifted out of Stortinget and into a State Secretary's Committee. History has well shown us that it almost means putting a case to death. So if we're facing a change for the better, only the future will show. That is why I have also noticed that many of the government parties' representatives are no longer talking about the cooperation reform, but about the interaction message. It's a little sad that we haven't come any more, because St.meld. No 47 for 2008-2009 in an excellent way outlines the major challenges we face. The important thing now is to have the means to meet today’s and tomorrow’s challenges of providing patients and healthcare users with proper treatment in the right place at the right time. Today we have 260 000 in the health queue, we have 5 000 drug users in queue, we need 18 000 sick homes, and we have a maintenance lag of 80 billion kroner in the health sector. We know that tomorrow will bring us far older with several different complex diagnoses, an increase in lifestyle-related disorders and an increasing demand and expectation in the people in terms of the quality and extent of health services. We have a very fragmented health system, divided into three levels of administration. We have a youth of laws and regulations that even legal experts can work with, and that leads to serious problems for health professionals in fulfilling their obligation to provide guidance to users. We have unclear lines of responsibility and a complex funding system, with many actors who are all doing their utmost to avoid having to cover the costs of the treatment they professionally consider the patient needs. In yesterday's Question Time, the municipal minister repeated what is often said: that we are living longer and longer, and we should be happy for that. It's true that life is increasing. It goes several years before death comes to us, but it comes to us all eventually. But at the same time, it means that a lot more of us will live for many more years, with many complex and different sufferings. This means that many more of us for years will be dependent on receiving treatment, relief, care and care. That means that many more of us for even more years will be dependent on help from others. Are we, then, sure that we can say that we should be happy for that? The interpellant points to building skills as an important tool to meet the challenges facing the health system in the future. I believe that both capacity, continuity and competence are essential. For this reason, the Progress Party has written down page by page with proposals and comments on the need for education, adult training, continuing training, specialisation, transfer of competences, etc., with a view to shifting responsibility for large and important tasks from one level of administration to another. We are talking about multidisciplinaryity, cooperation and interaction. That's a lot of nice words, but we can't forget what's the starting point, the patient. How are we going to set up our health education courses in the future? Can we learn something from what we've done in the past? Can we learn something from others? The progress party has repeatedly called for more hospice places to be put in place, without being heard. I think we should look more at the hospice philosophy itself. It has an approach to the whole human being. I wish that was the basis for future health education. Unfortunately, we see that increased specialisation, whether driven on the basis of professional development or as part of a wage struggle, has led to a fragmented approach to the patient. At the same time, we see a reduction in nursing care and disease teaching when we look at professional development from help nurses to health professionals. The profession rests on three pillars: it is to be treated, relieved and comforted. If you ask someone today who's in the care business, how many people would point to the doctor? It is also my opinion that the traineeship service, which was previously mandatory before taking up a health education, was a positive element that prevented later non-response. Today, according to Sykepleien, there are more endings than starting. It is also important to facilitate the widespread use of training practices. It is in contact with the patient under skillful guidance that a health worker can learn to observe and develop a clinical look. Possibilities for continuing training must be provided. In this area, the vocational schools should have played an important role as a real alternative to universities and colleges. But the lack of vocational education funding and the grip of regional reform was a step in the wrong direction. On the other hand, I am of the opinion that when anesthesia, childhood, intensive, surgical and cancer care training went from job finance to a higher education responsibility, it was a right step. We need too much and competent personnel in the future. In the 1970s, we established nursing homes without defining tasks, quality and content. I still think we are struggling with the aftermath with the entire 30 pst. unskilled and extensive use of part-time. The complex care to be performed is not durable. So finally, a personal heart attack in these paydays after 30 years in the health care system. When you're born as a man and it says on your payroll that you've got a female supplement, it does something about your self-esteem, and one actually wonders if it was right to choose untraditionally. We have to remember that we need health workers of all genders and that good professional environments in themselves are recruiting. Only when you know where you want to go is it possible to get there. That's what the government's challenge is.
ParlaMint-NO_2010-06-03.ana.ud2616e522	For the Right, training of skilled personnel is an investment in the welfare of the future. We have therefore gone to increase the appropriations for education and research by about 1 billion. kr, so that we can ensure that we have professionals in the future as well. At the same time, this will provide a necessary boost to the quality of the supply to users. The main groups of health care professionals are nurses and health professionals, and it is also within these groups that the deficit on staff will be greatest. The Health Directorate's estimates show that in 20 years' time there will be a shortage of 13 000 nurses. These numbers assume that there are as many people trained as today. For the medical market, the calculations refer to an approximate balance, provided that no substantial changes are made to the division of tasks. If each doctor is to serve fewer patients, there will be a deficit here as well. There are now about two primary applicants behind each nurse's study place, so the educational capacity needs to be increased by 20 pst. to achieve an approximate balance of the labour market for nurses. This corresponds to 800 new places of study. It is also important to ensure a sufficient number of places of practice, where both municipalities and health businesses can do a better job. Not only should we be concerned with quantity, but we need to put an equal amount of emphasis on quality. We know that lack of resources means that the period of practice does not provide students with adequate guidance and training in line with educational requirements. The nurses’ own student union has addressed this, and the right has asked the government to ensure that the period of practice gives students the skills they require during their education. Despite the fact that municipal health and care services are facing increasingly challenging tasks, the share of unskilled in the 30 pst sector is increasing. These are employees who make a formidable effort, but are charged with too much responsibility to cover up the shortage of professionals. This challenge is reinforced by the need for municipalities to take greater responsibility for health and care services in the future, in line with the objectives of the Cooperation Reform. Regrettably, the government parties will not support the objective of skilled staff in the care and care sectors. Instead, they measure health and care outcomes through quantitative measures on the number of employees. Several employees are necessary but not sufficient to ensure good services today and in the future. We need more skilled professionals to provide good services to users with complex needs. However, if the community health service is to become an attractive job for health professionals, there must also be a wider professional environment and better opportunities for professional development. There are many good measures in the 2015 care plan, but they are too small and powerless. It does not hold to show that there is a teaching home and teaching home service in all counties, or that 5 million is granted. SEK for research on dementia, which affects about 70 000 people. The right will invest more in the development of skills for employees, so that they are equipped to take greater responsibility and at the same time experience the job as a professional stimulant. In line with the objective of strengthening municipal health and care services, a greater share of the funds for research and professional development should be made available to employees in this sector. This will contribute to increased knowledge and a more professionally attractive job, thus increasing the quality of supply. The right has proposed significantly increased appropriations for quality and competence measures in our alternative budgets, and we have prioritised funds to strengthen the provision of educational home and teaching care. In addition, we have identified the need for a specific focus on skills in rehabilitation and care at the end of life. Many continuing training projects provide good results for the competence and quality of services of employees. About 1 600 people carried out continuing training at post-secondary or post-secondary level in 2008. We believe that this offer needs to be further strengthened, in particular given that employees in the municipality will in the future provide patients with complex needs with a better offer. The evaluation of the ongoing training project in Hordaland points out that there is a lack of systems to ensure that competence is put into use in municipalities. Politicians must take greater responsibility for this, including: by requiring quality, not just quantity and economic governance of services. It is also important – as the Council of State was in it – to ensure that specialised schools can maintain a decentralised, flexible and professionally varied range of services. In the end, the representative of Bremer accuses the opposition of black paint. In fact, patients, relatives, professionals and the State Health Inspectorate point to shortcomings in the competence of the health sector, but in particular the health and care sector. It takes up the opposition – as opposed to the representative Bremer.
ParlaMint-NO_2010-06-03.ana.ud2616e558	How to train adequate and proper health professionals in the future will be one of the really major challenges for the next 15–20 years. After the Storting has addressed the Interaction Reform and with it a long-term course in health policy, priority for early action, priority for prevention, it is clear that it is essential to meet the future challenges in the health sector that we are able to train enough health professionals and to train the right personnel in the future. The interpellant stressed in its article that we will need between 95 000 and 135000 new annual works by 2030. Today's educational capacity will last for the next ten years, and then it will be blown up. I fully agree with the Council of State that we must take advantage of the opportunity offered by increased youth unemployment in the coming years. We have to increase the capacity of education before it has been ten years. We have to do it in the next few years, and it's very positive that, among other things. the capacity to train nurses has increased. There will be a major shortage in the future. We also need to focus on training properly, so that we get health professionals to what we need and where we need them. One example is the training of doctors. We're going to have a big need for doctors in primary health care – lawyers and municipal doctors. However, in the last ten years, the highest rate of growth in medical facilities has come to specialist health services, in hospitals. The number of medical assistants in specialist health services increased by 1,140, to 11 000 in the period 2002–2007. At the same time, it increased only by 250, to 4000 for the same period of municipal health service. That illustrates the challenge. This means that medical training needs to be geared more closely to the needs of local health services than it is today. There I think the example of medical training at the University of Tromsø is good, where they are now adding to an education where students are more active in the community health service – where they are going to work in the future – during the course of education. The same is true of the new dental training in North Norway, in Tromsø. The county has developed dental clinics that are specifically designed to accommodate students, where both students and educational staff in education practice outside, near the patients, where they will work in the future. In addition to this giving us good doctors and dentists, we also get health professionals who are motivated to work in the community health service, motivated to work in the districts. I have mentioned medical training in particular, but this applies to all disciplines. My conclusion, therefore, is that the cooperation reform also requires a reform of health skills if we are to succeed in the objectives. Whether it means a new skills reform or an additional reform to the one we already have, I'm not going to answer, but it's that dimension of education. The health sector, the education sector and, in addition, the local authority sector must engage in binding cooperation, both with regard to the device of the various vocational training courses and with regard to capacity. That is why I believe that a natural conclusion must be that Stortinget has this as its own case for treatment. It is a challenge and dimension of the challenge that is really about how to secure the welfare state in the future. In the first place, we might need our own big message.
ParlaMint-NO_2010-06-03.ana.ud2616e579	The representative Knutsen is raising an important debate. That's what she's supposed to be for. As the interpellant describes in his intervention, the health sector and the welfare state face major challenges in the future. We live longer, and so we stay fresher, but it's still so that at some point we like to be marked by the tooth of time. At the same time, we have challenges related to our lifestyle among the somewhat younger garden, which leads to prevention becoming a more important theme. The interaction reform is one of the answers to how we intend to meet these challenges in the future, but the cooperation reform at the same time creates a need for change and skills requirements. The challenges facing the welfare state will therefore have a major impact on education and training aimed at the health sector. It is therefore necessary to address the key aspects of education and, in particular, the interaction between research and practice. In its contributions to the debate on the Reform of Cooperation, the Centre addressed precisely the need to train more health professionals. When you look at the health care interview for the next academic year, you see a slight decrease, while the previous year showed an increase. This means that there is a continuing need to motivate more people to these disciplines in order to meet the needs of health workers, as the interpellant refers to. I think it's important that we also take into account that it's not just those who are looking for education right after going on, which it's important to recruit in this way. Health professionals also appeal to adults who either want to formalise their skills after working as unskilled in the sector for many years or who want to change their pasturage. It is then important that education is available in the vicinity of the place where they live, so that higher education can be combined with care and part-time work. The interaction reform gives us challenges, but it also gives us opportunities. For the Centre Party, competence is an important element for the implementation of the Cooperation Reform according to its intentions. There are a number of people who need training, follow-up and treatment near where they live. It requires knowledge. Technology also offers new opportunities within the health sector. There are therefore exciting opportunities in various educational institutions offering both health and technical subjects. How to make it safer for an individual user, for example, by using technology. you stay home longer, while having direct contact with health professionals in an even better way than today. That colleges, such as The University of Gjøvik, seeing their potential for future cross-disciplinary education, is just a response to the Aasland State Council's suggestion that we need to work smarter and more efficiently than today, and we need to develop new technologies and drive innovation. A strategy for the training of future health professionals is a good measure. The central party looks forward to the follow-up of the government. Recruitment is important both for basic and continuing training. The same will also be true for research and innovation. As part of the debate on recruitment and strategy for a number of health professionals, I will shortly be taking part in the debate on ‘counter-power’, which the leader of the Centre Party has brought forward this winter. The debate has aroused resentment in some layers at the centre of Oslo, but counterpower is not just about being against Oslo – to the greatest extent not about being against Oslo – but about our country becoming stronger by sharing power, competence and innovation. A health professional competence strategy provides opportunities for the development of competences, innovation and research across the country to institutions that are necessarily not in Oslo but are at Gjøvik, in Tromsø, in Bergen or other places.
ParlaMint-NO_2010-06-03.ana.ud2616e607	I would first like to thank the interpellant for raising this important debate. I agree with the inter-pellant that more prevention in health education is important, and that we need more within the different groups, both health professionals – who were also in the Council of State – and not least in higher education and special education, which will be my emphasis today. Diakonhememets Hochskole and Lovisenberg diakonale hojskole have received 68 applications for approx. 30 places on masters in health care for the elderly. It's very pleasing numbers when we know the demographic challenges that await us in the future. This shows that many health professionals want to work with the elderly. It also shows that they want to have an even stronger professional competence as health professionals. We have to take advantage of that. Therefore, I wish that the schools had had more capacity and opportunity to receive even more qualified students. Also, in further education in palliation, or in relieving treatment for the dying, Lovisenberg diaconice has a very good search. The Christian People's Party believes that the offer of life support to dying people needs to be strengthened. This applies both in hospitals and in municipal health and care services. Competence in relieving treatment needs to be strengthened in all types of departments where people die — including in home and nursing homes. In the past, the Christian People's Party has promoted a proposal for its own life-help plan. Traditionally, many relief treatments are associated with cancer, but all patient groups must be offered life support in the final phase of life. With demographic developments, we will, among other things, more and more older people who will need it. Unfortunately, continuing training in palliation is not a master's degree today. Lovisenberg diaconal college has a desire to offer this education as a master, but unfortunately there are small resources to develop a master's programme. I believe that the Council of State should look at the possibilities of securing resources for this kind of development work, and hope so, because that is important. Private universities have a high level of competence and, not least, a willingness to invest in this. Regardless of whether a school is private or public, it provides a unique opportunity for government authorities to take advantage of. Master’s degree also stimulates development and research, later doctoral thesis, leadership development, evaluation and documentation. It involves a strong empowerment on which the health sector will depend in the future. At a time when resources are scarce, requirements for good management and efficient working methods and strategies will be central. I would very much like to hear the Council of State's assessment of such a development. Then I would like to comment on the post of the representative of Tor Bremer. I think maybe he's not here anymore, but I do it anyway, because I got quite upset about it. He started his post by going straight into the throat of the opposition and saying that we black paint the health sector. Then he goes on and talks about health professionals. I fully agree with the representative of Bremer that health professionals are doing a fantastic job. No party in the opposition has ever criticized health professionals for doing a bad job. They're doing a fantastic job. So do all the users. We have a lot of good health in Norway, but we also have major challenges. In some areas, we almost go backwards into the future, and I will explain it: I see myself as an ombudswoman for different individuals and user organisations in this country. This week I have met two user organisations. One of them was Mental Health, which has a great deal of concern in these days after the graduation plan has been completed, the earring has been removed, and we see that municipalities and specialist health services spend less and less money on mental health. This is a big concern for our users. The other area I want to mention is muscle and skeletal disorders. Haugesund Sanitätsforenings Revmatismosykhehus let down his physical institute including his therapy pool this week, i.e. a few days ago. More than 1,000 patients are affected. It's a lot of despair. They say they're going to get sick, they're going to get unpensioned. This is because the state has withdrawn from the economic cooperation with the municipality of Haugesund – a cooperation that is fully in line with the interaction communication. Bjarne Håkon Hanssen said when he was visiting there on December 1, 2008, that this is great, that's exactly how we're going to feel in the new interaction reform. The change in the funding mechanism for physiotherapists in some outpatient clinics has resulted in or will be discontinued. I don't understand. This is going backwards into the future.
ParlaMint-NO_2010-06-03.ana.ud2616e629	It is an important topic that the representative has raised here. Although the representative of Bremer prefers not to talk about the challenges that Norway has and will also have in the future not only in the care sector, but in the health sector as a whole, that is actually the reality. Today, we have an unnecessary number of people in line for the necessary health care, with the extension of the suffering that this entails. Much of this is actually due to the government's aversion to using private healthcare providers. I'd recommend those who just want to talk about all the positive, to talk to and listen to those who are in the health queue. I would also like to point out that the Advance Party does not criticise the health professionals at all, on the contrary, we want to boast of them! The interpellant pointed to the importance of getting well-trained and well-trained healthcare workers into the care sector. Although the Minister says that there has been dialogue with the Minister for Health, the government parties have so far shown little interaction with the needs of the Cooperation Reform in order to increase the number and funding of educational places in the field of health. Most municipalities in the country, responsible for health and social education, report that they have little opportunity to increase the number of students in 2011 in relation to today’s pupils, within the financial framework given. Still having to increase the number of pupils in classes without funding for more teachers could impair the content and quality of education. In order for the Interaction Reform to work, a comprehensive policy must also be pursued in the areas of health and education. It is also thought - provoking that as late as March 22, 2010, figures from the Statistical Central Bureau show that only 10 pst. of the newly graduates from health and social education at higher education institutions start to work in the care sector. This is really thought-provoking and shows that it is absolutely necessary to try to make nursing training more attractive in order to make people stay in the profession. Wages and salaries are, of course, quite an essential part of this, but not the only part. The Progress Party believes that offering more full-time jobs will provide more flexible working time rules and that increasing the professional quality of care services will help to make education and training more attractive. The Progress Party also believes that another important step is to release private providers of care services. They will then compete to attract health workers. It can contribute to better employment and a market-adjusted salary, which in turn will lead to more people applying to the care sector. As an exception, it must be mentioned that the nurses in Sweden are encouraged to become self-employed by their own trade union, the Vårdförbundet – equivalent to Norske Sykepleierbund. They have established a separate company as a guide and assist with the establishment and operation of those who will establish themselves. This should be an example for follow-up. In addition, a number of health education places have to be set up, and there has to be an economy to employ more teachers.
ParlaMint-NO_2010-06-03.ana.ud2616e651	Thank you for the interesting interpellation, a good Council response and many good posts from the hall too! One would be wise to listen to such debates. As a member of the Church, Education and Research Committee, I am particularly pleased with all the debates in this Chamber that underline the importance of education and the importance of competence in our society. The sum of such debates tells us is that, in almost all professions, sectors or industries, it is reported that more education and better education are needed to ensure sufficient and adequate labour. It has come out very well here in this debate on the health sector. Minister of Research and Higher Education Tora Aasland is quite right that a broad approach is really needed here, and that many different answers are needed to answer the question: How do you train adequate and appropriate staff? I want to reflect a little bit on a part of the problem, and it's on recruitment, both recruitment into this education and recruitment into different types of health work. Firstly, it is very important that we raise the status and reputation, highlighting the importance of having a good health sector in our society. We have had some debates in which one has approached this sector in a way that is almost a 'necessary evil' activity in a modern welfare society. It really isn't. It is a necessary prerequisite for us to develop and further develop a well-functioning society, including a well-functioning working and business life. Secondly, and it has also come out well here, competence and education are important. Those who choose to enter such a profession shall know in advance, before entering the job, that they will receive sufficient training and that they will receive the necessary training while they are at work. In this way, continuing education, decentralised education and the flexible way in which it is to be done, as many have mentioned here, are very important. Thirdly, of course, wages, including the equal pay debate that we have especially in these days, are very important. In this context, when we're talking about recruitment, it's very important that full-time should be a right and part-time only an opportunity if we're going to get increased recruitment. It is very important that not this profession or this sector, these jobs, are exposed to a little of the same problem as we now see many other places in society, that temporary employment is becoming a rule and permanent jobs an exception. It has to be the opposite. Temporary employment shall be the exception. In order to address the overall work environment problem – we have already talked about several things that have to do with a good working environment – it must not be the case that health workplaces prove to be hazardous to health. It should not be the case that people in the health sector have to report more frequently and for longer periods than others in the workplace, and that people in the health sector who are unable to survive either have to go down to part-time at the end of their working life, or in some way have to be involuntary. Especially dramatic, and that's what we have to take with us here, is this if one gets a pass on to the pension system that I don't think least parties on the right side of Norway are currently in favour of. There's going to be a near-punishment if you can't stand the time until retirement. Summary: A necessary, but not sufficient, condition to succeed in what we all now want in this room is to make it more attractive and popular to choose such education and professions. Then we have to do something with the factors that I've mentioned here, and here it's still very much done.
ParlaMint-NO_2010-06-03.ana.ud2616e672	I would like to thank all those who have taken part in this inter-pelling debate, not least the Council of State, who have presented the government's strategy with many good measures, so that we can have enough and competent health workers in the future. Then I took note of the fact that the Progress Party still has the balls to distance itself from the interaction message, which is both a message and a reform that the Stortinge has adopted, and which Health Norway and users all over the country fully agree with. In this respect, I believe that I will join the representative of Bremer, who called for us to stop talking about the health sector, while at the same time it is quite right that both politicians and others should see and act when something is wrong. But if it's interesting for young people to choose a profession in the health sector, we might have to replace behind-talking with what I'm going to call provocation, that is. that we need to talk well about the health sector, tell you that it's interesting to work here. Everyone has rightly stressed that we need to train more people to work in the health sector from now on and forward, and that the need will rise by 2030. There are many factors that will play a role in the relationship between the provision of healthcare and the needs of the population. It mentions better medical research and innovation that can contribute to better effectiveness. It is also important that those who want full-time jobs should receive what Mr Hagen said. Wide-ranging prevention work will also have a bearing on the relationship between supply and demand, and many have pointed out that we have an untapped potential for using modern technologies. At the same time, we might have to think a little bit more generally about what the definition of good health should be. What are the requirements for future health care as new and important milestones are reached in disease treatment? Will we still be able to expect or require modern medicine to make us healthy? And what does that really mean? I've said that before, and I'd like to repeat it: we should shade away from the World Health Organization definition, because here we are talking about good health as complete physical, mental and social well-being, without sickness and listening. I think we're going to try to have a different approach. Grief, pain and sickness are part of life, of being human on earth. But we have to make sure to have a health care system that is there for everyone when we need it. We must hold back from the unwavering idea that money and status should never take precedence, and that we must never have four on the demand for equal access to health care for all, regardless of geographical, economic, social or ethnic standing.
ParlaMint-NO_2010-06-03.ana.ud2616e685	I also thank you for the debate, and take with me the input and views that have come into our further work on the development of the health sector's professions. I have noticed the desire for an overall thinking about this from the government, and I absolutely do not disagree with it; I think it is very nice to have it underlined by up to several speakers in this debate. What is needed, in addition to continuing work, to establish both places of study and research, i.e. education at master and doctoral level, is a review and a renewal of health and social education courses against both the interaction reform and the challenges we are facing in the future. In this final article, I would like to point out something that several of the speakers have had, namely the role of county councils – which is part of the geographical distribution we have. The fact that the county councils lack funding to take care of the technical schools is directly wrong. We have transferred exactly the same to the county councils in this year's budget as the vocational schools received in the last year's budget, just to continue the important vocational school offers. There is also a unique opportunity for county authorities to see vocational education in this area – health, not least – in the context of getting pupils through higher education, including with the same specialisations, and in the context of adult education, which can also be a good way to pursue continuing education. I fully agree with what several people have said, that it is important to be present throughout the country with this type of education. There was talk of counterpower here, and I want to say that our entire higher education system is counterpower, because we have a higher education system that is all over the country. We train nurses and health professionals all over the country, and we will continue to do so. Through our high schools, which are all over the country, we're going to pursue decentralised education, so that we can get to the individual. There is probably no more decentralised subject area, but it still has the quality assurance available in a higher education institution than in nursing and health education. It might have to be the teacher training you can compare with. To give Davøy an answer: I am concerned that, in addition to professional training, of course, we should also have master-level education. It is up to the individual college to build up relevant master's offerings. For some of the good things about our higher education system is that we're going to have research-based education. That means that master's degree and doctor's degree are also important. But professional training is the most important thing.
