ParlaMint-NO_2010-05-12.ana.ud47e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-05-12.ana.ud47e486	There has never been so much ‘driving’ in the work against apostasy as it is now. And fortunately, not only are knowledge ministers concerned about this, it has also reached the top of the national agenda. I'm very happy about that. There has never been such a systematic effort to ensure that students are equipped with more knowledge at the bottom to obtain more practical vocational training, and there has never been such a plan for systematic cooperation between the counties and the state. Elisabeth Aspaker has previously been in the Ministry of Knowledge for four years, and the drop-out has been at this level for 15 years. I can't help but understand that there's one area like the Right and we disagree, and that's the question of curricula in general secondary education. I've gone through the curricula that are -- we're adjusting them now. It is quite obvious that they should be professionally trained. I don't think there's any reason why we're going to spend time making new teacher plans. We can start already in the autumn with more practical theory in the vocational school.
ParlaMint-NO_2010-05-12.ana.ud47e493	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e496	The principle that everyone should have the right to higher education is a good principle, and it supports the Christian People's Party wholeheartedly. But at the same time as Reform 94, other things have happened in school afterwards. There has been more theorizing, there has been an increased pressure to deliver on theory, and the practical feature in the school has been greatly reduced since 1994. When we have a school where it's not just the few that don't fit in, but it's just 56 pst. able to complete within the time we have spent in high school, we begin to see a system that may not be suitable for the most people, to use an expression that is often used in this room. My question is: can the Minister of Knowledge now start spending the money on these things, instead of increasing the number of hours and theory pressure on the very smallest students, and putting in an effort, so that we get a school that makes the most people fit in and not just the few?
ParlaMint-NO_2010-05-12.ana.ud47e503	Actually, I think we have to do both. Because if we take lessons from primary school – as the Christian People's Party suggests in its alternative budgets – I'm afraid it's just taken from what's the practical approach to different subjects. So we have to make sure that there's enough time to work in practice with theory. I'm very pleased with the perspective that Dagrun Eriksen has, because that's the broad perspective. I think in the discussion now about how we get to a more practical motivating approach to theory, we don't have to think that it's a special arrangement for a few students who are struggling to implement. We have to think about width, and we have to think about all of the students. I think all students need different learning methods. Students have slightly different insights into which learning methods work best for them, but all students are more motivated by greater variation. So this is a main task for me, both how we develop high school, and also the message about high school we're working on.
ParlaMint-NO_2010-05-12.ana.ud47e510	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e513	I'm one of those people who has experience with Reform 94. That's why it's a little tempting to challenge the state council. Now I've heard a lot of glamorous words about this. However, I ended when Reform 94 was introduced. I had quite little faith in the reform, I felt it was poorly prepared, and I felt it was being trodden down over the teachers' heads. The frustration was very great among my colleagues. It was something about the free, proud teacher's role that disappeared, and I saw it closely. So what I see now, doesn't surprise me. We have a lot of work to do, and the Left likes to contribute with good advice. Then I want to challenge the Council of State for three good advice: it's the follow-up training of teachers, less bureaucracy in school, and, as Trine Skei Grande said, prioritising the teachers before increasing the number of hours at school. Will the Council of State listen to these counsels?
ParlaMint-NO_2010-05-12.ana.ud47e518	Yes, I will. We are in the process of developing programmes for both continuing and continuing training. In the case of less bureaucracy, we are now following up the time-use survey that has been carried out, and the Time-use Committee, which has presented its position. We promote our own big message about it in order to commit ourselves jointly to thinking about time use in school. And we give priority to what is the teacher's competence. Then I just want to say about reform 94: there is a lot that could have been done differently in reform 94. It's evaluated, and it's always a great transition for teachers and students to undergo as much reform as Reform 94 was. But the discussion that not all students should be entitled to secondary education, and that maybe 20 pst. of the students not to participate in secondary education, is not the way to go. There will be no room for them in the future labour market. Then we have with open eyes parked them on the outside. We have to be able to do this, so that's an offer for all students.
ParlaMint-NO_2010-05-12.ana.ud47e525	Let's go to the next main question.
ParlaMint-NO_2010-05-12.ana.ud47e528	I think the Minister of Labour also deserves a question. According to a Fafo report, schemes with alternative turns have given both lower sick leave and more satisfaction to employees. In a pilot project in Bærum stated 50 pst. by the employees that it had had a positive effect on their health status. The users are satisfied, precisely because there are fewer inwards and fewer inwards to deal with. The local trade unions and local trustees are pleased. The right has been called for to make it easier to have alternative tour arrangements. Then the Secretary of State said it was flat rhetoric. Around the country, there are also many workers' party people who have discovered alternative turns. The Chairman of the Administrative and Equality Committee in Skien, Ingerd Martinsen, says the following: ‘It’s time to look at the Working Environment Act. It is old-fashioned and there is a need to revise it. Flexibility and how to work have changed’. Martinsen can then tell us that she has addressed these proposals with the Minister of Labour personally, and also sent a letter. She has not yet received an answer – at least she did not have it a few days ago, so we can hope that she might look at this questioning. But my question to the Minister of Labour is: Is the Minister's message to local Ap-Trusts when they say that the Working Environment Act needs to be more flexible, that it is 'flat rhetoric'? Or is she going to do something about this because of the users, the elderly and the employees?
ParlaMint-NO_2010-05-12.ana.ud47e547	I can only at once say that I have told Martinsen that this is ‘flat rhetoric’ – I have spoken to Martinsen. These are major deviations from the working time rules of the Working Environment Act – rules designed to protect workers. Then we see that we have had repeated issues in connection with the system of exemptions for the work environment law relating to different types of rotational arrangements. In very many cases, exemptions are granted according to the rules applicable to this scheme. I think in many, many cases we'll see that this works well. But then there has been a search on situations where the necessary exemptions have not been granted – allegedly. I would like to say that in the legislation that you have, you have tried to strike a balance between the user's need to have a decent workforce, the people who care for them, and the workers' ability to stand up to a whole working life in the job you have. I have now expressed that balance, also to Martinsen. We're going to see if there's a need to do something about the system we have. I'll come back to that in the message I'm going to get to the Stortinget, about the working environment.
ParlaMint-NO_2010-05-12.ana.ud47e556	I have to say that I am pleased that the Council of State has a different language from that of its Secretary of State and rejects the fact that this is flat rhetoric. Then I assume that it also applies when it comes to proposals from the Right team, and not only when it comes to suggesting exactly the same thing from the working party team. In the municipality of Skien in Telemark, they had – this is an example of how these schemes work – something called the ‘small position project’. As a result, 274 local employees in Skien got a higher job fraction. It would have been a good investment, also because it gives more people the opportunity to get full-time jobs, which is important. That project had local political support, it had local trade union support. But it was then with today's legislation the trade union central that concluded it, it was they who put with the last decision-making authority for whether the project should continue. When the Minister of Labour makes a communication about this, will it still be that the trade unions are central – not locally, where they know the users, know the employees, know the jobs – who will have the last words in these cases?
ParlaMint-NO_2010-05-12.ana.ud47e563	I'm not going to say anything about or suggest any of the things that are going to come in such a message, because this is a large and relatively complex matter. I would like to say that I fully agree that in most cases, it works very well that the parties locally agree on this. But we also need to respect the fact that there are different strengths in the case of workers in different situations. We have industries in Norway where we know that there is a very low level of organisation, where there is very little focus on good working conditions and rights. That is why there are systems where this is raised to a higher level, to look at the breadth, to take care of the interests of employees, including overall.
ParlaMint-NO_2010-05-12.ana.ud47e568	Three follow-up questions will be raised – first by the representative Bent Höie.
ParlaMint-NO_2010-05-12.ana.ud47e571	My follow-up question goes to the Minister of Health and Care. Experience from various rotational schemes, both from housing for mentally ill people in Bergen and from Skien with resident patients in the respiratory system, is very positive in the situation of users. One has had a reduction in the use of sedatives, one has improved the quality of life for patients. Not least, one sees that one can meet some of the objectives of the Cooperation Reform, by providing patients with a more stable and better follow-up who need respiratory and 24-hour care. The employees are satisfied, the municipality is satisfied. The Minister of Health should also be satisfied, because this results in many of her objectives of quality in the care services in the municipalities actually being implemented. In the work that will now begin with a big message – will the Minister of Health then engage and get a system in line with what the Right has proposed?
ParlaMint-NO_2010-05-12.ana.ud47e580	As the Minister of Labour also said, there is experience that this scheme can work well in some places. Then it is also true that if this is to be a general scheme, you also have to take care of the employees who will be in a very special rotational arrangement. This has to be assessed against both the Labour Environment Act and the general opportunities for a working life. Here, the needs of those receiving care — and for many of them, it may be a very good system — are to be met and weighed against the conditions of the workers. I really think that the Minister of Labour answered this very well – that this is something that they are working on. Then we'll get back, also on the basis of those experiences, and see what we can achieve in collaboration between the employee organisations and the municipalities in particular.
ParlaMint-NO_2010-05-12.ana.ud47e585	Vigdis Giltun - for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e588	My question goes to Minister of Labour Hanne Inger Bjurstrøm. The Labour Party has promised full time to all, and believes that part-time is unacceptable. When employers and municipalities follow up, they are stopped by a rigid code. As Torbjørn Røe Isaacen said here, a very successful pilot project has been carried out to show that it is possible to give employees much more full-time jobs. They've had sick leave, it's more well-being, which contributes to a better recruitment in an area where you want to lack labour in the years to come. Users are less likely to react; there is no indication of dissatisfaction with users. Then the projects are stopped after they have been completed, by legislation and a work environment law that does not open up to good solutions. When there is a cross-political consensus on the objectives, it is also necessary to look at this and take the necessary action. When will the government look at the Working Environment Act and make the necessary changes there, so that good projects can be continued as lasting solutions in the municipalities where it is desirable?
ParlaMint-NO_2010-05-12.ana.ud47e595	Involuntary part-time is a problem that governments take seriously and work on. I believe it is such a big problem that you cannot believe that the solution to this is an exception to the provisions of the Environmental Protection Act, with a tour scheme that in many cases means that you work 12 hours a day one week and then you have three weeks off. That's not the solution to the future problem. There are likely to be new problems for the employees concerned. Part-time problems must be addressed in a completely different way. However, the situation described by the representative will also be part of the assessment to be made in the context of the notification with which we will come to the Stortinget.
ParlaMint-NO_2010-05-12.ana.ud47e600	Kjell Ingolf Roppstad – to the last follow-up question.
ParlaMint-NO_2010-05-12.ana.ud47e603	Then the Minister of Labour can stand, because my question goes on the side that concerns inclusive working life. The interesting thing when you look at the various experiments that have been carried out is that a better working environment has been created. This has been illustrated by some examples. I could take an example from Kristiansand as well. The sea urchin has tried out the so-called North Sea model. Today, the fatherland friend stated clearly that the sick leave had been reduced by nearly two thirds. So I'm surprised that the government council is so square when it comes to this kind of project, when you see that one has been closed down by getting the sick leave, one has been added, trusted and users. One is also available locally, one is able to customize the projects locally. So I'm a little bit curious that the Council of State wants to be so square. So my question is: does the Minister of Labour want to give these projects and the test schemes to delete? And will she prevent that kind of project where one tries new things and gets shut down, getting started?
ParlaMint-NO_2010-05-12.ana.ud47e613	It's just here shown that projects are successful, and it shows that this works in general within the framework we have today. However, it also appears that in some cases this has been assessed differently locally and centrally. I've said that I'll go in and see if the way we're doing this today is one way that we're going to go on and on. But I want to underline what I also said to the main question: we need to be aware that there are different strengths in different employment conditions in Norway. We have a number of industries in which I am not sure whether you can locally be pushed into working time schemes that have quite aberrations from the Working Environment Act. That's why we have to look at this in a whole way so that we don't go wrong here.
ParlaMint-NO_2010-05-12.ana.ud47e620	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2010-05-12.ana.ud47e626	There will be some changes to the list of questions set out, and in this context the President will refer to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 3, from the representative Knut Arild Hareide to the Minister for Transport, has been transferred to the Minister for the Environment and Development who is directing him. However, the question will be answered by the Minister of Knowledge on behalf of the Minister for the Environment and Development, who has been removed. Question 7, from the representative Geir Jørgen Bekkewold to the Minister of Justice, is postponed to the next Question Time, as the Council of State has leave. Question 10, from the representative Jan Tore Sanner to the Minister for Culture, has been transferred to the Minister for Knowledge, who is directly responsible. At the request of the Minister of Knowledge, this question is moved and answered in response to question 1, to be answered by the same Council of State.
ParlaMint-NO_2010-05-12.ana.ud47e642	I hope that this question is perceived as factual by the Minister of Knowledge: ‘The health and care sector has a major need to train more health professionals. As of 2010, a new examination scheme for adult education in the field of health, with a change in examination form and timing, has been put in place. A number of students in Hordaland who completed education in 2009 and passed the exam in January 2010 have subsequently passed the exam and are now without a certificate of competence as a skilled worker. Hordaland County has taken the matter up with the Education Directorate. Will the Council of State intervene and ensure that students receive their diplomas?’
ParlaMint-NO_2010-05-12.ana.ud47e656	Hordaland County Council has been made aware of the current rules through a reply letter from the County Council of Hordaland to questions from the County Council on the understanding of the regulations at this point. I have been informed by the Education Directorate that Hordaland County nevertheless arranged the exam under the old scheme in January 2010. The county council has come to the conclusion that the new examination requirement must be complied with and has therefore decided that the candidates who passed the examination under the old scheme in January must take a written examination at Vg3 level. The county council is responsible for providing a sound training offer and conducting examinations in accordance with the applicable legislation. The county council has been made aware of the national legislation in this area but has not offered the students proper examinations. I assume that the county council is doing what is necessary to remedy the unfortunate situation faced by the current candidates. And then I encourage the county council to do the following: The Regulation of the Training Act provides a general basis for granting exemptions from the rules on assessment in specific cases. Therefore, the county council has the opportunity to apply to the directorate for a derogation from the applicable examination requirement of the regulation. Any dispensation may mean that the practical candidates concerned may have the examination they carried out in January approved. The relevant elements in the dispensation case may be that errors have been made and that incorrect information has been provided. So my very clear appeal to Hordaland County Council is: seek immediate exemption from this. There are exam candidates here who have come into a very desperate situation, and who have quite clearly believed that the exam they took was the one that could apply.
ParlaMint-NO_2010-05-12.ana.ud47e669	I thank the Council of State for the answer, and I fully agree with the very opinion of this matter. We are dealing with a fairly large group of adult workers who have done what we all want, namely to take adult training, in this case through the county community, in order to increase their competence in the important job they do, in this case in the health and care sector. That's something we all want more adult workers to do. These students then experience that they feel cheated. So I'm very pleased with what the Council of State says about the possibility of applying for a waiver. Now it is true that the training directors of several county municipalities – in all five county municipalities of which Hordaland is one – sent a letter to Education Directorate on 2 November last year, i.e. a long time before the exam was held in January, to clarify the changes in regulations and some formulations that created doubts and uncertainties about the situation of these students. So I would like to encourage the Council of States to make an in-depth assessment of exactly these formulations.
ParlaMint-NO_2010-05-12.ana.ud47e678	I am aware that several education directors in several states have addressed this issue, because it is about how to assess real competence. It's a slightly different question, because it's about the exam for those who had now taken the exam in January in Hordaland, who got it signed afterwards, it's about the legislation that's today, and what it's like to understand. There I see that the education director in Hordaland also says that the legislation is to understand that this type of examination cannot be carried out today, but there are fortunately dispensations. But then I am looking carefully at whether the legislation in this area is good enough in relation to what we want adults to be able to pass their real skills and receive a well-adulted letter. So there's one thing I'm working on right now.
ParlaMint-NO_2010-05-12.ana.ud47e685	I thank you for this answer, too, and I think it is good that the Council of State will look at this. I think, in principle, that it must be an opportunity for good adult workers who have a long professional experience to get an assessment and an advantage of the real skills they have, because we still need these workers, especially in this important sector.
ParlaMint-NO_2010-05-12.ana.ud47e692	I fully agree with that. It is very important that it is possible for adults with a lot of experience in the workplace to have the real skills they have and to have the opportunity to take a letter. The question is how to facilitate it. I'm looking at that very carefully.
ParlaMint-NO_2010-05-12.ana.ud47e697	So we go to question 10.
ParlaMint-NO_2010-05-12.ana.ud47e703	This question, from the representative Jan Tore Sanner to the Minister of Culture, has been transferred to the Minister of Knowledge who is directing him.
ParlaMint-NO_2010-05-12.ana.ud47e706	My question, which was originally addressed to the Minister of Culture, which I understand is to be answered by the Minister of Knowledge, is as follows: ‘The government has repeatedly stressed the importance of cultural schools since 2005 and that the government will be investing in cultural schools. In point 4 of the Cultural Lift, among others:‘A cultural school commitment is to be made so that all children who wish to do so receive a quality cultural school offer at a reasonable price.’ What action will the Council of State take to fulfil the promise of a cultural school offer to all those who want it?’
ParlaMint-NO_2010-05-12.ana.ud47e715	Culture School is one of the most important arenas to give all children an equal opportunity for cultural activity and to develop their artistic skills. The Government allocates earmarked funds to the Ministry of Knowledge budget to strengthen cultural school provision. As you know, the cultural promise II is a four-year bet. The goal is that all children who want it will have a cultural school place in 2014. The 2010 budget has a budget of 40 million. kr from Kulturløftet II as an ear-marked state incentive to cultural schools/cultural activities in school. The funds shall be used to test different models of cultural activities. Part of the funds shall be used for model testing, where municipalities and organisations shall be able to seek funding to facilitate a diverse cultural offer/school offer for 1 to 4 students. steps. The Directorate shall submit proposals for allocating funds to the Ministry of Knowledge by 1 September 2010 and shall pay grants in accordance with the guidelines by 1 October 2010. The criteria for the allocation of funds are now under assessment in the Ministry. Through the Cultural Promise II, we want to help many more children and young people gain access to a well-functioning cultural school offer. The Culture School Committee set up this year will examine the quality, price and availability of activities. The selection will also assess how cultural school activities can better interact with the existing teaching of the practical-esthetic subjects and the offer of the cultural school bag. A main objective of the work of the sample is to make visible different alternatives that ensure a strengthened, more culturally diverse and equivalent cultural school offering for more children at a reasonable price. The Culture School Committee shall deliver its nomination on 23 August of this year.
ParlaMint-NO_2010-05-12.ana.ud47e728	I am pleased to note that the Council of State and I clearly agree on the importance of the cultural school offer. But I must be allowed to remind you that it is not a new promise from the government to ensure that all children who want it, a cultural school offer. The Prime Minister was very clear on this in the election campaign when he, among other things, to the Official Journal of Bergen stated: «Everyone shall be offered a cultural school.» I must then be allowed to repeat my question: what measures will be taken to ensure that the queue of 30 000 children who want a cultural school offer can fall sharply, and that everyone who wants it is guaranteed a real offer?
ParlaMint-NO_2010-05-12.ana.ud47e735	I have answered that question, both because this is part of the Cultural Promise II, and because we are at the beginning of a growing period that lasts for four years. So the Prime Minister has his word. We are now working to find out how we can connect this offer more closely to, for example. The school leave system, so that it can be an offer that children receive right after school, will increase the availability of most. As you know, the Bondevik II government terminated the earmarked grants for the cultural school. At that point, we had a maximum price of 1600 kroner. Then the price was strongly added to the weather. The studies we've done later show that it was when the jump came. In addition to this, the price level introduced in 2004 has largely been maintained. That means that some offers, mostly those that are one-to-one education, can be very expensive. What's very pleasing is that there are more children who can accommodate in the cultural school now than before. Nevertheless, there are several people in line – for the more people who know about it, the more people want a place.
ParlaMint-NO_2010-05-12.ana.ud47e744	I must be allowed to remind the Minister of Knowledge that the Red-Green government has been sitting for almost five years. So it might have to end that you still owe it to those who were sitting before, and you start taking responsibility. Now the price is up to 4,500 kroner, and now it's 30,000 in line. Now it's time to take responsibility and make sure that the promises you have made are actually fulfilled. I want to challenge the Minister of Knowledge with regard to the many voluntary and private actors who can also be involved in complementing this offer. I believe it must be absolutely central that you play on all the good powers in order to give everyone a good offer. The municipality plays an important role through its cultural school offering, but I believe that the voluntary organisations and private actors must also be part of the municipality's overall offer through a quality assurance from the municipal cultural school offering. Will the Council of State ensure that private operators can also receive a share of the grant schemes as long as this is ensured by the municipality’s cultural school provision?
ParlaMint-NO_2010-05-12.ana.ud47e753	Culture schools no longer receive an earmarked grant. The cultural schools are part of the municipalities' framework transfers. That introduced the Bondevik II government – I almost have to put the responsibility there, even though it was a while ago – and that was when the big price jump at the cultural school happened. Now it has to be said that the municipalities have given priority to the cultural schools afterwards, because studies show that the appropriations for the cultural schools have increased. There is nothing in the way that municipalities can use private to provide a cultural school offer. Paragraph 13-6 of the Training Act states that all municipalities, alone or in cooperation with other municipalities, should have a music and cultural school offer for children and young people, organised in connection with the school system and other cultural activities. So if it's fulfilled, there's nothing wrong with -- if the municipality wants it -- that private can provide cultural education.
ParlaMint-NO_2010-05-12.ana.ud47e760	The size then goes back to question 2.
ParlaMint-NO_2010-05-12.ana.ud47e766	‘On the E39 at Flekkefjord, six people have been killed in traffic in 10 years, cf. question to written reply No 9 for 2009-2010. Accidents have been analysed and proposals for short- and long-term measures are now available. This short distance is the most accident-affected route on the E39 through West Agder and needs permanent measures. On the basis of this report, will the Council of State decide that midpoints will be built on the E39 accident route at Flekkefjord, so that more fatal accidents will be avoided in the future?’
ParlaMint-NO_2010-05-12.ana.ud47e773	There have been two serious accidents on the E39 at Flekkefjord in the last few years. In both accidents, there were three deaths. The first accident involved three young people on their way to Flekkefjord. The car ran out on the left-hand side just before the launch from Flekkefjord towards east and hit, among others. slope of the soil. The second accident occurred last year in connection with a pass-by on the road towards the east. The average traffic on this part of the E39 is about 7 000 vehicles per day, with about 20 pst. heavy traffic. With experience from a review of the State Road Service after the last fatal accident at E39 at Flekkefjord, the State Road Service has decided to carry out the following corrections in the current year: The outline of the route is changed so that the extra E39 runfield past Flekkefjord towards the east is shown as a launch field and not as a possible combination of runfields and pre-runfields. This section will be re-marked. Together with the new sign, this will make it clear what is the default of this distance. As part of the work of the National Transport Plan 2014–2023, the State Road Administration has started work on a concept evaluation, KVU, for E39 from Søgne in West Agder to Ålgård in Rogaland. This will also deal with the distance of E39 past Flekkefjord. No funds have been set for major actions on the route of the State Road Agency’s 2010–2013 action programme. I argued that a prioritisation of cross-sectional power stations would be assessed in the context of the work of the National Transport Plan 2014-2023.
ParlaMint-NO_2010-05-12.ana.ud47e791	I thank the Council of State for the answer, but I have to say that I find it peculiar, strange and tragic that you can't generate between 3 and 4 million. kr in order to obtain concrete or other intermediate separators, which will prevent these traffic accidents. Six people killed on a stretch of 200-300 meters in ten years are very serious – it should ring a bell. I hardly think these measures are good enough. They'll probably help a little bit, but they're not good enough. Proposals for action with reference to the fields to reduce overrun will probably reduce this, but is the Council of State comfortable using only half-hearted means of action on the E39 to prevent more accidents from occurring in the future? Are the costs really going to decide whether to build it?
ParlaMint-NO_2010-05-12.ana.ud47e798	I'm comfortable with a very ambitious national transport plan. I am also comfortable with the fact that during this period separate kilometres are to be built by four-field road, and that there are 750 km by national road to be improved by mid-driving or marked containment area/mid-driving. At the same time, we must guard against believing that pitfalls alone solve all the challenges of road safety. Exploration accidents are, for example: about the same proportion of road traffic fatalities as meeting accidents. Then I am pleased that action is being taken, and I understand it so that the representative also thinks they can mean something.
ParlaMint-NO_2010-05-12.ana.ud47e805	I would like to thank you again for your answer. Action with midpoints has proved effective in many places in the country, not least in Westfold — on the death row — the number of deaths has fallen significantly. I believe what the Council of State says, that there are as many people who are killed in outbound traffic as in collisions between arriving cars, are wrong. I myself come from the powerful industry, and there it was that if there was an accident, immediate investigation was started, and as soon as there was a conclusion, action was taken. But you don't do that here. I have to ask the State Council if she thinks the regional accident analysis team has acted quickly enough; it took four months from the accident to the conclusion. So I want to ask the State Council to take the initiative for a faster accident analysis and to get the Road Administration to take action quickly.
ParlaMint-NO_2010-05-12.ana.ud47e816	I'm going to follow that call to the State Roads Agency to see if we can do more here to act even before. Then, in 2010, construction of 14.5 km with a mid pulley is completed. There is not so much in the big context. However, this will mean something for the sections where this is the case. Then in 2011 or 2012, one of them will start with the construction of 44.2 km of pitfalls. When the number is so small, it's because the simplest sections are already built out where it can be done. And then I think that the representative and I will be a few that it is important to keep the focus here on road safety, as the highest priority in all road work.
ParlaMint-NO_2010-05-12.ana.ud47e826	This question, from Knut Arild Hareide to the Minister for Transport, has been transferred to the Minister for the Environment and Development who is directing him. The question will, however, be answered by the Minister of Knowledge on behalf of the Minister for the Environment and Development. – The ways of politics are unanswerable.
ParlaMint-NO_2010-05-12.ana.ud47e831	I have a question for the Minister for the Environment, and in his absence I am pleased that the Minister of Knowledge will answer the question: ‘Electrification of road transport in Norway is a necessary tool for improving the air quality of cities. On Norwegian roads it rolls 2850 electric cars, but only a few of them are in public ownership and operation. It is a paradox that the public, which manages a very large fleet of cars, does not contribute to the increased use of electric cars through its purchasing practices. Can the Council of State explain how many electric cars are owned and operated by the public, and what will the Council of State do to increase the number of electric cars in the public sector?’
ParlaMint-NO_2010-05-12.ana.ud47e840	I agree with the representative Hareide that it is important that the public contributes to the increased use of the most environmentally friendly cars. The Law on Public Acquisitions specifically obliges public undertakings to take account of the environmental impact of procurement and requires purchasers to make concrete environmental requirements as far as possible. The Government's Action Plan on Environmental and Social Responsibility in Public Acquisitions provides the framework for state environmental policies for the procurement of priority product groups, including the acquisition of transport and car. Environmental policy sets out the environmental challenges and specific requirements to be met. Indicative ecological criteria for the purchase of cars with a low environmental impact have been developed under the direction of the Directorate for Administration and ICT. The purpose of the car criteria is to provide a simple tool that takes into account the environment and is well suited for use by contracting authorities in a concrete acquisition. These are criteria to be applied by purchasers throughout the country for the purchase of transport services. The criteria premium low-carbon or zero-emission cars. The assumption is that the car should be able to run on fuel available at the point of use. However, it is up to the business of buying or leasing cars to acquire an electric car. There are many aspects that need to be taken into account, including: operational safety, running distance, size, charging time and access to charging points. I would like to stress that these are the first generation criteria for the purchase of a car. The criteria are dynamic and will be strengthened as more environmentally friendly cars arrive on the market. According to Norsk Elbilforening, Norstart, there are 66 electric cars in the public sector. However, there is some uncertainty about these figures, and unfortunately we do not have accurate figures on how many of the electric cars are owned and operated by the public. Some municipalities are well advanced in the acquisition of electric cars, among others. Trondheim has the municipality of 26 electric cars in operation, and that is very positive. I want to add that 66 electric cars in the public sector are not an impressive number, and it is quite obvious that many parts of the public sector can benefit from an electric car that will provide the services they need. I think this is a matter to be followed up, and that should certainly be a topic in the local election campaign, too, because the municipalities can do a lot more in this area. And it's actually also that it's very profitable to use an electric car, because we've done a lot on the charging side: we have tax exemptions, the right to drive in collective fields, often free of charge and more accessible parking spaces – part of the action package against the financial crisis was to give extra funding to charging points for electric cars through Transnova. So it's a win-win situation. After all, electric cars will also be placed on the market with larger battery capacity, which thus does not need to be charged so often and can go further.
ParlaMint-NO_2010-05-12.ana.ud47e860	I thank you for the good answer. I thought it was an offensive answer. We have to say that today's speech is too low. What we experience is that there is a lot on the charging side, as the Council of State says, and that is that the price level is relatively favourable. We know that the expansion of charging stations has been a challenge, but it has become much better in the last year. Some of the challenges facing those who own electric cars today include: that there may be too few that own electric cars in total, and that the type of functions such as service functions, becoming difficult to access. One example is that one has had a debate on this in Sogn and Fjordne in the last few days, where one actually has only seven-eight electric cars in the whole state. The challenge where no charging stations are currently loaded. It's starting to happen, and they're going to have to be in place first to buy the electric cars. But it's important that we get more public electric cars, because it will help to increase the total number.
ParlaMint-NO_2010-05-12.ana.ud47e869	Yeah, that's right. I share that view. It is clear that if you increase the number, you will also increase the availability of many of the services that electric car users and electric car owners will need. It is quite obvious that it has an extra effect on getting a significantly larger distribution of electric cars. Here, there are really winners on all the bows and edges, if we can raise our attention around this. We, from the state side, are going to keep pressure on this, but I also want to repeat the call to make an effort locally, because these are considerable opportunities. It is clear that if the municipality uses a number of electric cars, then the municipality will also ensure that there are charging stations around, because it is useful for them. They will be customers in maintenance, etc., and thus they can actively participate in and withdraw the market on which private individuals may rely.
ParlaMint-NO_2010-05-12.ana.ud47e876	I also agree with the part of the answer that came now. A municipal electric car is just as good as a state electric car, and there's more to it. When there's only 66 out of nearly 3,000 electric cars that are public, I'm going to say that there's an overly low part, because we've had the goal that we should have 10 pst. electric cars in 2020. It is also the Minister for Transport who listens to this part of the debate. We also have major challenges when it comes to the overall climate. In this context, I will refer to Climate Change 2020, the big message that the government has promised to come in 2011. I would also say that this part should be taken care of there. If we are to achieve what we have ambitions about in the transport sector, we must, as the Council of State said here, also be willing to tighten up the guidelines, because cars are getting better and better. The council also mentions that they go further and further, and then we also have to be willing to set clearer boundaries.
ParlaMint-NO_2010-05-12.ana.ud47e883	I think I'd like to take the Minister of Transport with me in the answer, because we have common interests and common commitment to get to this. In terms of economics in this area, we don't need any special carrots, because it's beneficial both in terms of fees and in all other ways. But getting the number up is a very important part, not only to get emission reductions, but also to get over that knucklehead to make an electric car a common precursor across the country.
ParlaMint-NO_2010-05-12.ana.ud47e891	Then I have a question to the Minister for Transport: ‘The government is increasing the use of tolls. There will be several projects financed by tolls and the share of tolls in the amount of investment is increasing. The use of tolls has been extended to both installations and public transport operations. It also appears to be a marked increase in the use of road tolls for road safety, for pedestrian and cycle routes and for so-called environmental measures. This last one seems to be a new use of tolls. Will the Council of State impose restrictions on this and strengthen toll management and control?’
