ParlaMint-NO_2010-04-20.ana.ud1350e36	The representative, Peter N. Myhre, will put forward two proposals for representatives.
ParlaMint-NO_2010-04-20.ana.ud1350e436	Actually, I want to start by thanking all the people who work in public transport in Norway, because the big paradox is in many ways that what we are going to discuss today has gone very well – at least in the last week. When many other things have not gone, when planes have been on the ground, the railway and other public transport have made sure that at least people have come forward, even though many have been on the bus and railway for many hours to get home from e.g.. Oslo to other places of the country, or vice versa. So I think you really should take off your hat for those who have been on and done all they have been able to do so that people will actually come to terms with the difficult situation we've been in. As I said, it's a little special that when we're going to discuss all the train problems we've had in the last four months, the train has gone very well in the last week. But then it's the planes that's been standing on the ground. It's a big paradox. I think it is important to find out that it shows some of the challenges we have overall in Norwegian infrastructure. It's not like it's just in one or the other area we're struggling with. So it's like the forces of nature are there's little we can do with it. I think it was nice when we saw that some Icelandics had sent out the following message: Send us only EUR 30 billion, and we'll make sure to extinguish the volcano. Of course, there was just humor in it, but it says something about that here's the big challenges. And we have definitely big challenges in Norway. Then I think that the State Council's presentation – it's starting to be a while since it was held – was a presentation of all the visions and wishes of the National Transport Plan and of the Government's proposal for the National Transport Plan. Of course, when you're going to have a statement for the Storting, you can't take care of all the projects, but I think it was very much about the things you want to do in the future. There was very little concrete about what was the challenge for the Council of State to respond to some of the challenges and the short-term consequences, and what can be done in the short term to address the challenges on the network. So I'd like to see the Council of State be much clearer about what you're going to do now to solve the acute situation in the railway sector. But I really hope that we're done with some of the challenges we've had, and that enormous resources are now being put into doing everything you can to make sure that when winter comes back at the end of this year, we're well prepared to deal with it, so that we might perhaps avoid challenges that we've had this winter. The challenges are formidable. We know that in the context of the core network investigation, which was presented by the Railway Agency before the National Transport Plan was dealt with in Stortinget, it was said that 80-100 billion kroner were missing to get today's rail network up to a modern and satisfactory standard, which would make it an efficient and modern railway. I want to start with what has happened in the railway area. Then it's always kind of nice to go back in history, and I know it was started early in the 1800s, really, but it wasn't in the public domain. Norway's first public railway went from Oslo to Eidsvoll and opened on 1 September 1854. 29 years later, Norway launched one of the largest railway projects, namely Bergensbanen, which cost more than one state budget at that time. Norway was definitely not among the richest countries in Europe at the time, but it was committed to infrastructure, precisely because it was an important part of national construction and construction in order for people to live more places in this country. Now Norway is a rich country, and the government is depriving infrastructure. Only 10 days after the election, the Riksrevision presented a report which slaughtered the red-green road network operations and maintenance efforts. Then the red-green government had been sitting for four years. It'll be a little too easy to blame for all the governments that were before them. I mean, soon you have to take responsibility for what you do, and after four years you should start seeing results. The National Audit Office’s report was not a result of a good response to the challenges faced by the road sector and not least by the rail network. Like I said, I don't think there's anything better on the railway either. I think it's a little special that when the network we have has had a lot of problems over several months, then the response from the Red-Green Council and the State Council is that the Railway Agency is going to launch a speedy investigation rather than actually using the resources and all the capacity to deploy the rail network, where the needs are greatest now. But it might be because an upgrade of e.g. The bottleneck under Oslo could cost tens of billions, while a lightning report does not cost much more than election campaign material. That's when you start building, it starts to cost money. Clearly, it's easier to make some investigations that don't cost money, or at least small money in the big context, rather than really addressing the challenges we're facing. It must also be that there is healthy competition between the different modes of transport based on real costs. Then we need good tools to assess the socio-economic impact. Now that Sweden has used lower calculation rates than Norway for many years, we see that infrastructure projects on the Norwegian side look much less profitable than they do on the Swedish side. When Sweden spends twice as long on infrastructure as Norway, it also makes its infrastructure project on the Norwegian side look less profitable than they do on the Swedish side. Something has to be done here. With proper cost-benefit calculations, the infrastructure will be a good investment if the money is spent on the right projects. This applies to both road and rail. A large part of the train chaos in winter is due to the explosion of the capacity of the route through Oslo at central times of the day. This makes the railway in large parts of the country vulnerable to operational deviations here in the capital area. State Councillor Meltveit Kleppa concluded in her statement to the Stortinget that the Railway Agency is working on the National Transport Plan 2014-2023 to increase rail capacity through Oslo. So it's going to be at least four years without action if this government keeps going. It shows how far there is between rhetoric and action at the Workers' Party, the Socialist Left Party and the Center Party. Those who built the Norwegian railway in the 1800s had been disappointed by how the government manages the infrastructure they built for the nation of Norway. State councillor Magnhild Meltveit Kleppa said in his statement that she was impatient on behalf of the railway. The progress party is also impatient, but we are willing to grant the money to do so. Unfortunately, the other parties voted against our proposal for 60 billion kroner in the next ten years to the railway in the context of the treatment of the national transport plan. However, we have now presented a new and separate proposal for a representative on a binding Norwegian railway investment plan, and I hope that the other parties will at least be able to agree that there will need to be a strong increase in the appropriations for Norwegian railway and Norwegian infrastructure in general. I would like to address the suggestions that the Progress Party has made in the vote.
ParlaMint-NO_2010-04-20.ana.ud1350e466	The representative, Mr. Bård Hoksrud, has taken up the suggestions he referred to.
ParlaMint-NO_2010-04-20.ana.ud1350e469	The majority is responsible for the fact that Norway has a modern, efficient and collective transport system and a competitive rail system. Today we don't. We're going to have a modern transport company that brings people to and from work and home again in a fast, efficient, safe and predictable way. District policy shall be the pillar for the development of urban and working regions. It requires a railway that works. We're going to develop the welfare state and the business community. There's the railway. It's very central. When it comes to taking into account the environment, the train is also the answer. The whole country has challenges on the railways. Bergensbanen, Jærbanen, Sørlandsbanen and Nordlandsbanen have been remarkably unreliable. My train on the east line has become shorter and colder, and the possibility to use the ticket flexibly on the train and the bus took the government away the New Year's Eve. The railway infrastructure in the East must work. Everything else gives a domino effect to the rest of the country. People are moving to cities today, to the regions, the emergence becomes a challenge, and the pressure on collective solutions is increasing. The State has a special responsibility to finance the modernisation of the transport network in the four largest cities. The right has called for a status report throughout the winter. The government has now also finally realised the need and is presenting a state report to the Storting in 2010 in overtime. The railway manager has got our eyes up for the state of the railway. The statement that we are in an exceptional state has been repeated several times. Following the meeting of the Minister of Transport and the Director of the Railways, the State Council of Malta, Mr Kleppa, came almost to a settlement with a silent bomb: she said to the press that the national transport plan’s railway investment projects had now been neglected. It is mildly alarming that the nation's most comprehensive transport document is being put on hold in an hour-long meeting between the State Council and the railway director. For rail users and employees, this creates new uncertainty about the future, and towards the Stortinget, which has adopted a national transport plan, it is almost arrogant. Over 40 years, railway appropriations have been too small. But the biggest betrayal of the Norwegian railway system is that Norwegian politicians have questioned the old way of doing things: the cash principle, the old-fashioned diet-benefit analysis and the Railway Agency that both orders and executes – the list is long. In the case of the cash principle, this leads to poorer predictability of development. The railway works, suppliers and international competences take the uncertainty into account and the answer becomes much more expensive projects that also take twice as long to develop. Examples are fresh from this winter: Asker–Lysaker and new tunnel in Moss. Norwegian politicians should wipe out what our colleagues in other countries have done with great success, for example. in Sweden, where priority powers have been transferred to professional bodies. When it comes to old-fashioned diet-benefit analysis, we don't get to build the right projects in the right order. Transport projects are becoming much more profitable with other countries' calculation models than they are after the Norwegian Ministry of Finance has made its calculations. The Bondevik II administration started significant changes that the Railway Agency says have helped them to work more effectively today and to improve the control and quality of their tasks performed. The unfortunate thing is that the conversion process was transformed in the middle. The change of course was carried out in a hui and haste, without any investigation, without any analysis of the consequences, and was therefore completely irresponsible. We have seen the result of the winter train crisis, and a railway director who does not know how to acquire enough skills to solve the challenges even with enough money. The state road system and the elimination of Mesta AS have saved 850 million. kr annually, which has gone to the necessary maintenance and investment instead of an efficient administration. The right will complete the conversion of the Railway Agency that started in our reign. We will realize double tracks throughout the intercity triangle by 2020 by implementing new forms of organisation and funding. We want to use project organisation, as OPS funding for investment tasks, and we also refer to our own national transport plan.
ParlaMint-NO_2010-04-20.ana.ud1350e492	I have also traveled a few thousand kilometres in the last few days as quickly as possible to be present in this important debate and discuss the very good distribution that the Council of State had, partly because the seriousness of the situation is, as the Council of State described, great, partly because it is now being done very much as it is important to obtain, which will have a positive significance, and because, of course, it has since then come new systematic information about the state of the railway system. Then I want to say that those who were affected by the problems we had with the train in winter were commuters, people who depended on the train to get life logistics – to say it like that – to go up. There was something very many people experienced daily. But what I experienced myself a few times was that adding to the NSB and other people working around the system was the victim of the frustrations that people felt standing in the middle of when the train didn't come, often unthinkable, because one should have distributed the debt in a completely different way. I think it's necessary to say two words about the story behind why we're standing there today. The permits for renewal have increased greatly from the Bondevik II government to the level we have now had in 2009-2010, from the time when the committee leader was the government council. The operating and maintenance cycles were mostly still in the Bondevik II period, while they are now at a much higher level. So I wonder how the representative Schou and the representative Hareide, in the words that one now uses about the government council and the red-green government's commitment to renewal, operation and maintenance, will describe their own efforts for operation, maintenance and renewal in the Bondevik II government, with the much lower level and the lower priorities they had at that time. We just have to admit that too many politicians over the decades have not given priority to the train. Had one done as the train prioritizers said, it would have been better, but now, of course, we have to look ahead and have it as the main perspective in this debate. Then we have to implement the national transport plan, which is a radical turnaround and an increase in the effort of trains in Norway, both in terms of investment, renewal, operation and maintenance, and keep it up. It will gradually give us the lift we need. Then we also have to see within the framework of how we can do things even better. I am pleased that the Council of State said that it would assess how we can develop the Oslo-Ski route as quickly as possible, which is an extremely important transport project, and which is important for the authorities to maintain maximum pressure. It is also necessary to take into account the railway system's reluctance to deal with the state of the rails and the material, simply for the infrastructure of the rails and the rails in Norway. This means that in the years ahead we will have to look at the need for further increases in the rights of renewal, operation and maintenance, as well as competence to achieve the best possible of the innovations that are needed in the future. It is also very positive that one in winter has done a lot to resolve the acute situations that have arisen. A series of measures have been put in place to enable one to meet the next winter in a better way, either for alternatives or for signal installations, or be willing to close for a longer period, which is not an easy decision to make, but can provide better room for maintenance and a better situation in the next round. Norway needs, as I have said before, both here and in other contexts, a train revolution for decades to come. I'm not going to stop talking about that train revolution until we get there. Now we've laid a foundation with a national transport plan, which is something quite different than what we've been able to do before. It's the beginning that we can get both the operation and the maintenance up and down, that we can get a completely different investment rate, and that we can get the important discussion about the lightning train in Norway started.
ParlaMint-NO_2010-04-20.ana.ud1350e509	The situation for Norwegian railway is not satisfactory. The main reason is several decades of missing appropriations for and really focus on rail. I have felt with all the commuters who have been standing and frozen on the platform and waited and waited in winter, and often waited for a train that did not come. Whatever the colour of the government, too little money has been spent on expanding and maintaining the network. That is why I am very pleased with the reverse operation that we are now seeing as my government stands for. This government has doubled the maintenance and tripled railway investment in four years. This has been absolutely necessary, because we have to take back some of the things that have been neglected over a long time. It is demanding because the maintenance work to be carried out must be done thoroughly and properly and must be done at the same time as the trains are to run. The opposition has been more concerned with injuring the Government, and sometimes it shoots around in the best Western style with flakes and blanks, instead of making an earnest contribution to improving the situation of train passengers. If it were the train passengers the Christian People's Party, the Right, the Left and the Advance Party were concerned about, they should have prioritised train betting when they were with the government power and the Progress Party was a supporting party. But at that time they were more concerned with filling the accounts of rich people with tax reliefs and providing reorganisations, which we are struggling with today, than to bet on community solutions and wise investments in the future, such as trains and other infrastructure. Although passengers have experienced a winter at their worst in rail transport, there is no doubt that the Government and the Red-Green majority prioritise trains very high. The railway company has received the money they have asked to upgrade the line network in the Oslo area. This commitment to maintenance and repair in the Oslo tunnel and the Oslo area will be made to ensure that trains are scheduled, to get passengers to and from work, and to transport more goods by road. We have started a massive investment in traffic, on track, road and sea, and this will be the solution to the problems in train traffic in the longer term. In the short term, the solution lies in implementing many small and large measures, as the Minister for Transport has explained in his presentation. In today's picture, the solution is not in privatisation, reorganisation or other equivalency. The NSB's previous head of passenger traffic, Stein Nilsen, compared the opposition's reorganization proposal with discussing the colour of the second floor wallpaper when everyone sees it burning on the first floor. Hard and targeted work is simply required at all stages to ensure that the next winter is better for the train commuters and freight forwarders. Railways are being prioritised in a completely different way now than they were five years ago. With the government change in 2005, we started a spin-off in railway policy. We're going to do that -- it's going to take some time. According to plan, the Oslo project will be completed in parallel with the new double track between Lysaker and Asker, while the first of the new train sets will be in place, in addition to the old trains that will be refurbished for NOK 2 billion. So it's going to work in parallel with both investments, maintenance and materials. The major challenge we are now facing is the lack of professionals, both in the signal field and in other disciplines. Many of the hands and heads we needed now, ended up in the sector when the Bondevik II parties planned to compete with large parts of the railway works. In February 2005, everyone in the Railway Agency was offered a final package, and too many took a package and broke out of the railway sector. This, along with the increase in activity that we have shown, shows that competence is critically scarce. The centre party believes that we need to go in creatively to pick up professionals from other countries, so that we can maintain and build a railway for the future quickly. I also welcome the Minister of Transport's warning to re-assess the situation in the railway sector this year. It'll be very good, and also to consider whether we're going to put extra effort into the RNB. However, the Central Party also believes that we need a broader debate on alternative funding solutions towards the roll-out of the National Transport Plan in 2013. It has to be if we're going to do a lot of fast. National transport plan 2010–2019 requires the use of DKK 322 billion for transport over the next 10 years. It's NOK 100 billion more than the previous NTP, which was overfilled. It's important that we keep going ahead of you. Oslo–Ski is one of the projects within it. It will be important because it will pave the way for new projects. Today, that stretch is a bottleneck. We take the criticism and frustration of the train passengers most seriously. We have to solve the situation in the long term.
ParlaMint-NO_2010-04-20.ana.ud1350e535	First, I would like to thank the Council of State for the presentation, and for notifying more money to the railway. It's positive, and I'll come back to that. So to our proposal, which is an invitation to the Committee and to the Council of Ministers for a common lift for the railways. We've all too often blamed each other. At the latest in the Minister of Transport’s statement – and also here today – we were told that it was the Bondevik II government, set for four years, which ended its five-year period, which is the cause of the problems in train traffic. With respect to reporting, it's disclaimer, it's wrong, and it doesn't help unite the Storting about the measures necessary to resolve the train crisis. My hope was that in dealing with this matter we would take important steps in the right direction, and that we could give all those who daily experience that the train does not show up, a real alternative. I hope we can look forward to the debate, and then we can do the history in the back. First of all, what I think is an important step in the right direction. The setting states that the Left's proposal to start work on new track capacity through Oslo is supported by the Progress Party, the Right and the Christian People's Party. It's a pleasure, and it gives you hope that with a new government you can move on in this work. New track capacity at a new tunnel through Oslo is important, because it is planned for four tracks west of Oslo and nine tracks east of Oslo, while there must be only two tracks through the city. It goes without saying that this will have a limiting effect on train provision in the East, but also in the rest of the country. The fact that we only have one tunnel has been shown to introduce significant vulnerability into the railway system, with delays and settings as a result. It is also positive that we receive broad support from the opposition parties for the proposal to clarify the responsibility of the NSB and the Railway Agency for the management and correction of deviations, and that sufficient resources are provided, inter alia, for them. buses. This failed in winter. We have seen the failure in the past, and it tells me that in train traffic we have not taken on board the fact that in Norway we can experience snow, ice and cold in winter. So to the point that is the most important in the left-wing proposal for a representative: an action plan for upgrading the Oslo S-Lillestrøm/Ski/Asker sections. If the Oslo Tunnel is the heart of the railway system, these are the main arteries. Unfortunately, they are in too poor a constitution and should be upgraded to a standard equivalent to the Gardermoban, at the latest within five years, as proposed by the Left. It is also clear from the Council's letter of reply that this is being worked on, that one has a cost framework of approximately NOK 2.1 billion, and that it can be implemented within a time frame of four or five years. The problem is that no timetable has been set for this work. As I understand it, the Railway Agency is calling for clear targets from the Government team and the Stortinget. That is precisely what our proposal is contributing to, clear, clear and predictable targets on which direction to take. Today we have in this hall the opportunity to take the commuters and the employees of the Railway Agency seriously. I would particularly challenge SV on this. Today they promise more money. It's fine. But there is more money over time that is the goal, and more obligating plans. The proposal of the left is precise, realistic and important in order to get the trains on board. Today, the Storting should report that this is a work supported, which is important and should be completed within a five-year period at the latest. The proposal is not part of the Committee's position. That is why the Left is promoting this proposal again in the Chamber today. I hope for broad support – also for the other proposals. Then we have taken an important step forward in solving the train crisis in the East.
ParlaMint-NO_2010-04-20.ana.ud1350e555	The representative Borghild Tende has taken up the proposal she referred to. Before the Council of State takes the floor, the President will draw attention to the following: earlier today, the Parliament has adopted a debate on this debate with 25 minutes to the Labour Party and 5 minutes to the Council of State Magnhild Meltveit Kleppa. The President has now received a proposal on the table that the Council of State should have 10 minutes, with the Labour Party reducing its speaking time from 25 to 20 minutes. No objections have been raised – and it is deemed to have been adopted.
ParlaMint-NO_2010-04-20.ana.ud1350e562	Every day, the Norwegian railway gets a little bit better. However, it takes time to repeat decades of neglect. I am confident that we will return to the confidence of the railway. We're four months inside the most ambitious national transport plan ever. The starting point for 2010 is a close doubling of the budget relative to when the red-green government took over, and a close treble of the investments. We're going to spend $92 billion on the railway over the next ten years. It's a big lift. The last thing Bondevik II did was cut the railway budget. I understand that this is painful to be remembered. I think it's necessary to mention it because in addition to having the budget escalated, we've shown that we're following up. We overfilled the previous plan, and we're going to show that there's going to be a match between what we're saying and what we're doing. National transport plan shall be implemented. After four events on trains before and into Easter weekends – several of the serious ones, and in a special position the tragic accident on Sjur Island – I found it right to ask the Railway Agency for an orientation on the situation. On 6 April, the railway director used the term ‘delay’ to describe the situation on the track. Confirming that the national transport plan contained the 14 billion DKK requested by the Railway Agency for maintenance. She announced that in relation to the 2006 report as a basis for that amount, the Railway Agency would now carry out a new review of what is the most likely of maintenance. She also reported that the Railway Agency believed that they could carry out the maintenance planned over ten years, for eight years instead of ten. The government shall review the need for railway maintenance in the context of the revised national budget, including the relationship between maintenance and investment. Today has so far been a special experience for me. There are many people here who have done little to counteract the situation the railway is now in, who have great boldness. It's an expression that says we have to know the past to understand the past and make the right choice for the future. It is not to bother each other that we find reason to remember the past, but to provide a common understanding of the user, as well as to provide a basis for the right choices for the future. The government took over a railway with a low maintenance budget. It was like this. It didn't seem to be much of an investment asset. Well-paid professionals were sent to the door with final packages after one of the most failed conversions that have been. It will then be easy to owe today's government for neglect – omissions that the party in this room has contributed to strengthening. I don't want to stay in the past anymore. I want to focus on getting more trains on the track, and more trains on the way. Railways are future. I rejoice at the effort NSB no demonstrates in the ash cloud: extra trains, extra wagons and cooperation with the Fly train. And I am delighted with all of the individuals who are now showing that they have confidence in the train. The government's goal is for far more people to trust the train. 60 million journeys are going to take place per. years, and 80,000, many of the commuters, travel out and in from Oslo in one day. We want far more people to trust the train. And I look forward to the conclusion that the Oslo project – the maintenance of the interior triangle – is completed, that the NSB has the 50 new train sets, that the train sets they have for renewal are completed, and that the 2012 timetable is in place. The orientation of the Stortinget on 9 March gave an overview of the measures in the short term. The briefing also told how the national transport plan had been followed up so far — almost three months within a new ten-year period, at that time. The distribution is on the table today! Let me deepen the investments by saying that there are seven new, large projects: Oslo–Ski, Mossetunnel, Holm–Holmestrand–Nykkerke, Eidangerparsellen, Ulriken, the route between Eidsvoll and Hamar, and Alnabru. Then representatives from the opposition have used many fine words about the railway – and invited to a political settlement. But there's a big deal here, because there's a very ambitious national transport plan with $92 billion, with a lot of big projects and a warning about a maintenance lift. Then the opposition outside of this hall has in turn cast doubt on the projects contained in the national transport plan. They can explain that on 6 April I said that we had to look more closely at some of these projects – not scrape, but look at the phase-in of the projects based on the framework we have, based on the professionals at our disposal, and on the need for reinforced maintenance. The Committee has managed a proposal, Document 8:54. Let me briefly comment on the suggestions contained in the recommendation, and say to what is stated in II: ‘ clarify for the NSB and the Railway Works the responsibilities they have towards customers for handling and correcting the deviations in train traffic [[...]] [[...]] It's trademarks. So on to III: ‘ conduct a railway monitoring and vulnerability analysis in the Oslo area and submit a status report; [[...]] [[...]] Work is in progress on improving the state. That's why Liv Signe Navarsete took hold of an own Oslo project and got his support from the Stortinget – with the upgrade of the Oslo tunnel and the interior triangle. So it's already done. And to IV: ‘ initiate work on new track capacity through Oslo in the east-west link; [[...]] [[...]] That work was told to be done by the Railway Agency. I look forward to achieving a national transport plan. I know that there are expectations, and I know that there are great needs. Let us not spend more time arguing about details, but rather make sure that we do not doubt each other and ensure that the common lift that is in the national transport plan is realised.
ParlaMint-NO_2010-04-20.ana.ud1350e611	It's going to be line change.
ParlaMint-NO_2010-04-20.ana.ud1350e614	The Council of State said that this government is overcomplying with the national transport plan for rail. It's interesting to know four months out in the first part of this planning period, where there's about one missing. 850 million. kr. So the Council of State also said at the end that she is considering moving funds from investment to operation and maintenance. And that makes sense. Our challenge is that many of the investment projects are almost museum objects. They should be located at the museum and should not be part of our infrastructure. For example: The owner's parcel, as I know very well, is that the speed is now down to 20 km/h, and it may soon happen that the Railway Authority says that you are no longer allowed to drive there. The question is, which sections will the Council of State push out in time? Is that the Mosse Tunnel, is it the Ulrikken, is it the Eidanger Parcel, is it Oslo-Ski? Or what investment projects will the Council of State now push out on time? There is also a very important part of the operational and maintenance challenges on the network.
ParlaMint-NO_2010-04-20.ana.ud1350e623	I thank you for the question. First, when it comes to overfilling, it's the previous plan. He was over-fulfilled, unlike what different governments have done in the past when it comes to the plans that have always been. Then, in the national transport plan, we warn you of an escalation. That means we're notifying an escalation of a frame, and the total amount – NOK 92 billion – is fixed. In the case of any modification of the phase-in of some projects, it is such a big deal that it has to go back to the Stortinget, because the Stortinget has determined how the national transport plan should be. I ask you to understand – with the new information that came – that I need a review, and I do not want to push ahead with the cork postponement of phase-in or individual project at that time.
ParlaMint-NO_2010-04-20.ana.ud1350e630	I notice that the Council of State says that this is a matter of many decades' expiration, and then I am surprised that she is staying at Bondevik II all the time. But I can stay a little while at Stoltenberg I – and I think that this is the statement that there are many decades of neglect to try to agree on. It just leads to political contempt, to blame each other. So the council says that every day the railway gets better. But the railway manager says that the maturity occurs faster than intended and that the infrastructure on the railway network can be at the pace of its lifetime. During the Bondevik II government, the regularity was 90 pst. And better; today it is 70 pst. I want to ask the Council of State what she thinks is the reason why regularity has become so bad in five years, because that is when the Government has ruled.
ParlaMint-NO_2010-04-20.ana.ud1350e639	I think the main thing about regularity is that there's actually a lot more trains going on, and so there's also a lot more trains to paint. So that it gets worse. It can get worse before it gets better. Obviously, when the Oslo Tunnel is closed for a month this summer, a lot of people will feel worse. But it is done in the hope that both the autumn and winter will be better. And then it's inevitable that in order for one to carry out the necessary maintenance, it has to be done in the track. That means distractions. So once the maintenance is done, regularity and punctuality get better. This is my message: there is maintenance every day, therefore the Norwegian railway will also be better every day.
ParlaMint-NO_2010-04-20.ana.ud1350e646	I was disappointed that the Council of State chose to spend the most time on history, and not just looking forward – not least from what we heard on the radio today early. I also think it's a little strange that the government council of Meltveit Kleppa spends so much time on the Bondevik II government, when we know that the depositor Magnhild Meltveit Kleppa supports three out of four budgets from the Bondevik II government, and the last year it was only a marginal increase. My question might have been if the Council of State believed that the marginal increase would have meant a real difference, when it supported three out of four budgets from the Bondevik II government. But that's not what I want to ask questions about. I want to focus on Elisabeth Enger's serious words that the railway's infrastructure can stand on the brink of its lifetime. And the question is, when we know that reports on which NTP is based do not prove to be correct in relation to the problems we have: will the Council of State then look at changes in relation to NTP?
ParlaMint-NO_2010-04-20.ana.ud1350e653	A plugin that applies to the previous answer: when the track is not maintained, it is more punctual, of course. Then to the future. My story description here was a small part of my post – I understand that Hareide experiences it as a great deal. I am busy for the first time that there is a need for a review in the revised budget of the need for maintenance, based on the railway manager's words. Then I am busy that the projects that are announced in the national transport plan will be phased in. And then I'm very pleased with the commitment that I've seen through this winter. I hope it keeps going when it comes to the railway. This promises good for the revision of the National Transport Plan in spring 2013.
ParlaMint-NO_2010-04-20.ana.ud1350e662	Unfortunately, for five years in a row, there is a lot of backwardness with some bad history writing: I just want to mention: the Bondevik I government, which spent time, forces and money on the major problems associated with the rapid Gardermoen expansion, the Bondevik II government, which experienced the tragic Asta accident, and which spent time, forces and money on new signal installations. But now I almost don't get time for the question. The Left is today promoting a concrete proposal with concrete objectives within a five-year period in the Oslo area. The Minister of Transport said – as I said in my speech – that this was possible to reach within four to five years. I think it would be very important signals to give the travellers, and not just say that this we will come back to in the annual budgets. But why not say today that within five years you have to commit in this important Oslo area? I understand that it has also been requested within the railway works, namely that it should be binding. We had come a long way by now. Today, if we commit ourselves to it.
ParlaMint-NO_2010-04-20.ana.ud1350e669	First of all, I think it is crucial that the Oslo project is allocated funds now year after year in accordance with what has been notified, so that it can be implemented. Secondly, there is no doubt that there is a need for increased capacity in the Oslo area, through Oslo. It's necessarily going to have to be worked out. I think it must be an important premise for the forthcoming roll-out of the national transport plan that it has been clarified. In addition, I hope that even when it comes to the intercity triangle – Oslo-Lillehammer, Oslo-Halden, Oslo-Skien – one has laid a foundation that allows one to fast when it can be finished.
ParlaMint-NO_2010-04-20.ana.ud1350e675	At least then I can see that the national transport plan has not been followed up after four months with this government and after the first draft budget. It's okay. Then I find it sad that the Council of State will not be specific about what projects you intend to postpone. The council once again says we're going to have a review. I think there have been enough reviews, and there have been enough plans that have been made in the railway sector, so I'd like to see that instead of always working on planning, maybe you could start with a little bit of action. I want to challenge the Council of State, because she has just started the lightning investigation to 50 million. kr. Would it not have been better instead of conducting planning and investigation on a high-speed train or a lightning train, to spend the money on getting projects ready, so that they can be launched and started doing something about the operational challenges and maintenance challenges we face on the railway network? And then I want to challenge the Council of State in another important area, namely the signalling installations, which are not within the national transport plan, but which are cost-based at NOK 15-20 billion. How do you intend to make sure you do something about it as well? It's coming at the top of the second. Will it also be at the expense of operation and maintenance?
ParlaMint-NO_2010-04-20.ana.ud1350e686	It's important for this government that there is consistency between what we say and what we do. We have a statement on the lightning train. We have followed it up by putting in place a statement that will be ready on 1 February 2012. When it comes to signalling systems, it is a difficult challenge. We have to go through this a little bit closer before we notify a strategy for phase-in. What is announced in the National Transport Plan in this area is that we will try ERTMS on the east line in Eastfold. It should be followed up. Then I'm probably surprised that the representative Hoksrud doesn't take on the fact that people weren't ready. If we had come with a flat frame in 2010, it wouldn't have been our people to start all these projects. So things have to be planned a little bit more. That's why we're notifying you of an escalation. Hoksrud can follow closely, and then he will see that the national transport plan is escalated.
ParlaMint-NO_2010-04-20.ana.ud1350e695	The cord shift is over.
