ParlaMint-NO_2010-06-08.ana.ud2232e113	The representative Wenche Olsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-06-08.ana.ud2232e628	The representative Solvency Horne has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2010-06-08.ana.ud2232e633	I want to pursue the line change between the representatives Gjul and Horne. The representative Horne re-explains in his post that the Progress Party is very much for equal parenthood after divorce and a break in life, and is concerned about father's rights in this context. That's really a good trait. But is it not important for the Advancement Party that these couples are also equal while they are a family? Is it the case that the Progress Party is in favour of a father's quota only in the event of a breakup? Is that how we see it? And does the representative Horne believe that the proposal now promoted by the Progress Party strengthens Father's role?
ParlaMint-NO_2010-06-08.ana.ud2232e638	Let me make it quite clear that the Progress Party is against the feather quota because we want parents to be able to decide for themselves the distribution of the weeks they are going to have. The party also wants it to be automatically shared care in the event of a breakup. It is the policy of the Progress Party. We believe that it would have been much easier if we had automatically shared care. What's important is that when this government is for a spring quota, then the logic must be that it also works if it becomes a breakup. That's why I'm surprised that the representative here is talking about shared care, that dad is involved, is a good quality, but not even seeing that it's equally important in the event of a breakup. But perhaps the representative now thinks this is such a good idea that she will fight for shared care even in the event of a breakup.
ParlaMint-NO_2010-06-08.ana.ud2232e647	The representative Horne declares that she has great faith in the Norwegian father. I join those who have commented on it before in the debate, that there seems to be a misunderstanding between the commitment of the Progress Party to fathers after the breakup of life and fathers before the breakup of life. But I hope we can agree that a father is a father, and a father is important – both before and after a possible breakup. But my question is about the importance of the birth rate. Since the Progress Party clearly declares that they have a great deal of faith in the Norwegian father, the question is quite simply: the fact that we have now had 20 years with a father's quota, what does the Progress Party believe that we are there today, that fathers take much more responsibility – and want to take much more responsibility both before and after a break in life – today than what was done 20 years ago?
ParlaMint-NO_2010-06-08.ana.ud2232e654	I thank you for the question. The party of progress has the belief in father, we believe in the modern father. I have asked my colleagues, and other fathers out there, whether they themselves want to benefit these weeks, and have been given a clear answer that they want it. That's why I'm a little surprised that the Christian People's Party, which is a family party, doesn't see that the family itself should be allowed to decide these weeks. So Christian People's Party says that father is so important. Yes, Father is important in a good life, and he is also important after a breakup. I can almost ask the representative back why not the Christian People's Party sees that it is important that Dad also participate in the child's growth after a break in life. For the Christian People's Party, is it not for one to have an automatic shared care? But I can assure the representative that the Progress Party believes that in the evolution you've seen in society in the last 20 years, it's not the spring quota itself that has made us a more equal society.
ParlaMint-NO_2010-06-08.ana.ud2232e665	The cord shift is over.
ParlaMint-NO_2010-06-08.ana.ud2232e668	We are likely to initially agree that fathers should participate actively and independently in child care. If we believe that it is important for fathers to participate actively and independently in child care, experience so far, in Norway and in our neighbouring countries, that there is an almost embarrassing relationship between father's withdrawal and the length of the father's quota. We can like it or not -- even I don't like it -- but that's how we are now, we fathers. We obediently accept a minimum, and appreciate it, I think, but nothing more. There may be several reasons for this. We have probably already discussed this in the debate. The reasons vary and are, of course, individual, but the general picture shows that there is almost some kind of legality: Father accepts the minimum right, but nothing more. That's why it's very important for us red-green now that this dish expands, and I think we're all convinced that Dad will be happy to follow – at least we red-green believe that Dad will be happy to follow. Thus, when I think a little bit more about it, it is probably wrong, what I opened up to say. We probably disagree on how important it is for father, for child, for mother and for society that we are developing a society characterized by a more equal parenthood. It really surprises me that the Right has not come any further into its political project in 2010 – a party that is otherwise concerned about the importance of this with gender issues, and that differences between boys and girls create a lot of problems, among other things. at school. We have an interpellation later today where the Right-Representative Henning Warloe is just addressing that issue and asking the Red-Green Council of State what she intends to do with it. It could be an opportunity, right, that we didn't choose to deal with the problem first at high school or in high school, but that maybe we started out in the very first years of our kids. No, this is the difference between us, good Right Party and Advance Party representatives. I think we should be a little more honest and honest, there's a fair disagreement we're dealing with. We simply disagree on the importance of this spring quota, how important it is to an equal parent. The Right Party and the Advance Party view this as a beautiful opportunity in a modern society, which the family has spoken together over the kitchen table about. I have learned so far in the debate that it is like above the kitchen table this must be decided. Someone will accept this opportunity in a good and beautiful and warm way, and others will not. But we red-green are impatient. We want to be offensive, we want to develop a society that, in every way – not least in the world of work – is served by a more equal parenting society. Then the Right and Advance Party sit and intersect their fingers. Some of the Right Party and Advance Party representatives will hope that Dad will make greater use of this right, others I think are quite happy with the state of things, that it is the mother who is the dominant figure.
ParlaMint-NO_2010-06-08.ana.ud2232e681	It's going to be line change.
ParlaMint-NO_2010-06-08.ana.ud2232e684	There is no doubt that, in particular, SV believes the parental leave scheme. is the main tool of this government to achieve equal pay. SV is terribly concerned that this scheme is an opportunity for mom and dad to share just the same, that there should be no difference between how much mom and dad takes out. That is why I want to ask the representative what perspective is most important with this scheme. Is there a care perspective that is most important for SV, or is there the possibility of achieving more equal parenthood, more equal pay and more equality in society that is most important for parental leave?
ParlaMint-NO_2010-06-08.ana.ud2232e691	Firstly, it was a little surprising to hear that this is SV's only instrument in the equal pay debate. Then the representative has followed with little in the political change of words, among other things. on equal pay pot. We have several arguments that we think this is important: it's important for dad, it's important for the kid, it's important for the mother, and it's important for society that we also get the gender perspective in place, and get it put into practice in this area, as it is in other areas of society. So there's a lot of different reasons why we think this is important. Once again, it's good for Dad that Dad also has such a long opportunity to really take his role and play that role in a good way, not least in terms of how to operate as a father later in life. That's very good for the kid. It's very good for mom that someone gets in place dad in this role. And, as I said, I think society will greatly appreciate that we also get a more equal approach to this.
ParlaMint-NO_2010-06-08.ana.ud2232e701	SV is very concerned with equal pay policy and part of the equal pay pot, which was also attended by the representative of Hofstad Helleland, and the birth rate is also important for SV. The representative also said in his comments that this is important for father, and that is important for the child. In fact, the progress party can fully agree with the SV representative that it is important for both mother and father to be present in the child’s first awakening, and it is important that the child know his or her father from the beginning, in the first year of life. But my question to the representative from SV concerns the independent right of access for father. Does the representative see that the fact that Dad has a self-employment right is an important part of getting this in place?
ParlaMint-NO_2010-06-08.ana.ud2232e710	I don't fully understand the context of the argument of the Advance Party when a boat fights a heroic fight to get equal pay and at the same time it seems so problematic what is being proposed here from the Red-Green Government. If the Progress Party is genuinely concerned with equality in this area, the Progress Party should be able to easily join in what the Government has proposed here to extend the feather quota.
ParlaMint-NO_2010-06-08.ana.ud2232e715	The SV called for a third of the parental leave early on, and SV is not entirely opposed to a two-part division either. Soria Moria II says that it is 14 weeks that have to be allocated to father — that is, the birth rate. Is it true that it is perfectly OK for these weeks to be taken from mother – that not only the parents' freedom of choice is now completely taken away from them, but that mother too, who has been through a perhaps tough birth, a tough pregnancy and has challenges after birth, has to go back to work because the government wants to take mother away weeks in order for father to get an increase in father's allowance?
ParlaMint-NO_2010-06-08.ana.ud2232e722	We have had an exciting debate in our party about this third, just as we know that you have had it in the Right and in other parties, and there are many numbers and distribution mechanisms that have been swirling in the air. What's our main starting point is that it's important to have a right for mother, it's important to have a right for father, and then one can have a period where one can be more flexible in the distribution between father and mother. But it's very important with Dad's right – and this isn't about taking anything from mom, but about giving dad a right to take out leave to be with his kid in such a good way and over so long that he can just get a good start on playing the father's role further beyond childhood and youth. So it's Dad's right and whether Dad's going to have that right and the size of it that we're discussing here.
ParlaMint-NO_2010-06-08.ana.ud2232e729	The cord shift is over.
ParlaMint-NO_2010-06-08.ana.ud2232e732	The center party is busy with the family, and we are concerned that we should have an equal parenting where both mother and father assume the responsibility of having children. In order for the child to have good contact with both mother and father, it is important that the possibility of bonding in the first year is present. It is important that we facilitate strong families and that we have a family policy that highlights the importance of the family. But we cannot see family policy in isolation either. It will also have an effect in other areas. When Father takes more responsibility for the children, we avoid the biased division of responsibilities that we see today, where mother takes on the primary responsibility for this, which in turn affects wages, will affect the working situation and rights later in life. The Advance Party and the Right talk a lot about freedom of choice for families – and freedom of choice is important. I would say that the families have a lot of freedom of choice today. Most of the leave you can actually sit around the kitchen table and discuss how to share. You have e.g. flexible arrangements with a time account. Parental leave can be taken until the child is three years old and the parental allowance can be taken out continuously, or a more flexible withdrawal can be chosen, for example. one day a week or split it up into several periods. It's not like Father has to take out his part of the leave during a short period of time. So the family has a great opportunity to discuss how you want to spend your life with your family. The problem is that too many families don't sit down and discuss a solution. Studies from, inter alia: Nav shows that there is just a lack of discussion about the distribution that seems to prevent fathers from taking leave beyond the spring quota, because fathers take it for granted that it should be like this for as long as mother does not address this question. This also gives us a signal that we are far from in this field – that Dad feels that he has as much responsibility as Mother. That's why it's important that we give a signal that parental leave is not only reserved for mother, but that we have a part reserved for mother, a part reserved for father, and a larger part that families can actually choose to share as they please. Today's proposal, which can be called a kind of removal of both the mother's quota and the father's quota, is not a proposal that relates to the realities of society we see today. Proposals highlight the importance of flexibility. Yes, flexibility is important. Today we have. That the scheme has a expectation that both parents will give priority to approx. ten weeks of his life being at home with the child for the first part of his or her life, is not a sign of little flexibility. Despite the fact that the Norwegian model of parental leave is one of the best in the world, we must not forget those who are outside, those who are not entitled to these ten weeks of parental leave, who have not earned rights, who cannot take out any of the parental leave, or those who have only one-off benefits. For them, the debate we have today is not very relevant. That is why the government has announced a review of today's system to get a more equal and simpler system. That work will have a great impact on families and especially on those who know, in this debate, that they are outside the system we have today. For the Central Party, it will be important to put in place a system that will take care of all the families, including those who do not fit into the system we have today, but also to ensure freedom of choice.
ParlaMint-NO_2010-06-08.ana.ud2232e751	It's going to be line change.
ParlaMint-NO_2010-06-08.ana.ud2232e754	Ivarta all families, says the representative of the Center Party. I'd like to take a look at that. The propulsion party wants to have a system in which the family itself should be able to distribute these weeks. Then we had taken care of all the families. There is evidence of little belief on the part of the Center Party when they say that there is a lack of discussion around the kitchen tables in the individual families. The Progress Party believes that this is completely wrong. We think it's a good discussion in all families when it comes to such an important topic. I'm also surprised at the Center Party here, because they have quite a number of farmers around in their stock that may have problems getting this quota out of which the representative is so busy, also linked to self-sufficiency rights for those who are involved in agriculture today. So my question to the representative is: does the Central Party see that it is important to have an independent right of use for fathers?
ParlaMint-NO_2010-06-08.ana.ud2232e763	When the government is going to have an overall review of the parental pension scheme, it is very important to look at several things. One thing is self-sufficiency, another is the ability to take out these weeks. That means we have to look at several things, such as: the activity requirement. So many things will go into this evaluation. To the question of whether there's discussion in the families, what I'm referring to is, a survey from Nav. It shows that when the parents have been asked if they have had a discussion about the distribution of the scheme, they have replied no, we have not had any discussion about this. Yeah, there may be a lot of farmers voting at the Center Party. I assume that when you have a child, you have the opportunity to prioritize 10 weeks with your child during the first three years of life of your child. It's important for the child, and it's important for the family. I think the system we have today is flexible in many ways. But we want to look at the system now and see if there are things we can do even better.
ParlaMint-NO_2010-06-08.ana.ud2232e774	I'm excited about how the red-greens are going to regulate the quota between my husband and me on this issue, but they're probably coming back with new proposals, I think. The centre party has been with – I was about to say the other bourgeois parties, but it would be wrong – the bourgeois parties now today to give increased freedom of choice to their parents through the cash support. In that question, the Center Party, together with the bourgeois parties, stressed that it was incredibly important for families to make independent choices based on good discussions in the home, and that they had confidence in the families. Today, the Central Party is talking about the family that red-green politicians are adopting the framework for, and you cannot adopt your own framework. What is the reason why the Center Party believes that the family is able to discuss the cash support itself, but not discuss the father quota?
ParlaMint-NO_2010-06-08.ana.ud2232e783	The centre party believes that the families are able to discuss both cash support and parental leave, and we hope that more families will do so today. When we want to go through this parental leave scheme, it's just to get a simplified and equal treatment system that makes it easier for families to discuss. I hope that the families, when they sit and discuss today, are able to get a good distribution of this. Although we say that ten weeks should be reserved for father, there are 36 weeks left for families to sit and discuss and distribute, so there is a great opportunity to distribute weeks within the system we have today. So the centre party is well satisfied with the parental leave scheme we have today, but we see that it has weaknesses. That's exactly why we're also looking forward to this review in order to get a simplified, equalized system that can make even more families fall under this system, for too many of these outside today.
ParlaMint-NO_2010-06-08.ana.ud2232e793	The cord shift is over.
ParlaMint-NO_2010-06-08.ana.ud2232e796	The current proposal for a representative deals with two questions: whether a part of the parental leave should continue to be earmarked for mother and father, and what activity requirements, if any, should be imposed on each parent during the other’s withdrawal from parental leave. Let me first make it clear that the Christian People's Party wants to make the world's best parental leave scheme even better. We believe that the scheme should be extended to 68 weeks, i.e. about 16 months, which can be used within the child's age of 10. The permit shall be shared freely, with the exception of 10 weeks reserved for mother and 10 weeks reserved for father. It will provide greater opportunities, greater flexibility to spend time with children through growth, and it will also be a good tool to facilitate parental time with children both before and after a possible breakup. The Christian People's Party is not in doubt that it is still a good tool to give danger the opportunity to take out parts of the parental leave through a separate quota. For the Christian People's Party, freedom, flexibility and freedom of choice for families are important. Each family has different needs and conditions that must be taken into account and accommodated. The family quota does not reduce freedom of choice. The family quota is on the contrary an important right to father, which gives increased freedom of choice to fathers, in the society that is today's reality. A simple example illustrates this. Every day, even today, the following happens in Norwegian jobs: a female worker gets away to her boss and tells her that she has become pregnant. The manager nodded, congratulated, said so nicely and began to plan immediately how he would fill that place with an approximate year of vicariate. Then the same thing happens to a male employee. – Congratulations, so nice, says the manager, and thinks that he will probably be a few weeks away in the next year once, hopefully in connection with the summer holiday or when you have a quiet period in the company. There is no doubt that the attitudes we still have in society today, with which employers meet employees, restrict the freedom of choice of fathers and the ability of fathers to fulfil their own wishes. So the birth rate is an important card to have in mind to realize the possibilities you want to choose and to strengthen freedom of choice. In the opinion of the Christian People's Party, it is naive to believe that traditions and attitudes do not lay the foundations. It is premise that really restricts the freedom of choice of families and fathers. It is necessary that part of the parental leave be earmarked for the mother and that part be earmarked for the father. There is good evidence that the father ratio has good effect and gives more time to father. We have to deal with that. That is why we still see it as a necessary instrument. In this debate, we see that the right side, the Right and the Advance Party, have gone wild in a naive and remote attempt at principle thinking, which in practice reduces the freedom of choice for Norwegian men. The left side has seen the importance of still ancestral quotas, and we are in the position with them to say that increased contact between father and child is important. At the same time, when discussing a parental leave to be organised only after the fight for money and the career of adults, you continue to want to go on the left side, and you forget the family's own freedom. We also regularly see that when other questions about adult demands come on the agenda, the red-green people are willing to adopt – as has been done in the context of § 4 of the Children's Act – that kids do not need a father at all – that all kids must have a mother, but they do not need a father. It's going to be inconsistent in some ways and it's not hanging on to it. It tells me that the good solutions in family policy, the good solutions to freedom of choice and to get mothers and fathers together on the track, so that the young will grow up better, are at the centre of Norwegian policy. Then it's important to continue to work to achieve the performance of fathers and to continue working with solutions to the obligation of activity, which means that we get a more gender-neutral and fair parental parental leave scheme.
ParlaMint-NO_2010-06-08.ana.ud2232e811	It's being opened for line change.
ParlaMint-NO_2010-06-08.ana.ud2232e814	First of all, I can assure the representative of the Christian People's Party that I have not gone my way. I have mirrored the compass into today's modern family. I actually thought that also the Christian People's Party had done. If I am not completely wrong, one of the messages of the Christian People's Party – at least in the context of elections – is freedom for the family, that the family is in the main seat. The freedom of choice for the family has been very important for the Christian People's Party, even in the case of cash support – that families themselves can decide whether they want kindergarten for their children, whether they want a day's mother, or whether they want cash support. It's freedom of choice, what each family itself will be allowed to decide. It's at least what I've believed the Christian People's Party has stood for all along. Therefore, my question to the representative now concerns what the difference is in this freedom of choice and the fact that parents themselves can choose with regard to the parental quota and parental leave. My question to the Christian People's Party is: Does not the Christian People's Party see the equal importance of freedom of choice for families here?
ParlaMint-NO_2010-06-08.ana.ud2232e819	As I said in my post, freedom of choice is fundamental to the family policy of the Christian People's Party. But no people have ever made a choice in a vacuum. You do it in the community you live in. This means, for example: that in the case of kindergartens and cash support, there is a freedom of choice for families, which we together have stood for, and which is the result of an offensive policy. This is the sum of the 20–40 year extension of kindergartens, which has made it possible to choose a kindergarten and to build up the cash support – that is, the sum of active policies – that has given that freedom of choice. Similarly, parental leave schemes apply. Because, as I said in my post, there is a difference in the reactions of an employer as to whether a male or female employee is asking for parental leave. That's why we need the father's allowance as a card in the sleeve in order for male workers to realize what most people want, to spend time with the kids in the first year.
ParlaMint-NO_2010-06-08.ana.ud2232e824	So now, in Norwegian universities and universities, there is a female majority in almost all studies, at least a lot of studies – at the School of Business and Economics, there are girls everywhere. How can the representative, Håbreek, be so sure that the employer has a less wide smile when a key person who is a woman says she wants to take out a long leave than when a man does the same thing? Does not the representative, Håbreek, believe that it is a fact that Norwegian jobs actually change structure also in relation to gender distribution, who has what jobs? Does he not think that at least there is something to be said about the problem he has raised – that there is such a difference in the employer's perception? Does not the world go forward in this area as well?
ParlaMint-NO_2010-06-08.ana.ud2232e829	Yes, the world is moving forward, and there are many reasons why the world is moving forward. The birth rate is one of them. That the attitudes now change is certain. Increasing gender distribution between different studies and occupations, both in management positions and in other key positions in business and working life, is of great importance, and there is no doubt about it. But I am convinced – and we hear a lot of stories about it – that it is still such that employers are totally different about whether it is female workers or male workers who are asking for parental leave. I actually think it's about both male and female leaders. I'm sure we still have a long way to go there. If we remove the parental quota, fewer fathers will take out leave, you'll take out shorter leave, and that's not in line with what fathers really want.
ParlaMint-NO_2010-06-08.ana.ud2232e834	For the Right, freedom of choice is an important value, and it is a value in itself that people and families are allowed to decide how to organize their lives. I also see the Christian People's Party as being concerned with the value of having a principle approach to this. I am therefore very, very disappointed and very surprised that the Christian People's Party does not have a principle approach to this. They define themselves in the center, agree a little with the right side and a little with the left side – affect both sides and seem a little uncertain about where you stand. Is it true that the Christian People's Party now has a more pragmatic relationship with freedom of choice, that now that full child care has been achieved, cash support is not so important either? Is it so that the families out there can no longer have the confidence that the Christian People's Party is fighting for family freedom and the ability to live good family lives?
ParlaMint-NO_2010-06-08.ana.ud2232e843	Cash support is still important for the Christian People's Party because it is part of the total, total package that ensures freedom of choice, along with full child care coverage. It is true that I have very clearly defined the Christian People's Party in the centre, including in family policy. This does not mean, however, that this is what the representative said, but it means that the left-hand side agrees with us a little, and the right-hand side agrees with us a little. Freedom of choice is, as I said, fundamental to our policy, but it requires an active policy. It is precisely an active policy of kindergarten development that has helped give us the freedom of choice we have, along with the cash support. Similarly, for the parental leave scheme, as long as there is a much higher threshold for fathers to ask for their share of parental leave, an active policy of parental leave is required for many years to ensure that fathers have freedom of choice before we get there that we can abolish it.
ParlaMint-NO_2010-06-08.ana.ud2232e850	The cord shift is over.
ParlaMint-NO_2010-06-08.ana.ud2232e853	I must first apologize for my little delay instead. It was due to a misunderstanding, but of course it should not happen. This matter has been debated before, and we are going to debate it again. I noticed in a little talk from the representative of Hofstad Helleland, in the change of lines with the representative of Aksel Hagen instead, which I think is quite revealing in terms of what this is all about. Then the representative accused SV of wanting to increase the feather quota by taking time from mother. No one has proposed to increase the parental quota by taking time from mother, but there are some proposals to take some of the time that is currently in common between parents to increase the parental quota. Also in this hall it creeps into our heads – because I'm absolutely sure it was a delay – that the time that is in common is actually Mother's leave. It shows very well why this society is not there that we can abolish the feather quota, because both in this room and outside it is such that when the permit is to be distributed, one assumes that the time that is available for free distribution is mother's time and not father's. What is happening today, which is the most interesting thing about today's debate, is not that the Progress Party is once again presenting a proposal they have made many times, but that the Right is involved in making proposals. It implies a break with a broad consensus on one of the pillars of Norwegian equality policy, and it means that the Right allows ideology to go ahead of both realism and knowledge of how fathers and parental leave have turned out and out in Norwegian families, and across a very clear advice from an overall working life – not only from the workers’ organisations, which are hot defenders of the father's quota, but also the NHO, which was out there with what could be called a rather harsh condemnation of the recent Supreme Council decision. I have never in my life agreed with the NHO as in what was said then. Removal of the parental quota will not give families the real opportunity to share the parental leave between their mother and father as they wish. Removal of the parental quota will mean less freedom, and it will mean that several fathers do not have rights they can claim themselves, but will depend on both getting goodwill from their employer and despite the notion that both women, men and the environments around them have that the common time of leave is mother's leave. We can ban direct discrimination in this society, but we cannot control ourselves away from the pressure of expectations – the attitudes of employers, colleagues, family and friends, starting points, traditions and expectations. On the other hand, we can gradually change the way society views fathers as caregivers through good measures, such as the birth rate. I do not believe that quotaing is an end in itself. If we get there that we can safely cancel the spring quota because we see that fathers' withdrawals no longer follow the limits set by the quotas, then I am happy to promote the proposal to abolish the quota. But there we are not, because there is a close link between fathers' outlets and what they actually take out in practice. It is important to look at the experiences of our neighbouring countries. Denmark removed its quota in 2001. If it had been that the right side is right when they say that removing the father quota would not have anything to say for fathers’ withdrawals in practice in Norway, one would think that one could see in Denmark today that there were as good numbers for fathers’ withdrawals as what we have in Norway. It's the opposite. In Denmark, three-quarters of all fathers do not take leave at all. It is possible that the right side believes that Norwegian fathers have something of their own that Danish fathers do not have. I don't think so. I think it's quite simply about how we've organized our leave arrangement, and what kind of rights fathers get. What the right-hand side is proposing today is taking away from federal rights, freedom and opportunities. It will affect both fathers' rights and children's right to be with their parents, and it will affect women's rights in working life and equal pay.
ParlaMint-NO_2010-06-08.ana.ud2232e869	The Council of State started by apologizing for his late arrival at the matter that was to be dealt with, and we registered the apology. He also said that it should not happen again, and it certainly should not. It's being opened for line change.
ParlaMint-NO_2010-06-08.ana.ud2232e874	The Council of State and the Government boast that through the spring quota, all fathers are guaranteed a leave, and they must take care of all. But some special rules seem different for some families, and then I think about where mom's unhappy. What will the Council of State do when he sees these specialities striking out so unfair and hair - moving? It cannot be the intention of the government to make it look like that for this group of fathers.
ParlaMint-NO_2010-06-08.ana.ud2232e884	The government does not boast that all fathers in Norway are entitled to a father's allowance, because we are very aware that there are quite a number of people who do not have it. 6 500 fathers is the approximate number we can operate on this year. There are different reasons why they don't have rights. Let me make it clear – as has been said several times in this debate – that Norwegian men do not have the right to self-employment. Norwegian fathers have had their own right to income outside the spring quota for ten years, within the spring quota for five years, but many still lack access rights. The group where mother is dissatisfied is one of them that I agree with that is clearly good arguments for should be in the arrangement. As of 1 July this year, 1,500 new fathers will be given the right to take out, and my goal is for more people to have it in the coming years.
ParlaMint-NO_2010-06-08.ana.ud2232e889	I want to begin by commending the Council of State Lights because he gave an answer when he was asked how his household would distribute the parental leave – just that it was a private matter. Even though you're a public person, I have the sense of setting such limits. And that was just an obligation to make a statement. So it might be that some of us think it's an even greater intervention if politicians decide how to distribute this parental leave. My question is: does not the Council of State also see that all the good arguments for having a distribution where father takes his part and so it is a discussion that can well take place in individual homes – much better than, for example, in the national parliament of the country or in the national meeting of the SV or in the national meetings of other parties – and that this is essentially something belonging to the private sphere?
ParlaMint-NO_2010-06-08.ana.ud2232e896	I have actually been relatively open to how much leave I intend to take myself, but I thought it was reasonable to discuss it with my partner before I discussed it with the press. So in my family, as in all other families, we have a discussion about the distribution of leave. And then it's because you have an allowance that you have the right to as a man, and in addition, you have the opportunity to take out a larger part of the time that's available for free distribution. The challenge today is that it is very often perceived as if the time of free distribution is Mother's time. It shows the importance of the parental quota, because it allows men to have a greater opportunity — both in the internal family discussion and in the discussion with the employer — to have a time set aside for themselves. It's just to compare — again — Norway and Denmark, you see the clear difference that's in men's rights, with the father's quota and without it.
ParlaMint-NO_2010-06-08.ana.ud2232e903	State councils shall be allowed to discuss their distribution of parental leave in peace. However, I assume that he, regardless of the solution, meets with a response from his boss who is different from the certificate I may have been injured to give Norwegian employers earlier in the debate. The Council of State and the Christian People's Party are very much in agreement on the need to defend the federal quota. We also agree a lot on the fight for equal pay. Now, of course, the government is going through the parental leave scheme, where equal pay is in a way a change. We still see posts and chronicles and other things from red-green politicians who make this primarily a question of equal pay. So the question then becomes to the Council of State: Who is the birth rate and parental leave scheme for? And does he agree that it is possible to go so far as to regulate the inner life of families that it actually affects the welfare of families and the welfare of children?
ParlaMint-NO_2010-06-08.ana.ud2232e912	The leave scheme is primarily for children. So it's also that the leave system is good for society, because it allows more people to have both children and jobs. The leave system is good for men, because it allows fathers to be more with their children. It is good for women, because it strengthens women's rights in working life. In addition, I certainly believe that it is very important for children to have contact with fathers, and that means that the gender equality element in the scheme does not conflict with the care element, but they are linked. I think I and the replicator agree on this. And then the challenge is to be able to build the world's most flexible system in a way that makes it both simpler and more equal. I think that's possible. After all, the debate on the feather quota is about a time we have put at the top of a system that is already the most harsh and flexible in the world. The family quota does not contribute to making this a little flexible scheme, it is a very flexible scheme, and it will also be in the future.
ParlaMint-NO_2010-06-08.ana.ud2232e919	The cord shift is over.
ParlaMint-NO_2010-06-08.ana.ud2232e922	I have followed the debate and seen the proposal, of course. I see that the proposers believe that this could best be resolved within what can be called the private sphere. What's to say if even if it sounds like a relative, is that there's still a very obvious and clear difference in how women and men live their lives, especially when they have children. We know that. Women work more part-time, they earn less, they take more care of the children. Correspondingly, men work more, and only take 20 pst. of the total parental leave. That's why I want to say that either this is an expression of some kind of naivety -- I don't really think so -- or, and I think more, it's an expression of an ideology. And I would say – with an address not to the Right, but to the Progress Party – that it is enough to say that the Progress Party does not believe that gender equality is so important, as their political practices have been over the last 10–15 years. That's said by others, but I also want to say that I think it's a little regrettable and a little bit eye-catching that the Right now goes on the same track, and will remove the feather quota. Now it's true that the right has very rarely been in the front when it comes to these questions, but in most cases it's come after, slowly, but surely. So also on this question. We can remind each other that in 1993, the right-wing vote against the introduction of the quota has changed in time. What's the explanation for that? As late as January this year, the President of the Right and the parliamentary leader, Erna Solberg, said that Right ‘have admitted that sometimes society needs such regulations to reverse attitudes such as that men are perceived as less ambitious in the job if they take parental leave and that women are expected to withdraw leave’. So now this line is left by the Right, and the Right agrees with the Progress Party that the feather quota should be abolished because the attitudes of men have changed, and all men will now choose to be at home, without the state deciding how to organize their private lives for each family. It sounds, as I've already said, maybe a little dependable. But if that principle were to be transferred in other areas, we would see that this reasoning simply does not work; if, for example, the Stortinget. should think in the labour market that now employment has evolved so far and employers have developed such a positive attitude to the employment environment law that we could weaken it in many areas, because it is not needed. It's not to draw the reasoning too far, because it's the balance between the private sphere and its own rights and the state's need to regulate society in a sensible way so that we can achieve a positive development, which this case in many ways is really about. I would like to end by saying that when the Workers' Party has worked so intensively with these questions, both in terms of gender equality and parental leave, now for many years, there is a mix of two things. This is an expression that we believe is what creates individual freedom, but it is also an expression of a pragmatism, which I do not understand that the right parties in this assembly are not in it. What's this about? Well, that this has given an incredible economic success to society, because without women in work – based on these schemes and more – we would not have had a basis for the economic growth we have had. Return on capital had been significantly lower in recent years. That the right parties don't see it as an important element in how society is organized, I just don't understand. Therefore, the continuation of this arrangement is also of great importance.
ParlaMint-NO_2010-06-08.ana.ud2232e936	Gisle André The Brother from Flateby does not get the paper commission to be with his son, Mikkel André. The reason is that the wife is unhappy. The wife says, "My husband and my son have to suffer because I was hit 20 years ago and ended up in a state of disability." This experience the small family as very, very unfair. I'm having trouble understanding the logic. That he should not be entitled to be at home with his child, I do not understand. I would like to point out that they have not chosen themselves to end up in this situation, it is highly involuntary. This is a ride. Anyway, it's important, both for father and son, that they can get together. Here we're not talking about shared solutions – no, they can't be together at all. It's quite hairy that dad shouldn't get a paper commission because the wife's undressed. Government and Council of State make a lot of sense that we have a fair and proper way of distributing the permit scheme. But it seems so much wrong for someone. To be honest, I don't think the government and the Council of State can be aware of how different special rules are for different families – cases where mother is illiterate and for this reason has been unable to process the right to parental leave on the basis of government criteria. If you had been aware of this, you would of course have done something about it. Because his mother has not worked up this right, his father is therefore discriminated against because his wife is illegitimate. The government correctly removes the requirement that mother must have been in at least 50 pst. position during the vesting period, but it has no effect in order to avoid discrimination against families in which mother is without husband. Discrimination against parents involves refusing to give children the full attention of their father for a period of time and punishing a family for circumstances that have led to disability. This can't possibly be the intention of the law. I see, and more people should have seen, that it's a value in themselves to make sure that both mother and father get their share of the time with the child. During the line change, the council said that he would do something about this, this was an important point. I think everyone in this room is aware of that when you're aware of it. But why do the government parties vote against the proposal to do something about it and change the legislation in this particular situation?
