ParlaMint-NO_2010-02-11.ana.ud2474e61	The representative, Solvency Horne, will present a proposal for a representative.
ParlaMint-NO_2010-02-11.ana.ud2474e1300	It's going to be line change.
ParlaMint-NO_2010-02-11.ana.ud2474e1303	I record that the Council of State believes that ‘project financing’ is a honorary word and clearly nothing more. I record that it is one of her own government colleagues who have been most diligent in using project funding as a way of financing both road and rail projects. What I want to challenge the Council of State is: What is the basis of the Council of State to disagree with Minister of Finance Sigbjørn Johnsen, who wants both project finance and to share the Railway Agency with two companies? So it might be interesting to know why the Minister of Transport does not want the Minister of Finance to get through to the Government.
ParlaMint-NO_2010-02-11.ana.ud2474e1310	Minister of Finance Sigbjørn Johnsen has done well to ensure that the article that later has a great deal of attention is written in his time as County. He has also made note that the most important thing for him is to stress that there is a total framework for investment that determines how much can be done with rail and road development. I really agree with that. It's actually so that this government has gone beyond double the budget for the railway. We have triple investment so far. We have set an ambitious plan for the next ten years. Then I thought that it would now be a derailment to focus on how to reorganize in the future. Now, we need to refurbish the network and build new tracks.
ParlaMint-NO_2010-02-11.ana.ud2474e1315	The new management at the Railway Agency said not long ago that you had enough money and that you could do the job. And today we actually have the opposite idea. We have the impression that you have too little money, and that you need help from the outside. Does the State Council believe that the Railway Agency appears to be an offensive, powerful organisation and a delivery-oriented organisation? Does the State Council consider that the Railway Agency does not need organisational renewal? And does the Council of State think that the Railway Agency does not need new financing tools to build more railways faster?
ParlaMint-NO_2010-02-11.ana.ud2474e1320	The railway company has said that this year they have enough money for the upgrading work that is going on in the Oslo area. That's the 470 million. kr, which is allowed to be used. And luckily, they've got a lot of funds, or else. Upgrading is going on in other places in this country. I think they could have spent more money. I'm glad this is an ambitious national transport plan. But what the railway works are struggling with is special competence. There was also something that the Bondevik II government itself reported to Stortingen after they had changed their mind, for example. to Baneservice. They were looking at the technical field. It was not as easy to put off as they believed. In the Railway Station they now beam both in the North and otherwise according to the competence to secure e.g.: The signalling system.
ParlaMint-NO_2010-02-11.ana.ud2474e1325	When I hear from the Council of State, I must say that I am still calling for the overall political leadership and what the Government wants with the Norwegian railway. In the evening post today we can read that the Director of the Railway Agency is asking for private solutions, outside help, more expertise and more money. Then the government is 2 to 3 billion kroner according to the national transport plan, which in a way is what the Council of State is constantly holding up in front of the Norwegian people, and which will not give more signalling facilities or better trains in 30 years. There are significant challenges. The Minister of Finance has said that the rule of action should now apply. It means less money. Is it the case that the Council of State cannot imagine any new solutions, new organizations and other instruments, but simply confirms that the ‘Princess will not’ still live in Soria Moria?
ParlaMint-NO_2010-02-11.ana.ud2474e1334	I take the responsibility of a Minister for Transport. In cooperation with the NSB and the Railway Agency, we have put in place a number of short-term measures in the very demanding situation that has been in winter. There are several planes in the more medium term, including new double tracks, and one has in the long term additional planes both within the intercity triangle and otherwise, as well as a high-speed rail billing. But I have to say that I thought that the Right would soon take on the responsibility that they themselves have for sending on the door high competence from the Railway Agency. It actually happened in 2005. It wears the Railway Station with yet another one.
ParlaMint-NO_2010-02-11.ana.ud2474e1340	I want to challenge the state councils in two areas. It is clear that the Council of State does not want any restructuring of the Railway Agency. But is the Council willing to go in and see how we can improve incentive systems between the NSB and the Railway Agency? Then I think about what we have on the freight side, that one pays something for the use of the network. It will provide a clear structure for the Railway Agency and will not require any reorganisation. It could be a first step on the road towards a better railway. My second question to the Council of State relates to the national transport plan. We have now set behind us a winter that the Council of State itself has described as a crisis. Is the national transport plan going to resolve the situation we have in the central east?
ParlaMint-NO_2010-02-11.ana.ud2474e1349	Until the last one: At the turn of the year 2012–2013 there has to be a significant improvement in the Austland area. Then today's Oslo Tunnel is upgraded, then there may be five more trains per hour. But there will still be challenges in the railway field before the intercity triangle and beyond in relation to the ambitions that are now in order to ensure that far, far more than today is in use by rail. So to this with incentive systems. In fact, I thought that the most important thing now is to let today's railway works work work and get more competence in place. I have noticed the tribute here in relation to Mesta and other reorganisations: Go to the control committee and look at the case that lies there – not all reorganisations have given equal benefits.
ParlaMint-NO_2010-02-11.ana.ud2474e1356	There has been a lot of talk about money use here today. Special representative Gorm Kjernli boasted of the amount of money spent, and the Council of State was also involved. On the same line as several here I was a little confused by what was in the evening post today; a while ago you had enough money, and then suddenly you have too little money. But my specific question is: is it possible to carry out the renewal in the Oslo area through the availability of capacity in the European market?
ParlaMint-NO_2010-02-11.ana.ud2474e1361	I understand that it is possible to let go of the insurrection that the government party is satisfied with greater investment on the railways, when one himself represented a government that in its last year's budget had DKK 1.3 billion for investment, and we have now gone up significantly. So I also understand that it's possible to be confused by the railway manager. I can see her quite clearly so that she has the resources she needs this year. She may spend more money, and I would like to be busy for the Railway Agency to have additional funds. When we ask her if she can support the work now in the short term in the Oslo project, she thinks, as I understand her, that she has to stick to the resources that are now in place, the plans that are in place, to exploit the possibilities, we have to say to the crew that she has to use.
ParlaMint-NO_2010-02-11.ana.ud2474e1368	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-02-11.ana.ud2474e1373	Even though today's railway is at times stationary, the world is still a little ahead. A few years ago, the Stortinget examined the proposal promoted by the Progress Party on the reorganisation of the Railway Agency. We asked the government to reorganise the Railway Agency to state companies or public limited liability companies, and we asked the government to assume that the company will receive long-term loans at a low interest rate for its projects, and that interest and deductions will be covered by the annual government budgets. At that time neither the Right Party nor the Left Party supported the proposal. Today, there is broad consensus on the non-socialist side on precisely such solutions. That's good. It is not good that the government parties now reject the proposals to explore the model of government loan scheme for transport purposes, and it is not good to also reject the call and request to return to Stortinget with a plan to finance new, larger investment projects in order to ensure the rational and coherent development of projects. In the past, at least the Workers' Party has shown both faith and hope linked to the use of project investment. This is bad news for everyone using trains - everyone who can use trains and wants to use trains. It is bad news for Rail-Norway that the government parties have doubts about old-fashioned, completely inadequate and unnecessary financial arrangements in which large social investments such as rail are financed on the basis of just the cash principle. There's going to be a crisis in the railway sector for a long time. It does not help to buy new trains when new trains cannot run fast on old rails, on a lot of one-track rail and with a signal system that does not give a signal. It must also be reorganized, but above all it must be refinanced. No one builds houses in Norway as we build roads and railways. It has to be new. Regrettably, this government is blatantly clear that you won't. The progress party has previously expressed its warm agreement with thoughts expressed by Sigbjørn Johnsen as a county councillor. There are good thoughts that still stand. It's obvious that Sigbjørn Johnsen can't think so freely the good thoughts after he's moved into a department. It is regrettable for the railway, and that means that the necessary renewal of the railway will be postponed, perhaps until 2013.
ParlaMint-NO_2010-02-11.ana.ud2474e1382	This winter has had many cold and challenging days in many ways, not least for the country's train commuters and employees in the NSB and the Railway Agency. The railway station is in arrears in maintenance, with a worn-out train network. Then I could also have drawn a historical look back and given many explanations as to why things have become like they have, but I'm going to leave it. I just notice that the investments to the railway have tripled in four years, and that the situation would have been even worse if we had continued on the track that we were in with the Bondevik government at the wheel. Then to today's text and disagreements in the Committee: the question of how to organise the Railway Agency. That the Progress Party and the Right believe that the solution to most of society is freedom through competition and AS-certifications is nothing new, it's probably as ideological as a practical question. But the fact that the Christian People's Party is part of this team surprises me a little. When this case was dealt with a few years ago in Stortinget, Jan Sahl argued well to maintain the Railway Agency in the administration. But I guess there's new ideas going on in that party. It is good in many ways, but here I believe that a reverse operation is not positive for the matter we now have to deal with. I could have said a lot about entrusting the administration of the public sector to economic measurement parameters and about the great belief that corporate economic principles operate better, more efficiently and more efficiently than the administration does. Because if you convert governments into an AS, whether it's a state-owned AS or an enterprise, it has some consequences. A reorganisation requires much of an enterprise. I have just mentioned something, but it is also demanding for management and employees. There are many processes to walk through. They have to deal with a new employer counterpart, they have to enter a new tariff area, and many new agreements have to be negotiated. The reorganisation also requires a significant amount of conversion funds. In today's situation, this is not the way to spend the money. I remember that the separation of Baneservice AS from the NSB cost 80.6 million. kr in 2005-krona. All experience shows that reorganisation is a cause of concern to the organisation. No matter if you were to reorganize, the time is wrong. Now we have to keep a full focus on the matter: getting a modern and good railway. The railway works now need rest to work with the most important thing: full attention to the passengers, so that we have a good train offer, the most punctual and comfortable trains possible, and the upgrading of the railway in both the short and long term. This makes the Railway Agency the best possible by being in the administration. It must be the product they deliver, which is the important thing, and not the commercial activity where the main objective is to make profits. Finally, a little visit to the representative Schou, who makes the separation of Mesta as a sunshine story, where everything works well. I guess it's mildly said to take in. I just refer to the Riksrevision's last report and the hearing that was in this house on that matter on Monday.
ParlaMint-NO_2010-02-11.ana.ud2474e1397	With reference to the representative Tende, who obviously follows closely the national meetings of the Workers' Party – I think it is good, because many important decisions are taken – I can therefore confess that the person who promoted the bench proposal she referred to was signed. And I can assure the representative Tende that there is nothing in the proposal, which was about project financing, that requires a new and different form of organisation in the Railway Agency. That is what this matter is about. So now the bourgeois parties are still painting their so-called New Public Management concept. Not only did they move aviation out of the transport policy during their period of government and took the walk from Vegvesenet, but now they are also at the railway station, for the second time, in a sort of blind belief that the creation of two limited liability companies with your outsourcing will make life easier for all of us – after a winter that has fully demonstrated the consequences of the powdering of responsibilities that lie in the fact that the train operation is separated from the driving path. So now they want to take further steps in the same direction, knowing that the form of a limited liability company in itself reduces our political governance. They probably think that the separation of the Road Administration’s production activities in 100 p.m. stateside Mesta has been so successful that they will now do the same with the railway works’ production activities. However, pending a proper evaluation, I believe that this operation has led to a large-scale privatisation of state jobs, a much more expensive and poorer road maintenance, less competition in the market and a significant bidding and supervisory bureaucracy. Of course, the manufacturing competence of the road industry has deteriorated, and the significant R & D effort that in time led to Norway becoming world leader in tunnel technology has been reduced to almost a zero point. We'll get less for the money, no more, as the representative Schou later to believe. Like the former councillor, Navarsete, I want to invite the representative, Mr. Schou, to the search for the billion she thinks has benefited. It's not easy to change what's once been done, but I find that it can be time to do it faster than many others. I am in favour of structural changes in the transport sector. But they are not made through ad hoc decisions in the Stortinget. On the other hand, we can be willing and interested in making these structural changes in the context of the debate that will lead to the revision of the NTP in a few years' time.
ParlaMint-NO_2010-02-11.ana.ud2474e1408	It is good to hear that the Council of State has good thoughts about Norwegian railway in the future. We all have. But there's probably some kind of disagreement about how we can solve the problems that exist today. Now it's the way that the Right wants to be accused of wanting the privatization of the most. I would like to point out that this proposal is not part of such a strategy, it is part of an attempt to find a better solution for the railway in the future. It is now – as was also referred to earlier here today – that the Minister of Finance has stated that the use of funds will be very strict in the years to come, and the Council of State says that she sees it as problematic that we should, in a single collapse, grant large loans for the development of the railways in order for the next collapse, or subsequently, to pay that loan. If we have then locked that road, while we lock the way to make it into a share company, so that they can take up loans themselves, then we are back to a normal annual financing like today. Then I'm afraid it'll take both 20 and 30 years before we get a proper order of train traffic, especially in the Oslo area. And if we talk about trains at a slightly higher speed to the big cities, then in an analysis here the other day, it will take 90 years with the kind of investment we have today. We're hardly very satisfied with that.
ParlaMint-NO_2010-02-11.ana.ud2474e1417	I thought it was very interesting to listen to the Left and Right when they told us how successful it was with the Road Service, when Mesta showed up and a split-up and new contract types and stuff. I thought it was very exciting – because it is quite wrong. I'm also on the Control and Constitutional Committee. What turns out when Right says that we've turned a billion on it, it's more likely that we've lost billions on these experiments that the right-hand side is floating on. Maintenance costs in the last two years have increased by over 40 p.p. – by no means a decline, but an increase, in this efficient, modern system to the right. And we're going to do more of this! What's going to be expensive, ineffective, we're going to do even more of that. We can do what Margaret Thatcher did, can't we? That's the favourite of the Progress Party. We just privatize everything we can out of the railway -- split it up as much as possible, and it'll work out, and it'll be effective. Yes, because that's what they say. That's what they recommend to us now: split up more! But why didn't they see what happened in England? Why didn't they see that it went completely 'in the rough' – that it is actually that it became more expensive, the state had to go in? All in all, the whole thing was re-socialized. So we're not going to learn anything from it! This is how the fragmentation we have had leads to those who are split up – the NSB and the RU – arguing about who is responsible. They shall have, it leads to the fragmentation – mass use of time to explain who is responsible. That's no more of what we need, people, if we're going to get the railroad properly on track! We actually have to use what we have, and get better what we have. And maybe, as Gullvåg says, we should look at some structural grips anyway. But what they are -- it might as well be that we're going to put things together like we're going to split it up more to make it more effective. It looks like it's the other one well. I am very pleased that we have now got a new railway director, and I am very impressed by the way this railway director – she is after all very fresh – has managed a difficult crisis so far. We are now modernising the Railway Agency – the railway director in cooperation with our distinguished Minister of Transport. So I think – and there I'm going to give Hareide and others a little straight – that we're going to have to pay more money to the railway. Hareide has proposed 10 billion kroner – that's the same as the national meeting in SV has agreed – so you're on the right track, Knut Arild!
ParlaMint-NO_2010-02-11.ana.ud2474e1426	The President understands the involvement of the representative, Mr Langeland, but would nevertheless remind him that all speeches should be addressed to the President.
ParlaMint-NO_2010-02-11.ana.ud2474e1430	It has been interesting to sit and listen to a debate that has changed from the starting point, which was the modernisation and restructuring of the Railway Agency, to a debate on how to finance the development of the railway, and who is in favour of or against project funding. The Government and the Central Party are betting – and will bet – on the railway, on maintenance, on construction, on renewing old and new sections of the railway. In my view, it must be a much stronger priority than the organisational form right now. Railways face major challenges, including: there is a need to improve punctuality and regularity of train services. It's enough just to look at the last season to see the need there. The railway works hard to get qualified personnel. I can't help but understand that there has to be a paradox for some of the parties here to see that the Railway Agency has challenges to get access to personnel – for some of the staff offered final packages in 2005. This proposal for a representative implies a large-scale outsourcing of competition, while at the same time the railway works will have to undergo extensive reorganisation. I am unable with my best will to see that this is the right time to throw the Railway Agency into such a process. No experiments now! It's not to stand on the side of commuters, nor on the side of the railway. That is why the Central Party rejects the proposal.
ParlaMint-NO_2010-02-11.ana.ud2474e1441	I record that Tone Merete Sønsterud is disappointed with the Christian People's Party, and then she is much more disappointed with the party colleague Sigbjørn Johnsen, who does well to go beyond what the Christian People's Party does. I want to explain what lies behind the Christian People's Party's proposal: it's that we want to support railway investments because we have such a huge aftermath, and I believe that a renewal within this sector is important. We're looking at it in other fields. I also want to say that Jan Sahl has been a driving force in this process in the Christian People's Party. He has said exactly what I am saying today, because we want it, and because we see that we have such great challenges in the railway sector. We don't have a lot of time. There is a system that has lost its trust, so we need to ensure that it is renewed. But it's true, as Arne Sortevik said, we didn't go for the proposals of the Progress Party. The reason is that the proposal of the Progress Party stated that it should be 100 pst. State-funded loans. That's not what the Christian People's Party wants. I also interpret it so that both the Right and the Left stand behind the Christian People's Party in that thinking – this is because we want to have private initiative and get a renewal that we think is absolutely necessary. I listened especially to Steinar Gullvåg's post, and I thought it was exciting. It was a thought of a renewal. He said he didn't want to take the concrete suggestions here in this room, and I can understand that. That's what's behind my challenge -- I see the Council of State will have the floor in a few minutes. What I want to challenge is -- I'm not talking about a reorganization right now, but what I'm talking about is: is there a need in that dialogue, that cooperation, that is between the Railway Agency and the NSB, is there a funding system that makes the NSB pay for the services they get, and let go of paying when they don't get them? I think it's going to be about creating a dynamic and making it clear to everyone – there are big organizations that need a clear incentive structure. A case of state control. I want to refer to the system you've got on the airside, which has given a significant effect. We must give tribute to Avinor for the considerable improvements we have seen. the last year.
ParlaMint-NO_2010-02-11.ana.ud2474e1452	This debate underlines with all clarity that the total volume is clear for, mature for a major debate on what we want with the Norwegian railway. But first of all, it's okay to ask what the government actually wants with the Norwegian railway. I listen to the debate on Mesta, that there has been no successful conversion, and that there have been many pitfalls there. Now it is true that it is quite right that in the context of this separation — and the road director has said so in a recent hearing — road maintenance has improved, costs have become more manageable, and more has been achieved in such a type of competition. So a little bit back to the railway station. It is important to look forward, and I listen to many of the posts in the hall that there are amazingly many from the government side who are most concerned about looking back – look at who said what, and who didn't do what before – and that's why we're so wrong out now. Employees of the Railway Agency have been very clear that they may not actually work smart enough to meet that challenge, the reorganisation that has taken place in the past, and that reorganization is worth meeting. The change that happened, the restructuring of the Railway Agency that took place in 2005, actually directed the Railway Agency itself. They were the ones who were in charge of the change process. What the government did at the time, Bondevik II, was to define conversion and also to introduce competition in part of the sector. What the railway company said was that they actually looked very positive at it, that they were working better, and that they wanted to welcome the change. The criticism of the government was that maybe we didn't go far enough that time. We see with all clarity, also in the notice in the evening post today, that the Railway Agency is asking for help from the outside and a privatisation, help from the private sector. So it's okay to point out a little bit what Sweden has done. The results in our neighbouring country show that Sweden is twice as effective in this area, and that Norway is the second worst in terms of regularity on the railways. So the Council of State did not respond to what is already there in relation to the national transport plan – what is being pushed out on time, between 2 and 3 billion kroner. There is a need for clear development plans, but not just that. There is also a need for deadlines. What will the Council of State do?
ParlaMint-NO_2010-02-11.ana.ud2474e1469	Let me say to Ingerd Schou, first of all, that it was a warning when the national transport plan was presented, that there was going to be an escalation. That's what the government is working for. So I want to comment on a few other points in the debate. I want the Stortinget to also agree that when Bondevik II converted BaneService, separated it from the Railway Agency and transformed it into a stand-alone company in 2005, it added up to a gradual increase in the competitive deployment of parts of operation and maintenance, with different stages up to 2009. However, in the context of the 2006 state budget, the government reported that it would be very demanding to conduct good competition and negotiate good contracts because, before parts of the railway sector, there was no good functioning market – as they said – and that it was particularly true in the railway technical area. Then to the Oslo Tunnel. I've had the privilege of having been inside the Oslo tunnel. I have seen people working there at night, and I have also seen what is being distributed today in the evening post, that it is only the ongoing maintenance that the Railway Agency stands for itself. So they hire a lot of other companies. I have met these work laws. So it's not that all the work is done by the Railway Agency itself. Then I also want it to remain after this debate that it happens the much positive – we don't have to forget that. So there are 13 construction projects in the Railway Station for the time being. There are planning, design and land use of nine projects. There are 31 larger measures to increase capacity, and there are activities at 26 stations and hubs to improve them. So the question is, is it that everything is locked when it applies to the future? Having Oslo-Ski at its own government budget post is an example of changing thinking over time. And what's the point of having Oslo-Ski on your own? It's following the progress, making progress. In large new plants, for example, it is very crucial, even for costs, that there is a coherent development. To the challenge of Hareide, which has also been raised by Gullvåg: in relation to the roll-out of the transport plan, it is clear that we can discuss whether things should be organised differently. But I think it was totally wrong to move the focus today from the work that the Railway Agency is about to do with today's organisation.
ParlaMint-NO_2010-02-11.ana.ud2474e1484	I understand that we may have received a new parliamentary expression in this House, because I note that the president did not club when the representative of Langeland used the word'refra'. I do not think it is a parliamentary expression of the politics of others, at least not from this pulpit. But what's special here is that the representative Langeland is fanatical about everything initially going to be state activity. We know that SV is a party that wants it very much, but this case is not about everything being private or not. This is about an administrative organisation that is currently directly run by the Council of State, as an administrative body. It's actually about whether we're going to make sure to do this to a company where the state is still going to have full control, or a state enterprise. The point, and what we are concerned about, is that we need to make use of the new opportunities that lie there for the company to be allowed to borrow, for example. in order to launch important projects earlier than can be done with today's way of financing. I record that the Council of State would not respond properly to my question. There were a lot of words and little concrete about what was the difference between Sigbjørn Johnsen's wishes for project finance and her, and why the Council of State did not agree with Sigbjørn Johnsen that these are good tools to get a foraging in the development of important railway projects. That's the big challenge. I agree – and I also believe – that it is not about the short-term measures and the short-term solutions that we need to find, but it is about how we are going to organise this for the future, about how we are going to ensure that we are built out much faster than we are doing at the pace we have today. Of course, it's about political will, but it's also about giving state enterprises the opportunity to borrow. That's what this discussion is all about, and that's what we think makes sense. But to Langeland, who is so concerned about not having competition: on the Gjøvik track, which is exposed to competition, you can have the same price as you had before, and you get 40 pst. more offers to customers. It's a company that works. The managing director said, when the committee was on its way in the last period, that this would never happen if it was part of the NSB, but it goes because you're another company, a smaller company where it's a short distance from the outside and meets the customers every single day, and all the way up to the management of the company. Therefore, you can be much better and give a much better offer to your customers. That's what competition is all about. This case is not about what Langeland is concerned about, where he refers to England and all sorts of strange things. What this is about is that we want to do this again so that we can get a better rail offer to all of the customers, commuters and others, who depend on a real, good rail offer.
ParlaMint-NO_2010-02-11.ana.ud2474e1497	The President understands that she has neglected in terms of unparliamentary expressions. The President was concerned with a few other aspects of the statements of the representative, Langeland, which she corrected. Maybe it'll be a little bit at once.
ParlaMint-NO_2010-02-11.ana.ud2474e1500	I can promise the president won't let me go. The Minister of Transport's rejection of new financial tools for the railways is hardly new. That's dramaticly bad news for the railway. Not even organisational renewal is open to the Government and to the Minister of Transport. It's bad news for the railway, it's bad news for the NSB, and it's bad news for the passengers. At all, there is a poor agreement between the claims of the Government about a stake on the railway and more of an old-fashioned policy that has a bad effect. This is actually the first intervention Stortinget has with the last railway crisis. Behind that crisis are three crisis meetings with the former Minister of Transport and at least one crisis meeting with the current Minister of Transport. The Council of State has refused to come to Stortinget and inform about that crisis. The next intervention that Stortinget then gets with the situation on today's railway will be through an inter-pelling debate that the Progress Party has taken the initiative on. The government has a retrospective. We need to look at appropriations and funding tools in relation to the need. The Railway Agency announced in its contribution to the National Transport Plan, which we have the first year of this year, and which is under-filled by the Government, a need of NOK 100 billion. Today's railway policy is slow. The comfort must be that it can be much faster from 2013.
ParlaMint-NO_2010-02-11.ana.ud2474e1511	There's a little bit of catapult about this debate, where representatives from the Right and the Christian People's Party come and repeat the argument and don't hear what's being said. So I said, don't throw the baby out with the bath water. This means: Do not destroy the Railway Agency to provide long-term funding for major railway projects. Now it has been said clearly from SV here and from the Workers' Party that we want a system of long-term financing of the major railway projects in the East. Now I think I heard – and it was very happy – that the Minister for Transport went a long way towards saying that the solution can be in something like that. Then Christian People's Party, together with the Right and Advance Party, launches privatisation as a solution. It's a high price to risk. We lose competence, which I've been in for, plus that the conversion in itself – and everyone who's been away in conversions – has a start-up cost. So the question is, is it the right time to do it now? You can do that if you have an organization that doesn't work at all. My assessment of the railway works now is that this is not the case in the railway works. We are at risk, with the proposals that have been put forward, to paralyze the Railway Agency for a few years. Do I understand it right when the Christian People's Party's proposal, which is to make it more efficient, is to impose a road tax? In my opinion, it only shows the impotence of the Christian People's Party's railway policy. Ingerd Schou reads the Evening Post and the statements of the railway manager quite differently from what I did today. The railway manager does not request any fragmentation.
ParlaMint-NO_2010-02-11.ana.ud2474e1524	I haven't been on the Stortinget for a long time, but I've been in Trondheim City Board for four years. There we did the ball to re-communalize some services, which the bourgeois majority privatised and put off tendering in the years before the red-greens took over. What we often heard then from the bourgeois opposition was that the red-green majority put ideology ahead of reason, that ideology was the most important and not the good solutions. We can ask questions about that. I think it's the other way around. A review e.g. the outsourcing of the tasks of the State Road Service shows that the cost increase of 50 pst. above what has been the growth of prices elsewhere in the construction industry. There has been no gain with that market outsourcing. It is not that citizens can demonstrate that competitive outsourcing and privatisation provide more efficient public tasks. So this debate has shown one positive development, I think, and that is the newly won love that the bourgeois parties refer to the train. It is a love that cannot be said to have been present as much as the bourgeois themselves had a majority in the Storting, when they themselves ruled the country and the representative Hareide was the Council of State. But of course, it is very positive that the citizens now believe that the huge increase in red-greens has been in investments on the railway side is not enough. There's a rather different attitude on the part of the bourgeois than what they themselves had the chance to demonstrate in their four years of government power.
ParlaMint-NO_2010-02-11.ana.ud2474e1531	The next speaker is Knut Arild Hareide, Chairman of the Committee. Mr Hareide is also the rapporteur-in-Office, and thus has three minutes of speaking time, even if he is given the floor for the third time.
ParlaMint-NO_2010-02-11.ana.ud2474e1534	I'm not a case spokesman.
ParlaMint-NO_2010-02-11.ana.ud2474e1540	Then the president is afraid that Hareide will only get one minute – please.
ParlaMint-NO_2010-02-11.ana.ud2474e1543	Thank you, Mr. President. I only need one minute. I just want to record one thing. The representative Lars Egeland says that the Christian People's Party is in favour of privatisation. I would ask the representative to read the proposal from the Christian People's Party. Here's what it says: ‘The Government asks the Government to transform the Railway Agency into State undertakings’. It could be impossible to privatize. That's just the difference between the proposals of the Christian People's Party and those of the Advance Party and the Right. That's the possibility that exists. But I want to say to SV, who is happy about what's government and public: we're forced to also have a critical look at those institutions to get a renewal. That is what the Christian People's Party says in its proposal. We are busy just to make sure that we get a renewal, in order to ensure that the commuter conditions are better. That's our intention, and that's what we'll be trusted in.
ParlaMint-NO_2010-02-11.ana.ud2474e1555	It was the representative Arne Sortevik who makes me take the floor, because what he says is an example of a claim not becoming any more true because he is repeated several times. I have written to the Progress Party and to the Right that I would like to put in the Stortinget to do the right thing for the situation when it applies to trains and railways. Variety says that I have rejected it. That's wrong. So he says that this is the first chance to discuss the crisis when it concerns the railway. I note that Hoksrud gave the basis for this proposal, which is now being debated, with a longer-term reorganization. Maybe they should take a little internal round. For my part, I followed closely the train situation in November. Then the train was punctual with up to 90 pst. That's the goal of punctuality. Then came December, which was very demanding. Coldness strengthens the situation. 7 January was my first day of the new year at work in the department. Therefore, it was natural on my first day to invite the NSB and the Railway Agency to discuss what could be done in the short term. And then I'm going to say, well, I'm going to share the joy that many people now have. The fact that there is a greater emphasis on rail and train provision promises good for the future. So I thought that at this time both the NSB and the Railway Agency should come up with some good words about how they deal with a very demanding situation. I think the best thing we can do now to the Railway Agency is to focus on giving them the opportunity to do the most necessary work they need to do now for more trains to be on the way.
ParlaMint-NO_2010-02-11.ana.ud2474e1564	Mr Schou has spoken twice in the debate and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2010-02-11.ana.ud2474e1567	I would like to say to the Council of State that I am very pleased that she will meet in Stortinget, so we will have a broad explanation and debate about what we want with the railways in Norway. Then I also hope that we can discuss what I have heard from the Council of State say, that she does not want the help of the Food and Drug Administration, which has submitted a report that one can cut the planning time for the distance between Oslo and Ski by three years. We also have a renewed debate about not modernising the Railway Agency, so that we can build faster and faster and continuously. To Serigstad Valen – who is concerned about looking back, despite her young age: It is true that we are many who have love for the train, but it requires that the train goes, and that you do not lose confidence, as you do today.
ParlaMint-NO_2010-02-11.ana.ud2474e1574	The representative Arne Sortevik has spoken twice in the past and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2010-02-11.ana.ud2474e1577	That note is short – the previous entry can be accepted. It is important for the Storting to have many debates on the situation in today's railway, where the problems are great. We will then have several occasions, and one of those occasions will be a reported interpellation debate from the Progress Party. The proposal we have talked about here today concerns modernisation and new structure. It has also given us the opportunity to talk about new financing tools, which are necessary to speed up the railway, and it comes in time for us to also get the difficult situation that the railway is in today.
ParlaMint-NO_2010-02-11.ana.ud2474e1584	The next speaker is Snorre Serigstad Valen, who has a speaking time of up to 3 minutes.
ParlaMint-NO_2010-02-11.ana.ud2474e1587	I can assure you that I have not intended to use all the 3 minutes. I wonder that the representative Schou does not see a connection between his own performances, where the representative does not dare to take the train to work, and the period when the representative Schou himself was the Council of State in a government that in no way can it be said to have prioritised the railway, compared to what the red-greens have done. I can assure the representative Schou that it is nothing new, something modern or something innovative by selling public property in the dogmatic belief that it will lead to something more efficient or profitable. On the contrary, that proposal has an unmistakable smell of the 80s.
ParlaMint-NO_2010-02-11.ana.ud2474e1594	Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 1771]]
