ParlaMint-NO_2010-04-28.ana.ud1511e26	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-04-28.ana.ud1511e496	This Council of State and this government is constantly taking the initiative to strengthen free research as all research is free and not directed. Of course, the Council of State does not interfere with what it is going to be researched, but together with the Storting, we are facilitating the major programmes, and this is where I believe that the strategy must come in. I am thinking about strategic thinking in relation to the funding possibilities, not that you should be guided or guided in the research itself. It's not my agenda to manage research that way at all. I believe it is important to have a research based on academic freedom in the field of methodology and sub-research in the larger areas. But what I'm missing is that the management of the universities and the management of the individual research environments together with the researchers themselves think strategically to exploit the different funding possibilities. Here's a lot to pick up, even for the groundbreaking, basic research. In fact, I also know examples that basic research has come about, and the results of this have come, even for research in programmes.
ParlaMint-NO_2010-04-28.ana.ud1511e501	Four follow-up questions are raised – first Svein Harberg.
ParlaMint-NO_2010-04-28.ana.ud1511e504	There is an obvious mismatch between the research community's desire for research funding and the money spent by the Government, not least in the major programmes. Most affected are universities and colleges which delivered almost 1 400 applications for free research funds last year. Only 20 pst. of these were granted. I understand that it creates discouragement in the research environments. The good thing, which perhaps the Council of State is in when she says it's going to be tight, is that it's citizens for quality of the applications that come through. Search differently, search strategically, search our programs, says the Council of State. It's control. This means that creative applications receive funds. It can't possibly guarantee quality. Is the Council of State concerned about the quality of the applications submitted to the programmes, and will it consider a change in the management of the funds in the light of it?
ParlaMint-NO_2010-04-28.ana.ud1511e512	Governments are not concerned about the quality of applications for the major programmes, as long as we have a quality assurance system for research applications. The Research Council constitutes such a system, and there is strict legislation to ensure the quality of applications, not only those who go to free project support, but also those who go to programmes and individual projects. As the representative knows, we need to have a review of the Research Council. We're going to have an evaluation of the Research Council. It is clear that in that evaluation we are going to review the balance of what I think may be a somewhat artificial distinction between so-called free project support and other opportunities for researchers, but it will be part of the review. I think I might be able to get the representative to think that it's actually possible to inspire and stimulate basic research, even though under headings like global challenges and health it may seem as if it's a particular subject, but that there's still room for free and fundamental research within it.
ParlaMint-NO_2010-04-28.ana.ud1511e519	Tord Lien – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e522	Once, the Norwegian Research Council was established to create a national arena, a strategic arena, to identify the best research. We know that free basic research is important to our knowledge society. We also know that to a large extent only the universities can deliver this research, this service, to the knowledge society. I think it seems that the Norwegian Research Council is largely deprived of its ability to operate with strategic approach when 93 pst. their funds are tied up in programmes, and only 7 pst. That's what you call free project resources. Then claims are made that the possibility of supporting research is increasing when the device against the government's wishes is present. But the question is: is it not that it helps to weaken the role and strategic approach of the Norwegian Research Council by as little as 7 pst? free funds?
ParlaMint-NO_2010-04-28.ana.ud1511e527	I would like to distance myself from the fact that it is the wish of the government that underlies the major programmes. That's the Storting's wish. It is the big business news about research that both previous governments and this government have promoted. These are based on each other, and they are very much in agreement on the great needs for knowledge. That said, we will of course review the balance between the so-called free project support and the other possible means of research relating to the Research Council. I just want to mention that we have Centers for Excellent Research. We have research centres for environmentally friendly energy. We have younger, excellent scientists. We have a number of options for research tools that go at the basic level, but that are also more applied research. Here are opportunities, I mean, that are not exploited. It's hard to believe that so many people are being denied an application for just one of the tools that is called free project support, from the Research Council.
ParlaMint-NO_2010-04-28.ana.ud1511e534	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e537	It's the balance that's the challenge here, because there's a paradox that there's such a big gap between what's pointed out politically – it's quite right that the Storting has been there and pointed it out – and what the researchers are actually looking for. It's a challenge. But there's also another problem that, when you start looking at the numbers, worries me. The four largest universities spend almost 100 years writing applications that are not accepted. It's the other side of time use, what actually goes into research, and not research. For me, it almost starts to look like a little parody when we spend 100 years writing applications that are not accepted. We also know that the researchers are under pressure, that they should both research, teach and also disseminate their research project into society. It's probably the last thing that's going to be most damaging. What can the Council of State do to make better use of it, so that not so many annual works are lost?
ParlaMint-NO_2010-04-28.ana.ud1511e544	I would like to remind both the representative and others who are listening that the calculations of annual works are made by a newspaper in connection with an article and not by the ministry. How many annual jobs are used to write applications, I guess, is still a question we do not have a complete dossier on. But it is an important piece of information and an important debate. My idea of this, when you ask what I can do, is to refer to what the institution's management can do, so that there is not so much wasted application time. Some of it's a good investment, because you also learn from such a process. I think everyone knows that. But it seems a lot, and it seems like there's a need for management together with the individual researchers to become more consolidated and think more strategically in-house in the discussions. So I think here is a lot of important work to do, also for the institutions internally.
ParlaMint-NO_2010-04-28.ana.ud1511e549	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e552	The sense of reality out there is quite unambiguous. All the researchers, all the institutions, describe the same problem. We know that it's also getting worse. It shows surveys, also on which the ministry puts its signature. We also know what helps. What helps to address what is described as a problem are increased basic funding, increased free resources, including: to the Research Council, and increasing the Research Fund. Everything lies there with clear means of remedying the problem that everyone is describing. Then it boils down to the fact that the Council of State won't take over the reality that's out there. It'll be, as I've said before, a little bit like a certain queen in France. When people rebelled and called for bread, the queen said, "Let them eat cake instead." What is it that the Council of States is going to take over the reality that everyone is talking about?
ParlaMint-NO_2010-04-28.ana.ud1511e563	I'm not going to go further on bread and cakes and queens, but I think actually the representative Trine Skei Grande is now black-painting the description of reality that we have actually agreed on far on the way, through the report of the Action Space Group that the Council of State has just handed over. There it is that you realize that more money has come. Then you see that there are some challenges to how the money is spent. Some of the solutions may be on the Council of State table, some may be on the tables of universities and higher education institutions. So it's not like more money solves all of these problems. It is important, as I have also pointed out in the context of the space for action, that more room for action should be provided, too, that there is an important job to be done here for the institutions themselves, both in terms of thinking about applications, in terms of research work and in terms of the combination of research and education. All of this is of course something I am concerned about should work in the best possible way. It is not that I turn my back on those problems and do not want to see them, but I believe that the institutions themselves have a very important responsibility.
ParlaMint-NO_2010-04-28.ana.ud1511e570	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2010-04-28.ana.ud1511e577	There will be a number of changes in the list of questions set out, and in this context the President will refer to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Svein Harberg to the Minister of Knowledge, has been transferred to the Minister of Economic Affairs and Trade, who is responsible for the matter. At the request of the Minister for Economic Affairs and Trade, this question is moved and answered in response to question 6, to be answered by the same Council of State. Question 4, from the representative Ivar Kristiansen to the Minister of Defence, will be raised by the representative Jonni Helge Solsvik. Questions 13 and 14 from the representatives of Tor Sigbjørn Utsugnogn and Per Roar Bredvold, respectively, to the Minister of Justice, are moved and answered at the request of the Council of State before Question 4.
ParlaMint-NO_2010-04-28.ana.ud1511e590	The first question to be answered after these changes is question 2 from the representative Elisabeth Aspaker to the Minister of Knowledge.
ParlaMint-NO_2010-04-28.ana.ud1511e596	My question goes to the Minister of Knowledge: ‘The Municipality of Trom has established a pilot project with Norwegian-Russian secondary school in Murmansk. The school is within its second year of operation, and the Norwegian students are now supported through the Loan Fund. The school offer must be seen in the light of the Northern Region bet and is an economic boost for the municipality of Trom. The school has received operational support from the Ministry for two years, and the county has recently submitted an application for the last two years of the pilot project. Will the Council of State help the school to continue to receive operational support for the project period?’
ParlaMint-NO_2010-04-28.ana.ud1511e610	Let me start by saying that Murmansk School is a positive and exciting action, both for the students participating in the pilot scheme, and in the light of the government's Northern Territory Initiative. As the representative refers to, the municipality of Trom has permission to experiment under the Training Act § 1-4 to test out a scheme with a Norwegian-Russian secondary school in Murmansk. At the same time, students at school are entitled to training support from the Loan Fund from the 2009–2010 school year. This right shall apply until and including the school year 2011–2012. The restriction depends on the duration of the trial under the Training Act. In the nomination of the Church, Education and Research Committee to the 2010 budget, the Government was asked to consider continuing its support to the Murmansk School in 2010. The Ministry of Knowledge received last week's application from the County of Troms for operating aid for the two coming school years. I am happy to announce that operational support will be given to the school for the coming school years. The aid will be granted at the same level as for the current school year, in line with the application of the county municipality. Letter of positive decision in the case was sent to Trom County earlier this week. In the case of operating aid for the last year of the experiment, i.e.: school year 2011–2012, I aim to continue operating aid for this school year as well. As you know, the Ministry cannot commit funds above future budgets. I will therefore come back to the final decision regarding the disposal of the 2011 budget.
ParlaMint-NO_2010-04-28.ana.ud1511e621	I would like to thank the Council of State for the answer, which was very positive. Yesterday was a big day for Russia, not least for Norway. This break opens too many possibilities. At the same time, cooperation agreements on higher education were signed yesterday. We're talking about energy and environment, marine science, social sciences and language. This school in Murmansk may be particularly important to establish contacts with the recruits, those who will continue to study and benefit from the cooperation in higher education. What I want to ask the Council of State is whether, on the government side, cooperation agreements can also be envisaged at secondary school level, which goes further, and which can also ensure the operation on a more ordinary basis beyond the probationary period that the municipality of Troms has now initiated.
ParlaMint-NO_2010-04-28.ana.ud1511e632	There's a lot of possibilities here. After all, the whole North Sea operation and cooperation with Russia got an extra boost yesterday. The Barents Sea sharing line agreement is in place. We have the research agreement that was also signed, and many opportunities for more consensual and cross-border exchanges, which have also been a topic of the visit in the last few days. This is something that we can look at a little bit further, how we can manage to develop that contact and it further cooperated on the basis that higher education can have a value in itself, but that it can also be a starting point for something more. So I'd like to come back to that and air how we can move on with the visions of further cooperation between Norway and Russia.
ParlaMint-NO_2010-04-28.ana.ud1511e639	Language is often a barrier to getting the student exchange we want, and until now it has turned out that the Russians have been more eager to learn Norwegian than what we might have been to make Russian a subject that sits down and has a certain prevalence in Norwegian high school. In the light of the project now under the control of Trom County Council, does the Council of State think that initiatives should be taken to lift Russian as a subject? It will require teacher competence, and it is clear that it will require some financial resources to establish the language. I am thinking in particular of Finnmark, where we now see that what happened yesterday – the dynamic that is there, and cooperation with Russia – could benefit if more Norwegian youth could get offers like this, and that perhaps Norwegian school made an effort for the Russian language.
ParlaMint-NO_2010-04-28.ana.ud1511e646	In fact, there are unlimited possibilities for thinking new and different ways of helping to increase the interest in cooperation between Norway and Russia. It is clear that Finnmark, and so far Troms, have a better starting point than most other states. Now we're going to have a message about high school. Too many students in Finnmark and Troms may be interested in developing in Russia as part of what we think about when we look at how to make high school more relevant and more motivating. So let's take that with us in the matters we are now discussing in the field of education, because I'm absolutely sure that very many students will be able to develop the interest in further cooperation with Russia and curiosity for the Russian society if we made a little more right for it, especially where you have easy contact with Russians and Russia.
ParlaMint-NO_2010-04-28.ana.ud1511e656	‘The allies come to Narvik on 28 May to indicate that 70 years have passed since Narvik’s reconnaissance took place in the spring of 1940. This was where Nazi Germany suffered its first defeat, and for the resistance struggle in Europe, Norway and Narvik became a symbol of allied cohesion and strength. The Minister for Foreign Affairs has once again turned the thumb down for a support of SEK 200 000 for a worthy memorial. Does the Minister for Foreign Affairs agree that these markings are a national issue, and will the Minister for Foreign Affairs take on the responsibility of the nation and cover the cost of the 70-year marking?’
ParlaMint-NO_2010-04-28.ana.ud1511e663	It is true that the Ministry of Foreign Affairs rejected the first general application for support from the municipality of Narvik. The mark had already been awarded a significant amount from the Ministry of Defence, which is responsible for such markings, and the application we originally received in the Ministry of Foreign Affairs was deficient in the department's assessment. At the beginning of the last week, I received an enquiry from the Swedish Depositary Representative, Anna Ljunggren, that the 70th anniversary of the Narvik Battle was at risk after a rejection of the application from the Ministry of Foreign Affairs, and we were asked to go for a round with the municipality of Narvik. We did. UD contacted the municipality and the organisers and has had a good dialogue with them. Narvik stands today, as the representative underlines, as a strong symbol that free and democratic countries can, through joint efforts, defeat totalitarian and oppressive regimes. The legacy of the Allied victor at Narvik 70 years ago has seen such a great symbolic power even today. The Ministry of Foreign Affairs attaches importance to contributing to the creation of trusting cooperation with interested countries in these northern areas through bilateral cooperation and through international organisations such as the Barents Council, the Arctic Council, the Northern Dimension and other forums. Under the Northern Region Strategy of the Government, great emphasis is placed on involving and engaging environments, not least in North Norway, in a forward-looking effort through both political and financial support for interesting initiatives. In this work, both Narvik and Nordland have important roles to play, and the 70th anniversary can inspire further efforts in the service of peace and international cooperation. At the same time, the Narvik markings are an important reminder of the historical significance of our northern part of the country, and of the importance of events related to this part of the country and the design of our national historical heritage. In view of this, there has been a new dialogue with the Ministry of Foreign Affairs in the wake of the request by the municipality of Narvik, in order to better clarify how it was possible for the Ministry to support this project, both professionally and financially. On this basis, and due to the dialogue, the Ministry decided to support the project with NOK 200000, as originally requested. These costs will cover the costs associated with the publication of historical material by the municipality in English and parts of the artistic framework around the event, thereby directly contributing to strengthening the profile of North Norway internationally. In conclusion, I would like to commend all those who focus on this event in Norway’s history – as the representative of Tåldal. In spreading our history and cultural heritage to new generations as well as honoring those who should be honored, this commitment is very important.
ParlaMint-NO_2010-04-28.ana.ud1511e686	I am very pleased that the minister here has turned around and agrees to grant money. But then I have another question for the minister. Unfortunately, at the memorials that have been in the last 20 years, we haven't been represented with government people. The only thing is that the King has been there once. Now it's approx. 19 survivors on the Norwegian side and from the Allies, who meet for the 70th anniversary of the war, and perhaps the last time they were in the war, they get to remember this. I would strongly urge the Council of State to consider coming up to Narvik and take part, because I think official Norway should be included. It has been reported that, among other things: Poland is with people from the government. They did so last time, but not Norway – and this is, after all, Norway. Then I have a question to the Council of State: Will he consider setting up Narvik to be on the mark and honor those who have fought, so that we can stand in this hall?
ParlaMint-NO_2010-04-28.ana.ud1511e697	Let me first say that I had occasion with Poland's Foreign Minister in Oslo on 9 April – a symbolic date – to mark the contribution of Polish soldiers to Narvik, where about 100 lost their lives. Norway will be well represented during this memorial and, as far as I know, also with political representation. But we're going to include the request and take a closer look at travel programmes, etc. It is important that this event be dignified and respectful and illustrate the points that the representative and I agree with.
ParlaMint-NO_2010-04-28.ana.ud1511e704	I am very happy to hear the answer, and what I registered yesterday when I was in contact was that there was no one from political leadership and so far no one from the Presidency or anyone from official Norway had been registered. Then I have to make sure that the information I get is correct. I hope the Council of State makes a request. If not the Council of State itself has the opportunity to come, there are also others in the Government and, if necessary, in the Presidency who may be able to participate in this. That is, after all, a reason why we can stand in this room – and that respect I think we should give them.
ParlaMint-NO_2010-04-28.ana.ud1511e711	It was probably a request both to the President and to the Minister for Foreign Affairs. I can only answer for the Foreign Minister that I will look again at how the Government has planned its presence at the marking. Then I agree that such a marking, and on this occasion, as it becomes less of a generation leaving us, should be done in a dignified and good way.
ParlaMint-NO_2010-04-28.ana.ud1511e718	The President is sure that the Presidency will take a round on it. Let's go to questions 13 and 14.
ParlaMint-NO_2010-04-28.ana.ud1511e726	‘During the 2008 Spring fire, major weaknesses were revealed in the civil defence equipment that collapsed during the fire-fighting process. As a result of the fire, some 8 000 fire hoses and 442 fire pumps were removed from the stand-by, according to civil protection data. Only 1000 of the fire hoses and 10 of the fire pumps shall be replaced by new ones. If this results in correctness, this is a dramatic weakening of Norwegian fire protection. Can the Council of States confirm or cancel this information?’
ParlaMint-NO_2010-04-28.ana.ud1511e733	We invite the Minister of Justice from pleasant events to water pumps and hoses.
ParlaMint-NO_2010-04-28.ana.ud1511e736	Thank you, President! I am concerned that we should have a good and proper preparedness for forest fires, and that has a rug that goes beyond just fire hoses and pumps. The fire in Fromand gave us the opportunity to get that work going, among other things. through the efforts of current Minister of Finance, Sigbjørn Johnsen, in the sample that evaluated this. There were several areas where there was a need to tackle forest fire preparedness. The size has also treated St.meld. No 35 for 2008-2009 on fire safety in March this year, and I refer to the setting. The figures the representative describes regarding hoses and pumps are, as far as I have brought on the clean, correct. After the Fromand fire, it was taken out approx. 8000 fire hoses and 442 fire pumps from standby. Some of the material taken out was a direct consequence of the fire, but much of it was to be discarded anyway. I have been informed that ‘many of the equipment mentioned by the representative were old lens hoses and some air-cooled pumps from the 50th – 60th century’. It's actually quite illustrative of too much of the civil defence challenges in terms of equipment. This equipment was designed for the Civil Defense's old war effort force. It is also true that ten of these pumps and 1000 fire hoses have been replaced. However, I do not agree that on this basis it can be concluded that the fire protection is dramatically weakened. With Stortinget's approval during the treatment of St.meld. No 22 for 2007-2008, cf. Inner. S. No 85 for 2008-2009, is the strength of civil protection during conversion and the number of ratings has decreased. Today, the force consists of 8 000 operational teams. The resources will focus on peacetime tasks related to rescue tasks and other disaster response. As a result of this change in civil protection, there is a need for the replacement of very old equipment, among other things. more fire material, fire pumps and fire hoses are needed. The civil defence has given clear feedback that the first priority is the replacement of the old one. We have started this work, and during the spring about 1/5> of the operative force is given new uniform clothing. More than half of the operational strength has now been given new boots and helmets. Therefore, the further acquisition of this equipment must be of high priority. After an overall assessment, I therefore believe that there is no basis for saying that fire protection in Norway – and in particular for forest fires – is dramatically worsened as a result of discarding the old equipment, to which the representative refers. In particular, I would like to point out the efforts made every summer – especially in the light of the experience we had with the Fromand fire – with additional helicopter resources, as well as the actual supply of competence, especially in the local fire service, which has been organised in particular against contact with the large fires in, among others. Hedmark, who contributes well.
ParlaMint-NO_2010-04-28.ana.ud1511e759	Of course, I would also like to take the opportunity to congratulate the Minister of Justice on a happy incident. So I would also say that when old equipment is discarded, withdrawn, the situation before 2008 was, of course, that one should rely on that equipment as well. After it has been removed, I would say that the fire protection has actually weakened. The pumps taken out correspond to 60 pst. by all available fire pumps in civil protection. A specific question for the Minister of Justice is: Although this equipment was to be discarded, but has not been replaced, is the fire protection in the Civil Protection Department better or worse after the fire in Midlands in 2008?
ParlaMint-NO_2010-04-28.ana.ud1511e766	I'm actually most concerned about now that you need to strengthen fire preparedness. It also applies in relation to fire hoses and fire pumps. So there is a need for more fire equipment, but there is also a need for other equipment in the Civil Defense Department, especially the intrusive clothing, and it is of particular importance that we continue the efforts we are making to combat air-resistance in the field of forest fires. The civil defense has today, I have been informed, 275 fire pumps and need approx. 150 to 200 in addition. We have to work for that. Similarly, I have been informed that the civil defence has about 20 000 hoses, of which about 20 000 are hoses. 10,000 of such an age that they now stand for replacement. That means that we have challenges in terms of the civil defence material, and that's why I think it should be given the highest priority.
ParlaMint-NO_2010-04-28.ana.ud1511e773	It is very pleasant and happy that the Minister of Justice confirms the figures and in a way flattens themselves for them. Then we may have a disagreement as to whether there is a weakening of fire protection. However, with regard to the response dressing, which was highlighted here, Stortinget has decided that the input strengths should be covered by the Labour Environment Act, and uniforms should be HMS-cleared. Only the outer garments are renewed and not the inner garments. In the case of pumps in concrete terms, the Government has granted only 5 million in 2009 and 2010. kr per year. The Right Party and the Advance Party have entered into full containment until the opinion of the experts is necessary. When will the funding be put in place, so that the Minister of Justice's promises here and now about getting pumps and other equipment in place can be fulfilled? Can we have a year?
ParlaMint-NO_2010-04-28.ana.ud1511e780	I am very pleased that we agree very much on the challenges. There have now been major restructurings in civil defence. The challenges now lie on the material side. We also agreed so far on the number of fire hoses and pumps. The issue is closely related to the budgets of the coming years, and that is how the government budget will be presented in October. Then you'll be able to find out if you have more money for the civil defense. But it will also depend on the extent to which we are able to give priority to equipment within the civil defence's own framework. So it's the future budget proposals that have to show what kind of pace it's going to be at this work.
ParlaMint-NO_2010-04-28.ana.ud1511e790	First, I would like to congratulate the Council of State on the increase in the family! So to the question: ‘It is likely that there will be an investigation into the tragic church fire on 29 May 2009 in the municipality of Våler in Hedmark. The police with their resources have done a great deal, but unfortunately the matter is not solved. Can the Council of States contribute to the failure to resolve the matter, with the aim of clarifying it?’
ParlaMint-NO_2010-04-28.ana.ud1511e801	I have from this pulpit in the past stated that in terms of the efforts of the Hedmark police district in the investigation of this church fire, but also of other complicated matters, there is a great job done. Investigation and prosecution are not directly under the responsibility of the Minister of Justice, so it is limited to what we, as political authorities, can do in terms of investigations into specific matters, and it is not always that the findings of investigations are linked to access to resources. I would therefore just like to stress that the prosecution authority, which is known to be independent of the political authorities in individual cases, and that the handling of specific criminal cases falls within the scope of the independent prosecution authority, which does not give rise to my intervention or action. In general, however, I would like to state that this matter is very sad. An entire community has lost a center and a very important assembly place: a church. A church fire affects many in the community, and there is reason to give great favor to all those in Våler, whether the police or others, who have set up their church. The Ministry of Justice has submitted the question to the Attorney General, who has obtained a statement from the Hedmark Police District. In a letter dated 23 April 2010, the Advocate General of the Court of First Instance referred to the Court for a preliminary ruling a number of questions on the interpretation of Council Regulation (EEC) No 1408/71 of 21 ‘There is no doubt that extensive investigations have been carried out so far, including, inter alia: 125 witness interviews and broad analysis of traffic data in the area.’ — Traffic data may be important. – ‘Some planned exploration activities remain. Unfortunately, no information has been provided that gives rise to any suspicions against the individual. [[is]] That's the State Attorney's word. I assume that the councillor's intentions regarding church fires are being followed up.
ParlaMint-NO_2010-04-28.ana.ud1511e825	I thank the Council of State for the answer. It is clear that this is a difficult matter, and it is a matter on which we all agree that many are affected. It's given praise – it's given praise before, and it's given praise now. We don't disagree. But what's a little tragic in the tragic is that the matter is kind of consecrated, and when ordinary people hear the word 'contained' they think you're finished, then nothing happens. In terms of resources, I'm not the one to say whether it's spent enough or not enough resources, and whether more resources could give more results. But just to take a little newspaper from Eastlandingen on Tuesday, December 29, 2009, where it says: ‘We’re not going to put the case completely dead until it’s resolved. But with our crew we can't have full pressure on the case every day." So I don't know – but we all aim to clarify this matter. A simple question to the Council of State is then: Does it do anything to the Council of State when such a serious matter is settled?
ParlaMint-NO_2010-04-28.ana.ud1511e837	First of all, the national lawyer's version is fundamental, where he says that there is no lack of resources that is the reason why the matter has not been resolved. It's like in several serious criminal cases you can get into a situation where you can't find the perpetrator, and where you can want to have a big machine running all the time, but where it's actually not appropriate. At the same time, I stress what the state attorney writes, and the state attorney is, in my opinion, a wise man. He writes that ‘there is also to be a system to collect and process information that may arise and the police are free to resume investigations at any time’. I think that's a wise way to deal with these kinds of things. Then it is important that we, as politicians, but also others, give those signals to the community, while emphasising that there is an unusual amount of resources used here, and that is the right use of resources. I have full confidence that the prosecution authorities and the national attorney can handle this in the future.
ParlaMint-NO_2010-04-28.ana.ud1511e844	From my side, I conclude from the answers I get, that you are free to resume the investigation when there is room for it on the basis of new things that emerge. Life must go on for everyone, it also applies to those who were affected by this church fire, of course. But it's very bad that the person or those who have been involved in this and caused this damage are not taken. But, as I said, life must go on. When it is said that you are ‘free to resume research at any time’, I am pleased with that.
ParlaMint-NO_2010-04-28.ana.ud1511e849	That's good. It is that sometimes you might perceive a decision of the order as almost obsolete, but that is not correct. This thing can bring life to itself. At the same time, the police need to assess at all times the appropriate use of resources also against this type of complex issue. So it's also my opinion that it would be very good if we could reveal the perpetrator in these kinds of cases. Fortunately, we don't have many of these things. But there's every reason to do a lot to find the perpetrator, so that we can keep the number of fires of this type at a minimum level and – if it's up to me – preferably zero.
ParlaMint-NO_2010-04-28.ana.ud1511e854	Then we go back to question 4.
ParlaMint-NO_2010-04-28.ana.ud1511e860	This question, from the representative Ivar Kristiansen to the Minister of Defence, will be raised by the representative Jonni Helge Solsvik.
ParlaMint-NO_2010-04-28.ana.ud1511e863	I allow myself to ask the following questions to the Minister of Defence: ‘The medical emergency situation for Norwegian personnel in Afghanistan is now at an extremely critical level. 13 out of 24 military doctors are missing, according to the Evening Post. This may be very unfortunate for Norwegian forces and other personnel in a critical situation. What will the Council of State do to remedy this situation?’
ParlaMint-NO_2010-04-28.ana.ud1511e872	Let me start by stating that the medical situation of Norwegian personnel in Afghanistan is satisfactory. There is full medical coverage for our forces in Afghanistan, and the statement in the evening post to which the representative refers therefore does not give a correct picture of the situation. For the last two years, the defence has had a strong contribution in several simultaneous international operations, and all our soldiers have received a good health offer during this period. I am very concerned that we ensure that our soldiers out on demanding and risky missions are given a good medical offer. That is why we have implemented several measures to improve the recruitment of medical professionals. The so-called Ullevål Agreement is an important part of this work. This agreement gives the Defence the opportunity to employ anaesthetics and surgeons as much of the year can be used in foreign operations as necessary. The agreement is a complement to other existing agreements and contractual arrangements. I would also like to mention that we have established an independent health surveillance system for Norwegian military personnel abroad. I am aware that not all the positions related to the Ullevål agreement are occupied and that the scheme has met some local challenges. Nevertheless, we have ensured that our soldiers are provided with good and sound health services both in Afghanistan and in other areas of operations today and in the future. In addition to the good work done here at home, we have done this job through close and good cooperation with Macedonia and Serbia. The cooperation has given us good access to very skilled doctors and nurses. These have hosted Norwegian hospitals and served in the shoulder of Norwegian soldiers in UN and NATO operations. When our soldiers are sent out on demanding missions in areas of war and conflict, it is essential that they have a good medical offer. Through good action here at home and through international cooperation with highly competent partners, we ensure that our soldiers are well cared for.
ParlaMint-NO_2010-04-28.ana.ud1511e885	I thank the Council of State for the answer and, of course, for the assurance that the medical services of our foreign forces are well cared for. I perceived it so that the reason why the defense has had challenges in occupying these necessary medical positions seems to be some kind of what I would call action by some doctor at the University Hospital in Tromsø. Can the Council of State assure us that, if necessary, action will be taken to prevent this, if it is such that doctors in Norwegian hospitals can prevent the defence from being given the medical coverage that the defence must have in order to provide the staff in foreign assignments with a proper medical coverage?
ParlaMint-NO_2010-04-28.ana.ud1511e892	I am also aware that there have been some local challenges with the adaptation of the Ullevål agreement. This question lies with the respective professional authorities. But I assume that the representative has also seen, no later than 22 April, this question mentioned in the evening post, and that the Health Minister has taken an initiative towards Health Nord. It has been stated that the relevant posts are about to be published. The Minister for Health expects this to start soon. For me, it is important that we have already got good qualified specialists in place under this agreement, and several of them have already served in foreign operations. I would like to emphasise again that this is one of several methods to meet the need for specialists in the Defence.
ParlaMint-NO_2010-04-28.ana.ud1511e899	Thank you again. I assume that the Council of State has an understanding of the focus of this very topic. We have a story behind us from 2007, where there was also a theme related to medical coverage in foreign assignments. We have understood that some of the measures taken by the Defense are described as unlucky by the Defense as regards the quality of medical care. It's both that you have to hire civilian doctors, foreign doctors and Norwegians, and that the medical homes that were originally supposed to be at the University Hospital in Tromsø have moved to Bodø. Can the Council of State respond to the need to do something now to ensure that the medical service has the quality that was foreseen when these medical homes were given to the University Hospital in Tromsø?
ParlaMint-NO_2010-04-28.ana.ud1511e906	It is very important for us to ensure a good health service for those involved in our operations abroad. That is why we have ensured this both through our own resources and through cooperation with other countries, and also established different agreements for cooperation with civil society. Overall, I believe that we have good access to the right skills, but this is an area that should obviously have a lot of attention, and also from my side I will follow this closely in the future. I think we have made great progress since 2007, when the discussion we have had today came to the table. More concrete measures have therefore been taken after that time.
ParlaMint-NO_2010-04-28.ana.ud1511e914	I have the following questions for the Minister of Finance: ‘Taxation of foreign-security contracts has been amended with effect from 1 January 2010. The old rules had random and unintended tax effects on the shipping companies. However, the new rules do not apply to contracts that run and are previously secured. This means that construction work for Norwegian shipping companies at Norwegian shipyards completed in the coming years can receive a random tax bill of up to 60 million. kr in individual cases. Will the Council of State take action to prevent such an extrapolation in the construction of Norwegian shipping companies in Norway?’
ParlaMint-NO_2010-04-28.ana.ud1511e923	It is true that, in the context of the 2010 government budget, the rules on the taxation of foreign-exchange insurance contracts under the Company Tax Scheme were amended so that the profits and losses were distributed proportionately between the financial capital and the assets of the companies. The obligation to pay taxes or deductibility shall apply only to the part which falls on the financial capital. A main reason for the change was to facilitate the conclusion of construction contracts by Norwegian shipping companies. Norwegian shipyards by increasing their flexibility in securing themselves against currency fluctuations. This justification did not apply to construction contracts and foreign exchange insurance contracts that had already been concluded. Therefore, the change did not have an effect on previously concluded contracts per. 1 January 2010. Currency hedge agreements that existed before the change were concluded subject to full taxation of any gain under the previous rules. In my view, there are no business policy reasons or reasonable grounds to relax the taxation of profits on such contracts. For companies that have losses on foreign exchange insurance contracts, the entry into force of contracts already concluded would mean a narrowing compared to the assumptions at the time of the conclusion of the contract. In view of this, I do not see any need to propose changes to the rules on the taxation of foreign-exchange insurance contracts that were adopted last autumn.
ParlaMint-NO_2010-04-28.ana.ud1511e936	I thank you for the answer, although it was not positive. There's usually politeness in this room. I might share the view of the Minister of Finance when he talks about the difficulty of finding business policy reasons – he might talk more about fiscal policy. I think it's tax-technical. On the other hand, with the difficulties encountered by the Norwegian shipbuilding industry, contracts are often pushed. It has to do with the situation of the yards, and it has to do with the situation of the shipowners. So you get this load in the period when you would otherwise get under the new regime. Where I disagree with the Minister of Finance, he's starting to talk about reasonableness, because I think it might be a good idea to take a new round and look at the species where you extend the time.
