ParlaMint-NO_2010-03-03.ana.ud1924e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-03.ana.ud1924e486	Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e489	I am pleased that the Prime Minister believes that climate change is serious, in fact so serious that the Government has decided to postpone the climate communication for one year. Then it must be really serious. One might wonder if it would really be possible to achieve the objectives of the climate agreement if we did not get concrete action in place before 2012 or 2013, but that is not what I am going to ask him about. The Prime Minister is well aware that climate change argues that one of the most effective measures to cut greenhouse gas emissions is the use of biofuels – 2 million tonnes of CO2. So then the question to the Prime Minister: Does the Prime Minister think that the Government has made a wise decision on the introduction of the biodiesel car diesel tax last autumn, and will he take the initiative of a comprehensive tax audit with a view to promoting the increased use of environmentally friendly fuels already in the context of the revised national budget?
ParlaMint-NO_2010-03-03.ana.ud1924e501	Firstly, it is right that the climate communication should come in 2011, and not in 2010. This is simply because the agreement we thought would be there as a basis for the whole notification, the Copenhagen agreement, was not the agreement we thought. That's why it's important that we try to get an agreement in Mexico, that's the basis for what we're going to do in Norway. It is not true that nothing is happening; there are many measures that we have implemented, implemented and followed up in the budgets. So in the case of biofuels, we've removed the CO2 tax, and we've increased the inclusion order based on the principle that there's a polluter who pays. I believe that in environmental policy it is important to be a little principleal. I think it is wrong to make things considerably cheaper with road transport, it increases the total amount of transport. Because it's not zero emissions, it also means that total emissions are increasing with that kind of policy. I do not therefore agree that it is environmentally friendly to have lower general transport charges.
ParlaMint-NO_2010-03-03.ana.ud1924e511	To clear up a little bit of an answer that the Prime Minister gave to Trine Skei Grande, so it was Minister for the Environment Erik Solheim who challenged the Left and Christian People's Party in the election campaign to join in strengthening the climate agreement. So this initiative did not come from us, but from the Government itself. I am very pleased that the Prime Minister is so clear in the answer to Mr. Ketil Solvik-Olsen, saying that two thirds of the cuts are going to happen at home, as stated in the climate agreement. I am also very pleased with what the Prime Minister says about the climate problem being so serious that we have to do things both at home and outside, that there is no contradiction here. Helga Pedersen writes in a chronicle of the Nations December 22, 2009: ‘Do you really think that we have time to prioritise inefficient measures here at home rather than effective measures in other countries?’ Then I realize that the Prime Minister disagrees with such a statement as his Vice-Chairman makes.
ParlaMint-NO_2010-03-03.ana.ud1924e523	I am absolutely sure that Helga Pedersen and I fully agree with these questions – that we should do things both at home and outside. It is in the nature of the matter that many of the measures we take at home are more expensive than those we can do outside. It's a little dependent on what you mean by "out", for "out" is so much. It is both Brazil and Germany, Romania and other EU countries. In the case of actions in the EU, they cost over 100 kroner. It is clear that Norway is meeting its climate objectives. In principle, we can only buy climate allowances in the EU, burn and destroy them, and then the total emissions go down for 100 kroner. It is an effective way to reduce emissions. When there are fewer emissions permits, there will be less emissions. The EU system is a closed system, with each allowance we take out of the system leading to reduced emissions. Nevertheless, we are implementing measures in Norway that cost more than DKK 100, partly because we have an independent target of reducing our own emissions, and partly because we believe that the quota price will gradually increase, and that it is therefore rational to implement the kind of expensive measures in Norway. Helga Pedersen and I are in complete agreement.
ParlaMint-NO_2010-03-03.ana.ud1924e528	Let's move on to the next main question.
ParlaMint-NO_2010-03-03.ana.ud1924e531	Then it was my turn. It is nice to see the Prime Minister come to meet the Storting in the spontaneous questioning again, especially at a time when it might indicate that he should spend more time ensuring quality special curvatures from his own ministers. We are living at a time when there are major challenges in a number of sectors of Norwegian business, in particular with regard to export-oriented activities and small and medium-sized enterprises. Many of these actors feel that if the Government had taken such an initiative, a commercial heating room with concrete measures for improved framework conditions would have been a loving invitation. Minister of Industry Trond Giske has rolled out the red runner for a relatively fabled collection of people and invited them into the red-green business heat. It seems that this heating room is of relatively narrow size, perhaps except in the case of financial muscles, if you look at the composition of the sample. In addition, one of the places is already occupied by a small frozen Kjell Inge Smoke, who needs all the heat he can get after the then Minister of Economic Affairs Sylvia Brustad's winter storm in 2009. I think that the business life of the future had stood in a much larger heating room with a much wider selection compared to representation. That being said, the biggest problem with this selection is that Minister of Industry Trond Giske, after red runners and networking, invited the Crown Prince to participate in the selection. This puts the King's House and His Majesty The Crown Prince in a very difficult situation. The royal house must be a royal house for the whole population. I have registered that most people who have expressed their opinion on this, including from the Government, have been negative to the appointment. Now the Crown Prince has withdrawn. My question to the Prime Minister is therefore: Is the Prime Minister comfortable putting one of his ministers in a difficult situation? Would he have preferred that Trond Giske had not appointed the Crown Prince to sit in the sample?
ParlaMint-NO_2010-03-03.ana.ud1924e544	For the sake of order, the President must make it clear that the Crown Prince is not majesty.
ParlaMint-NO_2010-03-03.ana.ud1924e547	First of all, I just want to say in general that I think it is important that the government has dialogue and meets people from very different environments and communities. It's part of the big process that's part of designing, developing knowledge and reaping experience that makes it possible to develop policies. The fact that government members, state councils, organize more or less formal, more or less permanent, groups, meeting places, I believe is a good tradition that many government councils and many governments have gone on. When it comes to His Royal Highness The Crown Prince's participation in this group, I believe the solution that has now been found is a good solution. I am pleased that this matter has now been clarified, as it has received.
ParlaMint-NO_2010-03-03.ana.ud1924e554	It may seem as if the Council of State Gieske has held some sort of home alone-party in the Government. It could have been at home alone-partying elsewhere too, what do I know. You can also ask yourself who has participated when you see how the sample was composed. What I do wonder, however, is how such a solo game from Giske is not captured by the Government as a college. I have a great deal of understanding that the Prime Minister in a busy everyday life cannot personally guarantee everything Trond Giske and others had to think about. But shouldn't this be a task for the co-ordination minister, the superminister, the saga-nomist Karl Eirik Schjøtt-Pedersen, as well as his work in managing the government's car system? [[Laughter]]
ParlaMint-NO_2010-03-03.ana.ud1924e560	After all, the Council of State of Giske has itself stressed that this is his decision. I also record that there is now a clarification that the Crown Prince, in consultation with the Council of State, has found that the Crown Prince should not be in this group. That's a solution I think is wise and good.
ParlaMint-NO_2010-03-03.ana.ud1924e565	There will be two follow-up questions – first Harald T. Nesvik.
ParlaMint-NO_2010-03-03.ana.ud1924e568	It is at least nice to note that the after-school clock is present, and that can be good in this case. It's a statement that I find reason to ask the Prime Minister to answer. In one of the newscasts last night, we got the impression in an interview with Minister of Industry Trond Giste that the Prime Minister was consulted in January. It appeared in that news item. My question to the Prime Minister in this regard is whether the Prime Minister was informed that the Minister of Economic Affairs and Trade would bring Crown Prince Haakon, His Royal Highness, into this selection. If that is the case, it puts this matter in a new light. My question to the Prime Minister is: Was the Prime Minister informed in January, as it appeared in the news last night?
ParlaMint-NO_2010-03-03.ana.ud1924e577	As I answered the first question, and as Minister of Industry Trond Giske himself has stressed on several occasions, this is his decision. So the decision has now been made not to participate in this group. It is a decision that the Crown Prize and the Minister of Industry have reached in consultation, and they agree on it. As I say, I mean it's a right decision, a wise decision. As far as handling in the government is concerned, we have a long tradition from many governments that the internal proceedings in the government are not being explained, especially not from the Parliament's pulpit.
ParlaMint-NO_2010-03-03.ana.ud1924e584	Svein Fleet – for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e587	I understand that the answer to all the questions in this case is that the decision that has been made is wise and good. But I think that this constitutional mix is also a matter for the Prime Minister, because it had to be clear from the very beginning that this was politics. 14 days ago, the Prime Minister presented the project Cooperation for work as a very political project. The Minister of Economic Affairs has said about the appointment of the Crown Prince that this was not a policy. My question to the Prime Minister is: Will the Prime Minister do something, so that the Minister of Industry understands that cooperation for work is a political project, and so that in the future we can avoid this kind of very unfortunate mix of roles?
ParlaMint-NO_2010-03-03.ana.ud1924e594	It's very important that we don't make uncertainties about roles. I believe that the discussion and the doubt that arose are the reasons both for the Minister of Industry and for the Crown Prince for the decision that the Crown Prince does not participate. Then you can certainly have different opinions, but the crucial thing is that they wanted to eliminate uncertainty and doubt. This which was meant to be a positive thing, was perceived as negative, and therefore it is a right and wise decision they have made. In general, I think it is good that we have a royal house that is active, that promotes Norwegian business, and that, not least to other countries, on trips and meetings and conferences, is involved in promoting Norwegian business, but it is important that it does not take place in a way that creates uncertainty about roles, constitutional conditions. Therefore, there is part of the reason why the Crown Prince does not participate in this group.
ParlaMint-NO_2010-03-03.ana.ud1924e601	Then we go to the last main question. For the sake of time use, very few, if any, follow-up questions will be given to the main question – from the representative Jan Tore Sanner.
ParlaMint-NO_2010-03-03.ana.ud1924e604	Thank you, President. The biggest and most important election ceremony given by the Workers' Party, SV and the Center Party in the last year's election campaign was that 100 billion more were to be invested on the road and track. This promise was well received, although most would agree with the Right that the need is even greater. Better roads are needed to enable businesses to enter the market with their products. There is a need for more public transport in the interests of the environment and accessibility, and safer roads are needed for the sake of excessive traffic damage. Just after the election, the Prime Minister of the Business Today wrote that the state has enough money, the important thing is the willingness to prioritize the road and the track. It's in stark contrast to what VG could tell on Sunday. A central anonymous labour party source says there: ‘It is quite unimaginable that the plan can be fully fulfilled.’ It is enough that many voters are left with the question: Were we deceived last year by the promise of the Workers’ Party, SV and the Center Party? Or is it that one can no longer make the difficult choices that the Prime Minister pointed out in today's Business, namely that it is a matter of prioritising? But it doesn't stop there, because an anonymous government council in the red-green government, a government council in Stoltenberg's government, says to VG: "Everyone must cut, including transportation. There's a lot of money there." Then my question to the Prime Minister is, is it so that the promise given to the voters did not have full support in the red-green government? Or is it that the Prime Minister has announced that it will also be cut in transport?
ParlaMint-NO_2010-03-03.ana.ud1924e615	The government has not had its first budgetary conference. Nobody today can say exactly what the 2011 budget is going to look like, simply because we haven't started working on the 2011 budget. What I can say is that they plan, the goals the government has drawn up, among other things. in the Soria Moria Declaration, in the National Transport Plan and elsewhere, stands by. This means that the national transport plan is on track. This means that the plan we have in the context of the care package, the escalation of care for the elderly in the municipalities, the cultural promise and the defence plan are on track. There are many other plans at hand. It also does the goal and plan to return to a use of the oil money corresponding to 4 pst. by the Pension Fund. So we have a lot of goals, lots of plans. In individual budgets, we want to clarify how far we are going in terms of follow-up. In terms of the national transport plan, there's a plan where we've really shown that we're doing what we said we should do. The previous government presented a very small ambitious transport plan. It was much less than what this government has provided. They couldn't even fulfill that plan. So when it comes to breaking plans, Right has long experience. We presented a significantly more ambitious transport plan, and we have followed it. This government has implemented the previous transport plan and presented a new and even more ambitious transport plan. Already in 2010 we took a significant leap forward to increase the appropriations both on the road and on the road, in line with what we promised in the transport plan. So our plans are on track. In individual budgets, we will explain in detail how far we are going to meet them.
ParlaMint-NO_2010-03-03.ana.ud1924e624	This is probably the closest one to come a ‘good day, man – axe shaft’ response. We'd like to argue about the past, even though I think it's a little pointless. I think everyone sees that many governments of different colors have not done enough. But what stands out is that the Bondevik government – the government in which the Right sat – built several kilometers more road than the Stoltenberg government did in the last period. It was because we managed to get more out of the money. I agree that we must come back to the rule of action. But the rule of action is not just about how much money you are going to spend on the Pension Fund, it's also about how to spend the money. What Stoltenberg agreed with Right and other parties when the rule of action was introduced was that the oil money was to be used to invest for the future – in knowledge, in research, in transport and in tax relief, among others. the holdings. Does the Prime Minister insist on what was the intention of the rule of action, namely that investment should be prioritised for the future?
ParlaMint-NO_2010-03-03.ana.ud1924e634	Yes, and that is why this government has significantly increased investment in transport. There's a lot left. There are many ways that are not good enough. There is a lot of railway that is not built. But this does not prevent us from doubling rail investment and increasing road investment by billions of dollars. So we've followed up our plan. The previous government granted less than it promised and failed to follow up its plan. Then I say that we already in the 2010 budget have had a significant escalation, in line with the national transport plan, in terms of transport. Our plans are on track. Then, in the individual budgets, we're going to specify how far we're going to realize them. It concerns all the plans and all the objectives.
ParlaMint-NO_2010-03-03.ana.ud1924e641	Two follow-up questions will be raised – first Øyvind Halleraker.
ParlaMint-NO_2010-03-03.ana.ud1924e644	The previous government had no common national transport plan. However, it had the Sem statement, and it was fulfilled. Then I have to remind the Prime Minister that the government is already NOK 2.3 billion after the NTP he stood stunned by. In such a reality – where trains are due to lack of maintenance and new investment, where we are constantly receiving new reports that roads are getting worse – we now feel that the Stoltenberg government is questioning this and is postponing the necessary measures that could have given us safer roads and better progress on the road, which, of course, are also growth-promoting measures that should be taken at times like ours. Just under a year ago, the Prime Minister stated that: «Now we have set new ambitious targets for the next ten-year period: an extra 100 billion kroner for transportation. Only there is good enough reason why voters should give our majority government four new years!’ Six months later, he says the following: ‘The strength of the working party is not merely to be proposed. The strength of the Workers' Party is that we also implement." Will the Prime Minister confirm that he stands by these promises to his constituents?
ParlaMint-NO_2010-03-03.ana.ud1924e663	Firstly, it is not right that we are lagging behind in terms of the national transport plan. We've increased the appropriations. It's not like we're going up to a level that's 100 billion dollars a year. We have never said that, nor in the transport plan, but we have started the escalation. Firstly, we carried out an escalation in the previous period. Now we have increased the appropriations beyond that, precisely because we see the need for investment both in the way and in the way, and that is significantly more than what the previous government did. So in terms of the plans, in the Soria Moria statement, we have a lot of plans. We showed in the last period that we were very good at following up those goals and plans, and we're working on that in every budget. We've created one budget and we're in the right place. So it's going to be in the individual budgets that we specify and present how far we're going to go in each year. The government has not started work on the 2011 budget. That's why no one, either anonymous or anyone else, can say anything about how that budget is going to be – me neither.
ParlaMint-NO_2010-03-03.ana.ud1924e674	Bård Hoksrud – for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e677	I'm glad you show commitment to transportation, especially for road and rail. The challenge is in many ways not to follow up the NTP that the Government has actually adopted, which is now NOK 2.3 billion if you were to phase in what is the annual appropriations. I have now been on the Transport Committee for four and a half years. I have traveled a lot around the country, and I would like to encourage the Prime Minister to put the driver in the back of the car and himself in the front, so to speak, to drive on the Norwegian road network, to experience what it actually is like to drive on Norwegian roads. Then I want to challenge the Council of States, clearly and clearly, without him just pointing out that one is coming back into the budget. In fact, it is a prerequisite in the national transport plan that money should be allocated to the roads and that it should be provided when the different projects start up. They are already 2 billion kroner behind them, and there are projects that are not getting started, which should have been started already in 2010. That's why I want to challenge the Prime Minister: should you follow up on NTP, as NTP has been adopted, or should you continue to break promises by the Government?
ParlaMint-NO_2010-03-03.ana.ud1924e686	I think it's a fundamental misunderstanding here. National transport plan does not suggest that we take everything in one jaf. National transport plan is a plan for gradual escalation. We showed this in the last period that we were able to do, and we implemented the national transport plan. Then we have presented a new national transport plan that is still above it, totaling NOK 100 billion. We have started the escalation – just as we promised. There is a significant escalation both by rail and by road in 2010. So it's not just that we're talking about this in future budgets. We've actually done it. Then I'm perfectly aware that even though we've doubled railway investments, we need a lot more money for the railways. I am fully aware that although we now have significantly greater appropriations for both operations and investment in the way we have done before, we still lack a lot of money for these areas. That's one of the reasons why this government says it's much more important to spend money in the community, like that. rail and road, like promising new billions of tax credits – because that's what it's basically about: what we're going to spend our total resources on. So we're for the railway, we're for the road. And we're doing that in practice, we've increased the appropriations for both of them each year.
ParlaMint-NO_2010-03-03.ana.ud1924e701	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2010-03-03.ana.ud1924e707	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 4, from the representative of Geir Jørgen Bekkewold to the Minister for Local and Regional Affairs, has been transferred to the Minister for Children, Equality and Inclusion, who is directly responsible. However, the question is postponed until the next Question Time, when the Council of State has left. Questions 6 and 7 from the representatives of Torbjørn Røe Isaksen and Bård Hoksrud, respectively, to the Minister for Economic Affairs and Trade, are relocated and answered to question 22, i.e. at the request of the Council of State. at the end of the Questionnaire. Question 8, from the representative, Mr T. Nesvik, to the Minister for Food and Trade, has been transferred to the Minister for Oil and Energy, who is directing him. At the request of the Minister for Oil and Energy, this question is moved and answered before question 17, to be answered by the same Council of State. Question 13, from the representative Line Henriette Hemdal to the Minister for the Environment and Development, is postponed to the next Question Time when the Council of State has left. Question 19, from the representative of Svein Harberg to the Minister for Research and Higher Education, is raised by the representative of Gunnar Gundersen.
ParlaMint-NO_2010-03-03.ana.ud1924e727	My question is: ‘We are now experiencing a public debate on freedom of expression, tolerance and freedom of belief which is particularly linked to Islam. Some have contributed to increasing the level of conflict by drawing up and highlighting some of the most far-reaching attitudes we find in our multicultural society. Many fear that increased levels of conflict will lead to alienation and polarisation. How will the Prime Minister contribute to the strengthening of the community and the values common to Muslim and Norwegian culture?’
ParlaMint-NO_2010-03-03.ana.ud1924e736	That is an important question asked by the representative of the Skei Grande. A more diverse population contributes to changing Norwegian society. Then it's natural that there are breaks and debates. We have to go into these debates with mutual respect, and I am concerned with three perspectives in the debate. First of all, we all have a responsibility not to create scary images or black paints. The fact that Norway has become more multicultural is a positive contribution to our community. Minorities contribute to the labour force that strengthens the Norwegian economy and strengthens Norwegian welfare. Secondly, integration in Norway is better than in many other countries. Unemployment among immigrants is lower than in most of our neighbouring countries. Many learn Norwegian. It goes in the right direction, even if a lot is done. The most important thing we can do is make sure that people who are new in the country learn Norwegian and get a job. Here we do a lot. We have to do even more. Thirdly, we have to have great tolerance for differences, but zero tolerance for actions that violate human rights or violate Norwegian laws. We're going to tolerate statements that we don't like. It's part of freedom of expression in a free society. Extreme attitudes must be combated by words, not by prohibition. However, the extreme statements must not dominate the debate on multicultural Norway, and there is, of course, a limit to which opinions we should accept. This limit has been drawn up by the Stortinget through the penal code. At the same time, I am concerned that those who stand for extreme attitudes do not represent the vast majority of Muslims in Norway. The debate has shown a diversity in which we still have more votes. I am very pleased that we have got several debaters with Muslim backgrounds who participate in the word change and show breadth and nuances. We are all responsible for the fact that this debate is helping to strengthen the community and common values, as the representative Skei Grande calls for. The Community must contain the whole diversity of its population. I think the most important thing we do is to help those who are new in the country succeed here – in school and in work – and that they experience meeting a society that gives people equal opportunities.
ParlaMint-NO_2010-03-03.ana.ud1924e751	I thank the Prime Minister for the answer, and I agree with the main gravity of it. But I think there is a certain lack of understanding of the frustration that very many young people feel. They grow up in a Norwegian society, they feel Norwegian, they speak Norwegian fluently, they do what the big community requires of them. They take an education – but they don't get a job. Some of this is also described in an article in the VG today by Ambreen Pervez. It says: ‘Halvors and other politicians also need to think about creating alienation among Norwegian children when their peaceful religious practices are promoted. It may give some voices, but does not create a long-term good Norway where everyone feels belonging. Integration is not about how you dress or whether you cover your hair – but about what you have inside your head, whether you take education, work and are law-abiding.’ The confrontation that has been taking place in the recent debate is shown, among other things. by the fact that today a proposal for a representative has been tabled to prevent the three ladies, whom I have observed in my part of the city, from taking part in covering clothes. It could have been fixed by taking a phone. Then there is a question of whether we are now holding a debate that very many feel bullying them, putting them outside the community. It is not about integration, nor about Norwegian knowledge, nor about the other things that the Prime Minister has brought forward in the debate. It's about some young people feeling that they don't belong, because the way we discuss integration, the way we stigmatise and make this happen, for example. Some clothes and other things, make you feel like you're not part of society. Some of the frustration we saw during the demonstration in front of the Israeli Embassy was really about many who feel that they are not part of society. My question to the Prime Minister is, how can he help these young people to feel that this is their society as well?
ParlaMint-NO_2010-03-03.ana.ud1924e765	Both through concrete actions and instruments and through attitudes and values we communicate, we can help everyone to feel like part of the Norwegian community, part of the Norwegian community. In that debate I am concerned that we should not paint black and not paint beauty. I think that if we manage to convey shades, it'll also be easier to create a reality that people recognize. I'm e.g. agree that there is clearly discrimination in Norwegian working life, that people with a migrant background often have more problems getting a job than those who do not have a migrant background. I agree. At the same time, it is important not to blackmail it, because we are in the lucky situation in Norway that we have lower unemployment than in most other countries, and that we have more immigrant backgrounds in jobs than very many other countries. And an important reason to be concerned with keeping the general unemployment low is that then it's also much easier to keep the unemployment among immigrants low. So work is important for us to succeed in integration. Then I agree that it is of course important that we have discussions about clothing, and we have introduced rules in Oslo that limit the possibility of using clothing that covers the face, because it can prevent the teaching. But sometimes you get the impression that it's more important to discuss what Muslim girls have on their heads than what they have inside their heads. The point is that there are now very many Muslim girls taking great education, who get some of the best exams and grades, and who are now going to contribute at the top level in terms of very many different subjects and educational courses in Norway. That combination, to realize that there is a problem with high school dropout among many with Muslim backgrounds or immigrant backgrounds, and at the same time to see that we have very many capable people in the same population, it's the shades -- that diversity -- that I think is an important part of our debate on integration, and that makes it easier to integrate if we don't have any beauties or black paints. School is another key area. I'm concerned that we're going to have a good public common school. It's an important integration arena.
ParlaMint-NO_2010-03-03.ana.ud1924e779	I thank you for that answer. I want to raise the last aspect, which is the religious aspect. Today, there are scary images of what religions stand for in many citizens of Norway. We had a discussion about this last caricature struggle in Denmark, when Left took up here in the Stortinget to Church Minister Trond Giske, at that time, the question of whether we should have received a religious message to the Stortinget to discuss religious politics in society. It was also a bit influenced by the fact that the government had gone on a few blinds in relation to different value issues. Now we see that even though 40 pst. by immigrants who come to Norway are Christians, however, there are major confrontations between religions. We have a Church of State in Norway – it disagrees with the Left – but nevertheless we should have a religious policy, and not just a church policy that the Norwegian bigotry has often adopted. My challenge to the Prime Minister is that perhaps the Norwegian society has now come into a phase in which we should have received a religious message to the Great Britain and discussed the place of religion, the framework of religion, what we are tolerating, what we are not tolerating – what position the different religious communities should have in relation to public support, how we can contribute to a good religious debate in society that does not stigmatise, but which distinguishes the extreme attitudes from those that are religious, and which should also lead to some information in Norway about what the different religions stand for, and what the meeting between them actually creates.
ParlaMint-NO_2010-03-03.ana.ud1924e786	The time frame for the second round of questions is one minute. The President has not been quite aware of that, so the Prime Minister also gets two minutes since Trine Skei Grande got two minutes.
ParlaMint-NO_2010-03-03.ana.ud1924e789	I always deal with the President's clock.
ParlaMint-NO_2010-03-03.ana.ud1924e794	Thank you very much, President. Firstly, I believe that religion is important, and we have had important processes and debates on it in the previous period, which we are also going to continue in this process of enlargement. An important part of this is the settlement of the Church of State — a new church system. There are many reasons why it's a right and a good deal of compromise, but one reason is that it's just creating looser ties between the state and the Norwegian Church, and I think it's also a contribution to creating a more inclusive society, a new society where we have more of different religious backgrounds. That, I believe, is the credit of the Storting and the Government, that after many attempts, many years of debate, many selection settings this time actually managed to arrive at a settlement like the Great Government, and that during this period we can make the final decision and implement the Church Agreement as intended. So I'm going to be careful to promise things, or say things, I don't have any points of view for, but I think – I'd like to investigate it afterwards – that in the Soria Moria Declaration we say something about presenting our own case of religion and outlook. Anyway, at least I'm going to go in and carefully evaluate it, because in Soria Moria we've just seen the significance of getting a broad and comprehensive review. That is why we have opened up a case for Stortinget, so that we get the broad and proper debate that the representative Skei Grande is calling for.
ParlaMint-NO_2010-03-03.ana.ud1924e807	I allow myself to ask the following questions to the Minister of Knowledge: «Haugesund Toppiedrettsgymnas, HTG, offers students specialisation in combination with top sport. The school has new buildings and has 206 top-school students within 12 yards. The school has been in operation since 1997, and has been informed that the school cannot apply for top-level education because the department has placed a ceiling of 810 student places in selected existing schools. The HTG wishes to be approved in the scheme by the NIF and considers themselves qualified. Will the Council of State contribute to the equal treatment of HTG with similar schools?’
ParlaMint-NO_2010-03-03.ana.ud1924e816	The State budget provides grants to private upper secondary education institutions on a cap. Item 228, 79, top-notch. The aim of the scheme is to contribute to the better functioning of the schools covered by the scheme so as to enable top-ranking athletes to combine training with secondary education. Until 2010, in line with a 1999 Stortinget budget decision, top-level sport grants were granted to two named schools – Wang and NTG. It was then set a ceiling of 810 students who could trigger the top sport grant. However, there have been significant changes to this effect since then. From 2010 onwards, the system of top-level sport grants has been implemented. No longer is a grant granted per. Students, but per year school. It is therefore no longer relevant with a ceiling on the number of pupils who trigger top-level sport grants. The scheme applies to the schools approved under the Private School Act and offers specifically organised secondary education in combination with top-level sport, which are additionally recognised as top-level sports gymnasium by the Norwegian Sports Association. If several schools approved under the Private School Act and offering specifically organised secondary education in combination with top-notch education are approved by the Norwegian Sports Association as upper secondary education, these schools will initially not be covered by the cap scheme. Item 228, 79, which is a budget heading. Any inclusion of new schools in the scheme must be dealt with in accordance with the ordinary budgetary procedures. At the same time as the scheme was put into the 2010 budget, the entry framework was increased by 10 million. kr. Haugesund Toppidrettsgymnas is approved under the Private School Act, but is not recognised as toppidrettsgymmas under the Norwegian Sports Association.
ParlaMint-NO_2010-03-03.ana.ud1924e831	Thank you very much for your answer. Haugesund Toppiedrettsgymnas lives in a beautiful new building that they have paid for themselves, on a municipal plot right at Haugesund Sports Park, which is now becoming a complete sports park – perhaps Norway's most complete sports area. Haugesund Toppidrettsgymnas is an ordinary high school with top sport, in a region where FK Haugesund plays elite football and Haugaland Handball Club plays elite handball. We also have many talents in Sunnhordland, which is part of the entire recording circuit of the school. I am pleased that the Council of State says that new schools will initially not be able to receive grants. This means that it is a challenge for the Council of State to open up that if the school is approved by the Sports Association, which of course has strict criteria for becoming so, it will be possible to receive this grant for 2011. What I think is an extra reason for this is that the Haugesund Toppidrettsgymnas, after the roof was put in the number of schools, not on students – whether it was a student or a school roof – has been running all along, since 1997. In other words, it means that there is a school that is in a special position. Then you have seen that even though it has not been allowed to set up schools after these ceilings came, you have nevertheless approved a branching. It means, in my opinion, that there is an unfair treatment of Haugesund Toppidrettsgymnas, who have chosen not to apply because they were told it. There's something I want to clarify with the Council of State. Can they search through the Sports Association? And if they are accepted, can they be evaluated by the Council of State Kristin Halvorsen in 2011?
ParlaMint-NO_2010-03-03.ana.ud1924e842	There are two things that need to be done to enable Haugesund Toppidrettsgymnas to receive state support. One is that they are approved by the Norwegian Sports Association, and the other is a budgetary matter. So this is not a rule - rule rule. 228 which automatically triggers a grant but a budgetary matter based on the framework adopted by the Storting for this chapter and for this item. That means that if you're approved, you have the opportunity to search. But it's a budgetary matter that, to the seventh and last, will determine whether there are several schools that receive grants after that.
ParlaMint-NO_2010-03-03.ana.ud1924e847	I was a little satisfied with that answer because you go away from the principle, from the fact that you can't apply, to the fact that it's going to be a budgetary matter. So we're going to have a hope that we're going to put money in the budget. You don't ask for millions of dollars. You might ask for a start to get in, because there's no doubt that the Haugesund Toppiedrettsgymnas, with over 200 students, have room for more. One of the reasons why these schools come in is that it's expensive to do top sports. You need some more advanced equipment, you might need some advanced training methods, and you might need a little less students per. teacher. I'm now getting quite satisfied with the answer. What is obvious is that you have to go to private school today, you have to be approved under the private school law. If you are to receive other grants, you will have to be approved after those grants via the Norwegian Sports Association at the Olympic Summit. It's obvious. What I'm summing up with is that the State Council will open up funds in the budget, because it's a budgetary matter and no longer a matter of principle.
ParlaMint-NO_2010-03-03.ana.ud1924e858	The representative Kambe has a very strong commitment to Haugesund Toppidrettsgymnas. That is very good, but the procedure is like I said: First the approval of the Norwegian Sports Association, and then this is a matter of what kind of appropriations the Stortinge does in terms of this chapter and this post. I think we have to do it in the right order here. We're going to get back to this when we're going to adopt a budget for 2011.
ParlaMint-NO_2010-03-03.ana.ud1924e868	I have allowed myself to ask the following questions to the Minister of Knowledge: ‘In Dagbladet on 5 February 2010, former teacher and author Terje Forsberg stated that teachers have to endure being spit on and harassed. This statement has been refuted by the Ministry of Knowledge, and neither has KS, which represents the country’s school owners, objected. Does the Council of State believe that Norwegian teachers are to be treated differently from other professional groups, and has the Council of State considered how the school can set the standard for what is acceptable student-to-teacher relations?’
