ParlaMint-NO_2010-02-10.ana.ud2182e26	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2010-02-10.ana.ud2182e454	I am not reassured by the response of the Minister of State. The school now merges into a wide range of services where small municipalities fail in terms of quality. The big picture is that larger municipalities have more competence and are better able to follow up the school. In fact, the difference school is here. This is what the Education Directorate warns against, and it is a threat to the rights of Norwegian children to an equivalent school offer. The commitment of the director of the Education Directorate to the school is suffocated today by the secrecy of the outcome of the national tests. When the Government does what it can to make access to the results more difficult, it is also difficult to get the big debate. Although in Sogn and Fjordane there is some work to do to raise the quality of the school, it is the exception and not the rule for small municipalities. Does the Council of State have a strategy to ensure that all pupils have a good school, regardless of which municipality their parents have chosen to live in?
ParlaMint-NO_2010-02-10.ana.ud2182e463	First of all, not most of the municipalities I came up with are in Sogn and Fjordane. There are also many small municipalities in other counties that have done well. Secondly, of course, professional responsibility for quality lies with the Minister of Knowledge, so that what I can talk about here today is more general. It is the Minister of Knowledge who is working on content, and who is supposed to come back to the Storting with good and sensible measures to raise the level of knowledge in the school throughout the country, because that is what this is all about. It's about all the elephants having a good learning environment in their community. Nor can anyone eliminate distances in this country by merging municipalities. To take Sunund in Sogn and Fjordane as an example: I don't think Hardbakke in Sunund will recruit better qualified teachers if it's edged out in a large municipality than a municipality center in Sunund. It must also be taken into consideration. There are large distances in this country, and many elephants have to have an offer in their vicinity, unless the quality of life is to be weakened for other reasons.
ParlaMint-NO_2010-02-10.ana.ud2182e470	Three follow-up questions will be raised – first Trond Helleland.
ParlaMint-NO_2010-02-10.ana.ud2182e473	Schools are not the only area where state, government and population are highly dependent on municipalities, and where patients, students, users and citizens expect quality of services provided. In these days, the debate on the cooperation reform is going to take place, where the state will make a lot of demands on the municipalities. Yesterday the Children's Ombudsman was out in the Newspaper and believed that child protection worked best in the large municipalities. The organisations of the disabled were consulted in the Stortingen last week and thought that small municipalities lack competence and professionals to provide people with disabilities with a good enough range of services. At the same time, the government does not lift a single finger to give municipalities incentives to join forces. Today, the income system favours the smallest municipalities, making voluntary aggregation little relevant. What action will the Minister of State take to create a municipal structure that is in line with the demands and expectations of the State on the quality and competence of the municipalities?
ParlaMint-NO_2010-02-10.ana.ud2182e480	The answer is municipal convergence, but sometimes a question has to be asked: What was the question? We see that municipalities solve their challenges in different ways. We see that many municipalities in need of expertise do well to cooperate across the municipal borders and do so with good results. Inherred co-municipalities, where Namsos, Overhalla, Fosnes and Namdalseid work together, have eleven years' work within child protection – 20,000 people in their impact field. They have no recruitment problems, they have a high quality and they have office days in all municipalities. You do the same in Hemnes and Snillfjord, a co-worker, you've got better skills, you've got better recruitment, and you do it in many other places in the country. Many refer to Finland when it comes to good quality both in school and other services. That's where the municipalities are responsible. There are municipalities of different sizes – small and large – but they cooperate. They'll find good local solutions. I think it's also a good way to go in Norway, when you need to raise your skills and increase your recruitment, which can be a challenge in smaller municipalities.
ParlaMint-NO_2010-02-10.ana.ud2182e490	Torkil Åmland – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e493	I want to go back to the school offer in the municipalities. If we look at the results of the national tests, we also see a slightly different pattern than the difference between large and small municipalities, which we've been dealing with here. It concerns the difference between private and public schools. For example, in English, reading and billing, private schools are well placed above public schools. This applies to the last three years. So the statistics show that private schools contribute to raising the quality in general in the Norwegian school system. Now it is the municipality that has the overall responsibility for the school provision in the municipality, and the private schools are also part of this offer. My question to the Council of State will then be: Does the Council of State agree that private schools contribute to raising the quality of teaching provision in municipalities? And will the Council of State see it as positive if private schools are also established in municipalities that are struggling with poor results?
ParlaMint-NO_2010-02-10.ana.ud2182e502	Once again, I must remind you that it is the Minister of Knowledge who has the professional responsibility in this area, so that I will be a little careful about going too far into her area. But I want to say in general: when it comes to the reports that have come – whether it concerns child protection, school or other – and the results that one refers to in relation to public and private schools, I think it is important that we now go into those reports and analyze them a little bit more thoroughly than what one has done, to see what they actually say, and what questions they raise. As Minister of Local and Regional Affairs, I am busy dealing with these issues, because I have a goal, namely that everyone, regardless of the municipality and housing in this country, should have the best possible services. When it comes to public and private schools, you also have to look at the student base. So, do all types of elephants also have in the private schools? Then I'm thinking about the elephants who might have a slightly bigger problem with the school day than the average. You also need to look at the background material before you can give an exact answer to the question.
ParlaMint-NO_2010-02-10.ana.ud2182e509	Geir Jørgen Bekkevold – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e512	The council and I at least agree when it is claimed that it is not necessarily the size of the municipality that determines the quality of the school. For my own sake, I also want to add that I don't think it's necessarily the size of the school that determines the quality. But what is an indisputable fact is that the framework that the school owners and to a substantial extent municipalities and county municipalities have to work for can be absolutely crucial for the quality of school. Then we're in an area that's the responsibility of the Council of State, that's what's connected with local economy. In recent years, we have witnessed a mass reduction of, among other things, cross-border schools, which local politicians have had to do because of a tight economic environment. My question to the Council of State is, what will she do to stop this trend? And what can she do within her area of responsibility to increase the quality of school?
ParlaMint-NO_2010-02-10.ana.ud2182e519	According to the report that it has been shown here today, it is probably right that the municipality size does not provide any reason to systematically talk about quality differences. According to the report, there may be some differences when it comes to the size of the shells, but one has to go in and look a little bit closer to what basis is used in that material. It's important to have a good economy. But of the municipalities that I call highest quality, among other things. Balestrand municipality - a small municipality with a tight economy, to use a neutral word. I believe that even within the different financial frameworks that the municipalities have – because they differ from municipality to municipality – different priorities are set. When it comes to quality in school, I want to go back to what I said in a previous answer. Working with the university, thinking about competence, being busy with the contents and the well-being of the school together with competent teachers, are some keys that go back to where one is being closed down in this country.
ParlaMint-NO_2010-02-10.ana.ud2182e526	We move on to the next main question, from the representative Ketil Solvik-Olsen, then the main question from the representative Borghild Tenden.
ParlaMint-NO_2010-02-10.ana.ud2182e529	I have a question for the Minister for the Environment. The e-mail leaks at East Anglia University in England launched a significant debate on climate science, the Climate Panel report and not least on working methods within the Climate Panel. The e-mails revealed camaraderie among a group of researchers who are responsible for the main issues in the report, and show, among other things, that the that they deliberately support each other's work, deliberately trying to keep away from critical voices, trying to influence the attitudes of scientific magazines towards what they publish and withhold numbers from others who will test their research. They have now had a taste of violation of the Public Health Act, and not least of good research practice. In the climate debate, a reference is always made to the fact that there are 2,500 researchers behind it, and that they only stick to published peer-reviewed research. After this discovery in England, there have been a number of examples showing that this is not the case. According to the Intergovernmental Panel on Climate Change, the ice would have melted in Himalayas by 2035. This was the 90 pst. ensure, according to its own terminology. Now it turns out that the estimate comes from an interview in the 1999 New Scientist magazine, where an Indian professor assumed this, without having published it. But the WWF played it on, and the IPCC took it. So now it's not true, even though they were 90 pst. secure in 2007. The IPCC links global warming to more and worse natural disasters, but the report they refer to has no coverage for this. When the Climate Panel report was published in 2007, this report was not peer reviewed. When it was peer reviewed and published in 2008, the author concluded that there was no link. 40 pst. According to the Intergovernmental Panel on Climate Change, the rainforests of the Amazon would be at risk of rainfall as a result of climate change. Scientists rejected this. The report was made by WWF, and was not peer reviewed [[President clubs]] What does the Council of State think we should do in relation to the Intergovernmental Panel on Climate Change and the credibility of their reporting? [[President clubs]]
ParlaMint-NO_2010-02-10.ana.ud2182e548	There is no doubt that recent mistakes have been made at the Intergovernmental Panel on Climate Change. The opposite would almost be more surprising – if there were no faults in a thousands of pages material. The two most important criticisms, both raised by Solvik-Olsen's representative, are this e-mail exchange between researchers in England and the year-on-year error in the meltdown in Himalaya. Let me get to the last one. So it's not like the countries most concerned, that is. India, Nepal and China, have protested against this. On the contrary, they have said very clearly that they want to build on the United Nations Climate Panel. It is not that there are errors in the fact that there is a melting process. The error is that you have stated the wrong year. It is very useful that the climate skeptics detect this type of defect in the material. Climate science is a new science. One researcher says that the biggest new thing that has happened in the world’s science between 2000 and 2010 is the dramatic uptake of climate science. That within this will be good and bad research, is just what we have to expect. We have to build on it, and then climate skeptics and others have to correct everything that turns out to be wrong. Seventh and last, the Intergovernmental Panel on Climate Change is a huge triumph for international science, for the world's politicians have never established a consensus between a wide range of scientists in the way it has done here. The President of the United States, the President of China, the Prime Minister of India and the leaders of the European Union – the whole world – are based on this. This is a material that needs to be improved and that needs to be criticised. Science in the years to come will certainly come to both new, surprising and more precise conclusions at most points.
ParlaMint-NO_2010-02-10.ana.ud2182e559	I'm a little surprised at the attitude. We're not going back any further than last year, when the Council of State thought that climate skeptics could be compared to those who denied Hitler's start of World War II, according to an article in the Official Journal of Bergen. In 2007, Kristin Halvorsen said at SV's national meeting that climate skeptics must be corrupt. They must have been purchased and paid by the oil industry or others. So we see that the climate panel does not rely on peer-reviewed research to the extent that one tries to give the impression. This has led, for example, to: India is now not as positive as Solheim is trying to give the impression of. They have set up their own Climate Change Council to test what the United Nations comes with. Greenpeace in England has now gone out and asked the leader of the Intergovernmental Panel to leave, and we know the debate is going on. I've listed ten other points, which also show that this isn't just two things. The question to the Council of State is: Will Norway step in order for the UN to stick next time only to peer-reviewed research? Will he set up an independent research group to review the allegations against the Intergovernmental Panel on Climate Change? And at least, will he make sure that the next time the UN publishes, they publish everything at the same time, and they don't come up with environmental policy first and science afterwards? [[President clubs]] [[President clubs]]
ParlaMint-NO_2010-02-10.ana.ud2182e570	The most fundamental question in the range of all is: what should be the basis for political action? That's what we have to decide. Of course, we encourage the best possible scientific research, the best possible summary from the UN Panel on Climate Change and to listen to all critics – we have always done that. But then the question is: When are politicians going to start acting — and politicians have to start acting on the basis of what is a broad scientific consensus and that is reflected in the climate panel and in a lot of other international research. That's also what's being taken into account by all the leaders of the world -- not obviously by the Progress Party, but everyone else assumes that this is the broad consensus that you start with. It's a parallel to other scientific areas. We base the theory of evolution, even though many scientists disagree with it. We're assuming Hitler started World War II. Although there is – I stress: not nynazists – researchers who have a completely different view of this, decent British researchers, we still base all education on it as a scientific recognition. [[The President clubs.]] It has to be the same thing here. There is a sufficiently broad scientific recognition that we can take political action.
ParlaMint-NO_2010-02-10.ana.ud2182e576	For the sake of time use, and since the President has already announced another additional question, only one follow-up question is raised – from the representative Arne Sortevik.
ParlaMint-NO_2010-02-10.ana.ud2182e579	It's a shame there's only one follow-up question in such an important area. It's interesting to hear the Minister for the Environment answer the main question and now show a little bit more humility and openness than what we've been used to hearing since so far, where this council has just met some so-called skeptics with expressions like voodoo science, i.e. witch science. It is that in the context of climate, it is important to know as much as possible. It is important to have an ‘open mind’ — an open view of other causes that emerge, precisely because climate policy is so extensive and is so interventional for most people in the world. The Chinese now say that the next IPCC report should contain ‘sceptical views’ and that one should have ‘open mind’ about the cause of climate change’. Is there an attitude that the Council of State will pursue and be open to?
ParlaMint-NO_2010-02-10.ana.ud2182e590	Yes, absolutely. As Trond Giske stressed earlier, we try to be open to all attitudes. But let us be aware that climate skeptics are not a unified group with one stand. Some climate creators say that the earth is not heated at all. Other climate creators say that the earth is warmed up, just as the United Nations Climate Panel says, but that it only happens naturally, not through anthropogenic influence. A third group, such as Represented in Denmark at Lomborg, the United Nations Panel on Climate Change has arrived at, in essence, the right approach, but poverty in the Third World is a major problem, so we have to solve it first. So the climate skeptics attack this material from many different points of view, many different professional and political viewpoints. That criticism is useful, but climate science does not provide any basis for political action, because it cracks in every possible direction. The Intergovernmental Panel on Climate Change is the broadest scientific consensus we can come to, but of course it must be challenged daily by people with different professional positions.
ParlaMint-NO_2010-02-10.ana.ud2182e595	Then we go to today's last main question – Borghild Tenden.
ParlaMint-NO_2010-02-10.ana.ud2182e598	My question goes to the Minister of Industry. A few days ago, it was found that industry’s costs related to form fields and compliance with legislation have been reduced by only 0.5 pst. in recent years, despite repeated promises of strong simplification. While other countries around us have set ambitious targets for reducing the cost of business related to reporting, the Government is reluctant. On 16 June 2009, the then Minister of Economic Affairs Sylvia Brustad sent out a press release promising that a sample would be set up to look into how simplifications in the Norwegian legislation could be implemented, inter alia. input from the Auditor’s Association, work in the EU and in other countries would form the basis for the work of the sample. 238 days have passed since Brustad's press release, and nothing has happened. There is neither a selection nor a clear mandate in place. Norwegian business today spends 54 billion kroner on reporting based on rules and form loads. When can we expect the Government to set down a specific selection or objective, and when can we expect the Minister of Industry to follow up the promises of the former Minister of Industry?
ParlaMint-NO_2010-02-10.ana.ud2182e609	It is true, as the representative says, that we have not come far enough in the simplification work to facilitate the administrative resource use of businesses. This, I think, is something that changing governments, changing number of growths and changing state councils get to take a partial responsibility for. I will not put any responsibility on any particular of my predecessors – that would also be difficult since it has almost been a new one per. years. The few have been sitting for a long time, and we get to share that responsibility across both parties and people. I still think we should say that there are important things that have been done, such as. the development of the Altin portal, where communications from enterprises to public authorities are significantly simplified. An action plan has been drawn up with a wide range of simplification measures implemented or implemented, and the Innovation and Production Action Plan, which came in August 2008, had 120 different measures now in place to reduce the administrative costs of industry. However, I agree with the representative that we need to set more specific objectives. We see how countries around Europe are setting measurable ambitions for how much costs are going to go down in businesses. I think we need to develop Norwegian policies in this area in the same direction, in order to achieve concrete objectives in this area, concrete actions and concrete implementation. These are very many departments and a lot of legislation, and there are always good reasons for different regulations, both accounting laws, stock laws, reporting requirements, etc., but the sum is too large for companies. We have to balance the value added against the burden on companies, especially the small businesses for which this is very demanding. It's a work that I'm going to take seriously, and where we're going to have great ambitions.
ParlaMint-NO_2010-02-10.ana.ud2182e618	I thank the Council of State for being solution-oriented. Earlier today, the Left presented a proposal for a representative that Norway should set up its own regulatory board on the basis of a model from the corresponding Council in Sweden. It is obvious that we need an independent body that can control the impact of new legislation and changes in existing ones before it is effective against business. In Sweden, such a Board of Regulators is the Swedish Government’s main step towards achieving the objective of cutting the administrative costs of companies in terms of regulation and form load by 25 pst. My question to the Council of State is whether he thinks this proposal from the Left is a good idea.
ParlaMint-NO_2010-02-10.ana.ud2182e627	At least I think it's a very good idea to listen to business itself and make sure that in different contexts they can make sense of how they experience the amount of demands, expectations, rules and regulations that tell them what to report, how to keep their accounts, how to keep records, etc. It's the companies that know best about this. If the best step to take in a simplification work is to create new advice, you can always question it. I also believe that simplification work should be simple and not contribute to new red tape, but contribute to good communication areas where businesses can say clearly from the point of view of the authorities what rules work, or not work, and how the burden is. We should definitely have that. Of course, we should also listen to proposals from the Left, or from Sweden, and learn from what others around Europe have done in the simplification work.
ParlaMint-NO_2010-02-10.ana.ud2182e632	There is a question of follow-up – from the representative of Trine Skei Grande.
ParlaMint-NO_2010-02-10.ana.ud2182e635	I can initially assure the Council of State that our idea has not been taken out of the Party cabinets of the Left, but from the recordings we get in contact with small business owners. What I've been a little worried about in the first days of the Council of State, and which he's going to have the opportunity to elaborate, is that there's been a big focus on the big boys, there's been a big focus on the big foreign, and there's been a big focus on becoming friends with those who are the big business owners. But then most of the business in this country is the small ones. It's the little plumber in the Old Town who's going to offer me, or it's the small business owner in the Research Park who's going to develop an idea. I'm afraid that the state council's focus is just to hold on to the big ones and not develop the small ones. That's why it's actually pretty important to get these kinds of changes of rules, because they mean something to the big ones. They're always able to fill out their forms. It's the little ones who don't have time to do it.
ParlaMint-NO_2010-02-10.ana.ud2182e644	I think we have to have a business policy that takes care of both our big, international, powerful groups, whether it's Aker or it's Statoil or whether it's Orkla or who employs thousands and tens of thousands of people, and the small ones – he or she who started a business, put his savings in, quit a safe job and try for themselves and who experience that it's demanding to manage to implement his or her business at the same time as following legislation and regulations. I fully agree that it is certainly the case that it is for the smallest companies that that burden gets greater, because you don't have the big systems to take care of it. Therefore, there are also rules that are different for small and large enterprises. But there's certainly a lot to do. So I think you shouldn't have a either-or-position for this, but a both-and-a-position – a policy for both the big and the small. We're going to listen to the small businesses, as much as to the big ones, even if it doesn't give you so much newspaper headlines. The little ones also have good input. That's also why we listen to the Left.
ParlaMint-NO_2010-02-10.ana.ud2182e652	The oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2010-02-10.ana.ud2182e658	There will be some changes to the configured question list. In this context, the President shall refer to the list distributed at the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative of Gunnar Gundersen to the Minister for Finance, has been withdrawn. Question 3, from the representative of Svein Harberg to the Minister of Finance, is postponed until the next Question Time, when the Council of State has left. Question 15, from the representative Nikolai Astrup to the Minister for the Environment and Development, is moved and answered at the request of the Council of State for question 1. Question 17, tabled by the representative Linda C. Hofstad Helleland to the Minister for Oil and Energy, lapses because the questioner is not present.
ParlaMint-NO_2010-02-10.ana.ud2182e673	We then go to the first question, from the representative Bente Thorsen to the minister of knowledge.
ParlaMint-NO_2010-02-10.ana.ud2182e679	‘In various media, we have been made aware that the new rules of absence do not work as intended. Both teachers and students have expressed their dissatisfaction with liberal rules of absence, including in the Haugesunds Avis on 27 January 2010. On February 2nd, the State Council also expressed its concern. What action will the Council of State take in the near future to tighten up legislation so as to ensure a greater degree of justified absence and to a greater extent in relation to unwarranted absences?’
ParlaMint-NO_2010-02-10.ana.ud2182e691	There has recently been a lot of focus on the conduct of absences on the diploma, and it is both fair and reasonable because we know that absence and non-response are closely related. It is therefore very important that you work systematically to keep your absence low, both in primary and secondary school. It has also been claimed that there has been little penalty for students not meeting the hours. This case was also raised in the Questionnaire on 13 January this year. I would first like to stress that the general rule is that all absences are to be shown on the diploma. This applies both in secondary and primary education. In primary school, absence at the diplomas is a new arrangement from the autumn of 2009 – a clear tightening. However, there is a long tradition that some types of absence, limited up to a certain number of days, should not be included in the diploma. Examples of this are work as trust selected and auxiliary work, but documented health grounds are also included. This is not new. What is new is that there were some changes to the legislation last year, and the intentions of the changes that were made, and which I explained in the Questionnaire on 13 January, were not to make it easier for the students to get zero days of absence from the diploma, but to get a more similar practice in the schools. The rules were that the principal at each school recognized the absence to be carried on the diploma and not, and that of course there was a great disparity between the principal’s assessment and the schools. I am now going through the legislation with the Education Directorate and will come back with changes to the rules for absences on diplomas, both for primary and secondary education, from the autumn of 2010. The absence of a diploma, both for primary and secondary education, is regulated by the Training Act. Intensification of the legislation will be sent at public hearings. The rules cannot be applied retrospectively and will therefore apply from coming school years. It is premature to conclude on which legislative intensifications will be implemented. The current actions assessed include, inter alia: reducing the number of days of absence not to be included in the diploma. According to today's legislation, this is a total of 14 school days per year. years. Another relevant measure being assessed is to reinforce the requirements for documentation by requiring a medical declaration to be more stringent if the absence is not to be included in the diploma. I would like to stress that we are now working on this matter and that we are going through various options thoroughly. As I was in the middle of it, this is a question you have to look very seriously at. It has never been the intention to give a signal to schools about a more liberal practice of absenteeism. On the contrary, cutting down on absenteeism is very important and a very important part of the work that schools actively do to prevent non-response.
ParlaMint-NO_2010-02-10.ana.ud2182e712	I would like to thank the Council of State for the answer. That was a correct and tidy answer. I also noticed that the Minister would like a new case to be heard, and that different bodies would have their say. I assume that the Vice-Chancellors, who today are very in doubt about how they should conduct absences, will also be an important part of that hearing body, and that it will be leveled up. The way in which the rules of absence work now also contrasts very much with what is expected of our children and young people when they get out of work. Does the Minister see the importance of accountability for pupils as also an action in view of their future in the workplace?
ParlaMint-NO_2010-02-10.ana.ud2182e721	I will quickly make suggestions on how we can do this in concrete terms, so that the consultation round can be conducted, and so that the changes take place from the beginning of the next school year. I think it is very important that we immediately stop the ‘misunderstanding’ that some students now live in, that absence is not so dangerous. It is harmful for the future of young people not to participate in school education. They get bad grades from it, and it increases the risk of non-response. Those who do not complete secondary education have significantly greater difficulties in the labour market. They are more likely to receive social assistance, and they are at risk of being dissatisfactioned at an early age. So it's a very bad investment for the individual not to participate. It is also the case that the first company checks when considering accepting an apprentice is how high he/she has absences. One who has taken a professional course of study, and has a high degree of absence, has no chance of getting an apprenticeship. It is also an obstacle to completing their education.
ParlaMint-NO_2010-02-10.ana.ud2182e728	I thank you again for the answer, which I also thought was thorough. I understand that the minister has really understood the problem here, that you are actually doing the youth a bear service by being too kind here. After the debate on absence came on the agenda, several students have actually appeared in the media and stated that they want clearer rules. Rapid feedback and information are important in most cases, including in the provision of information on absenteeism. Danish school has used SMS notifications as a tool, both for students and parents, to inform about absences. This has proved to be effective, and then the question is: Does the Council of State think that this is an instrument that can be used in school, so that parents get quick information and feedback from the teachers about the student being in school or not?
ParlaMint-NO_2010-02-10.ana.ud2182e737	I think that might be a good idea for a lot of schools, but I'll leave it to the schools. In fact, schools are now working very systematically and extensively to ensure that students meet for education. It should have been unnecessary, but there are projects like this. involve the active participation of the school and ensure that the youth attends the school. It's a cross-section of mind that the school needs to have that kind of task, but we also know that close cooperation between school and parents is effective and that it works. It is clear that SMS contacts between a little strict teacher and an equally strict mother can get quite a number of 16- and 17-year-olds out of the dunes. Then it's a challenge for young people who are 18 years old and are authoritative. My hope is that the vast majority of young people, when they think about it a little bit, realize that every day is an investment in their own future, and that high absences and dropping out of training are a little dangerous. I also know that many schools work very hard both to motivate and to make sure to make good offers.
ParlaMint-NO_2010-02-10.ana.ud2182e746	We then go to question 15, from the representative Nikolai Astrup to the Minister for the Environment and Development.
ParlaMint-NO_2010-02-10.ana.ud2182e752	‘The ‘Lofoten v. Sellafield’ organisation has received a long-term meeting of the EU Commission on Sellafield on 3 March in Brussels, but has been informed that neither the Minister for the Environment nor any other representative of the Ministry could participate. This is perceived as a failure of the Government to give priority to Sellafield and gives ‘Lofoten v. Sellafield’ poor ballast in Brussels. Can the Council of State ensure that the Government prioritizes the cessation of radioactive waste storage, and how will the Council of State monitor this work?’
ParlaMint-NO_2010-02-10.ana.ud2182e759	Let me first thank both the presidency and the petitioner for the goodwill of moving this question forward. I was supposed to go to Washington in an hour, but it seems that the snowstorm that's done that bin Laden never managed, that's totally paralyzing Washington. So in principle this question could be taken later today, but I assume we're just continuing now. The answer to the question can be summarised in one word: Yes. We'll do what we can in terms of Sellafield. The meeting organised by Bellona and Lofoten v. Sellafield in Brussels on 3 March concerns the safety of Sellafield and other European nuclear installations. This is something we take very seriously, because an accident at Sellafield will be an accident that could affect Norwegian territory, and be very serious for Norway. I see the event as positive and useful. It is an important contribution to focusing on the safety of risky nuclear installations in Europe. I attended a similar meeting in Oslo a year ago, and let me stress that I just did because I thought this was a very important and positive initiative. I don't think it's been common for environmental protection ministers to attend meetings in the past, but I attended because I thought it was important. I was impressed by the arena this was for dialogue between Norwegian and British actors. Both the British authorities and the new American owners of Sellafield stood up. I think that's very positive. It was a very positive dialogue about what can be done for security, so it was a good and useful arrangement with positive will also from the British and American sides. As regards the forthcoming meeting in Brussels, it has always been clear that the Ministry of the Environment will be represented there and present the Government’s view on the matter. The ‘Lofoten v. Sellafield’ has been notified and it has been planned to participate at all times. That I should have withdrawn from this conference is not correct. As I have said, it has always been announced that we will participate at the level of office. What we're going to do now is a combination: we want to participate with our most competent people from the office. The State Radiation Protection will take part, and my political advisor, Audun Garberg, will come. I'm traveling to Malawi and Mozambique at that very moment to discuss another important environmental issue, namely climate adaptation. To further underline the importance of the meeting, the ‘Lofoten v. Sellafield’ travels to the Brussels event with financial support from the Ministry of the Environment. At the meeting in Brussels, the State Radiation Protection Agency will present the results of the estimates they have made of possible consequences for Norway of a major discharge from Sellafield, which was submitted last year. As Astrup is probably aware, the report shows that major emissions from the stocks of liquid, high-activity waste in Sellafield can lead to very significant radioactive depositions also across Norway and have potentially much greater consequences than Chernobyl had. If it happens on the wrong days, with crazy winds and significant emissions, it is, in particular, significantly more serious for the West than Chernobyl in the worst case. There's something we have to try to stop and something we also have to prepare for. Looking at this serious threat to Norway in the context of the range of major and minor accidents in recent years, and the criticism from the UK authorities of the safety culture of the plant, this gives cause for concern. I therefore consider it important that the British now take effective measures to reduce the risk as quickly as possible. [[President clubs]] [[President clubs]] The representative of Astrup is probably aware that the government has constantly put considerable pressure on the British government to reduce the risk of a major accident in Sellafield. This has been addressed by both the Prime Minister, the Minister of Foreign Affairs and myself on various occasions. There is also a good professional dialogue between the straw supplier and UK safety and pollution authorities. [[President clubs]]
ParlaMint-NO_2010-02-10.ana.ud2182e776	The President will remind you that the normal time to answer questions is 3 minutes.
ParlaMint-NO_2010-02-10.ana.ud2182e779	Then I'll take the rest on a possible follow-up question.
ParlaMint-NO_2010-02-10.ana.ud2182e784	I am absolutely sure that the Council of States is in power!
ParlaMint-NO_2010-02-10.ana.ud2182e787	I thank the Council of State for the answer. I am pleased that he is concerned about the problem. We have the same material on this, the report of the State Radiation Protection Agency last year. It is quite right, as the Council of State says, that any accident can have major consequences, especially in the West. They're talking about ten to fifty times as much downfall as what you had after Chernobyl, in the most affected areas of Norway. So this is serious. How does the Council of State work specifically against the British authorities? He mentioned that there had been meetings. How close is that dialogue? But also: How do you work concretely against the European Commission, as an important ally on this issue, and up against the Irish authorities, as an interested party, who could be a good ally for Norway? Then I notice that the Council of State does not give priority to the meeting of the European Commission, nor to the Secretary of State, but sends a political adviser.
ParlaMint-NO_2010-02-10.ana.ud2182e796	Just to clarify any misunderstanding about the latest: this is not a meeting with the EU Commissioner in this area. It is – what to say – a meeting of a more private nature. But it's still an important meeting. That is why we have given financial support. That is why my political adviser will take part, and therefore both the Straw livery and the Civil Service will take part. On the second question, we have a political dialogue with the British authorities where we try to put as much pressure on this matter as possible. That's what I was going to read in the first answer. I also wrote a letter to Ed Miliband, my British colleague, about the matter last year. We have a professional dialogue through Straw Delivery and at the job level. We also have a dialogue with the US owners to look at the security measures. As Astrup says, Ireland has been a great ally here. Norway and Ireland have traditionally had very similar views, as there are two neighbouring countries that can both be affected. Of course, when the new Commissioners come into place in Brussels, we will have a dialogue with them to see how we can possibly cooperate with the European Union in this area.
ParlaMint-NO_2010-02-10.ana.ud2182e803	I thank the Council of State for the answer. There was a large leakage from parts of the plant in 2005 which closed part of it until 2007. Then it was reopened, as I see it as Norwegian protests. The intention is that that part of the installation should be permanently closed from 2010. Has the government received guarantees from the United Kingdom that this will happen?
ParlaMint-NO_2010-02-10.ana.ud2182e810	I cannot say that we have received any guarantees in this area. There is no concealment that there are different views from the Norwegian and British sides in this area. We'll keep pushing. We want to close as quickly as possible. And we want above all not to take any new steps that will extend the life span, for example. by bringing in nuclear waste from other parts of the world for destruction there. So we'll do what we can to get it closed. Of course, if there were to be a change of government in the United Kingdom at the May elections, which is at least not impossible – to say it carefully – we will immediately contact the new British authorities to rule out their views on it and also put pressure on them.
ParlaMint-NO_2010-02-10.ana.ud2182e827	This question has been withdrawn.
ParlaMint-NO_2010-02-10.ana.ud2182e840	This question has been postponed to the next Question Time.
ParlaMint-NO_2010-02-10.ana.ud2182e846	This is a question to the Minister for Transport: «Strengthened long-lasting winter cold has given rise to special transport and air quality challenges in the major cities. The mountains have been particularly hit. Topography, high transit traffic and few, but large traffic hubs with blasted transport capacity make the challenges particularly high in both the short and long term. Will the State Council consider enhanced State involvement in cooperation with Hordaland County Municipality and Bergen Municipality to strengthen the bus-based collective service in the short and long term?’
ParlaMint-NO_2010-02-10.ana.ud2182e855	The municipalities and the municipality of Oslo are responsible for the local public transport in the county. The government has no plans to change this responsibility, but we see it as our task to ensure that local authorities have the means they need to improve transport and local air quality in the cities themselves. In the case of local public transport other than rail, the role of the State is initially limited to the annual concessions of the county municipalities to the budget of the Ministry of Local and Regional Affairs. These permissions have increased greatly under this government. Thus, local government also has its potential to ensure a good collective provision was better. From 2004 onwards, public transport grants have been granted by the State in the largest cities of Norway. The supplements have been provided through the accrual arrangements for better public transport and less use of cars. In line with the climate agreement, the funds for the bridging arrangement were doubled from 2008 to 2009 to 323.4 million. kr. In 2010, it is available at approx. 333 million. kr to the order. When it comes to instruments to improve local air quality, I think it's very important to give the municipalities that want to do it, tools that allow for better air quality in cities. This means that road traffic has to go down. I have therefore given a high priority to clarify several proposals, which include both issues of low emission zones and cooling pricing.
